title,album,year,lyrics,urls
Me Myself And I,3 Feet High and Rising,1989,"Mirror mirror on the wall
Tell me mirror, what is wrong?
Can it be my De La Clothes
Or is it just my De La Soul?
What I do ain't make-believe
People say I sit and try
But when it comes to being De La
It's just me myself and I

It's just me myself and I
It's just me myself and I
It's just me myself and I

Now you tease my Plug One style
And my Plug One spectacles
You say Plug One and Two are hippies
No we're not, thats pure plug bull
Always pushing that we formed an image
There's no need to lie
When it comes to being Plug One
It's just me myself and I

It's just me myself and I
It's just me myself and I
It's just me myself and I

Proud, I'm proud of what I am
Poems I speak are Plug Two type
Please oh please let Plug Two be
Himself, not what you read or write
Write is wrong when hype is written
On the Soul, De La that is
Style is surely our own thing
Not the false disguise of show-biz
De La Soul is from the soul
And in fact I can't deny
Strictly from the Dan called Stuckie
And from me myself and I

It's just me myself and I
It's just me myself and I
It's just me myself and I

Glory Glory Hallelu
Glory for Plug One and Two
But that glory's been denied
By concensing dookie eyes
People think they diss my person
By stating I'm darkly packed
I know this so I point at Q-Tip
And he states, ""Black is Black""
Mirror mirror on the wall
Shovel chestnuts in my path
Just keep all nuts twistin up
So I don't get an aftermath
But if I do I'll calmly punch them
In the 4th day of July
Cause they tried to mess with third degree
That's me myself and I
It's just me myself and I
It's just me myself and I
It's just me myself and I",https://genius.com/De-la-soul-me-myself-and-i-lyrics
Stakes is High,Stakes Is High,1996.0,"[Intro: Pos + 
Sample
]
Vibe, vibrations
Stakes is high, you know them stakes is high
When we talking 'bout the 
vibe, vibrations
Stakes is high, you know them stakes is high
We talking 'bout 
vibe, vibrations
Stakes is high, you know them stakes is high

The instamatic focal point bringing damage to your boroughs
Be some brothers from the east with them beats that be thorough
Got the solar gravitation so I'm bound to pull it
I gets down like brothers are found ducking from bullets
Gun control means using both hands in my land
Where it's all about the cautious livin'
Migrating to a higher form of consequence, compliments
Of strugglin', that shouldn't be notable
Man, every word I say should be a hip hop quotable

I'm sick of bitches shakin' asses
I'm sick of talkin' 'bout blunts, sick of Versace glasses
Sick of slang,
 
sick of half-ass awards shows
Sick of name brand clothes
Sick of R&B bitches over bullshit tracks
Cocaine and crack, which brings sickness to blacks
Sick of swoll' head rappers with their sickening raps
Clappers of gats, makin' the whole sick world collapse
The facts are gettin' sicker, even sicker perhaps
Stickabush to make a bundle to escape this synapse

Man, life can get all up in your ass, baby, you betta work it out
Let me tell you what it's all about
A skin not considered equal
A meteor has more right than my people
Who be wastin' time screaming who they've hated
That's why the Native Tongues has officially been reinstated
(Vibes....vibrations)
Stakes is high
(Higher than high)
You know them stakes is high
(Higher than high)
When we talkin' 'bout the
(Vibes....vibrations)
Stakes is high, you know them stakes is high
When we dealin' with the
(Vibes... vibrations)
Stakes is high
(Hey yo, what about that love?)

Yo, it's about love for cars, love for funds
Loving to love mad sex, loving to love guns
Love for opposite, love for fame and wealth
Love for the fact of no longer loving yourself, kid
We living in them days of the man-made ways
Where every aspect is vivid
These brothers no longer talk shit
Hey yo, these niggas live it
'Bout to give it to you 24/7 on the microphone
Plug One
 translating the zone
No offense to a player, but yo, I don't play
And if you take offense, fuck it, got to be that way
J.D. Dove, show your love, what you got to say?

I say G's are making figures at a high regard
And niggas dying for it nowadays ain't odd
Investing in fantasies and not God
Welcome to reality, see times is hard
People try to snatch the credit, but can't claim the card
Showing out in videos, saying they co-starred
See, shit like that will make your mama cry
Better watch the way you spend it cause the stakes is high
Y'all know them stakes is high
When we talkin' 'bout the
(Vibes....vibrations)
Stakes is high
I think that smiling in public is against the law
Cause love don't get you through life no more
It's who you know and ""How you, son?""
And how you gettin' in, and who the man holding heat
Hey yo, and how was the skins and how high
Yo what up, huh? I heard you caught a body
Seem like every man and woman shared a life with John Gotti

But they ain't organized!

Mixing crimes with life enzymes
Taking the big scout route and niggas know doubt
Better than they know their daughters and their sons
(Oh boy)

Yo, people go through pain and still don't gain
Positive contact just like my main man
Who got others cleaning up his physical and fluids
His mind got congested
He got the nine and blew it
Neighborhoods are now hoods cause nobody's neighbors
Just animals surviving with that animal behavior
Under I who be rhyming from dark to light sky
Experiments when needles and skin connect
No wonder where we live is called the projects
When them stakes is high you damn sure try to do
Anything to get the piece of the pie
Electrify, even die for the cash
But at last I be out even though you wantin' more
This issue is closed like an elevator door
But soon re-opened once we get to the next floor where the
(Vibes....vibrations)
Stakes is high
Y'all know them stakes is high
When we talkin' 'bout the
(Vibes....vibrations)
Stakes is high
Stakes is high, come on",https://genius.com/De-la-soul-stakes-is-high-lyrics
Eye Know,3 Feet High and Rising,1989.0,"Greetings girl and welcome to my world of phrase
I'm right up to bat
It's a Daisy Age and you're about to walk top-stage
So wipe your Lottos on the mat
Hip-hop love this is and don't mind when I quiz your
Involvements before the sun
But clear your court cause this is a one-man sport
And who's better for this than Plug One
Now you don't have to worry about me squashin' other deals
Cause they've already been squooshed
Freeze a frame about moods the same which we can continue
Right behind the bush
You'll stay with me
Eye Know this
But not because of all my Earthly treasures
Or regardless to the fact that I'm Posdnuos
But because

Eye know Eye love you better

May I cut this dance to introduce myself as
The chosen one to speak
Let me lay my hand across yours
And aim a kiss upon your cheek
The name's Plug Two
And from the soul I bring you
The Daisy of your choice
May it be filled with the pleasure principle
In circumference to my voice
About those other Jennys I reckoned with
Lost them all like a homework excuse
This time the Magic Number is two
Cause it takes two, not three, to seduce
My destiny of love is brought to an apex
Sex is a mere molecule
In this world of love that I have for you
It's true

Eye know Eye love you better

Now it's time to let this rhyme style
Get somewhat poured in the mold
Hold my hand and we'll pick my plantation
Of Daisies for a bouquet of Soul
Life will begin at the cut of a rim
Take it as filled to the rim as in brim
Squeeze your stoop like Betty Boop
We'll make Campbell's Alphabet Soup
And spell Plug One's within
Forward march is the say
When transistors will play
Come into bed is the mood
Dolby sound will be then top crowned
When I put the needle into your groove
I got a good thing
And in full swing
I show this in gifts, words or letters
But even without those three
Eye know you'll be close to me cause

Eye know Eye love you better

It's I again and the soul that I send
Is taking steps to reach your heart
Any moment you feel alone
I can fill up your empty part
We can ascend 'till we reach De La Heaven
And in a spin we'll hit the Top Ten
Then we will meet Mr Stuckie
And Pos' brother Lucky will preach
Let the wedding begin
Shot by an arrow of cupid
Through the string of a G-clef
My dear, I claim you're def
And if you can hear me, by golly gee
Trugoy is ready for what you posess
We could live in my Plug Two home
And on Mars where we could be all alone
And we make a song for two
Picture perfect things and I sing of how

Eye know Eye love you better",https://genius.com/De-la-soul-eye-know-lyrics
Rock Co.Kane Flow,The Grind Date,2004.0,"Up in them 5-star tellies saying two mic rhymes
Be them average MC's of the times
Unlike them, we craft gems
So systematically inclined to pen lines
Without saying the producer's name all over the track
Yeah I said it! What you need to do is get back
To reading credits, we them medics
Alphabetically stuck on that A grade shit
Now quit now before we pour
That sure shot pure rock cocaine flow

From the top of the key for 3 -- Villain!
Been on in the game as long as he can wheelie a Schwinn
Turn the corner spinning, bust that ass and get up
Dust off the mask, whoever laugh give him a head up
He got jumped, it pumped his adrenaline
He said it made him tougher than a bump of raw medicine
To write all night long, the hourglass is still slow
Flow from Hellborn to free power like LILCo
And still owe bills, pay dues forever
Slay youths when it comes to who's more cleverer
Use to wore a leather goose V with a fur collar
And charged a fee for loose leaf words per dollar
Ya heard? Holler - broad or dude, we need food
Eat your teams for sure, the streets sure seem rude
For fam like the Partridges, pardon him for the mix-up
Battle for your Atari cartridges or put your kicks up
It's a stick up

Now put your blix up, these Riddick Bowe cuts
Is swoll like penile flicks, give 'em 20
The danger in his eyes'll let you know he's a brawler
Bring your tallest champs like that much taller
Ten pounds heavier, one step ahead of it
Vocab, stamina, style's all irrelevant
Camps and cliques, units, squad crews and clans
Even your tongues'll fuck around and leave your mouth

DOOM brung that bum, there goes that news van again
Act like you knew like Toucan Sam and 'em
He eat rappers like part of a complete breakfast
Their rhymes ain't worth the weight of they cheap necklace
String 'em up, ring 'em up under whack junk snack
And get that out your hand, punk, jump and get your dunk smacked
Foul, we all know the rules bro
You slow, you blow the soup on you fools, his own Boss like Hugo

You go lights, camera, action with no makeup
We De La to the death or at least until we break up
Here's a couple of nice guys who finished first
So nice try, but the prize is ours dispersed
They say the good die young, so I added some
Bad-ass to my flavor to prolong my life over the drum
Everyone cools off from being hot
It's about if you can handle being cold or not
And we was told to hop on no one's dick by Prince Paul
We stayed original ever since y'all
First to do a lot of things in the game but the last to say it
No need to place it on a scale to weigh it
And don't do it for the plays or to raise the bar
Yet it's raised anyway, it's so amazing, are
The three L.I. brothers from the other way of thinking
Hey your lady's winking, I think you need to control that
Or I'll have to hold that

The elements are airborne, I smell the success
(Yo let's cookie cut the shit and get the gingerbread, man)
Sacrifice mics and push drugs to these rappers
Puff ponies 'til I turn blue in the lips
Sipping broads like 7-Up (ahh) so refreshing
I finger pop these verses like first dates
The birthdate's September 2-1, 1-9, 6-8
Too old to rhyme, too bad, too late",https://genius.com/De-la-soul-rock-cokane-flow-lyrics
Ring Ring Ring (Ha Ha Hey),De La Soul is Dead,1991.0,"""Yes, this is Miss Renee King from Philadelphia. I want you to give me a call on area code 215-222-4209 and I'm calling in reference to the music business. Thank you.""

Hey how ya doin'
Sorry ya can't get through
Why don't you leave your name and your number
And I'll get back to you
Hey how are ya doin'
Sorry ya can't get through
But leave your name and your number
And I'll get back to you

Once again it's another rap bandit
Fiending at I and I can't stand it
Wanna be down with the Day-Glo
Knocking on my door, saying, ""a yo yo""
Knocking on my door, saying, ""a yo yo""
""I got a funky new tune with a fly banjo""
I can't understand what the problem is
I find it hard enough dealing with my own biz
How'd they get my name and number
Then I stop to think and wonder
Bout a plan, yo man I gotta step out town
You wanna call me up? Take my number down
It's 222-2222
I gotta answering machine that can talk to you
It goes

Hey how ya doin'
Sorry ya can't get through
Why don't you leave your name and your number
And I'll get back to you
Hey how are ya doin'
Sorry ya can't get through
But leave your name and your number
And I'll get back to you

Yo, check it, exit the old style, enter's the new
But nothing's new 'bout being hawked by a crew
Or should I say flock cause around every block
There's Harry, Dick, and Tom, with a demo in his palm
Now I'm with helping those who want to help themselves
And flaunt a nut that's doggy as in dope
But it's not the mood to hear
The tales of limousines and pails
Of money they'll make like a pro
I be like, ""Yo black, just play me the tape""
But at the show the time to spare I just make
But the songs created in they shacks
Are so wick-wick-wack, situations like this
And now I hate they give me smiles Kool-Aid wide and ask
""was it def?""
And with the straighest face I be like, ""hell yes.""
I slip them the digits to Papa Prince Paul
So I don't go AWOL but yet I know when they call they get

Hey how ya doin'
Sorry ya can't get through
Why don't you leave your name and your number
And I'll get back to you
Hey how are ya doin'
Sorry ya can't get through
But leave your name and your number
And I'll get back to you

Party at the dug-out on Diction Ave
Haven't been to the jam in quite a while
Figure I'll catch up on the latest styles
'Stead piles and piles of demo tapes by the miles
All I wanna do is cut on the decks wild
But edition up here by the miles to the center
Reliever of duty, Plug One mosies in
And I be like, ""Yo G, Pos does all the producing""

Now woe is me to the third degree
Mase pulls the funny so I make like a bunny, jettin'
But I'm getting used to this demo abuse
Getting raped and giving birth to a tape
Cause there's no escape from the clutches of a hawker
Attached to my success, sent like a stalker
Make way to my radius playin' fly guy
Try to get on my back they force like Luke Sky
Me, Myself, and I go through this act daily
And rarely do I not
No matter how I dodge some jackal always nails me
No matter what the plot
And even out on tour they be like
""Yo, I got a tape to play you back at the hotel""
I be like, ""oh swell""
Unveil the numeric code to dial my room
And tell them to call me at noon
But of course there's no answering machine in my room
But a pretty young adorer who I swung on tour
And if it rings while we're alone she'll answer the phone
And with the quickness she'll recite like a poem

""Hey, you done did the right thing, dial up my ring ring
Now you're waiting on the beep
Say, I would love if you'd sing
The tune to Tru instead of fronting on the speak.""
So no problemo, just play the demo and at the end it's break out time
Please oh please don't press rewind cause I'll just lay it down the line

Hey how ya doin'
Sorry ya can't get through
Why don't you leave your name and your number
And I'll get back to you
Hey how are ya doin'
Sorry ya can't get through
But leave your name and your number
And I'll get back to you
POS:
Hey how ya doing
Sorry ya can't get through
Why don't you leave your name and your number
And we'll get back to you.. peace
'Yo what's up man, this is Ronald Master down with the Fish Tank
Posse, man, you know man, so you know you can just hook me up, troop. You know we got this fly new jam called 'Swimming In the Fish Tank', you know we gonna rock it man, you know what I'm saying, but I just need your help, Prince Paul gave me your number, you know man, you just gotta do that for me. Got this fly bass line, got these fly trombones in it man, so just hook me up, man, just look out, all right, call me back at 557-2223 all right man, just look out, all right, look out for a brother man!'",https://genius.com/De-la-soul-ring-ring-ring-ha-ha-hey-lyrics
Pain,and the Anonymous Nobody...,2016.0,"Pain will make it better
Tell me how you feel
Look over your shoulder
Time will make it real
Give me no excuses
I know how ya feel
Pain will make it better
Pain will make it better
Pain will make it better

Let me see how many palms go up high
If you've ever felt the world had you licked (Put 'em up high)
And what you waving side to side to symbolize
Needing help on the sand put you under quick
Big mama said, ""The Devil's up to no good""
But we can heal it on a Sunday with a good book (What?)
Or we can kill it on a Monday for a good look (And)
Make it part of the campaign, to withstand pain
Me, myself, place it all on my shoulders
And give it my all, like heavy lifting
No gain without tears and sweat
They claim blue skies with white clouds, steady drifting
When pain come to get ya, it hit ya like flu
Better times will pick ya, do what you gotta do
To earn focus in the stormy weather
Come out the tunnel to the light, saying

Pain will make it better
Tell me how you feel
Look over your shoulder
Time will make it real
Give me no excuses
I know how ya feel
Pain will make it better
Pain will make it better
(I hear the people saying)
Pain will make it better
(I hear my people saying)
Pain will make it better

No wetter, four-letter, mo' better
Slow pain, no gain, go-getter
Change like the weather
Solid as a rock, small piece of leather but well put together
Flames are endeavors
Time to find out that gain makes it better
Pain makes it better
Shades of epiphany, can't let it get to me
Move so differently, do it so swiftly
Ease into my style, lay mine down
King be crowned, look at me now
Teaching my classes by the masses
Used to gang-bang, used to love the clashes
Now cash is the only motivation
But not for me, G, I’m into public relations
That's food for your De La Soul, word to the letter

Pain will make it better
Tell me how you feel
Look over your shoulder
Time will make it real
Give me no excuses
I know how ya feel
Pain will make it better
Pain will make it better
(I heard my nana say it, say it, yo)

The bigger the headache, bigger the pill
The harder you fall, stronger the will
We came from the back of the bus,
 
talking Watts
 
to Mobile
Now we're on a house on a hill
Struggle went from filling ya gas tank
The bank wasn't feeling your loan
The OT couldn't cover the bills
When life came with a couple of spills
But we're gon' use that pain for fuel, so

Give me no excuses
I know how ya feel
Pain will make it better
Pain will make it better
(I hear the people say)
Pain will make it better
(You hear my people saying)
Pain will make it better
(I hear the people say)
Pain will make it better
Pain will make it better
Pain will make it better
Pain will make it better

Your music means everything",https://genius.com/De-la-soul-pain-lyrics
Buddy,3 Feet High and Rising,1989.0,"Hello
Meany, meany, meany, meany (Say what?)
Meany, meany, meany, meany (Say what?)
Meany, meany, meany, meany, mean
You gotta do that again, Dove
Meany, meany, meany, meany (Say what?)
Meany, meany, meany, meany (Say what?)
Meany, meany, meany, meany, mean (Okay)

Hello it's the Soul
Troopin' in wit the Jungle patrol
And this one's about the KO's, the knockouts out there
Who's holdin' my buddy
Hold up (Wait a minute)

Now just wait
We're gonna talk about Buddy on this plate
But before we let the herd out the gate
Make sure the all the levels are straight out the jungle
(The Jungle, the Brothers, the Brothers)

De La Soul, from the soul
Black medallions, no gold
Hangin' out wit Pos, hangin' out wit Mase
Buddy buddy buddy all in my face

For the lap, Jimbrowski must wear a cap
Just in case the young girl likes to clap
Ain't for the wind but before I begin
I'll initiate the buddy with a slap

Now for the next
I'm the Q-Tip from A Tribe Called Quest
And when I quest for the buddy I don't fess
For my jimmy wants nothin' but the best (the best)
The best (ooh wee!)
Let's stick out jimmy and see what we can catch
(Stick em up, stick em up jimmy)
Nets won't be needed unless
(Jenny wanna get right to the flesh)
(Sweet little woman, sweet little woman)

I won't lie, I love B-U-D-D-Y (why)
'Cause I never let it walk on by
When it comes to me and Jenny I seem
(Very serious) like a Peek Freen
Buddy is the act that occurs on the lift
When Jenny and jimmy start shootin' the gift
Boy let me get shot I won't even riff

Buddy buddy, don't you know you make me go nutty
I'm so glad that you're not a fuddy duddy
Not too skinny and not too chubby
Soft like Silly Putty
Miss Crabtree, I hope that you're not mad at me
'Cause I told you that it was your buddy
That was making me ever so horny
Junglelistically horny

On the dial my buddy talks to me for a while
Plug Two is the (Q-Tip: Q to her Tip)
On the A side or sometimes the flip
(Never gonna flip this record)
Buddy is the bud to my daisy tree
And the Luden to my do-re-mi
And the pleaser to my man Plug 3
(Plug 3 gets all the buddy)

Behind my bush, my buddy likes the way that I push
And like a champ just knock it on out
Never ever once sellin' out
(Or let loose the juice)
My buddy helps me to
(De La my Soul)
Keepin' jimmy in total control
Without Jimmy I'd be on a roll
(La la la l-la la la la, la la la l-la la la la)

Hey girl I heard ya lookin' for some good times
If you Quest from the Soul, here's what we'll find
A whole lot of fun, lots of fun together
Just like kissin' cousins (yeah that's kinda clever)
Close like bosoms, bosoms stay close
If you be my buddy, I will boast
That we're like Ethel Mertz and Lucille MacGillicuddy
You can be mine and I can be your buddy

The best buddy's in evening wear
Long lovin' lets Tru know (he's in there)
I feel sorry for those who pay a fare (a fee) word to the D
I don't beg I just tease my buddy with my right leg
And when it's ready what's said is buddy is best in bed
(Word)

Fly buddy told us all to get into a circle
Said don't worry cause I won't hurt you
All I really wanna do is freak you (she freaked us)

And I watched and then I checked my Swatch
To see the time
The Soul had formed a buddy line
And that buddy was (mine all mine)

Now when Tribe, the Jungle, and De La Soul
Is at the clubs our ritual unfolds
Grab our bones and start swingin' our hands
(Then Jenny start flockin' it everywhere)
'Cause Jenifa just wants to stay aware
Yo fellas, should we keep her aware?
(Mmm Hmm, yeah!)",https://genius.com/De-la-soul-buddy-lyrics
The Magic Number,3 Feet High and Rising,1989.0,"Three, that’s the Magic Number
Yes, it is, it’s the magic number
Somewhere in this hip-hop soul community
Was born three: Mase, Dove and me
And that’s the magic number
(What does it all mean?)

Difficult preaching is Posdnuos’ pleasure
Pleasure and preaching starts in the heart
Something that stimulates the music in my measure
Measure in my music, raised in three parts
Casually see but don’t do like the Soul
Cause seein’ and doin’ are actions for monkeys
Doin’ hip hop hustle, no rock and roll
Unless your name’s Brewster, cause Brewster's a Punk (three)
Parents let go cause there’s magic in the air
Criticising rap shows you're out of order
Stop look and listen to the phrase Fred Astaires
And don’t get offended while Mase do-si-do’s your daughter
A tri-camera rolls since our music’s now set
Fly rhymes are stored on a Da.I.S.Y. production
It stands for “Da Inner Sound, Y’all” and y’all can bet
That the action's not a trick, but showing the function

Everybody wants to be a deejay
Everybody wants to be an emcee
But being speakers are the best
And you don’t have to guess
De La Soul posse consists of three
And that’s the magic number

This here piece of the pie
Is not dessert, but the course that we dine
And three out of every darn time
The effect is “Mmmm” when a daisy grows in your mind
Showing true position, this here piece is
Kissin’ the part of the pie that's missin’
When that negative number fills up the cavity
Maybe you can subtract it
You can call it your lucky partner
Maybe you can call it your adjective
But odd as it may be
Without my 1 and 2 where would there be
My three: Mase, Pos and me
And that’s the Magic Number
Focus is formed by flaunts to the soul
Souls who flaunt styles gain praises by pounds
Common are speakers who honor the scroll
Scrolls written daily creates a new sound
Listeners listen cause this here is wisdom
Wisdom of a Speaker, a Dove and a Plug
Set aside a legal substance to feed ‘em
For now get 'em high off this dialect drug
Time is a factor so it's time that counts
Count not the negative actions of one
Speakers of soul say it's time to shout
Three forms the soul to a positive sum
Dance to this fix and flex every muscle
Space can be filled if you rise like my lumber
Advance to the tune but don't do the hustle
Shake, rattle, roll to my Magic Number
Now you may try to subtract it
But it just won't go away
Three times one?
(What is it?)
(One, two, three!)
And that's a Magic Number
(Yo, what's up?)
(1, 2, 3)
(I say, children, what does it all mean?)
(Woah-woah-wo, 1, 2, 3)
(I wouldn't lie to you)
(No more no less, that's a magic number)
(No more no less)
(What it is?)
(No more no less)
(Do the shang-a-lang)
(No more no less)
(Anybody in the audience ever get hit by a car?)
(No more no less)
(How high's the water, mama?)
(No more no less)
(How high's the water, mama?)
(No more no less)
(Three feet high and rising)
(No more no less)
(Three)
(That's a magic number)",https://genius.com/De-la-soul-the-magic-number-lyrics
A Roller Skating Jam Named “Saturdays”,De La Soul is Dead,1991.0,"(And rollerskates)
(And rollerskates)
(And rollerskates)

Girl meets boy on Thursday night
Boy was high, girl fly like kite
They hold hands until next day
Boy then lets go, hit his way
Boy rules butt, brags to his boys
Erection brings sad boy joy
Boy thinks of that big fat back
Big black fat love, big black fat
Girl calls boy to stand him up on Saturday
Saturday

Saturday, it's a Saturday
It's a Saturday, it's a Saturday
Saturday, it's a Saturday
Saturday, it's a Saturday

Back once more with the wallop in the score
Must I ride and rip, should I make you rock your hip
Reviver of a roller-boogie in a rink
And sure to make you think about the times
To scope fun instead of fights
(But diving from a piece of metal sure to take your life)
Yo, slip your butt to the fix of this mix
Toss that briefcase, it's time to let loose
Cause you've worked like heck to get the weekend check
So unfasten that noose around your neck
Connected like a vibe from the wheel to the foot
Come on everybody dig the funky output

Five days you work
One whole day to play
Come on everybody, wear your rollerskates today
It's Saturday, Saturday
Saturday, it's Saturday
Saturday, it's Saturday
Saturday, it's Saturday-ay
(Is the word, is the word, is the word)

Now as you pump your fist I reminisce
To a 
bounce, rock, skate, roll
 fest to impress
Hey, pretty diamond, do you like the way I'm dressed
Cool, keep the faith and be my mate
Cause all we need is feet
(And rollerskates)
But promote the hustle cause it keeps me thin
No need to talk, look who just walked in

(Is there a Dred on skates?)
Yes, man
(So kick the wham on this jam)
Oh Mr. Sprinkler, Mr. Sprinkler
Wet me for one, Mr. Sprinkler
I'm heatin' high-five in a daze, no split
With a yawn I trip to the dawn
Out comes the bodies following the one idea
It's clear, rattle to the roll
Hold back up the track, grab your rollerskates y'all
And let's zip on by
Zip-a-de-doo-dah, let's zip on by
Feed on a weed and we're feeling high
Sun is on thick and the cheese is rollin' quick
Come on, there's no time to hide
Season is twist, spinning and winning
No hackeysack, let let me in
Spill on the bottom away, but it's okay, huh
It's a Saturday

Pos: 
Now let's all get baked like Anita
Q-Tip: 
Watch Mr. Lawnge
, don't look at the peter
Dove: Feel on the fun, I'll feel on the
Vinia: Hey, watch that!
De La Soul: It's a Saturday

Now is the time
To act the fool tonight
Forget about your worries and you will be all right
It's Saturday, Saturday
Saturday, it's Saturday
Saturday, it's Saturday
Saturday, it's Saturday-ay-ay-ay-ay-ay
(Aaoww)
(Saturday) x8",https://genius.com/De-la-soul-a-roller-skating-jam-named-saturdays-lyrics
Memory of... (US),and the Anonymous Nobody...,2016.0,"Cause it's so easy to fall back to the memory of
And it's easy to recall the good and fall into place
But you're not easy to love
I love the memory of...
I remember your face, I remember your way

I remember you now
Part of my existence
I remember your face
You came in and got me
All in a day
Yeah, all in a day
I remember your lips
Do you remember the taste?
Remember family names
Your child, my child, our child
Whitley and Dwayne
Different to my world now
Remember the ways
You gripped my hips so tight now?
Slow up the pace
Maybe erase, don't remember my waist

Cause it's so easy to fall back to the memory of
And it's easy to recall the good and fall into place
But you're not easy to love
I love the memory of...
I remember your face, I remember your way

How could I forget?
A ballad was born upon a demo of a fly love song
Didn't take long before the archer with the wings heard it
Shot us in the heart with a contract, he knew we were a hit
The right amount of soul with a parallel amount of grit
But the archer couldn't see the target of departure
Gave in your pink slip and called it quits
It's understood you would
Label me the mate who wronged you
Cause I kept wanting to feature
With them other females on they songs too
Your words spoken in mono for monogamy
Telling me I had to go cause I chose
Stereo for stereotypical male biology
And now I'm left setting traps
For you to fall in for me again
Who hates you to tell me
""Slow up the pace, maybe erase, don't…""

Slow up the pace
Maybe erase, don't remember my waist

Cause it's so easy to fall back to the memory of
And it's easy to recall the good and fall into place
But you're not easy to love
I love the memory of...

Our last trip to Vegas had me feeling like we had a chance
But chance just showed up at the wedding
I guess I didn't read the heading
""Forgivin' won't erase the bitter past""
But I ain't up for kissing ass
I bought you everything your pretty feet could fit in
Put you behind the finest steering wheels
Fearing you would drive a nigga crazy
Told you grow up, but shit, you was my baby
Bits and pieces never made nothing decent
When I accommodated you, you played me like a stranger

I remember you now (Accountability is major)
A part of what I did then
Remember your face
Just don't let me trip over memory lane
Cause time can't be replaced
And I don't want to stay

Cause, oh, it's so easy to fall back to the memory of
And it's so dah-dah-dee-dah
Dah-dah-dah-dah-dee-dah
It's so easy to fall
In dah-dah-dah-dah-dee-dah
Remember your way
Remember your way

It's De La featuring Estelle
With the Soul Brother Pete Rock",https://genius.com/De-la-soul-memory-of-us-lyrics
