title,album,year,lyrics,urls
Hip Hop,Let’s Get Free,1998.0,"Fake (fake) Records (records)
Uh, uh, uh, 1-2, 1-2
Uh, uh, 1-2, 1-2, uh, uh
All my dogs

It's bigger than hip-hop, hip-hop, hip-hop, hip
It's bigger than hip-hop, hip-hop, hip-hop, hip-hop

One thing bout music when it hit you feel no pain
White folks say it controls your brain
I know better than that, that's game
And we ready for that
Two soldiers head of the pack
Matter fact, who got the gat?
And where my army at?
Rather attack than not react
Back to beats, it don't reflect on how many records get sold
On sex, drugs and rock 'n' roll
Whether your project's put on hold
In the real world; these just people with ideas
They just like me and you when the smoke and camera disappear
Again the real world; it's bigger than all these fake-ass records
When poor folks got the millions and my woman's disrespected
If you check 1-2, my word of advice to you is just relax
Just do what you got to do; if that don't work then kick the facts
If you a fighter, rider, biter, flame-ignitor, crowd-exciter
Or you wanna just get high then just say it
But then if you a liar-liar, pants on fire, wolf-crier, agent with a wire
I'm gon' know it when I play it

It's bigger than hip-hop, hip-hop, hip-hop, hip
It's bigger than hip-hop, hip-hop, hip-hop, hip-hop

Who shot Biggie Smalls, if we don't get them, they gon' get us all
I'm down for running up on them crackers in their city hall
We ride for y'all, all my dogs, stay real
Nigga don't think these record deals gon' feed your seeds and pay your bills
Because they not
MC's get a little bit of love and think they hot
Talking bout how much money they got;
Nigga, all y'all records sound the same
I'm sick of that fake-thug-R&B-rap-scenario, all day on the radio
Same scenes in the video
Monotonous material
Y'all don't hear me though
These record labels slang our tapes like dope
You can be next in line and signed and still be writing rhymes and broke
You would rather have a Lexus or justice?
A dream or some substance?
A Bimmer
, a necklace or freedom?
Still a nigga like me don't playa-hate, I just stay awake
This real hip-hop
And it don't stop 'til we get the po-po off the block
They call it...

Hip-hop, hip-hop, hip-hop, hip
It's bigger than hip-hop, hip-hop, hip-hop, hip-hop
It's bigger than hip-hop, hip-hop, hip-hop, hip
It's bigger than hip-hop, hip-hop, hip-hop, hip-hop

DPZ got that crazy shit
We keep it crunked-up, John Blazed and shit
Uh, DPZ got that crazy shit we keep it crunk up
John Blaze'd and shit what
Uh, DPZ got that crazy shit we keep it crunk up
John Blaze'd and shit what
Uh, DPZ got that crazy shit we keep it crunk up
John Blaze'd and shit what
Uh, DPZ got that crazy shit we keep it crunk up
John Blaze'd and shit what
Uh, DPZ got that crazy shit we keep it crunk up
John Blaze'd and shit what",https://genius.com/Dead-prez-hip-hop-lyrics
Mind Sex,Let’s Get Free,2000.0,"It's time for some mind sex, we ain't got to take our clothes off yet
We can burn the incense, and just chat
Relax, I got the good vibrations
Before we make love let's have a good conversation

Pardon me, love, but you seem like my type
What you doing tonight? You should stop by the site
We could, roll some weed, play some records and talk
I got a fly spot downtown: Brooklyn, New York
Now I know you think I wanna fuck, and no doubt
But tonight we'll try a different route
How bout we start, with a salad, a fresh bed of lettuce with croutons
Later we can play a game of chess on the futon
See, I ain't got to get in your blouse
It's your eye contact that be getting me aroused
When you show me your mind, it make me wanna show you mines
Reflecting my light, when it shines, just taking our time
Before the night's through, we could get physical too
I ain't trying to say I don't wanna fuck, cause I do
But for me, boo, making love is just as much mental
I like to know what I'm getting into

It's time for some mind sex, we ain't got to take our clothes off yet
We can burn the incense, and just chat
Relax, I got the good vibrations
Before we make love let's have a good conversation
It's time for some mind sex, we ain't got to take our clothes off yet
We can burn the incense, and just chat
Relax, I got the good vibrations
Before we make love let's have a good conversation

African princess, tell me your interests
Wait, let me guess, boo: you probably like poetry
Here's a little something I jotted down in case I spotted you around
So let me take this opportunity
Would you share a moment with me, over herbal tea?
Take a walk verbally, make a bond certainly?
Cause in my hand I bet your hand fit perfectly
And it's like we floating out in space when you flirting with me
C'mon, a little foreplay don't hurt
Imagine my chest under this shirt, your ass under your skirt
It's like walking the hot sands and finding an oasis
Opposites attract: that's the basis
Our sex is the wind that separates the Yin from the Yang
The balance that means complete change, our aim
Is to touch you in a delicate spot
And once we get it started, I ain't trying to stop
But first, we havin mind sex

We ain't got to take our clothes off yet
We can burn the incense, and just chat
Relax, I got the good vibrations
Before we make love let's have a good conversation
It's time for some mind sex
We ain't got to take our clothes off yet
We can burn the incense, and just chat
Relax, I got the good vibrations
Before we make love let's have a good conversation
Mind sex

She smiles; I smile
She walks - no - she glides softly by me, changing night into day
She opens her mouth to speak
And so sounds ring in my head
She speaks, and I want to dance to her rhythm
She moves ever so gently, increasing my desires
As I place my arms around her waist
Hold and squeeze unto me
I want to melt into her body, and discover the base of her warmth
Her beautiful black body that no human mind could ever conceive
She's love, she's truth
She's real, as real as the stars that shine in the heavens
As real as the sun that bathes her body
As real as the moon that glows and the birds that sing and the rose
That blossoms in Spring - for she is that rose
And not just any rose, but a black rose
Black rose stands tall and stronger than any other plant
A black rose, that stands as Creator
Of nations of black roses
That never loses her petals, and blossoms all year round
Black rose, sweet rose, thornless rose, eternal rose
Please look my way
Please look my way
Please look my way
Black rose",https://genius.com/Dead-prez-mind-sex-lyrics
Be Healthy,Let’s Get Free,2000.0,"It's all love

I don't eat no meat, no dairy, no sweets
Only ripe vegetables, fresh fruit and whole wheat
I'm from the old school, my household smell like soul food, bro
Curry falafel, barbecued tofu
No fish though, no candy bars, no cigarettes
Only ganja and fresh-squeezed juice from oranges
Exercising daily to stay healthy
And I rarely drink water out the tap, cause it's filthy

Lentil soup is mental fruit
And ginger root is good for the yout'
Fresh vegetable with dem ital stew
Sweet yam fries with the green calalloo
Careful how you season and prepare your foods
Cause you don't wanna lose vitamins and minerals
And that's the jewel
Life brings life, it's valuable
So I eat what comes from the ground, it's natural
Let your food be your medicine (uh huh)
No Excederin (uh uh)
Strictly herb, generate in the sun, cause I got melanin
And drink water, eight glasses a day
'Cause that's what they say

They say you are what you eat, so I strive to eat healthy
My goal in life is not to be rich or wealthy
Cause true wealth comes from good health, and wise ways
We got to start taking better care of ourselves
They say you are what you eat, so I strive to eat healthy
My goal in life is not to be rich or wealthy
Cause true wealth comes from good health, and wise ways
We got to start taking better care of ourselves, be
Healthy y'all

Yeah, yeah, yeah, hold the fuck up, yo
We'll take this little intermission, listen what the
Fuck we gotta say, y'know?
Word is bond son, niggas been livin foul for too long, knowamsayin?
Smokin bogeys, fuckin drinkin all types of shit
Wailin out, not givin a fuck what they puttin in they
Bodies, son, knowamsayin?
'Bout time niggas start thinkin about that shit, son, knowamsayin?
That shit is fuckin, makin us deteriorate, son
Word up, we gotta care bout our little babies an shit, son
Niggas got kids to raise, straight up
Ya gotta start learnin yo self, learning bout ya health, son
Learnin this world we live in, kid, knowamsayin?
It's time to start changin' all that shit god, word up
So I'm gonna leave y'all niggas on some shit like that, ya knowamean?
Word up, y'all niggas better start usin y'all minds an
Shit, kid
Peace",https://genius.com/Dead-prez-be-healthy-lyrics
Police State,Let’s Get Free,2000.0,"You have the emergence in human society of this thing that's called the State. What is the State? The State is this organized bureaucracy: it is the police department. It is the Army, the Navy. It is the prison system, the courts, and what have you. This is the State; it is a repressive organization. But the state and gee well, you know, you've got to have the police because if there were no police, look at what you'd be doing to yourselves -- you'd be killing each other if there were no police! But the reality is the police become necessary in human society only at that juncture in human society where it is split between those who have and those who ain't got

I throw a Molotov cocktail at the precinct
You know how we think:
Organize the hood under I Ching banners
Red, Black, and Green instead of gang bandanas
FBI spying on us through the radio antennas
And them hidden cameras in the streetlight watching society
With no respect for the people's right to privacy
I'll take a slug for the cause like Huey P
While all you fake niggas try to copy Master P
I want to be free to live, able to have what I need to live
Bring the power back to the street where the people live
We sick of working for crumbs and filling up the prisons
Dying over money and relying on religion
For help. We do for self like ants in a colony
Organize the wealth into a socialist economy
A way of life based off the common need
And all my comrades is ready, we're just spreading the seed

The average Black male
Live a third of his life in a jail cell
Cause the world is controlled by the white male
And the people don't never get justice
And the women don't never get respected
And the problems don't never get solved
And the jobs don' never pay enough
So the rent always be late
Can you relate?
We living in a police state

No more bondage, no more political monsters
No more secret space launchers
Government departments started it in the projects
Material objects, thousands up in the closets
Could've been invested in a future for my comrades
Battle contacts, primitive weapons out in combat
Many never come back, pretty niggas be running with gats
Rather get shot in they back than fire back
We tired of that, corporations hiring Blacks
Denying the facts exploiting us all over the map
That's why I write the shit I write in my raps
It's documented, I'm in it, every day of the week I live in it
Breathing it, it's more than just fucking believing it
I'm holding M1's, rolling up my sleeves n' shit
It's Cee-lo for push-ups now
Many headed for one conclusion
Niggas ain't ready for revolution

The average Black male
Live a third of his life in a jail cell
Cause the world is controlled by the white male
And the people don't never get justice
And the women don't never get respected
And the problems don't never get solved
And the jobs don' never pay enough
So the rent always be late
Can you relate?
We living in a police state

I am a revolutionary
And you’re gonna have to keep on sayin' that
You’re gonna have to say that ‘I am the proletariat’
‘I am the people’
‘I am not the pig’
Giuliani you are full of shit!
And anybody that’s down with you!
You could man-make things better for us
And you cuttin the welfare
Knowin damn well when you cut the welfare
A person gon' do crime",https://genius.com/Dead-prez-police-state-lyrics
They Schools,Let’s Get Free,2000.0,"[Intro: 
Sample
 & stic.man]
Why haven't you learned anything?
Man that school shit is a joke
The same people who control the school system control
The prison system, and the whole social system
Ever since slavery, naw I'm saying?

I went to school with some redneck crackers
Right around the time 3rd Bass dropped the Cactus Album
But I was reading Malcolm
I changed my name in '89 cleaning parts of my brain
Like a baby nine
I took a history class serious
Front row, every day of the week, 3rd period
Fucking with the teachers head, calling em racist
I tried to show them crackers some light, they couldn't face it
I got my diploma from a school called Rickards
Full of, teenage mothers, and drug dealing niggas
In the hallways, the popo was always present
Searching through niggas possessions
Looking for, dope and weapons,
 
get your lessons
That's why my moms kept stressin'
I tried to pay attention but they classes wasn't interestin'
They seemed to only glorify the Europeans
Claiming Africans were only three-fifths a human being
[Chorus: stic.man & 
Keanna Henson
]
They schools can't teach us shit
My people need freedom, we trying to get all we can get
All my high school teachers can suck my dick
Telling me white man lies straight bullshit (bullshit)
They schools ain't teaching us, what we need to know to 
survive
(Say what, say what)
They schools don't educate, all they teach the people is lies

You see dog, you see how quick these motherfuckers be to like
Be telling niggas get a diploma so you can get a job
Know what I'm saying but they don't never tell you how the job
Gonna exploit you every time
 know what I'm saying that's why I be like
Fuck they schools!

School is like a 12 step brainwash camp
They make you think if you drop out you ain't got a chance
To advance in life, they try to make you pull your pants up
Students fight the teachers and get took away in handcuffs
And if that wasn't enough, then they expel y'all
Your peoples understand it but to them, you a failure
Observation and participation, my favorite teachers
When they beat us in the head with them books, it don't reach us
Whether you breakdance or rock suede Adidas
Or be in the bathroom with your clique, smoking reefer
Then you know they math class ain't important 'less you adding up cash
In multiples, 
unemployment ain't rewardin'
They may as well teach us extortion
You either get paid or locked up, 
the principal is like a warden
In a four year sentence
, 
mad niggas never finish
But that doesn't mean I couldn't be a doctor or a dentist
[Chorus: stic.man & 
Keanna Henson
]
They schools can't teach us shit
My people need freedom, we trying to get all we can get
All my high school teachers can suck my dick
Telling me white man lies straight bullshit (bullshit)
They schools ain't teaching us, what we need to know to 
survive
(Say what, say what)
They schools don't educate, all they teach the people is lies

Cuz for real, a mind is a terrible thing to waste
And all y'all high class niggas with y'all nose up
Cuz we droppin this shit on this joint, fuck y'all
We gon speak for ourselves
Knowhatimsayin? Cuz see the schools ain't teachin us nothin
They ain't teachin us nothin but how to be slaves and hardworkers
For white people to build up they shit
Make they businesses successful while it's exploitin us
Knowhatimsayin? And they ain't teachin us nothin related to
Solvin our own problems, knowhatimsayin?
Ain't teachin us how to get crack out the ghetto
They ain't teachin us how to stop the police from murdering us
And brutalizing us, they ain't teachin us how to get our rent paid
Knowhatimsayin? They ain't teachin our families how to interact
Better with each other, knowhatimsayin? They just teachin us
How to build they shit up, knowhatimsayin? That's why my niggas
Got a problem with this shit, that's why niggas be droppin out that
Shit cuz it don't relate, you go to school the fuckin police
Searchin you you walkin in your shit like this a military compound
Knowhatimsayin? So school don't even relate to us
Until we have some shit where we control the fuckin school system
Where we reflect how we gon solve our own problems
Them niggas ain't gon relate to school, shit that just how it is
Knowhatimsayin? And I love education, knowhatimsayin?
But if education ain't elevatin me, then you knowhatimsayin it ain't
Takin me where I need to go on some bullshit, then fuck education
Knowhatimsayin? At least they shit, matter of fact my nigga
This whole school system can suck my dick, BEEYOTCH!!",https://genius.com/Dead-prez-they-schools-lyrics
Propaganda,Let’s Get Free,2000,"""Let me now turn, to our program for the future.""
(News Snippets)
""The economy right now, is extremely supporting of the president and his policies.""
""FBI scientists have found chemical traces, consistent with a bomb or a missile, on a piece of wreckage...""
""police using clubs and tear gas against demonstrators...""
""they called me a mother -(bleeped out)-ing so-and-so... and a white fascist... like they said, 'you're getting some of your own medicine'...""

Telling lies, to our vision
Telling lies, to our children
Telling lies, to our babies
Only truth, can take us away
From here

You can't fool all the people all of the time
But if you fool the right ones, then the rest will fall behind
Tell me who's got control of your mind? Your world view?
Is it the news or the movie you're taking your girl to?
Know what I'm saying 'cause Uncle Sam got a plan
If you examine what they tellin' us then you will understand
What they plantin' in the seeds of the next generation
Feedin' our children miseducation
No one knows if there's UFOs or any life on Mars
Or what they doin' when they up in the stars
Because I don't believe a word of what the president said
He fillin' our head with lies, got us hypnotized
When he be speakin' in code words about crime and poverty
Drugs, welfare, prisons, guns and robbery
It really means us, there's no excuse for the slander
But what's good for the goose, is still good for the gander
See...

I don't believe Bob Marley died from cancer
31 years ago I would've been a Panther
They killed Huey 'cause they knew he had the answer
The views that you see in the news is propaganda

Telling lies, to our vision
Telling lies, to our children
Telling lies, to our babies
Only truth, can take us away
From here

I don't want no computer chip in my arm
I don't wanna die by a nuclear bomb
I say we all rush the pentagon
Pull out guns and grab the intercom
My first words'll be, ""I believe
Man made God, outta ignorance and fear""
If God made man, then why the hell would he put us here?
I thought he's s'posed to be the all-loving?
The same God who let Hitler put the Jews in the ovens
We don't fall for the regular shit, they try to feed us
All this half-ass leadership, flippin' position
They turn politician and shut the hell up and follow tradition
Boy, your TV screen is telling lies to your vision
Every channel got some brainwashed cop shit to watch
Running up in niggas' cribs claiming that they heard shots
It's a plot, but busta, can you tell me who's greedier?
Big corporations, the pigs or the media?
Sign of the times, terrorism on the rise
Commercial airplanes, fallin' out the skies like flies
Make me wonder what secrets went down with Ron Brown
Who burnt the churches to the ground with no evidence found?
It's not coincidence, it's been too many steady incidents
It could've been the Klan who put that bomb at the Olympics
But it prob'ly was the FBI, deep at the core
Cause if they make us all panic then they can start martial law

I don't believe Bob Marley died from cancer
31 years ago I would've been a Panther
They killed Huey 'cause they knew he had the answer
The views that you see in the news is propaganda
I don't believe Bob Marley died from cancer
31 years ago I would've been a Panther
They killed Huey 'cause they knew he had the answer
The views that you see in the news is propaganda

The police is telling lies fooling millions
What are they teaching our kids in these school buildings?
Televised, enterprise making a killing
Controlling our lives, this ain't living
No, this ain't living

FBI, CIA
ATF, KKK
IRS, TNT
CBS, NBC
FBI, CIA
ATF, KKK
IRS, TNT
CBS, NBC

Telling lies, to our vision
Telling lies, to our children
Telling lies, to our babies
Only truth, can take us away
From here

""Uh, we view each other with a great love and a great understanding. And that we try to expand this to the general Black population, and also, people-- oppressed people all over the world. And, I think that we differ from some other groups simply because we understand the system better than most groups understand the system. And with this realization, we attempt to form a strong political base based in the community with the only strength that we have and that's the strength of a potentially destructive force if we don't get freedom.""",https://genius.com/Dead-prez-propaganda-lyrics
I’m a African,Let’s Get Free,2000,"Yo, turn this motherfucking shit up! Hahaha. (Uh) What?
Uhuru
 
(""Africa's in the house"")
Coupe tete boule kay,
 
Rwanda, Nigeria
 
(""Africa's in the house"")
My nigga Dedan, 
Abu
 
(""Africa's in the house, they get petrified"")

Nigga, the red is for the blood in my arm.  The black is for
The gun in my palm and the green is for the traum
That grows natural
 
like locks on Africans
Holding the smoke from the herb in my abdomen
Camouflage fatigues and dashikis, somewhere
In between N.W.A. and P.E
I'm black like Steve Biko, raised in the ghetto by the people
Fuck the police (“Fuck the Police”)—you know how we do

Ayo, my life is like Roots: it's a true story
It's too gory for them televised fables on cable
I'm a runaway slave watching the North Star
Shackles on my forearm, running with a gun in my palm
I'm a African, never was a African-American
Blacker than black, I take it back to my origin
Same skin hated by the Klansmen
Big nose and lips, big hips and butts dancing, what!

I'm a African, I'm a African, uh 
(“Louder”)
And I know what's happening
I'm a African, I'm a African, uh 
(“Louder”)
And I know what's happening
You a African? You a African? 
(“Louder”)
Do you know what's happening?
I'm a African, I'm a African, uh 
(“Louder”)
And I know what's happening

It's plain to see you can't change me
‘Cause I'm People Army for life
It's plain to see you can't change me
‘Cause I'm People Army for life
It's plain to see you can't change me
‘Cause I'm People Army for life
 
(“Louder”)
It's plain to see you can't change me
‘Cause I'm People Army for life
 (Where you from, fool?)

No, I wasn't born in Ghana, but Africa is my momma
And I did not end up here from bad karma
Or for b-ball, selling mad crack, or rapping
Peter Tosh tried to tell us what happened
He was saying if you black, then you African
So they had to kill him
And make him a villain ‘cause he was teaching the children
I feel him, then was trying to drop us a real gem
That's why we bucking holes in the ceiling when we hearing

I'm a African, I'm a African, uh 
(“Louder”)
And I know what's happening
I'm a African, I'm a African, uh 
(“Louder”)
And I know what's happening
You a African? You a African? 
(“Louder”)
Do you know what's happening?
I'm a African, I'm a African, uh 
(“Louder”)
And I know what's happening

A-F-R-I-C-A
Puerto Rico, Haiti, and J.A
New York and Cali, F-L-A
Yo, it ain't 'bout where you stay.  It's ‘bout the motherland
A-F-R-I-C-A
Puerto Rico, Haiti, and J.A
New York and Cali, F-L-A
Yo, it ain't 'bout where you stay.  It's ‘bout the motherland

This that tank top, flip flop, 
knotty dreadlock
Fuck-a-cop hip hop make your head bop
Bounce to this socialist movement
My environment made me the nigga I am
Uncle Sam came and got me and the rest my fam
Tried to infiltrate and murder off the best of my clan
I'm not American, punk, Democrat or Republican
Remember that most of the cats we know be hustling
My momma worked all her life and still struggling
I blame it on the government and say it on the radio
(What?) And if you don't already know
All these Uncle Tom, ass-kissing niggas got to go",https://genius.com/Dead-prez-im-a-african-lyrics
Psychology,Let’s Get Free,2000.0,"[
Intro: Lou Rawls
 & 
Umi
]
I was born, in a dump
My mama died and my daddy got drunk
He left me, to die or grow
In the middle of Tobacco Road
I grew up in a rusty shack
All I owned was hangin on my back
And Lord knows, how I loathe
This place called Tobacco Road
Tobacco Road, you're dirty and you're filthy
Tobacco Road, gonna get me some dynamite and a crane
I'm gonna blow it up, Lord knows gonna start all over again
My mind is the place where I make my plans
The world is the place where I take my stand
The beauty of life is mine today
They cannot take my mind away

Fuck what you heard, I'm from Africa
This ain't no act it's mathematical
Past the black radical
I choose the M-1 because it's practical
Nothin was changed, we ain't protected
No names, it's all factual
They push the wrong buttons, count down to detonate
Brooklyn blown away and the world will have to speculate
This is what we learn in the streets, fuck a degree
Believe in none of what you hear and half of what you see

It's like watching your own father smoke crack
I have nightmares on shit like that
No way in hell I'll ever get like that
I seen a lot of shit in twenty-two years
It's like a 
tour of duty
My life is booby-trapped
, 
it's hard to see the beauty
When your heart is turning ice cold
Cold like your hands exposed to blistering winds
My mother keep her eyes closed, she say she prayin
I listen close to what she sayin
When she speak of Jesus I ignore it
But when it's practical I'm all for it
You got to think like a soldier
I'm training myself to snatch pistols out of holsters
Discipline keep the mind focused
This whole world is a corn field son
Look out for flying locusts

Don't let 'em get in your head, they try to probe you
Figure your thoughts so they can try and control you
And through you, control your whole crew
It's psychology boy, now what the fuck that make you wanna do?
Don't let 'em get in your head, they try to probe you
Figure your thoughts so they can try and control you
And through you, control your whole crew
It's psychology boy, now what the fuck that make you wanna do?

You can't walk the streets with no state of mind
Blind to the ways of mankind
And if you know the time, give me a sign
Tell me where we draw the line, I got your back if you got mine
My enemy's enemy is my man
, 
one dreadlock is stronger than one strand
While the crackers got the upper hand
 
my comrades stands
On lands stolen
Every tooth a golden opportunity, who holding my community
Hostage? 10% ransom
Costing us time we lost and some
This is how the plan runs, thinking with a fugitive brain
What we do to live is insane
Hold in the weed, healing my membranes
, just like crack
You know it all boils down to the dollars-and-cents of it
Niggas commence to get rents to sentenced to serve terms
Jumping the fence, the black germ is loose
When will they learn?
Psychology

We piss on walls and smoke reefa in the halls
No respect for their laws
I cut your face with a kitchen knife
In gladiator times, man against machinery
The tree bark fatigues help me blend in with the scenery boy
Life is a series of serious choices
Theories is formed from experience, never mysterious forces
Various courses of life can lead to failure
Too much of anything is a trap
My mind snap
Guerilla warfare for two grand
They say karate means 'empty hands'
So then it's perfect for the poor man...
They say karate means 'empty hands'
So then it's perfect for the poor man

Don't let 'em get in your head, they try to probe you
Figure your thoughts so they can try and control you
And through you, control your whole crew
It's psychology boy, now what the fuck that make you wanna do?
Don't let 'em get in your head, they try to probe you
Figure your thoughts so they can try and control you
And through you, control your whole crew
It's psychology boy, now what the fuck that make you wanna do?

If we don't organize
Then we won't survive
If we don't realize
We are sure to die
Psychology

When you think of us think of pyramids and pistols
And glimmering gold teeth that shine like crystals
The mind is like a jewel son
Only a fool wouldn't grasp it
Wisdom is a tool, you get blasted
When you think of us think of pyramids and pistols
And glimmering gold teeth that shine like crystals
The mind is like a jewel son
Only a fool wouldn't grasp it
Wisdom is a tool, you get blasted

Free your mind, and the rest will follow
Seize the time, no one is promised tomorrow
Free your mind, and the rest will follow
Seize the time, no one is promised tomorrow
Free your mind, and the rest will follow
Seize the time, no one is promised tomorrow",https://genius.com/Dead-prez-psychology-lyrics
Hell Yeah (Pimp the System),RBG: Revolutionary but Gangsta,2004.0,"Holton Street
Dean Street, click clack
President, uh huh
Nostrand Ave, DPz
Orange Ave, RBGs
Tee Town, who wanna ride
Brooklyn, come on, come on

Sitting in the living room on the floor
Hunger pang got me on some migraine shit
But I'm gonna maintain
Nigga got two or three dollars to my name
And my homies in the same boat going through the same thing
Ready for a caper, better plot for the paper
We been living in the dark since April
On the candle, gotta get a handle
My homie got a twenty-five automatic added to the camper
Nigga get the phone book look up in the yellow page
Lemme tell you how we gonna get paid
We gonna order take-out and when they send the driver
We gonna stick the twenty-five up in his face
Let's ride, stepping outside like warriors
Head to the notorious Southside
One weapon to the four of us
Hiding in the corridor until we see the beams from the car headlights
White boy in the wrong place at the right time
Soon as the car door open up he mine
We roll up quick and put the pistol to his nose
By the look on his face he probably shitted in his clothes
You know what this is
It's a stick up
Gimme the do' from your pickups
You ran into the wrong niggas
We running down the block hot with these stacks of boxes
So we split up and met back at the apartment

Hell yeah! - Yo ain't you hungry my nigga?
Hell yeah! - You wanna get paid my nigga?
Hell yeah! - Ain't you tired of starving my nigga?
Hell yeah! - Well lets ride then!
Hell yeah!
Hell yeah!

I know a way we can get paid
You can get down but you can't be afraid
Let's go to the DMV and get an ID
The name says you but the face is me
Now it's your turn take my paper work
Like 1, 2, 3 lets make it work
Then, fill out the credit card application
And its gonna be bout 3 weeks a waiting
For American Express
Discover Card
Platinum Visa, Mastercard
Cause when we was boosting shit we was targets
Now we just walk right up and say charge it
To the game we rocking brand names
Well known at the department store chains
We even got the boys in the crew a few things
Po Po never know who to true blame
Sto' after Sto' you know we kept rolling
Wait two weeks report the card stolen
Repeat the cycle like a laundry mat
Like a glitch in the system it's hard to catch
Coming out the mall with the shopping bags
We can take it right back then get the cash
Yea, get a friend and then do it again
Damn right that's how we paid the rent


I know a caper
We can get some government paper
You know food stamps can we really do that
Hell yea, right there for the taking
Fuck welfare we say reparations
And, you know the grind
Get up early get in the line and just wait
Everybody on break that's part of the game
And when they call your name
Ms. Case Worker let my state my claim
I'm homeless, jobless, times is hard
I'm bout hopeless
But I gotta eat regardless
No family to run to I'm twenty two
Now tell me what the fuck am I supposed to do
My sad story made her feel close to me
I made her feel like it was an emergency
When I came to the crib niggas couldn't believe
I came back with a big bag of groceries, hell yeah
Every job I ever had I had to get on the first day
I find out how to pimp on the system
Two steps ahead of the manager
Getting over on the regular tax free money out of the register
And when I'm working late nights stocking boxes
I'm creeping their merchandise
And don't put me on dishes I'm dropping them bitches
And taking all day long to mop the kitchen shit
We ain't getting paid commission, minimum wage, modern day slave conditions
Got me flippin' burgers with no power
Can't even buy one off what I make in an hour
I'm not the one to kiss ass for the top position
I take mine off the top like a politician
Where I'm from doing dirt is a part of living
I got mouths to feed I gots to get it

If you claiming gangsta, then bang on the system
And show that you ready to ride
Till we get our freedom
We got to get over
We steady on the grind",https://genius.com/Dead-prez-hell-yeah-pimp-the-system-lyrics
Behind Enemy Lines,Let’s Get Free,2000.0,"Let's go fellas, shower time's up in five minutes
*Sounds of prison bars slamming shut *
Get those feet off the table.  What do you think this is, home?
(This is bullshit.  Yo son, let me get a cigarette)
(I’mma go... back to my cell and read)
That's it—five more minutes and that's it
Back to work fellas, back to work!

Yo, lil' Kadeija pops is locked, she wanna pop the lock
But prison ain't nothin’ but a private stock
And she be dreamin’ ‘bout his date of release, she hate the police
But loved by her grandma who hugs and kisses her
Her father's a political prisoner, Free Fred
Son of a Panther that the government shot dead
Back in 12/4, 1969
Four o'clock in the mornin, it's terrible but it's fine ‘cause
Fred Hampton Jr. looks just like him
Walks just like him, talks just like him
And it might be frightenin’ the Feds and the snitches
To see him organize the gang brothers and sisters
So he had to be framed, yo, you know how the game go
Eighteen years because the five-o said so
They said he set a fire to a arab store
But he ignited the minds of the young black and poor

Behind enemy lines, my niggas is cellmates
Most of the youths never escape the jail fates
Super maximum camps will advance they game plan
To keep us in the hands of the man, locked up

(Hello?) Collect call from Nes
(How are you?) You know, shit is crazy Boo
(Have you been alright?) You know I miss you
(I feel lonely, lonely, lonely) Yo woman… 
Can you put some money in my commissary
?

Lil' Kenny been smoking loosies since he was twelve
Now he's 25 locked up with a L
They call him triple K cause he killed three niggas
Another ghetto child got turned into a killer
His pops was a Vietnam veteran on heroin
Used like a pawn by these white North Americans
Momma couldn't handle the stress and went crazy
Grandmamma had to raise the baby
Just a young boy born to a life of poverty
Hustlin’, robbery, whatever brung the paper home
Carried the chrome like a blind man hold a cane
Tattoes all over his chest, so you can know his name
But y'all know how the game go
D's kicked in the front door and guess who they came fo'?
A young nigga headed for the pen, coulda been, shoulda been
Never see the hood again

Behind enemy lines, my niggas is cellmates
Most of the youths never escape the jail fates
Super maximum camps will advance they game plan
To keep us in the hands of the man, locked up
Behind enemy lines, my niggas is cellmates
Most of the youths never escape the jail fates
Super maximum camps will advance they game plan
To keep us in the hands of the man, locked up

*speaking in Spanish*

You ain't gotta be locked up to be in prison
Look how we livin’, thirty thousand niggas a day
Up in the bing, standard routine
They put us in a box just like our life on the blocks
(Behind enemy lines)
You ain't gotta be locked up to be in prison
Look how we livin, thirty thousand niggas a day
Up in the bing,
 standard routine
They put us in a box just like our life on the blocks
(behind enemy lines)",https://genius.com/Dead-prez-behind-enemy-lines-lyrics
