title,album,year,lyrics,urls
Try Me,Ultimate Hip-hop,2014.0,"Let a nigga try me, try me
I'm a get his whole motherfuckin' family
And I ain't playin with nobody
Fuck around and I'ma catch a body
Let a nigga try me, try me
I'm a get his whole motherfuckin' family
And I ain't playin with nobody
Fuck around and I'ma catch a body

Bitch I got the mac or the 40
Turn a bitch to some macaroni
Tell me how you want it I'm on it
I really mean it I'm just not recordin'
Give lil bro the choppa for all you oppas
Leave a bitch nigga head in pasta
You are an impostor, ain't got no money
Put the burner to his tummy, and make it bubbly
I really hate niggas I'm a Nazi
Love wearin' all black, you should see my closet
Rock that all white, when I'm feelin' Godly
Hop out like Coke, I ain't gotta park it
Fuck is y'all saying, bitch my hood love me
48214 real niggas know me
I been out my mind since they killed my cousin
Free my cousin Devin, man he just called me
All these niggas love me, can't get 'em off me
Fuck around gave him my number, he won't stop callin'
IBGM be the clique, bitch, you see us scorin'
V.I.P in the plural, while yo section borin'
Got a bitch that set it off like Jada Pinkett, Queen Latifah
You rollin' around wit yo nieces, bitch you T.T
Mind full of money, got a heart full of demons
Mobbin' like Italians, we really take yo fingas
Turn yo face into a pizza, no acne
Have you singin' like Alicia, fuck wit my family
They be like you little, but got damn she spazzin'
Do the whole crew, my bitches freak nasty

Let a nigga try me, try me
I'm a get his whole motherfuckin' family
And I ain't playin with nobody
Fuck around and I'ma catch a body
Let a nigga try me, try me
I'm a get his whole motherfuckin' family
And I ain't playin with nobody
Fuck around and I'ma catch a body

Bitch I got the Tommy no Hilfiger
Lil Dej ain't bout it, bitch how you figure
I don't do no drugs, I be off liquor
So lifted, flyer than yo girl, baby gone and take my picture
See I gotta get this money, my palms itchin'
Niggas gossip like hoes, most of 'em bitches
I don't wanna do no songs, I don't wanna kick it
And I ain't signin' to no label, bitch I'm independent

Let a nigga try me, try me
I'm a get his whole motherfuckin' family
And I ain't playin with nobody
Fuck around and I'ma catch a body",https://genius.com/Dej-loaf-try-me-lyrics
Back Up,#AndSeeThatsTheThing,2015.0,"Back up off me, back up off me
Back up off me, back up off me

Oh yah yah bitch, back up off me
You don't know me, I'm too clean, I'm too holy, bitch I'm godly
I only go for real niggas who don't brag 'bout what they bought me
Cause they know I got a bag, gotta fuck me up some commas
If I fuck and make you cum, you got to promise not to stress me
Don't be blowin' up my phone and don't be leavin' voice messages
Sayin' ""I can do you right, do you better than your exes""
I told that nigga to stop it, he was talkin' out his necklace
See the difference with me, I never needed niggas, ever
I'll leave 'em where I met 'em, I ain't trippin' off no extras
Goons in the cut try to talk you out your necklace
If you ever disrespect me, pussy, don't be disrespectful
I said woo, I said I know, I know, I know
He heard about me, he was waitin' on me at the door
I said woo, yeah that mink all on the floor
Used to bust this shit at skatin', 6 to 9, come in at 4
We got glow sticks for you ho chicks, bitch don't act like you don't know this
I'm very antisocial, social network ain't my motion (I don't move like that)
I show no emotions, nigga's bitches it's disgustin'
Bananas with the Trojans, pop that pussy for a legend

I said woo, I said I know, I know, I know
I said bitch back up off me
I said woo, I said bitch back up off me
I said woo... get this nigga
I said woah woah, yah yah, bitch back up off me
I said woah woah, yah yah, bitch back up off me
I said woah woah, yah yah, bitch back up off me
I said woah woah, yah yah, bitch back up off me
Back up off me, back up off me, I said bitch back up off me
Back up off me, back up off me, I said bitch back up off me
(Ahh.  Sean Don)
Back up off me, back up off me, I said bitch back up off me
(Detroit shit)
I said... back up off me, I said bitch back up off me
(Finally Famous, nigga)

Back up off me, they want my backs in coffins
It's so cold in the D and they still wanna take my jacket off me
Back when I couldn't afford to get it mixed and mastered, homie
My mama fronted me that money so it's no backup, homie
Bitch so back up off me
Bank account look like a ballot, homie, yeah it's checked up
My niggas packin', you get to trippin', they unpackin', homie
Yeah I overdo it, yeah that's salad, homie
Yeah I'm overdressed and ain't no salad on me
Me and DeJ together, holy matrimony
Yohhh, it's hard to smile and shit
When they ain't free Juan, I got real ones on trial and shit
Fuck all my peers unless we talkin' bout Belle Isle and shit
The check is seven figures, I might try and dial the shit
And if I fuck and make you cum, don't be blowin' up my phone
Lately I've been messin' with girls who tend to own shit on their own
I turn dusk into dawn, turn my chair to a throne
Fuck her off in the whip, make her take Uber home
Cold to the chromosome, I grew up without a hammock
I did everything except panic, feel me? Finally Famous the family
And we expandin' on the top floor like we tannin'
She throwin' tantrums
She gon' hold this dick like a Grammy
I give her bomb D and do damage, she like...

I said woo, I said I know, I know, I know
(Detroit shit nigga)
I said bitch back up off me
I said woo, I said bitch back up off me
(What up dog)
I said woo... get this nigga
I said woah, yah yah, bitch back up off me
I said woah woah, yah yah, bitch back up off me
I said woah woah, yah yah, bitch back up off me
I said woah woah, yah yah, bitch back up off me
Back up off me, back up off me, I said bitch back up off me
Back up off me, back up off me, I said bitch back up off me
Back up off me, back up off me, I said bitch back up off me
I said... back up off me, I said bitch back up off me

Yeah that's right nigga
(I said woah, yah yah)
For the city
(Woah, yah yah, bitch back up off me)
You got Queen DeJ, Sean Don, straight up
Ha! It's time to boss up on everything, I'm gettin' everything",https://genius.com/Dej-loaf-back-up-lyrics
Hey There,#AndSeeThatsTheThing,2015.0,"Future Hendrix
DeJ Loaf, I got you, baby
You got what I want (that's right)
You got what I want (yeah yeah)
And I got what you need
Hey there, hey there
Freeband gang
What we doin', what we doin'?

Hey there, hey there (yeah, yeah baby)
Hey there, hey there (try to turn up on 'em)
Hey there, hey there (I see you lookin' good)
Hey there, hey there (Fuck these hoes, nigga)
Hey there (Aye what we doin'?)
Hey there (Aye what we doin' then?)
Hey there, hey there (Aye what we doin' baby?)
(Aye what we doin' then?)

I still taste you on my lips, yeah yeah I do
Last night we made love until the sun came
I know it's hard when I leave, I'm not with you
But when I'm gone, hold it down, you're my love thing
You be doin' it, that one and two, that four thing
Let's slow it down a bit, I'll hit you with that foreplay
Hop on top, I start to ride you, that's that horseplay
Strip for my baby, bitch we ballin', that's that sports play
I love you, I love you
I feel it all in my stomach
You a monster, baby, baby I want you
I'm starin' you in the eyes and tellin' you that I want it
No shame in my game, I'm a feind, I'm a junkie
You need a line of my love, put this pussy all on you
I got you bumpin' and grindin', got me screamin' and moanin'
Who's knockin' at the door? My legs locked right now

Hey there, hey there (yeah, yeah baby)
Hey there, hey there (try to turn up on 'em)
Hey there, hey there (I see you lookin' good)
Hey there, hey there (Fuck these hoes, nigga)
Hey there (Aye what we doin'?)
Hey there (Aye what we doin' then?)
Hey there, hey there (Aye what we doin' baby?)
(Aye what we doin' then?)

I ain't tryna spare you, baby, ain't no tire in my trunk
I get to come at you at least a hundred times out the month
Soon as you wake, baby, ride on me, just for breakfast
Paparazzi wastin' time if they're tryna catch us
I done hit her with a new wave, she go crazy about the D
And say fuck the earth, it's us against everybody
You on a team now, baby, yeah Pat Riley
You with a king now, it's only right you shine like a queen

And I still taste you on my lips, oh yeah I do
When we make love we on the top of the moon
But that oh, oh say my name now
Put my nose in that pussy, give you head now
She know I get that moola, man trappin' is a habit
We ballin' every night, baby, woah Kemosabe
Ain't no shame in my game, I'm a fiend, I'm a addict
Whoever knockin' at the door, I told 'em I got to have it
What's poppin'?

Hey there, hey there (yeah, yeah baby)
Hey there, hey there (try to turn up on 'em)
Hey there, hey there (I see you lookin' good)
Hey there, hey there (Fuck these hoes, nigga)
Hey there (Aye what we doin'?)
Hey there (Aye what we doin' then?)
Hey there, hey there (Aye what we doin' baby?)
(Aye what we doin' then?)

And I still taste you on my lips, oh yeah I do
When we make love we on the top of the moon
But that oh, oh say my name now
Put my nose in that pussy, give you head now
She know I get that moola, man trappin' is a habit
We ballin' every night, baby, woah Kemosabe
Ain't no shame in my game, I'm a fiend, I'm a addict
Whoever knockin' at the door, I told 'em I got to have it
What's poppin'?",https://genius.com/Dej-loaf-hey-there-lyrics
Me U & Hennessy,Sell Sole,2014.0,"Can we stay home tonight?
Try something new tonight?
This drink got me feelin' right
I'm 'bout to lose my mind
You, me, and Hennessy, look what you did to me
Fuckin' so crazy, you twirlin' and spinnin' me
My head keep on spinnin', my legs keep on shakin'
But my head keep on spinnin'
I'm out of my mind, let's keep on sippin'
Let's make some babies and make it official
I feel you inside, no better feelin'
I throw it back, and you catch my driftin'
You shiftin' inside you got me screamin'
You got me yellin' out yo name, ooh, I need you
You kiss on my thighs and then you eat it
Pause for a minute, then I let you beat it
I lovin' this ride, smooth like a Bimmer
Smooth like that Henny, this what happens when we drinkin'
I'm not gonna lie, you got me speechless
Got 69, more than 25 reasons

Me, Hennessy, and you
Me, Hennessy, and you
Me, Hennessy, and you
Me, Hennessy, and you

You, me, and Hennessy, look what you did to me
I say my head keep on spinnin'
Me, Hennessy, and you
Ayy, ayy, this what happens when we drinkin'
Me, Hennessy, and you
Me, Hennessy, and you",https://genius.com/Dej-loaf-me-u-and-hennessy-lyrics
Easy Love,Sell Sole,2014.0,"Love ain't ever been so easy
Love ain't ever been so easy
I love how you make it so easy
I love how you make it so easy

I love how you push it in so deeply
Make my body quiver, baby, make my feet shake
I love how you kiss me on both set of lips
Lick me 'til I cum, ayy this that shit you won't forget
Okay, let's play, baby finish your plate
I'm tuggin' on your zipper and you grabbin' on my waist
No games, foreplay, shut up, do what I say
Open up your mouth, put this pussy on your face
Nigga behave, that's exercise, he ain't nothin' like them extra guys
Got myself a real nigga, so hatin' hoes would be glad to get him
Just chill with him, iced up on chill with him
Couple shots of that Peach Ciroc, he know I'm gon' deal with him
I'm like what's wrong with him, pussy wet, no thong with him
Strip club, in my zone with him, throwin' money on my old nigga
I'm gone, nigga, silent mode, no phones with it
Never fuck with no broke nigga
He know I ain't know gold digger
He got me like

Love ain't ever been so easy
Love ain't ever been so easy
I love how you make it so easy
I love how you make it so easy
Love ain't ever been so easy
Love ain't ever been so easy
I love how you make it so easy
I love how you make it so easy

He's got me waitin' up all night, all night just to hit
I'm in the studio, then I pull out to your crib
Scratches on your back, I didn't mean to do that, baby
I couldn't help myself, you be fuckin' me so crazy
On the couch, on the sink, in the shower, you a freak
In the whip, the backseat, windows tint, they can't see
You know how it goes, I ain't gotta say shit
I want this here forever, just me and you to the end

Love ain't ever been so easy
Love ain't ever been so easy
I love how you make it so easy
I love how you make it so easy
Love ain't ever been so easy
Love ain't ever been so easy
I love how you make it so easy
I love how you make it so easy",https://genius.com/Dej-loaf-easy-love-lyrics
Shawty,UnKnown,2015.0,"That's my shawty
I like what you be doin' with your body
Can't nobody get this pussy wet, yo
And can't nobody fuck me like you can, yo, you can, yo
That's my shawty
I like what you be doin' with your body
Can't nobody get this pussy wet, yo
And can't nobody fuck me like you can, yo

I just might beat the pussy, rock it
I just might eat the pussy, sock it
I'ma hurry up, Thug Mr. Miyagi
Pussy get wet when I go Miley Cyrus
All my jewelry water like a fuckin' fire hydrant
When shawty get on top it looks like hydraulics
And when I nut I leave a milked body
And these hoes straight out of Follie's
That pussy Batman, but my dick is Robin
Might catch me blowin' in it like a cartridge
You can do him, bitch he the same as me
I'm not gon' cuff her like the damn police
69 is the only time that you ain't a dime
When it's time I fold your ass up like a pork rind
Girl sit down, now she done jumped up off the porch now
I done planted a nigga crosses like the Lord now

Stretch that pussy out like it's pilates
The way that I be ridin' like I called shotty
He fuck me like he straight up out the can yo
He push it in so deep, I be like, ""Damn, yo""
More than 15 seconds, put it on the Gram
We go so ham
Solid nigga make solid moves, tie me up, that's that solitude
Bend it over, let you bottom bang
Eat me up, that's that badaboom
And that's my baby
You drive me crazy
Yeah that's my baby
Yeah why you drive me crazy?
That's my baby, why you drive me crazy?
You my baby, you drive me crazy

That's my shawty
I like what you be doin' with your body
Can't nobody get this pussy wet, yo
And can't nobody fuck me like you can, yo, you can, yo
That's my shawty
I like what you be doin' with your body
Can't nobody get this pussy wet, yo
And can't nobody fuck me like you can, yo",https://genius.com/Dej-loaf-shawty-lyrics
Blood,Sell Sole,2014,"Yep, top floor what I'm sayin' (guns up)
Blood line run deep, boy, what's up Dej? Stunna Man
Brackin' in the bity, boolin' with some bitches
Straight bleedin', gettin' our ones up
Straight 'bout this B game, big money poppin' over here
G5 - BRRRAT! BRRRAT! BRRRAT! Rich Gang!

It ain't no ho in my blood
No way, no sir, no way
It ain't no ho in my blood
No way, no sir
It ain't no ho in my blood
No way, no sir, no way
It ain't no ho in my blood
No way, no sir

It ain't no ho in my blood, born and raised in them slums
Took my daddy away when I was 4
Why would I give a fuck about y'all?
Ain't no ho in my blood, been thorough since day 1
Lost a couple people, ever since then I've been numb
Ain't no ho in my blood, Sell Sole gon' flood
If I don't make it off of this again fuck this shit, I'm done
Cause ain't no ho in my blood, no hoes in my circle
Loyalty over love, I'll kill a bitch on purpose
Cause ain't no ho in my blood, everybody 100
All I know is flip it back, we don't do no frontin'
We don't do no runnin', it ain't in my DNA
Blood thicker than water, but my money thicker than that

They are some hoes, hoes, let's talk about these hoes
Sellin' all that pussy yet you ain't go no prose
Bitch you slow, slow, slow
Bitch you slow, slow, slow
And you's a ho, ho, let's talk about these hoes
Moochin' off your niggas, you can't stand up on your own
Boy you's a ho, ho, ho
Boy you's a ho, ho, ho

No ho in my blood, always been a boss
Always had style, no matter what it cost
Other bitches, they was fuckin', I was all about the money
I was in the 7th grade, shootin' dice for the money
Tryna hit this other 9-5, writin' rhymes by the nightlight
Tryna get us up out the hood
So I could have all my people lookin' and livin' good

It ain't no ho in my blood
No way, no sir, no way
It ain't no ho in my blood
No way, no sir
It ain't no ho in my blood
No way, no sir, no way
It ain't no ho in my blood
No way, no sir

I mean, it's not 1%, nigga
Not even half of 1%, bitch

Hey Loaf, I'm just boolin' nigga on block
No police, if I like that shit I cop
No Rollie but you can watch
Me, put this feature back in the pot
Grindin' like a skater, nigga
I get fresh and go straight to the mall and bait a nigga
You want beef? I can cater nigga
I'm not a ho or pussy, so she ride that dick like a Speed Racer, nigga
Started from the bottom, came straight to the top
No dad but if he play, he get popped
You ain't real, squad, so you can't come to the block
I'ma rich and blood but I ain't come with a mop
I'ma pop his top, proceed to the top
Let these bullets work on a nigga's body like a doctor

It ain't no ho in my blood
It ain't no ho in my blood
It ain't no ho in my blood
I swear ain't no ho inside my blood
It ain't no ho in my blood
It ain't no ho in my blood
It ain't no ho in my blood

It ain't no ho in my blood
No way, no sir, no way
It ain't no ho in my blood
No way, no sir
It ain't no ho in my blood
No way, no sir, no way
It ain't no ho in my blood
No way, no sir

Real recognize real
Money, power and action over here, boy
King Slime - BRRRAT! Big money poppin'
I'm far from a ho nigga, as a matter of fact
I'm one of the biggest Bloods in fuckin' America, you know, flippin'!
Any nigga, any mothafucka wanna get in the way of this shit
Nigga, try to stop this shit from goin' to the top and we flip 'em
We gon' show 'em we not hoes, Dej Loaf what up?",https://genius.com/Dej-loaf-blood-lyrics
Desire,#AndSeeThatsTheThing,2015.0,"I don't ask no questions
I just handle business
I don't ask for no favors
I don't ask for niggas
Who the fuck asked you niggas?
Look, I don't run from no one
Pass me my drink, I'm on one
Real killers moving in silence, Ask Oba
Ask Oba
All of these niggas be goofy rats
Telling on everything moving
I was in Austin and I was feeling real groovy
Shoutout my boy Trae he put on for Houston
I say, ""who want it with me?""
Pull up with Benz, got them drummers with me
Ready for war like, who coming with me?
Got goons who feel like what's the point in living
With these niggas hoes, so what's the point in trippin'
Crack a nigga head like a fortune cookie
Like a choice pussy, wet you all with like
Like moist pussy
My young niggas look up to me
Get a hand going for a buck fifty
No thanksgiving, I ate dinner
I ain't missing out on no meals
I'm so patient, I'll wait for it
Cut a nigga face like seals
I'm so trill, I'm so 'bout it
My music give me chills, ahh
Like damn I'm so little, but I'm feeling like Shaquille (O'neal)
If I go today, just know today you were in my will (my fam)
My best friend and my godson, he just like my kid (Tristin)
I ain't going back to my old life, I'm in this shit forreal (I'm in it, I'm winnin')
So if you try to take that from me nigga, it's kill or be killed, ahh (wassup?)
It's kill or be killed

I can't hold back I gotta live life
Go and get everything that I desire
Why you playin' with stones?
If you don't like fire
What's the point of playin' roles roles
If you ain't gon' own the title
I can't hold back I gotta live life
Go and get everything that I desire
Why you playin' with stones?
If you don't like fire
What's the point of playin' roles roles
If you ain't gon' own the title
I can't hold back I gotta live life
Go and get everything that I desire
Why you playin' with stones?
If you don't like fire
What's the point of playin' roles roles
If you ain't gon' own the title

Niggas intentions be bad
Look what they did to Damiere
Look what they did to my dad
Niggas be feelin' themselves
I rather feel on myself
Than to let you feel on my ass
I got the chrome and the stash
I'm not no thug, I just know niggas who masked
Woah, hahaaa
You pussies don't move how I move
I ain't into flashing my jewels
I ain't never gon' lose
Can't be like Tim with that two
We got burners and fuel (fuel)
We will do you, we'll do you, we'll do you
Woah, hahaaa
We'll do you, aye, we'll do you

I can't hold back I gotta live life
Go and get everything that I desire
Why you playin' with stones?
If you don't like fire
What's the point of playin' roles roles
If you ain't gon' own the title
I can't hold back I gotta live life
Go and get everything that I desire
Why you playin' with stones?
If you don't like fire
What's the point of playin' roles roles
If you ain't gon' own the title
I can't hold back I gotta live life
Go and get everything that I desire
Why you playin' with stones?
If you don't like fire
What's the point of playin' roles roles
If you ain't gon' own the title",https://genius.com/Dej-loaf-desire-lyrics
We Be On It,Sell Sole,2014.0,"Yeah, we be on it, we be on it
We be on it, yeah, we be on it
Yeah, we be on it, yeah, we be on it
Getting to the money, getting to the money

Yeah, we be on it, we be on it
We be on it, yeah, we be on it
Yeah, we be on it, yeah, we be on it
Getting to the money, getting to the money

I woke up like this
Tell these super lame bitches to boss up like this
Shit deep, they ain’t know that I was cut like this
Yeah, all my niggas cut like this
Yeah, I get a rush from this

I woke up like this
Tell these super lame bitches to boss up like this
Shit deep, they ain’t know that I was cut like this
Yeah, all my niggas cut like this
Yeah, I get a rush from this

They be like, “who that?”
She a little thug, she be rapping like she 2Pac
All I need is gold teeth to go with this toothpick
Tryna pull up in the Ghost on these bitches like boo-yeah
I don’t gang bang but I put your whole crew wacked
Strip a nigga naked, I’m like how you wanna do that?
Bitches they be tripping, we better keep a shoe strap
Hating ass niggas in the way, I tell them move back, cause

We be on it while y’all yawning
Yeah, we be on it while y’all yawning
Getting to the money, early in the morning
While y’all yawning

I woke up like this
Tell these super lame bitches to boss up like this
Shit deep, they ain’t know that I was cut like this
Yeah, all my niggas cut like this
Yeah, I get a rush from this

I be jiggin' doing the Dej dance
7-Mile all over,  might boss up and do the Blade dance
I just wanna make bands, I don’t wanna make friends
I just wanna pull up on my ex and be a hater
If you ain’t getting money, I’m like, “get the fuck from way here”
I ain’t with that welfare, I be making sales, yeah
I can’t do free features cause my niggas need that bail fare
All white coat, bitch I’m looking like I smell good
Sweep the whole block, we gon’ even get the mailman
Oh shit, drive by, at home black Caravan
Man down, hands down, don’t nobody say shit
Ay, we be on it

We be on it while y’all yawning
Yeah, we be on it while y’all yawning
Getting to the money, early in the morning
While y’all yawning

I woke up like this
Tell these super lame bitches to boss up like this
Shit deep, they ain’t know that I was cut like this
Yeah, all my niggas cut like this
Yeah, I get a rush from this",https://genius.com/Dej-loaf-we-be-on-it-lyrics
No Fear,Liberated,2017.0,"Even though I live my life on the road
Doesn't mean I don't have time for you
Plenty have tried, almost came close
But none of them compare to you
So let's live our life, more than one night
Promise if I could, I'd do it twice

So, what you say? Put 'em on pause, press play
Hold on, I got more to say

I know my life can get so crazy but as long as you're right here
None of the gossip, nothing can stop us
I'm wanna love you with no fears
We can do this thing together
Close your eyes and take my hand
Cause what we have is something special
Baby let's just take our chance
Baby let's just take our chance

Last week I was in Paris with friends
Only thing that was missing was you
Who would've thought we wouldn't be married by now
We been true lovers since high school
Let's live our life, dancin' all night
You are where you should be, I want this for life

So, what you say? Put 'em on pause, press play

I know my life can get so crazy but as long as you're right here
None of the gossip, nothing can stop us
I'm wanna love you with no fears
We can do this thing together
Close your eyes and take my hand
Cause what we have is something special
Baby let's just take our chance
Baby let's just take our chance

Don't be shy, don't be scared (get up)
I won't judge, I don't care (get up)
Baby move your feet, baby move your hips (get up)
Been waiting for so long for a feeling like this

I know my life can get so crazy but as long as you're right here
None of the gossip, nothing can stop us
I'm wanna love you with no fears
We can do this thing together
Close your eyes and take my hand
Cause what we have is something special
Baby let's just take our chance
Baby let's just take our chance",https://genius.com/Dej-loaf-no-fear-lyrics
