title,album,year,lyrics,urls
Mistadobalina,I Wish My Brother George Was Here ,1991.0,"Ahh, I know I'm drunk now
Ladies and gentlemen, I for-I forgot my
My favorite man, sittin' over there
His name is...

Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mr. Bob Dobalina

Mista Dobalina, Mista Bob Dobalina
Mista Bob Dobalina, won't you quit?
You really make me sick with ya fraudulent behavior
You're gonna make me flip and then an army couldn't save ya
Why don't you behave ya little rugrat?
Take a little tip from the tabloid, because I know I'm not paranoid
When I say I saw ya tryin' to mock me
Now you and your crew are on a mission tryin' to hawk me
But it isn't happenin' ya fraudulent foes
You used to front big time now I suppose
That everything's cool since the style of apparel you adopted
You used to make fun of but now you wanna rock it
So you gotta kick it with the homies
But D-E-L is already hip to your cronies
Me and CM-PX thought about this and never have we seen a
Brother who could hover Mista, Mista, Mista Dobalina

Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mr. Bob Dobalina

Gloryhallastoopid, Mista Bob Dobalina
Gloryhallastoopid, Mista Bob Dobalina
Gloryhallastoopid, Mista Bob Dobalina
Gloryhallastoopid, Mista Bob Dobalina

Ooh, ooh, Mista Dobalina, you thought ya could manipulate
You thought you could fool me, ooh, ooh, Mista Dobalina
Teacher used to put me on a stump
And then he schooled me

Friends can be fraudulent, just you wait and see
First he was my moneygrip then he stole my honeydip
Mista Dobalina is a serpent, don't you agree?
The little two-tima resembles Aunt Jemima
With jeans and a dirty white hoodie
Seems like he wouldn't be a snake or would he?
Disguises come in all sizes and shapes
Notice the facade of the snakes
They all catch the vapes, even though last year they was GQ
Took a lot of time before the D-E-L could see through
The mask, all I had to do was ask Hemperor and Kwamé
And my man responded they would bomb a
Fraudulent foe with the strength of Hercules
The way ya on my dick must really hurt ya knees
You need to take heed and quit being such a groupie
Ever since I did a little show in Guadeloupee
I neva saw a groupie like you
But what is funny is ya wanted to be down with my crew
But D-E-L is not down with any clowns or jesters
So I would suggest that you try to impress Uncle Fester, Dobalina
Because ya don't impress me Dobalina
The style of dress is not the key Dobalina
It's all in the mind and the heart, so you should start
By remembering ya gotta pay a fee Dobalina

Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mr. Bob Dobalina

Gloryhallastoopid, Mista Bob Dobalina
Gloryhallastoopid, Mista Bob Dobalina
Gloryhallastoopid, Mista Bob Dobalina
Gloryhallastoopid, Mista Bob Dobalina

Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mista Dobalina, Mr. Bob Dobalina
Mr. Bob Dobalina",https://genius.com/Del-the-funky-homosapien-mistadobalina-lyrics
If You Must,Both Sides of the Brain,2000.0,"It's important to practice good hygiene
At least if you wanna run with my team
I'm 'bout to get into some shit that I've seen
This fool's breath hummin' so bad it'll melt your ice cream
They say don't say nothing if you can't say nice things
Sittin' too close to him on BART, like my eyes sting
I try to be subtle, hand him a stick of gum
I was a victim of breath on hum
Running his yap about what sets he from
Gotta get some gum, gotta gets him some
He turned it down, his teeth was brown
Excruciating, foreign, it was a new sensation
I had to ask the dope to pass the soap
'Cause his coat had the stench of crustaceans
Or bathrooms in a bus station
He had a can of Olde E and some raisins
Amazing... head to toe B.O
He didn't know, used to the fragrance
'Cause as the days went without bathing
He felt manly and not like a maiden
He had one dread, and fungus
Said he worked on peoples' toilets with plungers
Girls, not the guy you would want to tongue ya
So guys take your cue from this little number

You gotta wash your ass, if you must
You gotta wash your hair, if you must
You gotta brush your teeth, if you must
Or else you'll be funky
You gotta wash your ass, if you must
You gotta wash your hair, if you must
You gotta brush your teeth, if you must
Or else you'll be funky
*scratching* ""To wash up""

Now in class you need total concentration
But there's kids in the back holding conversations
Crackin' on each other, and neither were poster boys
Both of 'em smell like the type that soap avoid
Coast enjoyed a leave of absence
One's fool's feet smelled like it struck some matchsticks
Brimstone, girls would never bring him home
I was laughin', then his friend raised his tone
And said, ""Bud, you earled all over yourself,"" yeah
I go so deep on your ass, you'll be submerged
Like you need to do in water 'cause you smell like a turd
Wanna cap? Get some courage, your feet smell lurid
Go look it up, and while you're at it, get a cup
And squeeze the sweat out your sweatshirt and drink it or gargle
You get our vote for most stinkiest
That nigga started thinkin' of shit, said I was frail
I said he was stale
Underarms is ripe
Undergarments tight, about to leap out your holey sweats
And we holdin' bets, and after this I'm gonna collect
Nigga check, yourself
Respect yourself
And wash your mothafuckin body 'fore your sweatshirt melt
Like radioactive, no lady find you attractive
The funk got you captive
You don't need a map, bitch

You gotta wash your ass, if you must
You gotta wash your hair, if you must
You gotta brush your teeth, if you must
Or else you'll be funky
*scratching* ""To wash up""
You gotta wash your ass, if you must
You gotta wash your hair, if you must
You gotta brush your teeth, if you must
Or else you'll be funky
*scratching* ""To wash up""
*scratching* ""Had some soap on my face""",https://genius.com/Del-the-funky-homosapien-if-you-must-lyrics
Burnt,The Best of... (The Elektra Years): B-Boy Handbook,1993,"Mista, twista, getcha
Every single time and I rhyme like I know so I flow
With the gifted tongue and the cryptic brung
New phrases into the mazes
Play this
Two times a day with the day-o
Day-ay-ayo and the daylight come
I plum forgot what a wack rhyme was
Because I buzz like a bee in the ears of my peers
So they know, and I know, we all know, day-o
Daylight come and me wanna go home
Cool
No tool, no Smith and Wesson
Just an opposite so I can pop a bit of
Shit on the mic when I get on the mic
""B-b-b-bam!"" I ricochet a bit on the mic
And I like it, just like the girl on 
Ahonetwo
D-E-L will C-R-U-S-H anyone who
Makes advances when I'm incognito
Veto is the answer when I prance upon your skull like a Frito
Finito, but I ain't finished
'Til I let the flipside ride 'til the rhythm is diminished

I would if I could but I ain't 'cause I cain't
Time for me to lay down the law. Who's raw?
You saw the views from the shoes of the writer
Stronger than a Cisco, and you're like a cider; watery
Try to win the lottery before you try to slaughter me
Because I'm not the G
To be stepped to, kept you, on your toes
As my rep grew, I leapt through, negative foes
So you better get flows to counteract what we’ve done
Received one good 'cause I’m armed like a sleeve, son
Plead dumb and step back, as I wreck shop
Collect respect, props and deck the next prop, artist
The hardest is the one who don’t pass out
If Tyson’s last name was Rophone, I’d knock his ass out
The bigger the better, the better the bigger is
Whenever you figure this, nigga is, gettin’ his
Be real and don’t kill, with flaws the ill cause
Just answer to the boss
And that’s when ya lost
Keep on losin', I'm usin' many tactics
I yearn to earn more green than Saint Patrick
And I make backs if you get caught frontin'
Never bought a Newport but I puff a blunt'n

I needs no sugar crisp to get swift
So what with two syllables exemplifies the gift? Tajai
I sense those who try to scale my ladder
Bladders release upon your porch if you don’t cease
I respond with beats and will distraction
When I see one fatter than Rerun, so What’s Happening?
It’s not where you’re from, it’s just how you come
Correct, respect the roughneck 'cause 'nuff get
Bucked and tucked into their beds like “nighty, nighty""
Deft of the membrane, none left 'cause I am a righty
Fight these, you’ll catch volleys for your follies and mistakes
I stick fakes with shanks, so no thanks
Wack shit, your attempts to rap are ineffectual
I get in butt styles like a hard-up homosexual
Not for sex when you’re at the intersection, of damage
Sandwich knuckles are what your luck pulls
Bad ones, catch one or two, rather a few
A slew for soft ass phonies plus your cronies
Try me, you’ll catch my Vans in your hiney
That’s if my bat grip slips though I doubt it
Pout if you want to, covertly to find me
But I See’s more than them Candies, nothing gets by me
So play the tracks, 
and you’ll go out like Betamax
Next to Tajai 'cause I kicks the greater tracks

Sce-beep-boop
Bob your head to this, mischievous, soul societal
Idle chatter never slips off the lips of this writer
Might not be the greater innovator of the rhyme scheme
My style is the Visine to get your eyes opening
This Raggedy Andy gets dandy like a lion in the meadow
While the teapots blow off steam like a kettle
You're hip-to-the-hop I kick; I trip the light fantastic
Gettin' into the groove better than a phonographic
The vandal with the vocals making the locals go insane
The regal rhymer speaks sustenance for the brain
Get frisky with the phrases as you praise us like divinity
The one of liberated soul controls for infinity
Got style by the square mile, cats got a vibe child
Hieroglyphics will uplift the rhythms for the meanwhile
Articulate my lingo as I mingle in my medium of speech
And peace to prop prophets as I ponder and teach
A smidgen of religion to the fraudulent
Listen, pay attention, I’m the master of this convention
Kick the wicked-and-wiley-styley while you’re 
stuttering just like Smiley
Skipping shingles of your shattered dreams, too bad it seems you tried me
The wise and wordy wizard pays a visit to your subconscious
Crush your wonderland, extinguish all the nonsense
Optimistic, stylistic, mystic myth, I’m swift
Like Mercury, mercy me, I'll surely shoot the gift

People call me souped just because I'm living fat
People call me nasty: it's because I eat the cat
And I swing a bat to level heads, leavin' devils dead
Never said never ‘cause a clever head's better
Dreads locked on the top of my crop, never flaky
If this was a field then Bo Jackson couldn’t shake me
Bake me, Betty Crocker’s oven isn’t hot enough
If you wanna spread the skins then I got a lotta stuff
Not a bluff, got a tough guy thinkin' twice
Why step? 'Cause a fly rep, I kepts, my step ladder
I had a fatter spliff I was hittin’ on
Now it’s just a smidgen, like a pigeon, I’ll be shittin' on
Sittin' on a futon, slippin' my Timb boots on
I’m the type of brotha that ya have to get ya troops on
Oops, I'm sorry 'cause I didn't mean to diss you
I could hook a ho and make her blow like I was tissue
Mary had a little lamb, Adam got a lotta dough
Need help with your garden? Skyline got a lotta hoes
Yo, I didn't mean hoes, yo, I meant women
If she got the pool, I got the trunks; let's go swimming
Dip, dip, dive 'cause I'm live
Liver than five or ten of the men on my jock, you don't stop
Here a pimp, there a pimp, everywhere a pimp pimp
This A-Plus grades the quiz, so there it is",https://genius.com/Del-the-funky-homosapien-burnt-lyrics
Press Rewind,Both Sides of the Brain,2000.0,"Check my comprehensive catalog of crafts
I'm daft
I battle all like I don't have it all
Avant-garde
Battlestar Galactica
Got rhymes per capita
I'm shining through the aperture
But I'm not gonna bust no caps for ya (nah)
That's another genre
I'm the black bomber
Track charmer
Sack burner
Distract burdens
If it ain't that urgent
Nerve prints
Word sentinel invisible infidel interstellar
Hella clever
Endeavors immeasurable
With only heaven to go incredible
Melodramatic wit tales from the tablet
You fail cause you average
Regardless of your sales and your status
You extra baggage
I bamboozle like I'm mobbin' in a Landcruiser
Down MacArthur
Artistic archer
Autistic misfit
You'll get the sickness
When I spit the wickedness
And split cha wig like Kid Icarus
Leave you headless like Ichabod
I infuriated, tick you off
Stick to Pop
Hip-Hop's too difficult
To me, it's a cult
Lyrics lacerated, slit cha throat
Beat cha brain down like Piscopo when sniffin' coke
I don't know, Diff'rent Strokes
So respect me 'fore I whip out ol' Betsy
Surgically remove you from my testes
Purposely improve you just to see who the best be
But sold up sexy
Take a poll and know the prestige
What?
Large lefty (Yeah)
I automate
Animate
My soul sanitation like I gotta canvas painting
Manifestions

Eh, who's ever hearin' this
Deltron-Z be a lyricist
Frontin' on your fake false appearances
""Press Rewind"" (Sadat X sample)
Drive you delirious
Dead serious
The eeriest mic mysterious
Eh peep, who's ever hearin' this
Deltron-Z be a lyricist
Frontin' on your fake false appearances
""Press Rewind"" (Sadat X sample)
Drive you delirious
Dead serious
The eeriest mic mysterious

""Press Rewind"" (Sadat X sample)

Go ahead, try symbiosis
But most rap artist don't have any focus
Think they flippin' chips
Try penny brokers
Kipsco or pennyloafers
Get my album I'll show you how it's done
Del-atrocious
Hella atrocious wit vocals
My throat holds verbal choke holds
Poke holes in ya scrolls
My goals are not rifles
I flow scrimmage like the Micronauts
You might go pop and I might grow crops
Go get the gestapo
You riskin' a pot full of gold
Pull a zodiac sign to halftime
Reenact rhymes from a past life over flashlights
Man, you don't know the half
Dash right to the phonograph
Blow your balderdash
Coordinates confirm
Subordinates will learn
My ordinance is stern so supportin' my firm
Is the only way in this lonely age where you going crazed
Your style is sold and paid for cause I made more
Water emcees like on bay shore
Bullets graze doors (Where)
In Oakland where they lay law
Del is going AWOL with napalm
Eight bombs taped to my arms like the town crier
Now miser
Strider
Spit exciter
Ripping plywood
Forget beef cakin' lyrical cheapskates
Try Del and win the sweepstakes
What I make is so hot, it's seethin'
Off the deep end
Stop your breathin'
Caught cha sleeping
Now you're peaking like you've eaten
A hundred microdots wreck your equinox
Delete every piece of props
Leave your perforated
Curb your hatred
Deserve your matrix in the Word Olympics
Completely furnished wit burners like Ted Turner
I broadcast the classics
Fabu-lass, fa-tastic

Peep, who ever hearin' this
Deltron-Z be a lyricist
Frontin' on your fake false appearances
""Press Rewind"" (Sadat X sample)
Drive you delirious
Dead serious
The eeriest mic mysterious
Hey, who ever hearin' this
Deltron-Z be a lyricist
Frontin' on your fake false appearances
""Press Rewind"" (Sadat X sample)
Drive you delirious
Dead serious
The eeriest mic mysterious

And the survey says
Go pratice or something man
You know
Peace
""Press Rewind"" (Sadat X Sample)
Ah-hah",https://genius.com/Del-the-funky-homosapien-press-rewind-lyrics
Corner Story,Future Development,1997.0,"We 'bout to roll to the corner me and my crew
We 'bout to roll to the corner and get us some brew
We 'bout to roll to the corner and some swishers too
So we can roll a fat blunt and get perved
Another fine day in this land I live
Oakland where they don't give a shit and that's it
You know I'm sellin dank and split the profit 50/50
With this other brother who went in half with me
Now, first before we burst the move
We gotta sooth our nerves with the liquor
Then we don't bicker
We'll be relaxed ask your mama
This shit is like a war zone
Streets is hot like the Bahamas
But we will stay away from the drama
I'm wearin' my snipe, my arctic jacket with the wool like a llama
But then we had to pause like a comma
Cause someone got stuck and bucked and family was outside with trauma
We heard the shots from inside and whenever gats go off
I hit the deck and hide
And if po-po said they got there on time they lied
But you gotta give them credit they try
I see a mother cry and I'm wondering why
And my man said fuck it ain't nothin' we can do
But to continue our mission down the block for the brew
And we out (yeah, yeah)

On our way we 'bout half way there
Children runnin' everywhere like they just don't care
The Muslim Bakery is like right between
And if I pass by with beer they will look at me mean
So I ducks in and gets my Final Call now
Cause still my brain gotta be well endowed and proud
The ambulances signals and glances
So let's hurry up and don't take no chances
Niggas step to us trying to rap like we got all the answers
In front of the store trying to work that sleight of hand
The panhandlers, they not no amateurs
Daily reminders of how I gotta find a way to come up
It sums up life along with the kids and a wife
But anyway, we pass the local grocery store
And you can be sure the meats and the produce ain't good no more
Some of it is from days before
I want it fresh and the clerk ain't my race so he stress
They doin me in my community - fuck it, we there
Ain't enough for a 6 pack so we had to share
A nice little stroll through the April spring air
We hide our shit so the Nation don't see it there",https://genius.com/Del-the-funky-homosapien-corner-story-lyrics
Catch a Bad One,No Need for Alarm ,1993.0,"People havin memory loss, they don't remember I'm the boss
You're claustraphobic, when I close in
In on your men and your faculty, you wack'll be
Out my face, you must be basin if you think
That you could tackle the triumphant, I pump it, the volume
Increase as you mieces get sliced to pieces
Please listen to my album
Even if you're white like talcum and unpaid get'cha stayin
Tuned with my tune and I presume and see doom, designated
To anyone who stated
A word against me, I serve an MC, simply
Put like my foot up your anus, ya Shamus
Tryin to get over, I'mma go for mine
You know the time now that I'm older I'm gonna
Rip niggas heads with the said salutations
Introducing Del and his bid for boostin tales
Of my adventures, attempt to try
And you will limp or die, whichever I choose, you lose
Crews get ashamed cause we blame 'em for bitin
You might win, if you start writin, and stop fightin
No time for games
I rearrange my vocals in your heaphones
I hold 'til I get a answer
Acknowledge and abolish all the wack records
Hieroglyphics, you know, repected

Who caught the harm? You bought the farm
If you're a friend, there's no need for alarm

I get juiced when I let loose a little of my cleverness
Open up my follicles with no mousse
Choose your weapon, you kept steppin
You're swept in a hurricane, Del'll blow your brain
So your next generations of youth will be facin the truth
And the truth is I'll leave you with the loose tooth
Gums get split if you bit
I'll extract the truth out your ass like I'm standin in the pulpit
Or a lie detector wrecked ya sector, when you're standing
I can swing, branding, expanding, on what I'm handing
To the people, cause we will, and you can't say
A damn thing about it, if you doubt it
You're already outta line, so let me remind your behind
About the switch which I used to bruise your bottom
That little nigga tried to cut, I caught him
He didn't think that I would see that
So be that, and be off the D cause we rap
We sap the strength and lap the length around the whole course of time
And still got the time to unwind


Weak MC's make me earl
Hurl as your world is crushed because I gotta make you hush
You gotta be eliminated, the way I demonstrate it
You hate it, but still I am the greatest
Like a boxer, I'mma knock your socks off
Nowhere to run to, exits are blocked off
Steadily I'm dissin men, I hope you're listenin
Brothers like my flow
Others ride my jock like a bicycle, but I'm psycho
Fools try to play me like Tyco, gotsta pull the rifle
Daisy, graze the ass with the bee-bee
It comes speedy, sign the peace treaty
Or you'll be needin
Medical attention when I leave you bleedin
Throw a monkey wrench in your program
Crammed up your ass and it's just too bad, son
Catch a bad one
 - 1X

Who caught the harm? You bought the farm
If you're a friend, there's no need for alarm
Who caught the harm? You bought the farm
If you're a foe I'm gonna break your fuckin arm!

KnowhatI'msayin? Peace",https://genius.com/Del-the-funky-homosapien-catch-a-bad-one-lyrics
Proto Culture,Both Sides of the Brain,2000.0,"Let me tell you about the Proto Culture
If you don't know the culture, here's the whole structure
We've had enough of the lackluster-trust us
We get the kind of games you can't rent at Blockbuster
KU: Game related, raise it bit by bit
Yo D, link up the cable we'll go hit for hit
Phantasma plasma particle beam means I have ya
On the run-the rendered effects hot like magnas

I play games by Capcom with a power glove strapped on
On any platform, I don't spend my dough on Phat Farm
Video games, I got many to play
Before my life expires; fufill my desires

Mastering your hardest boss
Shattering all stars across
Ain't hard to cross the finish line
Floatin' on Daytona
Wex, Gex or Klonoa, we get 'em all at cost
RPG, Platform we transform like Macross

Rival schools, Batsu
Purchase you ought to
It came with one free CD, it's like I bought two
I hope they make part II for Dreamcast
Cause games I've seen in mags, you won't believe they have!

Getting callouses turning over asteroids
Graviton bombs destroyed
Getting moms annoyed
Now I'm hacking Nightmare Creatures
Features splatter 'cross the screen
Get more clean each year

I remember my homie Ed Coats had the most
A Colecovision-every week I'd visit
Playing Donkey Kong Jr., Venture, Roc'n Rope
Games I thought was dope
While my moms was watching soaps

I'm on the next level
I got a double barrel shotgun in the Doom world
Waiting on the next devil
Armor's low-check the arsenal
Rupture the main conductor playin Disruptor

I remember Ninja Gaiden
Finish it finally
With Ramone wouldn't answer the phone
This was before getting blown
I own the first Nintendo Power
With the maps of Zelda Help me conquer in an hour

Let me tell you about the Proto Culture
If you don't know the culture, here's the whole structure
We've had enough of the lackluster-trust us
We get the kind of games you can't rent at Blockbuster
(2X)

Hey KU you know my SEGA collection is massive
Got all the past hits and classics
Herzog Zwei now Panzer Zwei
Originality that made me a fan today

It's Pandemonium-it's like Toys R Us
Flippin the next Saturn game brings out the boys in us
It's poisonous
Taking out the boys in blue in Grand Theft Auto
Snatch a Rolls Royce to use

Yeah, I'll admit it Playstation improved
Come visit Feudal Japan with me and Tenchu
Bushido Blade 2 with sword play so accurate
Mega Man Legends but I had to buy a map for it

I'll fence Hyo to get a Neo-Geo
For Samurai 64 in full rendered splendor
Rival counter and enter my swords in his innards
My joint was playing Leonardo wuppin' on Splinter

I gotta get Xenogears-that's the type of game that relieves my fears
Get it from overseas to here
I gotta get Psychic Force
Authentic arcade that I can endorse
They got me liking imports

I'll need to be at the next E3
What's the next CD I need to see
Me and D signing checks
Let's float overseas, mingle with game companies
Giving tips to Capcom and Sega-can't front on these

To anyone who knew me better
Know I chose Saturn first Cause it's 2-D heaven
Bernie Stolar dropped the ball with the RAM cartridge
X-men Vs. Streetfighter could've expanded the market

Marvel Vs. Capcom-beyond fathom
Tell the truth, Playstation ain't ready to have 'em
Come on I'll bring the onslaught
Alpha and Omega
Khaos Unique brought to you by SEGA

Let me tell you about the Proto culture
If you don't know the culture, here's the whole structure
We've had enough of the lackluster-trust us
We get the kind of games you can't rent at Blockbuster
(2X)",https://genius.com/Del-the-funky-homosapien-proto-culture-lyrics
Skull and Crossbones,Both Sides of the Brain,2000.0,"(scratched:)
I never drink and drive
'Coz I might spill my drink

Give me the keys, I'm OK
Quit tellin' me I'm drunk, I only had five Hurricanes
Quit bein' such a Puritan, I'm a mega turrican
Wakin' up and it's all a blur again
If I'm alive...
If I'm alive...
If I'm alive...
If I'm still alive...
Red Skull more like skull and crossbones
Took my driver's test straight pilin' over the cones
It ain't funny so don't you dare chuckle
Drivin' hella drunk without my beltbuckle
Fuck you, I'm OK
That's what they all say
Already got a suspended license
Smokin' weed in my ride and lightin' incense
Not knowin' it could be gone in an instant
Pistons pumpin', slumpin'
Over the steering wheel
So many drunk drivers on the road
It's killing fields
Who gives a fuck?
If I get caught all I get
Is a slap on the wrist
My license tooken is a bitch
But I still drive with a D.U.I
Crash, see my passenger fly
Through the windshield
It's hard to see you die
Heads crushed, necks severed from the shards
That's what happens playing with a wild card
How do you feel on trial for killin' your girl?
Nineteen years old, the end of the world
Don't know what to do
Pop's is gonna' kill you
Twelve gauge shotgun to your grill smooth
Got you in a predicament
If I'm drivin' drunk I've got a sickness
Some fool's is shiftless
Like me, gifted
Student GPA: four point oh
Blood alcohol level past that though
(scratched:)
I never drink and drive
'Cuz I might spill my drink

Three o'clock, time to go
One more line of coke with cognac
But my cognitive skills ain't on the shit
What now Sherlock?
Key to the lock
My friend's is tellin' me to stop
Damn near down the block
I found the cops in the bushes peekin'
Plus it's the weekend and I'm off the deep end
I roll through an alley way, can't see
Getting antsy I hop on the interstate but it's late
Cops patrol but I don't give a fuck though
I swerve to the right and get stuck in a mudhole
Check the rearview, the coast is clear
Tryin' to focus here but I can't
Drunk as hell, bust a rail
Now I'm sailin' off the cliff
High off the spliff, plus a fifth
I bust my shit
Now I'm rollin' down the side like a suicide
What will my family do if I die?
Tension builds, I went through hills and trees
Stopped by a redwood first thing broke was knees
I feel pain then a split second later
Car burst into flames, they won't know my name
They'll have to check my dental records
My body is charred
Burnt to a crisp soon as the car flipped the crash
That's my ass, a thing of the past
Already dead by the impact of airbags
(scratched:)
I never drink and drive
'Cuz I might spill my drink
If I'm alive...
If I'm alive, If I'm still alive...
If I'm alive...
If I'm alive, If I'm still alive...
Skull and crossbones
Poisonous pathways
(8X)",https://genius.com/Del-the-funky-homosapien-skull-and-crossbones-lyrics
BM’s,Both Sides of the Brain,2000.0,"Ahh
First day off probation, no wastin' time
Just like ancient times, and 
take a dime and roll it
Blaze it with no fear
After havin' to take piss tests for a whole year
Smokin' with a cold beer makes me kinda think
Why I don't like to drink heavily, cause what my P.O. was tellin' me
'You can't smoke and even eat poppy seeds
But you can buy liquor, and drink all you need'
It's callin' me, I used to drink Heineken's
Now it's 'bout 5 or 10, plus wine and gin
Hennessy, finishing the last drop
To the liquor store was a cash crop
Drive right past the grass spot
Doin' the dumbest shit I ever did in my life
Riskin' my life
Resistin' arrest
It's in my flesh
Probably smell funny
And there go Del's money
Fast forward to 1998
I smash more herb than those old day's
With a whole J to the face
Nah, I'm still feelin' gettin' drunk more than weed
But now we back in Amster-D, got some grams for me
Chocolate Thai and Purple Haze
And blocks of hash that make the J's last for days
Rollin' up so phat, circumference stuffed with major chronic
We can put a wager on it
When we first got out here in Europe it was everywhere
Even at the gas station, I was down in the mat
A fast pace, when I thought 'This shit ain't helpin' nothin'
When I can get elevated straight puffin' nothin''

(Scratching) Straight puffin' nothin'...
(Scratching) Straight puffin' nothin'...
(Scratching) Straight puffin' nothin'...
The smokin' sessions was the best in the world
Plus the price was right, affordable, so more to use
So fat they deserve the Kodak
And no tax so I'm savin'
Not misbehavin'
That's a risk we takin', we ain't talkin' bout that
We in the outback, smokin' till my mouth's black, how's that?
I never fucked up a show being blowed
I sorta didn't get it crunk
When I was drunk
Slow that liquor down boy, hit this BM, Bob Marley
A tribute
Cause it's probably as fat as it was he rolled
When he strolled
Down the same cobble stone streets
With his own beats
Another generation, a different time zone
With his mind blown, thinkin' up divine poems
Blessed by the father and it gets him farther
It's a father of spiritualities, since it all affects the Karma
I used the herb for good purposes
Some people are sure to diss, but up in Amsterdam they nurture it
And I can't forget about Crystania
This kid is brainia
Try to sell hard drugs there then they claimin' ya
Life, they only deal with real shit
All the bomb and hash you want to deal it
And all's well, they don't even sell it for much
And the cops don't really touch, cause it ain't slangin' dust
I'm writin' this, right now under the influence
But if you'd just torch those that say I shouldn't do this
Bob Marley'd out, at least 'til I'm back by the lake
But I might roll 1 or 2 for old times sake...

(Scratching)",https://genius.com/Del-the-funky-homosapien-bms-lyrics
Dark Skin Girls,I Wish My Brother George Was Here ,1991.0,"As simple as it sounds, is as simple as it ought to be
Light skin girls lack the dark skin quality
Ya don't understand? You want an explanation?
Well let D-E-L release the frustration
As I see it, every single day
Light skin girls ain't satisfied unless they get their way, always
Plus they act stuck up
They all add up to one great big fuck up
They try to play suck up when they want somethin'
Then always leave a brother with nothin'
Ya think ya look better cause ya skin's a little bit lighter?
You're thinkin' you're my type like I was a typewriter?
No, ya think ya all of that and all of this
But you ain't really shit without a makeup kit
See, ya might be light but ya ugly to me
Black is beautiful, to me, that's beauty
×2
Dark skin girls are better than light skin
Light skin girls ain't better than dark skin
 I disagree homeboy

Now, lets get to the problems
And see if there's a way to solve them
Problem #1, has got to be the attitude
Which is usually vain, selfish and rude
Personality, with her nose stuck up
So don't try talkin' to her or walkin' with her
To class cause it's out of the question
Cause you bein' dark is the wrong complexion
For her. She wish she was light, though
I mean lighter than light, or as close to white as possible
But I fight to stay a brother
You see, green and dark skin sisters are the color
This don't apply to all the girls with light skin
Just the ones with their heads up their rear end
Cause if it did, static would occur
Dark skin cuties is what I prefer
Now, look at her, her vision is a blur
Cause contact lenses only let ya see Benzes
Plus she would fuss and cuss if I tried to talk to her
Cause I'm a man who rides the bus
I get frustrated, well, lets say I used to
Now a dark and lovely is who I give juice to
So come on, step to Del if ya with this
This is the facts, so brothers don't forget this
×2

I can't understand you light skin wenches
Ya think ya all that cause ya have long extensions?
Your hair was natural now ya got played out braids
You woulda looked better with a fade
Dark skin girls are so fly, so honest, so sweet
That's the type of girl I wanna meet
Complete, not phony or a fake like you are
See, Del is bolder, I tap you on the shoulder
And say, ""Hey lighty, could you tap that sister for me?""
But you love Mr. Loveable so you'll just ignore me
So find another tip that you can hop upon
To get with me ya need some sun and some Coppertone
You'll take a white boyfriend before a black one
That's why Del has to stand and attack one
Next time you see a girl darker than you
No disrespect when you met her, cause the girl looked better than you
×2",https://genius.com/Del-the-funky-homosapien-dark-skin-girls-lyrics
