title,album,year,lyrics,urls
ULTIMATE,32 Zel/Planet Shrooms,2015.0,"Ronny J, listen up

I am the one, don't weigh a ton
Don't need a gun to get respect up on the street (Okay)
Under the sun, the bastard son
Will pop the Glock to feed himself and family (Sheesh)
By any means, your enemies, my enemies
We wet them up like a canteen (Damn)
The yellow tape surrounds the fate
Don't have a face, so now you late, open the gates (God damn)

Great, eliminate like ElimiDate (Ooh)
Hey, young boy had to penetrate (Ooh)
Face, young boy done caught a case (Ooh)
Bang, now his mama livin' with the pain (Uh)
Wait, doctor says he's gonna stay (Huh?)
Let him get the Senzu Bean so he regenerate (Oh)
Now a nigga harder than the head of the state (damn)
Denzel Curry is the new candidate (Damn)
Ultimate, alternate, you are the opposite
Stop this shit, chop your esophagus (Esophagus)
Bitches be boppin' it, bow down and pop it in
Droppin' it in her esophagus (Esophagus)
She get so nasty, in public she classy
Perhaps she is able to swallow it (Uh)
Girl, I can make you a star (Star, ooh)
Then I put her ass on Apollo, bitch (Damn)
Bitch, I am ultimate, behold my awesomeness
Narcissist, part time an arsonist (Flame)
Rippin' through cartilage, I am the hardest, bitch
Wrap it up, put in sarcophagus (Damn)
Dearly departed, it's done when it started
So now that I'm livin' so harmonious (Harmonious)
Feelin' like Spartacus, Curry the ultimate
I am the best, there's no politics
Bitch, I'm ultimate
Ultimate
Bitch, I'm

I am the one, don't weigh a ton
Don't need a gun to get respect up on the street (Okay)
Under the sun, the bastard son
Will pop the Glock to feed himself and family (Sheesh)
By any means, your enemies, my enemies
We wet them up like a canteen (Damn)
The yellow tape surrounds the fate
Don't have a face, so now you late, open the gates (Damn)

Ultimate, infinite, flow is opium
Open the internet, photosynthesis
Put in parentheses, temporary
Very scary if I feel like Dirty Harry
Just might bust a bitch, 
never knew my life
But yet the question is, ""Is he fake? Is he real?""
What the message is, 
chop a bitch nigga up
I'ma sever it when I sever shit
I kill 'em, no Kony, 
these niggas ain't homies
Claim you the homie, I turn into Broly
Droppin' melodic, enter the cosmic
Flow like a prophet, lyrical toxic
Flow like a foreigner, I'm the torturer
Out of South Florida, 
call the coroner
Killed in the corridor, I'm the overlord
Rhymes like a sorcerer, I'm an animorph
Bitch, I'm a beast
Nigga, you tell me who fuckin' with me
K to the I to the N to the G
Claim you the hottest, but I disagree
Better learn something and get a degree
This for Lord Infamous, so R.I.P
Arrivederci, bitches lookin' thirsty
Ridin' through the dirty, like it's mandatory
Ending of the story

I am the one, don't weigh a ton
Don't need a gun to get respect up on the street (Okay)
Under the sun, the bastard son
Will pop the Glock to feed himself and family (Sheesh)
By any means, your enemies, my enemies
We wet them up like a canteen (Damn)
The yellow tape surrounds the fate
Don't have a face, so now you late, open the gates",https://genius.com/Denzel-curry-ultimate-lyrics
CLOUT COBAIN | CLOUT CO13A1N,TA13OO,2018.0,"I just wanna feel myself, you want me to kill myself
Man, I been on my own, Lord, I'ma need some help
I just wanna feel myself, you want me to kill myself
Man, it's been so damn long, dealing with the things I've felt

Suicidal doors, call it Kurt Cobain
Suwoo leather seats, like a bloody stain
I need hella bass, I need hella pain
You gon' wanna cry, I'ma make it rain
Suicidal doors, call it Kurt Cobain
Suwoo leather seats, like a bloody stain
I need hella bass, I need hella pain
You gon' wanna cry, I'ma make it rain

I don't even know what to feel, they don't even know what's real
Dry tears with a dollar bill, I'm out tryna make a mill', oh
Why you wanna take my soul? I'm yelling out, ""Hell no!""
I can't even trust my friends, most of them might be foes
Watch these hoes when they say they want a lot of me
I don't know who's the one that wanna plot on me
I stay low so my demons don't acknowledge me
When I go, I know death don't do apologies

I just wanna feel myself, you want me to kill myself
Man, I been on my own, Lord, I'ma need some help
I just wanna feel myself, you want me to kill myself
Man, it's been so damn long, dealing with the things I felt (Ayy)

Suicidal doors, call it Kurt Cobain
Suwoo leather seats, like a bloody stain
I need hella bass, I need hella pain
You gon' wanna cry, I'ma make it rain
Suicidal doors, call it Kurt Cobain
Suwoo leather seats, like a bloody stain
I need hella bass, I need hella pain
You gon' wanna cry, I'ma make it rain

Know when it rains, it pours,
 
they wanna go to war
For things that they can't afford,
 
I gotta grab the sword, preach
I gotta thank the Lord, I gotta go record (Heat)
I wanna be fly to soar 'cause niggas be trying to floor me
People be thinkin' that I won the lottery
So paranoid, I don't know who be plotting on me
Out of nowhere try to fight you
I'm feeling like Raichu 'cause everything shocking to me
Gotta beware of the wicked, the time will be ticking
Them niggas still clocking on me
Lord is my witness, I handle my business
You niggas ain't never ball blocking on me

I just wanna feel myself, you want me to kill myself
Man I been on my own, Lord, I'ma need some help
I just wanna feel myself, you want me to kill myself
Man, it's been so damn long, dealing with the things I've felt

Suicidal doors, call it Kurt Cobain
Suwoo leather seats, like a bloody stain
I need hella bass, I need hella pain
You gon' wanna cry, I'ma make it rain
Suicidal doors, call it Kurt Cobain
Suwoo leather seats, like a bloody stain
I need hella bass, I need hella pain
You gon' wanna cry, I'ma make it rain

Clout Cobain, yeah
Clout Cobain, yeah
Clout Cobain",https://genius.com/Denzel-curry-clout-cobain-clout-co13a1n-lyrics
ULT,Imperial,2016.0,"This is the wrath of Aquarius
I am the black metal terrorist, ain't no comparison
Humanitarian,
 
bitch I'm a veteran
Better than anyone comprehend
Snake in the grass, cut the copperhead
Hollow-tips point at a copper' head
Drop a head, popping the Glock till the copper dead
But Bishop
 killed Radames
That is the biggest hypocrisy
I don't see nobody stopping me
Boy, your whole life is a mockery
A militant mind of the million
Civilian, I am the realest, bitch
No Gilligan put me on an island
Smoking on an island 'til a nigga look Thailand
Spread through your crew like a motherfucking virus
Cloud 9 confederate, breaking up barriers
Federation in your area
If I'm a bitch then I guess you a pussy, and pussies are scared of a terrier
 (WOOF)
Run all your paper, killer Curry keep on catching the caper
Dominating common denominator
Aftermath you can just do the math later, as a teenager
I was an underdog under the Raiders, valuable player
Young Bo Jackson slammin' packs with a passion
Satisfaction with the lack of compassion
It's a maverick hella gaspin', but actually
I am that nigga entirely
The same ones that inspire me be the same ones that wanna retire me, nigga

In the night time, keep me out of sight, it's the poltergeist
When I'm ghost, I'ma cut the line, now you outta mind
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)
In the night time, keep me out of sight, it's the poltergeist
When I'm ghost, I'ma cut the line, now you outta mind
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)

Mystical miracle, I build imperial
I'm analytical, why Lotto had to be off to the clinical
Now we're identical, black individual, no biochemical
Serve, fuck the cops they the opposition
And these halfway niggas and these halfway hoes
Wanna be buddy-buddy they see you at a show
But be the main ones that be hating on the low
Wait, that's just irrelevant, they got the fact when you look at my melanin, woah
Cops killin' niggas, niggas killin' brothas, niggas hate each other
Don't know, where the fuck they came from
We the ones that paid dues
I don't watch Fox News, don't mean that all my foxes sly
Find a little white girl, but let you die
Gun like a veteran, breakin' off barriers, they just might call me a terrorist
Better get caught with it than without it if I keep it concealed when I carry it, I
Put them on paper
, 
send them to prison and give them free labor
Separate everyone, make sure they neighbors
Aftermath, after that, we can laugh later
Fuck all my haters
I raise up black fists as black as the raiders
Arming the gators
Federation is my organization
All relation, no religion, no races
Black to Asian we the nation of U.L.T
True to you so keep it true to me
Haters cannot put an end to me because I truly know who is my enemy, nigga

In the night time, keep me out of sight, it's the poltergeist
When I'm ghost, I'ma cut the line, now you outta mind
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)
In the night time, keep me out of sight, it's the poltergeist
When I'm ghost, I'ma cut the line, now you outta mind
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)
Y'all niggas ain't U.L.T. (Ultimate)

(Laughter)
I. M. Perial",https://genius.com/Denzel-curry-ult-lyrics
VENGEANCE | VENGEANCE,TA13OO,2018.0,"Ultimate
Ultimate

I feel the pain, feel the rain
'Cause bitch, I want revenge
I feel the pain, feel the rain
'Cause bitch, I want revenge
I feel the pain, feel the rain
'Cause bitch, I want revenge
I feel the pain, feel the rain
'Cause bitch, I want revenge

Who the fuck you think you tryna creep on? (Creep on)
Put a nigga in the black Nissan (Nissan)
I'm that nigga Freddy wouldn't sleep on
Catch a nigga in the bushes doing recon (Yeah!)
Cops found a body in the alley (Woo!)
Gotta rock the club like a caddie (Woo!)
I'ma push your button like an innie (Yeah!)
Switch it up and then I head to Cali (Aw damn!)
Chop another bitch nigga up (Up!)
Put them body parts in the bag (In the bag!)
Put them body parts in the concrete (Concrete)
Spread the concrete across the whole city (Whole city)
Plug a nigga up like a damn MIDI (Uh!)
Voice in my head, got too many (Too many)
Hit you with the metal like I'm Yung Simmie (Brah!)
I'ma kill everybody how they do Kenny (Brah!)
'Cause I go hard like Timmy! (Timmy!)
Nigga wanna talk about a nigga like Jimmy, Neutron
Told you don't mess with the Z-Eltron
Banish my demon, using a seance
Goddamn nigga, wanna talk about you
Put yo' ass in the ICU
Intensive Care Unit if a nigga keep shootin', bitch! (Woo!)

I feel the pain, feel the rain
'Cause bitch, I want revenge
I feel the pain, feel the rain
'Cause bitch, I want revenge
I feel the pain, feel the rain
'Cause bitch, I want revenge
I feel the pain, feel the rain
'Cause bitch, I want revenge

Uh, made it past twenty-five (Five)
I'm set, bitch, let me die (Die)
Bet you respect me when I check in with that .45 (Uh)
Slide (Slide), ride (Ride), this a homicide (Bitch)
Pull up to the side, let that man retire
I ain't Drake, this ain't 6ix, issa 9ine
Sticky, blicky, iron (Sticky)
Heard you fuck with swine? (Uh-huh)
That ain't my kind
Fuck who you run to, keep it tucked, you know my chopper shy
When it cries, it cries
If you die, you die, pussy, meet the sky
Rappers telling lies (Uh-huh)
ACOG, too hard, write a hit like Akon
Heard you talking shit on Twitter, 40 make 'em log off
Know my presence makes you bitter
Bitch, you better be cautious
It's nasty

I feel the pain, feel the rain
'Cause, bitch, I want revenge
I feel the pain, feel the rain
'Cause, bitch, I want revenge
I feel the pain, feel the rain
'Cause, bitch, I want revenge
I feel the pain, feel the rain (Ayy, hold on!)
'Cause, bitch, I want revenge

Put your black ass in a duffle bag
And slide off in the hopes, it's a closed casket
My presence alone can exterminate masses
The tongue speak spells, cause blazing rashes (Woo!)
Like who gonna go and betray the beast?
Like who gonna go and start war with me? (Woo!)
Nigga, who gonna go and betray the Zii?
Godzilla (Wardogs!), go start a feast
It's the wardog, sup (Wassup)
Five-star general, ten-hut (Wassup)
In the bottom of my hell, I clutch (Wassup)
Hands covered in blood and rust (Wassup)
No nigga can take my soul (Wassup)
Drop dead, them heads will roll (Wassup)
We'll drop the corpse in the cold (Wassup)
Wardog, I'll stick to the code (Wassup)
Ayy, now I'm muddy booted (Yeah), redrumin' (Yeah)
Body baggin' (Yeah), head huntin' (Woo!), police siren (Yeah), fence jumpin' (Yeah)
Black metal (Yeah), gun bustin' (Yeah)
Wardog bitch (Yeah), we gon' tape up our fists (Yeah, yeah, woo!)
We the Wardogs, bitch (Yeah), wear our rank on our wrist (Yeah, yeah, woo!)

I feel the pain, feel the rain
'Cause, bitch, I want revenge
I feel the pain, feel the rain
'Cause, bitch, I want revenge
I feel the pain, feel the rain
'Cause, bitch, I want revenge
I feel the pain, feel the rain
'Cause, bitch, I want revenge
I feel the pain, feel the rain
'Cause, bitch, I want revenge
I feel the pain, feel the rain
'Cause, bitch, I want revenge
I feel the pain, feel the rain
'Cause, bitch, I want revenge
I feel the pain, feel the rain
'Cause, bitch, I want revenge

Looking in the mirror, the night has come
I've been waiting such a long, long time, to see you on
I can't help but smile as I load the bullet right
So excited, can't sit still, gonna catch you (In the moonlight)
Catch you (In the moonlight)",https://genius.com/Denzel-curry-vengeance-vengeance-lyrics
Gook,Imperial,2016.0,"Ronny J, listen up

I'm a gook!
If I told you that I wasn't then
A nigga wouldn't be telling you the truth
Back in high school, I admit I was a gook
But the way I rap had niggas fooled
Yeah, I'm a gook, niggas started skipping school, me and Monty and Raul
Hopping the fence by Carol City park
Fuck the next class bitch I'm already smart
Yet I'm a gook, see me growing out my hair cause I look like the nigga from Roots
Yeah I'm a gook, Denzel Curry been a gook
Nigga that ain't nothing new
Yeah I'm a gook, probably thinking that I'm fool if I told you that I'm rapping too
Yeah I'm a gook, looking like that nigga Buu
Cut me off, I'm at the booth
Bitch, uh!

Jabbie told me we gon blow like land mines
I don't fuck with purp, that's the only reason Yams died
Nigga, I'm a gook, hella awky that's the truth
But I bet you I can even keep it 10 times better than you
I'm a gook!
Jabbie told me we gon blow up like a land mine
I don't fuck with purp, that's the only reason Yams died
Nigga, I'm a gook, hella awky that's the truth
But I bet you I can even keep it 10 times better than you
I'm a gook!

Loose, with a screw, loose from the Tre Deuce, smoking boof
Bitch, I always knew, that I was a gook
But how this gook, ended up surpassing you?
Why you looking confused?
Made a hard album so what can you do?
I'm the Gook Runner, the Imperial
Shout out to Mook, that be my flesh
Niggas can't fathom that I am the best
I gave you threatz, ultimate next
Shoutout the Klan because that’s on the set
Fucking with me I will put you to rest
Lie and you’ll remember to speak with your chest
Gooking forever I'm still at your neck
Bitch I'm gooking forever so give me respect, bitch!

Jabbie told me we gon blow up like land mines
I don't fuck with purp, that's the only reason Yams died
Nigga, I'm a gook, hella awky that's the truth
But I bet you I can even keep it 10 times better than you
I'm a gook!
Jabbie told me we gon blow up like a land mine
I don't fuck with purp, that's the only reason Yams died
Nigga, I'm a gook, hella awky that's the truth
But I bet you I can even keep it 10 times better than you
I'm a gook!

From the days, I've seen thus far
People tell me that I gook on the daily
One day, I'm gon' be a star
I don't give a fuck if you're gonna hate me
New chains and brand new cars
People tell me that it's all gonna change me
But for now, my mind's on Mars
'Cause you know a nigga gook on the daily",https://genius.com/Denzel-curry-gook-lyrics
BLACK BALLOONS | 13LACK 13ALLOONZ,TA13OO,2018.0,"Hot pink, Valentine red
Black balloons, over my head
Let it float, let it float, let it float, let it float
Let it float, let it float by me
Let it float, let it float, let it float, let it float
Let it float, let it float by me

Inside this paper plane
Note my words are Navy sealed so here and I quote
Taboo and I are in the same boat
What's said from Pennywise, I guess we all float
Sky is the limit, I could die in a minute
Got my mind in a skillet, suicide not a mission
See the vibe very timid, I'm timid and very sad
Translated my thoughts and feelings, I pivot into the pad
Rapers turn to landscapers when they use hoes
Hoes turn to housewives when they see gold
Ice Cube with activator when I'm aggravated
Or decapitated when I lose my head since life is overrated
Two thousand feet, a thousand steps
I let it all sink to one thousand depths
Soon black balloons pop
Let it be the day the pain stop

Hot pink, Valentine red
Black balloons, over my head
Let it float, let it float, let it float, let it float
Let it float, let it float by me
Let it float, let it float, let it float, let it float
Let it float, let it float by me
Hot pink, Valentine red
Black balloons, over my head
Let it float, let it float, let it float, let it float
Let it float, let it float by me
Let it float, let it float, let it float, let it float
Let it float, let it float by me

Heaven or Hell, huh, which one prevails, huh?
We gotta go and figure it out
I tried to tell you that this life isn't it
And I just wanna be the rightest I can be
Show my son to think so he can fly as high can be
Always show examples how they kill niggas like me
Thinking as straight as me, but call me crazy
Sun is my attitude, so I'm cool like JAY-Z
Ándale, ándale, my intelligence for threes
Cancel me like I ain't the King of D.C
Cancel me like I ain't the number one G
Cancel me like you don't like ""Dance On Me""
Quickly they forget how you change on all these lies
You flashing all these lights, and you savin' these kids lives
And they hate you 'cause you're right, give me hell then, shit
Take your turn to fire and to pitchfork, bitch

Hot pink, Valentine red
Black balloons, over my head
Let it float, let it float, let it float, let it float
Let it float, let it float by me
Let it float, let it float, let it float, let it float
Let it float, let it float by me
Hot pink, Valentine red
Black balloons, over my head
Let it float, let it float, let it float, let it float
Let it float, let it float by me
Let it float, let it float, let it float, let it float
Let it float, let it float by me

Tonight on 102.1, it's Denny Cascade and the gang in town
Denzel, are you really making an album?
I'm telling you, eventually, they're gonna catch up to your game, you're running out of time!
Someone is really trying to hurt me!
It's not enough is it? It's not enough you had us come out here
In the middle of the night
What exactly are you trying to hide, Mr. Curry?",https://genius.com/Denzel-curry-black-balloons-13lack-13alloonz-lyrics
Threatz,Nostalgic 64,2013.0,"Nigga Klan be the set, we don't take kindly to threats
Nigga we don't take kindly to threats
Bitch S.S. be the set, we don't take kindly to threats
We don't take kindly to threats
Nigga Klan be the set, we don't take kindly to threats
We don't take kindly to threats
Bitch S.S. be the set, we don't take kindly to threats
Nah we don't take kindly to threats

Slide for the free, kill for the fee
Pull out the stick then I pull out the ski
Put a motherfucker face on a white tee
That's what a nigga get being P.I.E
Sweet, nigga you D.I.E
Sleep, motherfucker that's six feet
Deep, no tender, no love, no care
But a nigga here still gon' creep
T.L.C. put it to ya Lisa Lo' that's a nigga left
Eye, kill a nigga, get ghost, that
Patrick Swayze, come equipped with a vest
I'mma point that shit to your motherfucking neck
K's all in my trunk, so you best to get a chopper
It's nothing but goon action, I ain't talking Waka Flocka
That 2.7.5. goons bout' to do a fucking gank
Bumping Waka Flocka Flame in a underwater tank
Cause nigga die right now, bullet or a fucking shank
Niggas always tryna' be the hardest in the fucking paint

Never take kind to the threats
I be off for your neck 'for you reach for the TEC, Simmie
Niggas gon' hear me then fear me, feel me?
Whole bunch of green in my Philly, turn up
Whole bunch of niggas if you run up
Tryna' act hard with your gun up, I shoot your son up
Grinding till the sun up, middle finger flashed
That's a one up, I'm a young gutta
Dog I mutter, Curry said cut ‘em with his brudda
Leave them boys wet like water
Off with his neck, posted with the set
I don't take kindly to threats, take kindly to threats
Ratchet for life, I'm hood, tryna' smoke bad but I’m good
Bust a nigga head for the cake
Jumping over gates can't wait
Nine to the face, fuck nigga you ain't safe

Nigga Klan be the set, we don't take kindly to threats
Nigga we don't take kindly to threats
Bitch S.S. be the set, we don't take kindly to threats
We don't take kindly to threats
Nigga Klan be the set, we don't take kindly to threats
We don't take kindly to threats
Bitch S.S. be the set, we don't take kindly to threats
Nah we don't take kindly to threats

Savage life, nigga, you don't wanna see me live
Pop more than a quarter, so tell that dime piece
""Bitch, don't kill my vibe"", man
I know your bitch love me, I know your bitch want me
She let me pillow pet that kitty when she climb under this Snuggie
Bitch, South Florida, I only smoke mid in Broward
But end the flame of that Magic Dragon and kill that Charmander, bitch
Gone on you niggas, two phones on you niggas
Think I made it? You don't wanna see me ball on you niggas, bitch

Nigga Klan be the set, we don't take kindly to threats
Nigga we don't take kindly to threats
Bitch S.S. be the set, we don't take kindly to threats
We don't take kindly to threats
Nigga Klan be the set, we don't take kindly to threats
We don't take kindly to threats
Bitch S.S. be the set, we don't take kindly to threats
Nah we don't take kindly to threats",https://genius.com/Denzel-curry-threatz-lyrics
RICKY,ZUU,2019.0,"FnZ
Oh, damn

First they mockin', now they hoppin'
All on the wave, 'cause they see me poppin'
Big-big-big large pockets, they start flockin'
Here's what I say when they ass keep knockin'

My daddy said, ""Trust no man but your brothers
And never leave your day ones in the gutter""
My daddy said, ""Treat young girls like your mother""
My mama said, ""Trust no ho, use a rubber""

I'ma act, one, two, stop the track
Bring it back, what it do?
See, Ricky said, ""Never let nobody get the one up on you
If they run up on you, hit 'em with a one, two or a bitch slap
Leave the cul-de-sac, your brothers gon' have your back regardless
And stick with your day one homies that was here before you started
And fear no man but the man above your head""
""Pray before you go to bed,"" every day my mama said

First they mockin', now they hoppin'
All on the wave, 'cause they see me poppin'
Big-big-big large pockets, they start flockin'
Here's what I say when they ass keep knockin'

My daddy said, ""Trust no man but your brothers
And never leave your day ones in the gutter""
My daddy said, ""Treat young girls like your mother""
My mama said, ""Trust no ho, use a rubber""
My daddy said, ""Trust no man but your brothers
And never leave your day ones in the gutter""
My daddy said, ""Treat young girls like your mother""
My mama said, ""Trust no ho, use a rubber""

And your mama ain't shit, your daddy ain't shit
And I been makin' waves way before Nostalgic
That was back in Carol City, yeah, when I was just a jit
With the all-black faded Dickie with the Raider fit
That was it, we was lit, y'all wasn't even shit yet (Yeah, ho)
We was Three 6, Wu-Tang mixed with Dipset
Ricky used to take me to my first shows ever
Would only drop jewels way before they dropped cheddar

First they mockin', now they hoppin'
All on the wave, 'cause they see me poppin'
Big-big-big large pockets, they start flockin'
Here's what I say when they ass keep knockin'

My daddy said, ""Trust no man but your brothers
And never leave your day ones in the gutter""
My daddy said, ""Treat young girls like your mother""
My mama said, ""Trust no ho, use a rubber""
My daddy said, ""Trust no man but your brothers
And never leave your day ones in the gutter""
My daddy said, ""Treat young girls like your mother""
My mama said, ""Trust no ho, use a rubber""",https://genius.com/Denzel-curry-ricky-lyrics
SIRENS | Z1RENZ,TA13OO,2018.0,"Babe, when you hear the siren sounds
When the karma come back 'round, don’t let me down
Babe, there's a time to stand your ground
Even if one of them sounds, don't let me down

Eyesight is a gateway
To a new day and the same hate
With a new height and the same feet
On a airplane yelling, “Mayday”
With a good girl gone bad girl
Who went gay ’cause of date rape
That's a metaphor for the US
'Cause they got us all in the same state
State of mind, brain is minimized
Put me on the news, only criticize
Revolution will never be televised
For the enemy, they never empathize
And I never voted, never sugar coat it
With my finger itchin' and my gun loaded
When the fire open, let it be your moment
When I shoot the sheriff if he not demoted, then bang! (Bang, bang, bang)
This for Trayvon and Tree
Burn the bush and chronic, speakin' honestly
We livin' in colonies, CNN sit-comedies
Monstrosity run rampant all throughout United States
Talkin' about “let's make a fort”
Talkin’ about “let’s make it great”
If the shoes fit, tie it, grab the guns and riot
Time to run with lions on the road to Zion
In this age of violence, time to grab the iron
When I pop the silencer, it's nothing but silence when–

Babe, when you hear the siren sounds
When the karma come back ’round, don't let me down
Babe, there's a time to stand your ground
Even if one of them sounds, don't let me down

Uh, look, okay
Ba-aby, I’m a fool because I thought you would stay
Whether I win or I lose, they already think we dead
But they continue to shoot, I'm just gon' cover my head
I need to duck and not move (Yeah) I bust a move when I (Uh)
Find a way to get on and get up and get out the crib
I was just looking into the mirror
Tryna dislocate my fear 'cause you broke my heart
Let me dry my tears
So serious, I'm so neglected
In the wrong direction with a long erection
Got no protection but it's fuck the world
When she bend it over, being over-sensitive
But did I mention that my real intentions
Are on me really dealin' with the consequences
And I see your tone is very condescending
When I talk to you, but no you won't admit it
And I pity the fool
Been tryna vent, but you ain't tryna hear it
Like I'm not in here, but you gotta hear it
Just stop brushing me off to the side (Oh, shit)
Oh say, can you see a hundred dead bodies in the street
By the dawn's early light, double Sprite and a R.I.P. tee
So proudly, lights gleam, let the gun blaow in the night time
Of the slum house, little drum bump with the one thousand
Come-come, here they come

Babe, when you hear the siren sounds
When the karma come back 'round, don't let me down
Babe, there's a time to stand your ground
Even if one of them sounds, don't let me down

Birds chirpin', dogs barkin', kids missin', milk cartons
Soul dark as black markets, war is startin', more spartans
Lord, prophet, praise Muhammad
“Different Strokes”, Philip Drummond
Gave me crack, like I'm plumbin', Jesus Christ, second comin'
Cut myself, now I'm numbin', never scared, never runnin'
Chosen one, I'm one hunnid, pray for me, pray for London
Guilty me, he ain't done and gun me down, all for nothin'
Precedent in abundance, President is a puppet
Gotta hate it, gotta love it, 
pass a class, I rise above it
Wise enough, advise the public, pistol bust, screamin' “fuck it”
Donald Trump, Donald Duck, what the fuck is the difference?
Now we stuck, in a rut, this ain't what I envisioned
What is what? What is guts when you don't have intuition?
Not a saint, not a sinner, tell me, what's my real religion?
Genocide, Genesis, they say it's a new beginnin'
I'm a sinner, you a sinner, I can see the devil grinnin', damn",https://genius.com/Denzel-curry-sirens-z1renz-lyrics
This Life,Imperial,2016.0,"Didn't notice, but as of late, I think I changed
Not the same since my younger days, so far I came
Feel my pain till I can't complain, cause I'ma slide for a minute
Till I rise in the business, make a billion, show my niggas what up
In this life, middle fingers up I don't fuck with a 9 to 5
I keep it true to me, why the fuck would I live a lie?
I'm living in this world, would you care if I live or die?
Are you down, then would you ride for me?
Because this life is so fucked up they telling lies to me
You are my main and as my main you'd better not lie to me
And I would tell you like Geminis there might be sides to me
She not my main bitch, I'ma tell you she's a side to me

Like, she assigned to me, but you are designed for me
And if I say I got your back then hold my spine for me
And if I couldn't shed a tear, girl, would you cry for me?
And if we was a couple doves, girl would you fly with me?
I'm overseas, what I oversee, ocean sea, see reflections of the way we supposed to be
Unluckily, we not at peace
That's the end of my clover leaf
Wouldn't care if you know it's me
Keep away until you notice me

Didn't notice, but as of late, I think I changed
Not the same since my younger days, so far I came
Feel my pain till I can't complain, cause I'ma slide for a minute
Till I rise in the business, make a billion, show my niggas what up
In this life, middle fingers up I don't fuck with a 9 to 5
I keep it true to me, why the fuck would I live a lie?
I'm living in this world, would you care if I live or die?
Are you down, then would you ride for me?
Because this life is so fucked up they telling lies to me
You are my main and as my main you'd better not lie to me
And I would tell you like Geminis there might be sides to me
She not my main bitch, I'ma tell you she's a side to me

She told me that I wasn't losing her, that she losing me
L-O-V, -E, we outta gas, I'll see you in a week
Thinking that, you won't fornicate with niggas that you meet
But silly me, now we are the same, 
Cupid admit defeat
Girl, are you out of your mind? I would think you were mine
You were a part of me, pardon me, parts of me died
Idolized you when I didn’t unite
You won't tell for the moment, but time will tell, but as of now

You didn't notice, but as of late, I think I changed
Not the same since my younger days, so far I came
Feel my pain till I can't complain, cause I'ma slide for a minute
Till I rise in the business, make a billion, show my niggas what up
In this life, middle fingers up I don't fuck with a 9 to 5
I keep it true to me, why the fuck would I live a lie
I'm living in this world, would you care if I live or die
You down, then would you ride for me?
Because this life is so fucked up they telling lies to me
You are my main and as my main you'd better not lie to me
And I would tell you like Geminis there might be sides to me
She not my main bitch, I'ma tell you she's a side to me

Me-e-ayee
She is a side to me
She is a side to me
But you are designed for me-
You're designed for me
But you are designed for me-
You're designed for me",https://genius.com/Denzel-curry-this-life-lyrics
