title,album,year,lyrics,urls
We Got More,Future Rhythm,1996,"Grammy's, Emmy's that means nothin' to me
But when they rock us in the streets we say ""Ooo-we""
You see the freak in the beat, she do me
I hit that Mitty-bitties wit the sticky ooey-gooey
I got more funk in my left in my left pinky toe
I got more soul in my style
Then they will ever know
I got more rhythm than I'll ever need to show
We got them groceries, bro
Yo, Luniz, let go

I got the flow so let the Luni man take over
Get deep into my hold
If ya lost, then picture gold
I heard styles that others stole
But it's no original flow
Like the Luniz and the man wit the nose

Notice my flows kick like a loaded Mac-11
Ghetto heaven, could climb wit mo 'Good Times' than James Evans
Glock wars
Media criticize 2Pac for
Homies in the hood, be strapped with goods and we've got more

Didn't ya know
Our brothas got more
So check the new flow
Cuz here we go-e-o-we-oh
Look how we throw
A lil sumpthin to roll to
Hold you, from the O-we-O-we-O

Got that voodoo runnin through my veins
Quiz: oppressed? Yes
Crazy? No, not insane
I smooth you through the menu then I make my order
I got that dominate gene
So if ya 'noid hide yo daughter
The love ya givin is based on what I do for you
For the right amount of money you probably let me boofoo you
I like to glide up in it, but I got my pride
Ain't no whore
Don't second guess yo man cuz he got more


Studio gangstas wanna battle, well let's battle
I blasted
They plastic ass get put underground wit the Fraggles

Snaggle tooth rhymers wit no flavor
Save a gang a neighbors
Then move away so they won't be called haters

Captain Save-A-Ho
Wop wop an away ya go
The ""O"" is too unfadeable

But don't trip, get a grip
Make ya own skit, be sure
Before you slide through the door
Cuz ""We Got More""
 2x
Didn't ya know
Our brothas got more
So check the new flow
Cuz here we go-e-o-we-oh
Look how we throw
A lil sumpthin to roll to
Bump hoes to
From the O-we-O-we-O",https://genius.com/Digital-underground-we-got-more-lyrics
Want it All,Future Rhythm,1996,"I wanna go up downtown get around town
Out of town for about a month overnight
While the sun's shining bright
In the middle of the warm cold freezing hot night, that's all

I wanna put it in out through over and under
Shake and bake, first take kick the boots and blunders
I'm ready to feel the ninth wonder
I'm ready for it all

When I'm way up high
I walk the edge I'm on the verge
I get the urge to jump
I wanna fly can't do it suicide
But I wonder what it's like to fall, cause I want it all

Lemme get a fruit juice lemon drop soda pop
Popcorn candy bar chocolate ice cream and Hennessy
I want it aalll, yeah, I want it aaallll!
Yo, I want Anita, Laquita, Shakiyla, Lolita
Diana, Hannah, Rosanna, dookie-braid wearing Kelly
Shelly the redhead the big booty Emily, I want em all

Yo, I wanna smoke about an ounce and bounce
To your local discount ride spot picking up large amounts
I wanna pound extra thick quit and ask no questions
Nuff fire for the session
I want it all
I WANT IT ALL! 

I wanna have a tight body
Meet a physically fit girl named Holly
Who likes to ride the bikes exercise and go running
But I also wanna lay around the rest and get blunted

I want a fat crib and a car and boat and a good business
And a dope biznitch to share the fantasy with me
And live virtually responsibility free, I want it all g

I goes for mine all the time I'm first in line
You better get behind me, you're no friend of mine see
I want it all
I like to kick the knowledge and do good
But I still wanna be that pimp nigga in the hood
Yes, I want it all
I wanna lay back like a mack while you do me
I wanna get did but then again I wanna do you
I wanna please you, I wanna doo woo you
Do you want it all?

We gotta be safe but I wanna be nasty
We gotta bust quick but then again
I wanna try to make it last, you see
Do you want it all?

Check it out
I wanna stack and be the fat rat
Get a map flat on the hill drive a Lac
Still I wanna be back down in the hood
So I can chill with the brothers that's from there
You know we're in there
I want it all

I wanna clown with my homies
I wanna do 360's in a '69 Camaro
I wanna drop my clutch tyres scream
Bust a cloud of smoke wreck the scene
And then jet like an arrow
But then again I gotta please the ladies
(Yo, I like the ladies)
So I need a clean six-four and a drop-top Mercedes
I want it all
I wanna be as fly as the others
(Fly as the others)
I wanna freak my brothers
(I wanna freak the brothers)
With the underground street thing
But then again I wanna make my mother proud
With the Grammy nominee thing
I wanna pleeeaase all my sisters, let me give you the world!
But I can't get Japanese girls out of my system
And I wanna do a grey girl
I wanna live righteous so I might just
Follow Malcolm and kick it like Farrakhan
But then when the lights are gone
I'm out in the street acting crazy
It's great to be alive, I wonder what it's like to die
I wanna live drug free and I wanna be sober
But I wanna get HIGH until the world is over

I wanna be a real humanitarian
Eat fish and become a vegetarian
But after the party's over at 2 a.m
Then I wanna get a fat burger

Can't be bought but I'm up for sale
I'm going to heaven I'm going to hell
I like the day I like the night
I like the dark I like to bite

I wanna jack a rasta for his car keys get some dee
A kilo and gets some hoes get my stack on attack
And smoke a fool who try to take mine, I also wanna stop crime
I want it all

I wanna stay inside, I wanna get out and kick it
I like to mingle, I wanna get married wanna stay single
(Married?! Hell no!)
I wanna be this, I wanna be that
I don't know where I'm going
I don't know where I'm coming from
But I know where I'm going
Everything is everything nothing is nothing

I want fancy cars and diamond rings
I wanna do that ghetto thing
I want a wife and kids and nice big home
And next week I wanna be all alone
I want everything!
I WANT IT ALL! ",https://genius.com/Digital-underground-want-it-all-lyrics
Oregano Flow,Future Rhythm,1996,"A little high belongs to you
- Yeah, getting high off the soup, (drink it up)
A little high belongs to me
- Top Ramen's how we're coming with the loop, (sip it down)
A little high belongs to you
- A dab of this, dab of that, not too heavy on the garlic, (take it easy)
A little high belongs to me
- With just a touch of oregano
Now everybody's funking but they don't know how
They wasn't down back when the bull funked the cow
But the chest of the cow was vestless
So the stank from the D-thang bang left them breathless
Oregano flow
Don't waste your time sticking out your chest, for no
Reason: its the season for the lovely flow:
The 'D', we're sick enough of stress, let it go
Now follow as I slip into the butter melody
This is the part I take your heart and leave your vision blurry
So try to focus on my dope
And I suggest you invest in a telescope;
As I come with hella rhythm, move closer to your television
Catch a look just like a hooker catch j-izm
Even with bifocals for your ears, you still couldn't see me though
As I flavour up this vide' like oregano:
Slinging them nouns and verbs
You couldn't hear me with binoculars
I guess I'm kind of different cause I do love them hoes
Only not the same way that I love my niggaroes
Cause I love it when they say something fly
The ill caps make me laugh till I cry
Some fries and some freaks and it's on, all night long
I love to see my homies living strong
But that cook with the cloudy cookbook
Rained salt on another brother's sunny day
I wonderin' if we're really happy here
With this lonely G game we play
A little high belongs to you
- Yeah, getting high off the soup, (drink it up)
A little high belongs to me
- Top Ramen's how we're coming with the loops, (sip it down)
A little high belongs to you
- A dab of this, dab of that, not too heavy on the garlic, (take it easy)
A little high belongs to me
- With just a touch of oregano
Now everybody's looking but they cannot see
The 'D' because we're future and we're too slippery
You know we're coming with oregano flow
Don't waste your time sticking out your chest, for no
Reason it's the season for the lovely flow:
The 'D', we're sipping off the stress, let it go, let it go
Top Ramen's how we're coming with the loops
Oregano, baby, oregano
A little high belongs to you
- Yeah, my soup'll get you high, (sip it down)
A little high belongs to me
- Top rhyming's how we're coming, bye-bye
A little high belongs to you
A little high belongs to me",https://genius.com/Digital-underground-oregano-flow-lyrics
Food Fight,Future Rhythm,1996,"Game 11
This is a federal food fight
(You better know it)
That means we're callin' out all you kooks and crooks
(What? We're about to rip this shit)
Oh, me? My name is Humpty Hump
(There's a party in here, baby)
I'm the original big-nosed rapper, baby
(You better get down with this, baby)
We're about to sling hot food all over this piece
(Just nothing but a food fight)
Here we go, back in the house for the 9-whatever
(Food fight)
With the bacon and egg sandwich
You ain't bringing groceries, G, your groove is getting rude over records
But can you sling the food like this?
You better bite this, if you wanna make the people move like this
Chez wa, Allah, cheese burger
Flame broil base, my pickle make ya wiggle
You're busted, my mustard will wax your whole plate
By itself, not including all my funky condiments
Nod your head to this and duck down
As I commence to lock and load a fresh cantaloupe
Yo, I'm illin', I'm slingin' melons like the felons are slangin' dope sacks
So max but I wouldn't stand so close up in the light
Either bring it or hide 'cause it's about to be a food fight
(You need something for the food fight)
We hit you in the neck with a cheeseburger
(Gotta bring food to the food fight)
Yeah, bruh, we hit you in the neck with a cheeseburger
It's classic, slapping brothers with some lettuce from jurasstic
I counteract it with the Shock with ham hocks
From brothers who might 2Pac
Fifty-seven black too hard but lots of flows
Fat like hippopotamus, still caught 'em though
In the face with excrements, peep my testaments
I bring the seasoning paprika
Eureka for the weaker, and smoke the reefer
Dribble up the funk in the beaker and, yes, about to say, ""Speaker""
It leaks in your ears and years ahead
I went to Japan and they was throwing pork balls
But I'm calling protocol, stop
(You need something for the food fight)
We banked you in the neck with the cheeseburger, come on
(Gotta bring food to the food fight)
Yes, we're slugging the chicken nugget to your grill
(You need something for the food fight)
Get ready, we're coming fetti with the groceries
(Gotta bring food to the food fight)
Someone shoulda told ya, it ain't over till it's over
Now if I am what I eat I hope I ain't a big couchie
Gotta substitute the 'Ouch' for the 'Ooch'
If so, I hate to see my man Donnie O, he'd be a butt hell
Substitute the 'Ell' for the 'Ole'
Actually, factually hella fools I know would be toe up
If you was what you ate, no fakin'
My man Nate would be a plate of bacon
My brother Shock popcorn, and my cat would be a rat
My girlfriend would be some super sperm and things
My rich nigga Pac would be a lobster with hot wings
It's quite simple, if true that my temple is wrecked
I'd be some mushrooms and cognac
I'd be a pinto bean gravy smothered neck bone
Scrilla taker, vanilla wafer, baker, filler
So come on with your food slingin' 'cause I'm ready
Bring it shut up nigga, sing it
(You need something for the food fight)
We banked you in the neck with the cheeseburger
(Gotta bring food to the food fight)
Yes, we're slugging the chicken nugget to your grill
(You need something for the food fight)
Get ready, we're coming fetti with the groceries
(Gotta bring food to the food fight)
Someone shoulda told ya, it ain't over till it's over
Bring the groceries
Bring the groceries
Bring the groceries",https://genius.com/Digital-underground-food-fight-lyrics
Fool Get a Clue,Future Rhythm,1996,"Yo wake up it's the D crew up in here with the Black Spooks
And we bout to drop it on y'all...y'all best get a clue
Fool get a clue, get a clue, get a clue
Now everybody wanna tell everybody who to be with
Really doesn't matter to me long as I miss that H-I-V shit
And AIDS ain't the end of the world girls and us do kinky stuff
And theres way to muff without the fluids touchin
Never hide the truth if my body and hair is sacred
Then why we can't be naked in public
It's totally natural like sex is but this is
A law that had to be made by men with itty bitty penises
The streets of this world they are my playground I explore them
Meet somebody I don't like and I ignore them I don't destroy them
They way that you know who be he want me to hate like he hate
But I got too much m poopoo doo with me
Chorus:
Fool get a clue it's a new game
Can't be trippin on you I go my own way
Players gonna play with who they wanna play with
People gonna always lay with who they wanna lay with
Well it's the B-L-A-C-K to the S-P double O-K
It don't matter what another man say
I'm gone still do it all my way
Cause I'm slick like C-Bo's quick
I don't wanna be down with yo gross click
I just wanna snap photo flicks
With a freaky little trick puffin dodo sticks
I can live foul as dirt road hicks
I can make three plus two make six
Cut with verbal scrapes and nicks
I'm as ill as chicks with dicks
Scuff my kicks I'm bustin licks
Openin somebody up like Vicks
Purchase ism by the bricks
Plus I brick city hoes I picks
All in yo mix as I ease betwixt
Like sitcom vix be greasin dicks
I be skeezin chicks when the season switch
I be makin tricks itch like fleas and ticks
I swoop low and prey on tricks
Large I've got my own prefix
I'll stop twitchin wheres my fixer
I gonna break shit up like Twix
Chorus
Fool get a clue it's a new game
Can't be trippin on you I go my own way
Players gonna play with who they wanna play with
People gonna always lay with who they wanna lay with
You want me to want what you want
(I go my own way)
You want me to be like you be
(I go my own way)
You want me to trip like you be trippin
(I go my own way)
Gotta go my own way
(I go my own way)
Maybe it ain't your flava but I'm gettin wit it
Maybe you wouldn't be seen wit it yo but I'm splittin wit it
Maybe it ain't your style or your shape but I'm hittin it
You want me to hate what you hate
But quit it forget it
Cause I ain't wit it
This country tis of thee
Taught me how to bring the groceries
Now I'm crazy just like I'm supposed to be
Smokin mothafuckas my mentality
Sex, money, and drugs mean the most to me
Murderin mothafuckas ain't a thang to me
And I'ma keep slanging G
Hold on young blood hold on
You gotta keep holdin on
You gotta keep on fightin",https://genius.com/Digital-underground-fool-get-a-clue-lyrics
Future Rhythm,Future Rhythm,1996,"Hit em with the rhythm of the future x4

(In the future) It's gonna be a rhythm divine
A paradise peace of mind vibe for every kind
Text to the sexless, dollars to the needy
Power to the people but DEATH to the greedy
(In the future) There's gonna be a new drug
To keep the people sleep deep on the streets
Strung up! It keeps you lifted longer
We be faxing freaks through that Internet
Hold on, I think I got 2 new females in my e-mail

They told me unity was not at home
But they lied
I seen them with my TV screen phone

(In the future) I tap through the web online
Find time to program a freak the way I program the beats
Tweak the eats, ni son chi
Now ladies speak your speech
Hella sweet but kinda salty your balls
(In the future) Uhhh, now that's what I'm talkin bout
Got me this hard, dry swollen, out of control
Bow to the audience
Collect your chips and switch your clips
And leave the scene with the green
We give them future rhythm

Moses knows this so he flows
Prophesy for the future
They're making microchips for your toes

And the Nose knows those that goes
Against the flow of Mother Nature
You're breaking up the show

Louie Louie, yes we received your fax
It said to have each others' backs

(In the future) No imitation Gs flexing tecs in the hood
Bravery turned sweetery, 150 turns on their streetery
Warriors who blast passed what they can't do
It's how we're hitting em in the future rhythm
(In the future) We'll still be getting lifted
The gifted will rise, no lies from the higher-ups
Power shifted, wine and  ain't gon be the pride
Of brown town, less stress and desperation in our eyes
Hit em with the rhythm of the future
Baby, let me play with you (x4)",https://genius.com/Digital-underground-future-rhythm-lyrics
Hokis Pokis (A Classic Case),Future Rhythm,1996,"No, I'm talking about a fully operational, post traumatic, temple lobe, paranoid skitzophrenic, manic depressive, homicidal maniac. A classic case
This is a rare, and classic case. Now let's go!
I'm talking about a temple lobe, post traumatic, cranial gland disorder
Homicidal maniac. Classic case
Quack, quack!
I'm crackin up like a duck, tryin ta cope this!
Hokis pokis, I can't keep my focus!
Quack quack quack!
Shut up! Shhhhhhh! Shut up!
Quack like a duck! Quack, QUAAACK quack quack
Yea, you look like a quack
Shut up! Shut-uuuuup, shut up, shut up
Man, you people are crazy!
I can't believe they got me fallin' so low
Make me think my mind is goin' loco
Quack like a duck, I'm crackin up tryin ta cope this!
Hokis pokis, I can't keep my focus!
I can't believe they got me fallin' so low, so low
Make me think my mind is goin' loco, loco
Quack quack quack! (quack quack quack)
Quack quack quack! (quack quack quack)
Please shut up!
Quack like a duck..
There goes anotha brotha quackin up
Man, them people drivin' me crazy!
Huh? No, I'm not crazy, you're crazy
No, I'm not crazy. YOU are crazy
Crazy crazy crazy. Crazy crazy. Shut up! Nope
No, I'm not crazy. Stop callin' me crazy! YOU are crazy
(I can't believe they got me fallin' so low)
I can't believe they got me goin' so low
Make me think my mind is goin' loco
Look, SHUT UP! Stop call.. stop callin' me crazy!
You're the one crazy
Look, you're crazy. Hmm, hmm hmm
Glad I ain't crazy. Luh lah dee dah..
Somebody's crazy, and it ain't me
Come on man, you people... Shut up
Man, you people.. YOU PEOPLE ARE DRIVIN' ME CRAZY!!!
Through!
Through! Tow up!
Through!
Through! Tow up!
Through!
Through! Tow up
Tow up!",https://genius.com/Digital-underground-hokis-pokis-a-classic-case-lyrics
Rumpty Rump,Future Rhythm,1996,"Sent Monday May 23rd at 12:40 PM

Hey yo Shock
Check it out this is 

Look
Somebody just said 

You should be
You should get you a female rapper
Put her in Digital
Bring her out as Humpty's sister
Humpty Hump's sister and call her Rumpty Rump
And put a big ole fake ass on her
And she'd just have a big a big stupid ass
And she'd be rockin' shit
And she'd be doing some ole ass dances
Rumpty Rump
That'd be tight

Hey call me man

Message saved
Sent Saturday June 4th at 7:29 pm

Yo wassup...",https://genius.com/Digital-underground-rumpty-rump-lyrics
Hella Bump,Future Rhythm,1996,"Got that bang, mayne
Mmm-hmm
Twenties, thirties what you need?
See, this is full spectrum
Undiluted heavyweight bang
Yeah, we moving weight
And you can reach me on the internet
Come get what you need
Not just a nickel bag full, mayne
Give me the fat, jumbo thirty bag of bang
Watch what you slang
Cause if it sound the same I'll keep looking
Ain't putting fake music in my veins (no, no, no)
Not just a nickel bag full
Or a dime bag of bull cause I need my tummy full
Pop daddy brought a fatty, slinging that banging
But underground mommy bought me hella bump
Hella bump
Flow on, baby, so I can get my bump on
If we got any real bump junkies in the house
Like myself
>From now on no more nickels and dimes, baby
Rolling or the folding kind
Now's the time to grind my way
And bump with conviction
A thirty bag of bang, baby
Look at the way we bumping
Take a swig of this here swing
And recognize who pumping junk
Who pumping stuff, who give you the Holy Ghosties
Who rocks the spot
To bring the groceries with the most ease
Not just a nickel bag full
I need a twenty so my tummy gets full
Not just a nickel bag full
You gotta give me hella bump, hella bump
I'm picky about my flowing
Not too slow and not too fast
You gotta be banging
Want to feel like you like some ass
Cop it somewhere else if you're bumping cut
You're giving away the ????
But still you're stingy with the bump
Fronting on the funk we love
Heavy bass thriller
The humping, trunk-dwelling, hella-bumping party killer
While we singing knock me",https://genius.com/Digital-underground-hella-bump-lyrics
Walk Real Kool,Future Rhythm,1996,"Welcome
Select player green or blue
And proceed

We’re just some fools
And we’re rollin’
It takes some fool
Who knows?where?we’re goin’?
We roll?real smooth
(Can we go for a?ride?)
And even when we’re strollin’
(How y’all walk?)
We walk real cool
Will?tell?me?where we’re goin?

Now?let me me?say, “Hello”
Let me put the melody in my flow, cause yo
I’m gonna reach deep in my soul
And flip the story that we all know, but we seldom show
A break from the usual
Silly games and the hoe show, cause bro
It’s gonna bring the truth in this video
Spit game like an old pro, girls flow

Now if you got the new BMW and the Rolex, baby don’t flex
What’s that got to do with you
When your breath smell like brew and you can’t figure 9 times 2
No, you can’t help anybody
So yo, don’t even go there
Cause I read ya
(Cause I read ya)
It’s who you are inside
And as a friend will you be there when I need ya?

Fools in the town mackin’ and slinging
Jacking old folks, so relentless
It’s hard enough being down
But then we got our own folks
Up against us makes us

Just some fools
(Just some fools)
And we’re rollin’
It takes some fool
(It takes some fool)
Who knows where we’re goin’?
We roll real smooth
And even when we’re strollin’
(How y’all walk?)
We walk real cool
Will tell me where we’re goin?

Now if I was to go
And get witchu just because you’re rollin’, in dough
Soon it will show
And that will make me nothing more than a hoe
Baby, don’t you know
Real love is bringing out the best in us, for sure
But greedy people are messing up the funk for the rest of us, solo

I can’t believe they got us living solo
Make me think my mind is going loco
Better catch eachother cause we’re fallin’
I can hear the rubber room is callin’
Who’s got the biggest rings, the most gold or the longest hair
Yo, I do not care
I want the freak with the clean teeth (Clean teeth)
An open mind and that treats me kind
So I can rest my mind
The way that everything is going down
It always got me thinkin’ always sinkin’
We gotta hang on, gotta live long
Gotta be strong, gotta move on
Can’t keep on being

Just some fools
(Just some fools, y’all)
And we’re rollin’
It takes some fool
(Fools take a guess)
Who knows where we’re goin’?
(How y’all roll, how y’all roll?)
We roll real smooth
But even when we’re strollin’
(How y’all walk?)
We walk real cool
Will tell me where we’re goin?

Release your mind and let your instincts flow
Release your mind and let the funk flow
Let go of your fears, let your instincts flow
Open up your ears, it’s the D-Flo

We’re just some fools and we’re rollin’
It takes some fool who knows where we’re goin’
(Who knows where we’re going)
We roll real smooth even when we’re strollin’
(Even when we’re strollin’)
We walk real cool, will tell me where we’re goin?
(Somebody tell where we’re going, please! Cause I wanna know)",https://genius.com/Digital-underground-walk-real-kool-lyrics
