title,album,year,lyrics,urls
La Di Da Di,Rapmasters 7: The Best of the Laughs ,1985.0,"OK, party people in the house
You're about to witness something you've never witnessed before
Yes it's the original human beat box, Doug E Fresh
And his partner, the grand wizard, MC Ricky D
D and that's me in the place to be
And we gonna show you how we do it for '85, kick it live, alright
Because, um, I've got a funny feeling, um
You're all sick of all these crap rappers
Biting their rhymes because um they're back-stabbers
But, uh, when it comes to me and my friend Doug Fresh here
There is no competition 'cause we are the best, yeah
Finesse impress which we prove
And y'all will realize that we are the move
So listen close so you all don't miss
As we go a little something like this
Hit it
Ah yeah
Uh, uh, you know what
La-di-da-di
La-di-da-di
La-di
La-di
You know what, yo peep this
La-di-da-di, we like to party
We don't cause trouble, we don't bother nobody, we're
Just some men that's on the mic
And when we rock up on the mic we rock the mic (Right)
For all of y'all keeping y'all in health
Just to see you smile and enjoy yourself
'Cause it's cool when you 'cause a cozy condition
That we create, 'cause that's our mission
So listen to what we say
Because this type of shit, it happens every day
I woke up around ten o'clock in the morning
I gave myself a stretch up, a morning yawning
Went to the bathroom to wash up
Had some soap on my face and my hand upon a cup
I said, ""Um, mirror mirror on the wall
Who is the top choice of them all?""
There was a rumble jumble, five minutes it lasted
The mirror said, ""You are, you conceited bastard!""
But that's true, that's why we never have no beef
So then I washed off the soap and brushed the gold teeth
Used Oil Of Olay 'cause my skin gets pale
And then I got the files for my fingernails
Due to the night and on my behalf
I put the bubbles in the tub so I could have a bubble bath
Clean, dry was my body and hair
I threw on my brand new Gucci underwear
For all the girls I might take home
I got the Johnson's Baby Powder and the Polo cologne
Fresh dressed like a million bucks
Threw on the Bally shoes and the fly green socks
Stepped out my house stopped short, oh no
I went back in, I forgot my Kangol
And then I dilly (dally), I ran though a (alley)
I bumped into my old girl (Sally) from the (valley)
This is a girl plays hard to get so I said
""What's wrong?"" 'cause she looked upset, she said
""It's all because of you I'm feeling sad and blue
You went away and now my life is filled with rainy days
And I love you so, how much you'll never know
'Cause you took your love away from me""
Now what was I to do
She's crying over me and she was feeling blue
I said, um, ""Don't cry, dry your eye
Here comes your mother with those two little guys""
Her mean mother stepped up, said to me ""hi""
Looked Sally in the face and decked her in the eye
Punched her in the belly and stepped on her feet
Slammed the child on the hard concrete
The bitch was strong, the kids was gone
Something was wrong, I said ""What is going on?""
I tried to break it up, I said ""Stop it, leave her""
She said ""If I can't have you, she can't either""
She grabbed me closely by my socks
So I broke the hell out like I had the chicken pox, but
She gave chase, she caught up quick
She put a finger in the face of MC Rick
She said, ""Why don't you give me a play
So we can go cruising in my OJ?
And if you give me that OK
I'll give you all my love today
Ricky, Ricky, Ricky, can't you see?
Somehow your words just hypnotize me
And I just love your jazzy ways
Oh, MC Rick, my love is here to stay!""
And on and on and on she kept on
The bitch been around before my mother's born
I said, ""Cheer up,"" I gave her a kiss
I said, ""You can't have me, I'm too young for you miss.""
She says, ""No, you're not!"" then she starts crying
I says, ""I'm nineteen,"" she said, ""Stop lying!""
I says, ""I am, go ask my mother
And with your wrinkled pussy, I can't be your lover!""
To the tick tock ya don't stop
To the tick tick ya don't quit
Hit it!
Don't never forget, Doug E. Fresh and The Get Fresh Crew",https://genius.com/Doug-e-fresh-and-the-get-fresh-crew-la-di-da-di-lyrics
The Show,"Oh, My God!",1986,"Ladies and gentlemen
The most exciting stage show you've ever witnessed
Appearing live, Doug E Fresh and the Get Fresh Crew
(Oh my God!)

Excuse me Doug E Fresh
Yes?
Have you ever seen a show with fellas on the mic
With one minute rhymes that don't come out right
They bite, they never write, that's not polite
Am I lying?
No, you're quite right
Well tonight on this very mic you're about to hear
We swear, the best darn rappers of the year
So, so, cheerio, yell, scream bravo
Also, if you didn't know this is called The Show

A-yo Doug
What?
Put your Ballys on
Yo Rick, I was about to but I need a shoe horn
Why?
Because these shoes always hurt my corns
Six minutes...
Six minutes...
Six minutes Doug E Fresh you're on
Uh uh on, uh uh on, uh-huh-uh-huh-uh uh uh on
Uh uh on, uh uh on, uh-huh-uh-huh-uh uh uh on
Uh uh on
(Is it real?)

Here we go (here we go) come on (come on)
Here we go (here we go) come on (come on)
Yo, where's Will and Barr?
Well I don't know they're late
Told 'em the time, oh I forgot the date
Man, you did it again, oh no
Yo, here we go, come on, here we go, come on
Here we go, did you miss the show
No, no, no-no-no no we didn't
No no-no-no no-no-no no we didn't
No we didn't, well don't get us wrong
Excuse me Doug E...
Excuse me Doug E...
Excuse me Doug E Fresh you're on
Uh uh on

Well it started off on 8th Avenue
When I made up the name called the Get Fresh Crew
It was me, my two DJs Chill Will and Barry B
And my right hand man Ricky D
I used to rap and sing, make sounds and things
And for example, here's a telephone ring
*Ring, ring* Hello, is Doug E Fresh in?
No, he's not in right now *click*
But anyway, no more delay
Just check out the new style I display
Now you got to be (fresh)
To rock with (fresh)
And I'm D-O-U-G-I-E (fresh)
And I'm known for the... *Doug E Fresh beatbox*
Not for the... *Fat Boys beatbox*
The human beat box or the entertainer
No other title can fit me plainer
In a passing generation, I am a remainer
And I'm also known as the beatbox trainer
Cashing checks, make sound effects
And after I finish rocking, Slick Rick is on next
(You know it) Slick Rick!

Well, here's a little something that needs to be heard
Doug, I was going downtown (word, Rick?) Word!
(Sure) all alone, no one to be with
Stepped on the D-Train at 205th
I saw a pretty girl (so?) so I sat beside her
Then she went roar like she was Tony the Tiger
I said hold on, there's been a mistake
Honey, my name's Slick Rick not Frostie Flakes
(Oh, golly wolly) Cause she was raising hell
She said, um, my name is Maggie but call me Michelle
Michelle, my belle
Sont des mots qui vont tres bien ensemble
Tres bien ensemble
Slick Rick and 'em rock the house you know I'm saying
And when I'm on the mic there won't be no delaying
Bust a move, we show and prove
A-yo Doug, do that record Jam On The Groove

As you can see, most definitely, we are (fresh)
Chill Will (fresh)
Barry B (fresh)
Ricky D (fresh)
And I am the original human beat box, the entertainer, Doug E (fresh)",https://genius.com/Doug-e-fresh-and-the-get-fresh-crew-the-show-lyrics
Keep Risin’ to the Top,The World’s Greatest Entertainer,1988.0,"(Verse one)
I wanted this to special, something more
Than any other feeling that you felt before
Pushin through the doors I see girls
Havin' a good time, I might say a rhyme
Old school, new school, no school rule
But other than that, everything is cool
I see guys and girls dancin', doin' the new dances
That's a hit,while I'm over here romancin'
You ain't shh.....no need to curse
Ask me who she is and let me tell you first
Slow down, be cool and don't act ill
I came to have a good time, party and chill with you
Don't worry sweetheart I'm still with you
And after we leave we will continue
With our plans
But plans are made to be broken
Smokin', I'm not jokin'
Try to Dis'me and I'll give you a token
Cause I'm the type of brother that can't be stopped
And no matter what I'm gonna
Keep risin' to the top (Sampler intro)
While my mind say
( CHORUS)
Give it all you got, give it all you got, give it all you got
Ain't no half steppin'
Give it all you got, give it all you got
Cause we're the Get Fresh Crew, yeah, yeah......
(Verse two)
Now the music is pumpin', good atmosphere
Chill Will and Barry Bee, they must a beat me here
There in the booth
Which is all sound proof
Playn' ""dope"" jams to rock the youth
But the MC on the mic shouted out
We got the Get Fresh Crew stars in the house
And as the crowd started breakin', I didn't reply
Cause the only stars I know are in the sky
So we continued,to the venue
Didn't pretend to be nuthin' but Doug E
As a brother extended out his hand to me
And asked me would I rock the microphone
I just gave him a pound and said Shalom
Sharp as a harp played by a musician
My body tone, is like throne
Wearin Calvin Klein Obssession Cologne
Etc., etc., in a cashmere sweater
I'm in a cherokee, Chill Will in a Audi
And Barry Bee, is ridin' with me
Because we're the type of brothers that can't be stopped
And no matter what we're gonna
Keep risin' to the top (Sampler intro)
While my mind say
( Chorus)
Give it all you got, give it all you got, give it all you got
Ain't no half steppin'
Give it all you got, give it all you got
Keep risin' to the top
Now let the beat drop",https://genius.com/Doug-e-fresh-and-the-get-fresh-crew-keep-risin-to-the-top-lyrics
All the Way to Heaven,"Oh, My God!",1986.0,"Rap, these are the prime years
And we are the members of The Get Fresh Crew
On a lifetime mission to explore new beats and new cuts
To take rap, beyond the point, that no other rapper has ever thought about before
You know why? (Why!)
Ask me why? (Why!)
We on a mission!

All the way to heaven!
All the way to heaven!
All the way to heaven!
All the way to heaven!

N-n-n-now my name is Doug E. Fresh and I love to perform
And, you know I got to have my Ballys on
But a new corporation around the block
Did not want (thing!) they did not want 
They did not want The Get Fresh Crew to rock
Because-a once we're together we can't be stopped
And the talent to rock it is what we've got
And people want us to break up, but we cannot
People want us to break up, but we cannot
To the tippy-tippy top 
What up! (What up!) What up! We on a mission!

All the way to heaven!
All the way to heaven!
All the way to heaven!
All the way to heaven!

Now this will be the first time in history
A rap song is dedicated to G-O-D
And it's highly advanced, to make you dance
And if you're doing what I'm doing
 it's about to 
Achoo! (God bless you!) God bless you too!
Now tell me who wanna rock with The Get Fresh Crew?
(Me too!) Cool!
When I ask this question people came to the mall
As if we had applications for some of 
(Excuse me Doug E. Fresh, someone to see you named Bob)
Bob? (Yes Bob!) He drive that all-white Saab?
(Well) Tell him to him wait, I'm havin' lunch, I'm eatin' corn on the cob!
Now wait! Hold up! Stop! Mamma said  let the beatbox break!
(beatboxing)
Uhh, excuse me, what is your name again?

The entertainer Doug E. Fresh is my claim to fame
But not too many people know the meaning of the name
Before I go, we're gonna let you see
My name and per-son-al-i-ty
D! ""D"" for dedication
O! ""O"" is for our
U! The ""U"" is for unique and the
G! ""G"" is for God
The ""E"" is ever so, and by now you guessed
That you can't spell Doug E. without the (Fresh!)
Human beatbox, rhym-ing specialist
Goin' for more and never settle for less
In the morning I brush my teeth with Crest
Until the cleaners, they get my Fila pressed
Because that's the way I dress (What!) Yes!
Ain't nothin' to it, but to do it
(Why's it gotta be you Doug!)
Somebody gotta do it
On and on until the breaks of dawn
And you know Get Fresh won't steer you wrong
You keep on until the breaks of day
(And-a) To try to understand what we say, okay
Now through strengths and struggles, I made a vow
I put my hand on the bible and I said ""Thou""
Shall always rock the microphone
With partners, friends and if so alone
And preach and preach and through music I'll teach
Any group, company, posse or each
Person, personnel, and personally
As a gift from God that's sent through me
'Cause I'm just like Moses, no one knows this
The way I dress and my lifestyle shows this
To be true God made things in two
With Chill Will and Barry Bee are The Get Fresh Crew
Say what, say what, say what
Say what, say what, say what
Say what, say what, say what
Say what, say what, say what
Say what, say what, say what

All the way to heaven!
All the way to heaven!
All the way to heaven!
All the way to heaven!",https://genius.com/Doug-e-fresh-and-the-get-fresh-crew-all-the-way-to-heaven-lyrics
Play This Only at Night,"Oh, My God!",1986.0,"If you had something that my words of urge
Thoughts in my mind translated into proverbs
Curve your adolescence relax your might and listen
To this real beat but never alone at night
This could never be fiction or proper diction and I would
Never want to cause confliction between yourself and no one
Else besides hearing the truth is good for your health
And I don’t know that you don’t know but imma
Tell you like this we all gotta go when I know nobody gotta go
Like that yall, so you better rise
And play this only at night
So you better rise, and play this only at night
When I hear this my sides get tight I grid down on my teeth
With all my might, play this only at night
And I don’t know that you don’t know but I'mma tell
You like this we all gotta go but I know nobody gotta go like that yall
Koons be cooching up against the wall and I can hear it all day cause I gotta
Small hallway
A real bad habit is hard to break and people can’t
Admit when they make a mistake
So many years ideas from us been stolen
To talk is silver solid golden
And I don’t know if you don’t know but I'mma tell you like
This we all gotta go but I know nobdy gotta go like that yall
You better rise
Land is image water is the reflection keep your
Mind pointed in the right direction don’t reach for
Nothing less under perfection. I sharp eye and man sharp man
And all good things must come to and end
When I hear this my sides get tight
I grind down on my teeth with all my might
Play this only at night
I don’t know if you don’t know but I'mma tell you like that
We all gotta go and I know nobody gotta
Go like that yall
So you better
Ancient old, worth more than gold
Cannot be bought, cannot be sold
Cannot be pushed, cannot be lifted
And I'm tellin' U, U gotta whole lot 2 deal with
In this world of all diverse
Like U used 2 talk proper but now U curse
The sun used 2 shine from day 2 day
Now the whole universe is filled with gray
No friends, children, family nor wife
And disrespect is the way of life
U wanna go, say no, don't need no airfare
Just open your eyes and then U're there
And if U go, come right and exact
And remember, there's no way back
So close your eyes live 'n hate and despise
All those girls and all those guys
Who told you, you never had stars in your eyes
This is your destiny, rise, uh!",https://genius.com/Doug-e-fresh-and-the-get-fresh-crew-play-this-only-at-night-lyrics
Cut That Zero,The World’s Greatest Entertainer,1988,"Come on baby why you cryin'?He hit you?
Who done it?Your boyfriend?
That chicken McNugget?
That Box Head kd that don't know how to act?
Instead os that Chicken McNugget,you know what you need?
You know what you need baby?
You need a value pack.....
So won't you cut that zero
Get with this hero
Just say yes I don't want to hear no no's
Cause that's not the way it goes
And I'll take you to every Get Fresh show
I'll greet you like are supposed to be greeted
Treat you like you supposed to be treated
Hold you tight when I know that you need it
And I would never act conceited
Even if I drove a brand new car
And ate high priced food like caviar
I would stay the same and never change my name
Or put you through those love sick games
Because a woman like you is hard to find
Not just in the body also in the mind
We fit together like pants and a pocket
When we make love its like a plug in a socket
Pushing more power than a thousand volts
And if you fall in love it ain't my falt so baby....
(chorus)(x2)
Cut that zero
And get with this hero
Just say yes I don't want to hear no no's
Cause that's not the way it goes
And I'll take you to every Get Fresh show
Ho,ho,ho baby,baby
Well I like me a girl that makes me laugh
And wash my back when I'm taking a bath
And massage my shoulders when thay hurt
And at night go to sleep in my tee shirt
And have our pictures hangun' on the walls
And a room full of ""I love you"" dolls
And be there when I get that feelin for some
""Sexual healin""
(chorus)(x2)
Now when I'm with a girl I'm very direct
And she knows of hand that I need respect
And I could tell by her eyes when she needs love
That's when I put up E.Fresh and just be Doug
And treat you gentle,physical and mental
No love we share will be experimental
Your lips on me
My arms around you
Ain't nothing in the world that we can't do
Now a movie is groovie,a date is great
But a real good time only lasts past eight
And it's fun when I'm chillin' with you
And I could never throw away what we've been through
And what I think I'm really tryin' to say is
What I think I'm really tryin' to say is
What I think I'm really tryin' to say is
I'm with you all the way
(chorus)",https://genius.com/Doug-e-fresh-and-the-get-fresh-crew-cut-that-zero-lyrics
Nuthin’,"Oh, My God!",1986.0,"We the willing, led by the unknowing, are doing the impossible for the ungrateful. We have done so much, for so long, with so little, we are now qualified to do anything, with (Nuthin')
Say what? I can't hear you
(Nuthin') (Nuthin') (Nuthin') (Nuthin')
Alright, everybody over here, clap your hands
Everybody on this side, clap your hands
Everybody in the front, clap your hands
Everybody behind me, clap your hands c'mon now
Say what? Everybody over here, everybody over there, everybody right there, here we go!
(Nuthin') (Nuthin') (Nuthin') (Nuthin')
Selling crack to make a ? (Nuthin') (Nuthin')
You ain't really doin' (Nuthin') (Nuthin')
Chill Will is cuttin' (Nuthin') (Nuthin')
Barry B is cuttin' (Nuthin') (Nuthin')
You got my voice for the record and my voice for the beat
All of that together is double the treat
So listen up to the words I speak
'Cause I evidently got what you 
And Doug E. Fresh will make you move your feet
One night or seven days a week
Make you wanna just reach your peak
Follow the simple words I speak
Diddaly-diddaly-diddaly-diddaly bah bah bah bah
Diddaly-diddaly-diddaly-diddaly bah bah bah bah
Let me tell you, there's always two, three, four of you
That wants to get you interested in the wrong they do
But you're not so mellow to that type
Gettin' cold dissed like a handy wipe
Stick out your hand asking for a pound
And the brothers that surround, saying ""You ain't down!""
Oh it's not me, I know it can't be
Getting cold dissed to my F-A-C-E
Together we stand and divided we fall
So Chill Will and Barry B get 'em off the wall
You ain't really doin' (Nuthin') (Nuthin')
You ain't really doin' (Nuthin') (Nuthin')
Selling crack to make a ? (Nuthin') (Nuthin')
You ain't really doin' (Nuthin') (Nuthin')
(Nuthin') (Nuthin') (Nuthin') (Nuthin')
(Nuthin') (Nuthin') (Nuthin') (Nuthin')",https://genius.com/Doug-e-fresh-and-the-get-fresh-crew-nuthin-lyrics
I’m Gettin’ Ready,The World’s Greatest Entertainer,1988,"Chorus:
I'm gettin' ready(ready),I'm gettin' ready(ready)
I'm gettin' ready(ready),I'm gettin' ready(ready)
One morning I had a dream
I could make a young lady scream
By makin' musical sounds with my mounth(listen)
So I tried it at a party
And people didn't know it was me
And when they finally saw me I heard a shout(like that)
To see a crownd just dazed and amazed
And everybody's eyes just gazed upon the man we know as
DOUG E. F-R-E-S-H
And to prove to you and the crew
Who I am and what I do
Now is it because I know how to kiss
And the ladies can't resist
Plus they love it when I go like
When I go like
Go,go,go like
When I go
When I,When I go like
When I go like this cause
(CHORUS)
Now every,every,every,every,every rhyme
I made is no mistake
And I'm giving you more and you can be sure then you can take
In the projects,buildings,tenements,palaces,you work hard
You bound to get callouses on your hand
Every woman and man an I'm givin' you more than you can stand
I'm ready and willin'
Cold Chillin'
Gettin' paid wearing silks and suede
Go to Barbados and cool in the shade
Do my exercise,keep nice and trim
Go down to the beach for a real cool swim
And all the ladies say let's talk to him
He,he let's talk to him
I got brown hair and a brown complexion
Keep my hair up to perfection
Believe in the saying you are what you eat
That's the main reason why I don't eat meat
But I can say a fresh rhyme off a fresh beat
And like,and like,and like,and like I'm on the mike
And like I'm on the mike
And like Adam and Eve we're gonna try a achieve
What most people out here disbelieve
Dj's cuts so hard that it's hard to breathe
Make the best Dj's in the place want to leave
Chill Will,Barry Bee where you goin'
Y'all out of here
Yeah well
(chorus)
Break it down......
Nah,nah,nah,nah,nah
Oh,oh,oh,oh
(repeat 3 times)
(chorus)
Because it's everlasting,broadcasting
I don't eat meat cause right now I'm fasting
Secure and safe and oh,my god doin so damn good
When times are hard and loved through every continent
Have statues,streets an a monument
Have a statue
Looking right at you
And have streets named after hip-hop beats
Let MC's know that bitin from me the crew is G-F-C",https://genius.com/Doug-e-fresh-and-the-get-fresh-crew-im-gettin-ready-lyrics
Abortion,"Oh, My God!",1986.0,"(Hook)
Abortion! Abortion, Abortion
The name of this record is called...Abortion
Mind distortion, the world morals is out of proportion
And I want it played in every Walkman
Abortion! Abortion!
(Stop, stop, stop)
(Verse 1)
Girl, you must be crazy to kill a newborn baby
Sittin' on your ass all day, so lazy
Say to yourself, ""Look what this man done gave me""
Yellin' for help, but sayin' ""Preacher, preacher, save me""
All of us were born into a life of sin
That's something in the genes buried deep within
But to give or take life, you must pay the price
So that brothers and sisters, it's not that nice
You were born into sin, so don't sin twice
Doug E. Fresh would never give the wrong advice
About...
(Hook)
(Excuse me Doug E. why you sound so different?)
You know what?
My voice sounds different 'cause it makes me mad
To see a mother not a mother or a dad not a dad
And one more thing that I would like to add
For the kids being killed, it's so, so sad
I'm talkin' about abortion!
The prettiest thing besides your wife
Is having the privilege to make new life
How can you kill your only daughter or son?
If God wanted you to lose it, it would've been done
(Hook)
Now, I don't weigh it, just say it and convey it
Put it on record with no delayin' it
And playin' hits to hearts of all
Before the whole population starts to fall
There's not too many things that I'm sure of
But one thing I know that the Devil loves
Is abortion
I'm talkin' about abortion!
Here we go!
(Hook)",https://genius.com/Doug-e-fresh-and-the-get-fresh-crew-abortion-lyrics
The Plane (So High),The World’s Greatest Entertainer,1988,"So high,so high(on the plane) (x16)
Walkin' on the plane I see so many faces
Some from out of town and distant places
There could never be a question of who knows who
And no tellin' what most of them have been through
True you can't judge a book by its cover
And if I'm in love does that make me a lover
And if you see a wrinkle does it mean I'm old
And am I wrong for saying what I want in a song
Questions like these my mind it teases
Or I could act like a soldier and just at ease
And don't think about it
And don't worry about it
And keep my head up high and don't ask why
And think about the graduation at Hawai Kai
When we felt good about what we did
And didn't do the thought about me and you
I left it up to you
All up to you
But you felt that your heart would melt
And got scared and fastened up your seat belt
Because the plane was going so high in the sky
And I didn't  know that you were scared to fly
But you told me
By showin me in a way I can't say cause it's hard to describe
And left me feeling the funniest vibes
Of unsureness
Amid insecure confusion
Too good to be true a dramatic illusion
As you sit in seat A and I sit in seat B
I want the whole world to see what you mean to me
If love was able to speak mine would talk so loud
Me and you all alonemaking love on a cloud
An uncontrollable urge
That's why I'm on the verge
Wondering of actions speak louder than words(sounds of gunfire)
And as we become one we feel no pain
Our bodies so wet that we make rain
It's like a mystery for the world to see
But only me and you knew our destiny
You might think I'm crazy or just too deep
Or too far or too gone or too wide or too steep
Whatever you may feel about me inside
Sit back,relax and enjoy the ride
On the plane
So high,so high(on the plane) (x10)",https://genius.com/Doug-e-fresh-and-the-get-fresh-crew-the-plane-so-high-lyrics
