title,album,year,lyrics,urls
Body,No Hard Feelings ,2016.0,"Yo body on my body, baby
I'm about to catch a body in here, baby
I love the way you grind on me
Said I'm about to catch a body in here, baby
It's going down
I'm about to catch a body
Oh yeah, oh yeah, don't stop it now
I'm about to catch a body

Keep it a hunnid, boy I know that you want it
Another round, won't remember in the morning
Got on your shirt, put in that work
Until you clock out
Mike Tyson, boy you know I got that knockout
Take a dive inside this liquor
Got me pulling on your zipper
He wanna hit a lick, I got my legs up like a stick-up
I woke up in my glory
Keep a K with me like Kourtney
Since a shorty I been popping like a forty
End of story baby

Yo body on my body, baby
I'm about to catch a body in here, baby
I love the way you grind on me
Said I'm about to catch a body in here, baby
Oh yeah, oh yeah, It's going down
I'm about to catch a body
Oh yeah, oh yeah, don't stop it now
I'm about to catch a body

You work that thang like a nine to five
Clock in to work and put in overtime
I pull up on you with that thang through your back
And beat it up like ra-ta-ta-ta-tat (lock and load it)
Got a Uzi on your booty know you popping
Clip after clip ain't got no problem with me watching
Time on our side
We got all night
Fuck that tick tocking
Smith and Wesson 'bout to teach yo ass a lesson
Start undressing

Ain't going home baby we could go all night (yeah)
Drop all yo hoes, let me show you I'mma rider
Make the neighbors call the cops
Still ain't finna stop
I see these bitches tryna block
Take another shot
Bang Bang, you look good boy
You could be my main thing
Rich sex, I saw your chain slang, I'm on the same thing
Might give in if you don't let up
Im just tryna fuck your bed up
Talking shit gon' get you hit
Boy, don't get wet up, it's a set up
Baby

Yo body on my body, baby
I'm about to catch a body in here, baby
I love the way you grind on me
Said I'm about to catch a body in here, baby
Oh yeah, oh yeah, It's going down
I'm about to catch a body
Oh yeah oh yeah, don't stop it now
I'm about to catch a body

You me and me on you baby
So tell me what you wanna do baby
Said everything is up to you baby
So it's up to you
This could be your best night
Get you home for the night
And do you just right
Time of your life
Get you home for the night
And do you just right

Yo body on my body, baby
I'm about to catch a body in here, baby
I love the way you grind on me
Said I'm about to catch a body in here, baby
Oh yeah, oh yeah, it's going down
I'm about to catch a body
Oh yeah, oh yeah , don't stop it now
I'm about to catch a body

This could be your best night
Get you home for the night
And do you just right (I'm about to catch a body in here, baby)
This could be your best night
Get you home for the night
And do you just right (I'm about to catch a body in here, baby)
This could be your best night
Get you home for the night
And do you just right (I'm about to catch a body in here, baby)
This could be your best night
Get you home for the night
And do you just right (I'm about to catch a body in here, baby)",https://genius.com/Dreezy-body-lyrics
Up & Down,Schizo ,2014.0,"Why you givin' up on us, like you don't know all the shit we been through?
Everything use to be right, now you be actin brand new
Thought I was your friend too
If we in it, it's gonna' take two
I be yellin' until I go blue, but I never would give up on you
And fuck everybody that's hatin', degrading they always got something to say
The wanna' see us apart, that's why they smile in your face
Tatted your name on my heart, that way it never would fade
Even when loving get hard, you somebody I never would trade
You're somebody I'll never forget, cause' with you all my feelings legit
These oth-er couples ain't on shit, No one else in my heart is gon' fit
I want you to be there when I'm rich
And I know that I act like a Bitch
But, you should just make me yo' miss
If we fall, we just taking a risk

Don't tell me that you love me if you don't (you don't)
I just wanna' be by your side
So, maybe we should drop our pride
Let's keep it one hunnid'
We breakin' up and keep makin' up, it won't stop (Won't stop)
But, I'll never leave, cause' I know that you are my rock
I ain't giving up, cause that ain't how I rock (how I rock)
We go up and down, we go up and down (up And down)

Why you be getting mad at me, like being committed is easy to do?
Niggas be all on my heels, but they ain't got nothing on you
These bitches be lovin' the crew, but I never be frontin' on you
Kept it real, and the feelings is true
Im attached like im laying in glue
You say that you love me, so if that is true, we gon' have to make it official
You be blowin' me like I'm a whistle
But, I better come first like initials
Cause' I been your girl from the start
Even would bitches would tear us apart
Took me a chance and I put down my guards, now you the only nigga' with my heart
And I could put that on my soul
I can see me with you, when I'm old
If I wanna escape, would you roll?
If I was falling apart, would you hold?
I'm done overthinking, will it really last I a never know
But, he see through me like a microscope, and  here for em
Just to let him know, that I feel em'

Don't tell me that you love me if you don't (you don't)
I just wanna' be by your side
So, maybe we should drop our pride
Let's keep it one hunnid'
We breakin' up and keep makin' up, it won't stop (Won't stop)
But, I'll never leave, cause' I know that you are my rock
I ain't giving up, cause that ain't how I rock (how I rock)
We go up and down, we go up and down (up And down)",https://genius.com/Dreezy-up-and-down-lyrics
Spar,Hip Hop Hit List (Vol. 3),2017.0,"Aye mayne, I like the depth of this song, ya know what I'm sayin'
Not the death of the song but the D-E-P-T-H of the song
Ya feel me, the complexity and shit
I like the topic
Kodak Black man

Look my word is bond as fuck
My life is hard enough
They not rewarding us
They disregarding us
And if I go to D.C., I'm tryna spar with Trump
I'm not a politician, just can't ignore the stuff

This really just a free verse, I put my life in reverse
I dug up out my old pain and put it on a t-shirt
So many sides to this shit, not here for popular shit
Your own people will laugh when you on positive shit
Before I die, I'ma teach, I light a blunt and I preach
Ain't no facade you could see, that I can only be me
I got a daughter to raise, one day she gon' be a queen
I'm tryna get shit together, so she can have anything

My word is bond as fuck
My life is hard enough
They ain't rewarding us
They disregarding us
And if I go to D.C., I'm tryna spar with Trump
I ain't a politician, just can't ignore the stuff

I take this life how it come
Got heart but still won't show love
If I tell people where I'm from, they might think I gotta gun
Got J's that's still in the box
No tax or bands on my ones
I took my feelings out this shit and put my trust in my funds
Tat my dead homie on my sleeve
Don't need glasses, to see what I see
Told me at ten, what I wasn't gon' be
Nigga ain't make the league, so we turn to the streets
Cops wanna blast 'fore they see ya I.D
Might do the race 'fore a nigga catch me
Damn if it be another R.I.P
It's a black/white world but I only see green
Killers gettin' off innocent, when the clip showin' that he did the shit
Try and talk and they ain't listenin' but they'll point it out when you get ignorant
Fuck with you if you a benefit
That's why I pay off cash at the dealership
But I got money stashed for the bills and shit
But I'ma write it off, good penmanship
Can't say we represented when half the office White Supremacist
This can't be, ""Land of the free""
If kneeling might cost your position
I'm supposed to respect the system
Then call our brothers, ""Sons of bitches""
And when my Unc' came home from prison
For the same shit y'all tried to turn into a business
Man, take our culture, our blueprint
Pay the knockoff to come model us
Hurricanes come and swallow us
Opp niggas tryna put the dot on us
We pourin' Henny, cause we all bottled up
Granny still scratching Lottos up
But the bible say its goin' full circle
I'ma tryna find me a good purpose

My word is bond as fuck
My life is hard enough
They not rewarding us
They disregarding us
And if I go to D.C., I'm tryna spar with Trump
I'm not a politician, you can't ignore the stuff

Ain't old enough to hit the club and fill my cup with rum
But I can go die in the army, goin' to war for them
Ain't old enough for marijuana cigars, or spark my blunt
But old enough to spend my life behind bars, that's dumb
Totin' magazines that got me in the articles
When I'm in Washington D.C., I'm doing fraud n' stuff
Ain't worryin 'bout Donald Trump
Ain't worryin 'bout seeing no monuments
These people got weather control
Where the hell you think Hurricane Harvey from?
The wind ain't got no name
Where the hell you think Hurricane Harvey from?
These people control the rain, these people be diggin' bunkers up
But they only got two more years of slavery to do harm to us
I feel like Kunta Kinte nigga, I'm the one who fought for us
I was in the clubs in 6th grade, fightin' the adults and stuff
Feel like Kunta Kinte nigga, I'm the one who fought for us
Ever since the 6th grade nigga, I was the one who fought for us

Ever since the 10th grade nigga, I was the one who fought for us
So I feel like Kunta Kinte nigga, I'm the one who fought for us, yeah
I fought for us, nigga I die for us, nigga I risk my life for us
I risk my life for us nigga and I'll die for us nigga",https://genius.com/Dreezy-spar-lyrics
Close to You,No Hard Feelings ,2016.0,"I just wanna take away the pressure
I knew you were special when I met you
Hate the way you bottle your confessions
I wait for you, I gotta know, I gotta know
Who you, who you, are
And you ain't gotta worry when you with me
I vibe with your mental because you get me
And whenever you want me, you can hit me
I'll be there in a minute boy
I'm tryna get close to you, to you, woah-waoh
[Chorus: Dreezy  
+  T-Pain
]
Anything you want, I got it
In my feelings, boy, I'm so about you
I just wanna get to know your body
Baby anything goes
When I'm tryna get close to you, to you
Yeah, yeah, yeah, 
 oh no
Oh na, na, na
Oh na, na
Oh na, na, na
Na

I just wanna make us all win-win baby
So tell me is you out or is you in baby
We might just end up sharing skin babies
Siamese twins baby
I wanna get close to you, oh, woah-oah, oh-oh-oh
Ah, alright, oh
Baby I think we done talked enough
Hit some of this kush and take this cup
Baby I ain't tryna make love
You know that I'm a thug (I'm tryna fuck!)
So what's up with you?
What's up with you?
All I know...oh girl

Anything you want, I got it
In my feelings, boy, I'm so about you
I just wanna get to know your body
Baby anything goes
When I'm tryna get close to you, to you
Yeah, yeah, yeah, 
 oh no
Oh na, na, na
Oh na, na
Oh na, na, na
Na

Said I was through with niggas, but I really want him
His swagger got me falling like a leaf in autumn
And I don't give a damn about his baby momma
He always on my mind, I think I'm 'bout to call him
It might not last forever but it speed the healing
This ain't the same with him, I get a better feeling
Don't care 'bout what they say, it ain't nobody's business
I said I wouldn't fall, I guess you got me slippin'

Anything you want, I got it
In my feelings, boy, I'm so about you
I just wanna get to know your body
Baby anything goes
When I'm tryna get close to you, to you
Yeah, yeah, yeah, 
 oh no
Oh na, na, na
Oh na, na, na
Oh na, na, na
Oh,  na, na, na",https://genius.com/Dreezy-close-to-you-lyrics
Wasted,No Hard Feelings ,2016.0,"You only want my time when you're wasted
You only hit my line when you're wasted
You tell me you love me when you're wasted
I'm only on your mind when you're wasted

Now tell me would you? (waste it)
Would you, would you...
My time, my time
Would you...my time, my time
Would you waste (waste it)
My time, my time
My time, my time
(Waste it)

What's up, where you at? You know I need that
You fuck me drunk, the next day ask for feedback
You say you love me, boy I don't believe that
You say I fuck with you man, don't repeat that
I know what you do, I know what you do
Tell me when you're drunk, tell me when you're through
(Wasted)
And you always on that late shit
You only wanna call me when you're wasted
I like you sober, I like your sober
When you wasted you reckless, nobody told you
No, nobody told you
When you on that bottle, boy I can not hold you
You on that bottle you say you don't need me
You on that bottle you say shit so easy
I understand it, I see how you plan it
First you get drunk then you go to demanding
That over the top shit, this how you feel
This how you feel, this-this how you feel
Next day it's waters and Advil
This how you heal, this how you heal

You only want my time when you're wasted
You only hit my line when you're wasted
You tell me you love me when you're wasted
I'm only on your mind when you're wasted

Now tell me would you? (waste it)
My time, my time
My time, my time
Tell, tell me would you?  (waste it)
My time, my time
My time, my time
Tell, tell me would you?

You take it straight and you swallow, uh huh
Drink it down 'til it's empty, that's when you say that you holla
(Tell me would you?)
You ain't pour up a chaser, now you chasing the models
Shit I think that nigga like me cause I'm shaped like a bottle
(Tell me would you?)
See, yeah, he hit me up when he want sex
Like ""Bae I need you, I won't flex"" (I need that)
2 A.M that blowing up with them missed calls and them drunk texts
Pull up on that fat wet-wet, put him out, yeah, that bed rest
And he'll wake up that next day looking at me like, what sex?
The Jamison, the Remy, then the Hennesy
Lately I can't tell if you in it or you into me (I don't even know man)
I really wanna give him one more shot
But all he really wanna do is take one more shot, damn

You only want my time when you're wasted
You only hit my line when you're wasted
You tell me you love me when you're wasted
I'm only on your mind when you're wasted
(Tell me would you?)

Drowning in your liquor
Found you in your feelings
Telling me to come and get you
Say, don't bring nobody with you
I feel so emotional
Oh, waste of time loving you
Waste of time loving you

You only want my time when you're wasted
You only hit my line when you're wasted
You tell me you love me when you're wasted
I'm only on your mind when you're wasted

Tell me would you?
My time, my time
My time, my time
Tell, tell me would you?  (waste it)
My time, my time
My time, my time
Tell, tell me would you?",https://genius.com/Dreezy-wasted-lyrics
We Gon Ride,No Hard Feelings ,2016.0,"[Intro: Dreezy + 
Gucci Mane
]
Yo!
Guwop!
Yeah
Dreezy!
Gucci!
Welcome home!

That's my nigga, that's my bro, yeah that's my dog (Aye, thats my nigga)
If niggas wanna get it bussin', he on call (he gon pull up)
He gon' ride 'til the wheels fall off
Yeah we gon' ride 'til the wheels fall off (Aye we gon' ride)
That's my BF, that's my day one, that's my bitch (Dat my bitch)
You tryna tee up then you know we with the shits (With the shits)
She gon' ride 'til the wheels fall off (True)
Yeah we gon' ride 'til the wheels fall off

Me and my bitches stick together like the Bradys
Run up on us, we won't save, we play crazy
All my niggas off them yoppas like the '80s
And they ain't tryna go to rehab, just like Amy
I just want me and my bitches in a foreign back to back
Used to post up at the trap and now we got a P to match
Pull up with my hypeman, but he don't rap, he just strapped
And they stomp you like a fret if any nigga try to cap
Ice and grips and takin' trips, might cop a zip and make it flip
R.I.P. to Double G, she kept a P and that was it
Treat my bitches like my holster cause they're always on my hip
In V.I.P., I'm with the shits, I cop a trey, she cop a fifth
That's my bitch!

That's my nigga, that's my bro, yeah that's my dog (That's my dog)
If niggas wanna get it bussin', he on call (He gon pull up)
He gon' ride 'til the wheels fall off
Yeah we gon' ride 'til the wheels fall off (Aye we gon what?)
That's my BF, that's my day one, that's my bitch (That's my bitch)
You tryna tee up then you know we with the shits
She gon' ride 'til the wheels fall off
Yeah we gon' ride 'til the wheels fall off

Uh, Yeah, Dreezy!
Call me Gucci the Don, jump on, I'm on the run
Told my mama kill 'em so I'm a son of a gun
And my dad is a hustler so I'm a son of a con
And from sun-up to dawn, I won't surrender or run
Call me 
GuWop the legend
, Cocaine King, they a legend
MAC 11, I ride, keep shooters at every session
I'm ahead of my time, I blast into the present
Bitch it's Dreezy and Gucci, Dreezy pass me the Uzis
I'm not skressed out, no pressure, man I'm fresher than ever
I'm too slick to be slippin', can't count me out, I'm too clever
Schizophrenic when paid, come to money, I manic
Count a bulk by the cabbage, I'm Macho Man Randy Savage
It's Gucci!

That's my nigga, that's my bro, yeah that's my dog
If niggas wanna get it bussin', he on call
He gon' ride 'til the wheels fall off
Yeah we gon' ride 'til the wheels fall off
That's my BF, that's my day one, that's my bitch
You tryna tee up then you know we with the shits
She gon' ride 'til the wheels fall off
Yeah we gon' ride 'til the wheels fall off

I put traps in all my bloods and show these niggas no love
Up a roll and it don't fold, I got new hundreds, no dubs
Got this shit up out the mud but I remember we used to juug
With some thugs and they shoot like Elmer Fudd
Yeah, pull up on you just for sayin' somethin'
Swear I'll throw a tantrum
If you been gettin' it with your best friend, this your anthem
Still the same bitch, won't see me out here with no random
Now we on the road and I'm stickin' to the code
Way before we touched the bag we still was makin' bitches mad
Not in class, but they still congratulate me like a grad
Out here beefin' with your day one over these niggas and it's sad
Nah we don't fall out, nigga, we just ball out
Ayy!

That's my nigga, that's my bro, yeah that's my dog
If niggas wanna get it bussin', he on call
He gon' ride 'til the wheels fall off
Yeah we gon' ride 'til the wheels fall off
That's my BF, that's my day one, that's my bitch
You tryna tee up then you know we with the shits
She gon' ride 'til the wheels fall off
Yeah we gon' ride 'til the wheels fall off

Who I sound like now, bitch?",https://genius.com/Dreezy-we-gon-ride-lyrics
Serena,From Now On,2015,"I get decent off his yayo
That white girl keep them bills out the mail
I'm in a whip that look like mayo
Got all the boys on the block yelling, ""ayo!""
I'm the one who all these bitches wanna be
Thirsty niggas, I just give 'em Aquafina
If I see anybody talkin' shit, I'm swingin'
I'm in the club, throwin' racks like I'm Serena

You was hot, I guess the summer up
I run the game, you just a runner-up
I got a boy but want another one
You might just have to get that cover up
Keep my bitch with me, that's how I'm rockin'
Dropped out of college but I'm still a topic
He bank with Chase, so I'm gon' run his pockets
I got my check up, ain't no window shoppin'

I get decent off his yayo
That white girl keep them bills out the mail
I'm in a whip that look like mayo
Got all the boys on the block yelling, ""ayo!""
I'm the one who all these bitches wanna be
Thirsty niggas, I just give 'em Aquafina
If I see anybody talkin' shit, I'm swingin'
I'm in the club, throwin' racks like I'm Serena

Dreezy, what up?
I pull up, cut up
These bitches know that they can't fuck with us
Got choppers and uppercuts
How you want it? Bitch, sum it up
Bitches mad cause I got the upper hand
I'm in upperclass, don't want to fuck your man
Nigga's dusty
I'm in the Chi lookin' for Durk, tell him I got on my buffies
They tell me they love me, but I never trust 'em
I got my own bag, I don't need your money
I don't need shit from you, I'm livin' so lovely
I'm lookin' so cute, but shit can get so ugly
So run up on me
Fuck callin' cousins and callin' brothers
I'm pullin' cards, I'm pullin' numbers, nigga
Like ball, ball, ball, ball, ball, ball, ball

I get decent off his yayo
That white girl keep them bills out the mail
I'm in a whip that look like mayo
Got all the boys on the block yelling, ""ayo!""
I'm the one who all these bitches wanna be
Thirsty niggas, I just give 'em Aquafina
If I see anybody talkin' shit, I'm swingin'
I'm in the club, throwin' racks like I'm Serena

No lie, I'm turnt up (drunk as fuck, though)
Got that skunk, rollin' blunts in the cut (I'm getting high)
I see you bitches actin' tough (for what, though?)
Don't make me pop the trunk (don't make me do it)
Ain't got no engine in the front (you ain't see it)
He wanna fuck, read his mind like I'm Avant (I know)
Got a sack, so I stunt
I've been up, ain't been asleep in 'bout a month

I get decent off his yayo
That white girl keep them bills out the mail
I'm in a whip that look like mayo
Got all the boys on the block yelling, ""ayo!""
I'm the one who all these bitches wanna be
Thirsty niggas, I just give 'em Aquafina
If I see anybody talkin' shit, I'm swingin'
I'm in the club, throwin' racks like I'm Serena",https://genius.com/Dreezy-serena-lyrics
Chanel Slides,Big Dreez,2018.0,"Uh
Yo, yo

I'ma pull up in a Masi’
Me and the whip got a body (Skrt-skrt)
'Cause, shit, I don't need a colonic
I count up a check in a bonnet (I don’t give a fuck)
Kehlani, I got a tsunami
Put it on him when he get a new lining (Splash)
All this drip, don't need no stylist
Hellcat pussy low mileage (Skrt)
She gotta wad up her tab
Graduated from the U of Finesse (Ha)
Your nigga hit me, wanna give me a check (Now)
I need a salon, bitches is pressed, yeah
I'm fly and finesse (Got 'em)
He pay when he callin' collect (Got 'em)
Lil' copy, go back to your desk
I'm hurting these bitches, I ain’t even dressed (God damn shame)
This t-shirt, Versace
This two piece, Cavalli (I know)
He eat me, hibachi
Now that’s some sloppy toppy (Yeah)
Ride like a Kawasaki
This Chanel, not no Huaraches
Talk your shit, I'm on your block
And we ain’t pullin' no Tekashi (Hell nah)
2018 when I bag it up
Versace gold leaf, this is madded up
I don't know why niggas mad at us (What?)
Drag a bitch right out her Acura (Drag)
Left him, his wallet ain't fat enough? (Left ’em)
Throwin' out ones, you can add it up
Bet he gon' eat it like Dracula (Haa)
This ain't a war, but I'm actin' up

You'll get popped, no Pennywise
Money get stacked up ceiling-high (Uh)
Weekend coupe, no Enterprise
Got it right now, no gettin' by (Uh)
Brand new drip, Chanel slides
Them mothafuckas hurt, but they still fly (Uh)
No pressure, you ain't gotta sell that
Wake up next day, I'm still high (Uh)

Chanel bag, Chanel tag
These weak bitches gon' steal swag (Uh)
Chanel slides, Chanel fly
Bitch goin' broke tryna get fly (Uh)
Chanel bag, Chanel tag
These weak bitches gon' steal swag (Uh)
Chanel slides, Chanel fly
Bitch goin' broke tryna get fly (Uh)

I'ma pull up in the Porsche
Me and money married, no divorce (Nah)
Makin' bitches sick with no remorse
You just gotta let it run its course
See I got the drip like its coke (Yeah)
Snortin' D, I'm runnin' down your throat
Hands down, you won't get a vote
Yogi Bears, they don't want no smoke (Nah uh)
My neck game match my wrist game
Flawless victory like I'm Liu Kang (I'm Liu Kang)
Your ex-boyfriend is my new main
And I'ma slurp it up like its lo mein (Hahaha)
Face it, big, big checks I chase it
Double C's even when I'm naked
Sittin' pretty ready for the taking
And I'm waiting
100 grand wrapped in a rubber band (Woo)
Hit Saks Fifth, I'ma pop that (Yeah)
Spent 20 grand on Chanel bags
Such a bad habit, need to stop that
Ain't nothing changed but the money
Stack it 'till it starts spillin' on me
I'm the Shug Avery of this, honey (Yeah)
And y'all hoes sure is ugly (Hahahaha)

You'll get popped, no Pennywise
Money get stacked up ceiling-high (Uh)
Weekend coupe, no Enterprise
Got it right now, no gettin' by (Uh)
Brand new drip, Chanel slides
Them mothafuckas hurt, but they still fly (Uh)
No pressure, you ain't gotta sell that
Wake up next day, I'm still high (Uh)

Chanel bag, Chanel tag
These weak bitches gon' steal swag (Uh)
Chanel slides, Chanel fly
Bitch goin' broke tryna get fly (Uh)
Chanel bag, Chanel tag
These weak bitches gon' steal swag (Uh)
Chanel slides, Chanel fly
Bitch goin' broke tryna get fly (Uh)",https://genius.com/Dreezy-chanel-slides-lyrics
Bad Habit,Schizo ,2014.0,"Somebody tell me what it feel like
I never touched it I never had it
I saw it once but I couldn't grab it
Took my heart then he fuckin stabbed it
Somebody tell me what it feel like
I swear to god I thought it was real
The worst pain is falling in love with a nigga that dont even feel the way that you feel
I was like a feign he was like a drug
We was having sex threw away the glove
To be honest when push come to shove
I think I found everything except love
The last nigga said he die for me
The last nigga said he ride for me
The last nigga was the last nigga that I ever trusted cause guess what he lied to me
And last time was the last time thats what I said last time
Until I call that nigga phone at 2 a.m.and told him I wanna do it for the last time
And of course he was with it
So yea you know I payed a visit
And on my neck I felt his kisses
Fuck it it ain't nobody else business

I dont know that to feel its
Taking over my mind taking over my body
Dont know how to heal it
Cause I keep on coming back
Its like I gotta bad habit
Yea Yea...
Its like I gotta bad habit
Is it really that easy for you to leave me
Have me fall for you then deceive me
Lied to me like you need space
Whole time you was in another bitch face
Who was there, who was there for you
You couldn't breath I was air for you
When I needed you baby where was you, I created a monster now im scared of you
I love you but I hate you
I just wanted the perfect picture to paint you
But you ain't see it how I see it
You knew what you was looking for but didn't know how to be it
I feel like a fucking idiot oblivious that you was so insidious
This love thing can get real hideous
But really is you just wasn't serious
I knew what I wanted from the start and you was curious
Somebody tell me what it feel like
He told me he will keep it 100
I heard love is blind though
I guess thats why I ain't see this coming
You the man you got action
Say I be tweakin I be spazzin
Is it love or satisfaction
Was it real from the start

I dont know that to feel its
Taking over my mind taking over my body
Dont know how to heal it
Cause I keep on coming back
Its like I gotta bad habit
Yea Yea...
Its like I gotta bad habit",https://genius.com/Dreezy-bad-habit-lyrics
Bad Bitch,No Hard Feelings ,2016.0,"Bad bitch
I'm slaying all these hoes, I'm a savage
Ain't with no basic shit, I'm not your average
Feelin' like I'm Kobe, I ain't giving niggas passes
Yeah I get it but I go hustle like I ain't had shit
If I got paid to piss you bitches off I'd be mad rich
Flexing on the gram but broke in person, that's a catfish
Got her own money and a crib, now that's a bad bitch

Gave mercy to these hoes, what would Jesus do?
Somebody got to take a loss, shit it was me or you
Mean mugging in the Ghost, they yellin' Beetlejuice
My niggas with me got more stripes than an Adidas suit
I took a break from all the hype to let you bitches get practice
They want me to give my seat up like I'm Angela Bassett
Probably catch me in the closet like I'm coming out
Hope bitches just as good on foot the way they run they mouth
Your man outside and what he drive was the only challenge
First date, hundred a plate, that's how I know he got it
Get you touched the first defense so niggas know we 'bout it
Trippin', have you swimmin' out on Stoney Island, this ain't no emoji battle
Numbers start doubling when they mention my name
I seen the cockiest, gift of god and as quick as they came
Somebody call the traffic guard, these niggas out of they lane
I bet these bitches gon' respect me like a pimp with a cane

Bad bitch
I'm slaying all these hoes, I'm a savage
Ain't with no basic shit, I'm not your average
Feelin' like I'm Kobe, I ain't giving niggas passes
Yeah I get it but I go hustle like I ain't had shit
If I got paid to piss you bitches off I'd be mad rich
Flexing on the gram but broke in person, that's a catfish
Got her own money and a crib, now that's a bad bitch

I'ma let you niggas run with the hype
Your favorite bitch on Instagram don't look like that in real life
Your favorite nigga in my DM's but ain't even my type
And your favorite rapper should be acting cause she don't even write
Talk of the town, I walk around like I woke up with a crown
These bitches tryna take the sauce but they can't fuck with the sound
You always with a yes man, I keep real niggas around
Put in that work 'til we proud, we got this shit off the ground
And I'm still fine with no makeup so I'm slayin' hoes when I leave man
Second time getting top from the same nigga, call this shit a recap
Got the roof down with the seat back and a middle finger to the feedback
I heard rumors sayin' I went broke, only hating hoes will believe that
This shit mean more than a trophy
And shit you know you got that dope when bitches tryna get nosy
No matter what day of the week I'ma get high like I'm Smokey
I keep it charged like a mophie, don't let these bitches provoke me

Bad bitch
I'm slaying all these hoes, I'm a savage
Ain't with no basic shit, I'm not your average
Feelin' like I'm Kobe, I ain't giving niggas passes
Yeah I get it but I go hustle like I ain't had shit
If I got paid to piss you bitches off I'd be mad rich
Flexing on the gram but broke in person, that's a catfish
Got her own and a crib, now that's a bad bitch",https://genius.com/Dreezy-bad-bitch-lyrics
