title,album,year,lyrics,urls
Hive,Doris,2013.0,"Promise Heron I'll put my fist up, after I get my dick sucked
Quick buck, maybe a gold chain
With that fuckin' flow that's-s so belittles, man
They tentatively tend to turn and go when I am finished
Stone cold, hardly fucking with these niggas – nigga, listen
The description doesn't fit, if not a synonym of menace
Then forget it – in turn, these critics and interns
Admittin' the shit spitted, just burn like six furnaces
Writ, it affixed, learnin' them digits and simultaneously
Dispellin' one-trick-pony myths, isn't he?
One adolescent, fuckin' six-nigga energy
And crawlin' down 'fax like a rich nigga centipede
Crack ceramic and slap a hand out of cash account
Stamp and shoutin', thrashin', these niggas done let the kraken out
Crack-a-lackin' like snap, crackle, poppin' your ammo off
Hide your face, and throw your flannels off, Sweatshirt, nigga
[Chorus: Casey Veggies & 
Earl Sweatshirt
]
'87 rooftop, Bronson
Whippin' hoopties, tryna boost raw chronic
Brutus in that booth, 
double scoop, hock, vomit up
Subrocin' thud, knockin' niggas teeth-loose
Bruh, I don't fuck with no cop – 
rollin' with that flow swamp
Catch me over stove top – 
rappin' to that coke rock
Passionless in old Jive clothin', with them doors wide open
Dim the floor lights, focused 
like it's nothin', 'cause it's nothin', bitch

From a city that's recession-hit
Stress niggas could flex metal with peddle to rake pennies in
Desolate testaments, 
tryin' to stay Jekyll-ish
But most niggas Hyde, 
and Brenda just stay pregnant
Breakin' News: Death's less important when the Lakers lose
It's lead in that baby food, 
heads try to make it through
Fish-netted legs for them eyes that she cater to
Ride dirty as the fuckin' sky that you prayin' to
So here I sit, eye in the pyramid
God spit it like it's truth serum in that beer and then
*blow* – disappear again, reappear bearded
On top of a Lear, steerin' it into the kid's ear again
Provider of the backdrop music
For the crack rock user and the mascot, Earl
Rawer than a skinned knee cap on a blacktop
Salivary glands, lighter fluid for the matchbox
Strikin' – wait, wait, who the fuck you badder than?
Boy, oh boy, I'm bad as burnt – pollo off the grill and shit
Spitter of the Little Nick, nimble, rickrollin'
Bitch niggas pick litter, piff-blower, plus I pillage shit
[Chorus: Casey Veggies & 
Earl Sweatshirt
]
'87 rooftop, Bronson
Whippin' hoopties, tryna boost raw chronic
Brutus in that booth, 
double scoop, hock, vomit up
Subrocin' thud, knockin' niggas teeth-loose
Bruh, I don't fuck with no cop – 
rollin' with that flow swamp
Catch me over stove top – 
rappin' to that coke rock
Passionless in old Jive clothin', with them doors wide open
Dim the floor lights, focused 
like it's nothin', 'cause it's nothin', bitch

Quit with all that tough talk
Bro, we know you niggas ain't about shit
Come around, we gun 'em down
Bodies piled, Auschwitz
Bulletproof outfits, weapons concealed
I'm ready to kill – so test it, all my weapons is real
Sellin' thizz, couldn't tell 'em what the recipe is
Got 'em wishin' that they never gave these weapons to kids
Cheers, send chills up spines of fat bitches
After shows throwin' out sandwiches
Niggas get it how they live and I live for money
Other words, I'm gettin' money
Lil Boy told me when it's time to ride, they'll send up for me
Ain't nobody scarin' me, niggas ain't prepared for heat
Tools hit like pool sticks, the way I cue shit
If this was '88, I would have signed to Ruthless
'94, would've had 'em walkin' down death row
First is when the best go, hate is what the rest do
Voice inside my head told me, ""Wet 'em if they test you""
So it's Raging Waters season
That yomper big as Larry Johnson, leave your momma seedless
Everybody hard until it's only God they seein'
Kitten soft but in they songs be trappin' hard as Jeezy
I don't believe it, but to each his own
I ain't trippin' long 'cause I can reach the chrome
Heat your home like Southern California Gas,
 police pass
Tell 'em ""Free Smalls,"" off Palm with the heat drawn
Strapped up long as the chief of police armed
Raised where the beasts are, north of the Beach
A couple streets past Baby J, bony niggas sprayin' K's
Ruger with the pork face
, 
Jewish for the court case
Here to save you niggas from the sorbet, 
Coldchain

Like it's nothin', 'cause it's nothin', bitch",https://genius.com/Earl-sweatshirt-hive-lyrics
Chum,Doris,2012.0,"Something sinister to it, 
pendulum swinging slow
A degenerate moving 
through the city with criminals, stealth
Welcome to enemy turf, harder than immigrants work
""Golf"" is stitched into my shirt
Get up off the pavement, brush the dirt up off my psyche
Psyche, psyche

Can I get that, oh… let me get that beat in my headphones, louder

It's probably been 12 years since my father left
Left me fatherless
And I just used to say I hate him in dishonest jest
When honestly I miss this nigga, like when I was six
And every time I got the chance to say it I would swallow it
Sixteen, I'm hollow, intolerant, skip shots
I storm that whole bottle, I'll show you a role model
I'm drunk, pissy, pissing on somebody front lawn
Trying to figure out how and when the fuck I missed moderate
Momma often was offering peace offerings
Think, wheeze cough, scoffing and he's off again
Searching for a big brother, Tyler was that
And plus he liked how I rap, 
the blunted mice in the trap
Too black for the white kids, and too white for the blacks
From honor roll to cracking locks up off them bicycle racks
I'm indecisive, I'm scatterbrained, and I'm frightened
It's evident in them eyes, where he hiding all them icicles at

Something sinister to it, 
pendulum swinging slow
A degenerate moving 
through the city with criminals, stealth
Welcome to enemy turf, 
harder than immigrants work
""Golf"" is stitched into my shirt
Get up off the pavement, brush the dirt up off my psyche
Psyche, psyche

Can I get that, oh… let me get that beat in my headphones, louder

Uh… time lapse, bars rotten, heart's bottomless pit
Was mobbin' deep as '96 Havoc and Prodigy did
We were the pottymouth posse crash the party and dip
With all belongings then toss em out to the audience
Nothing was fucking awesome
Trying to make it from the bottom
His sins feeling as hard as Vince Carter's knee cartilage is
Supreme garment and weed gardeners garnishing spliffs
With Keef particles and entering apartments with 'zine article
Tolerance for boundaries, I know you happy now
Craven and these 
Complex
 fuck niggas done track me down
Just to be the guys that did it, like, ""I like attention""
Not the type where niggas trying to get a raise at my expense
Supposed to be grateful, right?
Like, ""Thanks so much,"" you made my life harder
And the ties between my mom and I are strained and tightened
Even more than they were before all of this shit
Been back a week and I already feel like calling it quits

Something sinister to it, 
pendulum swinging slow
A degenerate moving 
through the city with criminals, stealth
Welcome to enemy turf, 
harder than immigrants work
""Golf"" is stitched into my shirt
Get up off the pavement, brush the dirt up off my psyche
Psyche, psyche

Can I get that, oh… let me get that beat in my headphones, louder",https://genius.com/Earl-sweatshirt-chum-lyrics
Sunday,Doris,2013.0,"I know it don't seem difficult to hit you up
But you not passionate about half the shit that you into
And I ain't havin' it
And we both know that I don't mean to offend you
I'm just focused today
And I don't know why it's difficult to admit that I miss you
And I don't know why we argue, and I just hope that you listen
And if I hurt you I'm sorry, the music makes me dismissive
When I'm awake I'm just drifting, I'm not complaining
It's just to say that I stay pretty busy, lately
And I could be misbehaving, I just hang with my niggas
I'm fuckin' famous if you forgot, I'm faithful
Despite all what's in my face and my pocket
And this is painfully honest
And when I say it I vomit, on cloudy days when I'm salty
I play the hate to the logic
State to state for the profit, it ain't a stain on me, nigga
My momma raised me a prophet, I play for dollar incentive
And where I'm walking, it's studded, and half-retarded, I stumble
To where she park when she visit, I grab the bottle and chug it
I see the car in the distance, I know the dark isn't coming
For the moment, if I could hold it
See, it seems that

All my dreams got dimmer when I stopped smoking pot
Nightmares got more vivid when I stopped smoking pot
And loving you is a little different, I don't like you a lot
You see, it seems like, um

I'm coming back, I gotta handle business
Vanish to my sleeper seat, left you at terminal three
I'll meet you down at baggage claim in a couple weeks, a fortnight
When you parade my homecoming, don't cry
You know I can't live in any place I visit
To live and die in LA
I got my Fleetwood Mac, I could get high every day
But I'd be sleepy, OCD and paranoid, so
Give me Bali beach, no molly, please, palm, no marijuana trees
Your hickeys on my aorta, and tattoos you could only see
When I'm playing surfboarder, put whiskey in that salt water
I emptied every canteen
Just to wear that straight-edge varsity you think's cool
They called me soft in high school, thank God I'm jagged
Forgot you don't like it rough, I mean, he called me a faggot
I was just calling his bluff
I mean, how anal am I gon' be when I'm aiming my gun?
And why's his mug all bloody? That was a three-on-one
Standing ovation at Staples, I got my Grammys and gold
Polka dots on my Brit, I'm not supposed to be stunting
It's all melodic, this song
I catch this vibe in my sleep, but I'm just jet-lagged is all
And restless

All my dreams got more vivid when I stopped smoking pot
Nightmares got more vivid when I stopped smoking pot
Loving you's a little different I don't like you a lot
I mean… fuck

I don't know what we're about
What good is West Coast weather if you're bi-polar?
If I'ma need this sweater, I'd rather be where it's cold
Where it snows, I see how it goes
I put the flowers in bowls, I know they're coming in droves
You'll only miss when it goes
Yeah, I think that's it
When it goes",https://genius.com/Earl-sweatshirt-sunday-lyrics
Earl,EARL,2010.0,"Yo, I'm a hot and bothered astronaut
Crashing while jacking off
To buffering vids of Asher Roth eating apple sauce
Sent to Earth to poke Catholics in the ass with saws
And knock blunt ashes into their caskets, and laugh it off
Twisted, sicker than mad cattle, in fact I'm off
Six different liquors, with a Prince wig plastered on
Stop screaming, bitch, you shouldn't be that alarmed
When Big Lips is in the attic, armed with an addict's arm
Earl puts the ""ass"" in ""assassin""
Puts the pieces of decomposing bodies in plastic
Puts them in a pan and mixes it up with scat
Then gobbles it like fat black bitches and catfish
It so happens that I'm so haphazardous
I'll puke a piece and put it on a hook and fucking cast the shit
I'm askin' that you faggot rap actors take action
And get a hall pass for this class-act shit
How the fuck I fit an axe in a satchel?
Slip capsules in a glass, she dizzy rascal
Party staff baffled, asking where her ass go
In my room, redefining the meaning of black holes
Go on, suck it up; but hurry, I got nuts to bust
And butts to fuck and ups to shut and sluts to fuckin' uppercut
It's O.F., buttercup, go ahead, fuck with us
Without a doubt, a sure-fire way to get your mother fucked
Ask her for a couple bucks, shove a trumpet up her butt
Play a song, invade her thong
My dick is having guts for lunch, as well as supper
Then I'll rummage through her ruptured cunt
Found the mustard
Fucking nosey neighbors notice something's up
""What you doing?"" – nothing much
Would shout some other stuff
Got to fucking bounce, guess the bouncer's had enough of us

Fuck 2DopeBoyz
Eat my dick, I'll eat ya ass!
Fuck 2DopeBoyz, fuck them niggas man

Get up off the pavement, wipe the dirt and vomit off
DopeBoyz hating, but them faggots is a lot of talk
Cotton soft pussy, them Odd niggas is Molotov
Cocktails; fucking toss one in your apartment, dog
Wolf Gang, we ain't barking, nah
Try talking on a blog with your fucking arms cut off
Put in a carpet and watch it get auctioned off
The Ace tell Shake's daughter
""We're sorry, but papa's gone, bitch!""

Odd Future Wolf Gang, nigga
Fuck them 2DopeBoyz niggas
Odd Future Wolf Gang Kill 'Em All, don't give a fuck nigga
Litter Life nigga, stay pop nigga, what's good?
Earl, what up nigga?
Fuck Steve Harvey!",https://genius.com/Earl-sweatshirt-earl-lyrics
Whoa,Doris,2013.0,"Nah, no, nah, nah, fuck that. Niggas think 'cause you fucking made 'Chum' and got all personal that niggas won't go back to that old fucking 2010 shit about talking 'bout fucking everything-all. No, fuck that, nigga, I got you. Fuck that

Grab mittens, who have to spit blizzardous
Actually, flick cigarette ash at bitch niggas
Harassment, eight nickels of hash, delay quick, and then
Dash to Saint Nicholas pad to taste venison
Still in the business of smacking up little rappers with
Racquets you play tennis with, hated for bank lifting and
Spraying then hide away in the shade of his maimed innocence
Suitcase scented with haze and filetted sentences
Advanced apathy, smashing the man cameras up
Tan khakis, an antagonist Dan-dappered up
Ha, vagabond, had it since a Padawan
Rapping hot as fucking cattle brands wearing flannel thongs
Grab a bong, mama and some food, beer, tag along
Get a nice spanking, uh, new Sears catalog
Send them nettled critics to the bezel stop, dead and wrong
Get 'em higher than the pitch of metal tea-kettle songs
(Bitch-ass niggas!)

Four deep in a Rover cannon
Riding dirty through a Saugus canyon, niggas know that it's the
G-O-L-F-dub-A-N-G, G-O-L-F-dub-A-N-G
50k for the last check
But the Dollar Menu still be on deck, nigga it's the mothafuckin'
G-O-L-F-dub-A-N-G, G-O-L-F-dub-A-N-G

Yeah, the misadventures of a shit-talker
Pissed as Rick Ross's fifth sip off his sixth lager
Known to sit and wash the sins off at the pitch alter
Hat never backwards like the print off legit manga
Get it? Like a blue pill, make ya stick longer
Or a swift fist off your chin from his wrist-launcher
Chick, chronic thrift shopper, thick like the Knicks roster
Stormed off and came straight back like pigs' posture
Pen? Naw, probably written with some used syringes
From out the rubbish bin at your local loony clinic
Watching movies in a room full of goons he rented
On the hunt for clues, more food, and some floozy women
Bruising gimmicks with the broom he usually use for Quidditch
Gooey writtens, scoot 'em to a ditch, chewed and booty-scented
Too pretentious, do pretend like he could lose with spitting
Steaming tubes of poop and twisted doobies full of euphemisms
Stupid, thought it up, jot it quick 
Thaw it out, toss it right back like a vodka fifth
Spot him on a rocket swapping dollars in for pocket lint
Then lob a wad of chicken at a copper on some Flocka shit

Posing nigga try to disrespect
Get a fucking thunder to his neck, shout out to Nak
'Cause it's the G-O-L-F-dub-A-N-G, G-O-L-F-dub-A-N-G
Looking bummy, posted on the block, like I ain't make
A quarter million off of socks, nigga
'Cause it's the G-O-L-F-dub-A-N-G, G-O-L-F-dub-A-N-G

Bitch niggas
Wolf Gang (Motherfucker)
Golf Wang, nigga (Lil bitch-ass niggas)
Trashwang, Loiter Squad
(This motherfuckin’ nigga)
Yeah (Can't hang with us, nigga)
Stay off the block, niggas
(You not welcome)
You not welcome (Motherfucker)
Circa ’08, bitch! Yeah
(O.F., nigga)",https://genius.com/Earl-sweatshirt-whoa-lyrics
Grief,"I Don’t Like Shit, I Don’t Go Outside: An Album by Earl Sweatshirt",2015.0,"Alright
Uh, uh, uh

Good grief, I been reaping what I sowed
Nigga, I ain't been outside in a minute
I been living what I wrote
And all I see is snakes in the eyes of these niggas
Momma taught me how to read 'em when I look
Miss me at the precinct getting booked
Fishy niggas stick to eating off of hooks
Say you eating, but we see you getting cooked, nigga

I don't act hard, I'm a hard act to follow, nigga
Like it or not, when it drop, bet he gotta listen
Chasing dragons, tryna make it happen, on a mission
Step into the shadows, we could talk addiction
When it's harmful where you going and the part of you that know it
Don't give a fuck, pardon me for going into details
3-7-6 was a brothel
We had females come in every hour on the dot
And the shit sound like a gavel when it knock
Focused on my chatter, ain't as frantic as my thoughts
Lately I've been panicking a lot
Feeling like I'm stranded in a mob, scrambling for Xanax out the canister to pop
Never getting out of hand
Steady handling my job, time damaging my ties
Who turn to get up? Get dude turned to dinner quick
You circus niggas, you turning into tricks
I was making waves, you was surfing in 'em
Dealing with the stomach pains just from birthing niggas' shit
Cut the grass off the surface
Pray the lawnmower blade catch the back of a serpent nigga's shit
Bitch

Good grief, I been reaping what I sowed
Nigga, I ain't been outside in a minute
I been living what I wrote
And all I see is snakes in the eyes of these niggas
Momma taught me how to read 'em when I look
Miss me at the precinct getting booked
Fishy niggas stick to eating off of hooks
Say you eating, but we see you getting cooked, nigga

My fleeting thoughts on a leash
For the moment, high as fuck
I've been alone in my shit, for the longest
Snakes sliding in the street
Momma taught me how to not be like the bodies lying in them
Pigs, riding in 'em
I'm a target so it's hard to even eye me in 'em
If he ain't dying for me, then I ain't riding with him
There's no time for that
Making sure my man wallet's straight
Like a collar when you iron that
Thinking 'bout my grandmama, find a bottle
I'mma wallow when I lie in that
I just want my time and my mind intact
When they both gone, you can't buy 'em back",https://genius.com/Earl-sweatshirt-grief-lyrics
Burgundy,Doris,2013.0,"[Intro: Vince Staples & 
Earl Sweatshirt
]
""What's up, nigga? Why you so depressed and sad all the time like a little bitch? What's the problem, man? Niggas want to hear you rap. Don't nobody care about how you feel, we want- we want raps, nigga.""
""
Raps
?""
[Verse 1: Earl Sweatshirt & 
Vince Staples
]
My grandma's passing
But I'm too busy tryna get this fuckin' album crackin' to see her
So I apologize in advance if anything should happen 
(Cut that bitch off!)
And my priorities fucked up, I know it, I'm afraid I'm gonna blow it
And when them expectations raising because daddy was a poet, right?
Talk all you want, I'm takin' no advice, nigga
I'm 'bout to relish in this anguish,
 and I'm stressin' over payment 
(Cut that bitch off!)
So don't tell me that I made it, only relatively famous
In the midst of a tornado, misfitted, I'm Clark Gable
I'm not stable, (
I'm not stable
) abrasive as fuck and they all 
(Cut that bitch off!)
Pay me, I'm chuckling cross-faded in public
Heart racin' 'til blunt is lit, (
Like he don't give a fuck again, right?
)

""Hey Thebe, nigga, what's up nigga? I heard you back, I need them raps, nigga. I need the verse, I don't care about what you going through or what you gotta do nigga, I need bars, sixteen of 'em.""

I don't fuck with too much of y'all's shit
Judgin' by the pants and the mall grip
Gully, in the vans with the dark tints
I'm a start-shit type nigga 
(Cut that bitch off!)
Night life livin'
Ridin' in the Jeep, I'mma side-swipe niggas
What's your life like? That's alright nigga
Hammer in the left ready when the price isn't
Right got the whip and I ain't got the license for it
And Jill got me living like my life is golden
Sitting on the sofa feeling high and dormant
If we could smoke another while the mic records it 
(Cut that bitch off!)
The nicest doin' it, who the fuck you staring at?
Acting like you've never seen a tooth that's carat-capped
Bars hotter than the blocks where we be at
Stuntin' these niggas gon' flop like Divac
See that nigga? And for the time being
I'mma be that nigga, believe that nigga
You see that nigga? And for the time being
I'mma be that nigga, believe that, nigga 
(Cut that bitch off!)",https://genius.com/Earl-sweatshirt-burgundy-lyrics
Couch,EARL,2010.0,"Uh, was always smartmouthed and quick-witted
But somethin' was always missin' like six digits
, 
lucky seven
Probably poppa
, little nigga so they picked on him, hassled him
Things changed when I hassled back, so
, David hit the pavement
With this grapple rap, Snapple fact: you rather wack
While I am poppin' like a snappin' crack
So high you could see like Tallahass, the opposite of cataracts
Matter fact I am Farmer John milkin' cattle tracks
Action packed nipple squeezin', boy colder than sniffle season
Simple genius, go hard and spit bits of semen
So when the street is split, don't act surprised, agree with it
The gang of wolves that creeps in crypts
As deep as 
Dawson's Creek
 and shit
I pray they got gills either that or grab some floaties
I know I got skills, why you think I'm posted boastin'?
Braggin', tell these faggots to stop naggin'
'Cause them Wolf Gang niggas threw them off the bandwagon like

Uh, was always fucked up as shit with it
But I didn't cross the line until the bridge hit it, troll
I got you niggas nervous like virgins flirtin' with Uncle Mervin
Fuckin' y'all with no lubricant, go grab the detergent
I preach to demons at your church, now I'm the newest sermon
Wearin' nothin' but they fuckin' blast with the matchin' turban
I drive through white suburbans in the black Suburban swervin'
Hittin' curbs and blastin' Erick Sermon, drunk off English bourbon
I'm stealin' purses rapin' nurses, I'm a crooked surgeon
And treat the beat like sanitized Nazi puss, I'm a German
I'm squirtin' while I'm masturbatin' and regurgitatin'
From eatin' Miley Cyrus salad pussy platter they were servin'
My only purpose is to jerk it cause it has a curve
So bitches hate to do me like ex-convict community service
This my Zombie Circus, you better get a fuckin' ticket
Odd Future Wolf Gang, like they're filmin' 
Twilight
 in this bitch

I'm back on my sixty six sick shit
Flowin' like the blood out the competition's slit wrists
She lick it up, Dracula, then spit it back, back at ya
She mad as fuck, stuck in the back of a black Acura
Fed her acid now the duct tape quacks back at her
Hello Heather yellow feathers, now you ain't laughin', huh?

Bitch, you're barely breathin', leavin' on the back of the boat
While I fill you up with semen from the Wolf Gang team and
Flowin' like the creampie inside of your daughter
Oughta eat the bitch with salt and wash it down with a gallon of water
I grab the saw and sawed her arm off and auctioned it
And dip her teeth in gold molds and flossed the shit
Fuckin' awesome
, spittin' box of trees, 
got you niggas
Shakin' like it's Parkinsons
 from the clitoris of Kelly Clarkson's dick
Ironin' you niggas now it's time to starch the shit
Drown your bitch in a tub of cum and throw a shark in it
Find a random abandoned garage and go to park in it
Find Earl laying on the burgundy carpet,
 
pull my knife out
Sharpen it, stab him, put a arch on it
Pour unleaded gas on him, get the Zippo and spark the shit
Hop back in the van and then depart the bitch
Killed him on his own track, the faggot shouldn't have started it",https://genius.com/Earl-sweatshirt-couch-lyrics
Sasquatch,Doris,2013.0,"After filling my reputation of whore beaters
Soared to Taco Bell and I ordered some gorditas (Mmm, that's good!)
Wanted four more, ordered 'em, didn't eat 'em
Then head to Thebe's house for some gymnastics
Fantastic, I backflip on this beat, B
Cause we running shit like the Dingleberries on four cheetahs
Flow colder than Papa Joe's, old Domino's
Fuck it, whatever
Um... Trashwang scratched inside the knucks
Got some One Direction tickets, I should hit that up
Drive by with puppy signs plastered on the truck
Then see how many of they fans could fit inside the trunk
Move over the microwave and the cannabis
Try to take the van and the whole band to Canada
Fuck the block news and the venues, they can't handle us
They can't stand us including fruits that Frank's channeling
The Ku Klux Klan see me and my managers
But thank me when they ask where the Five Panels is
Man, I suck now, I ain't still dope
But Chris and Rihanna's fuckin' again so there's still hope
Oh fuck, I went there, balling bitch, I'm Ben's hair
Y'all barely breaking like Taco's self-esteem in a thin chair
Old Navy bitches love this gap, yeah this grin's rare
Watch a nigga smile like five-year-old child
I'm kicking it with Nak and the nigga from Green Mile, it's
Red Bull in this cup so a nigga may seem wild but
That's just all the sherm I was burning a little while ago
Don't let me get hold of that rifle
Shout my nigga Sage Elsseser and Sean Pablo
Surrounded by them niggas that skate with a sick style
And some freckled bitches with giant peaches that's vile
They never did catch that rhino

Squadron full of some lost souls
Sergeant of all, it's autumn and Nak just nollied a pothole
Non-cooperative with his momma's wishes for college
And coppers labeled a  problem since paying for Damianos
So shimmy through the swamp, nigga, follow me through the foxholes
Moral Orenthal with a pretty bitch in a Bronco
Hopped right off the seven and stumbled into some Vatos
Threw a punch, got jumped, dusted off and then walked home
Shit, it's like 6 P.M. and his temple throbbing
Hand in the cabinet by seven, sniff the prescription oxies
Logo in the boxes, all my niggas hostile
Cautious of your crosses, scoffing at your doctrines
Bitches augmented, stupid, as the group is, only slightly
Write precise to get a pussy nigga tooth chipped
Man these stitches shut the loose lips, stumbled in a Ruth's Chris
Slid into a booth and hid the luggage from his shroom trips
See, Lionel ball with Leonardo on the weekend now
And Maui on a scenic route, we on the second season now
Small fry got 'em seasons salty, weeded, coughing
Ease up off me, end is breathing easy as bulimics barfing
From a different breed of doggy, from a different seed and cloth
And teeing off, believe it's Golf Wang, nigga",https://genius.com/Earl-sweatshirt-sasquatch-lyrics
Guild,Doris,2013.0,"Said this a hit of liquid heroin
Marilyn Manson channeling
Panicking, spar with Anakin
'til one of us leave in an ambulance
Blow the smoke of the spliff in your eyes
You ain't gon' live 'til you die
Intelligent bitch on my side
She bitching I'm spitting habitual lies
I hit her up when my jet land
Got a swisher tucked in my headband
Front page news, I'm young Jesus
Eating bagels with no cable on
Been fucking hoes since when Mase was on
I hope that Based God hear my prayers
One day you're here, the next day you're gone
So me and Earl smoking weed on Jay Z's lawn
Some dope rap on your ho ass, Tony Womack
Don't hold back, no, feed your girl Cognac
Meet a bitch, sleeping wit her, feverish, diva chick
Met her off Twitter even Schindler keeps a list
Pittsburgh, 
broke down somewhere in a Fisker
I could pull your bitch with a whisper and diss her
Dumbass ho
She only dumb cause she love that though
Somewhere getting high reading 
Juxtapoz
I hit her up she come through and watch 
Adjustment Bureau
(""That's a good movie!"")
Moms love me cause I'm so commercial
I fuck 'em raw cause I know they fertile
In Myrtle Beach with a purple fleece
Hotel lobbies playing 
Für Elise
I'm Ron Burgundy mixed with Hercules
Slap a bitch in the mouth if she curse at me (""Ow!"")
I said Josh's beard is like Paul Revere
When he walk in the room it's like God is here
I'm at a prop shop in Montauk throwing tomohawks
At civilians...I'm chilling

I'm on the monitor nigga
She taking it like a champ and I'm proud of her, nigga
I'm on the couch where that loud is burning
I'm shouting, ""I don't fuck with you"" cause I don't
Never love a ho
But we could play doctor, ma, open wide for thermometer
Your cowgirl's crotch riding with a clean, faded fro, lopsided
Tell the label that I want a white driver
And tell him give me space, I don't know that nigga
Bold-ass little fuckin' low-class villian
Whole van tinted, nope can't kill him
It's the Trashwang nigga, that's what's up
Half pint of hope in that plastic cup
Real nigga from the start 'til the casket shut
Present his own case as a basket one
Present-day based nigga, smack the judge
Riding with them same niggas ashin' blunts
While that bass make his face like he mad or somethin'
Slide in the safe, take the cash and run
Know that if he fake I'm harrassin' him
Took the big toe so they tagged the tongue
Out here stuntin' like I'm supposed to, dog
Blowing more smoke than a broke exhaust
Pipe only spirit that I hold's menthol
It's Wolf Gang bitch, like you know these paws
Living like it's '62, spit and grip my genitals
My bitch'll split the Swisher, my niggas split them residuals

Hey, it's marijuana fields, pot growing
Blaring Gil Scott Heron while we pill pop
Errand run and kill cop
Niggas know I feel not for 'em, stop bitching, bruh
Stare and get that grill knocked open
Hey, it's marijuana fields, pot growing
Blaring Gil Scott Heron while we pill pop
Errand run and kill cop
Niggas know I feel not for 'em, stop bitching, bruh
Stare and get that grill knocked open...nigga",https://genius.com/Earl-sweatshirt-guild-lyrics
