title,album,year,lyrics,urls
Even Shadows Have Shadows,We Came from Beyond,2010.0,"I stand alone, burned every bridge over the troubled water
No longer hiding from my personality disorder
A stronger tide is coming, I've been running
Trying to function fine without my mind
Climbing out this fucking corner

I was born a thorn away from the rotten petals
A forgotten rebel
Wrapped in the absence of Heaven's heavy hands
To develop an evident level of benevolence
So it's probably better I sold my soul to the Devil
This is a message to anyone I've met that thinks they know me
Don't pretend to understand
None of the issues that I'm holding
I was in a rush to grow up, look, Mom – no cuts
Just a stomach in disgust, and the fearthat I might go nuts
This year, if I don't slow up, I'll see you on my way
One day this shit'll kill me, but I guess that it's OK
I've lost all faith in a world so full of hate
And I don't fucking love music, I just use it to escape
I'm caught between wanting to punch someone in the face
And putting a bullet in my head to leave the human race
Everything takes its toll, but there's no tolls I can take
I haven't yet found a good reason to be awake
Introducing the corroded bones I hide behind my smile
I'm angry at the Universe for the way she treats me now
It keeps me down, stealing all my energy
I'm feeling like my enemy, concealing my identity
Not dealing with my tendencies
I peel the skin and then I squeeze
The real imprinted Hansen's disease
Not healing in this century
I'm kneeling to the entity
Who built this penitentiary's as filthy as a centipede
And guiltless in a sense, ‘cause he
Was willing to just let me bleed while I wore a game face
In 10 years, don't check for me, I'll be in the same place
This planet's just an overpopulated mental hospital
Each zombie walking round constitutes another obstacle
So here it is, I'm finally coming out my shell
All 19 years of my life have been in conflict with myself
I'm insecure about every facet of my existence
From my addictions to the condition I choose to live in
Who you kiddin'? I suffer from excess anxiety
A product of pollution in American society
Stare into my eyes and see the hell that burns inside my mind
And I no longer have an ego I can hide behind
But I've been fine disregarding my insanity
Every form of art isolates you from humanity
But it's provoked against being force fed
So fuck education for a decade and three years
Of headaches from my peers
‘Cause now I realize I could have learned more on my own
They taught me how to know everything except my soul
Which is everything I need to grow
Everything that keeps me whole
Everything that ever meant anything to Eyedea, so
I leap with golden hope to rip the leash that holds my focus
But the fact remains the same, I'm still bound by chains
It doesn't matter if your chain is 10 feet or 100 feet
The fact remains the same, you're still bound by chains
Some people say I've changed and it's harder to relate to me
Good! I never liked you; our friendship was make-believe
I'm peeling the mask back and
Revealing the rap that's been filling my organs
Drilling short distorted portions
Of morbid masochistic torture that unfortunately crafted
An interest to orbit my portrait
And inflict my image with disorder
The minutes get shorter, walls start to close in
Feels like the brain is hanging on by one clothespin
I've hidden in the darkness for too long
I make it look alright, but on the inside it's so wrong
I want life to change, but I don't know if it can
For a man or machine or whatever the fuck I am

I stand alone, burned every bridge over the troubled water
No longer hiding from my personality disorder
You want to die my life
Well, come and stay in madness's favorite little corner

‘Cause even Shadows have Shadows
And my secrets are eating me
Eagerly feeding to scream my dreams away
But they keep on defeating me
(Even shadows have shadows)
Welcome to the dusty subconscious of an actor
Who murdered his childhood to stop the audience's laughter
(Even shadows have shadows)
How am I to break free from my fears
When I don't like what I see and I can't feel what I hear?
(Even shadows have shadows)
So don't judge my book by its cover
‘Cause my story's just as fucked up as any other",https://genius.com/Eyedea-even-shadows-have-shadows-lyrics
Here For You,The Many Faces of Oliver Hart or How Eye One the Write Too Think,2001.0,"There is a way out of this mess and shit
You just can’t think your way out of it
Thought is your enemy
I know I know, I got to think less. I had that thought actually
You have to let go. Let go
Let go of what? Let go of you
I mean, think about it, what have you done for you lately?
I’m having trouble following your philosophy
You have to jump in. Jump in by those scopes?
No, in the water. In the River?
Yes, Jump in the River, Jump in the River…
We're all born into this river without knowing how to swim
And eventually we learn how to keep the water under our chins
Some times this river is so cold to be in
Freezing my soul, solidifying my skin
Regardless of how far I see, I never see my travels end
We're carried by the current, being driven by the wind
The scenery we pass, we'll never see again
So we store it up as memories and don't let go of them
Were under a spell thinking the river should go straight
We set goals and desires to control our own fate
But all the pain we experience is a result of our expectations
Because it's the rivers nature to twist and turn
The shit can burn
And I know it
I have the same conflict
But I try to sit and flow with this rivers natural process
And sometimes when I watch myself float downstream
I see the beauty of it all, and it feels like a dream
And at that time I appreciate the rivers course
Some call it God, reality, momentum, force
I stare up at the naked moon, and she stares down at me
Outside false boundaries I’m all I look outward to see
The universe is not something separate from yourself
I know you feel alone, but that's why I'm here to help
I know you feel alone, but just look up at the stars
And everything that is out there is what you really are
We gotta learn to see the beauty in each moment of life
Everyone has different pasts and we're seeking the light
The world is divided between peasants and kings
But the truth is everyone is looking for the same thing
Now I want you to know
The role you play is part of the whole
Without you it couldn't be, and I mean that with compassion
So if you need anything, I mean anything at all
I'm here for you; all you gotta do is ask man
I'm here for you, in the same way that you're here for me
Each person in an intricate piece of infinity
I feel that if you could see what I see
Then we as humanity could be free
I'm here for you, not for any self centered reasons
Because existence is interdependent and all's related
Connected in its different manifestations of one single mind
You ain't isolated from the world even though it feels like that sometimes
I see the hurt when I look into your eyes
How you struggle to hold it and keep in bundled inside
It drives a dull blade deep in my heart; it makes me want to cry
So I offer you a hand to help wash away the rainy skies
I'm running out of words, but I haven't yet made my message clear
So if none of this makes sense, I just want you to know I'm here
As a musician, as a friend, as a teacher, as a student
To grow and realize that everything's in constant movement
Each problem that we face is just a part of this movement
It seems helpless, but if we stick together we'll get through it
And return to the essence from which we've been uprooted
And wake humanity from these illusions
The second you can look into the sky and see your own reflection
You know your head is in the right direction
The river riding always moves, but with it I live
And everything is perfect, just the way it is
We gotta learn to see the beauty in each moment of life
Everyone has different pasts and we're seeking the light
The world is divided between peasants and kings
But the truth is everyone is looking for the same thing
Now I want you to know
The role you play is part of the whole
Without you it couldn't be, and I mean that with compassion
So if you need anything, I mean anything at all
I'm here for you; all you gotta do is ask man
I'm here for you; all you gotta do is ask man
I'm here for you; all you gotta do is ask man
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream
Everything's cool as I float downstream",https://genius.com/Eyedea-here-for-you-lyrics
Weird Side,The Many Faces of Oliver Hart or How Eye One the Write Too Think,2001.0,"??? this is Felipe Cuauhtli from Los Nativos crew Rhymesayers entertainment
I'm up in the studio with my man Eyedea, I'm up in the booth doing the wop?? and the running-man looking for the keys to my lowrider
Yo, ya'll might think he's a cool cat, but this dude be acting weird

Why they always looking at me, like there's something on my face man
No matter where I go, I'm always feeling out of place
And I know I'm not your regular I got a different taste
Probably cause most my life, spent right in my basement
I didn't watch the Super Bowl, don't drink alcohol
Don't carry I.D., don't go to the mall
I'm extra argumentative and really good at fast talk
I can't dance or sing but I can rap my ass off
Hey my voice is unique, I'll leave it at that
But no rapper you know, has the ideas I have
And it ain't like the skin color really is significant
It puts you in the category of art {​​​​​​fag}​​​​​​ or idiot
But I don't try to fit in
My life's like a novel of science-fiction
My mission is to get into your mind, and make you listen and
Rewind what you were missin', everytime that you insisting to be blind
I paint a picture with the rhyme and climb the instrument
I'll hide behind a picket fence, slice a little wickedness and I
Win at this so you better bet on me
I only smile in public if I got a lot of energy
Don't go to the doc, I got my own remedies
Oh and I almost forgot I got a really good memory

I know a lot of people that'll tell you that they hate me
Cause they know I bring out the weird side
Some say I'm a genius others say that I'm crazy
But they all say I'm a little on the weird side
It ain't like I can help it, it's the way I was raised
So I'm living every minute on the weird side
Here's a ticket for the train, pay a visit to my brain
If you wanna know about the weird side
It goes dee-dee-da, dee-dee-da, doo-doo-do, doo-doo-do
Da dee-dee-da, dee-dee-da, doo-doo-do, doo-doo-do

I only write with a certain type of pen (chameleon)
Switching from an itchy introvert to loudmouth
First thing I do after I buy a CD is open it up
And see if my name's in the shout outs
I read books on yoga and quantum mechanics
Psychology, philosophy, peyote and acid
I like Jimi Hendrix more than any rap shit
And my favorite movie's Dr. StrangeLove, that's a classic
Never had a fist fight, got knocked out one time
Stupid motherfucker thought peace was a gang sign
Yo I never liked the circus I was too afraid of clowns
20 years in the same city still don't know my way around
And still get lost inside of my thoughts
Sayin dumb jokes just to hear myself talk
Yeah I know my clothes probably need to be washed
But I like em' and if I didn't I would take em' off

I know a lot of people that'll tell you that they hate me
Cause they know I bring out the weird side
Some say I'm a genius others say that I'm crazy
But they all say I'm a little on the weird side
It ain't like I can help it, it's the way I was raised
So I'm living every minute on the weird side
Here's a ticket for the train, pay a visit to my brain
If you wanna know about the weird side
It goes dee-dee-da, dee-dee-da, doo-doo-do, doo-doo-do
Da dee-dee-da, dee-dee-da, doo-doo-do, doo-doo-do
Dee-dee-da, dee-dee-da, doo-doo-do, doo-doo-do
Da dee-dee-da, dee-dee-da, doo-doo-do, doo-doo-do

I'm not accepted by any certain group of people
I'm a walking talking freak-show, by now you know my steelo
Hey, everybody's weird, you know that's true
I bet you even got a little bit of weirdness in you
My lyrics are due depression and in essence repression unprecedented
Identity representin' the quest
I guess I'm just ahead of my time
Blame my pedigree, I'm telling you a tale of the time, embellish the melody
Who are you to say I got a few loose screws, dude?
The tools humans use can never measure my texture
Extra, extra read all about it Eyedea's an extraterrestrial don't let him
Touch you or even sit next to you
Hey I don't write, so you're wrong and that makes me right
Song after song, night after night
Gonna spit my words into the mic
And the crowd reacts nice if it's something that they like
Now is that so strange to want the attention
If you think I should change, man save your suggestions
I swear someday I'm gonna be somebody's hero
But until that day I'm just another fuckin' weirdo",https://genius.com/Eyedea-weird-side-lyrics
Infrared Roses,The Many Faces of Oliver Hart or How Eye One the Write Too Think,2001.0,"Well I guess this is it, I guess this is uh.. time or whatever
So I guess I'll start it like this
And I'll never again be as happy as I was when I was in the 7th grade
Before the guilt of having no goals ate my life away
Each day introduced me to something that I hadn't experienced yet
Traded A's for F's to gain the time to experiment with drugs and sex
I'll never forget me and Jakes first roses trip together
Or the times when we all walked aimlessly in the summer weather
With nothing better to do I rode to S.A
And tried to steal a pack of squares
Man I miss being a kid with no cares
It's the excitement of knowing everything you touch is new
I just wish I could've stopped to cherish the moment while it lasted but
Maybe that's the point, the second you're smart enough to recognize freedom
You're no longer free
You see heaven isn't some place that we go to when we die
It's that split second in life where you actually feel alive
And until the end of time, we chase the memory of that
Hoping the future holds something better than the past
So why do I spend my time runnin' away?
When the truth is right here in the mirror inside my dying face
I can waste my energy tryin' to reproduce something that's gone
But my childhood is dead, it's time to move on
So what do you call a person that's already past his peak?
Just a stagnant sheep you keep counting when you can't go to sleep
Two years out of high school goin' on way too deep
Tell me again why 7th grade was so brief? Damn...

The curiosity that killed Schrödinger's cat was the only thing that
Kept it alive matter of fact
When life takes your life away how do you get it back?
Like that... like that...",https://genius.com/Eyedea-infrared-roses-lyrics
Forget Me,The Many Faces of Oliver Hart or How Eye One the Write Too Think,2001.0,"Would you believe there's only four more people in the world
And when you're not looking they change masks?
Somewhere over the rainbow
It's the same old set of needle infested train tracks
No matter how fast you run from the I you hate
There is no escape (There is no escape)
So I wait for the heaven that I seek
Which makes everything insignificant differences
Innocence indolence the vision amongst religion
Visioning innovative criticisms are the state of mind we're living
Time is ticking
If you listen to the sign that wisdom efficiently spreads
Sing a song that officially deadens the mission
They're clinging onto fiction
I stand stiff in disposition
Plans shift
Cause to me your man is in an issue of your ego tissue
Explicit to the point of non-existence
And life in the past is your only interest
I used to build forts in the backyard to hide from the daytime
Missing all the beauty of the sunshine
It's my fault
But I blame the world to a small degree
I've never seen the sky cause I been too scared it would fall on me
So what? You're mad cause I don't want to talk?
But you'd be even more pissed off if I told you what I really thought
So just walk away (just walk away)
You're better off never caring what I say (never caring what I say)

I've been a lot of places and I've seen a lot of faces
I don't miss none of them and they don't miss me
Fell in love with sensation
Now I'm my own mental patient
But that's the price you pay if you want to live free
Kill my dedication
Put me on your medication
Drop me off in space and never come to get me
Nothing that I say has ever been that amazing
So when I die do me a favor and forget me (forget me.. x7)

Well
Something in the air make me not want to care
Let 'em stare till I'm riding on an empty spare
Follow the vein straight
As it drapes across the landscape and the sand and the lake
Off the beaten path
Learn the secret math
Keeping the laugh, smug
Too deep in the back of luck
Happy as fuck
But nobody's convinced
Play daddy to the love and try to drop a couple hints
Ever since I first came to learn all the right turns
I was cursed with the cigarette burns and the lost words
Found inspiration inside your misery
Always trying to take an inch
More than what they're giving me
Dear God
Let me die on the rich people's lawns
Because I'm not so sure they're gonna learn my songs
Every morning he repeats that same shit
Spends the day dying to be famous
Well another day, shot
And I'm thinking this aquarium is deeper than the last one
My castle was never made of sand
It's one big aluminum can
The chateau of the damned
The shadow of the man you pretend you are
Had a rough thought that got caught and went too far
And if I did have a car I'd go broke from the gas
On the shoulder of the road
While you roll past

I've been a lot of places and I've seen a lot of faces
I don't miss none of them and they don't miss me
Fell in love with sensation
Now I'm my own mental patient
But that's the price you pay if you want to live free
Kill my dedication
Put me on your medication
Drop me off in space and never come to get me
Nothing that I say has ever been that amazing
So when I die do me a favor and forget me (forget me.. x7)",https://genius.com/Eyedea-forget-me-lyrics
How Much Do You Pay?,The Many Faces of Oliver Hart or How Eye One the Write Too Think,2001.0,"No one really understands the experience that jades logic
And paves an agnostic place to lay and decay in toxic waste
So most carry identity paraphernalia to familiarize with smiles neatly
Painted on a robotic face
But not this man, he played the bucket with his hands
And got paid by whatever change
People would drop in his can
Twenty-three years ago he was a lawyer by description
But I guess all of a sudden he resigned from that position
But I've never seen the sky quite as clear as his eyes
As his blistered fingers beat down on the plastic
And in a twisted sort of way it all makes sense
While they rush to die he provides the soundtrack so tragic
He sits on the corner of 7th and 1st
And I was thirsty for the answer
To a question anyone would nurse
One day I asked him why he gave up his career
He said, ""I didn't, I just took off the name tag"" then he added
Make Money and die that's the American Way
It don't matter what name you gave the bucket that you play
Make Money and die that's the American Way
It don't matter what name you gave the bucket that you play
So I took in what was said but I didn't accept it
Well maybe I did I mean I just wouldn't admit it
I was too committed to the belief that all the hard work from now would
Improve my future existence somehow
So I said, you don't accomplish nothing sitting in the street
And I'm sure you barely survive off the pennies you gather
He said, to your surprise I make enough to eat
And I accomplish just as much as you only I stop pretending my job matters
He looked me in my face and told me I was a puppet
And what I do is no more important than playing a bucket
I still hear his voice when I set my alarm before bed
I never could wash what he said out of my head, so fuck it, it goes
Make Money and die that's the American Way
Make Money and die that's the American Way
Make Money and die that's the American Way
It don't matter what name you gave the bucket that you play
Make Money and die that's the American Way
Make Money and die that's the American Way
Make Money and die that's the American Way
It don't matter what name you gave the bucket that you play
See I can dress myself up in a white coat and say I'm a doctor
Carry an arm on my belt buckle with a gold badge and say I'm a copper
Maybe I'm just a sloppy lazy crazy carbon copy part of the heartlessly
Deranged nation that gave me the generation ecstasy under water, I forgot
The survivor of the mind washed and slaughtered. I've watched your offers, caught your calls and
Called your forefathers my bosses, lost it all in the name of gaining enough
To spend, consuming the youth since those pray in doom for the hand my friends, see
When I saw my man playing away on his drum
Something clicked in my brain and I became less numb
I'm working for bread crumbs
Pretending there's a meaning
But my employment is just a bucket, I'm desperately beating
And one day, I'll be old and retired
Looking at my life like what a waste of good fire
All because school never taught me how to be inspired
And the job concerned applying to myself just wouldn't hire
Make Money and die that's the American Way
Make Money and die that's the American Way
Make Money and die that's the American Way
It don't matter what name you gave the bucket that you play
Make Money and die that's the American Way
Make Money and die that's the American Way
Make Money and die that's the American Way
But hey, here's my application, how much do y'all pay",https://genius.com/Eyedea-how-much-do-you-pay-lyrics
Bottle Dreams,The Many Faces of Oliver Hart or How Eye One the Write Too Think,2001.0,"Everyone knew she was a special young girl
From her neighbors to her teachers
Some labeled her a prodigy, others called her a genius
It was amazing the way she could play the violin
It made it hard for people to believe that she was only ten
But behind every brilliant mind there lies a monster
This one just so happened to be her father
See daddy was sick, he'd get a rush by playin' touchy touch
And tellin' her to keep it hush
It was his secret way of loving that he needed someone he could trust
Fucked her head up, sayin' if Momma was alive she'd be so proud of us
So she'd hide the desire to die
But if you paid close attention you could see the sorrow in her eyes
Walking around in the only real hell
No one would ever think she'd have such a story to tell
Afraid to go home, afraid to talk, afraid of cryin
She was too young to even know why

And everyday she'd go to the river with a message in a bottle sayin'
Please, God help me I don't wanna live to see tomorrow
Each day she'd scrounge for a tiny shred of hope
Just to wish the bottle would stay afloat
But every single solitary day, the bottle seems to sink
I don't know why but the bottle always sinks
She never sees it happen, but the bottle always sinks
Now only the bottom of the river knows what she really thinks

She made that violin sing with so much pain
You could almost hear her scream through the string's vibrations
What was once sweet and innocent
Is now rotting 'cuz the psychotic father
Chose to probe the flowers of the pure and sacred
Her instrument was her only tongue
To express the infinite abuse in its depths
At night the footsteps crept to her door and she'd begin to shake and weep
And with tears rolling down her cheeks, she's pretend she was asleep
When the nightmare was over, and the sun dawn is light
She'd retreat to the same place she always did
Rip a page from her diary, and write with all her might
Then send it off into the current, determined to find a way to live


Being a victim of her daddy's hands for so long
She lost the will to move on
Sick of picking up her violin to hide from what's wrong
Exhausted, but staying strong
She tried to play the bright side
But couldn't bring herself to make
Nothing but sad songs
Sick of that sick feeling that stays in her stomach
Sick of waiting for a rescue
By someone who found one of her bottles
Sick of being daddy's little secret
She got up at the crack of day
And smashed her violin into pieces
Then proceeded to walk towards the river with a plan
Only this time the diary and bottle was in her hand
Just walk with herself, away from the hell
Not knowing at the river bottom lied all the cries for help
It was weeks before they found her dead body
Some fisherman reeled it from the water
Like something from a detective novel
Diagnosis: suicide, stemmed from desperation
Cause near where she drowned they found about 500 messages in sunken bottles",https://genius.com/Eyedea-bottle-dreams-lyrics
Step by Step,The Many Faces of Oliver Hart or How Eye One the Write Too Think,2001.0,"(I got a little story I'm gonna tell y'all)
See it was September 1st, 1999, the day of my death
My back was on the cold concrete as I took my last breath
I saw my body laying on the ground as my soul hovered above me
Damn Eyedea, you was a good looking cat
But anyway, another day at eighteen years of age
Step into heaven's gate anxious to see what God got to say
Maybe he'll give me a gift for always saying my prayers
But he might send me downstairs for last year's love affair
Well, who cares
You know, right now it's all a mystery
I mean, I'll find out when I get there
Until then I can't let it get to me
I'm keeping my cool, besides, everybody dies
I'll just follow the white light like the do in the movies
It seems like hours went by and I'm still traveling right towards the brightness
Now this ain't heaven or hell, this realm is lifeless
And I hate to say it but this wild goose chase had me bored
No directions, no clues, and no *idea* what I was in for
But then forward I kept floating
And then a quick flash; the lights split directly in half
And created a forked path
Representing each side was an angel
""Now what's the task I have to untangle to meet the big man in charge?"" I ask
And the one on the right of me says
""One of us always lies, and the other one always tells the truth
Ask the right one the right question, and he'll direct you to heaven
But if you ask the wrong one son, farewell you're going straight to""
Well, y'all get the picture
The one on my left told me not to listen to his fibs
He said, ""it ain't that complicated to find out where God lives""
He told me to follow his path and tell God he said hi
Then the one on my right jumped in and told me not to believe his lies
And I'm like Jesus fucking Christ, I didn't care much for life
But I've tried to stay alive forever, if I knew this is what death was like
I was never good at problem solving, especially in emergencies
I get a tad bit nervous when concerned with burning for eternity
But anyways, I asked them which one lied, and they pointed at each other
And thinking I had it, I asked the name of my mother
One said he don't know, the other said he know but he can't tell me
Goddamn this is gonna be hard
So I asked like thirty questions and I still wasn't sure
But being me I got pissed and gave those pricks a few good words
Frustrated with it all
I turned my back to the angels and when I walked away
To my surprise
I found myself in heaven
Ya know I'm saying
Kinda just turned around from the whole situation
Rejecting everything that was going on
That's how I walked into heaven
I walked away, walked away, walked straight into heaven
I walked away, walked away, walked straight into heaven",https://genius.com/Eyedea-step-by-step-lyrics
Soundtrack of a Romance,The Many Faces of Oliver Hart or How Eye One the Write Too Think,2001.0,"It’s amazing how many drugs you find out you actually do
Once you stop doing drugs
You know, you quit eating acid and downing booze
But you still indulge in food, sex, and six billion other nouns
That bury away your so called overall addiction
Right now I’m sitting in a hospital waiting
And I’m using my ability — or, or inability to write, as a drug
It sort of isolates me from the reality of what’s about to happen
I could vividly recall my mood the day that art was murdered
The wind blew a thin layer of dust on my garden burger
Everything you knew was sideways and phallic
The highways traffic added to Friday's madness
The warm wrinkled skin loosely hung off earnest cheekbones
Below eyes designed to bury the wolf under a sheep's clothes
Some peoples sang, a few begged for change
A young girl skipped along with her hand glued to a candy cane
I, however, walked with my back to it as usual
Wanted to turn this dark comedy into a musical
I'm used to reflecting the sorrow the world reflects at me
We're forever intertwined as the anxious and angry
The gloom moves into oxygen, consumed to keep me lost within
A mushroom cloud of toxins deposited to leave the prophets doomed
There I sat on a lead infested picnic table
Waiting to be born, carefully evading mating season's evil horns
I keep performing for the poets and philosophers
But they don't know I was insane before it became popular
I lose something every time I leave my house
Trying to gain something by running my mouth
My conscience don't hold a grudge against my impulse
Honesty should be the best policy but it's not that simple
Have you ever had the sky inject a cloud into your lymph nodes
So all you see is how she gazes through a frameless window?
Everyday I have a new argument with myself
Wonder how I got this far up the ladder
But by now I should have fell
Can't go to heaven, never learned how to pray
Oh well, Rather be in a place with less people anyway
Somewhere between a snare and the extra-tire hogwash
I got caught in a motion of a sex-inspired god talk
My long-lost lover left me to date a real artist
Ain't it strange how the whole story can be told through a guitar rift
I'm a pretentious vendor of invention
It's a demented way of staying the center of attention
Take my advice and never take my advice
I haven't left my own head long enough to really know about life
But I dug dirt out of the ground and found Plato's time capsule
Inside was a note that said, ""sorry I lied""
Part of my pride was dead the second that you talked to me
And I knew that no matter what lied ahead you wouldn't walk with me
So alone I traveled
Clown shoes through dirty speed infested tourist colonies
Tricking revolutionaries into thinking my records
A new age life-insurance policy
Then I'm off
And before they get the chance to give me a dirty look
Their money's spent at Borders on a brand new Krishnamurti book
A sturdy hook deserves a better catch phrase
But I'm only still here because they can't detect
Neurotic tendencies with x-rays
It was a perfect day to sit and watch the wind
Cause the recognition of my insanity
Made me want to be hip-hop again

My facial skin feels like potato chips
And the way these lights reflect of everyone’s nervous expressions
Reminds me of the fourth grade
A whole month just because I couldn’t outrun the enemy (Football's for idiots)
Anyway, so, how do you solve the drug problem?
Just move to the desert, quit everything?
I think the trickiest way addiction manifests
Is through the process of ‘giving it up'
So make music

I make music to ride to, to cry to, to die to
Times two, and finally realize you're alive to
I make music to vibe to, to close your eyes to
Break your mind from each vault that sits inside you
I make music for survival, to find you
To hide from the landscape humanity went blind to
I make music to rhyme to, to waste time to
To die to, to realize I'm alive to

I only pray my lips never follow the ever so hollow descriptions of these pictures in my head that make me sick
I'm the fight between a god-freak and an atheist
That argue the same point no matter which way the conversation drifts
Any human being that believes he's truly happy just found a fake way to escape from his craziness, you know?
I'd trade my dick for a safe place to sit
If I wasn't so afraid of grenades made by spaded patriots
I crave a fix teeth grinded when our hand shakes
So I'm just as approachable as any halfway intelligent sadist is
Mary had a little lamb blood buried in her sacred wall
Til one by one each belief you've ever had raped the bitch",https://genius.com/Eyedea-soundtrack-of-a-romance-lyrics
How Eye One The Write Too Think,The Many Faces of Oliver Hart or How Eye One the Write Too Think,2001.0,"It took me a while to realize that we was on the same page
We just go about reading it out loud in different ways
I ain’t the only person that’s traveled through this maze
Not really sure whether it’s me or them that’s crazy
Making a hole in every simple system to rekindle the vision
That lost its position, that’s cost is superstition
Sitting in a time machine, a bleeding mind dreams
Of beating blind at steam, to give the crime scene shine and gleam
I’m no longer a boy scout
Cause punching myself in the head won't necessarily get that voice out
That’s something no one ever took the time to point out
But I had to learn to whisper before I could enjoy shoutin’
Periodically I feel like I’ve wasted my breath
And all I’ve got to show for it is paper stained ink
But I ain’t really trippin’ at the end of the day
Cause life is experience, and that’s how Eye One The Write Too Think
It’s How Eye One The Write Too Think ya’ll
It’s How Eye One The Write Too Think
It’s How Eye One Write Too Think ya’ll
I think about all the time that I spent trying to find an identity rhyming invents
So then I could defy by the minds penitentiary four corner rooms, a forks in the path
Consume every inch of my inner symmetry to break out the trap essentially distant
Mentally I’ll eventually snap habitually proud dysfunctional prone
Groomed it new where his thought bloomed, tomb is in musical wounds
And my shadow grew to be my only tribune
And it taught me never to abuse a full
Moon is not suitable sometimes you gotta lose control to gain it
Kind of truths to hold the rain that falls don’t bruise my soul
Like it used to, I’m used to it
And now I’m just working on smoothing out the kinks
The circuitry allows some head room before the break
So what do you gotta tell me that I don’t already know?
Just shut the fuck up and let me grow
I learn from my mistakes and eyes widen with each
Disrupt the clinks or call it what you want but this is How Eye One The Write Too Think
It’s How Eye One The Write Too Think ya’ll
It’s How Eye One The Write Too Think
It’s How Eye One Write Too Think ya’ll
I was scared to death barely slept take a breath prepare to step from where I wept to shed my tears till no nightmares were left
I had my years but no one cares to see the prayers and sweat
They just wanna share the nest and earn their percent in turn
Let it burn till the ashes isolate the cold ground
On that I stood but on this I stand and hold down
I used to be the seed of this ghost town but that was then and this is now
That was then and this is now
The war between the old brain and the new brain was won
When the prehistoric forfeited alien strangles reptile and migrates towards inner peace
The caveman dies quiet the cries riots and bias cease
No one saved my seat when I decided to rise and slay the beast
I just shut my eyes and gave my speech
But I never could have known I would become my own missing link
And it feels greater than I thought that’s How Eye One The Write Too Think
It’s How Eye One The Write Too Think X3
After every person Eyedea mentions… he/she/they got the write too think
Check this out…
My man Musab…
My man Ali…
(Los Nas)
ANT…
Sep 7
Big Bad Abilities..
And to my main man Stress..
Jay Bird…
The whole Rhymesayers crew…
And each and every one of you… X3",https://genius.com/Eyedea-how-eye-one-the-write-too-think-lyrics
