title,album,year,lyrics,urls
Yellow Tape,UnKnown,2012.0,"Attention please, attention please
This feel like the whole entire world collapsed

Uhh, this that yellow tape shit - they keep running out of it
We just sold like 8 bricks - we ain't running out of it
This our fucking hood bitch - run yo' ass up out of it
This gun come with eight clips - shoot 'til I run out of it
Work, work, work, I got it
Work, work, work, I got it
Work, work, work, I got it
I got it, I got it

Work, I got it... I got it, WHOOOO...
This that yellow tape shit, me I'm 'bout to go ape shit
Got eight chicks on eight molly's and they about to take eight trips
Dice game, eight trips, got a Houston Rocket from J Prince
She get it poppin, I'm a send her shopping and that ain't even my main bitch
Home invasions, live action, smoker Joe, I'm hijacking
Wrote the dope had my dough, I'll be there, Five Jacksons
Sin City, K.O.D., hundred thousand all in one's
Versace jacket, Versace shoes, Versace shades, I got a thousand suns
Mama you the shit I'll pay your car note
Why you fucking with him? Even his car broke
We rocking Balmain's down to the cargo's
Your bitch so thirsty, Murcielago

Uhh, this that yellow tape shit - they keep running out of it
We just sold like 8 bricks - we ain't running out of it
This our fucking hood bitch - run yo' ass up out of it
This gun come with eight clips - shoot 'til I run out of it
Work, work, work, I got it
Work, work, work, I got it
Work, work, work, I got it
I got it, I got it

Yeah, WHOOP! WHOOP! WHOOP!
Call me Joey I'm a Bada$$, Harlem world like Baghdad
Come through with a black flag and Supreme Vans, the Half Cabs
Bitches on that Pad-ad, fuck her with her fat ass
I get-gets my dick licked, my friends hit (That's swag swag)
What the fuck you mean, I be sitting clean sipping lean
Alexander Wang, that's the fucking jeans, triple beam
When I serve the fiends, hit you with the beam chopper scream
Leave a nigga dead fucking with the team, magazine
Choo-Choo that train go, drink slow, my chain gold
Soo-Woo or you true blue, don't get your block yellow taped off
Eight bricks get it shaved off, yeen ho yeen' know
Range Rove or the bank
Roll, I shoot-shoot then change clothes

Uhh, this that yellow tape shit - they keep running out of it
We just sold like 8 bricks - we ain't running out of it
This our fucking hood bitch - run yo' ass up out of it
This gun come with eight clips - shoot 'til I run out of it
Work, work, work, I got it
Work, work, work, I got it
Work, work, work, I got it
I got it, I got it

Han! Han! Han! Work
Work
Work
Work
Work
Work
Work
Work
Work
I got it
I got it
I got it
You know we loaded with them choppers by the hundred boy
When you talk about that work, you niggas unemployed
White work, I got it (got it), brown work, I got it (got it)
2 Chainz, show your Tity ho, damn right I got it
Just copped about eight bricks, just copped about eight whips (haah)
Copped work from Saint Nick (haah), your whole stash like eight nicks (AAAH!)
Smoke that loud and keep it quiet, let that money talk
Get that brown bag and I skate off like I'm Tony Hawk
Benz drop my top back, your bitch look, I slide that
To the South Bronx and I pop that; she call you for that ride back (Haan)
South Bronx we got it (got it), Joe Crack we got it (got it)
Black card no limit ho, damn right we 'bout it
Coke Boy, Joe Crack

Uhh, this that yellow tape shit - they keep running out of it
We just sold like 8 bricks - we ain't running out of it
This our fucking hood bitch - run yo' ass up out of it
This gun come with eight clips - shoot 'til I run out of it
Work, work, work, I got it
Work, work, work, I got it
Work, work, work, I got it
I got it, I got it",https://genius.com/Fat-joe-yellow-tape-lyrics
What’s Luv?,Jealous Ones Still Envy (J.O.S.E.),2002.0,"[Intro: Fat Joe & 
Ashanti
]
Put the fuckin mic on..
Mic is on?
Joe Crack the Don, uh!
Uh.. 
Irv Gotti!
What's love?
Ashanti, Terror.. 
Terror Squad
It should be about us, be about trust

What's love? (Got to do, got to do with it, babe)
What's love? It's about us, it's about trust, babe
What's love? (Got to do, got to do with it, babe)
What's love? It should be about us, it should be about trust, babe
What's love?

Yeah, uh, uh, uh
Woo! Yeah, slow down, baby
Let you know from the gate I don't go down lady
I wanna chick with thick hips that licks her lips
She can be the office type or like to strip
Girl, you get me aroused how you look in my eye
But you talk too much, man, you're ruinin' my high
Don't wanna lose the feelin' cause, the roof is chillin
It's on fire and you lookin good for the gettin'
I'ma, rider, whether in a hoodie or a linen
A provider; you should see the jewelry on my women
And I'm, livin' it up, the Squad stay fillin the truck
With chicks that's willin' to triz with us, uh
You say you gotta man and you're in love
But what's love gotta do with a little menage?
After the par-tay, me and you
Could just slide for a few and she could come too
That's love!

What's love? (Got to do, got to do with it, babe)
What's love? It's about us, it's about trust, babe
What's love? (Got to do, got to do with it, babe)
What's love? It should be about us, it should be about trust, babe
What's love?

Yeah, uh - yeah.. yo, uh, yo
Mami I know you got issues; you gotta man
But you need to understand that you got somethin' with you
Ass is fat, frame is little
Tattoo on your chest with his name in the middle, uh
I'm not a hater, I just crush a lot
And the way you shake your booty, I don't want you to stop
You need to come a little closer... (Come a little closer)
And let me put you, under my arms like a Don is supposed ta
Please believe, you leave with me
We be freakin' all night like we was on E
You need to trust the God and jump in the car
For a little hard eight at the Taj Mahal
What's love?

What's love? (Got to do, got to do with it, babe)
What's love? It's about us, it's about trust, babe
What's love? (Got to do, got to do with it, babe)
What's love? It should be about us, it should be about trust, babe
What's love?

Yeah, uh, yo
Yo I stroll in the club with my hat down
Michael Jack style
, hot steppin', who the mack now?
Not my fault cause they love the kid
Might be the chain or the whip, I don't know what it is
We just party and bullshit
; c'mon mami
Put your body in motion, you got a nigga open
You came here with the heart to cheat
So you need to sing the song with me
All my ladies come on

When I look in your eyes, there's no stoppin' me
I want the Don Joey Crack on top of me (Uh-huh)
Don't want your stacks just break my back (Yeah)
Gonna cut you no slack, cause I'm on it like that (Uh, woo, uh)
Come on (Yeah yeah, y'all)
And put it all (Yeah yeah, y'all) on me (Put it on ya, girl)
On me (I'ma put it on ya, girl)

What's love? (Got to do, got to do with it, babe)
What's love? It's about us, it's about trust, babe
What's love? (Got to do, got to do with it, babe)
What's love? It should be about us, it should be about trust, babe
What's love? (Got to do, got to do with it, babe)
What's love? It's about us, it's about trust, babe
What's love? (Got to do, got to do with it, babe)
What's love? It should be about us, it should be about trust, babe
What's love?",https://genius.com/Fat-joe-whats-luv-lyrics
Another Round,UnKnown,2011.0,"Don't you be holding back your love
Don't you be holding back (don't you, don't you)
Don't you be holding back your love
Don't you be holding back
'Cause in the end, girl, you're gonna want another round, another round (another round, another round)
Girl, you're gonna want another round, another round (another round, another round)
I used to want you and her and her and her and you and her and her
I used to want you and her and her and her, now all I want, all I want is you
[Post-Chorus: Chris Brown, 
Fat Joe
 & 
Both
]
Shawty got a mean walk
, 
a mean shoe game
Bitch badder than any bitch that you name
I'm talkin' Janet
,
 yeah, 
maybe Kim K
I heard Rihanna, she like it kinky
,
 baby, 
come on

Quit playin', girl, you know that you want it
I can tell just by the way you push it out and flaunt it, you bad
Somethin' like Dirty Diana
, body dope as heroin
The sex is off the handle
Your ex couldn't beat it
, 
I hit it like a free throw
And since I lost some weight you say I got a big ego (I got a big ego)
It's too strong, you said the drive stick
Well, baby, just peel off
Lovin' how it lasts long, leave the sheets gushy
Fuck you with the mask on, Halloween pussy (haha)
Your body shivers and troubles with each and every stroke
Pussy wetter than ever, enough to sink a boat

Don't you be holding back your love
Don't you be holding back (don't you, don't you)
Don't you be holding back your love
Don't you be holding back
'Cause in the end, girl, you're gonna want another round, another round (another round, another round)
Girl, you're gonna want another round, another round (another round, another round)
I used to want you and her and her and her and you and her and her
I used to want you and her and her and her, now all I want, all I want is you
[Post-Chorus: Chris Brown, 
Fat Joe
 & 
Both
]
Shawty got a mean walk
, 
a mean shoe game
Bitch badder than any bitch that you name
I'm talkin' Janet
,
 yeah, 
maybe Kim K
I heard Rihanna, she like it kinky
,
 baby, 
come on
[Verse 2: Fat Joe & 
Chris Brown
 & 
Both
]
Never hesitate, purchasin' in every state
Transported in foreign cars to large estates
So believe me, you know you wanna come home, girl
As long as we can kick it with your home girl
A two on one fast break, that's a slam dunk
I know you want it, 
I can take you where ya man won't 
(yeah)
Champs, Alize
, 
think Rolls Royce 
(yeah)
Yellow Nuvo and pink boy shorts

Don't you be holding back your love
Don't you be holding back (don't you, don't you)
Don't you be holding back your love
Don't you be holding back
'Cause in the end, girl, you're gonna want another round, another round, yeah (another round, another round)
Girl, you're gonna want another round, another round, ooh (another round, another round)
I used to want you and her and her and her and you and her and her
I used to want you and her and her and her, now all I want, all I want is you

Girl, you got that bomb thing, no, I can't resist
I'ma light them candles, girl, 
then tie up your wrists
Then I'm licking chocolate right off of your stomach
Baby, you ain't handled freaky shit like this
And I start dripping ice down ya spine, oh, oh
I'ma make you mine
And now you're telling all your girls I done tore it up
So don't be mad that they all want me, there's room for all of us

Don't you be holding back your love (yeah, ooh, yeah, ooh)
Don't you be holding back (don't you, don't you)
Don't you be holding back your love (don't you, don't you)
Don't you be holding back
'Cause in the end, girl, you're gonna want another round, another round, oh (another round, another round)
Girl, you're gonna want another round, another round (another round, another round)
I used to want you and her and her and her and you and her and her (you and her and her, her)
I used to want you and her and her and her, now all I want, all I want is you (her)

Shawty got a mean walk, a mean shoe game
Bitch badder than any bitch that you name
Go, girl, yeah, just shake it
I want you, baby, naked",https://genius.com/Fat-joe-another-round-lyrics
So Excited,UnKnown,2017.0,"Salam Aleikum Joe
Whenever you're in Dubai
We have a zoo in the house
We got tigers called Tyga and Kylie
We living life!

Yeah, uh
Pulled up in the big boy drop to the big boy yacht
Too many Patek Phillipes, I make the big boys watch
Villa suites in the Fendi chateau
Now ask Big Meech what he know about Joe
I'm fly like Ye, get mines with Jay
Got every pretty bitch tryna ride my wave
Gotta have slim waist and the face Sade
Lay up in the crib and menage all day
Went from nothin' to somethin', now I'm pushin' the button
To the Wraith and the jewelry like a safe
It's a hundred on the hate, but I'm zoned on the cake
When I'm gone I'm gonna miss y'all like the gold on the Cristal
Hit Avi, told him switch dials
Green prawns in Philippe Chow
It ain't shit to me
No Drake, but the P is free
She got cake, well it's somethin' to see, right

All I know is how to keep it super clear
Good head on your shoulder, damn it's super there
When you send a text, I get so excited
Yeah, I got a new flex and I think I like it
Yeah, all I know is how to keep it super clear
Good head on your shoulder, damn it's super there
When you send a text, I get so excited
Yeah, I got a new flex and I think I like it

Ooh yeah, yeah, yeah, yeah, I'm so excited
Yeah, I got a new flex, add it to the cypher
Yeah, I got a new flex and I'm so excited
Yeah, got a new flex and I know I like it

Ever got head in the Wraith? Well it's outta this world
You don't believe me? Then ask your girl, keep it a hundred
All she wanted was a real nigga
I'm prayin' every day not to kill niggas
Blocka!
Everything Fendi from the lights to the sofa
Everybody fly, put Fendi on the chauffeur
So sentimental, make her cry when it's over
Biggie, ""Hypnotize,"" still feel her thighs on my shoulder
Throw money at these hoes but I don't do dances
Keep threesomes on my mind like the hat on the Chance kid, woo!
Yeah we back at the Grammy's
And this time I'm bringin' back home three for the family, right

All I know is how to keep it super clear
Good head on your shoulder, damn it's super there
When you send a text, I get so excited
Yeah, I got a new flex and I think I like it
Yeah, all I know is how to keep it super clear
Good head on your shoulder, damn it's super there
When you send a text, I get so excited
Yeah, I got a new flex and I think I like it

Ooh yeah, yeah, yeah, yeah, I'm so excited
Yeah, I got a new flex, add it to the cypher
Yeah, I got a new flex and I'm so excited
Yeah, got a new flex and I know I like it

Hey, bitch so bad I could risk it all
If you don't want no problems, boy don't get involved
Now everything ain't Gucci, this a different star
I'm about to go Carmelo, boy and risk it all
Bitch so bad I could risk it all
If you don't want no problems, boy don't get involved
Now everything ain't Gucci, this a different star
I'm about to go 'Melo, ayy

All I know is how to keep it super clear
Good head on your shoulder, damn it's super there
When you send a text, I get so excited
Yeah, I got a new flex and I think I like it
Yeah, all I know is how to keep it super clear
Good head on your shoulder, damn it's super there
When you send a text, I get so excited
Yeah, I got a new flex and I think I like it

Ooh yeah, yeah, yeah, yeah, I'm so excited
Yeah, I got a new flex, add it to the cypher
Yeah, I got a new flex and I'm so excited
Yeah, got a new flex and I know I like it",https://genius.com/Fat-joe-so-excited-lyrics
Pride N Joy,UnKnown,2012.0,"And even if she all about the money, I don't really care, care
I got a lot of money, it's enough of it that we can share, share
And even if she all about the money, I don't really care, care
I got a lot of money, it's enough of it that we can share, share
(But she still my pride and joy)
[Verse 1: Fat Joe & 
Kanye West
]
Court side at the Knick game, who the don?
Plus I worked on your kick game, Louboutin
Birkin bags made of python
She a beautiful nightmare
Turn the lights on, still my pride and joy
So I could see that ass
Word to Martin Louie the King, 
she free at last
Word to my nigga Joe Crack, you let her hold some stacks
Yeah, before we go to the club, she wanna go to Saks
Still my pride and joy, joy, joy
I let her get the gold card, I'mma hold the black
I let her get the black card, I couldn't hold her back
Cause back in the backyard she used to hold the crack
So I cut them other hoes off like the culdesac
Huh, now what cold is that?

I ain't never felt a feelin' like this, I need, some more
You gon' have to show me more
Before you steal my pride and joy
What's goin' on with me and you, is real, for sure
But you gon' have to show me more
Before you steal my pride and joy
Before you steal my pride and joy

Yeah, uh, yeah, uhh
I ate dinner after, share with another, yo
She love women and she keeps it undercover, yo
And I love women, so she brings them under covers, yo
Fight then we fuck again, I swear I really love her though
But you're still my pride and joy, and joy, and joy
Don't wanna be a player, help her find another Joe
Just to prove I love her, I use rubbers on my other hoes
And if she ever find out it'd be another blow
And that only me that I'mma have to hit another store (
my pride and joy
)
Spend another knot, hit another lot
That's how you know if you are in love or not
Bought her moms a whip on Mother's Day
Now I gotta get her the same whip her mother got
Pass the Nuvo Mach

I ain't never felt a feelin' like this, I need, some more
You gon' have to show me more
Before you steal my pride and joy
What's goin' on with me and you, is real, for sure
But you gon' have to show me more
Before you steal my pride and joy
Before you steal my pride and joy

And even if she all about the money, I don't really care, care
I got a lot of money, it's enough of it that we can share, share
And even if she all about the money, I don't really care, care
I got a lot of money, it's enough of it that we can share, share
And even if she all about the money, I don't really care, care
I got a lot of money, it's enough of it that we can share, share
And even if she all about the money, I don't really care, care
I got a lot of money, it's enough of it that we can share, share
And even if she all about the money, I don't really care, care
I got a lot of money, it's enough of it that we can share, share",https://genius.com/Fat-joe-pride-n-joy-lyrics
Make It Rain,"Me, Myself & I",2006.0,"Ooooooowwwwwwww! (Ha ha, chyeah)
Scotty (chyeah)
Let's make it rain on these niggas (Joey Crack)

Yeah, I'm in this bitch with the Terror
Got a hand full of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) 
I'm in this bitch with the Terror
Got a handful of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
Oww!

Cr-Cr-Crack, Crack, Crack, Crack, Crack, you hear the echo
Man I seen the best go, cause he ain't had that metal
I'm a hustler hustler, a pusher's pusher
You a buster, a customer
, I get you some cook up
Yeah Crack is a chemist, I pack an eleven
I'm mackin' the seven, I'll clap at your reverend
I see you in N-Y, I'll send you an invite
You gon' need you a pass, that's the code that we live by

Yeah, I'm in this bitch with the Terror
Got a hand full of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) 
I'm in this bitch with the Terror
Got a handful of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
Oww!

Clap, clap, clap
Gotta make that ass clap, gotta make that ass clap
Clap, clap, clap, clap (yeah)
Gotta make that ass clap (yeah) gotta make that ass clap (yeah)

Now why's everybody so mad at the South for?
Change your style up, switch to southpaw
Jada, I was listenin'
So I made 'em a anthem to make some dividends
Lil' mama try hit me with that 
shoulder lean
This cut co Crack and I control the team
Couple bricks stacked on that triple beam
My dirty bro sippin' that promethazine
That ganja green, that Cali weed
A nigga lose his life tryna roll on me
Now, yup yup, we get it, no if ands about it
And the rain keep fallin', even when it's droughted

Yeah, I'm in this bitch with the Terror
Got a hand full of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) 
I'm in this bitch with the Terror
Got a handful of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
Oww!

Mami's body's bangin', she got it, man she does it all
She gets it poppin' with no hands, I make it pour
I make it rain on 'em, I'm layin' game to 'em
I got some misses to tattoo my name on 'em
Gotta get that baby love, gotta get my paper up
Got a stay strapped asap case y'alls hate Crack and wanna rain on us
And you know what it is, yeah it's them powder kids
And we know how to bid, so we don't give a shit

Yeah, I'm in this bitch with the Terror
Got a hand full of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) 
I'm in this bitch with the Terror
Got a handful of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
Oww!

Calca, TS, BX niggas
Khaled! Scott Storch, my nigga, yeah
Tony Sunshine, I see you nigga",https://genius.com/Fat-joe-make-it-rain-lyrics
John Blaze,Don Cartagena,1998.0,"My stripes show like regiments, military intelligence
Murder game, I leave no evidence, credentials
Go ask my pre-school, even talk to my old principal
He'd tell you how you I used to pack a No. 2 pencil
Stabbin' students, grabbin' teachers, Catholics, preachers
In the school staircase, cuttin' class, passin' my reefer
In my own class, operation return, they tried to say
I was incompetent, not able to learn
The table turned now, got my own label I earned
Like that nigga said in Dead Presidents, ""Money to burn""
Queensbridge, pay homage respect, Nas is a vet
Acknowledge the rep, polish baguettes
Niggas is this and that, I'm just the best
Puttin' all violence to rest between Latin Kings and blood
Los sangres, blood in Spanish
So many thugs vanish
Unite the system to fight with inner street wisdom to help teach in prison

My crew puff lye, anyone test the Pun must die
Just give me one try
Now you know you done fucked up, right?
Hah, you ain't got no wins in mi casa
¿Qué te pasa? You ain't even in my clase
I hate an actor that plays a rapper
I'm Terror Squad beta kappa, everybody's favorite rapper
Grand imperial, college material, insane criminal
The same nigga who known to blow out your brain mineral
I reign subliminal inside your visual
Try to supply your physical with my spiritual side of this lyrical
I'll appear in your dreams, like Freddy do, no kidding you
Even if I stuttered, I would still sh-sh-shit on you
Soon as I chitter chatter, your shit'll shatter
I'm the kid out of Bronx that'll stomp you to death like it didn't matter
I'm even better than before, iller metaphors
Killers bet it all on Pun, 'cause one verse dead 'em all

J-J-J-John Blaze
Ja-Ja-ah-John Bla-Blaze
J-Ja-J-Ja, John Blaze
Johnny Blaze ain't a damn thing changed

Ayy yo, my attitude is subject to change
I mess around and spit twelve at the driver's side door of your Range
Six hit you, the other six up in your dame
Mafia style, leave you with your watch and your chains
So take heed that not only can I flow I can aim
'Cause y'all misdemeanor niggas can't stand the reign
Better believe that, whenever I see y'all I'ma test ya
Only 'cause I know that faggots respect pressure
Hardcore, like shit you get kicked out the yard for
Kiss ain't the cops, but I lock niggas up
You could meet me in my cell, I soap and sock niggas up
Far as the flow go, you could let your dough show
Put your money on the table, we could battle on cable
Y'all hot dog niggas get Nathan's
Fuck around with Jason, that shorty from The Lox, John Blazin

My son cool out (What)
Don't beef, yo, throw the tool out
Let's run these niggas, kidnap they work, make 'em move out
Crushed hash, hands is like glass
Keep the heat in the dash
Did some dirt for some work, caught a gash
The flicker blocker, wicked sneaker rocker footwear
Strike me out, God, stackin' up joints, rack 'em like Footlocker
This is raw, raw like fuck kid, represent here to Crenshaw
Hold my words stronger than a Benz store
Relentless, the anthology consolidated with the quickness Dress up in the wig and blouse, killer sickness
Lex imagination large, gold cards
Beat the bogus squad brains that connect, put on the Older God
Specialist, iciclist, Woolrich collar
Feelin' the rich, work for every dollar, don't snitch
That's why broke niggas who got heart, God, sign 'em up
Start the wind up, we John Blazin, don up in the line up

J-J-J-John Blaze
Ja-Ja-ah-John Bla-Blaze
J-Ja-J-Ja, John Blaze
Johnny Blaze ain't a damn thing changed

It's simple mathematics, you gotta love us
'Cause Joey Crack plus gat equals a lotta dead motherfuckers
Just when you thought I was done, I recruited Pun
Terror Squad Enterprise, undisputed Dunn
I'm from the slums where it's worse, bust with guns 'til it hurts
For fuckin' with my funds on the first
And go to church like a mobster
Discuss your death over shrimp and lobster
With my Cuban partners
Lucas with the cartridge, twenty shot
Run up on any block, disrespect any cop
Used to run many spots, now I own shops
Gortex with the lock, five sixty-four bills a pop
I'm hot, who wanna get burned?
I fire one in your knot and watch your whole fuckin' head turn
You best learn to parley, I've had a hard day
Fuck around with the Don and get John Blazed

J-J-J-John Blaze
Ja-Ja-ah-John Bla-Blaze
J-Ja-J-Ja, John Blaze
Johnny Blaze ain't a damn thing changed
J-J-J-John Blaze
Ja-Ja-ah-John Bla-Blaze
J-Ja-J-Ja, John Blaze
Johnny Blaze ain't a damn thing changed",https://genius.com/Fat-joe-john-blaze-lyrics
Fat Joe vs. George (Scary Movie 3 Rap Battle),UnKnown,2003.0,"These guys can't be serious right here
Stan and Mini-Me
A.K.A. I hope he ain't
The one you fight with
Hey, yo
This nigga's mad corny
And ain't got no skills
Cause he's all right, but he's not real
Don't mean to hurt your feelings, but you'll never get a deal
Cause he's all right, but he's not real
You're a needle in a haystack
I'm the don the city slicker
Forget cows and milk your moms
Her titties give ya
That elixir
Thought he wasn't?
Bet this nigga end up having kids with his cousin
Half-retarded
My number-one fan be like
(Stammers)
That means Fat Joe's the man
You're a liar in denial
Kill your ass quicker
Than I died in ""Empire""
How dare you want to joust with me?
Looking like you dying of SARS
 or mad cow disease
You fake B-Rabbit
Out to battle me
Eight Mile's down the road
The farm's that away
“drops mic”

(Note plays)
Bitch
(Lower note plays)
Ho
(Notes playing)
Now everybody in the 202
Throw your hands in the air cause Fat Joe is screwed
Now everybody in the 202
Throw 'em up
Check it out
I'm a white boy
But my neck is red
I put Miracle Whip
On my Wonder Bread
My face is pale
Nah, I've never been in jail
Me and Buffy spend every winter at Vail
How many bitches have I slapped?
Zero, unh
And Martha Stewart happens to be my hero
I grew up on a farm and I was born with no rhythm
Dr. Phil's my uncle and I like to hang with him
I can't dance
I wear khaki pants
My middle name's Lance
My grandma's from France
So maybe I'm wack
Cause my skin ain't black
But you can't talk smack
Cause whitey just struck back
“drops mic”",https://genius.com/Fat-joe-fat-joe-vs-george-scary-movie-3-rap-battle-lyrics
Ballin’,UnKnown,2013.0,"That Hublot, that king size Hublot

Ballin', dribble dribble shoot, swish
Ballin', do it like this, bitch
Ballin', steppin' out of Saks, Fifth
Ballin', every day is Christ-mas
Ballin', cash rules everything around me
Ballin', cash rules everything around me
Ballin', cash rules everything around me
Ballin', if you ain't gettin' money get from round me (Ballin')

Yeah, uh, it's Crack... yeah, uh
No matter the weather, can’t imagine it better
Got me lookin’ for Claire in the Bill Cosby sweater
Hundred bottles is better and they come in those cases
I’m talkin’ peoples and places, we make it light up like Vegas
Ugh, I swear this bitch is dumb as shit
But her ass is even dumber
Now that's dumber and dumber; how to take off a summer
Took a flight out to Russia, we even flew out her mother huh
Fuck you niggas talkin’ bout?
At the Rucker, I was about to bring Jordan out
They want to get Coke wet cause of my fan base
I used to get coke wet, I had to fan base

Ballin', dribble dribble shoot, swish
Ballin', do it like this, bitch
Ballin', steppin' out of Saks, Fifth
Ballin', every day is Christ-mas
Ballin', cash rules everything around me
Ballin', cash rules everything around me
Ballin', cash rules everything around me
Ballin', if you ain't gettin' money get from round me (Ballin')

Uhh, T.S. what tup?
(Hahahaha... you know I'm young and rich)
O Versace shades and some OG J’s
Keep some OG blaze cause that’s what got me paid
Rockin all this Wang, they look at me strange
Lots of Damier when I'm on the plane
Ridin’ through the city me and Joe Crack
A pound of what I’m puffin’ cost you four stacks
Niggas get it twisted cause my tour selled
What the fuck you think a nigga was before rap?
And my crib is new and I talk shit in my interviews
And my wife called my interludes, I don't break laws I just bend the rules
Got racks might spend a few
Couldn’t walk a day in my shoes, got my own day you seen it in the news
Presidential smoke presidential Rolee'
Porsche 911, picture me rollin’
Poppin’ champagne OG kush-a-holic’
Put that in your phone, whether you call it

Ballin', dribble dribble shoot, swish
Ballin', do it like this, bitch
Ballin', steppin' out of Saks, Fifth
Ballin', every day is Christ-mas
Ballin', cash rules everything around me
Ballin', cash rules everything around me
Ballin', cash rules everything around me
Ballin', if you ain't gettin' money get from round me (Ballin')

Yeah, uh...
Hahahaha, coke up in her bra
Nerve of you all a crip is a Colliseum
Olajuwon nigga I just Akeem
Worry about the bell, my niggas they got to free em
Champagne dreams and broke pockets
This why we call em niggas false prophets
Ballin’, bitch I'm fuckin ballin’
You can call me Spalding or maybe even Rawlings
Met her at the Esseses over there in New Orleans
She said she kinda shy but her body keep callin’
Yeah they keep callin’, I ain't even into them
Niggas jump ship, Pirates of the Carribean
Tell Wiz roll and smoke foggin’ my glasses
Niggas is my sons, I should claim em on my taxes
Look how big her ass is, I think she got the Nicki plan
(Ballin’) but I ain't passin' or dribblin’

Ballin', dribble dribble shoot, swish
Ballin', do it like this, bitch
Ballin', steppin' out of Saks, Fifth
Ballin', every day is Christ-mas
Ballin', cash rules everything around me
Ballin', cash rules everything around me
Ballin', cash rules everything around me
Ballin', if you ain't gettin' money get from round me (Ballin')",https://genius.com/Fat-joe-ballin-lyrics
Hold You Down,All or Nothing,2005.0,"Now you been holding me down mm
For such a long time now
From back then to now in my story
Straight from the hood
You've always been there for me
And you had my back when they
Back when everybody said I wasn't anything
It was you that kept me holding on
No matter what was going on
So whatever you need I got you yeah

Reminiscing that 6 train from way back
Now it's skyblue Phantoms and stretch Maybachs
For sweepin them floors in them Bronx apartments
Mira esta que on that red carpet
When Pun died you was the first to call me
I never told you
But you was there for me
Whatever you need, I be there for you
Crack, I got ya back, for real, true story

Now my loyalty will always be
With you if you just promise me
That you'll stay real just like you are
Cuz baby you don't have to change no...


You don't know how much you mean to me
Whenever your down you know that you can lean on me
No matter the situation, boy I'm gon' hold you down

You don't know how much you mean to me
Whenever your down you know that you can lean on me
No matter the situation, girl I'm gon' hold you down

Yo, 2005, Rakim and Jody Watley
Watch me paint a picture so perfect
Quite possibly
The realest fresher from BX to Southbeach
I'mma always hold you down, girl
You can count on me

So remember this whenever I call
We go back too far, we been through it all
Even though, we haven't spoke in so long
Ain't nothing change, not a damn thing baby

Now my loyalty will always be
With you if you just promise me
That you'll stay real just like you are
Cuz baby you don't have to change no...


You don't know how much you mean to me
Whenever your down you know that you can lean on me
No matter the situation, boy I'm gon' hold you down

You don't know how much you mean to me
Whenever your down you know that you can lean on me
No matter the situation, girl I'm gon' hold you down

Like *something somethin*
This industry
Yeah my father made me this way
Get between me and J-Lo
I simply stay
You better off sweepin leaves on a windy day

So I don't care about the situation
I'mma ride for you
If there's a complication
Cuz everytime you had my back and all
When we were young
And now you're Joey Crack and all

Now my loyalty will always be
With you if you just promise me
That you'll stay real just like you are
Cuz baby you don't have to change because...


You don't know how much you mean to me
Whenever your down you know that you can lean on me
No matter the situation, boy I'm gon' hold you down

You don't know how much you mean to me
Whenever your down you know that you can lean on me
No matter the situation, girl I'm gon' hold you down

You don't know how much you mean to me
Whenever your down you know that you can lean on me
No matter the situation, I'm gon' hold you down

You don't know how much you mean to me
Whenever your down you know that you can lean on me
No matter the situation, I'm gon' hold you down

You down
Down, down, I'm gonna hold you down",https://genius.com/Fat-joe-hold-you-down-lyrics
