title,album,year,lyrics,urls
I’ll Be,Ill Na Na,1997.0,"That's right, papa, that's right
How we doin', yeah, Ill Na Na
Uh huh, uh, come on

What up pop? brace yourself as I ride on top
Close your eyes as you ride right out your socks
Double, lose his mind as he grind in the tunnel
Wanna give me the cash he made off his last bundle
Nasty girl, don't pass me the world
I push the V, not the backseat girl
Don't deepthroat for c-notes, she floats
Murder she wrote and keeps the heat close
Firm nigga, we 'posed to be the illest on three coasts
Familia, bigger than Icos
Y'all Danny DeVitos, small niggas
All I see is the panty eaters, that's all, niggas
Loan sharkin' this year, raise the figgas
Fifteen percent make the whole world sit up
And take notice, Na Na take over
Y'all take quotas to hit papa

Straight out the gate y'all, we drop hits
Now tell me, how nasty can you get
All the way from the hood to your neck of the woods
It's ripped, one thing for sure
(I'll be good)
That's right we drop hits
Now tell me, how nasty can you get
All the way from the hood to your neck of the woods
It's ripped, one thing for sure
(I'll be good)

I'm too live, nasty as I wanna be
Don't shake your sassy ass in front of me
'Fore I take you there and tear your back out
That shit ain't happened since The Mack was out
I'm Lola Falana, dripped in Gabbana
Nineties style, the finest style
Right away it's the fit, wanna taste the shit
Put me on the basin, throw your face in it, fucker
Na Na, y'all can't touch her
My sex drive all night like a trucker
Let alone the skills I possess
And y'all gon' see by these mil's I possess
Never settle for less, I'm in excess
Not inexpensive VVS
To the two, that's just the way I'm built
Nasty, but classy, still

Straight out the gate y'all, we drop hits
Now tell me, how nasty can you get
All the way from the hood to your neck of the woods
It's ripped, one thing for sure
(I'll be good)
That's right we drop hits
Now tell me, how nasty can you get
All the way from the hood to your neck of the woods
It's ripped, one thing for sure
(I'll be good)

Well you can hold what I got, roll with the Roc
A-Fella capo in the candy apple drop
Will tears fall to your ears if I don't stop?
Can ya throw it like a quarterback, third and a lot?

Dig me, I'll get you locked like Biggie with herb in the spot
Word middie, the cop 'n biddie
Uhh, I'm the bomb-diggy, punana
Sexy brown thing, uh, Madon' y'all
Make 'em turn over from the full-court pressure
To undress ya and shit all over your asses
I ain't playin' knockin' out at the weigh-in
I'm sayin', what's the sense in delayin'
I'm tryin to run G from the P to the A.M
I saw your little thing now I'm swayin', OK'in

Straight out the gate y'all, we drop hits
Now tell me, how nasty can you get
All the way from the hood to your neck of the woods
It's ripped, one thing for sure
(I'll be good)
That's right we drop hits
Now tell me, how nasty can you get
All the way from the hood to your neck of the woods
It's ripped, one thing for sure
(I'll be good)",https://genius.com/Foxy-brown-ill-be-lyrics
Get Me Home,Ill Na Na,1996.0,"Uh, yeah
(Ay-ayy)
Firm biz
, what it is, Blackstreet
Na Na, steady rise, peep that out
Oooh, 
(baby)
Gotta get you home with me tonight
(Gotta get you home)

Hold up, let's take it from the top, I Fox
Gets my swerve on, floss pure rocks
In the six drop boo and it don't stop
See money lookin' alright, yeah, what up Pop?
Cross the room throwin' signals, I'm throwin' 'em back
Flirt-in 'cause I digs you like that
Peep baby boy style, hopin' we match
You sent me Crown Royale with a note attached
It said, ""You look like the type that know what you like""
I could tell by the je-wels you go for the ice
Plus you wear the shoes well, the suit flows nice
I don't like the notes too well, let's be more precise
Meet me by the VIP, let's pow-wow
Whisper in my ear like, ""Boo, let's bounce now""
I'm 'bout to say peace to my mans for you
When it's all said and done I got plans for you
He said

Oooh baby
(Gotta get you home with me)
Gotta get you home with me tonight
Uh-oh, uh-oh
Oooh baby
Gotta get you home with me tonight
C'mon, c'mon

At the bar high-post, frontin', I toast
Gettin' my flirt on, playa, ain't nothin'
You tryna say the right words to get us out of here
Jackpot, what he said, ""It's bullshit in here""
And his smile blind like the shine on his necklace
Mind tellin' me no, body tellin' me exit
Breasts said yes, give me more wet kisses
Uh, twist my body like the Exorcist, hey
The way he licked his lips he was mackin'
True thug passion, I'm like, ""Slow down before you crashin'""
Never mind him, he ain't thinkin' 'bout you
Or the way we sex, on the villa up in Malibu
Marry who? Daddy please
I'm takin' it all from the stash to the keys, so let me see
Boo, I'm 'bout to dead my mans for you
When it's all said and done I got plans for you
He said

Oooh baby
(I need you, want you in my life)
Gotta get you home with me tonight
(Gotta get you home with me tonight)
Uh-oh, uh-oh
Oooh baby
(Baby, I need you right here)
Gotta get you home with me tonight

Grabbed me by the hand and led the way
Outside of the club talkin' to valet
Mind started to stray million miles away
Contemplatin' goin' back to his crib to par-lay
Jumped in the passenger seat, relaxed my feet
As he threw on Blacksteet casually
And we cruised the metro, on premium petrol
Eyes sized up my thighs and couldn't let go
Ta-Ta's perkin', you're makin' me high like Toni
Work me, take me, I'm hot
I thought for a second and then my mind went
Sex all around the car, isn't it ironic?
Back to reality, the Soul II Soul
Breathin' heavily but still in control
Wants the shy girl role, put my hand on his leg
With sex in his eyes, he turned and then he said

(Tonight baby)
Oooh baby
(C'mon, c'mon, Foxy c'mon)
Gotta get you home with me tonight
(Whatever you want me to do)
Uh-oh, uh-oh 
(do it for you, baby)
Oooh baby
(I need it in my life)
Gotta get you home with me tonight",https://genius.com/Foxy-brown-get-me-home-lyrics
Oh Yeah,Broken Silence,2001.0,"Why Yoooooooo, Why yo yo yo
Why Yoooooooo, Why yagga ya yo
Why Yoooooooo, Why yo yo yo
Why Yoooooooo, Why yagga ya yo (yagga yo)

I'm the most critically acclaimed, rap bitch in the game
Coast to coast, stash the gat in holster girl
Dark skinned, Christian Dior poster girl
I'm a rockin Timbs bitch and the Gucci loafers girl
Niggas say I'm too pretty to spit rhymes this gritty
Fuck y'all thought? Be dancin around in suits like I'm {​Diddy}​
Pretty, show niggas how we run this city
Respect my name, Boogie nigga, stay in ya lane
Like The Hurricane, rains on bitches like Sugar Shane
And dare one of y'all rappin chicks to mention Fox name
""What's Beef?"" Beef is when bitches think it's sweet
See I'm frontin' in the streets and let my gat meet ya

Why Yoooooooo, Why yo yo yo
Why Yoooooooo, Why yagga ya yo
Why Yoooooooo, Why yo yo yo
Why Yoooooooo, Why yagga ya yo (yagga yo)

Check, uhh
It's like I'm in my own fuckin world, I speak how I feel
Sometimes I feel like I'm just too fuckin real
I love to stack riches, no disrespect y'all
I respect the rap game, but I don't fuck with rap bitches
I'm speakin from my heart
It's not that I'm too good, I'm just hood
Been like this from the fuckin start
Since I bust my gun in ninety-six
Y'all never see me flick up with them fake-ass chicks
Bitches smile up in your face, turn around and pop shit
You a industry bitch, I'm a in the streets bitch
I might breeze through Prada, Chloe or Tiffs
But, other than that it's just me and my six
Repeat 1

I dream filthy
My moms and pops mixed it with the Trini' rum and whiskey
Uhh, proper set off
Six sped off, gats let off, I speak calm
Gangsta, and pose off like Screechie Dan, bwoy
Who y'all know rock Prada like Fox
Pop bottles in the back of the cellar with Donatella
Cartier wrist wear, Pasha Kay face
Got niggas stand in line just to get a sneak taste
Act like y'all don't know I keeps gat beneath waist
And like a hundred thou' each crib in each safe
When Fox come through she  ah go dun di place
I'm like Marion Jones, what, who the FLUCK wan' race?
Listen, never trippin, never catch Brown slippin
Fuck, y'all only nice around mics like Pippen
Shit, to all my thugs that's Blood'n or Crip'n
I'm still shittin, still lowridin and switch-hittin nigga
Repeat 1 - 2X",https://genius.com/Foxy-brown-oh-yeah-lyrics
Ill Na Na,Ill Na Na,1996.0,"Intro: Method Man
One time..
Huhh, all up in ya like a bone when I
Johnny Blaze, the Iron Lung
Foxy Brown, the Ill Na Na (yeah, c'mon, yeah, c'mon)
Destination... (c'mon, c'mon) plat'

Yo Na Na so Ill, 
first week out
Shipped a half a mil, niggas freaked out
She's all about sex, pard-on, check your facts
And the track record, I'm all about plaques
Shaking my ass half naked, lovin this life
Waiting for Kim album to drop, knowin it's tight
Standing center stage, closin the show holdin a gat
Since you opened up, I know you're hoping it's wack
Niggas, screaming my name on record straight whylin
Maybe I'll answer back when you reach a hundred thousand
This is ladies night, and the Mercedes's tight
When I'm coming home? Maybe tonight
Leave my food by the microwave, kiss the baby goodnight
It's my time to shine it's playtime tonight
I'mma try to stand my ground, know when I fall
I left your ass Home Alone, hopin I call

Who's got the illest pussy on the planet?
Sugar walls comin down niggas can't stand it, the Ill Na Na
True Absolut Vodka, straight shots
For the has-beens and have-nots, dolla dolla
Real and it don't stop, we moving up
First the mansion then the yacht, sound proper
Straight cash get got, bloodhounds
Tryin to hunt down the Brown Fox, the Ill Na Na

No more sexing me all night, thinking it's alright
While I'm lookin over your
Shoulder, watching the hall light
You hate when it's a ball right? Ladies this ain't handball
Nigga hit these walls right before I call Mike
In the morning when it's all bright, eggs over easy
Hope you have my shit tight when I open my eyes
While I'm eating getting dressed up, this ain't yo' pad
I left some money on the dresser, find you a cab
No more, sharin I pain, sharing I made
It's time to outslick niggas, ladies sharing our game
Put it in high gear, flip the eye wear
Nas Ruled the World but now it's my year
And from, here on I solemnly swear
To hold my own like Pee Wee in a movie theater
 (uh-huh)
Yeah I don't need a man's wealth (yeah)
But I can do bad (bad) by my damn self (self)
And uhh..


Uhh... vodka..
Not... not..
Dolla dolla... stop stop..
C'mon c'mon... yah, it's the Ill Na Na

No more Waitin To Exhale, we takin deep breaths
Ladies take this over, I be Fox so peep this
Love thyself with no one above thee
Cause ain't nobody gon' love me like me
If he, don't Do The Right Thing like Spike Lee
Bye bye wifey make him lose his Nike's (uh uh, yeah)
Hit the road
Mommy told me in order to, find a Prince
You gotta kiss some toads",https://genius.com/Foxy-brown-ill-na-na-lyrics
Hot Spot,Chyna Doll,1998.0,"Ayo! Rhyme or crime, let's get it on
MC's wanna eat me but it's Ramadan
Peep what's on the arm, when it's ice it's ice
When I'm right, I'm right, when you're wrong, you're wrong
I'm the bomb, records is platinum, skin is bronze
Flows all night like vintage Dom
Been this nice since umm, the first Prince bomb
Before ""The Artist Was Known As"" wit my grown ass
Haters said it won't last, know how many birds I flown past
Celly on roam, full belly, first class
And I don't play, I watch them pockets
Know y'all niggas go broke after you cop them watches
See you in the club, no bub' nigga pop it
Then you wanna fuck, give it up nigga, not this
My coat is ostrich, flow is the hottest
You ain't got dough, you can't go with the Fox bitch

You can catch me at the hot spot cause I Fox, I plots
At the bar y'all, all night, I pops
Is it alright, sho' you right, you can't stop it
This is our world, me and my girls
You can catch me at the hot spot, I Fox, I plots
At the bar y'all, all night, I pops
Is it alright, sho' you right, you can't stop it
This is our world, me and my girls

Yo! Cats bustin out the six, cash flushin out the niggas
Platinum heart in half hangin 'tween the two tit-ties
Scheme on your team, lookin over graph pictures
Pick the finest, then I put it on the minors
Love, after the club, meet me at the diner
So you can bring your boys, we got ten cars behind us
Order a steak, a glass of OJ to break-fast
Hop in the car and head straight up Eighth Ave
The night is young, I'm likin son
Either he don't have one, or his wife is dumb
His whole hand numb, nigga iced his thumb
Pull up my tights some, enticin him
You can handle the work, I'll play wit it
Til he curve and swerve nigga, stay wit it
Bitches in the club they, hated it
Cause I put my mack down then I, skated it

You can catch me at the hot spot cause I Fox, I plots
At the bar y'all, all night, I pops
Is it alright, sho' you right, you can't stop it
This is our world, me and my girls
You can catch me at the hot spot, I Fox, I plots
At the bar y'all, all night, I pops
Is it alright, sho' you right, you can't stop it
This is our world, me and my girls

You can catch me at the Expo', Jacob Jav
Knocking Jigga out the Navigator, layin back, I stay in that
Me fallin off? Imagine that, it's not the case
I'm sittin' on Top of the World like Brandy and Mase
You wanna, buy me a drink, nigga hand me a case
Big ballin bitch, I want all of this shit
Six AMG's with the spoiler kit
Chromes from the fac', phones front and back
CoCo, flow, niggas is wantin that
Out they vehicles, niggas is bumpin that
I heard you wanna stop Fox, tell me how so
I got that New York, to the Dirty South flow
Whole album hot, even the outro
This time around I'm tryin to do about fo'
This is for my niggas and bitches who count dough
And y'all in the club I make 'em bounce

You can catch me at the hot spot cause I Fox, I plots
At the bar y'all, all night, I pops
Is it alright, sho' you right, you can't stop it
This is our world, me and my girls
You can catch me at the hot spot, I Fox, I plots
At the bar y'all, all night, I pops
Is it alright, sho' you right, you can't stop it
This is our world, me and my girls

Hot spot, bar y'all
Alright, our world
Hot spot, bar y'all
Alright, our world",https://genius.com/Foxy-brown-hot-spot-lyrics
Big Bad Mamma,Ill Na Na,1997.0," Ahh, Trackmasters
My boo
 Dru Hill, Foxy
 Right
 Ill na na na, Na Na
 Na Na, uhh, that's the shit
Verse One: Foxy Brown
Playa haters ery minute wanna stop my dough (uh-huh)
And every other minute wanna rock my flow (you know)
And every third minute, y'all wanna swerve in it
Come quick like a virgin in it... aowwww!
So far, came through this year with no bra
Sheer shirt, shakin my Na Na, this head hurt
Got em strung, let em know I'm like a Icee
For the best effect you got to use your tongue
Find my G-Spot get me hot I'm ill
Foxy, chocolate baby, Got Milk?
Shake that ass like you just don't care
Cause y'all just rookies of the year, what?
Work niggas, like you one of the live niggas
Fly niggas, known to handle a pie nigga
Chick in the, off-white pearl six
On the cellular, gettin them open like Girl 6
It's on
Chorus: Dru Hill (with variations)
She's a bad mamma jamma
Just as Foxy as can be (as Foxy as can be)
Heyyy, she's a bad mamma jamma
Just as Foxy as can be (as Foxy as she can be)
Verse Two: Foxy Brown
Player haters ery minute wanna see your clothes (uh-huh)
Then every other minute wanna know what you drove (uhhh)
Then every third minute, wanna know if the fur's rented
That's why I got no time for hoes
It's the Brown Fox, surround blocks, sound nice
See me dressed, D-B-S, Brown rocks
See me just, play the low pro
Got these rap chicks in a chokehold, biotch!
Basically, you're wastin your time hatin me
I'm like one point five, got to make it three
My name will forever reign
Got em screamin ""Damn Fox!"" on erything, hell yeah
For the paper rip a hot draft
Only for the right dough shorty got that?  Still in here
I'll be down when you're goin broke, Ill Na Na
Master Tracks like Tone and Poke, and it's on
Chorus
Verse Three: Foxy Brown
Playa haters ery minute wanna shit on wax (uh-huh)
Then every other minute talk behind your back (uh-huh)
And every third minute, wanna rock you in the Suburban
Nah I ain't got time for dat... that's why
I fakes no jacks, I got chips to gain
I'm like Bo Jack baby, I'm hip to the game
I know it well, rock Prada over Chanel
H-Class ho with the H. Bendel
Prom diva footwear: Via Spiga
Like Aaliyah, one in a million
There's MCs in this rap shit comin' in illin'
Like I did, laid the groundwork for five hits
Member when I told y'all first week out
Shipped a half a mil, niggas freaked out
Love yourself, put no one above thee
Cause ain't nobody gon' fuck me like me, it's on
Chorus 2X",https://genius.com/Foxy-brown-big-bad-mamma-lyrics
I Can’t,Chyna Doll,1999.0,"Uh, y'know, uh, uh, Boogie Brown, uh
How you expect me to love you
When I can't even trust you, uh, huh

So he played you, right?
Shot a little game then he blazed you, right?
Talkin' 'bout he was gon' make you wife then make you right
And the last you seen was his car brake lights
He fooled you girl, pussy is power, let me school you girl
Don't get up off it 'til he move you girl
And let no playin' nigga rule your world and screw you girl
I got 'em hatin' me
I throws the pussy down, keep 'em chasin' me
Basically, niggas game a lot, so bet I game back
And make the nigga think that I came a lot
And I change the plot, when we was at Jacob
That chain was hot, is he on or what?
Nigga copped the broach, and the double R
And you got the notes, so I know you not broke, nigga

(I ain't fuckin' wit' you)
I can't rock with you no more
(You and your bullshit)
(How can I love you)
(Can't even trust you)

I got 'em mad at Fox, 'fore I let a nigga just stab the box
I gotta have some rocks
Even then all I do is get they asses hot
Then I ask them when was the last time you had some twat?
Put 'em right in his place, saw him right down
Shake it right in his face, you like the waist?
By the way baby boy, would you like a taste?
Let me tell you what I need on those license plates
""Property of Mahogany Brown"", standin' knock-kneed
On the balcony while you knock me down
Ya'll wanna break me off without cakin' me off?
Then expect the bitch to be faithfull to y'alls
The next nigga copin' me bags straight from Dior
Prada shoes, that's the bomb straight outta Milan
And I'm about that money, no need to pretend
Why don't you holla at me when you ready to spend?

(I ain't fuckin' wit' you)
I can't rock with you no more
(You and your bullshit)
(How can I love you)
(Can't even trust you)

You got as much, you game's y'all
And I can spit it nigga, same as y'alls, same shoes, same cars
Ain't like a chick ain't bawlin' herself
Can you give me mo', then I'm holdin' myself
I ain't tryin' to trip on no dick
I ain't tryin' to have no cat laid up in my shit
Had the next bitch layed up in my six?
Gigglin', dizzy as shit, is it sick?
I'm what a nigga would love to have
Chick with her own, nice tits, nice ass
Nice attitude even though I might spaz
He was still quite fast, you like the wife style
Cuz you know that I come out ready to dumb out
In house shoes, slippers, put it down for my niggas
And I ain't goin' front, I'm about my end, so
Holla at me when you ready to spend

(I ain't fuckin' wit' you)
I can't rock with you no more
(You and your bullshit)
(How can I love you)
(Can't even trust you)

I can't rock you no more
Say it again, say it again
I can't rock you, no more
Say it again, say it again
Say it again, say it again",https://genius.com/Foxy-brown-i-cant-lyrics
730,Broken Silence,2001,"Whoa, whoa
What the *plurrr is this, YO!
They say I'm 730, say I spaz out
FB is ill, she'll wild out
Can y'all feel my pain?
I can't let it slide
How could I smile when I'm hurtin' so bad inside?
Yo how can we start this
My life is thorough never heartless
I laid it down from the Gate to the St Louis arches
From the windy city to the streets in Cali
To them streets in Houston
My niggas always boostin'
Some bitches always holla
How they don't spend a dolla
But that's because they ain't got it
Now tell me where's the logic
And if I talk it - I've done did it or about to do it
I'm making anthems, got a million niggas bouncin' to it
Bust your guns!
And if that ain't enough then bust again
I've been thuggin' since B-I-Z made ""Just A Friend""
Matter of fact ever since Flavor Flav was rockin' clocks
And even then there was no bitch that could compare to Fox
Let me head knock, Pretty you wit' me right
This Prada fit me tight, this Gucci fit me right
Who could quickly write like seven joints and it be tight?
You know how hood we sound, you know it's Boogie Brown
Yo they say I'm 730, say I spaz out
FB is ill, she'll wild out
But can y'all feel my pain?
I can't let it slide
How could I smile when I'm hurtin' so bad inside?
They say I'm 730, say I spaz out
FB is ill, she'll wild out
But can y'all feel my pain?
I can't let it slide
How could I smile when I'm hurtin' so bad inside?
Yo my life is full of problems
Sometimes it's hard to dodge 'em
So much you couldn't fathom
I wish I didn't have them
They say I'm 7-30, pretty but I rap too dirty
The law is criticizing me and probably never heard me
So what I crashed my Range
My last name ain't changed
This time it's different though
I'm not exploiting names
Yeah I write my shit
It's not a fucking game
So what he wrote some songs
I blew him up the same
I'm never ducking dames
Y'all know just where to find me
I would've killed her but it just wouldn't be fair to mommie
Imagine me doing time, Foxy behind bars
Not me the crime star
Y'all bitches ain't worth it
Although my life ain't perfect, I'll never change a thing
Y'all want success but y'all don't know about the pain it bring
It's supposed to make you happy and keep your paper long
This beat is kind of ill
How could you hate this song?
Yo they say I'm 730, say I spaz out
FB is ill, she'll wild out
But can y'all feel my pain?
I can't let it slide
How could I smile when I'm hurtin' so bad inside?
They say I'm 730, say I spaz out
FB is ill, she'll wild out
But can y'all feel my pain?
I can't let it slide
How could I smile when I'm hurtin' so bad inside?
Man some hoes is always yackin'
Like I can't make it happen
Like they don't know my cash
Like they don't know my past
Especially pop star bitches with the soft image
So what I ain't with him
BITCH! He's off limits
Be where I always be
See who I choose to see
Although we're not together, his heart belong to me
See at times I think y'all bitches be confusing me
Like I'm somethin' sweet, shorty I'm still street
You're not on my level, and I won't stoop
And I'm the one that got you, kicked out your own group
Chicks be always thinkin' that I'mma let it ride
I might not kill you but I'll hurt you till your dead inside
Third album and you still wanna test Brown
I'm so hood bitches know how boogie get down
It could be real drama
It's still the Ill Na Na
There ain't a bitch wilda
Any beef? Holla!
They say I'm 730, say I spaz out
FB is ill, she'll wild out
But can y'all feel my pain?
I can't let it slide
How could I smile when I'm hurtin' so bad inside?
They say I'm 730, say I spaz out
FB is ill, she'll wild out
But can y'all feel my pain?
I can't let it slide
How could I smile when I'm hurtin' so bad inside?",https://genius.com/Foxy-brown-730-lyrics
Breaks Over,UnKnown,2017.0,"Talkin' shit about me to a deaf room
Yo Fox, murder that pussyclat
On some bloodclat
Yo Fox, murder that bloodclat
Brooklyn, I'ma kill this bitch
The take over, you fakes over, nigga
Got a little shine, okay, thank Mona
Heard your little rhymes, okay, Brooklyn, I'm on
I'm on my '96 shit, got the DNA of Hova
And Nick my bitch, but bitch I'm sayin'
I'm where the carcass layin'
Bitch I am not playin
When we was on the island
Rem was in PC shook
She was never tough, she was never wylin'
The bloodclat this
Y'all better tell this bum bitch
Foxy was born to shit
This dusty ass broad think she somethin' sweet
She give the part to a Hot 97 in this street
You still in that dirty ass 
TS piece
And Pap fucked that dirty ass BX beast
I'm a mothafuckin' BK savage, you heard?
And I heard about that bitch miscarriage
Brooklyn, I'm a killer
The Garden Reggie Miller
The Barclay's floor seat
, 
all black chinchilla
Yo Fox, murder that pussyclat",https://genius.com/Foxy-brown-breaks-over-lyrics
Letter to the Firm (Holy Matrimony),Ill Na Na,1996.0,"Uhh, I mean damn, me and you forever, hand in hand
I'm married to The Firm, boo, you got to understand (understand)
I'll die for em, gimme a chair and then I'll fry for em (fry for em)
And if I got to take the stand, I'mma lie for em (lie for em)
It's me and you, hand in hand (forever)
I'm married to The Firm boo, you got to understand (that be we)
I'll die for em, gimme a chair and then I'll fry for em (fry for em)
And if I got ta take the stand, I'mma lie for em (uhh, suga)

Whattup Firm, we got these niggas cornered, so maintain
I got the drugs here, under the master bed behind the back stairs
Like twenty grams plus the caravan
I left the keys by the safe, erase the phone and flip the license plate
Got all the phone calls taped, and all the weights and ice
To get the dough and the guns, and then we straight
He had the block locked he knew the spot block
On some real web shit to get your spot knocked by killer cops
Tryin to get your shit rocked, he don't know, cause all along
We was plottin to drop on the low, he straight snitch
He don't know how it go, he saw Nas in all the Lex
Then a triple GS, foreala, I kinda think he got a
Feeling I'm squealing me and Tone was on the phone
Probably thinkin we dealin this bug, make sure Un got all the guns
His man Son had the whole mob of arsons
Runnin through Parsons

I mean damn, me and you forever, hand in hand
I'm married to The Firm boo, you got ta understand
I'll die for em, gimme a chair and then I'll fry for em
And if I got ta take the stand, I'mma lie for em (lie for em)
It's me and you, hand in hand (hand in hand)
I'm married to The Firm boo, you got ta understand (forever we)
I'll die for em, gimme a chair and then I'll fry for em (Nas, AZ)
And if I got ta take the stand, I'mma lie for em

Check it peep the plot, so when I beep him y'all be creepin
Cormega know the spot, diminish him, 'Mega finish him
We power, the whole team shinin through like Ma rule
Worse come to worse we got shorties layin on forty-first
They want The Firm som'in awful, to tax som'in
The way we style have a nigga tryin to blast som'in
I guess the way we politic em probably got the niggas
I know they layin like ""Dunn, we got ta stick them niggas""
In due time, they probably see the Apple sour
And once, we takin over, they'll realize The World is Ours
The faggot niggas don't deserve bein CREAM
A bunch of snitches on the same team, tryin to reign supreme
Brooklyn Queens thing, we lionhearted never dear departed I mean
You're fuckin with Scarlett O'Hara
Desert em like Sahara, shit you never heard The Firm strictly murderous
Gun is out punana, The Firm's First Lady organizer

G'damn, me and you forever, hand in hand
I'm married to The Firm boo, you got ta understand
I'll die for em, gimme a chair and then I'll fry for em
And if I got ta take the stand, I'mma lie for em
It's me and you, hand in hand
I'm married to The Firm boo, you got ta understand
I'll die for em, gimme a chair and then I'll fry for em
And if I got ta take the stand, I'mma lie for em

The General, SOSA, my partner in crime, Nas and 'Mega
Gon' cry together, shit get real, we gon' die together
I'm like whatever for my team through the cheddah
Through the CREAM we gonna stay together, it's Doe or Die
Through the slanted eyes, I organize family style
Lady Godiva, forever Firm Fox Boogie never lonely
We were wed in Holy Matrimony, whatever
Whichever, however, uhh, Firm style

I mean damn, me and you forever, hand in hand
I'm married to The Firm boo, you got ta understand
I'll die for em, gimme a chair and then I'll fry for em
And if I got ta take the stand, I'mma lie for em
It's me and you hand in hand
I'm married to The Firm boo, you got ta understand
I'll die for em, gimme a chair and then I'll fry for em
And if I got ta take the stand, I'mma lie for em
(repeat to fade)",https://genius.com/Foxy-brown-letter-to-the-firm-holy-matrimony-lyrics
