title,album,year,lyrics,urls
Liquid Swords,Liquid Swords,1995.0,"When I was little, my father was famous
He was the greatest samurai in the empire
And he was the Shogun's decapitator
He cut off the heads of a hundred and thirty-one lords
It was a bad time for the empire
The Shogun just stayed inside his castle and he never came out
People said his brain was infected by devils
My father would come home, he would forget about the killings
He wasn't scared of the Shogun, but the Shogun was scared of him
Maybe that was the problem
Then, one night, the Shogun sent his ninja spies to our house
They were supposed to kill my father but they didn't
That was the night everything changed

See, sometimes
You gotta flash 'em back
See niggas don't know where this shit started
Y'all know where it came from
I'm saying we gonna take y'all back to the source
Do the knowledge, yo

When the MCs came to live out the name and to perform
Some had to snort cocaine to act insane before Pete rocked it on
Now on with the mental plane to spark the brain with the building to be born
Yo, RZA, flip the track with the what to cut

Fake niggas get flipped
In mic fights I swing swords and cut clowns
Shit is too swift to bite you record and write it down
I flow like the blood on a murder scene, like a syringe
On some wild out shit, to insert a fiend
But it was your op to shop stolen art
Catch a swollen heart from not rolling smart
I put mad pressure, on phony wack rhymes that get hurt
Shit's played like zodiac signs on sweatshirts
That's minimum, and feminine like sandals
My minimum table stacks a verse on a gamble
Energy is felt once the cards are dealt
With the impact of roundhouse kicks from black belts
That attack, the mic-fones like cyclones or typhoon
I represent from midnight to high noon
I don't waste ink, nigga, I think
I drop megaton bombs more faster than you blink
Cause rhyme thoughts travel at a tremendous speed
Clouds of smoke, of natural blends of weed
Only under one circumstance that's if I'm blunted
Turn that shit up, my Clan in the front want it

Now when the MCs came to live out the name and to perform
Some had to snort cocaine to act insane before Pete rocked it on
Now on with the mental plane to spark the brain with the building to be born
Yo, RZA, flip the track with the what to cut

I'm on a mission that niggas say is impossible
But when I swing my swords they all choppable
I be the body dropper, the heartbeat stopper
Child educator, plus head amputator
'Cause niggas styles are old like Mark 5 sneakers
Lyrics are weak like clock radio speakers
Don't even stop in my station and attack
While your plan failed, get derailed like Amtrak
What the fuck for? Down by law,
 
I make law
I be justice, I sentence that ass two to four
Round the clock, that state pen time, check it
But the pens I be sticking with, you can't state the crime
Came through with the Wu,
 
slid off on the DL
I'm low-key like seashells,
 
I rock these bells
Now come aboard, 
it's Medina bound
Enter the chamber, and it's a whole different sound
It's a wide entrance, small exit like a funnel
So deep it's picked up on radios in tunnels
Niggas are fascinated how the shit begin
Get vaccinated, my logo is branded in your skin

When the MCs came to live out the name and to perform
Some had to snort cocaine to act insane before Pete rocked it on
Now on with the mental plane to spark the brain with the building to be born
Yo, RZA, flip the track with the what to cut",https://genius.com/Gza-liquid-swords-lyrics
4th Chamber,Liquid Swords,1995.0,"Choose the sword, and you will join me
Choose the ball, and you join your mother... in death
You don't understand my words, but you must choose
(Baby gurgling)
So... come boy, choose life or death

The only man a ho wait for
Is the sky-blue Bally kid, in '83 rocked Tale Lords
My Memorex performed tape decks, my own phone sex
Watch out for Haiti bitches, I heard they throw hex
Yo, Wu whole platoon is filled with raccoons
Corner-sitting wine niggas sipping Apple Boone
This ain't no white cartoon
'Cause I be ducking crazy spades
The kid hold white shit like blacks rock ashy legs
Why is the sky blue? Why is water wet?
Why did Judas rat to Romans while Jesus slept?
Stand up, you're out of luck like two dogs stuck
Ironman be sipping rum, out of Stanley Cups, unflammable
Noriega, aiming nozzles stay windy in Chicago
Spine-tingle, mind boggles
Kangols in rainbow colors, promoters try to hold dough
Give me mine before Po wrap you up in so-and-so
I ran the Dark Ages, Constantine the Great, Henry the 8th
Built with Genghis Khan, the red suede Wally Don

I judge wisely as if nothing ever surprise me
Lounging between two pillars of ivory
I'm lively, my dome piece is like building stones in Greece
Our poems are deep, from ancient thrones I speak
I'm overwhelmed as my mind roams the realm
My eye's the visions, memory is the film
Others act sub-tile, but they fragile above cloud
They act wild and couldn't budge a crowd
No matter how loud they get, though they growl and spit
Clutch they fists and throw up signs like a Crip
And throw all types of fit
I leave them split like ass cheeks and ragged pussy lips

Aiyo, camouflage chameleon, ninjas scaling your building
No time to grab the gun, they already got your wife and children
A hit was sent from the President to raid your residence
Because you had secret evidence and documents
On how they raped the continents and lynched the prominent
Dominant Islamic, Asiatic black Hebrew
The year 2002 the battle's filled with the Wu
Six million devils just died from the Bubonic Flu
Or the Ebola virus, under the reign of King Cyrus
You can see the weakness of a man right through his iris
Unloyal snakes get thrown in boiling lakes of hot oil
Up boils your skin, chickenheads getting slim like Olive Oyl
Only plant the seed deep inside fertile soil
Fortified with essential vitamin and minerals
Use the sky for a blanket, stuffing clouds inside my pillow
Rolling with the Lamb, Twelve Tribes a 144,000 chosen
Protons Electrons Always Cause Explosions

The banks a G, all CREAM downs a bet
Money feed good, opposites off the set
It ain't hard to see my seeds need God-degree
I got mouths to feed, unnecessary beef is more cows to breed
I'm on some tax-free shit by any means
Whether bounty-hit scheme or some counterfeit CREAM
I learned much from such swift cons who run scams
Veterans got the game spiced like ham
And from that, sons are born and guns are drawn
Clips are fully loaded and then blood floods the lawn
Disciplinary action was a fraction of strength
That made me truncate the length one-tenth
Woofers thump, tweeters hiss like air pumps
RZA shaved the track, niggas caught razor bumps
Scarred trying to figure who invented
This unprecedented, opium-scented, dark-tinted
Now watch me blow him out his shoes without clues
'Cause I won't hesitate to detonate, I'm short fused",https://genius.com/Gza-4th-chamber-lyrics
Shadowboxin’,Liquid Swords,1995.0,"Special technique-
 fuck that
Spe- Special technique of shadowboxing
Goddamn, the GZA, Goddamn
The GZA, Goddamn, pledge allegiance to the Hip Hop
Method, Goddamn, I pledge allegiance to the Hip Hop
Maximillion, Maximillion
Johnny Blaze
I pledge allegiance to the Hip Hop
Johnny Blaze
Maximillion, Maximillion

I breaks it down to the bone gristle
Ill speaking scud missile heat seeking
Johnny Blazing, nightmares like Wes Craven
Niggas gunning, my third eye seen it coming before it happen
You know about them fucking Staten kids, they smashing
Everything huh in any shape form or fashion
Now everybody talking bout they blasting, hmmm
Is you busting steel or is you flashing? Hmmm
Talking out your asshole
You should have learnt about the flow and peasy afro
Ticallion stallion, chinky-eye and snot-nosed
From my naps to the bunion on my big toe
I keeps it moving, know just what the fuck I'm doing
Rap insomniac, fiend to catch a nigga snoozing
Slip the cardiac arrest me, exorcist Hip Hop possess me
Crunch a nigga like a Nestle, you know my STEEZ
Burning to the third degree, sneaky ass alley cat top pedigree
The head toucher, industry party bum rusher
You don’t like it? Dick up in you, fuck ya!

Allow me to demonstrate the skill of Shaolin
That's right, you corny-ass rap motherfuckers
The special technique of shadowboxing
Better go back and check your fucking stacks
Shadowboxing, cause your naps ain't nappy enough
And your beats ain't rugged enough, bitch

I slayed MCs back in the rec room era
My style broke motherfucking backs like Ken Patera
Most rap niggas came loud but unheard
Once I pulled out, round 'em off to the nearest third
Check these non-visual niggas, with tapes and a portrait
Flood the seminar trying to orbit this corporate
Industry, but what them niggas can't see
Must break through like the Wu, unexpectedly
Protect Ya Neck,
 
my sword still remains imperial
Before I blast the mic, RZA scratch off the serial
We reign all year round from June to June
While niggas bite immediately if not soon
Set the lynching and form the execution date
As this two thousand beyond slang suffocate
Amplify sample through vacuum tubes compressions
Cause RZA to charge niggas twenty Gs a session

When my mind start to clicking and the strategy
Is mastered the plot thicken, this be that Wu shit
I don't give a cotton-pickin' fuck
About a brother tryna size a nigga up, I hold my own
Hard-hat protect your dome
Look at Mama baby boy acting like he grown
No time for sleep, I gets deep as a baritone
Killa bee, that be holding down his honeycomb, lounging son
Wu brother number one, protect your neck
Flying guillotines here they come, bloody bastards
Hard times and killer tactics, spitting words plus
Semi-automatic slurs, peep the graphic
Novel from the genie bottle
, hit the clutch
Shift the gear now, full throttle, time to bungee
To the next episode, I keeps it grungy
Hand on my nut sack and spitting lunghies
At a wack nigga dat, don't understand the fact
When it come to RZA tracks I don't know how to act
Real rap from the Stat, Killa Hill Projects
How to be exact, break it down
All in together now
Things are getting good looking better now
...And some other shit

Allow me to demonstrate the skill of Shaolin
Sha-shadowboxing, the special technique of shadowboxing
Shadowboxing",https://genius.com/Gza-shadowboxin-lyrics
Duel of the Iron Mic,Liquid Swords,1995.0,"Oh, mad one, we see your trap
You can never escape your fate
Submit with honor to a duel with my son
I agree
I see you're using an old style
I wondered where you'd learned it from
You know very well, it's yours too
Heh, I had forgotten, will you show me?
And what have you come for?
You come here, since you're so interested - fight me

Yo, picture bloodbaths in elevator shafts
Like these murderous rhymes tight from genuine craft
Check the print, it's where veterans spark the letterings
Slow-moving MCs is waiting for the editing
The liquid soluble that made up the chemistry
A gaseous element, that burned down your ministry
Herbal vapors and biblical papers
Smoking Exodus, every square yard is plush
Fuck the screw-faced photo sessions, facial expression
Leaves impression, try to keep a shark nigga guessing
Give crazy shouts, son, here's the outcome
Cut across the semi-gloss rhymes you floss
Shit is outdated, just like neckloads of Sterlings
Suede-fronts, bell-bottoms, and tri-colored Shearlings
I ain't particular, I bang like vehicular homicides
On July 4th, from Bed-Stuy
Where money don't grow on trees and there's thieving MC's
Who cut-throat to rake leaves
They can't breathe, blood splash, rushing fast
Like running rivers, I be that whiskey in your liver

Duel of the Iron Mic!
It's the fifty-two fatal strikes!

This is not a '85 affair made clear
When the Gods get on to perform storms blew up
Wu's up, causing the crowd to self-destruct
Killer Beez are stinging something while I reveal
Science that's heavily guarded by the culprit
Bombing your barracks with aerodynamic
Swordplay, poison darts by the doorway
Minds that's laced with explosive doses
Damaging lyrical launcher
Lunge at the youthful offender then injure
Any contender, testing the murderous Master
Could lead to disaster, dynamite thoughts
Explode through your barrier, rips the retina
Who can withstand the astonishing punishing
Stings to the sternum,
 
shocked in the Hip Hop livestock
Seeking for a serum to cure 'em

Adults kill for drugs plus the young bucks bust
Ducking handcuffs, throats get cut when dough rush
Out of town foes look shook but still pose
We move like real pros through the streets we stroll
Bullet holes lace the windows in one-six-oh
So control the avenues that's the dream that's sold
Building lobbies are graveyards for small-timers
Bitches caught in airports, Ki's in they vaginas
No peace, yo the police mad corrupt
You get bagged up, depending if you're passing the cut
Plus shorty's not a shorty no more, he's living heartless
Regardless of the charges, claims to be the hardest
Individual, critical thoughts, criminal minded
Blinded by illusion, finding it confusing

Duel of the Iron Mic!
It's the fifty-two fatal strikes!
Duel of the Iron Mic!
It's the fifty-two fatal strikes!

Huh, Master, he must be dreaming, heh
Well, if he is dreaming then he must be asleep
And if he's asleep, then I will wake him up!
At the height of their fame and glory, they turned on one another
Each struggling in vain for ultimate supremacy
In the passion and depth of their struggle
The very art that had raised them to such Olympian heights was lost
Their techniques vanished",https://genius.com/Gza-duel-of-the-iron-mic-lyrics
Cold World,Liquid Swords,1995.0,"“I had a bad dream”
“Don’t be afraid, bad dreams are only dreams”
“What a time you chose to be born in”

Babies crying, brothers dying, and brothers getting knocked
Shit is deep on the block and you got me locked down
In this cold, cold world

It was the night before New Year’s
And all through the fucking projects
Not a handgun was silent, not even a TEC
Outsiders were stuck, by enemies who put fear
And blasted on the spot before the pigs were there
You know hoods, robbers, snipers new in sight
Fuck blue and white
They escape before them flash the fucking lights
Gunshots, shatter first-floor window panes
Shells hit the ground and blood stained the dice game
Whether pro-calisthenic, any style you set it
Beat niggas toothless, physically cut up like gooses
But with iron on the sides, thugs took no excuses
Therefore, your fifty-two handblocks was useless
Links was snatched off necks, left scars on throats
Jackets took, after bullet rips through coats
Against those who felt the cold from the steel made ‘em fold
And squeal, once the metal hit the temple of his grill
Construction worker, who was caught for his bomber
No time to swing the hammer that was hanging from his farmers
And it’s bugged how some niggas catch slugs
And pockets dug from everything except check stubs
And it does, sound ill like wars in Brownsville
Or fatal robberies in Red Hook where feds look
For fugitives to shoot cops, niggas laying on roof tops
For his cream he stashed in a shoebox
But he was hot, and the strip was filled with young killers
You don’t suspect, so cops creep like caterpillars
And born thieves stay hooded with extra bullets
Those who try to flee they hit the vertebrae
Increase the murder rate
Similar to hitmen who pull out TECs and then
Drop those who crack like tacos from Mexican
Rapid, like recipients cashing checks again
Back to the motherfucking spot on Lexington

Babies crying, brothers dying, and brothers getting knocked
Shit is deep on the block and you got me locked down
In this cold, cold world
We be running from the cops, busting off shots
Shit is deep on the block and you got me locked down
In this cold, cold world

Yo; no time to freeze, undercovers ease up in Grand Prixs
And seize packages and pocket the currency
Cliques control strips full clips are sprayed
Yellow tape barricades sidewalks where bodies lay
Madness strikes at twelve o’clock midnight
Stick-up kids on the ground broke the staircase light
And I stays harassed, scrambling for petty cash
Jakes on my ass young bucks is learning fast
Three-Fifteen-Sevens and Forty-Fours
Bought inside corner stores, provide sparks for wars
Hospital floors surrounded by the law
Homicide questioning while the Jakes guard the door
My hood stay tense, loyalty puts strength in my team
‘Cause niggas’ main concern is C.R.E.A.M
Some niggas in the jet-black Galant
Shot up the Chinese restaurant, for this kid named Lamont
I thought he was dead but instead he missed the kid
And hit a twelve-year-old girl in the head, and then fled
Tactical narcotic task force, back off fast
‘Cause the crime boss is passing off cash
Extortions for portions of streets, causes beef
Having followers of Indians trying to play Chief
You witness the saga, casualties and drama
Life is a script; I’m not an actor but the author
Of a modern-day opera, where the main character
Is presidential papers, the dominant factor

You know, you had me
With your sensuous charm
But you looked so alarmed
As I walked on by

Babies crying, brothers dying, and brothers getting knocked
Shit is deep on the block and you got me locked down
In this cold, cold world
We be running from the cops, busting off shots
Shit is deep on the block and you got me locked down
In this cold, cold world
Babies crying, brothers dying, and brothers getting knocked
Shit is deep on the block and you got me locked down
In this cold, cold world
We be running from the cops, busting off shots
Shit is deep on the block and you got me locked down
In this cold, cold world",https://genius.com/Gza-cold-world-lyrics
Living In The World Today,Liquid Swords,1995.0,"Yo yeah, check it out, son, check it out, son
Yo Wu, can I get a soo?, live in the place to be
You got the capital G, Z to the A, MC
Givin' a mad shout out to the Ranch Crew, from the old school
And we gonna take y'all back, know what I'm sayin'?
Lyrical sorcerers right here, the fathers, the cream of the crop, son
Yo, check it

Well, if you livin' in the world today
You be hearin' the slang that the Wu-Tang say
Niggas that front, we don't have 'em
So we blast 'em, alright, well, ok
Well, if you like the way it sound, then clap, man
And if the women love it too, well, then raise your hands
But only raise your hands if you're sure
Punk niggas shatter like a glass jaw, break it

My rhyme gross weight vehicle combination
Was too heavy for the Chevy's, is chased out the station
Double-edged was the guillotine that beheaded it
Gassed up, fuckin' with some regular unleaded shit
Heads roll on hillsides behind ropes that bind-in
X marks the spot on the scope
Heavily armed, military is necessary, it's a gamble
MCs bet they best at every
Powerful parable ditties might harm
If tampered with, set off and strike like pipe bombs
Flashbacks to the ""Duel of the Iron Mic""
Look out for these fatal flying spikes, so massive
Sleep-holds, put strangle on commercial angle
Microphone cords tangled from being Star Spangled
Now, who could ever say they heard of this?
My motherfuckin' style is mad murderous

Well, if you like the way it sound then clap man (clap man)
And if the bitches love it too well then raise your hands (Come on)
But only raise your hands if you're sure
Punk niggas shatter like a glass jaw, yeah
Well, if you livin' in the world today
You be hearin' the slang that the Wu-Tang say
Niggas that front we don't have them (Have them)
So we blast 'em, (Blaow!) alright, well okay

Well, what you know about MCin'?
Yo, I know a lot
Well, can you demonstrate somethin', nigga?
Huh, I'd rather not
I'm talkin 'bout stacks, cousin
Nigga, that's what I got
Cash Rules the world
Well, Cash Rules the spot

My preliminary attack keep cemeteries packed
Of niggas who think it ain't like that
MCs are gunned down like being run down with mad trucks
Then, God struck, religious niggas call it ""bad luck""
Rap celeb, you got caught up in the web
Now, bees are stingin', yo, that niggas em-singin'
I'm just swingin' swords strictly based on keyboards
Unbalanced like elephants and ants on see-saws
I throw raps that attack like the Japs on Pearl Harbor
MCs be out like bank robbers
Fleeing the scene, to be a sole survivor
DJ, the getaway driver
Tried to dip, but he dive, I socialize on vocal vibes
On tracks stabbed up with razor-sharp knives
Criminal subliminal minded rappers find it
Hard to define it, when narrow is the gate
For fat tapes and then played out and out of date
Then I construct my thoughts on site to renovate
And from that point, the God made a statement
Draftin' tracements, replacements in basements
Materials in sheet-rock to sound proof the beatbox
And microscopic optics received through the boxes
Obnoxious topic, major labels, flavor tropical
Punchlines, that's unstoppable
Ring like shots from Glocks that attract cops
Around the clubs and try to shut down the hip-hop
But we only increase if everything is peace
Father You See King the police

Well, if you livin' in the world today
You be hearin' the slang that the Wu-Tang say
Niggas that front, we don't have 'em (Have them)
So we blast 'em (blaow), alright, well, ok
Well, if you like the way it sounds, then clap, man (Clap, man)
And if the women love it too, well, then raise your hands (Uh huh, come on)
But only raise your hands if you're sure
Punk niggas shatter like a glass jaw, break it
Well, if you livin' in the world today
You be hearin' the slang that the Wu-Tang say
Niggas that front, we don't have 'em (Have them)
So we blast 'em, alright, well, ok

The Wu-Tang say
We don't handle 'em, alright, well okay
The world today, the Wu-Tang say
Niggas that front we don't handle 'em
So we blast 'em, alright, well ok",https://genius.com/Gza-living-in-the-world-today-lyrics
Labels,Liquid Swords,1995.0,"Lot of people, you know what I'm saying
That be getting misinformed, thinking everything is everything
You could just get yourself a little deal, whatever
You know what I'm saying
You gonna get on, you gonna get rich
And all these labels be trying to lure us in like spiders
Into the web, you know what I'm saying
So sometimes people gotta come out and speak up
And let people understand
That you know you gotta read the label
You gotta read the label
If you don't read the Label you might get poisoned

Bomb these niggas God!

Tommy ain't my motherfuckin' boy
When you fake moves on a nigga you employ
We'll all emerge off your set, now you know God damn
I show living large niggas how to flip a Def Jam
And Ruff up the motherfuckin' House 'cause I smother
You Cold Chillin' motherfuckers, I still Warner Brother
I'm Ruthless my clan don't have to act wild
That shit is Jive, an old Sleeping Bag Profile
The soft comedian rap shit ain't the rough witty
On the reel to reel it wasn't from a Tuff City
Niggas be game, thinking that they lyrical surgeons
They know they mic's a phone to Virgin
And if you ain't boned a mic you couldn't hurt a bee
That's like going to Venus driving a Mercury
The Capitol of this rugged slang is Wu-Tang
Witty unpredictable talent and natural game
I Death Row an MC with mic cables
The Epic is that I Rush Associated Labels
From East, West to ATCO, I bring it to a Next Plateau
But I keep it phat though, yo
I'm hitting batters up with the Wild Pitch style
I even show an Uptown MCA style
Who thought he saw me on 4th & Broadway
But I was out on the Island, bombing MC's all day
My Priority is that I'm First Priority
I bone the secret out a bitch in a sorority
So look out for A&M, the Abbot and the Master
Breaking down your Pendulum
As I fiend MC's out with a blow that'll numb the a-
-ppendix, I'm holding more weight than Columbia
Index Interscope, we RCA, clan
That's coming with a plan to free a
Slave of a mental death MC don't panic
Throw that A&R nigga off the boat in the Atlantic
Now who's the Bad Boy character, not from Arista
But firing weapons released on Geffen
So duck as I struck with the soul of Motown
My central broadcasting systems is low down
And dirty, like that bastard
It's getting drastic

Read the label and say it loud
Another Wu banger
Thirty-six chambers, through your area
(Yeah, the RZA, phat tracks on a disc)
RZA razor RZA razor sharp
(Another Wu-Tang production kid, coming at ya)",https://genius.com/Gza-labels-lyrics
Gold,Liquid Swords,1995.0,"Aiyo shorty, yo that's my word
Oh, y'all smelling y'all piss now y'all think y'all gold
Yo anybody get caught flinging over here
I'm returning 'em, that's my word they getting blasted
Anything from 220 to 140, that's mine
Y'all need to step the fuck off
Y'all niggas ain't crazy for real

Yo, the fiends ain't coming fast enough
There is no cut that's pure enough
I can't fold, I need gold, I re-up and reload
Product must be sold to you

I'm deep down in the back streets, in the heart of Medina
About to set off something more deep than a misdemeanor
Under the subway, waiting for the train to make noise
So I can blast a nigga and his boys, for what?
He pushed up on the block and made the dope sales drop
Like the crash in the Dow Jones stock
I had a connect to cross-sales, to catch more mill's
Than ho-bitches got birth control pills
I'm in the park setting up a deal over blunt fire
Bum nigga sleeping on the bench, they had him wired
Peeped my convo, the address of my condo
And how I changed a nigga name to John Doe
And while we set up camp, we got vamped
Put the stake through his heart, I ripped his fucking fangs apart
Snake got smoked on the set like Brandon Lee
Blown out the frame like Pan Am Flight 103
He got swung on, his lungs was torn
A kingpin just castled with his rook and lost a pawn
A regular on the block that played lookout
For preying predator with a Glock, he should have took out

No neighbourhood is rough enough
There is no clip that's full enough
I can't fold, I need gold, I re-up and reload
Product must be sold to you
Fiends ain't coming fast enough
There is no cut that's pure enough
I can't fold, I need gold, I re-up and reload
Product must be sold to you

It's mandatory that I supply all my troops with mega firearms
Big apes and spread 'em out like crops on a farm
To get cream
, 
sometimes they repaint the scene
Like the last episode on gates,
 and other niggas
Plant bombs till the smoke from the blast becomes thick
And flows through, all they knew, he's gun sick
His Glock clicks like high-heeled shoes on parquet floors
Mad sick, stand on hills and invade wars
Filthy foul, shovelling dirt, he's out to hurt
For instance, chop off hands, attack worth
His idols would lock down airports and extort
Some import, catching ten percent of what the fiends snort
Up in the ski resorts, up in hills
They move keys and had the skis making drops on snowmobiles
The plan was to expand, catch seven figures, release triggers
And live large and bigger than my nigga
Who promised his moms a mansion with mad room
She died and he still put a hundred grand in her tomb
Open wounds, he hid behind closed doors
And still organizes crime and drug wars

Fiends ain't coming fast enough
There is no cut that's pure enough
I can't fold, I need gold, I re-up and reload
Product must be sold to you
No neighborhood is rough enough
There is no clips that's full enough
I can't fold, I need gold, I re-up and reload
Product must be sold to you
There's no cuffs that's tight enough
There is no niggas that's fuck with us
I can't fold, I need gold, I re-up and reload
Product must be sold to you",https://genius.com/Gza-gold-lyrics
Killah Hills 10304,Liquid Swords,1995.0,"RZA
: 
Yes the good life, you know
GZA
: 
What the fuck is that, Hells Angels?
MK
:  
Ahh Mr. Bobby Steels, Tony Starks on the line one for Mr. Bobby Steels
RZA
: Steels over here, Steels over here
Peace, Starks what's going on baby?
Yeah everything is lovely over here
Yeah Maximillion didn't show up yet
I'm over here with Noodles and I got Lucky Hands with me
GZA
: You got soul, R&B, classics? All that shit right?
RZA
: 
Yeah, Greco is right in front of me right now
Greco is standing right here
Yeah he has a briefcase; oh, OK, OK I got you
Aight thanks
DK
: Bobby Steels
RZA
: Mr. Greco, good to see you good to see you good to see you
DK
: A pleasure
RZA
: So is everything OK, is everything working as we planned?
DK
: Everything is working out, very nicely
Do you have the cash, twenty-thousand dollars?
RZA
: Do we have the cash? We don't have to talk that, hey hey
GZA
: Get the fuck outta here with that Hells Angels bullshit!
RZA
: We got the cash
You know Cash Rules Everything Around this Motherfucker
Uhm, let me ask you...
GZA
: The fuck outta here!
DK
: Do you have the full amount? Twenty thousand as we agreed upon?
GZA
:  Fucking Hells bastards
RZA
: Let me ask you a question Mr. Greco...
Do you know a a Don Rodriguez?
DK
: I know no such person
RZA
: Don Rodriguez from the Bronx? Don Rodriguez?
DK
: I don't know who you're talking about
RZA
: I think you do know him cause your fucking friend Don is down at 
One-Twenty Precinct right now singing his fucking ass like a fucking bird
The fucking guys is coming
DK
: Do you believe him?

Life of a drug dealer
Killah hills 10304

Restaurant's on a stakeout, so order the food to take out
Chaos outside of Sparks Steak House
Maintain the power, I feel the deal's gone sour
Nigga missed a wedding, late a fucking half-hour
And his man who bought land from Tony Starks
While he was contracting bricklaying jobs in city parks
He's a loan shark, interest raise a grand to a finger
In the garment district, 
got it sewn like Singers
'Cause all that talk blasphemy, this kid after me
For the heist, in a Burlington coat factory
Fuck it, he turned state's on my nigga, Castro, this copilot
Who used to drop rice sacks of blow
On this remote area we label Dead Man's Island
Two hundred miles South from Thailand
Right off the docks, I got luxurious, custom-made yachts
Burial plots, for my niggas hit with fatal shots
There's no need for us to spray up the scene
I use less men, more powerful shit for my team
Like my man, Muhammad, from Afghanistan, grew up in Iran
The nigga runs a neighborhood newsstand
A wild Middle Eastern—bomb specialist
Initiated at eleven to be a terrorist
He set bombs in bottles of champagne
And when niggas popped the cork—niggas lost half they brains
Like this ex-worker, tried to smuggle a half-a-key
In his left leg, even underwent surgery
They say his pirate limp gave him away
As the feds rushed him, coming through U.S. Customs
Now look whose on the witness stand, singing, a well known soprano
A smash hit from Sammy Gravano
Here's the plan minimum for the hit, two hundred grand
Half time at the game, blasting niggas out the stands
The sharp-shooters hit the prosecutor, judges are sent
Photographs of they wives taking baths
Along with briefcase filled with one point five—that's the bribe
Take it or commit suicide
First rule—anyone who schemes on the gold in Syria
I want they small intestines ripped from they interior
I got a price for those jewels, ship 'em freight cargo
Don't forget to launder the cream through Wells Fargo
Reconstruct those processing plants for the call of Costa Rica
Four hundred barrels of ether
Two hundred pounds of reefer, and fifty immigrants with fake Visas

Life of a drug dealer
Killah hills 10304

The saga continues",https://genius.com/Gza-killah-hills-10304-lyrics
Investigative Reports,Liquid Swords,1995.0,"Here we go, come on

""A battle-A battle was fought, in Brooklyn...""
""
Hessian Soldiers killed 3,000 men; much of the fighting took place in what is now
 
Prospect Park
 in 
Green-Wood Cemetery
 as well as the Park Slope and 
Gowanus
 neighborhoods.""
""This was the first battle of America.""

Rugged rhymsters, crooked crimesters
Dime droppers, Twenty-five-to-lifers
Backstabbers, low blowers
Illegal... cocaine growers
Starvation, profanity
Anxiety, brothers trying me
Gun slingers, dead ringers

Yo, my slang's out of this world
Mix collaboration man, little man and his girl
Way of life got me thinking, plus I'm analyzing young
Youths on roofs, you know, three time felony brutes
Roll together, tropical trees puff, whatever
Yo we could go run up on, kids for leathers
What drug? Faculties bubble keys for G's
Cream flow like seven seas, hit chicks Guyanese
Word up, hold your head before you fall out
The morgue route, the devil want that
Let's get my niggas locked all out
Change for better, that be my only vendetta
With life, feed your seed right, he's breathing indeed right
Chef, remarkable, sparkable, raps and tackable gats
Never get jacked,
 see ya then move black
Paradise trife, plush with much ice
Getting nice, laying back, sleep all my life; word up!

""The battle of Brooklyn depicted was the bloodiest
Clash of the American revolution. Soldiers killed
3,000 men, much of the fighting took place in what is now...""

Crack patients, dime smokers
Vial carriers, mocha tokers
Burnt buildings, brothers building
Save the children, investigative reports!

Calling all cars, calling all cars! Ghetto
Psychos, armed and dangerous, leaving mad scars
On those who are found bound, gagged and shot
When they blast the spot, victims took off like astronauts
Get with this, even your best can't
Come on down, you're the next contestant!
Get your pockets dug from all your Chemical Bank ends
Caught him at the red light – on
 
Putnam Avenue and Franklin
They used to heat up the cipher with a shot that was hyper
Than your average JFK sniper
He just came home from Spofford
Rolling like Kaufman, and laid that ass out like carpet
Stop the stuttering boy, save complaints for the 
five-oh
Then praise the God – chk-a-chk POW!
They release shots and premeditate to grab
And then they jet back to the lab
And then remain in 
Shaolin
, an endangered island
Where shorties lose blood by the gallons

""Have integrated a number of corrupt cops, judges
...into high-level positions, to insure the continued
Success of the drug smuggling and money laundering operations""

Crack patients, dime smokers
Vial carriers, mocha tokers
Burnt buildings, brothers building
Save the children, investigative reports!

Yo, I grab the pen for revenge and let loose, see
Like Muslims, standing on the block, rocking a kufi
The hundred-dollar kick rocking kid's back for more
Starting gun wars, with black Reeboks and Velours
Jungle way of life, living villain
Packed with visions, copywritten
Throwing bread to pigeons, Christ has risen
King Elegant, slang master, jack expensive noodle hats
In sixty-nine, old timers time that brothers shot craps
The baggy blue Guess jeans, pull strings off in Palm Springs
I'm locked in the bing, Rocky ring labelled rap king
The corner emperor – the golden thieves play the benches
Rednecks be hanging big niggas down in Memphis
Back in Now-Y, hit the bull's eye with loaded nines
Life is like Tarzan, swinging from a thin vine
Shatter dreams, then mirrors don't need a press spirals
Aim at the white shadows with big barrels
Of Moet-ers, the bald headers, milk and Armarettas
Who fear none, crushing all personal vendettas, yo
They use guns while we angrily shot arrows
You better keep your eye on the sparrow

Rugged rhymsters, crooked crimesters
Dime droppers, Twenty-five-to-lifers
Backstabbers, low blowers
Illegal... cocaine growers
Starvation, profanity
Anxiety, brothers trying me
Gun slingers, dead ringers

""Have integrated a number of corrupt cops, judges and lawyers
Into high-level positions – to insure the continued success
Of the drug smuggling and money laundering operations""",https://genius.com/Gza-investigative-reports-lyrics
