title,album,year,lyrics,urls
Moment of Truth,Moment of Truth,1998.0,"No matter what we face
We must face the moment of truth, baby

They say it's lonely at the top in whatever you do
You always gotta watch motherfuckers around you
Nobody's invincible, no plan is foolproof
We all must meet our moment of truth

The same sheisty cats that you hang with and do your thang with Could set you up and wet you up nigga, peep the language
It's universal, you play with fire it may hurt you
Or burn you, lessons are blessings you should learn through
Let's face facts, although emcees lace tracks
It doesn't mean behind the scenes there ain't no dirt to trace back
That goes for all of us, there ain't nobody to trust
It's like sabotage, it's got me ready to bust
But I can't jeopardize what I have done up to this point
So I'ma get more guys to help me run the whole joint
Cultivate, multiply, motivate or else we'll die
You know I be the master of the who, what, where and why
See when you're shinin', some chumps'll wanna dull ya
Always selfish jealous punks will wanna pull ya
Down, just like some shellfish in a bucket
'Cause they love it to see your ass squirm like a worm
But just as you'll receive what is comin' to you
Everybody else is gonna get theirs too
I ain't no saint, therefore I cannot dispute
That everyone must meet their moment of truth

Actions have reactions, don't be quick to judge
You may not know the hardships people don't speak of
It's best to step back, and observe with couth
For we all must meet our moment of truth

Sometimes you gotta dig deep when problems come near
Don't fear, things get severe for everybody everywhere
Why do bad things happen to good people?
Seems that life is just a constant war between good and evil
The situation that I'm facin' is mad amazin'
To think such problems can arise from minor confrontations
Now I'm contemplatin' in my bedroom pacin'
Dark clouds over my head, my heart's racin'
Suicide? Nah, I'm not a foolish guy
Don't even feel like drinkin' or even gettin' high
'Cause all that's gonna do really is accelerate
The anxieties that I wish I could alleviate
But wait, I've been through a whole lot of other shit before
So I oughta be able to withstand some more
But I'm sweatin' though, my eyes are turnin' red and yo
I'm ready to lose my mind, but instead I use my mind
I put down the knife and take the bullets out my 9
My only crime was that I'm too damn kind
And now some scandalous motherfuckers wanna take what's mine
But they can't take the respect that I've earned in my lifetime
And you know they'll never stop the furious force of my rhymes
So like they say, every dog has its day
And like they say, God works in a mysterious way
So I pray, rememberin' the days of my youth
As I prepare to meet my moment of truth
""You shall know the truth and the truth shall set you free!""

Yo, I got one lyric pointed at your head for start
Another one is pointed at your weak-ass heart
Now if I pull the trigger on these fully-loaded lines
You're gonna wish I would've pulled a black 9
I mack dimes, crack the spines of the fake gangsters
Yeah the bitin' triflin' niggas and the studio pranksters
Yo, lookin' at the situation plainly: will you remain, G?
Or will you be looked upon strangely?
I reign as the articulator with the greater data
Revolvin' on the TASCAM much doper than my last jam
While others struggle to juggle tricky metaphors
I explore more to expose the core
A lot of emcees act stupid to me
And we have yet to see if they can match our longevity
But anyway, it's just another day
Another fake jack I slay with my spectac' rap display
Style's smooth but rugged, you can't push or shove it
You dig it and you dug it 'cause like money you love it
The king of monotone, with my own throne
Righteously violent prone, my words bring winds like cyclones
Stormin' your hideout, blockin' out your sunlight
Your image and your business were truly not done right
Throw up your He Allah Now Divine Saviours
You got no hand skills, there's no security to save ya
No pager, no celly, no drop top Benz-y
I came to bring your phony hip-hop to an ending
My art of war will leave you sore from the abuse
'Cause you must meet your moment of truth

They say it's lonely at the top in whatever you do
You always gotta watch motherfuckers around you
No one is untouchable, no man is bulletproof
We all must meet our moment of truth",https://genius.com/Gang-starr-moment-of-truth-lyrics
Above the Clouds,Moment of Truth,1998.0,"""It has come to our attention
That a mysterious force is loose somewhere in outer space""
""The mysteries of creation are there""
""Up in the sky?"" ""Up in the sky""
""The moon and the planets are there
And new hopes for knowledge and peace are there
And therefore, as we set sail, we ask God's blessing
On the most hazardous and dangerous
And greatest adventure on which man has ever embarked""
""Prepared for lift off""

I Self Lord and Master shall bring disaster to evil factors
Demonic chapters shall be captured by Kings
Through the storms of days after
Unto the Earth from the Sun through triple darkness to blast ya
With a force that can't be compared
To any firepower, for it's mind power shared
The brainwave causes vessels to circulate
Like constellations reflect at night off the lake
Word to the Father and Mother Earth
Seekin' everlastin' life through this Hell for what it's worth
Look, listen and observe
And watch another C-Cipher pullin' my peeps to the curb
Heed the words, it's like ghetto style proverbs
The righteous pay a sacrifice to get what they deserve
Cannot afford to be confined to a cell
Brainwaves swell, turnin' a desert to a well
Experience the best teacher
Thoughts will spray like street sweepers
Little Daddy street preacher
Illustrious feature, narrator you select
Accompanied by Deck, plus the DJ you respect
The seven and a half combined, over the front line
The ten-percenters promotin' slander in the airtime
Bear in mind, jewels be the tools of the trade
Sharp blades, heavenly praise and dues are paid

Above the crowds, above the clouds
Where the sounds are original
Infinite skills create miracles
Warrior spiritual
Above the clouds, rainin' down, holdin' it down

Yeah, I leave scientists mentally scarred, triple extra large
Wild like rock stars who smash guitars
Poison bars from the Gods bust holes in your mirage
And catch a charge, shake 'em down like the riot squad
Invade your zone, ruin like Ancient Rome
I span the universe and return to Earth to claim my throne
The maker, owner, plus soul controller
Ayatollah rest in the sky, the cloud's my sofa
Stand like Colossus, regardless to whom or what
Numerous attempts on my life, so who to trust?
Who but us to supply ya with the fire?
The burnin' truth, 150 Absolut proof
On the mic like Moses spoke in golden scribe
Survivor of the oldest tribe whose soldiers died
I notified families, we shed tears and mourn
But our hands are on the ammo 'cause the battle still on
Sound the horn, we come rumblin' through the function
Precise laser beam technique to touch somethin'
When we die hard, they'll build a monument to honor us with
Humongous effect in the world, we could've conquered it

Above the crowds, above the clouds
Where the sounds are original
Infinite skills create miracles
Warrior spiritual
Above the clouds, rainin' down, holdin' it down",https://genius.com/Gang-starr-above-the-clouds-lyrics
Family and Loyalty,One of the Best Yet,2019.0,"[Intro: 
MC Lyte
]
Like a freshly cut diamond
Like a freshly cut diamond
[Chorus: Guru & 
MC Lyte
]
Diamonds are forever like family and loyalty
Or real rap songs like ""C.R.E.A.M."" or ""My Melody""
Diamonds are forever like my infinite thought
Like respect in the hood that can't be bought
Diamonds are forever like family and loyalty
Or real rap songs like ""C.R.E.A.M."" or ""My Melody""
Diamonds are forever like my infinite thought
Like respect in the hood that can't be bought
Word up, diamonds
Like a freshly cut diamond
[Verse 1: Guru & 
Dres
]
Diamonds are forever like friends that'll kill for you
Went up in a jewelry store, burglary, steal for you
Build with you, split the diamond into ice blue
Thrice he tried to disrespect our kinship, I don't like you
And now you axed out the fam'
But I'm cashin' checks with Premier on this jam
Robin Leach, interviews on the beach
When we shake hands, nothin' but ice on the reach, and I teach
Like the Rap Reverend Ike without the perm', I preach
There's more you need to learn, I return for my streets
Gainin' my wealth, trainin' myself
For corny confrontation with haters who be playin' themselves
Diamonds are like my world of rap
Your rhymin', huh, it's like a world of crap
And a diamond is like a fly-ass girl that's strapped
And you can't beat that with a bat
[Chorus: Guru & 
J. Cole
]
Diamonds are forever like family and loyalty
Or real rap songs like ""C.R.E.A.M."" or ""My Melody""
Diamonds are forever like my infinite thought
Like respect in the hood that can't be bought
Diamonds are forever like family and loyalty
Or real rap songs like ""C.R.E.A.M."" or ""My Melody""
Diamonds are forever like my infinite thought (
Yeah
)
Like respect in the hood 
that can't be bought
Word up, diamonds

Diamonds (Diamonds), diamonds (Diamonds), yeah
Pick up the pen, write down the sins, cleanse
Lay that shit down, play it for friends
Make a few M's, then do it again
J. Cole, who'd have thought you woulda been rhymin' with ghosts
Guru flows forever like a diamond
The most could never afford the precious jewels
That's precisely why I'm blessin' you with clear-cut messages
I'm destined to invest in urban sections where depression rules
I hope to heal the destitute before I leave this vestibule
Between the heavens and the seven circles
Where some dead homies maybe rest, I plan to resurrect a few
I press the truth against the neck of devils
Look at the youth just like a precious pebble
Meant to be protected, mentally we let this
Poison of Western philosophy make us sloppy
We forgot we are the chosen
From hip-hop to astronomy, they copy what we showed 'em
Niggas be talkin' slick, but only try me over modems
In person they starstruck, they hearts flutter
I'm like the realest one you ever met
If you don't feel this one, give it a sec
Go live a little, let the years pass
Experience pain, watch the tears crash on to the floor
Hurt brings wisdom
Wisdom brings a whole 'nother sort of understandin'
Diamonds only worth what we demandin', uh, uh
And niggas payin' top-dollar
Once upon a time I paid a 100 for mine, now I'm a lot smarter

Diamonds are forever like family and loyalty
Or real rap songs like ""C.R.E.A.M."" or ""My Melody""
Diamonds are forever like my infinite thought
Like respect in the hood that can't be bought
Diamonds are forever like family and loyalty
Or real rap songs like ""C.R.E.A.M."" or ""My Melody""
Diamonds are forever like my infinite thought
Like respect in the hood that can't be bought

I rock diamonds that cut glass out of window panes
Baldhead Slick blazing tracks when the indo's flame
Rocks that bling, rocks that make them jock my team
Rocks that shine, rocks that keep my hand on my nine
Rocks that blind, make the High Rocks drop down
One of a kind, niggas best jet from the spot when I cock mine
Diamonds are like your man you always call fam
Diamonds are like your grandma you always call ma'am
Diamonds are like having the whole world in your hand
Diamonds are like the shows I ripped with no band
Rockin' your knot, stoppin' your plot
It's me, Baldhead Slick Duke, coppin' your block
For you it's only pain, for me it's only gain
Diamonds are like loyalty, iced out like royalty
Diamonds are like my wifey, so sweet the way she spoils me
(
So good
)
[Chorus: Guru & 
MC Lyte
]
Diamonds are forever like family and loyalty
Or real rap songs like ""C.R.E.A.M."" or ""My Melody""
Diamonds are forever like my infinite thought
Like respect in the hood that can't be bought
Diamonds are forever like family and loyalty
Or real rap songs like ""C.R.E.A.M."" or ""My Melody""
Diamonds are forever like my infinite thought
Like respect in the hood that can't be bought
Word up, diamonds
Like a freshly cut diamond",https://genius.com/Gang-starr-family-and-loyalty-lyrics
Full Clip,Full Clip: A Decade of Gang Starr,1999.0,"Big L, rest in peace!
Do you wanna mess with this
I'm one of the best yet
We got it
You can feel the realness
In this business of rap
Go ahead

Fresh out the gate again, time to raise the stakes again
Fatten my plate again, y'all cats know we always play to win
G-A-N-G to the Starr, son
Haters took this shit too far, son
So that's all for you, I'm wipin' out your whole team
I'll splatter your dreams with lyrics to shatter your schemes
The badder you seem, the more lies you tell
The more lies you sell, and by surprise, you fell
Into my deathtrap, right into my clutches
Stupid, you know the God must bless
Every single mic he touches
I've suffered, just so I could return harder
Wanna be the shit starter, fuck around, make you a martyr
I make you famous, turn around, then make you nameless
‘Cause you never understood how vital to me this rap game is
Save it and hold that, you catch a hot one
Rhymes chase a fake nigga down soon as I spot one

Full clip, do you wanna mess with this?
Gang Starr, I'm one of the best yet
I'm nice like that
It's all good in this business of rep
Full clip, do you wanna mess with this?
Gang Starr, I'm one of the best yet
I'm nice like that
It's all good, so I suggest you take a rest

So if you stand in my way, I'ma have to spray
Learn that if you come against me, son, you're gonna have to pray
Since back in the day I held the weight and kept my head up
They wanna see the god catch an L, it's all a set-up
I give no man or thing power over me
Why these niggas so jealous and looking sour over me?
I'm bolder, G, I'm like impossible to stop
I'm like that nigga in the ring with you impossible to drop
I'm like two magazines fully-loaded to your one
Plus, I ain't gonna quit spittin' 'til you're done
Plus, more than ever I got my whole shit together
More than a decade of hits that'll live forever
Catchin' rep off my name, you're bound to fry
Know how many niggas that I know is down to die?
We never fail, and we ain't never been frail
You niggas talk crime, but you scared of jail

Full clip, do you wanna mess with this?
Gang Starr, I'm one of the best yet
I'm nice like that
It's all good in this business of rep
Full clip, do you wanna mess with this?
Gang Starr, I'm one of the best yet
I'm nice like that
It's all good
So I suggest you take a rest

Attackin' like a slick Apache, lyrics are trigger-happy
Blowing back your wig piece
Just for the way you're looking at me
Cock back, blaow, I hit you up right now
I don't know why so many of y'all wanna be thugs anyhow
Face the consequence of your childish nonsense
I could make your head explode just by my lyrical content
Get you in my scope and metaphorically snipe ya
I never liked ya, I gas that ass and then ignite ya
The flamethrower, make your peeps afraid to know ya
How many times I told ya? Play your position, small soldier!
My heart is colder, makes me wanna resort to violence
Stop beating me in the head, son, nah, I'm not buyin' it
I'm ready to blast, ready to surpass and harass
I'm ready to flip, yeah, I'm ready to dip with all the cash
I hold my chrome steady with a tight grip
So watch your dome already, 'cause this one might hit

Full clip, do you wanna mess with this?
Gang Starr, I'm one of the best yet
I'm nice like that
It's all good in this business of rap
Full clip, do you wanna mess with this?
Gang Starr, I'm one of the best yet (The-the-the best yet)
I'm nice like that
It's all good, so I suggest you take a rest
F-f-f-full clip, f-f-f-full clip",https://genius.com/Gang-starr-full-clip-lyrics
Work,Moment of Truth,1998.0,"Aiyo, I'm gonna be on ti-dop, that's all my eyes can see
Victory is mine, yeah surprisingly
I've been laying, waiting for your next mistake
I put in work and watch my status escalate

Now, I'm gon' start collecting props, connecting plots
Networking like a conference ‘cause the nonsense is yet to stop
Jakes shake me down, haters wanna take me down
Break me down, CLAP! – all they heard was a sound
Yo, I scoped it out, I took your weak dream and choked it out
Your bitch don't really got no ass, she just poked it out
On the D-low, I'm saying you versus me though?
We can do this shit right here in front of your people
See, time is money, kid and BS walks
And to me it's funny, kid when you meatheads talk
I see feds stalk, they wanna dig up the dirt, son
Is it me they hawk? ‘Cause I be putting in work, son

Aiyo, I'm gonna be on ti-dop, that's all my eyes can see
Victory is mine, yeah surprisingly
I've been laying, waiting for your next mistake
I put in work and watch my status escalate

You cornballs get stonewalled, blackballed, I own y'all
The veteran, running my plan, I'm the better man
Crazy raw, doing my job like the mob
Blazing y'all and disappearing in the fog
Or a mist and chicks can't resist what I kick
They be begging for attention or some more of the dillznick
Word up, baby, someone may have to get hurt up, baby
Shit is mad shady, but I got to get the gravy
Platinum respect like the force of a TEC
Keep you hitting the deck, feeling heat in your chest
Banging your thoughts with the hot onslaught
A kid got shot on the spot for going where he should not
Viciously, I make history instantly
Those other lame-ass loser-ass niggas, they can't fuck with me
I'm doing my thing now to lamp later on
Paid in the shade with some fly gators on
But now I'm grimy as they get, mud on my pants and shirt
I bet you niggas out here know, I be putting in work

Aiyo, I'm gonna be on ti-dop, that's all my eyes can see
Victory is mine, yeah surprisingly
I've been laying, waiting for your next mistake
I put in work and watch my status escalate",https://genius.com/Gang-starr-work-lyrics
DWYCK,Hard to Earn,1994,"Aww yeah, it’s another Gang Starr sure shot, uh!
Featuring the one and only, handl’it handl’it, Roy, Nice & Smooth
Hey, Gang Starr has gots to be the sure shot
Nice & Smooth has gots to be the sure shot
Gang Starr has gots to be the sure shot
Nice & Smooth has gots to be the sure shot

Greg Nice! Greg N-I-C-E
Dame un beso,
 ah oui oui
Rock for a fee, not for free
Maybe I'll do it for charity
Now my employer or my employee
Is making Greg N-I-C-E very M-A-D
Don't ever ever think of jerking me
I work too hard for my royalty
Put lead in your ass and drink a cup of tea
Peace to Red Alert and Kid Capri
Ooohh la la, ah oui oui
I say Muhammad Ali, you say Classius Clay
I say butter, you say Parkay
It's alright if you wanna make a sway
I'm away uptown, took the deuce to the tre
I originate, they duplicate
I praise the Lord and keep the faith
It's alright, keep biting at the bait
'92, uh! One year later
Peace out, Premier, take me out with the fader

I chant 'eeny, meeny, miny, moe'
I wreck the mic like a pimp pimps hoes
Here's how it goes: I am a genius, I mean this
I shape this, you'll tape this, I'm kinda fiendish
You wish that you could come into my neighborhood
Meaning my mental state, still I'm 5-foot-8
Crazy as I wanna be, ‘cause I make it orderly
You could say I'm sorta the boss so get lost
The brother who will make you change opinions
Dominions, I'm in them when it's time to kick shit from
The heart, plus I get a piece of the action
Feeling satisfaction from the street crowd reaction
Chumps pull guns when they feel afraid
Too late, when they dip in the kick, they get sprayed
Lemonade was a popular drink and it still is
I get more props and stunts than Bruce Willis
A poet like Langston Hughes
And can't lose when I cruise out on the expressway
Leaving the bodega I say ""suave""
Premier's got more beats than barns got hay
Clips are inserted into my gun
So I can take the money, never have to run

Yo Keithy E, I left my Phillie at home, do you have another?
I wanna get blunted, my brother
Now, may I make a mark then make a spark
Over this phat track – or should I say dope beat?
Subtract, delete
All of the wick wack that wanna be abstract
But they lack the new knack that's coming from way way back
Hey yo, Premier, please pass that buddha sack
You heard we quit? No way, bullshit!
I told you before we come back with more hits
I provide bright flavor, so you can sketch me
Do me a favor, don't try to catch me
Slightly ahead of the game, I'm not a lame
Ask him, he'll tell you the same he knows my name
Smooth, I drop jewels like paraphernalia
I'm infallible, not into failure
Like a rhinoceros, my speed is prosperous
And pure knowledge expands from my esophagus
I write in the night to bring truth to the light
My dialogue is my own, ‘cause Smooth B will never bite

After the tour quits, I come back with more hits
After the tour quits, I come back with more hits
After the tour quits, I come back with more hits",https://genius.com/Gang-starr-dwyck-lyrics
Mass Appeal,Hard to Earn,1994.0,"""Money's growin' like grass with the mass appeal""
""Money's growin' like grass with the mass appeal""
""Money's growin' like grass with the mass appeal""
""Money's growin' like grass with the mass appeal""

No way, you'll never make it
Come with the weak shit, I'll break it
Step into my zone, mad rhymes will stifle ya
Lines like rifles go blast when I kick some ass
A lot of rappers be like one-time wonders
Couldn't say a fly rhyme if there was one right under, their noses
I hate those motherfuckin' posers
But I'm so real, to them it's scary
And with my unique skills, nah, you can't compare me
And no, we don't make wack tracks
And all the suckers get pushed back when I'm kickin' real facts
I represent, set up shit like a tent, boy
You're paranoid 'cause you're a son like Elroy
And you'd be happy as hell to get a record deal
Maybe your soul you'd sell to have mass appeal

""Money's growin' like grass with the mass appeal""
""Money's growin' like grass with the mass appeal""

Oh yes, I'm greater than all MC's when I breeze
Give me room, please
I be like fascinatin' when I be updatin'
Cuttin' off wack kids, pullin' their trump cards
I thump hard, and make 'em say that I'm God
Niggas be pretendin' they're hardcore
Never know the meanin' of (raw)
But I get props like a slogan
And no man could ever try to diss when I kicks my jam
Lyrically def and connectin', complete mic-wreckin'
No double-checkin', vocals kill like weapons
But if I have to, I go all out with no mic
Yeah, that's right, cause I survived mad fights
And for my peeps I truly care
Cause without some of them I wouldn't be here
And they all know how I feel
'Cause suckers be like playin' themselves to have mass appeal

""Money's growin' like grass with the mass appeal""
""Money's growin' like grass with the mass appeal""
""Money's growin' like grass with the mass appeal""
""Money's growin' like grass with the mass appeal""

I know I'm dope, but don't wet that
I've suffered setbacks, but now I'm makin' greenbacks
Just like baggy slacks, I'm crazy hip-hop
Check one two and you don't stop
Your head'll bop when I drop my crop of pure bomb
Just like the seashore, I'm calm
But wild, with my monotone style
Because I don't need gimmicks
Gimme a fly beat and I'm all in it
Word is bond, I go on and on
For you it's tragic, I got magic like wands
So I'ma end this lecture and I bet ya
Those who kick dirt, in due time I'm gonna get ya
'Cause I be kickin' the real
While they be losin' the race tryin' to chase mass appeal

""Money's growin' like grass with the mass appeal""
""Money's growin' like grass with the mass appeal""
""Money's growin' like grass with the mass appeal""
""Money's growin' like grass with the mass appeal""",https://genius.com/Gang-starr-mass-appeal-lyrics
You Know My Steez,Moment of Truth,1997.0,"That makes me know that what we're doing
We had the right idea in the beginning
And and we just need to maintain our focus and elevate
We what we do we update our formulas
We have certain formulas but we update em (oh right)
With the times and everything y'know
So y'know the rhyme style is elevated
The style of beats is elevated but it's still Guru and Premier
And it's always a message involved

The real (The real)
Hip-hop (Hip-hop)
MCing(MCing), and
DJing (DJing), from your own mind (from your own mind,)
You know? (you know?)
I, I guess right now we should start the show

Who's the suspicious character
Strapped with the sounds profound
Similar to rounds spit by Derringers
You're in the Terrordome, like my man Chuck D said
It's time to dethrone you clones and all you knuckleheads
‘Cause MC's have used up extended warranties
While real MC's and DJ's are a minority
But right about now, I use my authority
‘Cause I'm like the Wizard, and you look lost like Dorothy
The horror be when I return for my real people
Words that split wigs hitting like some double Desert Eagles
Sporting caps pulled low, and baggy slacks
Subtracting all the rappers who lack over Premier's tracks
Severe facts have brought this rap game to near collapse
So as I have in the past, I whoop ass
Dropping lyrics that be hotter than sex and candlewax
And one-dimensional MC's can't handle that
While the world's revolving, on its axis
I come with mad love and plus the illest warlike tactics
The wilderness is filled with this
So many people searching for false bliss
I'm here with the skills you've missed
The rejected stone is now the cornerstone
Sort of like the master builder when I make my way home
You know my steez

You know my steez
Let 'em know, do your thing, God
Keep it live (Keep it live, Keep it live)
To the beat y'all

The beat is sinister, Primo makes you relax
I'm like the minister, when I be lacing the wax
I be bringing salvation through the way that I rap
And you know, and I know, I'm nice like that
Work through worldly problems, I got the healing power
When the mic's within my reach, I'm feeling more power
Stealing at least three minutes of every rap radio hour
It's often easier for one to give advice
Than it is for a person to run one's own life
That's why I can't be caught up in all the hype
I keep my soul tight and let these lines take flight
The apparatus gets blessed
And suckers get put to rest
No more of the unpure, I got the cure for this mess
The wackness is spreading like the plague
MC's lucked up and got paid
But still can't make the fucking grade
How many times are wannabe's gonna lie?
Yo, they must wanna fry
They can't touch the knowledge I personify
I travel through the darkness, carrying my torch
The illest soldier, when I'm holding down the fort
You know my steez
(You know my steez)

Let em know, do your thing, God
Keep it live (Keep it live)
You know my steez
Let em know, do your thing, God
Keep it live (Keep it live)
You know my steez
Let em know, do your thing, God
Keep it live (Keep it live)
You know my steez
Let em know, do your thing, God
Keep it live (Keep it live)
The mic

On the microphone, you know that I'm one of the best yet
Some punks ain't paid all of their debts yet
Trying to be fly, riding high on the jet-set
With juvenile rhymes, making fake-ass death threats
Big deal, like En Vogue, here's something you can feel
Styles more tangible, and image more real
For some time now, I've held the scrolls and manuscripts
When it's time to go all out you be like, ""Damn, he flipped!""
Now I'm sick, fed up with the bullshit
Got the lyrical full clip, giving you a verbal asswhip
Don't trip, it's the gifted prolific one
Known as Bald Head Slick  why is the press all on my di-dick?
My style be wilder than a kamikaze pilot
Don't try it, I'm about to start more than a frigging riot
Styles unsurpassable, and nuccas that's suckas
Yo, them motherfuckers are harrassable
For I be speaking from my parables and carry you beyond
The mic's either a magic wand
Or it gets tragic like the havoc of a nuclear bomb
Then I grab your palm, no pulse, you're gone
And if you thought we'd lose our niche
In this rap shit, you way wrong
I stay up, I stay on, shine bright, like neon
Your song's pathetic, synthetic, like Rayon
Fat beats, they play on, want dope rhymes, put me on
Word is bond
You know my steez",https://genius.com/Gang-starr-you-know-my-steez-lyrics
Betrayal,Moment of Truth,1998.0,"Yo what up son?
-Yo what up kid?
Yo, you holdin your head up?
-I'm tryin to man, but the system is shady
Word man they always man, they always tryin
To keep a good brother down, but I'm sayin
We still, you know we got love for you son
And we prayin for you and we, you know
We tryin to hold it down wh
You know while you in there man
-No question
Hopefully they won't keep you in there for too long
-Yeah, for real, I sure love be out in a minute, you know?
-But you know what I want you to kid? You know what would
-be the bomb man?
What's that?
-You need to do some shit with Face man
-'bout how niggas be shady, man
Scarface?
-Yeah man
Yo that's my nigga, yaknowwhaImean
-Scarface is tight son
Yo that's a good idea word is bond
I'm gonna talk the play in tomorrow(yeah) and
See about if we could hook up wit him
-That's proper

Scandalous, money greed and lust
In this trife life, there ain't nobody you can trust
Plus there's no justice, it's just us
In fact, watchin' yo back it be must
And each and everyday around the way gats bust
And jealous so-called friends'll try to set you up
It's called betrayal

Check the horror scene
The kid was like twelve or thirteen
Never had the chance like other kids to follow dreams
Watched his father catch two in the dome and to the spleen
Nothin' but blood everywhere, these streets are mean
They spared his life, but killed his moms and his sister Jean
Of course over some drug shit
His pops was on some ill-out, spill your guts, on some thug shit
Didn't know his boys was on some shady ass no love shit
His pops got played out though, with silencers they laid him out yo
Took his stash and all the cash and left 'em, tied up on the couch yo
With tape over his mouth, so he couldn't cry out
Cause his dad was the nigga with clout
Survival of the fittest so they split his wig no doubt
Despite the stocking caps he noticed the same cat, who used to give him dough
And taught him, to use the same gat
Supposed to be an Uncle, fam and all that
He could tell that it was him cause he had on the same slacks, he wore when
He took him to Meadowlands racetrack
Why did he flip and go out like that?
It's called betrayal

Scandalous, money greed and lust
In this trife life, there ain't nobody you can trust
Plus there's no justice, it's just us
In fact, watchin' yo back it be must
And each and everyday around the way gats bust
And jealous so-called friends'll try to set you up
It's called betrayal

A betrayal
Punk ass niggas
It's called betrayal
He on a mission to become a ball player
Flip big Benz's, flossin' all gators
Had it all mapped out, a 6-8 12th grader
Fresh outta school and finna go make paper
He had a brother who was hustlin', collectin' his change
Never let his baby brother stick his neck in the game
Told him all he had to do is just enjoy the ride
And he ain't have to worry about money cause that's in time
So now he's pacin' as the time moves slowly
Can't wait to face Shaquille in the paint and school Kobe
Kept his grades and stayed up under neighborhood functions
And then a group of knuckleheads came through dumping
So now he's sittin' on the sidewalk bleeding
Fell into a puddle of his own blood and stopped breathin'
And everybody in the neighborhood still grievin'
But destiny caught up with his ass and he got even
And all the cryin' in the world ain't goin' to bring him back
His brother, sittin' at the wake wipin' tears from his mother's eyes
Why'd the game have to go and take the young boys life
Only the wicked live shife, payin' the price
While he's starin' at the shell his brother's soul once held
The trigger man made bail
And you, wouldn't pay the boy his mail, and sacrificed your fuckin' family
That's betrayal
Betrayal (echoes)

Scandalous, money greed and lust
In this trife life, there ain't nobody you can trust
Plus there's no justice, it's just us
In fact, watchin' yo back it be must
And each and everyday around the way gats bust
And jealous so-called friends'll try to set you up
It's called betrayal",https://genius.com/Gang-starr-betrayal-lyrics
JFK 2 LAX,Moment of Truth,1998.0,"Yo
Yo Premier?
Yeah whassup G?
That trip to L.A., may be delayed
Why whassup I'm on my way to the airport now
Yeah well your boy Guru got knocked
WHAT?!
I don't know what this is about, sounds crazy man
Something about a gun
""The court calls Keith Elam to the stand
Please approach the bench.""

Yo they got me handcuffed, I'm down in central booking
Things are fucked up, the way my future's looking
But I'm too fly, I'mma change this scenario
Make some power moves and tighten up my bankroll
Chumps are leary though, they see me as a threat
I'm like the black Dutch Schultz when you get me upset
5-0 makes me wanna flip, Larry Davis style
Got a nigga depressed, while he's awaiting trial
It's OK though, cause from grey skies comes blue
Through darkness comes light and I be known as the Guru
And this I certify we all should be alerted by
The traps within the system, our youth is getting murdered by
The D.A. says they got me on a felony
I'm trying to live my life, so what the fuck is you telling me?
The streets are war, that's what brothers carry weapons for
And I take the weight as I did before
The next thing you know, they got me on the radio
A rapper arrested, suckers showing me on video
Of course I know, that I'm a role model
But yo this rap life is real life sometimes it's full throttle
Right now I gotta think about me fuck the industry
You gets no love, except those who support me
What's the story, what happened when I went to L.A.?
Mixing shit up, no not there I got family
Nothing happened, mind your business yo step
You know we connect, JFK 2 LAX

They wanna lock us all up, and throw away the key
Don't wanna see us come up, don't wanna see us making G's
Long as we know this is the key to our destruction
Let's make moves no discussion

Peace to my man Hass
, an Orange Man paying the cost
All the twenty-five to lifers all my brothers getting tossed
Into the system, supposed to rehabilitate
It's why you gotta regulate your own mindstate
Read, study lessons and build your inner power
The next level, doesn't tolerate cowards
For example, I know this rich Nigerian
Powerful American that's proud to be an African
He asked me why do all us brothers be getting trapped
I told him I'd explain it, broke it down in a rap
Whether you got naps, braids waves or no hair
Without esteem for yourself nigga, you going nowhere
And you can swagger like you rude as Josey Wales
Unorganized revolt almost always mostly fails
Give up the savage ways, be effective soldiers
To elevate the mental is to be poor no more
There's war in the streets, prepared men know best
I rhyme as live as it gets, JFK 2 LAX
They're always making trouble yo, against the righteous
Killing us in cold blood, those beasts, those vipers
And as I sit feeling the pain in my wrist
I vow to myself that I'mma change this shit
Or at least I gotta try or part of me will die
And only by action will any ideas solidify
So I inhale, exhale as I ponder
This grown man will make mistakes no longer
I've been there, I've seen how they make us fall victim
To their tricknowledgy, with no apology I diss em
And so I rip facts to dope tracks I caress
You're gonna hear about it, from JFK 2 LAX",https://genius.com/Gang-starr-jfk-2-lax-lyrics
