title,album,year,lyrics,urls
Cell Therapy,Soul Food,1995.0,"When the scene unfolds, young girls 13 years old
Expose themselves to any Tom, Dick, and Hank
Got more stretch marks than these hoes
Hollin' they got rank
See SEGA ain't in this new world order
Dem experimenting in Atlanta, Georgia
United Nations, overseas, trained assassins
Do search and seize, ain't knocking or asking
They're coming for niggas like me, poor white trash like they
Tricks like her back in slavery
Concentration camps laced with gas pipelines
Infernos outdoors like they had back
When Adolf Hitler was living in 1945
Listen to me now, believe me later on
In the future look it up, where they say it in the Constitution?
That in the event of a race war
Places like Operation Heartbreak Hotel
Moments tear until air tight vents sealed off despair
Dem say expect no mercy
Fool, you should be my least worries
Got to deal with W-2's, 1099's
Unmarked black helicopters swoop down
And try to put missiles in mines

Who's that peeking in my window?
Pow, nobody now (nobody now)
Who's that peeking in my window?
Pow, nobody now (nobody now)

Me and my family moved in our apartment complex
A gate with a serial code was put up next
The claim that this community is so drug free
But it don't look that way to me, 'cause I can see
The young bloods hanging out at the store 24/7
Junkies looking for a hit of the blow, it's powerful
Oh, you know what else they tryin to do?
Make a curfew especially for me and you
The traces of the new world order, time is getting shorter
If we don't get prepared, people, it's gon' be a slaughter
My mind won't allow me to not be curious
My folk don't understand so they don't take it serious
But every now and then, I wonder if the gate was put up
To keep crime out or keep our ass in

Who's that peeking in my window?
Pow, nobody now (nobody now)
Who's that peeking in my window?
Pow, nobody now (nobody now)

Listen up, lil nigga, I'm talking to you
About what yo little ass need to be going through
I fall a victim too and I know I shouldn't smoke so much
But I do with the crew every day
On the average 'bout four or five, I'm lucky to be alive at sunrise
Now I realize the cost after I lost my best friend Bean
I recognize as a King
Who am I to tell you to stop smokin?
Now you're open to disease and colds
And ain't 16 years old, this shit has got to stop
Let's take a walk through detox, I want outta this hole
I'm in a cell under attack, loc up folks
They in the hood, got an eye on every move
I make open your face to info you ain't know 'cause it's kept low
How the new world plan reach the planet without the black man

So what's your aim? Try to separate me from the blood
Is disrespect like coming in my home
And not wiping your feet on the rug
The Citron Absolut has got me bucking, no hang with no phony
Look out for the man with the mask on the white pony
On my back are bills staying off my toes, always on my heels
Insane, plain soldiers coming in the dark by plane
To enforce the new system by reign
Tag my skin with your computer chip
Run your hand over the scanner to buy your dish now
No more fishing for your fish
Kiss the days of the old days past ways gone
Mind blown, conception, protection
My name on your selections but I caught you coming, pow

Who's that peeking in my window?
Pow, nobody now (nobody now)
Who's that peeking in my window?
Pow, nobody now (nobody now)
Who's that peeking in my window?
Pow, nobody now (nobody now)
Who's that peeking in my window?
Pow, nobody now (nobody now)

​Cell therapy
Think about it
Use that tool between your two shoulders
Brain cell therapy​​",https://genius.com/Goodie-mob-cell-therapy-lyrics
Dirty South,Soul Food,1995.0,"One to da two da three da four
Dem dirty Red Dogs done hit the door
And they got everybody on they hands and knees
And they ain't gonna leave until they find them keys

Now if dirty Bill Clinton fronted me some weight
Told me to keep two, bring him back eight
And I only brought him five and stuck his ass for three
Do you think that Clampett will sick his goons on me?
See Martel Homes, that's my claim to fame
That's where I learned my slickest tricks in the dope-d-game
Like my favorite, I call it ""Lemonhead Delight""
That's when you lick off all the yellow and you sell the white.

Right, well if pimpin' be a sport I be bein' the wide receiver
That nigga B-I-G will make ya'll niggas believers
Sippin' on Cuervo Gold off in the club drunk as fuck
Callin' them hoes bitches, and smokin' my weed up
When I'm too sober, year older, now I'm almost legal
Wanted to live the life of Cadillacs, Impalas and Regals
Fuckin' around wit hoes, bustin' nuts in they mouths
Kickin' that same southern slang
Lookin' for love off in yo' jaw, ho!

See powder gets you hyper; reefer makes you calm;
Cigarettes give you cancer; woo woo's make you dumb
What you niggas know about the Dirty South?
What you niggas know about the Dirty South?

See never did I think when I got grown
That some pee wee sacks had been done took this town
See, life's a bitch, then you figure out
Why you really got dropped in the Dirty South
See in the 3rd grade this is what you told
You was bought, you was sold
Now they sayin' Juice left some heads cracked
I betcha Jed Clampett want his money back
See East Point Atlanta threw this road block
Talkin 'bout all this blow traffic got to stop
So the big time players off John Freeman Way
Had to find themselves another back street to take
'Cause back in the day we was outta control
We didn't understand, ""Naw nigga, that money ain't yours""
That's when me and Big Slate took an oath and sweared
Never would we talk, never would we tell
So when they pulled up bumpin' ""Rock The Bells""
We took what we want and left them quiet as hell
What you niggas know about the Dirty South?
What you niggas know about the Dirty South?

Now that Cobras got the boys on Delowe on they back
Gipp hollered at Miss Ann, she said they didn't get trapped
Behind the black, behind green, behind the red tint
Dealers breaking off that blow up for those woodchips
A lot of faces ain't around, a lot of folks got shot
Scatta Mack droppin' G's while that Cristal pop
Been on the grind with Cool Breeze, droppin' pounds with B
Eric Neal is the coolest from my century
Mack town keeps growing, old school like Charles
Stankin' like dem Lincolns in Piedmont Park
Perry Homes to Herndon Homes, to all the Homes
Adamsville to Poole Creek, shit, just don't sleep in the Dirty South
One to da two da three da four
Dem dirty Red Dogs done hit the door
And they got everybody on they hands and knees
And they ain't gonna leave until they find them keys
See powder gets you hyper, reefa makes you calm
Cigarettes give you cancer, woo woo's make you dumb
What you niggas know about the Dirty South?
What you niggas know about the Dirty South?",https://genius.com/Goodie-mob-dirty-south-lyrics
Black Ice (Sky High),Still Standing,1998.0,"Do you ever see that stuff that be
When it get cold
That ice that you can't see?
See that shit happens sometimes
Yep
Black ice

Now you know and I know
I done bumped every hole in the wall, y'all
Did you catch that phone call?
Most of y'all that met me thought I was tall
Gipp flipped like a dip, slipped, fell on the black ice
Did you think twice? Homeslice came and he went
Satisfied, got bent, bars ain't shit
Mutant, coast to coast, yeah, I laughed and boast
Man, do-si-dos, too many comin' close to

Touch what I never touched before
Seen what I never seen befo'
Woke up and seen the sun
Sky high, sky high

Circulate like a Sunday paper
Capers caught long time, to cheap flicks, good picks
Paid hard, watch the hard turn sideways
Cook the 'tail for real sales to those who lose cash
Players keep your life for now
Feeling good and warm, windows rolled tight
Thirty-five degrees, nippy tonight
Don't forget the ChapStick, lips dry quick
When the jack out, make you wanna act out
Take the slack out, some people black out
Hibernatin' 'til we came back out

Touch what I never touched before
Seen what I never seen befo'
Woke up and seen the sun
Sky high, sky high (Sky high)
Touch what I never touched before
Seen what I never seen befo'
Woke up and seen the sun
Sky high, sky high

I been in it for the past few days
Tighter than fades, I'm knowin' my plays
Now can I rap? Can I adapt? Not really sure yet
Who that lookin' over the shoulders of those writin' dreams?
Fiending for the taste of menthol
Missed class, stayed in the hall
Lookin' for a squeeze play, better, yet a holiday
Stayed away from the pyramid board game
Broke it down to a neighborhood slang
Cash before fame

Sky high, sky high
Sky high (Sky high)
Sky high (Sky high)
Sky high (Sky high)
Sky high (Sky high)

Now who done stepped in?
The nigga, the B-I-G, the secret weapon, boi
Slicker than Black Ice, throwin' these flows like rice at weddings
So quit flexing, we speakin' about
Something that's refreshing to the earlobes
Pay for the room and still be in pimp mode
Like Iceberg, Chryslers and Buicks
Some niggas ain't on they jobs so them suckers here to lose it
Abuse they privileges and now the whole village's been shot to pieces (Pieces)
'Cause niggas are biting that same stupid shit, I mean that feces
Boy, don't beep me, if you ain't got no work (Work)
I'm strictly 'bout these verses like the ones you hear at church, boy, search, boy
Talking about your dough is long like Lurch, boy
Every time I heard you rhymin' like a fucking jerk, boy; simp
Yeah!

Friends, Romans, countrymen, lend me your eardrums
It was a beautiful day off in the neighborhood
Yellows and greens and blues and browns
And greys and hues that ooze beneath dilapidated wood
Ain't a thing could explain what pertains
To cocaine and sustaining reign
See, summer rolls around, niggas holler bout change
Then they steady move them keys like Bob James
'Cause old man winter's arrived, the temperature dives
November just died, December's alive
Thus it ain't no typical ride
Just individuals' way to bring home
The bacon when bacon was all gone
Making it our own, taking me all wrong
We've all indulged in the bulge of those no-nos
No, you ain't solo, there's even lower levels you can go
Take sun people, put 'em in a land of snow

Touch what I never touched before
Seen what I never seen before
Woke up and seen the sun
Sky high, sky high",https://genius.com/Goodie-mob-black-ice-sky-high-lyrics
Thought Process,Soul Food,1995.0,"Let me get a chop at this lumber
Niggas from down Underground they hangin' around the A-Town
Lookin' for a come up, workin' from 9 to 5
Just to get some change so T-Mo can stay alive
Not greedy or livin' lavish yet, but you can bet
That when I do, nobody from my crew will I forget
And if I start to get large and come up on some change
I won't change, everybody know they down
It's not the same, everyday life can be different
These laws got me ready to brawl 'cause I fall a victim
So I still be slangin' them fat pillows to make 'em meet
Each and every day as I comb my city streets
Sometimes I wish I never had been a part of this mess
'Cause the system got us fucked up
It put us to the test, women and men, if you black, you in
Food for the soul, listen to what I tell you
It don't matter young or old, it's time we loc' up
And do like we suppose
We killin' each other over this bullshit and some clothes
We trapped off in this world's society with no place else to go
So how you feel?

Frustrated, irritated
Sometimes I don't know myself, I be too numb
To feel something sometimes, so I dig deep
Get in the Cherokee
Let my mind fly free into the wilderness
So I can get this shit off my mind
That's why I be smokin' that dank sometimes
It keep me from snappin', keeps me calm
Keeps my mind open, keeps me fond
Of what I gots to do off in the studio
To get my old bird back on her feet
And my little bro in Statesboro
And my little cuz Mark Twain, all my folks that hang with me
When I was out in the trap or when I was goin'
Through one of our episodes, only God knows
What I go through, so I get down on my knees
Sometimes I come home too high to pray
But I get on my bed, lay on my back
And meditate, anyway, in the ceiling
The four walls, it's like cell therapy
Got nothing to do but write about my L-I-F-E
Put it down on paper...
Man, so what you feelin' like?

I live for today, motherfuck another hour, it might be sour
Never know my day so I'm prayin' in the shower
Look up and thank the Lord for forgiveness, a witness to bad
I'm lookin' for good in the Southwest, God bless my neighborhood
There's people killin' in the street to eat
Survivin’ the day is the only goal that I set
Just to make it home, I'm not alone
Someone's out to get me when I haven't done shit wrong

My head felt swoll, messed up, couldn't see past my mouth
“What route did you take, man?” Got me by the loops of my pants
Got me on the curb lettin' the traffic pass me by
No questions, I said nothing
Lookin' for the mutant to be buckin' the law, naw man, Gipp
Showed him my shit, closed my mouth then I dip
See to me a G is a person who understands the plan
Can't make no moves when you in the hands of the man
They got some new suites down Peachtree
Left wing for the Feds, right wing for the hardheads
Makin' more deals than Buddy Fowlkes made with Hartsfield
Somebody don't want my face in this place for ‘96, shit's slick
Car be clean lookin' fresh, dog be scratchin' at my chest
Under the order of who? Guess who, ain't none iller
Than Miller, wanna 1-2 your ass
No more life what you gave is the past, cause ain't no future
Wanna “Miller camp” your case, disgrace your face
Make it seem to be safe, ain't no place to run

Sometimes I don't even know how I'm gon' eat
'Bout twenty dollars away from being on the street
Shit, you might see a nigga on TV
But hell, it's almost like I'm rappin' for free
That little money be gone
God dammit, I'm grown
Gotta help keep the heat and lights on
It would be nice to have more but I kinda like bein' poor
At least I know what my friends here for
I wanna lie to you sometimes, but I can't
I wanna tell you that it's all good, but it ain't
It's niggas hurtin' and uncertain about
If they gon' make it or not, that's why we got niggas killing
Feelin' like they comin' up off a little dope they sold
You can get some gold but we won't make it as a whole
'Cause without you, there'd be no me
And without no unity there will never be any happiness
You could smoke a pound of sess
And it still won't relieve your stress
God bless... my thought process

The thought process... Now-
Now as an Outkast, I was born, wasn't warned of the harm
That would come to meet me like Met Life, but yet life
Done sent me through a lot of ups and downs like it ain't nothin'
Like elevators but I ain't the one that's pushin' the buttons
I got off at the 13th floor, when they told me that it wasn't one
They said it skipped from 12 to 14
Still smoking, still drinking
No, I'm sittin' on the Lincoln 4 AM thinking
That in reality the world is like a ball full of players
We trapped off in this maze with walls made of layers
And only prayer is the tightest game that you can have
The devil's takin' a swing, that might explain the broken glass
But my crystal ball see the pistol fall to the wayside
Nobody would die in cops and robbers when we used to play, right?
Huh, the only thing we feared was Williams, Wayne
Never thought about hittin' licks or slangin' 'caine
Did not think I'd be the one to give in to abortion
Label me ""murderer"" because my ass is scorchin'
Hot from the Glock that sits under my seat
Yeah, it's real fucked up that my folks come to get me
And it's like dat...yeah, uh-huh, yeah, and it's like dem!",https://genius.com/Goodie-mob-thought-process-lyrics
Soul Food,Soul Food,1995.0,"My old boy from the point
But I'm from Southwest and every
Now and then I get put to the test
But I can't be stopped
Cause I gotta come true ain't got no gun
But I got my crew
Didn't come for no beef cause I don't eat steak
I got a plate of soul food chicken, rice and gravy
Not covered in too much
Drinking a cup of punch, tropical
Every last Thursday of the month

Daddy put tha hot grits on my chest in tha morning
When I was sick Mary had tha hot soup boiling
Didn't know why but it felt so good
Like some waffles in that morning
Headed back to tha woods
Now I'm full as tick
Got some soul on blast in tha cassette
Food for my brain
I haven't stopped learning yet
Hot wings from Mo-Joes
Got my forehead sweating
Celery and blue cheese on my menu next

Southern Fry won't allow my body to lie still
Tied face goons surround me like cancer drill
Me with second-hand obstables
But, only to make matters worse
Plus I'm getting pimped by this temp lady Jackie
From Optima staffing figure laughing
Shut up clown don't talk to me
Like that looking stupid of course
Living day by day and you ain't hard
Trick hell you say?

It's such a blessing when my eyes
Get to see the sun rise
I'm ready to begin
Another chance to get further away from where I've been
But I'll never forget
Everythang I went through I appreciate the shit
Because If I hada went and took the easy way
Wouldn't be the strong nigga that I am today
Everythang that I did
Different thangs I was told
Just ended up being food for my soul

Come and get yo' soul food, well well
Good old-fashioned soul food, all right
Everythang is for free
As good as it can be
Come and get some soul food

Sunday morning where you reating at?
I'm on 1365 Wichita Drive
Ole' burd working the stove ride
Churches dropping chicken in yesterday's grease
Didn't go together with this quart of Mickey's
Last night hanging over from a good time
Yeah beef is cheaper but
It's pumped with ""red dye"" between two pieces of bread
Shawty look good with dem hairy legs
Wish I could cut her up but, ma stomach come before sex
A house full of hoes now what's the ingredient
Spaghetti plus her monthly flow

They know they making it hard on the yard
Fuck Chris Darden, fuck Marcia Clark
Taking us when we're in the spotlight for a joke
Changing by the day I see it's getting bigga in my square
Looking at Lenox from the outside
With a stare no money to go inside
Tameka and Tiffany outside tripping
And skipping rope to the beats from my jeep
As I speak wuz up from the driver seat

A heaping helping of fried chicken
Macaroni and cheese and collard greens
Too big for my jeans
Smoke steams from under the lid that's on the pot
Ain't never had a lot, but thankful for
The little that I got
Why not be?
Fast food got me feeling sick
Them crackers think they slick
By trying to make this bullshit affordable
I thank the Lord that my voice was recordable

(Come an get your soul food, well, well)
Hold up C it's what I write
And Miss Lady acting like we in jail
Says she ain't got no extra hush puppies to sell
Bankhead seafood making me hit that door
With a mind full of attitude
It was a line at Tha Beautiful
JJ'S Ribshack was packed too
Looking to be one of dem days
When Momma ain't cooking
Everybody's out hunting with tha family
Looking for a little soul food",https://genius.com/Goodie-mob-soul-food-lyrics
Special Education,Age Against The Machine,2013.0,"They call him Gipp Zagga
It's the mutant, mister get down
Live wire, words poke you like barbwire
Maroon Range, sugar cane, oil stains
My right leg longer than my left foot
Put stripes next to squares, still peel the circle
See spirits off of people, I don't see color
I'm a special mind, yeah, a special kind
Conceived in the South at a special time
Covered in leaves of gold
Scripture written in scrolls
Spoken so clearly in tongues
So my children would come
Look around
Can't you see
The industry: they look like me

I don't wear the clothes you wear
I'm just different and I don't care
It's kind of sad and it's a shame
Everyone wants to be the same
If you are listening here and now
I'm sure I can show you how
It's okay to be afraid
Don't you want to be special

I'm so special, boy
Tried to went stupid, dumb
I eat nuclear waste and spit atomic bombs
Plutonium explodes, that's my trademark
Mushroom clouds inside, call 'em brain farts
Gamma rays torch my system, now I'm going green
G-force in my veins, pump hydrazine
KT, 13, a microphone beam
Cosmic juggernaut, extraterrestrial being
Reign supreme, once conceived, boy, they broke the mold
All this glory-seeking is getting totally outta control
No one's original, Attack of the Clones
Invasion of the swagger-snatchers
Aim for the dome


Scientists stood around in silence as I was being born
Was I quote, unquote ""special"" or was there something wrong
My skin was black, my heart was gold, and my tongue was silver
And the fact that I could talk already, that was a thriller
And I fear what I don't understand, so let me warn you
Especially when nigga make too much noise about being normal
Unusual but beautiful, the bondin' blessing
Summa Cum Laude, School of Exceptional Youth
X-Men
Let me put something poetic into plain English
I'd rather die than to not be distinguished
The outsiders have no desires to be equal
When V.I.P. stands for ""Very Insecure People""


S.P.E.C.I.A.L
Heavyweight in the game, T tip the scale
I travel over the world back to ATL
I'm friends with the mayor, I'm a truthsayer
A crusader, a natural-born raider
I need a deejayer to be the illustrator
Let's get the dollar signs
I said my Gucci rhymes
I think it's tea time
Don't need a co-sign
T-Mo is on the grind, he about to let it shine
Off in the skyline, don't worry 'bout mine
I can handle lies and watching third eyes
I make 'em go blind, I don't just rap to rhyme",https://genius.com/Goodie-mob-special-education-lyrics
Beautiful Skin,Still Standing,1998.0,"Mmmm.. this particular song right here is..
Dedicated to the black woman
And it doesn't pertain to all black women
Because some of y'all disrespect y'allself
Because you don't know who you are in the first place
This is out of common respect, for all women period
Word up, like this song, yo

Yo, I'm quite single, and occassionally I mingle
But aside from all the rest, she sparks my interest
No, ma'am, I don't know you
Just offering the common respect I feel I owe you
Also, some conversation, companionship, common-ground and common-sense
There's no such thing as coincidence in, me finding you here
And I really hate screaming in your ear, so some other time, OK?
I waited a day *phone rings* Hello?
This is Carlito from a couple of days ago, you sound tired
Forgive me if I've called you too late
But what better time to relate mind-state? Where could I begin?
Hasn't anyone ever told you you got beautiful skin?
You're more than welcome, what do you desire within?
I just, wanna be, there's no need to put titles on you and me
Those are limitations, living and learning are our only obligations
Equality, honesty, independence, intelligence, emotion and devotion
Humbly seeking to hear God when he's speaking
At one time, my mind, just, couldn't conceive
A woman had to dress a certain way to believe
But, in the same breath, a-llow me to say
That, if you believed young lady, you wouldn't dress that way
And I, was attracted to your class, I couldn't see all yo' ass
And, I was very content, and you deserved every complement
Now, remember our indifferences make us the same
You gotta have some game, or, many of you
Won't even be able to take care of yourself, uh
And Love, when I look at you, I see my reflection
So I offer my love, affection and protection
Shawty, you dead fine, but the bottom-line is
You're still my sister
Chorus: Cee-Lo *singing*
Well, I say you're my, beginnin my end
You're my sista lover and friend
God is, your light from within
It shines through your beautiful skin
What they, say bout you ain't true
There's no me if there is no you
I hope, that you understand
You got to respect yourself before I can

Yeah, I met you and y'all knew, saw you again on Marietta
Downtown Atlanta, checkin your long legs, got me smirkin
Fixed me dinner one night, candles lit
Kinda thought you was slick in the beginnin'
But it teurned out you wouldn't lie
Looked me in my eye, I listened
Sucked it up, pushed on, we made amends, both sides clicked
True friends, since then, years done gon by
Brought a baby girl into this world, made our parents grandfolks
Household with no hope, took care of ye, you me
When shit got put out on the curb
Closer than the skin on the back of my hand
Through the thick and thin, we can win
Beautiful black skin
Chorus

No need to compete, with the music loud
Or stairs cold, put on a scale, of one to ten, you a twelve
I chose, her over jail and hell
Originally from ATL

Compatible souls come together, under bad weather
To discuss distrust amongst the so-called
Good in every wo-man, how I wish this was true
I deal with facts only, already done cloned me
Why I sang the blues, when there's only one God
That watches over our every step, I need his help
When I'm walkin, lookin for the right female
I can't tell sometimes
They tell me the devil's comin humble in his approach
Spontaneous with the game
He caught the naive of a girl fallin for the OK
Let the pistol smoke the one you live by
Die by, examples of how relationships can be

I rolls the dice, takin a chance at crappin out
Like today boy, I lost one of my best hips
Natural thick lips, no animal fat implants
Wide load, just started workin at the airport
19 years old, worth more than her weight in gold
But it was all my fault, so don't cry, understand
If down the line I want you back and the feelin ain't mutual
Just promise me you'll find a new man -- that's bout some business
Hope she find what her was lookin for, like a dreamto my end
I wanted to be more than friends
Beautiful black skin (black skin)
Chorus: repeat to end",https://genius.com/Goodie-mob-beautiful-skin-lyrics
Goodie Bag,Soul Food,1995.0,"...on the ass end of that weed
'Cause in the SWATS, red hots don't drip or bleed
So put some fire on the ass end of that weed
Cause in the SWATS, red hots don't drip or bleed

Cuz, you know me, giving me
Left hand dap, P-funk be riding shotgun
Escort, your window broke out, son
A cool breeze, got my lips chap, morning slap some
Soul in my breadbasket gap contain
X marks the spot, Twain, O.C., the cut laying
A slew of empty gas in my tank
A buck thirty looking ugly, think but it ain't gonna stop no show
Ol' bird putting a buzz in you ear, ""It's gon' snow""
Or maybe perhaps sleet, rap up the beat
Outside barely made it to your wake
Looking like Mr. Fisher, Dickie down, no suit, no tie
Niggas ain't gonna be able to just get by no more
You leaving the hotel, 254

Today was good to me
I went to the Goodwill with the ten dollar bill
Got the London Fog out the back, paid the man
Me and Khujo and T-Boo, three jack lumbers
On the loose, cut your ass Lo like Cee
Be under the water, half these figures around me be hollering Newt
Now what the fuck has this politician did for you?
Complain, complain but Mr. Clampett ain't gon' change
Just rib your ass up just to gut your pockets out
I heard Bill put two G's up for some folks
That they found in they house beat up and I don't discuss
That color scheme that they fall on
'Cause the scheme that they fall on don't match with my tone
See, I wonder will I walk the streets in 1995
And not have to make bond from 254, uh
Will somebody please turn the lights on in 166
I can't see where the fuck I'm going
I can't do shit but get mad
I can't keep get Billy and his uncle out my fucking Goodie Bag

Without your shank you can't thank
Without your niggas you up the creek stank with a ass full of ore
Taking what I say for what it's worth, it don't matter
'Cause how I feel might be triggered from thoughts I had in the past
Now I struggle to reach the sky
Why try so hard if all I'mma get is spit on
'Cause life at the bottom ain't hitting on shit
But some of these folks is getting rich
I know about mine, unwind, can't take at times going through
The same drama that got me here in this state of mind
Red-hot in the summer time

First of all, I stand a little more than five feet tall
But we can still brawl, nigga, I ain't scared at all
I guess you niggas don't know or can't see
That it ain't even wise stepping to me incorrectly
But yet still when niggas feel they can deal
I will split your ass up for real
'Cause we the maniacs with the chunky goodie sacks
So I don't carry an ax but I still swing low with The Lumberjacks
Tracks are being made by Organo-I-Z-E
While we cooling in the shade
Ain't getting paid for chilling, illing, willing
To do what I got to do to come thru your speaker
Cee-Lo, he will never come weaker
Uniquer than a lot of MCs out today
Because I'm more than careful about what I say
When I pick up a microphone it's on
Them better leave me alone, I'm in my zone
Prone to snap if you offer me a chance
Like it when them chunky hoes can dance, I'll enhance
The microphone when it's in my grip, I do not slip
I can't forget my niggas Jo, T-Mo, and Gipp
Ha-ha-ha, well Great Scott, is he a thief?
It seems like he has a mouth full of gold teeth
I smile, because your eyes can't take the glare
But Cee-Lo, him don't care, I cut off all my hair
And everybody stop and stare when we come in the place
And I can get on the mic with no time to waste
Get right up in your face, kick the flavor you taste
And when I'm on the microphone, it's a damn disgrace
How you don't comprehend what I'm saying to you
And I'm the C, the double E from the Goodie Mo Crew
I'm coming thru, I'm coming true, ooh, I can't even stop
It's Cee-Lo B, I'm down with that nigga pop, pop, pop
And my nigga Mike L, and Bert P
And my nigga Pretty Ken, you know he down with me
We from Atlanta, G-A, that is where we stay
I'm digging off in the Goodie Bag each and every day
Ooh shit!!

So put some fire on the ass end of that weed
'Cause in the SWATS, red hots don't drip or bleed
(Repeat until end)",https://genius.com/Goodie-mob-goodie-bag-lyrics
Free,Soul Food,1995.0,"Lord it's so hard, living this life
A constant struggle each and every day
Some wonder why I'd rather die
Than to continue living this way
Many are blind and cannot find
The truth cause no one seems to really know
But I won't accept that this is how it's gon' be
Devil you gotta let me and my people go
Cause I wanna be free, completely free
Lord won't you please come and save me
I wanna be free, totally free
I'm not gon' let this world worry me",https://genius.com/Goodie-mob-free-lyrics
Fighting,Soul Food,1995.0,"(T-Mo)
Put me in a serious situation hope I get another chance
To live life as I know
4:30 was the time, I'm feelin' a pain in my chest
I guess I smoke too much sess
Makin' a nigga mo' slow off the doe in Olympian bubblin' under who
Where's the crew thick mist in the trail
I'm feelin' pressure off the tess
Spine 
advertising swine on Channel 2 when in the same breath
You tellin' me don't eat from that plate increasin' my blood
Outbreaks on my skin
 don't blend with the way I want this thang to flow
If I can help the cause don't have to treat it with no tricks
You settin' me cancer on a stick, visualize destruction soon to come
Throwin' within this city we call Atlantis
Prayin' like a mantis everyday ain't good in the woods of Southwest
I stress in my rhymes...fighting for yo' spirit and you mind!
(Big Gipp)
So what it be like my brother be catching gangrene
The water be brown in the morning in my sink
Who that in my eyes some Clampett eaten away by fungi
Another virus disease, at ease, quick to lead a strike against Haiti
When half your army in the bed with pains in their back
And behind their head
Witch doctors giving more Medicaid but ain't no aid
But these ain't tha same from 'Nam, didn't give a damn
Who only wanted Saddam now your hands numb
Can't run old age before thirty
This what you wanted when you signed your (hand) 'cock on tha line
Fightin' for your spirit and your mind, service to my kind...
(Hook, Joi)
Seems like we're fighting for our spirit and mind
They got us fighting for our spirit and mind
Still fighting for our spirit and mind
We can't stop fighting for our spirit and mind
(Khujo)
Multiple stab wounds sticin' thru in the ol' school Cutlass Supreme
Thirty-five cents to my name and that's fo' a blunt man
The way thangs goin' today I might as well be dead, so dread
The voices on the radio got me seamed
Can't put a smile on my face cuz my pockets ain't straight
At least not the way I want 'em to be
Early as phuckk, eight fifty-one
Last night I barely got some Z's ... sleep...uh
I can't ol' Burd in the next room havin' nightmares
It sound like wind blowin' when she weep, speak
I can't I'm tired on the way to the slave camp...
I utter very little words, I'm thinkin' about a ciggy I snatched
From the jaws of death, a sack of crumbled herb ...
Rollin' down Main Street
East Point, I swerve, Campbelton Rd, Southside
Eight fify-five, jacket at bus top standin', sweatin' but, I ain't
Smilin
Outside it's twenty below fool I'm ridin' to the liquor store
Closed down,that's alright I go holla at this beeso I know
Who work at the Texaco Gas station, pacin' back down memory lane
Feelin' strange can't Explain, so bare wit me pleae
Thru this green light I sees
That tramp that gave me herpes wreck, wham, crash, stumblin' jumps out
The ride empty the Glock fo', five, D.E.A.D
Woke up handcuffed inside 
Grady
Tagged
 
with an I-U-D (intoxicated una dank)
I took two swiggs outts my deuce-deuce, old E
Now Stephen K-I-N-G had the story all wrong
Blood last five points, I'm gone

As individuals and as a people we are at war
But the majority of my side got they eyes open wide
But still don't recognize what we fighting fo
I guess that's what I'm writing for to try to shed some light
But we been in the darkness for so long, don't know right from wrong
Y'all scared to come near it, you ignore the voice
In your head when you hear it
The enemy is after yo' spirit but you think it's all in yo' mind
You'll find a lot of the reason we behind
Is because the system is designed to keep our third eyes blind
But not blind in the sense that our other two eyes can't see
You just end investing quality time in places you don't even neeed to be
We don't even know who we are, but the answer ain't far
Matter of fact its right up under our nose
But the system taught us to keep that book closed
See the reason why he gotta lie and deceive is so
That we won't act accordingly
To get the blessings we suppose to receive
Yeah it's true, Uncle Sam wants you to be a devil too
See, he's jealous because his skin is a curse but what's worse
Is if I put it in a verse y'all listen to some bullshit first
We ain't 
natural born killas
, we are a spiritual people
God's chosen few
Think about the slave trade when they had boats with
Thousands of us on board
And we still was praising the Lord now you ready to die
Over a coat, a necklace round your throat, that's bullshit
Black people ya'll better realize, we losin, you better god damn fight and die
If you got to get yo' spirit and mind back and we got to do it together
Goodie Mob means, ""The Good Die Mostly Over Bullshit""
You take away one ""O"" and it will let you know
""God is Every Man of Blackness""
The Lord has spoken thru me and the G-Mo-B!",https://genius.com/Goodie-mob-fighting-lyrics
