title,album,year,lyrics,urls
White Lines (Dont Do It),Now Thats What I Call Music 3 [UK],UnKnown,"(White Lines) Visions, dreams of passion
(Blowing through my mind) And all the while I think of you
(High price) A very strange reaction
(For us to unwind) The more I see, the more I do
(Something like a phenomenon) Baby!
(Telling your body to come along, but white lines blow away)
(Blow! Rock it! Blow!)

Ticket to ride, white line highway
Tell all your friends, they can go my way
Pay your toll, sell your soul
Pound-for-pound costs more than gold
The longer you stay, the more you pay
Buy white line, go a long way
Either up your nose or through your vein
With nothing to gain except killing your brain

(Freeze! Rock! Freeze! Rock! Freeze! Rock! Freeze! Rock! Blow!)
Higher, baby
Get higher, baby!
Get higher, baby!
And don't ever come down! (Freebase!)
Rang dang diggedy dang di-dang
Diggedy dang di-dang diggedy dang di-dang
(Pipeline) pure as the driven snow
(Connected to my mind) and now I'm having fun, baby!
(High price) it's getting kinda low
(Cause it makes you feel so nice) I need some one-on-one, baby!
(Don't let it blow your mind away) Baby!
(And go into your little hideaway cause white lines blow away)
(Blow! Rock it! Blow!)

A million magic crystals, painted pure and white
A multi-million dollars almost overnight
Twice as sweet as sugar
Twice as bitter as salt
And if you get hooked, baby
It's nobody else's fault, so don't do it!

(Freeze! Rock! Freeze! Rock! Freeze! Rock! Freeze! Rock!)
(Ahhh) Higher, baby
(Ahhh) Get higher, baby!
(Ahhh) Get higher, baby!
And don't ever come down! (Freebase!)
(Dont you get too high) dont you get too high baby!
(Turns you on) you really turn me on and on
(Cause you gotta come down) my temperature is risin
(When the thrill is gone) no, I dont want you to go

A street kid gets arrested, gonna do some time
He got out three years from now just to commit more crime
A businessman is caught with 24 kilos
Hes out on bail and out of jail
And thats the way it goes, raah!
(Cane! Sugar! Cane! Sugar! Cane!)
Athletes rejected, governors corrected
Gangsters, thugs and smugglers are thoroughly respected
The money gets divided
The women get excited
Now Im broke and its no joke
Its hard as hell to fight it, dont buy it!

Little Jack Horner sitting on the corner
With no shoes and clothes
This ain't funny, but he took his money
And sniffed it up his nose
(Hey man, you wanna cop some blow?)
(Sure, what you got, dust, flakes or rocks?)
(I got China White, Mother of Pearl, Ivory Flake, What you need?)
(Well yeah, well let me check it out man, just let me get a freeze)
(Go ahead man, stuff I got should kill ya!)
(Yeah man th-thats thats raw, woah..)",https://genius.com/Grandmaster-melle-mel-white-lines-dont-do-it-lyrics
Message II (Survival),Grandmaster Flash and The Furious Five Greatest Hits,1982,"Survival, only the strong can survive
It's called survival, only the strong can survive
It's called survival, in order to stay alive
It's called survival, survival, survival, survival

They smile in your face and they talk behind your back
And when you get the story, it's never exact
Some say, they're your friends but they really are not
Because they are only out to try and get what you've got
Survival, only the strong can survive
It's called survival, only the strong can survive
It's called survival, in order to stay alive
It's called survival, survival, survival, survival

In jail they got a game and they call it survival
They run it down to you on your first arrival
They tell you what you can and what you cannot do
So if you ever go to jail, watch your ""mm-mm""
It's called survival, only the strong can survive
It's called survival, only the strong can survive
It's called survival, in order to stay alive
It's called survival, survival, survival, survival

I went looking for a job, every day last week
But it turned into a crazy game of ""hide and seek""
Because every place that I seemed to look, a job wasn't there
I might as well apply for food-stamps or welfare
It's called survival and only the strong can survive
It's called survival and only the strong can survive
It's called survival in order to stay alive
It's called survival, survival, survival, survival

Like Hercules, your body is strong
But your mind is like the Devil, your ideals are wrong
You hurt people's feelings and mess with their minds
And have the nerve to call me brother and wave the peace sign
The young and the old, they all hate your sight
Because of people like you, they're scared to walk in the night
It's called survival and only the strong can survive
It's called survival and only the strong can survive
It's called survival in order to stay alive
It's called survival, survival, survival, survival

The problems of the world today are bigger than life
You have recessions and depressions, men are cheating on their wives
Babies born each morn' with parts of their bodies gone
Because of some crazy drug that their mothers was on
This country is fightin' not unitin'
Always putting each other down
Blacks and whites don't realize that they're really pink and brown
You got; gun-totin' cut-throats, stress and strife
And looking out for number one is a way of life
It's called survival and only the strong can survive
It's called survival and only the strong can survive
It's called survival in order to stay alive
It's called survival, survival, survival, survival

You've got to lock all your windows, chain up all your doors
To protect what's inside of your house's stores
Beware of the food, it might be no good
'Cause there's someone trying to poison the whole neighbourhood
Today they found something in somebody's door
They said, ""killed ten people and hurt four more""
You can't even trust a pill to make life easier when there's
Sudden death on your grocer's freezer
Survival, only the strong can survive
It's called survival, only the strong can survive
It's called survival, in order to stay alive
It's called survival, survival, survival, survival

About to lose your mind because life is hard
And yet you believe in everything but God
Those pretty women, lots of money, yeah, that's alright
But don't you ever forget the man with the might
Now get a hold of yourself man, think positive
Because that's definitely the only way to live
Don't let you mind flow, like water from a cup
And don't you ever let me hear you say that you're giving up
It's called survival, only the strong can survive
It's called survival, only the strong can survive
It's called survival in order to stay alive
It's called survival, survival, survival, survival

Remember: a child is born with no state of mind
He was blind to the ways of mankind
God is smiling on you but he's frowning too because only god knows what you'll go through
Survival, only the strong can survive
It's called survival and only the strong can survive
It's called survival in order to stay alive
It's called survival, survival, survival, survival",https://genius.com/Grandmaster-melle-mel-message-ii-survival-lyrics
Beat Street,UnKnown,UnKnown,"Beat Street Breakdown, Raah!
Hip Hop!
Beat Street
The king of the beat
You see him rocking that beat from across the street
And Huh Huh!
Beat Street is a lesson too, because you can't let the Streets beat you!
Well a picture can express a thousand words to describe all the beauty of life you give
And if the world was yours to do over, I know you'd paint a better place to live
Where the colours would swirl and the boys and girls can grow in peace and harmony
And where murals stand on walls so grand as far as the eyes are able to see, Ha!
I never knew art til I saw your face and there'll never be one to take your place
'Cause each and every time you touch the spray paint can
Michelangelo's soul controls your hand
Then serenades of blue and red and the beauty of the rainbow fills your head
Crescendo of colours hang in tune, Man why oh why d'ya have to die so soon?
Ashes to ashes and dust to dust, where the good die young it's all thy must
'Cause as life must live, death must die and the tear shall fall from the living eye, Huh!
The teardrops fall for the state of mind of the beautiful lady that you left behind
In love and alone, but now you're dead, and she still can't get you out of her head, Huh!
More tears fall for all you've done, trying to be a good father to your only son
But now who's gonna make sure that he's fed, put a shirt on his back and a roof overhead?
Tell me who's gonna dream the impossible dream of the beautiful cities in the islands genes?
When your works of art brought into being all that the ghetto stopped you from seeing
Bums on the sidewalk, garbage in the streets, abandoned buildings, bricks of concrete
The ladies on the corner are selling their bodies, and everybody wants a part in that party
I'm hanging out tough, rocking late at night, running wild in the town of the neon light
You either play some ball or stand in the hall Huh!
You gotta make something outta nothing at all
I'm sitting in the classroom learning the rules and it says you can't do graffiti in school
They can't be wrong in the hallowed hall, so my notebook turned into a brick wall
The heart of a lion and the courage of three, and the mind of a man much wiser than me
You're the soul of the brother who won't come back
Who died in my arms on the railroad track
'Cause I'm caught in the rat race, looking for my own space
There's gotta be a better place for you and me
There's pie in the sky, and an eye for an eye
Some people gotta die just to be free
You search for justice and what do you find?
You find just us on the unemployment line
You find just us sweating from dawn to dusk
There's no justice, there's Huh, just us, Ha!
Still life urban masterpiece, your trademark was written on trains and walls
A million dollar gift only God released, and yet you got killed for nothing at all
So after this there'll be no more hard times, no more bad times and no more pain
No more chump change, none of that bull
Just movies, museums and the hall of fame
So all you Hip Hops get on up, and let's take it to the top where we belong
'Cause the age of the Beat Street wave is here
Everybody let's sing along, now c'mon, say 'Ho!' ('Ho!'), Say 'Ho!' ('Ho!')
And to let me know I'm rocking the microphone everybody say 'Ramo!' ('Ramo!')
'Ramo!' ('Ramo!')
Raah!
A newspaper burns in the sand, and the headlines say 'Man destroys Man!'
Extra! Extra! Read all the bad news on the war for peace that everybody would lose
The rise and fall, the last great empire, the sound of the whole world caught on fire
The ruthless struggle, the desperate gamble
The game that left the whole world in shambles
The cheats, the lies, the alibis
And the foolish attempt to conquer the skies
Lost in space, and what is it worth, huh?
The president just forgot about Earth
Spending multi billions, and maybe even trillions
The cost of weapons ran into zillions
There's gold in the street, and diamonds under feet
And the children in Africa don't even eat
Flies on their faces, they're living like mice
And the houses even make the ghetto look nice, Huh!
The water tastes funny, it's forever too sunny
And they work all month and don't make no money
A fight for power, a nuclear shower
And people shout out in the darkest hour
Of sights unseen and voices unheard
And finally the bomb gets the last word
Christians killed Muslims, and Germans killed Jews
And everybody's bodies are used and abused, Huh!
Minds are poisoned and souls are polluted
Superiority complex is deep rooted
Leeches and lice's, and people got prices
Egomaniacs control the self-righteous
Nothing is sacred and nothing is pure
So the revelation of death is our cure
Hitler and Caesar, Custer and Reagan
Napoleon, Castro, Mussolini and Begin
Ghengis Khan and the Shah of Iran
Mixed with the blood of the weaker man
The peoples in terror, the leaders made the error
And now they can't even look in the mirror
'Cause we gotta suffer while things get rougher
And that's the reason why we got to get tougher
To learn from the past and work for the future
And don't be a slave to no computer
'Cause the Children of Man inherits the land
And the future of the world is in your hands
So just throw your hands in the air
And wave 'em like you just don't care
And if you believe that you're the future
Scream it out and say 'Oh yeah!' ('Oh yeah!')
'Oh yeah!' ('Oh yeah!')
Raah!
Beat Street Breakdown
Raah!
Hip Hop!",https://genius.com/Grandmaster-melle-mel-beat-street-lyrics
Vice,"Miami Vice: Music From The Television Series, ",UnKnown,"(conversation of Busy Bee arguing with a cop about a stolen purse)
Vice (4X)
You have the right to remain silent
Anything you say can and will be used against you in a court of law
You have the right for an attorney
If you do not, or cannot afford an attorney
An attorney will be appointed to you - you are now under arrest
Crime, it pays real nice
But what you really didn't know that crime pays twice
It pays once in money, twice in years
In the jail cell, tryin to hide your tears
And the trip bad, cause you tried to get rich
In the graveyards, or in the shallow ditch
It's money or time so make up your mind
Vice (6X)  Vice, Vice
Vice (6X)  Vice, Vice
Vice (6X)
Fraud, the girl he adored
Turned out to be another dirty old broad
Took all the money, told all the lies
I heard she even, slept with other guys
Nothing she wouldn't do for a dollar or two
But every lie she told he knew to be true
He loves his honey, but she loved money
Vice (6X)
Talk about ya-yo, uhh, it's everywhere you go
They said in Miami it'll never snow
Now it's snow in the palm trees, snow on the sand
It snows all day, for sixty dollars a gram
Now they're strung out and high, hung out to dry
The air that they breathe the food that they buy
They think that they can fly, but that's a white lie
Vice (6X)  vi-vi-vice, vi-vi-vi-vi-vice 
Vice (6X) Vice, Vice
Vice (6X) Vice
Vice (6X)
The mob, a full time job
Known to extort and steal or rob
Started as a hitman, lookin for wealth
And now he's the boss workin for his self
For all the blood money that he did earn
It made him take lives with no concern
But soon he would learn that next is his turn
Prostitution, it's a low down shame
How any girl, would wanna play that game
From pillow, to post, a sidewalk host
But the lady's got a condo out on the coast
She thought that the hole, was better than gold
Now she worked on her back til she got too old
Layin down on the job, has made her a slob, uhh
Vice (6X)
It's a stickup, so throw your hands in the air
And don't, ah put em down, keep em way up there
Just let me your wallet empty all your pockets
Got a itchy trigger finger and I'm gonna cock it
My eyes got wide as they pulled away
I said, ""Who are you the cops?""  He began to say
""No I'm Clint Eastwood, make my day... get in the car!""
Homicide is on the rise, and it's no surprise
The bums are in the alleyways tryin to take lives
People burglarize then suicidal criminals are never idle
Court procedures at your leisures eight finger Visas circle seizures
Con man fencer, arson is a trip
Take all the fingerprints, and give him the book
And then hope that the judge don't let him off the hook, uh!
(more variations on the word 'Vice' to the end)",https://genius.com/Grandmaster-melle-mel-vice-lyrics
The Message,UnKnown,UnKnown,"(feat. Duke Bootee)

It's like a jungle sometimes
It makes me wonder how I keep from goin' under
It's like a jungle sometimes
It makes me wonder how I keep from goin' under

Broken glass everywhere
People pissin' on the stairs, you know they just don't care
I can't take the smell, can't take the noise
Got no money to move out, I guess I got no choice
Rats in the front room, roaches in the back
Junkies in the alley with a baseball bat
I tried to get away but I couldn't get far
'cuz a man with a tow truck repossessed my car

Don't push me 'cuz I'm close to the edge
I'm trying not to lose my head
Uh huh ha ha ha
It's like a jungle sometimes
It makes me wonder how I keep from goin' under

Standin' on the front stoop hangin' out the window
Watchin' all the cars go by, roarin' as the breezes blow
Crazy lady, livin' in a bag
Eatin' outta garbage pails, used to be a fag hag
Said she'll dance the tango, skip the light fandango
A Zircon princess seemed to lost her senses
Down at the peep show watchin' all the creeps
So she can tell her stories to the girls back home
She went to the city and got so so seditty
She had to get a pimp, she couldn't make it on her own

Don't push me 'cuz I'm close to the edge
I'm trying not to lose my head
Uh huh ha ha ha
It's like a jungle sometimes
It makes me wonder how I keep from goin' under
It's like a jungle sometimes
It makes me wonder how I keep from goin' under

My brother's doin' bad, stole my mother's TV
Says she watches too much, it's just not healthy
""All My Children"" in the daytime, ""Dallas"" at night
Can't even see the game or the Sugar Ray fight
The bill collectors, they ring my phone
And scare my wife when I'm not home
Got a bum education, double-digit inflation
Can't take the train to the job, there's a strike at the station
Neon King Kong standin' on my back
Can't stop to turn around, broke my sacroiliac
A mid-range migraine, cancered membrane
Sometimes I think I'm goin' insane
I swear I might hijack a plane!

Don't push me 'cuz I'm close to the edge
I'm trying not to lose my head
It's like a jungle sometimes
It makes me wonder how I keep from goin' under
It's like a jungle sometimes
It makes me wonder how I keep from goin' under

My son said, Daddy, I don't wanna go to school
'cuz the teacher's a jerk, he must think I'm a fool
And all the kids smoke reefer, I think it'd be cheaper
If I just got a job, learned to be a street sweeper
Or dance to the beat, shuffle my feet
Wear a shirt and tie and run with the creeps
'cuz it's all about money, ain't a damn thing funny
You got to have a con in this land of milk and honey
They pushed that girl in front of the train
Took her to the doctor, sewed her arm on again
Stabbed that man right in his heart
Gave him a transplant for a brand new start
I can't walk through the park 'cuz it's crazy after dark
Keep my hand on my gun 'cuz they got me on the run
I feel like a outlaw, broke my last glass jaw
Hear them say ""You want some more?""
Livin' on a see-saw

Don't push me 'cuz I'm close to the edge
I'm trying not to lose my head
Say what?
It's like a jungle sometimes
It makes me wonder how I keep from goin' under
It's like a jungle sometimes
It makes me wonder how I keep from goin' under
It's like a jungle sometimes
It makes me wonder how I keep from goin' under
It's like a jungle sometimes
It makes me wonder how I keep from goin' under

A child is born with no state of mind
Blind to the ways of mankind
God is smilin' on you but he's frownin' too
Because only God knows what you'll go through
You'll grow in the ghetto livin' second-rate
And your eyes will sing a song called deep hate
The places you play and where you stay
Looks like one great big alleyway
You'll admire all the number-book takers
Thugs, pimps and pushers and the big money-makers
Drivin' big cars, spendin' twenties and tens
And you'll wanna grow up to be just like them, huh
Smugglers, scramblers, burglars, gamblers
Pickpocket peddlers, even panhandlers
You say I'm cool, huh, I'm no fool
But then you wind up droppin' outta high school
Now you're unemployed, all non-void
Walkin' round like you're Pretty Boy Floyd
Turned stick-up kid, but look what you done did
Got sent up for a eight-year bid
Now your manhood is took and you're a Maytag
Spend the next two years as a undercover fag
Bein' used and abused to serve like hell
'til one day, you was found hung dead in the cell
It was plain to see that your life was lost
You was cold and your body swung back and forth
But now your eyes sing the sad, sad song
Of how you lived so fast and died so young so...

Don't push me 'cuz I'm close to the edge
I'm trying not to lose my head
Uh huh huh huh huh
It's like a jungle sometimes
It makes me wonder how I keep from goin' under
Huh, uh huh huh huh huh
It's like a jungle sometimes
It makes me wonder how I keep from goin' under
Huh, uh huh huh huh hu",https://genius.com/Grandmaster-melle-mel-the-message-lyrics
King of the Streets,UnKnown,UnKnown,"Aaaaaaah!
I'm the King of the Streets Y'all
What, what, what are you?
What are you? What are you?
What, what, what are you?
What are you? What are you stupid?
To be bad to be born but born to be bad
The best emcee the mic ever had
I always was famous but never a star
A Don Juan, Perignon, Antoine, bourgeois
I'm bad without the big fancy cars
And the Louis Vuitton to the Yves St. Laurent
The higher echelon and the body guards
Not like Prince and Michael I come up hard
I'm the king of the streets I never meet my match
Hanging out in the Fever with AJ Scratch
People see me in the movies and on TV
But when they see me in the streets see that's the real me
So, throw your hands in the air
And wave 'em like you just don't care
And if you wanna' rock a beat with the King of the Street
Say Yeah!
The King, The King
What, what, what are you?
What are you? What are you stupid?
The King, The King
You know, you know, you know what I'm saying
The King, The King
What, what, what are you?
What are you? What are you stupid?
The King, The King
You know, you know, you know what I'm saying
Driving my car wearing my jewelry
You can fool the public but you can't fool me
Because you made a little album got a royalty check
But your friends don't give you no respect
Spending my money using my style
They wore my crown for a little while
They went all around the world thinking their all that
But when they saw me on the stage I took it right back
Cause I dress like a pimp and I work like a ho
And rappin' is the only life I know
I got respect on the street so wherever I go
And they only get respect when they doin' a show
Cause their young dumb try to get some
In the process forgot where they come from
But what they can't see while their running the game
Is that their friends and enemies are the same
Cause united we stand divided you fall
And I am love and love conquers all
I love to turn on the mic and rock the house
And come on everybody and help me turn it out
And just clap your hands to the beat y'all
And let's rock it with the king of the streets y'all
You know Melle Mel, you know I rock well
Say Yeah!
What, what, what, what
What, what, what are you stupid?
I'm here to take command
After I crush him I'm crushing his man
I'm gonna' gather his whole crew in a bunch
And give them all the Malachi crunch
And when I rock them for the people to see
I'm gonna kick down his door and rock his family
His girl, the nation, his whole generation
And I'll even give myself a rock sensation
Cause I never had a fight when I'm on the mic
I beat a bum like him up just the other night
When he opened his eyes all he could see
Was the referee, the ceiling and me
My name is Melvin Glover, I love to be a lover
I'm bad and I'm blessed
I can always rock a sucker, sucker, sucker MC on the microphone
So just give me the mic and get up off my throne
What, what, what, what are you
What, what, what, what are you stupid?
I grew up in the city streets
With holes in my clothes bummy shoes on my feet
Sometimes when I was hungry there was nothing to eat
And other times in the winter there was no heat
We would all freeze it was ten degrees
I would see my mother bow to her knees
She cried then nod then prayed to God
That times for the kids wouldn't be so hard
But out on the streets a life was rougher
The dream of getting rich made a man tougher
Twenty might get you forty, forty might get you eighty
Eighty for a lady that's five foot shady
Staying in the gutter hanging with my brother
My pop's got so drunk he use to stutter
Beat up on my mother, for no reason why
And to this day I try not to get high
The streets got it good so I should warn you
There's a drug store setup right on the corner
Selling dope, smoke, smack and crack a lack a lack
The sess mess splif or the chunk chunky black
Temptation reached for my vein
But I didn't let drugs overcome my brain
Because drugs rule the body and mess with your head
And makes you part of the living dead
But I went to school and I learned too good
I learned to understand all that I could
Thought I could skip a letter from l to z
So I took to the streets for my college degree
My teachers were the hustlers, garbage and bums
My class was survival and school was the slums
Math was counting money large candy no doubt
And my homework was knocking sucker niggas out
Gym was when I had to run from the cops
And history was who was on top
I would hear about the death of the neighborhood crooks
I didn't want to be in those history books
So I got myself legal as easy as pie
A legal crook got a suit and tie
Like a crooked politician selling dreams and lies
So he can rob you blind then tell you why
Get the most for less then pocket the rest
Kick backs, hit backs, invest your interest
Build a better bomb then raise the tax
You know the king would put the truth on wax
Because I'm the kind of king that'll open doors
Let me live my life and you live yours
Do what you wanna' do and don't hurt nobody
And come on everybody let's party that party
And throw your hands in the air
And wave them like you just don't care
And everybody just freak with the King of the Street
Say Oh Yeah!",https://genius.com/Grandmaster-melle-mel-king-of-the-streets-lyrics
Jesse,Grandmaster Flash and The Furious Five Greatest Hits,1982,"Hypocrites and Uncle Toms are talkin trash
(Let's talk about Jesse)
Liberty and justice are a thing of the past
(Let's talk about Jesse)
They want a stronger nation at any cost
(Let's talk about Jesse)
Even if it means that everything will soon be lost
(Let's talk about Jesse)

He started on the bottom
Now he's on the top
He proved that he can make it
So don't never stop
Brothers stand together and let the whole world see
Our brother Jesse Jackson go down in history
So vote
Vote
Vote
Everybody get up and vote

See Ronald Reagan speakin on TV
Smilin like everything's fine and dandy
Sounded real good when he tried to give a pep talk
To over 30 million poor people like me
How can he say that we gotta stick it out
When his belly is full and his future is sunny
I don't need his jive advice
But I sure do need his jive time money

The dream is a nightmare in disguise
(Let's talk about Jesse)
Red tape and lies fill your for spacious skies
(Let's talk about Jesse)
But don't think that D.C. just did it first
(Let's talk about Jesse)
There's a lotta D.C.'s all over this universe
(His name is Jesse)

He started on the bottom
Now he's on the top
He proved that he can make it
So don't ever stop
Brothers stand together and let the whole world see
Our brother Jesse Jackson go down in history
So vote
Vote
Vote
Everybody get up and vote (4x)

Land of the free and the home of the brave
But it might as well be the home of the slaves
They got me walkin around singin 'freedom's come""
But my body is free and my mind is dumb
The people ain't black but the house is white
And just because I'm different they don't treat me right
They done cast me aside, held me down
Dragged my name down to the ground
Oh beautiful for spacious skies
And your amber ways of untold lies
Look at all the politicians tryin to do a job
But they can't help but look like the mob
Get up and get back, put it away
Watch the F.B.I. watch the C.I.A
They want a bigger missile and a faster jet
But yet they forget to ?hidin? the vet

Hypocrites just talkin trash
(Let's talk about Jesse)
Liberty and justice are a thing of the past
(Let's talk about Jesse)
They want a stronger nation at any cost
(Let's talk about Jesse)
Even if it means that everything will soon be lost
(His name is Jesse)
Now break down
Vote
Vote
Everybody get out and vote (4x)

The 30th day, that's in December
Is a day that everybody's gonna remember
Cause on that day a righteous man
Thought about takin a brand-new stand
The name of the man is Jesse Jackson
And his call for peace was loud as action
Cause now's the time to change the nation
But not with just another negotiation
He went to the East for human's rights
To free the lieutenant shot down in flight
Just another statistic, and the government knew it
They didn't even want the man to go do it
Before he left, he called the President's home
And Reagan didn't even answer the phone
But I tell you one thing that's a natural fact
You can bet he called Jesse when Jesse got back

He started on the bottom
Now he's on the top
He proved that he can make it
So don't ever stop
Brothers stand together and let the whole world see
Our brother Jesse Jackson go down in history
So vote

Hypocrites just talkin trash
(Let's talk about Jesse)
Liberty and justice are a thing of the past
(Let's talk about Jesse)
They want a stronger nation at any cost
(Let's talk about Jesse)
Even if it means that everything will soon be lost
(His name is Jesse)

So for fast and friendly service - hey
(Let's talk about Jesse)
And there's no need to be nervous - hey
(Let's talk about Jesse)
He's changin our conditions - hey
(Let's talk about Jesse)
So join the Rainbow Coalition - hey
Come on
(His name is Jesse)",https://genius.com/Grandmaster-melle-mel-jesse-lyrics
World war 3 (the truth),UnKnown,UnKnown,"Life is a Game of Business
And in the end we sight (swear to god)
The new and old are bought and sold
And everybody thinks theyre right
War is a game of business
A game we shouldnt play (swear to god)
Cause men with guns killed all our sons
They blew us all away
They Called it
World (Paranoina!)
War (its Almost Over)
3 (Cause Nobody Hears what the People Say)
Realistcally the Bombs are ready
Technically, Nuclear by name
Capability of total Destruction
Radioactive death and flame
There is talk of a firey doom
Prophesied since the dawn of time
In a world of bloodshed, mass confusion
Killer diseases, Pollution and Crime
Man is in Conflict with nature
And that is why theres so much sin
Mother natures delicate balance will fix it so nobody wins
In World (Catastrofic)
War (Reaganomic)
3 (and nobody hears what the people say)
World (its Atomic)
War (catastrofic)
Ha ha ha ha ha ha ha
A thousand miles away from home
A mortally wounded soldier dies
And on the blood stained battlefield
His life flashes before his eyes
Before he dies the man saw jesus
And jesus christ took his hand
And on the soldiers dying breath
The good lord took him to the promised land
Cause theres.. No (people living)
More (People Dying)
Pain (Everybody Disappeared)

Breakdown, Pain
1984, See the world at war
Your darkest fears of reality are knockin down your door
Drones and mutations, Clones and deviations
And theres no one that can escape the nuclear revelation
Because

The silver moon, the midnight stars, jupiter collides with mars
And out of the darkness spirits roar
To cast revenge on the earth once more
The leaders of the world are hypnotized
By wizards, dark and in disguise
Brought to earth by an evil hand
To devour souls in a brand new land
They let the leader think that war brings peace
And out come the one with the mark of the beast
Theres evil behind closed doors
In the year of 1984

Long ago and all too soon
2 different wars fought on the moon
One put (creators?) on it first
Then we blew futher in the universe
Both of these were nuclear wars
Breaking universal laws
Then falling stars and meteorites
Dropped to earth by day and night
Twisters, earthquakes, hurricanes
Volcanos, drops and torrential rain
Then one day, the UFOs
Came to see the whole world explode
We will pay the ultimate price
And a lesson is to be learned
When we play with nuclear fire
Everybodys gonna get burned

Pain! Pain! (so let the music play on)
Between the boundaries of time and space
Was the planet earth and the human race
A world alive and centuries old
With veins of diamonds, silver and gold
Snow capped mountains over looked the land
And the deep blue sea made love with the sand
Full grown strands of evergreen hair
Kissed the sky with a breath of air
Where exotic fish once swam in the sea
And the eagles soared in the sky so free
But the foolish clan that walked the land
Was the creature, that they called man
Theyre cannibalistic, paranoid fools
Tricking each other with games and rules
Training their men to kill and fight
Moving and stearing their mechanized might
Only thought that man had in mind
Was to conquer the world and the rest of mankind
And with the thought that they were right
They gave you permission to take a mans life
The ones you killed fought just as hard
Then you even had the nerve to pray to god
But god dont wanna hear all your mess
When you aint the one that he laid to rest
The devils children with no disgrace
Crushed and killed the human race
While they got rich off the games and war
What in the hell were you fighting for
A silly ass metal, a stupid parade
For all those innocent people you slaid
And after that, you couldnt even get a job
Cause fighting that war made you a slob
A seargeant and major, a corporal, Lieutenant
Titles and positions were all invented
You, and me, and all this mess
Are just a bunch of pieces in a game of chess
Its all the same, a third world war
A blood thirsty massacre just like before
Its genocide, three billion tears
Feeding on a war every twenty years
Then one day we heard the sound
Of the whole damn world tumbling down
Just one big boom, and what do you know
The world is a ghetto, high and low
Crumbling buildings all around
Mans creation burned to the ground
Chaos, panic, fear and pain
Days of radioactive rain
Grotesque figures burned alive
Miraculously seem to survive
Everything of reality is the science fiction on TV
Mutant dog and sabertoothed rats
Eat men with guns and baseball bats
The dead wont die, the (rudie?) wont cry
And everybodys asking the question why
Until swarms of millions walk from the city
And thousands more went underground below
With their head held down in their own pity
Wondering where, they do not know
Cause in this game we had a chance
But we blew it for cheap thrills and romance
Maybe one day well get another play
But until then remember what i say",https://genius.com/Grandmaster-melle-mel-world-war-3-the-truth-lyrics
Vice (From Miami Vice),Grandmaster Flash and The Furious Five Greatest Hits,1982,"Vice 
You have the right to remain silent
Anything you say can and will be used against you in a court of law
You have the right for an attorney
If you do not, or cannot afford an attorney
An attorney will be appointed to you - you are now under arrest
Crime, it pays real nice
But what you really didn't know that crime pays twice
It pays once in money, twice in years
In the jail cell, tryin to hide your tears
And the trip bad, cause you tried to get rich
In the graveyards, or in the shallow ditch
It's money or time so make up your mind
Vice  (Miami!) Vice, Vice
Vice  (Miami!) Vice, Vice
Vice 
Fraud, the girl he adored
Turned out to be another dirty old broad
Took all the money, told all the lies
I heard she even, slept with other guys
Nothing she wouldn't do for a dollar or two
But every lie she told he knew to be true
He loves his honey, but she loved money
Vice 
Talk about ya-yo, uhh, it's everywhere you go
They said in Miami it'll never snow
Now it's snow in the palm trees, snow on the sand
It snows all day, for sixty dollars a gram
Now they're strung out and high, hung out to dry
The air that they breathe the food that they buy
They think that they can fly, but that's a white lie
Vice  (Miami!) vi-vi-vice, vi-vi-vi-vi-vice (Miami!)
Vice  Vice, Vice
Vice  Vice
Vice 
The mob, a full time job
Known to extort and steal or rob
Started as a hitman, lookin for wealth
And now he's the boss workin for his self
For all the blood money that he did earn
It made him take lives with no concern
But soon he would learn that next is his turn
Prostitution, it's a low down shame
How any girl, would wanna play that game
From pillow, to post, a sidewalk host
But the lady's got a condo out on the coast
She thought that the hole, was better than gold
Now she worked on her back til she got too old
Layin down on the job, has made her a slob, uhh
Vice 
It's a stickup, so throw your hands in the air
And don't, ah put em down, keep em way up there
Just let me your wallet empty all your pockets
Got a itchy trigger finger and I'm gonna cock it
My eyes got wide as they pulled away
I said, ""Who are you the cops?"" He began to say
""No I'm Clint Eastwood, make my day... get in the car!""
Homicide is on the rise, and it's no surprise
The bums are in the alleyways tryin to take lives
People burglarize then suicidal criminals are never idle
Court procedures at your leisures eight finger Visas circle seizures
Con man fencer, arson is a trip
Take all the fingerprints, and give him the book
And then hope that the judge don't let him off the hook, uh!
(more variations on the word 'Vice' to the end)",https://genius.com/Grandmaster-melle-mel-vice-from-miami-vice-lyrics
Art Of Rap Freestyle,Something From Nothing: The Art of Rap Soundtrack,UnKnown,"I'm the reason why your man could cuss
And your man could bust, no mistake
That's why you got the game from us
Tell Ja Rule stop popping the clutch
True Fast & Furious
Grandmaster Flash and us
Architects of Hip-Hop domain
And I'm not your man
Spit so much poison that I got ptomaine
So much game, my game came with propane
Mentioning my name is like sniffing the gang of the cocaine
The dopest cat to walk on twos, I never lose
Flows of your amigos, egos battered and bruised
You a lowlife, get off of my penis
Swingin' on balls like you tryin' to call out Serena and Venus",https://genius.com/Grandmaster-melle-mel-art-of-rap-freestyle-lyrics
