title,album,year,lyrics,urls
Colors,Greatest Hits: The Evidence,1988.0,"Yo Iz, let's do this

I am a nightmare walkin', psychopath talkin'
King of my jungle, just a gangster stalkin'
Livin' life like a firecracker, quick is my fuse
Vendettas of death back; the colors I choose
Red or Blue, Cuz or Blood, it just don't matter
Sucka dive for your life when my shotgun scatters
The gangs of L.A. will never die - just multiply

You see they hit us then we hit them
Then we hit them and they hit us
, man
It's like a war, ya know what I'm sayin'
People don't even understand
They don't even know what they dealing with
You wanna get rid of the gangs it's gonna take a lotta work
But people don't understand the size of this
This is no joke man, this is real

You don't know me, fool
You disown me, cool
I don't need your assistance, social persistence
Any problem I got I just put my fist in
My life is violent but violent is life
Peace is a dream, reality is a knife
My colors, my honor, my colors, my all
With my colors upon me one soldier stands tall
Tell me what have you left me, what have I got?
Last night in cold blood my young brother got shot
My homeboy got jacked
My mother's on crack
My sister can't work cause her arms show tracks
Madness insanity, live in profanity
Then some punk claimin' they're understandin' me
Give me a break, what world do you live in
Death is my set, guess my religion

Yo my brother was a gang banger
And all my homeboys bang
I don't know why I do it man, I just do it
I never had much of nothing man
Look at you man, you've got everything going for yourself
And I ain't got nothing man, I've got nothing
I'm living in the ghetto man
Just look at me man, look at me

My pants are saggin', braided hair
Suckas stare but I don't care
My game ain't knowledge, my game's fear
I've no remorse so squares beware
But my true mission is just revenge
You ain't in my set, you ain't my friend
Wear the wrong color your life could end
Homicide's my favorite binge

Listen to me man
No matter whatcha do don't ever join a gang
You don't wanna be in it man
You're just gonna end up in a mix of dead friends and time in jail
 I
Know, if
I had a chance like you
I would never be in a gang man
But I didn't have a chance
You know I wish I did

I'll just walk like a giant, police defiant
You'll say to stop but I'll say that I can't
My gang's my family, it's all that I have
I'm a star, on the walls is my autograph
You don't like it, so you know where you can go
Cause the streets are my stage and terror's my show
Psycho-analyze tried diagnosin' me, why?
It wasn't your brother that brutally died
But it was mine, so let me define
My territory; don't cross the line
Don't try to act crazy cause that shit don't faze me
If you ran like a punk, it wouldn't amaze me
Cause my colors death
Though we all want peace
But our war won't end
'Till all wars cease

See the wars of the street gangs will always get to me, man
But I don't wanna be down with this situationm man
But I'm in here, if I had something better to do I think I'd do it But right now, I'm just down here boy
I'm trying to get money cause I'm smart
I'm gonna get paid while I'm out here
I'm gonna get that paper, ya know what I'm saying
If I had a chance like you
Maybe I would be in school
But I'm not, I'm out here living day to day surviving
And I'm willing to die for my colors

Yo, please stop cause I want y'all to live
This is Ice-T, peace",https://genius.com/Ice-t-colors-lyrics
99 Problems,Home Invasion,1993.0,"Yeah, last year a lot of motherfuckers asked me
Why I didn't do no old sex nasty shit
But this year I went down to Miami and got my nigga from 2 Live
Brother Marquis in the house! (Yeah I'm the motherfuckin nigga)
Yeah, we gonna answer the question about girl problems
All these niggas is havin girl problem, Marq
(Huh, tell them man, tell them how it is)
Lemme tell you what time is it..
I got a ho from the East, got a ho from the West
Got a ho that likes to jack it off and rub it in her chest
I got a ho from the North, a ho from the South
A ho that likes to suck it long and hold it in her mouth
I got a bitch with hair, a bitch with none
A bitch with a knife, a bitch with a gun
A bitch with a ass big as a TV set
And there's a bitch over there; hey, the one I'm gonna get
But yo but maybe not, she might not like me though
No sweat to a vet; I'll slam her sister, though
Word, Ice in the whole damn herd
I fuck 'em all and leave 'em on the curve
I got a bitch with a mink, who rocks a fat gold link
Who likes to fuck me with her ass up on the kitchen sink
Got a bitch with tits, a bitch with ass
A bitch with none, but hey, I'd give her a pass
And I love 'em all, I love 'em crazily
And they love me back - that's why they stay with me
So if you having girl problems, I feel bad for you son
Got 99 problems and a bitch ain't one - hit it

Nah, a bitch ain't one

I got a bitch that's old, a bitch that's new
A bitch who love velvet in the colors blue
I got a bitch who's fat, a bitch who's built
A bitch who all her titties give out powdered milk
I got a bitch who's funny, a bitch who ain't
A bitch who can sing, a bitch who cain't
A bitch who loves fucking on a airplane..
I even got a bitch off Soul Train
I got a bitch who rolls a rag-top Benz
Long ends
I got a bitch who's broke as a bum
But she's the most fun
I got a bitch who play piano, a bitch who don't
A bitch who dances naked, a bitch who won't
A bitch who's short, a bitch who's tall
A bitch who burns my pager with priority calls
And I love 'em all, I love 'em crazily
And they love me back - that's why they stay with me
So if you're having girl problems, I feel bad for you son
Got 99 problems and a bitch ain't one - hit me

Yo Marquis - you from Miami man why don't you show these motherfuckers all the over the world
The 2 Live style of how the bitches treat a mothafuckin' fly nigga like you

I got 99 problems and a bitch ain't one of them
I don't trip on hoes, cause I don't need none of them
Pussy's the temptation, dick's the persuasion
All hoes suck cock nigga how you play 'em?
That's why I don't sleep on 'em, I just freak on 'em
Stick dick in they mouth; take it out and I skeet on 'em
The nigga the one-nighter, the bitch exciter
I only love my hoes when I'm going up inside her
Problem number one is getting money
I'd rather taste the green than sip the honey
So don't expect nothing cause I ain't offering
I go hard on my bitches, cause I'm never never softening
Putting the demand on 'em, fuck 'em and scram on 'em
The ""wham, bam, thank you ma'am"" game is ran on 'em
So fuck how you feel, your fucking cheap thrill
I hope you took the pill cause I won't pay the bill
Getting pussy's just another expense
If pussy pays the bills then dick pays the rent
I only need a ho for one thing and that's to cum
I've got 99 problems and a bitch ain't one


Ha! Yo Marquis my motherfucker you got problems man?
(A bitch ain't one) Aww shit!
Now let me tell you how to do this shit
 I got a bitch that loves to G
 She'll fuck you right after she fucks me
 I got a bitch who loves both
 I got a bitch who loves handcuffs and ropes
 I got a bitch that's fast, a bitch that's slow
 A bitch that's a virgin and a bitch that's a ho
 A bitch that lies
 A bitch that's true
 A bitch who's a man because they're ""Bitches 2""
 I got a bitch that's cool
 A bitch that's hot
 A bitch who loves rap, a bitch who loves rock
 A bitch who's lost and one who knows where it's at
 She gets up under me and purrs like a cat
 I got a bitch that runs, I got a bitch that walks
 I got a bitch that yells, I got a bitch who talks
 I got a bitch that's dirty, got a bitch that's neat
 I got a super fine bitch that I knocked in the swap meet

And I love 'em all, I love 'em crazily
And they love me back - that's why they stay with me
So if you having girl problems, I feel bad for you son
I got 99 problems and a bitch ain't one - hit me...
No, a bitch ain't one

Huh, you know a bitch ain't one

Youknahmsayin? I got problems with my mothafuckin' rent Marquis
But a bitch ain't one
Man you got yourself nothing man
Fuck them raggedy stank-ass hoes nigga
A bitch ain't one
I got a problems staying out here on these streets
With the police trying to take a nigga out, y'know?
But a bitch ain't one
Got problems with motherfuckers.. buying my records
But a bitch ain't one
Fuck 'em all, nigga fuck them motherfuckers
Youknahmsayin? A bitch ain't one
Got problems man
All them motherfuckers can kiss my mothafuckin' ass.. for real
Really, niggas worrying about bitches
They better, they better find something else to worry about",https://genius.com/Ice-t-99-problems-lyrics
I’m Your Pusher,Power,1988.0,"Yo what's up man, I need to get high man
I need to get hold of some big time dope man
You know where I can get a ki?
I know where you can get an LP
LP, man? Have you went crazy man?
I'm talking about some dope man
I need to get high right now man
Why don't you hook me up with a 5-O?
I can hook you up with a 12 inch
12 inch? Man have you went crazy?
You don't even know what time it is
Out here on the streets and don't know what time it is
Man youse a fool
Yo homeboy you a fool
You don't know what time it is
Out here, messing up your mind
You know what I'm sayin'?
This is Ice-T talkin' to you boy
I'mma tell you what time it is

Yo, it's time for me to pump the volume
No problem, the record's revolvin'
Evil's
 the mixer, I'm the rap trixister
Paparazzi on the bum rush for pictures
Ice, coolin', yo colder than ever
Punk-Executioner E, pull the lever
Rotate the wax then cut an' axe the tracks
Push up the levels till the red lights max
Don't try to size up, you better wise up
To the rap criminals, we're succeeded
Dope beats and lyrics, no beepers needed
For this drug deal, I'm the big wheel
The dope I'm sellin', you don't smoke, you feel
Out on the dance floor, on my world tour
I'm sellin' dope in each and every record store
I'm the kingpin when the wax spins
Crack or smack will take you to a sure end
You don't need it, just throw that stuff away
You wanna get high? Let the record play

Aww man, I like this dope here man
It's feelin' alright boy
What you say your name was man?

I'm your momma
I'm your daddy
I'm that nigga in the alley
I'm your brother when you need
A true player to emcee
You know me, a true friend
Your main boy, thick and thin
MC Ice-T
I'm your pusher

I know you're lovin' this drug as it's comin' out your speaker
Bass through the bottons, highs thru the tweeters
But this base you don't need a pipe
Just a tempo to keep your hype
Groovin' like I see you doin'
Some stupid crack would just ruin
Your natural high, why? That ain't fly
And anyone who says it is, lies
Move like I knew you would, like I knew could
And if you ain't cracked out, then I know you should
Be able to give me a clap, to match exact with the track
And since I know that you ain't, I expect that
Oh now this jam is lit, it's like the ultimate
People high off dope but still physically fit
I'll make a million bucks, pack my dough in trucks
From sellin' dope beats, dope rhymes, dope cuts
I'll be the biggest dope dealer in history
Because all the fly will be high off that Ice-T

Aww man, you ain't ever lie, man
This dope's alright man
I gotta get back with you man
Let me get your number man


I'll bring it to boil, Evil E rock it up
You want it? I don't think you got enough
Last suckers crossed, Syndicate shot 'em up
Cops found 'em in the lake bottom up
I don't play when it comes to my dope
I check my lyrics close, like with a microscope
I don't clean 'em up with no Ivory soap
I leave 'em hard and pure, hope that you can cope
Because you might O.D. if you overdrive
This record, tape or CD, because the sound I've
Created on this wax is like a chemical
And the knowledge I give makes me invincible

Aww Mr. Dopeman
I'm lovin' you man
You got it goin' on man
What else you got?
I got some of that 
Kool Moe Dee
Aww yeah man, I want some of that
Got some 
Doug E. Fresh
Aww yeah gimme an ounce of that
I want that all night long
I got some Eric B. & Rakim
Aww that is some real dope right there
I got some LL Cool J
Nah, nah man, I don't want none of that
You can keep that man
I got some 
Boogie Down Productions, KRS-One
Aww now you're talkin' man, come on
Public Enemy
Yeah don't stop, don't stop
Biz Markie
Makin' music with yo mouth Biz
I love it


The cops don't know what to do, because my dope breaks through
No matter what they do, my stuff gets to you
Kickin' on the Boulevard, my tempo's hyped and hard
I don't ask, the ICE just bogards
Sire Records puts me out, with Warner Bros. clout
My dope hits the streets with no doubt
Evil E adds the cut, then removes it
IZ checks for purity, then approves it
And then you get it, try it and like it
And if it ain't potent, we remix and spike it
To bring you the pure dope, not a noose in a rope
Because if you're doin' crack, you're on death row
You're just a toy punk, to mess with that junk
You want some real dope, come look in my trunk
The dope I'm sellin' is life, 100% legit
So get real fool, and try some real hit

Word up my brother
You got me high as a kite
I feel good tonight
Ice-T, you alright

I'm your pusher",https://genius.com/Ice-t-im-your-pusher-lyrics
New Jack Hustler,O.G. Original Gangster,1991.0,"Hustler, word, I pull the trigger long
Grit my teeth, spray till every nigga's gone
Got my block sewn, armored dope spots
Last thing I sweat's a sucka punk cop
Move like a king when I roll, hops
You try to flex, bang, another nigga drops
You gotta deal with this cause there's no way out
Why? Cash money ain't never gonna play out
I got nothin to lose, much to gain
In my brain, I got a capitalist migraine
I gotta get paid tonight, you muthafuckin right
Pickin' my grip, check my bitch, keep my game tight
So many hoes on my jock, think I'm a movie star
Nineteen, I got a fifty thousand dollar car
Go to school, I ain't goin for it
Kiss my ass, bust the cap on the Moet
Cause I don't wanna hear that crap
Why? I'd rather be a New Jack... Hustler

Hustler
Hustler
Hustler
H-U-S-T-L-E-R hustler

Yo man you know what I'm sayin?
You got it goin on my man, I like how it's goin down
You got the fly cars, the girls, the jewels
Look at that ring right there
I know it's real, it's gotta be real
Man, you the flyest nigga I seen in my life!
Yo man, I just wanna roll with you man
How can I be down?

What's up? You say you wanna be down?
Ease back, or motherfucker get beat down
Out my face, fool I'm the illest
Bulletproof, I die harder than Bruce Willis
Got my crew in effect, I bought em new Jags
So much cash, gotta keep it in Hefty bags
All I think about is keys and Gs
Imagine that, me workin at Mickey D's
 (ha ha ha ha)
That's a joke cause I'm never gonna be broke
When I die there'll be bullets and gun smoke
Ya don't like my lifestyle? Fuck you!
I'm rollin with the New Jack crew
And I'm a hustler

H-U-S-T-L-E-R hustler
New Jack, New Jack..........

Here I come, so you better break North
As I stride, my gold chains glide back and forth
I care nothing 'bout you, and that's evident
All I love's my dope and dead presidents
Sound crazy? Well it isn't
The ends justifies the means, that's the system
I learned that in school then I dropped out
Hit the streets, checked a grip, and now I got clout
I had nothing, and I wanted it
You had everything, and you flaunted it
Turned the needy into the greedy
With cocaine, my success came speedy
Got me twisted, jammed into a paradox
Every dollar I get, another brother drops
Maybe that's the plan, and I don't understand
God damn----you got me sinkin in quicksand
But since I don't know, and I ain't never learned
I gotta get paid, I got money to earn
With my posse, out on the ave
Bump my sounds, crack a forty and laugh
Cool out and watch my new Benz gleam
Is this a nightmare? Or the American dream?
So think twice if you're coming down my block
You wanna journey through hell? Well shit gets hot
Pregnant teens, children's screams
Life is weighed on the scales of a triple beam
You don't come here much, and ya better not
Wrong move (bang), ambulance cot
I gotta get more money than you got
So what, if some motherfucker gets shot?
That's how the game is played
Another brother slayed, the wound is deep
But they're givin us a band aid
My education's low but I got long dough
I'm raised like a pit bull, my heart pumps nitro
Sleep on silk, lie like a politician
My Uzi's my best friend, cold as a mortician
Lock me up, it's genocidal catastrophe
There'll be another one after me!
A hustler, hustler

H-U-S-T-L-E-R hustler
New Jack, New Jack......",https://genius.com/Ice-t-new-jack-hustler-lyrics
Girls L.G.B.N.A.F.,Power,1988.0,"1-2, 1-2-1-2-3, I'm the emcee called Ice-T
That's DJ Evil E
, 
Islam creates the beats
You girls look so sexy
I wish you all were up here with me
You drive me crazy with them big ole butts
Girls, let's get butt naked and fuck

Tonight, I'm trying to make this real clear, dear
I've no time to whisper in your ear
No time to remove your fears
I just wanna get near
Get butt naked and roll around
Move our bodies like up and down
Do that stuff that your mama call smut
Girls, let's get butt naked and fuck

Come on, you know you wanna do it too
It's good to me and it's good to you
I only speak what's true
You say you don't, but I know you do
Come on up to my room
We'll undress by the light of the moon
Lay down and I'll caress that butt
Girls, let's get butt naked and fuck

I mean real stupid and nasty
I know what you want, so you don't have to ask me
Just lay back and I'll operate
Jimbrowski will go to work and penetrate
And then we'll both feel great
Make your move tonight, girl -- don't hesitate
We both want it, don't make it tough
Girls, let's get butt naked and fuck

Homeboys, you know the situation
You're trying to rap but they give you frustration
Nose in the air, turning you down
When you really wanna say, ""Yo baby, let's get down""
But you don't, you keep fronting
Kicking conversation, ain't talking 'bout nothing
When all that's really on your mind is what?
""Yo baby, let's get butt naked and fuck""

That's right, if you're a man you want it
If you're a woman, you tease him and flaunt it
But my crew got to have it
And after they dog it, I autograph it
The Syndicate don't lecture
We move in a group, seduce and capture
And if the posse has good luck
The girls will get butt naked and fuck that night

Islam takes the pictures
And girls, I'mma say Evil E's gonna get ya
Get ya illing in a nude mode
A double X-rated episode
Hotel rooms cold explode when my posse unloads
Sex in effect when we're on the road

Put your hands up in the air
If you love sex -- I know you're out there
Safe sex that is
Ya gotta be careful with this '88 sex biz
But that's another song
Girls, move your bodies sexy and the brothers will come along
Homeboys, move in on that butt and say
Girls, let's get butt naked and fuck",https://genius.com/Ice-t-girls-lgbnaf-lyrics
O.G. Original Gangster,O.G. Original Gangster,1991.0,"Ten years ago I used to listen to rappers flow
Talkin' bout the way they rocked the mic at the disco
I liked how that shit was goin' down
Dreamt about ripping the mic with my own sound
So I tried to write rhymes something like them
My boys said, ""That ain't you, Ice! That shit sounds like them.""
So I sat back, thought up a new track
Didn't fantasize, kicked the pure facts
Motherfuckers got scared cause they was unprepared
Who would tell it how it really was? Who dared?
A motherfucker from the West Coast, L.A
South Central, fool, where the Crips and the Bloods play
When I wrote about parties, it didn't fit
""6 N' the Mornin,"" that was the real shit

O.G. Original Gangster

When I wrote about parties, someone always died
When I tried to write happy, yo, I knew I lied
'Cause, I lived a life of crime Why play ya blind?
A simple look and anyone with two cents would know I'm
A hardcore player from the streets
Rapping bout hardcore topics over hardcore drum beats
A little different than the average though
Jet you through the fast lane, drop ya on death row
Cause anybody who's been there knows that
Life ain't so lovely on the blood-soaked fast track
That invincible shit don't work
Throw ya in a joint, you'll be coming out feet first
So I blast the mic with my style
Sometimes I'm ill and other times buckwild
But the science is always there
I'd be a true sucker if I acted like I didn't care
I rap for brothers just like myself
Dazed by the game in a quest for extreme wealth
But I kick it to you hard and real
One wrong move, and your cap's peeled
I ain't no super hero, I ain't no Marvel comic
But when it comes to game I'm atomic
At dropping it straight, point blank and untwisted
No imagination needed, cause I lived it
This ain't no fucking joke, this shit is real to me
I'm Ice-T, O.G
[Hook}

Two weeks ago I was out at the disco
Two brothers stepped up to me and said, ""Hey yo, Ice
We don't think you're down. What set ya claiming?""
E drew the Glock, yo my set's aiming!
Dumb motherfucker, try to roll on me, please!
I'm protected by a thousand emcees
And hoodlums and hustlers and bangers with jheri curls
We won't even count the girls
Cause they got my back and I got theirs too
Fight for the streets when I'm on Oprah or Donahue
They try to sweat a nigga but they just didn't figure
That my wit's as quick as a hair trigger
""He's not your everyday-type prankster.""
I'm Ice-T, the original gangster


So step to me if you think that you're ready to
Got on your bullet proof? Well mine's going right thru
This ain't no game to me, it's hollow fame to me
Without respect from streets, so I don't claim be
The hardest motherfucker on earth
Catch me slipping, I can't even get worked
But I don't slip that often, there's a coffin
Waiting for the brother who comes off soft when
The real fucking shit goes down, take a look around
All them pussies can be found
They talk a mean fight but fight like hoes
I'm from South Central, fool, where everything goes
Snatch you out your car so fast you'll get whiplash
Numbers on your rooftop for when the copters pass
Gangbangers don't carry no switchblades
Every kid's got a Tec 9 or a hand grenade
Thirty-seven killed last week in a crack war
Hostages tied up and shot in the liquor store
Nobody gives a fuck
""The children have to go to school!"" Well, moms, good luck!
Cause the shit's fucked up bad I use my pad and pen
And my lyrics break out mad
I try to write about fun and the good times
But the pen yanks away and explodes and destroys the rhyme
Maybe it's just cause of where I'm from
L.A. (*bang!*) that was a shotgun!",https://genius.com/Ice-t-og-original-gangster-lyrics
Body Count,O.G. Original Gangster,1991.0,"Ice-T, after your tremendous success on your past album
Some have said; you have sold out
Because of the use of rock'n'roll in your music
How do you reply to that?

You see, a lotta people don't realize that, you know
Rock'N'Roll is truly black music
It was created by Chuck Berry, Little Richard
Even black people like that, who started it off back in the day
You know, and as far as I'm concerned music is music
I don't look at it as Rock or R&B all that kind of stuff
I just look at it as music, you know
And anybody who said that I've sold out, they can basically suck my dick
Cause I really don't give a fuck about that shit, you know
But uhh.. I do what I like, I happen to like Rock'N'Roll
And uhh.. I feel sorry for anybody who only listens to one form of music
You know, right now, I got my own Rock band, it's got to jump off
It's really black hardcore band called Body Count
And uhh.. on some of the records I'm like laying some vocals on it
And uhh.. I got a tape of it right here, yo, check it out

You know, sometimes I sit at home, you know, and I watch TV
And I wonder what would be like to live in some place like
You know, The Cosby Show, Ozzie and Harriet
You know, where Cops come and got your cat outta the tree
All your friends died at old age
But you see.. I live in South Central, Los Angeles
And unfortunately... SHIT AIN'T LIKE THAT!!
It's real fucked up!

God damn, what a brother gotta do
To get a message through
To the red and white and blue
What? I gotta die before you realize
I was a brother with opened eyes?
The world's insane while you drink champagne
And I'm living in black reign
You try to ban the A.K
I got ten of them stashed
With a case of hand grenades

(Tell us what to do?) Fuck you!
(Tell us what to do?) Fuck you!
(Tell us what to do?) Fuck you!
(Tell us what to do?) Fuck you!

You'd know what to do
If your kid got killed on the way to school
Or a cop shot your kid in the back yard
Shit would hit the fan motherfucker and it will hit real hard
I hear it every night, another gun fight
The tension mounts, on with the Body Count

Yo Beatmaster V, take these motherfuckers to South Central
Ha ha ha, yeah, fuck that
I hear it every night, another gun fight
The tension mounts, on with the Body Count
Last weekend thirty seven kids killed in gang warfare in my back yard
NO!!, NO!!, NO!!
Yo Ernie C, take these motherfuckers home, yeah
Yo, we're in the house, Body Count fool, 1991 motherfucker
I hear it every night, another gun fight
The tension mounts, on with the Body Count

God damn what a brother gotta do
To get a message through
To the red and white and you?
What? I gotta die before you realize
I was a nigga with opened eyes?
The world's insane while you drink champagne
And I'm living in black reign
Don't you hear the guns?
You stupid, dumb, dick sucking, bum politicians!!

(Tell us what to do?) Fuck you!
(Tell us what to do?) Fuck you!

The tension mounts...",https://genius.com/Ice-t-body-count-lyrics
Warning,Home Invasion,1993.0,"Attention!!
At this moment you are now listening to an Ice-T LP
If you are offended by words like:
Shit!! - Bitch!! - Fuck!! - Dick!! - Ass!! - Whore!! - Cum!!
Dirty Bitch!! - Low Motherfucker!! - Nigga!!
Hooker!! - Slut!! - Tramp!!
Dirty Low Slut!! - Tramp!! - Bitch!! - Whore!!
Nigga!! - Fuck!! - Shit!! - whatever..
Take the tape out NOW!
This is not a Pop album
And by the way; Suck my motherfucking Dick!!",https://genius.com/Ice-t-warning-lyrics
Gangsta Rap,Gangsta Rap,2006,"(*someone whistles*)
What's up?!
What's happening Cous'?
WESTSIIIDE!!

Here we go, another one
Iceberg, Gangsta Rap 2006, 8th album, SMG

Time to take you back to the days of old
64 Chevys, big fat gold
Out to the west where the gangstas roam
South Central, L.A.. my home
We was out there feeling that Hip-Hop beat
But couldn't connect to the New York streets
So we took our bandanas and we tied them up
Rolled up in the studio and laid it rough
Ice Cube and them niggas with the 'tudes
Showed a motherfucker how to blast at dudes ""BLAW!!""
COME ON!! Dr. Dre, N.W.A
Eazy-E and 'Ren, Fuck what you say!
Too Short kept it raw for them niggas up North
Geto Boys, we was like to fuck the law
W.C. nigga, sag your pants
We taught you how to gangbang and to crip dance

This ain't no R&B this is Gangsta Rap
Bitches get smacked, busters get jacked
Front if you want, you'll get laid on your back
It's about guns and drugs and ho's and clubs

Cypress Hill made a nigga understand
How I can just kill a man
Long Beach out of the dark, came Snoop
Skinny little nigga not scared to shoot
Dogg Pound Gangsters, Kurupt and Daz
Suge had the whole Death grow on blast
King Tee motherfucker Warren G
Nate Dogg reppin that 213
Don't front motherfucker don't hate
Compton's Most Wanted, MC Eiht
Throw your sets up niggas like you don't give a damn
Inglewood, Mack 10, Watts was KAM


So you wanna really know what's real on the Mic!
My little homie 'Pac lost his life
East coast, West coast, Gun-talk rules
Cocaine, big wheels, ho's and jewels
Down South, gold teeth, niggas is real ""Dirty South""
Gangsta Rap got mass appeal
Little white boys in 'burbs got heat
A ghetto is a ghetto and a street is a street
Eliminate the poverty disease
And we'll start rapping about birds and trees
You can get shot, no matter how much fucking cash you got
You can never get away, the streets stay hot (*Gunshot*)
And gangsters ain't the ones to push
They'll kill you a second ask president Bush",https://genius.com/Ice-t-gangsta-rap-lyrics
Freedom of Speech,The Iceberg / Freedom of Speech... Just Watch What You Say,1989.0,"Intro
A-yo Ice, man. I'm working on this term paper for college. What's the First Amendment?
Verse 1
Freedom of Speech, that's some motherfuckin' bullshit
You say the wrong thing, they'll lock your ass up quick
The FCC says ""Profanity - No Airplay""?
They can suck my dick while I take a shit all day
Think I give a fuck about some silly bitch named Gore?
Yo PMRC, here we go, raw
Yo Tip, what's the matter? You ain't gettin' no dick?
You're bitchin' about rock'n'roll, that's censorship, dumb bitch
The Constitution says we all got a right to speak
Say what we want Tip, your argument is weak
Censor records, TV, school books too
And who decides what's right to hear? You?
Hey PMRC, you stupid fuckin' assholes
The sticker on the record is what makes 'em sell gold
Can't you see, you alcoholic idiots
The more you try to suppress us, the larger we get
Verse 2

Fuck that right! I want the right to talk
I want the right to speak, I want the right to walk
Where I wanna, yell and I'm gonna
Tell and rebel every time I'm on a
Microphone on the stage cold illin'
The knowledge I drop will be heard by millions
We ain't the problems, we ain't the villains
It's the suckers deprivin' the truth from our children
You can't hide the fact, Jack
There's violence in the streets every day, any fool can recognise that
But you try to lie and lie
And say America's some motherfuckin' apple pie
Yo, you gotta be high to believe that
You're gonna change the world by a sticker on a record sleeve
Cos once you take away my right to speak
Everybody in the world's up shit creek
Verse 3
Let me tell you about down south
Where a motherfucker might as well not even have a mouth
Columbus, Georgia, said they'd lock me up
If I got on the stage in my show and said ""Fuck""
So I thought for a minute and said ""No
I wasn't even gonna do a damned show""
Cos for me to change my words from my rhymes
Is never gonna happen cos there's no sell outs on mine
But I vowed to get those motherfuckers one day
They even 
arrested Bobby Brown and Cool J
Yo, they got their's comin', cos I'm mad and I'm gunnin'
Homeboys, and there's no runnin'
I'm gonna tell you how I feel about you
No bull, no lies, no slack, just straight fact
Columbus, Georgia, you can suck my dick
You ain't nothin' but a piece of fuckin' shit on the damned map
Verse 4
Freedom of Speech, let 'em take it from me
Next they'll take it from you, then what you gonna do?
Let 'em censor books, let 'em censor art
PMRC
, this is where the witch hunt starts
You'll censor what we see, we read, we hear, we learn
The books will burn
You better think it out
We should be able to say anything, our lungs were meant to shout
Say what we feel, yell out what's real
Even though it may not bring mass appeal
Your opinion is yours, my opinion is mine
If you don't like what I'm sayin'? Fine
But don't close it, always keep an open mind
A man who fails to listen is blind
We only got one right left in the world today
Let me have it or throw The Constitution away
Outro (Jello Biafra)
What they're trying to do with radio, with this, uh, 
McCarran-Walter Act
 and a lot of other ways, is start by saying that they're protecting the public from wicked rock bands, or girlie magazines, or whatever. But, if you follow the chain of dominoes that falls down what they're really trying to do is shut off our access to information itself
If they can't do it by law they know there's other ways to do it",https://genius.com/Ice-t-freedom-of-speech-lyrics
