title,album,year,lyrics,urls
Why?,The Champ Is Here,2004.0,"Yo, why is Jadakiss as hard as it gets?
Why is the industry designed to keep the artist in debt?
And why them dudes ain't ridin' if they part of your set?
And why they never get it poppin' but they party to death?
Yeah, and why they gonna give you life for a murder?
Turn around, only give you eight months for a burner?
It's goin' down;
 why they sellin' niggas' CD's for under a dime?
And if it's all love, daddy, why you come with your 9?
Why my niggas ain't get that cake?
Why is a brother up north better than Jordan
That ain't get that break?
Why you don't stack instead of tryin' to be fly?
Why is rattin' at an all time high? Why are you even alive?
Why they kill 2Pac and Chris?
Why at the bar you ain't take straight shots instead of poppin' Cris?
Why them bullets have to hit that door?
Why did Kobe have to hit that raw? Why'd he kiss that whore?
Why?!

All that I’ve been given
It's this pain that I’ve been livin'
They got me in the system
Why they gotta do me like that?
Tried to make it my way
But got sent on up the highway
Why? Oh why?
Why they gotta do me like that?

Why do niggas push pounds and powder?
Why did Bush knock down the towers?
Why you around them cowards?
Why Aaliyah have to take that flight?
Why my nigga D ain't pull out his Ferrari?
Why he take that bike?
Why they gotta open your package and read your mail?
Why they stop lettin' niggas get degrees in jail?
Why you gotta do 85% of your time?
And why do niggas lie in 85% of they rhymes?
Why a nigga always want what he can't have?
Why I can't come through in the pecan Jag?
Why did crack have to hit so hard?
Even though it's almost over, why niggas can't get no jobs?
Why they come up with the witness protection?
Why they let the Terminator win the election?
Come on, pay attention!
Why I sell in the stores what you could sell in the streets?
Why I say the hottest shit but be sellin' the least? why

All that I’ve been given
It's this pain that I’ve been livin'
They got me in the system
Why they gotta do me like that?
Tried to make it my way
But got sent on up the highway
Why? Oh why?
Why they gotta do me like that?

Why Halle have to let a white man pop her to get a Oscar?
Why Denzel have to be crooked before he took it?
Why they didn't make the CL6 with a clutch?
And if you don't smoke
Then why the hell you reachin' for my dutch?!
Why rap? ‘Cause I need air time
Why be on the curb with a ""Why lie? I need a beer"" sign?
Why all the young niggas is dyin'?
‘Cause they moms at work
They pops is gone,
 
they livin' with iron
Why they ain't give us a cure for AIDS?
Why my diesel have fiends in the spot on the floor for days?
Why you screamin' like it's a slug? It's only the hawk
Why my buzz in L.A. ain't like it is in New York?
Why they forcin' you to be hard?
Why ain't you a thug by choice?
Why the whole world love my voice?
Why? Try to tell 'em that it's the flow, son
And you know why they made the new twenties?
‘Cause I got all the old ones — that's why!

All that I’ve been given
Is this pain that I’ve been livin'
They got me in the system
Why they gotta do me like that?
Tried to make it my way
But got sent on up the highway
Why? Oh why?
Why they gotta do me like that?",https://genius.com/Jadakiss-why-lyrics
We Gonna Make It,Kiss Tha Game Goodbye,2001.0,"Fuck the frail shit, uh, 'cause when my coke come in
They gotta use the scale that they weigh the whales with
Carlssons on the jeep, Bugatti made the prototype
Hoped you'd get the picture but you just can't photo life
Determined niggas make it
Kicking down the door and we burning niggas naked
The house costs a million, sitting on the beach
And the only thing I know: if it's furnished I'ma take it
My bathtub lift up, my walls do a 360
We got the shit that the government got
Talking money then you rubbing the spot
Real niggas say that they be wilding
We on the Cayman Islands on a yacht with our favorite albums
A bad ho and a plate of salmon, smoking and drinking
Nigga is you thinking that our fate is violent?
I love my nigga for the fact that he real
And nobody on the faculty squeal
And if you facing capital pun, pass me a gun
And I'ma give you time to run while I rapidly peel, uh

We gon' make it
We gon' make it, we gon' make it
We gon' make it
We gon' make it, we gon' make it
We gon' make it

I learned the game quickly, and I don't like to rent
So when I fly now, I bring my cars on the plane with me
In this case who's the loser?
Ran through enough coke for Castro to build schools in Cuba
Teaching kids how to read and write and use the Ruger
Motherfuckin' niggas is back, Jada and P
We got water, X, haze, plus weight of the D
And I'm tired of hearing about old niggas that had it
And be the same old niggas that ratted (Who cares?)
Talking 'bout how we hawk niggas in they fuckin' back
Gun work's official but niggas don't be wanting that
(Why?) 'Cause they puss and they mans is lame
We Soul for Real in the hood, we make Candy Rain
I could easily send you to God
But come and see me at the Plaza Hotel I might give you a job
If you can't remember the name
All you gotta do is ask the dame for the niggas that deliver it hard

We gon' make it
We gon' make it, we gon' make it
We gon' make it
We gon' make it, we gon' make it

Jada-MWAH, I'll kiss you, you bitch ass nigga
Bet the hood won't miss you, you bitch ass nigga
Might find your man dead in the ocean (he be aight though)
You know dead rappers get better promotion
Why we don't laugh at death, and cry at birth
Never say you can't do it 'til you try it first
Be the young niggas eager to pull it
But it's a message in everything, trust me, even a bullet
Go to war with the 8 and the pound
Think you got your ear to the street now
Put your face in the ground 'cause my shells is expensive
You'll know exactly why when you yellin' in intensive
My fellas is offensive
Lucky 'cause I got guns that crack your back
But that's not what I prefer, I manufacture crack
And niggas turn bitch when you show em the steel
But we know how to bid so y'all go 'head and squeal
I'm comfortable far from home
Eating right, getting good rest either on the bar or the phone
I'm the reason niggas got deals the past few years
""Sound anything like Kiss? Then sign right here!""
And, y'all just talking, I'm doing it well
Jadakiss, motherfucker, I'ma see you in hell

We gon' make it
We gon' make it, we gon' make it
We gon' make it
We gon' make it, we gon' make it
We gon' make it",https://genius.com/Jadakiss-we-gonna-make-it-lyrics
Checkmate,UnKnown,UnKnown,"You did it baby! Congratulations, homie!
You made history! 1.1 million in a short week!
Ha-HAA! Screw a press conference!
Press this on your conscience!
D-Block, cheers! YEAH! Ah-ha-ha
I ain't mad, I don't wanna sound mad, I feel marvelous
D-Block, Double R
, fuckin' faggots!

We gon' handle this like grown men, you won't win
You don't even feel comfortable in your own skin
I rap my ass off, I'm fightin' the champ with the glass jaw
At the Garden or Nassau (Uh-huh)
See me, couple hood niggas behind stars
I heard you put a couple good niggas behind bars (Preme!)
I might never sell that much
But you can bet your last two quarters I never tell that much
Picture 'Kiss not come out swingin'
It's like going to see 50 at a show
And he don't come out singin' (C'mon!)
Yeah, you got a felony, but you ain't a predicate (Nuh-uh)
Never the King of New York, you live in Connecticut (Haha)
You don't be in the hood, you be in the woods
Fuckin' with me, it's where you really gon' be for good (Ugh)
I hold the 4-5 myself (Ch-chk)
And hop out the Range on 1-4-5 myself (What up!)
This is a true fact
Since when has it become cool to get shot and not shoot back? (Never)
Trackmasters shelved you (Ugh),
 
Bravehearts helped you (Ugh)
Then everybody felt you (Uh-huh), now I gotta melt you (Yeah)
And don't try to pull rank on 'Kiss
‘Cause the niggas I'ma send to do it ain't gon' miss
Be layed up stiff,
 
I spit straight up piff
I did real songs with Big, no made-up shits (Ah!)
And I don't got a problem with clout
You ain't get shot again yet
So what's your second album about?
 (Nothin'!)
Your raps are pre-school
You made a lot of money, now be cool
'Fore I swell up your lips like seafood (Mmm)
Can I get a mic check?
You don't stand a chance at the dance with me, dawg
Your steps ain't right yet (Uh-uh)
Block is just fine, homie, the D's straight (D-Block)
Most likely, your new CD is a weed plate (Haha)
Bunch of love songs, 100% pure garbage (Garbage)
Just somethin' to break up buds on
You should just sell clothes and sneakers
‘Cause outta your whole camp
Your flow's the weakest (Garbage)
I'm in the town where the young boys is clappin' (Clappin)
You runnin' around with the lieutenant and captain (Haha!)
It'll take a lifetime to see 'Kiss
You had to get shot 9 times to be rich

Rat-ass nigga, you's a animal
You's a motherfuckin' animal
Pig-ass nigga, you's a animal
You's a motherfuckin' animal
Snake-ass nigga, you's a animal
You's a motherfuckin' animal
Matter of fact, you ain't no animal
I'ma show these motherfuckers how to handle you

Ah-HA! D-Block!
I'm not a sucker, so I don't need a bodyguard!",https://genius.com/Jadakiss-checkmate-lyrics
By Your Side,Kiss of Death,2004.0,"[Intro: Jadakiss & 
Barbara Lewis
]
I'll be by your side, I'll always find a way
General, we got these niggas
Fucking cockroaches, you wanna go to war? HA-HAAAEEH!
I love you too much to lose your sweet touch and your love
I'd find you

(
By your side
)
It makes me strong
It gives me the strength to bang out and make these songs
If I do it on the spot or if it takes me long
They can't stop me, even if my brakes was on
I'm still (
by your side
)
I'm always here, nobody’s perfect, life ain't always fair
I used to not give a fuck, I ain't always care
When it’s too hot for the hammer
You know the hawk is right (
by your side
)
Until you get to the car
And you gotta get through the D before you get to the R
If I don't get you today then I'ma get you tomorrow
As soon as you come out your crib I'ma be right (
by your side
)
Where I’m supposed to be
Close to you, with the toast close to me
And screw it if it’s the right or the wrong thing
When you in the sight of that long thing
You wish you had a strong team (
by your side
)

I love you too much to lose your sweet touch and your love
I'd find you
By your side, by your side
I love you too much to lose your sweet touch and your love
I'd find you

As long as you need me
I'm down for whatever homie as long as you feed me
I pull the big joints out as long as the TV
Or I can play my part and just breathe easy, right (
by your side
)
As soon as something happen to you
Your niggas are bouncin' and you thought they were scrappin' witcha you
Now you cleanin' your cuts with peroxide
And you wake up in the ER with the Doc, right (
by your side
)
Puttin tubes in you
And you can’t even eat right, they puttin’ food in you
Your body’s getting colder, Devil on your shoulder
And your moms is in the room but you just wanna hold her (
by your side
)
Nothin but realness
That's why everybody in the world could feel this
I'm on top and y'all under me
So when it's over; if I ain't in the front
At least I'm gonna be (
by your side
)

I love you too much to lose your sweet touch and your love
I'd find you
By your side, by your side
I love you too much to lose your sweet touch and your love
I'd find you

Until they finish me off
If they don't get us both you'll be sending me off
And please just do me this favor: stick to our little plan
And fuck the money, just keep my little man (
by your side
)
And show 'em there's hope
And he gon' think he know how it's going
But show him the ropes
And if you bring him to the Gucci store, show him the loafs
Hood niggas I'm just showing you growth
But I'm still right (
by your side
)
You know Kiss
Don't gotta aim his gun at you to be focused
And if you broke now nigga when you see those chips
Watch how many people come out of nowhere
And try to be (
by your side
)
The answer's plenty
'Cause when you, handling business you can't be friendly
And if you, tryin to stack something can't be pennies
Most likely Grants and Benjies
And you better keep 'em (
by your side
)

I love you too much to lose your sweet touch and your love
I'd find you
By your side, by your side
I love you too much to lose your sweet touch and your love
I'd find you
By your side
By your side
By your side
By your side",https://genius.com/Jadakiss-by-your-side-lyrics
Welcome to D-Block,Kiss of Death,2004.0,"Welcome to D-Block, the city of broke down dreams
Where things ain't always peachy keen as they seem
City of dope dealers, killers, pimps, pushers
Panhandlers, hustlers and doped out fiends
The sun don't shine here, in this part of town
But we all got a town that's similar to this too
Say every city's got a ghetto, every ghetto's got a hood
Take a good look around you cause there's a D-Block near you

Place where ain't nobody that proud, it's a fucking black cloud
That got people under the impression they can act wild
Working around though, cause if you can pull a trigger on the pound yo
5 minutes flat, the whole town know
Lotta assuming in niggas' salary
More lies than truth definitely more rumors than reality
Only way you beating a body is technicality
Other than that catch 'em in Clinton on the gallery
The determination and dedication and discipline
Listening and catching the jewels that you was missing
And they still doing coward shit
You know the hate is gonna always be heavy but the love overpowers it
Something in the air but the older they get
They kill you quicker over a girl than over a brick
We don't play with the lizards, we make phrases up and say 'em exquisite
Anytime you can pay us a visit

Welcome to D-Block, the city of broke down dreams
Where things ain't always peachy keen as they seem
City of dope dealers, killers, pimps, pushers
Panhandlers, hustlers and doped out fiends
The sun don't shine here, in this part of town
But we all got a town that's similar to this too
Say every city's got a ghetto, every ghetto's got a hood
Take a good look around you cause there's a D-Block near you

Welcome to D-Block, the mighty mighty D-Block
The place in New York City where Diddy won't even walk
Its D-Block, the part of Yonkers
 I wouldn't be caught
Without two pistols on me that'll be cocked in each pocket
D-Block don't even stop to talk, you just keep walking
Stick up kids every block who watch for every opportunity
As soon as you leave out that jewelry shop
And you won't even notice your mind will be so
Preoccupied with that new watch you just copped
You won't even see that ride pulling up alongside you
You'll be shot 'fore you even realize you were spied on for three blocks
D-Block the place where O.G.'s get knocked, locked up
Get out come home for a week and get re-knocked
You won't even see cops, 
hip-hop police don't even stop
On D-Block, where everybody wants to be 'Pac
And you can get popped over the new G-Unit Reeboks

Welcome to D-Block, the city of broke down dreams
Where things ain't always peachy keen as they seem
City of dope dealers, killers, pimps, pushers
Panhandlers, hustlers and doped out fiends
The sun don't shine here, in this part of town
But we all got a town that's similar to this too
Say every city's got a ghetto, every ghetto's got a hood
Take a good look around you cause there's a D-Block near you

If you bust and your gun got niggas on the run
And you rep where you from nigga you D-Block
And you trying to come up and your pockets is light as a cup
And don't give a fuck, you D-Block
Aiyo bang bang nigga, let's get it on
Always been a monster, but its worse now that my son's been born
And every nigga where I be, I put in work for free
It's D-Block mothafucka, hey yo grab this P

Welcome to D-Block, a place where little niggas is killas
And the mother's raising the sons to turn into gorillas
And the hallways is pissy as hell, all we do is get bigger
More ignorant, you send us to jail
My niggas shoot anything that'll move
Sell drugs, from the rise to the sun to the fall of the moon
I'd die the way I stand with my man if I can when the shells come
This is D Block, ya'll welcome

Welcome to D-Block, the city of broke down dreams
Where things ain't always peachy keen as they seem
City of dope dealers, killers, pimps, pushers
Panhandlers, hustlers and doped out fiends
The sun don't shine here, in this part of town
But we all got a town that's similar to this too
Say every city's got a ghetto, every ghetto's got a hood
Take a good look around you cause there's a D-Block near you",https://genius.com/Jadakiss-welcome-to-d-block-lyrics
All For the Love,"Money, Power, & Respect",1998.0,"What's the deally yo?
I gotta squeeze the juice outta the headphones
(Jadakiss...)
Yeah (I like that)
Squeeze the juice outta the headphones
Yo, yo yo

When you think of me you think of a problem
Who? What? When? and how you gonna solve em
Automatic or revolving
The K I double S and, Here's the lesson
Most beams is infared, but mine's is flourescent
No matter where you go, I'mma spot you
No matter how many people you put me in front of, I'mma rock you
And if you try to be the hard top, I'mma drop you
I got to, treat you like the clutch, and pop you
Creep threw, in the 4-20 with your honey
Cuz you ain't nuthin' but a playboy that turned bunny
And the only the thing left to discuss is more money
In these bullshit games these chickens, try to run me
Ya'll know ya'll can't touch us, I flow lushes
It's so real I make her hop out, and get the dutches
I'm sittin on a thousand birds, and I hide from the cameras (why?)
Cuz a picture's, worth a thousand words
Since ya'll herbs, ya'll get what ya'll deserve
Ya'll do the catering, while we just get served
And you got some nerve, for P-Hing
Jason, 
do you have any idea who you facing?
Just something about my shit, you'll never figure out
It's too hot, burning my mouth, that's why I spit it out
It must be, real hard for ya'll to listen
And it's sad, niggas is to broke to pay attention
[
Hook
]
Chilling, sittin' on about half a million
And all my niggas, all my guns, all my women
Next two years I should see about a billion
All for the love of drug dealing
Chilling, sittin' on about half a million
And all my niggas, all my guns, all my women
Next two years I should see about a billion
All for the love of drug dealing

Hey yo, niggas know the line of work, Bullet proof designer shirt
Rolling with a China Doll
, She'll be reminding ya'll
Don of the underworld, every block monitored of course
Jadakiss and L-O-X boss
A pro cause I grow off the shit that I absorb
You just another so and so, trying to flow, going broke
You trying to buy property, set it up for growing coke
Niggas making a movie, so I came to edit
Wiping everybody out, right before the credits
I'm a hard guy to get along with, get on a song with
When shit be going right, I flip into the wrong shit
The prime artist, expect me to rhyme hardest
Slash con artist, gonna get mine regardless
I ain't even big and I size niggas up
Cuz they eyes give em up, look at em and see they butt
I'm 22 with 10 ends
 so there that go
You hear that flow that 
drove the underground wacko
Every since 12 I've been spittin like tabacco
Relax though, Pop the tape CD and the wax though
They wonder how, but the thing about ours
We open up 24 hours
Niggas don't sleep with eat so when they speak it mean power
So you should keep quiet, you a coward
About to be layed out flat, and pushing up flowers
[
Hook
]
Chilling, sittin' on about half a million
And all my niggas, all my guns, all my women
Next two years I should see about a billion
All for the love of drug dealing
Chilling, sittin' on about half a million
And all my niggas, all my guns, all my women
Next two years I should see about a billion
All for the love of drug dealing",https://genius.com/Jadakiss-all-for-the-love-lyrics
Letter to B.I.G.,The Last Kiss,2009.0,"Uh huh! I ain't even good with writing
I don't even write shit
I just felt, I had to write this letter to BIG
Niggas is acting like.................. Letter to BIG
Uh, yo

Dear Christopher ""Frank White"" Wallace
Yeah it's your boy Kiss I just want to holla
In your memory I keep the Coogi in my closet
Kangol on the rack, a fresh pair of Wallies
You know I'm still the liquor and the weed child
And still got Branson on speed dial
And everybody's the king now
You ain't gotta be nice getting shot is the thing now
Mafia was doing their best, they separated
Now Roc and Gutta doing a stretch, uh, yeah
Kim is still in it to win it
I seen Money L awhile ago but I ain't heard from Cease in a minute
People in power is queer
I could go on for a year 'bout how it would be if you were still here
The game got cheaper, rappers is more commercially successful now
But the heart's a lot weaker
You know me still got the flow that'll pop speakers
First option on offense the top feature
It's easy BIG all you need is a pro-tool set
And I ain't touch the paper that I was supposed to yet
Everybody that's somebody show respect
Only a matter of time before they notice that
I'm an impeccable lyricist
And with the right mechanics, I could take over be clear of this
They well aware of Kiss the light of the city
And I ain't on the label no more but I'm tighter with Diddy
I got my own plan handle mine like a grown man
Long as I know I'm nice, fuck it I'm my own fan
Remixed the joints you had
But, they could never ever duplicate your swag (Never)
Meanwhile I'm a keep it so on my lil' plans
And you might bump into a few of my lil' mans
Up there stepping with God
And down here Mister Cee in BK still repping you hard
T-yanna so pretty, CJ turned into a Lil' Biggie
Just a little lighter but so witty
On your born day, we get the highest
Groovy still the best with the garments, he keep me the flyest
Tonight, Patron is dead
Only right that I take a bottle of Bacardi Limon to the head
And before I end it, I gotta say thanks
Cause not only was your time well-spent, it was splendid (thanks)
...Miss you, my nigga
One Love (So we tried to hard to understand)
 (Jadakiss)
So we tried to hard to understand, why you had to go away
(That was my letter to B.I.G., nahmean?)
You were everything - you were everything
(I felt it was only right, I really smoked with them niggas)
 (Jadakiss)
So we'll just keep our heads to the sky (Drink wit 'em)
(Sat wit 'em, talked wit 'em)
Cause we know we're gonna see you in the next lifetime (Real shit)
But it's never easy saying good-byyyyye
(See you when I get there, Biggie)
Saying - good-byyyyyyyyyyye (Love you)

So we tried to hard to understand, why you had to go away
You were everything (Why you had to go awaaaaaay?)
So we tried to hard to understand, why you had to go away
You were everything (Oooo-hooo-oooo-hooo-oooo-hoooo...)",https://genius.com/Jadakiss-letter-to-big-lyrics
Kill,Top 5 Dead or Alive,2015.0,"What am I (a real nigga)
This coupe I'm in cost a quarter mil, nigga
Niggas hating, I feel niggas
AK-47 locked and loaded 'bout to kill niggas
(Huh now what you say) I'm 'bout to kill niggas
(Huh now what you say) I'm 'bout to kill niggas
(Huh now what you say) I'm 'bout to kill niggas
AK-47 locked and loaded 'bout to kill niggas

Real niggas love me bitches they ain't never stop
Hating niggas fuck them they can eat a bunch of cock
I'ma move this white shit all you do is punch the clock
Nobody arrested all they did was rush the block
Do it for my realies 'cause they the ones who feel me
Til God calls for me or 1 of these niggas kill me
As far as the rap game go, I'm the Achilles
Last man standing, quit flipping, fast gramming
My back against the wall what I do blast cannon
Pre-meditated, I already planned it
Let you see that barrel burner to your eye
It's assault if he lives but it's murder if he die (fuck him)

What am I (a real nigga)
This coupe I'm in cost a quarter mil, nigga
Niggas hating, I feel niggas
AK-47 locked and loaded 'bout to kill niggas
(Huh now what you say) I'm 'bout to kill niggas
(Huh now what you say) I'm 'bout to kill niggas
(Huh now what you say) I'm 'bout to kill niggas
AK-47 locked and loaded 'bout to kill niggas

Don’t start no shit won’t be no shit
She a cancer I hit her with the chemo dick
I’m married to the mob my tuxedo fit
Now can you treat a blood like a mosquito bitch
I’m the exterminator they call me terminator
I cock this motherfucker back and Arnold Schwarzenegger
I'm still a Martian, nigga, approach with caution, nigga
I'm 'bout to kill 'em baby no abortion nigga
Toss a nigga in a river wearing cement shoes
Smokin' quarters and pounds I'm on my Ps & Qs
And my redbone taste like strawberry shortcake
I'm still trying to find a pain pill for heart break
I'm in this bitch kush in this swish
I'm with my niggas, y'all witnesses
Yeah, RIP to them fake niggas
Uhh, VIP for my skate niggas, Tunechi
[Pre-Chorus: Jadakiss, 
Lil Wayne
 & 
Both
]
What am I 
(a lil nigga, still do it bigger than Shaquille, nigga)
Niggas hating, I feel niggas
AK-47 locked and loaded 'bout to kill niggas

What am I (a real nigga)
This coupe I'm in cost a quarter mil, nigga
Niggas hating, I feel niggas
AK-47 locked and loaded 'bout to kill niggas
(Huh now what you say) I'm 'bout to kill niggas
AK-47 locked and loaded 'bout to kill niggas",https://genius.com/Jadakiss-kill-lyrics
Knock Yourself Out,Kiss Tha Game Goodbye,2001.0,"Uh-huh, you know where I'm taking this
I'm taking it right there, they leave me no choice

She said she was a model for a year and a half
And if she took her pins out
Then her hair would drop down to her calf
I knew her man, he was just up North
And would've got left up North, but he was the chef up North
Anyway I'm K-I-double
All I do is get dough, spit flows, try to stay out of trouble
If you ready we could move, just lose your man
Or hit the dance floor, I'll show you how to do my dance
Or I might let you play in the garden
Or sit up in that white thing and listen to the greatest of Marvin
The estate got 6 locations
Take so long to get to the front once I missed probation
And I hate to brag
I know ya man really wouldn't like the Beretta but he'd hate the Mag
And yeah here go a blank check, rock yourself out
But in the mean time girl - knock yourself out

Oh you modeling momma? (knock yourself out)
Wanna let ya hair down? (knock yourself out)
Oh you ready to move? (knock yourself out)
What you wanna sit in the Coupe? (knock yourself out)
Wanna keep on dancing? (knock yourself out)
Wanna run in my mansion? (knock yourself out)
Sit in V.I.P.? (knock yourself out)
Bitch you just wanna be seen (knock yourself out)

Now you can knock yourself out like you boxin yourself
Or you can get real freaky, start popping yourself
And my watch got so many rocks, when you look at the time
It's sorta like you watching yourself, uhh
Front if you want, I puff a few blunts
And take a cruise in a Porsche with the trunk in the front
She had the Jocko Broshure sandals, told her hop in
The coupe blew her mind when she couldn't find the door handles
Attitude very high maintenance; 
check this out ma
I'm running out of my patience
Don't sleep with me? Then don't speak with me
And never talk bad about niggas that eat with me

Oh you modeling momma? (knock yourself out)
Wanna let ya hair down? (knock yourself out)
Oh you ready to move? (knock yourself out)
What you wanna sit in the Coupe? (knock yourself out)
Wanna keep on dancing? (knock yourself out)
Wanna run in my mansion? (knock yourself out)
Sit in V.I.P.? (knock yourself out)
Bitch you just wanna be seen (knock yourself out)

Ayyo, honey know I'm waiting to leave
Keep dancing, cause I like how that ass shake in them capris
I'm like Big with the murder mamis up in Belize
But I'll still fuck a chickenhead like Lil' Cease
I don't care if they model, bet they all goin' chill
First nigga to cook base on a Foreman grill
And you might win some, but you just lost one
Kiss miseducates 'em like Lauryn Hill
Oh you modeling momma? (knock yourself out)
Wanna let ya hair down? (knock yourself out)
Oh you ready to move? (knock yourself out)
What you wanna sit in the Coupe? (knock yourself out)
Wanna keep on dancing? (knock yourself out)
Wanna run in my mansion? (knock yourself out)
Sit in V.I.P.? (knock yourself out)
Bitch you just wanna be seen (knock yourself out)
Oh you modeling momma? (knock yourself out)
Wanna let ya hair down? (knock yourself out)
Oh you ready to move? (knock yourself out)
What you wanna sit in the Coupe? (knock yourself out)
Wanna keep on dancing? (knock yourself out)
Wanna run in my mansion? (knock yourself out)
Sit in V.I.P.? (knock yourself out)
Bitch you just wanna be seen (knock yourself out)
Oh you modeling momma? (knock yourself out)
Are you ready to move
Wanna keep on dancing? (knock yourself out)",https://genius.com/Jadakiss-knock-yourself-out-lyrics
Can’t Stop Me,The Last Kiss,2009.0," (Jadakiss)
Oooh babe, oooh babe, oooh babe (Gets even better) Baby
Oooh babe, oooh babe, can't stop me baby!
Oooh babe, oooh babe, oooh babe, baby
Oooh babe, oooh babe, can't stop me baby!

Ummm hmmm yes I does that
Stays hot I ain't gotta get my buzz back
What everybody tryin to be now I was that
They could never stop me, that's why I love rap
Been livin the life, crazy ice
Hit the baddest chicks in the world, maybe twice
The swag, the gear, the bread
All the whips is a year ahead I only fear the feds
Forty five on the other side of the peep hole
Head shot from point blank call it a free throw
Funny cause I had the +Vision+ since Coleco
Back then, still ain't reach my peak though
Louis loafers, Polo peak coat
Call me, whenever the bosses meet yo
Uh, I drove papi crazy
So the industry never 'gon stop me baby

You can't stop me now you can't stop me
No you can't stop me now you can't stop me
You can't stop me now you can't stop me (You, can't, stop, me baby)
You can't stop me now you can't stop me
No you can't stop me now you can't stop me
You can't stop me now you can't stop me (You, can't, stop, me baby)

Yo, I'm a call it confidence cause I ain't cocky
I just know one thing they can't stop me
Whether I'm on 5th or L.A. at the swap meet
It's all good cause I know the gangstas got me
First things first the jars are broccoli
I treat the rap game like a large monopoly
One on one, niggas can't guard me properly
And when they double team me the odds are sloppy
I move like them eighty milograms of oxy
Send your sister back to your family knock kneed
Got too hot for the grams who got weed?
In the rap bracket he remains the top seed
Revolver holds six, quick to blow three
Audio heroin so you don't O.D
Shooters know you, but you don't know me
The block is crazy can't stop me baby, uh!

You can't stop me now you can't stop me
No you can't stop me now you can't stop me
You can't stop me now you can't stop me (You, can't, stop, me baby)
You can't stop me now you can't stop me
No you can't stop me now you can't stop me
You can't stop me now you can't stop me (You, can't, stop, me baby)

Yo, once I start, I ain't 'gon stop the squeezin
And the gauze ain't 'gon be able to stop the bleedinN
And your girl ain't 'gon be able to stop the wheezin (nah)
When she get that phone call from the doc, we even
You could not stop me, so stop believin
Ringtone rap, this is not the season
Punch lines hard enough to stop your breathin
And the ladies'll still pay a lot to see him
I'm a get rich long as I got my freedom
Usually when you get hit it's for a reason
If you in the hood, better dodge the Ds'and
Watch your Qs'and, be on your Ps' and
Thank y'all all for comin out this evening
Havin a good time with your liquor and treason
Even if they knock me, then continue to watch me
They still wouldn't be able to stop me
What?

You can't stop me now you can't stop me
No you can't stop me now you can't stop me
You can't stop me now you can't stop me (You, can't, stop, me baby)
You can't stop me now you can't stop me
No you can't stop me now you can't stop me
You can't stop me now you can't stop me (You, can't, stop, me baby)

Uh, uh, uh, Neo, Da Matrix!
They can't stop me
(You, can't, stop, me baby)
I'm too strong, too strong! Way too strong
(You can't stop me babyyyy...)
They can't stop me! Hahahaha!
Ha-HEEH!! (Nooo..., can't stop me baby)
Heheh...yep",https://genius.com/Jadakiss-cant-stop-me-lyrics
