title,album,year,lyrics,urls
Exhibit C,Victory,2009.0,"Hey!
It's coming
Ladies and gentlemen; this time around
The revolution will not be televised
Woo! As we proceed!
To give you what you need!
'09, mother—!
Get live, mother—!
Ladies and gentlemen of the court
In the hearing against The State of Hip-Hop vs. Jay Electronica
I present: Exhibit C

When I was sleepin' on the train
Sleepin' on Meserole Ave out in the rain
Without even a single slice of pizza to my name
Too proud to beg for change, mastering the pain
When New York niggas was calling southern rappers lame
But then jacking our slang (Oh!)
I used to get dizzy spells, hear a little ring
The voice of an angel telling me my name
Telling me that one day I'ma be a great mane
Transforming with the Megatron Don, spittin' out flames (Oh!)
Eating wack rappers alive, shittin' out chains (Woo!)
I ain't believe it then; nigga, I was homeless (Uh huh)
Fightin', shootin' dice, smokin' weed on the corners
Trying to find the meaning of life in a Corona
'Til the Five Percenters rolled up on a nigga and informed him:
""You either build or destroy, where you come from?""
""The Magnolia projects in the 3rd Ward slum""
""Hmm, it's quite amazing that you rhyme how you do
And that you shine like you grew up in a shrine in Peru"" (Ooh!)
Question Fourteen, Muslim Lesson Two:
Dip-dive-uh, civilize a eighty-five-uh
I make the devil hit his knees and say the ""Our Father""
Abracadabra, you rocking with the true and living
Shout out to Lights Out, Joseph I, Chewy Bivens
Shout out to Baltimore, Baton Rouge, my crew in Richmond
While y'all debated who the truth was like Jews and Christians
I was on Cecil B., Broad Street, Master
North Philly, South Philly, 23rd, Tasker
Six Mile, Seven Mile, Hartwell, Gratiot (Oh!)
Where niggas really would pack a U-Haul truck up
Put the high beams on, drive up on the curb
At a barbecue and hop up out the back like, ""What's up?"" (Buh!)
Kill a nigga, rob a nigga, take a nigga, bust up
That's why when you talk the tough talk, I never feel you
You sound real good and you play the part well
But the energy you givin' off is so unfamiliar
I don't feel ya (We need somethin' realer! Ooh!)

Nas hit me up on the phone, said ""What you waitin' on?""
Tip hit me up with a tweet, said, ""What you waitin' on?""
Diddy send a text every hour on the dot saying
""When you gon drop that verse? Nigga, you taking long""
So now I'm back spittin' that heat, could pass a polygraph
That Reverend Run rockin' Adidas out on Hollis Ave
That FOI, Marcus Garvey, Nikky Tesla
I shock you like an eel, electric feel, Jay Electra
Oh my God! Keep going!

They call me Jay Electronica—fuck that
Call me Jay Elec-Hanukkah, Jay Elec-Yarmulke
Jay Elect-Ramadan, Muhammad as-salaam-alaikum
RasoulAllah Subhanahu wa ta'ala through your monitor (Ooh!)
My Uzi still weigh a ton; check the barometer
I'm hotter than the motherfucking sun; check the thermometer
I'm bringing ancient mathematics back to modern man
My mama told me, ""Never throw a stone and hide your hand""
I got a lot of family, you got a lot of fans
That's why the people got my back like the Verizon man
I play the back and fade to black, and then devise a plan
Out in London, smoking, vibing while I ride the tram
Giving out that raw food to lions disguised as lambs
And—by the time they get they seats hot
And deploy all they henchmen to come at me from the treetops
I'm chillin' out at Tweetstock, building by the millions
My light is brilliant

Woooo!
I rest my case
'09, Act 3
First chapter of the end
The last chapter of a new beginning
If it's so
The things we do without even trying...
Be better than a lot of y'all records, don't get mad
Morning after, world premiere
Me!
For real, though?
I ain't even gon' say nothing
Matter of fact; I ain’t saying—
I don't even know why I'm sayin’ this
Jay, you should get Puff to do this over
We moving out, onto the next record
And, um, I'ma let this just ride
Ride, ride, ride
Hahaha",https://genius.com/Jay-electronica-exhibit-c-lyrics
Exhibit A (Transformations),Victory,2009.0,"And his own story was as curious as his narrative
The tale of his life is the tale of a writer of incredible vision
An astute analyst and pundit
A lyricist compassionate and callous
A reckless hedonist and disaffected malcontent

I spit that, Wonderama shit, me and my conglomerates
Shall remain anonymous, caught up in the finest shit
Get that type of media coverage Obama get
Spit that Kurt Vonnegut
That blow your brain, Kurt Cobain, that Nirvana shit
Who gon' bring the game back?
Who gon' spit that Ramo on the train tracks?
That gold rope, that five-finger ring rap, running with my same pack
You can find the Christ where the lepers and the lames at
Life is like a dice game
One roll could land you in jail or cutting cake, blowing kisses in the rice rain
Nice whip, nice chain, a closet of skulls
The stench is like slave blood at Providence Hall, yeah
They built my city on top of a grave
Nigga die, a nigga get high and watch the parade
Back in the early '90s, where they at, where they at
Get the gat, get the gat was a popular phrase
Bally Animals and Rugbys was a popular craze
This the vivid memoirs of a obnoxious slave
I pave ways like Nat and Harriet
I blast on Judas Iscariot and peel off in the chariot, uhh
I'm sitting pretty, spitting flames, gripping grains
Ain't a damn thing changed

How does he do it?
My dear boy, do you ask a fish how it swims? (No)
Or a bird how it flies? (No)
No siree, you don't! They do it because they were born to do it
What you are witnessing dear friends
Is the most enormous miracle of the machine age
Behold! A confectionery behemoth!

They say Candyman, Candyman, spit me a dream
Blow a chunk of the levee out and spit me a stream
Knock a man's house down and build a casin'
A two thousand dollar government check from FEM'
I swam down shit's creek and came up clean
With a new lease on life like Andy Dufresne
It's the most poetical, Nat King unforgettable
Clarence 13X Allah's rhapsody from Bellevue
I'm splitting atoms, spitting flames
Bringing change, things will never be the same
I got the rap game singing At Last like Etta James
Lames get they plane shot down like John McCain
It's a dream, it's a dream
The flow is elegant like Miss Coretta Scott King
A lot of kings seen death and turn queen
Crack they twenty-four-inch rims in the ravine
Respect the architect, never test the Elohim
Goodnight, this is Jay Elec, live from New Orleans

My journey has brought me to an understanding
Of the divine forces which we have all been bestowed
It was in this search that I came upon a revelation
Which has called me to guide millions of people towards their righteous destiny",https://genius.com/Jay-electronica-exhibit-a-transformations-lyrics
The Blinding,A Written Testimony,2020.0,"This shit make you wanna talk crazy, crazy, crazy
I'm tryin' to...
Kayfa ḥal-uk? Kayfa ḥal-uk, habibi?

Once upon a time there was a likkle yout, the cub of a lion
A stowed away captive, a long way home from Zion
The dove Prince sang about in ""Purple Rain"" cryin'
To the midget you heard tale of on the shoulders of the giant
Listen, I named my son, Sir, so you gotta call my son, ""Sir""
That boy already knighted, he ain't even out his romper
You speakin' on the kingdom, you better watch your tongue, sir
I send you where you never been, you forget where I'm from, sir?
That gossip I send bald heads, Lou Gossett out the gun, sir
I'm brazy, I'm so brazen, I'm ""Raisin in the Sun"" sir
You can catch this broad daylight, you know the Kingdom come, sir
That wheel inside the wheel, a half a mile in circumference
It's the return of the Mahdi, it's the return of the Akhis
It's the return of the lost and found tribe of Shabazz, the Annunakis
It's the return of Mr. Shakur spittin' out phlegm at paparazzi
That's my new style

Blinding (Hit-Boy)
Blinded by the light
See the stars and our sun

The gift that keeps givin' like Babushka
Kush crushed up in the studio, rollin' Kate Bush up
Extra, extra, it's Mr. Headlines
Who signed every contract and missed the deadlines
40 days, 40 nights, tryna live up to the hype
It's the road less traveled, it's the one who missed the flights
Hov hit me up like, ""What, you scared of heights?
Know your sister tired of workin', gotta do her something nice""
I'm like, ""Don't he know I stay up for Falon late nights?""
She need bread, she need rice, she need threads, she need ice
Either tell it to my bank account or say it to the dice
When I lay down in my bed it's like my head in the vice
When I look inside the mirror all I see is flaws
When I look inside the mirror all I see is Mars
In the wee hours of night, tryna squeeze out bars
Bismillah, just so y'all could pick me apart?

Blinding
Blinded by the light
See the stars and our sun

Hit Boy
G. Ry got me",https://genius.com/Jay-electronica-the-blinding-lyrics
Shiny Suit Theory,A Written Testimony,2010.0,"One two, one two, yeah, uh huh, yeah

I'm sailing on a cloud, they trailing below
My shrink told me, ""It's a feeling they'll never know""
I pack up all my sins and I wear 'em to the show
And let 'em go, let 'em go, let 'em go, let 'em go
I'm sailing on a cloud, they trailing below
My shrink told me, ""It's a feeling they'll never know""
I pack up all my sins in every L that I blow
And let 'em go, let 'em go, let 'em go, let 'em go

In the land before time
A land before altar boys, synagogues, and shrines, man was in his prime
Look how far I go in time just to start a rhyme
The method is sublime, you get blessed with every line
I'm in touch with every shrine from Japan to Oaxaca
The melanated carbon-dated phantom of the chakras
Me and Puff, we was chilling in Miami
He said, ""Nigga, fuck the underground, you need to win a Grammy
For your mama and your family, they need to see you shined up
You built a mighty high ladder, let me see you climb up
Nigga, what you scared of?
Terrorize these artificial rap niggas and spread love, pollinate they earbuds
Like you supposed to, spit it for the culture
Pay no attention to the critics and the vultures
They rather have a shot of Belvy just to spite you
They casting judgments 'cause they feel they got the right to
Fuck 'em, I let the dice roll like The Father did
I gotta shine, it's in my blood, I'm a Harlem kid
I treat my babies right, treat my ladies ladylike
Hit them with a remix to make sure that they play me twice
I thought you said, ""It's the return of the black kings
Luxurious homes, fur coats, and fat chains""

I'm sailing on a cloud, they trailing below
My shrink told me, ""It's a feeling they'll never know""
I pack up all my sins and I wear 'em to the show
And let 'em go, let 'em go, let 'em go, let 'em go
I'm sailing on a cloud, they trailing below
My shrink told me, ""It's a feeling they'll never know""
I pack up all my sins in every L that I blow
And let 'em go, let 'em go, let 'em go, let 'em go

In this manila envelope, the results of my insanity
Quack said I crossed the line 'tween real life and fantasy
Can it be the same one on covers with Warren Buffett?
Was ducking the undercovers, was warring with muh'fuckers
Went from warring to Warren, undercovers to covers
If you believe in that sort of luck, your screws need adjusting
In the world of no justice and black ladies on the back of buses
I'm the immaculate conception of rappers-slash-hustlers
My God, it's so hard to conceive
But it all falls perfect, I'm like autumn is to trees
Aw, the doc interrupted
He scribbled a prescription for some Prozac, he said, ""Take that for your mustard
Boy, you must be off your rocker
If you think you'll make it off the strip before they 'Pac ya
Nigga, you gotta be psychotic or mixing something potent with your vodka
It takes a lot to shock us but you being so prosperous is preposterous
How could this nappy-headed boy from out the projects
Be the apple of America's obsession?
You totally disconnected with reality, don't believe in dreams
Since when did black men become kings?""

You have no idea, yeah
The meaning to what I say
And you have no idea
Of how I got this way
Now hear my dreams
And by the time you wake
I'll look down from the clouds
See I'm on my way

I'm sailing on a cloud, they trailing below
My shrink told me, ""It's a feeling they'll never know""
I pack up all my sins and I wear 'em to the show
And let 'em go, let 'em go, let 'em go, let 'em go
I'm sailing on a cloud, they trailing below
My shrink told me, ""It's a feeling they'll never know""
I pack up all my sins in every L that I blow
And let 'em go, let 'em go, let 'em go, let 'em go",https://genius.com/Jay-electronica-shiny-suit-theory-lyrics
Ghost of Soulja Slim,A Written Testimony,2020.0,"So, all you scared to death negros
Just sit down
Don't you come out to defend our enemy
You sit down and you shut up
And tell your master to come on out and deal with this

Next time they bring up the Gods, you gon' respect us
That lil' vest ain't gonna do you, I shoot from neck up
I ain't even tryna hold ya, Magnolia Slim
I'm a soldier from that mode, I'm the ghost of him
From the era of police stretcher, no cameras catch it
Drop you off in a rival hood, you rather be arrested
If you didn't have no straps, you couldn't wear your necklace
Niggas hand around your throat, that's a choker reference
My ancestors took old food, made soul food
Jim Crow's a troll too, he stole the soul music
That's the blood that goes through me, so you assumin'
I could never sell my soul, they sold they soul to me
Peaceful teaching of Rumi, but don't confuse me
You mouth off for the cameras, I make a silent movie
Now here's some jewelry
No civilization is conquered from the outside until it destroys itself from within
Pen, put a pin in that, will come back when I fin
You can't talk like I talk 'cause you ain't been where I been, young

If it come from me and Hov, consider it Qur'an
If it come from any of those, consider it Harām
The minaret that Jigga built me on the Dome of the Roc
Was crafted, so beautifully, consider this Adhan
From a hard place and a rock to the Roc Nation of Islam
I emerged on the wave that Tidal made to drop bombs
I came to bang with the scholars
And I bet you a Rothschild I get a bang for my dollar
The synagogue of Satan want me to hang by my collar
But all praise due to Allah Subhanahu wa ta'ala
I put on for my nation like I'm King T'Challa
Crushing the oyibo that try to bring wahala
You want it, I got it
Don't make me have to blast this rocket, uh
Jay Electricity
The thing he need like a whole in his head is publicity
Though he shine like a Christmas tree
Verily, verily, I tread through life merrily
Giving all thanks to God for this universal therapy

Think of things I said that you hated then
Empirical facts that can't be debated now
Things you say today, I was sayin' then
Tell us who your favorite now",https://genius.com/Jay-electronica-ghost-of-soulja-slim-lyrics
­better in tune w the infinite,Act II,2014.0,"If one would open up truth, such as the truth of God to the people, I do think that He's within his rights to stay out of the sight of the people until He has won everything to Himself; as the Bible refers to it like this: He's something like a king looking for a kingdom. And that He goes and he visits the people, then He leaves the people, goes away and waits until the time when that He can secure the kingdom. Then He returns to the people that He had made Himself manifest to. So I think that's a pretty good answer

Well, I can't do anything without consulting my crystal first. Let's go inside here, just come along, I'll show you, that's right, here. Sit down right here, that's it. This, this is the same genuine, magic, authentic crystal used by the priest of Isis and Osiris in the days of the pharaohs of Egypt. In which, Cleopatra first saw the approach of Julius Caesar and Mark Antony and so on and so on. Now you better close your eyes, my child, for a moment, in order to be better in tune with the infinite

It's frustratin' when you just can't express yourself
And it's hard to trust enough to undress yourself
To stand exposed and naked, in a world full of hatred
Where the sick thoughts of mankind control all the sacred
I pause, take a step back, record all the setbacks
Fast forward towards the stars and the jetpack
My feet might fail me, my heart might ail me
The synagogues of Satan might accuse or jail me
Strip, crown, nail me, brimstone hail me
They might defeat the flesh but they could never ever kill me
They might can feel the music but could never ever feel me
To the lawyers, to the sheriffs, to the judges
To the debt holders and the law makers
Fuck you, sue me, bill me
That name on that birth certificate, that ain't the real me
The lies can't conceal me
The sun rise and the moon tides and the sky's gon' reveal me
My brain pours water out my tear ducts to heal me
My Lord's too beneficent
The message grab a hold to every ear it get whispered in
The waters in the bayous of New Orleans still glistenin'
The universe is listenin', be careful what you say in it
My grandma told me every bed a nigga make, he lay in it
The church you go to pray in it, the work is on the outside
Staring out the windows is for love songs and house flies

I've got somethin' to say
I, I've got somethin' to say

Yesterday, yesterday is gone
Tomorrow, tomorrow is on the way
You don't have time to waste
Gotta get it right
Yesterday, yesterday is gone
Tomorrow, tomorrow is on the way
You don't have time to waste
Gotta get it right
Yesterday, yesterday is gone
Tomorrow, tomorrow is on the way
You don't have time to waste
Gotta get it right",https://genius.com/Jay-electronica-better-in-tune-w-the-infinite-lyrics
Eternal Sunshine (The Pledge),What The F*ck Is A Jay Electronica,2007.0,"The boy raps over movie scores. His last rap was over the movie score for Eternal Sunshine of the Spotless Mind.
Eternal Sunshine of the Spotless Mind
She say she never fell in love with a Superman
Christian, Muslim, Protestant, Lutheran
I told her that being a mortal is the portal
To the true nature of growth; the Christlike Buddha man
That's why I never spit the traditional garbage of a knife fight
Bright lights, white ice to the fans
The radio is just a stereo, like a house ain't a home
And a chair is just a chair, ask Luther Van
Go to work; go to church let your dreams die
Bow tie, Final Call, and a bean pie
Yarmulke for Hanukkah, wish list for Christmas
This is the gist of the life that we lead, why?
So you can fit in, with the closed-minded in the sit-ins
And get clothes-lined in the ed-end
I could care less about a plaque and Bid-enz
And gettin' Punked on TV by my friends
Don't get a nigga wrong
I get tempted by the rewards that all come along with making nigga songs
But what does it mean if I'm a Muslim and you a Jew
And because of that alone we don't get along
And when you talk like this, and try to walk like this
The radio stations'll never put a nigga on
Just Mims, just 50, just Wayne, just Jeezy
Dem Franchize Boyz, and Jimmy Jones
Fuck that, fuck rap this god-hop
Kingdom music for the hard rocks
I'mma spit it 'til TRL get it and Hot 97 hit a nigga with a bomb drop
Ask Flex, ask Slay, ask Whoo Kid
Just Blaze said Jay is the new kid
I took Eternal Sunshine and I looped it
No drums no hook just new shit
Eternal Sunshine of the Spotless Mind
...Because He Broke the Rules
Grandpa Joe: Wh-When does he get it?
Willy Wonka: He doesn't
Grandpa Joe: Why not?
Willy Wonka: Because he broke the rules
Grandpa Joe: What rules? We didn't see any rules, did we, Charlie?
Willy Wonka:  Wrong, sir! Wrong! Under section 37B of the contract signed by him, it states quite clearly that all offers shall become null and void if - and you can read it for yourself in this photostatic copy:
Willy Wonka: I, the undersigned, shall forfeit all rights, privileges, and licenses herein and herein contained, et cetera, et cetera... Fax mentis incendium gloria cultum, et cetera, et cetera... Memo bis punitor delicatum!
Willy Wonka: It's all there, black and white, clear as crystal! You stole fizzy lifting drinks! You bumped into the ceiling which now has to be washed and sterilized, so you get nothing! You lose! Good day, sir!
The handling of a heart's a very delicate art cause it's paper thin
One irrelevant thought that started out as a spark could be a poisonous dart
That leaves a permanent mark, that's ice cold in the day and burns in the dark
And makes you never wanna see her face again
Tee-hee, what a place I'm in
Lead me to the station
A one-way ticket, don't look back
One cold tear that froze and cracked
A whole lot of pain I'm holdin' back
Chav said, ""Eff that, roll the sack""
I said, ""If my skull was cracked
And blood ran out to the cul-de-sac
That could not match me where I'm at""
My memories flash me there and back
Yup there goes me right there in black
Holdin' hands, not starin' back
She starts cryin' I start denying, it's my fault
And I'm aware of that
Man, in hindsight signs be glarin' back
Where's the map to show you where you're at?
I can hear the crowd yelling, I can smell the tire smoke
I can hear the starter pistol where's the track?
Ring no answer came home late
Jane told Dick she had a date
But they was just chillin' and at that moment
The right brain says to the left just kill em
Make the headlines, make the front page
Wild out in the court house man thrill 'em
They'll say, ""The boy dead wrong,"" but I feel him
Voodoo Man
Voodoo man, chicken bone chicken bone
I can make a thunderstorm from a light rain
My ears start ringing, my nose get bloody
I feel a little bit of pressure on my right brain
Intermission transmission put me in submission
Glistening trapped in the light prison whistling
The Christ told me come closer to the light man
I went blind, woke up in front of a mic stand
Voodoo man, tap dancing in the French Quarter
Walking on water with a scroll in my hand
The blueprints for a disc shaped-like vessel
That was chiseled out of metal off the coast of Japan
Fasting on the top of a mountain out in Tepoztlán
Saw a shiny object floating out of the ocean
I'm sort of like a postman
You can get the message if you want to understand
From the rap Son of Man
...on November 7th saw this disc-shaped object floating above the sea concourse of the United Airlines at O'Hare. Very low in the sky, it was still daylight, very distinct. Didn't look like an airplane, a helicopter, or anything else
Voodoo man, civilize the savage
Criticize the parish
Spreading false doctrine
Terrorize the cleric for carrying on nonsense
Specialized lies to paralyze the conscience
Voodoo man, chit chatter Abracadabra
Spitting out matter while I'm shitting out data
Mmm, chew 'em up shitting out rappers
Sipping Pellegrino while I'm giving out matches
Set yourself on fire
Let the wisdom of Elijah purify ya
Take a nigga higher
Sold your soul to the highest buyer
Now you're on the wire talking about two-foot tires
Saying you sell crack
Clapping at cats with macs
But you a liar pants on fire
Same old rugged cross
Different crucified messiah
FYI
Elijah Muhammad: Don’t get me wrong now. Don’t make a mistake in thinking that I’m telling you this was the beginning of the man on the Earth. Fifty thousand years ago is like telling you thirty days ago or ten days ago or five days ago, to the age of the universe. We have no exact record of it but it runs way into the trillions
While you was blowin' X amount of dollars on a bracelet
The sovereign nation of France was openin' they files on the UFO phenomenon: i.e. spaceships
It's just the facts, Jack may as well face it
Every rhyme I write the seal get cracked in the chapter of Revelations
A atom get cracked in the blackness of meditation
Mysterious shit
Call me Jay Dogon, I'm on some serious shit
Scholars wonder why don't he bust
Allah blessed me with a Midas-y touch
Everything I lay to hands turn to Ethiopian gold: shiny and buffed
I got a firm understandin' on the minus and plus
So I ain't got time to argue with a rapper 'bout how he ain't got rhymes
That's fuckin' with mine's
I'm trying to kill Lucifer, so if I have to brake
Cause a rapper in my face tellin' me that he the great
You can bet a shiny nickel I'll blast his motherfuckin' ass way past Jupiter
You couldn't be stupider
Fuckin' with the nuclear
Mayan, Aztec lion
Asiatic Blackman from Zion
Quetzalcoatl supreme, lettin' off steam
Dimethyltryptamine make a man dream
But y'all would much rather hear me rappin' 'bout trash
The size of Erykah's ass, blunts and cash
We need savin'
Minds are consumed with swine we need bathin'
Willy Wonka: There it goes. Hold on tight. I'm not exactly sure what's going to happen. Faster, faster...if we don't pick up enough speed, we'll never get through
Charlie: Get through what?
Willy Wonka: Ah-ha!
Grandpa Joe: You mean we're going...
Willy Wonka: Up and out!
Grandpa Joe: But this roof is made of glass. It'll shatter
Into a thousand pieces. We'll be cut to ribbons!
Willy Wonka: Probably.  Hold on, everybody. Here it comes!
Alfred Borden: Are you watching closely?",https://genius.com/Jay-electronica-eternal-sunshine-the-pledge-lyrics
A.P.I.D.T.A.,A Written Testimony,2020.0,"This type beat might be for the shit, though
They doin' all kind of shit, uh
Uh

I got numbers in my phone that'll never ring again
'Cause Allah done sent them home, and they'll never— uh
I got— I got numbers on my phone that'll never ring again
'Cause Allah done called them home, so until we sing again
I got texts in my phone that'll never ping again
I screenshot 'em so I got 'em, I don't want this thing to—
I got numbers in my phone that'll never ring again
I got, I got, I got
I got numbers in my phone that'll never ring again
'Cause Allah done called 'em home, so until we sing again
I got texts on my phone that'll never ping again
I screenshot 'em so I got 'em, I don't want this thing to end
I got numbers on my phone that'll never ring again
'Cause Allah done called them home, so we never sing again
I got texts on my phone that'll never ping again
I screenshot 'em so I got 'em, I don't want this thing to—

Sleep well, sleep well
Lately I haven't been sleeping well, sleeping well
Sleep well, sleep well
Lately I haven't been sleeping well, sleeping well
Sleep well, sleep well
Lately I haven't been sleeping well, I been— uh

I'm just vibing out right now, you know what I'm sayin', like, you feel me?
Yo, 'cause it's— it's so good, right?
'Cause it's like, man, it's needed, you know what I mean?
Gotta finish them scriptures, mane
It's needed, mane, it's needed

Eyes fiery, cry tears to my diary
Sometimes a Xanny bar can't help you fight back the anxiety
I go to my Lord quietly, teardrops on our faces
Teardrops on my face, it's like teardrops become waterfalls by the time they reach my laces
My eyelids is like levees but my tear ducts is like glaciers
As I contemplate creation, the salt that heals my wounds pour out my eyes just like libations
I can't stop my mind from racing, I got numbers on my phone
Pictures on my phone
The day my mama died, I scrolled her texts all day long
The physical returns but the connection still stay strong
Now I understand why you used to cry sometimes we ride down Claybourne
You just missed your— You just missed your mama
Now I just miss my mamas
The clothes we wear to bed at night to sleep is just pajamas
The flesh we roam this earth in is a blessing, not a promise
I bow with those who bow to the creator and pay homage

Sleep well
Lately, I haven't been sleepin' well
I even hit the beach to soak my feet and skip some seashells
Sleep well
The lump inside my throat sometimes just towers like the Eiffel
Sometimes I wonder do the trees get sad when they see leaves fell
Sleep well
The last time that I kissed you, you felt cold but you looked peaceful
I read our message thread when I get low and need a refill
Sleep well
Sleep well, sleep well
Lately, I haven't been sleeping well, sleeping well

I got numbers in my phone that'll never ring again
'Cause Allah done called them home, so until we sing again
I got texts on my phone that'll never ping again
I screenshot 'em so I got 'em, I don't want this thing to end
I got numbers on my phone that'll never ring again
'Cause Allah done called them home, so we never sing again
I got texts on my phone that'll never ping again
I screenshot 'em so I got 'em, I don't want this thing to—",https://genius.com/Jay-electronica-apidta-lyrics
Universal Soldier,A Written Testimony,2020.0,"This is the gallant crew that rolled the big super fort
Which carried the first atomic bomb to Japan
Piloted by Colonel Paul Tibbets Jr. of Miami
Carrying Navy Captain William Parsons of Chicago
Who helped design the bomb, as observer
And Major Thomas Ferebee of Mocksville, North Carolina
Who pulled the plug on Hiroshima
The B-29 dropped its load of atomic death
Which exploded with a force equal to 20,000 tons of TNT

Bismillah (Bismillah)
Bismillah (Bismillah)
(A'oodhu Billaahi) A'oodhu Billaahi min al-Shaytaan ir-rajeem
Bismillah (Bismillah)
Ashadu an lâ ilâha illa-llâhWa
Ashadu anna Muhammad rasûl allâh

The son of slaves, true, I started out as a peasant (Uh-uh)
That's why I build my temple like Solomon in the desert (Uh-uh)
The Lord is my rock, I speed dial through salat
My trials in the fiery crucible made me hot
I glow like embers of coal, born with a touch of gold
My mathematical theology of rhymin' a touch the soul
I spent many nights bent off Woodford
Clutchin' the bowl, stuffin' my nose
Some of the cons, I suffered for prose
My poetry's livin' like the God that I fall back on
And all praises due to Allah for such a illustrious platform
The teachings of the Honorable Elijah Muhammad's my backbone
When I spit, 
the children on the mothership bow on a platform
The true history of Jesus comin' to age
I wore a ski mask and glove to the masquerade
Uh, I got the Roc on my shoulder (It's the Roc)
Somebody should've told you, I'm a motherfuckin' universal soldier

Back when Emory Jones was catchin' the fed' charge
I knew less about Chessimar
All about Pablo Escobar
Thinkin' I was the last one Allah would lay his blessings on
I was trying not to end up like Tony in the restaurant
Now I'm the general of the geechie army
What don't kill us make us stronger, that's Nietzsche on me
Hot boy like I'm B.G.
, 
that Fiji on me
We done ducked them fed' charges, now we eatin' confit
Le fric, c'est chic
That guilt trip ain't gon' work, don't put your luggage on we
You ain't keep the same energy for the du Pont's and Carnegie's
We was in your cotton fields, now we sittin' on Bs, on me

Save my soul
Save me from myself
Save my soul",https://genius.com/Jay-electronica-universal-soldier-lyrics
Flux Capacitor,A Written Testimony,2020.0,"To my uptown posse (Yeah), to my uptown posse (Yeah, yeah)
Get the gat (Yeah), get the gat (Yeah), get the gat (Ya heard?)
To my BK posse (Yeah), to my BK posse (Yeah, yeah)
Get the gat (Yeah), get the gat (Yeah), get the gat (Ya heard?)
To my 3rd Ward posse (Yeah), to my 3rd Ward posse (Yeah, yeah)
Get the gat (Yeah), get the gat (Yeah), get the gat (Ya heard?)

Yeah, you know I'm full time trippin’
The crib look like Zaha Hadid did it, nah, he different
Hov here to deliver you like Moses, so it's
Indisputable fact, we the chosen
Throwin' Roc Nation brunches, that’s a feast for
Non-believers, I created my own Easter
Evidence for your reverence
Why would I not have a watch like a Saudi prince?
It unfoils
The slave that shook hands and humbled the duke of oil
The spook that spoke sterling silver and pearls twirled, tumbled out my nappy coils
Visions of sugar plums for all the boys and girls
Why would I sell out? I'm already rich, don't make no sense
Got more money than Goodell, a whole NFL bench
Did it one-handed like Odell handcuffed to a jail
I would've stayed on the sidelines if they could've tackled the shit themselves
You backstabbers gon' turn me back to the old Jay
He's not who you wanna see, he's not as sweet as the old Ye
When I die, please don’t tweet about my death (Death)
Tryna get mentions, bringin’ attention to yourself (To ya)
Please don't post some pic from in the club (Club)
With some quote you stole like we was tighter than what we was (Uh)
Tryna get likes from my love
If you can’t go by the crib and give my mama a hug

To my uptown posse (Yeah), to my uptown posse (Yeah, yeah)
Get the gat (Yeah), get the gat (Yeah), get the gat (Ya heard?)
To my BK posse (Yeah), to my BK posse (Yeah, yeah)
Get the gat (Yeah), get the gat (Yeah), get the gat (Ya heard?)
To my 3rd Ward posse (Yeah), to my 3rd Ward posse (Yeah, yeah)
Get the gat (Yeah), get the gat (Yeah), get the gat (Uh)
Tell that Magnolia posse (Yeah), tell that Magnolia posse (Yeah, yeah)
Get the gat (Yeah), get the gat (Yeah), get the gat (Ya heard? Uh, uh)

I send duaa's up from the belly of the Dunya (Subhanallah)
Duaa's up for my umi in the ummah (Subhanallah)
Duaa's up for the honorable Louis Farrakhan
Who pulled me out the grave and pointed me towards the Sunnah (Mash’Allah)
Remember Rappin Duke? Duh-ha, duh-ha
You never thought we'd make it to Lā 'ilāha 'illā Allah
It's the day of the judgment, fulfillment of the covenant
These universal truths remain self-evident
R-O-C stand strong like Sphinx do (Uh)
Now who wan' come test the champion sound?
Limb by limb, we all gon' cut 'em down
Send for the hacksaw, take out the tongue
Tell that Parkway posse, tell that Parkway posse
Get the gat, get the gat, get the gat
From the Mag to that Melph to the Caliope
Where they at? Where they at? Where they at?

To my uptown posse (Yeah), to my uptown posse (Yeah, yeah)
Get the gat (Yeah), get the gat (Yeah), get the gat (Ya heard?)
To my BK posse (Yeah), to my BK posse (Yeah, yeah)
Get the gat (Yeah), get the gat (Yeah), get the gat (Yeah)
To my 3rd Ward posse (Yeah), to my 3rd Ward posse (Yeah, yeah)
Get the gat (Yeah), get the gat (Yeah), get the gat (Uh)
Tell that Magnolia posse (Yeah), tell that Magnolia posse (Yeah, yeah)
Get the gat (Yeah), get the gat (Yeah), get the gat (Ya heard?)

I wanna go back to the—
I wanna go back to the old way
But I'm drunk instead with a full— Old way
But I'm drunk instead with a full ashtray, you're too late
Ashtray, you're too late
Too late, late
Too late, late
I wanna go back to the—
I wanna go back to the old way
But I'm drunk instead with a full— Old way
But I'm drunk instead with a full ashtray, you're too late
Ashtray, you're too late
Too late, late",https://genius.com/Jay-electronica-flux-capacitor-lyrics
