title,album,year,lyrics,urls
Back That Azz Up,400 Degreez,1998.0,"Cash Money Records taking over for the '99 & the 2000

Girl you working with some ass, yeah, you're bad, yeah
Make a nigga spend his cash, yeah, his last, yeah
Hoes frown when you pass, yeah, they mad, yeah
You gon' ride in the Jag, yeah, with dad, yeah
You could smoke or buy a bag, yeah, of grass, yeah
Got money I confess, yeah, and trash, yeah
I'm a Big Tymer nigga, yeah
, pulling trigger, yeah
A player hater to flip with, yeah, going head and fill it, yeah
I be slanging wood, yeah, out the hood, yeah
Let it be understood, yeah, it's all good, yeah
Got a nigga screaming large, yeah, on the hard, yeah
A smooth ghetto broad, yeah, I want the broad, yeah
A nigga do a trick, yeah, on the dick, yeah
You claiming you want a bitch, yeah, that ain't shit, yeah
The nigga with the money, yeah, don't act funny, yeah
Got birds and I'm running, yeah, 'bout a hundred, yeah

Girl you looks good, won't you 
back that ass up?
You's a fine motherfucker, won't you back that ass up?
Call me big daddy when you back that ass up
Hoe who is you playing with? Back that ass up
Girl you looks good, won't you 
back that ass up?
You's a fine motherfucker, won't you back that ass up?
Call me big daddy when you back that ass up
Girl who is you playing with? Back that ass up
Girl you looks good, won't you 
back that ass up?
You's a fine motherfucker, won't you back that ass up?

You got a stupid ass, yeah, make me laugh, yeah
Make a nigga wanna grab that, autograph that
I'm sweating on the drawers, yeah, on hard, yeah
Wanna walk it like a dog, yeah, break you off, yeah
Get mine, you gon' get yours, yeah, that's for sure, yeah
You fucking with my nerves, yeah, to the curb, yeah
I know you bitches know, yeah, and it show, yeah
But a nigga got some more, yeah, I'm 'bout to flow, yeah
Fresh bought some shit, yeah, in this bitch, yeah
We be making hit, yeah, after hit, yeah
Them titties sitting nice, yeah, I wanna bite, yeah
I could fuck you right, yeah, all night, yeah
Wanna bring it to my house, yeah, on the couch, yeah
Knock the pussy out, yeah, get them out, yeah
I wanna see these hoes, yeah, bend it low, yeah
Let me run it in the hole, yeah, let me know, yeah

Girl you looks good, won't you 
back that ass up?
You's a fine motherfucker, won't you back that ass up?
Call me big daddy when you back that ass up
Hoe who is you playing with? Back that ass up
Girl you looks good, won't you 
back that ass up?
You's a fine motherfucker, won't you back that ass up?
Call me big daddy when you back that ass up
Hoe who is you playing with? Back that ass up

I know you can't stand it
, dick bandit
Done landed, 
see your drawers handed
We can go get it y'all, gang split it y'all
Put the bitch on the wall and I hit it y'all
Looking kind of lonely, I'm feeling horny
Put the dick in the middle like Monie
Big thick plumber chick, and a Hummer chick
Beat the dick like a motherfucking
 drummer chick
Cinch that putty-cat, look at that
I love a fucking hoody-rat, that's a fact
You's a motherfucking get it girl, quit it girl
I'm the nigga, the nigga nigga, that hit it girl

Girl you looks good, won't you 
back that ass up?
You's a fine motherfucker, won't you back that ass up?
Call me big daddy when you back that ass up
Hoe who is you playing with? Back that ass up
Girl you looks good, won't you 
back that ass up?
You's a fine motherfucker, won't you back that ass up?
Call me big daddy when you back that ass up
Hoe who is you playing with? Back that ass up

Now-now-now-now-now after you back it up then stop
Then wha-wha-what, drop-drop it like it's hot
Now after you back it up then stop
Now wha-wha-wha-what, drop it like it's hot
Now drop it like it's hot, drop-drop it like it's hot
C-M-B make you drop it like it's hot
Drop it like it's hot, drop-drop it like it's hot
Drop it like it's hot, drop-drop it like it's hot
Ha!",https://genius.com/Juvenile-back-that-azz-up-lyrics
Slow Motion,Juve the Great,2004.0,"Slow motion for me
Slow motion for me, move in slow motion for me (c'mon)
Slow motion for me
Slow motion for me, move in slow motion for me

Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me

I'm a dick thrower, her neck and her back hurting
Cut throater, have you like a brand new virgin
It's like when you get used of it then you start serving
Hop up on top and start jicky-jicky-jerking
Slow down for me, a-you moving too fast
My fingers keep slipping, I'm tryna grip that ass
Keep being hard-headed and I'ma make you get on me
Got human enough disguise but my face is a doggy
If you loving my bark let me bury my bone
I got four or five bad married bitches at home
One of my bitches feel in love with that outside dick
That outside dick keep them hoes sick like

Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me

It's like I got the world in my palms
Your girl up under my arms, she fucked up from the charm
She love the way the dick stay hard from 12 'til early in the morn'
Fine bitches if you listening, you heard me, I'm strong
If you going through your cycle, I ain't with it, I'm gone
You must have heard about them hoes that I beat up in my home
They wasn't telling the truth baby, you know they was wrong
Now, make it official, wind up some of that dome
I don't mind buying blue, your riding to
Don't be asking nigga questions about where I'm driving you
Lil mama my shit together, I ain't jiving you
I don't think that nigga could do you better then I could do, ya know
And Juvenile from cross the street by the derby
Same nigga that used to be running with Rusty and Kirby
Can a playa from the 'Nolia get a chance with it?
But I can't bounce with you without using my hands with it

Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me

Slow motion, she open, I'm hoping she don't leave my dick broken
With brush burns and swollen
I'm toting, she wanted me to make her out a believer
I gurantee ya I'ma see ya when I see ya
And just don't holla out my name like we was all that
Your pussy throw back and you know that
So stop stunting, slow motion for a real nigga
I'm going off that incredible potion and I'ma deal with ya

I like how that Victoria Secret sit in that ass
Let me pour some more hip and Hennsey in your glass
Would I be violating if I grab me a handful?
I know what's happening, all I want is a sample
Who you with? I'm in the rental today
It's going down and happening and I remember the way
Less money we spend on bullshit, the more for the weed
What's it gonna take for you to come slow motion with me?
Like

Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me",https://genius.com/Juvenile-slow-motion-lyrics
Ha,400 Degreez,1998.0,"That's you with that bad ass Benz ha
That's you that can't keep your old lady
Cause you keep fuckin' her friends ha
You gotta go to court ha
You got served a subpoena for child support ha
That was that nerve ha
You ain't even much get a chance to say a word ha
I know I ain't trippin' don't your brother got them birds ha
You won't bust one of them niggas head ha
You ain't scared ha
You know how to play it ha
I know you ain't just gonna let a nigga come and punk you ha
Stunt and front you ha
Straight up run you ha
You know who got that fire green ha
You know how to use a triple beam ha
Shit ain't hard as it seems ha
You keep your body clean ha
You gotta lot of Girbaud jeans ha
Some of your partners dope fiends ha
You really don't want to fuck with them niggas ha
You come up with them niggas ha
You stuck with them niggas ha

You a paper chaser, you got your block on fire
Remaining a G until the moment you expire
You know what it is you make nothin' out of somethin'
You handle your biz and don't be cryin' and sufferin'
You a paper chaser, you got your block on fire
Remaining a G until the moment you expire
You know what it is you make nothin' out of somethin'
You handle your biz and don't be cryin' and sufferin'

You can't do nothin' but love Fresh ha
You want to know what we gonna do next ha
You brought our tape with a check ha
You wearin' a vest ha
You tryin' to protect your chest ha
You spent seventy on your Benz ha
That ain't yours that's for your friends ha
You wanna stop these niggas from playing wit you ha
You wanna run the block ha
You wanna be the only nigga with rocks ha
You keep your gun cocked ha
You count the money at the end of the night ha
You on a three day flight ha
You full of that diesel ha
You duckin' them people ha
Your face was on the news last night ha
You the one that robbed them little dudes out they shoes last night ha
You don't go in the projects when it's dark ha
You claim you a thug and you ain't got no heart ha
You came in the 'Nolia on New Year's Eve ha
You got stuck in that bitch and couldn't leave ha
It was hard for you to breathe ha

You a paper chaser, you got your block on fire
Remaining a G until the moment you expire
You know what it is you make nothin' out of somethin'
You handle your biz and don't be cryin' and sufferin'
You a paper chaser, you got your block on fire
Remaining a G until the moment you expire
You know what it is you make nothin' out of somethin'
You handle your biz and don't be cryin' and sufferin'

You got a trespassin' charge ha
That dick got hard ha
When you were lookin' at them little broads ha
You don't know when to quit ha
That's you with that shot callin' shit ha
That's you with that ballin' shit ha
That's you that's takin' them hits ha
That ho don't know when to shut up her mouth ha
You gonna knock that ho teeth out ha
You done switched from Nike to Reebok ha
You twinkle your golds every time you leave your house ha
Them income tax checks out ha
You bout to flip that ha
You bout to go score you a gram ha
You gonna treat your nose ha
You bout to go put the dope dick on one of these ho ha
When you broke you drove ha
When you paid you got beaucoup places to go ha
You on top ha
You rob somebody shop ha
You don't even think you can be stopped ha
You ridin' in the Benz on twenty inch rims ha

You a paper chaser, you got your block on fire
Remaining a G until the moment you expire
You know what it is you make nothin' out of somethin'
You handle your biz and don't be cryin' and sufferin'
You a paper chaser, you got your block on fire
Remaining a G until the moment you expire
You know what it is you make nothin' out of somethin'
You handle your biz and don't be cryin' and sufferin'

Woo, woo, woo, woo!
(Woo) Woo, woo, woo!
(Woodie) Woo, woo, woo! (How do you love that?)
Let's say you're at a DJ and them boys pullin' guns
You better run for it, run for it, run
You in the Magnolia and my people pullin' guns
You better run for it, run for it, run
Let's say you got 'em under the ropes and know the police about to come
You better run for it, run for it, run
Let's say you in the yard and them boys pullin' guns
You better run for it, run for it, run",https://genius.com/Juvenile-ha-lyrics
400 Degreez,400 Degreez,1998.0,"400 degreez

Ya see me I eat sleep shit and talk rap
Ya seen that 98 Mercedes on TV, I bought that
I had some felony charges I fought that
Been sent to no return but still was brought back
Nigga threw some slangs at me whodie I caught that
I punished them lil bitches before they can car jack
Now I'm lookin for they family and pile up the war bat
If I ain't a hot boy then what do you call that
Nigga disrespect me I'mma be in all black
Companied by some niggas bout killin' and all that
Me Cory and Mercy gettin' ducked off
R
ide top down so we let the trucks park
In the jeep ridin' four deep
I booted up at these nigga claimin' they know me

You don't want to fuck wit me
Hot, Hot, Hot Boyz
Hot, Hot, Hot Boyz

Bitch what I'll bust yo ass up
Don't even go there 
whodie
 cuz I'm ready to mask up
I heard about the money that's some nice change
For the right price I'll bust the right brain
Why must a nigga try I can't do the right thing
Only God knows what the future might bring
Nigga might be shive, nigga might be triflin'
Nigga might survive if he bout that rifling
Whats up that'll stop a nigga from playin'
Something like a chopper or a grenade in his hand
Boy look nigga don't play no games no mo
Nigga'll bust ya head if you bang his ho
Attitude adjustments we all need
Don't call the law enforcements nigga call me
I bet cha I'll get them niggas off yo block
I bet cha I'll show them niggas this boy hot

You don't want to fuck wit me
Hot, Hot, Hot Boyz
Hot, Hot, Hot Boyz

Alright stop it cause I done had enough
When it comes to my pockets I'm ready to bust
Baby let me get the keys to the roover truck
Man let me get this beef shit over bruh
Ain't no bit this year I'm from the 'Nolia bruh
Whats yo beef plan cuz it was told to us
How I'ma be runnin' with these killas and backin' down
How I'ma look in front of my people, like a clown
Tha G code what we live by and we die by
The book is what we will never abide by
Niggas drive by, gettin' loose
Beefing with each other like the Checker Board and Goose
Come in Compton or the Watts nigga
Up in New York ya keep' 'em open watch nigga
Foe ya played by a hit or retalion
All fine young black females stallions
Give me the keys to ya car and ya medallion
You far away from ya home you's an alien

You don't want to fuck wit me
Hot, Hot, Hot Boyz
Hot, Hot, Hot Boyz",https://genius.com/Juvenile-400-degreez-lyrics
Picture Perfect,Est. In 1989 2.5 ,2012.0,"Juvenile I'm throwback, like '80-something I go back
Them brown bags, I sold that; them street corners, I know that
Appetite, I'm so hungry; 
Democrat, I go donkey
Weed head, I'm junky; White boy, I smoke honkeys
Niggas like what Juvie on, he's wilding out, he's straight tripping
Y'all niggas is straight pussy and ya'll are about to be rape victims
Boy I'm fucking with truckloads, started off from an 8 ball
Like airplanes on a runway, a real nigga gonna take off
I'm the reason my street hot, still stick to my G-code
Tees, Bo's and my Reeboks, and I'm cheesed up; I've got Cheetos
I told ya'll I'll quit beefing; I'm chilling dawg, I'm on rehab
My lawyer told me my record clean and if y'all fuck with me, I might relapse
Like Noriega got a lot of guns, like Las Vegas I'm pimping
Laws keeping their distance, ain't no penetrating my system
Bad Boy, not Puffy
 Hot Boy, get stuffy
My main bitch got a black card and she'll spend it all cause she love me

Bitch I'm picture perfect, I paint a perfect picture
I'm spooning with your bitch and make you do the dirty dishes
Man I hate the thirsty bitches, cut em off like circumcision
I'm the type to talk shit and it'd be words of wisdom

Monster, killer, real nigga hustla on the reala
My nigga, a dope dealer dealer
Hustler, shining, 
a Big Tymer nigga
So high on my grind I'll be high flying nigga
With my strapped up, my guns tight
These niggas know I get money
Come from Uptown nigga
Where a killing take just a few hundreds
Blast past, smoking on that pound
Shining with my round when my nigga touched down
100 keys on his feet shinin on them 23's
Blowing o's, fucking hoes, watch me throw another G
Strapped in this field nigga, me and my lil' young nigga
Ridin' around your town nigga, getting nothing but money nigga
One hundred


Uh, tried to fuck the world, can't fit
Pockets fat as Saint Nick
All I've got is my niggas, cause a bitch still ain't shit
And I've got kush all in my swisher, these niggas is tissue
I don't believe these niggas, cause I don't believe in superstitions
Juvie, I gotcha 
dreads like rasta, hair like pasta,
 I go meatballs
I get up in that ass and hit it as fast as Chinese ping-pong
And my bitch, she got that fire, my homie got that iron
But I tell 'em put it away or you could get punched like a Hawaiian
Bitch it's Tunechi F Baby, I'm an original Hot Boy
My dick feel like a prisoner cause this bitch got lockjaw
I'm so feeling myself, Truk everybody else
My redbone is ice cold, I'mma fuck the bitch till she melts
Uhh


Bitch I'm N-O till I G-O
I can't change if I tried
I look to my left
I look to my right
And time ain't on my side
So that's why I like my blunt fat and outta shape
Money on my mind
Pussy on my face
Tunechi",https://genius.com/Juvenile-picture-perfect-lyrics
Rodeo,Reality Check,2006.0,"This is-this is-this is
You're now tuned in to WUTP radio
We your host for tonight Cool and Dre
You're now locked in to the Juvenile hour
I know all y'all hot girls is tuned in right now
So we gon send this new one out to you clearly
It's called Rodeo talk to 'em pimpin'

Y'all need to open ya ears up and soak this game up
And if nobody don't know ya I'm a make y'all famous
This is 24-karats but it shine like stainless
Just look at how the diamonds complement my fingers (*choking*)
Yes indeed-shit chokin me woah I need a breath to breathe
Chasin with the Hennessy now that's how a G play it
Especially when them hoes shakin that ass to the DJ
If I could do it big give 'em some leeway
Security stop trippin and you niggas be easy
Yessir this the bubble right hurr
You're all beautiful women if you're insecure

Let me see ya work that-twerk that-serve that
Come on and do the rodeo
Let me see ya bounce that-move that-do that
Let me see ya do the rodeo
Let me see ya work that-twerk that-serve that
Come on and do the rodeo
Let me see ya bounce that-move that-do that
Let me see ya do the rodeo (rodeo show)

It's like you don't even have nothin on
Got everybody watchin you so you can show that thong
It's ya birthday lil' mama get ya kodak on
But don't quit showin the world you in the throwback zone
We ain't leavin right now we on a positive vibe
But I still keep the homicide squad on the side
See how I'm holdin on the steering wheel controllin' the ride
And y'all comin out of park because I got it in drive
I'm really feelin ya outfit it must be nice
A hard worker like myself could afford that price
I can't deny that you's a beautiful bitch
You got a face, and a ass, and a smile that want quit


We not judgin by size that's all statistics
Just turn the lights down and it's ballerific
This not the right spot to let ya daughters visit
It's some freaks up in here and it's all explicit
My round put me on ya just cause he want hit it
Shit I hope you don't be trippin on some 'be home'shit
Cause Jack ain't worried bout who Staci with
And he don't have to be puttin up with Staci's shit
I ain't lyin sometimes when you cross my path
Up in the club all night and niggas stalk yo ass
Big fine I ain't even trippin and I know you ain't trippin
Cause you know you wore that there tonight for me
You understand what I'm sayin

 and samples 'til end",https://genius.com/Juvenile-rodeo-lyrics
Juvenile on Fire,400 Degreez,1998.0,"Let's say I'm in a room with a bitch and the ho don't wan' fuck
Like a man I'ma beat my meat and get my fuckin' nut - fa'sho'
She gonna be drove then
And I'ma cut the TV off and go to sleep on that ho then
Now tell that to your girlfriend, you tell her everything else
She gon' to be with her boyfriend, you gon' to be by your damn self
While I'm in my Benz with your friend
And she bout to get nervous
Baby, I don't want nothing but some mouth and lip service
Don't act bad, don't get mad
That's all I can do with you, cause I don't want your ass
Look you kinda fine with a nigga name on your spine
Now respect my fuckin' mind how I'ma hit that from behind
Got a ho across the court
And my lil' boo stay next door
I'm getting tired of you heifers
It's time for me to restore
I done fixed these bitches house up
And have them living swell
But yet and still a nigga like me was eating at Taco Bell
But after that shit
All that trick shit I stopped it
And lock my fuckin' pockets
You can't pick it or pop it
Now I get what I can get
Out of these hoes and I'm up
And if she wanna flex up
I'ma beat the ho up

Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires
Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires
Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires
Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires

See I know how to treat a ho
Just talk and greet a ho
Let her know I don't need a ho
Don't mix up your people ho
If I tell you do something
You better do what I say
If you planning on playing me
Better get out my way
A bitch will get you killed
That's the way I think
From some ol' bitch ass nigga
Trying to receive my bank
Pussy come and it go
It been like that before I got here
Pussy don't wait for me or no nigga
But its gone stop here
For a little while
So I'ma get what I could
And if she bout sucking some dick
I ain't hating its all good
Now can I get that out you
It ain't hard to do
You'se a fine motherfucker
And it starts with you
I'm trying to fuck something till it can't see
What I'ma show you with this dick
You gon' thank me
A nigga gon' be like that until the moment I retire
Now ask them bitches 'bout me
They gone say that I'm on fire

Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires
Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires
Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires
Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires

If I even fuck with a bitch
She gonna know
Not to conversate with niggas
And to open my door
My business is my business
It ain't to be heard
My niggas is my niggas
So you don't say a word
And you don't touch my shit
You don't drive my shit
I got dope in the house
And I hide my shit
I got bad nerves
I hope you don't try my shit
Do right and nice things I'ma buy my bitch
Some bitches you gotta play'em with a long string
You play them close
And they gon' be thinking wrong things
You got something that I hear you don't wanna bring
You not a muthafuckin' player you a punk man
Let me get one of them hoes up on this dope dick
Stop handcuffing that bitch let her approach this
You know when Juvenile comes he has to smoke shit
I'm on fire, on fire
And you know this

Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires
Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires
Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires
Girl, that's Juvenile
You don't know he on fire
Seventeen-inch Momos
Black Magic on his tires

You can fuck my bitch
You can fuck my bitch
You can fuck my bitch
You can fuck my bitch
Let me fuck your bitch
I don't love that bitch
I don't trust that bitch
You can fuck my bitch
Let me fuck your bitch
I don't love that bitch
I don't trust that bitch
You can fuck my bitch
Let me fuck your bitch
I don't love that bitch
I don't trust that bitch
You can fuck my bitch
Let me fuck your bitch
I don't love that bitch
I don't trust that bitch
You don't know he on fire
You don't know he on fire
You don't know he on fire
You don't know he on fire
Hot Hot Hot Hot Hot Hot Hot
My bitch is your bitch
My bitch is your bitch
Your bitch is my bitch
My bitch is your bitch
My bitch is your bitch
Your bitch is my bitch",https://genius.com/Juvenile-juvenile-on-fire-lyrics
Set It Off,Project English,2001.0,"KICK ASS!
(Mmm-hmm) C'mon
(Uh-huh, mm-hmm)
Y'all boys don't know NUTTIN bout me (mm-hmm, uh-huh)
Ya heard? .. ""Ladies and gentlemen!""

I'mma T.C. soldier, New Orleans stunna
If a bitch leave me, I'mma take everything from her
Leave while ya can, or ya mom will pick ya rum up
I'mma find me some new pussy, and buy a Four-Runner
I walk with a limp, cause my nuts heavy
And I like it from the back so hold your butt steady
I know I got some big lips, but I ain't trippin
And momma I love pussy, but I ain't lickin
Now prepare yourself for a smooth dickin
You don't want it girl? You don't know, what you missin
I'm the baddest boss nigga walkin, you ain't heard?
I got a team of head busters waitin to give 'em the word
I gotta few in the East Coast, a few in the West
Down-South to Mid-W, whattup to the rest
Can't forget about the ghetto where they strugglin in debt
No matter what I do dawg, I love my set - ""Ladies and gentlemen!""

Woadie
, Wassup, Wodette, Wassup, Wodie, Wassup
Set it off in this motherfucker
Wodie, Wassup, Wodette, Wassup, Wodie, Wassup
Set it off in this motherfucker
Wodie, Wassup, Wodette, Wassup, Wodie, Wassup
Set it off in this motherfucker
Wodie, Wassup, Wodette, Wassup, Wodie, Wassup
Set it off in this motherfucker

The niggidy niggidy Nile's in this bitch, get right
Fuck what you heard on the street it's CMR for life
Still ridin on dubs, sippin brown and white
Jump stupid if you want bitch we gon' clown tonite
We got twenty-five 
choppers
 in the V.I.P
Cristal and 40 yack and a pound of weed
I know you wait for me to get drunk, and follow me home
Picture what I'mma give you though - a shot to yo' dome
Fuck it if your boys gon' be talkin they gon' get hit too
I'm really not givin a fuck, long as I get you
Jamie, Fresh, Joe, Bubba
Ya gotta admit ha, Juvie a motherfucker
I'mma general, executin the plan
Got a vision of the 3rd Ward, rulinn the land
Runnin up on hoes, tellin them to jump in the van
Mommy please come break off just me and my man


55% of these niggas is fake
The other 45% be handlin they weight
55% of these women is hoes
The other 45% be playin they role
Mr. Officer, Mr. Officer
Take these motherfuckin cuffs off of us
We ain't kill nobody in this car, for us
And ridin on 20's is the law for us
I ain't from France, but excuse my french
Fuck ya if ya hatin, nigga save that then
I been dealin wit you bitches from way back then
Plus I kept a fire duck off the lay back in
You say my momma played me and J be tight
Cause Juvie takin care, so everything alright
Bitches see the sliver seraph wit them phat ass pipes
Bein followed by some niggas on some bad ass bikes",https://genius.com/Juvenile-set-it-off-lyrics
Rich Niggaz,400 Degreez,1998.0,"Why, why, why
Why, why, why
Why, why
Cash Money, rich niggas
Look

Loud pipes, big rims
Nigga, that's my life
When I pull up at the club sorry that's my night
I know a lot of haters probably sayin' that that's not right
Well, my diamonds so much bigger
So, that's my life
Bling Bling
Now, I only carry big faces and you hear the ching, ching
Now, you can ask your wife and she will say the same thin'
And your children be amazed when they see me on the big screen
Ha, ha, ha
I crack myself up
I know I talk lot but I can back myself up
Got a little house on the beach that's where I shack myself up
You ain't really got more money than me
Think about it
Let's just say somebody gave me a check and took the ink up out it
So I just bought a new Rollie and got to take a link up out it
And me with no ice is like a Prince concert that ain't crowded
They see the Beam, and the truck, and the B-12
And we was next
Then that's when I pull up in the B-E-L
Le-Le-Lex
Ha

I'm on fire
Hot, hot, hot, hot, hot, hot, hot, hot
We on fire
Hot, hot, hot, hot, hot, hot, hot, hot

Juvenile used to be R-T-A bound
Now I be bustin' these bitches head when I come 'round
Acting like a nigga that ain't never had shit
Look into my bed sayin' that's a mad hit
I'll damned if these diamonds and golds ain't shinin'
My Rollie ain't windin' my bank ain't climbin'
You lookin' at a multi-millionaire in the flesh
Might don't have it now, but I just got me a check
I can walk it like I talk it, play it how I say it
Teach it like I preach it; now, put that in your head
Nigga, bet a thousand, shoot a thousand - ain't nuttin'
Smoke a pound, pop the Cristal and drink somethin'
Meet me in the casino, way in the back
Losin' money like a motherfucker, still shootin' craps
Tomorrow I'll be back, I got millionaire status
We make so much money IRS be lookin' at us

I'm on fire
Hot, hot, hot, hot, hot, hot, hot, hot
We on fire
Hot, hot, hot, hot, hot, hot, hot, hot

I got more ends than Bunny have in a factory
I'm Lil Turk, I'm livin' large, got the baddest hoes after me
Picture me, a young nigga ballin' out of control
Playing with millions, laying in condos
Nigga I shine, shine through the fuckin' week
The fliest ride with Cristal in the passenger seat
Don't hate me, cause I'm a little baller
Got more weight than Angola
Fucking your girl Carla
Nigga I stunt
And I'ma a stunt til I can't no more
Chest lit up like the oaks
From the diamonds I sport
Yo, I can't be touched
Don't think I'm too much, nigga I'm rich what the fuck
Rolex crushed out with the bezel
And in order for hoes to get close to me got to be on my schedule
I got so much money
I don't know what to do
Buy isles and cars
And break bread with my crew

I'm on fire
Hot, hot, hot, hot, hot, hot, hot, hot
We on fire
Hot, hot, hot, hot, hot, hot, hot, hot
We on fire
Hot, hot, hot, hot, hot, hot, hot, hot

Uh, uh, uh
Hear me
It's like, monkey see, monkey do
Rollin' with the Cash Money runners I stay true
Cause when were runnin' and climbin' on the million-dollar scene
Holding together, know what I mean, know what I mean
When I bring out the rubber around the Hummer
Don't nobody have a Benz or the Lex Bubble
When I start they said I had no fame
Now all the girls just end up calling my name
Ten G's to ???
Fax the contract to big Cash Money
Cause you know this whole clique right with me
They're right with me
Sip-pe-di-dy
Won't count the diamonds just around my neck
X amount of dollars on a bankroll check
If you want to really come and sing with me
Those that got me wicked, then I do some free
For free",https://genius.com/Juvenile-rich-niggaz-lyrics
Gone Ride With Me,400 Degreez,1998.0,"I'm charging six hundred for some big Os
You do business with me, you coming back to get more
My shit is fire, cause it's jumpin' back to twenty-nine
So a nigga shouldn't have no problem bout me gettin' mine
If you come at me with a short I must say shop closed
Motherfuckers try to get smart you gon' get popped ho
I buck with niggas out the Jake like Will and Paco
Have conversations for bitches until they got drove
Picture me gently getting twisted off the indo
Baby, Lil Wayne, B.G., and me committing sins though
Better beware because we bout to spend a bend though
Don't get caught out without the shit cause you will end though
Me and my people got to hustle just to pay the rent
Some of us not in the position that we say we in
Can't have no bill collectors coming through my residence
That's why everyday I be runnin' for the presidents
All that knockin' another nigga, shits irrelevant
You get your head busted for playin' with my intelligence
Yeah

My nine is gonna die with me
Pick up the supply with me
Be up in the ride with me
Do a homicide with me, who, me
My nine is gonna die with me
Pick up the supply with me
Be up in the ride with me
Do a homicide with me, who, me
My nine is gonna die with me
Pick up the supply with me

You making shit more complicated than it should be
You feel your death is comin' soon whodie it could be
Nigga got killed because they never understood me
I know your block is similar to how my hood be
This nigga with all of this playin' gettin' on my nerves
He callin' me up on the phone sayin' he want a bird
I told his daddy that's not how I handle business, man
How I know you not turning state and you be witnessin'?
Doing business with you I'm not even considerin'
How to be in the safe get around that you niggas in
I move too fast, remember patience is a virtue
And keep your eyes open cause niggas gon' observe you
They waiting for the perfect time that they can hurt you
And if they catch you off your basis they gon' serve you
I wonder if my people locked up still remember me
I'm talkin' bout Tulane and Broad, and penitentiaries
All my niggas

My nine is gonna die with me
Pick up the supply with me
Do a homicide with me
Be up in the ride with me, who, me
My nine is gonna die with me
Pick up the supply with me
Do a homicide with me
Be up in the ride with me, who, me

I already got you listening to what I said
You better straighten up, there, soldier 'fore I bust your head
Ho if you got something you better not even show your face
Cause a nigga been doing bad and might explore your place
Look, you know you not about it cause they know you fake
If you want to go to war I know what it take
Come with a team of choppers, not no thirty-eight
And we gon' turn this 211 into a murder case
And me a Russell gon' get dizzy out the Thunderbird
And start a nuclear revolution right up on your curb
Niggas keep fuckin' with me cause they know I'm gettin' large
My truck is sitting on twenties, and I'm hittin' broads
If you get beside yourself, then you got to go
You creepin' on the C-M-B's that's not possible
I hit a fifty out my chopper and I got some more
You say you ready for me whodie I don't really know
No

My nine is gonna ride with me
My nine is gonna die with me
Be up in the ride with me
Do a homicide with me, who, me",https://genius.com/Juvenile-gone-ride-with-me-lyrics
