title,album,year,lyrics,urls
Sound of da Police,Return of the Boom Bap,1993.0,"Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast
Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast (Yes indeed)
Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast
Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast (Yes indeed)

Stand clear, Don man'll talk
You can't stand where I stand, you can't walk where I walk
Watch out, we run New York
Policeman come, we bust him out the park
I know this for a fact, you don't like how I act
You claim I'm sellin' crack
, 
but you be doin' that
I'd rather say see ya, ‘cause I would never be ya
Be an officer? You wicked overseer!
You hotshot, wanna get props and be a savior
First show a little respect, change your behavior
Change your attitude, change your plan
There could never really be justice on stolen land
Are you really for peace and equality?
Or when my car is hooked up, you know you wanna follow me
Your laws are minimal
‘Cause you won't even think about lookin' at the real criminal
This has got to cease
‘Cause we be getting hyped to the sound of da police

Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast
Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast

Now here's a likkle truth, open up your eye
While you're checkin' out the 
boom-bap
, check the exercise
Take the word 
overseer
, like a sample
Repeat it very quickly in a crew, for example
Overseer, overseer, overseer, overseer
Officer, officer, officer, officer
Yeah, 
officer
 from 
overseer
You need a little clarity? Check the similarity!
The overseer rode around the plantation
The officer is off, patrollin' all the nation
The overseer could stop you, ""What you're doing?""
The officer will pull you over just when he's pursuing
The overseer had the right to get ill
And if you fought back, the overseer had the right to kill
The officer has the right to arrest
And if you fight back they put a hole in your chest
(Woop!) They both ride horses
After 400 years, I've got no choices
The police them have a likkle gun
So when I'm on the streets, I walk around with a bigger one
(Woop-woop!) I hear it all day
Just so they can run the light and be upon their way

Yes indeed
Yes indeed
Yes indeed
Yes indeed

Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast
Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast

Check out the message in a rough stylee
The real criminal are the C-O-P
You check for undercover and the one P.D
But just a mere Black man, them wan' check me
Them check out me car, for it shine like the sun
But them jealous or them vexed, ‘cause them can't afford one
Black people still slaves up 'til today
But the Black police officer nyah see it that way
Him want a salary, him want it
So he put on a badge and kill people for it
My grandfather had to deal with the cops
My great-grandfather dealt with the cops
My great-grandfather had to deal with the cops
And then my great, great, great, great—when it's gonna stop?!

Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast
Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast
Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast
Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast

Yes indeed
Yes indeed
Yes indeed
Yes indeed

Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast
Woop-woop! That's the sound of da police
Woop-woop! That's the sound of da beast",https://genius.com/Krs-one-sound-of-da-police-lyrics
Step Into a World (Rapture’s Delight),I Got Next,1997.0,"Step into a world (Klaka klaka, klaka klaka)
Where there's no one left (Buku, buku! Alla de massive)
But the very best (Klaka, bo bo, BDP crew, bo bo bo bo)
No MC can test (but one, one, one)
Step into a world, where hip-hop is me
Where MC's and DJ's
Build up their skills as they play every day for the, rapture
Yeah, what what

Yes yes y'all, ya don't stop, KRS-One, rock on
Yes yes y'all, ya don't stop, KRS-One, rock on

I'm bout to hit you with that traditional style of cold rockin'
Givin options for head knockin non-stoppin'
Tip-toppin' lyrics we droppin' but styles can be forgotten
So we bring back the raw hip-hoppin'
Just like the records and tapes you be coppin'
Cop some breakdancin', boogie poppin', and lockin'
Tic tockin', guaranteed to have you clockin'
We only get better and only better we have gotten
This type of flow don't even think about stoppin'
Beware, the length of the rhyme flow can be shockin'
All music lovers in the place right now
That never understood the way that KRS got down
Yo, I'm strictly about skills and dope lyrical coastin'
Relying on talent, not marketing and promotion
If a dope lyrical flow is a must
You gots to go with a name you can quickly trust
I'm not sayin I'm number one, uhh I'm sorry, I lied
I'm number one, two, three, four and five
Stop wastin' your money on marketing schemes
And pretty packages pushin' dreams to the fiends
A dope MC is a dope MC
With or witout a record deal, all can see
And that's who KRS be son
I'm not the run-of-the-mill, cause for the mill I don't run

Yes yes y'all, ya don't stop, KRS-One, rock on
Yes yes y'all, ya don't stop, KRS-One, rock on

Step into a world (Klaka klaka, klaka klaka)
Where there's no one left (Buku, buku! Alla de massive)
But the very best (Klaka, bo bo, BDP crew, bo bo bo bo)
No MC can test (but one, one, one)
Step into a world, where hip-hop is me
Where MC's and DJ's
Build up their skills as they play every day for the, rapture

Everybody on the mic in the party sound alike
Until I recite, in black and white what's right
Let me take flight, my style is TIGHT AN GOOD
TIGHT AN GOOD, come is it TIGHT AN GOOD
Old styles I pass dat, slow down on fast rap
All in yo' ass crack, Cocaine? Don't pass dat
Conjure to ask dat, hyper type of flashback
I publish like ASCAP lyrics for hand clap
No past rappin', youth trackin', talent lackin'
MC's more worried about their financial backin'
Steady packin a gat as if something's gonna happen
But it doesn't, they wind up shootin they cousin, they buggin'
I appear everywhere and nowhere at once
I know my style is bumpin, even though some people front
It's the God of rap, you heard of it
The one that rhymes toward the sky givin airplanes mad turbulence
In rap tournaments, I reign permanent
Don't you think by now the number one spot I'm not concerned with it
The course of rap I'm turnin' it
Back to that good old fashioned way of getting cash money by earning it
No bogus hocus pocus, I bring back to focus
Skills if you notice my position is lotus
Now quote this, MC's are just hopeless
Thinkin record sales make them the dopest

Yes yes y'all, ya don't stop, KRS-One, rock on
Yes yes y'all, ya don't stop, KRS-One, rock on

Step into a world (Klaka klaka, klaka klaka)
Where there's no one left (Buku, buku! Alla de massive)
But the very best (Klaka, bo bo, BDP crew, bo bo bo bo)
No MC can test (but one, one, one)
Step into a world, where hip-hop is me
Where MC's and DJ's
Build up their skills as they play every day for the, rapture",https://genius.com/Krs-one-step-into-a-world-raptures-delight-lyrics
MC’s Act Like They Don’t Know,KRS-One,1995.0,"Clap your hands everybody, if you got what it takes
'Cause I'm KRS and I'm on the mic, and Premier's on The Breaks
Goin' out to the hardcore hip hop
Goin' out to the hardcore hip hop
Of course we don't flip flop

If you don't know me by now I doubt you'll ever know me
I never won a Grammy, I won't win a Tony
But I'm not the only MC keepin' it real
When I grab the mic to smash a rapper, girls go, ""Ill""
Check the time as I rhyme, it's 1995
Whenever I arrive the party gets liver
Flow with the master rhymer, as I leave behind
The video rapper, you know, the chart climber
Clapper, down goes another rapper
Onto another matter, punch up the data, Blastmaster
Knowledge Reigns Supreme Over Nearly Everybody
Call up KRS, I'm guaranteed to rip a party
Flat top, braids, bald heads or knotty dreads
There once was a story about a man named Jed
But now Jed is dead, all his kids instead
Want to kick rhymes off the top of they head
Word, what go around come around I figure
Now we got white kids callin' themselves niggas
The tables turned as the crosses burned
Remember You Must Learn
About the styles I flip and how wild I get
I go on like a space age rocket ship
You could be a mack, a pimp, hustler or player
But make sure live you is a dope rhyme sayer

MCs act like they don't know
MCs act like they don't know
MCs act like they don't know

This is what you waited all year for
The hardcore, that's what KRS is here for
Big up Grand Wizard Theodore, gettin' ill
If you see then ya saw I'm in your grill with mad skill
MC's can only battle with rhymes that got punchlines
Let's battle to see who headlines
Instead of flow for flow let's go show for show
Toe for toe, yo, you better act like you know
Too many MC's take that word 'emcee' lightly
They can't Move a Crowd, not even slightly
It might be the fact that they express wackness
Let me show ya whose ass is the blackest
I flip a script a little bit, you ride the tip and shit
Too sick to get with it, admit you bit, your style is counterfeit
Now tone it down a bit
My title you will never get, I'm too intelligent
I'll send your family my sentiments, my style is toxic
When I rock and shock and hip hop it unlock your head, I knock it
It split quick from the lyric
Direct hit, perfect fit, you can't get with it

MCs act like they don't know
MCs act like they don't know
MCs act like they don't know

Some MC's don't like the KRS but they must respect him
Cos they know this kid gets all up in they rectum
Slappin' and selectin' em, checkin' em, disrespectin' em
Just deckin' em, deckin' em, deck-in' em
Who in their right mind can mimic a style like mine
I design rhyme and get mine all the time
MC's standin' on the sidelines, always dissin'
When I roll up and rush their crew, they start bitchin'
I don't burn, I don't freeze, yet some MC's
Believe they could tango with the likes of these
Cross your t's and dot your i's whenever I arrive
Wide, magnified, live like the ocean tide
You dope, you lied, I reside like Artifacts
On the Wrong Side of Da Tracks, electrified
Comin' around the mountain, you run and hide
Hopin' your defence mechanism can divert my heat-seeking lyricism
As I spark mad izm
The 1996 lyrical style's what I give 'em

MCs act like they don't know
MCs act like they don't know
MCs act like they don't know
MCs act like they don't know
MCs act like they don't know",https://genius.com/Krs-one-mcs-act-like-they-dont-know-lyrics
Hip Hop Vs. Rap,D.I.G.I.T.A.L.,1993.0,"You you can't can't be be ripping the mic the mic like do re me me
Measles are contagious like my lyrical pages
Ripping and flipping the mic
From back in the back in the days, these days it's kinda hectic, hectic
When these suckers don't respect it, check it
Flame on, I know the light is bright but keep on watching me
I'm stolen property, kicking the flavor to society
Police be clocking me, but logically they got to be
Cause they were taught that serious poetry would come from Socrates
But that ain't it, in 94 I'll kick the hit
If I was in front of Shakespeare, I'd battle the punk and take his shit
I'm not having it
Bust the narrative I come to give, listen
Rap is something you do, Hip Hop is something you live
The difference is kids nowadays, they got the video
Rappers don't need skills to build so they don't really know
Hear me yo, I'm four times on Arsenio
Got ten videos, but does that help me flow? No
That's why when I come to the show MC's act like they don't know
Cause they were too young to rock up in the disco
Frisco Disco, the disc is like a Nabisco
Chocolate chip cookie, don't fuck with me rookie
I'm rocking beats and with death defying feats
And I'm never squeaking, I'm always freaking when I'm speaking
Inside I'm keeping a statement for police and
I'm down for peace and but not turn the other cheek and
So this DJ, he gets down
Mixing records while they go...
Round and round, round we go
Two years ago a friend of mine
And Flash is gonna rock your mind
Welcome to the terror dome
, the terror dome
I wonder if I take you home
E-F-F-E-C-T
A cool operator operating correctly
But back in the days I knew rap would never die
Too late baby bye bye in a batty boy head, head, head
Insane in the membrane
Take the train, take the train
M-E-T-H-O-D man...
...Hattan keeps on making it, Brooklyn keeps on taking it
We keep coming back with more and more hits
Party people
I came through the door, I said it before
Two years ago, super ho
If my train goes off the track
Pick it up, pick it up, pick it up back, back
Back to the grill again, the grill again
Friends
How many MC's must get dissed?
Before somebody says don't fuck with Kris
Hey! Ho!
 
Keep on moving don't stop no...
...Body beats the Biz
Let's do the dance called the Pee Wee Herman
Hey, Erick Sermon, hey
You you get off my cloud
Go down baby, go down baby
The gods must be crazy
You ain't fresh, you ain't fresh, yeah",https://genius.com/Krs-one-hip-hop-vs-rap-lyrics
A Friend,I Got Next,1997.0,"The beat was supposed to drop right there
The beat was supposed to drop right there
The beat was supposed to drop right there
Yeah, yeah, yeah, uh!

I send this one out to my right hand man, or mens
Or womens, the whole crew, the real fam

We can count the dough or kick a flow
Or chill out watchin' videos
Or actin' really silly, yo, but really, though
All that can end
Whether at the bar with superstars
Or cruisin' in the trooper car
I really don't care who you are
All I really need is a friend

If we can't have trust, then you can't hang with us
We respond to those who show respect with respect
We respond, we connect on the same deck
Same intellect, my man, never shifty, thinks quickly
If you can't understand, we boys, we boys
We could stand on the corner with a hat sellin' toys
It ain't about your Benz, I hope it ain't about mine
My man, I be dissin' in my freestyle rhyme
Gettin G's around the world, I can trust you with my girl, my man
We chillin' at the jam, what's the plan?
I'm not a yes man and none of my friends are yes men
Or women, I'm drivin', I see my peeps yo get in
Where you fit in? True friends are quick to sit in the beginning of all trouble
And when your bankroll doubles
Fred Flintstone and Barney Rubble
Still, I got my own space like Hubble

We can count the dough or kick a flow
Or chill out watchin' videos
Or actin' really silly, yo, but really, though
All that can end
Whether at the bar with superstars
Or cruisin' in the trooper car
I really don't care who you are
All I really need is a friend

Cause don't nobody care about us, all they do is doubt us
Until we blow the spot, then they all wanna crowd us
And wanna shout us, but you my man from way back
I just gots to say that, actin' large, I don't play that
But I can't say that, where I play at isn't fast-paced
A friend can acquire the taste to become two-faced
And that's a disgrace, there ain't nothing you can say to us
When the kid you grew up with betrays your trust
When we used to ride the bus, we had trust
Now we cash checks and drive Lex, and can't show respect to one of us
Yo, the heads I hang with ain't tryin to just get what they can get
Sit quickly backstabbin' the clique
I roll thick, but only some are friends really down to the end
My right hand men and women
Mutual support, from the beginnin'
Been in, exactly what I've been in

We can count the dough or kick a flow
Or chill out watchin' videos
Or actin' really silly, yo, but really, though
All that can end
Whether at the bar with superstars
Or cruisin' in the trooper car
I really don't care who you are
All I really need is a friend

Back to back, we attack corporate America
Gettin' fees that amount to G's in every area
You my man, I ain't gotta drag you along
You pull your own weight, yeah you definitely got it goin' on
I don't see nothin' wrong with a little bumpin' car system thumpin'
Between the crew, we always got somethin'
But if we had nothin', no frontin' whatever
We'd still be crew you and me, me for you together
Word, fake people ain't worth a turd
They only want to be your friend because of what they overheard
I send this record to the well respected
Friends that I've collected
I hope I am what you expected

So check it, so check it

We can count the dough or kick a flow
Or chill out watchin' videos
Or actin' really silly, yo, but really, though
All that can end
Whether at the bar with superstars
Or cruisin' in the trooper car
I really don't care who you are
All I really need is a friend",https://genius.com/Krs-one-a-friend-lyrics
AZTECHNICAL,Just Like That,UnKnown,"If you don't like what you singing, you sing a different hook
If you don't like what you cooking, you get a different cook
If you don't like what you wearing, you get a different look
You wanna escape Armageddon, read a different book
When knowledge is right there, we don't even look
December 2012 got this whole world shook
But look, the last days for others are the first days for us
The question to ask is who can you trust
Respect to all that 2012 stuff
But when you really study it it's fear, it don't apply to us
Yo, Hollywood lies to us, all day
The question is what does your culture say
Where's your culture at? Who's your prophet?
What history guides your spiritual logic?
It starts with a story, then it's hypnotic
Then any myth that comes along, you just adopted it
Why? Because your culture, you forgot it
December 2012, let's continue this topic
Turn the page, the present world age
Began 3114 BC
According to the Mayan calendar, this age concludes December 21st 2012 AD
This 5125 years cycle of calm is one world age
Nothing changes overnight, it's all a process
A transition, it happens over many days
In the Mayan calculation a K'in, is one day
The Mayan Winal, that's 20 days
The Tun is 360 days
A K'atun is 7200 days
The B'ak'tun is 144,000 days
And they applied that to the Milky Way
In the cycles they saw the Sun
Moving across the Milky Way's equator
Lining up with other galactic neighbors
We've been shifting for 30 years it seems
From 1980 to about 2016
The shift is now, it's occurring now
But if you're learning from the movies you won't know how to survive
Or stay alive after the storm
Cause after that a New World Order is born
Oh, you don't know, man? About they programs?
You still watching Lindsay, you don't see that low hand?
Let go, man, the flood is coming
Don't be scared, get prepared, keep your motor running
Rock with me

Higher level

Yep, it's all mass control, here's the philosophy
Cortés knew about the Aztec prophecy
Before he invaded their society
He studied their cultural psychology
He knew they had armor, guns, and steeds
So he arrived in the Aztec year 1-Reed
That's the year Quetzalcoatl
Was prophecized to return from exile in fact
Cortés played out the Aztec myth
And took away those people's will to resist
Cortés played on religious beliefs
And blinded the Aztecs, cause he was a thief
Look, the Yucatan, that's a Mayan book of cycles
It lets the Mayans know when the Gods are gonna strike you
In fact, every 13 K'atuns you see
The Mayans were visited with a catastrophe
So every 200 and 56 or 7 years
The Mayan people lived with this fear
So on the island of Tayasal now Flores
The Spanish came armed with this knowledge
They knew according to the Mayan heavens
That the next cycle was 1697
So as the Mayans stood there fixed on the heavens
The Spanish showed up with all of their weapons
March 13th, 1697
The Mayan people learned a terrible lesson
Your fears and tears are used against you
Cause 80% of world control is mental
But back to the Mayans, they getting some more
257 years after Tayasal
A US-backed coup overthrows their democracy in 1954
That's exactly 257 years from when the Spaniards arrived at their shores
I'm getting to the core of the lesson
Lets see what happens in 2211
That's the next cycle, that people remember
Like 2012, the 21st of December
The consciousness may shift, you may turn the light
But you are the universe, you're gonna be alright
The pole may shift, your soul may lift
To higher consciousness but you know all this
The Edutainment style will persist
Forget the fear, it's knowledge that runs all this",https://genius.com/Krs-one-aztechnical-lyrics
Outta Here,Return of the Boom Bap,1993.0,"""Boogie Down was performing, hey they ain't no joke""
""Down with the sound called B-D-P""

Back in the days I knew rap would never die
I used to listen to Awesome-2 on WHBI
I used to hear all kind of rap groups before sampling loops
Rappers wore bell-bottom Lee suits
Me and Kenny couldn't afford that
So we would go to the park when they was jammin' to hear rap
I used to listen till the cops broke it up
I always thought to myself ""Damn, why they fucked it up?""
But nevertheless I was in love with the microphone
And it stayed that way until I left home
On the streets of New York, now I'm free
But with freedom comes big responsibility
I used to walk around driven by the force
I remember how large Super Rhymes was when he fell off
I used to wonder about crews that used to rock
They were large, but none of them could manage to stay on top

Do you ever think about when you outta here?
Record deal and video outta here?
Mercedes Benz and Range Rover outta here?
No doubt BDP is old school, but we ain't goin' out!

After livin' on the streets alone
Some years went by, I signed myself into a group home
I used to watch the show ""I Dream of Jeannie""
And dreamt about ""When will I be large like Whodini?""
But I was messin' with graffiti on the subway
And gettin' chased by the cops almost everyday
I knew it had to bea better way see
So I would go to my room, blast RUN DMC
Around 1984 I left the group home, again alone
Still dreamin' about the microphone
Gimme a chance man, I know I can rock it
But I had to worry about puttin' money in my pocket
So when I reached the shelter I met my helper DJ Scott La Rock
And we both loved hip-hop
I was takin' suckas out in the shelter system
Yeah there was rappers in the shelter but I had to diss 'em
But all along, my vision was never lost
I kept seeing all these rap groups fallin' off

Do you ever think about when you're outta here?
Fly girl and fresh gear outta here?
Five-thousand dollar love seat outta here?
No doubt BDP is old school, but we ain't goin' out!

While I'm battling these rival crews
Yes, BDP would stay in the Street News
Some said, All they wanna do is battle
They can't write a song, so their careers won't last long!
Around this time I used to hang with Ced Gee
And DJ Scott La Rock used to buy gold with Eric B
I didn't meet Rakim till later with Scott
I remember we were jammin' at the rooftop
It used to irk me when these critics had opinions
Scott would say ""Just keep rappin', I'll keep spinnin'""
We had a fucked up contract, but we signed it
And dropped the hip-hop album Criminal Minded
We told the critics your opinions are bull
Same time Eric B and Rakim dropped Paid in Full
Hip-hop pioneers we didn't ask to be
But right then hip-hop changed drastically
People didn't wanna hear the old rap sound
We started samplin' beats by James Brown
In the middle of doin' ""My Philosophy""
Scott was killed and that shit got to me
But knowin' the laws of life and death
I knew his breath, was one with my breath
I had nothin' left and it was scary
So I dropped By All Means Necessary
Another hip-hop group that was a friend of me
Was a revolution crew called Public Enemy
It Takes A Nation of Millions to Hold Us Back
These two albums set off consciousness in rap
But all along, I'm still lookin' around
And all I can see are these rap groups fallin' down

Do you ever think about when you outta here?
Condominium and beach house outta here?
Credit cards and bank accounts outta here?
No doubt BDP is old school, be we ain't goin' out!",https://genius.com/Krs-one-outta-here-lyrics
Ah-Yeah,KRS-One,1995.0,"Ah yeah, that's whatcha say when you see a devil down
Ah yeah, that's whatcha say when you take the devil's crown
Ah yeah, stay alive all things will change around
Ah yeah, what, ah yeah

So here I go kickin' science in ninety-five
I be illin', parental discretion is advised still
Don't call me nigga, this MC goes for his
Call me God, cause that's what the black man is
Roamin' through the forest as the hardest lyrical artist
Black women you are not a bitch you're a Goddess
Let it be known, you can lean on KRS-One
Like a wall cause I'm hard, I represent God
Wack MC's have one style: gun buck
But when you say, ""Let's buck for revolution""
They shut the fuck up, can't get with it
Down to start a riot in a minute
You'll hear so many Bowe-Bowe-Bowe, you think I'm Riddick
While other MC's are talkin' bout up with hope down with dope
I'll have a devil in my infrared scope, WOY
That's for calling my father a boy and, ""klak, klak, klak""
That's for putting scars on my mother's back, BO
That's for calling my sister a ho, and for you
""Buck, buck, buck"", cause I don't give a motherfuck
Remember the whip, remember the chant
Remember the rope and
You black people still thinkin' about voting
Every President we ever had lied
You know, I'm kinda glad Nixon died

Ah yeah, that's whatcha say when you see a devil down
Ah yeah, that's whatcha say when you take the devil's crown
Ah yeah, stay alive all things will change around
Ah yeah, what, ah yeah

This is not the first time I came to the planet
But every time I come, only a few could understand it
I came as Isis, my words they tried to ban it
I came as Moses, they couldn't follow my Commandments
I came as Solomon, to a people that was lost
I came as Jesus, but they nailed me to a cross
I came as Harriet Tubman, I put the truth to Sojourner
Other times, I had to come as Nat Turner
They tried to burn me, lynch me and starve me
So I had to come back as Marcus Garvey, Bob Marley
They tried to harm me, I used to be Malcolm X
Now I'm on the planet as the one called KRS
Kickin' the metaphysical, spiritual, tryin' to like
Get with you, showin' you, you are invincible
The Black Panther is the black answer for real
In my spiritual form, I turn into Bobby Seale
On the wheels of steel, my spirit flies away
And enters into Kwame Ture

Ah yeah, that's whatcha say when you see a devil down
Ah yeah, that's whatcha say when you take the devil's crown
Ah yeah, stay alive all things will change around
Ah yeah, what, ah yeah

In the streets there is no EQ, no di-do-di-do-di-do
So I grab the air and speak through the code
The devil cannot see through as I unload
Into another cerebellum
Then I can tell em, because my vibes go through denim
And leather whatever, however, I'm still rockin'
We used to pick cotton, now we pick up cotton when we shoppin'
Have you forgotten why we buildin' in a cypher
Yo hear me kid, government is building in a pyramid
The son of God is brighter than the son of man
The spirit is, check your dollar bill G, here it is
We got no time for fancy mathematics
Your mental frequency frequently pickin' up static
Makin' you a naked body, addict and it's democratic
They press auto, and you kill it with an automatic

Ah yeah, that's whatcha say when you see a devil down
Ah yeah, that's whatcha say when you take the devil's crown
Ah yeah, stay alive all things will change around
Ah yeah, what, ah yeah",https://genius.com/Krs-one-ah-yeah-lyrics
Black Cop,Return of the Boom Bap,1993.0,"Buck buck buck-buck-buck, buck-buck buck buck!
All rude bwoy lissen up!
Black cop!! Black cop black cop black cop
Stop shootin black people, we all gonna drop
You don't even get, paid a whole lot
So take your M-60 and put it 'pon lock!
Take your four-five and you put it 'pon lock!
Lookin for your people when you walk down a block
Here in America you have drug spot
They get the black cop, to watch the drug spot
The black drug dealer just avoid black cop
They're killin each other on a East Coast block
Killin each other on a West Coast block
White police, don't give a care about dat
Dem want us killin each other over crack
Anyway you put it it's a black on BLACK
Black cop black cop black cop
Black cop black cop black cop
Thirty years ago, there were no black cops
You couldn't even run, drive round the block
Recently police trained black cop
To stand on the corner, and take gunshot
This type of warfare isn't new or a shock
It's black on black crime again nonstop
Black cop!! Black cop black cop
Black cop black cop black cop
""Don't be the sucker..
Don't be the sucker comin into my face..
Don't be the sucker..""
Here's what the West and the East have in common
Both have black cops in cars profilin
Hardcore kids in the West got stress
In the East we are chased by the same black beast
The black cop is the only real obstacle
Black slave turned black cop is not logical
But very psychological, haven't you heard?
It's the BLACK COP killin black kids in Johannesburg
Whassup black cop, yo, whassup?!
Your authorization says shoot your nation
You wanna uphold the law, what could you do to me?
The same law dissed the whole black community
You can't play both sides of the fence
1993 mad kids are gettin tense
Black cop!! Black cop black cop black cop
Stop shootin black people we all gonna drop
You don't even get, paid a whole lot
Take your four-five and you put it 'pon lock!
Take your M-60 and put it 'pon lock!
Take your uzi, put it 'pon lock!
Black cop black cop black cop
Black cop black cop black cop
""Don't be the sucker..
Don't be the sucker..
Don't be the sucker..
Don't be the sucker comin into my face
Don't.. don't be the sucker comin into my face
Don't-don't-don't be the sucker comin into my face
Don't-don't-don't-don't
Don't be the sucker comin into my face
Don't-don't, don't-don't
Don't be the sucker comin into my face
Don't-don't-don't!
Don't be the sucker comin into my face with that yang-yang!""",https://genius.com/Krs-one-black-cop-lyrics
9 Elements,Kristyles,2003,"Well my ladies and gentlemen
This is a rapsession and my name is ""KRS-One!""
And when I talk about ""Hip-Hop Music!"", I know

One : Breaking or breakdancing
Really b-boying, freestyle, street dancin'
Two : MC'ing or rap
Divine speech what I'm doing right now, no act
Three: Grafitti art or burning, bombin'
Taggin', writin', now you're learning! uh!
Four : 
DJ'ing
, we ain't playing!
{*scratch*} You know what I'm saying!
Five : 
Beatboxing
Give me a {*beatboxin*} Yes and we rockin'!
Six : Street fashion, lookin' fly
Catchin' the eye while them cats walk on by
Seven: 
Street language, our verbal communication
Our codes throughout the nation
Eight: 
Street knowledge, common sense
The wisdom of the elders from way back whence
Nine : Street entrepreneurialism
No job, just get up call 'em and get 'em
Here's how I'm tellin' it, all 9 Elements
We stand in love, no we're never failing it
Intelligent? No doubt
Hip-Hop? We're not selling it out, we're just lettin' it out
If you're checkin' us out this hour, we teatchin' hip-hop
Holy Integrated People Having Omnipresent Power!

Rap is something you do!
3x Hip-Hop is something you live! *scratched*
Rap is something you do!
Hip-Hop is something you live! *scratched*

Skaters, BMX-bike riders rock
Don't you ever stop! You are hip-hop
You doing the same things we did on our block in the suburbs
You know you be packing that black block
Selling that crackrock and ecstasy
Gettin' pissydrunk, fallin' out next to me
But like I told those in the ghettoes
Here's the facts! 
True hip-hop is so much more than that
Some much more than rap, so much more than beats
Hip-hop is all about victory over the streets
What you see on TV is a lie
That's not something you wanna live or pattern your life by
But, huh that's too much preachin' ain't it?
You don't want the edutainment, you wanna be dead on the pavement
Well, so be it, some of ya'll ain't gonna see it
Others wanna enslave your mind! Kris wanna free it!

Rap is something you do!
5x Hip-Hop is something you live! *scratched*
""Oh yea"" *scratched* --- From ""P is dead""
""I have spent my whole life livin'"", ""hip hop to the fullest"", ""no doubt""

You know that's why these rappers can't hang
Cause the essence of hip-hop is not a material thing
They so careless, hip-hop is in awareness we give
Rap we do, hip-hop we live
How many times I gotta say it? How long the radio ain't gonna play it
And you hip-hoppers sit back and okay it
Think about it! (think about it)
The present course of action, we have got to reroute it!

Hip-Hop is something you live!",https://genius.com/Krs-one-9-elements-lyrics
