title,album,year,lyrics,urls
B.I.B.L.E. (Basic Instructions Before Leaving Earth),Liquid Swords,1995.0,"The Basic Instructions Before Leaving Earth
The Basic Instructions Before Leaving Earth
The Basic Instructions Before Leaving Earth

Life is a test many quest the Universe
And through my research I felt the joy and the hurt
The first shall be last and the last shall be first
The basic instructions before leaving Earth
Life is a test many quest the Universe
And through my research I felt the joy and the hurt
The first shall be last and the last shall be first
The basic instructions before leaving Earth

Knowledge this wisdom, this goes back when I was 12
I loved doing right but I was trapped in Hell
Had mad ideas, sad eyes and tears
Years of fears but yo my foes couldn't bear
I searched for the truth since my youth
And went to church since birth but it wasn't worth the loot
That I was paying plus the praying
I didn't like staying 'cause of busy-bodies and dizzy hotties
That the preacher had souped up with lies
Had me cooped up looking at loot, butt and thighs
During the service he swallowed up the poor
And after they heard this, they wallowed on the floor
But I ignored and explored my history that was untold
And watched mysteries unfold
And dropped a jewel like Solomon but never followed men
'Cause if you do your brain is more hollow than
Space oblivia or the abyss
With no trace of trivia left with the hiss
Does it pay to be deaf, dumb and blind?
From a slave we was kept from the mind
And from the caves he crept from behind
And what he gave was the sect of the swine
When the Bible, it condemns the pig
I don't mean to pull your hems or flip your wigs
But we used to wear a turban but now we're in the urban
No more wearing beanies and dress like the genie
No hocus pocus 'cause I focus on the facts
And put it on the tracks, embroid it through the wax
I speak on Jacob, it might take up some time
And too much knowledge, it might break up the rhyme
I did it anyway just to wake up the mind
Of those who kiss stones or prays on the carpet
Those who sit home or sell books by the market
Need to chill and get their mind revived
For years religion did nothing but divide
The Basic Instructions Before Leaving Earth

Life is a test many quest the Universe
And through my research, I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth
Life is a test many quest the Universe
And through my research, I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth

I strolled through the books of Job to unfold
And open bibles, instead of hoping on revivals
Calling on His name and screaming hallelujah
When he hardly knew ya, that's how the Devil fooled ya
See look into my eyes brethren, that's the lies of a Reverend
Why should you die to go to Heaven?
The Earth is already in space, the Bible I embrace
A difficult task I had to take
I studied till my eyes was swollen and only arose when
I found out that we were the chosen
I deal with the truth and build with the youth
And teach my son as he kneels on the stoop
Son, life is a pool of sin, corrupted with foolish men
And women with wicked minds who build picket signs
To legalize abortion, the evil eye extortion
I quiz son with my wisdom
Before I converted, I was perverted and knowledge was asserted
The study of wisdom, I preferred it
The understanding, it gave me mental freedom
I even learnt Caucasian were really the Tribe of Edom
The white image of Christ is really Cesare Borgia
And uhh, the second son of Pope Alexander
The Sixth of Rome and once the picture was shown
That's how the devils tricked my dome
I prophesized to save a man, but no one gave a damn
For my nation, the seed of Abraham
Blessed with the tongue of Hebrew
Now we're strung on needles and some are plunging evils
So study and be wise in these days of darkness
Peace to my nephew Marcus
The Basic Instructions Before Leaving Earth

Life is a test many quest the Universe
And through my research, I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth
Life is a test many quest the Universe
And through my research, I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth
Life is a test many quest the Universe
And through my research, I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth
Life is a test many quest the Universe
And through my research, I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth",https://genius.com/Killah-priest-bible-basic-instructions-before-leaving-earth-lyrics
B.I.B.L.E.,Heavy Mental,1995.0,"The Basic Instructions Before Leaving Earth
The Basic Instructions Before Leaving Earth
The Basic Instructions Before Leaving Earth

Life is a test, many quest the Universe
And through my research I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth
Life is a test, many quest the Universe
And through my research I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth

Knowledge this wisdom, this goes back when I was 12
I loved doing right but I was trapped in Hell
Had mad ideas, sad eyes and tears
Years of fears, but yo my foes couldn't bear
I searched for the truth since my youth
And went to church since birth, but it wasn't worth the loot
That I was paying, plus the praying
I didn't like staying 'cause of busy-bodies and dizzy hotties
That the preacher had souped up with lies
Had me cooped up lookin at loot, butt and thighs
During the service, he swallowed up the poor
And after they heard this, they wallowed on the floor
But I ignored and explored my history that was untold
And watched mysteries unfold
And dropped a jewel like Solomon, but never followed men
'Cause if you do your brain is more hollow than
Space oblivia or the abyss
With no trace of trivia left with the hiss
Does it pay to be deaf, dumb and blind?
From a slave we was kept from the mind
And from the caves he crept from behind
And what he gave was the sect of the swine
When the bible, it condemns the pig
I don't mean to pull your hems or flip your wigs
But we used to wear a turban, but now we're in the urban
No more wearing beanies and dress like the genie
No hocus pocus 'cause I focus on the facts
And put it on the tracks, embroid it through the wax
I speak on Jacob, it might take up some time
And too much knowledge, it might break up the rhyme
I did it anyway just to wake up the mind
Of those who kiss stones or prays on the carpet
Those who sit home or sell books by the market
Need to chill and get their mind revived
For years religion did nothing but divide

The Basic Instructions Before Leaving Earth
Life is a test, many quest the Universe
And through my research I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth
Life is a test, many quest the Universe
And through my research I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth

I strolled through the Books of Job to unfold
And open bibles instead of hoping on revivals
Calling on His name and screaming hallelujah
When he hardly knew ya, that's how the Devil fooled ya
See, look into my eyes brethren, that's the lies of a Reverend
Why should you die to go to Heaven?
The Earth is already in space, the Bible I embraced
A difficult task I had to take
I studied till my eyes was swollen and only arose when
I found out that we were the chosen
I deal with the truth and build with the youth
And teach my son as he kneels on the stoop
Son, life is a pool of sin corrupted with foolish men
And women with wicked minds who build picket signs
To legalize abortion, the evil eye distortion
I quiz son with my wisdom
Before I converted I was perverted and knowledge was asserted
The study of wisdom, I preferred it
The understanding, it gave me mental freedom
I even learnt Caucasian were really the Tribe of Edom
The white image of Christ is really Cesare Borgia
And uhh, the second son of Pope Alexander
The Sixth of Rome and once the picture was shown
That's how the devils tricked my dome
I prophesized to save a man, but no one gave a damn
For my nation, the seed of Abraham
Blessed with the tongue of Hebrew
Now we're strung on needles and some are plunging evils
So study and be wise in these days of darkness
Peace to my nephew Marcus

The Basic Instructions Before Leaving Earth
Life is a test, many quest the Universe
And through my research I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth
Life is a test, many quest the Universe
And through my research I felt the joy and the hurt
The first shall be last and the last shall be first
The Basic Instructions Before Leaving Earth

Thebes, city of lust and evil
Men deserve injustice
They deserve their cruel priests and evil gods, for we are vile
No more than a crawling disease on the face of the Earth
The grave is the only cure from our vileness",https://genius.com/Killah-priest-bible-lyrics
One Step,Heavy Mental,1998.0,"]
(Your arms too short to box with God...)
KP,  Iron Sheik
In these times we gotta take one step  forward 
Put one foot in front of the other , my brother
Yo, check this out

Early natives related to thrones of David
Captured by some patriots and thrown on slave ships
They stripped us naked while their wives picked they favourite
Lives were wasted in the hands of the hated
Driven from the Garden
Now we starving in the modern day Sodom, they call it Harlem
Worldly problems got us at the bottom
The Earth crisis had the righteous grab their ice picks
Seekin psychics for advices, I stay in ciphers
Our life is connected to the second son of Isaac's
Which had a tight grip on the heels of his brother, revealed to his mother
""The elder should serve the younger,""
 words heard in thunder
Down from under, rose and fled to grow in hunger
Now it's cold in summer, the soldier slumbers
Behold a number
600, 6 and 3 score
The same as Esau, who ate his meat raw
In the time before
They climbed aboard a dinosaur
Information held behind the doors
We came from the atmosphere, the physical trapped us here
Then they gave us crack and beer
In the back of the stairs, please adapt your ears
Add or subtract the years
And form the unwise and watch the sunrise from sunset
None slept, one flesh, one breath

One Step, One Flesh, One Breath
(Your arms too short to box with God...)
One Step, One Flesh, One Breath
(Your arms too short to box with God...)
One Step, One Flesh, One Breath
(Your arms too short to box with God...)
One Step, One Flesh, One Breath
(Your arms too short to box with God...)
One Step, One Flesh, One Breath
(Your arms too short to box with God...)
One Step, One Flesh, One Breath
(Your arms too short to box with God...)
One Step, One Flesh, One Breath
(Your arms too short to box with God...)
One Step, One Flesh, One Breath
(Your arms too short to box with God...)

Devil's marveled, they caught us playing with the gold marbles
We wrote novels, now we live life in the bottle
Before the Devil sold me to the unholy
He called my father Toby
, 
I live life amongst the lowly
The President just ordered the Navy to hit the borders of Haiti
Slaughtered babies from the waters of Euphrates
Maybe they sent germs that polluted our sperm
And made us live uncircumcised in the serpent eyes
And told us certain lies and each day a servant dies
But in the halls of Pharaoh, the walls are narrow
And religion is like a prison for the seekers of wisdom
Now Freedom, let's feed 'em, feed 'em
They took the first book of Jacob to Jamaica
Promised us 40 acres and a mule
Treated like an animal, understand the jewel
Brought to the 50 States
Deuteronomy 28, Verse 68, it all relates
1555 is when we first arrived
We tell jokes with some get high and watch the fish fry

One Step, One Flesh, One Breath
(Your arms too short to box with God...)
One Step, One Flesh, One Breath
(Your arms too short to box with God...)
One Step, One Flesh, One Breath
(Your arms too short to box with God...)
One Step, One Flesh, One Breath
(Your arms too short to box with God...)

One step, one, one step, step
One, one flesh, one, one step
One, one breath
One step, one step",https://genius.com/Killah-priest-one-step-lyrics
Heavy Mental,Heavy Mental,1998.0,"The mind,  
Heavy Mental
Jesus Christ is 
Heavy Mental
Everything brings in 
Heavy Mental
 day
The day you will experience something 
Heavy Mental
Never done, 
Heavy Mental
..

Information begins gathering
Starting to pattering the Stargate towards Saturn
Between the eye socket is where I will build my sky rocket
You don't need any passport, all you need is a thought
Suddenly, the soul becomes hot as coal
The flame blows from out my brain holes like a volcano
The brain begins the process
As we start the conquest from out the physical bondage
The thought launches
Voyaging 144 billion light years through the shadows of your imagination
Now open your eyes, do you see the flaming arrows aiming at pharaohs inhabitations?
As we begin the racing like a sparrow through the narrow population, seeking purification
The destination is the Holy Land of Bethlehem
Eat lamb with Abraham and break bread with Son of Man
So slowly, hold these hands and stretch forth from the skies like a rubber band
As we begin to snap you above the land out of the atmosphere
Don't look back, why? We're 
Almost There
Just try to prepare and adapt to the air pressure
Now we searching for the mental treasure
Pleasure beyond the measure of yards
You can't comprehend a god or the distance between stars
Picking up quasars inside the radar
As we're going far past any astronaut
Moving so fast in this aircraft everything we pass get hot
From the take-off, the blast turn the glass into rocks
At last, my supreme task was to no longer walk on green grass
Until I become a beam of gas and travel through extreme draft
Unable to be picked up through cable
Out of the reach of all manners of sky examiners
Heaven scanners, giant antennas and high tech space cameras
No evidence in any cemetery obituary
Not found in any library or dictionary or encyclopedia or media
I'm in star mode
 
with the discipline of Damo
I broke the U.S. bar code
Now I'm on Allah's road to journey into realms of the cosmos
Where only God knows or goes
Blow like the UFO to give up my work clothes
Only to glow with a holy robe and explode through the mysterious black holes
Deep warp through the outer zone without a phone to the unknown
To sit on my throne alone, 
Heavy Mental
The pilot on this galactic plane of knowledge
Through culture, my sculpture lights up in ultraviolet
So you can see my brain is symbolic to a palace
Therefore, I keep my hair stylish
My flesh solid and my teeth polished
Next stage, examine my x-ray
Take notes for your essay and let the cassette play for longer than a decade
As we begin to blaze through the Milky Ways
Repent from our filthy ways, replenish from the guilty days
The eyeballs swell up to size of eggs
Neon dreamland, wing span 7 feet
Between my eyes is the beak
Destination of the riders to reach is the peak
Angelical landscape will take the physical man behind the hidden gates of space
Ultimate escapes as we go through a phenomenal rate
As we cruise going into magnitude
As we break up into a multitude of molecules
Going through a long hollow tube with a scholar's view
As we wearing the white garment
Passing sound waves that's supersonic
Passing the comets, star clusters
Changing my physical structure till my lips begin to pucker
Kissing Christ at 
the Last Supper
Grabbing the brass cup of wine, (
Heavy Mental
)
I feel myself getting older
Sitting on my sofa in the position like yoga
Till my mind passes over the solar system
My wisdom novas, I am the controller
I begin to loosen up my shoulders
Forming each joint into the Sun's 8 points
Then I begin to rise like helium, escaping the Millennium 2000
Meditating to the soft notes of a violin
I've been on Mars
Building the holy synagogues
 for the royal seminars
Long before they had the renaissance, there existed a Hebrew lodge
Heavy Mental
A phenomenon from out of the matrix
The world looks at me with envy and hatred
Just because I appear to them half naked
Rising into a spaceship with an arm full of solid gold bracelets
A phenomenon from out of the matrix, 
Heavy Mental

Now the only time - 
Heavy Mental
The only time you should catch.. 
Heavy Mental
Only time, you could have jet lag is if your cassette drag
Heavy Mental
Barak ahthah Yahawah wa Yahawashi -  
Heavy Mental
Yo, just chill - 
Heavy Mental
Stop the tape - 
Heavy Mental
(STOP IT!) 
Heavy Mental",https://genius.com/Killah-priest-heavy-mental-lyrics
From Then Till Now,Heavy Mental,1998.0,"Peace Killah Priest (peace, wassup man?)
Chilling baby (I'm with you)
Yo, I wanna know what's going on
Ever since that Basic Instruction Before Leaving Earth
I wanna know what you gonna do for us right now
It's been a while baby, we waiting
I've just been chilling, been chilling
(I been in the lab writing and stuff y'know?
I just been on my, y'know, know what I'm saying on some)

Guns, shootouts and crack sales
Black males who pack jails, trapped in Hell
No peace, cold streets, surrounded by police
This whole week, buildings with no heats
No lights and gas pipes with slow leaks
Dog fights and lowlife throw dice
The whole night thieves creeping in the midnight evenings
We saw through the misty regions
Go to your house, take a vial for the demons
Moonlit, the lunar eclipse
Prophets stand in the midst of the seven candlesticks
I can't take it, beauty that was once sacred
Is now getting facelifts, fake tits
And fake lips, cold embraces
Memory erases, from the slave ships
My princess, I used to spot her from a distance
Holding my infant, burning incense
The moment intent for her to step into my white tents
Now we step in precincts for your ebony prince
The smell of frankincense, once treated like a Pharaoh
With royal apparel, anointed with myrrh and aloe
We used to wallow amongst the mallows
We had herd sheep and cattle, now we battle
Used to pass over brooks of Kidron
Towers of Lebanon, the pool of Gershom
We used to sing songs upon Mount Hebron
How is gold turned to bronze and shhh
How is gold turned to bronze
We was the wisest and the richest, now we turned to snitches
Women turn to bitches, in the time of harvest
We was the smartest, worshipped Wisdom like the Goddess
Now we act retarded, forsook the Wisdom of the Fathers
We used to have a thousand flagons of wine
In Palestine, now we drink Ballentine
And raise up in the violent mind
We used to have a hundred measures of oil
Eighty measures of wheat and barley, we live Godly
Listening to Bob Marley, before the devils robbed me
Chasing us through the African safaris

From Then Till Now
What goes up must come down
What goes down comes back around again
Where it all began, began, began, began
From Then Till Now, From Then Till Now, From Then Till Now
(repeat 2X)

Singing holy anthems, lamping with all my handsome grandsons
Hair long as Samson, inside my gold mansion
They used to wear purple Pampers
But now we Black Panthers, some are actors and dancers
It's funny how the dollar bill have my seeds holla for meals
Mother swallowing pill
Roads seem hollow but still, grab a bottle to heal
It's like a noose of seventh seal over Brownsville
What's the difference between the ghetto and death row?
I'm trapped up with kleptos, the Tec blows
I'm left to say a flow, where the cries echo
And echo and echo and echo and echoes
From the Crystal City, near Getti
Children used to grow on lilies, now they roll up Phillies
But the Pyramids of Cheops is my weed spot
Sometimes I eavesdrop in the books of Enoch
We went from studying epistles of Paul
Beneath a waterfall, rubbing crystal balls
But now we spray paint initials on the wall
On the wall, spray paint initials on the wall

From Then Till Now
What goes up must come down
What goes down comes back around again
Where it all began, began, began, began
From Then Till Now, From Then Till Now, From Then Till Now
(repeat 3X)",https://genius.com/Killah-priest-from-then-till-now-lyrics
Blessed Are Those,Heavy Mental,1998.0,"No monument will mark my resting place. I will leave only this, the story of my life. I have lived fully and deeply. I have tasted passion, crime and even murder. It is for you to judge me. You must weigh the good against the evil, the passion against the tenderness, the crime against the charity, the pleasure against the pain

It goes: life, difficult times and mad crimes
Some pay the price, while others refine
Blessed are those who struggle, God loves you
And Wisdom is the principle thing for Kings and Queens
(repeat 2X)

Many of lives will end, it's like a sad song from a violin
Trapped like Daniel's in the Lion's Den
Tryna pierce the iron skin of Leviathan
Souls blowing in the violent winds
God help us, if we die in sin
I hear the trials in the cries of men, that's when the riot begins
Like things never get better, we forever
Serving Nebuchadnezzar since the days of our ancestors
Slaves to a mad pleasure, building great architectures
Sharp dressers, smart professors
Start my lecture, I build lyrics like an art director
Show it to you like the film projector
Blessed Are Those who struggle, from day to day we all hustle
Coming home with sore muscles, scarred faces
Scuffed knuckles, we all share the same trouble
Separated couples, sometimes it seem like
There's no escaping, the clutches of Satan
Spending years in state pens, awaiting patient
Dreams of a scholarship, ended by a hollowtip
Politics and number slips

Verse Two: Killah Priest
Once shoved in ships, now we Bloods and Crips
Thugs with clips, niggas who love their cliques
Hit the clubs and shit so they can rub their hips
Hugs and flicks, niggas with drugs and whips
Cash Rules this Rotten Apple, they got a worm in it
Corrupt sinners, in my man's Jeep
With the windows tinted, sipping Guinness
Observing all the clinics and liquor spots
They make me lick a shot through the rooftop
I never seen the glory, in the ghetto it's the same story
Cigarette butts and cold coffee
Black faces and white mouths
They cry out, for the White House
Ain't no wealth shared, it's welfare
And poor health care, self scared
It's senseless, the way they got our black princess
On public assistance to end our existence

It's a blessing... to struggle
It's a blessing...
(repeat 2X)
Yeahhyeahhh, it's a blessing, just a blessing
It's a blessing... *fades*",https://genius.com/Killah-priest-blessed-are-those-lyrics
The Winged People, The Psychic World of Walter Reed,2013,"Do you really know? Or were you taught what you know?
Do you believe or do you know?
Is your faith blind?
Or is it bright as the Sun?

They were here before Adam, descendants of Anu
Took on mortal fashion, built themselves statues
In the image of themselves to worship themselves
Built towers to themselves to remind them of when they fell
They came from a station in space, an angelical race
Giant in stature, helmets and capes
That they wore, visiting this planet to explore
Long journey from their own because their race had war
It's said they called their planet Nibiru and that they were fallen heroes
They saw gold, saw trees and life more liberal
Astronauts with afros and locks
Jet beaming into a ziggurat, they crashed on rocks
1.21 gigawatt, some passed over crops
In the tablets of legend, they said they opened the floodgates of heaven
Describing ten monstrous brethren
Chopping up their grandparents into seven pieces
Now they're looking for a region, they traveled eastern
Found a garden called Eden, they saw a being
Forced to bow before Ba'al or be exiled with the tribe of reptiles
Now called the Rothschilds and X-Files
Life begins breathing hydrogen inside of high winds
Milky Way violins heard by the wise men, observed in Orion
The windows with no end, the black glass in the sea that extends
Within that sea exists carbohydrates, these gods were hybrids
That went back and forth 'till they mixed with star bread
In the foods of thought with proteins
Protons and Adams produced the whole gene
To infinity to density to matter to atom to cells to organisms
To metamorphism to waters of the living to bodies back to godly",https://genius.com/Killah-priest-the-winged-people-lyrics
Tai Chi,Heavy Mental,1998.0,"The Sunz of Mansion has been opened up
The door is open, yeah, yeah

It's 9-, beware of biochips
Our shit hits harder than slave whips like I waited to give tips
From Egypts to seaships to being chased by New York
Cops out the precincts and words was bricks
We building projects to pyramids, evil kid
I destroy your ass like London Bridge, smoke trees of weed
Take off the leaves out the twigs, pure truth is what I got to give
A lot to live for, you ain't rich before poor
It ain't peace without war, how would stand without a floor
Under, over, toxicated, sober, younger, older
You're elevated higher than a Empire State
Elevators I roll with creators and cremators
Stalking through this nature, the Heaven Razah
Capacity in your brains beyond the clouds of rain
Seven and a half are contained
Space was my birthplace, meditate in cocoons
Now see snakes in human costumes

Expand your mind (Expand your mind) (4X)
In time... in time...

Call this the blind man talk, cripple man walk
See nor hear nor summon Sasquatch
It's evident per segment that unseen beings
Speak no evil, the all eye seeing
Tapping into the worlds vision with the proper rhythmic meditation
Situation on lives from state to state
Rent to pay, state debate, contract dates
Cheddar in error, slave mental death to the treasure
Washing my robe in the blood of the lamb, constant plan
Never strayin New York cause I rock supreme on the block and never
Black bring on the axe spring the ghetto compact
Put em on tracks, and let's see how they act as the aftermath
Increase accelerate the Sun you had no radia-tion, to burn to ashes
Ain't one of the parties you been crashing
Bring the beat and I'mma slash it
My niggas make sure the doors have been barricaded
It's about to sign off, some shit you can read in ?block spin?
But make no mistake, devil players, penetrate with your smarts
Redrum mania reincarnate to another shape
Bomb flashes, what can happen, New Jack-in
Your rappin ain't the Magnum so when he cought up to half these
Niggas even stole the soul of the streets in motion

(Expand your mind)
Expand your mind (Expand your mind)
Seek and you shall find

Walkin through the pineal glands, like it was a unforeign land
Knowledge is the key to the mind which is a mysterious doorway
Through a long dark hallway
Use your conscious as a compass to avoid being conquered
By nonsense, use your subconscious as a map
Once it's time to head back use your food for thought
And leave bread tracks
Now we can see the third eye, swift as you burn fly
You need common sense as a detour
Up ahead there lies three doors for you to see more
You might have to meditate to the soft melodies from a keyboard
Understanding is your flashlight
It reflects the windows to your past life
No psychiatric could raid you from off the mattress
As you fall deeper, and it's hypnotized you better read my lips
Cause that's the guide, out the hallways of negative
Which is always competitive; therefore
You must never let it live

Expand your mind (Expand your mind)
Seek and you shall find",https://genius.com/Killah-priest-tai-chi-lyrics
Cross My Heart,Heavy Mental,1998,"(One two, one two)
No doubt
(The microphone's on)
Cross my heart, hope to die, word is bond
(I've been waiting along time for this)
Here we go, Killah Priest, '97, '98
Y'all know somethin'?

It's the Byzantine king, supreme
All kneel kiss the ring
 
into a Elohim
I blow steam from the families of the Maccabees
Smack emcees, watch 'em scream, ""Your Majesty!""
Make 'em suffer
 the capacity of tragedy
Hold the crowd down like gravity
Back the fuck off, stop grabbin' me, hands off me
Niggas start to bore me, I'm gettin' sleepy, I need some coffee
Me and my Wu-bandits, we bury niggas deep in the canvas
Body bandage like some mummies
You fucking dummies, you can't take nothing from me
It's the longest waited, the most anticipated, the album hesitated
Scream the name out, ""Killah Priest!""
I leave the blood spilling in the streets
I'm from the dark hills of Brownsville
The seven shields on windmills across the killin' fields
Never forget it, tell them rap critics
I speak in arithmetics, so they can never get it
I'm too scientific, lyrics explicit
I roll with thirsty niggas, thieves and killers
Tigers, gorillas, faces like Godzilla
We stomp rappers that smile like a car dealer
The God iller, cross my heart hope to die
We multiply, by the hundreds, drunken by the thousand
See me outside your show browsin', beating up your soundmen
Player haters and players, we give 'em cold stares
Any last prayers?

Concrete techniques, bomb beats that cause casualties
My faculty, hold it down like gravity
Rapidly 
threaten like weapons to adolescents
Ghetto residents
 
quick to past tense your present
State of the slums, kill for a plate of crumbs
Fake ones, they're coarse with smiles and snake tongues
I'm deep into this,I sometimes gasp for air
Deadly warfare, hot blocks, cops, and cold stares
Shots blare like fireworks on July the 4th
Weapons get tossed, fugitive slidin' off
My forces combine, new world, 2009
Digital criminals, we make mills in cybercrime
It's all planned ahead 2 times, 
I see the signs through a great mind
The heaviest chains could not bind

We stare you eye to eye, we tell the truth no lie
We cross our heart and hope to die, hope to die

High ranked officials in armed tanks with missiles
Blood drizzle, simple fact, you slept on the issue
That before you started jerkin' off Joysticks and Sega
I was rockin' off 100 watt amps in Cerwin-Vega
True fine tune it, ship enough units
MCs ask, ""Who be those rhyme killers in masks?""
No doubt, difficult task to last in the square
Beware, infinite amount of darts is in the air
I'm victorious with no opponents and blast through components
With microphonics, watch the whole world live the moment
Anything anti that came approachin' this
Our incapable love speech remains motionless

We stare you eye to eye, we tell the truth no lie
We cross our heart and hope to die, hope to die
We stare you eye to eye, we tell the truth no lie
We cross our heart and hope to die, hope to die
We hope to die..",https://genius.com/Killah-priest-cross-my-heart-lyrics
Atoms to Adam,Heavy Mental,1998.0,"Ohh ma, ma, ma, ma, wow, wow
I see chariots in the skies
Men and Earth looked surprised as they flow across the sky
And I see the light deep into the night
Up there on Mars among the stars in that distant land
Swift as light, we took our flight, the chosen people
Ohh ma, ma, ma, ma, ma, Lord, Lord
The reasons why we here
Ohh ma, ma, ma, ma, ma, woah, woah
The reasons why we here

Before being born without physical form, a void in the vast
My space voyage begins between the asteroid
Before I landed upon the planet, it looked abandoned
Lost and stranded
I became a force that demanded life laws took flight
One course of the night, searched for any source of life
Light was the know the ledge coming from the edge of the Universe
Went past the Moon to the Earth, then from the womb to the nurse
With a slight remembrance how I came from a distance
To an instant existence with 5 senses
The quest for man repentance
While others cried, I exercised my third eye by hearing a lullaby
Then I magnified inside and became intelligent and wise
Transformed from the celestial
Shot through a sexual terrestrial's testicle vessel
Small as a decimal where I nestle
Nine months later, special delivery, the Killah P-R-I-E-S-T
From the fetus to the cleavage, from atoms to Adams
From atoms to Adams, from atoms to Adams

I see chariots in the skies
Men and Earth look surprised as they flow across the sky
And they see the light deep between the night
Up there on Mars among the stars in that distant land

So I begin between the meteorite, now I walk like Christ
Except I'm not sacrificed by the righteous parasite
Searching for paradise which is the birthright
Of a celestial Nazarite with appetites to bite from the Tree of Life
To smite Edomites, Sodomite, Moabites in the land of Canaanites
Following 6 flaming lights burning over 1 million degrees Fahrenheit
Bright as neon beyond the satellites
The flight takes me over cattle stocks
Blocks of ice, I began to flock, flock, flocked
Flocked across Mecca with a vivid projector
Seeking my accepter, looking at Rebecca
Two sons bopping through Jerusalem like the hoodlum, aahh
Principalities enables me to see the other galaxies
Releasing all calories by 8 author biters and allergies
I'm the author and the writer of a biography with God prophecies and challenge Egyptology philosophies and Greek mythologies
Going through the glossaries of Socrates
With Pharisees and Sadducees
Going through geology with degrees
 
I contact the Hasmonean dynasty
Approximately 168 BC
Transform from the Wu Killa Bee into the families of the Maccabee
I can see every species in 3D and hear them clear as CDs
During my pilgrimage, I walked through the wilderness
I had the privilege to see the pyramids
Which gave me the will to live
To roam through the villages and heal the kids
Walk across a bridge strong as Farrakhan
As a voice echo like Sarah Vaughan across the great Amazon
Stretching out my hand like Yon till it reach Babylon
Behold the physic phenomenon, quiet storm
I wander out on horizon from the top of holy mount Zion
Holding a staff and turned into a python
Killah Priest a living icon
Sitting in the form of a pentagon in the center of the octagon
Walking from Tyre to Sidon to Lebanon to the walls of Hong Kong
Recite the 23rd Psalm, long gone before the crack of dawn
Dodging and weaving through the Garden of Eden without eating
Speeding, throbbing, lobbing, evolving all the regions

As they flow across the sky

Those that were uncivilized was chastised
While the civilized were baptised
Twelve Tribes began to rise like bees from the hive
Causing seeds with their wives
Starting apartheid as scribes carried the archives
Follow the star guide as we glide through the windows of the far side
Across the dark sky, then over the ocean tides
The unidentified flying object hovers the projects
Scenery, Gothic sky can pass for darkness
As the thugs transform into prophets, the body becomes cosmic
As the floor becomes carpet they rise from out the toxic
And the wasteland and the garbage
Where faces of various shades of chocolate
Dropping their narcotics and the pork sausage
No longer Hell's hostage
From atoms to Adams..
(as they flow across the sky..)
From atoms to Adams..
(as they flow across the sky..)
From atoms to Adams..
(ever see the light, deep into the night
Of daily mars among the stars
In that distant land...)",https://genius.com/Killah-priest-atoms-to-adam-lyrics
