title,album,year,lyrics,urls
Tunnel Vision,Painting Pictures,2017.0,"Glee
Southside
Ayy, lil' Metro on that beat

Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, ""Boy, make good decisions""
Right now I gotta keep a tunnel vision
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, ""Boy, make good decisions""
Right now I gotta keep a tunnel vision
They sendin' all my homies on a mission
And I ain't tryna miss out on these millions

I jumped up out the Wraith, Kodak bought a Wraith
I get any girl I want, any girl I want
She want me to save the day, but I ain't got a cape
She wanna see me every day, she wanna be my bae
That money make me cum, it make me fornicate, uh
I'm the shit, I need some toilet pap-er
Follow my player rules, then we gon' be okay
On the real I need a bih' who gon' cooperate

Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, ""Boy, make good decisions""
Right now I gotta keep a tunnel vision
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, ""Boy, make good decisions""
Right now I gotta keep a tunnel vision
They sendin' all my homies on a mission
And I ain't tryna miss out on these millions

I told you niggas I'm gon' be that fuckin' nigga
Everything be good 'til you doin' better than 'em
They wanna see a nigga shot or see me in the system
All you niggas out here poison like snake venom
Codeine in my liver, rockin' Balenciaga denim
I'm booted even when I'm sober, I don't need a jigga
They sendin' all my niggas on a fuckin' journey
I told that baby to come over 'cause I'm fuckin' horny
My mama told me, ""Kill these niggas, son, keep it goin'!""
I'm thug to the bone, but I'm still her baby boy
Lil' Kodak, boy, they hate to see you in a foreign
They miss when you was in that 'Yota kickin' doors

Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, ""Boy, make good decisions""
Right now I gotta keep a tunnel vision
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, ""Boy, make good decisions""
Right now I gotta keep a tunnel vision
They sendin' all my homies on a mission
And I ain't tryna miss out on these millions",https://genius.com/Kodak-black-tunnel-vision-lyrics
No Flockin,Heart Of The Projects,2014.0,"Damn, that's so sad
KKK, KKK

Young nigga, I got old cash, spazzin' on they ass
I got Prada on my ho ass, got my last one mad
Pop a nigga like a damn tag, shoppin' on they ass
I just bought a new old Jag, yeah, it's so fast
Smokin' flocka, you a jackass, all I smoke is gas
Don't you ask me where the pole at, where yo' clothes at?
I ain't talkin' 'bout my niggas, dammit, but y'all trippin', too
Is it you? Damn, my nigga, what the hell got into you?
Project Baby, y'all was skippin' in the hallway, I was skippin' school
On my Ps and Qs, on them jiggas, call me jiggaboo
Bleedin' concrete, bet you niggas won't come 'cross the street
Pardon me, Ion't talk to you so don't you talk to me
I ain't dissin' on nobody, B, I'm vibin' on the beat
Honestly, I'm just tryna be, I just gotta be
Tryin' to get over on anything, they tellin' lies to me
I spent five on my pinky ring, she love my diamond ring
Anyway, I'm married to the game, she said her vows to me
I ain't gettin' on my knees, bae, you bow down to me
You go down for me, you lay down and do the time for me
Sorry, boo, yeah, I lied to you, but don't you lie to me
It's Lil Kodak, the finesse kid, boy, who hot as me?
Told the doctor I'm a healthy kid, I smoke broccoli
I will run around your whole board like Monopoly
Ol' boy, you's a broke boy, flocka's got you beat
Chocolate, call me Reese's, can't catch me without the piece
C'est la vie, I'm ten toes down, you fallin' off your feet
I will trick yo ass for a treat, call it Halloween
Yeah, that money's what I play fo', call it lottery
Goddamn, you's a clown to me, you's a clown to me
You can't smoke no Black & Milds with me, get in the car with me
You a funny guy, don't you even joke around with me
How could it be? Get from 'round a G, you grounded from me
I'm a freeband junkie, you a junkie
You gettin' skinny, I'm gettin' chunky, gettin' money
Want some food? Boy, you hungry, I want them hundreds
Hundreds",https://genius.com/Kodak-black-no-flockin-lyrics
Roll in Peace,Project Baby 2,2017.0,"Ayy, everything be like, off the top these days like
(We got London on da Track)
These days, I don't even know what a pad is these days, ya know?
Yah, ya-ya-ya-yah
Fuck that ho 'cause she a nat nat

You ain't the one for me, baby
You ain't got shit I need, bitch
You want me to take my time with you
Well maybe I'm not your speed bitch
Maybe I'm out your league, bitch
You ain't even got no cheese, bitch
Maybe I'm just too G for you
Or maybe I'm just too street, bitch

I can't even roll in peace (Why?)
Everybody notice me (Yeah)
I can't even go to sleep (Why?)
I'm rolling on a bean (Yeah)
They tried to give me eight
Got on my knees like, ""Jesus, please""
He don't even believe in Jesus
Why you got a Jesus piece?
If you wanna leave, just leave, but you ain't gotta lie to me
Even the blind can see (Fuck)
That you ain't gon' ride for me
You ain't even showing me the love you say you got for me
There ain't no loyalty, you lied to me
You said that you gon' ride for me

Baby, that's blasphemy, yeah
Baby, you're bad for me, yeah
Say you gon' clap for me, yeah
Say you gon' blast for me, yeah
Why you ain't show me none of the love you say you have for me? Yeah
I was goin' through tragedy
Bitch, I needed you drastically, yeah
I'ma just switch my flow up, yeah
Maybe I'm sick, no throw up, yeah
Maybe I'm sick, no check up, yeah
Boy, you need to run your check up, yeah
I'm eatin' on you niggas, no ketchup, yeah
I'm eatin' on you niggas, can't catch up, ayy
Hit her face down with her ass up, ayy
Even when I'm fucking, I'm masked up, ayy

You ain't the one for me, baby
You ain't got shit I need, bitch
You want me to take my time with you
Well maybe I'm not your speed bitch
Maybe I'm out your league, bitch
You ain't even got no cheese, bitch
Maybe I'm just too G for you
Or maybe I'm just too street, bitch

I can't even roll in peace (Why?)
Everybody notice me (Yeah)
I can't even go to sleep (Why?)
I'm rolling on a bean (Yeah)
They tried to give me eight
Got on my knees like, ""Jesus, please""
He don't even believe in Jesus
Why you got a Jesus piece?
If you wanna leave, just leave, but you ain't gotta lie to me
Even the blind can see (Fuck)
That you ain't gon' ride for me
You ain't even showing me the love you say you got for me
There ain't no loyalty, you lied to me
And you say that you gon' ride with me

I ain't gon' do the nigga shit 'cause I'm too good for features, huh
I ain't gon' fuck the nigga bitch 'cause I know she a eater, huh
Last time I wifed a bitch, she told the world I beat her, huh
And when they locked lil' Kodak up, my nigga, I couldn't believe it, huh
Ayy, lil' shawty, pop my whoadie
Pockets on Pinocchio, poking, yuh
Hit her from the back, damn, that bitch bleeding
Said that I knocked her period on
Remember when I had that poker, huh
Instead of looking over my shoulder, huh
Forces with a nigga, no Yoda, huh
That mean a young nigga got woo on me (Ayy)

You ain't the one for me, baby
You ain't got shit I need, bitch
You want me to take my time with you
Well maybe I'm not your speed, bitch
Maybe I'm out your league, bitch
You ain't even got no cheese, bitch
Maybe I'm just too G for you
Or maybe I'm just too street, bitch

I can't even roll in peace (Why?)
Everybody notice me (Yeah)
I can't even go to sleep (Why?)
I'm rolling on a bean (Yeah)
They tried to give me eight
Got on my knees like, ""Jesus, please""
He don't even believe in Jesus
Why you got a Jesus piece?
If you wanna leave, just leave, but you ain't gotta lie to me
Even the blind can see (Fuck)
That you ain't gon' ride for me
You ain't even showing me the love you say you got me for me
There ain't no loyalty, you lied to me
You say that you gon' ride for me, ayy

I'm in London, got my beat from London",https://genius.com/Kodak-black-roll-in-peace-lyrics
ZEZE,Dying to Live,2018.0,"D.A. got that dope!

Ice water, turned Atlantic (Freeze)
Nightcrawlin' in the Phantom (Skrrt, Skrrt)
Told them hoes that don't you panic
Took an island, (Yeah) flood the mansion (Big water)
Dropped the roof, more expansion
Drive a coupe you can stand in (It's lit)
See the bitches undercover (In the sheets)
I'm an ass and titty lover (Big ass)
Guess we all made for each other
Now that all the dawgs free (Yeah, yeah)
And we out in these streets (Alright)
Can you do it, can you pop it for me?

Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)

Offset!
Blow the brains out the coupe (Boom)
Police wanna talk, but I'm on mute (Woo-woo, hey)
I'ma bust her wrist down 'cause she cute (Ice, ice)
Fuck her on a yacht, dive in a pool (Yeah)
She an addict (Addict), addict for the lifestyle and the Patek (Patek)
Big daddy, have you ever felt Chanel fabrics? (Chanel)
I be drippin' to death, I need a casket (Drippin')
And we got more stripes than the ref, he foul, TEC him (Bow, stripes)
In the middle of the field like David Beckham (Field, bow-bow)
All my niggas locked up, for real, I'm tryna help 'em (Free, free)
When I got a mil', got me the chills, don't know what happened (Hoo, chills)
Pop pills, do what you feel, I'm on that zombie (Hey, hoo)
I'm more like Gaddafi, I'm not no Gandhi (Gaddafi, hey)
I'm more like I'm David, Goliath runnin' (Hey, hey)
Niggas be clonin', I find it funny (Clone, haha)
We from the Nawf, straight out of the dungeon (We from the Nawf, hey)
I go in her mouth, she can't tell me nothin' (Eghck, eghck, egchk)
300, the watch is out of your budget (Woo, woo, 300)
Mean-muggin' got me clutchin'
Yeah, and this stick right out of Russia

Ice water, turned Atlantic (Freeze)
Nightcrawlin' in the Phantom (Skrrt, skrrt)
Told them hoes that don't you panic
Took an island, (Yeah) flood the mansion (Big water)
Dropped the roof, more expansion
Drive a coupe you can stand in (It's lit)
Bitches undercover (In the sheets)
I'm an ass and titty lover (Big ass)
Guess we all made for each other
Now that all the dawgs free (Yeah, yeah)
And we out in these streets (Alright)
Can you do it, can you pop it for me?

Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)

In a Hellcat 'cause I'm a hell-raiser
Self-made, I don't owe a nigga nann favor
When you get that money, nigga, keep your heart
I'm slidin' in a coupe, ain't got no key to start
I got the fire on me in BET Awards
When your well run dry, you know you need me for it
When I pull up in the Buick, you know what I'm doin'
If the police get behind me, I'm fleein' and eludin'
Sleepin' on the palette turned me to a savage
I'm a project baby, now I stay in Calabasas
Like I still serve fiends, like I'm still jackin'
I be sippin' on lean, tryna keep balance
Hit that Z-Walk, Dickie's with my Reeboks
I don't say much, I just let the heat talk
Your jewelry water whip, diamonds like re-rock
My lil' baby ride the dick like a seesaw
When I stepped up on the scene, I was on a bean
When I jumped up out the Beam', I was in Celine
Baby girl, you just a fling, that ain't what I mean
Money bustin' out my jeans like I do the scheme

Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)

Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh",https://genius.com/Kodak-black-zeze-lyrics
SKRT,Heart Of The Projects,2014.0,"Girl, I'm done with you (With you)
Girl, we done, it's through (Girl, we done)
I hit that nigga for the work (I finessed his ass)
Stick and move and then I skrt, skrt, skrt, skrt, skrt (Ooh, I'm gone)
What is up with you? (What is up with you?)
I thought I said I'm done with you (I thought I said it's over)
Fuck my school and fuck my teacher, too (I will fuck you over)
Sniper on the roof, he playin' peek-a-boo, skrt, skrt
(He will knock you over)
 
Skrt, skrt, skrt (Skrt, I skrt, skrt)
Jump in that jag, skrt, skrt, skrt
(Ooh, Kodak, skrt, skrt, skrt, skrt, skrt)
Skrt, skrt, skrt (Skrt) Ah, ah, skrt, skrt

When I say I keep the poker, I ain't talkin' 'bout no beans
Project baby, you know I got baby bottles full of lean
I've been through so much of shit this shit'll make a nigga sing
I remember rockin' Bugle Boy, now rock designer jeans
God dang, you just like my chain
, you just like to swing
It 1k, I got 22k and all my niggas bling
Hit the club on them jiggas, you know all my niggas geeked
You'd think I'm 'bout to smack yo bitch, I made her hit her knees
Met this plug, I was talkin' 'bout he put that thing on me
I finessed him, ain't got time to let you run no game on me
Like I'm workin' out, life done dropped a lot of weight on me
I've been busy, I've been workin' hard so don't you hate on me
You my dawg then just be my dawg and don't you change on me
Don't you switch, don't you change on me, switch lanes on me
I was in that jag, now I'm pullin' up in that Range on me
I ain't in no gang, but if you run up, I'm gon' bang homie
(Kodak let it spray)

Girl, I'm done with you (With you)
Girl, we done, it's through (Girl, we done)
I hit that nigga for the work (I finessed his ass)
Stick and move and then I skrt, skrt, skrt, skrt, skrt (Ooh, I'm gone)
What is up with you? (What is up with you?)
I thought I said I'm done with you (I thought I said it's over)
Fuck my school and fuck my teacher, too (I will fuck you over)
Sniper on the roof, he playin' peek-a-boo, skrt, skrt
(He will knock you over)
 
Skrt, skrt, skrt (Skrt, I skrt, skrt)
Jump in that jag, skrt, skrt, skrt
(Ooh, Kodak, skrt, skrt, skrt, skrt, skrt)
Skrt, skrt, skrt (Skrt) Ah, ah, skrt, skrt",https://genius.com/Kodak-black-skrt-lyrics
There He Go,Painting Pictures,2016.0,"Ayy, ayy, ayy, ayy
(DJ Swift on the Track)
Ayy, ayy, ayy, ayy, Kodak
(Dubba AA Flex)
Glee
(It's-it's the sound)

Look, every time you see me I'm surrounded by them snipers
You ain't never run off with a hustler in your life, huh?
I'm from 1800, I'm a hot boy, but I'm iced up
Ugly corner where we smile with you and we don't like you
Just hopped off the plane, I just got out about a day ago
Everybody love me, when they see me they be like, ""There he go!""
Got me a new lady, we 'bout to take a trip to Mexico
Crackas took my .40 so I'm 'bout to go buy a Draco

Ayy, Lil Kodak on the beat I got that bass, hoe
Ayy, boy, I drop that shit that they be waitin' for
I like the Bimmer but I'm 'bout to go cop a Wraith tho'
I done peeped your true colors, boy, you a rainbow
I got Space Jams on my feet, I'm on the moon
I'm really lit, so I ain't gotta use no auto-tune
Yeah, I'm the shit, but you know damn well I ain't number two
I'm in this bih' around some niggas who ain't got nothin' to lose
But shawty got that head, she got that fire brain
She know I love the head, I love that migraine
You ain't never run off with a boss ain't ya?
She know a nigga be stuntin' like a Power Ranger

Every time you see me I'm surrounded by them snipers
You ain't never run off with a hustler in your life, huh?
I'm from 1800, I'm a hot boy, but I'm iced up
Ugly corner where we smile with you and we don't like you
Just hopped off the plane, I just got out about a day ago
Everybody love me, when they see me they be like, ""There he go!""
Got me a new lady, we 'bout to take a trip to Mexico
Crackas took my .40 so I'm 'bout to go buy a Draco

These ain't Ray-Bans, these Saint Laurent shades, ho
The way my niggas hit your block, you'd think it's Halo
No more home invadin' now, I'm on the radio
I don't even like to fuck, I only want fellatio
I done jumped out to that bag, baby, check my swag
Money fallin' out my ass, I got a lot of cash
Ayy, everybody runnin', nigga got a gun
I ain't makin' beats but the Draco got a drum
I don't wear no fuckin' Yeezys, I got too much sauce
Like I don't believe in Jesus, how I triple cross
I ain't even brush my teeth, but I'm on the block
I ain't even brush my teeth, all I do is floss

Every time you see me I'm surrounded by them snipers
You ain't never run off with a hustler in your life, huh?
I'm from 1800, I'm a hot boy, but I'm iced up
Ugly corner where we smile with you and we don't like you
Just hopped off the plane, I just got out about a day ago
Everybody love me, when they see me they be like, ""There he go!""
Got me a new lady, we 'bout to take a trip to Mexico
Crackers took my 40 so I'm 'bout to go buy a Draco",https://genius.com/Kodak-black-there-he-go-lyrics
Skrilla,Heart Of The Projects,2014.0,"Rrrah, rrrah, uh
Sniper Gang, 1800

In the club boppin' with my niggas (Kodak bop)
All of us rockin' on 'em jiggas (On them Mollys)
You ain't talking money, I don't hear ya (Shhh, I don't hear ya)
You ain't gotta touch me, I don't feel ya (Nigga, I don't feel ya)
That skrilla, that skrilla, boy, I'm 'bout my skrilla (I'm 'bout my skrilla)
All my niggas monkeys, we gorillas (We gorillas)
All my niggas clutchin', we some hittas (Hittas)
Birds on my timeline, call it Twitter (Tweet, tweet, tweet)
I'm in the club boppin' with my niggas (Kodak boppin')
All of us rockin' on 'em jiggas (Mollys)
You ain't talking money, I don't hear ya (Boy, be quiet)
You ain't gotta touch me, I don't feel ya
That skrilla, that skrilla, boy, I'm 'bout my skrilla (I'm 'bout my skrilla)
All my niggas monkeys, we gorillas (Yeah, we gorillas)
All my niggas clutchin', we some hittas (Boy, we some hittas)
Birds on my timeline, call it Twitter (Tweet, tweet, tweet)
That skrilla, that skrilla, boy, I'm 'bout my skrilla
We ain't fuckin' with you niggas (Uh-uh)

I'm comin' through, me and all my boys smokin' loud
I ain't hearin' you, Kodak bring the noise
Every year, Christmas day, I ain't wanna play with toys
Project baby, came from Hot Wheels to ridin' in a foreign
And my diamonds come from Tokyo, yoin, yoin, yoin
Power high come from Tokyo, I call 'em ching choing
Money grow on trees, show me where they grew that, bitch
You could have a fine ass girl, you'll switch-a-roo that bitch
Boy, you know that, it's Lil Kodak, you already knew that shit
I'm bout my cheese, cheddar chip, that codeine my medicine
From the Noya, 1800 block, yeah, I represent
I got lots of guap, thats why I'm arrogant (Ten toes down)

I'm in the club boppin' with my niggas (Kodak bop)
All of us rockin' on 'em jiggas (On them Mollys)
You ain't talking money, I don't hear ya (Shh, I don't hear ya)
You ain't gotta touch me, I don't feel ya (Nigga, I don't feel ya)
That skrilla, that skrilla, boy, I'm 'bout my skrilla (I'm 'bout my skrilla)
All my niggas monkeys, we gorillas (We gorillas)
All my niggas clutchin', we some hittas (Hittas)
Birds on my timeline, call it Twitter (Tweet, tweet)

I'm pullin' up on yo ass, you owe me somethin'
Early mornin', ridin' round, gettin' that money
I ask them for a plate, they left me hungry
So I'm out here wildin' out with my youngins
I need that skrilla, this lil' nigga love that fetti
I be smokin' broccoli, mama told me eat my veggies
Polo down, got me in here flexin', call me Ralph Lauren
I was in the projects stressin', I was still riding foreign
And I wrapped my wrist with VVS, and now I'm in here pourin'
You know the kid finessin', he's a savage young boy
I took so much of losses, man, it's sad (That's so sad)
My mama used to dig all in my stash (In my stash)

I'm in the club boppin' with my niggas (Kodak boppin')
All of us rockin' on 'em jiggas (Mollys)
You ain't talking money, I don't hear ya (Boy, be quiet)
You ain't gotta touch me, I don't feel ya
That skrilla, that skrilla, boy, I'm 'bout my skrilla (I'm 'bout my skrilla)
All my niggas monkeys, we gorillas (Yeah, we gorillas)
All my niggas clutchin', we some hittas (We some hittas)
Birds on my timeline, call it Twitter (Tweet, tweet, tweet)
That skrilla, that skrilla",https://genius.com/Kodak-black-skrilla-lyrics
Codeine Dreaming,Project Baby 2: All Grown Up,2017.0,"Yeah, yeah, yeah
I take that one all the way up
I'm about to take off on these niggas, man
And I'm codeine dreaming
(And I'm codeine dreaming, and I'm codeine dreaming
And I'm codeine dreaming, and I'm codeine dreaming)

I might take off on you peons and go away to Venus
I'm a star so I put a neutron on my pinky
I'm moonwalking but my Christian Louboutin's bleeding
I'm smoking moonrocks, shawty, and I feel the ceiling
I might take off on you peons and go away to Venus
I'm a star so I put a neutron on my pinky
I'm moonwalking but my Christian Louboutin's bleeding
I'm smoking moonrocks, shawty, and I feel the ceiling

I'm in Uranus right now, I think I seen a demon
I thought I left you back there in the cell or am I dreamin'?
Say I ain't dealing witcha, dawg, I'm going a different way
I broke up with my redbone, I went the milky way
I'm ridin' in a Wraith, feeling like I'm outer space
Stars on my sunroof, Planet of the Apes
I couldn't wait until they released me, right back on the turf
I took off on you bustas, left you right on planet Earth
I feel like Jimmy Neutron, how I blast off on a verse
I know my son gon' like this song so I ain't finna curse
Know he gon' wanna explore the world so I'm gon' show him first
Say we just distinguished  beings, baby, me and you diverse

I might take off on you peons and go away to Venus
I'm a star so I put a neutron on my pinky
I'm moonwalking but my Christian Louboutin's bleeding
I'm smoking moonrocks, shawty, and I feel the ceiling
I might take off on you peons and go away to Venus
I'm a star so I put a neutron on my pinky
I'm moonwalking but my Christian Louboutin's bleeding
I'm smoking moonrocks, shawty, and I feel the ceiling

And I'm codeine dreaming, and I'm codeine dreaming
And I'm codeine dreaming

'Bout to take off on you peons and go back to Mars
'Bout to leave these peons behind like the Jackson 4
Tried to moonwalk on the moon and had to wax the floors
Tried to put me in a box and then I crashed the Porsche, err!
'Bout to wake up in your biatch and go back and forth, yeah
Got her trapping out the the Fiat, she be back and forth, yeah
'Bout to put myself together, take it back apart, yeah
Got the codeine on my breath, it smell like caviar, yeah
Codeine dreams and they come true too
That's my spaceship, brp-brp!
My milky way got pregnant, she said it's for you-hoo
FaceTime Kodak with my new new, I left you 'cause he knew you
I'm wet dreaming 'bout Actavis, two new cups feel like new boobs
Tunechi

I might take off on you peons and go away to Venus
I'm a star so I put a neutron on my pinky
I'm moonwalking but my Christian Louboutin's bleeding
I'm smoking moonrocks, shawty, and I feel the ceiling
I might take off on you peons and go away to Venus
I'm a star so I put a neutron on my pinky
I'm moonwalking but my Christian Louboutin's bleeding
I'm smoking moonrocks, shawty, and I feel the ceiling

'Bout to go to Saturn, heard they got the baddest species
You can hit me on my Galaxy, you tryna reach me
I went to Mars to get some Xanax bars to go to sleep
I'm in my Orange space shuttle flyin' two seats
I left Future in Pluto 'cause that boy was too geeked
End up playing Sudoku all the way in Mercury
I took too much of shrooms feel like I'm on Neptune
I'm with an alien, she show me what that neck do
And I'm a metamorphosis, you just a regular dude
You need a space suit to get up on this latitude
If she ain't foreign, then she boring, I need a Zorcon
You takin' morphine, homie, you a moron

I might take off on you peons and go away to Venus
I'm a star so I put a neutron on my pinky
I'm moonwalking but my Christian Louboutin's bleeding
I'm smoking moonrocks, shawty, and I feel the ceiling (Yeah)
I might take off on you peons and go away to Venus
I'm a star so I put a neutron on my pinky
I'm moonwalking but my Christian Louboutin's bleeding
I'm smoking moonrocks, shawty, and I feel the ceiling (Yeah)

And I'm codeine dreaming, and I'm codeine dreaming
And I'm codeine dreaming",https://genius.com/Kodak-black-codeine-dreaming-lyrics
Transportin’,Project Baby 2,2017.0,"Pockets so fat, call me orbit
Norbit, I mean
Ain't gotta wait to make no moves 'cause I be loaded

Ain't gotta wait to make no moves 'cause I be loaded
Why you out here drinkin' 40's, I just tote it
Still that same nigga in a foreign, but it's stolen
Ridin' sporty, actin' sporty, I can't control it
I'm doing fraud, got that bag, yeah, I'm transportin'
I got that bag on me, nigga, like I'm Jansportin'
He dropped his mixtape, thought I woulda repost it
I ain't post his mixtape 'cause I don't fuck with shorty

I be booted to the morning, PM to the morning
My lil' woadie wanna bag him, he just want a Rollie
Hold up nigga, don't you owe me? Yeah you owe me, don't it?
Like I'm in Islands of Adventure how I stay rolling
Tryna diss me
I leave you six feet
She say she miss me
She wanna kiss me
Damn, I’m so crispy
Xans got me dizzy
Try me I ain't shy
I keep that Glizzy
I was spendin' (Yeah, yeah)
Frisbee
What the lick read?
Baby, come and lick me
V12, how I'm ridin' in the 6 speed
I be ballin' on you niggas out of this league

Ain't gotta wait to make no moves 'cause I be loaded
Why you out here drinkin' 40's, I just tote it
Still that same nigga in a foreign, but it's stolen
Ridin' sporty, actin' sporty, I can’t control it
I'm doing fraud, got that bag, yeah, I'm transportin'
I got that bag on me, nigga, like I'm Jansportin'
He dropped his mixtape, thought I woulda repost it
I ain't post his mixtape 'cause I don't fuck with shorty

Yeah, that Glock got extended like a outlet
How you outchea?
I ain’t catch you out yet
I’m so damn fly, I do not step
Yeah, I pop molly and I pop checks
I don't know where I'm goin', I'm just floatin'
My dawg got gun license but he let me hold it
All these niggas phony, I do not condone it
I be goin' ham, I do not baloney
It's a Kodak moment, yeah
Bought it 'cause I wanted it
I be on the corner, yeah
Fuck the law enforcement
Project Baby got no stroller but I keep pushin'
Shawty love for me to choke her when I'm in that pussy

Ain't gotta wait to make no moves 'cause I be loaded
Why you out here drinkin' 40's, I just tote it
Still that same nigga in a foreign, but it's stolen
Ridin' sporty, actin' sporty, I can't control it
I'm doing fraud, got that bag, yeah, I'm transportin'
I got that bag on me nigga, like I'm Jansportin'
He dropped his mixtape, thought I woulda repost it
I ain't post his mixtape 'cause I don't fuck with shorty",https://genius.com/Kodak-black-transportin-lyrics
Too Many Years,Lil B.I.G. Pac,2016.0,"I done gave the jails too many years
Years that I won’t get back
And I swear I done shed too many tears
For niggas that I won’t get back
Yeah I got niggas in the graveyard
Niggas in the state yards
I swear not a day goes by
That I don’t think about the times
I wish that I could rewind
‘Cause I done gave the jails too many years
Years that I won’t get back
And I swear I done shed too many tears
For niggas that I won’t get back
Yeah I got niggas in the graveyard
Niggas in the state yards
I swear not a day goes by
That I don’t think about the times
I wish that I could rewind

I told my mama we gon’ be fine
So I’m up all night way after sleep time
I’m just thinkin’ ‘bout Lil Kuda
Gave my dog a dime
He put a buckshot in a nigga’s behind
No daddy so I grew up to the street life
But my son, I’ma keep him in the beehive
Scheming on a heist, I need to change my life
Been geekin’ all night, I’m going senile
With two niggas toting three 4-5’s
I seen a nigga play gangsta, then he broke down
Lost a lot, lost his mind in the courthouse
I’m on XXL, I’m in New York now

I done gave the jails too many years
Years that I won’t get back
And I swear I done shed too many tears
For niggas that I won’t get back
Yeah I got niggas in the graveyard
Niggas in the state yards
I swear not a day goes by
That I don’t think about the times
I wish that I could rewind

I keep thinkin’ ‘bout my niggas
I think I need a jigga
I would keep on falling victim
Lost up in the system
Miss my brothers and my sisters
Damn I miss my lil one
I know sometimes I be tripping
But I just miss my niggas
I got codeine in my liver
I gave the judge a piece of me
I’m too street for the industry
But I think that’s where I need to be
‘Cause verbally, mentally, and physically I keep that heat
Me and my brother fit in
We smoking one with PnB
Niggas say they fuck with me
But lowkey they be easin' me
Bitches don’t mean shit to me
People tryna sentence me
How a youngin’ posted on the street, gon’ call it Sesame
1K ‘til the death of me, don’t put your life in jeopardy

I done gave the jails too many years
Years that I won’t get back
And I swear I done shed too many tears
For niggas that I won’t get back
Yeah I got niggas in the graveyard
Niggas in the state yards
I swear not a day goes by
That I don’t think about the times
I wish that I could rewind",https://genius.com/Kodak-black-too-many-years-lyrics
