title,album,year,lyrics,urls
Sex Style,Sex Style,1997.0,"""Now the first drop of juice is there for her to see
Honey, that's when she backs off and just lick her teeth...""

(Sex style!) Niggas want it free
They dogs drink my piss (Girls wanna see)
(Sex style!) Niggas want it free
They dogs drink my piss (Girls wanna see)
(Sex style!) Niggas want it free
They dogs drink my piss (Girls wanna see)
You want freestlye, that's right, the style is free
Niggas suck my dick and they girls drink my pee
I'm on some S&M shit you can't get with
Pull your panties down on stage and watch you sweat quick
Suckers back to pull they style is transsexual
Lesbians dance with the funky heterosexual
You on the mic, and when you rhyme I start to jerk off
Let my dog lick you German Shepherd want to bust off
I tear your legs and spot MC's having anal sex
Step around like a Tampax, and step up next
I enter New York, no problem with my dick out
California porno star, my ass you can lick out
Saying ""What?"" with sperm dripping down your partner's butt
I see MC's in my face with their ass up
Let me put my cape on, my rubber and my mask up
Not no horror-core shit, this is porno-core
I'm in the club naked man, I'm the fucking pro
Niggas can't wax no ass, girls should let them know

(Sex style!) Niggas want it free
They dogs drink my piss (Girls wanna see)
(Sex style!) Niggas want it free
They dogs drink my piss (Girls wanna see)
(Sex style!) Niggas want it free
They dogs drink my piss (Girls wanna see)
Back I wreck shit, so what nigga? I masturbate
See your girls' cocked back, her legs tied like a figure eight
I'm on stage getting sucked by 
Madonna
Sticking pipes in your ass, you stop the freestyle drama
I pioneered this shit, you keep on sucking dick
Your girl's in the crowd, hawking me for a naked flick
I got my silk underwear for the atmosphere
Piss in your face and urinate all in your hair
You name a group that's shit, I will pooper-scoop
Fuck with this, miss, I will damage on the premises
Niggas step back with Dax grease, watch their ass twist
I rhyme anywhere, golden showers up in Greek Alley
Movie star bitches, MC's lining up in Cali
Drinking vodka, Absolut, sipping Tanqueray
Mc's jump off, I stung your rectum like a stingray
Girls heinie-wipe, MC's say my shit is hype
Pussies collapse, I'd rather fuck 'em with a cordless mic
Come ride the horse, pull your panties off and pay the cost

(Sex style!) Niggas want it free
They dogs drink my piss (Girls wanna see)
(Sex style!) Niggas want it free
They dogs drink my piss (Girls wanna see)
""May they beat his balls with a ten-pound hammer
'til his asshole whistle the Star-Spangled Banner.""
Now the nurse is here, 
Dr. Butcher
 to your anus
I don't care who your are, and if you think you're famous
You could be waxed, seventy-five fucking rap groups
Bisexuals on stage eating Fruit Loops
Sugar Smacks, I got the rhythm for your ass cracks
Bring your girl, she fantasize in my sex world

(Sex style!) Niggas want it free
They dogs drink my piss (Girls wanna see)
(Sex style!) Niggas want it free
They dogs drink my piss (Girls wanna see)
(Sex style!) Niggas want it free
They dogs drink my piss (Girls wanna see)",https://genius.com/Kool-keith-sex-style-lyrics
Livin’ Astro,Black Elvis/Lost in Space,1999.0,"Yeah
Every morning I wake up, lookin' in the mirror
I am the original Black Elvis
That's right, when you see me with my wig to the side
Wearin' my short leather jacket
Marilyn Monroe on my back
I'm livin' that life
I'm for real with this
That's what I think about
I like to tell my fans

I got my shades on, big rock star compared to Elvis
Signin' autographs for rappers while girls move they pelvis
Write songs strictly for Elton John or Lionel Richie
Call up my butler, get clothes washed by the maid
Ivory soap, dishes clean, feel like Cascade
I count the bills, roll through Detroit in Sedan DeVille's
I throw my skully on, big robe like Marvin Gaye
Step in the front row, primetime I move your way
Budweiser Fest soundcheck, demanding your respect
I come correct through the Metro, and turn y'all petrol
I'm up here early bitin' donuts, sippin' on espresso
While you sleep, I creep, gainin' ground by the week
Ampex reels, makin' phone calls, I'm closin' deals
I move with skill, ride through Philly streets and Cherry Hill
I'm doin' it well, I'm doin' it swell
Yeah

Flying saucers, spaceships move at warp speed
MTV level three when I fly on BET
Livin' astro, tell me how you feel
One two, one two

Movin roughly, straight to the desert, San Antonio
I talk swift the Rock King Black Romeo
I pack clubs, promoters put me out in Tokyo
Damage your area, I'mma launch a fierce missile
I roast fools, movin' butt like I'm toilet tissue
What is your issue? You over man, I don't miss you
Scottie soft, you play like Jan Van Breda Kolff
New Jersey Nets real man, you ain't no Darnell Hillman
Bald head like Slick Watts, I run rap like Mayor Koch
Forward your info while Tony Liu crank the Benzo
Move out your driveway while girls look, turn they eyeway
Jealous in fact, tryna rip the capes off my back
I move with timing, potential, through instrumentals
Y'all front on BET with slum gold, drivin' rentals
I get real dino, runnin' groups like a rhino
Endin' careers, that's my job, yo your rap is final
Cancel your in-stores, your new job is moppin' floors
Fixin tiles, stoppin' potholes up on the roof
You work for service no tips man I speak the truth

Flying saucers, spaceships move at warp speed
MTV level three when I fly on BET
Livin' astro, tell me how you feel
One two, one two
Flying saucers, spaceships move at warp speed
MTV level three when I fly on BET
Livin' astro, tell me how you feel
One two, one two, one two

Pull your hoods down, I bumrush your afterparty
Have your manager scared, the radio station saying sorry
Pack your bags, I move my luggage to the coliseum
Infinite prime piece with statues in the rock museum
Changin' my zones, drinkin' cocktails on cellular phones
I tour with Anthrax through Texas with the Rolling Stones
Booked by the agency, famous artists payin' me
Hotels with fly room with sneakers starin' at the moon
Mad atmosphere, ridin' first class on British Air
Lobster and steak, while y'all back in time, doin' remakes
I'm futuristic, nine-nine, to the year 4000
I make announcements, drop skills, then I bounce with
Fly young ladies, AMG kicks, two thousand Mercedes
Brand new models, only seen one in Colorado
Light green metallic in the Shark Bar, eatin' salad
Lorenzo wheels, valet park, shoppin' in Beverly Hills
Step up your wildest spaceship kid in the Plymouth Prowler
Comin' down

Flying saucers, spaceships move at warp speed
MTV level three when I fly on BET
Livin' astro, tell me how you feel
One two, one two
Flying saucers, spaceships move at warp speed
MTV level three when I fly on BET
Livin' astro, tell me how you feel
One two, one two
Flying saucers, spaceships move at warp speed
MTV level three when I fly on BET
Livin' astro, tell me how you feel
One two one two",https://genius.com/Kool-keith-livin-astro-lyrics
Super Hero,Feature Magnetic,2016.0,"It's superhero vision; sonic—listen
It's superhero vision; sonic—listen
It's superhero vision; sonic—listen
It's superhero—

JVC is nice
I've been around Japan
It's electronic, calls me Viktor
High on the scales, off the Richter
The media say I'm mature, check me out on Wikipedia
Coach them off their walkers
Let them walk again and run and speed up
I come from a place where superheroes meet up
The X Men drinkin' tea watchin' chicks with D cups
Spiderman saw Doctor Oct spittin' off the top of a New York City bus
City Island eatin' shrimps
Throwin' fries in water to swans and ducks
It'd be wrong to the universe if I drive with a monster green Lamborghini up
All the 5s come out to reunite, throw their beanies up
I molest cholesterol, you's a fine tune abuser
The Yankees lost but the blue and orange team amuse us
I could make a million rappers whisper and hush
Cold Stone ice cream, you don't have to lick that much
They hold my balls, easy soft touch
Throw your ladies some bucks
The reindeers jump out, you need that antler juice
Ski hat with the mommy goose

It's superhero vision; sonic—listen
It's superhero vision; sonic—listen
It's superhero vision; sonic—listen
It's superhero—

Vik' in the sick captain's pilot suit
Designed by Travolta out his mind
Is in the mind of another culture vulture
Threw him from Tulsa to this dimension
Right on time for the heroes-hustlers convention
It's no admission, you gotta be on the list
Play your position, peon, against the metal fist
He's on a purely secular mission
Stroll through wearin' the DOOM Clarks, second edition
Web slinger need a beat, well black him out
Flank him out, test his spidey senses on his bank account
For illest mention he hermaphrodite whose pants was tight
Who dance aight
Gave it to Puck from Alpha Flight
The mask was bright as lightnin'
Same type of shinin' got them Teen Titans fightin'
Sippin' on that She-Hulk milk, at least she said it was milk
In a Hello Kitty catsuit, I bet it was silk
Grabbed the award for bein' hella raw
Of course he scored the relic for
Until next rhyme, y'all—Excelsior!

It's superhero vision; sonic—listen
It's superhero vision; sonic—listen
It's superhero vision; sonic—listen
It's superhero—",https://genius.com/Kool-keith-super-hero-lyrics
Sexy Girl,The Personal Album,UnKnown,"Sexy girl!
Okay-double-oh-L, Keith
Sexy girl! Sexy, sexy~!
Sexy girl! Sexy, sexy~!
Sexy girl!
Sexy girl in sheer panties, I'm the driver in your life
I love to steal panties, the more closer you are near panties
Observin your home amateur VHS tape
I love the around the house motion pictures you make
Your neighbor with whip cream, your legs smeared with Duncan Hines
Your thighs meet my fingers, I taste the thing
The fudge, the great chocolate cake, Niagara Falls is not needed
I'm above the swimming pool dressed up like Dracula
I'll bite your neck by the lake
The script's a natural, I can't beat Paramount Pictures
The backdrop behind Capitol Records is fake
Girl you're beautiful, how do you control your weight?
(How do you control your weight?)
Sexy girl! Sexy girl! Sexy, sexy~!
Sexy girl! Sexy, sexy~!
Sexy girl!
Home alone, touchin yourself in different places by the phone
After midnight the blacklights flow you're in the love zone
The microphone adjusted to the love tone
Keys to your heart, you've now completed the task
Gimme the secrets to your combination, the captain and the boss
Got your bra in my hand, the guidance counselor, your life I own
Your official support, every time you cry and moan
I brought the freak out of you, the way you neck the leak out of you
My desire for you ain't false, everything I write about is true
Your favorite singers are old to me
They're primitive, stuck in time, I'm brand new
Sexy girl! Sexy, sexy~!
Sexy girl! Sexy, sexy~!
Sexy girl!
Over and over, don't get me wrong
While you walk around and pace the floors in your satin thong
Between the sheets - you have the electric feelings reach
Pullin my lips to your fruits of passion
Two pineapples in my face, my tongue taste the tip of your peach
I send flowers to doors, UPS packages circulate the streets
When I celebrate the victory, Jergens lotion glaze your feets
With my hand palmin each bun, I'ma show you girl
The police officer badge, the uniform and handcuffs will make you have fun
Kneel down to your kitten bowl
Your rearview is awesome, I watch the lips unfold
Sexy girl!
Sexy girl! Sexy, sexy~!
Sexy girl! Sexy, sexy~!
Sexy girl! {*echoes*}",https://genius.com/Kool-keith-sexy-girl-lyrics
Plastic World,Sex Style,1997.0,"""Yeah, Kool Keith should keep it real
He should(en't) rap about space and Mars...""

Yo, I'm tired of looking at everybody. Same boots, skully hats in
90 degree weather, looking to get into clubs for free. I'm not
Smoking blunts, or looking for jazz records at the Roosevelt
I left New York, the city itself was stress depression
High boots and urban beats, that wasn't my direction
Producers filtering join in with R&B
A million rappers, some clones trying to sound like me
Biting my space styles, biting my horror-core
All I saw was little Kool Keiths, on my tour
Record companies, I G'd-off all my royalties
Watching vinyl spin, local groups' wack MC's
Some try to rap with that perpetrate mobster crap
Karl Kani jeans
, 
fat stomachs in the limosines
Mixtapes by wack DJ's, as doo doo play
I'm on the turnpike, the city drifting down the highway
Like a mirage, the style there is all illusion
On videos out of town, peoples spot confusion
Rolling high with caps pulled over down my eye
Since I been out, y'all can't see
Chorus x2:
Is the world made of plastic?
Is the city buried in dreams? (Yeah)
Is the world made of plastic?
Cause that's the way is seems (Owww)
Watching TV so bored, while imbiciles hold the mic cord
Graffiti playgrounds are played out, yo how'd that sound?
Army fatigues are weak, is for the minor leagues
No rapping cyphers or brothers in the rented Benz
Crews on stage, acting hard with a thousand friends
I saw the place turn plastic
, crack heads looping beats
People with no deals, walkmens rappin on the streets
I turned my back, 90% of the city sounded wack
Payola scams switch DJ's like a rubber band
Everybody clear with beats trying to be Premier
Clearing your samples, your SP-12 fake examples
My money grosses with green from my own label
While you act rich with no cash on the bigger label
Your tri-state ways are shut down by barricades
In fact I pack my bags, and listened to 
E-40
Mac Mall
, 
C-Bo
, and other rappers you don't know
You're narrow-minded in styles of mine you won't find it
My sound proceeds with Moog and undertone bass
No comic gimmicks with beats rapping in my face
I come back real, solid rock razor steel
Tappin your program, show the world I'm the man
You copy Poppa Large
, the industry is robbed
Chorus x2
As I do see soda, wack, rugged beer commercials
Some rappers are bought and puppeteered like the Ninja Turtles
From 
Manhattan I heat up, yo light up Times Square
I make noise like open high hats on your cheap snare
No promotional shows, girls wear corn rows
People with hooded sweaters on crack keep me on my toes
I walk with straw hats and glasses in the projects
Bring my ghost image so tense on the line of scrimmage
Playing my numbers, waiting for the Five to come
Spaghetti out the window, people acting dumb
Fire hydrants wet the neighbors, your family's nosy
I come and go as I please on blockhead MC's
You bought sneakers, no car, scrambling on the corner
I'm not the star you are, the city's fallen far
My mechanism, you're on my tip
Stay off my penis, you've duplicated me for years
Yeah, yeah, yeah, you are the one
Chorus x2",https://genius.com/Kool-keith-plastic-world-lyrics
Take Off Your Panties,The Personal Album,UnKnown,"Coming Thursday, at the New Orleans Superdome
With special attraction, Kool Keith
Straight from the Bronx, New York City
Tickets, go on sale now

Take off your panties
Let me see your G-string, let me see, what you got
Take off your panties, let me see your G-string
Let me see, let me see

Girl it's been a long time, since I saw you
Don't you know I adore you
Lick your earlobes like candy
I love the turquoise and the silver silk panties
Take you on a trip, not the Bahamas, a room in the Marriott
A elegant martini with Calvin Klein pajamas
The camera ready to film and take pictures
Act like a exotic dancer tonight, I'ma get wit'cha
Take you out of the boring mode to high scoring mode
Explore your private sensation, put you on a new road
Get you in the new life, leave the old ideas down
Go 'head work the pole (work the pole girl)

Take off those panties; let me see, what you got
Take off those panties; let me see, what you got
Take off those panties; let me see, what you got

With the love I have for the baby lotion
The tub water runnin your lingerie is stunnin
Exceptionally gorgeous, the princess bedroom set
I purchased for you, you thought I couldn't afford this
The best massager, you need the best kiss
Dreams come true, you make your best wish
By the time the morning light shines
The teardrop cheeks begin peeking through the window blinds
Last night I was delighted hearing your moans and sighs
Erotic adventure with the mint green mascara around your eyes
Work that pole, pole, pole (girl work that pole baby)

Take off those panties; let me see, what you got
Take off those panties; let me see, what you got
Take off those panties; let me see, what you got

A four week vacation in Mexico
I taught you everything, you can't let me go
You cry when I eat it though
Scream out your orgasms when I'm heated though
Run my fingers through your hair extremely so
You can dance for me and act like you in a go-go
Together in Manhattan we walk through SoHo
You dial my phone and tell me I'm home solo
Relax by the bed, I see you in fire engine red
The mask over your eyes, latex police had on top of your head
Submissive and kinky, you can't resist everything I said
(Work that pole girl)

So baby take off those panties; let me see, what you got
Take off those panties; let me see, what you got
Take off those panties; let me see, what you got",https://genius.com/Kool-keith-take-off-your-panties-lyrics
Black Elvis,Black Elvis/Lost in Space,1999,"Yeah!
For the 2000 (2000)
Black Elvis (Black Elvis)
We get raw with this (hand me my guitar)
Tour bus packed (tour bus packed)

Black Elvis, recordin in the 48-track studio
Madison Square Garden soundcheck, to speak direct
Fans in the upper level, backstage passes
Wearin diamonds around my glasses, leather coat
Thirty thousand from Wilson, countin the mill's
I'm talking to Andre Harrell with a chaffeur drivin me around
In the green Rolls Royce, parked parallel, on Fifth Avenue
Steppin in Bloomingdale's, waitin for Celine Dion to get her nails done
Tour dates start tommorrow, MCI send the cash through Wells Fargo
Black Elvis, 28 G's a night
Tour bus with the Motley Crue, who gon' stop who?
Rock star don't need no tattoo
Guitar out of the sharp, Fender bass with the Stratocaster
With Prodigy, Rage Against the Machine, flyin over the Atlantic ocean
With the potion

Black Elvis, rock star, walkin down Broadway
What y'all thinkin about?
Black Elvis, rock star, walkin down Broadway
Chillin in the project hallway

Tour bus, painted neon green with black wheels
We do big wheels, count big head Franklin bills
Movin up that's when I'm Black Elvis at the Civic Center
Promoter book venues that are too small, ignore the call
Seventy thousand jam packed arenas
With rock fans wearin backpacks
Merchandise sell nice gold shirts with red lights
Sponsored by Dial soap and a Heineken
The biggest rock star gon' rhyme again
Roadie cases for eight months, Samsonite suitcases
Rappers comin home with no money on the red eye with dead eyes
Stadium tickets, watch scalpers get wicked
Pull up in my limo ejecting your demo (your demo)
Stretch lamborghinis with four doors, with four floors
Followin right behind yours, basic Continental
Get out your rental before I get mental
(Yeah baby)


Huge signs on highways, you see the biggest advertisements
I'm at Tim Mandelbaum's office getting my next assignment
Walk in the Sony building, grab checks
Stop in a Hilton, Warner Brothers/Chapell on the back
Of my royalty statements, my name is Matthew
Three apartments on the West with 200 songs
Five minutes each on Ampex reels
At the Shark Bar chewin billionaire meals
At the Apollo, can you digest?
I'm a hard act to swallow
With a Paris France model, with a real estate agent
That's building me a kid's playground in Denver, Colorado
Vacation unknown when I'm speakin 3-way with Roberto Duran
And Sugar Ray Leonard on the cellular phone
Upstate Connecticut, hold you rap style with a better grip
(I'm a rock star now)",https://genius.com/Kool-keith-black-elvis-lyrics
Little Girls,Sex Style,1996.0,"Yo Keith man
I just turned off the TV man
Kids out there be thinkin they hardcore man
We gotta do somethin man, yo
Do it
{Little girls.. think they're hardcore..} (4X)

You got nine cars, tons of champagne, by the cases
Two thousand people killed, fake murder cases
Videos exaggerate things you never make
Your style is all tissue, chocolate fudge cream cake
The companies back you, people out there wanna slap you
Original fraud, funny with a mic cord
Persuadin kids that you hard, every stage you tour
Cold scared you in a motel, you can't come out
After the show, with panties on, you hurry run out
You petrified hallucinatin thinkin hardcore
You got the style now, you have to roll with 50 people
Lookin hard and mean, you ain't pullin triggers
Did you pay your bodyguards, for actin hard?
You get pistol-whipped, booty tapped, face scarred
Down and out, with camouflage gear, and no war
You ain't in the army kid..
{Little girls.. think they're hardcore..} (3X)

Now your show's packed up, you're gassed up
I'm there you're scared
You just turned trois, looked away feelin weird
You on the walkie talkie standin close near the door
Thinkin bout your records how you pop doo-doo more
Posses wait in Texas, Detroit for the bumrush
You bringin rubber, your crew is nervous smokin dust
You perpetrate your front, show your teeth, smokin blunts
Rappers cancel shows, ran away with stunts
Your manager scared, with ghetto mugs starin at him
Your crew pressured more, to even act harder
You took New York, down South them folks, wasn't havin that
Three kids from D.C. pulled out, what you laughin at?
You ran out, funny style, girl style, panty style
Freestyle the same style last week
You was bitin off that kid Bo Peep
With no panties on, your rectum got torn
Rearranged, I caught you after the show
Naked out, butt out, cracked out, with two rolls of film
Tryin to sell pictures of your lover
With you, molestin your little brother
I smacked you and stole your pistols
{Little girls.. think they're hardcore..} (4X)

Tommy, didn't I raise you to go to Catholic school?
But mom, I gotta keep this up, this is all a front
This is just gimmicks to sell my records
The people don't have to know
I mean really, that's just me, even though we're soft
Me and my friends all of us
We just make money, that's all, it's a gimmick",https://genius.com/Kool-keith-little-girls-lyrics
Keep it Real... Represent,Sex Style,1997.0,"Yeah, rappers, spread your cheeks
Pull your panties down
Take your wig off, let me see your bald head
That's right, I got you on Kodak
Your pictures are goin out to Black Tail
You're gonna be a star
Yeah..
I heard you quit rap, your wife went back to porno flicks
You turned drag queen, a call girl doin tricks
Nighttime prostitute kid, I'mma take your loot
I heard you queer now like Boy George, blowin flutes
With high heels, you stole your mom's birth control pills
You on some new stuff, I heard about that sex change
You got a vagina, your grandmother think it's strange
New eyeliner, you was flirtin with a gay designer
Your girl felt mines, and pulled off her Calvin Kleins
I saw Tampax, gonorrhea red stopsigns
I looked at her and said, ""Mmm.. put your panties back on""
Then jerked off to Foxy Brown, when her verse was on
I wanna stand back and bust nuts at your butts
Your girl is cocked up, with lollipops, doggie style
I feel I'm dealin with plastic, watch these fake smiles
Yeah, meet my left and my right
Keep it real.. represent what? My nuts (2X)

I got utensils, back up kid, yo guard your rectum
I'm crazy out here, mental man, don't respect him
You now in pain, your mom just had the abortion
Big head Boo, I put some roaches on your whole crew
Have you scared with crack pipes, your family throwin doodoo
Wear out your welcome, your little girl sex desires
Have you handicapped, some friends of mine blow your tires
Like Alfred Hitchcock, the ghost stands on your block
With nine mil's for drug addicts, I keep triggers cocked
You on some methane, my witchcraft is on your brain
Blow out your headpiece, and break out quick on the plane
Seal up your coffins, and celebrate with champagne
Get my drink, Absolut, cranberry juice
Paranoid by rug spots, you see the purple moose
You smokin sherm or what? I paralyze that butt
Lick my d-head, you girls still pee in the bed
Yo take that wig off, yo punk let me see that caesar
Keep it real.. represent what? My nuts (3X)

I gets more wreck, than ? kids in baby's Pampers
Your wife is banned for leavin bras in my hampers
That heffer's ugly, plastic why you still bug me
I'm on Melrose, Nicole's takin sun strolls
Black girls with weaves, white girls with flat butts
With the name H-O-M-O spelled in your name
You was a woman one time, man I know your game
With panties stuck up, sweat leakin in your crotch
Collard greens you wet pig, you can't eat that much
I shut you down, your whole face two o'clock
Have your girl on sunset, in Denny's suckin cock
With white pumps up, blonde wigs rottin in the trunks
That homeless monkey, Barbie doll crystal junkie
I'm no joke and have respect for your kinfolks
Tie your tubes back, my scope is on your asscrack
You got paid for doodoo, that package rap was wack
Yeah yeah, you know what? Yeah
Keep it real.. represent what? My nuts (4X)
That's right, nine-six and seven (Reverend Tom)
Representin the scrotum (Octagon)
All the hairs under the testicles (The SharkMan)
Lick.. (Kool Keith)
Yeah, don't buy The Basement Tapes
Sheisty things going on, somebody's on the pipes
Labels foldin, goin down in ninety-six
Nobody play the records
City's out, no Tuff, Tuff.. pity",https://genius.com/Kool-keith-keep-it-real-represent-lyrics
Make Up Your Mind,Sex Style,1997.0,"Yeah.. so you called me last night
You was kinda confused huh?
You didn't know what to do
All excited over these football players and baseball players
Whassup? You lookin for a million dollars or somethin?
Man you kinda confused
Freak mode! I'm in the set, so let em feel
Touch my private, my thing made of steel
Shootin gism, she ride like a Geo Prism
I'm out in Cali, San Bernardino Valley
I'm on the hill, not North in Peekskill
Big Willie servin, now tell me how you pimps feel
I'm in the Cadillac, drivin in a droptop
People don't know my style, watch when they heads bop
I'm on the highway, girls pull em down my way
Credit cards and checks, man she get paid on Friday
The woman's out, the Phantom pushin more clout
I'm watchin him with Sam, drinkin Guinness Stout
Bourban booze, green alligator shoes
Union comissioned sex, government intelligence
What you see girl, that Benz is irrelevant
Materialistic, ugly man is plastic
No class, in a suit, cost rather cheap
Got the nerve to blow the horn and he try to beep
Interfere, in my spot, and he's comin near
She's in the white boots, breathin in my ear
Chorus: Kool Keith
Make up your mind, who you want to pump the butt (4X)

No infections, condom style, I got no yeast
Worldwide trunk funk, no jazz on the East
Breakin honies down, mackin here to Petersberg
Virginia Slim, turn the freaks out in Lynchburg
With brown bootie, Joe Smith, hit from Pittsburgh
The right player, even if I choose odds
Let me shuffle jackpots, women pick the cards
Your hydraulic butt, bounce like a six-trey
I'm on the case, jealous man steppin in my way
Hot pursuit, why she play herself? Get the boot
Actin like Troop, he say he signed with a group
He wrote for Babyface, did songs, toured with Snoop
.. lyin to you to get through
Droppin them old lines, his breath smell like doodoo
I got a style if a brother wanna know
Smokin that stank blunt, you still sniffin blow
Nose runnin on time with green slime
Step in the club, I throw urine on your mind
Big Luciano, diamond rings on the grand piano
Girls flock and guys hop on the other jock
I'm in a two-door, with bass comin through your block
Sound kicks, I got the fly broads in the mix
California butt, MC's suckin more what
Like Gerald LeVert, you try to make it work
Jheri Curl Jones, spendin cash on a skirt
Plan to win, whassup with Uncle Ben?
Brother is slab, fatback bacon
Still fakin, his voice chords achin
You know I'm perplex, exotic on Ampex
Dogstyle champ, hittin booty for butt sex
I can't disguise myself like Michael Jackson
The flasher, are you ready for action?
Chorus: Kool Keith
Make up your mind, who you want to pump the butt (3X)
Make up your mind, who you want to pump it

I got a summons, my clothes is off, I'm butt-naked
In a discotechque, don't tell me ladies can't take it
Just to have my drawers in a overcoat
My El Dorado lean, the black Caddy float
Down the hill with Frankie Dolla Bill
Honies in red zone, tell me how them drawers feel
Suckin on the hippie, on the Mississippi
Econo Lodge, a cheap way to get a quickie
Five and five, equal ten
Add twenty up, I'm back in the spot again
Blowin it up, I drop my own bomb
Two big green mitts, and tails on my arm
You in my way my man, yo B excuse me
I didn't call your girl, why accuse me?
I think you're insecure, not sure
If your girlfriend's home, if she's knockin at my door
Back in your ride, no apartment, no place to wash
You can't clean, (tell em black)
He don't know yet, my discipline, how to act
Stack with fume, and twenty-four flicks
You can't win, takin shots like the Knicks
I'm old enough with skills to be your daddy
Go ask grandma, your freaky Aunt Sally
Pretty woman standin there with a ugly man
I don't wanna shake his hand
Chorus: Kool Keith
Make up your mind, who you want to pump the butt (6X)
Make up your mind, who you want to pump it",https://genius.com/Kool-keith-make-up-your-mind-lyrics
