title,album,year,lyrics,urls
Basketball,Ego Trip,1984.0,"They're playing basketball
We love that basketball
They're playing basketball
We love that basketball

(Now rapping basketball -- Number 1, Kurtis Blow)
Basketball is my favorite sport
I like the way they dribble up and down the court
Just like I'm the king on the microphone
So is Dr. J and Moses Malone
I like slam dunks, take me to the hoop
My favorite play is the alley-oop
I like the pick-and-roll, I like the give-and-go
'Cause it's basketball, uh, Mister Kurtis Blow

They're playing basketball
We love that basketball
They're playing basketball
We love that basketball

I used to go to dinner, then take the girl
To see Tiny play against Earl The Pearl
And Wilt, Big O, and Jerry West
Play basketball at it's very best
Basketball has always been my thing
I like Magic
, 
Bird
, and 
Bernard King
And number 33, my man Kareem
Is the center on my starting team
(To the hoop, y'all, watch out, watch out
In yo' face, now here comes the rest)

Clyde
, Rick Barry, 
and Pistol Pete
Now these players could never be beat
Isiah
, and 
Iceman
 too
Just give 'em the ball, and then you chalk up two
Dantley and Wilkins are on the scene
And Ralph Sampson is really mean
Bill Russell didn't take no junk
And Darryl Dawkins got a monster dunk

Tell me, were you in the joint
The night Wilt scored 100 points?
Or when Celtics won titles back-to-back
And didn't give nobody no kind of slack?
Or when Dr. J shook the whole damn team
With moves that came right out of a dream?
Or when Willis Reed stood so tall
Playing D with desire? It's basketball!

They're playing basketball
We love that basketball
They're playing basketball
We love that basketball

I get the ball and then I go and play
Like a superstar in the NBA
The forwards, the centers, and all the guards
The ones you see on the bubblegum cards
Me and homeboy would go one-on-one
'Cause playing the game is a lot of fun
Sit by the TV and watch 'em all
'Cause Kurtis Blow is rapping basketball",https://genius.com/Kurtis-blow-basketball-lyrics
The Breaks,Kurtis Blow,1980,"Clap your hands everybody
If you got what it takes
'Cause I'm Kurtis Blow and I want you to know
That these are the breaks

Brakes on a bus, brakes on a car
Breaks to make you a superstar
Breaks to win and breaks to lose
But these here breaks will rock your shoes
And these are the breaks
Break it up, break it up, break it up!

If your woman steps out with another man
(That's the breaks, that's the breaks!)
And she runs off with him to Japan
(That's the breaks, that's the breaks!)
And the IRS says they want to chat
(That's the breaks, that's the breaks!)
And you can't explain why you claimed your cat
(That's the breaks, that's the breaks!)
And Ma Bell sends you a whopping bill
(That's the breaks, that's the breaks!)
With 18 phone calls to Brazil
(That's the breaks, that's the breaks!)
And you borrowed money from the mob
(That's the breaks, that's the breaks!)
And yesterday you lost your job
(That's the breaks, that's the breaks!)
Well, these are the breaks
Break it up, break it up, break it up

Throw your hands up in the sky
And wave 'em round from side to side
And if you deserve a break tonight
Somebody say alright!
 (All right)
Say ho-oo! (Ho-oo!)
You don't stop
Keep on, somebody scream! (Owwwww!)
Break down!

Breaks on a stage,
 
breaks on a screen
Breaks to make your wallet lean
Breaks run cold and breaks run hot
Some folks got 'em and some have not
But these are the breaks
Break it up, break it up, break it up
Break down!

To the girl in brown, stop messing around
(Break it up, break it up!)
To the guy in blue, whatcha gonna do?
(Break it up, break it up!)
And to the girl in green, don't be so mean
(Break it up, break it up!)
And the guy in red, say what I said
(Break it up, break it up!)
Break down!

Brakes on a plane,
 brakes on a train
Breaks to make you go insane
Breaks in love, breaks in war
But we got the breaks to get you on the floor
And these are the breaks
Break it up, break it up, break it up
Break down! Yo!

Just do it, just do it, just do it, do it, do it!
Just do it, just do it, just do it, do it, do it!
Just do it, just do it, just do it, do it, do it!
Just do it, just do it, just do it, do it, do it!

You say last week you met the perfect guy
(That's the breaks, that's the breaks!)
And he promised you the stars in the sky
(That's the breaks, that's the breaks!)
He said his Cadillac was gold
(That's the breaks, that's the breaks!)
But he didn't say it was 10 years old
(That's the breaks, that's the breaks!)
He took you out to the Red Coach grill
(That's the breaks, that's the breaks!)
But he forgot the cash and you paid the bill
(That's the breaks, that's the breaks!)
And he told you the story of his life
(That's the breaks, that's the breaks!)
But he forgot the part about...his wife! Huh! Huh!
(That's the breaks, that's the breaks!)
Well, these are the breaks!
Break it up, break it up, break it up!
Break down!",https://genius.com/Kurtis-blow-the-breaks-lyrics
Christmas Rappin’,The Best of Kurtis Blow,1979.0,"'Twas the night before Christmas, and all through the house
Hold it now! Wait, hold it. That's played out. Hit it!

Don't you give me all that jive about things you wrote before I's alive
'Cause this ain't 1823 -- ain't even 1970
Now I'm the guy named Kurtis Blow and Christmas is one thing I know
So every year just about this time, I celebrate it with a rhyme
Gonna shake it, gonna bake it, gonna make it good
Gonna rock shock clock it through your neighbourhood
Gonna read, gonna sing it till it's understood
My rappin' bout to happen like a knee you've been slapping
Or a toe you've been tapping on a hunk of wood
Bout a red-suited dude with a friendly attitude
And a sleigh full of goodies for for the people on the block
Got a long white beard, maybe looks kind a weird
And if you ever see him, he could give you quite a shock
Now people let me tell ya bout last year
When the dude came flying over here
Well, the hog was out, snow's on the ground
Folks stayed in to party down
The beat was thumping on the box, and I was dancing in my socks
And the drummer played at a solid pace
And a taste of the bass was in my face
And the guitar player layed down a heavy layer
Of the funky junky rhythm of the disco beat
And the guy with the 88's started to participate
And I could sure appreciate a sound so sweet
We were all in the mood so we had a little food
And a joke, and a smoke, and a little bit of wine
When I thought I heard a hoof on the top of the roof
Could it be or was it me? I was feeling super fine
So I went to the attic where I thought heard the static
On the chance that the prance was somebody breaking in
But the noise on the top was a reindeer clop
Just a trick St. Nick, and I let the sucker in
He was rolly, he was poly, and I said, ""Holy moly!
You got a lot of whiskers on your chinny chin chin""
He allowed he was proud of the hairy little crowd
On the point of his jaw where the skin should've been
Gets cool for a fool going out every Yule
For a day on a sleigh when the cold went low
So the beard may be weird but I'll never have it sheared
Cause it's warm in the storm when it's ten below
I said, ""You're right, it's cold tonight
But can you stop for a drop before you go?""
He said, ""Why not if the music's hot?
And I'll chance a dance beneath the mistletoe""
So he went downstairs and forgot his cares
And he rocked the spot and danced like a pro
And every young girl tried to rock his world
But he boogie oogie oogied til he had to go
And before he went, this fine old gent
Brought a gift with a sift through his big red bags
In the top or the bottom, he reached in and got 'em
Toys for the boys, for the girls glad rags
And the grownups got some presents too
A new TV and a stereo
A new Seville 'bout as blue as the sky
The best that money couldn't buy
'Cause money could never ever buy the feeling
The one that comes from not concealing
The way you you feel about your friends
And this is how the story ends
The dude in red's back at the Pole
Up north where everything is cold
But if he were right here tonight
He'd say, Merry Christmas and to all a good night",https://genius.com/Kurtis-blow-christmas-rappin-lyrics
If I Ruled The World,America,1985.0,"If I ruled the world
I'd love all the girls
Wear diamonds and pearls
If I ruled the world

If I ruled the world, was king on the throne
I'd make peace in every culture, build the homeless a home
I'm not running for Congress or the President
I'm just here, to tell the world, how my story went
You see - first it was a dream, I was living in Rome
And then I moved to London, bought a brand new home
And everywhere I went, I drew lots of attention
Like a stretch limousine, one of those new inventions
It took a few years 'fore the day had come
But I was ruler of the world ranked #1
So I headed towards Washington to claim the crown
Let the whole world know that the King was in town
As I arrived the crowd started to cheer
And then someone yelled out, ""The King is here!""
So I headed toward stage to make a speech
About the new style of living I was gonna teach, uh-huh

If I ruled the world (huh huh, huh huh huh)
I'd love all the girls  (I'd love em love em baby!)
Wear diamonds and pearls
If I ruled the world

People started flowing as they reached for my hand
I said, ""Thank you for bringing me to the Promised Land
But now I must go, so goodbye to everybody
Tonight I'll see you all at my Super Dinner Party""
And late that night, at my Super Dinner Party
I was dancing to the beat and entertaining: ""La-Di-Da-Di""
The music started ending, it was time for a speech
The crowd started sitting as I rose from my feet
And this was once a dream; I explained to the crowd
But now, I rule the world, and I feel, so very proud
Excuse me please for stopping this show
I just had to thank you all, huh, and me so
My first day in office, the King on the throne
I spent my first three hours on the telephone
You know with newsmen reporters, and voters too
I had so many calls, I didn't know what to do
You know hours passed I continued to work
I signed so many papers, my fingers started to hurt
Then I shook off the pain, say this ain't no thing
'Cause there's nothing in the world like being #1 king!

If I ruled the world (huh huh, huh huh huh)
I'd love all the girls  (I'd love em love em baby!)
Wear diamonds and pearls (oh yeah yeah yeah yeah yeah yeah)
If I ruled the world (whoa whoa yeahhhhh)
{AJ Scratch cuts up the track for a bit}

Now I rule the world and now, I'm on top
And I'm rolling with folks that could never be stopped
And I'm here to let you know this is where I belong
And to you sucker MC's that sing my song
And it's a song that's strong about right and wrong
And I'ma rock it to you baby baby all night long
And it's a song about love and happiness
In a world of peace and you know that's fresh
Now I'm the king and I want you to know
That I'm the Master Blaster Rapper who's running the show
And to all of you rappers in every country
You better stop what you're doing and listen to me
'Cause we gotta stop war and use unity
To fight crime and hunger and poverty
'Cause the African baby is dying overseas
While you sucker mission politicians busting out Z's
Huh, 20 million people all unemployed
While the rich man try to play Pretty Boy Floyd
While the working class just struggles hard
Try to make ends meet against all odds
While the poor man can't even deal with life
You know he tried to escape, and smoked the coke on the pipe
And it's time for a CHANGE, to a better way
'Cause the sun has GOTTA shine through the cloudy day
So LISTEN UP world while I teach this class
And take heed to the message or we ain't gonna last
'Cause I know, the solution, is the contribution
Of woman and man to just join the revolution
That'll take your brain to a higher plane
And help you deal in a world that's gone insane
With the problems that I know we can stop
From the ruler of the world and the man on top
But the years went by, and time was up
And then the ruler of the world had ran out of luck
And all the people at the time who said they were my friends
Didn't know me when my job had come to an end
The King who took my place was happy as can be
He was running his mouth like, Muhammad Ali
So I shook his hand calmly as I headed to the door
On my way to the ghetto to treat once more

If I ruled the world (huh huh, huh huh huh)
I'd love all the girls  (I'd love em love em baby!)
Wear diamonds and pearls (oh yeah yeah)
If I ruled the world (yeahhhhh)

If I ruled the world (if I ruled the world)
I'd love all the girls  (I'd love em love em baby!)
Wear diamonds and pearls (oh yeah yeah oh yeah yeah)
If I ruled the world (whoa whoa yeah yeah yeah yeah yeah yeah yeah)",https://genius.com/Kurtis-blow-if-i-ruled-the-world-lyrics
I Can’t Take it No More,Ego Trip,1984,"I'm about to squeeze off on everyone that I know
'Cause every time they see me they ask for dough
They think I'm rich 'cause my name is Kurtis Blow
I can't stand it, I can't take it no more
(I can't stand it, I can't take it no more) (x4)
I can't take it no more (x4)
Lookin' out my window five stories up
I see a wino with a bottle he don't need a cup
And there's a hooker in the alley way
Takin' a chance, tryin' to make a day's pay
But the rats in the alley are takin' a stand
Chewin' on somethin' that used to be a man
I can't stand it, I can't take it no more (x2)
I can't take it no more (x4)
Gun shots just up the block
By a kid whose head is hard as a rock
A lady with a baby who was crossing the street
Gets hit by a bullet and falls off her feet
The people gather round,the baby is crying
The ambulance is late and the lady is dying
The trigger happy did not step off that day
But the lady with the baby was a D-O-A
I can't stand it, I can't take it no more (x2)
I can't take it no more (x8)",https://genius.com/Kurtis-blow-i-cant-take-it-no-more-lyrics
AJ Scratch,Ego Trip,1984.0,"One, two, three, four, hit it
One- one- one- one
Two- two- two- two
Three- three- three- three
Four- four- four- four
Hit- hit- hit- hit
One, two, three, four, hit it

Up in the Bronx, where the people are fresh
There was one DJ who had to pass the test
And now he's down by law and he's ready to play
That's right, y'all, his name is AJ
Never gets nervous when he cuts the beat
He gets top notch service in the clutch on the street
A complete elite treat that can't be beat
'Cause AJ never knew the agony of defeat
Sing

AJ, I wanna see you
AJ, I wanna see you
AJ, I wanna see you
AJ
Ooh- ooh- ooh- ooh
Kurtis Blow
Ooh- ooh- ooh- ooh- ooh
Kurtis Blow
Ooh- ooh- ooh
Ooh- ooh- ooh

Grandmaster Flash, Afrika Bambaataa
Starsky, Spoonie Gee and Run DMC gotta
Gotta realize that he goes way back
And now he's down with the king
And we could never be wack
So just kick off you shoes and relax your feet
And just rock to the rhythm of the Kurtis Blow beat
Yes, yes, y'all and just shake your butt
Because AJ is gonna cut it up
Sing

AJ, I wanna see you
AJ, I wanna see you
AJ, I wanna see you
AJ, I wanna see you
Hit- hit- hit me
Hit- hit- hit me
Hit- hit- hit me
Hit- hit- hit- hit- hit- me
Get- get- get
Get- get- get- get
Get- get- get- get
Get- get- get- get down
Get down
Yes, yes, y'all
Yes, yes, y'all
Yes, yes, yes, yes, yes, yes, y'all
Yes, yes, y'all
Yes, yes, y'all
Yes, yes, yes, yes, yes, yes, y'all
Yes, yes, y'all
Yes, yes, y'all
AJ has got to be the best, y'all
Yes, yes, y'all
Yes, yes, y'all
'Cause Kurtis Blow is fresh- fresh, y'all
Yeah- yeah- yeah- yeah- yeah
Yeah- yeah
Yeah- yeah- yeah
Yeah- yeah- yeah- yeah- yeah
Yeah- yeah
Yeah- yeah- yeah
Yeah- yeah- yeah- yeah- yeah
Yeah- yeah
Yeah- yeah- yeah
Yeah- yeah- yeah- yeah- yeah

Up in the Bronx, where the people are fresh
There was one DJ who had to pass the test
And now he's down by law and he's ready to play
That's right, y'all, his name is AJ
Never gets nervous when he cuts the beat
He gets top notch service in the clutch on the street
A complete elite treat that can't be beat
'Cause AJ never knew the agony of defeat
Sing

AJ, I wa- I wa- I wanna see you
AJ, I wanna- I wan- I wan- I wanna see you
AJ, I wanna- I wan- I wanna see you
AJ, I wanna- I wan- I wanna see you
Clap- clap- clap- clap- clap
Clap- clap- clap- clap- clap
Clap- clap- clap- clap- clap- clap
Clap- clap- clap- clap- clap- clap- clap- clap
Clap your hands
Clap your hands",https://genius.com/Kurtis-blow-aj-scratch-lyrics
8 Million Stories,Ego Trip,1984.0,"There are 8 million stories in the naked city
8 million stories
8 million stories (Cold-hearted city)
8 million stories (Watch your back)
8 million stories

There are 8 million stories in the naked city
Some ice cold and told without pity
About the mean streets and the ghetto culture
The pimps, the pushers, the sharks and vultures
Things that happen when it reaches dark
And all the things you hear about Central Park
You got to be down, you got to have strength
If you're gonna survive past 110th
Well it ain't no thing when blood is spilled
The emergency ward is capacity filled
And nothing ever comes as a big surprise
And the naked city never closes its eyes
A new story every day
Told a thousand different ways
That's how it is and that's how it goes
The city with the 8 and six big O's
New York is a crazy city man
Word, skyscrapers, everything
And you just never know who you might be meting in this town
Yo, my home boys Run DMC

A young girl seemed to be gaining weight
Her parents all thought it was the food she ate
Their attitudes were all ""La Di Da Di""
But little did they know there's a baby in the body
She tried to hide it, but they'll soon know
Because sooner or later that baby's got to show
Can her daddy just accept it as a fact
That it wasn't the meals and it wasn't the snack
Then there's another girl, her name is Vicki
The girl is fine, but sho'nuff tricky
Vicki's fine, but then she's not very kind
She'll lay you down and then she'll rob you blind
You wake up in the morning and you're feeling blue
Because Vicki is gone and your money is too
She's more sinister than Peter Lorre
And this is just two of 8 million stories
8 million stories
8 million stories
8 million stories (You hear what i'm saying)
8 million stories (Homeboys and girlies)
8 million stories
8 million stories
8 million stories
8 million stories
8 million stories (Sing)
8 million stories (Sing the song)
8 million stories
8 million stories

Fresh kid and the stories complete
Born on a dim lit ghetto street
Father unknown, mother astray
He learned about life the real hard way
Wearing pretty things for all the ladies to see
Funky fresh diamonds and gold jewelry
Spent all his time just counting his bank
Because he's a fly muh-ha-ha, now fill in the blank
Because he's a fresh kid and his money's long
Been the subject of a ghetto song
Poor kids admire, ladies desire
They say water can't put out this fire
Because he's a fresh kid, yeah he's alright
Grew up with the pushers and the pimps of the night
And you could measure or even treasure
The thought that cocaine became his pleasure
Peruvian rock never cut with speed
And he gets skied until his nose would bleed
And that was just one weakness, must admit
That when he took a hit he could never quit
Because he's one slick pusher living day by day
When the crazy thing happened along the way
You know he started to base at a hell a pace
And now it's a disgrace, he's got the pipe in his face
For twenty-four seven a terrible Jones
Didn't take care of business, didn't answer the phone
He stayed home alone all in the twilight zone
Just biting on a pipe like a dog on a bone
Turning blue in the face, by just holding his breath
With the white cloud bullshit stuck in his chest
But then he tried to stop, but it never worked
And then the ladies started calling him a freebase jerk
Just to break it all down, you know he's not so slick
Because he spent all his money and he spent it real quick
He lost his car, his house, his friends, his wife
And basing cocaine made him lose his life
Because he bought some on credit and couldn't pay
And then the pusher looked for him and blew him away
In a blaze of glory in his own territory
8 million sad but all real stories
8 million stories
8 million stories
8 million stories (You hear what i'm saying)
8 million stories (Homeboys and girlies)
8 million stories
8 million stories (Sing)
8 million stories (Sing the song)
8 million stories
8 million stories
8 million stories
8 million stories
8 million stories",https://genius.com/Kurtis-blow-8-million-stories-lyrics
"Rappin’ Blow, Pt. 2",Kurtis Blow,1980.0,"What did you say your name was?

I see, that it's not clear
For you, good buddy, so clean out your ears
Listen very closely while I pop more game
'Cause my name's in the Hall of Fame
The K-U-R, the T-I-S
The first is the best, I must confess
The B-L-O and the W
I make you wanna catch the boogaloo flu
Now, if your name is Annie
Get up off your fanny
If your name is Clyde
Get off your backside
If your name is Pete
You don't need a seat
'Cause I'm Kurtis Blow and I'm on the go
I'm rocking to the rhythms in stere-ere-o

Now, just throw your hands in the air
And wave 'em like you just don't care
If you're ready, like Freddy, to rock real steady
Somebody say, oh yeah! (Oh yeah!)
Young ladies, all the ladies in the house, say, oww! (Oww!)
And you don't stop
Come on, come on, come on, let me see you rock
A get down! Stop messing around
When Kurtis Blow is in your town
I'm Kurtis Blow on the microphone
A place called Harlem was my home
I was rocking one day, it started to shake
It sounded to me a-like a earthquake
I packed my bags, I said goodbye
I kissed my woman, and I started to fly
I came to Earth by a meteorite
To rock you all on the mic
So just kick off your shoes, let your fingers pop
'Cause Kurtis Blow's just about ready to rock

Now the people in the back, if you're not the wack, say
(Don't stop the body rock!)
The people in the front, if you want to bump, say
(Don't stop the body rock!)
The people in the middle, if you want to wiggle, say
(Don't stop the body rock!)
And the people on the side, if you want to slide, say
(Don't stop the body rock!)

Not a preacher, or a teacher, or an e-lec-tri-cian
A fighter, or a writer, or a po-li-ti-cian
The man with the key to your ignition
Kurtis Blow is competition
Young ladies, shock the house, jazzy
Yes, young ladies, shock the house
Now, just throw your hands in the air
And wave 'em like you just don't care
If y'all really ready to rock the house this morning
Somebody say, oh yeah! (Oh, yeah!)
Somebody scream!

Young ladies, Mercedes
All the ladies in the house, say, oww! (Oww!)
Say, ho! (Ho!)
Ho! (Ho!)
Ho oh! (Ho oh!)


A yes, yes, y'all, keep on
Chick-a-rock-rock-rock, the rock-rock-rock
And don't stop the body rock
And everybody say, ho! (Ho!)
Ho! (Ho!)
And all the brothers, fly guys, get high
Say, macho! (Macho!)
Macho! (Macho!)
Mucho macho! (Mucho macho!)
Ooh, ahh, ooh-ooh ahh! (Ooh, ahh, ooh-ooh ahh!)

Keep on, rocking on
Keep, keep on, rock the hip, the hop on
Like a little boy blue blowing on a horn
The needle on the record, tryna play a song
It's been that way since the day I was born
I like a 25 cent bag of popcorn
Dip-dip-dab, so-socialize
Clean out your ears and open up your eyes
So you goin' here can realize
That I'm here to tranquilize
Got the knack of Kojak, better than Baretta
Casanova Brown, because I'm down
Get down, stop messing around
When Kurtis Blow is in your town
I'm a one of a kind, I'll wreck your mind
Put a wiggle-double-wiggle in your behind
Twice as nice, I'm skatin' on ice
When my mama gave birth, she named me the baddest
MC on Earth, y'all
To the beat that makes you freak
Get out of your seat and freak to the beat
The weather is cold, so catch some heat",https://genius.com/Kurtis-blow-rappin-blow-pt-2-lyrics
Hard Times,Kurtis Blow,1980.0,"Yo Kurt, man, you got some bank?
Yo, my brother, i ain't really got it like that
What we got here is hard times
I hear you, brother, but what's up with that?

Hard times spreading just like the flu
You know I caught it just like you
The prices going up, the dollars down
You got me fallin' to the ground
Turn around, get ready, check out the time
Get ready all people for the future shock
Hard times (Hard times)
Hard times (Hard times)
To the bridge


Hard times people of the planet
Times are tough, tough is granted
Hard times coming to your town
Get ready cause you know, we're gonna throw down
I'm gonna go out there and get the skills
My life's been down and I need a thrill
Hard times (Hard times)
Hard times (Hard times)
To the bridge


Hard times's got my pockets all in change
I tell ya what, it don't have my brains
Will I ever-ever-ever reach my peak
We need that dollar every day of the week
Hard times you know, it's a natural trip
I'm gonna keep about it, so we'll not slip
Hard times (Hard times)
Hard times (Hard times)
To the bridge


Hard times is nothing new or mean
I'm gonna use my strong mentality
Like the cream of the crop and the crop of the cream
Beating hard times, that is my dream
Hard times in life, hard times in death
I'm gonna keep on fighting 'till my very last breath
Hard times (Hard times)
Hard times (Hard times)
To the bridge",https://genius.com/Kurtis-blow-hard-times-lyrics
Throughout Your Years,Kurtis Blow,1980.0,"Throughout your years
Your ups and downs
Your highs and your lows
I'm the man with the mic who rocks the house
The man called Kurtis Blow
So get out your seat and grab a girl
'casue I'm about ready to rock the world
And listen to my story because it got to be told
Like an Oscar winning actor when he is playing a role
When I wasn't the best, there was something in my head
To be a rapper was my dream
Like in the morning with the bacon, and the eggs, and the coffee, and the cream
So I made up my mind that I would always try to be the best that I can be
Now here I am, rapping at the jam
With the all the fly guys and the young ladies
Just take your time, you don't have to hurry
Hang tough, you don't have to worry
In society, the strong survive
So rap a single or get a nine to five
With a little hard work and dedication we'll pull together and rock the nation
So if you do the do and think you are great, come on everybody, participate
Say ""ho""
You gotta to say ""ho"" if you are ready to go
Say ""ow""
You gotta to say ""ow"" if you are ready right now
Say pride
Cause pride is what we got inside
To the top!
We are going to the top, we ain't going to stop!
Get down!
When it started out, the way wasn't clear
There was much confusion and a lot of fear
Walking in the shadow, searching for the light
Be the reason i could be that to make me right
Cause it ain't all champaign and cavier
Riding 'round the town in the finest car
Living in the star life of luxury
And being seen 'round the world at the place to be
Let down, no jobs ... checks hang up... back sets ...
A thousand things can hold you back and try to run you off the track
So you got to believe you can be the best
You got to work real hard to achieve success
So listen close, cause I insist
I got some advice, it goes just like this:
Take your time, you don't have to hurry
Hang tough, you don't have to worry
In society, the strong survive
So rap a single or get a nine to five
With a little hard work and dedication we'll pull together and rock the nation
So if you do the do and think you are great, come on everybody and participate
Say ""Ho""!
You gotta to say ""ho"" if you're ready to go
Say ""ow""!
You gotta to say ""ow"" if you're ready right now
Say ""pride""!
Cause pride is what we got inside
Say top!
We're goin' to the top, we ain't gonna stop
Get down!
There is a man up there who's calling the shots
He says what is going to happen and what's not
There is only one way to stake a claim
You got to be a man
You gotta to play the game
Some people you may be around have negative vibes and try to get you down
But you mighty sound and you're really strong
You got to ... riding along
Winter, summer, fall, spring
Give it your all and everything
Step by step, day by day
Watch out for obstacles in your way
Don't be no other, be yourself
You can do that better than anyone else
Now, I can't tell you what to do, but the things I say still come true
Take your time, you don't have to hurry
Hang tough, you don't have to worry
In society, the strong survive
So rap a single or get a nine to five
With a little hard work and dedication we'll pull together and rock the nation
So if you do the do and think you are great, come on everybody, participate!
Say nahnahnahnah
Say nahnahnahnah
Nahnahnahnah
Nahnahnahnah
Nahnah
Nahnah
Nahnahnahnah OW!",https://genius.com/Kurtis-blow-throughout-your-years-lyrics
