title,album,year,lyrics,urls
Doin’ It,Mr. Smith,1995.0,"Mmmm yeah (mmmmm) check it out baby
Make it hot... then we drop it
(oooooooh!) Uh, yeah
(oooooooh!) Uptown, you know how we do it
Yeah you know
Make it hot
[Verse 1: LL Cool J & 
LeShaun
]
It's the first time together and I'm feeling kinda horny
Conventional methods of makin' love kinda bore me
I wanna knock your block off, get my rocks off
Blow your socks off make sure your G spots soft
I'ma call you Big Daddy and scream your name
Matter fact I can't wait for your candy rain
So whatcha sayin'? I get my swerve on, bring it live
Make it last forever, 
damn the kitty cat's tight
Mmm... daddy slow down your flow
Put it on me like G baby nice and slow
I need a rough neck nigga
, 
Mandingo in the sack
Who ain't afraid to pull my hair and spank me from the back
No doubt, I'm the playa that you're talkin' about
But do you really think that you can work it out?
I guarantee shorty it's real, baby stick it out
Here comes the man of steel
[Chorus: LeShaun & 
LL Cool J
]
Doing it and doing it and doing it well
Doing it and doing it and doing it well
Doing it and doing it and doing it well
I represent Queens, she was raised out in Brooklyn
Doing it and doing it and doing it well
Doing it and doing it and doing it well
Doing it and doing it and doing it well
I represent Queens, she was raised out in Brooklyn
[Verse 2: LL Cool J & 
LeShaun
]
I'm in the mix now, searching for the right spot
To hit now, get down
Damn I love a dick down, you use a rubber?
Damn right
You are my lover
All night
The putty good to you? Word to momma
Mad tight
The only thing left to do is climax
Let's make it last
Word we ain't goin' out like that
All this time you've been telling that you was a Don
I tried to warn you, girl, you wouldn't listen
Now let's get it on
Mmm, baby wild, don't do that
Chill wait a minute baby let me please you back
You talk a good one shorty now you're makin' me sweat
How a live nigga like it girl?
Nice and wet
We get it on To The Break of Dawn
, 
damn you're large
How a big girl like it Daddy?
Nice and hard
Safe sexin' it, flexin' it, gettin' that affectionate
Chewin' it, oohin' it, all while we're doin' it
[Chorus: LeShaun & 
LL Cool J
]
Doing it and doing it and doing it well
Doing it and doing it and doing it well
Doing it and doing it and doing it well
I represent Queens, she was raised out in Brooklyn
Doing it and doing it and doing it well
Doing it and doing it and doing it well
Doing it and doing it and doing it well
I represent Queens, she was raised out in Brooklyn
[Verse 3: LL Cool J & 
LeShaun
]
Baby, I wanna hit it in the worst way
Make it hot
Schemin' on the ass since the first day
Don't stop
Damn I love it when you talk like that
Make it bounce sugar
Long as you can bounce me back
More flesh than the Greek Fest
Roll up the sess
Pass the Hennessy
Put my body to the test
Wait wait daddy many niggas ago
I was a young girl listening to how you flow
Now's my chance to hit you off daddy I'm grown
From the back, from the side
Right, I'm in the zone
One of a kind when it's time to do mine
Camcorder and the whole shit
Press rewind
Let it flow on the screen while we puffs the L
Layin back in the cut while we're under the spell
Word life, I like the way the ep went down
Go to sleep, tomorrow I'll take you back downtown
We'll be
[Chorus: LeShaun & 
LL Cool J
]
Doing it and doing it and doing it well
Doing it and doing it and doing it well
Doing it and doing it and doing it well
I represent Queens, she was raised out in Brooklyn
Doing it and doing it and doing it well
Doing it and doing it and doing it well
Doing it and doing it and doing it well
I represent Queens, she was raised out in Brooklyn
Doing it and doing it and doing it well
Doing it and doing it and doing it well
Doing it and doing it and doing it well
I represent Queens, she was raised out in Brooklyn
Doing it and doing it and doing it well
Doing it and doing it and doing it well
Doing it and doing it and doing it well
I represent Queens, she was raised out in Brooklyn",https://genius.com/Ll-cool-j-doin-it-lyrics
Mama Said Knock You Out,Mama Said Knock You Out,1991.0,"C'mon, man

And with the local DBT news, LL Cool J with a triumphant comeback
But tonight

Don't call it a comeback,
 
I been here for years
Rocking my peers and putting suckas in fear
Making the tears rain down like a monsoon
Listen to the bass go boom
Explosion, overpowering
Over the competition, I'm towering
Wrecking shop, when I drop
These lyrics that'll make you call the cops
Don't you dare stare, you better move
Don't ever compare
Me to the rest that'll all get sliced and diced
Competition's paying the price

I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)

Don't you call this a regular jam
I'm gonna rock this land
I'm gonna take this itty bitty world by storm
And I'm just getting warm
Just like Muhammad Ali they called him Cassius
Watch me bash this beat like a skull
'Cause you know I had beef wit
Why do you riff with me, the maniac psycho
And when I pull out my jammy get ready 'cause it might go
BLAAAAW, how ya like me now?
The ripper will not allow
You to get with, Mr. Smith, don't riff
Listen to my gear shift
I'm blasting, outlasting
Kinda like Shaft, so you could say I'm shafting
Olde English filled my mind
And I came up with a funky rhyme

I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
Breakdown!

Uh, Shadow boxing when I heard you on the radio HUUUH!!!
I just don't know
What made you forget that I was raw?
But now I got a new tour
I'm going insane, starting the hurricane, releasing pain
Letting you know that you can't gain, I maintain
Unless ya say my name
Ripping, killing
Digging and drilling a hole
Pass the Ol' Gold

I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)

Shotgun blasts are heard
When I rip and kill, at will
The man of the hour, tower of power, I'll devour
I'm gonna tie you up and let you understand
That I'm not your average man
When I got a jammy in my hand
DAAAAAM!!!!! Oooooohh!!
Listen to the way I slaaaaay, your crew
Damage UHH, damage UHH, damage UHH, damage
Destruction, terror, and mayhem
Pass me a sissy so suckas I'll slay him
Farmers (What?!) Farmers (What?!)
I'm ready (We're ready!!)
I think I'm gonna bomb a town (Get down!!)
Don't you never, ever, pull my lever
'Cause I explode
And my nine is easy to load
I gotta thank God
'Cause he gave me the strength to rock, HARD!
Knock you out, mama said knock you out

I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)
I'm gonna knock you out (Huuh!)
Mama said knock you out (Huuh!)",https://genius.com/Ll-cool-j-mama-said-knock-you-out-lyrics
Around the Way Girl,Mama Said Knock You Out,1990.0,"You got me shook up, shook down, shook out
On your loving, your loving

I want a girl with extensions in her hair
Bamboo earrings, at least two pair
A Fendi bag and a bad attitude
That's all I need to get me in a good mood
She can walk with a switch and talk with street slang
I love it when a woman ain't scared to do her thing
Standing at the bus stop sucking on a lollipop
Once she gets pumping its hard to make the hottie stop
She likes to dance to the rap jams
She sweet as brown sugar with the candied yams
Honey coated complexion, using Camay
Let's hear it for the girl, she's from around the way

I need an around the way, girl
Around the way, girl
That's the one for me
She's the only one for me
I need an around the way, girl
You got me shook up, shook down, shook out on your loving

Silky, milky, her smile is like sunshine
That's why I had to dedicate at least one rhyme
To all the cuties in the neighborhood
'Cause if I didn't tell you then another brother would
You're sweet like sugar with your gangster talk
Want to eat you like a cookie when I see you walk
With your rayon, silk or maybe even denim
It really doesn't matter as long as you're in 'em
You can break hearts and manipulate minds
Or surrender act tender be gentle and kind
You always know what to say and do
Cold flip when you think your man is playing you
Not cheap or petty, you're ready for loving
You're real independent so your parents be bugging
But if you ever need a place to stay
Come around my way

I need an around the way, girl
Around the way, girl
That's the one for me
She's the only one for me (to the bridge)
I need an around the way, girl
You got me shook up, shook down, shook out on your loving

Perm in your hair or even a curly weave
Witcha New Edition Bobby Brown button on your sleeve
I tell you come here, you say meet me half way
'Cause brothers been popping that game all day
Around the way you're like a neighborhood jewel
All the homeboys sweat you so you're crazy cool
Wear your gold in the summer with your biking shorts
While you watching all the brothers on the basketball court
Going to the movies with your homegirl's crew
While the businessmen in suits be hawking you
Baby hair pumping, lip gloss is shining
I think you in the mood for wining and dining
So we can go out and eat somewhere
We got a lot of private jokes to share
Lisa, Angela, Pamela, Renee
I love you, you're from around the way

I need an around the way, girl
Around the way, girl
That's the one for me
She's the only one for me
I need an around the way, girl
You got me shook up, shook down, shook out on your loving
I need an around the way, girl
Around the way, girl
That's the one for me
She's the only one for me
I need an around the way, girl
I'm asking you

You got me shook up, shook down, shook out on your loving
You got me shook up, shook down
You got me shook up, shook down, shook out on your loving
You got me shook up, shook down
You got me shook up, shook down, shook out on your loving
You got me shook up, shook down
You got me shook up, shook down, shook out on your loving
You got me shook up, shook down",https://genius.com/Ll-cool-j-around-the-way-girl-lyrics
I Need Love,Bigger and Deffer,1987.0,"When I'm alone in my room sometimes I stare at the wall
And in the back of my mind I hear my conscience call
Telling me I need a girl who's as sweet as a dove
For the first time in my life, I see I need love
There I was giggling about the games
That I had played with many hearts, and I'm not saying no names
Then the thought occured, tear drops made my eyes burn
As I said to myself, ""look what you've done to her""
I can feel it inside, I can't explain how it feels
All I know is that I'll never dish another raw deal
Playing make-believe pretending that I'm true
Holding in my laugh as I say that I love you
Saying amor kissing you on the ear
Whispering, ""I love you and I'll always be here""
Although I often reminisce I can't believe that I found
A desire for true love floating around
Inside my soul because my soul is cold
One half of me deserves to be this way 'til I'm old
But the other half needs affection and joy
And the warmth that is created by a girl and a boy

I need love
I need love

Romance, sheer delight, how sweet?
I gotta find me a girl to make my life complete
You can scratch my back, we'll get cozy and huddle
I'll lay down my jacket so you can walk over a puddle
I'll give you a rose, pull out your chair before we eat
Kiss you on the cheek and say, ""ooh girl, you're so sweet""
It's deja vu whenever I'm with you
I could go on forever telling you what I do
But where you at? You're neither here or there
I swear I can't find you anywhere
Damn sure you ain't in my closet, or under my rug
This love search is really making me bug
And if you know who you are why don't you make yourself seen?
Take the chance with my love and you'll find out what I mean
Fantasies can run, but they can't hide
And when I find you I'm gon' pour all my love inside

I need love
I need love

I wanna kiss you, hold you, never scold, you just love you
Suck on you neck, caress you and rub you
Grind, moan and never be alone
If you're not standing next to me you're on the phone
Can't you hear it in my voice? I need love bad
I've got money, but love's something I've never had
I need your ruby red lips sweet face and all
I love you more than a man who's 10 feet tall
I'd watch the sunrise in your eyes
We're so in love when we hug we become paralyzed
Our bodies explode in ecstasy unreal
You're as soft as a pillow and I'm as hard as steel
It's like a dream land, I can't lie, I never been there
Maybe this is an experience that me and you can share
Clean and unsoiled yet sweaty and wet
I swear to you this is something I'll never forget

I need love
I need love

See what I mean? I've changed, I'm no longer
A playboy on the run, I need something that's stronger
Friendship, trust, honor, respect, admiration
This whole experience has been such a revelation
It's taught me love and how to be a real man
To always be considerate and do all I can
Protect you, you're my lady and you mean so much
My body tingles all over from the slightest touch
Of your hand and understand I'll be frozen in time
Till we meet face to face and you tell me you're mine
If I find you, girl, I swear I'll be a good man
I'm not gonna leave it in destiny's hands
I can't sit and wait for my princess to arrive
I gotta struggle and fight to keep my dream alive
I'll search the whole world for that special girl
When I finally find you watch our love unfurl

I need love
I need love

Girl, listen to me. When I be sitting in my room all alone, staring at the wall
Fantasies, they go through my mind, and I've come to realize that I need true love
And if you wanna give it to me, girl, make yourself seen. I'll be waiting
I love you",https://genius.com/Ll-cool-j-i-need-love-lyrics
I’m Bad,Bigger and Deffer,1987.0,"Calling all cars, calling all cars...
Be on the lookout for a tall light-skinned brother with dimples
Wearing a black Kangol, sweatsuit, gold chain, and sneakers.
Last seen on Farmers Boulevard headed east.
Alias L.L. Cool J. He's bad...

Aaaahhhhhhhhhh
No rapper can rap quite like I can
I'll take a musclebound man and put his face in the sand
Not the last Mafioso, I'm a MC cop
Make you say ""Go LL,"" and do the wop
If you think you can outrhyme me, yeah boy I bet
Cause I ain't met a motherfucker who can do that yet
Trendsetter, I'm better, my rhymes are good
I got a gold nameplate that says ""I wish you would""
And when rappers begin then I gotta join in and
Before my rhyme is over, you know I'mma win
Cool J has arrived so you better make way
Ask anybody in the crowd, they say the kid don't play
Slaughter competition, that's my hobby and job
I don't wear a disguise because I don't owe the mob
Got a pinpoint rap that makes you feel trapped
So many girls on my jock, I think my phone is tapped
I'm bad
Cool J, Cool J, Cool J, Cool J, Cool J, Cool J

I'm like Tyson, icin', I'm a soldier at war
I'm makin' sure you don't try to battle me no more
Got concrete rhymes, been rappin' for ten years and
Even when I'm bragging, I'm bein' sincere!
Emcees can't win, I make 'em rust like tin
They call me 'Jaws,' my hat is like a shark's fin
Because I'm bad as can be, got my voice on wax
Some brothers think he's making records, now he must have relaxed
I couldn't, I shouldn't, and it'll stay that way
The best rapper you've heard is LL Cool J
Kamikaze, take a look at what I've done
Used to rock in my basement, now I'm number one
And can happen on time, never standin' on line
You wanna try me? First you better learn how to rhyme
I'm the pinnacle; that means I reign supreme
And I'm notorious; I'll crush you like a jellybean!
I'm bad
""Suspect was last spotted with three other members of his group. Bobcat, E Love and the Cut Creator. They are extremely bad, so keep your eyes open. Use extreme caution""

I eliminate punks, cut 'em up in chunks
You were souped, you heard me, and your ego shrunk
I'm devastating I'm so good it's a shame
Cause I eat rappers like a cannibal they call me insane
I'm as strong as a bull of course you know why I pull
I enjoy what I'm doing plus I'm paid in full
Not Buckaroo Banzai, but bustin' out as I
Say the kind of rhymes that make MC's wish that I'd die
Never retire or put my mic on the shelf
The baddest rapper in the history of rap itself
Not bitter or mad, just provin' I'm bad
You want a hit? Give me a hour plus a pen and a pad!
MC's retreat, cause they know I can beat 'em
And eat 'em in a battle and the ref won't cheat 'em
I'm the baddest! Takin' out all rookies
So forget Oreos, eat Cool J cookies, I'm bad!
Cool J, Cool J,Cool J,Cool J, Cool J,Cool J

Never ever no never
Never wearin' no Levis, battle me why try?
I'll treat you like a stepchild so tell mommy ""bye bye""
Slaughterin' MC's and I'mma never get whipped
When I retire I'll get worshipped like a old battleship
LL I'm bad, all the rappers know
When I enter the center they say, 'Yo, yo there he go!'
My paycheck's large Mr. Bogart in charge
Not a puncher or hunter from a raccoon lodge
The original Todd, teachin' how to be hard
Take the skin off a snake, and split a pea from a pod
You're a novice I'm noble and I decipher my tongue
Not Attila the Hun, nor Abdullah his son
My vocals exact, like rack and pinion in a Jag
You try to brag, you get your rhymes from a grab-bag
No good scavenger, catfish vulture
My tongue's a chisel and this composition's sculpture, I'm bad!

(Think I'm gonna need backup)
(Think I'm gonna need backup)
Gimme that walkie-talkie!
Yo this is LL Cool J
And you'll never catch me so don't even try it
Cause I'm too bad for ya, understand?!
Aaaaaahhhh... I'm bad!",https://genius.com/Ll-cool-j-im-bad-lyrics
"4,3,2,1",Phenomenon,1997.0,"[Intro: LL Cool J & 
Redman
]
Make it butter
I'm gonna Bankhead bounce
No doubt
Watch your mouth!
[Chorus: LL Cool J & 
Redman
]
Ayo, one, two, three, four, five, six, seven
Blaze the hot
 trizack that sound like Heaven
Seven, six, five, four to three, two, one
Mo'mon, Meth-Tical, come and get some

Playing my position, hot Nick, son
This one, for all the sick ones, infliction
Poisonous darts sickening, best believe
Finger itchin' with two broke legs, now I'm trippin'
On MCs cliche, shot that ricochets
Start trouble bust bubbles, hip to wicked ways
Gotta love me, G-O-D, no one above me
Look good but fuck ugly
Tap your jaw from my Punch Buggy sonning you
Got you shittin' in your last Huggie, running who?
Fuckin' punk, get a speed bump coming through
A single shot make yo meat lump, respect 
Wu
[Verse 2: Redman & 
Method Man
]
Ayo, I put it on a nigga, shitted on a nigga
Turn a Christian to a certified sinner
The bomb I release, time pent up (
Explode
)
When you got sent up I was hitting your ex ho
Shit, I kept low, petro' your metro
Politic, keep the chickenheads gobblin'
Shit I'm driving in come with funk halogen
Terrorize your city from the spliff committee
Kick ass 'til both Timberlands turn shitty
Gritty, smack the driver's head in the 
gypsy
When I approach, rappers be taking notes
I drop like I shoulda invented the raincoat
Absolute, I love to burn to the roots
I keep cummin' 'til your pour sperm from your boots
Vigilante hardcore to the penis
Tell you, ""Fuck you"", my attitude is anaemic

I'm the illest nigga alive, watch me prove it
I snatch your crown with ya head still attached to it
Canibus is the type who'll fight for mics
Beating niggas to death and beating dead niggas to life
When you look at me long enough, I'll start to read your thoughts
If the signal was strong enough, and then I'll call your bluff
Like, ""Yo, how many rhymes you got?""
I think I'll go on for more Milleniums than Mazda's got on the car lot
And there's nowhere to run to, when I confront ya
Nigga, I call your bluff like it had a phone number
Who wanna see Canibus get wild?
Who wanna act fly and get shot down with a surface-to-air missile?
I take em on in all shapes, sizes and forms and spit on
Anybody who ain't close enough to shit on
Zero to sixty? I'm already doin' a hundred when I'm blunted
And I give it to any nigga that want it

Stay out the dark, cause if I catch you when the sun is down
Run it clown, come up off that, or I'm gon' gun it down
When in doubt, however it's gon' go, it's gon' be that
See that, that shit'll finish you, dog, believe that
Where we at? Do you value your life as much as your possessions?
Don't be a stupid nigga, learn a lesson
I'm gon' get you either way, and it's better to live
Let me get what's between your sock, cause it's better to give
Than receive, believe what I say when I tell you
Don't make me put you somewhere where nobody'll smell you
And when the lights is out, they don't come back on
This ain't a flick you ain't gon' come back on, you ain't that strong
You knew it was wrong, but you asked for it baby
You'se a pink nigga, ski mask for it baby
So I can hit you up on Front Street, you think I'm sweet
Want heat, one deep, leave him behind, front seat
[Chorus 2: Redman & 
Method Man
]
Ayo, one, 
two
, three, 
four
, five, 
six
, seven
Blaze the hot trizack, 
shine like Heaven
Seven
, six, 
five
, four, 
three
, two, 
one
Come on Mr. Smith, come get some (
Some, some, some
)

When young sons fantasize of borrowing flows
Tell little shorty with the big mouth the bank is closed
The symbol on my arm is off limits to challengers
You hold the rusty swords, I swing the Excalibur
How dare you step up in my dimension
Your little ass should be somewhere cryin on detention
Watch your mouth, better yet, hold your tongue
I'ma do this shit for free, this time, this one's for fun
Blow you to pieces, leave you covered in feces
With one thesis (""LL Cool J is hard"")
Every little boy wanna pick up the mic
And try to run with the big boys and live up to the real hype
But that's like picking up a ball, playing with Mike
Swingin at Ken Griffey or challenging Roy to a fight
Snapping, you amateur MC's
Don't you know I'm like the Dream Team touring overseas
For rappers in my circle, I'm a deadly disease
Ringmaster, bringing a tiger cub to his knees
In the history of rap, they've never seen such prominence
Your naive confidence gets crushed by my dominance
Now let's get back to this mic on my arm
If it ever left my side, it'd transform into a time bomb
You don't wanna borrow that, you wanna idolize
And you don't wanna make me mad nigga you wanna socialize
And I'm daring every MC in the game
To play yourself out position, and mention my name
I make a rhyme for every syllable in your name
Go platinum for every time your grimy ass was on the train
Watch your mouth, don't ever step out of line
LL Cool J nigga, greatest of all time",https://genius.com/Ll-cool-j-4321-lyrics
Hey Lover,Mr. Smith,1995.0,"I've been watchin' you from afar
For as long as I can remember
You're all a real man can need
And ever ask for
This is love, girl
This is more than a crush
Yeah

It was Harlem at the Ruckers, I saw with your man
Smilin', huh, a Coach bag in your hand
I was layin' in the coupe with my hat turned back
We caught eyes for a moment, and that was that
So skated off, as you strolled off
Lookin' at them legs, god damn they looked so soft (So fine)
I gotta take ya from your man that's my mission
If his love is real he got ta handle competition
You only knew him five months (That's right)
Besides, he drink too much and smoke too many blunts
And I be workin' out everyday thinkin' bout you
Looking at my own eyes in the rear view
Catchin flash backs of our eye contact
Wish I could lay ya on your stomach and caress your back
I would hold ya in my arms and ease your fears
I can't believe it, I hadn't had a crush in years
Hey lover

Hey lover, hey lover, this is more than a crush
Hey lover, hey lover, this is more than a crush
Lover, hey lover, this is more than a crush
Hey lover, hey lover, this is more than a crush

I see you at the bus stop waitin' everyday
Your man must think its safe for you to travel that way
But I don't want ta violate your relationship
So I lay back in the cut with a crush that's a trip
Still, he can't stop me from having daydreams
Tonguin' you down with, uh, vanilla ice cream
Kissing on your thighs in the moonlight
Searchin' your body with my tongue, girl, all night
I wonder one day could it be, simple dreams turnin' into reality
Our love would come down so naturally
We would walk down the aisle of destiny
What your man got his hustle on gotcha type scared
Break ya off a little chump change to do your hair
That seems to be enough to satisfy your needs
But there's a deeper level if you just follow my lead
Hey lover

Hey lover, hey lover, this is more than a crush
Hey lover, hey lover, this is more than a crush
Lover, hey lover, this is more than a crush
Hey lover, hey lover, this is more than a crush

Last week I saw ya at the mall
Standin' at the pay phone 'bout to make a call
I had a vision it was me on the other end
Tellin' you come by and then you walked in
I touched you gently with my hands
We talked about travelin' the distant lands
Escapin' all the madness out here in the world
Becomin' my wife, no longer my girl
Then, you let your dress fall down to the floor
I kissed you softly and you yearned for more
We experienced pleasure unparallel
Into an ocean of love, we both fell
Swimmin' in the timeless, currents of pure bliss
Fantasies interchangin' with each kiss
Undyin' passion unities our souls
Together we swim until the point of no control, but
It's a fantasy it (that, you) won't come true
We never even spoke and your man swear he love you
So I'm a keep all these feelin's inside
Keep my dreams alive until the right time

Hey lover, hey lover, this is more than a crush
Hey lover, hey lover, this is more than a crush
Lover, hey lover, this is more than a crush
Hey lover, hey lover, this is more than...
Hey lover, hey lover, this is more than a crush
Hey lover, hey lover, this is more than a crush
Lover, hey lover, baby this is more than a crush
Hey lover, hey lover, this is more than a crush",https://genius.com/Ll-cool-j-hey-lover-lyrics
Luv U Better,10,2002.0,"This is for my number one
This is for my number one
This is for my number one
True baby for I adore

This is hard to say
I wanna make sure I go about this in the right way
Cuz lately I been busy a lot
And I know you don’t feel appreciated and what not
I used to tell you that you’re hair looked fly
Kiss you slow and stare in your eyes
Now I talk real foul and slick
Every other sentence is, “You make me sick”
Back in the days I was your number one pick
Now your heart’s half-broken and that’s hard to fix
I had to dig deep inside myself
Cuz I can’t see you bouncin’ with somebody else
It’s a long journey back to the place we was
When I was too embarrassed to admit I was in love
And you was my good girl that wouldn’t give it up
I can’t let us self-destruct

Baby smile today
Cuz I been imaginin’ more ways
I’m gon’ luv U better
When your friends’ll see you too
Just when you think there’s nothin’ else I can do
I’m gon’ luv U better

When I think about the things we did
And I think about you having my kids
And I think about us sharing a crib
Losin’ all that, God forbid
You deserve flowers and candy, the simple things
In addition to the SL’s, baguettes and rings
Instead I walk around like I’m a king
And having you ain’t nothing but a thing
I even stopped tellin’ you the lovin’ was good
Too busy frontin’ in the hood
Baby girl, hold me tight don’t ever let go
I’mma do it real gentle baby, nice and slow
One more chance baby and don’t say no
Cuz I got another side to show
Some say love is painful it helps you grow
Well it’s time for the pain to go, ya’know

Baby smile today
Cuz I been imaginin’ more ways
I’m gon’ luv U better
When your friends’ll see you too
Just when you think there’s nothin’ else I can do
I’m gon’ luv U better

Do you think I meant to hurt you? No
Do you think I meant to hurt you? No
So let’s laugh together, cry together
God willin’ we gon’ die together
Do you think I meant to hurt you? No
Do you think I meant to hurt you? No
So let’s laugh together, cry together
God willin’ we gon’ die together

It’s a brand new me, a brand new you
A brand new day, sky so blue
Hold my hand while I walk with you
Sit on my lap, lemme talk to you
No more games callin’ you foul names
Actin’ like females is all the same
I’m gon’ love you better, my mentality changed
From this day forward I’ll never be the same
I’mma rub your lower back, share my dreams
I love you, lemme show you what I mean
Give you the deepest love a girl ever seen
Watch you sleep, so peaceful and serene
A toast to the queen, you’re back in my life
But this time I’mma do it right
Trust me, from the bottom of my heart
Nothin’s gonna tear us apart, promise

Baby smile today
Cuz I been imaginin’ more ways
I’m gon’ luv U better
When your friends’ll see you too
Just when you think there’s nothin’ else I can do
I’m gon’ luv U better
Baby smile today
Cuz I been imaginin’ more ways
I’m gon’ luv U better
When your friends’ll see you too
Just when you think there’s nothin’ else I can do
I’m gon’ luv U better

Do you think I meant to hurt you? No
Do you think I meant to hurt you? No
So let’s laugh together, cry together
God willin’ we gon’ die together
Do you think I meant to hurt you? No
Do you think I meant to hurt you? No
So let’s laugh together, cry together
God willin’ we gon’ die together

This is for my number one
This is for my number one
True baby for I adore",https://genius.com/Ll-cool-j-luv-u-better-lyrics
Rock the Bells,Radio,1985.0,"L.L. Cool J. is hard as hell
Battle anybody I don't care who you tell
I excel, they all fell
I'm gonna crack shells, Double-L must rock the bells
You've been waitin' and debatin' for oh so long
Just starvin' like Marvin for a Cool J. song
If you cried and thought I died, you definitely was wrong
It took a thought, plus I brought Cut Creator along
Evened up with E-Love down with the Cool J. force
Specializin' in the rhymin' for the record of course
I’m a tower full of power, wind, rain and hail
Cut Creator scratch the record with his fingernail
Rock the bells
The king of crowd rockers finally is back
My voice is your choice as the hottest wax
True as a wizard, just a blizzard, I ain't taken no crap
I'm rhymin' and designin' with your girl in my lap
The bass is kickin' always stickin' cause you like it that way
You take a step because it's def and plus it's by Cool J
Cut Creator on the fader, my right-hand man
We rock the bells so very well cause that's the name of this jam
Rock the bells
Some girls will like this jam and some girls won't
Cause I make a lot of money and your boyfriend don't
L.L. went to hell, gonna rock the bells
All you washed up rappers wanna do this well
Rock the bells
Now I'm world-wide known, whether you like it or not
My one man band is Cut Creator a.k.a. Philpot
He'll never skip it, only rip it when he's on the fader
What's my d.j.'s name, Cut Creator
Now you know, at the show, who’s on the wheels
He'll drive the cross fader like a cut mobile
So precise with a slice that you know he's greater
What's my d.j.'s name, Cut Creator
Now you know, what do you know, Earl roles the weed
I go to the store and get Old Gold
So all you crabby lookin' nappy headed girls get back
Cause there's a ten to one chance that you might get smacked
Rock the bells
The bells are circulatin' the blood in your veins
Why are girlies on the tip, L.L.'s your name
Cut Creator's (good), Cool J. is (good-good)
You bring the wood pecker, I'll bring the wood
The bells are wippin' and rippin' at your body and soul
Why do you like Cool J., we like rock and roll
Cause it ain't the glory days with Bruce Springsteen
I'm not a virgin so I know I'll make Madonna scream
You hated Michael and Prince all the way, ever since
If their beats were made of meat, then they would have to be mince
Rock the bells
So listen to the lines of rhyme, I rhyme on time
He'll cut the record in a second, make your d.j. look blind
So all you Jheri Curl suckers wearin' high-heel boots
Like ballerinas, what I mean is you're a fruit-loop troop
All you gonna-be(s), wanna-be(s), when will you learn
Wanna be like Cool J., you gotta wait your turn
Some suckers don't like me, but I'm not concerned
Six-g (s) for twenty minutes is the pay I earn
I'm growin' and glowin' like a forest blaze
Do you like Michael Jackson? ""We like Cool J""
That's right, I'm on the mic with the help of the bells
There's no delayin' what I'm sayin' as I'm rockin' you well
Rock the bells",https://genius.com/Ll-cool-j-rock-the-bells-lyrics
Going Back to Cali,Walking with a Panther,1988.0,"I'm going back to Cali, Cali, Cali
I'm going back to Cali... hmm, I don't think so
I'm going back to Cali, Cali, Cali
I'm going back to Cali... I don't think so
Going back to Cali, stylin, profilin
Growlin, and smilin, while in the sun
The top is down, on the black Corvette
And it's fly, cause it's sittin on Daytons
Nardi steering wheel, plushed out, gold-leaf phantom top
And three girls waiting
VRRRROOM engine's blowin, the chrome, is shining
Passing all the cars on the way
Movement of the wind, back wheels spin
Pop in a cassette and push play

I'm going back to Cali, Cali, Cali
I'm going back to Cali... hmm, I don't think so
I'm going back to Cali, Cali, Cali
I'm going back to Cali... I don't think so

I'm going back to Cali, shakin 'em, bakin 'em
Takin 'em to spots they never before hung
?? the place, on Sunset it's a trip
Where the A.C.'s cold, and the girls still strip
The record skip, but this girl kept dancin
Prancin, grindin, grinnin, romancin
I asked her to the barn, so we could hit the hay
I wanna do this, Brutus, but I don't wanna pay

I'm going back to Cali, Cali, Cali
I'm going back to Cali... hmm, I don't think so
I'm going back to Cali, Cali, Cali
I'm going back to Cali

I'm going back to Cali, rising, surprising
Advising realizing, she's sizing me up
Her bikini - small; heels - tall
She said, she liked, the ocean
She showed me a beach, gave me a peach
And pulled out the suntan lotion
Now I thought that was fast, but this girl was faster
She's lookin for a real good time
I said, ""Close your eyes, I got a surprise,""
And I ran away with the bottle of wine

I'm going back to Cali, Cali, Cali
I'm going back to Cali... hmm, I don't think so
I'm going back to Cali, Cali, Cali
I'm going back to Cali... I don't think so

{*saxophone solo*}",https://genius.com/Ll-cool-j-going-back-to-cali-lyrics
