title,album,year,lyrics,urls
Doo Wop (That Thing),The Miseducation of Lauryn Hill,1998.0,"Yo, remember back on the Bully
When cats used to harmonize like
Yo, yo, my men and my women
Don't forget about the deen
Sirat al-Mustaqeem
Yo, it's about a thing, uh, yo, yo
If ya feel real good wave your hands in the air
And lick two shots in the atmosphere!
(Put them up, put them up)
(Put them up, put them up)
(Put them up, put them up)

It's been three weeks since you were looking for your friend
The one you let hit it and never called you again
'Member when he told you he was 'bout the Benjamins?
You act like you ain't hear him then give him a little trim
To begin, how you think you're really gon' pretend
Like you wasn't down and you called him again?
Plus, when you give it up so easy you ain't even foolin' him
If you did it then, then you'd probably fuck again
Talking out your neck, sayin' you're a Christian
A Muslim, sleeping with the jinn
Now that was the sin that did Jezebel in
Who you gon' tell when the repercussions spin?
Showing off your ass 'cause you're thinking it's a trend
Girlfriend, let me break it down for you again
You know I only say it 'cause I'm truly genuine
Don't be a hard rock when you really are a gem
Baby girl, respect is just a minimum
Niggas fucked up and you still defending 'em
Now, Lauryn is only human
Don't think I haven't been through the same predicament
Let it sit inside your head like a million women in Philly, Penn
It's silly when girls sell their souls because it's in
Look at where you be in, hair weaves like Europeans
Fake nails done by Koreans
Come again
(A win win, come again
A win win, come again)

Guys you know you'd better watch out
Some girls, some girls are only about
That thing, that thing, that thing
That thing, that thing, that thing

The second verse is dedicated to the men
More concerned with his rims and his Timbs than his women
Him and his men come in the club like hooligans
Don't care who they offend, poppin' yang (like you got yen!)
Let's stop pretend, the ones that pack pistols by they waist men
Cristal by the case men, still in they mother's basement
The pretty face men claiming that they did a bid men
Need to take care of they three or four kids
And they face a court case when the child support late
Money taking and heart breaking, now you wonder why women hate men
The sneaky, silent men
The punk, domestic violence men
Quick to shoot the semen, stop acting like boys and be men
How you gonna win when you ain't right within?
How you gonna win when you ain't right within?
How you gonna win when you ain't right within?
Come again, come again
Come again, come again

Watch out, watch out
Look out, look out
Watch out, watch out
Look out, look out
Watch out, watch out
Look out, look out
Watch out, watch out
Look out, look out

Girls, you know you'd better watch out
Some guys, some guys are only about
That thing, that thing, that thing
That thing, that thing, that thing
Guys, you know you'd better watch out
'Cause girls, some girls are only about
That thing, that thing, that thing
That thing, that thing, that thing

Class!
Hey, we’ve got some very intelligent women here, man
Do you think you’re too young to really love somebody?
(No! No, no, I don’t think so)
I say it for me, uh, I’m an adult I say, wait
“You’re too young to be in love, this is silly
You’re infatuated or whatever, you got nice jeans
You wear fancy Adidas”, I mean, it might be something I don’t know
(It's the difference from loving somebody and being in love with somebody)
Well, you tell me. What’s the difference?
(Okay, You can love anybody but when you’re in love with somebody you’re looking at it like this: You’re taking that person for what he or she is no matter what he or she look like or no matter what he or she do)
(You’re crazy! You fall in love, you can fall out of love)
(You might stop being in love but you are not gonna stop loving that person)
(Maybe they ain’t never been loved before or been in love before, they don’t know what the feeling is to be loved)
(She poetic)
She killed it, we could end that conversation with that, right?",https://genius.com/Lauryn-hill-doo-wop-that-thing-lyrics
Ex-Factor,The Miseducation of Lauryn Hill,1998.0,"Yo, y-yo, yo, y-yo
Yo, uh, yo, y-yo, yo, y-yo

It could all be so simple (Ba-ba-ba-baby, baby, baby)
But you'd rather make it hard (Huh, uh)
Loving you is like a battle (It's like a battle)
And we both end up with scars

Tell me who I have to be (Who I have to be)
To get some reciprocity
See, no one loves you more than me (More than me)
And no one ever will (No one ever will, yeah)

Is this just a silly game (Silly game)
That forces you to act this way? (To act this way)
Forces you to scream my name
Then pretend that you can't stay (Yeah)

Tell me, who I have to be (I know what we gotta do)
To get some reciprocity
See, no one loves you more than me
And no one ever will

No matter how I think we grow
You always seem to let me know
It ain't working (It ain't working, no), it ain't working
And when I try to walk away
You'd hurt yourself to make me stay
This is crazy, this is crazy (Oh, this is crazy, uh-huh)

I keep letting you back in (You back in)
How can I explain myself? (I don't understand why)
As painful as this thing has been
I just can't be with no one else

See I know what we've got to do (Yeah)
You let go (You let go), and I'll let go too (And I'll let go)
Cause no one's hurt me more than you (No one's hurt me more than you)
And no one ever will

No matter how I think we grow
You always seem to let me know
It ain't working (It ain't working), it ain't working (It ain't working)
And when I try to walk away
You'd hurt yourself to make me stay
This is crazy, (This is crazy) Oh, this is crazy (This is crazy)

(Care) Care for me, care for me
I know you care for me
(There) There for me, there for me
Said you'd be there for me
(Cry) Cry for me, cry for me
You said you'd die for me
(Give) Give to me, give to me
Why won't you live for me?
(Care) Care for me, care for me
You said you'd care for me
(There) There for me, there for me
Said you'd be there for me
(Cry) Cry for me, cry for me
You said you'd die for me
(Give) Give to me, give to me
Why won't you live for me?
(Care) Care for me, care for me
You said you'd care for me
(There) There for me, there for me
Said you'd be there for me
(Cry) Cry for me, cry for me
You said you'd die for me
(Give) Give to me, give to me
Why won't you live for me?
(Care) Care for me, care for me
You said you'd care for me
(There) There for me, there for me
Said you'd be there for me
(Cry) Give to me, give to me
Why won't you live for me?
(Give) Cry for me, cry for me
You said you'd die for me
(Care) Where?
(There) Where?
(Cry) Where were you
(Give) When I needed you?
(Care, there, cry, give)


(Da, da, da, d-da, d-da) Where were you
(Da, da, da, d-da, d-da) When I needed you?
(Da, da, da, d-da, d-da) Where were you?
(Da, da, da, d-da, d-da) You, you, you, you, you
(Da, da, da, d-da, d-da) You, do, do, do, do, do, do, do
(Da, da, da, d-da, d-da) Do, do, do, do, do, do
(Da, da, da, d-da, d-da)
(Da, da, da, d-da, d-da)
(Da, da, da, d-da, d-da)
(Da, da, da, d-da, d-da)
(Da, da, da, d-da, d-da)
(Da, da, da, d-da, d-da)",https://genius.com/Lauryn-hill-ex-factor-lyrics
To Zion,The Miseducation of Lauryn Hill,1998.0,"One day, I'm gonna understand...
Zion

Unsure of what the balance held
I touched my belly overwhelmed
By what I had been chosen to perform
But then an angel came one day
Told me to kneel down and pray
For unto me a man-child would be born
Woe this crazy circumstance
I knew his life deserved a chance
But everybody told me to be smart
""Look at your career,"" they said
""Lauryn, baby use your head""
But instead I chose to use my heart

Now the joy of my world
Is in Zion! (Zion, Zion!)
Now the joy of my world
Is in Zion! (Zion, uhh, Zion!)

How beautiful if nothing more
Than to wait at Zion's door
I've never been in love like this before
Now let me pray to keep you from
The perils that will surely come
See life for you, my prince has just begun
And I thank you for choosing me
To come through unto life to be
A beautiful reflection of His grace
See I know that a gift so great
Is only one God could create
And I'm reminded every time I see your face

That the joy (Joy)
Of my world (World)
Is in Zion (Is in Zion)
Is in Zion (Is in Zion)
Now the joy (Joy)
Of my world (World)
Is in Zion (Is in Zion, is in Zion)
Now the joy (Joy)
Of my world (World)
Is in Zion (Is in Zion, is in Zion)
Now the joy (Joy)
Of my world (World)
Is in Zion (Is in Zion, is in Zion)

Marching, marching, marching, marching (Marching)
To Zion, marching, marching, marching (We gon' march)
Marching, marching, marching, marching
To Zion, marching, beautiful, beautiful, Zion
Marching, marching, marching, marching
To Zion, marching, marching, marching
Marching, marching, marching, marching
To Zion, marching, beautiful, beautiful, Zion
Marching, marching, marching, marching (My joy, my joy)
To Zion, marching, marching, marching (My joy, my joy)
Marching, marching, marching, marching (My joy, my joy)
To Zion, marching, beautiful, beautiful, Zion (My joy, my joy)
Marching, marching, marching, marching (My joy, my joy)
To Zion, marching, marching, marching (My joy, my joy)
Marching, marching, marching, marching (You're the joy)
To Zion, marching, beautiful, beautiful, Zion (Of my life)
Marching, marching, marching, marching (It is in Zion)
To Zion, marching, marching, marching (Zion)
Marching, marching, marching, marching (You're the joy)
To Zion, marching, beautiful, beautiful, Zion (You're the joy of my life)
Marching, beautiful, beautiful Zion (Is in Zion, Zion)
Marching, beautiful, beautiful Zion (It is in Zion)
Marching, beautiful, beautiful Zion
Marching, beautiful, beautiful Zion
Marching, beautiful, beautiful Zion
Marching, beautiful, beautiful Zion
Marching


Okay, how many people here have ever been in love? I know none of the guys are gonna raise their hand. How many of y'all ever been in love?

(Mumbling)

I know none of the guys been in... we don't get in love, right? Oh! Let this black man right here tell what his idea of love is, 'cause not all the time we hear a young black man talk about love. 
About your personal definition, don't tell me what Webster thinks. Huh?

Willingness to do everything for that person

Okay, everything like what? Explain. Let him talk c'mon. If I asked him to talk about a fancy car, he'd be right on point. But we wanna talk about love. You can do it. (To another pupil) What do you think? You said you love somebody, you should know why you love them right?

The way they act

Uh-huh

The way they carry themselves, stuff like that

Okay

The way that they hang with they boys, and they just stand out. It's like sometimes it don't even matter like what they wear or what they look like. It's like, that way, you know?

Yeah

It's like you know you want to talk to him, because he stands out, it's like he got a glow or something

That's deep

That's what I'm talking about

I thought that was a beautiful point. Anyone else want to deal with that?

It's sometimes, like when they try to act funny in front of they boys, like when they get around say they love you. They can't love you. 'Cause love-love-love wouldn't do that

Love is not phony!

(Laughter)",https://genius.com/Lauryn-hill-to-zion-lyrics
Lost Ones,The Miseducation of Lauryn Hill,1998.0,"It's funny how money change a situation
Miscommunication lead to complication
My emancipation don't fit your equation
I was on the humble, you on every station
Some wan' play young Lauryn like she dumb
But remember not a game new under the sun
Everything you did has already been done
I know all the tricks from Bricks to Kingston
My ting done made your kingdom wan' run
Now understand, L-Boogie, non-violent
But if a thing test me, run for mi gun
Can't take a threat to mi new born son
L been this way since creation
A groupie call, you fall from temptation
Now you wanna bawl over separation
Tarnish my image in your conversation
Who you gon' scrimmage, like you the champion?
You might win some but you just lost one

You might win some but you just lost one
You might win some but you just lost one
You might win some but you just lost one
You might win some but you just lost one

Now, now, how come your talk turn cold?
Gained the whole world for the price of your soul
Tryin' to grab hold of what you can't control
Now you're all floss, what a sight to behold
Wisdom is better than silver and gold
I was hopeless, now I'm on hope road
Every man wanna act like he's exempt
Need to get down on his knees and repent
Can't slick talk on the day of judgment
Your movement's similar to a serpent
Tried to play straight, how your whole style bent?
Consequence is no coincidence
Hypocrites always wanna play innocent
Always want to take it to the full out extent
Always want to make it seem like good intent
Never want to face it when it time for punishment
I know you don't wanna hear my opinion
There come many paths and you must choose one
And if you don't change then the rain soon come
See you might win some, but you just lost one

You might win some but you just lost one
You might win some but you just lost one
You might win some but you just lost one
You might win some but you just lost one

You might win some, but you really lost one
You just lost one, it's so silly how come?
When it's all done, did you really gain from
What you done done? It's so silly how come?
You just lost one

Now don't you understand, man, universal law?
What you throw out comes back to you, star
Never underestimate those who you scar
'Cause karma, karma, karma comes back to you hard
You can't hold God's people back that long
The chain of Shatan wasn't made that strong
Trying to pretend like your word is your bond
But until you do right, all you do will go wrong
Now some might mistake this for just a simple song
And some don't know what they have 'til it's gone
Now even when you're gone you can still be reborn
And, from the night can arrive the sweet dawn
Now, some might listen and some might shun
And some may think that they've reached perfection
If you look closely you'll see what you've become
'Cause you might win some but you just lost one

You might win some but you just lost one
You might win some but you just lost one
You might win some but you just lost one
You might win some but you just lost one

You might win some, but you really lost one
You just lost one, it's so silly how come?
When it's all done, did you really gain from
What you done done? It's so silly how come?
You might win some, but you really lost one
You just lost one, it's so silly how come?
When it's all done, did you really gain from
What you done done? It's so silly how come?
You just lost one
You just lost one, you just lost one
You just lost one, you just lost one
(How come, you lost one? It's so dumb)
You just lost one, you just lost one
You just lost one
What a bam-bam!... hehehe

Teacher:
 Alright people, I'm gonna write something on the board. Let's spell it. First letter
Class: L, O, V, E
Teacher: What's that?
Class: Love
Teacher: What?
Class: Love!
Teacher: How many people know any songs about love?
Class: Right here! I know a lot about love
Teacher: Tell me some titles, titles of some songs
Boy: Love
(Laughter)
Teacher: There's a song called love?
Boy: Yeah!
Teacher: There's no song called love!
Boy: Yeah, it's by Kirk Franklin
Teacher: Ok ok how it go?
Boy: It go ""Love""
 (Laughter)
Teacher: Bet, bet, okay. Anybody else know any songs about love?
(Mumbling)
Teacher: I can't hear you
Girl: 
I Will Always Love You
Teacher: What about any movies about love? Know any movies about love?
Girl: 
Titanic
Teacher: Alright
Boy: 
Romeo and Juliet
Teacher: You didn't know that was about love till you saw it on TV and they said it was about love",https://genius.com/Lauryn-hill-lost-ones-lyrics
Can’t Take My Eyes Off of You,The Miseducation of Lauryn Hill,1998.0,"You're just too good to be true
Can't take my eyes off of you
You'd be like heaven to touch 
(heaven to touch)
I wanna hold you so much 
(hold you so much)
At long last, love has arrived
And I thank God I'm alive
You're just too good to be true
Can't take my eyes off of you

Pardon the way that I stare 
(the way that I stare)
There's nothing else to compare
The sight of you leaves me weak
There are no words left to speak 
(words left to speak)
But if you feel like I feel
Please, let me know that it's real
You're just too good to be true
Can't take my eyes off of you

I need you, baby, and if it's quite all right
I need you, baby, to warm a lonely night
I love you, baby, trust in me when I say, ""It's okay""
Oh, pretty baby, don't let me down, I pray
Oh, pretty baby, now that I found you, stay
And let me love you, oh, baby—let me love you, oh, baby—

You're just too good to be true
Can't take my eyes off of you 
(eyes off of you)
You'd be like heaven to touch
I wanna hold you so much 
(hold you so much)
At long last, love has arrived
And I thank God I'm alive
You're just too good to be true
Can't take my eyes off of you

I need you, baby, and if it's quite all right
I need you, baby, to warm a lonely night
I love you, baby, trust in me when I say, ""It's okay""
Oh, pretty baby, don't let me down, I pray
Oh, pretty baby, now that I found you, stay
And let me love you, oh, baby—let me love you, oh, baby—
I need you, baby, and if it's quite all right
I need you, baby, to warm a lonely night
I love you, baby, trust in me when I say, ""It's okay""
Oh, pretty baby, don't let me down, I pray
Oh, pretty baby, now that I found you, stay
And let me love you, oh, baby—let me love you, oh, baby—",https://genius.com/Lauryn-hill-cant-take-my-eyes-off-of-you-lyrics
Tell Him,The Miseducation of Lauryn Hill,1998.0,"Yo, he-he, tell him um, (Huuu)
It's like, uhh, you know, uhh
Sweet, sweet, sweet
Tell him
Uhh
Mmm-m-m-m

Let me be patient let me be kind
Make me unselfish without being blind
Though I may suffer, I'll envy it not
And endure what comes (Daah)
'Cause he's all that I got (Uuu) and tell him (Aha)

Tell him I need him (Yeah)
Tell him I love him (Tell him who it hit)
And it'll be alright (It'll be alright)
And tell him (Tell him)
Tell him I need him (Be alright)
Tell him I love him (Tell him I love him )
It'll be alright (Be alright)

Now I may have faith (I may have faith) to make mountains fall
(To make mountains fall)
But if I lack love, then I am nothin' at all
I can give away (I can give away) everything I possess
But left without love then I have no happiness
I know I'm imperfect (I know I'm imperfect), and not without sin
(Not without sin, nah)
But now that I'm older all childish things end (Ohh)
And tell him (Tell him)

Tell him I need him (Tell him I need him)
Tell him I love him (Ha-ah)
And it'll be alright (It'll be alright)
Tell him (Tell him)
Tell him I need him (Tell him)
Tell him I love him (Tell him) (Be alright)
It'll be alright (Be alright)
Oh yeah

I'll never be jealous (I'll never be jealous)
And I won't be too proud (Houu)
'Cause love is not boastful (Noo)
Oooh and love is not loud
Tell him I need him (Tell him I need him)
Tell him I love him (Tell him I love him)
Everything is gonna (Everything), is gonna be (Everything) alright
Ya-eee-ya-eee-ya-eee-ya-eee-ya-eee-ya-eee-ya-eee-ya-eee
Uuu-u-uu (Uuu)
Yeah, yeah, ooh yeah
Uuu-u-uu (Uuu)
Ah-ah-ah

Now I may have wisdom (I may have wisdom)
And knowledge on Earth
But if I speak wrong, uuh, then what is it worth? (What is it worth?)
See what we now know is nothing compared
To the love that was shown when our lives were spared (Uuh)
And tell him (Tell him)

Tell him I need him (Tell him I need him)
Tell him I love him (Love him)
And it'll be alright (It'll be alright)
Oh-oh-oh
Tell him (Tell him)
Tell him I need him (I need you)
Tell him I love him (Be alright)
Be alright (Be alright)
Oh-oh-oh (It's gonna be alright)
Tell oh-oh him (It's gonna be alright, in the morning) (Tell him)
Tell him I need him, oh (Be alright)
It'll be alright (It's gonna be alright)
Oh-oh-oh, yeah, yeah (I need you)
When the, when the evening comes, oh
In the night time
In the morning
In the evening baby tell him
Tell him",https://genius.com/Lauryn-hill-tell-him-lyrics
Nothing Even Matters,The Miseducation of Lauryn Hill,1998.0,"Whoa, ooh, umm, yeah, yeah
Whoa, ooh, whoa, ow yeah
Yeah, yeah, yeah, oh, oh, oh

Now the skies could fall
Not even if my boss should call
The world it seems so very small
'Cause nothing even matters at all
See nothing even matters
See nothing even matters at all
Nothing even matters
Nothing even matters at all

See, I don't need no alcohol
Your love make me feel ten feet tall (Yeah)
Without it I'd go through withdrawal
'Cause nothing even matters at all
Nothing even matters
Nothing even matters at all
Nothing even matters
Nothing matters at all

These buildings could drift out to sea
Some natural catastrophe
Still, there's no place I'd rather be
'Cause nothing even matters to me
See nothing even matters (Yeah)
See nothing even matters to me
Nothing even matters
Nothing even matters to me

You're part of my identity
I sometimes have a tendency
To look at you religiously (Baby, baby)
'Cause nothing even matters, to me
Nothing even matters
Nothing even matters to me
Said it don't matter, baby, baby
Don't matter

Now you won't find me at no store
I have no time for manicures
With you it's never either-or
Cause nothing even matters no more
See nothing it don't matter
See nothing even matters no more
Nothing even matters
Nothing even matters no more

Now my team could score
And make it to the Final Four
Just repossessed my four by four
'Cause nothing even matters no more
(No more, no more, no more)
Nothing even matters
Nothing even matters no more
Nothing even matters
No, no more

To me, to me, to me, to me
To me, to me, to me, to me to me to me
(Freestyle singing to end)",https://genius.com/Lauryn-hill-nothing-even-matters-lyrics
Everything is Everything,The Miseducation of Lauryn Hill,1999.0,"Everything is everything
What is meant to be, will be
After winter, must come spring (must come spring)
Change, it comes eventually
Everything is everything
What is meant to be, will be
After winter, must come spring (must come)
Change, it comes eventually

I wrote these words (I wrote these words) for everyone who struggles in their youth
Who won't accept deception, in instead of what is truth
It seems we lose the game
Before we even start to play
Who made these rules? (Who made these rules?)
We're so confused (We're so confused)
Easily led astray
Let me tell ya that...

Everything is everything
Everything is everything
Everything is everything (everything)
After winter, must come spring
Everything is everything

Our philosophy
Possibly speak tongues
Beat drum, 
Abyssinian
, 
street Baptist
Rap this in fine linen, from the beginning
My practice extending across the atlas
I begat this
Flipping in the ghetto on a dirty mattress
You can't match this rapper slash actress
More powerful than two Cleopatras
Bomb graffiti on the tomb of Nefertiti
MCs ain't ready to take it
 to the Serengeti
My rhymes is heavy like the mind of sister Betty (EL Shabazz!)
L-Boogie spars with stars and constellations
Then came down for a little conversation
Adjacent to the king, fear no human being
Roll with 
cherubims
 to Nassau Coliseum
Now hear this mixture, where Hip Hop meets scripture
Develop a negative into a positive picture

Now everything is everything
What is meant to be, will be (what is meant to be)
After winter, must come spring (must come spring)
Change, it comes eventually (change, it comes eventually)

Sometimes it seems
We'll touch that dream
But things come slow or not at all
And the ones on top, won't make it stop
(won't make it stop)
So convinced that they might fall
Let's love ourselves and we can't fail
To make a better situation (better situation)
Tomorrow, our seeds will grow
All we need is dedication
Let me tell ya that

Everything is everything
Everything is everything
Everything is everything (everything is everything)
After winter, must come spring
Everything is everything (everything is everything)

Everything is everything
What is meant to be, will be
After winter,  (after winter) must come spring (must come)
Change, it comes eventually",https://genius.com/Lauryn-hill-everything-is-everything-lyrics
The Miseducation of Lauryn Hill,The Miseducation of Lauryn Hill,1998.0,"My world it moves so fast today
The past it seems so far away
And life squeezes so tight that I can't breathe
And every time I try to be, what someone else has thought of me
So caught up, I wasn't able to achieve

But deep in my heart, the answer it was in me
And I made up my mind to define my own destiny

I look at my environment
And wonder where the fire went
What happened to everything we used to be
I hear so many cry for help
Searching outside of themselves
Now I know that His strength is within me

And deep in my heart, the answer it was in me
And I made up my mind to define my own destiny
And deep in my heart...
And deep in my heart, the answer it was in me
And I made up my mind to define my own destiny",https://genius.com/Lauryn-hill-the-miseducation-of-lauryn-hill-lyrics
I Gotta Find Peace of Mind,MTV Unplugged 2.0,2002.0,"I gotta find peace of mind
I know another cord...
I gotta find peace of mind
See, this what that voice in your head says
When you try to get peace of mind
I gotta find peace of mind, I gotta find peace of mind

He says it's impossible, but I know it's possible
He says it's impossible, but I know it's possible

He says there's no me without him
Please help me forget about him
He takes all my energy, trapped in my memory
Constantly holding me, constantly holdin' me
I need to tell you all, all the pain he's caused, mm-mm-mm-mm
I need to tell you I'm
I'm undone because, mm-mm-mm-mm

He says it's impossible, but I know it's possible
He says it's impossible without him, but I know it's possible

To finally be in love, and know the real meaning of
A lasting relationship, not based on ownership
I trust every part of You, 'cause all that I...
All that you say you do
You love me despite myself, sometimes I fight myself
I just can't believe that you, would have anything to do
With someone so insecure, someone so immature
Oh, you inspire me, to be the higher me

You make my desire pure, you make my desire pure
Just tell me what to say, I can't find the words to say
Please don't be mad with me, I have no identity
All that I've known is gone, all I was building on
I wanna walk with you, how do I talk to you

Touch my mouth with your hands
Touch my mouth with your hands
Oh I wanna understand, the meaning of your embrace
I know now I have to face the temptations of my past
Please don't let me disgrace, will my devotion last?
Now that I know the truth, now that it's no excuse

Keeping me from your love, what was I thinking of?
Holding me from your love, what was I thinking of?
You are my peace of mind, that old me is left behind
You are my peace of mind, that old me is left behind

He says it's impossible, but I know it's possible
He says it's improbable, but I know it's tangible
He says it's not grab-able, but I know it's have-able

'Cause anything's possible, oh anything is possible
Please come free my mind, please come meet my mind
Can you see my mind? Oh
Won't you come free my mind?
Oh, I know it's possible
Anything, anything, anything, anything, anything, yeah
Anything, anything, anything, anything, yeah
Anything, anything, anything, anything, anything, yeah
Oh free! Free, free, free your mind
Free, free your mind... free, free your mind
Free, free, free, free your mind
Oh, it's so possible, oh it's so possible
I'm telling you it's possible, I'm telling you it's possible
Free, free... free, free... free, free... get free now
Free, free... free, free, free, free... free, free

You're my peace of mind, that old me is left behind
You're my peace of mind, you're my peace of mind
He's my peace of mind, he's my peace of mind
He's my peace of mind, he's my peace of mind

What a joy it is to be alive
To get another chance, yeah
Everyday's another chance
To get it right this time
Everyday's another chance
Oh what a merciful, merciful, merciful God
Oh what a wonderful, wonderful, wonderful God",https://genius.com/Lauryn-hill-i-gotta-find-peace-of-mind-lyrics
