title,album,year,lyrics,urls
I’ll Find You,All Things Work Together,2017.0,"Just fight a little longer, my friend
It's all worth it in the end
But when you got nobody to turn to
Just hold on and I'll find you
I'll find you
I'll find you
Just hold on and I'll find you

I'm hangin' on by a thread
And all I'm clingin' to is prayers
And every breath is like a battle
I feel like I ain't come prepared
And death's knockin' on the front door
Pain's creepin' through the back
Fear's crawlin' through the windows
Waitin' for 'em to attack
They say ""Don't get bitter, get better.""
I'm workin' on switchin' them letters
But tell God I'ma need a whole lotta hope keepin' it together
I'm smilin' in everyone's face
I'm cryin' whenever they leave the room
They don't know the battle I face
They don't understand what I'm goin' through

The world tryna play with my soul
I'm just tryna find where to go
I'm tryna remember the way
I'm tryna get back to my home
But I can't do this on my own
That's why I'm just trustin' in You
'Cause I don't know where else to go
And I don't know what else to do

Just fight a little longer, my friend
It's all worth it in the end
But when you got nobody to turn to
Just hold on and I'll find you
Just fight a little longer, my friend
It's all worth it in the end
But when you got nobody to turn to
Just hold on and I'll find you
I'll find you
I'll find you
Just hold on and I'll find you
I'll find you
I'll find you
Just hold on and I'll find you

They say fear haunts and pain hates
I say pain strengthens and fear drives faith
And I don't know all of the outcomes
Don't know what happens tomorrow
But when that ocean of doubt comes
Don't let me drown in my sorrow
And don't let me stay at the bottom
I feel like this hole is too deep to climb
I've been lookin' for a way out
But I'll settle for a peace of mind
Pickin' up the pieces of my life
And hopin' that I'll put together somethin' right
Tell me all I got is all I need
Tell me you gon' help me stay and fight

The world tryna play with my soul
I'm just tryna find where to go
I'm tryna remember the way
I'm tryna get back to my home
But I can't do this on my own
That's why I'm just trustin' in You
'Cause I don't know where else to go
And I don't know what else to do

No don't let the fear make you feel
Like you can't fight this on your own
You know I – I'll be there for you no matter where you go
You'll never be alone, no

Just fight a little longer, my friend
It's all worth it in the end
But when you got nobody to turn to
Just hold on and I'll find you
Just fight a little longer, my friend
It's all worth it in the end
But when you got nobody to turn to
Just hold on and I'll find you
I'll find you
I'll find you
Just hold on and I'll find you
I'll find you
I'll find you
Just hold on and I'll find you",https://genius.com/Lecrae-ill-find-you-lyrics
Blessings,All Things Work Together,2017.0,"Ear Drummers

If I ever took a loss, I learned a lesson
I won't ever think I'm better than the next man
I've been down before the come up, I ain't stressin'
Baby, I'm too busy countin' all these blessings

Yah, yah, yah
Count it up, count it up, count it up
Line 'em up, line 'em up, line 'em up
Swear the sun shinin' on me in my huddle
No matter the trouble surroundin' us
They don't see that it's a lot of us
Everybody move anonymous
Won't take that credit, I know where we get it
Them blessings be comin' from God above
I was doin' all kinda bad
Where the choir at? Tell 'em I need a verse
Hit the pew and tell God He's first
Hit the studio to body a verse
I remember pushin' mama's little white Hyundai with no gas money
I just bought a car, cash money
I ain't even tryna brag on it
I just tell it how it really is
I ain't trippin', they ain't feelin' this
I ain't sayin' I deserve nothin'
I'm just tryna talk about the benefits
I've been punchin' in the clock
Tryna keep the kitchen stocked
Man it's a blessin' 'cause we ain't ever had a lot
But all we need is all we got

If I ever took a loss, I learned a lesson
I won't ever think I'm better than the next man
I've been down before the come up, I ain't stressin'
Baby, I'm too busy countin' all these blessings, blessings

Count it up, count it up, count it up
Count it up, count it up, count it up
Count it up, count it up, count it up
Blessings
Count it up, count it up, count it up
Count it up, count it up, count it up
Count it up, count it up, count it up
Blessings

I put my mama in the crib, said, ""Stop stressin'""
I put my girl in a brand new diamond necklace
She said she need more of my love and affection
'Cause lately I've been workin' harder than ever
She said, ""Baby, you a boss, baby, clear your schedule
Dolla you a boss, let's do somethin' special
Take me on a PJ, we should go to Mexico
I've been down for you boy, since when the money was low""
Anything for my bae 'cause she a blessing
If you woke up this morning it's a blessing

If I ever took a loss, I learned a lesson
I won't ever think I'm better than the next man
I've been down before the come up, I ain't stressin'
Baby, I'm too busy countin' all these blessings, blessings

Count it up, count it up, count it up
Count it up, count it up, count it up
Count it up, count it up, count it up
Blessings
Count it up, count it up, count it up
Count it up, count it up, count it up
Count it up, count it up, count it up
Blessings

I took so many losses
Coulda lost it
Left 'em leaky like a faucet
Almost cost me
Everything that I got, all of my fam
Part of the plan
I was eatin' fried bologna out of the pan
Y'all don't understand
I was tryna get it
I'm in that studio tryna keep it pushin'
Patty pies, boy I kept 'em cookin'
All I needed was the Mary Mary
But the God in me was havin' commentary, woo!
I got angels all around like Anita Baker
Blessings fallin' in line, guess I need a taper
And every loss is a lesson
Tell my haters I confess
Treat 'em like the green bubbles on the iPhone
I probably never read the message

If I ever took a loss, I learned a lesson
I won't ever think I'm better than the next man
I've been down before the come up, I ain't stressin'
Baby, I'm too busy countin' all these blessings, blessings

Count it up, count it up, count it up
Count it up, count it up, count it up
Count it up, count it up, count it up
Blessings
Count it up, count it up, count it up
Count it up, count it up, count it up
Count it up, count it up, count it up
Blessings",https://genius.com/Lecrae-blessings-lyrics
All I Need Is You,Anomaly ,2014.0,"All I need is you
All I need is you

Keep me in my timezone when my mind's gone
When I'm flying home
And I'm stressed out and I'm tempted to get that styrofoam
And go pour it up, but you know what's up
And you know that ain't gone solve nothing
I mean Lord forbid I might fall or something
And I'm all or nothing cause (all I need is you)
To hold me down like bed straps to the psych ward
It's killing me but you still with me when I fight hard
And (all I need is you)
You digging me when I'm 'igging you
Get with me when my card's pulled
Coulda dealt with me but you fell for me 'fore I fell for you (all I need is you
To keep me on that right path and the right math
Cause you plus nothing is everything
You my everything, saying
(All I need is)
You, ain't gotta question my allegiance
Cause the way you love me I could never leave ya, I need ya

(All I need is you)
By my side, thick and thin
Highs and lows, don't let go (all I need is)
We gon' ride, we gon' win
Don't know how, all I know
(All I need is you)

You, you're all I ever needed
You're all I ever needed
(All I need is)
You, you're all I ever needed
You're all I ever needed
(All I need is you)

How did I fall in this?
No condition that get a mention but you offered this  (all I need is)
Unconditional love, I swear I sell it all for this
I'm tryna keep it together, forgive my awkwardness (all I need is you)
But umm, often it's just you and me off in this
Valley of shadows and I know they trying to pick me off in this
But all I need is you
It's funny just how off I get when I ain't riding with you
No adjectives for your awesomeness
They burning one for that burn out
This life in God, I'm all turnt out
Took time out to put time in so I turn to you when I'm worn out
All I need is you
You slow me down cause you know me now with my phony smile
And I'm acting like it's all copacetic
It's so pathetic, so juvenile
Know what you do
You keep me cool in the summer
When they be dressing less and I be wanting to show off and stunt
There ain't nothing to want, you give me all that I need (all I need is you)
All I need is you to keep that fire burning for me
All I need is you (you)

(All I need is you)
By my side, thick and thin
Highs and lows, don't let go (all I need is)
We gon' ride, we gon' win
Don't know how, all I know
(All I need is you)

You, you're all I ever needed
You're all I ever needed
(All I need is)
You, you're all I ever needed
You're all I ever needed
(All I need is you)

Ain't nobody gone get in the way
Put that on my money in the bank
Cause you do what them others can’t (all I need is you, you)
And I love that, yeah (all I need is you)
We gone ride till the rims fall off
Above it all, we can never fall, yeah
Hold my hand, we can have it all
Hold my hand, we can have it all

(All I need is you)
By my side, thick and thin
Highs and lows, don't let go (all I need is)
We gon' ride, we gon' win
Don't know how, all I know
(All I need is you)

You, you're all I ever needed
You're all I ever needed
(All I need is)
You, you're all I ever needed
You're all I ever needed
(All I need is you)

You always pick me up when I'm feeling down
You always make it better for me some how
All I need is you, cause all I need is you
All I need is you
All I need is
All I need is
All I need is you, you, you
All I need is you",https://genius.com/Lecrae-all-i-need-is-you-lyrics
Church Clothes,Church Clothes,2012.0,"Yeah, uh
One time for H-Town
One time for D-Town
One time for A-Town, M-Town

R.I.P. to Medgar Evers, R.I.P. to Dr. King
I ain't tryna' hate on my own kind
But Al and Jesse don't speak for me
I'm probably gon' catch some flack man
But I'm-a swallow this pill like Pacman
Some of these folks won't tell the truth
Too busy tryna get them racks man
Church tryna rob my paychecks
Choir members probably having gay sex
Pastor manipulatin' hurtin' women
I wonder which she's gon' slay next
Bookstore pimpin' them hope books
Like God don't know how broke looks
And telling me that I'm gon' reap a mil'
If I sow into these low crooks
Plus I know ol' girl a freak
And how she singin' a solo
I walked in the church wit' a snapback
And they tellin' me that that's a ""no-no""?
That's backwards, and I lack words
For these actors called pastors
All these folks is hypocrites
And that's why I ain't at church
Truthfully I'm just doin' me
And I don't wanna face no scrutiny
As long as the church keep wildin' out
I can justify all my foolish deeds
Smoking weed, pourin' up
Keep that lean up in my cup
Maybe I could change the world
But this porn on my laptop got me stuck
Yeah I know what's right from wrong
But that there ain't gon sell a song
I rather sell my soul then save it
If that's what make my money long
It better not be no real God
With real hope, that heals hearts
That shows me that I ain't livin' up
To all the things that He put me here for
It better not be no real church
Real saints, who pray hard
And let me rock my snapback
With the 501's and the J's on
It better not be no real folk
Who don't think that they better than you
Straight or gay, drunk and high
They walk through the cold and weather wit' 'chu
'Nah we don't wanna see that
Cause that might mean ""life change""
That might mean I'm worth more than money, cars, sex, and pipe dreams
Better not be no real Jesus, real forgiveness, for hurt folks
If God gon' take me as I am I guess I already got on my church clothes",https://genius.com/Lecrae-church-clothes-lyrics
Cry for You,All Things Work Together,2017.0,"This thorn in my flesh
Is the only thing I got left
And it's so hard to confess
When everybody thinks you're perfect

But I cry for you
If you feel it too
And I'll cry for you
If you show how to lose
The elephants in the room

Take it away, I beg you, take it all away
The pain it causes, it makes me wish I could fade away
If they knew what you knew, they'd probably shun me
I'm surprised you know it all and you love me
I know I break your heart
Body of death, give me rest if my heart stops
Then it don't hurt no more, can't get worse no more
Can't pursue all these desires, it ain't cursed no more
No more lies about my worth no more
I understand the thoughts of suicide that do reside
But when I stop and think about my family, I feel new inside
I promised I would die a thousand deaths 'fore I cause them any pain
But somehow I end up killing everything
I cry for you
If you feel a dark, twisted, heart-wrenching, hate-to-see-your-own-reflection
Praying for an intervention, feeling guilt and feeling shame
I just call on Jesus name
Praying daily, can you take away this pain?
Take the thorn away
Still, it remains, I
Feel the same, I
Know that I'm here, but
Still feel insane
Satan would love to see me give up and throw up my hands
He say I'm guilty but You say I'm clean

This thorn in my flesh
Is the only thing I got left
And it's so hard to confess
When everybody thinks you're perfect

But I cry for you
If you feel it too
And I'll cry for you
If you show how to lose
The elephants in the room

Yeah, Sunday morning, or Sunday mourning?
I woke up dead inside from all the hurt I saw before me
Evil tryna take away my testimony
Starin' at my phone, feelin' like a phony
Oh, I cry for you, I would die for you
To escape the pain I feel from all that I've been through
I feel it in my soul and in my chest
Take away this ugly thorn inside my flesh
Give me death
But grace is sufficient to start my mission
I'm so far from perfect, can't believe they listen
But hear a broken man 'til your healin' happens
And hear a liar tell you truth to bring you gladness
I could never boast in my accomplishments
I can only hope in God with confidence
Opposite of optimist, U and I are consonants
Broken all the vowels, deservin' of every consequence
Will you cry for me, or will you judge me?
Will you throw stones at my head, or will you love me?
I could never be everything that you wanna see
But crooked sticks draw straight lines, just look at me
(But crooked sticks draw straight lines, just look at me)

This thorn in my flesh
Is the only thing I got left
And it's so hard to confess
When everybody thinks you're perfect

But I cry for you
If you feel it too
And I'll cry for you
If you show how to lose
The elephants in the room",https://genius.com/Lecrae-cry-for-you-lyrics
I’m Turnt,Church Clothes 2,2013.0,"Check it
Look at me I'm all the way turnt up
I ain't smoking but my homie in here burnt up
Yeah, I'm working on him, but he straight though
Couple girls trying to twerk it on me, wait- no
No, hold up
Before you even roll up I'm in here with my lady
Can't you see me? Man, I'm sewed up
Man, I'm in here trying to celebrate a birthday
And you know I'm good aware its a work day Don't matter, we still gon' kick it
And we ain't getting trippy, no molly in my sippy
Ain't fighting nobody, ain't nobody set tripping
It's Southeast Daygo in the building
Shout out to Peter Pan, Skyline, Imperial
We out here trying to function, holler if you with it though
Prolly think I'm rolling, I'm just high on the Spirit, bro
The only thing we popping is the truth, you don't hear me though

They prolly think I'm rolling, I ain't on nothing
They prolly think I'm rolling, I ain't on nothing
They prolly think I'm rolling, I ain't on nothing
But what I got you need to know about 'cause homie

I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)

Everybody slow-motion leaning off the potion
I tell 'em I'm straight trying to keep my mind focused
Came 40 deep, cliqued up, crew love
Got em' looking at us crazy 'cause we so turnt up
Yeah, homie, I'm turnt, I'm turnt, I'm turnt, I'm turnt
I ain't popping, rolling, and I ain't burnt
So tell Mary and Molly I don't need em' to party
Someone woke up in the lobby trying to locate they wallet
While I'm nine holes in trying to work on my hobby
And I wish somebody would get me started
Aye, deuces up to Nipsey, K-Dot, and Game
I'm out here in the west, go and holler at me, man
My blood stream clean, nothing running through my veins
Its 116, yeah, I'm still Unashamed
I call it network if I'm out here fishing
You know I'm with clique and man we out here trying to kick it
You know that we turnt

They prolly think I'm rolling, I ain't on nothing
They prolly think I'm rolling, I ain't on nothing
They prolly think I'm rolling, I ain't on nothing
But what I got you need to know about 'cause homie

I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)
I'm turnt (I'm turnt)",https://genius.com/Lecrae-im-turnt-lyrics
Whatchu Mean,All Things Work Together,2017.0,"Go Grizz'
Winners Circle

Whatchu mean? Now, whatchu mean? (whatchu mean?)
I could never slack up, back up on my dream
All these rings got me feelin' like Hakeem
Bustin' moves, had to hit 'em with the screens
Jump away (move away), that's extreme (oh)
See us mobbin', 116 (oh)
Ain't no way I'll ever let you in between
'Cause whatchu sayin' whatchu mean ain't whatchu mean

I was always Pippen with the flow
I support the Greatest, give-and-go
Tried to hit me with the bad vibes, let 'em know
Shake that dust up off my feet before they hit the floor
Focus on the ones I love, yeah, them my folks
People love to talk the talk, but they don't really know
Catch me outside on the field, that's the goal
Goin' for conversion, extra points on the low
All I know is come up winter to the summer
Work on top of work, you know we did a ton of
Movin' lowkey like we diggin' tunnels
Haters, I don't see you, on my Stevie Wonder
Guess it's safe to say I stay in my lane
Always on time, never hesitate
Watch the execution, I'ma demonstrate
Tryna hit me with your regulations

Whatchu mean? Whatcu mean? (Whatchu mean?)
I could never slack up, back up on my dream (on your dream?)
On my Fresh Prince, got me feelin' like Akeem (like Akeem?)
Or maybe Will Smith, all black like M.I.B. (M.I.B.?)
You can hear me (you can hear me?) down the street (down the street?)
It ain't real if I don't feel it in my spleen (in your spleen?)
Ain't no way I'll ever let you in between (below)
'Cause whatchu sayin' whatchu—
Cool (go ahead)
Uh, here we go

She wanna know how to pronounce my name, I'm like, ""It's Aha""
I'm picture perfect, I don't need no Canon like Mariah
I'm makin' movies, I direct like I control the choir
I got it groovy, then they kick me out the church like ""hiya""
A rub-a-dub, you ain't the cleanest in the club, I'm flier
Yo' baby momma told me that you not a good supplier
So I'm a father figure to Malik and Anania
I'm not the daddy, oh no, no the Devil is a liar
It's goin' down, but I can guarantee you, baby, we up
At first they couldn't see, now everybody wanna be us
I said I'm not the one, don't make me have to play Vegeta
I got a stripper friend who told me she believe in Jesus
Hold on Aha
I ain't come here to prove nothin'
I been woke before it was cool and before y'all hit the snooze button
The flow's hot, but I'm ice-cold like I'm on the remake of Cool Runnings
The same things that y'all dream about are the same things that I do in public, no discussion

Whatchu mean? Now, whatchu mean? (Whatchu mean?)
I could never slack up, back up on my dream
All these rings got me feelin' like Hakeem
Bustin' moves, had to hit 'em with the screens
Jump away (move away), that's extreme (oh)
See us mobbin', 116 (oh)
Ain't no way I'll ever let you in between
'Cause whatchu sayin' whatchu mean ain't whatchu mean

2011, put the hammer on 'em
Church Clothes had Don Cannon on me, had No Malice on it
If they say I'm in Illuminati, keep an eye on 'em
Years later, doin' shows now
You can catch me on the road now
Took a couple Grammys home now
No one ever put me on now
I ain't braggin', I ain't flexin' in my song
I'm just tryna talk that real and tryna put my people on
Wanna see me fall, wanna see me gone, know they wrong
Whatchu think I'm on? Whatchu mean? Whatchu really want? (Huh?)
We been out here workin' summer after summer (we workin')
Session after session, boy, we did a ton of (did a ton of)
Movin' lowkey like we diggin' tunnels (diggin' tunnels)
And haters, I don't see you, on my Stevie Wonder (I don't see you, man)
Got your own race, you stay in yo' lane (woo!)
You don't execute, you just hesitate (yeah!)
Watchin' how I play, you gon' miss yo' game (miss yo' game)
You too busy tryna regulate (yeah, yeah, woo!)

Whatchu mean? Now, whatchu mean? (Whatchu mean?)
I could never slack up, back up on my dream
All these rings got me feelin' like Hakeem
Bustin' moves, had to hit 'em with the screens
Jump away (move away), that's extreme (oh)
See us mobbin', 116 (oh)
Ain't no way I'll ever let you in between
'Cause whatchu sayin' whatchu mean ain't whatchu mean",https://genius.com/Lecrae-whatchu-mean-lyrics
Nuthin’,Anomaly ,2014.0,"Gawvi, get 'em!

Here we go again in circles
I think I heard it all
We been here before
But we need something more
Something more
Something more
What you say?
I can't hear 'cause you

Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
What you talking 'bout?
They be talking 'bout the same ol' thing
I'ma have to call a foul in the game
What you talking 'bout?
A little money now you all OG
Talking 'bout it's all eyes on me
They ain't talking 'bout nuthin'

Lemme guess you counting money to the ceiling
Difference 'tween us like at least a couple million
It's foreign cars, pretty girls everywhere you go
Yeah, I heard it 30 times on the radio
Louboutin ain't gon' pay you for that bragging
And Donatella prolly never heard yo' album
Yeah, they prolly 'bout to label me a hater
But I know these people greater than the songs they creating
It's little homies in the hood regurgitating
And everybody watching thinking that you made it
The truth is for a few designer labels and a little bit of paper now you 12 years slaving
Hey but you ain't Lupita, so why you beat up and pushing people to lean on a double cup and a seizure?
It sound like you put ya' feet up
You still a slave and money can't buy you freedom partna'

Here we go again in circles
I think I heard it all
We been here before
But we need something more
Something more
Something more
What you say?
I can't hear 'cause you

Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
What you talking 'bout?
They be talking 'bout the same ol' thing
I'ma have to call a foul in the game
What you talking 'bout?
A little money now you all OG
Talking 'bout it's all eyes on me
They ain't talking 'bout nuthin'

Aye, tell me why the song's on in my car (hear the radio)
Why the song on in my gym (what they saying now?)
Man, the song stuck in my head (I can't take no more)
I still don't know what y'all saying
Lemme, lemme, lemme do this
I'ma be a straight shooter
Aye, we was made in His image, why we so Judas?
Talking bread like we at the last supper
Throwing money at these women, make it rain in the summer
I ain't advertising brands on the radio
They expensive and I know they ain't gon' pay me for it
Telling kids to go in debt for the 'vette that they'll prolly never get, but I talk about it every song
In every song talking 'bout they selling work on every corner
Don't talk about the laws, taking kids away from mommas
Don't talk about ya' homie in the trauma 'cause he shot up
Or what about ya' young boy messing up the product?
They don't talk about the bond money that they ain't have
And e'rybody snitch on e'rybody in the jam
They don't talk about the pain, they don't talk about the struggle
How they turn to the Lord when they ran into trouble
I'ma talk about it
I don't care if the world try to swallow me
I turn my back to 'em, tell 'em all ""follow me""
I know you gon' label me a hater
But inside you are greater than the songs you creating, man

Here we go again in circles
I think I heard it all
We been here before
But we need something more
Something more
Something more
What you say?
I can't hear 'cause you

Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
Ain't talk 'bout nuthin' (ain't talk 'bout nuthin')
What you talking 'bout?
They be talking 'bout the same ol' thing
I'ma have to call a foul in the game
What you talking 'bout?
A little money now you all OG
Talking 'bout it's all eyes on me
They ain't talking 'bout nuthin'
A little money now you all OG
Talking 'bout it's all eyes on me
They ain't talking 'bout nuthin'

Hey man, the way I see it,
 
I think we were made for more than just, you know, the simple things that we, uh, aspire toward.
 
We were made for more than just telling stories of, you know, how much money we can get from selling poison to people.
 
It's time to talk about who we are and who we can be. Man, we need to build each other up, not put each other down.
 
I feel like we not talking about nuthin' right now",https://genius.com/Lecrae-nuthin-lyrics
Hammer Time,All Things Work Together,2017.0,"[Intro: 
Future
]
If Young Metro don't trust you I'm gon' shoot you

Hammer time, they can't touch me, hammer time
Hammer time, they can't touch me, hammer time
Bedtime, I ain't never had a bedtime
Headline, boy, you lookin' at a headline
Hammer time, they can't touch me, hammer time
Hammer time, they can't touch me, hammer time
Fed time, watch me kill the scene, fed time
Fed time, we gon' steal the scene, fed time

I say ""MC Hammer out the slammer, I'm set free for real""
Phew Montana ridin' through Atlanta, Jesus took the wheel
I can't keep the Truth inside of me, I gotta squeal
Some folks trust in God just 'cause the words on dollar bill
Aw man, He gon' touch back down and seal the deal
Y'all playin'
Sorry I can't understand a word that y'all sayin'
Big boss moves, never heard of small plans
I just want some acres, I come from a small land
Nah, for real, itty bitty
Used to be down, bad boy, now I'm up like Diddy
Got a new wave, and we surfin' through the city
Christ is walkin' wit' me, shinin' bright, we got it litty
Like ""sheesh!""
Out the dog pound, we done made it off the leash
Makin' sure the people comprehend like ""capiche!""
Young Georgia boy comin' straight up out the East
Grindin' 'cause my family gotta feast

Hammer time, they can't touch me, hammer time
Hammer time, they can't touch me, hammer time
Bedtime, I ain't never had a bedtime
Headline, boy, you lookin' at a headline
Hammer time, they can't touch me, hammer time
Hammer time, they can't touch me, hammer time
Fed time, watch me kill the scene, fed time
Fed time, we gon' steal the scene, fed time

Hold up
Now tell me, who you foolin'?
Saw you coolin', flexin' with the jeweler
Whatchu doin'? You don't measure up, I met the Ruler
Closet full of Js, boy, you never been a shooter
And I don't need a chain, just to prove you, boy, I'm movin'
When you movin' out yo' mama house, off yo' mama couch?
If we livin' what we talk about, you don't talk a lot
Sound booth, rented Lambo, you can say that
Took my money, built a studio, and took the Range back
H-Town to Atlanta, country bama, MC Hammer
Boy, we too legit to quit, I die, I resurrect, mañana
Put a nail up in your coffin, my hammer awesome
I ain't worried 'bout no pro'lems, the Lord I'll call on
My God!
Everybody eatin' if you part of my squad
And they know I'm workin', boy, I stay on my job
You know God my standard, He the answer
I ain't perfect, I'm just purchased, out here workin' with the hammer like

Hammer time, they can't touch me, hammer time
Hammer time, they can't touch me, hammer time
Bedtime, I ain't never had a bedtime
Headline, boy, you lookin' at a headline
Hammer time, they can't touch me, hammer time
Hammer time, they can't touch me, hammer time
Fed time, watch me kill the scene, fed time
Fed time, we gon' steal the scene, fed time",https://genius.com/Lecrae-hammer-time-lyrics
Say I Won’t,Anomaly ,2014.0,"[Hook: Lecrae & 
Andy Mineo
]
Say I won't (why y'all scared to be different?)
Say I won't 
(why y'all scared to be different, huh?)
Say I won't (we them outsiders, that's just how we livin')
Say I won't (and I bet I will you can say I won't)
I might do it just to show you
I might do it just to show you
I might do it just to show you
We be like la, la, la, la

From the same city as the B-I-G
Wanna serve these bars, gotta see ID
Now I'm on they radar, where B. Dot be
Was a slave for the cars, then we got free
Used to only wanna pull up in a black sport
Just a white man excellin' in a black sport
Now I'm really doing pull-ups
Got a honeymoon for the summer tryna get a six-pack for it
Say I won't catch 'Crae slippin' in the studio at like 3 AM
Autograph that fo'head with a Sharpie pen and then Instagram
Might swag out a fanny pack
I might bring Velour back
Nobody wanna change the game, man, y'all just want more trap?
Okay, say I won't rap over bagpipes
Say I won't talk about that price
To know Christ then live life like every night my last night
Yo, 'bout to switch up the program
I rock name brand, I rock no brand
My whole life GoPro cam'd
I rapped like I had no fans, no
They sayin' no, I said, ""Veto""
Danny DaVito, and Al Pacino, those are my people
All summer I'm rocking a Speedo
This that casino, you bet yo' revenue
Thinkin' you'll stop me, no never, not lettin' you
You must be high on that medical thinkin' I won't
Better know better, know that I bet I do, yup! (kill 'em, ooh)
[Hook: Lecrae & 
Andy Mineo
]
Say I won't (why y'all scared to be different?)
Say I won't 
(why y'all scared to be different, huh?)
Say I won't (we them outsiders, that's just how we live it)
Say I won't (and I bet I will you can say I won't)
I might do it just to show you
I might do it just to show you
I might do it just to show you
We be like la, la, la, la

Say I won't sell my shoes and take my kids to Chuck E. Cheese with the money
Say I won't bring my own bottle of Pellegrino to the movies with me
Say I won't
Look, I'm from an era of fast livin' and mass terror
Boys covetin' cover girls like mascara
I don't need to keep a gun and a mask ever
I still make 'em put their hands up, ask Derek
My road manager damage all of you amateurs
Sneakin' up on a tour bus with a demo to hand to us
When I was younger I just wanted a chain
Now a  chain of events has afforded a change, yeah
See, I been a rebel since back-in-the-day, I don't follow the people
I follow the leader through valleys of shadows of death and not fearin' no evil
So, say I won't do it
Say I won't turn the music up and get to it
Won't come down, H-Town all the way to they town 
in an old school, drop-top Buick
And I'm gettin', maybe eight or nine miles to the gallon
Still feelin' like a stallion
I got Andy ridin' shotgun with 30 gold chains on, talkin' 'bout he Italian
Say I won't go drop a double album
And rap double time on all dub-step
And got no producers, just me rockin' over beat-boxin' by Doug E. Fresh
Say I won't
[Hook: Lecrae & 
Andy Mineo
]
Say I won't (why y'all scared to be different?)
Say I won't 
(why y'all scared to be different, huh?)
Say I won't (we them outsiders, that's just how we live it)
Say I won't (and I bet I will you can say I won't)
I might do it just to show you
I might do it just to show you
I might do it just to show you
We be like la, la, la, la",https://genius.com/Lecrae-say-i-wont-lyrics
