title,album,year,lyrics,urls
Pr0n S0ng,Nerdcore Rising,2005,"Click, close
You got to click, close

Just got hard-pressed underneath my desk
No jest! It’s time Frontalot confessed:
At the best of times, got the worst of rhymes
And I don’t think I’m the first to find
My life devoted less to lyrics
Than it is to my struggle for pyrrhic
Victory in the race to be
The interweb’s number one devotee
Of smutty little things that occur onscreen
(Risqué to — hey! — quintuple-x obscene):
MILFs who shave themselves so cleanly;
Twins in positions unseemly
My spleen ain’t the part that gets vented
I grabbed a hold and fapped like I meant it
Distended, probably oughta leave it alone
Spend more time stroking on the microphone

Got a boatload of midgets and they’re in command
Of a full-grown woman on her knees and hands
Got a long hard donkey and a farm girl too
And the braying’s so dismaying when he starts to spoo
Got to click close, put it away
‘Cause the internet is f-i-l-t-h-y

Lurking in #pass chans on the IRC
Got DCC’d unexpectedly
With an 80-minute XviD: Nuns In Heat
Part III: Bad Habits. I’m so leet
That I had that one already
Skipped to the part with the fishnet teddy
Whipped it out, but to my chagrin
One toss from a win when the boss walked in
Said “nuh-uh Front, that terminal ain’t
For a latex crucifix spanking a taint
In big 32-bit color
While them rosary beads get yanked out the cruller.”
I said “you can’t fire me; I quit!”
Opened up the case, yanked out the hard disk
Absconded, all with the data in hand:
31 years of Hustler scans;
Plans for how to construct a love-swing;
Alt.binaries.everything
Archived since spring of ’92;
Receipt for my RealDoll’s stripper shoes;
Tools for an online poll I ran
(Vote once, tub girl or goatse man);
Glands galore, explore for hours;
Diaper play and golden showers;
Glory hole video, deep as it gets;
Mpegs of an heiress that she ought regret
Cap’d on cam from a hijacked feed
Half a terabyte, so whatcha need?
Got grannies in the front, trannies in the back
Red on brown on blond on black
Ganged up, tied up, all alone:
Every delectation to which I’m prone

Got the Japanese schoolgirl tentacle love
Got the furries in a flurry, they been yiffing it up
Got a Craigslist poster trading poo for pee
Got a deep dark dungeon full of hot bi Swedes
Got to click close, put it away
‘cause the internet is f-i-l-t-h-y
Click close, put it away
Cause the internet is f-i-l-t-h-y
Gotta click close
Gotta click close
The backslash on my keyboard’s stuck
Mouse wheel don’t turn ‘cause it’s all gummed up",https://genius.com/Mc-frontalot-pr0n-s0ng-lyrics
Goth Girls,Nerdcore Rising,2005.0,"Goth girls, goth girls: they're the girls that go
To see the nerdcore rapper with the geeked out flow
At the show, you can see the black lace on parade
I met a hundred dozen of 'em...

Ummmm hello! I was wondering, how goth is my frock?
I got this thing for horror movies and mope rock
But I can't shock my hair up (I ran out of stock)
And just like that, Frontalot ran out of talk
It was tragic, unheard of, never seen, me:
Out of rhymes when they usually come indefatigably
But me here talk good? No, bad talk do!
Like my tongue got encrypted right before I lost root
Like my small talk got box-roxed on a prior boot
It's moot, she only dates guys in chokes and Docs
Not brutes lacking eye-liner like I lack
But look, I'll put a little on plus lip shellac
Just to stand next to that and dream about love
Of necessity, that has always had to be enough
Cause I can't talk to goth girls, I just stare and stammer
""My name is MC frimmer frammer.""
Damn her if she giggle, damn her double if she laugh
Goth girls like it when you double-damn it twice fast

Goth girls, goth girls: they're the girls that go
To see the nerdcore rapper with the geeked out flow
At the show, you can see the black lace on parade
I met a hundred dozen of 'em but I ain't got laid

Got shunned by her at the Rocky Horror premiere
She steered clear of the nerd crowd but I heard loud in my ear
The disdain that she held for my type
Always geeking on the computron — I get hype
On the stage, she might notice me then and observe
That I'm ""ironically hip in some flip universe""
And her purse in patent leather held in fishnet glove
Could then contain MP3 player with the Front filled up
Her name is Nyteshaed, yo don't call her cherry tomato
She look like Paisley Tinkle but poisonous like Topato
She says her hair got attacked cause it's black and it's blue
She got the Johnny the Homicidal Maniac tattoo
Legs all deep in the boots, boots all up on the heels
Yes, the kind to make a certain type of fetishist squeal
The ordeal I endure: this close to her splendor
Besieged by my shyness; try this: I surrender!
And render my intentions in the usual way
(Home alone, SuicideGirls up on the cathode ray.)

Goth girls, goth girls: they're the girls that go
To see the nerdcore rapper with the geeked out flow
At the show, you can see the black lace on parade
I met a hundred dozen of 'em but I ain't got laid

IRL, my woman tells me that I shouldn't be covetin'
I tell her ""Yo, you better get in a coven then.""
It's like ""Eek!"", I get to sleep on the couch for a week
While watching old Elvira videos on TV
Yeah hee hee hee; laugh it up. You don't live like I do:
At the mercy of any sister with wrist scars and black eye goo
I've tried to get into cheerleaders and failed
Banana Repugnant and tanned, so bland and so stale
Avail myself of the local café, light a clove up
Thumb through Camus (in French, which I can't read, but so what?)
I think that goth could flower in nerdcore's embrace
I mean I converted Edward Gorey's lettering into a typeface
Befriended vampires on LJ and MySpace
Even put that spooky echo filter on the bass
But I can't talk to goth girls, I just stare and stammer
""My name is MC frimmer frammer.""
Damn her if she giggle, damn her double if she laugh
Goth girls like it when you double-damn it twice fast

Goth girls, goth girls: they're the girls that go
To see the nerdcore rapper with the geeked out flow
At the show, you can see the black lace on parade
I met a hundred dozen of 'em but I ain't got laid
Goth girls, goth girls: they're the girls that got
Their souls stuck somewhere between the kettle and pot
Frontalot been enamored of 'em since I was young
Met a hundred dozen of 'em, never ever humped one",https://genius.com/Mc-frontalot-goth-girls-lyrics
I’ll Form the Head,Solved,2011.0,"Bright-colored robotic space rhinoceri
That we pilot — why? Cause they're in supply
Plus, we heed the cry of our planet's population
To defend them. We report to battle stations
Split screen — ready — and our rhinos are rocket ships
With fully articulated tusk, jaws, and hips
They come equipped with individual special attacks
None with a lag, but a couple a little bit slack
I'm not naming any pilot specifically
But we're all color-coded so you notice that typically
I, in the gold, lead the charge, do the most damage
To whatever hairy giant space invader managed
To threaten the globe in yet another of our episodes
This week? Malevolent galactic nematode!
Already beat up the squad when we faced him
I'm calling it: let's form a giant robot and waste him

Monster misbehaving
Planet's needing saving
Situation's grave and
I'll form the head
The enemy is clever
We're smaller but whatever
When we put it together
I'll form the head
Y'all can do the treading
Swing energy machete
If combination's ready
I'll form the head
I'll form the head
I'll form the head

What the deuce, Pink? What'd I tell you last time?
Got my agent on the phone, watch it with the worm slime
And watch a star shine. Focus in your cameras
Cause it's a damn crime, being so glamorous
Now pan it, yeah at us, shot of the supreme
Mister Quoise Rhinobot. Them? My lackey team
You got the nimrod with the yellow laser beam
And the other guy's otaku (and he wants to talk to me)
Between scenes, sometimes I feel out of place
Oh yeah, I'm the biggest damn star in outer space
Dear fans, I am powered by your flattery
Love, little old me (not the diva or the daiquiri)
Back on track, team! And if you require me
To show some pearly whites, I'll remind you why you hired me
There's no rivalry, just me instead
I'll be back in fifteen, just in time to form the head


Am I the only one who's finding this peculiar
That fighting giant aliens is getting too familiar?
And it's bad enough, and just my luck, my bot is lightish red
But do we always have to argue over who should form the head?
NASA-trained, I'm only overlooked cause I'm the nice guy
I'm overqualified, I've logged six months of flight time
Astrophysicist, but still there's no respect for me
The Golden Boy and Quoise couldn't spell the word trajectory
Now they have me face-to-face and fighting with some fish bait
Ten minutes left? We'll never finish at this rate
We need a plan, re-running through other enemies
But every battle has two-minute breaks within the memory
All these giant insects, they put the world in jeopardy
I remember MegaMoth as if it happened yesterday
I think it's time that we combine and rip this thing to shreds
But only if you promise me that I can form the head!


Pink! Turquoise! Stick together! Some say
UltraMegafauna only clicks together one way
If that is apocryphal, might offer you turns
Up top, where the view's at, you can look stern
While we pose so menacingly, brandishing blade
About to rid us of the enemy with one swoop - Yayyy!
- Not now! Time's critical. Don't debate this again
Oops! That space worm gobbled up Michigan!
(Hook x2)",https://genius.com/Mc-frontalot-ill-form-the-head-lyrics
It Is Pitch Dark,Secrets from the Future,2007.0,"You are likely to be eaten by a grue
If this predicament seems particularly cruel
Consider whose fault it could be:
Not a torch or a match in your inventory
You are likely to be eaten by a grue
If this predicament seems particularly cruel
Consider whose fault it could be:
Not a torch or a match in your inventory

It got narrated at 
you
 
in the second person
Every time you booted up, it seemed you got another version
Of your life 
told to you by a status line blinking
The impossible people you could be without thinking
Yourself insane of personality problems
With a mop on a drop ship
 or 
trying to stab a goblin
That don’t play in public life.
 You get arrested
Psychoactive medication daily in your big intestine
And attesting that the voices in your head
Said the dwarf shot first, embedded arrow then you bled
But doctors with needles posit repeatedly
That you knocked down that midget in the park unneededly
This has seeded the idea that you should
Never venture from the house
, never get misunderstood
By the 
non-player characters
 inhabiting Earth
None of whom are too concerned about
 
Nord & Bert
Not one of whom ever aimed a fish around the room
Trying to get it in the ear canal because doom
Beset the last planet they were on
, or 
near
The verge of a set of poetics they wouldn’t hear
Never peered at the clues with invisible ink
No 
SM goddesses
 ever gave them pause to think
Never piloted six robots, each distinct
Don’t matter how many 2-liters they drink
They’re not gonna follow what you’re saying at all
They impugn and appall in the scope of their gall
As you hide in your room in disgust with the lights turned out
Turn ‘em on in a turn. Leave ‘em off for now

You are likely to be eaten by a grue
If this predicament seems particularly cruel
Consider whose fault it could be:
Not a torch or a match in your inventory
You are likely to be eaten by a grue
If this predicament seems particularly cruel
Consider whose fault it could be:
Not a torch or a match in your inventory

You read a pamphlet from a mailbox that urges low cunning
Offers cursor and prompt: type >run and you’re running
And parses what you tell it, 
pronouns intact
Abbreviations if you need ‘em (better keep it grammat.)
Better punctuate your sentences and never redact
The name of anything ambiguous
. 
You’re about to get asked
Do you mean the red one, the round one, the crooked, or the blue?
Better keep that in your pocket, don’t know yet what it could do
Could be the spray for the grue; you’re gonna need it if it is
 —
A situation that reloads, restarts, or quits
Wonder how many points out of how many points
You’ve got to get before you’re done
. 
Endeavor then to rejoice
When you wish more ardently, identities shed
For continuance,
 
the rhyme forever voyaging.
 
Fled
From all lights and colors, from all smells and sound:
Just the lyric on the monochrome display and you’re proud
To make another verse appear by solving riddles
If you didn’t have to sleep, you know you’d never seek acquittal
You’d be ever in the middle and the midst of a quest
If it weren’t for 
>don the gown.
 you’d never get dressed
In your underwear typing, just like Front
Keyboard attached up to my fingers
 — 
wrists bear the brunt
 —
As I seek to do stunts simply through their descriptions
I think I went once
 to 
some sands that were Egyptian
And I retain plane tickets, snapshots, receipts
Yet I stand unconvinced that this has happened to me
I wouldn’t want to misremember or get confused
Recall of crawling towards a pyramid appearing over dunes
Recall of entering the thing and descending stairs
Does it descend from there, adventure to nightmare?
Did I battle a snake? Was the treasure intact?
Or did the 
TRS-80
 in my brain get hacked?
Thanks, Grampa, for buying it.
 Now my life’s ruined
Twenty-two years later
, head’s infested: got the grue in
PLUGHing, XYZZYfying
, 
trying to escape
But I can’t ‘cause I’m up and around and awake

You are likely to be eaten by a grue
If this predicament seems particularly cruel
Consider whose fault it could be:
Not a torch or a match in your inventory
You are likely to be eaten by a grue
If this predicament seems particularly cruel
Consider whose fault it could be:
Not a torch or a match in your inventory",https://genius.com/Mc-frontalot-it-is-pitch-dark-lyrics
First World Problem,Zero Day,2010.0,"Nerd rap infests your internet, you left a trap, but it's empty
MC Frontalot took a gape but the bait wasn't tempting
Ending up uncaged and at large
To talk smack at you through the networking appliance that's in charge
Of every drip of your attention
Yo, when mine goes out I've got to log in just to mention
My disappointment at the interruption of convenience
I mean just: a lot left, but none up in between this
Couple of minutes here and a couple of minutes later
It's an outrage, at the price I paid
These dictators Of my leisure rule with an iron fist
Has anybody ever been so put upon as this?

Your GPS run out of battery (first world problem)
Got to wake up Saturday (first world problem)
You just delayed a honeymoon (first world problem)
Pledge season's coming soon (first world problem)
Half your friend list is spam accounts (first world problem)
And your center channel speaker's out (first world problem)
Your center channel speaker's out (I can hear that it's not on)

Muffy, my hair regrowth cream is mostly ineffective
And I'm struggling to keep this in perspective
But I feel like a massive injustice occurred
Says ""regrows hair"" on the tube (in the words)
In a third — or maybe a quarter — of all users
I must have got swindled, is it a fault? Of whose is?
Oooh, Muffy, Muffy, I had all the servants tortured
Did you keep them on retainer? Do you got some more on order?
Cause I can't comb my hair on my own no more
I got accustomed to the lifestyle, sniffed upon the spore
And it molded up my innards, made the blood turn blue
Muffy, Muffy, there's a revolution; what we're gonna do?

Misplaced the Ambien (first world problem)
Left a participle dangling (first world problem)
You're scheduling your root canal (first world problem)
Your grad schooling had no rationale (first world problem)
You didn't like your appetizer (first world problem)
Your yacht got capsized (a first world problem)

The living conditions of the American masses (that's you)
Are swiftly deteriorating
Our generation is going through the final convulsions
Of the dying world of capitalism
That's what it says here
And if you don't believe that pamphlet
Try this one:

Now while our capitalism is in a minor kerfuffle
You have to hustle before the fates come, reshuffle
Rustle up another couple grievances and air 'em
You can laugh about it later (maybe needed while despairing)
For the moment though, you ordered half caf, didn't get it
There was no TV set when you jetted; Internet resetted
Itself just as I was in the middle
Of tournament play, and so I suffered from transmittal
Interruption. Completely ruined my day
MC Frontalot's a jackass, that's all I'm trying to say
People buy CDs in these days of disaster
So poor me: I have to be a professional rapper

No bubbles in the soda cup (first world problem)
App crashed when you loaded up (first world problem)
Phone's OS is outta date (first world problem)
Colors won't calibrate (first world problem)
They never stock the snack you want (first world problem)
Caught herpes from a celebutante (first world problem)
Caught herpes from a celebutante (What a magnificent creature)
Got wallhacked in PVP (first world problem)
Oh no, HD-DVD (first world problem)
Pixels aren't perfect square (first world problem)
Your favorite rapper isn't debonair (first world problem)
You own too many underwear (first world problem)
And you're not much of a millionaire (first world problem)
Not much of a millionare ... in the first world",https://genius.com/Mc-frontalot-first-world-problem-lyrics
Nerdcore Rising,Nerdcore Rising,2005.0,"Nerdcore could rise up
It could get elevated
Nerdcore could rise up
It could get elevated

Nerdcore used to be just a made-up word
MCs shied away from belief, rest assured
They sleep hard no longer, we deliver the hits
That give the kids with the spectacles spectacular fits
I seen one nerd foam at the mouth in his glee
It was me, in the mirror, rhyming, brushing my teeth
And now the heezy we’s off don’t babble 300 baud
I get no error while compiling my rhyme The slipshod
Rap stylings of the hip kids continue to vex;
They get sex, money, power, but their jams are like flecks
Of sea foam against the great reef of my boredom
I seen them trying to act cool; ignored them
Scored some geeked out beats and a mic
Some jugglers I kick it with don’t even know I rap — it’s alright
For soon the whole nerdcore will congregate
In culmination of the monkey going acaudate

The nerdcore could rise up, it could get elevated
Oh, and wouldn’t all of those tough rappers hate it
If the nerdcore rose up and got elevated?
We consider the possibleness of this not overstated

We put our styles in the blender and the tape on our spectacles
We compile the assembler; we’d each make a respectable
Egon Spengler; your despicable, heckling, snide remarks make it
All the more delectable to mark a Jeckyl & Hyde departure from the
Larger norm or previous status quo, the clever dicks
Like us apply the baddest flow to limericks, and that is no mere
Rhetoric. We don’t just wreck shop, we mop the shop floor
With rappers who romanticize their third eyes when we’ve got four
Each, and we exceed your reach, we’re world wide
Webslingers with the combined military might of the Girl Guides
Dead ringers for the lone gunmen, or maybe Jonathan, Andrew and
Warren from Season Six of BtVS, we’re geniuses and we’re devious
We’re seen as fresh on the BBS where we write graf in ascii files
With nasty styles and blinking blocks
This ain’t your father’s Lincoln Logs!
The Frontalot ownz j00, and Stephen Hawking r0x0rs
We’re not even talking solely to cats with argyle in their sock drawers
Our styles got the top score spot, yours did not, sorry!
Stick to the shockwave games, lickin’ shots at the top
Forty! I made my own Doom .wads, dickwad
My own sprites and .mus files, I stayed home nights...


Nerd: when you say it you best say it with awe
‘cause I’m the type of nerd that will bust your jaw
A nerdcore player, I’ve paid my dues
Got lowered suspension and chromed out shoes
Hear ye hear ye, in case you ain’t heard
20-aught-5 be the year of the nerd
Nerdcore’s gonna be crazy large
And we the N.I.C. bitch, the Nerds In Charge
We bust more rhymes than Theodor Geisel did
Got more game than a 2600
For punk MCs who playa-hate
We got one word: EXTERMINATE!
Just a matter of time before we’re household names
So you best suck up now before fortune and fame
Put our asses out of reach of your quivering lips
As we ride to the top on a nerdcore tip


And I know that possibleness is not a cromulent word;
Every syllable injected is intended to be the one you heard
(an absurd juxtaposition of mission and goal)
Frontalot: about to roll
His diploma up tight and smoke it
Nerdcore’s about to sit there unless you poke it
You want to prod it? See if it’ll kick?
While the smart kids calculate the hip-hop shit?
Got a vast network of subversives & criminals
Who sit in front the screens, all heedless of ridicule
These days, the complexion cleared up but the rhyming remains
Still ain’t nobody knows my name
And I think the same thought with great regularity:
That I’m the best MC that I can bear to be
And I’m scared to be either doper or dorkier
Bound for the high road even if it looks forkier...",https://genius.com/Mc-frontalot-nerdcore-rising-lyrics
Zero Day,Zero Day,2010.0,"They take the world over one node at a time
They put the seed in some software and make it shine
So the dimwitted among us grab tight and install
Put it right on the wall, and don't notice at all
That the celebration of a day impends
I want to note it on the calendar, I ready my pen
I get ahead of my friends in my haste, I let slip
That the zero day is coming, MC Front still ill-equipped
Boom how it hits you, when it comes
If you're touching on an interface you steady your thumbs
Since you might have to jump ship quick, the sting stuns
It isn't designed to destroy, it's just how it runs
And I sing fun songs but this here is a warning
That the exploit's open and it might sound corny
But I give a damn about the state of the Earth
Expect a hacker has to wreck it just to teach it what it's worth

And on the first day, it's already too late, it's already too late, it's already too late
And on the first day, it's already too late, it's already too late, it's already too late
And on the first day, it's already too late, it's already too late, it's already too late
And on the first day, it's already too late, it's already too late, it's already too late
And on the first day, it's already too late, it's already too late, it's already too late

Press play, prepare as history is made:
""Largest hack in one day,"" all the headlines will say
All out of time, hear the chime from the buzzer
Found this bug on my own, no need for a fuzzer
""It's already too late,"" spreading as we planned
No need for the NO OPs, I know just where to land
Clearing out the registers, with pointers to my functions
Loaded to your memory and writing new instructions
Braindump I/O, siphoned out the eye holes
Enticed so I'm digging through the disassembled byte code
Push pop change order stack frame FILO
Filesystem inodes, all fall to my flow
Running over, there again I go
Self-propagation engine, polymorphic sideshow
Every network, we're found to get around
The exploit payload encoded in this sound


Man, cousin, I'm about to put in the work
Assert authority. Administrative access: crack this
If your patches back in the past, this
0day gets you on a root trip. TrueCrypt
Key file, I will keystyle shell code
Triple sevens all up on the ch mod
Shhh mode, how I'm keeping this here
Cause if I keep my game on tight my 0day lasts another year
You're a little bit late
I had that nfsd back in ninety-eight
And the DCOM bomb owned the Zone Alarm
So get your lip balm kitty; NEDM three fitty
Got them bots in every city with the Spamtec committee
And yt the almighty, zero day beats flying. And who's giant?
That's us. With the upstream plus, we're CAN-SPAM compliant


Yo, when it flips, new world is a permanent state
Cultivate paranoia cause the Huns at the gate
Are many millions strong, all arrive in a spate
YT Crack and Int80 been shipping them freight
All walls up to date, let them come, you can cope
Pwn the rug out from under you and sunder your hopes
Send a no points bulletin out; they're undiscovered
Eyes to the horizon! Not much longer undercover",https://genius.com/Mc-frontalot-zero-day-lyrics
Origin of Species,Secrets from the Future,2007,"Congregation, settle in your seats
The Reverend Front Aloud is on the mic and about to speak
I’m about to freak you out, make you shiver in the pew
While I’m delivering to you my sermon and divinity ensues
Brought by the one true God. It’s a fact:
Anybody else who ever had a God, their God’s wack
We ain’t got to worry about ‘em; we picked the right horse
You’re in the right house of worship (of course)
And forces are gathering out in the world
To diminish our faith in ways radical and thorough
To discourage us from loving anything that’s immaterial
To tempt our children with ever fruitier cereal
And worst of all, to call us idiots while they do it
My congregation, listen; I’m about to walk you through it
We’re going to take the nation back from the heathens that’s within it
We’re gonna get the most egregious of the atheists imprisoned
Cause a schism while we’re at it, but emerge on top
And once we’ve purified our ranks we won’t stop —
We’ll purify your minds of what’s illegitimately thought
It’s not to be a battle indiscriminately fought
But an orchestrated effort, and I’m gonna need you to commit
Might take a couple generations for this deviltry to quit
Start with the kids — in fact, they get distracted from the Lord —
So I’d like you to write a couple letters to your school board

Do you, do you really believe
That we were nothing but them monkeys swinging up in the trees?
Don’t it seem a little likelier that Adam and Eve
Did a lot of humping, and that was the origin of the species?

And what has this so-called science ever done for us
But trumpeted that when ashes go to ashes & dust to dust
Despite the fuss of living, energy gets conserved
Denying the weight of the soul of a man: this is ill deserved
This is still the curse of Copernicus that we suffer
Secular thought ought not to overflow its buffer
And run roughshod through the minds of you, the population
Heretics such as Dawkins and Sagan overstep their station
To say that what we see and what we believe should be confluent
Look to your Reverend to end apostasy — that’s what I’m doing!
Look to your Holy Book to light the way; that is its purpose
Open it up and you’ll find Eden ‘fore you even scratch the surface
And sure, this should be mirrored in the textbooks verbatim
But I’m not in a position yet to issue ultimatum
So I lay down my scheme: we’ll make it seem as though creation
Isn’t anything we’d like to interject to education
We’ll wrangle up the language: science, data, theorem
The irreducible complexity of the ears we use to hear ‘em
Gnashing teeth and wailing from Kansas to PA
Yes, my flock, I talk of futures not imminent but underway
Already established an Institute for Discovery
Discovered that Darwin is dead with outlook grim for recovery
Schoolmarms will soon say that he burns in a fiery sea
Think how much like paradise that’s gonna be

Do you, do you really believe
That we were nothing but them monkeys swinging up in the trees?
Don't it seem a little likelier that Adam and Eve
Did a lot of humping, and that was the origin of the species?",https://genius.com/Mc-frontalot-origin-of-species-lyrics
Spoiler Alert,Zero Day,2010.0,"You're annoyed when I talk during the film
It's just another classic that you haven't seen (still!)
Just another ill-in-the-head in the plot;
""
Norman Bates, is that all you got?
Might have guessed from the name of the thing.
"" Don't complain
That you never heard the ending of The Crying Game
Well, it's a penis, and at this point a shaggy dog
(which is: nothing to see here; move along)
The Apes rule the Earth.
 
Vader's poppa to Luke
Brad Pitt and Ed Norton are obviously two
People, but they've got to share one character
Bruce ain't alive, kid, no matter how he stares at you
Snape kills Dumbledore but with a noble motive
Everybody's guilty on the Oriental locomotive
Veidt's villainy ends world squabbling
And Deckard is a replicant (probably)

Say I ruin everything for you — well, it's mutual. Well, it's mutual
X2

Don't wager on survival for Bambi's mom
Artax
, Old Yeller,
 
Mufasa
, 
King Kong
All spawn of Medea should fear for your throat
All on the Titanic should fear for your boat
Yo, Frontalot gave it away before it happened
If you're in Moby Dick then I hope you're not the captain;
If you are, then I urge: rethink revenge
Cause you're headed for the bottom and you're bringing your friends
Fall into Wonderland then you're definitely dreaming
Sleeping by the stream, and all is only seeming
If you're in the Bible, it ends in Armageddon
If you're in the Y2K, it's less upsetting
If you're living in the 80s, spoiler
: 
gay Wham!
Space ships can blow up.
 
Trickle-down economics is a scam
But you'll figure that out
I don't want to wreck the ending for you, make you pout

Say I ruin everything for you — well, it's mutual
In the future, do not do what you do
X2

If you're in the French Revolution, I warn it won't last
If you're in the Kennedy clan, beware a muzzle flash
Airplanes, also, quite often destroyed them
And if you're a Lennon, there's a Chapman.
 Avoid him
Boy when I'm spoiling the ending you frown
No empire lasts forever, go to town
But if you're old Rome, look out for that Nero
In case you're a countdown, look out for zero
Any time you're a ticking bomb, explode
(and nobody make it out except Horatio)
Cause every peanut brittle's got a snake inside
And Jacks-in-the-box, meant to startle, pop high
If you didn't know already, I'll apologize
Peek-a-boo's a game; it's a trick of the eyes
Not a bending of reality itself
Spoiler for infants: adults use stealth
x2",https://genius.com/Mc-frontalot-spoiler-alert-lyrics
Charisma Potion,Zero Day,2010.0,"Fuck you, look at my cool hat
I could be you, stat
I could be anything, anytime
With the right potion, invocation: many rhymes
Expended in the process
Compression so fresh, you wonder am I lossless
Does it cost this too?
Is there any question what I'm willing to do?
Tip the lid off, tilt the flask in hand
Taste like ass but the task is grand
Been the lastest man picked for the kickball
Incoordinate: to hit, I miss a brick wall
That won't help an unpopular pick
Take a swig, now I'm captaining shit
And I'm putting legitimate players on duty
To gather them beauties what thought I had cooties

Is it one attribute you did not roll?
Is it one bottle in the Bag of Hold?
Is it one goal: to pass the stat check?
To sip the extract, you command the respect
Is it one attribute you did not roll?
Is it one bottle in the Bag of Hold?
Is it one goal: to pass the stat check?
To sip the extract, you command the respect

By the CHA on my character sheet
Yes, I pencil a plus; thus, I deem it discrete
From the inked-in single-digit charm that I got
In initial calculations, weighted and fraught
With compromises (not with surprises)
No shock to the misers of points when I'm leveling up
That the prizes all go in one cup (which one?)
INT increased always and didn't start low
Now it got so high, I get to fake the flow
Just by figuring out the simulation and enacting
I get crafty, take a vial's worth exactly
Another couple sips, I'm up on top of the world
Yet another to my lips, the way rhymes get hurled
You'd affix to my person impossible statistic
A temporary boost, it desists quick
Desists quickly
I ought to say quickly, it is an adverb


Yes, you might consider Frontalot an expert in the subject
Soaking in the potion such a length, I make a subset
Of bath-time wrinkles, devote them to this:
Amplification of fabulousness
Take a stab at a dis, note it doesn't connect
So buffed, you don't even need to look up the check
Just hand the dice over, hang the head low
Don't blame it on the Captivation enchantment on the robe
Boots of Beguiling leave a sparkle where I tread
+8 Helm of Glamour merely flatters my head
What I said was: the outfit is ornamental
It's incidental. The elixir's effect is ungentle:
It blends me with confident types
If I lift a toast to them, am I being polite?
To the kids who arbitrated on the topic of cool:
Look at my cool hat and fuck you

Damian, are you saying at-TRIB-ute, or AT-tribute?
Uh, AT-tribute, obviously
Because it sort of comes off sounding like, A — if you said at-TRIB-ute, it’d be a verb not a-
The words do whatever I tell them to do
Your eyes are sparkly",https://genius.com/Mc-frontalot-charisma-potion-lyrics
