title,album,year,lyrics,urls
The Bridge,Down By Law,1987,"Ladies and gentleman
We got MC Shan and Marley Marl in the house tonight
They just came from off tour
They wanna tell you a little story about where they come from
 x4
The Bridge, Queensbridge

You love to hear the story again and again
Of how it all got started way back when
The monument is right in your face
Sit and listen for a while to the name of the place
 x4
The Bridge, Queensbridge

Hip hop was set out in the dark
They used to do it out in the park
Every place they said his name, it rang an alarm
Otherwise known as Mean T-Tom
A brother who's known for his rap - Jappy Jap
Larry Larr, third least not last
A cool brother by the name of Gas
Phase Brothers made you get loose
They was down with a brother called Cousin Bruce
They used to jam in the center
You had to pay so you could enter
Go to the door get frisked, just in order to get in
And if you wasn't from this town then you couldn't fight and win
But every time they had a jam they couldn't get no peace
So that's why the jam's out there in the parks they had to cease
'Cause you was in
 x4
The Bridge, Queensbridge

Why don't you wise up show all the people in the place that you are bright
Make this here one jam that you do not start no fight
Cause that is one thing that we all must see done
And if you start some shit your ass had better run
Cause you're in
 x3
The Bridge, Queensbridge

Dimples D the girl, she was great
Her and Marley Marl went and cut a plate
They used to rock it out in the place
And the title of it was Sucker DJ's
And then he strolled along one day
And then he walked into a girl named Shante
Third in line you know its me
MC Shan ha ha in the place to be
MC Man he made them beg
He is the man who is known as Craig
The newest member out to get loose
Now he is down with us and he got the juice
This is the place where stars are born
And we are the only ones that can't be worn out
By any place any part of the world
And while I'm out on tour keep your hand off my girl
While she's in
 x7
The Bridge, Queensbridge

Dead dreams, bought and sold
You gotta try and receive your goal
However you do it however you may
Don't ever listen to what nobody say
'Cause I will tell you the deal
You gotta go by what your heart feel
'Cause if you don't you'll be misled
By stupid little things put inside your head
Or someone else that you will see
They're trying to lead your destiny
By the time you think about it you're grown
Then you say goddamn I gotta leave my home
Grab hold of your heavy chain
Which people always pulling always trying to restrain
You heard just what I said
They're always pulling you back when you want to get ahead
They pull you back cause they're not with it
You're talking about school
They're talking about quit it
Soon you'll see that time will fly
But you spent most of it out gettin high
Thought about it much, much later
Could've went to school and been much greater
But you chose to lead that fate
Now you're sucking on a bone when it should've been steak
The whole purpose of the story I told
Was mainly to inspire you to reach your goals
Stop walking through life as if you are blind
You should reach for your goal 'cause I'm reaching for mine
And I'm from
 x4
The Bridge, Queensbridge

Keep on rocking, the bridge will keep rocking
If the beats stop rocking the bridge will keep rocking
If the beats start rocking the bridge will keep rocking
*repeated*
Ladies and gentleman
We got MC Shan and Marley Marl in the house tonight
Ladies and gentleman
We got MC Shan and Marley Marl in the house tonight
They just came from off tour
They wanna tell you a little story about where they come from
They just came from off tour
They wanna tell you a little story about where they come from",https://genius.com/Mc-shan-the-bridge-lyrics
Kill That Noise,Down By Law,1987.0,"Rhyming is a thing that I do at will
Be glad to rock a party just to prove my skill
J-u-ice is what I'm gaining
With a style so fresh that it's self-explaining
Never bite a rhyme, I don't live that way
But when I get dissed, violators pay
I'm a crowd motivator, MC annihilator
Never front the move 'cause I'm not a perpetrator
I don't really mind bein' criticized
But those who try to make fame on my name: die
Rhymes of all styles, all categories
From fresh freestyles to real fly stories
This jam is dedicated to you and your boys
And if you knew what I knew then you'd kill that noise

I devastate the crowd while the record spins
So-called competitors have no wins
I laugh at MC's who call me wack
You ordered, and now I'm gonna serve you, Jack
We're respected by all, treated just like kings
How could you have the nerve to say such things?
If you knew at the time what you were saying
You wouldn't be on your knees - praying
You gotta understand I'm not the average MC
At the first sign of trouble grab the mic and flee
Grab the mic, plug in the beat box jacks
Prepare for the battle, then proceed to wax
Take as much time I feel is ample
To duff an MC to be made example
This goes for all sucker MC chumps
Who hear my name, and suddenly Kool-Aid pumps
So if you're thinking 'bout dissing me, better think twice
'Cause next time, brother, I won't be so nice
You can come all alone or bring all your boys
But if you knew what I knew then you'd kill that noise
(South Bronx)
Kill that, kill that noise (Repeat x8)

I must say MC's got a lot of spunk
To get up on stage and pop so much junk
I'm not worried 'cause I don't get waxed
And you wouldn't believe how hard I max
School's in session, I'm about to teach
Versatile with a style that you just can't reach
Lesson number one: first strike aim
You shouldn't do things to degrade my name
Your records won't sell 'cause the people won't buy 'em
A sucker MC's like chicken: I fry him
I started with a smash, I'ma leave with a bang
And to put it to you bluntly, MC's can't hang
Your boys and your family will be grieving your death
Weeping while they're sweeping up the pieces I left
You can come all alone or bring all your boys
But if you knew what I knew then you'd kill that noise
Marley Marl
: 
Yo Shan, I didn't hear you say Hip Hop started in the Bridge on your record
MC Shan: I didn't, they wanted to get on the bandwagon

Because I rhyme so fly, girls can't resist
But her man can't understand, so he gets pissed
Like a preacher at work, when she hurt I'll heal her
I'll leap, you sleep, and believe I steal her
My mama used to say be a ladies' man
I used to always wonder why she named me Shan
Not hard to pronounce, easy to spell
And oh how I love it when the ladies yell
Her man better chill when my jacket's unzipped
I got a .25 with an 8 shot clip
You're sayin' to yourself that's a BB gun
But the place that I'mma shoot ya it'll take just one
I'll rip you into parts, little pieces and specks
You'll be saying to yourself ""What can happen next?""
This jam is dedicated to you and your boys
But if you knew what I knew, then you'd kill that noise
Shoulda stayed in school, learned comprehension
Trying to state facts that I did not mention
Sucker MC's I hate the most
Next time I make a record you should listen close
'Cause MC's like me are the real McCoys
So you sucker MC's better kill that noise

Marley they're trying to diss us, man
What's wrong with that, I took care of that
Ha-ha-ha-ha-ha
KRS-One and Scott La Rock
Ah-ha-ha-ha-ha-ha-ha
Yo, he talk about, strung on something
Man, we cold cooling in the place
Drivin' fresh Audis and coupes
What's wrong with y'all
Strung?
The only thing we strung on is music
And you strung on ours",https://genius.com/Mc-shan-kill-that-noise-lyrics
Left Me Lonely,Down By Law,1987,"She used to tell me that she loved me all the time
I'd turn to her and say that, ""I'm
Infatuated by your lovely smile
And some day soon we're gonna walk the aisle""
She'd say, ""You're my everything, my strength for life
Be the mother of your children, as well as your wife""
She used to tell me all the time, I'm her one and only
But she ran with another man and left me lonely

Coincidental how I met her
But when I seen her I knew that I'd get her
Can't let her step, she look too good
But my wears made me seem like a stone cold hood
I'm a lucky guy, so I press my luck
I step to her, ah what the fuck
Went her way, took a few steps past her
Got the nerve, and then I asked her
I said, ""Yo baby,"" and she started to reach
I said, ""Whoa, don't get excited, that's a figure of speech""
She told me her name, gave her number and all
And when I stepped, she said I better call
It took about a month, but she was finally mine
Everything was going smooth, we were doin' fine
After a while it wasn't no thing
We were either holding hands or she was under my wing
She used to whisper in my hear I'm her one and only
But she ran with another man and left me lonely
[Hook: 
TJ Swan
]
Girl, why'd you have to leave me that way?
I love you to this day
And it hurts to think of the words you used to say
Girl, why'd you have to leave for so long?
I never did you wrong
And it seems we had such a love that was so strong

On the day she broke out, would you believe I cried?
And it hurts so much to think of how she lied
I shared everything to the very last penny
Somethin' that you really can't do with many
Since this young lady was such a big winner
I'd treat her all the time to a candle light dinner
Have a violinist play a real sweet song
And she never showed a sign that somethin' was wrong
My boy used to say (Man Shan, I'd quit her)
But she seemed so happy every time I'm with her
We used to hold hands and walk in the rain
And on the days I felt down she eased my pain
This was just too far-fetched to believe
To think that my girl would just up and leave
Imagine that - I just couldn't
Cause I knew deep down in my heart she wouldn't
All of a sudden a lot of things changed
She started actin' funny, I mean a bit strange
We had little squabbles, arguments, fights
Wild stories in the days and stayed out nights
I'd say, ""Baby, where you been for all that time?
She cuddled me close and say that I'd
Be the one that she call her only
But she ran with another man and left me lonely

Girl, why'd you have to leave me that way?
I love you to this day
And it hurts to think of the words you used to say

She put it to me plain, couldn't put it no clearer
Lipstick written on the bedroom mirror
Said, 'I'm leaving you now, and I know that you'll miss me
You're probably saying: Damn, man, why she dissed me?
But you see, I felt that it was time to go
Then I packed my bags, and I'm leavin', so
You take care and I hope you live long
And don't worry, there's nothing that you did wrong
You'll find the right girl someday, you'll see
Why I'm the type of woman that must be free'
I said, ""Why me?"" and fell to the bed
Reached for the 9 and put it to my head
And thought about the words that she once said
(Shan, you know that you're my one and only)
But she ran with another man and left my lonely

O-o-o-oh girl, oh my girl
Why'd you have to leave?
Leave me so sad
Girl, you broke my heart
Oh, you drive me wild
You leave me by myself
All by myself
Girl, I don't know what to do
I'm so mad
Girl, you drive me wild
Ooh so wild
Baby drive me crazy
Leave me by myself
Leave me all alone
By the phone
I don't know what to do
I'm so mad
Girl, you drive me wild
Oh so wild
When I saw you leave me
Makes me want to cry
Girl, I'm breakin' down
Breakin' down
Yo, I don't know what to do
(Love)",https://genius.com/Mc-shan-left-me-lonely-lyrics
They Used To Do It Out in the Park,Born to Be Wild,1988,"The hip-hop sound went through stages
Embark on a trip as I flip through pages
This particular part 'bout a bridge on the Hudson
I first got hand by the rhymes and the cuts and
If I'm not mistaken makin' two records mix
And certain deejays had a few dope tricks
If you asked to be on you would be their guest, y'all
Say a few ""ho""s and a ""yes yes yes y'all""
They had battles of the neighborhood jocks
And I used to take the jam right straight to the box
Every now and then you'd hear gunshots ring
Just duck, what the fuck, yo, it ain't no thing
What I thought was shots was just a few pranksters
Were pow-pow-pow men juicin' the gangsters
Hip-hop - was set out in the dark
Hip-hop - was set out in the dark
They used to do it out in the park
They used to do it out in the park
Hip-hop - was set out in the dark
Hip-hop - was set out in the dark
This was a time MCs used to bug out
Yo, what happened? (Yo, somebody pulled the plug out)
Just about the time when you jumped for joy
(Yo, you take my stage, I'mma kill you, boy)
Answer back and gettin smacked and your friends made jokes
(Hey, pack it up and get out of the park, folks)
But only to the cops we made some committment
I was shocked when the stick-up kids took the equipment
Say - what - is the message?
(Love is the message)
Say - what - is the message?
(Love is the message)
Hip-hop - was set out in the dark
They used to do it out in the park
In the winter time they moved the jams to the 
Do you think that the cold made the whole thing cease?
I recall seeing Flash one time - no, two
Can't forget about the Queensbridge Crew
For this is the place which I made my mark
And those who resist or try to diss get sparked
In the park after dark things really got cookin'
I seen the titles of idols and many chains get tooken
I seen the scatter of pack, letter for letter
If you wasn't from the town they'd beat you down
But these are just pieces of the ancient ways
But the rule still applies to the rhymes nowadays
Just wave your hands in the air
And wave 'em like you just don't care
If you used to do it out in the park
Let me hear you say ""oh yeah!"" (oh yeah!)
Oh yeah! (oh yeah!)
A time when...
Hip-hop - was set out in the dark
Hip-hop - was set out in the dark
They used to do it out in the park
They used to do it out in the park
Hip-hop - was set out in the dark
Hip-hop - was set out in the dark
They used to do it out in the park
They used to do it out in the park
Dead dreams - still bought and sold
I strive and I strive to receive my goal
I'm still not happy up until this day
But I'm chill and I don't care what nobody say
Livin' and learnin' about the straight up deal
And got by cause I went by just what I feel
Cause I refuse to be mislead
By puttin' pipes to my lips and smoke in my head
Think about it, much, much later
Go to school and expand because knowledge is greater
But she chose to lead that fate
Eye to eye with a dick on a $5 date
The whole purpose of the story I told
Was mainly to inspire you to reach your goal
Stop walkin' through life as if you were blind
You should reach for your goal cause I'm reachin' for mine
They used to d-do it out in the park
D-do it out in the park
Hip-hop - was set out in the dark
Hip-hop - was set out in the dark
They used to do it out in the park
They used to do it out in the park
Hip-hop - was set out in the dark
Hip-hop - was set out in the dark
They used to do it out in the park
They used to do it out in the park
Hip-hop - was set out in the dark
They used to do it out in the park
Hip-hop - was set out in the dark
They used to do it out in the park",https://genius.com/Mc-shan-they-used-to-do-it-out-in-the-park-lyrics
I Pioneered This,Born to Be Wild,1988,"The way I shine, I got splendor
I'm the real thing and not a pretender
You get the nerve to pop the fatal question
I'm takin' the time to make a small suggestion
Write a will for your family's conveniency
Rappers I serve without mercy or leniency
No frame of mind, no heart, I'm relentless
Step to me, I'm knockin' you senseless
I planted my seeds, so don't try to uproot me
You do better tryin' to straight up shoot me
I'm not just a writer, I'm a real idealist
It won't be long until you try to steal this
Make your head swell till your eyes start to dilate
Yeah sucker, you better not violate
Not one MC in the world I'm afraid of
Have you screamin' my name like your girl when I slayed her
This is the long cause I can't take a short take
Softer than cream between pieces of shortcake
There's no chance of you havin' a mistrial
The very next time that I get dissed I'll
Sit back and write a rhyme stronger than Hercules
Funky parts, I got back and I circle these
Put em together, fix the conjunction
Then I'mma bust rhymes till my brain malfunctions
Dare to degrade my name, that's perjury
War's declared, so prepare to have surgery
Cut you with a rhyme of such a high fidelity
Give a kick like a Roland
 and you's as soft as a melody
Since you're chalk my rhymes will erase ya
Want a piece of that ass so bad I could taste ya
Faced rappers from wack, ill, to even notorious
You may be clever, you'll be never victorious
I feel free now that I cleared this
How could I fell off, boy, I helped pioneer this

Violators, I go vic em
When I hear...it's like ""sic em!""
I transform just like a Decepticon
And once I step to you, boy, you're 'bout to be stepped upon
Say rhyme after rhyme back to back, so consecutive
Appointed rap's chairman, the highest executive
No time to grieve, you won't believe I slapped ya
Change the time frame and still barely capture
Ask em who's their dad and if they're not sayin me
If he wasn't deceased, then he gotta be payin' me
I'm super superb, Mister Fantastic
No relation to drugs, but this is dope on plastic
Don't try to play heroic and be Mr. Braveman
My rhymes become a whip and beat you down like a slavehand
If this is what you deserve I serve you with justice
Be as sharp as a pin and still can't bust this
Just name one time that Shan get jetted on
If you did get light, boy, now who you think shedded on?
My rhymes to your mind is like a breath to freshen up
This is not a threat, feel free about steppin' up
Once I'm on I'll think about gettin' off
Play me close or out of post and I bet that I be lettin' off
Rap is a game that you shouldn't indulge in
My rhymes are so good they keep my pockets bulgin'
To delight I sit back and write a rhyme like this one
Relax, grab the buddah and proceed to twist one
By then you might as well tell your boys nice knowin' ya
The next time they see ya, I'll probably be ho'ing ya
Cause I write rhymes in more than just two scoops
And Puma's the brand cause the Klan makes Troops
There's no competition cause there ain't no comp
Fuck around with this and get a mudhole stomp
I feel free now that I cleared this
How could I fell off, boy, I helped pioneer this

This throne is mine, I'll never sell or forfeit
So all you no-name rappers better get up off it
Although I been chillin', man, the villain that's still in me
But sayin I fell off is worse than killin' me
Marley sets the time for the rhyme to be ready by
One-two-three (yo man, put him to beddy-bye)
You cease to exist, I be your pitfall
You think that this is harsh? That ain't shit, y'all
Placed in the ground in wood as encasement
Those that bluffed got stuffed in the basement
Most of the time myself I kept to and
Obtain the rep that you're scared to step to
Don't assume I leave, no room to evade
Gettin' out, that I doubt, so prepare to be slaved
You're neither here nor there, I'm number uno, priority
Rhymes are so smooth, groove shows my authority
Shanté, me, Bizzy and Kane are her protégés
Takin' out Rush you know why? We know the way
We're down with the Juice, don't you think that's virtue?
Dare to make fun of us and one of us'll hurt you
Whoever's the closest, I mean that the nearest will
Remove so many rappers you be callin' us Clearasil
I feel free now that I cleared this
How could I fell off, boy, I helped pioneer this",https://genius.com/Mc-shan-i-pioneered-this-lyrics
Beat Biter,UnKnown,UnKnown,"Let me rock this rhyme only if I may
It's directed to my man LL Cool J
Your brand new jam sure does sound sweet
You ""Rocked the Bells"" but you stole my beat
Me and Marley Marl, we designed it well
You added some percussion, thought we could not tell
It will be my glory to tell this story
It will even be rocked in your territory
Think they're so slick that they can't be greased
What I really hate most be biting MC's
To make their own would be a total waste
Let me tell you what happened in this one case
Turned on the radio station of my choice
When I heard my beat with the next man's voice
Put it on tape and I played it again
It just couldn't be, so I asked my friend
He didn't wanna hurt my feelings, so he said ""I guess""
Played it one more time, homeboy said ""yes""
I got so mad that I wanted to scream
But I sat and wrote a rhyme to release my steam
It just so happened that we met some place
I confronted this beat biter face to face
I asked did he do it and of course he denied
So I had to say, homeboy, I let that slide
To this here story there is no end
I'm just waiting for the sucker kid to do it again
I was just so shocked when I heard his cut
I called his girl everything but a sleazebag slut
Beat biters I devour like a three course meal
So be careful next time whose beat you steal
That's not really what this song is about
But if you steal my beats, I'm taking you out
The lyrics that I use in my rhymes are so nice
You press rewind and say, ""Man, I got to hear that twice""
Jack be nimble, Jack be quick
Saying things like that, you must be sick
I feel sorry for those souls, it really makes me sad
Telling stories of the battles that they never had
I'm the root - my rhyme the tree
As essential to my mind as my eyes must see
I expand one's thoughts to the very extreme
Have you thinking something's real when it's only a dream
If I was a perpetrator I'd feel ashamed
Putting silly words together that all sound the same
If they elected Presidents for fresh rhymes that they wrote
I'd be the winner hands down, they'd abolish the vote
Because I'm quiet at times don't mean I don't have heart
I be praying half the time please, don't let me start
Cause once I start I'm gonna cold get ill
And at times it takes a posse just to make me chill
I say, brother, let's do this right
First we'll drink tea, and then we'll fight
So what I made a jam on the mellow side
It was something worthwhile, so I kept my pride
Now that my neck is out of the noose
Rock parties so hard that you gotta get loose
When you were just a kid with your runny nose
With your everlasting sneakers and your bummy clothes
Before you ever thought of making rap your trade
You were dreaming of Adidas while I got paid
Now you're sitting there wondering how I know
About the days when you used to be an MC ho
People souped you up, told you you were nice
Not only rock 'em once, rock your weak rhymes twice
For guys like you they should create an award
For the most attempts and the least that scored
See, I'm a rhyme writer, Marley mixes my cuts
I adore fly girls and I spit on sluts
I hold the rap population in the palm of my hand
Little children saying, ""Ma, I wanna be like Shan""
I got the knowledge to know, the wisdom to speak
The understanding of my rhymes is at its fullest peak
There were a lot of MC's that tried to riff
But they wound up on the slabs as an MC stiff
No typographical errors, God bless the dead
Don't take it too light, these things I said
Final judgment over all like a full-fledged king
So my sentence to death, others never to sing
I'm chilling for the moment, yes, my friend
In a minute I be making six g's times ten
This might put you in a state of shock
It's not how much you make, it's how good you rock
Just to let you know who's DJ's greater
Marley'll wax, buff and Simonize Cut Creator",https://genius.com/Mc-shan-beat-biter-lyrics
Words of a Freestyle,Born to Be Wild,1988,"The microphone stand is where I make my escape
Out of the blue I see some dope rhymes that I shoulda take
I used to say em off the top of my head, man, could I drop a
Megaton bomb that was odd to stop, a
Movin train, hope I don't have to explain
That any rapper step in my way, he's bound to be slain
The stage is the court, I'm the judge and the juror
And when rappers pass me by they should Heil to the Führer
Although you may hate me and down to degrade me
There's some suckers walkin 'round tryin to cold imitate me
Never cursin or rehearsin cause I'm so versatile
And you can tell by these words it's a freestyle

MC's I wipe out and rub them, don't care if you love them
And I wish you placed my name ?that flies? way up above them
Each and every show I do ends with applause
Here's lookin at you, kid, now go for yours
And if you choose not to, then I'm gonna take it
A night you'll never forget: it's just what I make it
And it won't take long for me to sing a new song
Because the key to gettin paid is you should never prolong
See my mind is set to automatically jet
You can't name the day you seen me let a mic pass yet
Once the microphone is mine I start by thankin you greatly
And you haven't heard of anybody duffin us lately
Never cursin or rehearsin cause I'm so versatile
You can tell by these words it's a freestyle

Just take another look at this one tough cookie
And could never be duffed by a new jack rookie
See, before I came with an MC name
And I feel sorry for the rapper that tries to proclaim
Because you won't have a chance and you will need advancin
Marley hasn't made a beat yet that wasn't enhancin
As a matter of fact I keep my rhymes intact
Severly's how you get served for callin me wack
Never again, I'm reminiscin
Last rapper in the world you should think about dissin
Cause my lyrics are burnin, Marley's tables are turnin
And ?sufficiant? we give suckers are watchin and learnin
MC Shan and Marley Marl and we're respected so greatly
And you haven't heard of anybody duffin us lately
Never cursin or rehearsin cause I'm so versatile
And you can tell by these words it's a freestyle

I come runnin when the microphone calls
Say a few ???, say ???, say ho and yes yes y'all
It gotta be ill cause I don't write no frill
You used to love to hear the story and you always will
We put the B, the B, the Bridge on p-plastic
??? like ???
But the ??? made the jivva-jivva-jam c-classic
Come to think about it, we're respected so greatly
And you haven't heard of anybody duffin us lately
Never cursin or rehearsin, I'm so versatile
And you can tell by these words it's a freestyle",https://genius.com/Mc-shan-words-of-a-freestyle-lyrics
Living in the World of Hip-Hop,Down By Law,1987.0,"Hip-hop
Hip-hop
Hip-hop
Hip-hip-hop	(2x)
There is no implication hip-hop is wrong
Beats tapped out, played back in songs
Consider hip-hop as a verbal sport
It brings pleasure while expressin one frame of thought
Those that don't like it, then you're psychotic
To my point of view hip-hop's exotic
Rhymes being written everytime you blink
With no vital signs of becoming extinct
Try to demolish, it will not be worth
Killing all hip-hop fans on earth
Don't try to compare it, there's no relative
The word to describe hip-hop: creative
Once you're at a party you're in hip-hop's lair
To downgrade art, how could one dare?
Once upon a time they used to play soul
From there they went to rock 'n roll
Rock died down, then along came pop
Now you're livin in the world of hip-hop
Hip-hop
Hip-hop
Hip-hop
Hip-hip-hop	(2x)
I am the creator of my hip-hop style
With a level of college understood by child
Hip-hop is being moved on a one-way course
Up and being led by an unseen force
You try to hold it down, won't be no good
The more it gets exposed, the more it gets understood
It's all fantasy, yet all realistic
Often complicated, other times simplistic
Lyrics so sharp, they can cut like a knife
I'm sworn by oath to the hip-hop life
Less live drums, less guitar strumming
Hip-hop is the life of the up and coming
Not by force, by one's own choice
Persuaded by the beat and the MC voice
There are people who love it across the land
And there are those that think that it should be banned
Well I say I love it, it comes from my heart
Very thankful for the day that it got its start
Now that it got started, you see it won't stop
And you'll be livin in the world of hip-hop
Hip-hop
Hip-hop
Hip-hop
Hip-hip-hop	(2x)
(Super sperm)
Hip-hop
Hip-hop
Hip-hop
Hip-hip-hop
The only thing you could do that would make me mad
Is take away my pen and my hip-hop pad
Take that away, I have nothing left
So let it go free or sentence me to death
I know you had troubles with your moms and dad
When you were growin up goin through your childhood fad
Some parents think that hip-hop means
Wearin fat shoe laces and name brand jeans
It really doesn't matter just what you say
Hip-hop will be around till you're old and grey
They're just all lies created by nerds
You think that I'm playin, you mark my words
Just like man sends rockets to Mars
Hip-hop living is ascending to stars
The more it gets accepted, you'll see it won't drop
And you'll be livin in the world of hip-hop
Runnin neck to neck in the music world race
You don't have to listen if it isn't your taste
It's becoming worldwide, internationally known
Have you ever heard the saying 'to each his own'?
People like jazz, cause that's their taste
I prefer crisp highs with an earthquake bass
There are hip-hop songs that make you tense
And then there are those not worth 2 cents
But still hip-hop's gonna make its mark
Cause you used to only hear it in your neighborhood park
To all non-believers, you should know your name
Since the parks, don't you see how far the hip-hop came?
It's been around for years, and you ask yourself how?
For the very same reason that you're listening now
You might have been hooked from the very first line
Cause raps like these cultivate one's mind
One day your resistance level might drop
And you'll admit: it's a world of hip-hop
Hip-hop
Hip-hop
Hip-hop
Hip-hip-hop	(2x)
Straight from the MC's mouth you heard it
You have to bear witness cause you can't convert it
It's based on a beat with a real slight dip
Kool Herc came along and said, ""That's hip""
Heads started bobbin, he began to hop
And he said, ""Let's call this hip-hop""
Hip-hop
Hip-hop
Hip-hop
Hip-hip-hop	(5x)",https://genius.com/Mc-shan-living-in-the-world-of-hip-hop-lyrics
"Jane, Stop This Crazy Thing!",Down By Law,1987,"(Jane, stop this crazy thing!)	(2x)
She was this girl that I know named Jane
She used to be cool, now the girl's insane
Now all Jane does is walk around all day
Sayin, ""Beam me up, Scotty, take me away!""
Now I remember Jane from back in the day
When she used to go to school, get all straight A's
Now you see Jane on the street corner
Stoppin every car anytime she wanna
Whatever went wrong, the facts remain
But who could think this woulda happen to sweet old Jane
(Jane, stop this crazy thing!)	(2x)
Jane's life story was a tragic one
She started gettin high, cause she said it was fun
There was no party, just a meeting of friends
And then the question arose: who got ends?
It went around, they had 300 in all
Somebody yelled out: ""We're gonna have a ball!""
Steve grabbed the money and ran down the block
Came back and said, ""Y'all, take a look at this rock!""
Jane was gettin into somethin heavy that night
""Hurry up quick, somebody give me a light!""
 said ""Hold it!"", he was pullin too fast
But Jane was amused by the smoke in the glass
She was tickled to death at the faces they made
""Puttin fire to the glass, don't you think it won't break?""
In a flick of a flash the torch was lit
She put it to her mouth, and she took a hit
Smoke rushed from her lungs and up to her brain
This was the beginning of the end of Jane
(Jane, stop this crazy thing!)	(2x)
Jane got weak, and the bass got strong
What she used to do right, Jane now does wrong
I walked past one day, called my man Jack
She almost broke her neck cause she thought I said ""crack""
It had to be a week since I seen her that day
But the body that she had just wasted away
When she used to walk by, we used to say she looked chill
But now as she passes, everybody go (ill!)
The girlie we saw hop off Mercedes Benz
She was on it so hard, she started stealin from friends
To all the drug dealers she was so in debt
That she sold her VCR and her TV set
Jane used to live the life as the storybook tells
Now everything she gets, she eventually sells
Sneak around the corner when you see Jane comin
She'll be touchin on your clothes, the girl be crumbin
(Jane, stop this crazy thing!)	(2x)
If you know a girl who was the quiet type
Who acts kinda funny and a bit too hype
These kinda actions only mean one thing
She's only buggin like that cause she's suckin the thing
Not only the girls, it can happen to guys
But the fellas try to beat you, then they greet you with lies
One day Jane coulda been my honey
I just couldn't wait till the girl made 20
I see her nowadays, and all I do is sing
(Jane, stop this crazy thing!)
(Jane, stop this crazy thing!)	(3x)",https://genius.com/Mc-shan-jane-stop-this-crazy-thing-lyrics
Project Ho,Down By Law,1987,"Listen close to the story I'm about to tell
It will never be repeated, so listen well
And if you been around the way, some of you might know
This girl we label as the project ho
If you look half decent and if you kick it right
She was bound to be yours for at least a night
See, I was introduced to her by my cuz
But that was before he told me who or what she was
Me not knowing about this freak
Pulled her off to the side and began to speak
She had jet-black hair, big brown eyes
She seemed to be smart conversation-wise
I said, ""You look so good, as a matter of fact
Here's my number, I ain't home, baby, call me back""
I didn't know if she was poor or filthy rich
Cause my cousin didn't tell me nothing 'bout the bitch
One thing I did know, I'm gonna get my thrill
Then I cold stepped off, and said, ""Baby, you chill""
You know that old saying if you're slow you blow?
She was fast, so they labelled her the project ho
I heard stories on the things that they said she'd do
But when I seen her, I said, ""Nah, it can't be true""
She was fair game, so I thought I'd play
And never in my life will I forget this day
I was chilling one night, I was all alone
Nodding off but awakened by the ring of the phone
To protect the guilty party cause they might have been stemmed
We won't say her name, so we'll just say Kim
When I heard her, goose-pimples ran up my skin
I said, ""Hi, how you're doing and how have you been?""
She said, ""I'm doing fine, I hope you're doing the same
Do you know who I am?"", ""Yeah, I remember your name""
I thought deep down that I peeped the card
Kept saying to myself she was on it hard
I tried to be nice, tried to treat her kind
But she had only one thing on her mind
It always happens, well, wouldn't you know
She said, ""I see you later, cause I got to go""
My cousin came home and said, ""Are you some fool?
Being seen in the streets with a garden tool""
I loooked up at him, cause I did not know
He said, ""Kim, that skeezer, she's the project ho""
Me myself thought homie was dissin'
Despite all that I did not listen
Wouldn't you believe it, she called me again
And this was the line that I kicked her then:
""I'd love to see you, girl, and I don't know why
Don't try to play post, cause you know you're fly
So I'd like to come and see you if I may""
I was surprised as you when she said, ""Okay""
Now that that part was over and done
""Baby, what do you do at times to have fun?""
""Depending on the weather and my mood that day
Sip Dom Perrignon at a Broadway play""
The other things are not good to mention
Like coming to my crib and relieve my tension
I told her I was in love from the day we met
After talking for hours Kim said, ""Bet""
I had to let her go just to clear my line
""So I'll see you on Friday, let's say about 9""
From the things she said, why didn't I know
The girl on my line was the project ho
I took her out - fine's how it went
But I better get something for the dough I spent
Turned on the radio and heard (a world premiere)
Turned to her and said, ""Where we go from here?""
The best part of it all, the thing that made it so treach
The colors we wore were the same as the stretch
I recognized the look that was on her face
And I yelled to the driver, ""Homeboy, my place""
We made it there in at least a half
I got a choice of wines and a jaccuzzi bath
You'll scream when I tell you what homegirl said
""Show me to the room with the king-sized bed""
I was rested real well, so I felt strong
I knocked those boots that whole night long
Right after she left, I started to itch
Then I thought of what happened, then I said, ""That bitch!""
I went to see the doctor later on that day
Cause when something is wrong, Jack, I don't play
The doctor came over, this is what he said:
""You can't cure it with soup or laying up in your bed
You're lucky that you came to see me early, my man
Cause I guess that you know that you got it, Shan""
I said, ""Well, my man, that only goes to show
Believe 'em when they tell you she's the project ho""",https://genius.com/Mc-shan-project-ho-lyrics
