title,album,year,lyrics,urls
Feelin Myself,Ronald Dregan: Dreganomics,2004.0,"I'm out of this world,
 
not your run of the mill'n
My name is Furl I'm the owner of the building
I'm a stoner and I'm chillin' with two bitches like Jack
I pimps and I mack drive a Benz and a 'lac
Man I've been in the back wit the groupies and the stars
I've been out front with the thugs and the guards
I've been in the yard with the Mexican mafia
And I only run with niggas that'll kill and die for ya
I'm popular, I'm a rap star
But I live like a rock star running from the cop cars
I drop bars wit slaps that knock hard and
 
I charge for this dick extra large
I'm sicker than SARS
 
higher than Mars and
 
I treat my bitch like an ATM card

I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself
I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself
I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself
I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself

She's in the buildin and she's feelin herself
She's lookin bad man I'm willing to help
Stop it baby you're killin' yourself
Come on I got your back you could chill in my Delt'
I'm feelin myself too
Man just imagine some of the things we can do
You under me
Me under you
Then we can catch the Liquor store before 2
We can hit my nigga and go get some shrooms
And if you still want to kick it we can go get a room
It won't cost you much, I'm a good buy
Dick-on-discount? Bitch good bye!
What do I look like Mr. Frank Fuck for Free
No dough ho? You can't fuck with me
Get the fuck out
Bitch you still in my Delt'
You full of shit and I'm feelin' myself

I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself
I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself
I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself
I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself

I'm a West Coast Bad Boy
I represent it
""Dre, that's a bad toy, is it rented?""
Hardy har har very funny
You don't hear my tummy
I gets my money
My stomach ain't growlin
I'm stylin' and wildin', drinkin' vodka straight fuck a Long Island
I want my own island bet you I'm a get it
I switch hit and play with both mitts
Pack a four-fifth I'm after your bitch
He ain't doing it right she's after your scritch
And I'm after hers with these macking words,
 
nerd
I thought squares, stayed sharp
You're nothing but a mark
 
in a bucket Skylark
I'm playing my part
I'm Mr. Furley
Quit interrupting I'm talkin' to your girly

I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself
I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself
I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself
I'm in the buildin and I'm
 
feelin myself
Man I'm feelin myself",https://genius.com/Mac-dre-feelin-myself-lyrics
Thizzle Dance,Thizzelle Washington,2002.0,"Hello everybody...(Hi)..
I'd like to introduce you to the Thizzle Dance...(Thizzle Dance?)
Thizzle Dance I said..
Can you do the Thizzle Dance?

First, I do like this
Put a look on my face like I smelled some piss
Bounce to the beat till it start to hurt
Then I dust all the smirk off me shirt
Dip to the ground as I catch the bass
Then I wipe all the sweat off me face
Hop back up then I start to slide
Popping my collar as I glide
Then I break the thang down and do The Bird
Dust myself off like I just stole third
Come on everybody now's the chance
Fuck the Harlem Shake, this the Thizzle Dance!

Dance, Thizz Dance
Thizz Dance, Thizz Dance
Can you do the Thizzle Dance?
Dance, Thizz Dance
Thizz Dance, Thizz Dance
Can you do the Thizzle Dance?

First of all I hope you got you a juice
A Thizzle because it's time to pop you a few
Then you gas, brake, start to dip
Bounce with the car as it start to shit
Open up the car doze the whole damn car low
Hop out and follow, while you let the car roll
Ghostride the whip while you ride the strip
Here's your chance to do your dance on the side of it
While you at it the passenger and driver switch
Then hurry up and jump back inside your shit
Hanging out the rooftop
Do not get ooh-aahed by them fool cops that tryna have you got
Other than that you and your boys 'coon big
You wanna learn 'coon stay tuned to Thizz
Hoochie-mama freaks, get yo man
And show them niggas how to do the Thizzle Dance

Dance, Thizz Dance
Thizz Dance, Thizz Dance
Can you do the Thizzle Dance?
Dance, Thizz Dance
Thizz Dance, Thizz Dance
Can you do the Thizzle Dance?

Ahh, what, Thizz... ahh Thizz what..
Ahh, what, Thizz... ahh Thizz (what)..

When I do it they say I'm killin it
The look on my face mean I'm feelin it
Just like the niggas that I'm chillin wit it
You can't do the thizz unless your pillin it
This is the last verse then I'm sealin it
After this niggas gon be stealin it
This is hip hop with no Johnny Gill-in-it
No New Edition or Prince when I'm spillin it
I'm 12 years strong and I'm still in it
Now I'm slugged up
And diamond grillin it
I don't care who I'm in the building with
I do the dance with Nancy Von Chillinwich

Dance, Thizz Dance
Thizz Dance, Thizz Dance
Can you do the Thizzle Dance?
Dance, Thizz Dance
Thizz Dance, Thizz Dance
Can you do the Thizzle Dance?",https://genius.com/Mac-dre-thizzle-dance-lyrics
She Neva Seen,The Genie of The Lamp,2004.0,"It was a hot night in August, (a hot August night), humid
Hit the store to get some O.J. to shroom with
Ooh, shitty, I'm in the world's biggest little city
Seen a girl with some big ass titties
A top notch saditty, bitch knew she was pretty
Get goosed in the city, get your purse took
When I stepped in her life she felt the earth shook
Before I spit the first hook, let me lace ya
Fucked her, had her crying like somebody maced her
Gave her a taste of some real macaroni
She swore she would do, anything for me
That's no bologna, baby brought me bread
Freaked me on the freeway on the 80, gave me head
She neva seen, a sav in some Timbs
Push an S5 sittin' on some Davin rims

Listen, you wouldn't want to miss this
I met this bitch the night before Christmas
Baby made my hit list Christmas night
She let a nigga hit by the Christmas lights
This bitch was tight, just my type
Barely ripe, ride a dick like a bike
Hit a dick like a pipe, quick late night hype
Them the kinda thangs that makes my night
The steak ain't right without the A-1
So I stay dipped in sauce and they come
Like baby did, like that nigga old lady did
Like Karen, Kameka, and Katie did
It's crazy, kid, mami on my bozack
I'm pimpin' and she knows that
Nigga, where the hoes at?
Bet they neva seen, a sav in Timbs
Push an S5 sittin' on some Davin rims

Me and Black Jesus went to Rosaritas
Seen senoritas eating carnitas
I was rocking my Adidas sneakers
Told the waitress, ""get me fajitas""
Gold teethas, left her speechless
Gave me the number with a Fairfield prefix
Dipped to the Cougar, put up the Ruger
In the stash spot, a wise maneuver
Put up the cougar, pulled out the MB
California Hot Boy, MD
The boss, that do the firing and hiring
Sweat a broad, I keep 'em perspiring
She's admiring the way I slide
The way I ride, and how her boyfriend lied
She's neva seen a sav in Timbs
Push an S500 sittin' on some Davin rims

She only sees me, with European keys
She only sees me, with woodgrain Sprees
She only sees me, with Champelli trees
She only sees me, having hella G's",https://genius.com/Mac-dre-she-neva-seen-lyrics
Get Stupid,Ronald Dregan: Dreganomics,2004.0,"When we pull up to the light, the people all stare
Four niggas in the Benz with the dreadlock hair
Smoke everywhere, wavin at Madeline
On them woodgrain Davins with the license plate rattlin'
Doin' what we want to, hangin' out the sunroof
Mental, we ignorant, boy, we go dumb dude
Gas break dip, we call it yokin'
Do a donut in yo whip, we call it dosin'
Get stupid, is what we do good
Ghost ride the whip while we dancing on the hood
I'm amped feeling good, I'm hyphy
In a bitch face with a thizz face off a Nike
The women like me, I'm dipped in butter
I'll rob your brother pimp the blood out your mother
I'm mister stupid doo-doo dumb
Sumthin' Terrible
, tell 'em how we come

We go S - T - U - P - I - D
When we go to the club we don't need ID
Everywhere we go its a party yall
We gone get it cracking like the Mardi Gras
Get stupid, get stupid, get stupid, get stupid
Go stupid, go stupid, go stupid
Come and go stupid with me

I'm a dog, hound, 
Crestside clown
Gig so hard make my pants fall down
This beat pounds, cutty where'd you get it?
Oh you ain't know, Dr. Dre did it
I come wit it, rapping and rhyming
Dancin, pantomiming, acting like I'm driving
Then switch it up, dance like him fishing
See in the bay area we dance a lil different
The bay bounce to thizzle, the west coast wizzle
Do they get stupid, come fuck with Drizzle
Call the hospital, he's having convulsions
No he's gettin' stupid, in his load yokin'
Is the store still open?
We need heem, 
that Privilege thing
...yadadamean?
All in the throw like yee
S - T - U - P - I - D

We go S - T - U - P - I - D
When we go to the club we don't need ID
Everywhere we go its a party yall
We gone get it cracking like the Mardi Gras
Get stupid, get stupid, get stupid, get stupid
Go stupid, go stupid, go stupid
Come and go stupid with me

Alright, let me tell you why we call this thing stupid
Cause, when I dance the chicks, say: 
'you stupid'
You can do it, it ain't that hard
Baby get dumb, act like a retard
Shake your hair, make it blow in the air
You gotta get into it, growl like a bear
Now say Wha! 
'What?'
 No, Wha!
Do the damn thing girl cut that shit up
Fill your cup, don't be no punk
It don't look right if you really ain't drunk
Come on, repeat after me we go S - T - U - P - I - D

Stupid? Hahaha
We go S - T - U - P - I - D
When we go to the club we don't need ID
Everywhere we go its a party yall
We gone get it cracking like the Mardi Gras
Get stupid, get stupid, get stupid, get stupid
Go stupid, go stupid, go stupid
Come and go stupid with me",https://genius.com/Mac-dre-get-stupid-lyrics
Not My Job,The Genie of The Lamp,2004.0,"Dre rock the jewelry with the clear stones
And get on a nigga head like some headphones
I'm finna spit it with a clear tone
Get your attention
The biggest thing since the TV invention
Dope as Zoloft, a big shot, a show off
Plus, I'm a big pimp, I get tore off
Fuck a good job, she need a good jaw
To sell BJs 'til her mouth get raw
I'm from the California coast, beaches and bridges
Hit the cock, get ghost, I don't be sleeping with bitches
I got a Cougnut, sitting on wires
On vogues, bitch, not Michelin tires
Can't control my desires
I buy from Nordstrom's, not Fred Meyer's
I do a lot of weed, love my supplier
She keep it, fuck the blood out my supplier
Man, I'm bigger than life, I do it Magnum
And 'bout these broke bitches, I'm through with having 'em
Dre bogard, he shove and he push
And start a war for nothing like G.W. Bush
We be loving the kush, but only in the Backwood
Without a Backwood, it ain't all that good
I'm from the streets, where most need heat
But I'll slice a nigga up like some roast beef meat

I can bust you a rap, but anything else, not my job
I'll peel your cap back, but anything else, not my job
I'll get you for racks, but anything else, not my job
I'll make you a slap, but anything else is not my job

Bitch gon' ask me to come with her to grocery shop
I told her straight up like this, no siree Bob
That's not my job, I don't do that
I'm a pimp slash rapper, I thought you knew that
And where your dude at? Should I serve him the news
And let him know he's finna be walking in some brand new shoes?
Ooh, you a fool, gotta watch thyself
One false move and can't stop thyself
Sometimes I'm not myself, I'm another man
I'm a rockstar, in another band
Plus, I'm the man with the plan in his hands
Soon, we all playing in sand
'Cause to my estimations and these calculations
And all the money I made off The Rompalation
I'm finna get as many digits that's on a license plate
And shit on some of these midgets, bitch, I can't wait

I can bust you a rap, but anything else, not my job
I'll peel your cap back, but anything else, not my job
I'll get you for racks, but anything else, not my job
I'll make you a slap, but anything else is not my job

When I dip, they trip off what Furl dressed in
Plus, I got a mouth full of girl's best friend
I'm a Back to the Future, new game kind of nigga
Y'all lames is plain, drinking the same kind of liquor
Wearing the same kind of clothes, fucking the same kind of hoes
And you Bedrock pimping, meaning your game's kind of old
And you don't want it with me, I'll bother ya
So get lost, pal, before I clobber ya
I got golden gloves, I'll give you a new look
With a stiff left and a sharp right hook
Niggas know snitches, they ride and they go with them
It's all gravy, as long as they don't tell on them
Me and my team, see, we a machine
You fuck with my mans, and I'ma have to intervene
I'm a sport coat and a sancho
Always looking out for Benny Blanco",https://genius.com/Mac-dre-not-my-job-lyrics
Since ’84,Ronald Dregan: Dreganomics,2004.0,"C'mon
Let's do it
What it is
Thizz is what it is
Another knocker
Kick this game around like soccer

Pull up a chair let me make you a plate
Of this game that's seasoned like a tasty steak
Since '88 I've been serving them well
I was serving yayo when L was Rocking Bells
Clocking mail, get, get, getting it
Copping it, flipping it, flip, flip, flipping it
Now I'm spitting it bar for bar
European whipping it car for car
No dough, hoe? You know I say no
I need you like Jaws need a rain coat
I fandangoes, stay high as the Star Spangled
Choke the blood out you, bitch, get strangled
Get mangled fucking with this pimpin'
Hot as Lipton, Dre Jay Simpson
You better pay attention, it's all gamed up
Peep the bio, the file, see how I came up

Since '84 I been out there gettin' my dough
In the Sco the O and Valley Jo
Getting rich in the Rich and San Jo
Grinding and rhyming and pimpin' hoes
Rolling on vogues and 2-4s
Dre Tripper gotta stay with two hoes
Stay with zippas, boy, I keep a few O's
Get bossed and say 'thar she blows!'

When I sweat her I say 'read my lips'
Bring me cheddar, bitch, bring me chips
Fingertips, ass, hips and lips
Follow my lead, don't ask questions bitch
I want fresh fits from Abercrombie & Fitch
When it's going down, the Mac comes and shits
The Mac comes to spit
Let me do it to your ear baby
I'm trying to flip, see I do it every year baby
Real off the laddish, getting my cottage
Cheese, geez, please, beez, freeze
Stop it, you're heading down the wrong path
Fuck making love, bitch, I want a tongue bath
Dumb cash, can you do it like me?
Cash a fat check at the bank with no I.D
Can you blow by me when I'm doing 100?
Smacking, slapping in my 500

Since '84 I been out there gettin' my dough
In the Sco the O and Valley Jo
Getting rich in the Rich and San Jo
Grinding and rhyming and pimpin' hoes
Rolling on vogues and 2-4s
Dre Tripper gotta stay with two hoes
Stay with zippas, boy, I keep a few O's
Get bossed and say 'thar she blows!'

I got cutthroat friends and lots of women
I ride in a Benz but I'll squat a lemon
I want a stuffed turkey with all the trimmings
To pay and play extra innings
I'm winning, fat lady start singing
I'm finna get the Cougnut and start swinging
Skeet, dance and eight
And when they run my plates, model and make
I'mma shake, like I'm riding with a cake
Pedal to the metal, rarely hit the brake
I love a high-speed getaway
They wanna get rid of Dre, put the kid away
What I'm in today, I'm in the 7 series
So quiet you can't even hear me
Engine, when I smash the gas
And would you look at all that wood on the dash

Since '84 I been out there gettin my dough
In the Sco the O and Valley Jo
Getting rich in the Rich and San Jo
Grinding and rhyming and pimpin' hoes
Rolling on vogues and 2-4s
Dre Tripper gotta stay with two hoes
Stay with zippas, boy, I keep a few O's
Get bossed and say 'thar she blows!'",https://genius.com/Mac-dre-since-84-lyrics
Something You Should Know,Al Boo Boo,2003.0,"When I got the phone call, I was rollin' on the interstate
“Dre, have you ate yet? How’s about a dinner date?”
“Hmm, I don't know, let me check my schedgy
I'm free at 8:30, pick me up when you’re readgy”
Hopped out the Chevy, so I could freshen up
Rolled a sack in the back and put my weapon up
Poured a glass of 7-Up and ate a quick snack
Salami and swiss piled on a Ritz crack
Called the punk bitch back, “What’s up, Alice?”
She got the maddest, said “My name’s not Alice”
“Alright, Alice pick me up from my palace
I stay in 
West Linn
, I know you know where that is”
“That's where my dad lives; be there in a jiffy”
Threw on some 150s and my red Ken Griffey
T-shirt crispy, I’m dipped as usual
Shave with the Andis electric reusable
Threw in my removable iced out grill
So when I spit my spill it’s chilly chill
I'm really ill, really feel, really mackish
I'm waitin’ on the bitch and I’m puffin’ on some cat piss
Damn, where you at, bitch? I started thinkin’
Baby pulled up in an Aviator Lincoln
Grabbed me thump thang ‘cause they won't catch me leakin’
‘Cause punks hang and try to bang every weekend
I started speakin’, “This a hell of a car”
I said, “Where we eating?” She said, “The Elephant Bar”
I said “The hell if we are; I'd rather Benihana's”
She said “What’s that for?” I said “For any drama”
Now look little mama, it's a quarter to ten
Can't be out all night, I gotta stop when the song end
Now at the restaurant, I’m feelin’ like the man
Spoke Japan “give me moo goo gai pan”
Ate, drank, got full and burped
I said “Alright, you beezy, it’s time to curt”
Dipped to her spot that was tucked in the cut
Put dick to the cot then I busted a nut
Then I busted a nut one mo gin
Then I busted a nut on the hoe chin
Now here we go again, another fiasco
I'm digging her out while I'm playin’ with her asshole
Fuck being bashful, baby, I'm a bash pro
She said “Dre, I’ll give you anything you ask for”
You got class, hoe
…now look
Pay close attention, I'm finna sing the hook
Before I give you some mo'
(Before I give you some mo')
There's something that you must know
(There's something you must know)
I'm a pimp and I got hoes
(I'm a pimp and I got hoes)
Can't fuck for free no mo'
(No mo', can't fuck for free no mo')",https://genius.com/Mac-dre-something-you-should-know-lyrics
Boss Tycoon,Thizzelle Washington,2002.0,"I know, do re mi
But no I'm not a R&B singer
I'm a gangster rapper throwing up the middle finger
To them square Rubik's Cubes, who don't smoke and use
I'm a cutthoat boy and I got a short fuse
I get kinda hyphy when I'm gone off a little gin
You don't like it? Say hello to my little friend
Rat-a-tat-tatta, it really don't matter
I push a hard line, cross it, niggas gon' scatter
I'm not the mad rapper
, I'm the rapper gone bad
Recording on Pro Tools at the pad
I get a gang of bab
; 
boy, I'm a sav
Come through the sideshow yolkin' a cab

Fuck what it cost (what it cost)
I'm a boss (I'm a boss)
Tycoon (Ty-tycoon)
Dipped in sauce
 (in sauce)
I floss (I floss)
I-coon
 (I-I-coon)
Fuck what it cost (what it cost)
I'm a boss (I'm a boss)
Tycoon (Ty-tycoon)
Dipped in sauce
 (in sauce)
I floss (I floss)
I-coon
 (I-I-coon)

What you know about a 600 V12 CL's
Spinnin' on them Sprewells
Dirty as hell like 'Fuck a detail!'
Still knock yo' female
Mack that bitch til' she break her Lee nails
On the track
 
in the TL
, 
Yukmouth
First week out, 80 thousand on the street sales
Now I'm CEO, that's seven dollars on the retail, bitch
I got niggas poppin' they collars, poppin' E pills
Poppin' them bottles then poppin' them cowards with that heatelle
And fuck 
Spitz
, I get my ice from Vionnis
My New York Italianni, he plug me with Spanish mamis
Bitches belly dancin' like a swami, but fuck 'em
I'm too cocky, poppin' that Dom P., 
smokin' my broccoli
'Cause I'm a million dollar man like Ted DiBiase
The Feds see me, watch me,
 baby Liberace
The wrist stay rocky, the whips stay saucy, rims glossy
With mackin' ass Dre beside me, 
call me frosty
 Frosty the Snowman, the Oakland dopeman
Sell more kicks than Copeland's, bitch
The Oakland mayor, the Oakland Raider
With the king of Vallejo, bitch, foldin' paper
We tycoons, nigga

Fuck what it cost (what it cost)
I'm a boss (I'm a boss)
Tycoon (Ty-tycoon)
Dipped in sauce
 (in sauce)
I floss (I floss)
I-coon
 (I-I-coon)
Fuck what it cost (what it cost)
I'm a boss (I'm a boss)
Tycoon (Ty-tycoon)
Dipped in sauce
 (in sauce)
I floss (I floss)
I-coon
 (I-I-coon)

I ride around town in my 
clean ass Benz
Range Rove
, 
Cougnut on some clean ass rims
Felt like Ted Turner, I pack a lead burner
Spit it, to get it, can't quit it, I'm a bread earner (ch-ching)
Boss up at the 5-star telly
Dre touch mo' bread than the motherfucking deli
Young rich nigga, 20-inch nigga
P-I-M-P, it's all on a bitch, nigga
I've been getting scrill, diamonds in my grill
Rep the pill,
 and boy do I keep it trill
Show-off, that'll go off on a blade
Kill like Raid
 and 
stay gone off naid
Do what the fuck I wanna, got bitches on the corner
Not just a thizz user, I'm a Thizz owner
Sometimes I thizz, sometimes I shroom
But whatever I do, I'mma stay a tycoon

Fuck what it cost (what it cost)
I'm a boss (I'm a boss)
Tycoon (Ty-tycoon)
Dipped in sauce
 (in sauce)
I floss (I floss)
I-coon
 (I-I-coon)
Fuck what it cost (what it cost)
I'm a boss (I'm a boss)
Tycoon (Ty-tycoon)
Dipped in sauce
 (in sauce)
I floss (I floss)
I-coon
 (I-I-coon)",https://genius.com/Mac-dre-boss-tycoon-lyrics
Mafioso,Al Boo Boo,2003.0,"Ugh
Wha, wha
What is it?
Yeah
Yadidaholla
Do you know whadddiholla (do you know what I holla?)
Yeah, the itty bitty city by the water
That's steady gettin taller
Vallejo
You hoe
You just don't understand
Check it out though

Sippin' Martinis eatin scampi and linguini
Makin' blunts disappear, like I'm Houdini
Laid up with Asians that know tongue fu
Gettin' blew when I got the call from Young Dru
He was speakin thizzlamic but I can understand it
He said ""Al Boo Boo, the eagle has landed""
My reply: 'Pronto, cousin
Execute stage two, put the turkey in the oven'
For those who don't know that means he got the blow
And it's time to turn the blow into more dough
Sell 'em high, buy 'em low, let 'em fly, let 'em go
Birdies of the snow straight from Valley Jo
Who got it? Nigga, Dru got it
And if you hit him on the hip, he'll make sure that you got it
Me and my team, we tryna win
And we keep it mafioso, you hear the violins
(The Godfather tune by Mac Dre)

I'm the yay boy, the playboy, from the Bay, boy
Where I stay, boy, 
we don't be puffin' no hay, boy
Where my son head lay boy, I protect with the K, boy
Run in my home and get sprayed, boy
Young Dru and Mac Dre, boy
The Yay don't play, boy
I'm a made boy highly connected spit flame, boy
I'm a paid, boy, spliffs of naid all day, boy
Never changed, I'm the same, so fuck what you say, boy
I'm not afraid, boy
Take it from wax to gunplay, boy
Run away, boy
Shakin' the blades and gay boys
Movin' bricks, boy
Choppin' down kicks to picks, boy
Weighin' zips, boy
Takin' them trips for chips, boy
Coppin' whips, boy
Floss, cross by chicks, boy
Makin' hits, boy
Fuck with the mob and get split, boy
Loaded and lit, boy
Dre and Dru is the shit, boy
From a fix to a bitch
We tryna get rich, boy
(The Godfather tune by Mac Dre)

I'm in my sneaks with freaks on the beach was shallow
Bossed up drinkin' Ernest and Julio Gallo (wine)
I got my Roll-O, my butterfly knife
I'm nothin' nice, I cut a guy twice
All of my life I followed the path
A D-Boy, B-Boy, have cash, live lav'
Got game like Bob Costas
, got dread like Rastas
Eatin' seafood sauce put over pastas
You imposters get tried for treason
To the Nation of Thizzlam is my allegiance
Write a grievance, file a complaint
Tell 'em Dre doin' things that them other guys can't
Burnin' rubber all day, drivin' wreckless
I cut a man throat, give a man a bloody necklace
Cuddie, they respect us 'cause they have to
My niggas mafioso
, you prick, they'll whack you!
(The Godfather tune by Mac Dre)",https://genius.com/Mac-dre-mafioso-lyrics
Life’s a Bitch,Stupid Doo Doo Dumb,1998.0,"Bitch
Life's a bitch
Life's a bitch and then you die
Life's a bitch and then you die
Lifes a bitch and then you die
Lifes a bitch and then you die

It's not often young niggas get a chance
To enjoy riches in legitimate fashion
So many of us say fuck it get a bucket
And run up in something and keep smashing
It's all about survival
But jealous rivals make it hard for us to do this
So everybody got a gun but when we was younger
Our only weapon was our two fists
Now who missed the first lesson in life don't be no punk
If you a man have heart be a savage whether you sober or drunk
I seen niggas in the pen getting
Their ass dug out over some hop or a pack of Kamels
But thats the game home boy and every move you make is a gamble
Them squares don't under stand so it takes niggas like me to explain it
I show vengeance violence and hatred because underneath it's so much pain
I ain't no sissy or punk so don't trip when you see me crying
A nigga just hella mad his partners is dead and his folks keep on dying
My enemys feel the same way they want me dead they think I'm the nigga
That put they partner 6 feet under and left his son with no father figure
I live day by day not giving a fuck and when they ask me why
I pause for a minute then I reply because lifes a bitch and then you die

Bitch
Life's a bitch
Life's a bitch and then you die
Life's a bitch and then you die
Lifes a bitch and then you die
Lifes a bitch and then you die

Lifes a bitch then you die nigga
Don't want a whole slice just let me taste the pie
They sent me to the pen for five years
For a crime that was never committed
I ain't no bank robber but that five years
Had me thinking maybe I should have did it
Do my thoughts deceive me? What a mutherfucker supposed to think
Locked down trapped looking at four walls a toilet bowl and a sink
Ain't that a bitch I've been struggling ever since I could remember
But I stay strong year round from January all the way to December
See I am a hustler I need cash bad as a fat bitch need jogging
So I specialize in three things and thats
Pimping hogging and dogging (thats right)
Half these suckers walking around here fake as three dollar bills
If you with that bullshit don't come around me
I do this for reals not for thrills
I got to watch my back for them suckers thats out to do harm
Got a tattoo of a list full a partners
Thats dead that run all the way down my arm
So If you see me mugging tripping and bugging don't stop and ask me why
A nigga just hella mad because Lifes a bitch and then you die

Bitch
Life's a bitch
Life's a bitch and then you die
Life's a bitch and then you die
Lifes a bitch and then you die
Lifes a bitch and then you die

I got a crew full of the realest thats deep as the Pittsburgh Steelers
Retired bank robbers ex-dope dealers and adversary killers
Our mission is simple get rich and stay real nigga
So our kids can live fat better then we did when we was little niggas
Life is short you only live once and ain't no telling when your leaving
So I'm going to do it all have a ball
While I'm still living and breathing
See I am a philosopher and my philosophy is this
Don't be no punk young homey if it's worth it take that risk
Anything's possible but nothings for sure
Got to take advantage of all opportunities
And get your money you know
Love those who love you but don't never let it fuck up your vision
How much love did your loved ones
Have when you was broke or doing time in prison
Stay on your toes don't fuck with hoes before you read them
Watch your back for them rats that set niggas up to keep they freedom
It takes 365 days for the earth to spin one time
But it only takes one minute
For that guilty verdict when that snitch drops that dime
A damn shame I thought rat heads get nothing but cheddar
But I got partners doing all day with 35 next to that letter
So I'm in trouble unless I bubble So I struggle to keep my peace
Staying money motivated with thoughts of Mike Robinson and D.J. Cee

Bitch
Life's a bitch
Life's a bitch and then you die
Life's a bitch and then you die
Lifes a bitch and then you die
Lifes a bitch and then you die",https://genius.com/Mac-dre-lifes-a-bitch-lyrics
