title,album,year,lyrics,urls
Bring Da Pain,Tical,1994.0,"Basically...
Can't fuck with me

I came to bring the pain hardcore from the brain
Let's go inside my astral plane
Find out my mental, based on instrumental
Records, hey, so I can write monumental
Methods, I'm not the King
But niggas is decaf, I stick 'em for the CREAM
Check it, just how deep can shit get
Deep as the abyss and brothers is mad fish accept it
In your Cross Colour clothes, you've crossed over
Then got Totally Krossed Out and Kris Krossed
Who da boss? Niggas get tossed to the side
And I'm the dark side of the Force
Of course it's the Method, Man from the Wu-Tang Clan
I be hectic, and comin' for the head piece, protect it
Fuck it, two tears in a bucket, niggas want the ruckus
Bustin' at me, bruh, now bust it
Styles, I gets buckwild
Method Man on some shit, pullin' niggas files
I'm sick, insane, crazy, driving Miss Daisy (yeah)
Out her fucking mind, now I got mine, I'm Swayze (yeah)

Is it real, son, is it really real, son? (yeah)
Let me know it's real, son, if it's really real (what, yeah)
Something I could feel, son, load it up and kill one (what, uhh)
Want it raw deal, son, if it's really real—yeah—, uh

When I was a likle stereo (Stereo)
I listen to some Cham-pi-on (Champion)
I always wonda (wondered)
When I will be di numba one (Ticaaal! hahaha)
And now yuh listen to di Gorgon (Gorgon)
And a Gorgon sound a Rein
An' any jump and come tes' mi (test me)
Mi a-go lick out dem brain (it’s like that)

Brothers want to hang with the Meth, bring the rope
The only way you'll hang is by the neck, Nigga Bolt
Off the set, comin' to your projects
Take it as a threat, better yet it's a promise
Comin' from a vet on some old Vietnam shit
Nigga, you can bet your bottom dollar, hey, I bomb shit
And it's gonna get, even worse, word to God
It's the Wu, comin' through stickin' niggas for they garments
Movin' on your left, southpaw, Mr. Meth
Came to represent and carve my name in your chest
You can come test, realize you're no contest
Son, I'm the gun that won that old Wild West
Quick on the draw with my hands on the four-
Nine-three-eleven with the rugged rhymes galore
Check it, 'cause I think not when this hip-hops like proper
Rhymes be the proof while I'm drinkin' 90 proof
Huh, vodka, no OJ, no straw
When you give it to me, ayy, give it to me raw
I've learned when you drink Absolut straight it burns
Enough to give my chest hairs a perm
I don't need no chemical blow to pull a ho
All I need is Chemical Bank to pay da mo'

What, basically that, Meth-Tical, '94 style 
Word up, we be hazardous
Northern spicy brown mustard hoes
We have to stick you (horn)

Is it real, son, is it really real, son? (motherfucker)
Let me know it's real, son, if it's really real
Something I could feel, son, load it up and kill one
Want it raw deal, son, if it's really real

I'll fuckin', I'll fuckin' cut your kneecaps off
And make you kneel at some staircase, piss
I'll fuckin' cut your eyelids off
And feed you nuthin' but sleepin' pills 
Get yours, motherfucker
So—So fuck the ho, fuck the ho
Look at this nigga, this motherfucker, shit",https://genius.com/Method-man-bring-da-pain-lyrics
All I Need,Tical,1994.0,"You're all that I need, I'll be there for you
If you keep it real with me, I'll keep it real with you
Loving your whole steez, it be in there boo
On top of that you got the good 
power-U

Shorty I'm there for you anytime you need me
For real girl, it's me in your world, believe me
Nothing make a man feel better than a woman
Queen with a crown that be down for whatever
There are few things that's forever, my lady
We can make war or make babies
Back when I was nothing, you made a brother feel like he was something
That's why I'm with you to this day boo no fronting
Even when the skies were gray
You would rub me on my back and say, ""Baby, it'll be okay""
Now that's real to a brother like me, baby
Never ever give my pussy away
And keep it tight, aight
And I'ma walk these dogs so we can live
In a fat-ass crib with thousands of kids
Word life, you don't need a ring to be my wife
Just be there for me and I'ma make sure we
Be living in the fucking lap of luxury
I'm realizing that you didn't have to fuck with me
But you did, now I'm going all out, kid
And I got mad love to give, you my nigga

You're all that I need, I'll be there for you
If you keep it real with me, I'll keep it real with you
Loving your whole steez, it be in there boo
On top of that you got the good power-U
You're all that I need, I'll be there for you
If you keep it real with me, I'll keep it real with you
Loving your whole steez, it be in there boo
On top of that you got the good power-U

I got a Love Jones for your body and your skin tone
Five minutes alone I'm already on the bone
Plus I love the fact you got a mind of your own
No need to shop around you got the good shit at home
Even if I'm locked up North you in the world
Rocking three-fourths of cloth
Never showing your stuff off, boo
It be true me for you that's how it is
I can be your Knower, you can be my Wiz
Then I can be your Sun, you can be my Earth
Resurrect the God through birth
Best believe

You're all that I need, I'll be there for you
If you keep it real with me, I'll keep it real with you
Loving your whole steez, it be in there boo
On top of that you got the good power-U
You're all that I need, I'll be there for you
If you keep it real with me, I'll keep it real with you
Loving your whole steez, it be in there boo
On top of that you got the good power-U",https://genius.com/Method-man-all-i-need-lyrics
What’s Happenin’,Tical 0: The Prequel,2004.0,"Ayo, Tical?
What up, fam?
You know Bus-a-Bus had to come see you, God, it's good to see you, God
Good too see you too, God
Let's take the streets for a little ride
Okay, we ridin' high
Yeah, you better light your L, smoke your L, and just—
—kiss the sky
Huh! And if you ever disrespect the Bus' or Meth—
Bye, dead man—die
Yeah, I-I-I think the streets been lookin' for this one for a long time, God
Yeah, yo
Come on!

I came to bring the pain, more hard to the brain
(Tical), I'm bustin' that ass again
I burn like acid rain, that ass is lame
These niggas tryna see how I come? ask your dame
Ain't it evident I'm hittin' it? (Yes!) Meth for President
Be in hell with gasoline drawers just for the hell of it
And I ain't delicate, flows hot as kettle get
Now if you ain't fucking with that, you must be celibate
Spazz, just a little, got a sack we can sizzle
Little hash in the middle, where it at? In the middle, yup
Mommy if you got a fat ass, make it jiggle yup
Put it in my next video shot by Little X
And M-E-F gon' work til their ain't any left
I'm trying to get what I'm worth and not a penny less
Think fast, (Come on!) bank cash (Come on!)
Everybody do it with you stank-ass (Come on!)

This shit'll make you rob somebody (What!), grab somebody (What!)
Stomp somebody (What!), slap somebody (What!)
Make you wanna step to the bar and sip Bacardi (What!)
Wild out, spaz in the club, we in the party (What!)
Brooklyn (Come on!), Shaolin (Come on!)
Queensbridge down to Long Island (Come on!)
Bronx, nigga (Come on!), Manhattan (Come on!)
To each and every hood, what's happenin'? (Come on!)

Yeah, real talk, nigga, come on, Bus'
Ayo, Meth—let me get at these niggas
Yeah

Now watch me back your shit up
I hope your people pull up and pick up and pack your shit up
Homey it's time to move
While I'm seeing right through you let me relieve you all of your
Figures seating screeching, never believing you niggas (Come on)
Go head and babble you can watch me patiently waiting
Aiming, attacking, instead I'mma let one of my bitches slap you
I invite you and your niggas to try and feel the wrath
Of the unruly unawakening of a sleeping giant
(Very defiant) Once I give you the pressure and then I apply it
And then your breathin' is stopped and totally quiet
Captain of this ship so call me the pilot
I leave you and your crew to collide with me then I
Stomp on a nigga, just like a herd of a thousand cattle
That'll travel over your face and frazzle your shit
Chop you worse than a brick and then we torture you
And then get the reverend, and get to steppin', nigga

This shit'll make you rob somebody (What!), grab somebody (What!)
Stomp somebody (What!), slap somebody (What!)
Make you wanna step to the bar and sip Bacardi (What!)
Wild out, spaz in the club, we in the party (What!)
Brooklyn (Come on!), Shaolin (Come on!)
Queensbridge down to Long Island (Come on!)
Bronx, nigga (Come on!), Manhattan (Come on!)
To each and every hood, what's happenin'? (Come on!)

 
That's what truth be, my nigga
Let me talk!
Ha!
Yeah, come on, niggas, listen; let me talk 
Can't you see what I got for you now?
Shake your big fat ass in front of me now
To all my high bidders, to all my live niggas
We here to blackout, follow the story now
Just feel my heat, and you know I'm gonna
Just keep the street, but nigga
Did you know we about to lose it, my nigga?
And you know we gon' get real stupid, my nigga

See the police coming(What!), fireman coming (What!)
Street niggas ready to riot and start dumbing (What!)
I love to see it whenever you and your man fronting (What!)
Me and Meth'll step to you (Quick!) and smash something (What!)
Now who is he? Dope MC killing these cowards
Wack niggas get pimp slapped, give me some powder
Click-clack, one in your back, now think about it
Get back, running ya yap, I can't allow it
Well, yeah, my nigga (Set it off) you know we seeing it through, God
The streets be needing niggas like me and you, God (Ayo)
I think what I'm seeing from here we got 'em wildin', yo
Logical, we should've did this shit a long time ago
I got that shit that make rappers shit in they shoes
Nasty MC, I spit flows and spit in they food
Man don't tempt me, I'm nothing like a curious child
I'm simply a Boy in the Hood with Furious Styles

This shit'll make you rob somebody (What!)
Grab somebody (What!)
Stomp somebody (What!)
Slap somebody (What!)
Make you wanna step to the bar and sip Bacardi (What!)
Wild out, spaz in the club, we in the party (What!)
Brooklyn (Come on!)
Shaolin (Come on!)
Queensbridge down to Long Island (Come on!)
Bronx, nigga (Come on!)
Manhattan (Come on!)
To each and every hood—what's happenin'? (Come on!)

Every day, every rotation, come with it
 
 
Ahhhhhhhhhhh!
Yeah, lord
 
 
That's some shit, abso-truthfully; Bus-a-Bus!
 
Yeah
 
 
Shit, we can do it right now
 
Shout out to New Jersey, hahaha, yeah
Yeah, yeah, ha! Huh! Yeah;
 
Lemme talk
Come on!
Ahhhhhhh!
Ayo, God
Flipmode, Wu-Tang, nigga, ain't that some shit?
 
 
Meth-Tical!
 
Yeah—aye, let me know when you wanna do that again, God
 
Yeah ",https://genius.com/Method-man-whats-happenin-lyrics
Built for This,The Man With the Iron Fists (Original Motion Picture Soundtrack),2012.0,"Sort of like Malcolm at the Audubon
They coming for me, time is money no Audemar
See bar-for-bar, I keep it pushing no R&R
No foreign broads and no promotion for foreign cars
The game is ours, let’s keep it funky who said he was
Like Staten Island, Italians bleed spaghetti sauce
If y'all ain't shaking or stacking than y'all already lost
Already cross the light, Christ I'm ready for em
Plus anybody that saying no, I’m taking numbers
I’m taking names, I’ll take your chain take this hunger
Pain, pain, pain
Then you feel the thunder and rain I don’t talk it like the rainbow
I get it done and the game y’all
Do me a favor, don’t ever play with my ball
Never been a player-hater I just ain't playing with y'all
You watching lame but look I’m taking the charge
Going hard will get you two shots now I’m facing the charge

Fire up the la let’s go take a ride
They might catch you by surprise if you let em slide
But if you’re built for this shit then you might survive
Guess I’ll see you when you wake up on the other side
Fire up the la let’s go take a ride
They might catch you by surprise if you let em slide
But if you’re built for this shit then you might survive
Guess I’ll see you when you wake up on the other side

Sort of like Mike at the United Center
Madison Square, Boston Garden I straight ignite on niggas
Lil' nigga your raps ain’t no fire, that shit’ll collapse so don’t try
I scribble and scratch down in my pad that no lie
That no fake, that uncut, that straight drop, what the fuck
I’m pulled over by the jakes, a twenty-eight up in my nuts
For em took away in cuffs I’d rather lay up in the dust
Feel like fuck a friend a hundred million haters ain’t enough
Twist it up
Life is a blunt and the world is my ash tray
I got them quarters and them halves just meet me like halfway
And I need a hundred percent of my profit ain't fucking with half pay
Ain't taking no shorts or losses bitch we ain't fronting no tag day
As I can recollect, praying to God this dope’ll stretch
Turn mobster warners, work these corners like P90X
Chilling and waiting, patient retaliation just ain't find me yet
I’ll take it into Heaven, you couldn’t buy me that, remind me that

Fire up the la let’s go take a ride
They might catch you by surprise if you let em slide
But if you’re built for this shit then you might survive
Guess I’ll see you when you wake up on the other side
Fire up the la let’s go take a ride
They might catch you by surprise if you let em slide
But if you’re built for this shit then you might survive
Guess I’ll see you when you wake up on the other side

It's the world’s worst, quick to snatch your man purse
And leave your body head first in the stretched hearse
Murder she wrote, I’m known to spit a killer verse
And leave a player blood spilling on his linen shirt
You can Google my name but you ain't gotta search
I’m right here in the streets, I'm putting in work
Go ahead, fuck around and get your feelings hurt
Or, you can get carried outta your local church
I’m from the old school, I do my own dirt
Mama raised no fool, I did my own work
Keep your wifey close, she’s a little flirt
I knew her since '03, I hit the bitch first
I’m the reason why your baby mama water burst
I’ve been marvelous since birth, you can ask my Earth
It’s not a problem to show you how the shotty work
I put your body in the dirt, but what the dollars worth

Fire up the la let’s go take a ride
They might catch you by surprise if you let em slide
But if you’re built for this shit then you might survive
Guess I’ll see you when you wake up on the other side
Fire up the la let’s go take a ride
They might catch you by surprise if you let em slide
But if you’re built for this shit then you might survive
Guess I’ll see you when you wake up on the other side",https://genius.com/Method-man-built-for-this-lyrics
Release Yo’ Delf,Tical,1994.0," (x2)
When I first stepped on the scene, niggas was petrified
Jet back to the lab like they were being chased by homicide
My rap flow does you right Tical
And it will never steer you wrong
And all you bitch-ass niggas in the industry
Your careers won't be lasting long

Check it, I'm the fucking man, who they mention
Noticed that other niggas rap styles is bogus
Doo-doo compared to this versatile voodoo
Blazing, the stuff that ignites stimulation
Inside ya, cause I be that hell sure provider
Providing the rhyme that be deep as The Poseidon Adventure
Niggas need to test they freaking tincture
For the sickness that be spreading with the quickness
Remedies, cousin I be doing on my enemy
Penalty, then I drink forties to they memories
Emotion, coursing through your town street vicinity
Blunt smoke in the air reveals my identity

(Tical.... tical... ti-cal, ti-cal...)
As I keep it moving, we keep it moving, uh
Keep it moving, and keep it moving, uh
Keep it moving, baby, we be moving, uh
Keep it moving, we keep it—huh, rhahhrh!

What's that rhythm, what's that sound?
Party people getting down
When it hit no doubt about
Just release yo' delf

My God, somebody said, it's on—if it is, then I'll be set
To blow a nigga up with my five fingers of death
I bring it to his whole damn fam, understand if you fronting
On any man down with the Clan, I be coming
For the headpiece you can't cope
For my brother, I bring it to the Pope, word to mother
Serial killer style from the Isles of Stat'
My peoples are you with me, where you at?
Shit's getting deep in here, I mean like thick
Niggas lookin' all in my face like they want dick
It's about to hit the fan, hit the floor
That's all I can stands, and I can't stands no more
What is it? Niggas think they bigger
Because they got their finger on the trigger of a biscuit
They don't know I'm wicked when I start to kick it
Eat they raw sound, wash it down with a Mistic
Better yet a Snapple
Nigga want the juice but he don't want the hassle
So we're trying to overthrow the castle
Better yet the temple I'm coming to your town black down
The rental car, the pistol cocked
If you don't want to burn from the Glock
Then beware, I buck shots, meaning what?
The buck stops here, no more dough will be made
Unless it's being made by who?

What's that rhythm, what's that sound?
Party people getting down
When it hit no doubt about
Just release yo' delf
 (x2)
When I first stepped on the scene, niggas was petrified
Jet back to the lab like they were being chased by homicide
My rap flow does you right Tical
And it will never steer you wrong
And all you bitch-ass niggas in the industry
Your careers won't be lasting long

Throw your hands in the sky
And wave them from side to side
And if you’re ready to spark up the Meth Tical
Let me hear you say stim-uli

When I first stepped on the scene, niggas was petrified
Jet back to the lab like they were being chased by homicide
My rap flow does you right Tical
And it will never steer you wrong
And all you bitch-ass niggas in the industry
Your careers won't be lasting long",https://genius.com/Method-man-release-yo-delf-lyrics
Tical,Tical,1994.0,"*sounds of fighting*
""You've been lucky... I wish I got you last time
En garde, I'll let you try my Wu-Tang style.""
""I'd like to try your Wu-Tang style, let's begin then!""
 + (and others)
From the tip top?
(Aiyyo aiyyo, what the fuck's up with light dude?)
Yup, one two (no doubt, no doubt)
One two one two
Yo one two, uh, one two one two (yeah, we gon' be up in that)
Ah one two, uh, one two one two (yeah light that shit up)
Ah one two yo, check me out

What's that shit that they be smokin'? Tical... tical, tical
Pass it over here... tical... tical, tical
What's that shit that they be smokin'? Tical... tical, tical
Pass it over here... tical... tical, tical

Check it, I got styles, all of 'em sick
Niggas ain't fit to walk a mile in the dead man's kicks
I make 'em shit about a pile of bricks to show
He ain't nothing but another unknown John Doe
That wanna flow, here it is, coming up shit's creek
I come to throw monkey wrenches in your program, sleep
And I'ma grow like a rash on ya nasty ass
In a whip, with no brakes and I'm hitting the gas
It's a bird, it's a plane, take a look in the sky
Method Man on some shit, niggas call me The Fly
'Cause my style dates back to hopping turnstiles
Pay ya fare, if ya cutie in the chair, you can bet I'll
Get severe on the double, I harass it
I don't look for trouble, I'm already trouble
Ya bastard, check the wicked flows that I crafted
I'm another deadly venom style to be mastered
By a psychopathic, way beyond an average
Joe, with a hellafied flow, there ya have it

What's that shit that they be smokin'? Tical... tical, tical
Pass it over here... tical... tical, tical
What's that shit that they be smokin'? Tical... tical, tical
Pass it over here... tical... tical, tical

One two, uh, one two one two
One two, uh, one two one two
One two, uh, one two one two
One two, uh, check it out

What goes off? What goes on? The Meth shit
That we got is to stay high, no question
Lethal weapon, ain't no time for half steppin''
When brothers start wettin' everything in ya section
Move that, niggas came strapped, should've knew that
Do that, pussycat rap, boy, I'll screw that
To' up, from the flow up, don't even show up
To the battle, I heard you rattle, now hold up
Is there a fucking snake in my garden?
Starvin' for a rap treat, steppin' on my feet
Pardon your delf, before ya find your delf
In a fucked up situation, without no help
I'm not playin' 'cause I don't play with nobody goddamn kid
Know what I'm sayin'? I'm peeling niggas wigs
I be sprayin' brothers with words
'Cause I gotta spit proooob...

Tical... tical, tical
Pass it over here... tical... tical, tical
What's that shit that they be smokin'? Tical... tical, tical
Pass it over here... tical... tical, tical

One two uh, one two one two
One two uh... (stick a fat tical in your butt, yeah baby fuckin with tical)
(Yeah, niggas better recognize... tical...)",https://genius.com/Method-man-tical-lyrics
What the Blood Clot!?!,Tical,1994.0,"Shit is banging! You see what I'm saying? Our shit is banging!
(Our shit is staining, son) Yo, Shaolin running this shit, son!
Running this shit! (Staining) What's up, Y-Kim? 'Sup, nigga?
{What's up, man? What's up?}
What's up? Representing Brownsville
Know I'm saying? Base, peace to all my Brownsville niggas!
{The alcoholics son} What's going on, son?
Peace to all my Putnam Avenue motherfuckers!
Bedford-Stuy, nigga!
(Yeah, peace to the valley goat..)
Peace to my Wild Wild West Brighton niggas! (Big up The Bridge!) Yeah, FUCK outta here, nigga

All I hear is gun shots
Can I touch something?
 What the Blood Clot!?!
Nigga want Tical, make it happen
You know my fucking style, fuck the rapping
We can take it back to '85 if you wanna start acting like you live
It's all good, I'm rolling with my clique
Owls, Backwoods and Phillies
Smoking cess blunts, mixed with illy got me flustered
Now the whole world looks dusted
I'm in the area with the steel that never rusted
For real, nigga touch it and you burn
When will motherfuckers learn?
What be spreading like a germ? Haha, it's Meth, word
I be that early bird that got the worm and if you check it
I'm on point, like a fax machine you get the message
It's be no question it's them, bust the second guessings
Keep your thoughts on your lessons
What the Blood Clot!?!
To tell the truth you don't amaze me
Killa Hill Project
, a Star Trek phaser couldn't faze me
What? Check the Raider Ruckus, fuck this
Smoke a Dutchmaster, have 'em screaming for the dutchess
Yeah, I gotta have it, so I strive to stack my papes
If I don't do it for mydelf, I'ma do it for Kase
'Cause that's my peoples
I'm giving you injections that be lethal
Weapons, when niggas start to half stepping, then I get evil
But don't let that negative vibe right there mislead you
I'm humble, 
a fucking Killa Bee, far from bumble
I sting you - bzzz - and I bring you
Thirty-six Chambers of head banger, bitch
What ya deal with? I think the mic's on the fritz
Faggot soundmen, they be sabotaging shit
Look up in the sky, it's a bird, it's a plane
Meth-Tical, let the whole world know my fucking name
What the Blood Clot!?!

Yeah, yeah, you know what I'm saying?
Keep it reals on this thing
First of all I'd like to give a big up, peace and shout out
To my brothers in the belly of the beast
Raider Ruckus, we friends to the end and back again, baby. One love
Gin Lover, Shitty Brown, Pus Head, Pil, the P.L.L
Stack DAT, Dusty, Storm, Suu! We still in here, nigga
Jamel, one love, baby, Nice
Uncle Eric aka Shane, I ain't forget you, nigga
Shakim, Nutt, Big Shaft, K. Fisk, Big Free from Cipher Heat
All the fugitives on the run
Everybody from 
Rikers Island
 to 
San Quentin
And a big major shout out to my old dad who just got home on work release
Keep your heads up niggas
My people!
(Yeah that nigga fucking Dirty Bastard, God, that nigga is crazy)
Fucked with a napkin on his dick
(laughter)",https://genius.com/Method-man-what-the-blood-clot-lyrics
P.L.O. Style,Tical,1994.0,"P.L.O. style, Buddha monks with the Owls
P.L.O. style, Buddha monks with the Owls
P.L.O. style, Buddha monks with the Owls
P.L.O. style

Here comes the ruckus, the motherfucking ruckus
Thousands of cut-throats and crumb-snatching fuckers
Straight from the brain, I'll be giving you the pain, anger
Coming from the 36th Chamber, bang!
Tical, hitting with the Buddha-Fist style
Shotgun slamming in your chestpiece, plow!
Frame is blown all over the terrain
Like a man without no arms you can't hang
Time for a change of the guard
You've been arrested for lyric fraud now you barred
For real, check it, I pull strings like B.B. King on guitar
I'm the true Fist of the North Star!

Ooooooooh! What a tangled web we weave
When first we practice to deceive
Guns be clicking, running with my clan we be sticking
Whatever, my street family stays together
Represent what I invent, Killa Hill resident
Rest in peace to my nigga Two Cent
The street life is the only life I know
I live by the code, style ‒ it's mad ‒ P.L.O
Iranian thoughts and cover like an Arabian
Grab the nigga on the spot and put a nine to his cranium

I can't get no satisfaction, niggas won't be lasting
Long, unless they get protection for real
Strong, coming with my Clan so what's happening
Commercial rap, hate it with a passion
The M-E-T-H-O-D got me drinking
O.E. all night in a M.P.V
Just maxing, looking for hoes, you know relaxing
Bitches know the hour, it be time for some action
P.L.O., peace to that nigga Berriano
What up, Fisk? Take him to the bridge, Verrazano

P.L.O. style, Buddha monks with the Owls
P.L.O. style, Buddha monks with the Owls
P.L.O. style, Buddha monks with the Owls
P.L.O. style",https://genius.com/Method-man-plo-style-lyrics
Meth Vs. Chef,Tical,1994.0,"You is worthy of a general
If you want to fight, fight with me!
One to one! Man to man!

Get ready to gel team!
Live and direct from the one-six-ooh
We got Tical, pow! Raekwon the Chef, Tical!
It's about to go on, Tical
You make the call, I make the call
It's all for all
Method Man, Raekwon the Chef
(count my shells)
And there's about to be one left
(count my shells, nigga)
I know you know it's on kid
(Bring that shit I don't give a fuck!)

Who lit that shit it was I the chinky-eye
Chiba-hawk from New York, Tical Staten Isle
Niggas thought, that they could walk a dog but they caught
A bad situation, cause I'm a sandwich short
Of a picnic, cause you ain't equipped with the sickening
Style, blowing up the spot like ballistic
Missiles, I be comin through like the four-nine-three-eleven
Tearing up the power-u, Meth-Tical
A bad motherfucking buddah monk, what the fuck
Hit your chest, like cardiac arrest, blow the front
Out the frame, hit the pussycat for the pain
Of the dog shit, nobody move run your garments
A rugged vet, terrible like a Champion sweat
Wrap a power in a tec, to wet
A nigga up, with all the dangerous diseases
Sniffling, sneezing, coughing, aching, stuffy head fever
Fucker, I think it's bout time that you suffer
Bobbing on my knob like an all day sucker
Bitch!

Meth Vs. Chef
Meth Vs. Chef (Let's bring this shit)
Meth Vs. Chef (Yeah, one more time!)
Meth Vs. Chef
I blow your fuckin ass to death

I'm goin all out kid no turnbacks
You could try to front, get smoked and that's that
Lyric assassin, dressed in black rugged
Sixteen shots to your mug, from a slug then
I go to war in a concrete jungle, making bundles
Niggas act funny, and fumble
But I relax, count my shells, a lot of heads gotta fly
Niggas stay strapped, armed to die
Time for jet-black Tim boot, flowin
Wha-Su God get him, hit em with the nine troop
No question, cha-cha-BOW in the session
Bloodshot in that direction, cypher
Attack you like chess moves best move
Yo, yeah, yo
The boards, your ass
'Tack, 'tack, 'tack, uh!
Attack the boards like chess moves, best move
At Rae through, comin at your motherfuckin crew
Live direct, yeah you better step
Gunshots ring on the set
Let's jet - motivate, to the gate
With some quick high Rae stay fly, and rob your Isle
Airwaves, yo behave
Now you're a slave with the boots that paved the way",https://genius.com/Method-man-meth-vs-chef-lyrics
Break Ups 2 Make Ups,Tical 2000: Judgement Day,1998.0,"You and I, 'til the day we die (Trackmasters)
Yo, yo
[Verse 1: Method Man & 
D'Angelo
]
Ex-girlfriend, how you been?
I see you still, tryin' to fuck with other women men
Remember when I first met you in my cousin's house?
A week later, we was fuckin' on your mama couch (
ah, no
)
Now it's been said that big girls they don't cry (uh)
But they damn sure lie, look you in the eye, sayin' you they only
You and I, 'til the day we die
Said you'd never leave me lonely (uh-huh)
Fly tenderoni, but you phony (
something
)
Shoulda listened when my mama told me (uh)
Soon as I turn my back, you tryna fuck my homies
That was then, this is now, I got a new friend
Ever since I cut them loose ends you wanna bone me (
ah
)
Add strife to my life, pussy that'll make me think twice
About leavin' the wife even, picture that
You ain't want me when you had me
Now you on your third baby daddy
And you hate to see a nigga happy (
you don't know
)
So you tryin' mad ways to trap me (
uh, babe
)
Looking at my girl nasty, tryna throw the pussy at me (uh)
[Interlude: D'Angelo & 
Girls
]
Ah
 (
""Now look at this bitch over here tryin' to act like me""
)
Ah
 (
""Uh-huh, fuck that bitch, she must like leftovers""
)
[Chorus: D'Angelo & 
Method Man
]
I'm still lovin' you, babe—every break ups
(
you and I, 'til the day we die
)
I'm still lovin' you, babe—just the make ups
I'm still lovin' you, babe—uh, babe
(
you and I, 'til the day we die
)
I'm still lovin' you, babe—something will...
I'm still lovin' you, babe—break ups
(
you and I, 'til the day we die
)
Little, little lovin' you, babe—ah, baby
I'm still lovin' you, babe—I'm still lovin' you
(
you and I, 'til the day we die
)
Little, little lovin' you, babe—
doo
 (
yo, yo
)
[Verse 2: Method Man & 
D'Angelo
]
It's always you and your crusty-ass crew, be actin' new
Let me find out that you fuckin' with Boo, and y'all gon' feel it
Waitin' for the day that you front, and catch a lump (
ah, no
)
From my black butterfly, that arm pack a lullaby
Sleep on her, she said you bitches tried to creep on her
Up in the mall and didn't know she had the reach on her
Pearl-handled .22, my Boo, 
she go ahead and walk her dogs
And represent Wu (
ah-ah, babe,
 uh)
To the fullest, you and hon can shoot the fair one (
something
)
I'll bring the bullets (bullets)
You know what I'm sayin'? (hah, hah, always)
Stop playin' (
ah, no,
 hah, hah)
You and them dyke lookin' bitches
Actin' like y'all jumpin' somethin'
Go 'head with that bullshit (
ah, baby,
 motherfucker)
[Chorus: D'Angelo & 
Method Man
]
I'm still lovin' you, babe—still don't know
(
you and I, 'til the day we die
)
I'm still lovin' you, babe—ah, baby
I'm still lovin' you, babe—never wanna love in you for that
(
you and I, 'til the day we die
)
I'm still lovin' you, babe, 
doo
—oh, for 
that
I'm still lovin' you, babe—catch her, whoa
(
you and I, 'til the day we die
)
Little, little lovin' you, babe—never wanna love in you, too
I'm still lovin' you, babe, 
doo
—something
(
you and I, 'til the day we die
)
Little, little lovin' you, babe—
doo
 (
ah
)
[Verse 3: Method Man & 
D'Angelo
]
Got tired of the games, the lies, the feeble alibis
Now you fuckin' with the next guy, a thug nigga
Derelict be actin' bugged nigga, show this nigga
Mad love but get no love nigga? Stupid-ass (
ah, no, baby
)
Plus I heard that he be beatin' on you
I seen him at the club cheatin' on you (uh)
Witcha best friend, got you stressin'
And used up, pull your shoes up
All you need's affection (
yeah
)
But you're headed in the wrong direction (
yeah
)
Tryin' to make this nigga jealous, with other fellas
All up in my face actin' overzealous (uh-huh)
Like you want somethin' from Meth, I hope it ain't love, girl (
uh
)
'Cause I ain't got none left for you (
hey, no
)
Plus you miserable (
no, babe
)
Misery love company, shit, I'm livin' comfortably
Don't need no nigga huntin' me down for fuckin' 'round (
no, babe
)
With his kitty, talk to him
Before my brother put a spark through him
Won't be pretty (
no, babe
)
The situation got my whole attitude shitty (
uh
)
And got you actin' high saditty with your slut committee (
babe
)
You know I know (
doo
)
So go find another sucker, yo
I been there and been done that befo', and don't need it no mo'
That's my word (
ah
)
So go to your room with that there, word up (
ah
)
And tell that big head nigga, ""You run with to do the same"" (
baby
)
[Chorus: D'Angelo & 
Method Man
]
I'm still lovin' you, babe—ooh, ooh, ooh
(
you and I, 'til the day we die
)
I'm still lovin' you, babe—ah, babe, baby
I'm still lovin' you, babe—baby, catch you, close to me, yeah
(
you and I, 'til the day we die
)
I'm still lovin' you, babe—every break ups
I'm still lovin' you, babe—just the make ups
(
you and I, 'til the day we die
)
Little, little lovin' you, babe—uh, babe
I'm still lovin' you, babe—something will...
(
you and I, 'til the day we die
)
Little, little lovin' you, babe, 
doo
—baby
[Outro: D'Angelo & 
Method Man
]
Ah
—ooh, ooh, ooh, baby
(
you and I, 'til the day we die
)
Ah, doo
—ooh, ooh, ooh, baby
(
you and I, 'til the day we die
)
Ah
—ooh, ooh, ooh, baby
(
you and I, 'til the day we die
)
Ah, doo
—ooh, ooh, ooh, baby
(
you and I, 'til the day we die
)",https://genius.com/Method-man-break-ups-2-make-ups-lyrics
