title,album,year,lyrics,urls
Shimmy Shimmy Ya,Return to the 36 Chambers: The Dirty Version,1995.0,"""Aw, I don't want to fuck you. You can't even sing!"" You had to sing, or something, to get some pussy

Ooh, baby, I like it raw
Yeah, baby, I like it raw
Ooh, baby, I like it raw
Yeah, baby, I like it raw

Shimmy, shimmy, ya, shimmy, yam, shimmy, yay
Gimme the mic so I can take it away
Off on a natural charge, bon-voyage
Yeah, from the home of the Dodger Brooklyn squad
Wu-Tang killer bees on a swarm
Rain on your college-ass disco dorm
For you to even touch my skill
You gotta put the one killer bee and he ain't gonna kill
Now chop that down, pass it all around
Lyrics get hard quick cement to the ground
For any emcee in any fifty-two states
I get psycho killer, Norman Bates
My producer slam my flow is like bam
Jump on stage dunduhduhDUNduuuuuh
(I like the way you talk)

Ooh, baby, I like it raw
Yeah, baby, I like it raw
Ooh, baby, I like it raw
Yeah, baby, I like it raw
Ooh, baby, I like it raw
Yeah, baby, I like it raw
Ooh, baby, I like it raw
Yeah, baby, I like it raw
[
Incomprehensible
 
backwards verse incorporating part of Verse 3 (Extended version)
]

Shimmy, shimmy, ya, shimmy, yam, shimmy, yay
Gimme the mic so I can take it away
Off on a natural charge, bon-voyage
Yeah, from the home of the Dodger Brooklyn squad
Wu-Tang killer bees on a swarm
Rain on your college-ass disco dorm
For you to even touch my skill
You gotta put the one killer bee and he ain't gonna kill
Now chop that down, pass it all around
Lyrics get hard quick cement to the ground
For any emcee in any fifty-two states
I get psycho killer, Norman Bates
My producer slam my flow is like bam
Jump on stage dunduhduhDUNduuuuuh

Shi-shimmy shimmy ya, yeah
Shi-shimmy shimmy ya, shimmy yam
Shi-shimmy shimmy ya shimmy yam, shimmy yay
Shi-shi shimmy shimmy ya shimmy yam, shimmy yay
Shi-shimmy shi-shimmy ya shimmy yam, shimmy yay
Give me the mic so I can take it away, shimmy shimmy ya

You can't even sing. You have to sing or something to get some pussy
ADDITIONAL EXTENDED VERSE

See, when a nigga say he likes it raw
Keepin' it dirty, down to the floor
See my name is the ODB and I'll beat your ass
For the ladies who know me tell them who the fuck I be
For the niggas who know me tell them who the fuck I be
My style comes down on y'all like rocks
(Sitin' on the dock of the bay) By the dock!
(Aiyaiyaiyaiyaiyaiyaiy...) Umm by the flock
(Don't goooooo) By the creak by the flock
Got east coast locked down padlocked
My Zoo be all all down by the flock

Ooh, baby, I like it raw
Yeah, baby, I like it raw
Ooh, baby, I like it raw
Yeah, baby, I like it raw

Shimmy shimmy ya, shimmy yam, shimmy yay
Gimme the mic so I can take it away
Off on a natural charge, bon-voyage
Yeah from the home of the Dodger Brooklyn squad
Wu-Tang killer bees on a swarm
Rain on your college-ass disco dorm
For you to even touch my skill
You gotta put the one killer bee and he ain't gonna kill
Now chop that down, pass it all around
Lyrics get hard quick cement to the ground
For any emcee in any fifty-two states
I get psycho killer, Norman Bates
My producer slam my flow is like bam
Jump on stage dunduhduhDUNduuuuuh
(I like the way you talk)
Yo, y'all know the lyrics, come on, sing with me

Ooh, baby, I like it raw
Yeah, baby, I like it raw
Ooh, baby, I like it raw
Yeah, baby, I like it raw",https://genius.com/Ol-dirty-bastard-shimmy-shimmy-ya-lyrics
Brooklyn Zoo,Return to the 36 Chambers: The Dirty Version,1995.0,"Shit. Word. I bust that nigga ass right now
Ain’t no–none of them niggas can’t fuck with me
What? Nigga you could never fuck with me, my nigga
I’ll fuck you up right now! What?! What?! What?!
Bust your motherfucking ass boy!
I ain't no motherfucking joke, you know who you talking to?
(Word up, bust that nigga ass, word up)
Ol' Dirty Bastard, you know what I’m sayin'?
I fuck you up right now
Yeah! What?! What?! What?!

I'm the one-man army, Ason
I never been tooken out, I keep MC's looking out
I drop science like Cosby dropping babies
Enough to make a nigga go crazy
In the G-Building, taking all types of medicines
Your ass thought you were better than
A-son, I keep planets in orbit
While I be coming with deeper and more shit
Enough to make you break and shake your ass
As I create rhymes good as a Tastykake makes
This style, I'm mastered in
Niggas catching headaches, what? What? You need Aspirin?
This type of pain, you couldn't even kill with Midol
Fuck around, get sprayed with Lysol
In your face like a can of mace, baby
Is it burning? Well, fuck it, now you're learning
How I don't even like your motherfucking profile
Give me my fucking shit: CH-CH-BLAOW!
Last seen and heard, no-one knows
You forget: niggas be quiet as kept
Now you know nothing
Before you knew a whole fucking lot
Your ass don't wanna get shot
A lot of MC's came to my showdown
And watched me put your fucking ass low down
As you can go, below zero
Without a doubt I never been tooken out
By a nigga, who couldn't figure
Yo by a nigga, who couldn't figure
Yo by a nigga, who couldn't figure (Brooklyn Zoo)
How to pull a fucking gun trigger
I said ""Get the fuck outta here!""
Nigga wanna get too close, to the utmost
But I got stacks that'll attack any wack host
Introducing
 - yo fuck that nigga's name
My Hip Hop drops on your head like rain
And when it rains it pours, cause my rhymes hardcore
That's why I give you more of the raw
Talent that I got will r-iz-ock the spot
MCs I'll be burning, burning hot
Whoa-hoa-hoa! Let me like slow up with the flow
If I move too quick, oh, you just won't know
I'm homicidal when you enter the target
Nigga get up, act like a pig trying to hog shit
So I take yo ass out quick
The mics, I've had it my nigga, you can suck my dick
If you wanna step to my motherfucking rep
CH-CH-BLOAW! BLOAW! BLOAW! Blown to death
You got shot 'cause you knock knock knock
""Who's there?"" Another motherfucking hardrock
Slacking on your macking 'cause raw's what you lack
You wanna react? Bring it on back

Shame on you, when you step through to
The Ol' Dirty Bastard, Brooklyn Zoo!
Shame on you, when you step through to
The Ol' Dirty Bastard, Brooklyn Zoo!
Shame on you, when you step through to
The Ol' Dirty Bastard, Brooklyn Zoo!
Shame on you, when you step through to
The Ol' Dirty Bastard, Brooklyn Zoo!
Shame on you, when you step through to
The Ol' Dirty Bastard, Brooklyn Zoo!
Shame on you, when you step through to
The Ol' Dirty Bastard, Brooklyn Zoo!",https://genius.com/Ol-dirty-bastard-brooklyn-zoo-lyrics
Got Your Money,Nigga Please,1999.0,"I dedicate this to all the pretty girls
All the pretty girls in the world
And the ugly girls too
‘Cause to me you're pretty anyway, baby
[
Verse 1: Ol' Dirty Bastard
]
You give me your number, I'll call you up
You act like your pussy on interrupt
I don't have no trouble with you fucking me
But I have a little problem with you 
not
 fucking me
Baby, you know I'ma take care of you
‘Cause you say you got my baby, and I know it ain't true
Is it a good thing? No it's bad, bitch
For good or worse, makes you switch
So I walk on over with my Cristal
Bitch-ass niggas, put away your pist-als
Dirty won't be having it in this house
‘Cause, bitch, I'll cripple your style!
Now that you heard my charming voice
You couldn't get another nigga, coochie won't get moist
If you wanna look good and not be bummy
Girl, you better give me that money! Aow!

Hey, Dirty!
Baby, I got your money
Don't you worry, I said hey!
Baby, I got your money

So I glanced at the girls, girls glanced at me
I whispered in their ear: ""Wanna be with me?""
You wanna look pretty though, in my video
Ol' Dirty on the hat and I let you all know
Just dance if you caught up in the holy ghost trance
If you stop I'ma put the killer ants in your pants
I'm the O-D-B as you can see
F.B.I., don't you be watching me
I don't want no problems, ‘cause 
I'll put you down
In the ground where you can not be found
I'm just Dirt Dog trying to make some money
So give me my streaks and give me my honey!
Radios play this all day, everyday
Recognize I'm a fool and you love me!
None of you, 
NUH
, better look at me funny
NUH, you know my name, now give me my money!

Hey, Dirty!
Baby, I got your money
Don't you worry, I said hey!
Baby, I got your money

Sing it! Sing it, girls!
Just shake it right now!
If Dirty want his money
I think y'all should give him his money
That's how I like you, girl!

Nigga playing in the club like this all night
Bitches put your ass out, let me hold it tight
You looking at my wrist saying ""It's so nice!""
The price bitch is diamonds, shining disco light
Well, you better help me solve my problem
Or I'ma get this money and rob them
Lucky Dog when I won the Lotto
Ran up on my car for carrying Rollo
But hold on, you can call me Dirty
And then lift up your skirt
And you want some of this Dirty
God made Dirt and Dirt bust your ass
Stop annoying me! Yeah, I play my music loud
It takes the Bastard – Ol' Dirty – to move the crowd
They say, ""He had his dick in his mouth.""
Eddie Murphy taught me that back in the house
Now give me my money!

Hey, Dirty!
Baby, I got your money
Don't you worry, I said hey!
Baby, I got your money

Hey, Dirty!
Baby, I got your money
Don't you worry, I said hey!
Baby, I got your money

Hey, Dirty!
Baby, I got your money
Don't you worry, I said hey!
Baby, I got your money

Hey, Dirty!
Baby, I got your money
Don't you worry, I said hey!
Baby, I got your money

Hey, Dirty!
Baby, I got your money
Don't you worry, I said hey!
Baby, I got your money

Hey, Dirty!
Baby, I got your money
Don't you worry, I said hey!",https://genius.com/Ol-dirty-bastard-got-your-money-lyrics
Raw Hide,Return to the 36 Chambers: The Dirty Version,1995.0,"Yeah! I wanna let all y'all niggas know in here tonight
That this is that Wu-Tang shit
This that shit that's gonna get you high
See when you stimulate your own mind for one common cause
You see who's the real motherfuckers
See what you see is you what you see
(You nuh see it? Wu-Tang a-run tings!)
Be the original G
Rhymin' on timin' in the place to be
(Run blood claat tings!)
Ladies love seein' me!

You're a crossbreed, I'm a knowledge seed
I want action! That's what I need
I never put doubt on my mind
'Cause I know when I touch the mic it's the rhyme
See murder which is caused
When you fuck with the negative and positive charge
Then they came up out my garage
With the hit that's gonna be large
Tired of sittin' on my fuckin ass
Niggas I know be runnin' around with mad fuckin' cash
Who the fuck wanna be an emcee
If you can't get paid to be a fuckin' emcee?
I came out my momma pussy, I'm on welfare
Twenty-six years old – still on welfare
So I gotta get paid fully
Whether it's truthfully or untruthfully
With my Boston bloodthirsty posse
P-E-A-C-E

Move 'em in, move 'em in
Move 'em out, move 'em out
Stick it up {*whip sound*} raw hide!

Yeah, gotta come back to attack
Killin' niggas who said they got stacks, 'cause I don't give a fuck
{*inhales*} I wanna see blood, whether it's period blood
Or bustin' your fuckin face some blood!!
I'm goin' out my fuckin' mind!
Everytime I get around devils {*breathing hard*}
Let me calm down, you niggas better start runnin'
'Cause I'm comin', I'm dope like fuckin' heroin
Wu-Tang Bloodkin, a goblin, who come tough like lambskin
Imagine, gettin' shot up with Ol' Dirty insulin {*sucks air*}
You bound to catch AIDS or somethin'
Not sayin I got it, but nigga if I got it you got it!!
What!?

Yo, check the bulletproof fly shit, strong like Thai Stick
Then I'll remain to tear your frame while I freaks it
Like some fly new sneaks and shit
Now eat my shit, bitch tried to creep and got hit
Now regulate, and I'll be out to set up a date
Wu-Tang is bangin' like a Ron G tape
RZA pump the shit just like a shotty
Watch me run it like John Gotti
Collidin' on the track like gin and watty
Check the calendar, I warn any challenger
To step up {*whoosh*} feel the blast from the silencer

Move 'em in, move 'em in
Move 'em out, move 'em out
Stick it up {*whip sound*} raw hide!

Comin' soon to a theatre near you it be the Wu
Yeah, find yourself in the square and see it's true
Actual facts to snack on and chew
My positive energy sounds peace to you
A wise man killed one horse and made glue
Wicked women puttin' period blood in stew
Don't that make the stew witches brew?
I fear for the eighty-five that don't got a clue
How could he know what the fuck he never knew?
God-Cypher-Divine come to show and come to prove
A mystery god that's the work of Yacub
The Holy Ghost got you scared to death kid boo!!

Yeah, we always gotta keep it fly
Fly for you to feel what you wants to feel
See Wu-Tang'd like to thank, all the people across the country
All the people in America, all the people outside of America
For listenin' to our music
We gotta keep it fly for ya!
See this ain't somethin' new
That's just gonna come out of nowhere, no!
This is somethin' old! And dirty!
And dirty!
Yeah",https://genius.com/Ol-dirty-bastard-raw-hide-lyrics
Protect Ya Neck II the Zoo,Return to the 36 Chambers: The Dirty Version,1995.0,"See let a nigga come through with that bullshit
Any time you pop that shit nigga
I'ma tell you you can suck a dick, you can suck a pussy
I know, it'll come to what? Say what?
Now I'ma let all you motherfuckers know
See them knows that this is something you can't fuck
Whether you from Brooklyn, whether you from Manhattan
You from Queens nigga
I don't give a fuck, where you be motherfucker!
Where you reside... motherfucker!
How you live? How you seeeeeeee

Sort the stack outs, this one's the blackout
Three-fifty-seven to your mouth, blaow!!

Dirty, can you hear me? Rawness I’m inflicting
It's that G type slang that makes this real sickening
Ignite the styles, I got my hand upon the trigger
Starts from the smallest and hits the bigger nigga

Yo, straight out the lava by them hell fires
A known mental killer, born thriller, assassin of terror
A hot bloody fatal mixture of carbon and water
Homicidal manslaughter, death is the order
Start the mission, travel like the speed of wind
Through the valley of sin, I step to ville and murdered many men
Serving justice in my vicinity

(This is, Brooklyn, Zu!!)
Za-za-za, za-za-za
Zuh-za-zah, z-zz-zz-z-z-zz-zz-z-dah-duh-dnn-duh

I get down, I get down, I crack your fucking crown
Lay around and watch some real niggas break ground
I can't shop cause every bro blowing up the spot
Hit rocks and niggas know

Yo! Niggas grab the mic like the bites of a scorpion
Nervous, that's why the Zu brought me in
Now bring em forth, like the tortures at the courts
Before the case begin, first break me in
His brain! And make sure he can't maintain the calmness
Ya harmless, watch how I bomb this
Stage light now appears to be the Moon
Now your Posse is your fucking Platoon
Stale sound just flows through the air
I'm like a ninja, once I send ya cold stares
Then I get furious, imperious, the lyricist with the clearest rhyme
Erupt to deduct your fucking mind

Fuck shit up on the hurry-up
Known for burying ducks through more styles than a monk
Warning you chump, brain is out for lunch
Given the power punch, soon to be paid like Donald Trump
Never fall victim to no bitch
Jerked my dick, but still got more hoes than a pimp
And score more points than Shawn Kemp
Keeping powerfully strong like the center on the Knicks
Hut one, hut two, hut three, hut!!
Ol Dirty Bastard live and uncut
(Shame on a nigga who tried to run game on a...)

Got more props than the President
My hardcore represent
Blowing niggas back who never had this
Cause I'm gifted, so you can gift wrap the shit
I'm kicking and send it to your moms for Christmas
And tell her Shorty Shit Stain sent it
Soon to have more green than the Jolly Green Giant
Cause niggas rap styles just down, it's expired
You should've stayed home instead of picking up a microphone
But if you wanna run on up, like you tough
I call your bluff and blow you down with my hardcore stuff
I shine like twenty-four carat, niggas know...

Roll and stroll with the party scene
Nigga wanna know me as Mr. Clean
Wza-wza-wza-wza-Wu-Tang, flip the script and
Test my skill niggas, you're tripping
Drugged up from sniffing, you're the one who's riffing
I'm not Opie, save that old shit for Andy Griffith
Start to flip, slip cause you're slipping
While you sleep I be the God on point, with Scottie Pippen
As I jump on stage, flip rip a show
Strip and rip a ho, wayyy like Bo
Jackson while I'm still taxing maxing
Relaxing sitting back, silly attraction
Again and again when I rock the jam
Wanna see em up in the air, throw up your hand
Introducing one-man band in town
It's wild, more the style couldn't stand nigga
When the jump stepped to the center
Of the rhyme inventor, MCs' tormentor
You get dap slapped, across the MC map
Your ass that's your ass on a whore shot
Come on through I black and blue your whole crew
Then I get Rudy with the Hong Kong Phoo'
Ol Dirty Bastard, MC killer
Money maker, Brooklyn, Shaolin style
That I lay down like tile, then I get higher

Here comes the illlll, type ruffer
Style be untouched I'm leavin broken down grammars on the pen
Who who what? What brings it? Tighter than your anus
Chambers this name is for the deepest trainers
Keep it stainless, steel, on time it is the windmill
Deadly venom kills, at the last of the Sam's Mill
60 Second, nucleus, attack on your set
Hit you with the blast (yo close the door)
Shabazz!!
*gun blast*",https://genius.com/Ol-dirty-bastard-protect-ya-neck-ii-the-zoo-lyrics
Snakes,Return to the 36 Chambers: The Dirty Version,1995.0,"Now number two, practiced the snake style
He was known as the snake spirit
He had the speed of a snake

Niggas is like serpents out there
Serpents will bite
Lay outside, and then they roll back into they holes
They slither, in the streets of Brooklyn, New York
Slither in the streets, of Manhattan
In the streets of Queens, streets of the Bronx
Streets of Staten Island
Wherever you see em they slither
Whoever... yo
Fearsome shit... check it out
Yo, yo

It broke me up when they pat me on my shoulder
Said stay strong 'cause his life is now over
I flash back to the heathens that he roll with
They shot him up and down nobody knows shit
My peers, little ears
Came up to me with a eye full of tears
Last night we was shootin' dice and gettin' nice
Kid rolled us, played us for our merchandise
We were in the hallway all day
Me, Steve and Little Ray
Probably at first they tried to rob me
Back me in the lobby, pull out the shotty
Then came Scotty, fragile body
My first impression, he returned from a party
He would just stagger, smellin' like Bacardi
The Dragon, braggin', how he was fuckin' mad hotties
Pressed on the elevator button, then all of a sudden
He licked off, about a dozen
Slugs from the cannon, that ripped through my cousin
Nobody was standing when the nigga started bustin'
Blood started to flood the floors by the elevator doors
That's the last thing that I saw
Damn, we planned to make grands and buy a home


Jagged edge, rock head hard as Stonehenge
Pledged whoever crossed his path get scrapped with a sledge..
..hammer, he didn't give a damn about the manner
And on the block he was called by the momma's
And the grandma's, 'indecent', 'heathen', 'juvenile delinquent'
His weekends was frequently locked inside the precinct
His most recent cape for catchin' papes
Was snatchin' up snakes on a roof butt-naked hang em off like drapes
Then ask what's the combination to the safe, with the brace
And those who didn't reply they fell straight to their face
Razor blade sharp who invades the dark
And raid more spots than Spays and NARCS iron heart like Tony Starks
A fierce lion, who never leave the crib without the iron
And on the block he be slingin' rocks and duckin' from the sirens
Greetin' niggas he loved with a pound, and a bear hug
Those who wanted life, they catch a slug from the snub
A Five Percent, who all knew was one to ten
He loved the Gods with his heart but his brain was filled with sin
And when he came through niggas be lookin' out
Hopin' he gets shot or tooken out, or locked the fuck up in Brooklyn House
In PC, on a liquid diet, but he was louder than a riot

Do the knowledge to a nigga named Trigga
Bad rudeboy from the land of Jamaica
With visions to venture, to the U.S
To receive the gold that he couldn't achieve
In his country, even though he sold mad weed
For the next man, who was the Don of the clan
Niggas actin like they got the block locked
Like I can't sling drug raps and eat food
But I be the rudest, bad boy steppin gun totin
Shots lash out like a violent explosion
At the nigga, who tries to stop my production
Intervene the scene and slow up the cream
None of that black, East New York, gun talk
Niggas I extort from Baltic to Boardwalk
Memories of injuries, wounds and burns
Walkin' through the streets of Medina I stand firm
'Cause I know this, which means I can hold mine down
Without a doubt, niggas who front, get snuffed out
Justice must be born there's no escape
'Cause a snake can't be reformed so why wait
Comin' in the name to proclaim your fame for protection
And you don't know no fuckin' lessons?

Bad, bad, Leroy Brown
Baddest man in the whole damn town
Badder than the deep blue seaaaaa
Badder than you and meeeeee
Niggas comin through the trees like a salamander
Bitin' like a piranha
But I'm bitin' you back, like a black pantha, the style I'm ampin' the...
Fuck my name, who I be?
Fuck the game, it's all about the moneyyyy!
Owahhaerahh
Sometimes I get high with the Meth then I turn to the Killah Priest
When it comes TWELVE O'CLOCK!! I turn into the demon beast
Yo, yo fuck that shit!

YO! SHOW THESE MOTHERFUCKERS WHAT TIME IT IS
 Rawwrarrrah
Rahhwarwaahauh, rawwaroar!!
WHO's THE BAD-ASS? *rawharrah*
WHO's THE BAD-ASS?
 Rawwwaahrah
[He practiced the snake style
He was known as the snake spirit] YEAHhhhhh

Lyrics, never waitin, twelve days, penetrated
When I come with the ruffness, mad niggas try to rush this
Slip into my killings, then I slays and you're helpless
When I try to stay sick, it's Yakub grafted six
Calm for the kill, knowing the style that's ill
When I drop the greatest skills, brothers say, 'Buddah chill!!'

I don't need to rhyme no more, niggas know, yo!
To all the Wu-Tang Clan members
The Ghostface Killah, the GZA, the RZA, the Ol' Dirty Bastard
The Method Man, the Chef - Raekwon, Inspectah Deck, U-God
Yo!!!",https://genius.com/Ol-dirty-bastard-snakes-lyrics
Baby C’mon,Return to the 36 Chambers: The Dirty Version,1995.0,"Yo, are you taping baby?
Baby are you taping?
Ohh yeahhahhahheeyahhhyahhhhohhhyahhhh
Baby baby c'mon, baby c'mon, baby c'mon
What the fuck anybody wanna do?
Right motherfucking now!
Ahhahhahhhah

I'm the god who's the head of the Lords
Dirty Bastard from the Wu-Tang squad
Can I get raw? Yes, I get Dirty to the floor
Rhymes, hitting on your mind, you could never ignore
Hip-Hop to me is like a place to be
My specialty from me to you is MC
Say what you wanna say, baby say
I flip the microphone-ah, any day
I'm mad swift because I got that gift of gab
Niggas get mad, your ass never had
This talent that I got will riz-zock the spot
MCs, you got paid a lot
You ever notice a black man damn mostly slams
When it come to the money, yo it ain't funny
It's what you gotta do what you got to do

C'mon, can I get a Wu-Tang
Wu, Tang, Wu, Tang, Wu, Tang, Wu, Tang
Wu, Tang, Wu, Tang, Wu, Tang, it's on your brain

I get riggy diggy raw when it's time to get
On the dance floor shotgun kill the shit
Blaow, then you won't step to me
Thinking is he really raw as he said he'd be
If I wasn't really raw, standing here on the floor
You'd be like, ""Booooo! He ain't hardcore!""
Niggas play like they live but won't survive
Jumpin up and down ticklin that jive when you ticklin gab
I'm an average man, G-O-D fan
Let it be known who's the champ, Wu-Tang Clan!
It's coming through and WU, boy it's bad too!
Throw your hands in the air, if you don't care
WHO, the Ol Dirty Bastard be
Oh me on my, you be hoppin on my shit just like a fly
BZZZZT, all around
The dirtiest stinkin sound down to the ground
What, what, what you wanna do?
What you wanna do when I'm coming for you?
I'm gonna give it to ya, bayyybah, bayybah
Bayybahhhahahahahahahahahahah...",https://genius.com/Ol-dirty-bastard-baby-cmon-lyrics
Damage,Return to the 36 Chambers: The Dirty Version,1995.0,"(Say peace) Peace!
Dirty, Ol' Dirty Bastard
(Say it, say it again)
The Genius! Genius (The Genius)
The Genius, the Genius

I'll grab the mic and I'll damage ya
Crush your whole stamina
Here comes the medical examiner
One verse then you're out for the count
Bring the ammonia, make sure he sniffs the right amount
Wake him up and then ask him
Why did he attend this --
Competition to get ass kickin' so tremendous
Boy you know you shouldn't bother this
Leave me alone like the son said G or he'll be fatherless!
I got the asiatic flow mixed with disco
Roll up on the scene like the Count of Monte Cristo
And MCs start to vanish
I stepped up to a jet black kid, started speakin' Spanish!
Yo he wasn't from Panama
Asked him how he get so dark, the nigga said suntanama!
He responded so fast, he made me laugh
Ha-ha-ha, HARARRRH then I scared-his ass!
Kicked the hundred strongest rhymes
I brought out the punk in him
Caught him with a strong five deadly venom
Told him enter the Wu-Tang
Witness the Shaolin slang, that'll crush the shit you bring
And watch your ass take a big fall, why?!
My Main Source is like a friendly game of stickball
And as you step up to bat man and I play the riddler
Try to do me for a rhyme and I'll change to Hitler
Go out like a Nazi; you'll be wishin' your fuckin' ass stayed home and played Yahtzee!
Or watchin' Happy Days sweatin' Potsie
With Ralphie and Richie Cunningham, Joni and Chachi
Wu, who? Me gettin' wrecked so I'm through
Like a ten and a half foot gettin' in a seven shoe
Now picture that with a Minolta
Have your ass doin' some Night Fever shit like John Travolta
I come strong, I make knowledge born, I flip the script
And rock on from P.M. past the fucking Dawn
Pass the Hammer you're broke down, English grammar, what, what
Can't understand it here's the panorama
A complete view of how I defeat you
Should've stepped to those fuckin' kids who tried to beat you
Yeah, I bust that ass before
You ran to Texas and came back but forgot the chainsaw!
And when I perform a massacre
Better be coming with some motherfucking shit that's spectacular
Crush the personal vendetta, well you just better
Start stepping to your raggedy ass jetta
Put the pedal to the metal
You and your DJ change your name to Ma and Pa Kettle
As I pass the bone, kicks your every measure
It's not a Newport but it's still live with pleasure
C'mon don't be silly, just a bag of sensimilli
Rolled up in a Motown Philly
I used to write all the time when I smoked
Grab the mic, then I like kinda went for broke
With visually concepts strongest rhymes and biceps
Lyrically speakin', three to four rhymes a choke
Some think they be harmin' this, claimin' they be bombin' this
But they still remains anonymous
I pull strings like Jimi Hendrix
Rhyme on beats that go backs to the days of Eddie Kendricks
I teach the truth to the youth, I say, ""hey youth
Here's the truth, better start wearing bulletproof""
Arm yourself with a shield
'Fore you get trapped up just like the children in the cornfield",https://genius.com/Ol-dirty-bastard-damage-lyrics
Wastin’ Time (No More),UnKnown,2009.0,"Please pull the plug if the drugs are winning
Cause the high will keep your world spinning
Wasted time, thought about the high with fam
True the cash was there, and the stash was there
And I thought that Forever that the Wu was there
Wasted time, on hoes, pussy and clothes
I'm the Don of the rose, it's the life I chose
Baby Mamas are the worst, bitches don't even work
Yet the Coach bag matches with your hat and your skirt
So I slept for no reason, disappeared for seasons
Room may be padded, but damn, it's more easy
Beautiful girls tease me, they see the sleaze in me
But I'mma stay Dirty, accept the snake
No more will I waste the cake, no more will I run from Jake
No more will I make mistakes, no more will I waste the time

No more will you spit in my drink, no more will you poison me
I'mma climb real high, feel free with the thug inside
No more will I run and hide, wastin' time
No more will I taste the drugs, no more will I dodge the slugs
I'mma climb real high, feel free with the thug inside
No more will I run and hide, no more will I run and hide
No more will I waste the time

I walk on a dirty trail of cash and L's
Red Rose, 
you get high when I exhale
Jumped bail cause the judge promised my ass jail
West Coast couldn't hide me, the world's an audience
Passed out from the high like Martin Lawrence
Had me in the room next to Sarah Connor's
But my problem's much greater than any Terminator
Not one visit from fam, just letters from fans
Saying ""
Dirt keep ya head up and fuck getting wet up""
The Roc told me to sign on the dotted line
""
Welcome home, Russell Jones, you've been wasting time
Rocked up a little
, 
bling bling a little
Now every roach in the cracks wanna jump in the Ac
Every cat in the front gotta ride in the back
You freaks in the Ford, I ride a Cadillac
You freaks in the Ford, I ride a Cadillac
At last",https://genius.com/Ol-dirty-bastard-wastin-time-no-more-lyrics
Hippa to Da Hoppa,Return to the 36 Chambers: The Dirty Version,1995.0,"My beats are slamming

My beats are slamming from the rugged programming
My man Bob Marley hey my man I'm jamming
You could never touch the stamina, while I'm ramming the
Hip-hop crowd makes me rrrah rrrah rrrah
Other MC's got flipped with the ease
Begging me for mercy, stop the music please
No cause I'm a pro, rap to the convo
Make a crowd say ho, at a strip show
Represent, my name is Ason keep calm
Rhyme's too smoky, funky like a stink bomb
Boom, blowing up niggas better than pulling the trigger
So you betta run for cover
Niggas better loosen they ass, felt the glass
A forty ounce bottle, yo yo yo money yo pass
Woooh-woooh-woooh, I sweat it live
Is he gonna live doc?, no the nigga dies
The max-imum of MC's are populating
The min-imum of those MC's are dominating
Now all and together now, to what what who
Rhymes come stinky like a girl's poo-poo

Hippa to da hoppa and you just don't stoppa (2x)

Ahh shit, here I go once again
Rhymes get shitty from the time that I spend
I come old like toe fungus mold
Ask my grand-pop pop duke gave my soul
Then I came with that old Al Green shit
Saaa-die, taught me the ballistic
I get you blurry in your eye with a high note
Down, to the Brownsville, oops you got smoked
The shit I'm dropping is stinking up your area
When I shoot it through like a messenger carrier
I keep my breath smelling like shit so I can get
Funky baby I'm not having it


The Hellfire style!
(Sound of dragon breathing fire) Dragon Fist!
(Sound of horse neighing and running.) Horse Fist!
Bastard, I didn't know who you were!",https://genius.com/Ol-dirty-bastard-hippa-to-da-hoppa-lyrics
