title,album,year,lyrics,urls
Freek-A-Leek,Still Writing in My Diary: 2nd Entry,2003.0,"Let's take some calls from the request line
Caller number 1

Hey man what's up this Dominique from Shady Knoll trailer park

What's up Dominique?

I wanna hear that song from Lil' Jon and Petey Pablo

Aight, I got that coming right up for ya
Now shout out the radio station that gave ya what ya wanted

W boom boom beat baby

How you like it daddy (Would ya do it from the front?)
How you like it daddy (Would ya do it from the back?)
How you like it daddy (Gonna break it down like that, uh)
How you like it daddy (Would ya do it from the front?)
How you like it daddy (Would ya take it from the back?)
How you like it daddy (Gonna break it down like that, uh)

Twenty-four, thirty-four, forty-six
Good and thick and what you give her she'll work wit' it (she'll work wit' it)
Pretty face and some cute lips
Earing in her tongue and she know what to do with it (she know what to do wit' it)
Made a name for herself and she do her shit well and know how
To keep her business to herself
Come over anytime nigga call check
1 o'clock, 2 o'clock (ding dong) and she right there
And she know why she came here
And she know where clothes suppose to be (off and over there)
Sniff a lil' coke, take a lil' x, smoke a lil' weed, drink a lil' bit
I need a girl I could freak wit' (freak wit')
And wanna try shit and ain't scared of a big dick (big dick)
And love to get her pussy licked by another bitch
'Cause I ain't drunk enough to do that shit

Freek-a-leek
(How you like it daddy) Shamika, Kiesha, Tara (freek-a-leek)
(How you like it daddy) Shawna, Sabrina, Crystal, DaRhonda (freek-a-leek)
(How you like it daddy) Lisa, Felicia, Tonisha, Shavon (freek-a-leek)
(How you like it daddy) Monica, Monique, Christina, Yolonda

I need to know a whole lot
That could teach me broad
Need a ding dong stick a tongue and take her to ball
I had to gon' head do that for her
I'm spoiled (and I don't like to work that hard)
I like to lay back relax and enjoy my turn
Let my eyes roll back and my toes curl (I love when you do that girl)
Til it come time for me to have to give her hers
Tell me what you want
Do you want it missionary with your feet crammed to the headboard
Do you want it from the back with your face
In the pillow so you could yell as loud as you want to
Do you want it on the floor, do you want it on the chair
Do you want it over here, do you want it over there
Do you want it in your pussy, do you want it in your ass
I could give you (anything you can handle)

Freek-a-leek
(How you like it daddy) Shamika, Kiesha, Tara (freek-a-leek)
(How you like it daddy) Shawna, Sabrina, Crystal, DaRhonda (freek-a-leek)
(How you like it daddy) Lisa, Felicia, Tonisha, Shavon (freek-a-leek)
(How you like it daddy) Monica, Monique, Christina, Yolonda

How you like it daddy (Would ya do it from the front?)
How you like it daddy (Would ya do it from the back?)
How you like it daddy (Gonna break it down like that, uh)
How you like it daddy (Would ya do it from the front?)
How you like it daddy (Would ya take it from the back?)
How you like it daddy (Gonna break it down like that, uh)

Hey I appreciate that homeboy

Not a problem, you know I do it cause I love ya
Now I got to give a shout out to Seagram's gin
Cause I drink it, and they payin' me for it

Freek-a-leek
Shamika, Kiesha, Tara (freek-a-leek)
Shawna, Sabrina, Crystal, DaRhonda (freek-a-leek)
Lisa, Felicia, Tonisha, Shavon (freek-a-leek)
Monica, Monique, Christina, Yolonda

Freek-a-leek
(How you like it daddy) Shamika, Kiesha, Tara (freek-a-leek)
(How you like it daddy) Shawna, Sabrina, Crystal, DaRhonda (freek-a-leek)
(How you like it daddy) Lisa, Felicia, Tonisha, Shavon (freek-a-leek)
(How you like it daddy) Monica, Monique, Christina, Yolonda

Double-U boom boom beat
The radio station that plays all the new hip hop and R&B
That was the new ""Freek-A-Leek"" by Petey Pablo
Something to put a little razzle to your dazzle
A little pimp in your step
We gonna keep it going and we're gonna play another one of the songs off of the album
This one right here, one of my personal favorites
Featuring Young Buck from G-G-G-G-G-G-G-Unit!",https://genius.com/Petey-pablo-freek-a-leek-lyrics
Raise Up,Diary of a Sinner: 1st Entry,2001.0,"This one's for North Carolina! Come on and raise up
Take your shirt off, twist it 'round your hand
Spin it like a helicopter
North Carolina! Come on and raise up
This one's for you? Uh-uh
This one's for who? Us, us, us, yes sir!
North Carolina! Come on and raise up
Take your shirt off, twist it 'round your hand
Spin it like a helicopter
North Carolina! Come on and raise up
This one's for you? Uh-uh
This one's for who? Us, us, us, yes sir!

Who am I? Petey Pab' motherfucker!
First to put it down for North Carolina
But guess what (what?), it's been worth it
I'm a superstar, bought me a big ol' car
Four point six (see the car!)
Black with the bars from the front to back
And got a button in the middle, make the trunk go ""eh-eh""
But it ain't 'bout that
It's about getting what you getting and driving all back here
Big fellas (six fellas)
Half of me and Carolina niggas done time together
Polk, Bladen, Marshall, Hoke, Greene County, Tillery, damn
Transfer, Sandy Ridge, Browns over here (greens over here)
Pasqoutank, down on the, Odom East (let me think)
Johnson County, Franklin, Burgaw, Newport, Warren, Shelby, Kenansville
(Man Currituck) Tarboro, Triangle, Goldsboro, Halifax, Statesville
And all my niggas doing life behind the wall
This right here, right here, right here's for

This one's for North Carolina! Come on and raise up
Take your shirt off, twist it 'round your hand
Spin it like a helicopter
North Carolina! Come on and raise up
This one's for you? Uh-uh
This one's for who? Us, us, us, yes sir!
North Carolina! Come on and raise up
Take your shirt off, twist it 'round your hand
Spin it like a helicopter
North Carolina! Come on and raise up
This one's for you? Uh-uh
This one's for who? Us, us, us, yes sir!

You remember them days y'all, we used to play y'all
The radio and put our own lil' part in the song y'all
We used to (Rep our city, rep our city!)
Running through the school halls
Just before our basketball pep-rally jumped off
(hah!) My house, my home, my hood (hah!)
My brother, my sister, my cous' (hah!)
My niggas that was there from the beginning
Been wit me even 'fore they knew what bein' with me was
Y'all niggas just glanced at it, now I got y'all staring at it
But it's been the same ol' North Carolina it's been being
Y'all niggas just getting it, oh it's a shame isn't it?
Oh you thought we said we were coming wit a whole lotta something
We were bullshhh! (ahh!)

This one's for North Carolina! Come on and raise up
Take your shirt off, twist it 'round your hand
Spin it like a helicopter
North Carolina! Come on and raise up
This one's for you? Uh-uh
This one's for who? Us, us, us, yes sir!
North Carolina! Come on and raise up
Take your shirt off, twist it 'round your hand
Spin it like a helicopter
North Carolina! Come on and raise up
This one's for you? Uh-uh
This one's for who? Us, us, us, yes sir!

Man I had to do it
Just in case you were one of the ones
Who wanted to come and ask something stupid
(What you think you doin'?) What it look like?
Putting it down for my niggas in the south side
North Carolina, South Carolina
And all my little bitty overlooked hick towns
We gonna hit y'all asses, ain't nothing but a T. T. blast
What we got coming at you?
(Beats?) slamming, (verses?) classic
(Gold for this) What's after platinum?
(Baby you don't want the bomb)
And I don't meant to scare ya
But I'm about to bring it home
Blow these valleys, these hills, these streams
And N. C. outta the water
How's it feel to look a motherfucker dead in the grill
And tell 'em, ""I told ya!""

This one's for North Carolina! Come on and raise up
Take your shirt off, twist it 'round your hand
Spin it like a helicopter
North Carolina! Come on and raise up
This one's for you? Uh-uh
This one's for who? Us, us, us, yes sir!
North Carolina! Come on and raise up
Take your shirt off, twist it 'round your hand
Spin it like a helicopter
North Carolina! Come on and raise up
This one's for you? Uh-uh
This one's for who? Us, us, us, yes sir!",https://genius.com/Petey-pablo-raise-up-lyrics
Need for Speed,Need for Speed: Underground Soundtrack,UnKnown,"Need for Speed
I got a need for speed
I got a need for speed
I got a need for speed
I got a need for speed
When the cops come all I hear is whoopwhoopwhoop
Said when the cops come all I hear is whoopwhoopwhoop
Said when the cops come all I hear is whoopwhoopwhoop
I got a
I got a
I got a
I got a
I got a
Foot on the pedal
Pressin' the gas
Gotta
Switch in the middle
That's close to my hand
Grab a Skull Head
Come time me shift gear
When I hear it chirp
I know everthing work
My Neeer
See ya later alligator
I'm Gone
Dippin' trucks, duckin' cars
Watch out for the wall
I can hold my own
Out here on the dangerous road
Tryin' to find me like a diamond
In a pecan grove
I got Ozone
Man I like rock n roll
Like ta bump it
Just as my car come around the last corner
Gotta take it home
Want nuttin' less than the the goal
Get your roll on
Show 'em what the low pro's for
Show 'em what Donald Don
Uncle Brutha' did to the motor
I got heat control
And the access codes
You can't handle it Boss
Better let your man jump on it
My need for speed
Slam out the window dog
I got a need for speed
I got a need for speed
I got a need for speed
I got a need for speed
When the cops come all I hear is whoopwhoopwhoop
Said when the cops come all I hear is whoopwhoopwhoop
Said when the cops come all I hear is whoopwhoopwhoop
I got a
I got a
I got a
I got a
Whether it's a stick shift or an automatic
Get through the razzle
,
can perform magic
And I don't do rabbits
I make it happen on the track
Cause
When the flag falls
That's all she wrote
Give the boy some breathin' room
'Bout ta get loose
And whoohoo, get ta' actin' a fool
I pay my dues
Never time ta' break the rules
Cuz
You just a dot in my rearview
I barely can spot ya'
Behind? I don't hear you
Pretty damn pitiful
I'm tryin' to be serious too
Your car ain't the problem boss
The car should get rid of you
I'm a talk to your captain too
Tell him you're killing the groove
Singin' the right song
But playin' the wrong music
My transmission fluid
Cost more than your dashboard
I'm out here e'ryday
When you can't stay long
You can't play ball
In traffic with flying cars
I can't give you no warning
My car ain't gotta horn
I got a need for speed
I got a need for speed
I got a need for speed
I got a need for speed
When the cops come all I hear is whoopwhoopwhoop
Said when the cops come all I hear is whoopwhoopwhoop
Said when the cops come all I hear is whoopwhoopwhoop
I got a
I got a
I got a
I got a
Need for speed
See ya later Alligator
Need for speed
Need for speed
Need for speed
See ya later alligator
I'm gone
Gone
Gone
Gone
See ya later alligator
I'm gone
I got a need for speed
I got a need for speed
I got a need for speed
I got a need for speed
When the cops come all I hear is whoopwhoopwhoop
Said when the cops come all I hear is whoopwhoopwhoop
Said when the cops come all I hear is whoopwhoopwhoop
I got a
I got a
I got a
I got a.....",https://genius.com/Petey-pablo-need-for-speed-lyrics
Show Me the Money,Step Up ,2006.0,"This is definitely the wickedest thing I ever hear in my life!

Show off that body you got
You got the dance floor so hot
You workin' that, you twerkin' that
You tickin' that like a clock

Can't nobody do it like I do it
When I do it, dog I do it
(Break it down)
Break it down, put your back into it
Man, y'all ain't ready for the **** I'm doing
(So get up)
Get up, put your drinks down
Don't want y'all sloshing yo' drinks out
All over that cheap blouse
Ain't nothing but a swallow in it anyhow
(Still me)
Still me, I just changed the sound
To the other one I had and just swapped it out
(Switch!)
Kept somethin' in background
Cause you love the song
But you in love wit the background
C'mon let a mama work for me
Make a player wanna spend some money
I don't really like spendin' money
But if you do what you do and do it well I'ma
 (x2)
Show off that body you got
You got the dance floor so hot
You workin' that, you twerkin' that
You tickin' that like a clock

Look good, and thick, nothin' in em, I'm hurtin'
No silicon, no lipo, no botox, no dumpty dump
All natural in today's world
When her mama brought her in this world
Good lookin' mama!
That good and hot and def make a athlete lose his breath
And if you got ass, move your little bump south
You're gonna need a couple skirts, fallin' out
10.5 on the Richter scale, the highest number you can go is 12
Shorty shake it like hell, we ought to be shame ourselves
The Creator couldn't rock the bed that well
Look at her breakin' it down ridin' this beat like wow!
If I was a jail man I'd gun her down
 (x2)
Show off that body you got
You got the dance floor so hot
You workin' that, you twerkin' that
You tickin' that like a clock

This is definitely the wickedest thing I ever hear in my life!
Ok!
I been sippin' on that Patron
I'm ready give you what you want
Might not feel the same way tomorrow
But I'll deal with that tomorrow
Cause tonight you got me feelin'
Like I wanna take you home
 (x2)",https://genius.com/Petey-pablo-show-me-the-money-lyrics
I’ll Beat Yo’ Ass,Same Eyez on Me,UnKnown,"Death Row nigga
What's happenin'
Petey Pablo
Bitch

Bitch, I bet I'll beat yo' ass (repeat 7x)

I ain't never been punked
Ain't never got chumped
Always been out numbered and I ain't never got jumped
I ain't never had to run
I ain't scared nigga, Fuck it
If I tell ya' something
Best believe I can back it up
I ain't claiming that I'm badder than the others
Cause I know I can get got like the next motherfucker
But if it ever come
It's gonna have to keep coming
I ain't never been the type to sit back and take a ass whooping
My pride, I know won't let me do it
Motherfucker running round telling cuz what he done to me
I'm my own fucking bad influence
And I don't need a gang ?????
See I been real since my Momma came out the room
With my Daddy cum still fresh in her womb
No brainer
Ain't nothing gonna change it
Fuck what a motherfucker thinking


They got me waiting in a room full of dogs Suge
When they ear's move I know what they gonna do
I got em' trained like I want em', yo
Four Rottweilers, never seen another man before (goddamn)
Yo they some motherfucking killer's
And I'm a motherfucking killer
So there's hell on your ass, nigga
I hope you thought about this real good
And if you haven't
Yo, before this happen Home's, if I was you I would
Take your life and jeopardize it
But I'm gonna tell ya'
Many enter
Only few live to tell about me
I done seen a lot of change in this lifestyle
And still the ? thing happen and it seem wild
It's not as simple as it seems to be
Cause one false move and your ass is a memory
Nigga's is fighting for they everything
Life is suppose to be a game
But I ain't never seen a nigga play


Motherfuckers getting chains stole
Calling folks phone, could ya' please get it back for em'
What the fuck y'all doing
If you was gangsta' as you say ya' is
Get your own jewelry
Where the fuck is your security
If you ain't as real as you say ya' is
Ain't that how your suppose to do it
Sounds good in your music
But if it ain't the truth
These days, these dudes will make ya' prove it",https://genius.com/Petey-pablo-ill-beat-yo-ass-lyrics
Pay For The Pussy,Life On Death Row,UnKnown," 2x
I'd rather pay for the pussy than
Trying to find the right line to say to ya'
I ain't got that much time to give it to ya'
You want this money or not
Let's do it

I said I'm good for wild'n out
In the club throwing money round'
Bad chicks that wanna dance with they titties out
Doing tricks making their booty bounce
?? balls in the kitchen, boot em' out
Now make it touch the ground
Oh yeah, she blood raw
If that ain't the baddest bitch up in here, boy I swear to God
Get up Mama, turn around
Look how she do her mouth
I got damn lip gloss shining like some Armor All
Uh-oh, there she go twirling around on the poll
Slow down ho, ho
???
I gotta pay her for it
Come here honey, come here, come get this money
You deserve it
Here's a ten, here's a twenty, here's a .. fuck it take a hundred, oh
 2x

It ain't tricking if you got it Mama
I ain't got no money problems
I could spare a few dollars to help ya' make it through College
It take a whole lot to get this pistol here hard
Baby you bad, and you dancing your ass off
Plus I like to see what I'm paying for
But why take a chick home
Yeah I know you going, put your clothes on
I'm a heavy hitter, and I'm a big spender
And I'm really the man when it comes to these bitches
I done been to plenty
And I ain't the type to tell you my business
But you can go in the dressing room and check for yourself
All I got to do is look a ho in her eyes
I been around the world, many times

""How ya' like it Daddy""
T-shirt, no bra, no panties
""How ya' like it Daddy""
Any way your ass will throw the shit back to me
Five, ten, fifteen, twenty, twenty-five, thirty-five, forty-five, fifty
You picked the right night to be in here stripping
Now come on here and let's talk about paying your bills",https://genius.com/Petey-pablo-pay-for-the-pussy-lyrics
Freek-A-Leek (explicit version),UnKnown,UnKnown,"(Petey Pablo:)
Lets take some calls from the request line. caller number one..
(Caller:)
Ay,..man...whats up
This Dominique from shay lil' trailer park
(Petey Pablo:)
Whats up Dominique
(Caller:)
I wanna hear that song from Lil Jon and Petey Pablo
(Petey Pablo:)
Aight, I got that coming right up for you
Now shoutout the radio station that gave you what you
Wanted
(Caller:)
Double-u boom boom beats baby!
(Bridge:)
(How you like it daddy?)
Would you do it from the front?
(How you like it daddy?)
Would you take it from the back?
(How you like it daddy?)
Fyna break it down like that!
(How you like it daddy?)
(How you like it daddy?)
Would you do it from the front?
(How you like it daddy?)
Can you take it from the back?
(How you like it daddy?)
Fyna break it down like that!
(How you like it daddy?)
(Verse One:)
24, 34, 46, good and thick, and once you get it she'll work wit it
Put a face and some cute lips, earing in her tongue and she'll know what to do wit it
Make a name for herself, and she do her shit well, and know how to keep her business to herself
Come over anytime a nigga call chick, 1 o'clock, 2 o'clock, (ding dong) and she right there
And she know why she came here, and she know where her clothes suppose to be (off and over there)
Sniff a little coke, take a little x, smoke a little weed, drink a little bit
I need a girl that I can freak wit
And wanna try shit, and ain't scared of a big dick
And love to get her pussy licked
By another bitch, cus I ain't drunk enough to do that
(Chorus:)
FREAKALEEK!
(Do you like it daddy?) Shameka
Keisha
(Do you like it daddy?) Tara
FREAKALEEK!
Shonda
(Do you like it daddy?) Sabrina
Crystal
(Do you like it daddy?)Daronda
FREAKALEEK!
Theresa
(Do you like it daddy?) Falicia
Tenisha
(Do you like it daddy?) Sharon
FREAKALEEK!
Ke'arah
(Do you like it daddy?) Monique
Christina
(Do you like it daddy?) Yolanda
(Verse Two:)
I need to know a whole lot then to teachin' a broad, with my ding dong make her tongue tickin the bong
Go on ahead so I dont have to do that far, I'm spoiled (and I don't like to work that hard)
I like to lay back, relax, and enjoy my time, and with my eyess roll back and my toes curl
(I love when you do that girl) Until it comes time for me to have to give her hers
Tell me what you want, do you want it missionary with your feet cramed into the head board?
Do you want it from the back with your face in the pillow so you can
Yell as loud as you want to?
Do you want it on the floor? Do you want it on the chair?
Do you want it over here? Do you want it over there?
Do you want it in ya pussy? Do you want it in ya ass?
I can give you anything you can handle!
(Chorus)
(Bridge)
(Caller:)
Yeah, I appreciate it lil' home boy
(Petey Pablo:)
Not a problem. You know I do it because I love you
Now I got to give a shoutout to Seagrims Gin cus I drink it, and they
Paying me for it
(Chorus 2x) Song evaluation",https://genius.com/Petey-pablo-freek-a-leek-explicit-version-lyrics
I Told Y’all,Diary of a Sinner: 1st Entry,2001.0,"(Yeah)
(Heh)
(Hah)
(Petey, Pablo)
(Mmm)

I told y'all
(I told y'all)
It was 'bout to happen, but y'all wouldn't listen to me
Now you see it's poppin' off
(I told y'all)
Got you in the club, dancin' your ass off
Break it down, break it down for me
(I told y'all)
Break it down, break it down, break it down for me
Break it down for me
(I told y'all)

If y'all ready get your lighter and put your fire in the air
'Bout to blow this up
(Oh yeah!)
(Is it?)
It's on now
Petey Pab' done graduated
Broke 'em loose
Shook 'em off
Twist the game
(Chooga Chooga Chooga Chooga)
Train comin'
Full speed!
Ain't nothin' stoppin' this muh'fucka
Puttin' it down
(Ch- Chooga Chooga Chang)
In my hometown
(My niggas keep pickin' me up)
I got it rockin' at the show
All year a motherfucker stompin' in the flo'
(Boom boom)
Losing control!
(Eyes closed)
Hands up
Bobbin' the dome
And you can call it what you wanna
(You wanna)
But you better keep your eyes on it
I've been told ya over and over
I don't feel like talkin' no more
It's about to go down
(Just like I told ya)

I told y'all
(I told y'all)
It was 'bout to happen, but y'all wouldn't listen to me
Now you see it's poppin' off
(I told y'all)
Got you in the club, dancin' your ass off
Break it down, break it down for me
(I told y'all)
Break it down, break it down, break it down for me
Break it down for me
(I told y'all)

Move over
Makin' 'em diesel
(Fueled up)
Jesus
(Mwa!)
Clear the road
Block it off
Hold it back
Make a path for it
I'm a creeper
Carolina street sweeper
My brother keep her
You better believe her
Good as a bag of Afghanistan reefer
I can't fuck with me and y'all can't neither
(Hear me rap)
You'll need bulletproof speakers
(My impact)
Will kill 79 people
(Hah)
The levels start to jumpin' on the needle
Then sparks start to shootin' out the speakers
DJ just just can't catch the needle
Clubs call the beaver for the flavor of the Petey

I told y'all
(I told y'all)
It was 'bout to happen, but y'all wouldn't listen to me
(I told y'all)
Now you see it's poppin' off
Got you in he club, dancin' your ass off
(I told y'all)
Break it down, break it down for me
Break it down, break it down, break it down for me
Break it down for me
(I told y'all)

When they ask me where I'm from I say
Greenville and Raleigh
Durham, Chapel Hill, Greensboro, Charlotte
Fairfield, Rocky Mount, and Tarboro
Pine Tops, Lil' Washington, Farmville
New Bern, Kinston, Snow Hill, Falkland
Please don't get me started
I could call 'em out til' tomorrow
Carolina's list alone is 16 malls
I'm bout to make a role call
Calling up, all out ""Could Timbaland please report to the office!""
You can't miss kickoff
Watchin' these niggas get their shit off
Sending adrenaline rush through the whole park
Dust to dawn
From the club to the barn
From port to port
(Nigga!)
From yard to yard
I done brought it from the far beyond
Stated claim
Got a name, got it painted and framed
Motherfucker!

I told y'all
(I told y'all)
It was 'bout to happen, but y'all wouldn't listen to me
(I told y'all)
Now you see it's poppin' off
Got you in the club, dancin' your ass off
(I told y'all)
Break it down, break it down for me
Break it down, break it down, break it down for me
(I told y'all)
Break it down for me
I told y'all
(I told y'all)
It was 'bout to happen, but y'all wouldn't listen to me
(I told y'all)
Now you see it's poppin' off
Got you in the club, dancin' your ass off
(I told y'all)
Break it down, break it down for me
Break it down, break it down, break it down for me
Break it down for me
(I told y'all)",https://genius.com/Petey-pablo-i-told-yall-lyrics
Freak-A-Leak,UnKnown,UnKnown,"Lets take some calls from the request line, caller number 1
Hey man ,what's up, this Dominque from shade-n-low trailer park
What's up Dominque
I wanna hear that song from Lil' John and Petey Pablo
Aight, I got that coming right up for ya
Now shout out the radio station that gave ya what ya wanted
W boom boom beat, baby
How you like it, daddy?
(Would ya do it from the front?)
How you like it, daddy?
(Would ya take it from the back?)
How you like it, daddy
(Gonna break it down like that)
How you like it, daddy?
(Would ya do it from the front?)
How you like it, daddy?
(Would ya take it from the back?)
How you like it, daddy?
(Gonna break it down like that)
Twenty-four, thirty-four, forty-six
Good and thick and what you give her she'll work wit' it
(She'll work wit' it)
Pretty face and some cute lips
Earing in her tongue and she know what to do with it
(Know what to do wit' it)
Made a name for herself and she do her shit well
And know how to keep her buisness to herself
Come over anytime nigga call check
1 o'clock, 2 o'clock and she right there
(Ding dong)
And she know why she came here
And she know where clothes suppose to be
(Off and over there)
Sniff a lil' coke, take a lil' x, smoke a lil' weed, drink a lil' bit
I need a girl I could freak wit'
(Freak wit')
And wanna try shit and ain't scared of a big dick
(Big dick)
And love to get, get her pussy licked by another bitch
Cause I ain't drunk enough to do that shit
Freek-a-leek
(How you like it daddy)
Shamika, Kiesha, Tara
(Freek-a-leek)
(How you like it daddy)
Shawna, Sabrina, Crystal, Derhonda
(Freek-a-leek)
(How you like it daddy)
Lisa, Felicia, Tonisha, Shavon
(Freek-a-leek)
(How you like it daddy)
Monica, Monique, Christina, Yolonda
Freek-a-leek
(How you like it daddy)
Shamika, Kiesha, Tara
(Freek-a-leek)
(How you like it daddy)
Shawna, Sabrina, Crystal, Derhonda
(Freek-a-leek)
(How you like it daddy)
Lisa, Felicia, Tonisha, Shavon
(Freek-a-leek)
(How you like it daddy)
Monica, Monique, Christina, Yolonda
I need to know a whole lot
That could teach me broad
Need a ding dong stick a tongue and take her to ball
I had to gon' head do that for her
I'm spoiled and I don't like to work that hard
I like to lay back relax and enjoy my turn
Til my eyes roll back and my toes curl
I love when do that girl
Til it come time for me to give her hers
Tell me what you want
Do want it missionary with your feet cramped to the head board
Do want it from the back with your face
In the pillow so you could yell as loud as you want to
Do you want it on the floor, do want it in the chair?
Do you want it over here, do want it over there?
Do you want it in your pussy, do you want it in your ass?
(I could give you anything, you can handle)
Freek-a-leek
(How you like it, daddy?)
Shamika, Kiesha, Tara
(Freek-a-leek)
(How you like it, daddy?)
Shawna, Sabrina, Crystal, Derhonda
(Freek-a-leek)
(How you like it daddy)
Lisa, Felicia, Tonisha, Shavon
(Freek-a-leek)
(How you like it daddy)
Monica, Monique, Christina, Yolonda
Freek-a-leek
(How you like it daddy)
Shamika, Kiesha, Tara
(Freek-a-leek)
(How you like it daddy)
Shawna, Sabrina, Crystal, Derhonda
(Freek-a-leek)
(How you like it daddy)
Lisa, Felicia, Tonisha, Shavon
(Freek-a-leek)
(How you like it daddy)
Monica, Monique, Christina, Yolonda
How you like it daddy
(Would ya do it from the front?)
How you like it daddy
(Would ya take it from the back?)
How you like it daddy
(Gonna break it down like that)
How you like it daddy
(Would ya do it from the front?)
How you like it daddy
(Would ya take it from the back?)
How you like it daddy
(Gonna break it down like that)
Hey, I appreciate that, homeboy
Not a problem, you know I do it cause I love ya
Now I got to give a shout out to Seagram's gin
Cause I drink it, and they payin for it
Freek-a-leek
(How you like it daddy)
Shamika, Kiesha, Tara
(Freek-a-leek)
(How you like it daddy)
Shawna, Sabrina, Crystal, Derhonda
(Freek-a-leek)
(How you like it daddy)
Lisa, Felicia, Tonisha, Shavon
(Freek-a-leek)
(How you like it daddy)
Monica, Monique, Christina, Yolonda
Freek-a-leek
(How you like it daddy)
Shamika, Kiesha, Tara
(Freek-a-leek)
(How you like it daddy)
Shawna, Sabrina, Crystal, Derhonda
(Freek-a-leek)
(How you like it daddy)
Lisa, Felicia, Tonisha, Shavon
(Freek-a-leek)
(How you like it daddy)
Monica, Monique, Christina, Yolonda",https://genius.com/Petey-pablo-freak-a-leak-lyrics
That’s My Boy,UnKnown,UnKnown,"I like em' slutty, I fuck em' bloody
I fuck in the ass, I love gettin money (That's my boy)
I'm just a dirty dirty, I'm in my early thirties
And gonna be like this till I die (Give me some more Patron)

You can't be serious, can you? Damn you
Ooh you fucking idiot, fuck you
Why do yo keep doing the things that you keep doing
Well first of all I'm a nasty motherfucker
And I don't give a fuck about none of y'all
And all y'all can suck my balls (Your balls)
Yeah my balls
The thing that hang down on the bottom of the ding dong
Everybody got balls
Mine a little bigger than yours, that's why it look a little strange
(how dare you invite me to your scrotum)
Fuck you motherfucker ???
Motherfucker where your daughter at (bitch come on)


I ain't never fucked in the back seat of a car before, oh this is nice
What nice not bitch you got to be out your motherfucking mind
Ain't fucking in the back of my Cadillac, and they just reupholstered mine
I could feed fifty motherfuckers with these seat covers (how)
Bitch this is swine (ooh)
Get your ass on the outside and put your hands on the motherfucking bumper ma
Wait! before you do that, come here, bend down, open your mouth
Woo, unh that's right
Show me that you bout it bout it (you like)
Might keep you around a little while

[Verse 3-Petey Pablo
I like little titties, big titties, salty tasting titties
Titties just came out the club, sweatin, them type a titties
Loose pussy, wet and juicy, pussy not too tight
Pussy too tight, Pussy be burning skin off my wood
Too much friction
Too much hair on your kitty, bitch
Here take this Bic, take a razor to that shit (It's too thick)
Shit, that shit just knotted bitch
Use these clippers
And clean up all that evidence and let's get down to business


I know you didn't just pour my shit in no glass!",https://genius.com/Petey-pablo-thats-my-boy-lyrics
