title,album,year,lyrics,urls
Simon Says,Internal Affairs,1999.0,"Uh-uh, uh-uh, uh-uh
Uh-uh, uh-uh, uh
Uh-uh, uh-uh, uh-uh
Uh-uh, uh-uh, ahhh

Get the fuck up
Simon says, ""Get the fuck up""
Throw your hands in the sky (Buh-buh-buh-buh-buh!)
Queens is in the back sipping 'gnac, y'all, what's up?
Girls, rub on your titties (Yeah!)
Yeah, I said it, rub on your titties
New York City gritty committee pity the fool
That act shitty in the midst of the calm, the witty

Y'all know the name
Pharoahe fuckin' Monch, ain't a damn thing changed
You all up in ya Range and shit, inebriated
Strayed from your original plan, you deviated
I alleviated the pain with long-term goals
Took my underground loot, without the gold
You sold platinum 'round the world, I sold wood in the hood
But when I'm in the street and shit, it's all good
I'm soon to motivate a room, control the game like Tomb Raider
Rock, clock dollars, flip tips like a waiter
Block shots, style's greater, let my lyrics anoint
If you holding up the wall, then you missin' the point

Get the fuck up
Simon says, ""Get the fuck up""
Put your hands to the sky (Buh-buh-buh-buh-buh!)
Brooklyn in the back shooting craps now, what's up?
Girlies, rub on your titties (Yeah!)
Yeah, fuck it, I said rub on your titties
New York City gritty committee pity the fool
That act shitty in the midst of the calm, the witty

Yo, where you at? Uptown, let me see 'em
Notorious for the six-fives and the BMs
Heads give you beef, you put 'em in the mausoleum
And shit don't stop pumping 'til after 12pm
Uh, ignorant minds—I free 'em
If you tired of the same old everyday you will agree—
I'm the most obligated, hard and R-rated
Slated to be the best, I must confess—the star made it
Some might even say this song is sexist-es
'Cause I asked the girls to rub on their breast-eses
Whether you're riding the train or a Lexus-es
This is for either or Rollies or Timex-eses
Wicked like 
Exorcist
, this is the joint
You holding up the wall then you missing the point

Get the fuck up
Simon says, ""Get the fuck up""
Throw your hands in the sky (Buh-buh-buh-buh-buh!)
The Bronx is in the back shooting craps now, what's up?
Girls rub on your titties (Yeah!)
I said, rub on your titties
New York City gritty committee pity the fool
That act shitty in the midst of the calm, the witty

New Jeruz (Get the fuck up)
Shaolin (Get the fuck up)
Long Isle (Get the fuck up)
Worldwide (Get the fuck up)",https://genius.com/Pharoahe-monch-simon-says-lyrics
Rapid Eye Movement,PTSD: Post Traumatic Stress Disorder,2014.0,"It's not latin, or white, or black music
It's that cooked up coke, crack music
Black Thought and Pharoahe, the rap duet
It's that lucid rapid eye movement

My think tank's like a piranha tank think, multiple bites figure
Mega, reality, tera, giga
Grand Theft Auto, modern day Mickey and Mallory Small
But I'm sick enough to walk into an art gallery and piss on a Picasso
Crack statues, rub my balls on a Banksy shit on it and throw it at you
So when the beat intensifies
I become emotionally desensitized
Like, once I slapped a rapper with mace
Then I spit acid in his face, after he rinsed his eyes, no wait
I actually grew five times my size grabbed Ma$e by the thigh and slapped a rapper with him
Now that's practicing sacrilegious activism
Attack is for battle, and practical rap with wisdom
Actually, it's pragmatic capitalism for actors that crack under pressure and collapse when I get 'em
Monch is medicinal man made medical marijuana
With a phase plasma rifle like I'm searchin' for Sarah Conner
And shorty's got brains, shorty not playin'
From 40 blocks I'm a killa with 40 watt range
With an arrangement of bullets that I've arranged
Encrypted in scriptures specific individual names
That shall remain anonymous
Me and the ammunition's in a relationship that's monogamous
It's like I'm married to the silencer
Until I file for divorce and release my ex-calibers
Do art with your arteries, place that for my adversaries
Push your snap back cap back, cap your capillaries like

It's not latin, or white, or black music
It's that cooked up coke, crack music
Black Thought and Pharoahe, the rap duet
It's that lucid rapid eye movement

Vocally twice as magnifying as ever hearing Chewbacca scream
Through a megaphone with the significance of Dr. King
Philanthropic
Cause I'm trying to see man united without referencing UK soccer teams
My philosophy prophecy
The opposite of Mephistopheles' eye inside an isosceles
Sent to Earth to warn of environmental atrocities, and nobody can copy me
Stop, it's not possible but probable that it's only philosophical mockery, strange
Change copper to gold, switch properties, bang!
Stay on top of the globe, flip monopolies, aim
Take stock in the soul, spit properly

Take stock in the soul, spit properly
That extended clip on my hip sits awkwardly
I'm diabolical, follicle triggers that I cock and squeeze
Sending shots to ancient Greece to pop Socrates
I bear arms like button-downs without the sleeves
Manic depressive and possessive like apostrophes
My psychiatrist waive the doctor fees
When I wave the pistol and say listen, quit watchin' me so I can breathe
National Association for the Advancement
Of drugs for performance enhancement
And it's tough taking so many chances
But I've been a bad seed from the womb, they call me ovary cancer
And I got an ugly heart, although I'm totally handsome
And I take the love of your life and hold her for ransom
And my tactical cam that never stood for any national anthems
Whats hood, I am the actual answer
And I'll prove it
Black attire, rapid fire, rapid eye movement
I'm from a species that is higher, I am not human
Extraterrestrial alien, a monster killer of conscience chillin'
In a barrel of lobster
Ex-Slave, sadomasochist, that gave the massa my ass to kiss
A dyin' breed, I'm the last of this
Black is as miraculous as Jesus of Nazareth
When I vocalize the crowd rise like Lazarus
It's the Rhode Scholar, my coat collar piss off PETA
Your hoes holla, he's on top of the bars
Meet a Mr. Globe Trotter in my Adidas
Pure cheetah, hoppin' out of this exotic European 4 seater
Hollerin' cheeba cheeba like I'm Parkside
Killin' is the dark side
Villain, I'm God, I'm Godzilla
Sometimes I'm Bob Dylan put blood on these tracks, for real
So, God-willin' you'll feel what I'm spillin'
Yeah, I never quit, I'm still syndicatin' up
Me and Pharoahe Monch, did it for the benefit of us
This is straight razor behavior, I never get enough
Get the picture, my militia gettin' ignorant as fuck

Yea, it's suicide murder
Straight from the underground through the fiber optics
Pharoahe, Black Thought, complete the cypher
The movement outlandish

It's not latin, or white, or black music
It's that cooked up coke, crack music
Black Thought and Pharoahe, the rap duet
It's that lucid rapid eye movement",https://genius.com/Pharoahe-monch-rapid-eye-movement-lyrics
Assassins,W.A.R. (We Are Renegades),2011.0,"In 2013,
 the World Government placed sanctions against freethinking individuals in order to force people to adhere to one way of life. An independently funded organization called 
poh pih evas nac ew dna eerf rof cisum gnidaolnwod gnikcuf pots
 hired one hundred assassins to infiltrate the headquarters where files were kept. Of these one hundred, ninety-seven were captured, tortured, and executed. Only three remained. 
The third of which was said to own an arsenal that would rival an entire city's police force.
 The second was rumored was to be able to move throughout space and time. And the first... (One)

Fasten your seat belts for the last of the three assassins on earth
The first flashing her purse with a heat stealth
They call me Jean McCoy, beast in me employed,
 deploy deplorable
Through audible destructive actions, attractive decoy
Then pass to the Troy after I'm passing your life over
He'll deliver it through river Styx, Hades,
 I'm cold, deliberate, ladies
My foes limited, pray me some praise (Whispering)
Stay on your toes, villains, it's Grae and your day's whittling (Hey)
Blistering lines packed in six, stick to spine
Wracked with a sick mind, trapped in thick bitch frame
Drug you with strychnine in nine drinks, you drunk
And it's my kidney, you dick brain, I'm just itching to slit veins
Stitch lines,
 
Rick James, fuck yo' lives, sip brains, bitches
Niggas, kick rocks or kick rhymes,
 
it's to the pain
Liquor-riddled liver, sieve in it, sipping it like Capri Sun
Ignant as ever, she's clever, equivalent be none
A ball breaker, call fakers out with passion
You got the gall, bastard, to brawl with the broad brashest?
The ball's in your court, pass it; but warning, fall faster
Than asses with age slack on the back of a Kardashian
The walls crash in, you all on the floor, gasping
The gas pour in the corridors, racking your jaws, blacking out
Catch Grae backing out the back door, cackling
Still make it back to the bar for last call
(Two)

They ask me why I'm highly regarded, this God body, probably
Monch is a mixture of Marcus Garvey, Miles Davis and Bob Marley (Radical) Never skateboard slang like gnarly,
 
more like:
Weed in my whip on the way to get top like Charles Barkley
You are hardly prepared to spar with a marksman, spark me
I'm Gambit with the ace of spades, a master in archery
Vehicular, particularly the vernacular
Specifically the fit so when I spit it, it's spectacular and accurate
When I attack, I'm more legend than Acura
Flip Bloomberg the bird, bitch,
 
more blood than Blacula
More Crip than cryptic scriptures
Encrypted with backwards vernacular
Plus, sicker than most like Glenn Close in Fatal Attraction
I am that nigga for real, 
per capita
Smacking the next rapper that uses the term 'swag' or thereafter
These three assassins get to ass whipping
Prepare to for a professional ass that can
Shape shift, spit, hollow tip clips, mainly
Sick, ain't he? Mind control
Make you shoot your best friend in the face, Dick Cheney
My life is like a documentary film depicted in black and white
Flick's grainy
 (Geronimo)
I'm on Guantanamo Bay taking pics in a Captain Morgan pose
With my left foot on a pile of detainees, screaming
""We are renegades!""
 
Fuck you, pay me
[Skit: Jean Grae & 
Pharoahe Monch
]
Two. Where the fuck... no. Where the fuck is Three?
I know. I know. He's gonna be here. He gave me his word, trust me
Yeah, but he does this every time
He's gonna be here, trust me
He's gonna ruin this mission for us again
Look, here he comes now
(*car crash*)

I be riding 'round with a stripper-slash-burlesque model
I make it pop like my cock in a Durex condom
I'm a opposite artist, I find irony in going
From being like a stone in the grass to rocking the Garden
The same irony as going from fully automatic in the backyard
To having a whole machine behind me
I take my Australian bitches, show her some other thangs
She know my stroke is deadly so she gave me bloody brain
Don't try to get familiar if I don't feel you in person
I'll flip the script and I'll accidentally kill you on purpose
The bad is what I'm flailing, I got so many furs
PETA gon' paint splash me when they see me
No matter what I'm wearing
Your bitch about to open up, sniff some blow off of my dick
Guess you could say she on my coconuts
I'm on point like Chris Paul
You on point like an Atlantic City hooker that licks balls
I'm 'bout to flip in this bitch like Dominique Dawes
And shut shit down like a car when it stalls
I am the deadliest rapper, you claiming that you flow like water
But really, y'all niggas Evian backwards
Marshall hit the jackpot with this flow that I got
I know when I'm hot, it's my show to stop, holding my crotch
My whip cleaner than Amish men in honest ends
Two dimes with me like I'm a twin, 'cause I'm a ten

Okay... I'm in",https://genius.com/Pharoahe-monch-assassins-lyrics
The Truth,Internal Affairs,1999.0,"Yo, truth had me up against the ropes
Semi-conscious without no boxing skills
Fear of it makes hair on my neck grow like minoxodil
Watching the clock is ill when faced with the truth, parallels Observing amateur video tapes of twenty-one top-notch NYPD cops get ill
Fill their minds not to kill, still some never revealed true feelings
We're speaking on the truth right now in itself is a healing
See the creator created existence and balance
At right angles, unless it was conceived and stated
So whoever shall stray away from right lives wrong
The deliverance of the word ""false"", opposite of truth off course
Sure as my slave name sending
Troy Donald Jamerson paves the path, enabling truth
To stay stable and cling to earth
Sort of similar to the way static electricity sting see
Truth brings light, light refracts off the mirror
Visions of yourself and error could never be clearer
The truth is that you ugly, not on the outside
But in the inside, on the outside you fronting, you lovely
The discovery of these things and all are well hidden
But when you in denial of self, it is forbidden
That's the truth

In due time we will find

Let the truth be told from young souls that become old
From days spent in the jungle, where must one go to find it?
Time is real, we can't rewind it
Out of everybody I met, who told the truth? Time did
We find kids speaking 'cause it's naturally in us
But the false prophets by telling us we born sinners
Venders of hate got me battling my own mind state
At a divine rate, I ain't in this just to rhyme great
See the truth in the thighs of a stripper, the eyes of my nigga
If it's only one, then why should it differ?
So constantly I seek it
Wondering why I gotta drink a six-pack to speak it
Took a picture of the truth and tried to develop it
Had proof, it was only recognized by the intelligent
Took the negative and positive, 'cause niggas got to live
Said I got to give more than I'm given
'Cause truth'll never be heard in religion
After searching the world, on the inside, what was hidden?
It was the truth

Truth, truth, truth, truth, truth, truth
In due time, we will find

Check it, on my neck I still got marks from the nooses
The truth it produces, fear that got niggas on the run like Carl Lewis
The truth is my crew is the smoothest spitters of saliva juices
Like The Roots is, more organic than acoustics
Heavenly, what will set you free and kill you in the same breath
That shit you gotta get off your chest before your death
Unless the way you speak is lighter than a pamphlet
'Cause the truth give the words the weight of a planet, god damn it
I ran with what God planted in my heart and I understand it
To be to bring some light to the dark, breathe some life in this art
This must be the truth (Why?)
'Cause we keep marching on (True)
The truth lay the foundation of what we rocking on (True)
You can't see it if you blind, but we will always prevail (True)
Life is like the open sea, the truth is the wind in our sail
And in the end, our names is on the lips of dying men
If ever crushed to the earth, we always rise again
When the words of lying men sound lush like the sound of a violin
The truth is there, it's just the heart you gotta find it in

You will find, you will find, you will find
You will find, you will find, you will find
You will find",https://genius.com/Pharoahe-monch-the-truth-lyrics
Bad MF,PTSD: Post Traumatic Stress Disorder,2014.0,"Totally intoxicated when he drove across the state line
Rapper gone insane, story on Dateline
Lost his wits, didn't take his meds
When they pulled him over, this is what he said
I'm a Bad MotherFucker man (shut your mouth)
Well we talking about Pharoahe
Mashing in that Aston Martin on the Verrazano Narrows
Greatest of all time in the latest apparel
80's baby, ladies crave me on some Mercedes shit
Go tell your favorite rapper eat a bag of baby dicks
They keep singing the same ol' song
I'm a bring 'em the pain for saying the name wrong
Got me going insane I'ma ask you again

Who put these pussies on top
Putting out that pussy music, call it pussy pop
Playing them pussy games, sucker shit
Fucking around but they don't know just who they fucking wit
 (x2)
I'm a Bad Motherfucker man
Universal, worldwide, you know my circle
Renegade, on the mic I might just murk you
Putting in that work, cause I do work, every verse is a virtue

The best liar told a lie inside a room full of liars
The lie was so exciting that all of the liars admired
When the truth walked in the building every liar retired
Deception was defeated and deceit became deleted
Uh, they mad cause they can't stop me
Cause I said fuck swag I got moxie
Lyrically ecstasy I got that oxy-contin poppin
They can't carbon copy or mock me
Reign, independent off the books
Off the chain off the hinge off the hooks
It's not a game, I'm not a rook
""Y'all Know The Name"", you love the look, listen
 + ",https://genius.com/Pharoahe-monch-bad-mf-lyrics
Broken Again,PTSD: Post Traumatic Stress Disorder,2014.0,"Gotta move on
Gotta let go
Would've opened my eyes, if I would've known
After all of this time
Took my heart to mend
That I'd turn around, and be broken again
(2x)

They told me to see the glass half full cause some see it as half empty
I chose to see the glass twice the size it needed to be
Smashed it against the wall in the kitchen
On the floor going through withdrawals I was itchin'
She rescued me, my heroine to the end
But then she morphed into heroin in a syringe
Around my bicep, I would tie a shoestring
Tap! five times to find a vein in there
Squeeze 7cc's so I could see the seven seas
And CC all my friends so they could see what I was seeing
But what they saw was a despicable human being
So, I guess they just wasn't seeing what I was seeing
Convert two into one, an indivisible plan
To discover what dreams may come for this invisible man
Sentimental education, beautiful weather
Dam was constantly catching fire
Richard Pryor
Her skin deteriorated
Family infuriated by the myriad of tracks but my train never came
So humiliated, started begging for change
Failed rehabilitation so the scars still remain
Nice clothes became frayed
So isolated and afraid
I smell like an animal my teeth enamel decayed and
I'm relocated in Alabama now
That Maalox and Mylanta now
And it won't stop the burn
Constantly searching for the answers how
I could kiss the sky without enhancing
But, it's so hard to learn",https://genius.com/Pharoahe-monch-broken-again-lyrics
Damage,PTSD: Post Traumatic Stress Disorder,2012.0,"Ooh, listen to the way I slay your crew
Damage, damage, damage, damage

They cock them hammers, wave them llamas
But that's that in front of the camera drama
So when the cameras are attached to dollys, I call them dali lama's
Mold me, loathe, 
hold me in the palm of your hand
, 
load me
You know exactly what I am, murderer
When I'm inserted on to the top of fifteen family members
It's the curse of the proverbial anarchy starter, the martyr
This is what I have been converted to do what I do is insanity
Pro-fo-fo-fanity when they manually hammer me annually
You dont figitty faze me yo
I won't tigitty tase you bro
Figgity fucking cut you in half like it's nothing minus the laser scope
Then I will ring your bell like Avon
Before displaying some of my various tattoos (Trayvon)
The (Oscar) award winning (Aiyana Jones) hey (Sean)
Sworn to be cannon fodder for your father slaughter daughters
Armor piercing tumblers more deadlier than napalm
Fuck a stray bullet, I take aim when the gun draws
For ever-lasting fame I will maim those who change the gun laws
Cause post traumatic stress disorder,
 
ask any vet I've worked with
My purpose catching bodies like safety nets at the circus

Ooh, listen to the way I slay your crew
Damage, damage, damage, damage

Nigga I will twist your liver like Oliver (TWIST)
Scratch your name off my calendar
See that was me thru a silencer
What you just heard was a .44 caliber
Now you can fill in the blanks
I will pillage your town
Killing them with Dillinger rounds
Nigga fill in the clip cause I'm willing to flip
See I'm sort of certified,
 
I'm fortified live
You would be mortified if I would put on screen what I've seen
Horrified holy Bibles, rivals, vital organs
Little bitty baby bodies, bridal gowns coffins
Morphine, gang bang, gangrene
, 
slauson, swap meet
Meet greet, pop I don't sleep, I don't stop
I love hate, hate cops
That's why I laugh when you pull it
I'm motivated and crass
I'm so elated when I see them on the news (you fuckin' pigs!)
They flying the flag half mass
See there's no need for conversation
When we're discussing the bullet's point of view

Ooh, listen to the way I slay your crew
Damage, damage, damage, damage",https://genius.com/Pharoahe-monch-damage-lyrics
D.R.E.A.M.,PTSD: Post Traumatic Stress Disorder,2014.0,"Pull myself together, put on a new face
Climb down up the hilltop, baby - ooh, I get back in the race
Cause I've got dreams, yeah, dreams to remember
Yeah, yeah, I've got dreams, oh dreams to remember
Help me out

Yo, my destiny rules everything around me, dream, get the money
Dollar, dollar bill y'all
Everybody put their palms in the clouds, get your hands in the sky
So it's not a problem to feel, y'all
Even if I was broke as fuck I would lend you my last so you can holla at me still
PMC in the place to be on the M.I.C still spitting that real
Yo, you know the limericks are limitless, not limited in sentiment
But increments of infinite potental in the scenes
You could benefit from getting off of the internet
For just a minute, 
it's a simple song
You could sing or Memorex, I meant mimic it
When it hits the spirit it pulls the heartstrings
Infamous and kindred, it's intrinsic when it's still in us
From the genesis when we remember to dream, just.. dream
(That means you)

I've got dreams to remember
I've got dreams, yeah dreams to remember
Help me out

Yo, my 
determination runs every aspect mentally
, 
I'm no dummy
This scholar got skill, y'all
Can't take what I visualise from it, you pull the wool over my eyes
I swallowed the red pill
Even if I was broke as fuck I would lend you my last so you could holla at me still
Everybody put your palms to the clouds, get 'em up in the sky
So it's not a problem to feel
Welcome to the Age of Aquarius in the stages of various schemes
Precariously I escape when I dream
Each scene should win an Academy, put it up on the screen
My strategy: Pharoahe's the king of Queens
Who fiends for teens to view it as the new theme music
Use it to shape their futures when they daydream to it
Never elusive, never claim stupid
Lucid, boost your recruits when you sing to it and just.. dream
(That means you)

I've got dreams

You know I'm down right excellent, about my scrilla, get the money
Dollar, dollar bill, y'all
I got you strung out on the music so I'm sort of like a dealer to a junkie
Swallow that pill, y'all
Sometimes it rains in Southern Cali and Philadelphia ain't always sunny
Just keeping it real, y'all
Talib Kweli in the place to be
, yeah, you better believe
Come on, you know the deal, y'all
Five o'clock in the morning
, 
just getting home from last night's performance
When I'm dead tired from touring I hit the coffin
I'm like a vampire required to stay dormant
Out of the range, the sunlight with a doubt it'd remain
I used to smoke so much weed that it clouded my brain
I took a break, had to find life's meaning again
Without the smoke in my lungs I started dreaming again
I dreamed of candy-coated cars and panties that go with bra's
Hurricanes named Sandy, I'm floating on Noah's ark, what?
Police'll bleed blue cause he staying true to the uniform
Dennis Rodman in North Korea looking for unicorns (that's ridiculous)
The truth is I'm one of the best
And when you snooze that's when you meet the cousin of death
So when I say I never visited the cousin, I don't sleep
I stay awake to the ways of the world cause shit is deep
 (dream)

I've got dreams to remember
I've got dreams, yeah dreams to remember
Help me out",https://genius.com/Pharoahe-monch-dream-lyrics
Desire,The Awakening,2007.0,"Oh! (Oh!) Oh! (Oh!)
Oh! (Oh!) Oh!

Said, it's my desire, yes, it is, yeah
Yes, it is, yes, it is, oh, yes, it is, ugh

Comprehend the guidelines
My chest out, chinchilla, all relaxed on the sidelines
I'm so famous, understand
New York City respect my game like Joe Namath
And I protect my name like your anus
In prison, y'all don't hear me, y'all don't listen
Y'all just wanna shine, y'all just wanna glisten
Floss, knowing that the soul is still missing
(Who am I?) I'm the poetical pastor
Slave to a label, but I own my masters
Still get it poppin' without artists and repertoire
'Cause Monch is a monarch, only minus the A&R
When my brain excels, your train derails
Pop shit, make you feel the Clipse like Pharrell (Woo!)
You will feel me, you will admire
(My) Struggle, (My) hustle, (My) soul, desire

Ooh-ooh, ooh-ooh-ooh, ah
Said, it's my desire
Yes it is, yeah, yeah
Oh! (Oh!) Oh! (Oh!)
Oh! (Oh!) Oh!
Said, it's my desire (Hey, hey-yeah, yeah-yeah)

My book is a ovary, the pages I lust to turn
My pen is the penis, when I write, the ink's the sperm
Desire, the fire that ignites the torch to burn
(This is not rocket science) This is easy to learn
My mic's the gavel; when I talk, court's adjourned
Respect, even if you was ashes, you couldn't earn
I embody antibiotics, you are infected with germs
Rap's fatally ill, please, get concerned
Players pick turns to play, get burned
I color commentate the game like Chick Hearns
This is the moment of truth for my opponents and liars
Vocals alone invoke the emotion of Black choirs
Fire, you don't wanna get burned like Rich Pryor
Move back, who's that there? The live-wire
You will feel me, you will admire
(My) Struggle, (My) hustle, (My) soul, desire

Ooh-ooh, ooh-ooh-ooh, ah-ah
Said, it's my desire
Yes, it is, yeah-ah-ah-ah

It's my desire
Keep pushin', keep strivin' (My-y, y-y-y, oh-oh)
My passion, my fire
That's my desire
I keep pushin', I keep strivin'
Oh! (Oh!) Oh! (Oh!)
Oh! (Oh!) Oh! (Oh!)
That's my desire
Keep pushin', keep strivin'
Oh! (Oh!) Oh! (Oh!)
Oh! (Oh!) Oh! (Oh!) Oh!
That's my desire
Keep pushin', I keep strivin'
Oh! (Oh!) Oh! (Oh!)
Oh! (Oh!) Oh! (Oh!) Oh!",https://genius.com/Pharoahe-monch-desire-lyrics
Time2,PTSD: Post Traumatic Stress Disorder,2014.0," (2x)
Lord, lord, lord
Well well well well well..
Help me cleanse my sins
Help me lift this spell

We fight demons from our past only to face new monsters
I ask, are we comatose or unconscious?
My top spin's perpetual, make the connection
You sleep cause reality bites; inception
Protection orders for my Post Traumatic Stress Disorder
Molested Mexican daughters, stretch across the border
The streets paved in gold often fade
When the paint they use to pave the streets is henna
And greener is the grass on the other side
Except for when that other side is geno
Or sewer (sui-cide), you smile while you sippin' a cup of Kahlua
That makes me wanna mainline a fucking fifth of Dewars
I'm trying to utilize my time to shine here
I realize we only have limited time here
Dudes on my line try'na sell me a timeshare
That'll be me with a nine losin' my mind in Time Square
Like, ""Is this how you wanna treat me?
You know what this business was before you hired me
A piece of shit!
Everybody on the floor right now!
Everybody get the fuck down!""


La-la-la-last ye-ye-year they hired me
And this-s-s-s we-we-we-we-week the-the-they fired me
And I g-g-g-got all these b-b-b-b-bills to pay
And what the f-f-f-f-fu-f-f-fuck am I supposed to say
T-t-t-t-to my wife she's p-p-p-p-pregnant
And if the kid does not go to college his life's irrelevant
And my-my-my melanin-n-n-n makes me a felon
And-nd I just wanna take this fuckin' c-c-crack and sell it
To the planet
;
Panic, I'm a manic depressive mechanic that manages to frantically do damage
To his brain with Xanax, and it's, like the word ""anxiety"" is branded panoramic
To the back of my eyelids in a variety of fonts
Ariel, Bold, Gothic
Lost it in Time Square and going home is not an option
Is this 
illusion optic
?
Perhaps it's just a chemical reaction with my Zoloft and acidophilus
The section of my brain that forms sentences isn't operative
Danger! Danger! Danger, Will Robinson
A bizarre ride, Pharcyde, Fatlip,
 
Collagen
My tolerance is volatile and it feels like I'm losing oxygen!",https://genius.com/Pharoahe-monch-time2-lyrics
