title,album,year,lyrics,urls
Tomboy,1992,2016.0,"Who that is, hoe?
That girl is a tomboy!
That girl is a tomboy!
That girl is a tomboy!
Who that is, hoe?
That girl is a tomboy!
That girl is a tomboy!
That girl is a tomboy!
Who that is, hoe?
That girl is a tomboy!
That girl is a tomboy!
That girl is a tomboy!
Who that is, hoe?
That girl is a tomboy!
That girl is a tomboy!
That girl is a tomboy!

With my little titties and my phat belly
I could take your man if you finna let me
It's a guarantee that he won't forget me
My body little, my soul is heavy
My little titties be bookin' cities
All around the world, they be fuckin' wit' me
I'm a Calvin Klein model, come and get me
Step the resy up, don't be fuckin' with me
My little titties are so itty bitty
I go locomotive, chitty chitty, bang bang
Gold hoops and that name chain
Timb boots and like, four rings
Missy Elliott, can't stand the rain
You lames playin' the same games
Little titties, I'm so damn pretty
Staircase and a cracked philly
Little titties and a phat kitty
Big pants and some scuffed shoes
Pow-pow-pow, Blue's Clues
(Pow pow pow! Pow pow!)

With my little titties and my phat belly
My little titties and my phat belly
My little titties and my phat belly
(That girl is a tomboy)
My little titties and my phat belly
My little titties and my phat belly
My little titties and my phat belly
(That girl is a tomboy)
My little titties and my phat belly
(My little titties and my phat belly
My little titties and my phat belly)
That girl is a tomboy
That girl is a tomboy
That girl is a tomboy
Who that is, hoe?
That girl is a tomboy!
That girl is a tomboy!
That girl is a tomboy!

Who that? Who that? Who that? Princess Nokia, Baby Phat
I be where the ladies at, who know how to shake it fast
We gon' spit that brazy track
, you know that I'll take it back
I'm spittin' the illest mack Yeah, hoe!
Who that? Who that? Who that? Princess Nokia, make it clap
She with it to set it back and give ya the fire track
Now watch what gon' happen next
Who that up in the North? Dennis Rodman up court
When I step up in the function it's a party, of course
I'm havin' fun with my friends and I don't want it to end
And if you finna blow my high then I'ma punch you again

With my little titties and my phat belly
My little titties and my phat belly
My little titties and my phat belly
(That girl is a tomboy)
My little titties and my phat belly
My little titties and my phat belly
My little titties and my phat belly
(That girl is a tomboy)
My little titties and my phat belly
(My little titties and my phat belly
My little titties and my phat belly)
That girl is a tomboy
That girl is a tomboy
That girl is a tomboy
Who that is, hoe?
That girl is a tomboy!
That girl is a tomboy!
That girl is a tomboy!
Yeah, hoe!

He so in love, he think it's a spell
There's levels to magic and he cannot tell
He fuck with my bruja, my pussy a spell
My 
toto
 is special, got locks like a jail
It's Polo, it's Tommy, it's Mecca, it's Nauti
I'm finna sit back and just sip on Bacardi
You come to my party, 
you gon' meet my army
A room full of girls and we actin' real rowdy",https://genius.com/Princess-nokia-tomboy-lyrics
I Like Him,Everything Sucks,2020.0,"Got the beat by Powers and we just made a banger

I like him, like him too
He my man, he my boo
He my type, he so cute
I want him, and I want him too
I like him, like him too
He my man, he my boo
He my type, he so cute
I want him, and I want him too

Hop in the whip, hop in the truck
I do whatever the fuck that I want
I'm not a ho, I'm not a slut
I like to fuck and I sure like to suck
I am that bold, freezy like ice
I'm not a wife, so talk to me nice
You ain't my type, I don't like you
You a broke boy, look at your shoes
I am the player and I am the pimp
All of them boys, make 'em the trick
All of them boys, they on my shit
But all of them boys, they make me sick

I do not see you taming me
'Less them, they're entertaining me
They just tryna p-play with me
Play with me, you gon' pay the fee

I like him, like him too
He my man, he my boo
He my type, he so cute
I want him, and I want him too
I like him, like him too
He my man, he my boo
He my type, he so cute
I want him, and I want him too

Dibble in this, and dibble in that
Get on his head like I am a brat
Play with his balls when he up to bat
Make daddy real proud like I'm Kyla Pratt
I'm taking a shower, he makin' the bed
When I leave the city, I leave him on read
Go get the next, like I get the bread
He coming with questions, I call him the feds
He let me plead the fifth
'Cause he know this box a gift
Eating breakfast, not at Tiff'
When I curve him he get stiff
I go beast mode
Ball like free throw
Game like cheat code
Pounds like kilo

I like him, like him too
He my man, he my boo
He my type, he so cute
I want him, and I want him too
I like him, like him too
He my man, he my boo
He my type, he so cute
I want him, and I want him too

I do not see you taming me
'Less them, they're entertaining me
They just tryna p-play with me
Play with me, you gon' pay the fee",https://genius.com/Princess-nokia-i-like-him-lyrics
Brujas,1992,2016.0,"I'm the supreme, I'm the supreme

We is them ghetto witches, 
speakin' in tongue bitches
Fall on the floor
, 
got sage on the door
We is them ghetto witches, speakin' in tongue bitches
Fall on the floor, 
got sage on the door
We is them ghetto witches, speakin' in tongue bitches
Fall on the floor, 
got sage on the door
We is them ghetto witches, speakin' in tongue bitches
Fall on the floor, 
got sage on the door
Talk shit, we can cast spells, long weaves, long nails
Corn rows, pig tails, baby fathers still in jail
Good witches, I fuck with, bad bitches, we run shit
Four bitches, four 
corners, North, East, West, South shit
Good witches, I fuck with, hopped off of my broomstick
Witchcraft, bitch craft, light magic, it's nothing

Orisha
, my altar
Orisha
, my altar
Orisha
, my altar
Got coins on the counter

I'm that Black a-Rican bruja straight out from the Yoruba
And my people come from Africa diaspora, Cuba
And you mix that Arawak, that original people
I'm that Black Native American, I vanquish all evil
I'm that Black a-Rican bruja straight out from the Yoruba
And my ancestors Nigerian, my grandmas was brujas
And I come from an island and it's called Puerto Rico
And it's one of the smallest but it got the most people

Orisha, my altar
Orisha, my altar
Orisha, my altar
Got coins on the counter
Got coins on the counter

Don't you fuck with my energy
Don't you fuck with my energy
Don't you fuck with my energy
Don't you fuck with my energy
Don't you fuck with my energy
Don't you fuck with my energy
Don't you fuck with my energy
Don't you fuck with my energy

Castin' spells with my cousins, I'm the head of this coven
I'm a shapeshiftin' bitch, you don't know who you lovin'
Better light you a candle, I heard the nighttime was black
And if you don't watch your step the greatest bitch will be back
I cast a circle in white and I can vanquish your spite
And if you hex me with hate then I'ma conjour the light
Your evil ways put no fight, 
I ain't no queen of the night
I'm a bruja, I'm a bruja, and I'ma dress in all white

I'm the supreme, I'm the supreme
I'm the supreme, I'm the supreme
I'm the supreme, I'm the supreme
I'm the supreme, I'm the supreme

Tituba! Voodoo slave girl who graced us with her 
black magic
You made her a slave
Before that she came from a great tribe, the Arawak
She gave it to your girls of Salem
A gift repaid with betrayal
Maybe you ain't heard the news about civilization starting in Africa
We more than just pins in dolls and seeing the future in chicken parts
Been reading too many tourist guides, hm
Everything you got, you got from us",https://genius.com/Princess-nokia-brujas-lyrics
Kitana,1992,2016.0,"Yeah, hoe!
Kitana, Kitana, Kitana, Kitana
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
Kitana, Kitana, Kitana, Kitana
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
I step in this bitch and I do what I want
I don't give a damn and I don't give a fuck (yeah, hoe!)
I step in this bitch and I do what I want
I don't give a damn and I don't give a fuck

Princess Nokia, you can call me on my cellular
I think I'm the shit and I never been a regular
Rhymes I spit are sick, see you bleedin' from your jugular
You can suck my dick, all them shady fucks that set me up
Up in the crib, I'm up in the show
I'm doin' my thing like never before
I'm rockin' and droppin' and hittin' the floor
I give you the goodies, the goodies, let go
Pop, lock, and drop it, pop, lock, and drop it
Play them games like Atari
, Mortal Kombat like Kitana
He be hopin' that I call him, he just wanna call me mama
Call ya back mañana, I ain't with it with ya drama
You are not my problem, I ain't with it with ya drama

I done told yo ass don't call me no more because I'm in a session right now

Kitana, Kitana, Kitana, Kitana
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
Kitana, Kitana, Kitana, Kitana
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
I step in this bitch and I do what I want
I don't give a damn and I don't give a fuck
I step in this bitch and I do what I want
I don't give a damn and I don't give a fuck

Ain't got no hair on my tongue, got no reason to run
Yeah, my words are the reasons that I'll never use guns
I just wanna have fun and to live without fear
I put the ground to the ear and claimed that this was my year
I keep my speech on fleek while these bitches fake deep
You don't practice, you preach, I get applause when I speak
It's a difference for me, people comin' for me
I gotta show them that heat so they regret how they be
They take advantage of me, and I'ma put them to sleep
You never shit where you eat when you was eatin' for free
I really say what I do and ain't got nothing to prove
Prefer the sweetheart chick to my bitch attitude
People did me they dirt when I sat and did work
They just tryna take my picture, they don't care 'bout my worth
But I'm still gon' pray, enemies every day
'Cause it's really up to God come judgement day

Kitana, Kitana, Kitana, Kitana
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
Kitana, Kitana, Kitana, Kitana
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
Mortal Kombat, I'll see you mañana!
I step in this bitch and I do what I want
I don't give a damn and I don't give a fuck
I step in this bitch and I do what I want
I don't give a damn and I don't give a fuck (yeah, hoe!)",https://genius.com/Princess-nokia-kitana-lyrics
G.O.A.T.,1992 Deluxe,2017.0,"Hate to burst your bubble, bitch
I'm that weird girl that's runnin' shit
I'm a boss bitch runnin' big shit
Got a company, need a couple mil'
Ain't no rap talk, this my real life
And that's on God, I almost died twice
So I go 'head, and I get mine
And I cash checks, and I get fly
Pelle Pelle with the BB belt
Skinny jeans and a studded belt
I've been fly, never needed help
I been me, ain't nobody else
Skinny jeans and a pair of Vans
Pants sag 'til they hit my ass
Lit, lit, I'ma do my dance
Like a raver bitch goin' in a trance
Avril, I'm a sk8er boi
Anime and a lot of tours
MySpace, made a lot of noise
That's middle school and I'm actin' coy
Back of the class, they sending my ass
Roll up my skirt and they think that I'm fast
I got no ass and I got no titties
But all of your dudes, they hit me to hit me

Hold up a minute
You know I ain't did it
That is your man
And that ain't my business
So come for me different
You can make fun of me
But my bank account statement is somethin'
Is somethin', is somethin' to see
I've been down with the shits
The rap shit I do it, you bet
I ain't the best
But damn I'm the best
You might get hit
Or you might get checked
So don't disrespect
Or it will be hit for the neck

This shit is the illest
This that Scream 3, finna kill shit
I'm a rap boo and a misfit
And I throw 'bows in the moshpit
I bump bump that Gangsta Boo
That Loco, that La Chat
I respect that trill shit
And them OGs that really rap
I'm already back with some new shit
You Dionne and I'm clueless
I got my own movement
I do this, I move shit
I change rap forever, man
It's me who had the biggest plan
Ain't no average bitch, I've been the man
I've been the G.O.A.T, eatin' off the land
It's me who took the weirdo shit
To another level, and I'm killin' it
They ain't want me, that's beginnin' -ish
Now I'm too hot and they suck my dick",https://genius.com/Princess-nokia-goat-lyrics
Bart Simpson,1992,2016.0,"Rotten apple to the core, damn, I been a fuck up
Gettin' picked for last in gym, I can't even do a lay up
Writing on my sneakers, being sneaky with my teachers
Smokin' weed under the bleachers, cuttin' out and gluein' pictures
Carryin' my CD player, suckin' on a Now or Later
Sour Apple was the flavor, scribblin' on doodle paper
Tryin' hard to pay attention but I have no real direction
So I say, ""yo, fuck this lesson,"" spark the leaf, my back is stressin'
Who I am and where I'm headed, cuttin' school and actin' crazy
Foster care done got me crazy, living with a crazy lady
Every day I'm always late, puffin' on a skimpy J
Staying in my grandma house, wasn't even far away
But I guess that's what I do, makin' life more difficult for me and you

Ay caramba
Bart Simpson with the shits
Ay caramba, man, you can go and suck my dick
Skatin' down the street, being mischievous as shit
This as good as it gon' get, always cheat on yo' tests
Don't you be like the rest, I ain't no teacher's pet

Lie, lie, lie, lie, lie
If that don't work then, deny, deny, deny
Lookin' to my future is like lookin' at the sky
Inner city orphan with my hand in apple pie
A liar, a schemer, a cheater, I do it all
I used to switch schools each comin' fall
I skipped all my classes and still managed to pass them all
Readin' comics in Forbidden Planet
I go home to a place of fantasy outside my own
Always been a loner, never had a solid home
I really like Marvel 'cause characters look just like me
And women don't have roles that make them look too sexually
I lie a lot from gettin' beaten and put off food, I'm not eatin'
Eczema so bad I'm bleedin', but I smile and keep it cheesin'
A nerdy girl with nymphomaniac tendencies
Everyone's offended but nobody here offended me
90's mami dressin' like Aaliyah, quite apparently
I'm heavy with the theory, I move with the groove
I'm Black like Shaolin, I tang with the Wu
Africa, my guy, with the bantu do
I'm stupid, fuckin' crazy nuts, loose like a screw
See, I know my money, got raised by the Jews
I'm a New York Puerto Rican like a rough kinda dude
I'ma hit the barrio and eat some Spanish food
And sit in Central Park, I'm in a New York mood

Bart Simpson with the shits
Ay caramba, man, you can go and suck my dick
Skatin' down the street, being mischievous as shit
This as good as it gon' get, always cheat on yo' tests
Don't you be like the rest, I ain't no teacher's pet, uh ",https://genius.com/Princess-nokia-bart-simpson-lyrics
Mine,1992,2016.0,"Um...is that a wig?
I'm confused, is that a weave?
Is that your real hair?
No, you can't touch my fuckin hair! You ain't got no manners!
Oh my God!

It's mine, I bought it, it's mine, I bought it
It's mine, I bought it, it's mine, I bought it
It's mine, I bought it, it's mine, I bought it
It's mine, I bought it, it's mine, I bought it

I like the Dominicans who rock they weaves innocent
Shout out the Boricua girls who rock yaki ponytails
Big up to my Africans who braid, many hours spent
They own they own businesses and work while they care for kids
You know I love auntie girls with Sunday best bonnet curls
And love to my Asian chicks who make hair go straight as shit
I love how West Indies do, it's gossip with hair and food
I love how West Indies do, it's gossip with hair and food

Bundles, bundles, bundles, hit that plug up for the bundles
Beauty shop supply, cashier ringin' up them numbers
Rock my many styles then go natural for the summer
Hair blowin' in the hummer, flip the weave, I am a stunner
Bundles, bundles, bundles, hit that plug up for the bundles
Beauty shop supply, cashier ringin' up them numbers
Rock my many styles then go natural for the summer
Hair blowin' in the hummer, flip the weave, I am a stunner

It's mine, I bought it, it's mine, I bought it
It's mine, I bought it, it's mine, I bought it
It's mine, I bought it, it's mine, I bought it
It's mine, I bought it, it's mine, I bought it

Look how I stunt, look how I stunt
Look how I stunt, look how I stunt, in my lace front
10's to the floor, 10's through the door
10's to your face, 5, you a bore
Pick up the pace, spit in your face
Dawson, your creek, Joey to pace
Glue in my weave, Ms. Destiny
Lil Banji, bruise on my knee
Dip on the dip, makin' a trip
Wanna talk slick, I blow them a kiss
Glue in my weave, Ms. Destiny
Lil Banji, bruise on my knee

Bundles, bundles, bundles, hit that plug up for the bundles
Beauty shop supply, cashier ringin' up them numbers
Rock my many styles then go natural for the summer
Hair blowin' in the hummer, flip the weave, I am a stunner
Bundles, bundles, bundles, hit that plug up for the bundles
Beauty shop supply, cashier ringin' up them numbers
Rock my many styles then go natural for the summer
Hair blowin' in the hummer, flip the weave, I am a stunner

Please do not ask me or any Black or Brown women if our hair is real or not. If it’s a wig, a weave, extensions, braids, don’t fuckin' ask. It’s very rude, it’s extremely personal to be put on the spot like that. How we choose to wear our hair is our personal choice, ok? We bought it, it’s ours, so have some manners and keep your curiosity to yourself",https://genius.com/Princess-nokia-mine-lyrics
Sugar Honey Iced Tea (S.H.I.T.),Everything is Beautiful,2019.0,"Sugar honey iced tea
These bitches don't like me
These bitches wanna fight me
And doin' shit just to spite me
I see them talking on the IG
Think you jealous, maybe high key
I got the juice, I got the Hi-C
Do I care? Unlikely

You must have time on your hands
'Cause all the time you been hatin'
I know you're mad that I'm famous
I know you're mad that I made it
When all the time you been hatin'
You could've turned into something
Sometimes it works out for people
Sometimes it really just doesn't
Don't do this shit to be famous
I do this shit 'cause I love it
I shot an arrow said, ""Fuck it""
I took a chance, came from nothing
You have to go for it, want it
You have to rise up above it
If you go on expecting
Well girl, I think that you're buggin'
How you want what I have?
You ain't workin' yourself
That toxic energy shit
Ain't really good for your health
I think you need better goals
'Cause, oh my God, you seem lost
You talkin' shit 'bout my music
But what the fuck have you dropped?
Now what the fuck have you done?
Accolades, you have none
Your lazy ways get you none
I'll go and pray for you, hun

Sugar honey iced tea
These bitches don't like me
These bitches wanna fight me
And doin' shit just to spite me
I see them talking on the IG
Think you jealous, maybe high key
I got the juice, I got the Hi-C
Do I care? Unlikely

I'm on the train throwing soup
The racist men making threats
I'm not a gangster, but I can tell you I love to throw hands
On racists, bigots and scum
I don't like drama, it's dumb
I don't be fightin' no women
I don't be totin no guns
I hate domestic abusers
In fact, they all make me sick
This dude poured wine on my friend
I punched him straight in his shit
I got a real code of honor that I take seriously
If Colin Kaep' was a woman then I'd be dead on one knee
My revolution is soulful
I'm healing kids with my hands
I'm talkin' loving my people
Not fightin' bitches for bands
I got no hate in my heart
I think it's funny I rap
I did not bang in these streets
And I did not trap in the trap

Sugar honey iced tea
These bitches don't like me
These bitches wanna fight me
And doin' shit just to spite me
I see them talking on the IG
Think you jealous, maybe high key
I got the juice, I got the Hi-C
Do I care? Unlikely",https://genius.com/Princess-nokia-sugar-honey-iced-tea-shit-lyrics
Saggy Denim,1992,2016.0,"Saggy denim, 1995, I be
All in 'em, L.L on the side
Wit' my Tommy boxers or my Calvin Klein
Ooh baby, ooh baby, I love to get fly

Gotta get 'em Ralph Lauren denim
Patches on that ass, my ass a good fittin'
1995, I'ma listen to Sublime
Drink that 40oz. to Freedom to the day that I die
Gonna listen me Selena
Drink a 40 and cry
Gonna roll me up a Beamer
I'ma go and get high
While it's 1995, gettin' fly to pass the time
I'ma slip up from behind while he go and buy that wine
We ain't lookin' at the time, don't nobody got a phone
We gon' kick it in the park and we ain't never goin' home
Culy Culkin, Home Alone, while I'm smokin' on a bone
New York City is my throne and I love to call it home

Saggy denim, 1995, I be
All in 'em, L.L on the side
Wit' my Tommy boxers or my Calvin Klein
Ooh baby, ooh baby, I love to get fly

I speak that Gualla Gualla, that peso, pound, and dollar
That oocjie walla walla polo rican mama mama
Come holla at ya Gualla, they hootin' and they holla
That platano banana, roll my weed in my Fronta
I speak that Gualla Gualla, that Spanish hoochie mama
That Puerto Rican drama, that fuck you, pay me, nana
I care about my comma, I got a code of honor
I smoke the bestest weed, shout out my plug and farmer
I speak that mira mira, that mira, oye linda
That vien aqui mi'jita, tu eres mi chiquita
I grew up in the projects with nasty stairs and halls
The ghetto has no censor and I done seen it all

That's why I see your cause and I see your flaws
But I see that you a G, and yeah, you be a boss
Hood chick with some raid tricks, you get either/or
Could spin and call my main chick know she need a don
So I'ma leave alone, ice cream and the cone
Livin' in the L-O-V-E, with baggy jeans is on
And you know me, I be in leaves with some sneakers on
Preferably Clydes, when the rest of them slides, slide slow
Destiny rides by me blowin'
Sex in the sky to the extent that we high
Born in the same place, took a minute to find ya
I'm tryin' but you tryin' to say my time's up
And I've lied enough, I haven't tried enough
So I gotta say some shit before this rhyme is up
Des, my love, my thug, my drug
When I gon' make my mind up

Saggy denim, 1995, I be
All in 'em, L.L on the side
Wit' my Tommy boxers or my Calvin Klein
Ooh baby, ooh baby, I love to get fly

The red and blue, yellow and white too
1992, campus, we row crew
Windbreakers with my 40 acres, chillin' like the Quakers
I roll through with mad flavors, went from Philly Dutches papers",https://genius.com/Princess-nokia-saggy-denim-lyrics
ABCs of New York,1992 Deluxe,2017.0,"A is for the apple, take a bite and spit it out
B is for bodega, eatin' on your mama couch
Low bazooka with a Puerto-Rican chula
Says she workin' in the city and she gettin' moolah
C is for the crib, the cats that call you catch
CBGB's babies sneakin' blondie through the back
D is for the downtown kids that's hittin' licks
Skater boys in the park tryna fuck some white chicks
E is for the East Side, Ruff Ryder Ride or Die
Motorbikes from every side
Flyin' down the FDR, breakin' Dutches in the car
G is for the ghetto girl and Rainbow clothes
Baby hairs and well done toes, single mothers carry those
Bummy sneakers, what are those? Get in goin', golden go
Hunts Point got the hottest hoes, inner city, tragic woes
Splattered streets, the bloody holes, shorty dancin' on the pole
Casually it's casual b, bloody hands with the anatomy
Jehovah witness at your door, actin' like nobody home
TV off, all alone, kick the door in, mama Jonesin' on the phone
Bata and a doobie on, waiting on her tax return
Low lives lightin' Ls, pourin' down for ones they love
Tompkins Square, lower east, Delancey for the deli meats
You don't come to C or D
I'm in Manhattan like I'm Woody Allen
Jewish, Puerto-Rican and a little bit Italian
Sittin' on the steps outside the Natural History
New York fuckin' City and I love the history
Everything a meltin' pot, every block is fuckin' hot
83rd the train stop, open cases, old as shorty braces
Pick you up on warrant squad, now they runnin' faces
Pick you up by the park, we was voguing by the pier
Paris burnin', full of Queens, hit the Village every year
Rollin' now to the rave, Village Voice, six page
I was diving off the stage, going now, every day
Stickball in the summer, you know it's summertime
Schomburg, eatin' soul food, singin' Doo-Wop every night
Subway trains goin' by, squad is sittin' St. Marks
Shootin' up in Tompkins park, know it's dirty after dark
Tunnels takin' turns, playin' tag on the curb
Touchin' on some titties, takin' change out your purse
Undercover agents I can spot them all away
Yo, I hate the fuckin' cops, NYPD get away
Underground are MTA, close my eyes and ride the train
Back and forth on everyday, anywhere, anyway
Xerox copied Zines stapled onto poser trees
Got a show, come and see, New York is the place to be
Here you go and live your dreams
Livin' in the city you can't be a xenophobe
This the melting pot, and the soup is never cold
Young lords, young lords, they live inside of me
I got a problem B, with white supremacy
Rollin' through my zipcode, One double zero two nine
ABC's of New York, and I'll be doing fine",https://genius.com/Princess-nokia-abcs-of-new-york-lyrics
