title,album,year,lyrics,urls
U.N.I.T.Y.,Black Reign,1993.0,"Uh, 
U.N.I.T.Y., U.N.I.T.Y.
 that's a unity
U.N.I.T.Y., love a black man from infinity to infinity
(Who you callin' a bitch?)

U.N.I.T.Y., U.N.I.T.Y. that's a unity (You gotta let him know)
(You go, come on, here we go)
U.N.I.T.Y., love a black woman from (Uh, you gotta let him know)
Infinity to infinity (You ain't a bitch or a ho, here we go)
U.N.I.T.Y., U.N.I.T.Y. that's a unity (Uh, you gotta let him know)
(Come on, come on, now here we go)
U.N.I.T.Y., love a black man from (Yeah, you gotta let him know)
Infinity to infinity (You ain't a bitch or a ho)

Instinct leads me to another flow
Every time I hear a brother call a girl a bitch or a ho
Tryna make a sister feel low
You know all of that gots to go
Now everybody knows there's exceptions to this rule
Now don't be gettin' mad, when we playin', it's cool
But don't you be calling me out my name
I bring wrath to those who disrespect me like a dame
That's why I'm talkin', one day I was walkin' down the block
I had my cutoff shorts on right cause it was crazy hot
I walked past these dudes when they passed me
One of 'em felt my booty, he was nasty
I turned around red, somebody was catchin' the wrath
Then the little one said, ""Ha ha, yeah me, bitch,"" and laughed
Since he was with his boys, he tried to break fly
Huh, I punched him dead in his eye
And said, ""Who you callin' a bitch?"" Yeah !

U.N.I.T.Y., U.N.I.T.Y. that's a unity (Here we go, you gotta let him know)
(You go, come on, here we go)
U.N.I.T.Y., love a black woman from (You gotta let him know)
Infinity to infinity (You ain't a bitch or a ho, here we go)
U.N.I.T.Y., U.N.I.T.Y. that's a unity (Uh, you gotta let him know)
(You go, come on here we go)
U.N.I.T.Y., love a black man from (Yeah, you gotta let him know)
Infinity to infinity (You ain't a bitch or a ho)

I hit the bottom, there ain't nowhere else to go but up
Bad days at work give you an attitude and you erupt
And take it out on me but that's about enough
You put your hands on me again I'll put your ass in handcuffs
I guess I fell so deep in love I grew dependency
I was too blind to see just how it was affectin' me
All that I knew was you was all the man I had
And I was scared to let you go
Even though you treated me bad
But I don’t want to see my kids see me gettin' beat down by daddy smackin' mommy all around
You say I'm nothin' without ya but I'm nothing' with ya
A man don't really love you if he hits ya
This is my notice to the door, I'm not takin' it no more
I'm not your personal whore, that's not what I'm here for
And nothing good gon' come to ya til you do right by me
Brother you wait and see (Who you callin' a bitch? Uh !)

U.N.I.T.Y., U.N.I.T.Y. that's a unity (Here we go, you gotta let him know)
(Come on, here we go)
U.N.I.T.Y., love a black man from (Yeah, you gotta let him know)
Infinity to infinity (You ain't a bitch or a ho, here we go)
U.N.I.T.Y., U.N.I.T.Y. that's a unity (Uh, you gotta let him know)
(Come on, here we go)
U.N.I.T.Y., love a black woman from (Yeah, you gotta let him know)
Infinity to infinity (You ain't a bitch or a ho)

What's goin' on in your mind is what I ask ya
But like Yo-Yo, you don't hear me though
You wear a rag around your head
And you call yourself a ""gangsta bitch""
Now that you saw Apache's video
I saw you wildin', actin' like a fool
I peeped you out the window jumping girls after school
But where did all of this come from?
A minute ago, you was a nerd and nobody ever heard of ya
Now you a wannabe... hard
You barely know your ABC's, please
There's plenty of people out there with triggers ready to pull it
Why you tryna jump in front of the bullet (Young lady) ?
Uh, and real bad girls are the silent type
Ain't none of this worth gettin' your face sliced
Cause that's what happened to your homegirl, right?
(Barking with no bite!)
She got to wear that for life
(Who you callin' a bitch? Uh !)

U.N.I.T.Y., U.N.I.T.Y. that's a unity (Here we go, you gotta let him know)
(Come on, here we go)
U.N.I.T.Y., Love a black woman from (You gotta let him know)
Infinity to infinity (You ain't a bitch or a ho, here we go)
U.N.I.T.Y., U.N.I.T.Y. that's a unity (Gotta let him know)
(Come on, here we go)
U.N.I.T.Y., Love a black man from (You must let him know)
Infinity to infinity (You ain't a bitch or a ho)",https://genius.com/Queen-latifah-unity-lyrics
Living Single theme song,UnKnown,1993.0,"(Check, check, check it out
Check, check, check it out
What you want, no free position)
We are living (Ooh)
Single (Hey)
Yes, we're living the single life, yeah
We are living (Hey)
Single (Ooh,
And in a nineties kind of world
I'm glad I got my girls)
Keep your head up, what?
Keep your head up, that's right
Whenever this life get tough, you gotta fight
With my homegirls standing to my left and my right
True blue, it's tight like glue
We are living (Hey)
Single
(And in a nineties kind of world
I'm glad I got my girls)
Haaaa",https://genius.com/Queen-latifah-living-single-theme-song-annotated
I Know Where I’ve Been,Trav’lin’ Light,2007.0,"There's a light in the darkness
Though the night is black as my skin
There's a light burning bright, showing me the way
But I know where I've been

There's a cry in the distance (Oooo)
It's a voice that comes from deep within (Hey yeah)
There's a cry asking why, I pray the answer's up ahead
'Cause I know where I've been

There's a road we've been travelin'
Lost so many on the way
But the riches will be plenty
Worth the price, the price we had to pay

There's a dream in the future
There's a struggle that we have yet to win
And there's pride in my heart 'cause I know where I'm going
Yes I do!
And I know where I've been, yeah

There's a road
We must trave
There's a promise
We must make
But the riches
Will be plenty
Worth the price
And price we had to pay
There's a dream (Dream)
Yeah yeah yeah
In the future
There's a struggle
That we have yet to win
And there's pride
In my heart
'Cause I know where I'm going
And I know where I've been
Yeah

There's a road (There's a road)
We must travel (We must travel)
There's a promise (There's a promise)
That we must make (That we must make)
But the riches (Oh, but the riches)
Will be plenty (Riches will be many)
Worth the risk (Worth the risk)
And the chance (And the chance)
We take
There's a dream

In the future there's a struggle (Struggle)
That we have yet to win (We have yet to win)
Use that pride (Pride)
In our hearts (In our hearts)
To lift us up (Lift us up)
To tomorrow (Ooo)
'Cause just to sit still would be a sin
(I know it! I know where I'm going)
Lord knows I know where I've been
(Know where I've been)
I give thanks to my God 'cause I know where I've been",https://genius.com/Queen-latifah-i-know-where-ive-been-lyrics
Ladies First,All Hail the Queen,1989.0,"The ladies will kick it, the rhyme that is wicked
Those that don't know how to be pros get evicted
A woman can bear you, break you, take you
Now it's time to rhyme, can you relate to
A sister dope enough to make you holler and scream

Ayo, let me take it from here, Queen...
Excuse me but I think I'm about do
To get into precisely what I am about to do
I'm conversating to the folks that have no whatsoever clue
So listen very carefully as I break it down for you
Merrily merrily merrily merrily hyper happy overjoyed
Pleased with all the beats and rhymes my sisters have employed
Slick and smooth throwing down the sound totally a yes
Let me state the position: Ladies first, yes? (Yes)
(Yeah, there's going to be some changes in here)

Believe me when I say being a woman is great, you see
I know all the fellas out there will agree with me
Not for being one but for being with one
Because when it's time for loving it's the woman that gets some
Strong, stepping, strutting, moving on
Rhyming, cutting, and not forgetting
We are the ones that give birth
To the new generation of prophets because it's Ladies First

I break into a lyrical freestyle
Grab the mic, look into the crowd and see smiles
Cause they see a woman standing up on her own two
Sloppy slouching is something I won't do
Some think that we can't flow (can't flow)
Stereotypes, they got to go (got to go)
I'm a mess around and flip the scene into reverse
(With what?) With a little touch of ""Ladies First""
Who said the ladies couldn't make it, you must be blind
If you don't believe, well here, listen to this rhyme
Ladies first, there's no time to rehearse
I'm divine and my mind expands throughout the universe
A female rapper with the message to send the
Queen Latifah is a perfect specimen

My sister, can I get some?

Sure, Monie Love, grab the mic and get dumb

Yo, praise me not for simply being what I am
Born in L-O-N-D-O-N and sound American
You dig exactly where I'm coming from
You want righteous rhyming, I'mma give you some
To enable you to aid yourself and get paid
And the material that has no meaning I wish to slay
Pay me every bit of your attention
Like mother, like daughter, I would also like to mention
I wish for you to bring me to, bring me to the rhythm
Of which is now systematically given
Desperately stressing I'm the daughter of a sister
Who's the mother of a brother who's the brother of another
Plus one more; all four
Have a job to do, we doing it
Respect due, to the mother who's the root of it
And next up is me, the M-O-N-I-E L-O-V-E
And I'm first cause I'm a L-A-D-I-E

Contact and in fact, the style, it gets harder
Cooling on the scene with my European partner
Laying down track after track, waiting for the climax
When I get there, that's when I tax
The next man, or the next woman
It doesn't make a difference, keep the competition coming
And I'll recite the chapter in verse
The title of this recital is ""Ladies First""
Step out into the night
Queens of civilization are on the mic
The scene is right, the crowd is hype
I expel the wack and those who bite
Why, cause I'm that type
Swaying with beats 
45 King style
He wants me to sing but I swing, so meanwhile
A footnote for the opposite sex
Monie ripped the mic, I rocked it next
Plex, you never catch me at my worst
You get the drift? It's Ladies First",https://genius.com/Queen-latifah-ladies-first-lyrics
"Big, Blonde and Beautiful",Hairspray (Soundtrack to the Motion Picture),2007.0,"Yeah, well, well, owww
Yeah yeah...
Bring on that pecan pie
Pour some sugar on it, sugar, don't be shy
Scoop me up a mess of that chocolate swirl
Don't be stingy, I'm a growing girl
I offer big love with no apology
How can I deny the world the most of me
I am not afraid to throw my weight around
Pound by pound by pound
Because I'm big, blonde and beautiful
Face the fact, the simply irrefutable
No one wants a meal that only offers the least
When girl, we're serving up the whole damn feast (oh ho)
Slice me off a piece of that hog head cheese (woah)
Then take a look inside my book of recipes (ooo)
Now, don't you sniff around for something fluffy and light
We need a man who brings a man-size appetite
I'll use a pinch of sugar and a dash of spice
I'll let you lick the spoon because it tastes so nice (oo ooo)
We'll keep it in a oven 'til it's good and hot
Keep on stirring 'til it hits the spot
Because I'm big, blonde and beautiful
There is nothing 'bout us that's unsuitable (oo oo oo)
Why sit in the bleachers, timid and afraid (ooo)
When Edna, you look like the whole parade
They say that white has might and thin is in
Well, that's just bull
'Cause ladies, big is back, and as for black
It's beautiful
All shapes and sizes, follow me
Who wants a twig when you can climb the whole tree (oo, oo oo oo)
Yeah, yeah, yeah, yeah, yeah, yeah (oh yeah)
Oh yeah, groovy baby, groovy",https://genius.com/Queen-latifah-big-blonde-and-beautiful-lyrics
When You’re Good To Mama,Chicago (Music from the Miramax Motion Picture),2002.0,"And now, ladies and gentlemen
The Keeper of the Keys
The Countess of the Clink
The Mistress of Murderer's Row
Matron Mama Morton!

Ask any of the chickies in my pen
They'll tell you I'm the biggest mother... hen
I love them all and all of them love me
Because the system works
The system called... reciprocity!
Got a little motto
Always sees me through
When you're good to Mama
Mama's good to you
There's a lot of favors
I'm prepared to do
You do one for Mama
She'll do one for you
They say that life is tit for tat
And that's the way I live
So I deserve a lot of tat
For what I've got to give
Don't you know that this hand
Washes that one too
When you're good to Mama
Mama's good to you
If you want my gravy
Pepper my ragú
Spice it up for Mama
She'll get hot for you
When they pass that basket
Folks contribute to
You put in for Mama
She'll put out for you
The folks atop the ladder
Are the ones the world adores
So boost me up my ladder, kid
And I'll boost you up yours
Let's all stroke together
Like the Princeton crew
When you're strokin' Mama
Mama's strokin' you
So what's the one conclusion
I can bring this number to?
When you're good to Mama
Mama's good to you!",https://genius.com/Queen-latifah-when-youre-good-to-mama-lyrics
Just Another Day...,Black Reign,1993.0,"We gon take this one over to 275 Halsted
384 Stuyvesant
We gon take it over to 155 Morgan
144 Harrison

Just another day, living in the hood
Just another day around the way
Feelin good today, feelin lovely-yay
Just another day, living in the hood
Just another day around the way
Feelin good today
I hear the (gunshot), but I'm here to stay

Well it's a beautiful day in the neighborhood, a beautiful day in the neighborhood
Can't go wrong, I feel strong and the flavor's good
I'm with whatever comes my way, hip-hop hooray
Latifah's on vacation, I'm just plain old Dana today
I strap out, step out in every direction
Glock, TECs, jimmy hats, in case I need protection
So I Land Cruise, pump sounds, play out wanna be’s
A kid in a M3's getting jacked right in front of me
So I play the TEC close, my finger's on the trigger
Don't wanna get wet, so they steps 'cause mine's is slightly bigger
But better yet I'm a threat, so you better walk
Or get sketched out in chalk, 'cause I don't wanna talk
I stay true blue, I'm hoping it's you too
I got the fever for the flavor of a Woo Woo
So it's back to the block, time to play
It's just another day around the way, hey


Time to chill, hit the hill uptown, let's peep the sights
Shoot some pool, act a fool, 'cause it's on tonight
I'm doing the knowledge, it's not easy, easy
Watching a cop cuff a kid for selling a clip to a DT
But it's home, so I flex, get pressures off my chest
Slip in a tape, now which hood should I hit next?
Stomach ache, head to Steak-N-Take for a bean pie
Get a Final Call from the brother in the bow tie
I'm where little kids dream and fiend for fun
Lots of laughter moms, no pops playing with her son
I passed by a girl's wake, they say she died at seven
Hit by a stray, but I pray that there's a hood in heaven
Fake brothers claim there's no shame in their game
You know my name, show me a real nigga with a brain
So it's back to the block, time to play
It's just another day around the way, hey


You know I gotta give props, I can't stop, without y'all, I'll be nothin
No wreckin', no checks, and no rhymin', no cuttin'
No stages, front pages, no phones, no beepers
No reason to put Queen in front of the name Latifah
I come with the real life perspective and rule
'Cause me and my peoples from around the way remain cool
So it's back to the block, time to play
It's just another day, around the way, around the muthafuckin' way

Just another day, living in the hood
Just another day around the way
Feelin good today, I'm feelin lovely-yay
Just another day, in the neighborhood
Just another day around the way
Feelin good today
I hear the (gunshot), but I'm here to stay
Just another day around the way
Feelin good today
I hear the (gunshot), but I'm here to stay
Cause it's Just another day, in the neighborhood
Just another day around the way
I'm Feelin good today
I'm feelin lovely-yay

Feelin' Good Today
Feelin' Good Today
I Know My Hood's Okay
It's Gonna be Okay",https://genius.com/Queen-latifah-just-another-day-lyrics
Come So Far (Got So Far To Go) (”Hairspray”),Hairspray (Soundtrack to the Motion Picture),2007.0,"[Verse 1: Zac Efron, 
Nikki Blonsky
, & 
Elijah Kelly
]
Hey old friend let's look back, on the crazy clothes we wore
Ain't it fun to look back, and to see it's all been done before?
All those nights together, are a special memory
And I can't wait for tomorrow, just as long as you're dancing next to me
[Pre-Chorus: Nikki Blonsky & Queen Latifah, 
Elijah Kelly
, 
Nikki Blonksy
]
'Cause it's so clear, every year, we get stronger (Stronger)
What's gone is gone, the past is the past
Turn the radio up
 
and then hit the gas 'cause

I know we've come so far but we've got so far to go (Ooo)
I know the road seems long, but it won't be long 'til it's time to go
So most days we'll take it fast and some nights we'll take it slow (Ooo)
I know we've come so far, but baby, baby we've got so far to go
(Oh yeah, hey yeah, Oh, oh)
[Verse 1: Zac Efron, 
Nikki Blonsky
, 
Elijah Kelly
, 
Queen Latifah
]
Hey old friend together, side-by-side and year-by-year
The road was filled with twists and turns, oh, but that's the road that got us here
Let's move past the bad times, but before those memories fade
Let's forgive but not forget and learn from the mistakes we made
[Pre-Chorus: Nikki Blonsky & Queen Latifah, 
Elijah Kelly
]
'Cause it's so clear every year we get stronger (Stronger)
So don't give up and don't say when
And just get back on the road again 'cause
[Verse 1: Zac Efron, 
Nikki Blonsky
, 
Elijah Kelly
, 
Queen Latifah
]
I know we've come so far but we've got so far to go (Ooo)
I know the road seems long, but it won't be long 'til it's time to go
So most days we'll take it fast and some nights we'll take it slow (Ooo)
I know we've come so far, but baby, baby we've got so far to go
(Oh, yeah, hey yeah, oh, oh, oh, oh, oh)

Hey old friend come along for the ride
There's plenty of room, so jump inside (Jump inside)
The highway's rocky every now and then (Yeah, yeah)
But it's so much better than where I've been
Just keep movin' at your own speed
Your heart is all the compass you'll ever need (So you need)
Let's keep cruisin' the road we're on
'Cause the rearview mirror only shows what's gone, gone, gone (Yeah)
We got so far to go!
(Woah oh, Yeah)
[Pre-Chorus: All, 
Elijah Kelly
]
Oh, it's so clear 
every year we get stronger
 (stronger)
So shine that light, (ooo)
Take my hand (ooo)
Let's dance into the promised land 'cause

I know we've come so far but we've got so far to go (Ooo)
I know the road seems long, but it won't be long 'til it's time to go
So most days we'll take it fast and some nights we'll take it slow (Ooo)
I know we've come so far, but baby, baby we've got so far to go
(Hey yeah)

Baby, baby, ooo, (hey)
Baby, baby we've got so far to go
Baby, baby, ooo, (oh, oh, oh, oh ,oh)
Baby, baby we've got so far to go
Baby, baby, ooo, (yeah, yeah)(welcome to the 60's)
Baby, baby we've got so far to go
Baby, baby, ooo, (oh, oh, oh, oh ,oh)
Baby, baby we've got so far to go (welcome to the 60's)(come on, lets go, baby)
Baby, baby, ooo, (oh, oh, oh, oh ,oh)
Baby, baby we've got so far to go (welcome to the 60's)(come along for the ride)
Baby, baby, ooo
Baby, baby we've got so far to go (yeah)(oh, oh, oh, oh, oh)
...",https://genius.com/Queen-latifah-come-so-far-got-so-far-to-go-hairspray-lyrics
Cell Block Tango (He Had it Comin’),Chicago (Music from the Miramax Motion Picture),2002.0,"Dana Owens aka Queen Latifah, yes, I'm here to testify
No, I gotta speak on my behalf
You don't even know what happened
Can I just tell you what happened?
 (Queen Latifah)
He had it comin' (He had it comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same
 (Macy Gray)
I mean imagine, why was he hittin' his woman?
Why was she takin' that? Now picture her fightin' back
Think of the ass kickin', think of his ass flippin' down the stairs
And me at the top smilin', he shoulda stopped wildin'
Now could you picture me tryin' to finish him off?
See why I pictured me on this side of the law
High heels leave holes, you'd-a thought I was gunnin'
Now the cops comin', I ain't runnin' (He had it comin')
Girl, you shoulda seen it, shoulda bobbed and weaved
Before the cops came, got a couple of clean hits
In word the  couldn't take the abuse
But I couldn't explain that to the state troops
But you know, girl, yeah, you go girl
Plus I look real cute in orange jumpsuits
This the story I'm tellin' and I ain't changin' nothin'
I just needed you to know, Your Honor
 (Queen Latifah)
He had it comin' (He had it comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same
 (Queen Latifah)
He had it comin' (He had it comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same
 (Macy Gray)
Aight, aight, let's get this over with
Take the mug shot, hurry up the fingerprints, what, the blood clot?
Lil' Kim aka Sofia Luchiani
Keep your jumpsuit, I'm rockin' Armani
Yeah, I bust at him once, but that was just a warnin'
My lawyer will be here with bail money in the mornin'
I'm not guilty, just tryin' to protect mine
It ain't my fault he ran into my knife 20 times (He had it comin')
Just my luck the bastard ain't die
What you woulda did if every other day he blacked your eye?
Broke your nose 'til it started bleedin'
Kicked you in your ribs, choked you 'til you stopped breathin'
Fuck that, I'm sick of bobbin' and weavin'
Him threatenin' to kill me when I threaten to leave him
I do a bid, cause ain't no way
(Nigga) gonna do me like Ike and OJ

He had it comin' (Comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same

He had it comin' (C omin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same

This is for the constantly accused, mentally abused
How many of you been in my shoes before (aight)
Or have you felt you caught the worse case
Puttin' up with his tired ass in the first place
Why am I flippin'? I just bought them condoms
I ain't used not one but there was two missin'
Made a new mission, how to catch a cheater
If he only use Coast, you shouldn't smell Lever (He had it comin')
If you know he don't smoke, you shouldn't smell reefer
If you catch him cheatin' you shouldn't yell either
Run up on him quietly, choke him out silently
It might sound cruel, but you gotta love the irony
So explain that, just came back off a trip
And I come home to this, please
He ain't followed the guidelines
So forgive me, Your Honor, but he ran into my knife five times

He had it comin' (Comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same

He had it comin' (Comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same

He had it comin' (Comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same",https://genius.com/Queen-latifah-cell-block-tango-he-had-it-comin-lyrics
Name Callin’ Part 2,UnKnown,UnKnown,"Today I'm not the queen, a sista, role model, or friend
Today I'm that bitch that'll shoot you a fair one, this don't exclude men
Wanna test me? Come test your weak songs and weak shows
Reincarnated I'll be a pimp and slap the shit out of these weak hoes
With these freak shows, make em' leak holes
I ain't talkin' about shootin' free throws, coming on stage with no clothes
Shit who the fuck said I can't beat those break?
Took so long for your album to drop, I thought you died I missed the wake

I don't spit subliminals no doubt
This way you don't walk around wondering who the fuck I'm talkin' bout'
I'm not trippin', I heard you rippin'
But I'm into breakin' bitches, sending them back to their first career; Stripping
Lap dancing for five cents, doing VIPs to make rent
Look up and I'm platinum wondering where the fuck time went
This is for those hoes who oppose my queendom and wanna bring some plate
I ain't got shit else to do so

And them niggas too this don't exclude you, I won't duck
Yeah the only thing worse then a bitch nigga is these pretty motherfuckers
Dressing the part with no heart gettin' hot niggas to rap wit' em'
So the fuck what? A lot of wack niggas went platinum
While you on tour your girls get manicured
Better leave security, I might knock on your door and get yours
Don't put it past me, I shine Apache how many I left in stitches
Now let me get back to these bitches

I'm sick of these hoes poppin' bullshit on the radio
And the videos like they're the ones with the tv shows
You want what I got? We could fight everyday for all the lotta
Bitches is acting but I'm the one gettin' paid for it
You hoes don't set it off
Don't make me braid my hair back and let it off
Cleo ho don't start no, won't be no
Get knocked out not knowin' what a diva do, what a diva did, and what a diva is
Bitch recognize who Queen Latifah is

I'll give it to you raw with no trojan
Your legs are the only thing you s'pose to keep open
You jokin', smoking on the good shit
You get a good kick up on yo ass
Playin' me close like siamese, wantin' to try these
I'm leavin' you hoes and I see you in IVs
Who ever said they beat me lied
Bitch you need to put down the tv guide

Turn off the tv, now you see me, 3-D
Thought shit would be easy, believe me
My name ain't Khadijah, this ain't Living Single
On the Fox Network, you fuckin' wit an expert
Get yo ass laid to rest, I will cave yo chest
Bitch niggas gettin' robbed for they Avirex
Pay yo debts or I'ma be up in yo pockets (quick)
Dent in yo mouth if these bitches wanna gossip

Poppin' that shit about me and don't know my steelo (so what you sayin' yo?)
I make my own shit legit, you ride a dick for dough, ho (so what you sayin' yo?)
I don't need tight clothes to cover up my half assed flows (so what you sayin' yo?)
And on yo knees is the only way you hoes gon' blow
So what you saying yo?",https://genius.com/Queen-latifah-name-callin-part-2-lyrics
