title,album,year,lyrics,urls
ShETHER,UnKnown,2017.0,"Free Remy!
(Word)
You know what? Free Remy!
Fuck you, Free Remy!
(Fuck Nicki Minaj!)
Are you dumb?
You wore a pink diamond chicken wing chain (Are you dumb?)
You had a leopard beehive on your head (Are you dumb?)
(Fuck Nicki Minaj!)
Are you forgettin' that I pressed you before, bitch?
(Fuck Nicki Minaj!)

(I) Fuck with your soul like shETHER
(Will) You ain't the queen, I'll show you
(Not) Lipo your ass and belly
(Lose) I prove you lost already
They told you your whole career
I'd come home and kill you, right? Ha-ha!

I told you I wasn't talkin' about your dumb-ass
It looks stupid, you literally got a dumb ass
Talkin' cray, and we all know that you dumb as
You get Donkey of the Day, yeah, you dumb ass
Let's be honest, you stole that line 'bout bitches bein' your sons
How you take my '09 jail tweet and run?
Talkin' about bringin' knives to a fight with guns
When the only shot you ever took was in your buns
And I saw Meek at All-Star, he told me your ass dropped
He couldn't fuck you for three months because your ass dropped
Now I don't think y'all understand how bad her ass got
The implants that she had put in her ass popped
I was like, ""Damn, 90 days and you couldn't have box?
Did she at least compensate? Start givin' you mad top?
Her name Minaj, right? She ain't throw you some bad thots?""
He said ""Nah,"" that's when I knew you was really a trash bop
You was screamin' ""Free Remy!"" when I was upstate doomed
But now that they freed Remy you don't sing the same tune
Locked me up, threw away my keys, threw away my weaves
Snatched me from my son, braids to the back, state greens
Daily News, ""Her career's over,"" ""She was kinda stupid,""
But you saw a opportunity 'cause you a opportunist
Left your Day 1 'cause you heard he was on some cheat shit
Then got with the dude that told you on some creep shit
But what happened to Omeeka? Nah, on some G shit
Left him and took a pic with the dude he had beef with?
And we all know it was a beef that you started
Pillow-talkin' out of your ass, this bitch retarded
Now you gotta die, you dearly departed
Bloodbath when I catch you, a real red carpet
Now what I'ma do, I'ma just stick to the facts
Bitch so scared of my future, got this bitch goin' backwards
Been through mad crews, you disloyal hoochie
Now all of a sudden you back with Drake and Tunechi?
After he said you sucked his dick, you back with Gucci?
Who next: Puff, Deb or Fendi? You a A-list groupie
And to be the Queen of Rap, you gotta actually rap
The whole industry know that your shit is a wrap
No, to be the Queen of Rap, you can't have a ghostwriter
And that's why this is my house; Flo Rida
Niggas done seen Drake pennin', Wayne pennin'
And since your first boyfriend left, bitch ain't winnin'
You a Internet troll, a Web browser, I'm sorry
You can't get a on line without Safaree
Mentionin' guns, you Pussy Galore, James Bond
Only time you touch a trigga is when you fucked Trey Songz
Coke head, you cheated on your man with Ebro
I might leak the footage of you sniffin' them ski slopes
They gassin' you up, but you been on E, though
""Pills and Potions,"" yep, you been on E, ho
Got your ghostwriters back, so you think you lit
Rem Belushi, I'm a Ghostbuster, bitch
I'm supposed to be scared
'Cause you bought your Barbie chain back?
I'll revert to ""Ante Up,"" you'll get your Barbie chain yapped
Tried to front in February, catch you in that Maybach
Show you how to use your name, you be usin' your name wack
I'm sayin', how you mix Nicki with a Minaj?
I'ma park this bitch, put Nicki in the garage
I'm gettin' money like Nicky Barnes, I'm the big homie
I responded in less than 48 Hours; Nick Nolte
Gettin' close like Nick Jonas, grippin' the gauge
Then blaze off, Face Off, bitch, Nicolas Cage
You animated like Nickelodeon, you fake, bitch
Only the kids believe in you; you St. Nick
Now when I shoot Nick at Nite, they won't understand it
I'm Wild'n Out, 'bout to hit Nick with the Cannon
How are you on the VMAs, actin' like you hood?
Way across the stage, talkin' about ""Miley, what's good?""
That's Hannah Montana, she was always happy
You only fronted on Mariah 'cause Mariah don't carry
Tried to disrespect Taylor 'cause Taylor wasn't Swift enough
Pillsbury Doughgirl; Remy pick the biscuit up
I'm jealous? Bitch, you was happy when they took me
Best thing that ever happened to you was when they booked me
You said you never fucked Wayne – how stupid I look, B?
Get the picture, I'll expose you, I'm kind of a bully
You named yourself Nicki Lewinsky, the mind of a rookie
'Cause you was suckin' his dick and now he tired of your nookie
You claimed you never fucked Drake
Now that's where you took me
You fucked the whole Empire – who you tryin' to be, Cookie?
Boogie Down Bronx, I come out of the Boogie
To let you know real bitches never lie on their pussy
And stop talkin' numbers, you signed a 360 deal
Through Young Money, through Cash Money, through Republic
Which means your money go through five niggas before you touch it
Any videos, promotions come out of your budget
Endorsements, tour and merchandise, they finger-fuck it
You make, like, 35 cents off of each ducat
I own my masters, bitch, independent
So for every sale I do, you gotta do like ten
Stop comparin' yourself to Jay, you not like him
You a motherfuckin' worker, not a boss like Rem
You're done, them pop chicks ain't get the news yet
Bitch, I pop chicks, yeah, and I'm the new vet
I kill rappers, and you good as dead, bitch
Talkin' shit about me to a deaf bitch
And usually I have sympathy for the impaired
But not when you hard of hearin' from untreated gonorrhea
But you point your fingers at me? I’m the bad girl
When she the one out here misleadin' the black girls?
All these fake-asses influenced by that girl
Dyin' from botched surgeries – what a sad world!
But before the butt job, you was a Spongebob
Suckin' cock for records, captain of the cum squad
And I got a few words for the moms of the young Barbz
Guess who supports a child molester? Nicki Minaj
You paid for your brother’s wedding? That’s hella foul
How you spendin' money to support a pedophile?
He a walkin' dead man, sendin' threats to him
I guess that’s why they call you Barbie, you was next to Ken
Talkin’ about your money long and your foreign sick
Why you ain’t help your bro hide his cum from forensics?
You probably somewhere overseas, foreign sick
Thought you could fuck with me, by far Rem sick
Meek, Drake, Safaree, I see men in your pants
We call that Jelani, get it? Semen in your pants
Uh, I got trigger fingers, you got bitter fingers
Yeah, you must think you Drake and I'm Twitter fingers
VH1, watch this
You just got bodied by a Love & Hip-Hop bitch

Don't ever in your fuckin' life play with me
That's on the set!
You tried it on the Rae Sremmurd record
You tried it on your little freestyle
They was both duds, just like every other one was duds
Just like this last one was a dud
But what you not gonna do is keep subbin' me
Big… Pun!
I send a fuckin' headshot, you dead, bitch!
Will not lose!",https://genius.com/Remy-ma-shether-lyrics
Wake Me Up,"7 Winters, 6 Summers",2017.0,"If Peter Piper pecked 'em, I bet you Remy duffed 'em
I told you not to touch 'em, it's not up for discussion!
All my clothes is custom, straight from France
My hands like Mayweather's, all my friends 8 and better!
I get a, lot of money, honey
Queen Bitch, inf beam bitch
Body a guy for my guy make you a meme bitch
I'm his dream bitch
Mean bitch, take one for the team bitch!

Wake me up, mmm, when the mornin' come
You bitches ain't humble 'nough
Mmm, when the mornin' come
Mmm, when the mornin' come!
Wake me up, mmm, when the mornin' come
Mmm, when the mornin' come
Mmm, when the mornin' come
These fake-ass bitches is done
So wake me up early!

I'm rich, I'ma stay that bitch!
You fake-ass bitch, you owe homage, pay that shit!
Spray that fif', the crown, I'ma take that shit
'Cause you a clown and Homey don't play that shit!
See, they ain't slick, be talkin' all cray and shit
And then you see 'em, they be like that they ain't say that shit!
I hate that shit, I can make or break your shit
See, I got options, don't make me weigh them shits!
I heard he lay that dick, you let him filet that fish
You just met him, how he bae that quick?
I'll say it to your face, don't gotta relay that shit
If Nick-ole a Kid-man, OJ that bitch!
Take that trip, get money, make that lick
Take your pick; that's your set, claim that clique!
Bitch, you so thirsty, obey that shit
If that's your dog, I suggest you go train that bitch!

Wake me up, mmm, when the mornin' come
You bitches ain't humble 'nough
Mmm, when the mornin' come
Mmm, when the mornin' come!
Wake me up, mmm, when the mornin' come
Mmm, when the mornin' come
Mmm, when the mornin' come
These fake-ass bitches is done
So wake me up early!

Kimmy B don't trust 'em, I bet you Remy bust
Got these niggas on lock, but we never cuff!
If Kimmy B don't trust 'em, I bet you Remy bust
Got these niggas on lock, but we never cuff!
If Queen Bee don't trust 'em, I bet you Remy bust
Got these niggas on lock, but we never cuff!
If Queen Bee don't trust 'em, I bet you Remy bust
Got these niggas on lock, but we never cuff!

Wake me up, mmm, when the mornin' come
You bitches ain't humble 'nough
Mmm, when the mornin' come
Mmm, when the mornin' come!
Wake me up, mmm, when the mornin' come
Mmm, when the mornin' come
Mmm, when the mornin' come
These fake-ass bitches is done
So wake me up early!",https://genius.com/Remy-ma-wake-me-up-lyrics
Another One,UnKnown,2017.0,"Funkmaster Flex night
Funkmaster Flex, Funkmaster Flex, Funkmaster Flex
Remy, not another one
Why?
Oh man, oh man, oh man, not again
Rem!

I guess you know now who the head bitch is
I'm a savage, I be killin' dead bitches
I bet you wish that you ain't never said shit
Now they so busy shootin' videos and I'm like nah
Where the fuck is your song? I mean, come on
You know the pub want some bars, I'm Remy Ma-
-Rgarito, I ain't sparrin' with you bozos
My raps too hard and you Miguel Cotto, uh
I swear to God, this chick a real fraud
Bet you wonderin' how I know your problems?
It's a lot of people that you really bothered
They was sellin' footage and you know I bought it
This ain't a little L, wait, wait
You took a Big L, you diggin' in the crates, yeah
I put you on the bench, you really press
She was absent, an automatic F
Waited four days, ma,  where you been?
I came here in the 'Rari playin' Lil' Kim
Don't know what made you think that you could fuck with Rem
But I guess this is what I gotta do to make ya spit

Already took a L, now you got another one
I secure the bag, now I got another one
I caught the W, now I got another one
Yo, what's that shit you be sayin', Khaled?
(Another one)
Already took a L, now you got another one
I secure the bag, now I got another one
I caught the W, now I got another one
Yo, what's that shit you be sayin', Khaled?
(Another one)

Heard you callin' everyone
Now call 'em back, 'cause I got another one
Heard you was kiddin', sayin' I ain't havin' none
But that's okay baby, 'cause now you my son
They like, ""Yo, Rem go in again""
My flow cold, her ink froze in the pen
You gotta go, you gotta go, lil hoe
I kick a dead horse till it don't move
Don't come around me, now I got the crown, see
I beat you with punches in 48, you Ronda Rousey
The wigs and nose, you a whole clown, B
I better not ever hear you say anything about me
I came from behind bars like a bottle girl
No candy bars, I raise the bar, I'm like a bodybuild
All blue Maserati, sawed-off lil shottie
Put blood in your head, leave your whole damn head red, Lil Yachty
Oh, and if you doubt that, you can catch me outside, bitch, how bout that?
When it's dark and hell is hot, I'll DM your ex
Sittin' here now like, ""Who I'ma DM next?""
I handle these bars like a BMX, Grrr
Get at me dog, DMX
And I'm waitin' for a bitch to talk outta her neck
'Cause we got pictures, we got videos, and we got texts

Already took a L, now you got another one
I secure the bag, now I got another one
I caught the W, now I got another one
Yo, what's that shit you be sayin', Khaled?
(Another one)
Already took a L, now you got another one
I secure the bag, now I got another one
I caught the W, now I got another one
Yo, what's that shit you be sayin', Khaled?
(Another one)",https://genius.com/Remy-ma-another-one-lyrics
Conceited,There’s Something about Remy: Based on a True Story,2006.0,"See this ain't nothin that you used to
Out of the ordinary and unusual
You gotta have the mind state like I'm so great
And can't nobody do it like you do
Miraculous, phenomenal
And ain't nobody in here stoppin' you
Show no love, cause you's wassup
Look in the mirror, like what the fuck
Damn, I look good
And can't nobody freak it like I could
Yeah, okay, I got a little fat butt
My shorty tell me he like it like that
I'm happy, another me there never can be
See, I'm so outstanding
Don't care if they can't stand me
I'm sittin on top of the world like Brandy

See I look too good for this necklace
And I look too good to be wearin' this
You know I look way too good to be innocent
I'm conceited, I got a reason
See I look too good to be drivin' that
And I look too good to be buyin' that
You know I look way too good to be tryin' that
I'm conceited, I got a reason

Now who's that peekin' in my window
Nobody cause I live in a penthouse
Baby I'm sorry, but I'm sexy
And all I want you to do is just bless me, let's see
This kid that I'm waitin' on
He said he love when my jeans look painted on
With this tight white tee, you ain't quite like me
Probably why I'm always gettin' hitted on
Now shorty tryin' to 
push up on me like a wonder bra
Listen when I speak, I wouldn't want you to take it wrong
Now, number one, I don't need you
Your name's Q, I only see ""u"" when I see you
Listen, two, you could never play me (why's that)
Cuz I'm such a fuckin' lady
Three, it's all about me
I don't wanna talk about it
If you'd like to hear it, here it go
I wrote a song about it

See I look too good to be fuckin' you
And I look too good to be lovin' you
You know I look way too good to be stuck with you
I'm conceited, I got a reason
See I look too good to be gettin whipped
And I look too good to be havin' kids
You know I look way too good to be in a crib
I'm conceited, I got a reason

Oh, I know what I'm doin'
I can't stop my body from movin'
I'm boppin' and poppin' to the music
He keeps watchin' me and he's about to lose it
I'm droppin' it hotter then the ?????
""Face Down, Ass Up,"" on some Luke
 shit
I'm outta control wit it, dip it low, pick it up slow
Poke it out, now roll wit it
My thong showin', but it's cool, my shoes go wit' it
Now all I need is a room wit a pole in it
See I look good and I'm knowin' it
And I was never too proud to be showin' it",https://genius.com/Remy-ma-conceited-lyrics
Company,"7 Winters, 6 Summers",2018.0,"Baby, what you want from me?
I been gettin' money, I could really put you on your feet
I was gettin' one visit, two phone calls, three showers a week
Now I get like 90K for my voice just to touch the beat, but yo
I will never ask you what you got for me
I just want some sloppy, every couple days I want the D
I don't need no E, I got some M's and now I got a G
Can't explain the nueva, boy, it's somethin' you gotta see, but yeah

She just want good vibes, she just need company (company)
She don't go outside unless she come for me (come for me)
V12 in my 'rari, who's catchin' up to me
My baby said goodbye, now she don't fuck with me
I ain't got no time for her, she tired of me (tired of me)
Fuckin' with my mind, she tellin' lies to me (lies to me)
Lately I been runnin' out of company
My baby said goodbye, now she don't fuck with me

Yeah, see, I'm a real bitch, real niggas fuck with me
If I ain't send for you, bitch, then don't come for me
Yeah, I'm gettin' money, hoe, I'm livin' comfortably
You not a G and took a L, why? 'Cause you ugly
I'm petty, it's fun to me, are you done? You dumb to me
I be laughin', all these chicks is Jackson, they a dub to me
I just bought another house, so now that makes that number 3
Now they call me marathon, because I really run the streets, yeah

He just want good vibes, she just need company (company)
He don't go outside unless he come for me (come for me)
V12 in my 'rari, who's catchin' up to me
My baby said goodbye, now he don't fuck with me
I ain't got no time for him, he tired of me (tired of me)
Fuckin' with my mind, he tellin' lies to me (lies to me)
Lately I been runnin' out of company
My baby said goodbye, now he don't fuck with me, yeah

Baby, what you want from me?
I can put you on, yeah, I can put you where you wanna be
I ain't had no job, no 9 to 5, no, I was up the street
Now I got that guap, now I'm a problem, I'm a fuckin' beast
But wait, she just want good vibes, she just want company
She just wanna wear my diamond chain so they can know that's me
Every time she pull up in that V12, yeah, they know that's me
She just scratched my whip, she said I'm fucked up, now that she's over me

She just want good vibes, she just need company (company)
She don't go outside unless she come for me (come for me)
V12 in my 'rari, who's catchin' up to me
My baby said goodbye, now she don't fuck with me
I ain't got no time for her, she tired of me (tired of me)
Fuckin' with my mind, she tellin' lies to me (lies to me)
Lately I been runnin' out of company
My baby said goodbye, now she don't fuck with me

Baby, what you want from me?
I can put you on, yeah, I can put you where you wanna be
I was gettin' one visit, two phone calls, three showers a week
Now I got that guap, now I'm a problem, I'm a fuckin' beast
But wait I will never ask you what you got for me
She just wanna wear my diamond chain so they can know that's me
I don't need no E, I got some M's and now I got a G
She just scratched my whip, she said I'm fucked up, now that she's over me

She just want good vibes, she just need company (company)
She don't go outside unless she come for me (come for me)
V12 in my 'rari, who's catchin' up to me
My baby said goodbye, now she don't fuck with me
I ain't got no time for her, she tired of me (tired of me)
Fuckin' with my mind, she tellin' lies to me (lies to me)
Lately I been runnin' out of company
My baby said goodbye, now she don't fuck with me",https://genius.com/Remy-ma-company-lyrics
Melanin Magic (Pretty Brown),"7 Winters, 6 Summers",2018.0,"Pretty brown eyes
You know!

I got that up north glow, body lookin' like cinnamon
I'm runnin' shit right now, I think I pulled a ligament
Fashion killer, Alaïa assassin
Vetements villain, Balenciaga bastard
Got that melanin magic, brown skin poppin'
Always fly, I stay in a cockpit
I want it, I cop it, opened the door, then locked it
Every time Remy touch the city, stop it

You're my pretty brown eyes
They all on ya and they want you
I know they need you in they life
But you my vibe tonight and I love you, oh
Baby, don't try to act like you ain't been texting me
Saying what you wanna know
With them pretty brown thighs
Between your legs tonight is what I wanna do

I'm a real writer, rap crown taker
Ass so soft because it's not faker
I can show you how to move in a room full of hoe bitches
He met me and now he don't even know bitches
I see, you be on IG
I'm thick, you sick, damn, you need an IV
Show me your ID 'cause I don't know you chicks
You scared of heights 
(no?)
Well then jump off my dick

You're my pretty brown eyes
They all on ya and they want you
I know they need you in they life
But you my vibe tonight and I love you, oh
Baby, don't try to act like you ain't been texting me
Saying what you wanna know
With them pretty brown thighs
Between your legs tonight is what I wanna do

You know I don't care, bring that ass right here for me
Take it all off for me, baby, lemme see somethin'
I know you the best for me, you're a real winner
Baby girl, you bad as fuck, I'm a real nigga
You know, you know, that I'll always be there for you
Won't let you go, I'll always take care of you
Because you're mine, pretty brown eyes

You're my pretty brown eyes
They all on ya and they want you
I know they need you in they life
But you my vibe tonight and I love you, oh
Baby, don't try to act like you ain't been texting me
Saying what you wanna know
With them pretty brown thighs
Between your legs tonight is what I wanna do",https://genius.com/Remy-ma-melanin-magic-pretty-brown-lyrics
Always,I’m Around,2014,"One look in your eyes and there I see just what you mean to me
Realize that being single ain’t all what it seem to be
Been around the while and I see the scenery
But when I go to bed at night is you that I want sleep with me
Here in my heart I truly not for nothing do believe
I don’t need shelter, don’t need water, don’t need food to eat
I don’t need clothes, I don’t need sleep, I don’t need air to breathe
For me to live your love’s the only thing I ever need

And you ain’t never sleeping around right? (Right)
You never treat me like a clown right? (Right)
You ain’t never try to play me
You my daddy I’m your baby
I’m your queen I got the crown right? (Right)
But you gonna always be around right? (Right)
You gonna always help me down right? (Right)
You gonna always really love me
You won’t put no one above me
I’m your queen I got the crown right? (Right)

I look in your eyes there I see what happiness really means
The love we share together makes us sweet as jellybeans
Together forever yes 24 is you and me
Just call us after A ‘cause we will always be
This our love feels so right I know that it can’t be wrong
This how I feel inside nah this just ain’t a song
If they say infinity, I say that it is
They say they couldn’t be alright because we are still going strong

:
When I look in your eyes there I see all that love should really be
There’s no facade with us, you’re really you I’m really me
I need you more and more each day your going’s a vacancy
There’s nothing on this planet that can take you away from me
You’re forever mine, and I’m forever yours
They should have never said never we gonna weather the storm
We’re like that raven in that poem, we forever more
Our love got different meanings, we a metaphor",https://genius.com/Remy-ma-always-lyrics
Hands Down,UnKnown,2015.0,"Doors up, doors down
When I’m in the club, bitch, it's going down
Shorty thick as fuck, hands down
Hands up, pants down
Down, down, shorty fucking head down
I see my phone blowing up, I know it’s going down
Once I busted at the rapper, then it hit the town
Chiefin' numbers in the city, boy, it going down

Niggas stand up, chicks stand down
Cuz its bad bitches on deck when I'm around
You see this nigga rich as fuck, hands down
He throw bands up and bands come down
(yeah)This dude be spending cash down
I heard that he be tricking, but the nigga ain't a clown
He usually do the redbone, tonight he want a brown
He said the pussy so live these other bitches dead now
Cuz when we laid up I lay it down
When he in the pussy nigga swear he bout to drown
Yeah, it be wet as fuck ,hands down
With the legs up or with the legs down
Tell them niggas!


Doors up, doors down
When I’m in the club, bitch, it's going down
Shorty thick as fuck, hands down
Hands up, pants down
Down, down, shorty fucking head down
I see my phone blowing up, I know it’s going down
Once I busted at the rapper, then it hit the town
Chiefin' numbers in the city, boy, it going down

Post lil homie bond, now watch him do the Shmurda dance
The cut a nigga yard that shit went down to 30-grand
Fuck with Shaka Zulu in dem in Zimbabwe
Fat boy, got 40 foreign's in the driveway
A hundred bands in the back a make her recognize
I never ask her name until we fuck a second time
Standing still diamonds dancing in the summertime
We all got ? coming down
She be in my double R and I'm just runnin round
That body boy punching bag and boy I run the South
Bullet wounds all in his back or we gone gun you down
Buying all the highest rises while the numbers down


Doors up, doors down
When I’m in the club, bitch, it's going down
Shorty thick as fuck, hands down
Hands up, pants down
Down, down, shorty fucking head down
I see my phone blowing up, I know it’s going down
Once I busted at the rapper, then it hit the town
Chiefin' numbers in the city, boy, it going down",https://genius.com/Remy-ma-hands-down-lyrics
Feels So Good,There’s Something about Remy: Based on a True Story,2006,"We up in this room (yea)
And I'm puttin it down on you (mmm)
Now your pushin back at me
And I don't want to let you leave
But baby girl you feel (so good)
Little mama that thing is (so good)
Girl the way that you movin (so good)
I wanna do it again do it again (so good)

Stop actin crazy I'mma keep it real
See I just need some one that gives me something I could feel
Have a little small talk and a night on the town
It could all be yours if you go another round
Dont wanna lose you in it cause the groove is in it
But it really don't matter long as you be in it
Boo what's gotten in to you? - I told you I got a interview
But you wanna get intimate - why you tryna get in to it?

Baby I know you got moves to make
But you ain't leavin' 'til I get another taste
I ain't ashamed to say you got a nigga open babe
And I'mma need some more before you get away (ooooh)


Yea you pushin' further and I'm seeing that you lovin it
I'm pushin back and got you callin out my government
Like reminisce - I'm really feelin this
And I don't like to kiss, but I really like ya lips
See I'm tryna hold it but I can't control it
My mind is tellin me stop but my body it keeps goin
You want me to stay and I wish I could
Another day but tell me why I should
 + 

So good you can't even keep your hands off
So good you feel you need to go and put ya mans on
You got ya blackberry off and your phone vibratin
And all you wanna know is why my legs keep shakin
See we both grown and I know when the feel is right
And wat you sayin is makin me wanna spend the night
And now I'm focused and I'm open cause ya noticed me
And I was hoping you'd say, ""Can I take you home with me?""

 - 2X",https://genius.com/Remy-ma-feels-so-good-lyrics
Mask Off (Freestyle),UnKnown,2017.0,"Murder next, who Imma murder next
Murder next, who Imma murder next
Maybe her, nah, she ain't worth it yet
I burned you, your new name is Burnadette
Blast off, fuck it, blast off
Blast off, fuck it, blast off
Murder next, who Imma murder next
Burner spec, head shot, jerk her neck

Pulled up, riding in the Range
You know you winning when your enemies is gang
Fake models, hoes getting cute
Don't hang yourself, tryna be up in the loop
Red blouses, bangin' like Piru
An animal, welcome to the Bronx zoo
Here's your deposit, I know you gonna sue
Ask about me, won't hesitate to shoot
It's a shame, your whole click lames
Who mans is this?
What set this bitch claim?
New York bitch, red bottom Timberlands
Blood on 'Em, we ain't never gon be friends again

Murder next, who Imma murder next
Murder next, who Imma murder next
Maybe her, nah, she ain't worth it yet
I burned you, your new name is Burnadette
Blast off, fuck it, blast off
Blast off, fuck it, blast off
Murder next, who Imma murder next
Burner spec, head shot, jerk her neck

I spit cracks
I'm such a damn fiend
Don't be the next contested on that Summer Jam screen
I'm Latifah in Set it Off with that mask off in the bank
Squeezing that woo-wop, I'm not Guwop
But I keep it Gucci, you fake
You a cop, yeah, you jake
This inmate versus C.O
This nightstick vesus ice pick
It's parolee versus P.O
It's handcuffs vesus can tops
It's code D versus V.O
You a half zip, I'm a kilo
You DayDay, I'm Deebo
I blow loud in blunt wraps
You sniff coke off a C-note
I'm Steph curry on a 3 point
You Lebron James on a free throw
Ain't no way, no way
You fucking with me tho
You dead wack, get your head cracked
4, 5, 6, bitch Cee-Lo
Ain't no way, no way
You fucking with me tho
You dead wack, get your head cracked
4, 5, 6, bitch Cee-Lo

Murder next, who Imma murder next
Murder next, who Imma murder next
Maybe her, nah, she ain't worth it yet
I burned you, your new name is Burnadette
Blast off, fuck it, blast off
Blast off, fuck it, blast off
Murder next, who Imma murder next
Burner spec, head shot, jerk her neck",https://genius.com/Remy-ma-mask-off-freestyle-lyrics
