title,album,year,lyrics,urls
It’s Tricky,Raising Hell,1987.0,"This speech is my recital, I think it's very vital
To rock (a rhyme), that's right (on time)
""It's Tricky"" is the title, here we go...

It's Tricky to rock a rhyme, to rock a rhyme that's right on time
It's Tricky... it's Tricky (Tricky) Tricky (Tricky)
It's Tricky to rock a rhyme, to rock a rhyme that's right on time
It's Tricky... Tr-tr-tr-tricky (Tricky) Trrrrrrrrrrricky

I met this little girlie, her hair was kinda curly
Went to her house and bust her out, I had to leave real early
These girls are really sleazy, all they just say is please me
Or spend some time and rock a rhyme, I said ""It's not that easy""

It's Tricky to rock a rhyme, to rock a rhyme that's right on time
It's Tricky... (How is it D?) It's Tricky (Tricky) Tricky (Trrrrrricky)
It's Tricky to rock a rhyme, to rock a rhyme that's right on time
It's Tricky... Tricky (Tricky) Tricky

In New York, the people talk and try to make us rhyme
They really (hawk) but we just (walk) because we have no time
And in the city, it's a pity 'cause we just can't hide
Tinted windows don't mean nothin', they know who's inside

It's Tricky to rock a rhyme, to rock a rhyme that's right on time
It's Tricky... (How is it D?) Tricky (Tricky) Tricky (Tricky)
It's Tricky to rock a rhyme, to rock a rhyme that's right on time
It's Tricky... Tricky (Tricky) Tricky (Tricky) huh!

When I wake up people take up mostly all of my time
I'm not singin', phone keep ringin' cause I make up a rhyme
I'm not braggin', people naggin' cause they think I'm a star
Always tearin' what I'm wearin', I think they're goin' too far
A girl named Carol follows Darryl every gig we play
Then D dissed her and dismissed her, now she's jockin' Jay
I ain't lyin', girls be cryin' cause I'm on TV
They even bother my poor father cause he's down with me

It's Tricky to rock a rhyme, to rock a rhyme that's right on time
It's Tricky... (How is it?) Tricky (Tricky) Tricky (Tricky)
It's Tricky to rock a rhyme, to rock a rhyme that's right on time
It's Tricky... Tr-tr-tr-tr-tr-tricky (Tr-Tr-Tr-Tricky) Tr-tr-tr...

We are not thugs (we don't use drugs) but you assume (on your own)
They offer coke (and lots of dope) but we just leave it alone
It's like that y'all (y'all), but we don't quit
You keep on (rock!) shock 'cause this is it...",https://genius.com/Run-dmc-its-tricky-lyrics
Walk This Way,Raising Hell,1986.0,"Now there's a backseat lover, that's always undercover
And we talk 'til my daddy say
Said you ain't seen nothing, 'til you're down on a muffin
And there's sure to be a change in ways
Now there's a cheerleader, that's a real big breeder
As far as I can reminisce
But the best thing of loving, was her sister and her cousin
And it started with a little kiss, like this!

See-saw swinging, with the boys in school
And her feet are just fly up in the air
Singing, ""Hey diddle diddle with a kitty in the middle""
And they swinging like it just didn't care
So I took a big chance, at the high school dance
With a lady who was ready to play
It wasn't me she was foolin' 'cause she knew what was she was doin'
When she told me how to walk this way!
She told me to

Walk this way, talk this way
Walk this way, talk this way (She told me to)
Walk this way, talk this way
Walk this way, talk this way
Well just gimme a kiss
Ooh, like this!

School girl sleazy with a classy kind of sassy
Little skirt hanging way up her knee
It was three young ladies, in the school gym locker
And they find they were looking at D
I was high school loser, never made it with a lady
'Til the boys told me something I missed
That my next door neighbor had a daughter, had a favor
So I gave the girl a little kiss, like this

See-saw swinging with the boys in the school
With her feet flying up in the air
Singing, ""Hey diddle diddle, with a kitty in the middle""
I was swinging like I didn't care
So I took a big chance at the high school dance
With a missy who was ready to play
Wasn't me she was foolin' when she knew what she was doin'
When she told me how to walk this way
She told me to

Walk this way, talk this way
Walk this way, talk this way (She told me to)
Walk this way, talk this way
Walk this way, talk this way
Well just gimme a kiss",https://genius.com/Run-dmc-walk-this-way-lyrics
Peter Piper,Raising Hell,1986.0,"Now Peter Piper picked peppers, but Run rocked rhymes
Humpty Dumpty fell down, that’s his hard time
Jack B. Nimble was nimble and he was quick
But Jam Master cut faster, Jack’s on Jay’s dick
Now Little Bo Peep cold lost her sheep
And Rip van Winkle fell the hell asleep
And Alice chilling somewhere in Wonderland
Jack’s serving Jill a bucket in his hand
And Jam Master Jay’s making all that sound
The turntables might wobble, but they don’t fall down

Now Dr. Seuss and Mother Goose both did their thing
But Jam Master’s getting loose and D.M.C.’s the king
Cause he’s adult entertainer, child educator
Jam Master Jay king of the crossfader
He’s the better of the best, best believe he’s the baddest
Perfect timing when I’m climbing I’m a rhyming apparatus
Lot of guts, when he cuts, girls move their butts
His name is Jay, hear the play, he must be nuts
And on the mix real quick and I’d like to say
He’s not Flash, but he’s fast and his name is Jay

It… it goes a one, two, three, and…

Jay’s like King Midas as I was told
Everything that he touched turned to gold
He’s the greatest of the greater, get it straight, he’s great
Playing fame cause his name is known in every state
His name is Jay, to see him play, will make you say
“God damn that DJ made my day”
Like the butcher, the baker, the candlestick maker
He’s a maker, a breaker, and a title taker
Like the little old lady who lived in a shoe
If cuts were kids he would be due
Not lying, y’all, he’s the best I know
And if I lie my nose will grow
Like a little wooden boy named Pinocchio
And you all know how the story go

Tricks are for kids, he plays much gigs
He’s a big bad wolf and you’re the three pigs
He’s a big bad wolf in your neighborhood
Not bad meaning bad, but bad meaning good

There it is

We’re Run-D.M.C., got a beef to settle
D’s not Hansel, he’s not Gretel
Jay’s a winner, not a beginner
His pockets get fat, others get thinner
J-j-j-j-j… jump on Jay like cows jump moons
People chase Jay like dish and spoon
And like all fairy tales end
You’ll see Jay again my friend, huh!",https://genius.com/Run-dmc-peter-piper-lyrics
My Adidas,Raising Hell,1986.0,"My Ahhh-didas, walk through concert doors
And roam all over coliseum floors
I stepped on stage, at Live Aid
All the people gave, and the poor got paid
And out of speakers I did speak
I wore my sneakers but I'm not a sneak
My Adidas touch the sand of a foreign land
With mic in hand, I cold took command
My Adidas and me close as can be
We make a mean team, my Adidas and me
We get around together, we down forever
And we won't be mad when caught in bad weather
My Adidas... my Adidas...
Yo, whassup?

My Ahhh-didas, standin on two fifth street
Funky fresh and yes cold on my feet
With no shoestring in 'em, I did not win 'em
I bought 'em off the ave. with the black Lee denim
I like to sport 'em, that's why I bought 'em
A sucker tried to steal 'em so I caught 'em and I fought 'em
And I walk down the street, and bop to the beat
With Lee on my legs and Adidas on my feet
And so now I'm just standin here shootin the gip
Me and D and my Adidas standing on two fifth
My Adidas... my Adidas...

Nowwwww - me and my Adidas do the illest things
We like to stomp out pimps with diamond rings
We slay all suckers who perpetrate
And lay down law from state to state
We travel on gravel, dirt road or street
I wear my Adidas when I rock the beat
On stage front page, every show I go
It's Adidas on my feet, high top or low
My Adidas... my Adidas...

Now the Adidas I possess for one man is rare
Myself homeboy got 50 pair
Got blue and black, cause I likes to chill
And yellow and green when it's time to get ill
Got a pair that I wear when I'm playin ball
With the heel inside, make me 10 feet tall

My Adidas, only bring good news
And they are not used as felon shoes
They're black and white, white with black stripes
The ones I like to wear when I rock the mic
On the strength of our famous university
We took the beat from the street and put it on TV
My Adidas are seen on the movie screen
Hollywood knows we're good if you know what I mean
We started in the (alley) now we chill in (Cali)
And I won't trade my Adidas for no beat up Bally's
My Adidas...",https://genius.com/Run-dmc-my-adidas-lyrics
It’s Like That,Run-D.M.C.,1983.0,"Unemployment at a record high
People coming, people going, people born to die
Don't ask me, because I don't know why
But it's like that, and that's the way it is

People in the world tryin to make ends meet
You try to ride car, train, bus, or feet
I said you got to work hard, you want to compete
It's like that, and that's the way it is
Huh!

Money is the key to end all your woes
Your ups, your downs, your highs and your lows
Won't you tell me the last time that love bought you clothes?
It's like that, and that's the way it is
Bills rise higher every day
We receive much lower pay
I'd rather stay young, go out and play
It's like that, and that's the way it is
Huh!
Wars going on across the sea
Street soldiers killing the elderly
Whatever happened to unity?
It's like that, and that's the way it is
Disillusion is the word
That's used by me when I'm not heard
I just go through life with 
my glasses blurred
It's like that, and that's the way it is
Huh!
You can see a lot in this lifespan
Like a bum eating out of a garbage can
You noticed one time he was your man
It's like that (what?) and that's the way it is
You should have gone to school, you could've learned a trade
But you laid in the bed where the bums have laid
Now all the time you're crying that you're underpaid
It's like that (what?) and that's the way it is
Huh!
One thing I know is that life is short
So listen up homeboy, give this a thought
The next time someone's teaching why don't you get taught?
It's like that (what?) and that's the way it is
If you really think about it times aren't that bad
The one that flexes with successes will make you glad
Stop playing start praying, you won't be sad
It's like that (what?) and that's the way it is
Huh!
When you feel you fail sometimes it hurts
For a meaning in life is why you search
Take the bus or the train, drive to school or the church
It's like that, and that's the way it is
Here's another point in life you should not miss
Do not be a fool who's prejudiced
Because we're all written down on the same list
It's like that (what?) and that's the way it is
Huh!
You know it's like that, and that's the way it is
Because it's like that, and that's the way it is
(Repeat these lines til fade)",https://genius.com/Run-dmc-its-like-that-lyrics
Christmas in Hollis,Tougher Than Leather,1987.0,"It was December 24th on Hollis Ave after dark
When I seen a man chilling with his dog in the park
I approached him very slowly with my heart full of fear
Looked at his dog, oh my God, an ill reindeer
But then I was illin' because the man had a beard
And a bag full of goodies, 12 o'clock had neared
So I turned my head a second and the man was gone
But he left his driver's wallet smack dead on the lawn
I picked the wallet up but then I took a pause
Took out the license and it cold said ""Santa Claus""
A million dollars in it, cold hundreds of G's
Enough to buy a boat and matching car with ease
But I'd never steal from Santa, cause that ain't right
So I'm going home to mail it back to him that night
But when I got home I bugged, cause under the tree
Was a letter from Santa and the dough was for me

It's Christmas time in Hollis, Queens
Mom's cooking chicken and collard greens
Rice and stuffing, macaroni and cheese
And Santa put gifts under Christmas trees
Decorate the house with lights at night
Snow's on the ground, snow white so bright
In the fireplace is the yule log
Beneath the mistletoe as we drink eggnog
The rhymes you hear are the rhymes of Darryl's
But each and every year we bust Christmas carols
(Christmas melodies)

Rhymes so loud and proud you hear it
It's Christmas time and we got the spirit
Jack Frost chillin', the hawk is out
And that's what Christmas is all about
The time is now, the place is here
And the whole wide world is filled with cheer

My name's D.M.C. with the mic in my hand
And I'm chilling and coolin' just like a snowman
So open your eyes, lend us an ear
We want to say

Merry Christmas and Happy New Year!",https://genius.com/Run-dmc-christmas-in-hollis-lyrics
Sucker M.C.’s,Run-D.M.C.,1983.0,"Two years ago, a friend of mine
Asked me to say some MC rhymes
So I said this rhyme I'm about to say
The rhyme was Def a-then it went this way
Took a test to become an MC
And Orange Krush became amazed at me
So Larry
 
put me inside his Cad-illac
The chauffeur drove off 
and we never came back
Dave cut the record down to the bone
And now they got me rockin on the microphone
And then we talkin autograph, and cheers and laugh
Champagne caviar, and bubble bath
But see ahh, ah that's the life, ah that I lead
And you sucker MC's is who I please
So take that and move back catch a heart attack
Because there's nothin in the world, that Run'll ever lack
I cold chill at a party in a b-boy stance
And rock on the mic and make the girls wanna dance
Fly like a Dove, that come from up above
I'm rockin on the mic and you can call me Run-Love

I got a big long Caddy not like a Seville
And written right on the side it reads 'Dressed to Kill'
So if you see me cruisin girls just a-move or step aside
There ain't enough room to fit you all in my ride
It's on a, ah first come, first serve basis
Coolin out girl, take you to the def places
One of a kind and for your people's delight
And for you sucker MC, you just ain't right
Because you're bitin all your life, you're cheatin on your wife
You're walkin round town like a hoodlum with a knife
You're hangin on the ave, chillin with the crew
And everybody know what you've been through

Ah with the one two three, three to two one
My man Larry Larr
, 
my name DJ Run
We do it in the place with the highs and the bass
I'm rockin to the rhythm won't you watch it on my face
Go Uptown and come down to the ground
You sucker MC's, you 
sad-faced clown
You a five-dollar boy and I'm a-million dollar man
Youse a sucker MC, and you're my fan
You try to bite lines, but rhymes are mine
Youse a sucker MC in a pair of Calvin Kleins
Comin from the wackest, part of town
Tryin to rap up but you can't get down
You don't even know your English, your verb, or noun
You're just a sucker MC, you sad-faced clown
So D.M.C. and if you're ready
The people rockin' steady
You're drivin big cars get your gas from Getty

I'm D.M.C., in the place to be
I go to St. John's University
And since kindergarten I acquired the knowledge
And after 12th grade I went straight to college
I'm light skinned, I live in Queens
And I love eatin chicken and collard greens
I dress to kill, I love the style
I'm an MC you know who's versatile
Say I got good credit in your regards
Got my name not numbers on my credit cards
I go Uptown, I come back home
With who? me, myself, and my microphone
All my rhymes are sweet delight
So here's another one for y'all to bite
When I rhyme, I never quit
And if I got a new rhyme I'll just say it
Cause it takes a lot, to entertain
And sucker MC's can be a pain
You can't rock a party with the hip in hop
You gotta let em know you'll never stop
The rhymes have to make (a lot of sense)
You got to know where to start (when the beats commence..)",https://genius.com/Run-dmc-sucker-mcs-lyrics
King of Rock,King of Rock,1985.0,"I'm the king of rock, there is none higher
Sucker MCs should call me sire
To burn my kingdom, you must use fire
I won't stop rockin' till I retire
Now we rock the party and come correct
Our cuts are on time and rhymes connect
Got the right to vote and will elect
And other rappers can't stand us, but give us respect
They called us and said we're gettin iller
There's no one chiller
It's not Michael Jackson and this is not Thriller
As one def rapper, I know I can hang
I'm Run from Run-DMC, like Kool from Kool and the Gang
Roll to the rock, rock to the roll
DMC stands for devastating mic control
You can't touch me with a ten foot pole
And I even made the devil sell me his soul
Now we crash through walls, cut through floors
Bust through ceilings and knock down doors
And when we're on the tape, we're fresh out the box
You can hear our sound for blocks and blocks
For every living person we're a verbal treat
It's me and DMC, Jay where's the beat?
Now we're the baddest of the bad, the coolest of the cool
I'm DMC, I rock and roll. I'm DJ Run, I rock and rule
It's not a Trick or Treat and it's not a April Fool
It's all brand new, never ever old school
You got the music in your body and you can't comprehend
When your mind won't wiggle and your knees will bend
Music ain't nothin but a people's jam
It's DJ Run-DMC rockin without a band
Now I walked on ice and never fell
I spent my time in a plush hotel
I stood on many stages, held many mics
Take airplane flights, at huge heights
So all you sucker MC's, you gotta say please
Cause when he jumps high, I'm pulling down ree's
Got a song so strong, it's knocking down trees
Is it hard to believe it's Run-DMC
I am from, around the way
And Run goes to school, every day
And Jay plays the records he has to play
And we get down with no delay, HEY!
I rock the party with the words I speak
And Run says the rhymes that are unique
And Jay cuts the records every day of the week
And we are the crew that can never be beat
So don't try to diss me, try to be my friend
Cause if you do, you'll get yours in the end
The rhymes we say, shall set a trend
Because a devestating rap is what we send
Every jam we play, we break two needles
There's three of us but we're not the Beatles
My name is Darryl, you can call him D
You can call me Darryl Mack, or you can call him DMC
People always ask, ""DMC, what does it mean?""
D's for never dirty, MC for mostly clean
Like we said before, we rock hardcore
I'm DJ Run, I can scratch.
 
I'm DMC, I can draw
And now we got the knack, to attract
Our rhyme's an aphrodisiac
We'll reign on your brain and rock your knot
When it comes to rock, give it all we got
To be MC's, we got what it takes
Let the poppers pop and the breakers break
We're cool cool cats, it's like that
That's the way it is, so stay the hell back
We're causin hard times, for sucker MC's
Cause they don't make no songs like these
PERIOD!",https://genius.com/Run-dmc-king-of-rock-lyrics
Down With the King,Down With the King,1993.0,"Reporters clock, producers jock
They wanna be down with the King!
Producers die, they wanna be down
Wanna be down with the King!

Down with the king for years, about ten of 'em
Recruiting suckers mackin' mic, and makin' men of 'em
Tears and fears for my peers, they rippin'
You think that it is, it is, if not it isn't
Race for the border my daughter, cause beats you're bangin' out
Jeeps rockin' beats in the streets when there's time for hangin' out
Gather, or rather form a circle around a loud
'Cause brothers or others could never ever rock a crowd
Is it because he's runnin' off with the mouth
Or was he really clearly tryin' to play a nigga out
Nope, shut him down, the king with a crown
'Cause all you wanna be is Diggy Down

Down with the king
The king down with the king 
The king

Two years ago, a friend of mine
Asked me to say some MC rhymes
So I said this rhyme I'm about to say
The rhyme was meeca, and it went this way
Recollect a mecca mic check on the windmill skills
Mac distracts,
 
wearing Godfather hats
It's okay to parlay to forte better
Tell 'em my nigga made a sweater tougher than leather
Swing another Rodney King thing and I'll wreck
But just like the white one I get no respect
Money stay awake, 'cause them other niggas are fake
From Hollis to the Beacon, now your dumb ass is leakin'
C.L. and Run D.M.C. so rush it
Big time weight before Hammer got to touch it
Remember the faces in all types of places
Look Ma, no shoelaces
And I'm

Down with the king, the king down with the king
The King down with the king, the king down with the king
The King down with the king, the king down with the king
The King down with the king, the king down with the king
The King

I'm takin' the tours, I'm wreckin' the land
I keep it hardcore because it's dope man
These are the roughest toughest words I ever wrote down
Not meant for a ho like a slow jam, check it
Sucka emcees could never swing with D
Because of all the things that I bring with me
Only G-O-D could be a king to me
And if the G-O-D be in me, then the king I be
The microphone is branded when it's handed to me
I was planted on this planet and I plan to emcee
The emcee fiends only seem to agree
That I rock all the world and the society
Outrageous on the stages with a tune of verse
I give praises from these pages to the universe
My voice is raw, my lyrics is law
I keep it hardcore like you never saw

Down with the king, the king down with the king
The King down with the king, the king down with the king
The King down with the king, the king down with the king
The King down with the king, the king down with the king
The King
Verse 4: 
I'm the man you see, in the place to be
I went to John Jay University
And since kindergarten I acquired the knowledge
And after twelve grade I went straight to college
Down with the kings on the mic, a full swinger
The P to the R, not an R&B singer
The R to the U-N-D-MC'n
The fly human beings, tonight I hold the key and
Flowin' with the funk track, here to soul brother black
Pick up the bass, better yet leave a space
So let me put my big black twinkie on in to the early mornin'
Had skins yawning'
Mecca? (yo) you want the mecca? (yo)
I'll make a funky beat so we can blow, check it out
Pete Rock's the beat knock, put you in a headlock
And now all the outty out flock is down with the king

Down with the king, the king down with the king
The King down with the king, the king down with the king
The King down with the king, the king down with the king
The King down with the king, the king down with the king
The King

Down with the king, the king down with the king
The King down with the king, the king down with the king
The King down with the king, the king down with the king
The King down with the king, the king down with the king
The King Down with the
The King Down with the
The King Down with the
The King Down with the
The King Down with the king",https://genius.com/Run-dmc-down-with-the-king-lyrics
Rock Box,Run-D.M.C.,1984.0,"Run.. (Run..) D.. (D) M.. (M) C.. (C)
Rock.. (rock.. rock..)
For you
! (for you.. for you..)
Fresh (fresh.. fresh..)

[Verse 1: Run, 
D.M.C.
, 
Both
]
For all you sucker MC's perpetratin' a fraud
Your rhymes are cold wack and keep the crowd cold bored
You're the kind of guy that girl ignored
I'm drivin' a Caddy, you fixin' a Ford
My name is 
Joseph Simmons but my middle name's Ward
And when I'm rockin on the mic, you should all applaud
Because we're wheelin', 
dealin,
 
we got a funny feelin'
We rock from the floor 
up the ceilin'
We groove it, 
you move it,
 it has been proven
We calm the savage beast because our music is soothin'
We create it, 
relate it,
 
and often demonstrate it
We'll diss a sucker MC make the other suckers hate it
We're risin', 
suprisin',
 
and often hypnotizin'
We always tell the 
truth and then we never slip no lies in
No curls, 
no braids
 
peasy-head and still get paid
Jam Master cut the record
 up and down and cross-fade

[Verse 2: Run, 
D.M.C.
, 
Both
]
Because the rhymes I say, sharp as a nail
Witty as can be and not for sale
Always funky fresh, could never be stale
Took a test to become an MC and didn't fail
I couldn't wait to demonstrate
All the super def rhymes that I create
I'm a wizard of a
 
word
, 
that's what you heard
And anything else is quite absurd
I'm the master of a mic, that's what I say
And if I didn't say that, you'd say it any
 
way
Bust into the party, come in the place
See the first things come, the music in your face
Girls on the walls, some on the 
floor
With the DJ named Jay with the cuts galore
So listen to this because it can't be missed
And you can't leave til you're dismissed
You can do anything that you want to
But you can't leave
 
until we're through
So relax your
 
body
 
and your mind
And listen to us say this rhyme,
 hey
You might think that you have
 
waited
Long enough til the rhyme was
 
stated
But if it were a test it would be
 
graded
With a grade that's not
 
debated
Nothing too
 deep 
and nothing dense
And all our rhymes make a lot of
 
sense
So move your butt, to the cut
Run amok, you're not in a rut
Each and everybody out there, we got the notion
We want to see y'all all in motion
Just 
shake, wiggle jump up and down
Move your body to the funky sound
Side to side,
 
back and forth
We're the two MC's, and we're gonna go off
Stand in place, walk or run
Tap your feet, you'll be on the one
Just snap your fingers and clap your hands
Our DJ's better than all these bands
HUH!!
{*Jam Master Jay cuts then instrumental breaks down*}
[Verse 3: Run, 
D.M.C.
, 
Both
]
We got all the lines
And all the rhymes
We don't drop dimes
And we don't do
 
crimes
We bake a little cake with Duncan Hines
And never wear the vest they call the Calvin Kleins
'Cause Calvin Klein's no friend of mine
Don't want nobody's name on my behind
Lee on my legs, 
sneakers on my feet
D by my side and Jay with the beat
 - (ad libbing to fade)
Jay Jay Jay Jay Jay Jay..
We don't.. we don't.. we don't stop!
Don't.. don't.. don't.. don't stop! (JAY!)
One.. two.. three..
Hollis Crew.. crew.. crew..
For.. for.. for.. for the love now..
Cool T now..
Hah, ?? ..
My, my man Jam Master..
Is in his place to be.. (JAY! Jay.. Jay.. Jay..)
The big beat blaster..
?? ..
All, the way live..
Re, remember you don't stop..
Kickin it, and you don't stop..
Rrrrrrrrrock, d-dot, d-dot, rock the spot..
Stick em.. and you don't stop, hah..
Run.. rocks it well, we-welle-well..
A-with the clientele..
Krush Groove..
Young ladies in the place..
We, we we're, we we're we're, we we're we're (bass)
We we're in the hottest space..
Ha (ha), 
Cold Crush
, 
so Larry (so Larry)
Homeboys..
Now we're talkin autographs..
Autographs.. and autographs..
Fly girls.. in the place, in the place..
Homeboys..
Hollis Crew
.. {*music fades*}",https://genius.com/Run-dmc-rock-box-lyrics
