title,album,year,lyrics,urls
Losin Control,There’s Really a Wolf,2015.0,"She's falling in love now, losing control now
Fighting the truth, trying to hide
But I think it's alright, girl
Yeah, I think it's alright, girl, ooh
She's falling in love now, losing control now
Fighting the truth, trying to hide
But I think it's alright, girl
Yeah, I think it's alright, girl, ooh

She's falling but she doesn't think he'll catch her
'Cause her last relationship was a disaster
Accusations everyday, she didn't know why
All her calls would be ignored, he's on his own time
Should've ended it before it started
All she ever got was broken hearted
He was cheating on her, trying to flip it
Back on her like a victim
Now she all alone and starting over
Now she got baggage on her shoulder
But the new guy really loves her
She loves him, but she doesn't trust herself anymore

She's falling in love now, losing control now
Fighting the truth, trying to hide
But I think it's alright, girl
Yeah, I think it's alright, girl, ooh
She's falling in love now, losing control now
Fighting the truth, trying to hide
But I think it's alright, girl
Yeah, I think it's alright, girl, ooh

Despite her past, she can't help the attraction
He tells her that he's nothing like the last one
He redefines in every way what love is
She fell for him and hasn't gotten up since
Every now and then, she goes off, though
Beating on his chest like a bongo
He understands she's coming from a hurt place
Answers all the questions on her survey
Doesn't get jealous, doesn't break trust
Doesn't call her, ""Ho"" after hang-ups
Give her everything she ever wanted
And even though she still feels haunted

She's falling in love now, losing control now
Fighting the truth, trying to hide
But I think it's alright, girl
Yeah, I think it's alright, girl, ooh
She's falling in love now, losing control now
Fighting the truth, trying to hide
But I think it's alright, girl
Yeah, I think it's alright, girl, ooh",https://genius.com/Russ-losin-control-lyrics
What They Want,There’s Really a Wolf,2015.0,"Yeah (Ooh)
Yeah (Oh)
They let us in the rap game (Yeah, yeah, yeah, yeah)
I swear they let me in this motherfucking rap game (Mmm, yeah, yeah)

Got a chick, I call her Lola, she feel like the ocean
Like to drink and smoke some doja and I feel like smoking
Plus she good at charming cobras, I feel like I'm chosen
But she ain't the only one, no
Got a chick, I call her Katia, she be acting boujee
Then she came through and topped me off, now she just a groupie
Got the aura of the Mafia, her friends wish they knew me
But they ain't the only ones, no, no

What they want, what they want, what they want
Dollar signs, yeah, I know it's what they want
What they want, what they want, what they want
Y'all ain't fooling me at all, ooh, ooh, ooh, ooh

I been at this shit for nine years, now they start to call
I'm a DIY pioneer, they trying to get involved
Yippee ki-yay, ahh yeah, 'bout to set it off
I'm probably the only one, yeah
Come correct when you approach me, I can size you up
Taking all the shots like Kobe, almost 81
Guess I got to play the goalie and go and save me some
I'm probably the only one, yeah

What they want, what they want, what they want
Dollar signs, yeah, I know it's what they want
What they want, what they want, what they want
Y'all ain't fooling me at all, ooh, ooh, ooh, ooh

Who wants my money? I'll tell you who I don't fuck with
Who's pulling strings? I'm just pointing out all the puppets
What I'm demanding is fucking up all the budgets
I'm smart as fuck, they be talking like I'm the dumbest
But I know what they want from me, dollars, lot of stock in me
It ain't nothing personal, it's business and I'm a commodity
But honestly, Pop Pop would be turning in his grave
The day I let someone else become the boss of me
When there's a boss in me, I'll be damned

What they want, what they want, what they want
Dollar signs, yeah, I know it's what they want
What they want, what they want, what they want
Y'all ain't fooling me at all, ooh, ooh, ooh, ooh

What they want, what they want, what they want
Dollar signs, yeah, I know its what they want
What they want, what they want, what they want
Y'all ain't foolin' me at all",https://genius.com/Russ-what-they-want-lyrics
Goodbye,Pink Elephant,2014.0,"Goodbye, no use leading with our chins
This is where our story ends
Never lovers, ever friends
Goodbye, let our hearts call it a day
But before you walk away
I sincerely want to say
Goodbye, bye
Goodbye!
Goodbye, bye
Goodbye!

You told me that I was crazy
'Til I pulled up on your man and you
You looked like the devil when you waved at me
Bitch, I got something to say to you
Goodbye, bye
Goodbye!

Yeah, I cracked my windshield, lucky that I didn't crack you
Bitch, you're a black hole, sucking me in your vacuum
Yeah, I cracked my windshield, lucky that I didn't crack you
And I'm feeling drunk in this hotel room trying to ask you
'Bout all of your past dudes and why they stay so present
'Cause bitch if I'm the future, then why they in yo' presence?
And if I'm the king and you the queen
Then why you acting like a peasant?
(Why you acting like a peasant?)
I thought that you were gonna tell all of your exes
Goodbye, bye
(Fucked it all up! Stupid!)
Goodbye!

Let me start with Paul, have fun on your farm!
While you counting your chickens
And your goats while you getting dogged
'Cause you think you love Paola
'Cause you went and fucked Paola
But you're just enamored by pussy power
'Cause you never really got it
So when she threw it, yeah, you caught it
And I knew it but I bought it 
and Paul's just your puppy
Better keep him on your leash
'Cause the second that he finally gets some more pussy he's gon' leave
But round of applause for all the losers like Paul!
(That's just one bum you should've told)
Goodbye, bye
Goodbye!
Goodbye!

Yeah, let me name these hoes!
There was Blake, there was Devon, there was Igor, there was Paul
Then I found out you're a prostitute
So there's more names than I recall!
Should've listened to the cops! Should've listened to my pops!
Should've listened to Bugus, man, why did I not?
Because I, I really loved you
Oh, I, I really loved you
But you're a money hungry ho
Guess what I'm saying

You told me that I was crazy
'Til I pulled up on your man and you
You looked like the devil when you waved at me
Bitch, I got something to say to you
Goodbye (Know you fucked this up!), bye
(And I'ma call you from the Grammies, too!)
Goodbye! (Hopefully you pick up, so I can tell you again)
Goodbye-bye-bye!",https://genius.com/Russ-goodbye-lyrics
Psycho (Pt. 2),UnKnown,2016.0,"She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down
She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down

I don't know you, like
I want to so I
Might call you tonight
If I do pick up
I got some gin in me
A hundred bands on me
I'm feelin' myself, yeah
I might say too much

She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down
She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down

I don't know you but I know that you're special
Fuck a verse, fuck a hook, I'll use the whole instrumental
Just to reiterate the commitment I have to explore
Like would you ride it like a horse, like my last name is Lauren
I'm more than interested
Baby, I'm infatuated
You been held back
I'll get you to graduation
Help you with your cash
Steer you clear of tax evasion
Death grips on your ass
I call that assassination
I'm getting carried away
Let's get married today
Fuck
Here I go again like Whitesnake back in the day
I'm crazy and you're crazy too
But I love that shit
You're bad and you're broken too
But I love that shit
Just be open to the possibility of me and you
That's all I ask, I've had the hoes, I've got the cash, now I want you
Just be open to the possibility of me and you
That's all I ask, I've had the hoes, I've got the cash

She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down
She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down

She got me goin' psycho",https://genius.com/Russ-psycho-pt-2-lyrics
Ain’t Nobody Takin My Baby,UnKnown,2016.0,"I don't care about an argument I'll still be here tomorrow
For you
I gotta room up in the city we can play finish the bottle
I'll pour you up, we'll work on us
Cause ain't nobody takin' my baby
I wanna be clear, I'm stayin' right here
Cause ain't nobody takin' my baby

Your heart weighs a ton
Girl watch me heavy lift
How many more times we gon' argue over petty shit
I mess up but shit you mess up too
The way you answer makes me question you
I guess your body ain't the only thing that's flexible
You bend the truth, we lettin' loose, verbal warfare
Open wounds we still poke even tho we know it's sore there
Cause hurt people hurt people, that's a known fact
You got me tempted to say fuck it where my hoes at
But I know that they don't last, that's why I don't go back
I stay put I want you, I don't care I want you

I don't care about an argument I'll still be here tomorrow
For you
I gotta room up in the city we can play finish the bottle
I'll pour you up, we'll work on us
Cause ain't nobody takin' my baby
I wanna be clear, I'm stayin' right here
Cause ain't nobody takin' my baby

It was me and you in love for a quick summer
Now we textin' question marks cause we switched numbers
Lookin' back you were the perfect fit
Didn't let me fuck right away you made me work for it
Use to ride around drunk you brought out the worst in me
Damn I went to jail with you and that was a first for me
Heaven knows that I was hell bent
First time we said we love each other was through cell vents
Guess I should've known then
But I'm stubborn I'll admit that
At least I got some classic rap songs from your mishaps
Shit I ain't perfect though, I stayed what's wrong with me
I'm in love with challenges, girl that's just honesty
No matter what tho I stayed put
Till it wasn't funny anymore like Dane Cook
Out of sync out of touch, I should probably give it up but
I'm a lover not a fighter but I'll fight for what I love

I don't care about an argument I'll still be here tomorrow
For you
I gotta room up in the city we can play finish the bottle
I'll pour you up, we'll work on us
Cause ain't nobody takin' my baby
I wanna be clear, I'm stayin' right here
Cause ain't nobody takin' my baby",https://genius.com/Russ-aint-nobody-takin-my-baby-lyrics
Pull the Trigger,There’s Really a Wolf,2015.0,"[Intro: Russ & 
Francesca Frame
]
Yeah, eh, ah, nothing
Pull the trigger, ain't nobody gonna do it for you
Pull the trigger
Maybe, you should pull the fuckin' trigger

Pull the trigger, ain't nobody gonna do it for you
Pull the trigger, don't hesitate, just shoot

Yeah, why you believin' the propaganda?
Why everybody sound like they wanna be from Atlanta?
Are you the voice or the echo?
Are you the nail or the hammer?
I be talkin' while chewin' my beats, I don't mind my manners
Choruses that fit the opera, that's why I need phantoms
I got my doubt at gun point, that's why I need ransoms
And I be handsome, that's why I got your girl before the money
Honestly, I thought I'd have 30m's before my twenties
But I'm cool with how it's happenin'
Girl in San Fran. who wants to cross routes with me
Like a young Colin Kaepernick
Treat the money like a lateral, I'm passin' it
'Cause my family's number one, never put 'em number two
Tryna buy a house in cash for all the times we had to move
All the times my mom cried 'cause she ain't know what else to do
All the times she lost hope 'cause she ain't know what else to lose
All the times I shoot shots 'cause I don't know what else to shoot, man

Pull the trigger, ain't nobody gonna do it for you
Pull the trigger, don't hesitate, just shoot

I'ma stay winnin', I don't believe in luck
I believe that life's a buffet, better eat it up
I've seen enough to know that I'm really 'bout to blow
Never felt like an employee, always felt like CEO
Even when I stacked shoes, I was never clocked in
Yeah, I always walked out, but I never walked in
That's a tribute to my head-space
And lately my Devils have been Spanish chicks in red lace
Doing Brujeria on me for ten days
More like ten months, but I got out of it
If I fall in love again, it's probably with a Saudi chick
But I keep my head up high and my middle fingers higher, yo

Pull the trigger, ain't nobody gonna do it for you
Pull the trigger, don't hesitate, just shoot
Pull the trigger, ain't nobody gonna do it for you
Pull the trigger, don't hesitate, just shoot",https://genius.com/Russ-pull-the-trigger-lyrics
Do It Myself,There’s Really a Wolf,2015.0,"Yeah, ooh
Yeah, yeah

I don't need her, I don't need him
Fuck it, I'll do it myself
No one's got this, no one's got that
Fuck it, I'll do it myself
Everyone scared, everyone pussy
Fuck it, I'll do it myself
Everyone watch, just keep looking
Fuck it, I'll do it myself

No one taught me, I was like damn
Fuck it, I'll do it myself
No one puttin' me on, damn
Fuck it, I'll do it myself
Everyone scared to go talk to her
Fuck it, I'll do it myself
Everyone scared to be number one
Fuck it, I'll do it myself

Woah, 'bout to cash out every month off of coats
I been on this way before I had hoes
Way before gin, way before smoke
Fuck it I'll do it myself
Ooh, everyone lookin' at me confused
Came a long way from 100 views
Fuck me? Shit, then fuck you too
Fuck it, I'll do it myself

I don't need her, I don't need him
Fuck it, I'll do it myself
No one's got this, no one's got that
Fuck it, I'll do it myself
Everyone scared, everyone pussy
Fuck it, I'll do it myself
Everyone watch, just keep looking
Fuck it, I'll do it myself

No one taught me, I was like damn
Fuck it, I'll do it myself
No one puttin' me on, damn
Fuck it, I'll do it myself
Everyone scared to go talk to her
Fuck it, I'll do it myself
Everyone scared to be number one
Fuck it, I'll do it myself

Facts, whole game hittin' up my phone because my hooks, beats, and my raps
Only reason I pick up is ‘cause my family needs the cash
I just stumbled on my ex’s page, that ass is gettin' fat
Dreams I used to chase, stopped runnin’ so now y'all are gettin' lapped
I always step up I’m clutch, this is planned, this isn’t luck
My adviser is my gut, please don't ever interrupt
I got businesses galore, I just opened up my store
'Bout to see the world on tour, y'all do too much, I just record

I don't need her, I don't need him
Fuck it, I'll do it myself
No one's got this, no one's got that
Fuck it, I'll do it myself
Everyone scared, everyone pussy
Fuck it, I'll do it myself
Everyone watch, just keep looking
Fuck it, I'll do it myself

No one taught me, I was like damn
Fuck it, I'll do it myself
No one puttin' me on, damn
Fuck it, I'll do it myself
Everyone scared to go talk to her
Fuck it, I'll do it myself
Everyone scared to be number one
Fuck it, I'll do it myself

I don't need her, I don't need him
Fuck it, I'll do it myself
No one's got this, no one's got that
Fuck it, I'll do it myself
Everyone scared, everyone pussy
Fuck it, I'll do it myself
Everyone watch, just keep looking
Fuck it, I'll do it myself",https://genius.com/Russ-do-it-myself-lyrics
Ride Slow,There’s Really a Wolf,2017.0,"Ride slow
Yeah, yeah
Yeah, yeah

I'm pullin' up at 3
This car just ain't the same without you here next to me
All I wanna do is ride slow (Ayy)
Ride slow (Ayy)
Ride slow, like a ghost
Ride slow (Ayy)
Ride slow (Ayy)
Ride slow, like a ghost
I'm pullin' up at 3
This car just ain't the same without you here next to me
All I wanna do is ride slow (Ayy)
Ride slow (Ayy)
Ride slow, like a ghost

We been goin' back and forth, you think I only want sex
Of course I want it, look at you but that ain't my intentions
I've been tryna soak you up, maybe learn something
I said I would never chase but you keep on running
You know all of my ex's, you think I still do too
I just had to change my number but I'll never lose you
I just got back into town, I'm just tryna unwind
Let me ride around your mind

I'm pullin' up at 3
This car just ain't the same without you here next to me
All I wanna do is ride slow (Ayy)
Ride slow (Ayy)
Ride slow, like a ghost
Ride slow (Ayy)
Ride slow (Ayy)
Ride slow, like a ghost

She got a kid, she ain't got a lotta free time
I tell her you need a lot more me time (yeah)
She got what everybody like
She's everybody's type (yeah, yeah)
I know that your man took flight (yeah, yeah)
I know that your money ain't right (yeah, yeah)
I saw you at your worst, still think you're the best
I'ma scoop you tonight (yeah, yeah)

I'm pullin' up at 3
This car just ain't the same without you here next to me
All I wanna do is ride slow (Ayy)
Ride slow (Ayy)
Ride slow, like a ghost
Ride slow (Ayy)
Ride slow (Ayy)
Ride slow, like a ghost",https://genius.com/Russ-ride-slow-lyrics
Missin You Crazy,ZOO,2018.0,"Yeah, I been thinking a lot yeah, yeah
Yeah, yeah, come on

It's been way too long, since I seen you, looked you in your eyes
Riding round the town and staying out, don't wanna say goodbye
Everything's so different now, you're just what I'm missing now
But I know that I can't have you back, I guess I'm trippin' now

Sometimes I start missin' you crazy, ain't nothing quite like you (yeah)
Love like this keeps goin' and goin', I cannot forget you (no)
Ohhhh, ohhhh, ohhhh, ohhhhh, ohhhhh
Ohhhh, ohhhh, ohhhh, ohhhhh, ohhhhh

Yeah, yeah, yeah
Ride around town in a hoopty (uh)
Way before I ever had a groupie (uh)
Back when I used to wear the same five shirts
Way before I ever had Gucci (uh)
Way before I ever had a Rollie on
Talking back when I dropped Corleone
Picking up an eighth that my homie got
Fuckin' in the car, that's the only spot
Back when I felt more free, back when I smoked more weed
Back when I drove up and down 92, with a view of the moon and you in my passenger seat
That was so good, now it's all gone
It is what it is 'cause we both moved on
At least we, have memories, and we also got this song (yeah)

It's been way too long, since I seen you, looked you in your eyes
Riding round the town and staying out, don't wanna say goodbye
Everything's so different now, you're just what I'm missin now
But I know that I can't have you back, I guess I'm trippin' now

Sometimes I start missin' you crazy, ain't nothing quite like you (yeah)
Love like this keeps goin' and goin', I cannot forget you (no)
Ohhhh, ohhhh, ohhhh, ohhhhh, ohhhhh, ohhhhh
Ohhhh, ohhhh, ohhhh, ohhhhh, ohhhhh, ohhhhh

Yeah, if you saw me now
Would you recognize me or would you call me out?
I know it's been a while but I'm still me
But honestly it's been so long that I wouldn't be offended if you didn't even feel me
There's a gap now, big enough to make us forget how we felt in the past now
Everything moves so fast now, damn
I miss things going slower, I miss us being closer
I mean I got a good thing but I feel like I don't even really know her
This a new life, I didn't do you right
But I got a second chance to improve my appreciation, I should take it
I'm sorry that I ever got jaded, for real

It's been way too long, since I seen you, looked you in your eyes
Riding round the town and stayin' out, don't wanna say goodbye
Everything's so different now, you’re just what I'm missin' now
But I know that I can't have you back, I guess I'm trippin' now

Sometimes I start missin' you crazy, ain't nothing quite like you (yeah)
Love like this keeps goin' and goin', I cannot forget you (no)
Ohhhh, ohhhh, ohhhh, ohhhhh, ohhhhh, ohhhhh
Ohhhh, ohhhh, ohhhh, ohhhhh, ohhhhh, ohhhhh",https://genius.com/Russ-missin-you-crazy-lyrics
Me You,There’s Really a Wolf,2017.0,"Yeah, yeah, there's a difference
Oh yeah, there's a difference
Oh, yeah, there's a difference, yeah
There's a difference, yeah, yeah
Yeah, yeah, yeah

Me, got it out the mud, they respect that
Me, always spread the love when I get back
You, got your hand out, that's a bitch move
You, always complaining like a bitch do
Me, still right here with who I came with
Me, self-made, my circles on the same shit
You, got a different crew every weekend
You, don't want it that bad, keep sleeping

Yeah, you wished for it, me, I worked for it
Everyone passed on me like Kurt Warner
Search warrant needed, your career went missin'
This ain't overnight, this is year ten visions
Peers listen and they know that I'm up next
That's your girl? Why she do whatever Russ says?
Success is somethin' that I'm blessed with mentally (yeah)
I got plaques for my raps and my melodies
Can't forget about the beats too, I'm the best kept secret
Real shit or fake shit, pledge your allegiance
I was off for so long, now I'm on though
Bitch, I'm talkin', don't you interrupt this god flow
Thank you to anyone who ever slammed the door on me
Because of you, I did it myself, so it means more to me
Did so many free shows and now they can't afford the fee
No one gave a fuck and now the whole world's recordin' me, yeah

Me, got it out the mud, they respect that
Me, always spread the love when I get back
You, got your hand out, that's a bitch move
You, always complaining like a bitch do
Me, still right here with who I came with
Me, self-made, my circles on the same shit
You, got a different crew every weekend
You, don't want it that bad, keep sleeping

Lately, I been tryna minimize all my stresses
Seven figures when they tax me, that's a blessin'
Diss me, I'ma diss you back on a hit song
PDs love me worldwide, you'll get shit on
Get it on your own or I can't respect it
See me in person, don't call, don't text it
Show a lot of love to my people, I don't post it
Y'all don't gotta know, just as long as they know it (yeah)
Despite your efforts, I'm here and I always will be
No rap name to hide behind, this the real me
Before the plaques, I was certified
I do business, I keep my income diversified
I counted 35 thousand with my family last night
And another 35 before this verse
I be layin' wide awake up in my thoughts at night like
""Goddamn, motherfucker, this worked""

Me, got it out the mud, they respect that
Me, always spread the love when I get back
You, got your hand out, that's a bitch move
You, always complaining like a bitch do
Me, still right here with who I came with
Me, self-made, my circles on the same shit
You, got a new crew every weekend
You, don't want it that bad, keep sleeping",https://genius.com/Russ-me-you-lyrics
