title,album,year,lyrics,urls
Photosynthesis,Bucket List Project,2016.0,"Got it, I got it, oh
Say what you're looking for, 'cause I got it, yeah, ayy
I got it, I got it, oh
I got it, yeah

Oh yes I made it alive, Lake Shore Drive, headed to paradise
In this moment of mine, I can't recognize
Or see that the glare is bright
And what you compromise, I almost died
I doubt the water is red as mine

Ayy, how you lonely in a room with God?
Never slow up, not even a pit stop
Praying my niggas'll never get caught
Overcame it all, like I'm some big shot
Was taught to be a man, up to the wrist watch
To the collar shirt tucked, with the front pocket
Part of adolescence when they go blossom
When your stars align, I hope there's no comet
So far it's...
Oh yes, I made it alive, on the West Side
Still at my momma house
The kids on my conscience now
'Cause the youth dying and it's just more common now
Common ground, stuck through it all like we Carmelo
Comin' down, high off of life, arrive unannounced
Summonin', numbin' the pain of when I'm in doubt, 
high school
My head in the clouds, like I learned about

Oh yes I made it alive, Lake Shore Drive, headed to paradise
In this moment of mine, I can't recognize
Or see that the glare is bright
And what you compromise, I almost die
I doubt the water is red as mine

What are you looking for?
I got it (I got it)
I got it (I got it)
All the things you adore
I got it (I got it)
I got it (I got it)

Runnin' through my city like a tour bus
Hopin' one day I can have a tour bus
I can see the planets from my window sill
And I tend to tell what is honest
I don't wanna fight no one, no contest
I just wanna undress my conscience
I just met a killer that's bent in his ways
Try to raise a family with minimum wage, what can I say?
Besides the demons, it's reality for the people that we love
And we are the ones that will team up and tee up the party
Dead end the school, bet that they'll show up real tardy
The audience awfully ready and rowdy
I meant it if I said it, you get in writing
Got into a science, but write with the lightning
Like soil, I'm grounded, the seed has just sprouted

Oh yes I made it alive, Lake Shore Drive, headed to paradise
In this moment of mine, I can't recognize
Or see that the glare is bright
And what you compromise, I almost die
I doubt the water is red as mine

What are you looking for?
I got it, I got it (show what you want)
I got it, I got it (show what you want)
All, the things you adore
I got it, I got it (show what you want)
I got it, I got it (show what you want)
Show what you want, show what you want
Show what you want, show what you want

I just wanna be the plug so my people can eat
I just wanna play soccer on rooftops in Tokyo
I just wanna find somewhere I don't gotta put a face on for people no mo'
Yours truly, Billy Williams",https://genius.com/Saba-photosynthesis-lyrics
BUSY / SIRENS,CARE FOR ME,2018.0,"I'm so alone, but all of my friends
But all of my friends got some shit to do
Yeah, all 'em got plans
I call 'em, I'm bad at texting
They never cross me like bad pedestrians
I've been this awkward since adolescence
I don't know how long I had depression
Never no peer-pressure
I'm tryna' get my little pecker off in some girl
I call my BFF, that ain't no secret kept
I fucked then told my cousin
I'm broke, I wasn't buzzin'
I tried to hit a few years, she wasn't budgin'
I'm bogus, left my girl for some shawty
Surely deservin' of all this lonely
""You sad? Tell me, how are you sad?
You got all of these friends, you got all of these fans""
I ain't trust nobody new since 2012, I ain't let nobody in
Jesus got killed for our sins, Walter got killed for a coat
I'm tryna cope, but it's a part of me gone
In this packed room I'm alone

I'm havin' a busy day, I'll hit you back right away
I seen that skies were grey, I hope to God you're safe
I'm havin' a busy day, I'll hit you back right away
I seen that skies were grey, I hope to God you're safe
Ohhh, ohhh

I'm so alone, just me and my girl
She leave me for work, then leave me for school
She finally home, I leave her for tour
FaceTime me nudity, yeah, all of this new to me, yeah
All of the infidelity when I was 17 been catchin' up
It still feel like she'll catch me cheatin'
Niggas askin' me how tour was
Knowin' I been home like two months
And I seen your ass like two times
Save the small-talk like two dimes
No time, social interaction
Had female friends I found attractive
I tried to fuck but I am no savage
Now we don't speak, we just walk past
If my past could talk
It'd probably reply to the missed calls after all
Cause the friendships that I can't recall
Done turned my heart into camouflage
While the guys I used to play basketball with
Doin' shit that I can't endorse now
With the Lord now, when it pours down
Was alone then, still alone now

I'm havin' a busy day, I'll hit you back right away
I seen that skies were grey, I hope to God you're safe
I'm havin' a busy day, I'll hit you back right away
I seen that skies were grey, I hope to God you're safe
Ohhh, ohhh


I'm barely here, how I ain't present?
Yeah, I drift for a second, forgot to reply to your message
But all these years
I been the same in your presence (I'm still here)
Countin' the seconds before I reply to your message
My biggest fear (is that I have to say goodbye another time)
Is that I have to say goodbye another time
(Not like this, not like this, not like this)
So I skip town on our moment, hopefully prolonging this
I don't need nobody new to miss (not like this)
I want you to know
Ooooh, ooh ooh, ohh

Sirens on the way, ayy
Now you're lying where the angels, lay, yeah
Sirens on the way, ayy
Now we're lying where the angels, lay, yeah
Sirens on the way, ayy
Now you're lying where the angels, lay, yeah
Sirens on the way, ayy
Now we're lying where the angels, yeah

Ridin' through the city
I'm young, I'm black, I'm guilty
I know one time wanna kill me
They don't know me but they fear me
15 years old with the sticky
They gon' blame it on the marijuana
Hands behind your head
And they won't let up out they lead
But if I move thats disrespect
But if they shoot then that's just that?
And if I run then that look bad?
Drawing they gun right off their hip
I'm probably deservin'
'Cause I know they serve and protect
But they think I'm servin'
Or they think my cellphone's a weapon
Heard that the robber wore a black mask
I fit the description, a.k.a. ""nigga""
What is the difference? It's an enigma
We so divided, I'm from Division
Clutch that purse cause of my dreadlocks
Cross that street cause I'm with my friends
Curse every song in hip-hop
Keep telling yourself it's all fair

Sirens on the way, ayy
Now you're lying where the angels, lay, yeah
Sirens on the way, ayy
Now we're lying where the angels, lay, yeah
Sirens on the way, ayy
Now you're lying where the angels, lay, yeah
Sirens on the way, ayy
Now we're lying where the—",https://genius.com/Saba-busy-sirens-lyrics
PROM / KING,CARE FOR ME,2018.0,"This remind me of before we had insomnia
Sleepin' peacefully, never needed a pile of drugs
Everybody was college-bound, no dollar amounts
In God we trust, senior year my prom ain't had no party bus
My cousin hit me on Facebook like, ""What shorty you takin'?""
I'm lyin', I'm playin', I'm sayin', ""I got one to take""
And I'm waitin' on her response, wrote her a three-page letter
It's three days later, never hit me back, she broke my heart
So now he IM'ing me shit like, ""Yo, is shorty bad?""
I pretend not to be depressed, she never wrote me back
I hit him back like ""Yo, well fuck her, it's on to the next""
I wrote that message thinkin' I'm awkward, prolly never have sex
You know in high school, 16, you prolly late
My cousin hit me back, ""Don't trip, bro, I got you a date""
So he sent me this link to some girl I had never seen
He said to call and tell her ""Walter sent you, you with me""
I think about it for a minute like what's his intentions?
I mean we never really got along or used to kick it
In fact if I remember vividly, he picked on me
He used to beat me up and take my sneakers every family visit
I'm skeptical to let her know I'm Walter' little cousin
What if this shit all a joke? Then again, what if it wasn't?
Would I really risk the chance of me potentially fucking
On some stranger daughter 'cause I barely know if I can trust him?
Prolly not
I finally called her, tell her ""Walter sent me, my name Tahj""
She asked me what's the color scheme that we gon' wear to prom
I'm actin' like I'm not excited, tryna play it off
""So what's the car we're takin'?"" Worst come worst, her mom can take us
I'll call Walt to thank him, he said ""Don't trip and just wear black""
He said she cool and they go back, if any problems, hit him back
I never had to, but now, we in tune
He Facebook messaged me like, ""Sorry, not to be a nuisance""
But he like 30 dollars short on all his prom suit shit
I'm like, ""I got you, cuz, that's the least that I could do""
He tell me send him the addy and he'll slide after school
I'm like, ""Okay, bet,"" never knew where he stayed at
He walked down the street hella surprised
""This where y'all place at?
Uncle Carl, Auntie Deborah, my cousin Rena?""
And I'm surprised too, my family knew, kept this a secret
Me and cuz stay down the street, living different lives
Every day he on the bus, me, I get a ride
I gave him 30 on the porch, he never went inside
He tells me, ""Thank you,"" then he walked back home with a smile
He tryna hide it but I see his dimple
I'm thinkin', ""Damn, that transaction was simple""
I'm talking shit, I know he hoop, I'm like, ""Ay, where the rim, bro?""
He like, ""Tomorrow if you free, you prolly weak as shit though""
I know my brother not
So all three of us went to the park and ran some niggas off the court
I'm hella passive, I was passin', I ain't have to score
The next day the prom, I couldn't sleep, I stayed up
My granddad gave me a condom then walked away, didn't say nun'
She hopped out of her car and said that her name was Jada
My heart's racin', I'm focused, I'm tryna keep it playa
Gave her the croissant or corsage or whatever the fuck
My mom handed me, and said, ""Now put it on her hand, Malik""
Family ties, my grandfather taught me how to tie up a tie
'Cause my dad lived in NY
That's prolly why I was shy, so self-conscious
Took pictures on the porch and then we headed for the prom and
Walter went on prom the same day, but to a different place
So he text me like, ""Cuz, this the spot, let's meet up later
And bring Jada through,"" prom flashed, I kept it cool
We show up to the function where she brought a change of clothes
I'm lookin' around like, ""Damn, I don't know nobody""
We at this party out west, and Jada left to get dressed
I fake like I'm sendin' text, some stranger get really close
I swear that I hear his breath then he put a knife to my neck
Gave me the run down like, ""Jada my sister
And if you hit her, fuck her, make her miss ya, I'ma kill ya""
At this point, I'm just exhausted wonderin' where the fuck's Walter
He shows up like 30 minutes after our altercation
I never mentioned it to him, he kinda overprotective
And I know if I tell him, that he'll beat this nigga's skull in
Turn his body a skeleton, and our night'll end terrible
I exhale and say, ""Fuck it"", and I just chose to let it go


Fuck with you boy
Said you're used to getting everything your way
This not how that happens this time
She tryna fuck with you boy

Walt went to St. Louis, had a full ride for his hoopin'
Him and his coach got into it, now he back home doin' music, ayy
I was at Columbia, a damn-near straight-A student
I had one B in a hip-hop class, I thought that shit was stupid
He transferred to Robert Morris, always living down the street
My class let out at 2:40 and his class let out at 3:00
Mama asked me where the hell I been at, where the hell I be
""I'm with Walter, mom, I'm safe,"" I keep walkin' in here late
I might fall off in your bae, I get girls now, I get laid
I get caught up, I blame Walter, I'm a product of my age
He talk to every girl downtown Chicago, wingman, I cannot fly though
He was in Cal white Impala, he was that nigga in the party
Awfully popular for someone that they barely mention
Plus we from the part of city that they barely mention
Just logged into Twitter and somehow we was barely mentioned
We signed our names on the open mic list and then they skipped us
And then they skipped us again like a week later
Like, obviously, this fuckin' host can't read the paper
Hella intimidatin', a big guy, didn't have to flex
So Walter walked to the host and said, ""This the name you callin' next""
Bullied our way to the stage and then overstayed our welcome
An apple never get too far from the tree that it fell from
Just like my father, tryna do music and hope I make it
Walter joined me for the journey said the city waitin'
PIVOT

Walter invincible, dodged death like a mad magician
More times than a mathematician
I'm in L.A. working on Bucket List Project
I get a call and get a fishy feeling
Normally, Walt joke on the phone, this time he over-serious
My heart dropped and I'm like, ""Yo, what is it?""
He say he with T-Y on the highway and some niggas just tried to kill him
Emptied the clip on the car but somehow they didn't hit him
Sometimes, I fucking hate Chicago 'cause I hate this feeling
Innocent niggas get shot at in the broad day, the A.M.
I asked him for a play-by-play of how their whole day went
He say he went to XSport and they ran a full court
And I cannot retort without thinking that this can't be the reason
""So what else you do? What about Ty? Is he still cool?
Where you on your way from and where you on your way to?""
He say he just left a dinner at a friend crib and that's it
He say, ""Ty don't do shit but smoke, honestly, Saba, that's it""
Give him sympathy, another case of mistaken identity
The news prolly gon' run this as two gangs from different streets
Police questioning him like he just shot at a trooper
My boy walked away unharmed and we did Lollapalooza, yeah
Six months pass by, every day we celebrate, every day a better day
I just dropped Bucket List, Walt about to drop a tape
Everything goin' perfect, couldn't paint a better way
PIVOT Gang is on the way
We just sold out Lincoln Hall, then I went to talk to Sway
I got back home and got back on it
'Cause Walt was doing two-a-days
Sendin' me links to songs that he made
Kid Cudi, we are not riding no waves, ayy
Grandma made his plate, we played 2K, that's just a day before
Fatimah got a show tomorrow, he text me, ""Ay, we in that hoe""
I went to the barbershop the first thing the next morning
Then I got up with LEGIT, we supposed to do some recording
Ten minutes into the session, I got a call from a number
That I don't got saved, but I answer anyways
She says, ""Hello, Malik, have you or Squeak
Talked to my son today? He was just on the train""
We got in the car but we didn't know where to drive to
Fuck it, wherever you are, my nigga, we'll come and find you...

Just another day in the ghetto
Oh, the streets bring sorrow
Can't get up today with their schedule
I just hope I make it 'til tomorrow
I just hope I make it 'til tomorrow
I just hope I make it 'til tomorrow
I just hope I make it 'til tomorrow",https://genius.com/Saba-prom-king-lyrics
LIFE,CARE FOR ME,2018.0,"I got angels runnin' 'way, I got demons huntin' me
I know 'Pac was 25, I know Jesus 33
I tell Death to keep a distance, I think he obsessed with me
I say, ""God, that's a woman,"" I know she would die for me
They want a barcode on my wrist (barcode on my wrist)
To auction off the kids
That don't fit their description of a utopia (black)
Like a problem won't exist if I just don't exist
If I grew up without a single pot to piss in
Pardon me for ventin'
Congress got the nerve to call theyself religious
Rich just gettin' richer, we just tryna live our life

Momma mixed the vodka with the Sprite
They killed my cousin with a pocket knife
While my uncle on the phone
He was gone for more than half my life
He got out a year and then he died
I was honor roll, talking to my father on the phone
Left the city when I was just four
None of them will get along
Momma beggin' him for winter coats
I was chillin' with my nigga Spook now they tryna take his—

Life don't mean shit to a nigga that ain't never had shit, yeah
Light don't mean lit in the dark, fight don't mean fists, ooh
Eyes don't see, eyes don't see, ice don't freeze
Light don't leave, I don't mean lie to me

Tell me it'll be okay, tell me happier days
Tell me that she my bae, that I won't be alone
Tell 'em I'll be okay when he ask, ""How's my day?""
Tell 'em that we the same, tell em' that we not safe

I got my grandaddy soul, I'm at war, that's on my mind
I seen Walter body cold, wish I could switch it with mine
I'm not worried 'bout no rap shit, distractions or waste-of-times
I still go to social functions even though I'm so anti—
No, I'm no Rihanna, the court gonna throw it like Donovan
Down a bit, I just been modelin' my whole career
As if 'Pac was here, studio monitors shakin'
I raise the apartments, I'm Bono with profit
I made what I made in allotted
Amount of time, the same amount of time you was watchin'
So stop comparing me to people; no, I am not them
A lot of people dream until they shit'll get—*gunshot*

That's life, momma mixed the vodka with the Sprite
They killed my cousin with a pocket knife
While my uncle on the phone
He was gone for more than half my life
He got out a year and then he died
I was honor roll, talking to my father on the phone
Left the city when I was just four
None of them will get along
Momma beggin' him for winter coats
I was chillin' with my nigga Spook, now they tryna take his life",https://genius.com/Saba-life-lyrics
BROKEN GIRLS,CARE FOR ME,2018.0,"I'm in love with broken

I'm in love with broken girls, girls, girls
Hey girl, girl, girl, girl
I'm in love with broken girls, girls, girls
Girls, girls, girls, hey girl

Really I'm broke myself, and I think she might help
Really I love her story, and I think she might tell
Really I'm not your crutch, really you're not my girl
Really she usin' me, but it's cool, we use each other
I'm in love with contemplatin' 'bout the pressure
Conversations 'bout depression
Confrontation cause we care too much about each other
We know it ain't permanent but temporary
Releasin' your Issa Rae, insecure
Collect them like Pikachu, Venusaur
We go 'til you done or my penis sore
Sleep with the TV on then we don't speak no more
And I know when I'm with you, or maybe when you're with me
Even if I don't feel a thing, for a second I feel complete
I still'll keep in my back pocket
I know that I'm not shit, I know that it's toxic
I know that apocalypse, that was where your heart is

I'm in love with broken girls, girls, girls
Hey girl, girl, girl, girl
I'm in love with broken girls, girls, girls
Girls, girls, girls, hey girl

Tread light like broken glass, really I'm not my past
Really I snatched her soul, really that's not to brag
Really when I'm alone, really I'm not that happy
Really I know you're empty but I think I can fill your glass
Fetishizing all your problems
I wanted you more since I found out you heartless
Harborin' feelins' for niggas who hurt you
Know you on the surface but not on a personal level
I play the game of hearts, missin' piece, we ain't a part
Depend on me until I'm bored
I return your heart as quick I return your call
Tables turn quicker cause after a weekend I miss ya
I don't want you but I'm conflicted
I know that back and forth yo-yo shit over with
But you gon' take me back, I'm gon' convince ya
Pain ain't never looked so temptin'
Lonely never looked so distant, we just gon' ignore the tension
You know we both not shit, I know that shit toxic

I'm in love with broken girls, girls, girls
Hey girl, girl, girl, girl
I'm in love with broken girls, girls, girls
Girls, girls, girls, hey girl

This whole time, been obsessed, being sad
She was my, quick escape, made me forget
Hear her speak, see her weep, made me feel big
Cry on me, she down me, treat me like shit
Second time, round two, what I learned
She wasn't mine, that wasn't love, I wasn't hers
I'm not hurt, anymore, took some time
Found a girl, now I'm hers, and she mine
And she make, me feel whole, heal me
And it's, mutual, and we still in love


Can't you care for (me, no)
Can't you care? Can't you care?
Can't you care for? (me, no)
Can't you care? Can't you care? (me, no)
Can't you care? Can't you care? (me, no)
Can't you care? Can't you care? (me, no)
Can't you care? Can't you care? (me, no)
Can't you care? Can't you care?",https://genius.com/Saba-broken-girls-lyrics
LOGOUT,CARE FOR ME,2018.0,"Write away, ay

If you press logout, you get forgotten
What's a post but a reminder just how boring our lives a-a-a-are?
Look at how much fun I'm havin'
Ain't no beauty in the absence of broadcastin' to your fol-ol-lo-wers
I seen a celeb get naked
I seen obsessive behavior, I see famous people all-all o-ver
I don't want no autograph
I just want a follow back, maybe tag to ya fol-ol-lowers

Playback, say that
That just the way that the game go
After the rain it's a rainbow
I see a product you pay for
Shit get forgotten a day old
If I cannot log on, they starting a rumor
That I had got shot like a day ago
I don’t walk without my headphones
I don't got cable in my crib
I don't even know how we got here
Bein' dependent is my fear
Government look like the mafia
Censorin' out what you watchin'
Internet turned me inanimate object
Look, Solitaire more than a game with your card
Can't change the channel, it'll stay in our heart
Stay in the public and pray to your God
Need validation, I'm too insecure
Characters defined one hundred and forty
Two hundred and eighty, a post to your story
I'm from the 290, two sides to each story
Yeah, I'll be your friend, but you cannot follow me

If you press logout, you get forgotten
What's a post but a reminder just how boring our lives a-a-a-are?
Look at how much fun I'm havin'
Ain't no beauty in the absence of broadcastin' to your fol-ol-lo-wers
I seen a celeb get naked
I seen obsessive behaviour, I see famous people all-all o-ver
I don't want no autograph
I just want a follow back, maybe tag to ya fol-ol-lowers

Everybody insecure, especially people with everything
Why else you think they got everything?
How else you think they got ev—, ooh
Everybody insecure, especially people with everything
Why else you think they got everything?
How else you think I got every—, look

Everything's on camera, everything's on camera
Everybody want handouts, everybody got pamphlets
Everybody want Santa, everything is on camera
Everybody want pics now, everybody got antlers
Everybody my kid now, everybody got Pampers
Everything is on me now, everybody got cameras
Ain't nobody got Chancelor, ain't nobody got answers
All them scratchin' they head now, ain't nobody got dandruff
Don't nobody like selfies on they own page
I know people with they friend requests as they homepage
Ain't put a picture on they wall since the Stone Age
Feel locked up in they own cage when they on stage

If you press logout, you get forgotten
What's a post but a reminder just how boring our lives a-a-a-are?",https://genius.com/Saba-logout-lyrics
CALLIGRAPHY,CARE FOR ME,2018.0,"I don't tell the truth so y'all will feel sorry for me
I don't write this shit so y'all will feel God comin'
I don't get down like that
Wrote the amount of raps just on a mission to find something
Calligraphy
Needed to feel, move to the beat of my drum
I don't mean kick and the snare
We cannot bury all of the fucked up shit that we been through
While God keeping us here
We be aware, but only timing will tell
When you will find all your letters
Calligraphy

Write it away, write it away
I just got tired of runnin' away, runnin' away
Everyone leavin', I write 'em away, write 'em away
Calligraphy
Write it away, write it away
I just got tired of runnin' away, runnin' away
Everyone leavin', I write 'em away, write 'em away
Calligraphy

I'm not mad at God, I just can't get out of bed
My best friend obituary really hang on my wall, by the dresser
I'm tryna see it, a life lesson
No time for mournin' on my schedule, I seem to write less
Calligraphy, yeah
Readin' the signs like I'm a highway driver, I just hit blasé-blase
Hieroglyphic, I see the wall that they writing
I build a wall up in my head
Autopilot, what it felt like I was on, I sent the word out flyin'
Calligraphy

Write it away, write it away
I just got tired of runnin' away, runnin' away
Everyone leavin', I write 'em away, write 'em away
Calligraphy
Write it away, write it away
I just got tired of runnin' away, runnin' away
Everyone leavin', I write 'em away, write 'em away
Calligraphy

Run, run, run, run, run, run, run, run
Run, run, run, run, run, run, run, run
Run, run, run, run, run, run, run, run
Run, run, run, run, run, run, run, run
Running, running, running, running
Running, running, running, running
Running, running, running, running
Running, running, running, running
Running, running, running, running
Running, running, running, running (Run!)
Running, running, running, running (Run!)
Running, running, running, running (Run!)

I can't get out of bed
I'm not mad at God
But I can't get out of bed
Calligraphy
Write it away, runnin' away
I just got tired of runnin' away, runnin' away",https://genius.com/Saba-calligraphy-lyrics
HEAVEN ALL AROUND ME,CARE FOR ME,2018.0,"Yellin' at my mother like, ""I know you hear me""
Get a little closer, repeat
Bus driver pass me up, don't see me
Paramedics talk about what he need
He need his oxygen
They seem incompetent, I see the consequence
I walk when I can't hear them, they're inaudible
I got up like I gotta go, forensics search for follicle
I promise y'all I'm not a ghost, I promise y'all
Look, there's heaven all around me, there's heaven all around me
There's heaven all around me, there's heaven all around

No, I can't feel your pain, but I can see the stars
No, I ain't leave in vain, but I know we with God
There's heaven all around me, there's heaven all around me
There's heaven all around me, there's heaven all around
No, I can't feel your pain, but I can see the stars
No, I ain't leave in vain, but I know we with God
There's heaven all around me, there's heaven all around me
There's heaven all around me, there's heaven

Yellin' at my brothers like, ""I know that I'm here""
Regardless of how loud, they don't hear
Walkin' through the crowd, they shed tears
I know I did not disappear
Uphill I'm battlin', I see the cameraman
I see the news station's truck parked outside
It's every channel here
Yeah, interview, interview, interview, cut
Someone just bled out because they got (Cut!)
Chalk outline look like the shape of my shadow
Hand go right through the wall if I try to touch
There's heaven all around me, there's heaven all around me
There's heaven all around me, there's heaven, heaven, heaven

No, I can't feel your pain, but I can see the stars
No, I ain't leave in vain, but I know we with God
There's heaven all around me, there's heaven all around me
There's heaven all around me, there's heaven all around
No, I can't feel your pain, but I can see the stars
No, I ain't leave in vain, but I know we with God
There's heaven all around me, there's heaven all around me
There's heaven all around me, there's heaven

Do do, do do, do do, do do, do do, do do
Do do, do do, do do, do do, do do, do do
Do do, do do, do do, do do, do do, do do
Do do, do do, do do, do do, do do, do do",https://genius.com/Saba-heaven-all-around-me-lyrics
FIGHTER,CARE FOR ME,2018.0,"Me and E-Guy just fought 'cause his family wouldn't stop talkin'
We neighbors who argued often, I run, I jog to him
Toss a jab and I caught him, he threw a left, ain't connect
'Cause I ducked when I came back up, I seen his sister talkin' trash
Like, ""Touch my brother, I'm beatin' yo' ass""
(""Touch my brother, I'm beatin' yo' ass, nigga!"")
So I fucked her brother up to see what she about, yeah
Walked away and then we noticed that his teeth was out, yeah
She ain't do shit, she just mad we got to see her pout
So me and Cell, we just fought, I was walkin' and then he jawed me
I dropped to the floor while calling for help in front of my grandmother's house
The next hit, he punched me my mouth, I can't believe I'm on the ground
'Cause I tried to hit him, I gambled, I'm ugly cryin' in public
I'm like, ""When I get you back, you gon' wish that you never touched me""
Somehow I never could touch him, our brothers broke the shit up
And I walked the rest of the day with my head down
Funny how gettin' your ass beat'll spread 'round, yeah

But I don't wanna fight no more
'Cause I'm not a fighter, I won't no more
But I don't wanna fight no more
'Cause I'm not a fighter, I won't no more

So me and E-Guy, we scrap again
Jacob jumped in, I'm handicapped
Manny watched from across the street
Then he ran up and hopped on me
Three on one, they teamin' up but me, I never think to run
They circling around
Got me surrounded like police or somethin' (Woop-woop!)
So it's bad enough they already jumpin' me
Then I see Cell comin', I'm prayin', ""Please don't fuck with me""
(""Please leave me the fuck alone"")
It's not fair and I think he agree
So instead of fighting with them, he came and teamed up with me
Me and Grandpa ain't talked since I stopped attendin' the college
He called me, said I'm a scholar, I should be gettin' my doctorate
""Or, shit, at least in the army, instead you chose to hip-hopper
I know how this is gon' end 'cause I went through this with yo' father""
Me and my girl just fought 'cause I talked before she could talk
She was tellin' a story, I cut her off with some shit
Not 'bout the same topic, so she just stopped in the middle
Before the plot hit, the rest of the car ride silent
Like ""You always do this,"" like, ""You don't value my thoughts
Either that or you too damn stupid to realize
That if you don't hear me out then I'ma feel muted
You say that you care, well show it, I'm not askin' a lot
I know you think you listenin' but you just waitin' to talk""
My fault

But I don't wanna fight no more
'Cause I'm not a fighter, I won't no more
But I don't wanna fight no more
'Cause I'm not a fighter, I won't no more

It's harder to love myself when all these people compliment me
Somehow it just remind me what I don't got
But these folks don't care to know
They think you rollin' in the dough
Not realizin' your next meal is a 4-for-$4
Still feeling the guilt that Walt never thought to call
Fightin' myself to get out of bed
I'm fightin' myself to get out of bed
Fightin' myself

I don't wanna fight no more
'Cause I'm not a fighter

Yeah, me and all my niggas dropped out
Then we drove to Texas, slept at Waffle House
Kicked out of the hotel, we all broke
We don't got no mattress, sleep on yo' floor
Me and grandpa ain't spoke since I dropped out
Made sure on my first tour, stop at his house
I sleep on the hotel, not your floor
He tell me that he proud of his boy
I'm not a janitor no more at Homan Square
Saved up for a round trip, LAX
I just learned it's no risk, no reward
I slept on the floor at Port Authority
Me and all my niggas dropped tears
Heart been on the floor for a whole year
We all broke (we all broke)
We all broke",https://genius.com/Saba-fighter-lyrics
Stoney,Bucket List Project,2016.0,"Ah, ayy, ayy, ayy, ayy, ayy, hahaha
Yeah, yeah, ayy, ayy
Yeah

Pull up in my bucket and I’m feelin' like, ""Fuck it""
Use to dream about it when my cousin had a cutlass
We were makin' moves, 19 with the shwoop
Hit up Jay Caves, turned it to a video, ayy
Ridin' with the windows up because my shit is broke
Just like we were broke
Coppers tryna impound vehicle, we all see ‘em though
Ayy, Squeaky had a Buick he would play our latest music, ayy
I just backseat drive, catch the vibes in a hoopty, ayy
I don’t got a crib but I tell my lady move it, ayy
She would take her sister car then someone crashed into her, ayy
Yeah, I still wish it
And if it breakdown then I’m gettin' out and pushin'
Ayy, me and Walt was on the E way and we blew the trans
Now I’m on the train, like ehe, damn
Yeah, tryna finesse Uber with a new email
""Ayy, Saba, love your story, man, do please tell""

Ayy, pull up in my bucket and I’m feelin' like, ""Fuck it""
Felt the same way when I ain’t pull up in nothin'
CTA short, ballin' on a budget
Ridin' in this hoopty 'til the next thing comin'
I'ma pull up in my bucket and I’m feelin' like, ""Fuck it""
Felt the same way when I ain’t pull up in nothin'
CTA short, ballin' on a budget
Ridin' in this hoopty 'til the next thing comin', ayy

Kobe whipped a station wagon and he hotbox that bih’
He'll pick me up from school, ""Nephew, hop in""
Came home straight skunk like I know my mama mad, ayy
Still don’t smoke but I smell like my friends
All my nigga day one like they just got the job
Never bought a train card, but bet they will train hop
Ayy, ayy, ayy, major key, tell 'em take a seat, yeah
I just bought a hoopty, I can get from A to B, yeah
Wasn't ally swoopin', had to stop with Casa B, yeah
Wildin' with my brother Waters, can’t wait 'til he free, yeah
This shit sound like CTA, my new shit comin' TBA
Remember they ain’t show no love, now it’s only PDA
Yeah, that's as it stands
I just got my L’s, now I whip a minivan, ayy
High school in the ‘burb but I’m still a city man, ayy
Screamin' Pivot loud as fuck ‘cause that is really fam
Ayy, ayy

Ayy, pull up in my bucket and I’m feelin' like, ""Fuck it""
Felt the same way when I ain’t pull up in nothin'
CTA short, ballin' on a budget
Ridin' in this hoopty 'til the next thing comin'
I'ma pull up in my bucket and I’m feelin' like, ""Fuck it""
Felt the same way when I ain’t pull up in nothin'
CTA short, ballin' on a budget
Ridin' in this hoopty 'til the next thing comin', ayy

There are so many reasons to live alone (Na, na-na, na-na)
There is only one reason to die for you (Na, na-na, na-na)
When I'm away, know my heart, it shows (Na, na-na, na-na)
And through Jerusalem will I ride for you (Na, na-na, na-na)",https://genius.com/Saba-stoney-lyrics
