title,album,year,lyrics,urls
Aqua Teen Hunger Force Theme,Aqua Teen Hunger Force,2000.0,"My name is...
Shake Zula, the mic rulah, the old schoolah
You wanna trip, I'll bring it to ya
Frylock and I'm on top
Rock you like a cop
Meatwad you're up next
With your knock-knock
Meatwad make the money, see
Meatwad get the honies, G
Drivin' in my car, livin' like a star
Ice on my fingers and my toes
And I'm a Taurus
Ha ha, check it, uh, check-check it, yeah
Cause we are the Aqua Teens
Make the homies say ""ho"" and the girlies wanna scream
Cause we are tha Aqua Teens
Make the homies say ""ho"" and the girlies wanna scream
Yeah
Aqua Teen Hunger Force
Number one in the hood, G",https://genius.com/Schoolly-d-aqua-teen-hunger-force-theme-lyrics
P.S.K. What Does It Mean?,Schoolly D,1984.0,"(The official adventures of...)

PSK
 we're making that green
People always say, ""What the hell does that mean?""
P for the people who can't understand
How one homeboy became a man
S for the way we scream and shout
One by one I'm knocking you out
K for the way my DJ cutting
Other MC's, man you ain't saying nothing
Rocking on to the break of dawn
I think Code Money, your time is on


Driving in my car down the avenue
Towing on a j, sipping on some brew
Turned around, see the fly young lady
Pull to the curb and park my Mercedes
Said ""Fly lady, now you're looking real nice
Sweeter than honey, sugar and spice""
Told her my name was MC Schoolly D
All about making that cash money
She said, ""Schoolly D, I know your game
Heard about you in the hall of fame""
I said, ""Mama, mama, I tell you no lies
'Cause all I wanna do is to get you high
And uh - lay you down and do the body rock""
Took a walk to the corner, got into the car
Took a little trip to a fancy bar
Copped some brew, some j, some coke
Tell you now, brother, this ain't no joke
She got me to the crib, she laid me on the bed
I fucked her from my toes to the top of my head
I finally realized the girl was a whore
Gave her ten dollars, she asked me for some more


Clinton Road one Saturday night
Towing on a cheeba I was feeling alright
Then my homie-homie called me on the phone
His name is Chief Keith, but we call him Bone
Told me 'bout this party on the Southside
Copped my pistol, jumped into the ride
Got at the bar, copped some flack
Copped some cheeba-cheeba, it wasn't wack
Got to the place, and who did I see
A sucker-ass nigga trying to sound like me
Put my pistol up against his head
And said, ""You sucker-ass nigga I should shoot you dead""
A thought ran across my educated mind
Said, man, Schoolly D ain't doing no time
Grabbed the microphone and I started to talk
Sucker-ass nigga, man, he started to walk",https://genius.com/Schoolly-d-psk-what-does-it-mean-lyrics
Gucci Time,Schoolly D,1984,"Yo yo, School, cuzin', what's up man? What's up with the record business?
Man, I think I'mma have to beat somebody up, man, they always be bitin' my shit man, y'know, man, just bitin', man
Man, I told you how them niggas are man, they ain't nothin' but squares
Oh, that's what they is
Yo Schoolly, what time is it?

Lookin' at my Gucci, it's about that time
For MC Schoolly D to start hummin' a rhyme
I heard you was out there bitin' my lines
And if I catcha boy, yo' ass is mine
You always in my face sayin' ""Schoolly School, man
How the fuck didja get so cool, man
Never ever seen you play no fool""
Cuz I use that microphone like a plumber use a tool
1, 2, 1, 2, 3, and (x2)

MC Schoolly D, and I’m on the beatbox
I've never had a party that I didn't rock
And every baby girl thinks she's gettin' the world
I've never made a tune that wasn't too cool
Never been stopped next to T O P
For him to try to fuck with MC Schoolly D
2 Dolla bitches, they on my riches
Suckah MC's taken out with the dishes
Rhymes so delicious, raps so vicious
Buy me a wife to do my dishes
I keep ya in stitches
Ya hangin in kitches
No itch, no ash, no crust, no bitches
I eat sandwiches
My best friend bitches
Based on fact, not based fictitious

Lookin' at my Gucci, it's about that time
For MC Schoolly D to start hummin' a rhyme
I heard you was out there bitin' my lines
And if I catcha boy, yo' ass is mine
You always in my face sayin' ""Schoolly School, man
How the fuck didja get so cool, man
Never ever seen you play no fool""
Cuz I use that microphone like a plumber use a tool
1, 2, 1, 2, 3, and (x2)

F-U-C-K-I-N-G
Tarzan and Jane does it in tree
Adam and Eve, birds and the bees
Everybody do it but the suckah MC's
Roxanne did it to UTFO
About a sucka nigga down callin' a ho
I say baby doll, can ya meet me in the black?
We do it from the front, and we do it from the back
But don't, don't do it, cuz niggas are sly
They ain't got no job, they be down with the mob
And the only thing you'll doin'
But the only thing you'll get is burn, baby burn

Lookin' at my Gucci, it's about that time
For MC Schoolly D to start hummin' a rhyme
I heard you was out there bitin' my lines
And if I catcha boy, yo' ass is mine
You always in my face sayin' ""Schoolly School, man
How the fuck didja get so cool, man
Never ever seen you play no fool""
Cuz I use that microphone like a plumber use a tool
1, 2, 1, 2, 3, and (x2)

Baa baa black sheep was a little whore
Can't run hack cuz she gave herself some more
Give her a dollar, to make her scream and holler
Put my head under the bar and she made me wanna call
Reachin' in my pocket, and pulled out my gun
Shot her pimp in the head, motherfuckah fell dead
But now she's in jail with a ten year bail
(Scratching: That's- That's- That's- That's Fresh! )

Lookin' at my Gucci, it's about that time
For MC Schoolly D to start hummin' a rhyme
I heard you was out there bitin' my lines
And if I catcha boy, yo' ass is mine
You always in my face sayin' ""Schoolly School, man
How the fuck didja get so cool, man
Never ever seen you play no fool""
Cuz I use that microphone like a plumber use a tool
1, 2, 1, 2, 3, and (x2)",https://genius.com/Schoolly-d-gucci-time-lyrics
Saturday Night,Saturday Night - The Album,UnKnown,"It was Saturday night and I was feeling kinda sporty
Went to the bar copped me a 40
Got kinda high and uh kinda drunk
So I kicked the ass of this little punk
Forgot my key and had to ring my bell
My momma came down, she said, ""Who the hell?""
Wait momma, wait, it's me your little son
Before I knew it my mom pulled a gun
""I know who you are, but who the hell is that?""
I turned around man, this bitch was fat
I really don't know how she got into the car
I must have picked her up when I left the bar
You know I'm horny homie man I wanted to chill
But you know how mothers are, she wanted to ill
So I said, ""Hey baby is you on the pill?
'Cause, tonight I wanna be your lover
Just one thing, I forgot to buy a rubber""
Wait a little while then we snuck upstairs
Step by step with a hint of fear
We got into my room, bitch started to scream
Momma busted in what a fucked up scene
Shirt ripped off, drawers down to my knees
Wait momma, wait momma, wait, wait, please
Put back your gun, put down your broom
My mom fucked up the room
The bitch jumped up with no respect
I had to put the big, big bitch in check
I said, ""You come a little closer and you will get shot""
""I'm sober anyway, I don't need no cock""

Oh yeah
Them wild Saturday nights man, you know what I mean?
They wild and shit man, they wild man
You know
Yeah man let me tell you about another Saturday night experience I had

It was Saturday night and I was feeling kinda funny
Gold around my neck, pockets full of money
Went to the corner, man and who did I see?
But this super bad bitch looking back at me
I said, ""Fly lady man, you got a big butt""
This bitch turned around, all she said was, ""What?""
I said, ""My name is Schoolly baby, uh what is yours?""
Before I knew it up come my boys
Noisy as hell and drunk as shit
Saying, ""Yo Schoolly School, what time is it?""
Looked a little closer and I knew it was a gag
What I thought was a girl was nothing but a fag

Aw man, you know what I mean
You know what I mean
Wild Saturday Nights man
You know I got something else to say man
I got something to say everybody
It’s like this

Everybody rapping but they don't know how
Shoulda seen the boy rapping to the cow
He rapped so hard that the nigga saw smoke
He lit up his cheeba and they both took a toke
The cow got high and the boy got by
Don't come in my face and ask me why
Cheeba Cheeba ya'll
Yeah it's that cheeba cheeba making 'em feel like that
Cheeba Cheeba ya'll
Some call it Cheeba, some call it weed
It's the killer, it's the thriller, it's the thing that you need
Said Cheeba Cheeba y’all
Little Miss Muffet sat on a tuffet
Smoking a J and scratching the itch
Along came a spider and sat down beside her
And said, ""Yo, what's up with that, bitch?""
But then down the road came Mary and her lambs
Smoking a Lacy in each and every hand
The poor little spider, he couldn't score any
They was two dollar bitches and he only had a penny
Cheeba Cheeba ya'll
Yeah Cheeba Cheeba ya'll
Let me tell you a little tale about Peter the Pimp
Sucker MC, trying to cop a limp
Rode around town in a couple of cars
Got gagged by the man trying to stick up a bar
The judge said, ""Boy, what was on your mind?""
He said, ""I had some Cheeba Cheeba, cocaine and some wine.""
The judge said, ""Boy, relax and have a beer
You won't be doing shit for the next ten years.""
Cheeba Cheeba ya’ll
Yeah, it’s that Cheeba Cheeba
Cheeba Cheeba y’all
Some call it Cheeba, some call it weed
It’s the killer, it’s the thriller, it’s the thing that you need
Cheeba Cheeba ya’ll

Yeah, you know
Me and my man Code Money
My man M&M
We just chilling, you know what I mean
My name happens to be Schoolly D, if you didn’t guess by now
Only Schoolly D would make some crazy ass shit like this
Haha I get back
Take it away Code",https://genius.com/Schoolly-d-saturday-night-lyrics
Mr. Big Dick,Smoke Some Kill,UnKnown,"All right Mr. Big Dick
Schoolly, I got to tell you, you's the best actor I ever done seen
You got to totally sign you!
Yeah man, we here tonight, we gonna talk about something
Get straight to the point, some of us were talkin about it
Straight to the tip
(Chorus)
1-2-3
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?
Hey Schoolly, tell me about your dick, talk about your dick
Come on tell me about it. I want to hear about your dick
Um, lookin at my dick it's about that long
For me to really answer it I'ma need another song
Say some brothers who don't realize
That Mr. Big Dick is always on the rise
To look at mine you need four eyes
Why? Because of the size
Me and Mr. Big Dick go everywhere together
In the cold the hot any weather
On the ave I always will hold it
When it get big sometimes I will fold it
All you girls with the big booties
It is my duty to fuck you cutie
Don't be shy and don't be slick
Cos that's the big question
(Chorus)
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?
I was sittin in my Lincoln thinkin and stinkin
See a young lady and my eyes start blinkin
I say hey lady, you need a ride
Before I finish, she jumped inside
Lights in and I bust a nut
As I look at them thighs and the big fat butt
I looked a little closer and checked out her face
I said damn Schoolly man what a disgrace
I got this fat bitch in my ride
I see code money and I wanted to hide
He laughed so hard he wanted to die
I said you suckin dick, she jumped inside
Took the girl for a ride out in the park
Way, way, way, way, back in the dark
I said now listen baby, act real flirty
Get in the back and get your knees dirty
Don't act shy and act real slick
Cos that's the big question
(Chorus)
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?
People say I'm vulgar they just don't get it
They'd rather have me stand on stage then try to rig it
I'd rather meet a honey, pull out all my money
Get back and say something funny
Like don't act shy, don't act slick
Cos that's the big question
(Chorus)
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?
Mr. Big Dick, who do you think you are?",https://genius.com/Schoolly-d-mr-big-dick-lyrics
Am I Black Enough For You?,Am I Black Enough For You?,UnKnown,"Am I black enough for ya, America?
I don't need no isis esoterica
All I need is, my blackness
Some others seem to lack this
Black joy, and my black vibe
Gonna be a black man til the day I die
I'm just, rough and tough, and takin' no stuff
All I really wanna know y'all.. am I black enough?
Am I black enough?

I'm black!  Too damn powerful
I'm still a bad boy
, and get a hour full
And if you tired of the other emcees
Well come on in and get a listen from me
Because the rhymes, fourteen carat
You suckers, you wanna grab it
But you run like a little bitty rabbit
Pullin my cape, is a very bad habit
Cocaine - you still smoke it
Homey dude, you must be jokin
My fat chain, I am chokin
All through the school, you should be votin
On the M-I-C, I'm like a pitbull
My brain my brain is so full
Of words, verbs, adjectives pronouns
Come on in, and sit on down
Just listen, to what you been missin
On the floor, your eyes will glisten
I see you wishin, on the wishbone
My name Schoolly School, I'm never alone
Just, rough and tough, and takin no stuff
All I really wanna know y'all.. am I black enough?
Am I black enough for ya?",https://genius.com/Schoolly-d-am-i-black-enough-for-you-lyrics
Signifying Rapper,Smoke Some Kill,UnKnown,"Yeah, what's up, what's goin on?
Before we start this next record
I gotta put my shades on
So I can feel cool
Remember that law
When you have to put your shades on to feel cool?
Well it's still a law, you gotta put your shades on so you can feel cool
You know what I'm sayin?
I'mma put my shades on so I can see what you ain't doin'
And you ain't doin' nothin, you ain't doin' nothin
That I don't see
Now let's get on with this shit anyway

Way, way down, in the ghetto Tee
The badass pimp stepped on the signifying rapper's feet
And the rapper said, Nigga can't you see
You're standin on my motherfucking feet?
The badass pimp said, Sure I ain't heard a cocksucking word you said
You say some more, I'll be standin on your motherfucking head
Yeah that's what he said
Cause every day, when the sun go down
The badass pimp come and kick that rappers ass all over ghetto town
But the rapper got wise, started using his wit
And said man, I'm gettin tired of this kick-ass shit
So early, early early the very next day
The rapper said, mister pimp, mister pimp I got something to say
There's this mean, big bad faggot comin your way
He talk about you so bad, turn my hair gray
Listen, listen to what he say
Listen to this mister badass pimp
This what the faggot said
He said, you know your daddy and he's a faggot
And your mother's a whore
He said he seen you sellin asshole door to door
Yeah that's what he said, listen to what else he said mister badass pimp
He said, your granny, she's a dyke
And your other brother, he's a faggot
And your little sister Loo
She's so low she sucked the dick of a little maggot
Yeah that's what he said
The badass pimp was mad
Jumped up in a hell of a rage
Hopped in his Caddy and loaded his 12 guage
Caught up with the faggot on 55th and Vine
Said you faggot, it's gonna be your ass or mine
The faggot looked at the pimp, and saw fear in his eyes
Said motherfucker, you better go fuck with somebody your own damn size
The pimp made his move, and thought he was fast
The faggot side-stepped him and kicked him in his ass
They fought all that night, and all the next day
That faggot kicked that pimp's ass in a hell of a way
Me myself I don't know how he survived
Came back to the projects more dead than alive
And the rapper, standin up on one of those tall ass project buildings
He said, DAMN somethin smells
He said, mister badass pimp look live you've been through hell
As I told one of my hoes before you left
I should've kicked your ass my motherfucking self",https://genius.com/Schoolly-d-signifying-rapper-lyrics
Gangster Boogie,Gangster Boogie/Maniac,UnKnown,"My age is young, my money is green
I shock all the ladies with my gangster lean
Well Flash cut the record down to the bone
They always got me rocking on the microphone
Come on young lady, cool out and chill
Check my man out on the wheels of steel
Cuts galore, rhymes galore
And you see young lady dancing on the floor
Cuz you sucker emcees, trying to cut my ryhme
Got the girls downtown, standing in my line
Got the ? president, trying to shake my hand
Got the number to you girl, and trying to land
Got an office downtown, with secretary brown
Girls and girls, hanging all around
Got the cheeba and the black, def cad-i-lac
Butter on popcorn, you know that they can ?

Young lady, don't be shady
Come and take a ride in my Mercedes
Up to downtown, all around the world
I love to see young fly girl
With their hair so long, skin so divine
You listen to me to say another emcee rhyme
Tarzan and Jane, was sitting in the tree
F U and C, K I N and G
Tarzan fell, and bust his ass
Because on the mix, was T-Ski Flash
Cheetah got hot, stuck it to Jane
Now the G-House rock can never be the same

Emcee X6

On the corner, selling some weed
And then came along, a sucker emcee
Say, yo Holmes, whats up with that?
And can I cop me, a nickel bag sack?
I said, a nickel bag, is Ninety Nine
You can't deal you better bite some rhyme
And then I laid down this MC rhyme
I said, ??, and glorious grand
He came along and put a mic in my hand
And then you shocked all the females all across the land
Then came along, singin a song
We wrapped the whole damn block and we never went wrong
Flash cut the record down to the bone
MC will you rhyme like a microphone
Then mix master, you cut it faster
Mix master cuttin it up faster
Mix master Mark, on the wheels of steel
He's layin down the rhythm, layin down the real deal
When he was born, his mother gave birth
To the baddest DJ on the whole damn Earth
He picked up the mix, he put it in his hand
He shocked all the females all across the land
Mix master, mix master, mix master cut a little faster
I was coming home one night, on the L
Insane MC tried to snatch my ?
I said, ""Yo homes, whats up with that?""
I pulled my 8 and he gave it back
He reached in his pocket pulled a bottle of wine
He asked me to say this MC rhyme
I said",https://genius.com/Schoolly-d-gangster-boogie-lyrics
Pussy Ain’t Nothing,Am I Black Enough For You?,UnKnown,"(Chorus)
Pussy ain't nothing but meat on a bone
You suck it and fuck and leave it alone
Pussy ain't nothing but meat on a bone
You suck it and fuck and leave it alone
Pussy ain't nothing but meat on a bone
You suck it and fuck and leave it alone
Pussy ain't nothing but meat on a bone
You suck it and fuck and leave it alone
(Verse 1)
Let me tell you a little tale about my nigga named joe
Joe had this girl, Sally the hoe
Sally said to Joe ""Let's go to a show""
Joe had to say no; they was too damn po'
Sally kinda callied, dillied and a-dallied
Looked up and down and stole the man valley
What Joe did to Sally, hit her with a rally, a left, a right, and that's the hoe tallied
Picked her up off the floor, threw her out the door
Said ""Now bitch, come back no more""
(Verse 2)
He went down to the ave with a nigga named Moe
Moe said ""Sally sell a little blow, make a little dough and I'll take you to the show""
But Sally didn't know that Moe had a hoe
Her name was Florence but people called her ""Flo""
Flo said ""Sally, uh you gots to go""
Sally got mad cause moe took the dough, sniffed all the blow, took Flo to the show
Moe said ""Sally one thing you should know, what you sow you reap, what you reap you sow.""
(Chorus)
Because, pussy ain't nothing but meat on a bone
You suck and fuck and leave it alone
Pussy ain't nothing but meat on a bone
You suck it and fuck and leave it alone
Pussy ain't nothing but meat on a bone
You suck it and fuck and leave it alone
Pussy ain't nothing but meat on a bone
You suck it and fuck and leave it alone
Pussy ain't nothing but meat on a bone
You suck it and fuck and leave it alone
Pussy ain't nothing but meat on a bone
You suck it and fuck and leave it alone",https://genius.com/Schoolly-d-pussy-aint-nothing-lyrics
I Don’t Like Rock And Roll,Schoolly D,1984,"(Intro)
Yo yo, man, whassup, man?
Whassup man, this ain't Prince? this ain't Prince?
It's Schoolly D., man, we rap!
Code Money man, say whassup man?

Rock and roll living is a thing of the past
And all you long haired faggots can kiss my ass
Started out rhymin' with DJ Lynn
You fucked it all up when you let Michael in
I'd rather be a gay and down at the dock
Then with some long haired tutti frutti running amuck
Because rock and roll is all illusion
Comes to no basic conclusion
Rap like jazz is not all fusion
DJ, 1200's you know he's using
I don't
I don't
Looking at my Gucci if you looking at yours
Five two Parkside in my tour of force
Hang out all night, keep girls real tight
Sippin' Coqui 900, make me feel all right
Met my main man Ski, looking for a fight
Till I get on the mic, make everything right
Girl in my face, boy giving me static
Sat by my side, 38 automatic
B-boy stance, Filas on my feet
Hang downtown on Market Street
So when the B-boys comin', we're comin' hard
So all you long haired freaks better be on guard
All you rock and roll lovers, we're knocking you out
Because that is what rap's all about
I don't
I don't
Say it loud: ""I love rap and I'm proud!""
Say it loud: ""I love rap and I'm proud!""
Say it loud: ""I love rap and I'm proud!""
Say it loud: ""I love rap and I'm proud!""
Chillin' one day, I met a girl named Reeba
Took her on the Ave, copped her some cheeba
Got real high as you will know
Thinking to myself I want to rock this ho
Didn't like rock and roll, said she loved rap
So I told her: ""Fly freak, sit upon my lap""
But I went too fast, gave me a slap
But I looked into her face, gave her this rap
When I rock a party, know I'll kill a microphone
You can call me MC, you can call me Al Capone
Came into the party, checked out my bass
But you rock and roll lovers, get a gun in your face
Cause I came into the party with my speakers on
Rock microphones, all night long
Dance to the beat, because you know who's in charge
No other MC's got this kind of song
I don't
I don't
Def and mighty, rap all nighty
Chill out hard with my homeboy Tidy
The beat ain't righty, for you and ladi
We mean you ladi will have to party
Not a rock and roller, but a mic controller
I get bad, watch her and bone her
The bitch ain't stroller, chill right, roll her
You left your girl, but you know I stole her
I don't
I don't
Say it loud: ""I love rap and I'm proud!""
Say it loud: ""I love rap and I'm proud!""
Say it loud: ""I love rap and I'm proud!""
Say it loud: ""I love rap and I'm proud!""",https://genius.com/Schoolly-d-i-dont-like-rock-and-roll-lyrics
