title,album,year,lyrics,urls
Funkdafied,Funkdafied,1994.0,"So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
[Verse 1: Jermaine Dupri & 
Da Brat
]
Open up, open up
And let the funk flow in
From this nigga name J and his new found friend
I'm hitting switches like Eric
 on the solo creep
For yo jeep it's the B.R.A.T
Putting the dip in your hip from right to left
It's the ghetto ass bitch and I'm So So Def
Nigga that's my click, nigga that's who I rolls with
And we kicks nothing but the fat shit
Them calls me the funkdafied, funkalistic, vocalistic
With the real shit, we got the shit you can't funk with
(Why?)
Because we so funkdafied
(Why?)
We make you move from side to side
Well, it's da G H da E T T O, nigga
Brat and J.D. coming like that big baby
So lay back and listen as I catch up on my pimping
And freak this duet just like Ashford and Simpson

So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied

Puttin' it down, puttin' it down ain't no thang to me
And ain't too many hoes that can hang with me
It's like that and as a matter of fact
When it comes the Brat tat-tat-tat
I got the shit to make your neck snap back
Meaning I got the shit that a get'cha bent
Tear the roof off this mutha like Parliament
I'm on a roll In Control like Janet, dammit
Brat, you're the funk bandit and they can't handle it
I know, that's why I keep hitting em with this grammar
Letting niggas know that I'm the real mama jama
Straight to the head like a chronic sack
[Verse 4: Jermaine Dupri & 
Da Brat
]
I pass the mic to the Brat
And yo I passed it back
Well, a sistas and fellas
It's time to get your groove on
I provide the funkdafied sounds that make yo move, homes
Breaking these fools off proper like
It's S.O. S.O. D.E.F. dynamite
Humunah, humunah, comin' up at cha like Ralph K
And since this ain't no Honeymoon, I'm here to stay
And the way we coming at cha
Baby we can't miss
There's a new Tag Team in town
Nigga, Whoomp, there it is

So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied
So, So, So Funkdafied",https://genius.com/Da-brat-funkdafied-lyrics
Dirty B Side,UnKnown,1996.0,"B Side, B side, ha, check it
So So Def ... Bad Boy ... collaboration
The Notorious BIG in the house
We got Da Brat in the house
And me, y'all know who I be
Check it ...

I got that shit all you niggas just love to ride to
Funk for your trunk is what I provide you
So slide through your hood with me in your deck
Cause your correct way to get your groove on, Flossin'
And I paid the costs to be the boss as a kid
Fucked around and made some shit you can't fuck with
They thought luck did it, but it didn't cause I'm back again
Back with the Big and my new-found friend

Sliding in from the front, never way behind
Niggas wonder how I came with this style of mine
Remain in your seats as I release the clip into yo' hip
Brat and Biggie Smalls...

Aw, shit!
On top of all that, 
I'm so, so
 remarkable
Flow to make you motherfuckers know
Ain't an MC coming close to touch
Bitches I like to fuck, guns I like to bust, so...

Lay on back (listen to the B side), light up the blunts
As we give you motherfuckers just what you want
Lay on back (listen to the B side), light up the blunts
As we give you motherfuckers just what you want

I never knew, niggas never had a clue
On who was the king of the street
Four deep in the Range Rover jeep, guns under the seat
And my nigga just came home from work release
Cristal in my lap, chronic in the air

Nigga, pass that shit like you just don't care)

Yeah, you on my shit list, Biggie burns spliffs
When I'm pissed, release the Rolex from your wrist
Nigga, no human being, Korean or European
Be seein' what Big be seein', I leave 'em peein'
In they draws, because Biggie Smalls
Is far from weak -- Brat-tat-tat, please speak ...

Nigga, close your eyes, cause you already see
The Notorious B-R-A-T)

The raw combination, the destination
Number one tote a gun with no hestiation
Live with the funkdafied cutie pie
Gat by the thigh, the Smalls by her side
If you fuck with her you got to fuck with me
And we'll be rapping at your motherfuckin' eulogy, so ...

Lay on back, light up the blunts (as you listen to the B side)
As we give you motherfuckers just what you want
Lay on back (listen to the B side), light up the blunts
As we give you motherfuckers just what you want

Brat-tat-tat-tat, please speak ...

I got the funk in my pocket, shit stay locked down
The nigga you know who represent them platinum sounds
Now baby Biggie, I done heard that Juicy
Didn't find nuthin but truth, in the hook
Be a pleasure to wreck with a notorious nigga ready to die
I jumped in the Benz, took me a little ride
Round the mountain, broke a left, hit SoSoDef
And told that nigga JD I was the one, fuck the rest
We Funkdafied, kicking it live
Robin Leach teach a nigga how to really survive
Whether it be track or blunt, ain't no need to front
Got what you need, and I take everything you ever wanted, nigga
We comin' mass, his pimpin' ass, his glass is full of Moet
The Rolex is bar-bayed, parkade, B to the R-A, T
Rolling off swoll on chrome 17

Lay on back (listen to the B side), light up the blunts
As we give you motherfuckers just what you want
Lay on back (listen to the B side), light up the blunts
As we give you motherfuckers just what you want

Lay back, listen to the B-Side
Slide, glide, do whatever you want
Get out your lighters
We be the rhyme writers
Starters ... from the heart of College Park
New York, Chicago ... wherever you wanna go",https://genius.com/Da-brat-dirty-b-side-lyrics
What’Chu Like,Unrestricted,2000.0,"Oh, look out
Oh uh, come on
What'chu like, a whole lot of, whut?
(Tyrese yeah)
What'chu like, me on a, whut?
(What'cha like, what'cha like?)
What'chu like? (Can you tell me, baby)
Why? How? All night long
(All night long)

I like 'em brown, yellow, Puerto Rican or Haitian
 with
Good conversation plenty big faces
It's a must I stay luxurious
Jewelry cut precision like I bust
Been winnin' since Funkdafied blew up
It's evident, shit I can't be touched
Niggas say I'm too much, I trust it's true
Why lie? See for yourself when I slide through
Drive by, your bitch say don't look, you do
Shine so bright in the wet U2
You wish boo boo could ride with you tonight
Ain't nothing in the world that Brat can't do
She attractive to them, him, her, and you
 shit
Frostbit, December Unrestricted
Drop dead, the cost is priceless
Due to the content I suggest you'll like this

What do you like?
A whole lot of foreplay
Right before you get it started
What do you like?
Me on top
You on the bottom, tight body
What do you like?
Somebody that can make you say
Wow, know how to all night long
All night long, tell me

Whassup? The setting, a hot-ass club
And you still be sweating me
I don't see nothing wrong with giving a little love
But nigga just let me breathe
Damn, you cute as hell so let's switch the digits
Then I got to leave
And you can buy me a couple of drinks
But I'mma go socialize and smoke my weed
And I like it when you keep your eyes on me
And I like it when you touch my privacy
And I like it sex and ecstasy
When the belt buckle loosen up, undress me
Already juiced up, that come naturally
Wax on and off so romantically
No woman can slow dance or throw down like I can
Ask if you curious to know what I like, man

What do you like?
A whole lot of foreplay
Right before you get it started
What do you like?
Me on top
You on the bottom, tight body
What do you like?
Somebody that can make you say
Wow, know how to all night long
All night long, tell me

Let me tell you something
Well I start at the top of the list
With my pretty eyes, a cute nose and these fat ass lips
My medallion sit in the middle of my tits
It's hit after hit, shit sweet every sip
Down to the last drip drop, watch the hips rock
Color Me Bad, tick tock you don't stop
'Till the thick thighs, dick rise when I skip by
I ain't surprised I'm what'chu like nigga

What do you like?
A whole lot of foreplay
Right before you get it started
What do you like?
Me on top
You on the bottom, tight body
What do you like?
Somebody that can make you say
Wow, know how to all night long
All night long, tell me",https://genius.com/Da-brat-whatchu-like-lyrics
Da B Side (Clean Version),Anuthafunkdafiedtantrum,1995.0,"B Side, B side, ha ha...
Check it...
So So Def...
Bad Boy...
Collaboration... (Listen to the B side)
The Notorious B.I.G. in the house...
We got Da Brat in the house... (Listen to the B side)
And me, ha...
Y'all know who I be...
Check it (Check it...)

I got beats and beats that you love to ride to
Funk for your trunk is what, I provide you
So slide through your hood with me in your deck, cause your
Correct way to get your groove on
Flossed
And I paid the costs, to be the boss as a kid
Now I be the one that you can't mess with
They thought luck did it, but it didn't cause I'm back again
Back with the B.I.G. and my new found friend

Slidin' in from the front, never way behind
You tryin' to figure how I came with this style of mine, remain
In your seats as I release the clip
Into your hip
Brat and Biggie Smalls

Aw shit
On top of all that, I'm So, So
Remarkable flow, making competition know
Ain't an MC coming close to The
Notorious B.I.G., baby baby (Oh)

Lay all night (Night...) (Listen to the B side)
Everybody just, Lay all night (Night...) (listen to the B side)

I never knew that you never had a clue
On who was the king of the street
Four deep in a Range Rover jeep
Guns under the seat
And my man just came home from work, release
Cristal in my lap, chronic in the air

Now Biggie pass what's lit like you just don't care

Yeah, you're on my hit list, Biggie burns spliffs
When I'm pissed, release the Rolex from your wrist, baby
No human being, Korean or European
Be seein', what Big be seein', I leave 'em peein'
In they drawers, because Biggie Smalls
Is far from weak
Brat-tat-tat, please speak

Just close your eyes, cause you already see (Who)
The Notorious B.R.A.T

The raw combination, destination
Number one tote a gun with no hestiation
Live with the Funkdafied cutie pie
Gat by the thigh, the Smalls by her side
If you mess with her, you got to mess with me
And we'll be rapping at your eulogy, baby (So)

Lay all night (Night...) ( as Listen to the B side)
Uh ay ay, Lay all night (Night...) (listen to the B side)
Ha ha

Brat-tat-tat-tat, please speak

I got the
Funk in my pocket, keep it locked down
The soldier you know who represent them, platinum sounds
Now baby Biggie, I done heard that Juicy
Didn't find nothin' but truth
In the hook be a pledging to wreck
With a notorious hustler Ready To Die, I
Jump in the Benz, took me a little ride
Round the mountain, broke a left, hit, So So Def
And told the homey JD I was the one above the rest, we
Funkdafied, kicking it live
Robin Leach teachin' me, how to really survive
Whether it be, track or blunt, ain't no need to front
Got what you need, and I take everything you ever wanted
Knucka
We comin' mass, his pimpin' ass
His glass is full of Moet, the Rolex is
Bar-bayed, parkade
B to the R-A-T
Rolling off swoll' on chrome seventeen

Lay all night (Night...) (Listen to the B side)
Uh uh give it what you want give it what you want, Lay all night (Night...) (listen to the B side)

Oh yeah haha uh uh uh
Lay back
Listen to the B-Side
Slide, glide, do whatever you want
Get out your lighters, huh
We be the rhyme writers
Starters
Hardest
From the heart of College Park, New York
Chicago
Wherever you wanna go",https://genius.com/Da-brat-da-b-side-clean-version-lyrics
Give It 2 You,Funkdafied,1994.0,"I'm gonna give it!!
1 for the money!
2 for the bass!
3 to get ya goin'
I'm gonna give it to you
Cause Da Brat's in the place!
I'm gonna give it to you
[Verse 1: Da Brat & 
Jermaine Dupri
]
It's me, the O. G. funk bandit
Who's that?
The B to the R-A-T and in fact
If you ain't heard of me
Take a seat, lay back and listen
As I bust for yo ass on this funkdafied mission
Just kick off your shoes and relax your feet (That's right)
Party on down with Da Brat and her beat!
Now it goes like that and thats how it goes
I'ma give it to all you negroes and hoes
So listen up, make sure you listen up well
And don't miss shit cause this bitch be bad as hell!
Truth of matter is I splatter kids
That talk shit
And in a gangta's way, that's how them fool's get dealt wit
So want you wanna do bitch, don't even trip
Step up, step up
And I'ma bust yo lip
Cause I know that you know that I know you don't want me to
But keep on trippin' and I'ma give it to you

I'm gonna give it to you
Gonna give it to you
I'm gonna give it to you
Gonna give it to
I'm gonna give it to you
[Verse 2: Da Brat & 
Jermaine Dupri
]
Brat is the fantastic, romantic, single-handed bandit
And damn it
Don't get no better
Better it don't get no more
Than the flow that I flow for you negroes and hoes
Devastating, captivating, elevating, And am I
Smooth Operating and I love to get high
Well nigga fire up, nigga fire it up
At your request I guess it's time for me to get fucked up
It goes 1 puff, 2 puff, 3 puff, 4!
From the bottom to the top, top to bottom I go
So now you know, what I ain't and what I is
It's the baddest new bitch in this hip-hop biz
O. G. Is what I Am!
A brat is what I Be!
Blunts are what I smoke!
And you can't see me!
So let it go, cause my shit is tight
Take it how it give it and enjoy the night

I'm gonna give it to you
For the 9 fuckin' 4, it's Da Brat and you don't know
(I'm gonna give it to you)
You betta ask some mothafuckin' body
Lodi dodi I came to party
Bee-otch!
Ha ha ha
Ay, JD sing this shit with me, boy
(I'm gonna give it to you)

Word up hey, word up hey
Word up hey, for real though, shit
Word up hey, word up hey
Word up hey, for real though

I'm gonna give it to you
Gonna give it to you
I'm gonna give it to you
Gonna give it to
I'm gonna give it to you
I'm gonna give it to you
I'm gonna give it to you
I'm gonna give it to you
I'm gonna give it to you",https://genius.com/Da-brat-give-it-2-you-lyrics
That’s What I’m Looking For,Unrestricted,2000.0,"Hey JD, why you be saying oh, oh
Is that like flossin' shit?
You just like walk in and so people say, oh shit, it's him
Bounce to this, come on

Where my rag wearing soldiers that
Love to watch the dough stack
Never leave the house without their strap
(That's what I'm looking for)
They know just what a woman need
Keep a big bank roll and a bag of weed
When it's time to go down they ain't scared to freak, shit
(That's what I'm looking for)
Where my Rolley wearing thugs who
Claim they don't love you
But any time you want something done, they do it
(That's what I'm looking for)
The ball all night type
Frontin', screaming, thug life
That's the type of nigga I like
(That's what I'm looking for)

Uh I get high, get mine
I like a thug in my life to get by
That's why I spit shine the pussy
'Till it get tight and fine
He push me over to the other side
If he act right he could hit it from behind
We can bump and grind all night 'till we reach a climax
Make sure you leave a phat sack for Brat
Till you come back for more
Six pack surrounding my belly hole, it's tight
You ain't gotta tell me So
So Def is the way that I flow
Made to blow, pave the road
Unfadable, capable to save your hoe
Wherever I go, stack dough
I'm looking for a nigga roll, that ain't broke
If its time to lick of shots he don't trust
Even know how to flip cocaine and when the funds is low
For the show stopper, this for the know nadas
Shit get mo' hotter, nigga holla my name
They follow me when I drivin' the Range
And wait for me to finish performing backstage
Never have a nigga yawning
When they keep up with the shorty
Weed pumping as strong as me
Gotta be the ball all night type
I like it every minute when he charmin' me

Where my rag wearing soldiers that
Love to watch the dough stack
Never leave the house without their strap
(That's what I'm looking for)
They know just what a woman need
Keep a big bank roll and a bag of weed
When it's time to go down they ain't scared to freak, shit
(That's what I'm looking for)
Where my Rolley wearing thugs who
Claim they don't love you
But any time you want something done, they do it
(That's what I'm looking for)
The ball all night type
Frontin', screaming, thug life
That's the type of nigga I like
(That's what I'm looking for)

Stretch out your arms
Flip out your wrists
Let me see what to hit for
I'm fixing to know if you can afford to cop
A couple of dem thangs for your girl to rock
When we stepping in the door we killing 'em
Let the heads know we ain't feeling them
Or affiliated with them
I glisten and glow, 38 caliber go pop
Niggas that wanna show off
Don't just stop
My soldier's not having that
I'm looking for a thug that'll kill for Brat
And make million dollar deals for Brat
And pay some of the bills for Brat
And just chill for Brat
Watch dough stack, been broke, am I goin' back? Nope
Need to know how to surround a bitch with stability
Get down, bitches, if he feel me, rich now
I can't afford to sit down, get bored if
We got hits out nigga need big clout
Don't crowd my space if we dip out
Running with some other nigga face he don't trip out
Never leave the house without weed and a Glock
Even got keys to the spot to drop the PO Box
And in the drawer when he find his underwear
I keep a fresh do rag in his hair

Where my rag wearing soldiers that
Love to watch the dough stack
Never leave the house without their strap
(That's what I'm looking for)
They know just what a woman need
Keep a big bank roll and a bag of weed
When it's time to go down they ain't scared to freak, shit
(That's what I'm looking for)
Where my Rolley wearing thugs who
Claim they don't love you
But any time you want something done, they do it
(That's what I'm looking for)
The ball all night type
Frontin', screaming, thug life
That's the type of nigga I like
(That's what I'm looking for)

That's what I'm looking for
That's what I'm looking for
That's what I'm looking for
That's what I'm looking for",https://genius.com/Da-brat-thats-what-im-looking-for-lyrics
Let’s All Get High,Anuthatantrum,1996.0,"No stems, no seeds that you don't need
Acapulco Gold is badass weed

Somebody call the cops
Let 'em know the funk bandit's back
With 
more bounce to the ounce
 it's the brat tat tat tat
The funk-keeper
Competition's sweet but known for makin' speak
Cause bleed smokin haloweed
Givin' You what 'cha need
Indeed I'm nice
Jewelery full of ice
The industry ain't been the same
Since I came to sprinkle my spice
Tonight's the night and we gonna all get lifted
Recognize the gifted and how there's no fuckin' around
In the west-side district
Get it twisted
If you wanna choose your destiny
Leave all that simple shit at home
And bring your fuckin' best to me
Cause right here playtime stops
Okay, rhymes flop and all that real-deal shit hits tops
See I'm the cream of the crop, head bitch in charge
And there ain't nothin' or nobody that I've barred thus far
Repitoire full of wicked shit
Lay back kick a shit
All the right shit to give a nigga a hit

If you let's nuthing hold you back
And your limit is the sky
Throw your hands in the air and let's all get high
Roll up a fat one and pass it around
Lay back hypnotized to the funky sound
If you let's nuthing hold you back
And your limit is the sky
Throw your hands in the air and let's all get high
Roll up a fat one and pass it around
Lay back hypnotized to the funky sound

Now roll up a sac so that we can smoke it together
Now how high can you go cause you know we can choke
Take it slow, We smoking junk
Cause you rolling wit moe
We having a celebration
We doing this all night if you wanna get away
You can play em other times
And don't forget my niggas be doing this shit the thuggish way
We have you thugging where the thug lately? We Krayzie
But niggas don't drop we got the bud blaze-ay
So if you get out. Better get with this crowd
I bet you wanna get weeded
Fuck wit your thugs out of Cleveland
Stay peyoted and tweeded them thugs we blazing we fiending
Now can you feel this connect with So So Def Mo Thugs
My squad and yo posse my nigga we goin 
be alright
So come around everybody party down get down
And let that real shit hit yo' chest cause I know when I get that hydro
My nigga thugsta come and give me some love
Can somebody bang and slang yo' dog with couple of thugs from the
Cut

You wanna fly, you wanna fly, you wanna fly
We could all get high, get high
The shit we keep we got you hypnotized
Ain't nobody dealin' with me
My nigga J can get his smoke on man
Cause if we go broke you won't feel bad

Yeah. But there's enough hundreds for that to never happen in action
Certified platinum slashin' bastards
Draw shit faster than eastwoods, I wish you could be like me
I broke the Mo with fatality, visual shit that you can see
These synthetic niggas usually smoke refos with my peeps
Get deeper than any bitch
Watch me and yo' nigga creep
Sky's the limits, Damn them lights cause Krayzie got the Hydro
Inject a deadly venom grinnin' and watch them all die slow
We non-fictional characters carry grudges till it's dealt with
Underestimate the wrong bitch and get yo' shit spend
You better light a splife and mind yo' motherfuckin' business
Or get that ass put in the witness protection program
Till I'm finished, diminished
Your entourage is my level
Blindin' like the VVS rocks possessin' like the devil
Pushin' custom drop-tops
Keep Segante' in the glove box
Puffin' with crooked cops
And can't nuthing hold me back cause nigga my shit don't stop
 (repeat til fade)
You wanna fly, you wanna fly, you wanna fly
We could all get high, get high",https://genius.com/Da-brat-lets-all-get-high-lyrics
Fa All Y’all,Funkdafied,1994.0,"I am..... quick to pull the trigger quick to pull your card
Hard late for the boulevard
It's Da B to the R-A-T with the bump
Sendin good vibrations from the trunk to the front
Of your ride (ride) where I live that's what they like (like)
So that's what I give
Somethin for them fools when they crawl and creep
And creep and crawl, it's fa all y'all
Well..........

Who's that makin that funky noise?
It's Da Brat-tat-tat-tat bustin out on that ass
Fa All Y'all, Fa All Y'all hey hey hey (you don't hear me, though)
Who's that makin that funky noise?
It's like that, it's like that, it's Da Brat
Fa All Y'all, Fa All Y'all hey hey

Now that Da Brat's in the house yo the house is packed
Guys and girls everywhere with a hump in they back
As I slang my funk like a boulder moves through the hood
All Fa Y'all cause everything is good
Now..... lay back listen to the phattest
Listen to the baddest rhymin' apparatus
At a status you ain't got to check
Cause y'all knows that I definitely gets wrecked
So,  uh

Who's that makin that funky noise?
It's Da Brat-tat-tat-tat bustin out on that ass
Fa All Y'all, Fa All Y'all hey hey hey (you don't hear me, though)
Who's that makin that funky noise?
It's like that, it's like that, it's Da Brat
Fa All Y'all, Fa All Y'all hey hey

Gotta give thanks to the funk when it's time to pray
With some fine ass dank now it's time to play
That shit from that ghetto ass bitch me be
B to the R A to the T
Just niggas and bitches on every side
Waitin for the chance to get funkdafied
And all they gotta do is learn the words of this anthem
I'll grant them if you can chant them
Like everybody else..

Who's that makin that funky noise?
It's Da Brat-tat-tat-tat bustin out on that ass
Fa All Y'all, Fa All Y'all hey hey hey (you don't hear me, though)
Who's that makin that funky noise?
It's like that, it's like that, it's Da Brat
Fa All Y'all, Fa All Y'all hey hey

I promise to funk
The whole funk
Nothing but the funk
I promise to funk
The whole funk
Nothing but the funk",https://genius.com/Da-brat-fa-all-yall-lyrics
Fire it Up,Funkdafied,1994.0,"Now this some bad weed

My day starts out light, but ends up very heavy as the night approach
When I take flow from all that smoke that I smoke, no joke
As I commence to take flight its gotta be first class cuz this ass
Could give a fuck about coach....bitch
(How high do you fly when you fly Brat?)
From the bottom to top- top to bottom and back
Now as I lay me in the cut gettin' fucked up
Puffin on blunts and comin' up with some mo of dat funky stuff
Rough and tough is not enough to keep my focus
No its that hocus pocus abracadabra smoke just
Fills up the room as I breathe again
Once more from the ghetto its them braids and
When flossing in my Benz with my friends it begins
Smell the aroma puttin' you in a coma
Its dat super stinky dank that'll make ya faint go blank
Hey when I its the door all my niggas say

Adi adi adi adi ah... (its probably all that chronic that I smoke)
Oh How we love it when ya fire it up
Adi adi adi adi ah...layin in da cut gettin real fucked up
Adi adi adi adi ah... (its probably all that chronic that I smoke)
Oh How we love it when ya fire it up
Adi adi adi adi ah...layin in da cut gettin real fucked up

Its a new day new day truly ain't nathin changed
Fall up out my bed to the same ol' thangs
Your averaged, everyday black surrounded, bar-b-que, a little weed
Its some niggas with some bass pounding
One o'clock is the time to raise
Take a shower brush my teeth and correct my braids
Now listen up to what I say because this type of shit, it happens everyday and
(I gotta place where I soak some so) In the summer its a pool
In the winter its a smoke hole
20 feet away from the house in the back
Surrounded by a gate draped in all black
(Its where me and my homies go smokin' on that dank 'till it ain't no mo)
How we smoke? (we smoke to the maximum)
Doin our thing kickin' back relax and um

Adi adi adi adi ah... (its probably all that chronic that I smoke)
Oh How we love it when ya fire it up
Adi adi adi adi ah...layin in da cut gettin real fucked up
Adi adi adi adi ah... (its probably all that chronic that I smoke)
Oh How we love it when ya fire it up
Adi adi adi adi ah...layin in da cut gettin real fucked up

We like to smoke, we like to smoke, we like to smoke baaaby
(I pledge allegiance to the bags of marijuana)
We like to smoke, we like to smoke, we like to smoke baaaby
We like to smoke, we like to smoke, we like to smoke baaaby
We like to smoke, we like to smoke, we like to smoke baaaby
(I pledge allegiance to the bags of marijuana)",https://genius.com/Da-brat-fire-it-up-lyrics
In Love Wit Chu,"Limelite, Luv, & Niteclubs",UnKnown,"Oooooh I'm in love, I'm in love, I'm in love, I'm in love wit chu
And it ain't nothin I won't do for my baby
You drive me crazy and ya make me say
Oooooh I'm in love, I'm in love, I'm in love, I'm in love wit chu
And it ain't nothin nobody can say cuz you're the one for me baby

When I wake up in the mornin (It's you)
When I can't sleep at night (It's you)
When I'm tossin and turnin (It's you)
When my body yearnin (It's you)

I'm in love like Maxwell, 
you see me cryin
 but I just can't help it
My self esteem is even higher when I'm walkin wit chu
You give me fire and desire like Tina Marie and Rick James do
I dont care burn up the minutes on the cell
Just turn up the music and feel it as hard as hell
I get abusive with the flow zone deep
When I seduce em they just wanna hold me
Cuz im so supa and It's real not phony
With it youll neva be lonely
Its been official I'm hot
And since you is lets do this
I'ts seems ive been shot by cupid
And I'm gon stop, think not thats stupid cuz...

Oooooh I'm in love, i'm in love, I'm in love, I'm in love wit chu
And it ain't nothin I won't do for my baby
You drive me crazy and ya make me say
Oooooh I'm in love, I'm in love, I'm in love, I'm in love wit chu
And it ain't nothin nobody can say cuz you're the one for me baby

I'm in love wit chu more than my car
More than my house
More than the night I keep yo neck comin outta my mouth
I can't get you off my mind
Finally found somebody who sees me besides whats on the outside
Fine as Roy Jones, think ya movin my bones
Yo presence makes everything else irrelevant when we close
Turn off the 2-way you lay your head on my pillow and do me baby!
The rhythm on ya get yo groovin baby!
And we can rock it till the broad daylight
Bodies knockin the boots destroyin property
Proppin me up to get through it ain't right
How ya feelin on my boooty It's just yooouu and me
Unexplanatory the way that you adore me
Lord have mercy somebody gon have to pray for me
I'm worthy my service superb
And on purpose im swervin all the way to your heart

Oooooh I'm in love, I'm in love, I'm in love, I'm in love wit chu
And it ain't nothin i won't do for my baby
You drive me crazy and ya make me say
Oooooh I'm in love, I'm in love, I'm in love, I'm in love wit chu
And it ain't nothin nobody can say cuz you're the one for me baby
 - 2X
When I wake up in the mornin (It's you)
When I can't sleep at night (It's you)
When I'm tossin and turnin (It's you)
When my body yearnin (It's you)

Oooooh I'm in love, I'm in love, I'm in love, I'm in love wit chu
And it ain't nothin i won't do for my baby
You drive me crazy and ya make me say
Oooooh I'm in love, I'm in love, I'm in love, I'm in love wit chu
And it ain't nothin nobody can say cuz you're the one for me baby",https://genius.com/Da-brat-in-love-wit-chu-lyrics
