title,album,year,lyrics,urls
Range Rover Rhythm,A Dream Deferred,2012.0,"Holla like whatever all we needed was a reason
All this money they been showing they got reasons through the ceiling
All we wanted was a part, all this seeing is believing
From the jump its from the heart, pardon we wit all this breathing
All this anticipation, all this keeping this shit even
All these hands in the way when all they reaching is beneath 'em
All these plans we done made, all we see is what we keeping
All you standing in the way is only leading us to be it
Bet whatever on the vision, if they get it then they on it
If they don't but they close enough to see us and adore it
Let em watch from over there, let em watch and know we here
Better dreams while we up, better watches for your stares
Call it Range Rover rhythm, and may we go and get 'em
At the will of what we on, and may we blow the engines
May it be just what we want, and may it all glitter
Just the same as what we saw cause what we saw was fucking splendid
All the scenery they threw us, easy to influence
Nothing bout us changed, so you can leave us if you knew us
Jumping out a Range had us dreaming to maneuver
And mu'fuckas tryna brand new us

Range Rover rhythm
Corner store signature
I don't do it for me
I do it for the liquor store
Said we knew what it be
Knew it what's about
Tryna 80 thou' somethin' 'fore we out

(And all we kno is) how the sweetest dream couldn't be anymore heinous
Promise if you sleeping you'll see where we all aiming
Cause dreaming is all tainted, but we was on that anyway
Should've never offered us to get a taste
Good to enough to want it on a bigger plate
Climbing thru a kitchen tryna get a plate
Either find a way or go and drill away
Living like, 400 a pair, yea my Penny's straight
Living like the ending was beginning with a get a way
Another day, another dollar, we just tryna get a day
And pull a whole decade within a day
Promise you my Penny straight
Straight enough to '95 Hardaway penetrate
And open up a lane if they don't give a lane
Lanes open bigger for that Range Rover rhythm
Tryna open up the hood and put a name on that engine
If it go misunderstood, I'll remain on my pivot
For a steering wheel draped in a vision


Hospital days, reflecting when my man laid up
On a uptown hot block he got his side sprayed up
I saw his life slippin', on the day in question I told him
I would've went wit him, thank God he ain't listen
Reminiscing over Henny and all of them pictures
We ride around now knowing we're probably different
And how it sounds now, know me as part of the feeling
I gave it life, muthafuck a honorable mention",https://genius.com/Skyzoo-range-rover-rhythm-lyrics
Suicide Doors,Music For My Friends,2015.0,"As I think of how to begin this, I already thought up the ending
And if the ending dictates the way the start of it’s written
Then I’m really rewinding what isn’t, get it?
Swear it gets harder to get it but when you got it
To get it again’s more innocent, it’s like product
Concealing the end is in a sense how lights got us
And sealing the win’s where it begins, it’s right by us
Labeled it type bias, to be one in the same
Or maybe they might buy us, to see one of us change
Or say that they might bye us, and leave us yet again
For a gain like pills on the banners of your screen
Know to handle the regime is the handle on the lead
And the hands do extend ‘til a hand is outta reach
And the reach be the limbs that’ll balance out the means
And the means to it all will get a ski mask involved
And you winning or you swimming in a flood of the maroon type
Sheets by the dozen and you covered by a boom mic
Pardon, the most humble of an autograph
The threaded needles of Desert Eagles and honors raps
The high of thinking you can find more
The balance of the script when a shooter signs off
Ballerina fits like two inside four
All for the intrigue of a suicide door
…

Saw the doors lifting up
And then they never came down
I mean they rode around the block with the doors lifted up
Like they was flying off the ground
And then they told us that they call those suicide doors
They said they call those suicide doors
The break lights was 100 dollar bill green
And we was green for a suicide door

And as we take this to a further route
The steps move like its word of mouth
The steps move like if they was stepping with us when we further out
So step two becomes to work around
It gets lighter than a fly knit, tighter than a eye slit
Brighter than the writer you was bright enough to climb with
Complimenting you while biggin’ up me
Just brings us up to speed to the steps that we aligned with
Then it all ties in, tied up to keep down
Or cover up your eyes when it flies like you Dee Brown
The complexities of rubbing arms next to me
It all adds to these bags of longevity
It’s like, I’m Wayne Shorter with a ratchet fetish
Or, I’m Mendecees with a jazz collection
In other words, I covet what they covered
Like overflowing cupboards spilling Gold Medal dreams
And running to the cupboard like you’re gold medal breed
Or bred, and fed how that Gold Medal steam
Meanings all over, you can pick the one that suits you
Depending the tie the accessory could lose you
See how we still twisting shit together?
Black ice dangle from the mirror that reflects us
Black ice tangled til the loop is tied off
All for the intrigue of a suicide door
…",https://genius.com/Skyzoo-suicide-doors-lyrics
Dreams In A Basement,A Dream Deferred,2012.0,"Chucky: It's quiet here
Fresh: Yeah, I like to come here
Chucky: It's lonesome, you know what's whack
When I'm down with the posse or at home and shit
And everybody be screaming and yelling and shit, it gets real lonesome
It be like crowded and noise and screaming
And suddenly it feels like I'm the only one there
Fresh: The more people there is, the lonelier it get
I have this dream
Chucky: Yeah, like what
Fresh: Nothing, sometimes I have it, that's all

Celebrating the win, celebrate what it meant
Do remember and celebrate it again
Right newly winners we celebrate where it went
And sewn different we celebrating the hem
Right you sing along you celebrating the hymn
Bet em to prove me wrong you'll be celebrating they end
Tell em its crew first, we celebrating with kin
And fuck an E for effort, don't celebrate the attempt
My attempt be, everything the rent be
Call it hand-in-hand but a hand can't be empty
So I was in the basement sparring with complacency
And my weaving got me off when it would tempt me
Sofa beds and dealing with being better than all that you listen to
And feeling like it's whatever as long as it get to you
For the nod and the doze and the open yawn
Shit is beyond what they hope, tell em no regards

Sometimes I wonder will I ever sleep the same
Cause I, I let these dreams keep me awake
Said I need more, I just need more
Cause I need more, said I need more
So I dream

For all the Grand Aves, all the Merrick and Lindens
All the Fulton streets, forever we did it
May we never forget it nor what it took to be it
And for the taking when we take it like it took repeating
They took to me and I took em home
I shouldered all of it, brave enough to look alone
Looking thru blinds tryna look for time, counting to hook a line
Tryna serve what you deserve but still cooking mine
Pint of Hennessy, tryna write a memory
Live it and forget it like tonight was like the end of me
Right in a basement loaded with ambition
Smothered by it they wanna eye it but can't listen
Sleeping with the cousin of sleep and her hands vivid
Turn for the win but most of em can't pivot
For the nod and the doze and the open yawn
Shit is beyond what they hope, tell em no regards


For the sleepers, and for the dreamers
For the awake and everything that's between em
For the awake and everything they believe in
And when believing ain't enough, I be up
I be up on the other side, where the others tried
For the other ride, or otherwise
Otherwise I'll be sleeping here wit y'all
But dreaming ain't enough so if sleeping is involved
Ill be up, on the other side, where the others tried
For the other ride, otherwise, dreaming ain't enough, so I'll be up",https://genius.com/Skyzoo-dreams-in-a-basement-lyrics
Spike Lee Was My Hero,A Dream Deferred,2012.0,"I heard D's from my pillow, right?
Made me lean out my window, right?
Knew the scene from the get go, right?
But Spike Lee was my hero
Say you here by any means
Tell 'em ditto, uh
But Spike Lee was my hero

For the heroics, capes on to notice
Waited for them to show it and traced all of the motives
The motive beyond reason to pay us all in the open
Like maybe all them below us is waiting for us to throw this
If money talks in another kind of slang
They hover by it again til you changing all that you've spoken
Like ""where the speech at?"", tell em that you breathe that
And shit is asthmatic the way they hang on the feed back
Fuck em all until they know that you mean that
And they're ripping up your drivers side, digging thru your g-pack
Talking Hamsterdam and they don't believe that
And hanging out my window helped me see that
You know the scene, rubbing shoulders with the cast like I wrote the lead
Shit I just wrote where we was at and put that over these
Bad bitches want Isabel Marants
And we all tryna give them what they want so you know the speed


They said its rules to the shit
Money that should be ours, the pursuance from the get
I'm true indeed for a flip
I'm due in need of a flip, but as true to me as it is
I'm still, truly yours and truthfully for the win
I'm still, doing more for you and me off the rip
I'm built, by what I saw so usually what it is
Is everything that it was, beautifully on the strip
Standing underneath an awning and hoping to get a morning
I swear they so belonging
Of all of these wide bodies and whatever other callings
Of all of these Nola Darlings
The tug of wars on Strike Dunham and Dap Dunlap
The Jesus Shuttlesworths and what it took to become that
The phone booth can be where you change or where you pump at
My heroes took turns wit who would run that
So for all the Pierre Delacroixs, the Man Tans and Sleep-N-Eats
And all the money from hand to hands that we can keep


I live amongst the proud neighbors who bang louder than Al-Qaeda
Moving them keys like Cal Tjader for the cheese like Sal's Famous
Fiends looking for houses where the rock's probably cooking
On the corners we BBQ on the block parties in Brooklyn
The birthplace of Jordan, you wore them if you was hard enough
Fucking with Nikes, why you think the Spike's so popular?
The block is like a prison with night vision they watching us
On top of us with binoculars to properly get the drop on us
I'm topical like Clockers cause crack kills
They making a movie, but I'm making black films with my rap skills
They standing on the corners looking vexed, looking stressed
Having to stoop to new lows like Brooklyn steps
First fight in Fort Greene, got respected in Brooklyn Tech
Spike's joint across the street, of course I was looking fresh
Now I'm coming for what's mine, the hoarders call it extortion
40 acres and a Porsche with more than 400 horses, yeah!


One of the few who had his pops out the whole block
Told me never to settle or let the dough stop
Leave here with as much as you can hold Sky
And point blank 'em if they ever come at yo' tie
Made me follow every script that Spike ever wrote
So how I write is cuz of them
Rightfully so
The irony of wanting everything I could be shown
But seeing life like a Lee
Rightfully so",https://genius.com/Skyzoo-spike-lee-was-my-hero-lyrics
How To Make It Through Hysteria,A Dream Deferred,2012.0,"Growing up, project struck, looking for luck, dreaming
, me and
Couplets I was cupping up to the ceiling, seen it
Jumped in and was looking up to believe it
Lived it, went and penned it and left the rest to the speakers
Wrote it the way I know it, you heard it, you saw me show it
Outlining the obvi' and intricating below it
Dollar signs in the lobby and finger painting the motive
Any side that's beside me is giving way to the notice
Dare you to look away from it, counting it is weighing it
And the weight of the winners will build 'em to build a gate for it
Protect it or neglect it, skully over the face with it
The outcome surrounds them and everything they praying with
Dents in the carpet, the honor amongst saving it
Picturing tomorrow is prolly gonn' make today the end
Beat tapes blur out the blue, and all the chase in them
Lights out the window, the awakening

I'm feeling like I made it though
And if I made it yo
Then making it is everywhere that they ain't say to go
I'm making it where all of this is for the taking yo
Cause making it is everything that they been waiting fo'
I show 'em how to make it through hysteria
Make it through hysteria
Make it through hysteria
Made it through
Show 'em how

Know the sound, know the score well enough to quote it now
Used to what they used to, see them pointing the composer out
Suitor of the suitors, double breasted, money folded down
Rooted where the root is, found an exit they can go around
Sped you up to slow you down, fuck the curiosity
1,000 thread count but I was cut from where the bottom be
Powder spread 'round like they was dumping out their lottery
Freshened up the linen like embellishing an image
See it's sorta like the scene where Dukie get out the car
And Prezbo is watching a dream die from afar
And testers are getting thrown over on Popular Grove
And the rest of what you know is where the end of it starts
You hear the engine is gone, behind you is what it was
Hearing tends to be wrong but reminds you of what it does
Hearing it through the walls, oblige and get your run
And make sure to rewind it when you're done


Word to the hysteria that we tryna say we made it thru, and word to bringing everyone wit us to say ""shit I made it too"", whatever happens from here on out, I made it when they said I wouldn't make it I made it and I made it true, no hand outs used because none were ever given, I mean I can't say I wouldn't have accepted if a hand was ever risen, but none were so, why consider, when they didn't, they didn't consider my city or my block or my curb or my crib the way I did, and I didn't do any of this just to say I lived, I did it to say I'm in, in for whatever it might've been or it might be, or whatever's likely to push thru, not a hero just a good dude, moms and pops love me like cooked food and the front door was wide enough for me to do more than just look thru, so hey, why not at least take a stare, take it a step further and take it there, I mean really take it there and see what all the fuss is being made about and, admire the ones before us who made it out, getting autographs and picturing all of that as a blueprint for us and wishing for all of that, uh, 
see when I said I wrote on the back of light bills
 I really meant that, and whether you did or didn't get that, it is what it is, I mean it is what it is for that dream, and that dream is so vivid it don't even look like one, or so it seems, seems to us that whatever you leave for us is what it'll be for us, but fuck that becuz if that don't be enough then what does that mean for us?, confliction and contemplation and addiction and that itching and itching for what you missing and you inching to see what they taking or see what they paying, or see both sides and see why the song's been playing the way it's been playing and why it won't stop, couldn't stop it if you tried to, or better yet if you pretended you wasn't listening when really you knew every word in every sentence and every metronome in that rhythm, every hi hat and 808 you was given, the bass you know as well as the mirror you in front of, and well, either do it or don't but either or they can't judge us, so yea I wrote and I wrote because no one else spoke, no judge, no jury, just purely how it goes, and from the go I was who I am, the story's been one in the same just the way that you turn that page may have changed, long time coming since Chris or Shawn or Nasir or Corey or Brad first started to go, figured I'd do my part and draw up a path, and let it unfold, unfold like kites with picture requests and, homecoming dates and liquor requests and, shit, I stand tall for all of it if this is what's left, buying bottles last minute cuz see I'll never forget the date but I might forget the request, see my life's loaded at the moment and there's so many bottles to be bought that, I kinda get lost, but still here, and feeling like I made it though...",https://genius.com/Skyzoo-how-to-make-it-through-hysteria-lyrics
Everybody’s Fine,In Celebration of Us,2018.0,"Celebratory moments of a glass or a bottle in the air
 
Or a flask and a shotti with a flare 
And the bag coming out when one appears 
Or the flash of a body in the stairs 
And the crash of a lobby in despair, 
Or. moments where you getting patted on the ground 
That then turn into badges on the ground, 
And the irony of reversing a role where whenever they roll 
Bet that they know that's whatever for them now, 
‘cause now is a scene where a stream is interrupted 
By conclusion jumping and dumping into a seat 
Where a dream is sitting in overdrive so taking over the drive 
Turns into 12 acquitting the screams, or 12 acquitting what they believe, 
Until they're in the crowd banking on what another 12 perceives 
Or celebratory moments of a scale being off to the left 
So you cop and get more than you expect 
And the rest goes off to the cost of looking like you're involved 
So you back to spending more with your connect, 
Connecting like interlocking the latch 
When a latch key is cocking it back 
Knowing a latch leads to how to react, 
And the reaction is counter react, 
It gets complicated like confiscating the lottery back, 
It comps a way in like finding a pack, 
Or it comps a weigh in like you was conned into buying it back, 
Back tracking to the moments that inspired the toast, 
To the half gallon of Henny for supplying you hope, 
Til you're back to backing the semi from inside of your coat, 
Either that, or standing on the other side of the scope, 
Or, it's a celebration of being nowhere near where that aim is, 
Trigger fingers turn to quotations, 
Same fingers boxing you in will leave you vacant,
 
Round of applause down the hall for all your patience, 
Or you in a hall, up on the wall, 
With department of corrections letters hovered up over where your name is, 
Or you by the door, cap and gown to the floor, 
8 years of proof hovered up over where your name sits, 
Draw you to the crown, they sell it to you as weightless
 
And charge you to sit on their wait list, 
Then you fast forward, private parking the Porsche, open the doors 
To a round of applause down the hall from all your patients,
 
Fists in the air over mistakes, or fists in the air over the jakes 
Being vision impaired holding a tre, 
And that tre pound lift up the fear from out his face 
And you vision impaired over a wake, 
For the face that the jakes pinned as being a nigga 
So he gives him everything that he thinks a nigga should take, 
And you ask him how he spell it and he responds 
""please make up your mind, you niggers is either niggers or you ain’t”, 
All black everything, 
Bobby Seale
 fit with a tre 
While I'm untwisting my chains, 
Celebratory moments of a glass or a bottle in the air 
Or a flask and a shotti with a flare 
And the bag coming out when one appears 
Or the flash of a body in the stairs 
And the crash of a lobby in despair, 
Recalled by the store til the morn' while you borrowing a square 
And they're watching what you hear, but everybody's fine...",https://genius.com/Skyzoo-everybodys-fine-lyrics
Money Makes Us Happy,Music For My Friends,2015.0,"Scared to death
By this race I've run
All that's left, is everything I want
And I'm slowly losing my time
Quickly taken back from me
Seems my friends are few
Mama said prepare to pay
Cause happiness comes from money
Happiness comes from money

Money makes us happy and, happiness is everything
And everything is now and, now is more than never and
There'll never be a moment where happiness doesn't matter so
If you can quote the prices of your happy then get at us yo
Get at us yo, learned it from right where you saw me posted at
Grew up holding on to it all unless there's hope attached
Cause me?, I don't hope for much, uh, if anything at all
They said your cue will depend on what you can bring along
So we was bringing everything that mattered to us most
It was money and it was cars and it was habits to keeping both
It was hundreds and it was scars and they just happened to be close
It was hunger getting involved so then it was back to being broke
And we just wanted a shot or 2, Melo on the follow through
Promised me it would open these doors the way that they promised you
So I just do, whatever it takes to fuck with it all
And enough to buy my way next to Jesus if I get lost, swag


And they say money makes the world go, money makes your girl go
Money turns some of its earners into something terrible
Ask yourself where did the person who was in the mirror go?
Why am I unrecognizable, so unbearable?
In the pursuit of paper, it was then I wasn't there with you
To do it over I'd've taken better care of you
It costs money for the birth, more for the burial
Purposely I'm saving up to purchase us a miracle
We want more but need less
, desires and requests
I guess moving constantly at this rapid speed just
Effected my velocity, then the evil got to me
And strangely, it fucked around and changed my philosophy
I always heard it's not the quantity but it's the quality
In all honesty, past mistakes seem to follow me
Sometimes I feel like if my psychology will swallow me
So my apologies, what's my problem yo?, it's gotta be the money


And it was falling out the sky like if Doug E. Fresh was performing
And we already had too much and so we was brushing it off us
In pictures in front of back drops til like 4 in the morning
In all of this Dapper Dan for all of your dapper adornment
Or its falling on the badge in the murder of pick a name
And my name fill the blank and I'm blanked and I drift away
And you kiss my cold cheeks, chicks crying like I was Cochise, would you stand up
And send me a slow speech?, because money makes us happy and, happiness is
Everything, and everything is now and, now is more than never and, there'll never
Be a moment where happiness doesn't matter so, if you can quote the prices of
Your happy then get at us yo

Money
No surrender now and no restraints
No complaints
(Lord knows the price will only raise)",https://genius.com/Skyzoo-money-makes-us-happy-lyrics
The Knowing,A Dream Deferred,2012.0,"Fitted like you're in front of a step and repeat
I'm listening to everyone tryna get you to leave
When they finished I'm over here, letting you breathe
And my fitted is all grey if you check underneath
Meaning I'm on that side, opposites attract right?
And I'm attracted to getting rid of your past like
Everything you need, you believe and you react like
No one ever did this, they had you underprivileged
Cause you was in your mirror for a reason though
6 for them murder heel's, I'm guessing you keeping those
Keeping those means you'll be breaking them in around the Stuy
The truth will prolly get you a win, I'm not surprised
They making you wanna leave, I got you thinking to stay
I'm here to get in your talk, they here to get in your way
I'm here to be what they wasn't, here to be why you love it
Hearing me got you buzzing but scared to give me a play


I knew it, you feel like you know-me
So you don't wanna leave here & feel like you owe-me
I already knew it, you feel like you know-me
You holding back just as much as you wanna show-me

See the thing about it is
I don't know what it is
But I wanna find out
Why am I feeling like
I know you, I know you
I know you, yeah, I swear

Your friends tell you let it go
Like ""yea he fly but he'll never do the X & O's""
Maybe they're right, or maybe they have yet to know
Maybe tomorrow when we wake up you can tell em though
Pardon me, but, I be knowing baby, I be knowing
And you looking like you ain't looking for nothing they be throwing, right?
I agree, so when you tryna leave
Say the word and I'll follow words and follow leads
However it gotta be as long as you get to live a little
Henny straight, I promise you it'll benefit you
Feeling like you wanna see if it can get you there
Balmain mini dress, let it disappear
In your ear with the opposite of the man before me
I got no game its just some women understand my story
I'm wit it if you wit it
And drive back prepping you for all that you been missing


I swear that I know you
What you saying I already know
As much as I know you
I still wanna hear mo'
I swear that I know you
But I'm still all yours
I swear that I know you
I know you, I know you, yeah
I swear",https://genius.com/Skyzoo-the-knowing-lyrics
The Beautiful Decay,The Salvation,2009.0,"(*Sample of The Sylvers' ""How Love Hurts"" plays throughout the song*)

The beautiful decay
We call this the beautiful decay
We call this the beautiful decay
We call this the beautiful decay

Majority rules, all of that is just a part of the rules
And a majority of us is just a part of the cool
I'm a part of how's it cut like I'm a part of the tool
And I'm the part that's in the front like ""pardon me dude""
The authentic, the scriber for every one who subscribes
To dollar shots of Henny with chicken wings and fries
For $3.75 and what it took to get that
Pen to the pad, I paint it but don't drip that
Huh, OD with the pen on the low key
And I become the back drop, when you trippin in OT
The theme music for peddlers, call me what you want
But I leave room for measurers, I'm on it from the jump
And them? They clown scopin, hopin the clouds open
I pen both sides, the poetry's now motion
Pray to God that the car ain't halted
Beautiful decay is what we call it
 - w/ ad libs
The beautiful decay
So beautiful, so gorgeous but so opposite of all this
The beautiful decay
So beautiful but so lawless and so left of what you call it
The beautiful decay
So beautiful, so gorgeous but so opposite of all this
The beautiful decay
So beautiful but so lawless and so left of what you call it
The beautiful decay

To my man Stack Bundles, God bless your life
To my peoples throughout Queens, God bless your life
I be Southside pushin it, Southside I'm good with it
B-K my home and Southside my cushionin
Live from the bottom, made it out alive. I survive from the bottom
But when pushin a ride, I don't slide on the bottom
Any part of the lane that's been part of the game
Is in the heart of my name
My growth is Now and Later and quarter water infused
Now take a look at what quarter waters could do
Tell 'em the best laws get X'd off, it's panoram
When next door is stretch raw and hand to hands
In junior high, I rocked pennies, rolled dice
And threw on the ""Purple Tape"" before I would go and write
Bapitized in it, clear as day
And that side of me came from the staircase
 - w/ ad libs

Freeze framin it, see how they keep playin it
It's picture perfect, you could go either way with it
So when they start runnin with somethin that's all casted
I brush off the front of my Jordans and walk past 'em
Please don't believe in everything that you listen to
Everything you listen to is everything they didn't do
Everything they didn't do is everything they want to say
Everything they want to say is everything you want to play (woo)
But for the beautiful, I could find the decay in it
I take the newest light bill and the pen to the basement and
Use the back of that light bill to write what I'm sayin and
Hope that it keep your lights on when you playin it
 - w/ ad libs

Yeah, the beautiful decay
B-K got the beautiful decay
Q-U got the beautiful decay
Money Makin got the beautiful decay
The Boogie Down got the beautiful decay
Staten Isle got the beautiful decay
Strong Isle got the beautiful decay
And Mount Vernon got the beautiful decay",https://genius.com/Skyzoo-the-beautiful-decay-lyrics
For What It’s Worth,The Salvation,2009.0,"It so, basic that we all want to be famous and noticed and watched
And we all want money and riches and want
We all want the finest out of life
From a, from the most heartless gangbanger
To the most ah, virtuous police officer
AND we're all um, human beings
So we're all susceptible to our own weaknesses
Temptation is a very strong weakness

There's too much money in cocaine for me to be playin the broke game
Or at the nine to five with the no names
But here I be, nine to fifthin it with all of them no names
Tryin to figure out who I'm gon' blame
For where I be and where I be is nothin that I ever dreamed
Everything I'm turnin into was never me
None of this was scripted
Or maybe it was and I was too blind to get this
And maybe because I was too blind to get this
I threw it to the street
But look at me, I'm makin up excuses as we speak
See the reality of it is, it's easier to be cold out then bundled in
And he who be on the slow route is runnin thin
Or so it seems and now I'm treadmillin my life on a lower speed
All that really matters is a profit
Tomorrow I handle the aftermath of how I got it
Fuck all of the worryin and all of the second guessin
I don't got time to deal with a second question
Life is what you make it be and everything in life is shaped to be
I vow to turn it 'round and then bow gracefully
Not enough reasons to say no
And too many reasons to say yes and I ain't pressed to say so
Been dealin with the same dollar and the same dream
Lost between Plans A and B
 - w/ ad libs
And this is for what it's worth
I'm just tryin to be what I can be
I'm just tryin to be what I can be
But it feels like time keeps walkin
Time keeps walkin, walkin away from me
Huh, so for what it's worth
I'm just tryin to make what I can make
I'm just tryin to make what I can make
But it feels like time keeps talkin
Time keeps talkin and I don't understand what it say

There's too much money in heroin for me to pretend to be negligent
I'm ignorin it more than I ever did
And I can't lie, they say all it take is time to better it
But my clock is lookin foreverish
Like why can't I, be blessed with a more blessed set of wings
I see less as more or less everything
More or less everything that I ever wanted is all gone
And replaced with what I've been runnin from all along
So why even entertain the chase?
Why even pretend I was built to stay in this race?
The truth is my sweetest dream
Is so far from my hands that I don't even reach
I'm so far from a plan that right now, anything'll do
Cause if the lullabies that the corner sing is true
Then hit the play button and I'll be down until it's gone
All the hopes that use to be become the sounds within the songs
And with that said, I say ""Good Morning America""
Say it once more just in case it wasn't clear enough
""Good Morning America"", this is what your dreams are made from
As well as what your dreams could break from
Ignorin all the risks, all the cops, all the enemies
All the nameless bullets that could be namelessly sent to me
All the fame from pullin it and all of the fame
From bein on the wrong side, which one do you claim?
 - w/ ad libs
For what it's worth
I'm just tryin to be what I can be
I'm just tryin to be what I can be
But it feels like time keeps walkin
Time keeps walkin, walkin away from me
Huh, so for what it's worth
I'm just tryin to make what I can make
I'm just tryin to make what I can make
But it feels like time keeps talkin
Time keeps talkin and I don't understand what it say

Turned down every offer I was given
Regardless of the wrath or the temp, I'm pivot
And I'm just tryin to keep it straight and narrow
But I'm seein Satan's arrow and it's hard not to get hit with it
I'm duckin low and prayin that it all pays at the finish line
And that I don't have to pay for it when it's dinner time
But bein honest, left never looked so right
And that corner never looked so bright
The outcome ain't worth tryin not to be not outdone
Outrun what you can but where you run out from'll
Always be your home base
Until you lookin back home with a stone face
All the shit that you fall for is twinge with your dreams, all gone
You question if your questions were all wrong
You seein how it changed, each side of the game
Cause your pink slips is they bullets, neither got a name, damn

For what it's worth
I'm just tryin to be what I can be
I'm just tryin to be what I can be
But it feels like time keeps walkin
Time keeps walkin, walkin away from me
For what it's worth
I'm just tryin to make what I can make
I'm just tryin to make what I can make
But it feels like time keeps talkin
Time keeps talkin and I don't understand what it say",https://genius.com/Skyzoo-for-what-its-worth-lyrics
