title,album,year,lyrics,urls
Children’s Story,The Great Adventures of Slick Rick,1989.0,"(Now here's a little something that needs to be heard)

Uncle Ricky, could you read us a bedtime story?
Please, huh, please?
All right, you kids get to bed, I'll get the storybook
Y'all tucked in? Yeah
Here we go

Once upon a time not long ago
When people wore pajamas and lived life slow
When laws were stern and justice stood
And people were behavin' like they ought to: good
There lived a little boy who was misled
By another little boy and this is what he said:
""Me and you, tonight we're gonna make some cash
Robbin' old folks and makin' the dash""
They did the job, money came with ease
But one couldn't stop, it's like he had a disease
He robbed another and another and a sister and her brother
Tried to rob a man who was a D.T. undercover
The cop grabbed his arm, he started acting erratic
He said ""Keep still, boy, no need for static""
Punched him in his belly and he gave him a slap
But little did he know the little boy was strapped
The kid pulled out a gun, he said ""Why'd you hit me?""
The barrel was set straight for the cop's kidney
The cop got scared, the kid, he starts to figure
""I'll do years if I pull this trigger""
So he cold dashed and ran around the block
Cop radios in to another lady cop
He ran by a tree, there he saw this sister
Shot for the head, he shot back but he missed her
Looked 'round good and from expectations
So he decided he'd head for the subway stations
But she was coming and he made a left
He was runnin' top speed 'til he was outta breath
Knocked an old man down and swore he killed him
Then he made his move to an abandoned building
Ran up the stairs up to the top floor
Opened up the door there, guess who he saw? (who?)
Dave, the dope fiend shootin' dope
Who don't know the meaning of water nor soap
He said ""I need bullets, hurry up, run!""
The dope fiend brought back a spanking shotgun
He went outside but there was cops all over
Then he dipped into a car ‒ a stolen Nova
Raced up the block doing 83
Crashed into a tree near university
Escaped alive though the car was battered
Rat-a-tat-tatted and all the cops scattered
Ran out of bullets and he still had static
Grabbed a pregnant lady and pulled out the automatic
Pointed at her head and he said the gun was full o' lead
He told the cops ""Back off or honey here's dead""
Deep in his heart he knew he was wrong
So he let the lady go and he starts to run on
Sirens sounded, he seemed astounded
And before long the little boy got surrounded
He dropped his gun, so went the glory
And this is the way I have to end this story
He was only seventeen, in a madman's dream
The cops shot the kid, I still hear him scream
This ain't funny so don't ya dare laugh
Just another case about the wrong path
Straight and narrow or yo' soul gets cast
Good night

(Knock him out the box, Rick
Knock him out, Rick)
- Oh boy, that Uncle Ricky is really weird
- I know right what does he mean
“Straight and narrow or yo’ soul gets cast""?
- I don’t know, I think he be crackin' it up or something
- Well, good night
- Good night
Another (that's right!) Rick the Ruler presentation
Crumbs!",https://genius.com/Slick-rick-childrens-story-lyrics
Adults Only,The Art of Storytelling,1999.0,"Check, check, check, check, check

Well, let us skip the boring foreplay, I'm slidin' right in
This girl over my house who had to be about 19
Ass, hoes in my poster
She's sweatin' although she tried to hold her composure
I hoped she'd take it in the ass and suck dick
My, my, what a nice apartment you got, Rick
On her knees about to make her fall too
All platinum and gold jammies hangin' on the wall too
You got it goin' on
Now my mouth start foamin'
The lights dim, we're kissin' and my hands start roamin' in her drawers
Stop
Knew she was joking
'Cause I ain't even fuck her and her pussy was soaking wet
Already had her tit out
If I play my cards right, fuck her, dig in the hole she shit out
Rick, I gotta go, my girl's waitin'
She recaps, finally when honey drawers down to her kneecaps
Breathed heavy, all mushy
Bitch swore up and down I was gonna fuck her in the pussy
Since friends waitin' on subtle
'Bout time to make a move upon the hungry little butt hole
Meanwhile, she acted quite passive
Lickin' the hun neck while lotionin' that ass with jelly
Tit hung out the frame, nigga loco
Surprised honey didn't put up too much of a struggle, at first
Sinkin' in she ain't know how to be
The bitch went
Ahh, Rick, it hurts, take it out of me
Knocked my magazine down, bitch threw my papers
You wanna keep it down? I mean, I do have neighbors
Squirmin' away although the table was barrin' her
Felt real good, my dick was sunk so far in her
She said it felt like a bulldozer boring her
Squealing about she couldn't take it anymore in her
My cummed on her straight in the perm in her, (Here)
As I drained every last drop of sperm in her (Where?)

So, girls, when we kiss and we cuddle
Ain't no way to put it subtle when I want the butt hole

Another girl I met, her experience vast
Because most girls with kids done been hit in they ass before
Picked her up, sunset
Don't be late for dinner, ma
Bringin' honey home from the date at the cinema
Thinking how to fuck the ass so plottin'
Blown in the elevator, hit the stop button
She smiled, by knowing that her butt I wanna bore
I said, ""Can I have a kiss now instead of in front of your front door?""
Uhhmm, Oh yeah
Although The Ruler tried not to push hard
I'm all over the bitch like an octopus
Deep down I know she also wanna fuck
Though I kept my tongue in her mouth so not to put her on the spot
To have to talk no shit to prevent me from bonin'
Unzap the bra, when the hooker start moanin'
And expose my espresso, suck on her and lick on her
Unbucklin' pullin' out mad long dick on her
Panties in the way of that, but I want to check it out
Slipped her wet drawers down her thigh and took her leg out
Her butt was juicy, kinda fat
Spun around, start to stick her in the pussy from the back
She came, mad juice dripped out
Still in the pussy then acted like it slipped out
Cum on the floor, she said ""Pardon the puddle""
Spread open her cheeks, pushed hard in her butt hole
Uhhmm, wasn't a bad date at all, she went, ""Ahh, ahh""
Start pullin' at my balls while I'm still penetratin'
Felt fantastic, she said
""Rick, I'm not really into this ass kick""
Meanwhile, Rick cummin' by the gallon
Put your hands on the wall, please
And try and keep your balance
Lickin' the grill in her, meanwhile fillin' her
'Til sperm start pourin' out her butt hole while I'm still in her
Then start rammin' the pine in her
I almost picked her up with these final grinds in her

So, girls, when we kiss and we cuddle
Ain't no way to put it subtle when I want the butt hole

My ass, more, more, more",https://genius.com/Slick-rick-adults-only-lyrics
Indian Girl - An Adult Story,The Great Adventures of Slick Rick,1989.0,"(Singing)
Davy, Davy Crockett, King of the Wild Frontier, yeah
Davy, Davy Crockett, King of the Wild Frontier
Well he's in Indian Town and what spots his eye?
A nice looking Indian and honey looked fly
He had to talk because he just couldn't hack it
She wore some moccasins and plus a tough leather jacket
He trotted over and invented a line
He said ""Excuse me, um, do you happen to have the time?""
All was on his mind was sex, sex, sex
So she said, ""Why do ask? You got your own Timex""
To poor old Dave that line was cold blooded
It seemed like her ego was way over flooded
She started to laugh and then she started to say
""I'm sorry some times I do get carried away
I didn't mean to like ill treat you
My name is Running Rabbit and I'm glad to meet you""
He said ""I'm Dave, with crazy clout""
""Oh you're the one the girls keep talking about
Yeah, you must be, because you look like a winner
Come to my house, we'll discuss it over dinner
""
(Singing)
Davy, Davy Crockett, King of the Wild Frontier
Well, he met her father, Big Chief Beretti
He said ""What's for dinner?"" ""Soup and spaghetti""
The dinner was rotten and he swore he's gonna puke it
He never would have took it if he'd known that he had cooked it
Later on they was chilling in the bedroom
Sitting at the window looking at the Moon
Nothing was being said so he swore she was hot
He said ""Are you in the mood?"" She said ""No I'm not""
From what he believes and from what he gets
When a girl says no, he really thinks she means yes
So, he started touching her and coming out strong
Whispering sweet nothings and singing a song
He said: 
(singing) ""I'm in the mood for love
Simply because you're near me
Funny but when you're near me
I'm in the mood, don't mean to be rude
But I'm in the mood for love""
And the she said ""Oh Dave, you've got my poor back hurting
I want you, first close the curtain
""
He closed the curtain and also the doors
The next thing you knew it was off with those drawers
""Take it easy Davy, you're hurting me. Stop""
Well, he was playing with her tits, they were soft not lumpy
And then he cracked the legs like Humpty-Dumpty
He's fucking, sucking, also finger popping
He had no intention of stopping
Crazy fun, he did not want to leave
His head was between her tits and he could barely breathe
He had to toss, turn, turn, toss
Meanwhile he was riding her with crazy force
She was burning hot, she said ""Stop, stop.""
He said, ""Are you talking sex or what?""
I guess she didn't realize what she started
Next thing you knew she was acting retarded
She said to him strangely and kind of merry
""Stop now, or I'll be unable to marry""
He didn't take her warning
He rode her till the morning
He rode that ass till the pussy started yawning
(Yawning sounds)
He said ""What? Wait"" 
His dick went weak
It said ""Dave, pussies ain't supposed to speak""
He took all his clothes he wanted to leave this place
But first he wanted to see the vagina face to face
He opened it up, with his bare two thumbs
He seen crabs with spears and Indian drums!
They's going:
Heya hiya heya hey, hey
Heya hiya heya hey
Heya hey, heya hey
Heya hiya heya hey
Heya hiya heya hey",https://genius.com/Slick-rick-indian-girl-an-adult-story-lyrics
Hey Young World,The Great Adventures of Slick Rick,1989.0,"Guess who's back
Guess who's back
Guess who's back

Hey young world... the world is yours
Hey young world... the world is yours
Young world young world... the world is yours
Young world

This rap here... it may cause concern it's
Broad and deep... why don't you listen and learn
Love, peace, happiness... that once was strong
But due to society... even that's turned wrong
Times have changed...
 
ay it's cool to look bummy
And be a dumb dummy and disrespect your mummy
Have you forgotten... who put you on this Earth?
Who brought you up right... and who loved you since your birth?
Reward is a brainwashed kid going wild
Young little girls already have a child
Bad company... hey, now you've been framed
Your parents are hurting... hurting and ashamed
You're ruining yourself... and your mommy can't cope
Hey, little kids don't follow these dopes
Here's a rule for the non fool.. your life don't drool
Don't be a fool like those that don't go to school
Get ahead... and accomplish things
You'll see the wonder and the joy life brings
Don't admire thieves 'cause... hey, they don't admire you
Their time's limited, hardrocks' too
So listen, be strong, scream whoopee-doo
Go for yours, 'cause dreams come true
And you'll make your mommy proud... so proud of you too
And this is a message... that the Ruler Rick threw
And it's true

You know, you know what, you know what, you know what?
We like to party, like to party
You know, you know what, you know what?
We like to party (Hey young world, the world is yours)
(Hey young world)
You know, you know what, you know what, you know what?
We like to party, like to party
""Yo peep this""

Hey Mr. Bigshot... hey, don't you look fly?
But you don't have a dollar... ohhhh, my my my
You've been fightin again and, you forgot why
Hey kid, walk straight, master your high
Why? Because you make your family cry
And all jokes aside, are you in good health?
Hey little boy... now have you really checked yourself?
You're a disgust, you know someone that I can't trust, you'd
Steal mom's welfare... and you'd run and buy some
 
dust,
 and
Plus, I must say... big shot, you're not
Your friends are talking and I'm hearing that your girls are what?
You didn't know? Go steal and rob
And while you're at it... go get a suit for a job
You see you're actin like this urge is demanding
C'mon, wake up... have some understanding
Society's a weak excuse for a man
It's time for the brothers... it's time trying to take the stand
Believe it or not, the Lord still shines on you
, he
Guides you... 
and he watched you as you grew, plus
Past the age of... a little child, that's true
But folks your age don't act like you do, so
So be mature... and put the point to a halt
And if you're over eighteen... I wish you'd act like an adult
Don't live in a world... of hate, hate, hate
Pull yourself together... and get yourself straight
Men don't steal... hey, most don't borrow
And if you smoke crack... your kids'll smoke crack tomorrow
So be more mature... and kids do your chores
Make your own money... hey, be proud that's yours
You know why, 'cause that's a man... that's brains, no spite
Stayin out of trouble... when it comes in sight
And a man never loses a fight... in God's sight
'Cause righteous laws are overdue
And this is a message that the Ruler Rick threw
And it's true

You know, you know what, you know what, you know what?
We like to party, like to party
You know, you know what, you know what, you know what?
We like to party, like to party
(Hey young world, the world is yours)
(Hey young world)

""Yo peep this...
MC... Ricky... D...
The Grand Grand Grand Wizzard...
And his and his partner...
And his and his and his
And his and his and his partner...
Say what?
La-Di! Da-Di! La-Di! Da-Di!
La-Di! Da-Di! La-Di! Da-Di!
La-Di! Da-Di! La-Di! Da-Di!
La-Di-Da-Di...""",https://genius.com/Slick-rick-hey-young-world-lyrics
Mona Lisa,The Great Adventures of Slick Rick,1989.0,"[Intro: 
Ricky Walters
 & 
Slick Rick
]
Ladies, and gentlemen... and lowlifes
It is with outstanding pleasure
That we are here to present tonight...
Slick Rick, the Ruler! And MC Ricky D!!
Doing their smash hit, ""Mona Lisa,""
You know, like the picture?
Anyway, I'd like to take this time out
To bow before his divine majesty
Oh your majesty...
Hmm
Can I kiss your hand?
Mm-hmm
*Kisses his hand loudly*
Enough!
Come your highness.. they await you..

Well, it was one of those days -- not much to do
I was chillin downtown, with my old school crew
I went into a store -- to buy a slice of pizza
And bumped into a girl, her name was Mona -- what?
Mona Lisa (what?) *singing* Mona Lisa, so men made you..
Youknowhat I'm sayin? So I said, ""Excuse me, dear
My gosh, you look nice!
Put away your money
I'll buy that slice!""
She said, ""Thanks - I'd rather a slice of you
I'm just kidding, but that's awfully nice of you""
The compliment showed she had a mind in her
And when I smiled (PING!) I almost blinded her
She said, ""Great Scott! Are you a thief?
Seems like you have a mouth full of gold teeth""
Ha-ha, hah! Had to find that funny
So I said, ""No child, I work hard for the money
And calling me a thief? Please! Don't even try it (Right!)
Sit down eat your slice of pizza, and be quiet""
She almost got cut short -- you know, scissors
She tried to disrespect WHO?! The Grand Wizard
Me! ""Well what's your name, son?""
""MC Ricky D,"" but not to be so harsh I said to Mona Li-hee
""I'm.. sorry and I know that's low class (uhh, yeah)
Please sit, and tell me a little about your past""
She said, ""Well I got courage, and I don't like porridge (uh-huh)
I've never been to college, but I've got crazy knowledge (uh-huh)
Over eighteen and my eyes are green (uh-huh)
I wear more gold than that man on A-Team (uh-huh, uh-huh)
Trim, slim, (yeah) and I'm also light skinned
Best believe Mona's a virgin""
A virgin?! Honey needed a slap
She tried to tell me she's a virgin -- with her yay wide gap
I said, ""It don't matter, see, I'm not picky (word)
Let me spell my name out for you, it's Ricky:
R - ravishing, I - impress
C -- courageous or careless
K -- for the Kangols which I've got
That I wear everyday and why? -- Why not?
To fight's not right that I recite and I'm..
Quite polite like Walter Cronkite""
Well, just about then, Trevor my friend came in
He said, ""Hey Rick, don't you know playing with these snakes is a sin?!?""
He grabbed me by my shirt and pulled me right out the store
He said, ""I don't want to see you playing with these lowlifes no more!
Now come along, we have a party to attend
With some real mature women and some more of our friends""
He hailed down a cab and he waited for a minute
And as the cab came, he thrusted me in it!
And as we were leaving and driving along
I could hear a melody as Mona sang a song
If you see me walking down the street
And I start to cry each time we meet
Walk on by, walk on by, foolish pride
That's all that I have left, so, let me hide
The pain and the hurt that you gave me
When you said goodbye
You walked on by",https://genius.com/Slick-rick-mona-lisa-lyrics
Street Talkin’,The Art of Storytelling,1999.0,"Not trying to claim things I haven't earned honest, man
Slick Rick and OutKast is on this jam
What kid? Diamond on the tooth 2 grand
Trying to help raise all youth to man
So give the Ruler Rick his space to slam
Help clean up this land
The reputation of this man
Withhold and withstand

OutKast and Slick, the answer is in it
Hon you need to get your ass on the dancefloor this minute
We bruise stuff, knock you out shoes, socks
Show your ass, move your fuck out, we're mad smoove snots
La-Di-Da-Di, mmmmm we like to party
Don't make me get money and platinumize my body
With bright stuff, known to earn a dyke's love
Blind folks be like, ""Somebody turn the lights off""
Immense rep, poppin out a muffin
Make famous artists that's dead hop out a coffin
At the real estate, behavin type choosy
Want a palace with the shit beige and light blue please
Got the kid like ""watch your manners""
Since I came out of jail, it's like the planet gone bananas
Lack of strength a badder fella had
Lady lookin at me all stink, I had to tell her that

Not trying to claim things I haven't earned honest, man
Slick Rick and OutKast is on this jam
What kid? Diamond on the tooth 2 grand
Trying to help raise all youth to man
So give the Ruler Rick his space to slam
Help clean up this land
The reputation of this man
Withhold and withstand

Uhh, I went from Player's Ball to bulldoggin
From bulldoggin to bowhoggin
Now bowhoggin and pimpwalkin
That strictly fresh and street talkin
And we all last like that there
Ruin them all up like cat hair
We never fall off like hat wear
We some of the dopest MC's out there
Now eat that, OutKast and Ricky D, bitch, can you beat that?
Remember the time I laid them down to Teenage Love?
Now see that
Just to sport a rhyme and break in new patterns like hymens
Shuckin' and jivin' was never the style
I'm gon' keep on being this lion
Spittin' that king shit, you cling shit
A tailor and a seamstress
Blue gators for you haters and the penis for all you beatches
Like an addiction 'cause I need it, hip-hop is that I fiend it
Like a junkie, show me your monkey, 'cause I sho' nuff like to beat it
Might just eat it just to skeet it
Fold you up like you was pleated
Like some slacks and, relaxin', be strollin' like Sir-Captain
See, I got a, baby daughter, and I feed her with this rappin'
Not trappin', d-boy, but rappin', huh, yeah, yeah

Not trying to claim things I haven't earned honest, man
Slick Rick and OutKast is on this jam
What kid? Diamond on the tooth 2 grand
Trying to help raise all youth to man
So give the Ruler Rick his space to slam
Help clean up this land
The reputation of this man
Withhold and withstand

Seems everybody's open off the grammar
The white fox pink velvet suit, white cabana
Listen baby girl, genius Rick ta..
Dreamboat, bitch, you shoulda been clicked picture
(Check her out) I don't know what you're tryin to figure out
Down South, barbecue ribs fly out a nigga mouth
And touchin' me The Chosen, for such a will opposin
Me and Big Boi tryin to give our children clothing
Smokin' love—do we provide dope enough?
Even people unborn kid wide open off
The enginin' I'm sendin' in
Even make construction workers start actin kind of feminine (Hi)
10%'ll blast this hit from me and Big Boi
Who represent the OutKast clique
A jealous cat, lack of strength a badder fella had
Lady lookin at me all stink, had to tell her that

Not trying to claim things I haven't earned honest, man
Slick Rick and OutKast is on this jam
What kid? Diamond on the tooth 2 grand
Trying to help raise all youth to man
So give the Ruler Rick his space to slam
Help clean up this land
The reputation of this man
Withhold and withstand

Slick Rick and OutKast is on this jam
Tryin to help raise all youth to man
So give the Ruler Rick his space to slam",https://genius.com/Slick-rick-street-talkin-lyrics
Behind Bars,Behind Bars,1994.0,"""This type of shit, it happens every day""
""This type of shit, it happens every day""
""This type of shit, it happens every day""
""This type of shit, it happens every day""
""This type of shit, it happens every day""
""This type of shit, it happens every day""
""This type of shit, it happens every day""
""This type of shit, it happens every day""

In the slammer kid — but I'm innocent
Lord played witty wasn't having any pity—
Now in Razor Blade City
Cries oppose the situation seen mad eyes of foes
Drives a Rolls, ""Hey, yo, money, what size are those?""
Need to phone, ""me too,"" another sprang up, hmm, to gang up
On this kid, housing the phone like he didn't know how to hang up
Would be hard though, up to a minute or so and then yells time on a
And when you get your commissary, buy this and that or else I'm gonna
Be on that ass and won't stay off—extort, fig' , way off
Beaten to death — ""you ain't protecting me?""
Forgot today's my day off
Hold my head and drift the Sumo weight in knots and cars
Instead of sitting here accumulating cuts and scars, behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars

Showing off because on the phone, click, losing all the hoes off
Niggas housed the watch and Donna took all of the clothes off
Nigga hell with drawers that's what my clothes figured telling
Every night it seem like mice be in and out a nigga cell and
Still ain't home, like on the hook, seen a bunch of kids look
Miss outdoors, never know what you have until it's took'en
And in fact, the moment you fear, all of that, you quote snaps
Well in a cell, did the exercises and wrote raps
""I'll be a bigger star than you"", though never heard of the nigga
Takes my raps and read aloud, I wanted to murder the nigga
Just kidding, no offend to it, finally he ended it
Case dismissed, but your honor, D.A. kindly prevented it
He told to the judge, don't free him, this brother trigger wars
And not just that because I refuse to wash some jive nigga drawers
So hold the head, drift the Sumo weight in knots and cars
Instead of sitting here accumulating cuts and scars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars

""What fight? The nigga trip, C.O."" the rest he might scared
But couldn't squeal. I's like, ""Officer that nigga right there""
Now if he ain't get me his friends will, needed a utensil
It turned out, I had to stab him in the eye with a pencil
State of shock, he made a yell, I said, ""Now what you want traitor?""
C.O. puts me in the bin, I see ya about a month later
Back in population, didn't matter that his friends tensed
The phone privs, the years added to the sentence
Still chilling and all of that and I escaped when...
I don't think so, don't hit the stove cause they made a rape attempt
Thank goodness, failed, call out next, he wail out
Here go the C.O., ""Ricky Walters, pack up, you're bailed out""
The C.O. couldn't see the rape, the kid'll snitch mass figure
Fast trigger, you'll be back, you little bitch ass nigga
Au revoir, back to dating sluts and stars
At least for now, no more accumulating cuts and scars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars
Behind bars...",https://genius.com/Slick-rick-behind-bars-lyrics
Treat Her Like a Prostitute,The Great Adventures of Slick Rick,1989,"Here's an oldie but goodie
Hit it

Excuse me (what?) Can I have your attention? (mhm-hmm)
There's just a few things that I've got to mention (mhm-hmm)
There's girlies out here that seem appealing
But they all come in your life and cold hurt your feelings
I'm telling you, as Rick is my name
I wouldn't trust no girl unless she feels the same

Treat 'em like a prostitute (do what?)
Don't treat no girlie well until you're sure of the scoop
'Cause all they do is they hurt and trample
Listen up close, here comes my first example

Now ya been with your girlfriend for quite a while
Plans for the future, she's having your child
Celebrate with friends drinking cans and quarts
Telling all your friends about your family thoughts
One friend was drunk so he starts to act wild
He tells the truth about the kid, ""It's not your child""
Acting like a jerk and on his face was a smirk
He said, ""Your wife went berserk while you was hard at work""
And she led him on and tried to please him
She didn't waste time, she didn't try to tease him

Treat 'em like a prostitute (do what?)
Don't treat no girlie well until you're sure of the scoop
'Cause all they do is they hurt and trample
Listen up close, here comes my second example

Now your wife, you buy the tramp jewels and clothes
You get sentimental and bring home a rose
Give her everything 'cause you swear she's worth it
All your friends tell you ""The bitch don't deserve it""
Love is blind, so there goes your wealth
Until one day, you see things for yourself
Came home from work early Mr. Loverman
You had a card and some candy in your right hand
There's the mailman, he was short yet stout
He went inside your house and didn't come back out, bust it
Just a friendly stop, come on, is it?
The mailman comes and he pays your wife a visit?
The thought alone makes your temperature boil
You say to yourself ""She might still be loyal""
You open up your door and stand in a trance
You see the mailman's bag and the mailman's pants
Came home to party, at work had a hard day
Look around your house and you say ""Where the hell are they?""
Run upstairs up to your bedroom
You look inside your room, you see something brewin'
Cover your mouth because you almost choke
You see the mailman's dick way up your wife's throat

Treat 'em like a prostitute (mhm-hmm)
Don't treat no girlie well until you're sure of the scoop
'Cause all they do is they hurt and trample
Listen up close, here comes my last example

Now your girl, she don't like to have sex a lot
And today she's ready and she's hot, hot, hot
As you open up the door she says ""Get on the floor""
She wants to try things she's never tried before
She takes off your drawers and works you over
She calls you Twinkles and you call her Rover
Next thing you know the ho starts to ill
She says ""I love you, Harold"" and your name is Will
That's not the half 'til you start to ride her
Take off your rubber and there's one more inside her
It's not yours - who can it be?
I think it was a slick rapper, his name is M.C. Ricky
Treat 'em like a prostitute
Don't treat no girlie well, treat no girlie well
Treat no girlie well until you're sure of the scoop",https://genius.com/Slick-rick-treat-her-like-a-prostitute-lyrics
Teenage Love,The Great Adventures of Slick Rick,1989,"A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again

Hey sport, here's a thought from the old school crew
A serious situation we all go through
It deals with your feelings, so hear what I say
It's like a day where nothing seems to go your way
Bust this, two people, they really like each other
He says there's no one else and she claims there is no other
The feelings are same, and you receive a notion
To reveal your inner thoughts and deeply hid emotions

A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again

Precious times, hoping they won't end
Tell your mother 'bout your lover, also your best friend
Ya mighty proud while you're holding her hand
Boys, yo that's my woman, and girls, yeah that's my man
This person brings a certain warmth to ya heart
And everything seems so great at the start
For she loves him, and he also loves her
And it's hard to turn back to who the person you were
But later on, problems start to occur
And the bond, which combines y'all turn into a blur
For the feelings were the same, now here's the score
You love 'em too much, and they don't love you anymore
Due to your attitude, a number or because you're not being true
Or maybe they're just plain sick of seeing you
Word, now it might seem strange
You better take hints quick, and make the right change

A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again

See just when you swore, the ball was rolling
They're gone, and part of your heart's been stolen
Get back on your feet, with a hop and a skip
But no, you'd rather go with this dead relationship
Hanging around, and buying him stuff
You seem him every darn day, you don't see him enough
You follow them around, and they claim ya hawking
When conversation comes, you do all the talking
Not to mention, attention, we all need a bit
Behind your back they're saying, yeah he's all on my...
They're getting sick of you, and quite annoyed
And if you had plans for the future, they're now destroyed
You saw what was happening, and you still let it
And if you ever let him make love to ya girl, you can forget it
Sweetheart, you been caught
It'll spread around town faster than ya thought
And break up time, and you receive the words
Yo, this is from the heart, and I know the part hurts
Get over it, from now don't take short slick
If it's not true love, you shouldn't deal with it
Just think of your future, and what is to come
And pay attention to the words that's in this song, they go
""Don't hurt me again
Don't, don't, don't hurt me again""

""Do you know where ya goin' to
Do like the things that life is showin' you
And are you going to
Do you know?""
Don't, don't hurt me again
Don't, don't, don't hurt me again
Don't, don't hurt me again
Don't, don't, don't hurt me again

A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again
A teenage love, a teenage love
Don't, don't hurt me again
Don't, don't, don't hurt me again",https://genius.com/Slick-rick-teenage-love-lyrics
The Ruler’s Back,The Great Adventures of Slick Rick,1989,"""Halt, who goes yonder?""
""It is I, sire, Richard of Nottingham""
""Well, speak up man, what is it?""
""News from the east, sire, Rick the Ruler has returned!""
Scratches: Stop Lyin'!
Gather 'round party goers as if your still livin'
And get on down to the old Slick rhythm
Now this one here is called the Ruler my dear
It's a mere party booster that will set things clear
It's a hundred percent proof from champions of truth
And if you feel you need spirit I'll bring back your youth
Relax your mind, and folks unwind
And be kind to a rhythm that you hardly find
And off we go, let the trumpets blow
Well hold on, because the driver of the mission is a pro
The Ruler's back
Now in these times, well, at least to me
There's a lot of people out here tryin' to sound like Ricky D
Not tryin' to cause trouble cause it's really a small thing
But they're bitin' what I'm writin'
God it's great being the king
Some sound alright, but then they act illy
Try conquering my crown and that's really very silly
Now I'm not the type that gets upset
Try to disrespect folks just to earn respect
But learn this fact, whether white or black
I can't get conquered in my style of rap
For jealousy and envy are dumb ones' tools
So Ricky says nothing, he keeps his cool
Revenge is not a mission that the Ruler's on
Just forgiveness required for the wrong that's done
So off we go, let the trumpets blow
And hold on, because the driver of the mission is a pro
The Ruler's back
Scratches: Hit it!
Now one day when I was chillin' at this outside jam
I seen folks havin' a ball and plus clappin' their hands
To beats of records that conquer the streets
Like Pee Wee Herman and Clubhouse Treats
Girls was chillin', boys rule as usual
The slacks, the golds, the rings, I hope I'm not confusin' y'all
But everyone in the house looks smashin'
Fresh clothes on their butts and nothing out of fashion
And just when you thought nothing couldn't get better
A news flash concealed in a bright yellow letter
A kid ran up to the mike and said ""Alert, hear this,""
Cleared his crummy throat and then began to persist
He said ""Hallelujah, kids hear this
The Ruler's back and he's here to assist""
So off we go, let the trumpets blow
And hold on because the driver of the mission is a pro
The Ruler's back
Scratches: Stop Lyin'!",https://genius.com/Slick-rick-the-rulers-back-lyrics
