title,album,year,lyrics,urls
Crank That (Soulja Boy),Supaman,2007.0,"Yuuuuuuu
Soulja Boy tell 'em
Ayy, I got this new dance for y'all called the Soulja Boy
You just gotta punch, then crank back three times from left to right

Soulja Boy off in this ho
Watch me crank it, watch me roll
Watch me crank dat Soulja Boy
Then Superman that ho
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch
Soulja Boy off in this ho
Watch me crank it, watch me roll
Watch me crank dat Soulja Boy
Then Superman dat ho
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch

Soulja Boy up in this ho
Watch me lean then watch me rock
Superman dat ho
Yeah, watch me crank that Robocop
Super fresh, now watch me jock
Jocking on them haters, man
When I do that Soulja Boy
I lean to the left then crank that thang, now (Yuuuuuu)
I'm jocking on yo' (I'm jocking on yo')
And if we get to fightin' then I'm cocking on yo' (Then I'm cocking on yo')
You catch me at yo' local party
Yes, I crank it everyday
Haters gettin' mad 'cause
""I got me some Bathin' Ape""

Soulja Boy off in this ho
Watch me crank it, watch me roll
Watch me crank dat Soulja Boy
Then Superman that ho
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch
Soulja Boy off in this ho
Watch me crank it, watch me roll
Watch me crank dat Soulja Boy
Then Superman dat ho
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch

I'm bouncin' on my toes
Watch me supersoak that ho
I'ma pass it to Arab and he gon' crank it up fo' sho'
Haters wanna be me, Soulja Boy, I'm the man
They be lookin' at my neck, sayin' it's the rubberband
Man (man), watch me do it (Watch me do it)
Dance (dance), let's get to it (Let's get to it)
Nope, you can't do it like me, though
So don't do it like me, folk
I see you tryna do it like me, man that damn ugly

Soulja Boy off in this ho
Watch me crank it, watch me roll
Watch me crank dat Soulja Boy
Then Superman that ho
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch
Soulja Boy off in this ho
Watch me crank it, watch me roll
Watch me crank dat Soulja Boy
Then Superman dat ho
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch

I'm too fresh, off in that ho
Watch me crank it, watch me roll
Watch me crank that Roosevelt then super soak that ho
Supersoak that ho
Supersoak that ho
Supersoak that ho
Supersoak that ho
I'm too fresh, now watch me dooooooo it
Watch me shuffle, watch me yuuuuuuu
Watch me crank that Soulja Boy
Now Superman, yuuuuuuu
Superman, do it
Superman, do it

Soulja Boy off in this ho
Watch me crank it, watch me roll
Watch me crank dat Soulja Boy
Then Superman that ho
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch
Soulja Boy off in this ho
Watch me crank it, watch me roll
Watch me crank dat Soulja Boy
Then Superman dat ho
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch me yuuuuuuu (Crank dat Soulja Boy)
Now watch

Yuuuuuuu
Yuuuuuuu",https://genius.com/Soulja-boy-crank-that-soulja-boy-lyrics
Kiss Me Thru the Phone,iSouljaBoyTellem ,2008.0,"Soulja Boy tell 'em

Baby, you know that I miss you, I wanna get with you tonight
But I cannot, baby girl, and that's the issue
Girl, you know I miss you, I just wanna kiss you
But I can't right now so, baby
Kiss me through the phone (Kiss me through the phone)
I'll see you later on (Later on)
Kiss me through the phone (Kiss me through the phone)
See you when I get home (When I get home)

Baby, I know that you like me, you my future wifey
Soulja Boy Tell 'Em, yeah
You can be my Bonnie, I can be your Clyde
You could be my wife, text me, call me
I need you in my life, yeah all day every day I need ya
And every time I see ya my feelings get deeper
I miss ya, I miss ya, I really wanna kiss you but I can't
Six, seven, eight, triple nine, eight, two, one, two

Baby, you know that I miss you, I wanna get with you tonight
But I cannot, baby girl, and that's the issue
Girl, you know I miss you, I just wanna kiss you
But I can't right now so, baby
Kiss me through the phone (Kiss me through the phone)
I'll see you later on (Later on)
Kiss me through the phone (Kiss me through the phone)
See you when I get home (When I get home)

Baby, I been thinking lately so much about you
Everything about you, I like it, I love it
Kissing you in public, thinking nothing of it
Roses by the dozen, talking on the phone
Baby you so sexy, your voice is so lovely
I love your complexion, I miss ya, I miss ya, I miss ya
I really wanna kiss you but I can't
Six, seven, eight, triple nine, eight, two, one, two

Baby, you know that I miss you, I wanna get with you tonight
But I cannot, baby girl, and that's the issue
Girl, you know I miss you, I just wanna kiss you
But I can't right now so, baby
Kiss me through the phone (Kiss me through the phone)
I'll see you later on (Later on)
Kiss me through the phone (Kiss me through the phone)
See you when I get home (When I get home)

She call my phone like:
Da, da, da, da, da, da, da, da, da, da, da, da, da, da, da
We on the phone like:
Da, da, da, da, da, da, da, da, da, da, da, da, da, da, da
We taking pics like:
Da, da, da, da, da, da, da, da, da, da, da, da, da, da, da
She dial my number like:
Da, da, da, da, da, da, da, da, da, da, da, da, da, da, da
Six, seven, eight, triple nine, eight, two, one, two

Baby, you know that I miss you, I wanna get with you tonight
But I cannot, baby girl, and that's the issue
Girl, you know I miss you, I just wanna kiss you
But I can't right now so, baby
Kiss me through the phone (Kiss me through the phone)
I'll see you later on (Later on)
Kiss me through the phone (Kiss me through the phone)
See you when I get home (When I get home)",https://genius.com/Soulja-boy-kiss-me-thru-the-phone-lyrics
Pretty Boy Swag,Teenage Millionare,2010.0,"G5 Kids! Soulja (Soulja)
All the pretty girls stand up, all the pretty boys stand up
(Pretty boys in the building)

This, right here, is my, swag (swag)
All, the girls, are on me, damn
Every, body, pay, attention
This, right here, is my pretty boy swag (Soulja, Soulja, Soulja)
Pretty boy swag (ayy)
Pretty boy swag (ayy)
Pretty boy swag (ayy)
Girls on my dick when I pretty boy swag
Girls scream my name when I pretty boy swag
Watch me, pretty boy swag
Pretty boy swag (Ayy)
Pretty boy swag (Ayy)
Pretty boy swag (ayy)
Girls on my dick when I pretty boy swag
Girls scream my name when I pretty boy swag

Get out the way!
Pretty boy comin thru
Me and my crew, we swaggin in the room
Girls on me heavy cause I look so sexy
Yellow diamond shawty, in the club straight flexin
I'm lookin for a yellow bone long-haired star
Thick, in the hips come, get in my car
You party with a star, we take off and go to Mars
Pretty boy take off in 5, 4, 3, 2, 1

This, right here, is my, swag
All, the girls, are on me, damn
Every, body, pay, attention
This, right here, is my pretty boy swag
Pretty boy swag (ayy)
Pretty boy swag (ayy)
Pretty boy swag (ayy)
Girls on my dick when I pretty boy swag
Girls scream my name when I pretty boy swag
Watch me, pretty boy swag
Pretty boy swag (ayy)
Pretty boy swag (ayy)
Pretty boy swag (ayy)
Girls on my dick when I pretty boy swag
Girls scream my name when I pretty boy swag

I'm pretty, boy swaggin, in the club I feel sexy (No homo)
No homo shawty, but my chest is straight flexin
Tatted on my neck, shawty said she choose me
She got nice titties and a fat ass booty
Took her to my condo, let the girl strip
Then she got naked then she pretty girl dipped
Damn I like the way, lil' mama shake that ass
She pretty girl, dancin while I pretty boy swag, goddamn

This, right here, is my, swag
All, the girls, are on me, damn
Every, body, pay, attention
This, right here, is my pretty boy swag
Pretty boy swag (ayy)
Pretty boy swag (ayy)
Pretty boy swag (ayy)
Girls on my dick when I pretty boy swag
Girls scream my name when I pretty boy swag
Watch me, pretty boy swag
Pretty boy swag (ayy)
Pretty boy swag (ayy)
Pretty boy swag (ayy)
Girls on my dick when I pretty boy swag
Girls scream my name when I pretty boy swag",https://genius.com/Soulja-boy-pretty-boy-swag-lyrics
Phone Call,King Soulja II,2014.0,"I got a 100K on my left wrist, I got a 50K on my right
I got a whole lot of kush in this bitch, I'm 'bout to make me some dirty sprite
And if a nigga try to fuckin' rob me, then nigga gonna die tonight
Call all my fucking niggas up, and tell them it's time to ride

See Zaytoven that's my nigga, I've been fucking him forever
Pull up on the block, 
like I'm Floyd Mayweather
100K up on my watch, all these shots in my Glock
If a nigga diss me, I'ma blow his fucking top
SODMG man
, I put that on the map
You catch me in that white Ferrari, and I'm riding with the strap
You catch me in that red Bentley, and I'm swerving off the map
You catch me in my bitch whip, 
she got a Jag' that's matte black
Bitch I'm Soulja Boy Tell 'Em, and you know I'm getting guap
Bitch I'm panorama
, I catch a fucking block
It ain't nothing to lil Soulja, cause I do this shit a lot
Shout out to my boys, they been holding down my spot

100K in the summer (aye)
300 bands in a hummer (aye)
Niggas hating on me, that's everyday
But I get money, I get money (aye)",https://genius.com/Soulja-boy-phone-call-lyrics
Beef (Quavo Diss),UnKnown,2016.0,"Yeah, man, yeah, man, you know what the fuck goin' on man
Ayy, Quavo, you a bitch, nigga
Yeah, nigga
I introduced you to Sean Kingston nigga
I introduced you to Travis Scott nigga
What you forgot?
(You call my phone you said, you hit a nigga with a body, you ain't do shit)
Quavo, Quavo, Quavo said he want some beef with me
(Pussy ass nigga, first time you came to LA
Nigga you was with me)
Ayy man, I guess you mad cause I fuck Lil Yachty girl and he ain't never met her before nigga
(I took you to Sean house nigga)
I don't give a fuck all y'all can get it
(I intoduced you to Travis Scott nigga, pussy)

Quavo said he want some beef with me
(What? Who? Quavo?)
Quavo, Quavo, Quavo said he want some beef with me
(Quavo say he want some beef with Big Soulja? He Crazy!)
Fuck Quavo, fuck Migos, pull on your block with the Draco
Fuck Quavo, fuck Migos, pull on your block with the Draco
Quavo said he want some beef with me
Quavo said he want some beef with me
(man I made Quavo)
Fuck Quavo, fuck Migos, pull on your block and I spray with the Draco
Fuck Quavo, fuck Migos, pull on your block and I spray with the Draco

Quavo hit my phone say he want beef
Must don't know I'll knock out his teeth
I pull up in the north side shoot with the 223
Migos ain't shit to me
Spray with the Draco leave them pussy niggas history
Quavo stole my swag he must be my mini me
""Hannah Montana, Hannah Montana""
Shut the fuck up nigga give me that shit
Run on your block and you know I'ma empty the clip
Migos ain't nothin' but a bitch
Fuck Quavo you a hoe
I fucked this bitch I guess he ain't know
Pull on his block spray with the Draco
I got some shooters pullin' up they from Clayco
I sold Quavo a pint of lean but he ain't know
I mixed it with the Karo

Fuck Quavo, fuck Migos, pull on your block with the Draco
Fuck Quavo, fuck Migos, pull on your block with the Draco
Quavo said he want some beef with me
(Quavo? Huh? What?)
Quavo said he want some beef with me
(Imma kill that nigga)
Fuck Quavo, fuck Migos, pull on your block and I spray with the Draco
Fuck Quavo, fuck Migos, pull on your block and I spray with the Draco

Yea man y'all pussy ass niggas
Y'all niggas don't even get a second verse pussy ass niggas
You only get one verse nigga
You called my phone talkin' 'bout you want some beef nigga
Talkin' beef you don't want no fake kick it
(talkin' all that gangsta shit bruh)
Fuck you talkin' about nigga
I ain't get dat way from y'all bitch ass niggas
I got dat way from Famous Dex
And yea y'all was dissin' Famous Dex in your song
""Your artist be stealin' my swag""
You talkin' about Rich The Kid artist that's Famous Dex
(Datway, Datway)
Y'all niggas some hoes nigga (Datway, Datway)
You know what the fuck I'm at , pull up nigga
(Datway, Datway)
Y'all niggas ain't want to pull up (Datway, Datway)
Fat boys gon' knock your bitch ass out (Datway, Datway)
You know what the fuck goin' on nigga (Datway, Datway)
You know where I'm at (Datway, Datway)
Y'all ain't even from Atlanta nigga (Datway, Datway)
Stop playin' with me bruh (Datway, Datway)
(Fuck with Big Soulja it's gun play)

Fuck Quavo, fuck Migos, pull on your block with the Draco
Fuck Quavo, fuck Migos, pull on your block with the Draco
Quavo said he want some beef with me (Datway, Datway)
Quavo said he want some beef with me
(Fuck with Big Soulja it's gun play)
Fuck Quavo, fuck Migos, pull on your block and I spray with the Draco
Fuck Quavo, fuck Migos, pull on your block and I spray with the Draco

Fuck with lil' Soulja its gun play, dat way, dat way
Fuck with lil' Soulja its gun play, dat way, dat way
Yea man y'all now what the fuck goin' on niggas
Pussy ass niggas
Fuck wrong with y'all stupid ass niggas
Yea nigga I fuck with Freeband Gang nigga
I don't fuck with no Migo Gang nigga",https://genius.com/Soulja-boy-beef-quavo-diss-lyrics
Turn My Swag On,iSouljaBoyTellem ,2008.0,"Soulja Boy Tell 'Em

Hopped up out the bed, turn my swag on
Took a look in the mirror,
 said, ""What's up?""
Yeah, I'm gettin' money, oh
Hopped up out the bed, turn my swag on
Took a look in the mirror,
 said, ""What's up?""
Yeah, I'm gettin' money, oh

Turn my swag on
It's my turn, now turn it up
Yeah, yeah
I put my team on, then my theme song
Now it's time to turn it up
Yeah, yeah
I got a question, why they hatin' on me?
I got a question, why they hatin' on me?
I ain't did nothin' to 'em, but count this money
And put my team on, now my whole clique stuntin'
Boy what's up? Yeah
Boy what's up? Yeah
When I was nine years old
I put it in my head I'ma die for this gold (Soulja Boy Tell 'Em)
Boy what's up?

Hopped up out the bed, turn my swag on
Took a look in the mirror,
 said what's up
Yeah, I'm gettin' money, oh
Hopped up out the bed, turn my swag on
Took a look in the mirror,
 said what's up
Yeah, I'm gettin' money, oh

I'm back again
I know a lot of y'all thought I wasn't comin' back
Yeah, yeah
I had to prove 'em wrong
Got back in the studio and came up with another hit
Yeah, yeah
I told the world my story
The world where I'm from, souljaboyXL.com
Boy what's up? Yeah, yeah
Now every time you see me spit, every time you hear me rhyme
Every time you see me in your state or town, say what's up
Yeah, yeah (Soulja Boy Tell 'Em)

Hopped up out the bed, turn my swag on
Took a look in the mirror,
 said what's up
Yeah, I'm gettin' money, oh
Hopped up out the bed, turn my swag on
Took a look in the mirror,
 said what's up
Yeah, I'm gettin' money, oh",https://genius.com/Soulja-boy-turn-my-swag-on-lyrics
What’s Hannenin,Supaman,2007.0,"How come you won't tell me what's hannenin'?

Hannenin', what's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's, what's hannenin'? What's, what's hannenin'?
What's, what's hannenin'? What's, what's hannenin'?
Hannenin', hannenin', hannenin', hannenin'
Hannenin', hannenin', hannenin', hannenin'

Man, tell me, what's really goin' on?
Soulja Boy up in this thing, I'm ready
What's hannenin'?
And I'm ready with the dope
I got a half a mill' stashed in the studio
What's hannenin'?
I'm down, nigga, I'm down
Soulja Boy 2006, it's my time to clown
And I'm ready any place
Soulja Boy up in this thing with my DJ
What's hannenin'?

Hannenin', what's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannein'?
What's hannenin', hannenin', hannenin', hannenin'?
What's hannenin', hannenin', hannenin', hannenin'?
What's hannenin', hannenin', hannenin', hannenin'?
What's hannenin', hannenin', hannenin', hannenin'?

Nigga, I'm down, down with the thugs
Soulja Boy up in this thing since inches passed DUBs
I'm down with the crew
Lookin' so clean every time I ride through
What's hannenin'?
2006, 2006, my time to shine, hit the block sittin' on  26
2006, 2006, my time to shine, hit the block
What's hannenin'?

Hannenin', what's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?

My turn, my turn to shine
This shit, I swear to God, I'm gonna put it down
I'm gonna do it big
Hit the high school, sittin' on 26
What's hannenin'?
Do it big, I wanna do it big
Do it big, what's hannenin'?
Do it big, I wanna do it big
Do it big, what's hannenin'?

Hannenin', hannenin', hannenin', hannenin'
Hannenin', hannenin', hannenin', hannenin'
Hannenin', what's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin'? What's hannenin'?
What's hannenin', hannenin', hannenin', hannenin'?
Hannenin', hannenin', hannenin', hannenin'
Hannenin', hannenin', hannenin', hannenin'
Hannenin', hannenin', hannenin', hannenin'
What's, what's, what's, what's
What's, what's, what's, what's hannenin'?
What's hannenin', hannenin', hannenin', hannenin'?
What's hannenin', hannenin', hannenin'?",https://genius.com/Soulja-boy-whats-hannenin-lyrics
Zan With That Lean,Juice,2011.0,"SOD (I'm in my zan with that lean)
Money Gang
Soulja (Zan with that lean)
Kwon (Zan with that lean)
JMoney, JMoney, zan with that...

I'm in my zan with that lean, smoke nothin' but Irene
The hoes going crazy when I'm on the scene
Racks on the way, busting out them jeans
I keep the hammer on me, I ain't worried 'bout a thing
I got all these bands on me, all this ice on me
All these hoes on me, everything on me
Zan with that lean, nothin' but Irene
The hoes going crazy when I'm on the scene

Gotta go to the mall (Juice), I gotta pull a band (Juice)
Fall off in the club, and I'm leaning like kickstand (Juice)
All the ice on me (Juice), all the band on me (Juice)
All the racks on me, it's a masterpiece (Juice)
Got the hoes scream my name, put your life to shame
In the turning lane, in that droptop fire flame
Bentley on them 4's got me shittin' on they ass
When I step inside the club with them muthafuckin' zans
SB my name, man you know that game
SOD all day, put that shit straight to your face
Boy beat the case, now he got them racks
Now he got them hoes, now he got them tats

I'm in my zan with that lean, smoke nothin' but Irene
The hoes going crazy when I'm on the scene
Racks on the way, busting out them jeans
I keep the hammer on me, I ain't worried 'bout a thing
I got all these bands on me, all this ice on me
All these hoes on me, everything on me
Zan with that lean, nothin' but Irene
The hoes going crazy when I'm on the scene

Kush is on me (Juice), with JMoney (Juice)
Running down I20, I'm looking for some freaks
Yellow diamonds shawty, man 100k a piece
Hop inside the VIP and all the girls on me
Zan with that lean, Soulja Boy be clean
True Religion jeans, shit you never seen
Fresh up on the scene with that high right low left
Man the boy got wealth, girls can't help they self
Girls going wild, lifting up they shirts
Pull up in that Lambo, that bitch go skrrt skrrt
Everywhere I go, you know I'm putting in that work
SOD my turf, hit 'em where it hurt

I'm in my zan with that lean, smoke nothin' but Irene
The hoes going crazy when I'm on the scene
Racks on the way, busting out them jeans
I keep the hammer on me, I ain't worried 'bout a thing
I got all these bands on me, all this ice on me
All these hoes on me, everything on me
Zan with that lean, nothin' but Irene
The hoes going crazy when I'm on the scene

Zan with that lean
Smoke nothin' but Irene, smoke nothin' but Irene
Bands on me, bands on me
All this ice on me, I ain't worried 'bout a thing",https://genius.com/Soulja-boy-zan-with-that-lean-lyrics
Hey You There,iSouljaBoyTellem ,2008.0,"Hey you there(x7)
I see you ova there
I see you everywhere
Come and sit right here
Hey how are you doing?
We could go see movie
Heard you were a groupie
Call me next tuesday
Hey you there(x7)
I see you over there
I want you to come here
Sit down
Hey i saw you yesterday
You didn't even wave
That's why i had to say hey, hey, hey GOODBYE
You think this is funny
I think your a dummy
I have alotta money
So hey hey hey hey
Hey you there
Please her and lease her
Hey s-cc-cc- daddle
Heard you like to travel
So why won't you come her and light my (what?)
Hey you there(x3)(what you want)
Please her an lease her
Heard you like this music
Like the way i do it
Like to move it(x3)
This right here is my theme song
I bet it is your ringtone
I farted and it smelt (nasty nasty)
Like a stink bomb
Hey you there (x4)(what?)
Please her and lease her
Hey you there
Come here
I want you to come here
Please her and lease her
Hey i know you want to get me
I heard you want to lick me
My body is so sticky (nasty nasty)
Hey you there
I see you over there
I want you to come here
Please her and lease her
Chigga chigga
Hey there, Hey you there
Hey i see you over there
Please her an lease her
Hey... NO
Hey you there
Are you soulja boy?
Hey you there (what? what?)
Goodbye Goodbye",https://genius.com/Soulja-boy-hey-you-there-lyrics
Ugly,GBE: For Greater Glory 2,2012.0,"Bang
Bang, Bang, Bang
(This beat is so, so Metro)

It ain't my fault this nigga bitch say she in love with me
I got Calicoes with extra holes, bitch, don't fuck with me
Bitch, I'm cooler than a cooler, swear my wrist lovely
I don't want her, you can have her, 'cause that bitch ugly
It ain't my fault this nigga bitch say she in love with me
I got Calicoes with extra holes, bitch, don't fuck with me
Bitch, I'm cooler than a cooler, swear my wrist lovely
I don't want her, you can have her, 'cause that bitch ugly

Get ya bitch off me, my bitch lovely
I swear I don't want her 'cause ya bitch ugly
I throw so much money, make that bitch hug me
Flexing and finessing, make that bitch mug me
Pull up in the parking lot, this shit ugly
But I'm pretty, bitch, y'all saditty
The say I got Chicago locked, bitch, this my city
And I'm a BD from Wic City
Thousands in my Robin Jeans, it ain't nothin'
That bitch all on me 'cause she know I'm stuntin'
But that bitch didn't want me when I had nothin'
But she all up on my dick 'cause I'm spending money

It ain't my fault this nigga bitch say she in love with me
I got Calicoes with extra holes, bitch, don't fuck with me
Bitch, I'm cooler than a cooler, swear my wrist lovely
I don't want her, you can have her, 'cause that bitch ugly
It ain't my fault this nigga bitch say she in love with me
I got Calicoes with extra holes, bitch, don't fuck with me
Bitch, I'm cooler than a cooler, swear my wrist lovely
I don't want her, you can have her, 'cause that bitch ugly

Me and Sosa doing numbers and we global with this shit
SOD, GBE, we taking over with this shit
Don't come around me with that flagging 'cause my niggas with the shits
So many O's, man, it's ugly in this shits
Spend so much money, man, that shit is ugly
I be flexin' on them hoes but them bitches love me
I pull up in that foreign, man, that shit ugly
I be flexin 'so hard, all them bitches on me
All this dope boy swag, you know how we do this shit
I pull up with True Religion and I'm kickin pimpin bitch
Yeah I'm kicking pimping, just to be specific
Me and Sosa got this gold like we win Olympics

It ain't my fault this nigga bitch say she in love with me
I got Calicoes with extra holes, bitch, don't fuck with me
Bitch, I'm cooler than a cooler, swear my wrist lovely
I don't want her, you can have her, 'cause that bitch ugly
It ain't my fault this nigga bitch say she in love with me
I got Calicoes with extra holes, bitch, don't fuck with me
Bitch, I'm cooler than a cooler, swear my wrist lovely
I don't want her, you can have her, 'cause that bitch ugly",https://genius.com/Soulja-boy-ugly-lyrics
