title,album,year,lyrics,urls
’93 ’Til Infinity,93 Til Infinity,1993.0,"Yo, whassup? This is Tajai of the mighty Souls of Mischief crew
I'm chillin' with my man Phesto, my man A-Plus
And my man Op', you know he's dope (Yo, yo, yeah)
But right now, y'know, we just maxin' in the studio
We hailin' from East Oakland, California
And, um, sometime,s it gets a little hectic out there
(Haha, we just chilling)
But right now, yo, we gonna up you on how we just chill

Dial the seven digits, call up Bridgette
Her man's a midget
; plus she got friends, yo, I can dig it
Here's a 40, swig it, you know it's frigid
I got 'em chillin' in the cooler
, break out the ruler
Damn! That's the fattest stog' I ever seen
The weather's heat in Cali
Gettin' weeded makes it feel like Maui
Now we feel the good vibrations
So many females, so much inspiration

I get inspired by the blunts too! (Too)
I'll front you (You), if you hang with a bunk crew (Chump)
I roam the strip for bones to pick
When I find one, I'm done
Take her home and quickly do this (Yep)
I need not explain this (Nah)
A-Plus is famous, so get the Amos

Hey, Miss! Who's there? I'm through there
No time to do hair; the flick's at eight, so get straight
You look great–let's grub now
A rubdown sounds flavor, later there's the theatre (That's nice shit)
We in the cut, the cinema was mediocre
Take her to the crib so I can stroke her

Kids get broke for their skins when I'm in
Close range, I throws game at your dip
Like handball,
 ‘cause the man's all that
All phat, I be the chill from 93 'til

Yeah, this is how we chill from 93 'til
This is how we chill from 93 'til
This is how we chill from 93 'til
This is how we chill from 93 'til
Uh-huh, this is how we chill from 93 'til
This is how we chill from 93 'til
This is how we chill from 93 'til
This is how we chill… from 93 'til

Huh, my black Timbs do me well (Yeah)
When I see a fool and he says he heard me tell (What?)
Another person's busy-ness, I cause dizziness
Until you stop acting like a silly bitch

Yo, crews are jealous 'cause we get props
The cops wanna stop our fun, but the top
Is where we're dwellin', swell and fat, no sleep
I work fit, and jerks get their hoes sweeped
Under their noses, this bro's quick
They hit blunts and flip once
I'm chillin', ‘cause my crew's close, kid

I'm posted, most kids accept this as cool
I exit, ‘cause I'm an exception to the rule (Or not!)
I'm steppin' to the cool spots where crews flock
To snare a dip, or see where the shit that's flam-bee
Blam leakin' out his pocket
So I got tons of indo and go to the Owen's basement
My ace been fattenin' up tracks
Time to get prolific with the whiz kid

Greenbacks in stacks, don't even ask
Who got the fat sacks? We can max pumpin' fat tracks
Exchangin' facts about impacts, ‘cause in facts
My freestyle talent overpowers, brothers can't hack it
They lack wit, we got the mack shit
'93 to infinity–kill all that wack shit!

Ah, this is how we chill from 93 'til
This is how we chill from 93 'til
This is how we chill from 93 'til
This is how we chill from 93 'til
Yeah, this is how we chill from 93 'til (Uh-huh)
This is how we chill from 93 'til
This is how we chill from 93 until
This is how we chill from 93 'til (Yeah)

I be coolin', school's in session, but I'm fresh in
Rappin', so I take time off to never rhyme soft
I'm off on my own shit
With my own clique,
 
roll many backroads
With a fat stog' and blunts,
 foldin' runts
Holdin' stunts captive with my persona
Plus a bomber, zestin'
Niggas is testin' my patience, but I stay fresh, and …

Restin' at the mall, attendance on 'noid (Get off!)
But I am shoppin' for my wish to exploit
Some ill fits, some new kicks
I often do this, ‘cause it's the pits not being dipped

Flipped! The flyer attire females desire
Baby, you can step to this if you admire
The ex...traordinary, dapper rapper
Keep tabs on your main squeeze before I tap her

I mack her, attack her with the smoothness
I do this, peepin' what my crew gets, huh! (Shit)
Loot, props, respect, and blunts to pass
Crews talk shit, but in my face, they kiss my ass (Smack!)
They bite flows, but we make up new ones
If you're really dope, why ain't you signed yet?
But I get my loot from Jive/Zomba, I'ma bomb ya
You will see, from now 'til infinity

Ahhh (Yeah), this is how we chill from 93 'til
This is how we chill from 93 'til
Huh! This is how we chill from 93 'til
Yeah! This is how we chill from 93 'til
Aww, yeah, this is how we chill from 93 'til
This is how we chill from 93 'til
Yeah, this is how we chill from 93 'til
This is how we chill from 93 'til

Haha! Just coolin' out, y'know what I'm sayin'?
But, but who's chillin' around the land, y'know?
Yo, who's chillin'? I think I know who's chillin'
Yeah, tell me who's chillin' then, Plus
Casual–you know he's chillin'
Yo, Pep Love–he gotta be chillin'
Jay-Biz–you know he's chillin'
Ayo, man, my—my man Snupe is chillin', man
Yo, Mike G–you know he's here chillin'
Yeah, my man Mike P–you know he gotta chill
Del the Funky Homosapien is chillin'
Aye, aye, my man Domino–yo, he's chillin'
Yeah…& it's like that, yeah
Yeah, ill
I could do that
You know what I'm saying? Peace",https://genius.com/Souls-of-mischief-93-til-infinity-lyrics
Step to My Girl,Hiero Oldies Vol. 1 ,2003.0,"Back back, way back, I used to fret that my honey
Would play me for one with more 
papes
, still it was funny
Cause she paid no mind as jerks lurked constantly
And my insecurity turned into maturity (I matured)
As the years pass I find it hard to be monogamous
So do other brothers, so the scene's still synonymous
Catch crazy glares when I'm with female company
Some think I'm a softie and they step to her in front of me
So in public places I am often found in my trunk
Reaching for bats, and smack goes his spunk
Because I have the right to 
riff
, and in spite
Of a few protests, progress and I might smite you
Once you come, 
your fronts
, they got no future
Blunts blur my sight, get left and right suture
I know this, and also notice advances:
I peeped them papers in which he slipped to 
my dip
With numerals, and you're soon to roast thinking I'm jelly
Cause numbers left in the gutter lead to lonely tellies (telephones)
(God damn, why won't she call?)
Cause we see who's pee-wee and we see who's me
The difference is Vaseline: You're slipping while I'm skin-dipping
Grips, and grips of chumps my way:
Slumped from back-bumps on rumps, cause I flay
So why play, cause Tajai has to flip
I found mine, so find your own companionship

Every time I see you in the world
You always step my girl
But ask yourself homeboy. Why is that?

Brothers get jealous when I'm chilling with my dip
Just because she's flyer, you try to, 
play me like Milton Bradley
I'm mad, G, just because you've gotta settle for Maggie
Or Agnes, maybe Mathilda the Witch, yo
I'mma have to beat you if you call her a bitch, yo
Keep your mind off what's mine for the keeping (yup)
Or I'll put a bomb in your house while you're sleeping (boom!)
Keep your distance, Hiero is watching you
Step by step, I never slept, I gots to do lots
Cause you brothers never respect who you should (me)
Try to be my friend, and it might do you good (yeah)
Get down with the program, hey yo man yo
Don't even look at my girl on a slow jam
Of course not, you'll never get that close (nah)
To her soft skin, rest in a coffin
If you ever disrespect, I'll twist your neck
If I've got a bat, I might get pissed and flex (boom)
Cause your tramp ain't got a stamp of approval
When I get mine with this rhyme, your crew will
Have to learn the hard way, I'll have to slam you like Hammer
So I bet you'll all break
Even though his song is wack, mine's not
Your girl will never get the props that mine got

Every time I see you in the world
You always step my girl
But ask yourself homeboy. Why is that?

I'm the brother stepping with the flyer female companion
Others be scheming or scamming, dreaming, planning, plotting
Trying to make moves when I'm not in the vicinity
I'll fill that ass with splinters, see
Pull a wood bat, would that change your disposition?
Wishing you was in my position, kissing and hugging on a goddess
But I stay humble and modest
Brothers want to rumble, but they stumble and fumble
Cause they get pummelled by the mischievous
You might catch a whiff of this sneaker
Seek the company of my sweet senorita?
Swing a bat like 
The Natural
, break your clavicle
Fracture femurs, as you scream I'm overcome with laughter
I'm the champion, my man slaps me ten
Cause he's twice as nice, twice the jealousy
Cause fellas see they don't suffice
Opio Lindsey spins the spinal cords
Of the hordes of the Huckleberry Finns
My knuckles are buried in chins
Cause it offends when you're stepping
Adrenalin is pumping, I thump chumps with my weapon
Moments of tranquility abruptly have to cease
Walking hand in hand, when one feels he has to speak his peace
Should I pull a piece and unleash a couple of bullets?
Would it persuade a brother to turn his head and foot it
In the opposite direction, throat sets in his chin
Recognized that I fooled him

Every time I see you in the world
You always step my girl
But ask yourself homeboy. Why is that?
Every time I see you in the world
You always step my girl
Everytime she sees you
She could just take off
And you could just let off steam by screaming
No, no, nooo",https://genius.com/Souls-of-mischief-step-to-my-girl-lyrics
Cab Fare,Hiero Oldies II ,2001.0,"Yo, the jam was fly, oh my now it's over
My batch of pals cut so Tajai must catch a
Taxicab, dag nab why'd they leave me
Stuck in the late night alley, Cali's
Not so hot that everyone should be sweating
Yet nobody's smiling plus crews are piling
Staring, thinking what they'd look like wearing
My gear, I sighed when the yellow cab neared
He sped up cos dreads made him think I'd vic him
Now I gotta dodge thugs like I'm playing chicken
An Englishman, an Irishman
Five or ten Caucasians passed me in their taxis
Oh no such luck I'm gonna get bucked for my apparel
As I seen the black gauge barrel
Just then a fat cab came to my rescue
Damn I'm glad black men drive them cabs too

It seems nowadays cab rides are rather pricely
Especially when the driver goes for self
In spite of the directions that are given
They are driven to cruise backstreets
That treats them to a pricely fare, exactly
What happened to myself when I chose to call a taxi
It pulled up to the curb and I hopped into the backseat
Gave him the destination, said he'd never heard of the place
And I'd have to tell him as we went along, and then placed it in drive
When I said make a left he made a right
Alright, I get it, you wanna make some slight
Detours so you can be sure that you get yours
And when I turn my head you up the bill a little more
I told the cabbie to stop, he didn't think I watched it
Fake reached into my pocket and then jetted like I was Rocket
Ismail his tail light was broken as a token of appreciation
He started chasing but I smoked him

What? You can't escape me
Mop head, drop dead, deceased
Say your final summons if I catch you
Bet you regret you ever ditched me
Driving, conniving
Guys been robbing me lately
He went up Blake Street
But I'm following, swallowing up steps
He ran to the left, I made a left and crashed
Into a rose bush, my nose crushed on impact
But yo, I'll get him back

I didn't have enough for a car, what a bummer
I had to get a job driving taxis last summer
All the other drivers knew that my car was spectacular
Cause I had a tight, very bright yellow Acura
Piling in 9 or 10 skins at a time, G
Funny how the honeys with the money always find me
Paying their green to see what color my house is
Feeling like Del cause they would sleep on my couches
I'd charge senior citizens extra, cause they never mention
I'd take all the money from they pension
And I'd drive a blind man around for a while
Even if he only had to travel just a mile, with a smile
And don't let your dog off the leash
Cause if he stepped then I would have to squash the beast
And if you didn't have the right change, don't even ask me
Or I would have ran your ass down with my taxi",https://genius.com/Souls-of-mischief-cab-fare-lyrics
Never No More,93 Til Infinity,1993.0,"Never no more, never no more
Never will a sucka score, never no more
Never no more, never no more
Never will a sucka score, never no more

Message recorded, lessons be stored in
This mental core, it's 
like lentil porridge
Nas-ty
, Massey, be the last g
From medical texts to class me
Ask me, if I had to grip my pad
The riffs I'd grab would rip and stab
The kids that sad, the shit that's drab
And flavorless, and reckless
Your bestest behavior gets
I plays the hits, displays the shit
A razor gets parlayed amidst
And later splits a Philly that
I made ya hit
, a relief that I gave to kids
When I punched them
I crunch men, at a function

Ponder on this, 
I swallowed the spliff with locution
Encompassing the pompous means, when I escalate my tool
Shins get split, men get spindled, swiveled, pivoted
By my riveting centrifuge
I'm swindling crews, bringing a fist to bruise
Pulverizing skulls annihilating trifling dunces
Pulling rifle pumps to stifle punks when my knifes'll
Split your spleen hit you clean in the kisser
When I twist a riddle I'm breakin' the brittle
And flimsy with my whimsy
Puns and phrases I stun in phases
Terrorize 'em, paralyze 'em paraplegic, when I leave 'em
Mindless, spineless, vertebrate-less with meningitis
I earn 'em swift and minus a life with my nine


I get the props, you get the buttocks
I know my what-nots, 
stopping flows like blood clots
Nah, cuz that's a bad word in jamaican
And I am that,
 fans pack cuz my jams phat
So get the 
peanut
 butter we discover treasure
It's sweet when I stomp you with my feet just for pleasure
Cuz I write the rhymes like a slave'll pick the cotton
The best from the west
 cause I'm fresh and you're rotten
Take out the trash or I'll take it out your ass
With a blast from the past in the future
, I'll shoot ya
But for the present beatdowns will suffice
Lose cause you choose to be down with some mice
You dumb dunces I come once it's my time to
Wanna hear a joke? I'm you
Don't you wish, I won't dismiss your treachery
I bet you'll be, leaving upon a stretcher, g

I'm coming tighter, your rhymes are alright-a
Little reminiscent of the poetry I write
A-stoundingly, you're sounding like me, might we
Step outside and settle this, I cause catastrophes
I laugh at these cause my shit is astonishing
Demolishing, you and your following, I'm swallowing
MCs like I was a black hole, ransack those
Wack flows who chose to oppose
I dont suppose, dare or where my stubble grows
Reverses the process, God bless you swing and whoa its you!
Opio, disposes of crews like snotty tissues
I rip through bodies with corkscrews, you wish you never tried


Never again",https://genius.com/Souls-of-mischief-never-no-more-lyrics
That’s When Ya Lost,93 Til Infinity,1993.0,"Yo, I find it fun to smash emcees into fine bits
I’m goin' to get my just desserts for all the kids I must’ve hurt
I trust that courtesy when dealing with folks is too much for the asking
Cool: I got the skill crafted tools
Massive fools at my work bench and
I'm wrenchin' mics from they grasp 'n'
That's how it has been
The drill's this: I kill swift
I feels I better slay or, hey
My tape measures greater
So now I'm askin' dips if they saw me and they was available
Would they want me to nail 'em all?
Be through, screw, drive her crazy; nut and bolt, lively
Put on your high beams

I proliferate a quicker fate to niggas, vigorous
Figure I kick stunts; I punch twice that nigga that's dissin' at me
Attach 'em to bats, latchin', and matchin' my cataclysm
I give'em a schism, I stroke to croak her, I broke her
Chokin' up on my syntax, as I bend backs by im-impacts
Then I give a concussion in your nuts when I'm bustin'
Heads, dead with my lead graff
I cloth thee, I swing off-beat, off the
Cerebellum, swellin' membranes
Ten brains couldn't parallel this
I'm carouseling kids while they wallow and swallow hollow tips
You follow and slippin' -I'm rippin' mics nice twice like dicin' kids in fractions
Yo, figure, I tax men

Steppin' to Casual (That's when ya lost)
What about Domino? (That's when ya lost)
But if you step to Snupe (That's when ya lost)
Steppin' to A-Plus (That's when ya lost)
If you play the Tajai (That's when ya lost)
Man, steppin' to Opio (That's when ya lost)
Steppin' to Phesto (That's when ya lost)
Fuck with Toure' (That's when ya lost)

Yo, I'm willin' to bet, you're willin' to sweat
But illing'll get you - bruised, I kill and I step to crews
And abuse two's and three's, who's the G's that hoes know? (Me)
Me and Hiero, I know, I'm fly, bro
So why flow if you're not invigorating?
I know where you live; there at your crib, I got niggas waitin'
I figure raping is crime, see
I take my time B, and now your G is my G
Now I'm gonna show you how the West Coast smacks kids
Yo, I'm rhyming swell, so to hell with a wack diss
Generalizing, dissing before you've ever seen this
So you can get the middle (What middle?)
The penis

Never the match the miraculous tactics
I smack tricks, the wax is at your wack bitch
I crack bricks over dicks
Who can't come, I leave'm broke and dumb
Def, and plus I'm causin' cardiac arrest, you need some rest
Check, as I'm chiselin' riddles in your memory
Remember me? I hacked your body to pieces disassembling your flows
You bros started trembling from shock and trauma
I'm gonna, end lives when I bomb a
Babbling dyslexic, I make 'em exit
This lifetime, I wake up words, I excite rhymes
I'm enthusin' when I'm bruisin'
Hoes take off their shoes when I abuse men
You're losin'

If you slept on Del (That's when ya lost)
Steppin' to Pep love (That's when ya lost)
Fuckin' around with J-Biz (That's when ya lost)
Step to Mike G (That's when ya lost)
Smoke on that crack rock (That's when ya lost)
The Souls of Mischief (That's when ya lost)
When you don't know where you're goin' (That's when ya lost)
When you don't win! (That's when ya lost)
Fuckin' around with Hieroglyphics (That's when ya lost)
If you fuck with The Shamen (That's when ya lost)
That's how you lose, proper (That's when ya lost)",https://genius.com/Souls-of-mischief-thats-when-ya-lost-lyrics
Make Your Mind Up,93 Til Infinity,1993.0,"Take your time recline and make your mind up
Take your time recline and make your mind up

Hieroglyphics is gonna twist a kid's cerebellum
If he lives, then I tell 'em, I'll leave his head swellin'
When tellin' fellas about the 5-6
Live, it's me investigatin' fly chick's privates
I got a plan, I got a plan, a strategy
Adam be mad a G, mad at me 'cause I got a fatter salary
Actually, you will be cookin' like bottom ramen
Never top, 'cause you'll never stop the atom bombin'
Hiroshima, Nagasaki, don't copy
The manuscript - man, you slipped, you're sloppy
Joe Schmo, never no more, I'm clever and you're
Never gonna score cause I'm sure I'm better and pure
Like cannabis, and if it's possible I'll drop a new
Line with the lyrics, live is the spirit
And soul, I got plenty in me, eeny-meeny-miny-mo
Slo-Mo, approach with yo ho, yup
'Cause I'm the man and you can read it in Genesis
A-D-A-M, the A-P-L-U-S
One and the same, runnin the game on fly chicks
Real tight, so they feel right with the 5-6
And it's like that, and that's how it is, G
The skins I cross get tossed like a frisbee
Search and find lines of life in my scripture
Screens make me seen so the keen get the picture

Take your time recline and make your mind up
Take your time recline and make your mind up

Eruptions, and busting, when I'm thrusting, cuts men
Into microscopic particles, molecules, atoms
Attack 'em, hack 'em, never slow, never slack
I'm invincible  the flow is intense at fools
Who know not, flow not like this wizard
Ya play with it, fiddle
Widdle a hole in ya throat and pull out ya gizzard
Trachiotomy, I slaughtta the watery-weak
Ya slips, there's a slobbly geek
Niggas tweek when I speak, they retreat
Rethink what was spoken and then repeat
My feat, of inhuman capabilities, rape and pillage emcees
Then I kill emcees, who have no style
I file niggas down to the cuticle
Who can feel my foot prints
Soot gets kicked in your eye, beautiful
Blinding, winding, up and change-ups
Rearrange punks, when I drops, kerplunk!
Rip chunks, out the mic, and then digest, why test?
I'm cavin' in your chest when I express
Myself, extreme confusion
You think you're losin' your mind
'Cause my rhyme cuts holes like a nine

Take your time recline and make your mind up
Take your time recline and make your mind up

Tajai, two syllables, easy
With ease, we, seize thee, butt emcees B
Cause they come wacker than Batman's sound effects
I ground your text, but vertebrae wack I pound your necks
Sally bone, I be prone to Rip shit, likely
Believe it or not, believe it I got the cock-D
Cacophony, I cap the phonies, so there is no needs
For meager attempts, deceivers and pimps know I be
Accelerating on that scale, bats pale the countenances
Of countless knit-wits who wished this
Would mishit, but this shit's equipped with
Homin' devices that are precise as they get, kids
Target's stuck to foes who pose muchly
Fronts be phucked and punk nuts rank us amongst thee
Punks we often cross when soft men
Is the image portrayed to them, spinach is no saviour when
I pop eyes, all of the guys feel my brutish
Strength, and wimpies see haggard futures
Don't tempt me, shrimps be skewered on the barbie
My foot is found within ya, is there any dilemma? Yo, hardly",https://genius.com/Souls-of-mischief-make-your-mind-up-lyrics
Let Em Know,93 Til Infinity,1993.0,"You're irresponsible, no focus
I hold this advice script
I ripped it to shreds I was tense
With sound waves and frequencies
Frequently I'm freakin the flows like hoes
And assholes so rub-a-dub those
Shattering Glass Joes with decibels
To break spectacles, you can't see me
You're feelin' queezy and uneasy
Steppin cautious because you're nauseous
I squashes emcees like I was Colossus
Flippin on Magneto, never metal, without my bending
Ending all existance, my rhymes blending
Niggas up and liquifying, punks are crying
Crews are dying while the mack keeps shining
Gleaming, girls are screaming, cuz I'm arousing
My styles bring, ___ kids, so hot you lookin drowsy
And drained. Refrain from being slain
By my slang, once again I wreck brains

Yo, shit occurs when I shift my words
I dip a Swisher, to my kisser
And get spliffed-a, I riff the
Be the Mista, the abyss the
Widen, cuz I slide in
Like a titan, mythical
When I grip or pull
Spliff, it will manipulate my brain
In ways to plot or gain
And raises
Tajai is the brand that
Keep it jam-packed
Frankly- pretty damn phat
It's over me, I am enough to rip it flat, and pass
The mic to me and see emcees sadden fast
You're ratty, match my tip, you pips
And Gladyss Knight gets darkness
Is where we best start, kids
If ours gets bootlegged and sold in the market
Then mark this
Them stands plan to be targets
And I'll stand grand
Then peace to Richmond and
Of course the Land
I'm lettin ya know cuz I can

""Yeah, I'mma let ya know
Yeah, I'mma let ya know
Yeah, I let you know
Yo, I'm lettin niggas know""

I say that nigga A
That nigga A-K
Can make a nigga day
In a very special nigga way
Breaking backs and fists
As I smack and dis
Wackness
Cuz they lack this
Phatness
In fact this is
Very booty indeed
Prayin you could be freed
From torture
Or I'll scorch ya
With a torch ya, gasoline
I smash your spleen
I'm quick to blast a fiend
You betta jet if ya' ass is keen
Yeah, I got a masta plan
I'm fasta than
Drastic Man
My thing is ""Who would blast a friend?""
I only blast wack rhymas
It's time to find ya' own flows
I throw spines and bones
Your ass
Extremely ass
You see me pass
The senior class
Yo- and now I'm free at last
So let me bust a grill if I must
Making blood spill and your eyes fill with puss
When I bust

Here I go again
Return of the Jedi, red eye
Use my lightsaber to take guys that pick my flavor
I pounce and trounce on emcees when I slay ya
Remember the days
You parleys 'em to the left
Cuz I get deffer
Than senior citizens with Alzheimer's
And squash rhymas to vapor
Shatter- at a
Forfeitcha when I splitcha
Tore and ripped ya
My oratore's quick ta
Concoct a sicka- flow
So crawl back under your rock
Get off my jock
I'm quicka than minute rice
To split and slice
Rappaz as I entrapped ya
Slapped ya, with my rapture
On the down low, I trapped your brain
And flips it
Watch the maestro
Slice hoz, entice hoz
As I rip shit
Dip shit, you rap but
Keep your trap shut
Cuz you lack what
Phesto's inducing
I get mood swings!",https://genius.com/Souls-of-mischief-let-em-know-lyrics
A Name I Call Myself,93 Til Infinity,1993.0,"He hah... hahaha!!
Yo y'all wanna know about hoes?
Check it out... yo

Adam is the man that got more honeys than a hive of
Bees, I skeeze, I'm pullin stunts like MacGyver
And I try ta, always be patient with a Miss
But I diss 'cause groupies always seem to make me pissed
Huh, they gotta be frontin', wantin' to start a phony friendship
I never pretend, the thing I befriend be them hips
And send dips, back to they moms with a grin
But if she's a boo boo head I tell no-one that I got in

Yo, skins friends I got a lotta, and I gotta
Bend them and then blend all the hottie
Spurts be burstin like a mile a minute
'Cause I can either take it slow or yo I wild up in it
I'm pulling, yes 'cause fully dressed or threadbare they're nice
I twist my sides to tickle thighs when my head's there
I now rips sets so foul dips spread my rep
I sew the girls up like Schweppes, so many kids might fret

Afterwards I'm bouncing dips like tits on chicks
Who be running track, but they be running back for more
Rest assured, it's absurd for her to be on linger
I get the finger, 'cause she can't get the stinger
Any longer, my dong can stretch and I'm stronger
I got the daddy ding-a-ling to get you hot and bothered
Get the kinks out when my stink in the pink shout and scream
But a second fling is but a dream

From day one I played hoes in the schoolyard, my tool heartless
But not for dips submerging it ain't hurt men to merge in
My status, from baddest to Tims, I'm pulling more hips
Than gravity, and after the skins get hit, I'm drowsing
Arousing the next dousing the next gals in my saliva
The liver ones 'cause I don't strive to run in no dumb females
Some be swell, but, my picks so why tricks
Get restricted to flicks with boo boo heads, I screw you dead

I call myself the man (Repeat 8X)

Niggas cling, and get attached to things on the fluke
That's insane, I just be in and bang, get boots
For gosh sakes, that broad shakes, her thang to the whole game
The way the labia lips hang it's a sad shame
Clapping when you're tapping, just hit the scraps and be at 'em
The breasts sag like they're saddened
The skins are wrinkled, dry, worn and battered
Leave her shattered, she's as fly as a maggot

The him I am, the man I'm him
Bustin' skins out, I been stout, erect
Checkin' dips when I'm wreckin' lips and clitorises
Hit her with this 
Swinging from my you-know-what
So you know butt cheeks are clapping
Tapping the guts on the late with your date makes my ego flip
Read those lipstick marks on my penal tip
They don't lie, penis trip your dip to her thighs
Fly is my description, wise, when I'm making them lips bend

I hit it, I did it, I admit it
I never quit it, yes, I knock the boots like I was Riddick
Bowe, get with it, ho, I get with
No, Boomerang broads with nasty toes
Keep your corns on your husk you muskrat
But if she's fly, I try to bust that
Gluteus maximus, I wax and bust
I'm taxin' just to be the mack man Plus

Once I been with women, friendship done been the sole outcome
How come skins can't work their way in?
The question resting late night at her pad and
Scheming to grabbing season, 'cause she's in
I fiend, getting mad horny, transforming charges
Into swinging me, seemingly hard miss
Let her know that I was on it
Now I got dibs on that crib, I'm welcome back 'cause I'm Kotter

I call myself the man (Repeat 8X)",https://genius.com/Souls-of-mischief-a-name-i-call-myself-lyrics
What a Way to Go Out,93 Til Infinity,1993.0,"I wanna join a gang
They'll have my back with gats
We'll walk in packs and stack g's
But yo, I lack these qualities
I gotta kill a fool, steal his wallet, keys, and ID's
But I need encouragement
Initiation ain't enough for me to snuff an innocent fool
Yo I got school on Monday
So one way, or another I'mma fell bad
I need to gain acceptance cuz my reps' been in the trash can
I'm blasting, asking can I join, cuz the big night's here
I got a slight fear I might hear gunshots in my direction
Cuz the slums got a ton of niggas flexing
I started stepping and there stood this young girl
Loaded my hollow tips and followed the dip
Pulled my shotty on the hotty and I blasted the bitch
Wish I woulda known it was my little sis

Niggas wanna step, let 'em, I'm gonna get 'em
Pull the trigger finger then I wet 'em
I learned that from my pops, now I wanna pop cops and shit
Slang hots and rocks to hit
Get mine the only way possible
I gots to pull stunts, but niggas starts some bull
Cool, can I kill 'em? of course I can
I know I can, because 
I call myself the man
I'm out cruising the block that I own smoking a Swisher
When all the rocks are gone, I will be richer
Fiends keep me paid, the shade is mine to lounge in
To broke niggas how's that sounding?
Niggas wish they had my ends
- even my friends
They look with envy as I step out of my Benz
Here I am, then they sprayed me
Hey, G, I never thought nobody'd fade me- yo I went out
 ""What a way to go out, out like a sucka""

My man, peep it, I used to keep this
Huge shank inside my bomber for drama
On the ave, my boy checked me
Let me know he didn't see me as a v-e-t
Nigga, I said see that bitch at the ready-teller getting cash?
Bet that ass I'mma kill her
Gotta let these niggas know I ain't no sucka
Pulled out the shank, grabbed the bank, then I stuck her
What the- why did I fade her?
I shoulda saved it, put it in my pocket for later
But hey, the crew knows I'm true, though- that counts
Plus I got back when I'm out
Chillin, 
I get top b-illin
Until with my lil' friends the cops caught me
God-D, the sentence they gave me
I'm in the pen with no clout, but yo, I didn't go out

Holy mackerel, 
that girl got the fat booty
Like Pam Grier,
 these niggas is square
So I stepped near with no fear
I drive a Lexus,
 
she got the Nexxus flowing hair
To make a nigga wanna stare
Kicked the Cassanova then I drove her to my castle
Got the freak undressed with no hassle
The butt was firm, made the funky worm stiffen
Reached for my condom, damn, a fat rip in
The packaging, the lubrication was all dried up
Hope that the rubber don't ride up
Posted in the wallet for eons, the neon green was faded
Broke on the first stroke, I shoulda waited
A year later, caught the flu from Sonya
Shot through the clinic, they said it was pneumonia
Caused by HIV breaking down the immune system
(That was my motherfuckin man, damn I miss him)

""What a way to go out, out like a sucka""",https://genius.com/Souls-of-mischief-what-a-way-to-go-out-lyrics
Anything Can Happen,93 Til Infinity,1993.0,"Yo
It's like this and only this
So I'm go'n tell
Me and my moms in front of the mall, and then I seen this nigga, Ramel
From fifth grade
I knew this kid was swift
Paid was how his mind logged, so he got his grind on
But now it's years later
I say ""Hey"" ta him
He flash his fronts fulla Au, and ""Hey you!""
The warning drove from a Seville as it sped by
Lead fly, ratta-tat-tatted, his blood spattered
I strive ta, see the driva with my eye
Moms grabbed sky, and caught lead in her thigh, I
Put her behind the trash can, dashed to my man
It was too late, it's sad that Ramel was perferated
Waited and sweated, for the medics as my moms bled
Even if he was alive at the scene, by now my man Ram's dead
The cops do not care
Cause our skin has too much shade in it'
They'll dismiss this as some niggas misbehavin'
But I'll never forget the driver of that blue Seville
And live for the day to bust shots in his grill
But still, I can't do this alone
My crew's blind, so I slip two dimes into the pay phone

I'll stay home, get some rest, call my girl an'
Tajai's on the phone, talkin' about the world's end
What happened?
Ya moms got capped an' ya nigga's dead?
Ya talkin' about paybacks, and bullets in the head?
Well 'um, hoodz come in dozens, but I got cousins
That live around the block, an' they got a Glock
An' we can swiftly bust 'em
I trust 'em
Wit my life, an' plus the Glock is light, an'
Easily concealed, easy it'll peel a cap right
Hey Tajai, don't stop, rap too tight (?????)
(Opio: Yo Taj, man, you a'ight, man?)
(Tajai: Yeah, let's just get dem niggas)
Maintain composure, hit the doja
Pick a book up
Don't be shook up, I got hook up
Look up my ManiPhesto, I need the special
Teams for the schemes, get A-Plus so he can brings
The blueprints
To the residence
The measurements and features
We're gonna cause explosions wit Clorox Bleach an'(Boom!)
Ping pong balls, hear through walls with a stethascope
Tap their phones, watch their every move with a telescope
Peep their favorite spots, inventing plots for their demise
On the DL, make sure, to the crimes, we have no ties

Around about noon I got a buzz on my ringa (Ring)
What a humdinga, what happened to Tajai's momma?
Goner was some kid named Ramel
My mission was to flip the aparrel, escaping by my coattails
An' from Thrifty
Swiftly lift the ping pong balls in hand
I ran where I was most suspected to be founded
Bounded up my pals and snuffed the ruffnecks who buck tips
Hollow and follow and trace every single face
Then deface them anyway we could
Infecting, injecting
HIV needles might be feeble, but
We was not wit the consequences being much worse
A-Plus, will adjust the plan to work with no quirks

Ten o'clock, on the dot, meet around the block
From his crib, we can get this kid shot, plus I got
His sister on my tip, she says she's ready to try us
Let's get her, an' break off all her fingers wit some pliers(Nah, that's
Ill)
Anyway, Tajai, jet around to the back, an'
Be strapped, since it was ya moms you should gat that
Criminal
Shoot him in his kneecaps first
Don't waste no time, you see that grill, remember we blast first
Opio and Phesto, let's go get the south window exits
In your Lexus is the moment we should flex, it's
Definately on, I bust one to the front
We got the exits covered, there's no way that he can run
The stupid nigga ran to the back like I expected
Tajai said skip the knees, saw his grill, he shot and wrecked it
Death is what he got, yo he shot, an he started all the cappin'
But now he knows: Anything Can Happen!",https://genius.com/Souls-of-mischief-anything-can-happen-lyrics
