title,album,year,lyrics,urls
Good Times,Swizz Beatz Presents G.H.E.T.T.O. Stories,2002.0,"""I get high, I get high, I get high, I get high
I get high, I get high, I get high, I get high
I get high on your memory, high on your memory
HIGH on your memory...""
""I get high - high - high - high"" (Every day)
""I get high - high - high - high"" (Every night)
""I get high - high - high - high"" (All the time)
""High-ighhhhhhh...""

Everyday I need an ounce and a half, S.P
The only flower that you know, with a bounce and a half
Listen kid, I need a mountain of cash so I could roll up
Hop in the whip and like, bounce to the ave
I get high cause I'm in the hood, the guns is around
It take a blunt, just to ease the pain that humbled me now (whew)
And I'd rather roll somethin' up; cause if I'm sober dog
I just might flip, grab my guns and hold somethin' up
I get high as a kite; I'm in the zone all alone
Motherfucker case I'm dyin' tonight (it happen tonight)
So I roll 'em up, back to back, fat as I could (uh-huh)
You got beef with Styles P, I come to splatter the hood

""I get high - high - high - high"" (Every day)
""I get high - high - high - high"" (Every night)
""I get HIGH on your memory, HIGH on your memory"" (All the time)
""HIGH on your memory..."" (Every day)
""I get high - high - high - high"" (Every day)
""I get high - high - high - high"" (Every night)
""I get high - high - high - high"" (All the time)
""High-ighhhhhhh...""

Aiyyo I
Smoke like a chim-in-ney {*inhaling*}, matter fact I
Smoke like a gun, when a killer see his enemy
I smoke like Bob Marley did; add to that
That I smoke like the hippies did, back in the 70's
Spit with the finishin' touch - get this, that
I'ma finish you before I finish the dutch
I get high like the birds and the planes, I get high when
Bullets hit faces after words exchanged
I get a rush, off the blood on the walls, you understand?
Like the M-5 pedal when it's touchin' the floor
I get high cause fuck it, what's better to do?
And I'mma never give a fuck (that's right) cause I'm better than you

""I get high - high - high - high"" (Every day)
""I get high - high - high - high"" (Every night)
""I get HIGH on your memory, HIGH on your memory"" (All the time)
""HIGH on your memory..."" (Every day)
""I get high - high - high - high"" (Every day)
""I get high - high - high - high"" (Every night)
""I get high - high - high - high"" (All the time)
""High-ighhhhhhh...""

I'mma smoke till my lungs collapse; I'm from a era where
Niggas cause terror over guns and crack
Where a dollar bill is powerful; I smoke weed cause
Time seem precious and I know what a hour do (I know dat)
High for a livin', gots ta ride for a livin'
With my real gangsta niggas that'll die for a livin' (die my niggas)
Shit I get as high as I could; cause if you see things
Like I see things, that I'mma die in the hood (right here)
Motherfucker understand it's full service to you
I don't smoke the weed if it ain't purple or blue
And you could name any rapper, if you want he could die (anybody)
This is S.P., dump it in you bitch, I get high

""I get high - high - high - high"" (Every day)
""I get high - high - high - high"" (Every night)
""I get HIGH on your memory, HIGH on your memory"" (All the time)
""HIGH on your memory..."" (Every day)
""I get high - high - high - high"" (I am the Ghost)
""I get high - high - high - high"" (Float with me)
""I get HIGH on your memory, HIGH on your memory
I get HIGH on your memory"" (I get high like birds to planes)
""I get HIGH on your memory, HIGH on your memory""
I get HIGH on your memory"" (I get high like, smokin' dubs to the head)
""I get high - high - high - high""
""High-ighhhhhhh...""",https://genius.com/Styles-p-good-times-lyrics
My Brother,A Gangster and a Gentleman,2002.0,"(Answering machine): I'm not the only one living here
Please be considerate and leave a nice message after the tone. One!
(Styles): I just wanted to speak to him.... I got too much words...
I got a lot of words... let's see.. yo, yo

Life is a circle of pain
The darkest clouds, end up like the purplest rain
They say patience is a virtue in the game
Fuck it, I guess I died when my brother died
Cause to tell you the truth, I feel like I'm the curse in the game
My vision is blurred, dreams is shattered, my heart is broke
Pain so deep I find it hard to cope
Missin' your smile and missin' your style
I figured I'm the next one dead so we could kick it a while
Cause your name lives on, the sun still shine
Every time your baby mom lift up your child
I guess I gotta switch my angle now
Take a positive look, hit a blunt my little brother's with the angels now
Some of us fall and some of us fly
But at the end of the book baby all of us die
Word, my nigga

There's my brother
I could smile, cause I know he right next to Allah
Right next to the prophets and the soldiers that died
And all the angels in the heaven that be holdin' the sky
There's my brother
I could cry, for the fact I can't hug him no more
But my tears go to heaven and I know the nigga feel me
And the good thing is he ain't got to worry no more
I said there's my brother, with Allah
Best place he could be

If I could get my miracle on
Listen to me, I would bring my brother back in the physical form
Cause the spirit still here, but the visual gone
And sometimes I gotta think if I'mma live to the morn
I guess it's no more schooling you
I know it's something in our blood, that kept us niggas in the street as usual
Left with a robbery charge, pack and a stash
Crushed a lot of niggas that'd happened to gav
But I'mma just light a blunt, look in the clouds
And I'mma ask my little nigga what's happening Hav
You died on Mother's Day, mom it's a gift
I know God took my brother cause his honor and strength
And we all gonna die Allah tally us up
While you there say what's up to Lil Malla and Duck
And I know y'all niggas restin' in peace
You might be gone, but your soul is still here and is blessin' the streets

There's my brother (My niggas)
I could smile, cause I know he right next to Allah
Right next to the prophet and the soldiers that died
And all the angels in the heaven that be holdin' the sky
There's my brother (My brother)
I could cry, for the fact I can't hug him no more
But my tears go to heaven and I know the nigga feel me
And the good thing is he ain't got to worry no more
I said there's my brother, with Allah
Best place he could be

I could see you when I'm all alone (I see you)
So I guess I'm not all alone, I know my little nigga callin' home
The good die young, so they could get to heaven early
And watch over the rest of the slums (watch over us please)
Move the clouds so we could see the rest of the sun
You might've died, but you in heaven that's a blessing in one
Nigga robbin' to the death, Gary died with a close friend
You and Allen together, smiling together
It's like now I could hear the world
I understand that, I'm in the physical, you're in the spirit world
I see you when I get home
They can't separate brothers, so I still see you when the spit flowin
You died, I died ( you still here)
But I'm alive, you alive, so we gotta keep the shit going
Now I got a new ghost
And a baby brother angel I could feel, every time the wind blows

There's my brother (My niggas)
I could smile, cause I know he right next to Allah
Right next to the prophet and the soldiers that died
And all the angels in the heaven that be holdin' the sky
There's my brother (My brother)
I could cry, for the fact I can't hug him no more
But my tears go to heaven and I know the nigga feel me
And the good thing is he ain't got to worry no more

I said there's my brother
This is where all the people we lost
Right here, they ain't goin' no where
It's all love
This is just the first right daddy
The next one is the next one
Do the best you could, hold your head
You know; you lose somebody, you gain a angel",https://genius.com/Styles-p-my-brother-lyrics
Good Times (I Get High),A Gangster and a Gentleman,2002.0,"{*sample from: ""I Get High (On Your Memory)"" by Freda Payne*}
""I get high, I get high, I get high, I get high
I get high, I get high, I get high, I get high
I get HIGH on your memory, HIGH on your memory
HIGH on your memory...""
""I get high - high - high - high"" (Every day)
""I get high - high - high - high"" (Every night)
""I get high - high - high - high"" (All the time)
""High-ighhhhhhh..."" (*laughing*)

Everyday I need an ounce and a half
S.P.; the only flower that you know, with a bounce in a half
Listen kid, I need a mountain of cash
So I could roll up, hop in the whip and like, bounce to the ave
I get, high cause I'm in the hood, the guns is around
It take a blunt, just to ease the pain that humbled me now (whew)
And I'd rather roll somethin up; cause if I'm sober dawg
I just might flip, grab my guns and hold somethin up
I get high as a kite; I'm in the zone all alone
Motherfucker case I'm dyin tonight (it happen tonight)
So I roll 'em up, back to back, fat as I could (uh-huh)
You got beef with Styles P, I come to splatter the hood

""I get high - high - high - high"" (Every day)
""I get high - high - high - high"" (Every night)
""I get HIGH on your memory, HIGH on your memory"" (All the time)
""HIGH on your memory..."" (Every day)
""I get high - high - high - high"" (Every night)
""I get high - high - high - high"" (All the time)
""I get high - high - high - high"" (*laughing*)
""High-ighhhhhhh...""

Aiyyo I smoke like a chim-in-ney {*inhaling*}
Matter fact I, smoke like a gun, when a killer see his enemy
I smoke like Bob Marley did; add to that
That I smoke like the hippies did, back in the 70's
Spit with the finishin touch - get this, that
I'mma finish you before I finish the dutch
I get high like the birds and the planes
I get high when, bullets hit faces after words exchanged
I get a rush, off the blood on the walls, you understand?
Like the, M-5 pedal, when it's touchin the floor
I get high cause fuck it, what's better to do?
And I'mma never give a fuck (that's right) cause I'm better than you


I'mma smoke 'til my lungs collapse; I'm from a era where
Niggas cause terror over guns and crack
Where a doller bill is powerful; I smoke weed cause
Time seem precious, and I, know what a hour do (I know dat)
High for a livin, gots ta, ride for a livin
With my, real gangsta niggas that'll die for a livin (die my niggas)
Shit I get as high as I could; cause if you see things
Like I see things, that I'mma die in the hood (right there)
Motherfucker understand it's full service to you
I don't smoke the weed if it ain't, purple or blue
And you could name any rapper, if you want he could die (anybody)
This is S.P., dump it in you bitch, I get high

""I get high - high - high - high"" (Every day)
""I get high - high - high - high"" (Every night)
""I get HIGH on your memory, HIGH on your memory"" (All the time)
""HIGH on your memory..."" (Every day)
""I get high - high - high - high"" (I am the Ghost)
""I get high - high - high - high"" (Float with me)
""I get HIGH on your memory, HIGH on your memory
I get HIGH on your memory"" (I get high like birds to planes)
""I get HIGH on your memory, HIGH on your memory""
I get HIGH on your memory"" (I get high like, smokin dubs to the head)
""I get high - high - high - high""
""High-ighhhhhhh...""",https://genius.com/Styles-p-good-times-i-get-high-lyrics
The Life,A Gangster and a Gentleman,2002.0,"My life, Pharoahe Monch, Ayatollah
Howard Mcduffy, Holiday Styles, Double R, Rawkus Records
Pharoahe talk to 'em
Let 'em try to understand
Let 'em try, let 'em try now

My life is all I have
My rhymes, my pen, my pad
And I done made it through the struggle, don't judge me
What you say now won't budge me
'Cause where I come from, so often
People you grew up with are layin' in a coffin
But I done made it through the pain and strife
It's my time now, my world, my life
My life

Is based on lightin' blunts, loadin' guns
Tellin' my lawyers to get the case gone
I need the bills that the presidents got they face on
So I could switch my residence
Get a truck and a Lex
Fuck a check, I no longer have to wait for 'em
I made a couple ends, lost a couple friends
I light a blunt 'cause never will the struggle end
So you could judge a nigga, but you ain't got it
You ain't in the role, so you really can't budge a nigga
You oughta love a nigga
For the fact that it's my world and my life but still I'm a rugged nigga
They say, ""You buggin' nigga,"" fuck it, I'm a thuggin' nigga
You talkin' bullshit then kick it with another nigga
I got a bigger bed and I need a cover nigga
And I ain't got friends, I got enemies
So if they wit' me, then that means they my brother nigga

My life is all I have
My rhymes, my pen, my pad
And I done made it through the struggle, don't judge me
What you say now won't budge me
'Cause where I come from, so often
People you grew up with are layin' in a coffin
But I done made it through the pain and strife
It's my time now, my world, my life
My life

Is a blunt to the head, a prayer for the dead
Run around hustlin', scared of the feds
They said, ""Death is eternal sleep""
But the only thing is you ain't really sure if you prepared for the bed
So often we get merc'd in the head, instead of big money
They got big momma hurtin' instead
My life is makin' the verse
But the handcuffs, the bullpens, the jail cells is makin' it worse
Tell mommy I don't go to the church
Tell Oc' I dont' go to mosque
I blow blunts, hold guns, and I'ma be right there when the soldiers'll march
I play my part and my heart seem colder than March
But on the flipside of things, it's still warmer than June
I have talks with the Lord and he'll be callin' me soon, what?
And my life is all I have
My family, my niggas, my flow, my grabs, what?

My life is all I have
My rhymes, my pen, my pad
And I done made it through the struggle, don't judge me
What you say now won't budge me
'Cause where I come from, so often
People you grew up with are layin' in a coffin
But I done made it through the pain and strife
It's my time now, my world, my life
My life
My life",https://genius.com/Styles-p-the-life-lyrics
A Gangster and a Gentleman,A Gangster and a Gentleman,2002.0,"Yes, pay full attention
This is for gangstas, this is for gentlemen
There's two kind of people out there
I happen to be the boss type
I'm a product of my environment
Blame the streets, I am what they made me

My pops came from Bed-Stuy, my mom came from Africa
I'm all nigga if you know what I mean
They hooked up in the '70's when liquor and weed was heavy
And had me in Corona, Queens
By the time I was seven my mom left my pop
Then we moved to the south side of Yonkers, New York
Then my mom remarried, had my little brother Gary
My sister a year later, let me gather my thoughts
By the time I was nine I was outta my mind
My step pops didn't like me beat me outta my mind
Ten and eleven? the same, I never would change
He still had to hit me, aggravate a little nigga
Still wearin' Skippys
Garf had Adidas and Pumas, I coulda had a pair
But Mommy said wait 'til Christmas, but I needed 'em sooner
If you heard I was broke, dawg it wasn't a rumor

I said Gangstas ride (Ride with me)
Gentlemen live your life (Live it up)
Cause Gangstas die (We all gon die)
It's only a matter of time (The clock tickin)

It was 1986 and I was twelve years old
That's right around the time when crack came out
It was the best thing that happened to me
I swear to God cause I was gettin everything that I was askin' about
First we started off baggin up, me and Garf
Then shit start addin up, we gettin smart
Now we on Broadway, coppin' our own base
Bring it home and put it in bottles, sit in Serato
Drink an OE and scramble like it wasn't tomorrow
I'm gettin kicked out of Junior High, thinkin' I'm grown
Garf bust with the yellow rabbit
And I had every color Delt we was gettin' it on
I was out robbin' Mexicans six in the morn'
Mom said I had a F again, riffin' I'm gone
Nigga get a little looted and grown, soup in the dome
Fuck me up worst when I went to the group home

I said Gangstas ride (Ride with me)
Gentlemen live your life (Live it up)
Cause Gangstas die (We all gon die)
It's only a matter of time (The clock tickin)

I'm leavin out a lotta shit, nigga it's too real
My alcoholic backround, the welfare motels
Abuse that I had to take struggle at my mom's recruit
How the fuck I'm gon bond wit you
And the cases I got up to date told you that I bust a eight
Got niggas I can't name, outta state niggas fuck with weight
Little brother gone but I got a baby angel
You fuckin with a dirty name, don't let these niggas change you
The present's what you get
And the past is what make the man future
I can't tell you I ain't God or lil' Superman
No there ain't a 'S' on my chest, but it's a 'D' on my block (D-Block)
'Cause in life the deepest lesson is death
I'm determined and I'm disciplined and destined to rest
I'm a Gangsta and a Gentleman, Panero the best
When I pass I'm like gas, motherfuckers
Cause I'm a leave a stain that you'll never forget

I said Gangstas ride (Ride with me)
Gentlemen live your life (Live it up)
Cause Gangstas die (We all gon die)
It's only a matter of time (The clock tickin)

This gangsta and this gentleman shit, is about being humble
But at the same time, let niggas know what's real
And when I say you real, I could flip
But at the same time, I could talk to a nigga at the same time
If he don't respect that, then you gotta show 'em you're gangsta
He respect that you show 'em you're gentleman
Cause you respect him as a man
That's what a gangsta and a gentleman is about",https://genius.com/Styles-p-a-gangster-and-a-gentleman-lyrics
The Ghost,The Ghost in the Machine,UnKnown,"Spend a day with the Ghost baby
Get the understandin'
I'm like a shadow
I'm the ghost of this shit for all the spirits I possess
All the voices I be hearin', shit I'm feelin' in my chest
I could ghost through your walls and flow through your soul
When it comes to the streets dog I give this shit my all and
If I'm not grabbin' y'all, if you into signs then
I'm a Sagittarius, the magician is my tarot card
David is my first name but love it if you break it down
I'm a real nigga, I'm a hug you if you breakin' down
Styles is my last name meaning the expression of art
I guess why I'm just blessed with the heart
And they call me Holiday, I'm a let the blanks fill in
I call myself that cause I was born on Thanksgiving
11-28-74
Snatch you, will I break bread with niggas that was ghetto or poor
P. short for Peniro, that's a mixture of Robert and Al
But I ain't actin' with a llama, I'm wild
Here's why they call me the ghost
I'm half alive, half dead, and when it's beef I bring all of the toast
I'm the ghost of this shit, I provide you fluid
That'll crack the sidewalks and rise the sewers
Hey yo, I can see my son in my face
Am I foul cause I pray when I'm high or with a gun on my waist
Gots to ride for the criminals, die for the generals
My ghost'll be around for my bicentennial
Y'all better do the article
Cause when I'm dead I ain't really gon' die, I'm gon' break down to particles
Probably too deep to blow
When I sleep I leave earth and come back, y'all can't peep the ghost
It's like I make niggas shiver and think
I'm so deep that if water tried to listen then the rivers'll sink
And y'all niggas can't walk with me, I'm on some different shit
I can't explain it but I hear the clouds talk to me
It's sort of like the weed in a dutch, you wouldn't understand
So I stay quiet not leavin' you much
It's about time I even it up, I knock your spirit out
Holiday to Ghost gettin' greasy as fuck
Here's why they call me the ghost
I'm half alive, half dead, and when it's beef I bring all of the toast
I'm the ghost of this shit, I provide you fluid
That'll crack the sidewalks and rise the sewers
I vow to hold my niggas down, bust my gun, pay the bail
Get the weed, get the liquor, dog I'm just a lick of styles
Lyrically I'm somethin' else, hardest out of nothin' else
Before you think I'm bitch you better all try to fuck yourself
Mr. Paniro and, mixed with a pharoe and
Got cold hearted when I started movin' heroin
Robbed more shit than Billy the Kid
You think you're nicer than the P you the silliest kid
It's like I'm better off poppin' ya
When I flow I got a formula in styles sort of like a philosipher
Y'all start borrowin' lessons
Cause rap without me is like the gods without the stars and the crescents
I don't rap my niggas, I spit bars and baptize niggas
Pull guns and kill half-sized niggas
You heard about the Holy Ghost and took it for lies
Next time you see Paniro just look in his eyes nigga
Here's why they call me the ghost
I'm half alive, half dead, and when it's beef I bring all of the toast
I'm the ghost of this shit, I provide you fluid
That'll crack the sidewalks and rise the sewers",https://genius.com/Styles-p-the-ghost-lyrics
Nobody Believes Me,A Gangster and a Gentleman,2002.0,"Ahh, today's narrator, the Ghost, ha ha ha ha ha
This is a true story, ladies and gentlemen
You might not believe it though
But fuck it, thats why I'm the ghost
[Verse 1 Styles P, 
J-Hood
, 
Sheek Louch
]
I'm about to open up, listen
One day I fell asleep and my knife woke me up
He said, ""
Your gun is in the closet flippin'
Talkin' 'bout I get the most action he about to soak me up
""
So I went to the closet said, ""Hammer what's wrong with you?""
""
You ain't busting me off, it's like I don't belong to you
""
I said I just beat a case, daddy
And I'm tryna take it easy 'cause I gotta move this weight, daddy
Then the hammer said, ""
Man, listen, use the knife twice in a row
Tell me if the plan switchin'
'Cause we used to get around together
We used to put niggas down together, tell me if it's now or never
""
I said, ""Hammer, take it easy, baby
'Cause I got niggas to kill and I would never do you greasy, baby
And all you gotta do is chill a while
And then the hammer said, ""
Cool
 'cause you know that I feel you, Styles""

I got a story to tell, my knife talk to me
But nobody believe that my knife talk to me
I got a story to tell, my hammer talk to me
But nobody believe that my hammer talk to me
I got a story to tell, my haze talk to me
But nobody believe that my haze talk to me
I got a story to tell, my money talk to me
But nobody believe that my money talk to me
[Verse 2: Styles P, 
J-Hood
]
My knife said to me
""
I hawk niggas down, bust arteries
""
And he get bright red for me
Knife, you my nigga, but leave me alone
I got to talk to my man haze to get in the zone
I said ""Haze what the hell is up?""
He said, ""
You know how we do, you know that we crew
So where's the vanilla dutch?
""
Rollin' somethin' up
Think about killin' every rapper in the game and holdin' somethin' up
My haze said to me, ""
You need to calm down when the rage come to you
'Fore a grave or a cage or a gauge come to you
But you don't give a fuck
So just open up your book and let your page come to you""
Even though I'm humble and noble, I don't give a fuck
You ain't tryna hear me, I'ma shoot through your mobile
It's funny y'all squabble
Hold up, my niggas, it ain't a convo 'less your money start talkin'

I got a story to tell, my knife talk to me
But nobody believe that my knife talk to me
I got a story to tell, my hammer talk to me
But nobody believe that my hammer talk to me
I got a story to tell, my haze talk to me
But nobody believe that my haze talk to me
I got a story to tell, my money talk to me
But nobody believe that my money talk to me

My money spoke to me
It said shit that if it wasn't for his ass there wouldn't be no hope for me
Money ain't everything, and then he laughed at me
And said the hammer oughta blast at me
He said I got you out of jail, paid for the lawyer and bail
Take a look at the cars and the crib
I keep the clothes on your back, food in your mouth
Even paid for the birds when you moved niggas south
Shit, I'm the reason why the block jumpin'
Let a nigga try to stop something, D-Block'll pop somethin'
And I'm the reason why you ride or die
Keep a lot of me by your side, shoot niggas in the eye
I said, ""Money you the root of evil
How they print 'In God We Trust' knowin' what you do to people?""
But I'm a hard felon
So I grabbed two stacks, dirty and bloody 'cause I heard my car yellin'

I got a story to tell, my knife talk to me
But nobody believe that my knife talk to me
I got a story to tell, my hammer talk to me
But nobody believe that my hammer talk to me
I got a story to tell, my haze talk to me
But nobody believe that my haze talk to me
I got a story to tell, my money talk to me
But nobody believe that my money talk to me",https://genius.com/Styles-p-nobody-believes-me-lyrics
Harsh,Master Of Ceremonies,2011.0,"You know
One day I got a call from the Ghost who told me I had to get on this conference call
To discuss a little business with him and the homey Rozay
Know the situation transpired where a nigga had to get dealt with a little harshly
Yeah

Root for the villain and shoot with no feelin'
Like Audio Two yeah the crew is ""Top Billin""
Blowin' the dutch in the coupe with no ceilin'
Invisible bully like the Gooch when I'm illin'
Cash too green, it's taped to the toilet
Like I'm Michael Corleone in the bathroom scene
Young black Vito, chopped and wrapped kilos
Clap torpedoes, stack, Doritos
We in the Mexico sippin' the Mojito
Discussin' perico, green weed and diesel
AK muzzle air holes you can see through
Ridin' the bulletproof five, yeah, I'm lethal

Yo! When niggas hear this shit they say it's (HARSH)
Type of shit that make you wanna handle a nigga (HARSH)
Act hostile, aggressive and kinda (HARSH)
And like a Rothschild with money that's why I'm (HARSH)
How we dealin' with 'em? (HARSH) How we dealin' with 'em? (HARSH)
How we handlin' em? (HARSH) How we manglin' 'em? (HARSH)
Stop bitchin', you the one who done caused me to act (HARSH)
And if I'm itchin' and you front, it's my duty to act...

(It's that L.O.X shit right here)
Style is infectious, actress in a Lexus
Sunroof open hasish for breakfast
Beef never settled, I'm Lyor to the ghetto
Russell with the hustle, Rick Rubin with the metal
When I lick a shot I'm aimin' at ya top floor
Blocks like stock everybody bought more
Birds fell out the sky, rats could drop dead
Flyin through Bed-Stuy, white drop head
Sticky green twist, guillotine click
Dapper Dan three piece suit for the trip
Link with Dominicanos, straight to Sofrito
Three point range hit free throws with kilos

Yo! When niggas hear this shit they say it's (HARSH)
Type of shit that make you wanna handle a nigga (HARSH)
Act hostile, aggressive and kinda (HARSH)
And like a Rothschild with money that's why I'm (HARSH)
How we dealin' with 'em? (HARSH) How we dealin' with 'em? (HARSH)
How we handlin' em? (HARSH) How we manglin' 'em? (HARSH)
Stop bitchin', you the one who done caused me to act (HARSH)
And if I'm itchin' and you front, it's my duty to act...

Shine like brightenin sure but I'm the titan
Hard like when Cus D'Amato was trainin Tyson
Gun we react in the car but no license
Life on top of the city could touch lightenin
Cocaine wave, dollar bill slave
Rangler is tough but the inside is suede
Ride with Louch and 'Kiss until I see a grave
One third of a legacy
Pedigree is I can make a don a don cause of integrity
Rap like a phenomenon sleep for a better dream
Nine is for better things smoke for medicine
BIG is the only rapper I don't think that I'm better than

Yo! When niggas hear this shit they say it's (HARSH)
Type of shit that make you wanna handle a nigga (HARSH)
Act hostile, aggressive and kinda (HARSH)
And like a Rothschild with money that's why I'm (HARSH)
How we dealin' with 'em? (HARSH) How we dealin' with 'em? (HARSH)
How we handlin' em? (HARSH) How we manglin' 'em? (HARSH)
Stop bitchin', you the one who done caused me to act (HARSH)
And if I'm itchin' and you front, it's my duty to act...

Yo, I rub stones together and cast a spell quick Like
Like a Zo hittin' voodoo blessings 'fore I move bricks
I beat you like the number eleven, with two sticks
Money from the door and then when I bop with two chicks
It won't stop never stop there he go again
Together watch the coke and have the baking soda blend
Fredricka kinda pure see how we make the fiends flock
And watch the lines for the coke a quickly wrap around the block
They say we bad for business cause the coke price dropped
How we flooded and we bubble white 'til it's white hot
Pot purchases we chop it up to pieces
'Til only the shake is left countin' the profit in Ibiza
Eight million dollar yacht, scotch, a little refer
Diamonds so big they call it obnoxious little creature
Money to cop original paintings of Mona Lisa
High the way I feel a cloud sittin' on my Caesar

Yo! When niggas hear this shit they say it's (HARSH)
Type of shit that make you wanna handle a nigga (HARSH)
Act hostile, aggressive and kinda (HARSH)
And like a Rothschild with money that's why I'm (HARSH)
How we dealin' with 'em? (HARSH) How we dealin' with 'em? (HARSH)
How we handlin' em? (HARSH) How we manglin' 'em? (HARSH)
Stop bitchin', you the one who done caused me to act (HARSH)
And if I'm itchin' and you front, it's my duty to act...",https://genius.com/Styles-p-harsh-lyrics
Holiday (2000),The Great Ones Pt. 3,2000.0,"Yeah
L-O-X nigga
It don't stop
It keep goin, and goin, and goin, and goin
Motherfuckers

You heard it from the P, you oughta know it's the truth
I get you kidnapped, and raped and thrown off a roof
You could nod your head to this like it's only a rap
Cause when these bullets hit yo' ass, I'm like it's only a gat
I need a funeral to feel good, I'm hoping it's yours
Think he religious, Heard he got shot in the Cross
Holiday Styles, bitch I broke most of the laws
Fuck with the Porsche, or flip to the boots, stick to the truth
Do anything it takes just to get me this loot
And missing a tooth, but both of 'em chipped, toaster is gripped
You heard about the trouble, I start most of the shit
When I squeeze ain't no controlling the wrist
And niggas leave the room when they hear the P flowing to Swizz
I'm an ignorant and negative nigga
I sell crack, bust guns, pop shit, and say I'm better than niggas
You think not, I'll look at your man and level a nigga
If you think a rapper's better why don't you give me his name
So I can run up on him, tear him up and give you his frame
When it comes to the streets, I'm the nigga to call
Five eight and three quarters, but I'm bigger than y'all
If I left the gun home, I'm a give you the sword
I'm the devil in the flesh, I can't give you the Lord
It don't make no sense for you to pray for your life
I got my niggas in the crib, you oughta pray for your wife

 Uh huh, holiday
 I gotta make it to Heaven for going through Hell
 Holiday
 And I don't care if I sell, y'all know what I sell
 Holiday
 I use my left hand when I'm loading the shells
 Holiday
 Cause I know it ain't right, that's why I'm blowing the 'L

Yo...
I do it all for my niggas, even ride with a bomb
Get shot, die in his arm, and give him my last
It's a million dollar bail, I'm a get it in cash
I sell crack like it's '88, I live in the past
You know the P carry the gun, live in the Maz'
Tell niggas show me the money and gimme the stash
I like Malibu and pineapple, fifties of hash
Hundreds of 'dro, wear my clothes a week in a row
Sleep on the floor, catch me right next to the dog
I'm Holiday Styles, and that's what the weaponry for
And I probably won't blow for the fact that I'm hard
But I'm good with ten million in the back of the car
Either that or get life and lift the rack in the yard
Getting jewels from the old timers, stashing the cards
But jail ain't part of the plans
I keep weight on the scale cause I feel I get further with grams
In my last few bars, I run through niggas like my last few cars
And crash 'em up, the boy mighta went platinum but don't gas him up
I get his length and his width and get his casket cut
I don't deal with the snakes and fakes
But I deal with the comas and wakes, I don't make mistakes
Double R now bitch you oughta know I'm a ghost
Blow up your face, blow up the coke, and blow up the smoke",https://genius.com/Styles-p-holiday-2000-lyrics
Alone in the Street,Super Gangster (Extraordinary Gentleman),2007.0,"""Alone in the street""
""A-alone in the street""
""A-alone in the street""

You fuckin with my soul right here
All night
I don't really care what I sell or what I sold
As long as I give my soul whenever my story told
I don't know how you roll but I roll, all alone
In the zone knowin damn well my little brother home
Still feel him in the passenger seat
I can't see him and I wish that he can chatter with me
In due time until then, you can say I got more than a few rhymes
Thought I'd be there to see him like more than a few times
Tryin to stay away from beef, but shit is gettin deep
I ain't restin right, it's like I'm on layaway for sleep
I think I shoulda been a author or somethin
Disappear like Hoffa or somethin, came back when they offer me somethin
My word I, got a little crust in my third eye
Headache's why I be meditatin; thoughts is devastatin
Could this be my last life? Maybe my past life?
Is the future when I'm sleep? So what was last night?
I'm goin in deep - and you know the Ghost

{""Alone in the street""} One two three four
5 o'clock in the mornin, you know I'm tryin to see more
{""Alone in the street""} All day, all night
All by myself, you know that I'm all right
{""Alone in the street""} Seven eight nine ten eleven
12 PM, you know I'm tryin to get it in
{""Alone in the street""} All day, all night

Mad live, could learn to bounce out on a bad vibe
Or either keep a gun in your cab ride
Have I thought about my life as a bad guy?
Made a little money sellin rocks that was capsized
Robbed a lot of people like I never was baptized
Yeah I was a very young teen when I took my shahadah
But got right off my deen when I could book the Ramada
Cause I'd rather be a robber or a midnight marauder
There's a part of me that love bein gangster, all of me
I couldn't help but get in the game, the shit was callin me
And I think that I was callin it back
But you can't help but trip when you fall in the trap
If the Lord call, who got the phone for callin him back?
Things are man-made, why don't you tell man to do that?
But he can't, so I'mma stay on the spiritual flack
Cause it's a uphill battle when I'm dealin with that


Consider this a sermon, start to burnin
Never said you was hard, I ain't give you the permit
I might think you vermin, better yet vomit
Alone in the streets with the gun by the armpit
Can't put a shark with a pawn fish, it's conflict
Sorta like mixin boy scouts with the convicts
Somebody gon' pay if somebody gon' play
Cause the streets cold-hearted on a hot summer day
If you gon' rap please stop, run away
Go home, flush ya crack then, give ya gun away
Cause the rules is written down, in invisible ink
Just consider what the critical think
Don't rat, do your bid in the clink; stand tall lil' boy
Get yourself a shrink if you're feelin you're paranoid
But real talk, fuck jail talk, I know home's sweet
Even locked down in a cage is where your dome be
 - echoes at the end",https://genius.com/Styles-p-alone-in-the-street-lyrics
