title,album,year,lyrics,urls
Get By,Quality,2003.0,"We sell crack to our own out the back of our homes
We smell the musk of the dusk in the crack of the dawn
We go through episodes too, like Attack of the Clones
Work 'til we break our back and you hear the crack of the bone
Just to get by, just to get by, just to get by, just to get by
We commute to computers
Spirits stay mute while you egos spread rumors
We're survivalists turned to consumers
Just to get by, just to get by, just to get by, just to get by
Ask Him why some people got to live in a trailer, cuss like a sailor
I paint a picture with the pen like Norman Mailer
Mi abuela raised three daughters all by herself with no help
I think about her struggle and I find the strength in myself
These words melt in my mouth, they hot like a jail cell in the South
Before my nigga Cor' bailed me out
To get by, just to get by, just to get by, just to get by
We do or die like Bed-Stuy
Through the red sky with the window of the red eye
Let the lead fly, some G. Rap shit, Living to Let Die

This morning, I woke up
Feelin' brand new, I jumped up
Feelin' my highs and my lows
In my soul and my goals
Just to stop smokin' and stop drinkin'
I've been thinkin' I've got my reasons
Just to get by, just to get by
Just to get by, just to get by
By, by-by-by-by, by-by-by-by
By-by-by-by, by-by-by-by
Just to get by, just to get by
Just to get by, just to get by
By, by-by-by-by, by-by-by-by
By-by-by-by, by-by-by-by
Just to get by, just to get by
Just to get by, hey, hey

We keepin' it gangster, say ""fo' shizzle"", ""fo' sheezy"", and stayin' crunk
It's easy to pull a breezy, smoke trees, and we stayin' drunk
Yo, our activism, attackin' the system, the Blacks and Latins in prison
Numbers have risen, they're victims lackin' the vision
Shit, and all they got is rappin' to listen to
I let them know we missin' you, the love is unconditional
Even when the condition is critical, when the livin' is miserable
Your position is pivotal, I ain't bullshittin' you
Now, why would I lie? Just to get by?
Just to get by, we get fly, the TV got us reachin' for stars
Not the ones between Venus and Mars, the ones that be readin' for parts
Some people get breast enhancements and penis enlargers
Saturday sinners, Sunday morning at the feet of the Father
They need somethin' to rely on, we get high on
All types of drug, when all you really need is love
To get by, just to get by, just to get by, just to get by
Our parents sing like John Lennon: imagine all the people watch
We rock like Paul McCartney from now until the last Beatle drop

This morning, I woke up
Feelin' brand new, I jumped up
Feelin' my highs and my lows
In my soul and my goals
Just to stop smokin' and stop drinkin'
And I've been thinkin' I've got my reasons
Just to get by, just to get by
Just to get by, just to get by

Yo-yo-yo, yo, yo
Some people cry, and some people try
Just to get by, for a piece of the pie
You love to eat and get high
We deceive when we lie, and we keepin' it fly
When the people decide to keep a disguise
Can't see they eyes, see the evil inside
But there's people you find
Strong or feeble in mind, I stay readin' the signs
Some people cry, and some people try
Just to get by, for a piece of the pie
You love to eat and get high
We deceive when we lie, and we keepin' it fly
When the people decide to keep a disguise
Can't see they eyes, see the evil inside
But there's people you find
Strong or feeble in mind, I stay readin' the signs",https://genius.com/Talib-kweli-get-by-lyrics
Push Thru,Prisoner of Conscious,2012.0,"I rise as day breaks
Clouds hide the sun’s rays
Quick sand and mistakes
Smash walls to get through
I fight the good fight
Even on the bad days
It’s darkest before light
I’m gonna push through

Turbo-charged bars
Slot cars on tracks, falling off, game scars in these rap wars
Ain’t nothing band-aids won’t cover
Touring with 7D coverage
Live bands, two buses, my own cash
No budget, no major label fundings, Jets baby
We went from crawling to walking to running
You can’t say nothing, you under gag order
Hopping out of Audi’s hurting y’all with kicks, I’m the Transporter
Think about it, never mind, you ain’t gotta
I’m already on some whole other, word to yo mufuckin' self
Nobody else gon’ do it for ya, nobody else
Every now and then someone’ll offer ya help, but they ain’t doing nothing
'Til they really see you tryna do something, I ain’t bluffing
Kush puffing on you jive turkeys
Stuffing stockings with these gifts
Audible applaudables homie take a wiff

I rise as day breaks
Clouds hide the sun’s rays
Quick sand and mistakes
Smash walls to get through
I fight the good fight
Even on the bad days
It’s darkest before light
I’m gonna push through

When you a man, action is what’s expected, nothing is spoken on
Producer never got time for no excuses, gotta go beyond
My flow is tom-foolery
I smoke these pork rappers so fast they call me charcuterie
I beautifully exude the vibe that’s free of ambiguity
Ya goonery for the sake of goonery is cartoons to me
It’s coonery, it’s lunacy, let’s make it plain
Only way that you hang is attached to a tree
The moon talk to the sea and speak the body language fluently
She makes it rain
When I’m on fire, she always try to douse me
Only reason that you make it rain is ‘cause your diamonds cloudy
I see you from a mile away when it get overcast
Old people feel it in they bones, invade your home like I broke the glass
And let myself in, fighting for freedom like the people in Tunisia
Spread through Sudan and Egypt, this the music for the movement
The score to your achievements, never join ‘em so you gotta beat ‘em
It’s carpe diem hey (hey) yeah

I rise as day breaks
Clouds hide the sun’s rays
Quick sand and mistakes
Smash walls to get through
I fight the good fight
Even on the bad days
It’s darkest before light
I’m gonna push through

Like kindergarteners
My vision’s bothered by vigilantes that harbor on street corners
Try your hardest to harvest bundles of weed on ya
The starving’ll speed on ya, stampede on ya
Impede on your pockets then pee on ya
Dreams of us living lavish in fabrics of fine linens
Spending, established, with women dining and laughing
But this environment got us violent, ready to crash in–
–to society, take this driver seat, hope you fastened
Your seatbelts twice, when I rolled them dice, I crapped
So many times I can build casinos from scratch
Too many daps you might receive from the things you achieve, relax
That’s what my mental say, but my physical’s been detached
I’m on some other shit, like fuck the government
I'm higher rankings, where’s the mothership?
I made a covenant that I was changing but my luck has been
Quite disgusting when reality tainted, where the fuck you been?
Left him face down like he was planking
In a cold world where old girl and her homeboy got a motive
You can bench curl your tribulations, that sensation's insulting
Got a wifey or a mistress, nigga which one you indulging?
Regardless of who you pick know life's a bitch when you ain't focused nigga
I'm focused

I rise as day breaks
Clouds hide the sun’s rays
Quick sand and mistakes
Smash walls to get through
I fight the good fight
Even on the bad days
It’s darkest before light
I’m gonna push through",https://genius.com/Talib-kweli-push-thru-lyrics
Ms. Hill,Right About Now: The Official Sucka Free Mix CD,2005.0,"Another night, slips away
In other words, I should say
There are no words, you should say
There are no words
Another night, slips away
In other words, I should say
There are no words, you should say
There are no words
Ms. Hill, you got skills, that's a gift, it's real
Get ill, what you spit got the power to uplift the heel

I wish I could talk to Lauryn
I mean excuse me, Ms. Hill
And let her know how much we love her is real
The industry was beating her up
Then those demons started eating her up
She need a savior that'll bleed in a cup, yup
We used to kick it in the salad days
When she look at me like she ain't know me when she see me nowadays
I nod, she nod back, that's how it stay
Her songs still better than anything out than ""Hot"" or ""Power"" play
Remember how they accused her of saying, he did her album without help
Then she went to Rome to sing and tell the Pope about herself
Just after she left the Fugees, started rolling with the Marleys
Got back with her crew at Dave Chapelle's Block Party
She made songs about Zion and trying to be faithful
Took Black Star on tour in Europe, I was so grateful
Speaking for myself but I'm sure I could speak for Dante
I got to watch a show with Nina Simone and Harry Belafonte
We used to chill at Nkiru, her moms was a customer
She used to love to buy the books by Octavia Butler
Parable of the Sower, the main character's name was Lauren
What the album did for black girls' self-esteem was so important
I got concerned when she got sick on the road
She ain't healthy, I'm a brother
And I wish that I could pick up the load, but no

Another night, slips away
In other words, I should say
There are no words, you should say
There are no words
Another night, slips away
In other words, I should say
There are no words, you should say
There are no words
Ms. Hill, you got skills, that's a gift, it's real
Get ill, what you spit got the power to uplift the heel

Got your assistant on the the phone, ""I need to talk to Lauryn""
And I wanna walk through the storm, and I could be the umbrella when the rain is pouring
Please, 
this no disrespect to whoever your man is, though
This relationship is 
strictly music like D'Angelo
I know you hate Babylon
, and 
wanna see it fall
But they won't let you read your poem at the BET awards
You give us hope, you give us faith, you the one
They don't like what you got to say
But still they beg you to come, whoa
Now that's powerful sis, it's black power
We get money, keep our eyes on the final hour
And no I ain't saying you Christ, that would be sacrilegious right?
But you can blow and you nice, sisters them raps is vicious
The raps the sisters recite with their black fist up
The devil's last wish is a queen that rise past bitches
We used to read 
Francis Crest
 or anything
By 
Third World Press
 impressed
But what the power of the word suggest
Hatched ideas in our heads like birds in the nest
You gave birth to a new sound like Donda West
, yes
Should I be saying all of this while the mic is on?
I might as well let it out because one day I might be gone
I write this song and hope you feel how much we love you
And you play it, cause I really ain't got the words to say it
But yo

Another night, slips away
In other words, I should say
There are no words, you should say
There are no words
Another night, slips away
In other words, I should say
There are no words, you should say
There are no words
Ms. Hill, you got skills, that's a gift, it's real
Get ill, what you spit got the power to uplift the heel",https://genius.com/Talib-kweli-ms-hill-lyrics
Come Here,Prisoner of Conscious,2003.0,"I don't wanna waste your time baby
I just wanna make you come to me
Comfortable baby, so come here darling
And come for me baby
I don't wanna waste a second, no girl
I just wanna make you come dance with me
Come talk to me, come here darling
Come here for me baby

Why you so far away? You need to feel this
I've got somethin' to tell you, come here real quick
I've done dirt in the past, I know that love hurts
I'll come for you, but my lady's got to come first
I can tell by your hesitation there's trust issues
You get excited, ignite it, highly combustible
You on a higher vibration, that's why I fuck with you
Left me provide for you, comfortable as a Huxtable
Your whole style is colder than Minnesota
I love your profile, the way you look over shoulders
At the crib, I'm hopin' you come over
We can do it like Common and Mary and come closer
We can do it like Barack and Michelle, give me a fist bump
Black magical, act radical with the fist up
Do it 'til we rockin' the bells, you like hip-hop
Promise you I'm not gonna tell, we keep our lips locked

I don't wanna waste your time baby
I just wanna make you come to me
Comfortable baby, so come here darling
And come for me baby
I don't wanna waste a second, no girl
I just wanna make you come dance with me
Come talk to me, come here darling
Come here for me baby

Like a Spike Lee movie, I'm movin' across the floor
Feelin' love in the music, I'm using it like a lure
I love how you do, with your beauty and your allure
Make you come like the ocean, approaching me like ""sure""
She Rockefeller Center like Diego in the lobby
As valuable as The Scream or a Salvador Dali
She popular with the thieves and wanna be Thomas Crown
Some try to steal her attention as soon as I'm not around
This last bird probably flew the coop
Blastin' Outkast, last words: ""Ooh-Dee-Whoo""
I don't know how to describe you, you're so beautiful
Je ne sais quoi... how you say, ""voulez vous?""
Pardon my French, with the tongue kissin' I'll make her come hither
'Til she dancin' with wolves, see how they run with her
I'm dumb twisted off rum, liquor
But fix my composition and give a proposition to consider

I don't wanna waste your time baby
I just wanna make you come to me
Comfortable baby, so come here darling
And come for me baby
I don't wanna waste a second, no girl
I just wanna make you come dance with me
Come talk to me, come here darling
Come here for me baby

Hey you, hey you, hey you
Yeah, I'm talkin' to you
Hey you, hey you, hey you
Yeah, I'm talkin' to you
Simmer down for me
Simmer down, simmer down, simmer down for me
Simmer down, simmer down, simmer down for me
Simmer down, simmer down, simmer down for me

Black Madonna, you sow the seeds like a farmer
While I manage, just serving long sentences, no commas
Write poetry in your honor, your body is like a sauna
The promise, you gettin' closer to the sun, you gettin' hotter
You the Earth, that's emphatically ""yes""
But I still call you a bad bitch, under my breath, out of respect
Naturally blessed, Lady Chatterly fresh with tatted flesh
I ain't gotta ask her ""why you stare"" - that's a ""yes""

I don't wanna waste your time baby
I just wanna make you come to me
Comfortable baby, so come here darling
And come for me baby
I don't wanna waste a second, no girl
I just wanna make you come dance with me
Come talk to me, come here darling
Come here for me baby",https://genius.com/Talib-kweli-come-here-lyrics
Never Been in Love,The Beautiful Struggle,2004,"I know there's a first time for everything
First time I let her in my bed she got wetter then the perfect storm
That we weathering together
 and
This the first time that I've ever considered wedding rings
But first things first yo
I met her at the bar
 rolling with 
three wise men like I followed the star
There she is shorty bi coastal
Thick like bifocals,
 
stacked like 2Pac vocals
 
her body so loco
Jewel of the Nile so I'm romancing the stone
The rhythm is to the words and I watched her dance to my poems
The way she move them hips let me know in advance that she grown
I pictured it like Paris Hilton when she answered the phone
, yo
Dancing alone because she extra fly
But I got good look so I catch her eye
Gave the rest a try now give the best a try
Leave your nest and I'll fly make you testify
Damn baby I know we got some haters and

I don't care what people say
As long as you and me okay
Because I never been in love before
See I use to be a player and
All of this is new to me
And this ain't what I'm used to seeing
Because I never been in love before

You running back to the kid like this was home base
Or a marathon I let you set your own pace
Your own space and the 
beautiful struggle
Now baby tell what's it gonna take to prove that I love you
When I'm gone you be missing me too
It let me know that my prayers is the music God be listening to
Don't get it confused I'm trying to get religious with you
I never thought I feel like this its like a miracle you
You You stole my heart like a crook in love
Crossing the bridge to the Brooklyn love
When I took above it's clear skies that's surrounding my earth
Your love is drugs and I'm down to serve let's deal with it yo
We go to the spot and you still get it low
I get excited fast and still love to hit it slow
Till the walls come tumbling down like Jericho
And you hear the sound is stereo
Here we go


You looked good when I tried you on
So I had to write a song
Use to be the guy that always made her cry when I'm gone
Always kept a stable and I never spent a night alone
No cable or no hard line phone why
I'm never home scared of commitment
Ready to forever roam
We at war like sister souljah and she welcome to my terror dome
Head strong our connection proved them haters dead wrong
From now to R.I.P. Proceeds my name up on the headstone
Leave her be for five minutes
Dudes try to dive in it first
They want to spit on my name and tarnish my image
I tell them do you I don't care who she speaking with
Because I already know she made it clear who she leaving with
And it feels so beautiful
Put it in a rhyme because it feel so musical
Plus you ain't no groupie ho
Sitting in the studio
Before we do this though there something that you should know",https://genius.com/Talib-kweli-never-been-in-love-lyrics
All of Us,Radio Silence,2017.0,"(We must love and support each other!)
We have nothing to lose but our chains
(We have nothing to lose but our chains!)
Now you say that shit so loud, them motherfuckers outside hear you
It is our duty to fight for our freedom!
(It is our duty to fight for our freedom!)
It is our duty to win (It is our duty to win!)
We must love and support each other
(We must love and support each other!)
We have nothing to lose (We have nothing to lose!)
We have nothing to lose (We have nothing to lose!)
We have nothing to lose (We have nothing to lose!)
But our chains (But our chains!)
[Chorus: Talib Kweli & 
Yummy Bingham
]
Send this one out to
To the mothers 
(they neglected)
 to the fathers 
(they rejected)
To the sisters 
(disrespected)
 to the brothers 
(unprotected)
All of us 
(all of us)
 all of us 
(all of us)
 {all of us}
We send this one out to
To the mothers 
(they deceited)
 to the fathers 
(they mistreated)
To the sisters 
(they misleaded)
 to the brothers 
(that get beated)
All of us 
(all of us)
 all of us 
(all of us)
 {all of us}
This is happening to all of us

Yeah, if our struggle is a strain then the strain is dominant
My name is prominent for entertainment that's laced with consciousness
But really it's just common sense like Lonnie Lynn
You don't need binoculars to see the light coming through the dome like it's an oculus
The common myth that we're savages with no history or accomplishments
Or knowledge of ourselves, they did a job on us
Considering the prediction of economists, 
machines will do our jobs for us
The future for the working class is ominous
They got us indoctrinated through a bitch's brew, a religion mixed in with abuse
Emotional we sit in pews, it's physical, we get the noose
And hang ourselves refusing to name ourselves, refuse to change ourselves
When I talk about our past it doesn't ring a bell
They make you hate yourself it take effort so check the method
They'll take you from your family, your kids will never respect ya
Attach your sins to the black of skin we get the message
We start acting if we cracking the whip better than the oppressor, yes
Every problem can't be solved at the ballot box
We unifying Africa like Gaddafi, that's what got Malcolm shot
They out to stop anybody with knowledge that figured out the plot
On the balcony like Martin Luther King, I been to the mountaintop
The blue wall of silence, it's really the blue wall of violence
The good cops who retire and get fired
They screaming black on black as an excuse for you to not care
'Til the cops roll up in their SWAT gear

I tarried through the turbulent month of Ramadan
Sweating all through the night just like the Holy Prophet
Then reappeared on the stage in BK with the Ummah
Shoulder to shoulder with J. Cole and Kweli
Just before Jehovah the God crowned me the king with his goldie locket
Alhamdulillah
, we've come really far, ain't it?
The little engine who could, could power any car can't it?
The mothers in Chiraq say the murders getting burdensome
The cries of the despised was heard flying out of Ferguson
The last days and times, the holy Quran and Bible
We on the last page and line, the verse with all the babies dying
Outside of the matrix, inside of the spaceship but the savior's blind
Or so it seems, years after Noah was told he would row upstream
The heavens bursted and the rains came
Retaliation for the sons of the fathers who worked the chain gangs
I hit that shmoney dance on the coffin of a crooked cop
In a Worldstar society where all we do is look and watch
No intervention
Policemen beating elderly women with evil intentions on the highways and the byways
The police state be sprayed into the backstreet to the driveways
Officer friendly is an enemy now, looking at me sideways
Shit was all bad just a week ago
The view was just as sad just a peep ago
The cries of the asiatic ancient-semitic peoples
That propel Jay Elec from the pedestal to the steeple
[Chorus: Talib Kweli & 
Yummy Bingham
]
To the mothers 
(they neglected)
 to the fathers 
(they rejected)
To the sisters 
(disrespected)
 to the brothers 
(unprotected)
All of us 
(all of us)
 all of us 
(all of us)
 {all of us}
We send this one out to
To the mothers 
(they deceited)
 to the fathers 
(they mistreated)
To the sisters 
(they misleaded)
 to the brothers 
(that get beated)
All of us 
(all of us)
 all of us 
(all of us)
 {all of us}
This is happening to all of us
To the mothers 
(they neglected)
 to the fathers 
(they rejected)
To the sisters 
(disrespected)
 to the brothers 
(unprotected)
All of us 
(all of us)
 all of us 
(all of us)
 {all of us}
We send this one out to
To the mothers 
(they deceited)
 to the fathers 
(they mistreated)
To the sisters 
(they misleaded)
 to the brothers 
(that get beated)
All of us 
(all of us)
 all of us 
(all of us)
 {all of us}
This is happening to all of us

We've got to live
Live to the end (we gotta do, we do)
We've got to live (for our grandmothers)
Live to the end (and granddaddies too)
We've got to live (live for the babies)
Live to the end (my brothers out there going crazy)",https://genius.com/Talib-kweli-all-of-us-lyrics
Turnt Up,Prisoner of Conscious,2013.0,"Ayo, Fed—whassup, bro?
Whassup with me? You know what's up with me, man
I'm trying to get paid in full
Check this out, right
Since Javotti is the label
And I'm talking over this def beat right here
I think we should turn it up
We got my man (Tr-tr-Trend on the beat)

Thinking of the master plan
Where there’s nothing but cash inside my hand
Wanna dig into my pocket my prophet is heaven sent
I dig deeper, you know I represent, represent
Yeah, money over bitches, my sisters go over everything
My bandz will make you dance, I'm forever like a wedding ring
Far above the hate and, the jealousy that the cheddar bring
Trying to get away from the 85ers like Evelyn
Ride with me, 
I got ‘em leaking like Nene
Got ‘em leaking like Wiki, these monkeys biting like hickeys
Cause they’re seeing what I’m doing, filling them with confusion
Cutting just like a truant, I’m fluent just like a student
Of the romance languages
, 
only the diamonds hang with us
My meal is decorated with garnishes just like your wages is
The crib’s outrageous like really it's no joke
The girl of your dreams be coming over to smoke loud

Turn it up loud, turn it up loud
Turn it up loud, turn it up loud
Drop it, stop it
With all the soap operas and the soap boxes
Turnt up, turnt up, turnt up, for the people

You can feel the heat from your speaker, my sound will darken your features
Run it down like a zebra, 
I move with the speed of cheetahs
I’m from Brooklyn where the heat is the size of a two-litre
I ain’t asking for no followers, I'm looking for new leaders
Is hard not consuming all the bullshit they feed us
Intravenous like a cord to the womb from the fetus
Been hard since I started reading, 
alliteration is literally littered
Through my DNA swimming all through my semen
So every time I bust, babies begin being born
Talk turns tough til them toasters that's tucked get
Drawn like a picture, picture a perfect painting
Police profiling people peacefully praying
Lay the law like leaders the lazy is lollygagging
On my grind 
getting guap, guess green is the new black
Meet me at the bar, we throwing a few back
Hopped out the car, you know who blew that loud


Ayo we drink good, smoke good
These cats wearing funny hats like the pope would
I come in looking quite clean in the loafers
So hood might scheme up to no good
You no crook, Gosling in the Notebook
I got the birds on the wire like I know I Wood
I still rep P.O.C.s like I'm supposed to
Coming live from death row like I know Suge
My rhymes like a laser beam - so focused
I’m in the ring, so lean I need a foam cup
I ain't lying, bare teeth so ferocious
Maybe I’m lying bare feet in the ocean
On the beach fall asleep and I'm floating
To the beat so unique like a potion
I love music, I’m complete in my devotion
(Word, say it again)
I’m complete in my devotion",https://genius.com/Talib-kweli-turnt-up-lyrics
In the Mood,Eardrum,2007.0,"Yes! Welcome to the wonderful sounds of Talib Kweli
Ladies...

I got you in the mood, for an interlude
Raw like in the nude, I hope this ain't considered rude
But let's stop talkin, cause it's feelin like an interview
I know you into me, so, let me get into you
I'm always in the mood for laughin and lovin
And rappin and fuckin', and passin' the dutch and relaxin'
And puffin' and hittin' and duckin', the rippin production
These kittens ain't muffins, just because we stuff 'em in the oven
My words is drippin off the tongue like the wax from a candle wick
Ill the way I lay down the rap, they can't handle it
Cats all sappy like romantic flicks, dude, 
get a clue
Like Colonel Mustard in the study with a candlestick
They holdin hands with these dudes like they goin steady, but
One glimpse and I know they're ready, you already know
Slipped her a note like, 'you ready to go?'
We make a getaway plan and we head for the do'!

I wear the night like a cloak cause I move with the stars
Navigate through the truly bizarre
Who we are, who we is, it's the kids that stay true to this life
And if the mood is right, we gon' do it tonight
I wear the night like a cloak cause I move with the stars (uh, uh)
Navigate through the truly bizarre (Yeezy, uh-uh)
Who we are, who we is, it's the kids that stay true to this life
And if the mood is right, we gon' do it tonight (Woo!)

You messin up my mo', my whole mood, told you, oh
Lose, eat crews like crews like soul food
The only producer that feel like ""fuck rappers!""
Only backpacker with a chip like hackers
Only Michael Richardson, only much blacker
So if he say nigga, then I'ma say...
Is this a Ritz? Carlton? Dress like, fresh, like
Just like, I'm the shit
Uh, you ain't figured out what I'm about yet
Always rockin that ""this ain't out yet,"" but this ain't 'bout that
From a city where niggas plug like outlets
Far as music go, yo, it ain't no outlets, so, when I go out
Niggas always out to get me in the studio
And I ain't in the mood to flow, I'm with my girl
And I'm tryin to hit the movies yo, and they tryna act stupid, oh!
In the club with Silicone Suzie
What happened to real girls like Rudy?
With real titties like Tootie
This girl got a silicon booty!
And got the nerve to act moody!
Now I ain't tryin to judge like Judy
But bitch you a man, you can't fool me!
Act like 50, throw her in a pool, G!

I wear the night like a cloak cause I move with the stars
Navigate through the truly bizarre
Who we are, who we is, it's the kids that stay true to this life
And if the mood is right, we gon' do it tonight
I wear the night like a cloak cause I move with the stars
Navigate through the truly bizarre
Who we are, who we is, it's the kids that stay true to this life
And if the mood is right, we gon' do it tonight

Break it down, uh!
What?
Ah-ah, uh, uh-uh, ah
Ah-ah, uh, uh-uh, ah
Yeah!

Bringin the drum, keep it funky like a stink in a slum
Cause see they wanna breed cursin for the things that don't come
The speakers wrong that we rap dudes speakin in tongues
Christmas time choice for what? No we keepin our guns
Smokin a piff to cause a leak in your lungs
You ain't got shit to do like Friday when the weekend begun
Completely done with rap dudes, don't compete with the dumb
I spill my blood for my people, see how deep it can run?
I'm in the mood like Donte and Main Flow
Never comin with the same flow, got it's change, yo
It's strange yo, to make yo chain glow, that's yo main goal
That's a facade like I'm somewhere over the rainbow
Really these cats sweeter than mangoes, 
Mr Bojangles-ass dudes
Dancin around the club,
 doin the tango
Go hard like Iverson playin with hurt ankles
Plus, wrestle the topic from a different Kurt Angle!

I wear the night like a cloak cause I move with the stars
Navigate through the truly bizarre
Who we are, who we is, it's the kids that stay true to this life
And if the mood is right, we gon' do it tonight
I wear the night like a cloak cause I move with the stars
Navigate through the truly bizarre
Who we are, who we is, it's the kids that stay true to this life
And if the mood is right, we gon' do it tonight

Wow, that's a nice track!",https://genius.com/Talib-kweli-in-the-mood-lyrics
Black Girl Pain,The Beautiful Struggle,2004.0,"My mama said life would be this hard
Growing up days as a Black girl scarred
In every way, still, you've come so far
They just know the name, they don't know the pain
So please hold your heads up high
Don't be ashamed of yourself, know I
Will carry it forth till the day I die
They just know the name they don't know the pain, Black girl

I do it for the people, I do it for the love
I do it for the poet, I do it for the thug
This is for victory, and this is for the slaughter
I do it for my mother, I do it for my daughter
Promise I'll always love ya, I love to kiss and hug ya
You and your brother should be looking out for one another
I'm so blessed, man, y'all the reason I got up
Somebody put his hands on you I'm getting locked up
I'm not playing, that's the prayer I'm saying for Diani
And if I die then she'll be protected by Amani
That's her bigger brother and I love the way he love her
She a girly-girl, she love to imitate her mother
But she a Gemini, so stay on her friendly side
She'll put that look on you, it's like somebody friend just died
My pretty Black princess smell sweet like that incense
That you buy at the bookstore supporting Black business
Teach her what black is; the fact is her parents are thorough
She four reading Cornrows by Camille Yarborough
I keep her hair braided, bought her a black Barbie
I keep her mind free; she ain't no black zombie
This is for Aisha, this is for Kashera
This is for Khadijah, scared to look up in the mirror
I see the picture clearer through the stain on the frame
She got a Black girl name, she living Black girl pain
This is for Makeba, and for my Mamacita
What's really good Ma, I'll be your promise-keeper
I see the picture clearer through the stain on the frame
She got a black girl name, she live in black girl pain

Mama said life would be this hard
Growing up days as a Black girl scarred
In every way, still, we've come so far
They just know the name they don't know the pain
So please hold your heads up high
Don't be ashamed of yourself, know I
Will carry it forth till the day I die
'Cause they just know the name they don't know the pain, Black girl

This is for Beatrice Bertha Benjamin who gave birth to Tsidi Azeeda
For Lavender Hill, for Khayelitsha
Athlone Mitchell's Plain, Swazi girls I'm repping for thee
Manenberg, Gugulethu; where you'd just be blessed to get through
For beauty shining through like the sun at the highest noon
From the top of the cable car at Table Mountain; I am you
Girls with the skyest blue of eyes and the darkest skin
For Cape Coloured for realizing we're African
For all my cousins back home, the strength of Mommy's backbone
The length of which she went for raising, sacrificing her own
The pain of not reflecting the range of our complexions
For rubber pellet scars on Auntie Elna's back, I march
Fist raised, caramel shining, in all our glory
For Mauritius, St. Helena; my blood is a million stories
Winnie for Joan and for Eadie, for Norma, Leslie, Ndidi
For Auntie Betty, for Melanie; all the same family
Fiona, Jo Burg, complex of mixed girls
For surviving through every lie they put into us now
This world's yours, and I swear I will stand focused
Black girls, raise up your hands; the world should clap for us

Mama said life would be this hard
Growing up days as a Black girl scarred
In every way, still, we've come so far
They just know the name they don't know the pain
So please hold your heads up high
Don't be ashamed of yourself, know I
Will carry it forth till the day I die
'Cause they just know the name they don't know the pain, Black girl
Momma said they'll be days like this...",https://genius.com/Talib-kweli-black-girl-pain-lyrics
Beautiful Struggle,The Beautiful Struggle,2004.0,"This is a tear jerker

The revolution's here
No one can lead you off your path
You'll try to change the world
So please excuse me while I laugh
No one can change your ways
No one can lead you off your path
You'll try to change the world
So please excuse me while I laugh

Yo, I heard it's said the revolution won't be televised
But in the land of milk and honey there's a date you gotta sell it by
Otherwise it just expires and spoils
And these folks jump out the pot when the water too hot
Cause the fire boils inside
You go to church to find you some religion
And all you hear is connivin' and gossip and contradiction and
You try to vote and participate in the government
And the muh'fuckin' Democrats is actin' like Republicans
You join a organization that know black history
But ask them how they plan to make money and it's a mystery
Lookin' for the remedy but you can't see what's hurtin' you
The revolution's here, the revolution is personal
They call me the political rapper
Even after I tell 'em I don't fuck with politics
I don't even follow it
I'm on some KRS, Ice Cube, Chris Wallace shit
Main Source, De La Soul, bumpin' ""2Pacalypse Now""


Yo, I speak at schools a lot cause they say I'm intelligent
No, it's cause I'm dope, if I was whack I'd be irrelevant
I'm like the dope in your tracks until your high is settled in
You leanin' to the left, the laughter's the best medicine
But the troubles you have today you just can't laugh away
Stay optimistic, thinking change is gonna come like Donny Hathaway
You have to pray, on top of that, act today
Cause opportunity shrivel away like Tom Hanks in ""Cast Away""
Everybody pass away, the pastor prays, the family mournin'
Everybody act accordin' to the season that they born in (You'll try to change the world)
You fight in the streets, start bleedin' 'til the blood is pourin'
In the gutter, mothers cry 'til the Lord be livin' by the sword and
All that folks want is safety, they goin' gun crazy
The same reason Reagan was playin' war games in the '80s
The same reason I always rock dog chains on my babies
The struggle is beautiful, I'm too strong for your slavery


It's a beautiful thing that's happenin' right now
Right now G
Yo, I'm rockin' with my man Hi-Tek on the track right now
We fightin' the good fight
The Beautiful Struggle
Yeah, let's go
(So please excuse me while I laugh)",https://genius.com/Talib-kweli-beautiful-struggle-lyrics
