title,album,year,lyrics,urls
Us,D.O.C Agenda,2013,"Yeah mo'fucker this is D.O.C

At the top..is juss us nigga (us niggas)
We don't clique with no broke niggas (broke niggas)
D.O.C at the top niggas (top niggas)
We gon' get that cheddar niggasx2)

D.O.C at the top niggas
And y'all know we finna get it
Like Drizzy we fuckin bitches
Crab a lot we'll kill y'all niggas
Flex a lot we'll kill y'all niggas
Keep flossing we'll give y'all dentists
D.O.C we kill em niggas
Ackin homo we'll eat y'all asses
We ain't care we real niggas
On that beat ackin all thriller
Like rozay we reppin trilla
I fuck a lot call that killing bitches


I woke up on the clouds niggas
At the top is juss niggas
I'm with D.O.C and I don't see no broke niggas
All my shit is Bohchah Fam
I don't see no bitch niggas
All this time you been tryna be like me niggas
I've been tryna get it so I don't really tust niggas
You can't be like me
To be like me is a fuss
You gotta dress , cut up , trim up
As you can see me niggas I'm up
I'm Dope C
Juss read my lips cause you look deaf nigga
Cradle to the grave
I ???? With a pussy paste
I run this town own pace
Keep chasing until you fade
I'm beyond
Catch me if you can
I'm a shooting star , when you see me make a wish


Uuh
Ladies please hold your ?? for Mc'Cient
With that Bohchah on Ima real nigga
Man I say hip hop was ill till I the doctor
Brought the game a pain killer
Shit I'm the ruler
With me at the top is D.O.C
We never gon' jump and stump
Harder on the ground at ZCC
Bitch we streetwise like KFC
Prolly gon' lead this game for more than. A century like ANC
I used to sit at the corner on my street
Writing lyrics on my phone
Working hard away from home
Cause I love the mic as if its an ice-cream cone
I say that's what got me at the top
I'm never gon' drop
Cause I got this other rappers lips locked
Yeah I fucked , never sucked
This game though its a bitch
It got infected with the word rich
I'm now sick , from M.O.T.B
Cause I'm gettin Money Over This Bitch
Shit is real
So before I leave
Lemme ask you
As you looking at the top
What Do y'all see

I only see D.O.C niggas x3)",https://genius.com/The-doc-us-lyrics
1-2-3 (Critical Condition),Deuce,2003,"Whirlwind's ain't expose man a broken chance outta control
When they matter fact they broke 'em all
On parole comittin' 211's in broad daylight
New Jack city up tice nice
Makin' you hate life they had banger certified face wit yo' rangers
Cause soon the pain and anger decapitatin' strangers
Silent but deadly
Violence is my style and my recipe
Similar to a roach motel slide in but never leave
Drive in but never speed off, unleaded
Nas talkin' I ain't accept it and it'll serve you up in the second

Spin your body like records put a hole in the middle
Give my condolence to the family then expose it in pistol
When you comin' against the greatest
You should find out that I'm nuttin to played with
Clippers you couldn't fade and
Get him with the chrome plated

One, I pop up by the clip and load up
Two, I pop up back in now roll up
Three, put you on ambulance lyrically on the life support system

Spin your body like records, put a hole in the middle
Give my my condolence to the family then expose it in pistol
When you come out against the greatest
You should find out I'm nuttin to played with
Clippers you couldn't fade and
Get him with the chrome plated

Later don't move I win you lose
I'm payin' my deuce and ghetto nigga breakin' the rules
Hungry that'll eat you up, in the streets I'mma heat you up
Matter fact we gon' keep it rough
Brass knuckles that beat you up
Answer me this you bleedin' enough
With T-shirt winner, when I'm aggravated like a gupana
And incredibly run up in ya
Destruction in motion
Hold this somethin' this potent reloadin'
Leave you chest played open like chronic smokin'
Termination is my independence
To free myself dope dealers, broke niggas and you out for the same sinners
Prepare for the worst hope for the bad
Congratulations you mad with hers put four in yo chest
I ain't snippin' I'm livin' ghetto wizard straight out the prison
Niggas trippin' spittin' lyrical venom, put bullets up in 'em
Crease jeans and denim, street team offends 'em
I get in 'em, and break 'em crack crash, fraud within 'em
When you see us comin' better be 100 miles and runnin' when we gunnin'
You get done in
Skip the talkin' we dump 'em, 'bout time in Compton
Bass pumpin' and beat dumpin' adrenaline pumpin'
A nigga always into a somethin'

No half steppin', last weapon I had was a MAC-11
Clear the stage in matter of seconds, next get tested
You don't wanna no cause of this
Jumpin' try your cord of this
Straight out the clip don't forget I run wit who started this

One, see you roll down the block I raise up
Two, pull the triggers you niggas get blazed up
Three, put you in a ambulance lyrically on the life support system

No half steppin', last weapon I had was a MAC-11
Clear the stage in matter of seconds, next get tested
You don't wanna no cause of this
Jumpin' try your cord of this
Straight out the clip don't forget I run wit who started this

West coast icon, down south python
Spit on the mic and make it explode like a pipe bomb
Innocent bystanders go down like the top Titanic
Label it poetic justice like Pac and Janet
No escape holdin' the tre eight holdin' your fate in the palm of my hand
Tryna reconvert you to sayin' I'm corrugated
Stay at the greatest the ever bomb I fist up and bust you dead in the mouth for talkin' loud
Get it how you live it, twist you cap back and kill it
Gotta pistol in my brain so when I'm rappin' I kill it
Cause the corpses to feel it
Leave you blood when I spit I'm a thug to the critics
Say what's up if you wit' it
Cut up

Say hold up man
Stop the beat man
Let me catch my breath
(Say nigga what you doin')
Nigga tryna catch my breath
(Aight you got it)
Yeah
(Kick it)

Get distributed to the lion's pack
Don't make me put my nine back
I'm goin' out for dime sack rewind that
Similar to the police, raise AK's and sirens
We professionals in drama, competition and violence
Two one though, smoke it 'til your body explode
Turn yo the radio up as loudest as it go, drop to the floor
Burnin' you what's the motive the movement is locomotive
The environment is devoted so you die from a dosage
Highly ferocious I'm in control of this whole juncture
Makin' you lungs collapse through rap acupuncture
Pun, Big, 'Pac did it I'mma do over time
Designin' dope lines break down roll up and smoke my rhymes
Competition I just flame up another victim by way of the sound system
Have niggas comin' up missin'
Livin', unforgivin' breakin' jars when I hit 'em
Leave 'em submission
Labeled as critical condition",https://genius.com/The-doc-1-2-3-critical-condition-lyrics
All In The Family,Deuce,2003,"I had nigga run up on me tell me one time man
Y'all niggas from the south is so laid back wit ya'll shit
You know he was tryna interpretate
You know how we do our thang
You know how y'all make that shit happen
I said look at this here
We just wanna live between the sky  the dirty away ya understand me?
That's the real deal all the freedom talkin' 'bout this DFW shit
This gorilla shit,  shit
Yo dog let'em know what your business is

Heroin, weed, speed, the yay, I want the power by any means
Several creams like Frito Lay
It pays to spread your hustle a lil' bundle won't hurt
Find you shoe
Put your foot in now put in work
Dolla dolla motherfucker is what I holla when I scuffle
This my block and attack then I box you wit my knuckle
Do you buck, cheddar chicken
Motherfuckers about my swip
I gotta pocket full of a stone and that's on the gorilla
I told ya money over hoes 'til the floor we up
These sluts don't give a fuck so I don't give a fuck
They good from bustin' nuts, but they ain't shieet
A bitch is still a bitch, so if you poor or rich
I went from pennies to the millennium, Benjamins give me them
I chased the big face, I'm tired of my wages minimal
This better be my time or result to crime pay
I gots to have dealer can't live without ya big face

All in the family, she yo freak my freak, let's keep it in the family
Dollar bill y'all, all in the family, all in the family
All in the family, she yo freak my freak, let's keep it in the family
Dollar bill y'all, all in the family, all in the family

Still do nuttin move but the money
Steady comin' for me, motherfuckers lookin' bummy
Can I have another hit, ain't that a bitch
Can you get a dime for 5, I got my nigga out six
Along way from rich, I'm blitzed, bout to hit a ditch
In my 80 joboritz, I miss
They ain't even with a Dayton, pump a kick
The bumps rollin' with my blunt, smokin' clunks
Punk bitch I'm throwin' g'z up
That's when they freeze up
Lookin' like hoes in front of they skeezer
Saint Jean you seen with a twist of lime then take the bam bam to your mind
Baby one more time, then ride like Ginuwine
Foot the gas sucka ass so I took off where I put the trash
Then match, money over 304
Mo' more over 304, but y'all don't hear me though

All in the family, she yo freak, my freak, let's keep it in the family
Dollar bill y'all, all in the family, all in the family

Still do nuttin move but the money
The greens, I want every penny, by any means
Sup, what's happenin'
Cream, tax free, proud to g
Our money earnin', so I'm burnin' currency
All in the family, let's keep it
You don't wanna shit start
My click G the deepest
Gorillaz and killaz
Fuck these hoes
Why she all up under me like Vogue, I suppose
It's the gorilla lifestyle, that I live
All in the family, for real, I'm in it like a splinter
Continue with the mashin'
Automatic fully when I pull it catch a big bullet fragment
Assassin don't make me get obituary
Our brand dash new
I'm a professional killer it's necessary
To dust and bust out
Just clouds of smoke
They said I did it black mafia style out the funk
They know, with no evidence no fingerprints no clue
Did I stutter man?
That's on the butter man
Dolla bill y'all all in the family
Get yo skreel toe y'all all in the family

Yeah that's what the fuck I'm talkin' about (yeah you are)
Yes sir, and we gonna do it like that
From now on understand me
Y'all do my deu--, 60 deuce of tight Cadillacsaville feel the mack
D.O.C
And only these motherfuckin' big faces, that's the family
Bitch ahahah",https://genius.com/The-doc-all-in-the-family-lyrics
Big Dick Shit (Concrete Jungle),Deuce,2003,"LB
DF Dub
ATL
Nate Dogg, where we at?

In the middle of the jungle
In the middle of the concrete jungle where my real dogs
Kick it with me, oh woah!
Here we come, here we keep it come come
Smoke some bomb ass sticky with me, hell yeah!
I just bought me a blue navigator it's a long ass stretchin' 'mosine
I really got no patience for you haters and I'm runnin' over niggas with beef, woah lord!
Good Goddy, let's party here come the niggas from T3
Oh they naughty, not hardly they only hang with DPG
Woah lord

See me movin' in slow mo' 'cause I don't dance
I ain't tellin' you hoes no more let go my pants
I'm just tryna let you know the reason I came
I'm just really tryna lace you up on game
We party 'til we can't no more in this domain
It's your world playgirl so just do yo' thang
Can't nobody tell you who to sock it to
Shit I don't see nobody in here stoppin' you
They like it when I do that; tell 'em to strip
I won't even speak on what they do with they lips
Damn you look good the way you movin' your hips
Let yo' backbone slip, girl don't even trip
Look at this nigga showboats what haters be sayin'
I'm a macadamian nut they think I be playin'
I see me and you ain't on the same page
Hey little mama later meet me backstage
See 'cause parties ain't parties 'til we crankin' it up
We ain't leavin' this motherfucker 'til the sun come up
7-Up and Henny is what I got in my cup
We balla 'holics steady fuckin' it up

In the middle of the jungle
In the middle of the concrete jungle where my real dogs
Kick it with me, oh woah!
Here we come, here we keep it come come
Smoke some bomb ass sticky with me, hell yeah!
I just bought me a blue navigator it's a long ass stretchin' 'mosine
I really got no patience for you haters and I'm runnin' over niggas with beef, woah lord!
Good Goddy, let's party here come the niggas from T3
Oh they naughty, not hardly they only hang with DPG
Woah lord

I like women of all sizes, bow legged wearin' disguises
G string located where her thigh's at
I provide the thing, know the black man dingo
Heavy structure so I swing low, and 'cause havoc
Me in the club gettin' sweated by broads automatic
Two one though all the way down your throat
Kissin' and pass it, dockin' up tight, watchin' via satellite
I'm hangover from last night hand out the kryptonite
Rewind my pimpin' money six foes and woman
I've been raw since the beginnin', 22 inches I'm spinnin' 'em (What y'all wanna do?)
Bang The Diggy Diggy Doc album and watch ya get remixed by Clue
Rollin' through residential neighborhoods, shatterin' windows
Movin' like smooth criminal, smokin' and passin' indo (What y'all wanna do?)
Put Dallas on the map before your U.P.-T.I.G.H.T. is critical

(You little prizzle is off the hizzle my nizzle oh fo' shizzle)
(And I'm about toss it DOcizzle, like candy)
I like the way you lick it baby
You got ya foot in this stock stick it baby (Oh really?)
Like mr. infinity, I could you fuck with my brand 
(Is that Jazze phizzy?, oh he must be crazy)
(He's got a 100 breezy, is that yo' lady?)
(It's the party of the heezy)

I'm start to finish
Don't even try if your heart ain't it
I'm from the dirty south, best believe we keep it crunk
I refuse to talk loud, and say nothin'

In the middle of the jungle
In the middle of the concrete jungle where my real dogs
Kick it with me, oh woah!
Here we come, here we keep it come come
Smoke some bomb ass sticky with me, hell yeah!
I just bought me a blue navigator it's a long ass stretchin' 'mosine
I really got no patience for you haters and I'm runnin' over niggas with beef, woah lord!
Good Goddy, let's party here come the niggas from T3
Oh they naughty, not hardly they only hang with DPG
Woah lord",https://genius.com/The-doc-big-dick-shit-concrete-jungle-lyrics
DFW,Deuce,2003,"Still smokin'
Chronic and indo
(He's totally throwed off)
Outspoken
Got bodies in the Pacific and they end up soakin' (indeed)
Over my papers nigga
Duct tape with no motion (believe that)
'Cause it took to get these hoes open (uha)

Blazin'
Front page slow roast
West side home of the jackers
'Cause some of these niggas is bad actors (not that)
They're fit to get you caught up in the raptures
But I just want the green like the masters
I'm watchin' how they do it ass backwards
My niggas over here collect platinum
You know my name nigga D.O.C. used to ride with the notorious D.R.E
It's overdrive for the y2k
Doc gave you the millennium look at how they feelin' us
I keep it rangin' from the bangin' to the sangin' on these fools

Now I'm payin' deuce 'cause that's play of the rules
You best to keep your ass on the ride
'Cause on the south side g's contemplate genocide
Termination's the number 1 component on that ass
Sho' make you wanna blast fool don't it

The south is on fire, 'cause I see smoke
Don't nobody panic ain't no one get choked
Whoever goes next I'm not really concerned
'Cause the south is on fire let that motherfucker burn
It's on fire, nigga I see smoke
Don't nobody panic, ain't no one get choked
Whoever goes next I'm not really concerned
'Cause the south is on fire let that motherfucker burn

Hit the block like Niño with Tony
Why you tryna hold me homie, I hit hard like the FED
Keys to the city I'm married to the streets
Who am I?, I OG as in gorilla comin' down milla
This fort murder ever hearda of a killa
You the realest I'm a whole lot realer
Sweat Cortez like a yoyay dealer
I used to hide them things in skittles
8-1-7 Mr. murder
Get you heard by agent J. Bergis
Excursions s of burbses
I know you can tell my click ain't hurted
You heard sippin' surd
The different aroma is kinda on your urge

The south is on fire, 'cause I see smoke
Don't nobody panic ain't no one get choked
Whoever goes next I'm not really concerned
'Cause the south is on fire let that motherfucker burn
It's on fire, nigga I see smoke
Don't nobody panic, ain't no one get choked
Whoever goes next I'm not really concerned
'Cause the south is on fire let that motherfucker burn

They nationally televise me on america's most wanted
The man with the most input but no cash to flaunt it
Broke down battered and bruised distributed in target
Sluts are mine just fine as I redefine your death warrant
Street talk, we walk, keep y'all, sleepwalkin', seen it all
The combination of end all killer I mean it raw
Swole after the goal
After hit that platinum changed my name
And my spray y'all niggas down I'm always blastin'
I'm corrugated malefactor no for score crackin'
Actually deceased with its exist I drive away laughin'
In the street covered in piss
I hear you chokin' and gaggin'
Lyrics vibrate your chest infamous for body baggin'
It's curtains when I'm flirtin' in fingerin' a trigger
The worst pain on a mankind I bring it to a nigga
Wit' an attitude throwin' out my CD like bare foot
Backed up against the wall lyrical homicide natural

The south is on fire, 'cause I see smoke
Don't nobody panic ain't no one get choked
Whoever goes next I'm not really concerned
'Cause the south is on fire let that motherfucker burn
It's on fire, nigga I see smoke
Don't nobody panic, ain't no one get choked
Whoever goes next I'm not really concerned
'Cause the south is on fire let that motherfucker burn

What it feel like nigga
The Stallone corleone, cash money number 1 stones
You know we do it bit down there
You know we got full nuts nigga
What's up Doc, I'm here to do this for ya homie
And we stay on fire nigga
We'll burn the world naw
It's all fucked up naw and it's gravin'
'Cause we didn't got money and power, I'll holla later

The south is on fire, 'cause I see smoke
Don't nobody panic ain't no one get choked
Whoever goes next I'm not really concerned
'Cause the south is on fire let that motherfucker burn
It's on fire, nigga I see smoke
Don't nobody panic, ain't no one get choked
Whoever goes next I'm not really concerned
'Cause the south is on fire let that motherfucker burn",https://genius.com/The-doc-dfw-lyrics
Music Business,Deuce,2003,"The music business is full of chicken shit, money hungry motherfuckers
That's what the the music industry is chicken shit, money hungry motherfuckers
That'll do anything lie to you, fuck you, cut you throat anything to try to get some cash, that's the music business
People backstabbin' each other, brothers fighting, friends are all fucked up, that's the music business",https://genius.com/The-doc-music-business-lyrics
My Prayer,Deuce,2003,"Lord please can you bless my momma, take her away pleas
So she sees; her only son that she so loved get off his knees
See I'm so tired, I came so far and all I want is what she needs
This is my prayer, my true confessions of my soul that evil deeds
But it was, perfect intentions though wit' twin brothers just really competitions, no
Reason to put my people through these changes
Lives wasted my friends are all strangers
And all along all I could think of was if I could bust
I know it's selfish on my part but still I hold trust
And hold faith, a whole state can help me find the voice I lack
The state is Texas and they'll say D.O.C. is back",https://genius.com/The-doc-my-prayer-lyrics
Playboy,Deuce,2003,"See, it ain't easy
But it's necessary
So we gon' do this in slow motion
Cause they say slow motion is better than no motion
I'm back up in this motherfucker with my nigga Six2
Young Cadillac Seville the Mack
Me? Just call me DOC
The Mack Seville. tell 'em what the bidness is, my nigga

Imagine a young man saggin' who attract attractive women
A slap (damn!)
Just so happens that his Mac is converted to rappin'
His satisfaction when he serves up his lyrical tactics
Pervin' on, bumpy, place to place, an expert with masters
More scandal than when the deacon's wife flirts with the pastor
Hesitate when you see his face cause he's verbally badder
Chokin' on herb as he swerves in a burgundy track or two
Was on the curb, he can't turn but he's twerkin' the bastard
Free legendary and the words that he spoke
Young black with a skinny frame, got plenty game in him though
True trouble, some take and touchin' intended to turn him out
Willin' to work his words, roll the weed and burn it out
Inhale the herb (wait)
Then regurgitate what I've learned about
I'm the lyricist from the south with that mouth that you've heard about (that's right)
Walk in the club with clout, but before I pull my drink
Real foes, seven roads, hoe to hoe, shoulder lean
Now I do freaks for two weeks
Consume weed to do these
In two months (a new me!)
You too, Chron (ooh-wee!)
Truly abnormal, like the Elephant Man and Hannibal
I'm not an animal
Tell em again, shit!

Pimpin' ain't easy, playboy
Take it from a nigga who know
Get ya money while you can, though
Pimpin' ain't easy, playboy
Proceed to keep it real and get ya Dollar Dollar bills
Pimpin' ain't easy, playboy
Take it from a nigga who know
Get ya money while you can, though
Pimpin' ain't easy, playboy
Proceed to keep it real and get ya Dollar Dollar bills

Man you know just how the game goes
I chase paper and run game on hoes, playboy
I'm only after makin' major grip
And if she shove me on my ends
I gots to check that bitch
See pimpin' ain't easy but the shit don't stop
And y'all know I gots to have my little ol' ends above the top
(who are you?) Mr. paper chaser (that's right), the gold getter
(what you do?)
I dare the bitch to act a fool cause I'm a hoe hitter
Willie D told me to let these hoes be hoes
Not sellin' out, now none of my homies are buyin' bitches no clothes
Can't be seen with punk hoes and punch those that popper those
I got hoes, you never see me jock hoes
Hold what you got hoe, I want three soft tacos
My regal in in the shapos
I'm rollin' in vatos
The only thing to it is to hit it and scram, see?
Playboys'll be playboys god damn me

Pimpin' ain't easy, playboy
Take it from a nigga who know
Get ya money while you can, though
Pimpin' ain't easy, playboy
Proceed to keep it real and get ya Dollar Dollar bills
Pimpin' ain't easy, playboy
Take it from a nigga who know
Get ya money while you can, though
Pimpin' ain't easy, playboy
Proceed to keep it real and get ya Dollar Dollar bills

It's like cool water
Big rocks like you brought us
Some where by Carter
Or see me rollin' with ya daughter
(What they call you, man?)
She callin' me a player, shot-caller, a follow
Baby, not just a player, I'm a starter
Like Steve Atwater
Sue for that (word)
Off the hook, look
That zooter bank, six shooter
Fools
I know y'all think y'all ready
But just like that, I'll fuck you young niggas' asses up
(what you say?)
I'm sayin', don't never do that (that's right)
Don't never think my shit ain't phat motherfucker (motherfucker) where your stones at?
Where your tight-ass pussy rich red bones at?
(what you got?) I got all that cause I deliver up dem Platinum Dats (that's right)
Funny thing is everybody knows that (how you feel?)
I'm crunk up in this bitch like one of my hoes at
Same frown, same clown, same perception of that ghetto shit with DO lady hoes
Damn

Pimpin' ain't easy, playboy
Take it from a nigga who know
Get ya money while you can, though
Pimpin' ain't easy, playboy
Proceed to keep it real and get ya Dollar Dollar bills
Pimpin' ain't easy, playboy
Take it from a nigga who know
Get ya money while you can, though
Pimpin' ain't easy, playboy
Proceed to keep it real and get ya Dollar Dollar bills
Pimpin' ain't easy, playboy
Take it from a nigga who know
Get ya money while you can, though
Pimpin' ain't easy, playboy
Proceed to keep it real and get ya Dollar Dollar bills

So there it is
Now the whole world know how hard it is to pimp these bitches
Keep 'em all under one umbrella, you understand me?
Ain't no wild stallions runnin' out their stable
This is Silverback, we control that and these hoes know that, yeah
So join us next time while we, uh, snatch a batch out your brain with this game, bitches
Comin' from The D.O.C., Erotic, Six2, U.P.-T.I.G.H.T., Cadillac Seville The Mack, Organized, Jazze Pha, El Dorado
My Silverback family
Pimpin' ain't easy
But somebody gotta do it
You know?",https://genius.com/The-doc-playboy-lyrics
Psychic Pymp Hotline,Deuce,2003,"(Dialing Phone)
Damn, I wonder if she would want no rappin' motherfuckers so long?
Shit, damn!

Hello, you have reached the Psychic Pimp Hotline
If you have lost your ho to an entertainer, press 1
If you have lost your ho to a professional athlete, press 2
If you have lost your ho to another ho, press 3
If you are broke, please hang the fuck up now
Thank you",https://genius.com/The-doc-psychic-pymp-hotline-lyrics
Safari West,Deuce,2003,"(god damn)
Yo yo yo, it's about to go down
Hey sound man, fix this motherfuckin' mic!
(okay, )
Safari West is off the hook tonight, baby
My homeboy up in this bitch about to set it off
Highland Hills represent, what's up to them  homies? (yeah)
Lake Como! I see Greg over there with that gun
Representin' that hittin' city
Go get them Six2 tapes
Murder Brook!
Hey, y'all niggas calm the fuck down!
(Yo, dawg...)
Don't start no shit in this club tonight!
(It's big things going down)
Dallas, y'all niggas calm the fuck down
I see , represent
(There's big things going down!)
 Town, Oak Cliff
(At Dallas! Right now!!)
(Ain't that... ain't that a street?)
Watch out for Dallas,  jazzy, y'all dick suckin' motherfuckers!
Y'all know y'all need to get the fuck out!
(Rob, you got that weed?)
(I got the weed, cat)
Got some grub in the house
If you ain't got me no motherfuckin' wings and chicken and some of them corn fritters...
(They gon' let us smoke up in this motherfucker?)
(Naw, come on, now.)
You can take your bitch ass home!
West Dino! Hey, West Dino's here!
(West Dino, baby! A real muhfucker! The world!)
(Already!)
 apartment in North-side Irving, 183
And let's set this motherfucker off",https://genius.com/The-doc-safari-west-lyrics
