title,album,year,lyrics,urls
SICKO MODE,ASTROWORLD,2018.0,"Astro, yeah
Sun is down, freezin' cold
That's how we already know, winter's here
My dawg would probably do it for a Louis belt
That's just all he know, he don't know nothin' else
I tried to show 'em, yeah
I tried to show 'em, yeah, yeah
Yeah, yeah, yeah
Goin' on you with the pick and roll
Young La Flame, he in sicko mode


Woo, made this here with all the ice on in the booth
At the gate outside, when they pull up, they get me loose
Yeah, Jump Out boys, that's Nike boys, hoppin' out coupes
This shit way too big, when we pull up, give me the loot
(Gimme the loot!)
Was off the Remy, had a Papoose
Had to hit my old town to duck the news
Two-four hour lockdown, we made no moves
Now it's 4 a.m. and I'm back up poppin' with the crew
I just landed in, Chase B mixes pop like Jamba Juice
Different colored chains, think my jeweler really sellin' fruits
And they chokin', man, know the crackers wish it was a noose

Some—Some—Some—Someone said
To win the retreat, we all in too deep
Pl—Pl—Playin' for keeps, don't play us for weak (Someone said)
To win the retreat, we all in too deep
Pl-Pl-Playin' for keeps, don't play us for weak

Yeah, this shit way too formal, y'all know I don't follow suit
Stacey Dash, most of these girls ain't got a clue
All of these hoes I made off records I produced
I might take all my exes and put 'em all in a group
Hit my eses, I need the bootch
'Bout to turn this function to Bonnaroo
Told her, ""Hop in, you comin' too""
In the 305, bitches treat me like I'm Uncle Luke
(Don't stop, pop that pussy!)
Had to slop the top off, it's just a roof, uh
She said, ""Where we goin'?"" I said, ""The moon""
We ain't even make it to the room
She thought it was the ocean, it's just the pool
Now I got her open, it's just the Goose
Who put this shit together? I'm the glue

Someone said
Shorty FaceTimed me out the blue
Someone said
Pl—Playin' for keeps
Someone said, motherfucker—someone said
Don't play us for weak


Yeah!
Astro, yeah, yeah
(Tay Keith, fuck these niggas up!)
Ayy, ayy

She's in love with who I am
Back in high school, I used to bus it to the dance (Yeah)
Now I hit the FBO with duffels in my hands
I did half a Xan, 13 hours 'til I land
Had me out like a light, ayy, yeah
Like a light, ayy, yeah

Like a light, ayy, slept through the flight, ayy
Knocked for the night, ayy
767, man, this shit got double bedroom, man
I still got scores to settle, man
I crept down the block (Down the block)
Made a right (Yeah, right)
Cut the lights (Yeah, what?), paid the price (Yeah)
Niggas think it's sweet (Nah, never), it's on sight (Yeah, what?)
Nothin' nice (Yeah), baguettes in my ice (Aw, man)
Jesus Christ (Yeah), checks over stripes (Yeah)
That's what I like (Yeah), that's what we like (Yeah)
Lost my respect, you not a threat
When I shoot my shot, that shit wetty like I'm Sheck (Bitch)
See the shots that I took (Ayy), wet like I'm Book (Ayy)
Wet like I'm Lizzie
I be spinnin' Valley, circle blocks 'til I'm dizzy (Yeah, what?)
Like where is he? (Yeah, what?)
No one seen him (Yeah, yeah)
I'm tryna clean 'em (Yeah)

She's in love with who I am
Back in high school, I used to bus it to the dance
Now I hit the FBO with duffels in my hands (Woo)
I did half a Xan, 13 hours 'til I land
Had me out like a light (Like a light)
Like a light (Like a light)
Like a light (Like a light)
Like a light

Yeah, passed the dawgs a celly
Sendin' texts, ain't sendin' kites, yeah
He said, ""Keep that on lock""
I say, ""You know this shit, it's stife,"" yeah
It's absolute, yeah (Yeah), I'm back, reboot (It's lit)
LaFerrari to Jamba Juice, yeah (Skrrt, skrrt)
We back on the road, they jumpin' off, no parachute, yeah
Shawty in the back
She said she workin' on her glutes, yeah (Oh my God)
Ain't by the book, yeah, this how it look, yeah
'Bout a check, yeah (Check), just check the foots, yeah
Pass this to my daughter, I'ma show her what it took (Yeah)
Baby mama cover Forbes, got these other bitches shook
Yeah",https://genius.com/Travis-scott-sicko-mode-lyrics
​goosebumps,Birds in the Trap Sing McKnight,2016.0,"Yeah
7:30 in the night, yeah
Ooh-oooh, ooh

I get those goosebumps every time, yeah, you come around, yeah
You ease my mind, you make everything feel fine
Worried 'bout those comments
I'm way too numb, yeah, it's way too dumb, yeah
I get those goosebumps every time, I need the Heimlich
Throw that to the side, yeah
I get those goosebumps every time, yeah
When you're not around (Straight up)
When you throw that to the side, yeah (It's lit)
I get those goosebumps every time, yeah

7-1-3
Through the 2-8-1, yeah, I'm ridin', why they on me?
Why they on me? I'm flyin', sippin' low-key
I'm sippin' low-key in Onyx, rider, rider
When I'm pullin' up right beside ya
Pop star, lil' Mariah
When I text a cute game, wildness
Throw a stack on the Bible
Never Snapchat or took molly
She fall through plenty, her and all her ginnies, yeah
We at the top floor, right there off Doheny, yeah
Oh no, I can't fuck with y'all
Yeah, when I'm with my squad I cannot do no wrong
Yeah, saucin' in the city, don't get misinformed
Yeah, they gon' pull up on you (Brr, brr, brr)
Yeah, we gon' do some things, some things you can't relate
Yeah, 'cause we from a place, a place you cannot stay
Oh, you can't go, oh, I don't know
Oh, back the fuck up off me (Brr, brr, brr)

I get those goosebumps every time, yeah, you come around, yeah
You ease my mind, you make everything feel fine
Worried 'bout those comments
I'm way too numb, yeah, it's way too dumb, yeah
I get those goosebumps every time, I need the Heimlich
Throw that to the side, yeah
I get those goosebumps every time, yeah
When you're not around
When you throw that to the side, yeah
I get those goosebumps every time

I want to press my like, yeah, I wanna press my
I want a green light, I wanna be like
I wanna press my line, yeah
I wanna take that ride, yeah
I'm gonna press my line
I want a green light, I wanna be like, I wanna press my—
Mama, dear, spare your feelings
I'm relivin' moments, peeling more residual
(I can) buy the building, burn the building
Take your bitch, rebuild the building just to fuck some more
(I can) justify my love for you
And touch the sky for God to stop, debating war
Put the pussy on a pedestal (Ayy)
Put the pussy on a high horse
That pussy to die for
That pussy to die for
Peter, piper, picked a pepper
So I could pick your brain and put your heart together
We depart the shady parts and party hard
The diamonds yours, the coupe forever
My best shots might shoot forever like (Brr)

I get those goosebumps every time, yeah, you come around, yeah
You ease my mind, you make everything feel fine
Worried 'bout those comments
I'm way too numb, yeah, it's way too dumb, yeah
I get those goosebumps every time, I need the Heimlich
Throw that to the side, yeah
I get those goosebumps every time, yeah
When you're not around
When you throw that to the side, yeah
I get those goosebumps every time",https://genius.com/Travis-scott-goosebumps-lyrics
BUTTERFLY EFFECT,ASTROWORLD,2017.0,"All the commas
Murda on the beat so it's not nice
Ooh, hmm

For this life I cannot change (Change)
Hidden Hills, deep off in the main (Main)
M&M's, sweet like candy cane (M&M's; cane, cane)
Drop the top, pop it, let it bang (Top; pop it, pop it)
For this life I cannot change (Change)
Hidden Hills, deep off in the main (Hills; main)
M&M's, sweet like candy cane (M&M's; cane, cane)
Drop the top, pop it, let it bang (Top; pop it, pop it)

Drop the top, play hide and seek (Yeah!)
Jump inside, jump straight to the league (League)
Take a sip, feel just how I be (It's lit!)
On freeway, but no, ain't nothin' free (Straight up!)
Bend laws, bend lanes (Skrrt, skrrt)
Been bustin' bills, but still, ain't nothin' change (Skrrt, skrrt)
You in the mob soon as you rock the chain (Mob)
She caught the waves just thumbin' through my braids (Alright!)
Heatin' up, baby, I'm just heatin' up (It's lit!)
Need ya love, not a need it is a must (Yeah!)
Feelin' stuck, you know how to keep me up (Yeah, yeah!)
Icy love, icy like a hockey puck (Alright!)

For this life I cannot change (Change)
Hidden Hills, deep off in the main (Main)
M&M's, sweet like candy cane (M&M's; cane, cane)
Drop the top, pop it, let it bang (Top; pop it, pop it)
For this life I cannot change
Hidden Hills, deep off in the main (Yeah, yeah)
M&M's, sweet like candy cane (Cane)
Drop the top, pop it, let it bang

All the ones, all the chains piled on the mantle (Yeah!)
All the dawgs, all the dawgs low creep right behind me in the Phantom (It's lit!)
Yeah, never go, never go dip on the set, stayed Santana
Yeah, run it back, turn the lights on when I hit up Green Lantern (It's lit, alright!)
Yeah, fly the broads, fly the dawgs down to Atlanta
Yeah, in the cut in Medusa, lay low, yeah, I might be
Yeah, roll up, help me calm down when I'm movin' high speed
Yeah, if I send one, need to text back 'cause you know what I need (Straight up!)
Oh, please (Oh, please), oh, me (Oh, me) oh, my (Oh, my)
We been movin', we been movin' for some time (Alright!)
Flexin', flexin' try to exercise
Exercise, exercise, exercise, exercise (Yeah, yeah!)

For this life I cannot change (Change, change)
Hidden Hills, deep off in the main (Main, main)
M&M's, sweet like candy cane (M&M's; cane, cane)
Drop the top, pop it, let it bang (Top; pop it, pop it)
For this life I cannot change
Hidden Hills, deep off in the main
M&M's, sweet like candy cane (Cane)
Drop the top, pop it, let it bang (Bang)
Yah!",https://genius.com/Travis-scott-butterfly-effect-lyrics
HIGHEST IN THE ROOM,TS4,2019.0,"I got room in my fumes (Yeah)
She fill my mind up with ideas
I'm the highest in the room (It’s lit)
Hope I make it outta here (Let's go)

She saw my eyes, she know I'm gone (Ah)
I see some things that you might fear
I’m doin' a show, I'll be back soon (Soon)
That ain't what she wanna hear (Nah)
Now I got her in my room (Ah)
Legs wrapped around my beard
Got the fastest car, it zoom (Skrrt)
Hope we make it outta here (Ah)
When I'm with you, I feel alive
You say you love me, don't you lie (Yeah)
Won't cross my heart, don't wanna die
Keep the pistol on my side (Yeah)

Case it’s fumes (Smoke)
She fill my mind up with ideas (Straight up)
I’m the highest in the room (It's lit)
Hope I make it outta here (Let’s go, yeah)

We ain't stressin' 'bout the loot (Yeah)
My block made of quesería
This not the molly, this the boot
Ain’t no comin' back from here
Live the life of La Familia
It's so much gang that I can't see ya (Yeah)
Turn it up 'til they can't hear (We can't)
Runnin', runnin' 'round for the thrill
Yeah, dawg, dawg, 'round my real (Gang)
Raw, raw, I been pourin' to the real (Drank)
Nah, nah, nah, they not back of the VIP (In the VIP)
Gorgeous, baby, keep me hard as steel
Ah, this my life, I did not choose
Uh, been on this since we was kids
We gon' stay on top and break the rules
Uh, I fill my mind up with ideas

Case it's fumes
She fill my mind up with ideas (Straight up)
I'm the highest in the room (I'm the highest, it's lit)
Hope I make it outta here",https://genius.com/Travis-scott-highest-in-the-room-lyrics
Antidote,Rodeo (Expanded Edition),2015.0,"Don't you open up that window
Don't you let out that antidote (Yeah)
Poppin' pills is all we know (Ooh)
In the hills is all we know (Hollywood)
Don't go through the front door (Through the back)
It's lowkey at the night show (Ooh)
So, don't you open up that window (Ooh)
Don't you let out that antidote, yeah

Party on a Sunday (That was fun)
Do it all again on Monday (One more time)
Spent a check on a weekend (Oh my God)
I might do it all again (That's boss shit)
I just hit a three peat (Ooh)
Fucked three hoes I met this week (Robert Horry)
I don't do no old hoes (Oh, no, no)
My nigga, that's a no-no (Straight up)
She just want the coco (Cocaína)
I just want dinero (Paper hunt) (Where?)
Who that at the front door? (Who that is?)
If it's the feds, oh, no, no, no (Don't let 'em in, shhh)

Don't you open up that window (Yah)
Don't you let out that antidote (Yah, ooh)
Poppin' pills is all we know (Yeah)
In the hills is all we know (Hollywood)
Don't go through the front door (In the back)
It's lowkey at the night show (Ooh)

Yeah, ooh, ooh
At the night show (Ooh-ooh-ooh, ahh)
At the night show (Higher)
At the night show (Ooh-ooh-ooh, ahh)
Ooh, at the night show (Get lit, my nigga)
Ooh, at the night show (Yeah)

Anything can happen at the night show
Everything can happen at the night show (Ooh-ooh-ooh, ahh)
Ooh, at the night show
Anything can happen at the night show
Ooh, at the night show
Ooh, your bitch not at home, she at the night show
Ooh (Straight up) fuckin' right, ho
Ooh, had to catch a flight for the night show
Ooh (Let's go), let's get piped though
Bottles got us right though, we ain't sippin' light, no
(Erw!) (La Flame)
 
I ain't got no type though
Only got one night though, we can do it twice though

(Erw!, it's lit!) At the night show, ooh
At the night show (Ooh, ooh)
At the night show
Ooh, at the night show
Yeah, at the night show
Everything can happen at the night show
Ooh, at the night show
Anything can happen at the night show, ooh

Stackin' up day to day, young nigga
You know you gotta go get it, go get it, my nigga
They hatin', they stankin', they waitin'
Don't be mistaken, we dyin', they stayin'
Lord, I'm on fire, they think that I'm Satan
Callin' me crazy on different occasions
Kickin' the cameraman off of my stages
'Cause I don't like how he snappin' my angles
I'm overboard and I'm over-impatient
Over my niggas and these kids my ages
Dealin' with Mo' shit that's more complicated
Like these two bitches that might be related
H-Town, you got one, and you Bun B like a number one
It's late night, got a late show
If you wanna roll, I got a place where, ahh

Poppin' pills is all we know (Ooh)
In the hills is all we know (Hollywood)
Don't go through the front door (Through the back)
It's lowkey at the night show (Ooh)
So don't you open up that window (Ooh)
(Don't you let out that antidote)",https://genius.com/Travis-scott-antidote-lyrics
​beibs in the trap,Birds in the Trap Sing McKnight,2016.0,"That coca

I just poured an 8 in a liter
Throw some Jolly Rancher in, make it sweeter
Versace my clothes, I'm with a white ho
And she snortin' three lines like Adidas
Got a black girl rollin' off Molly
Got a white bitch snortin' up snow
Say she want real niggas in the party
Parents gon' leave the keys to the condo

Bitch, close the door, there's shit on your nose (That coca)
She said she want more, she said she want more
So I'ma get more, yeah, I'ma get more
Bitch, close the door, there's shit on your nose
She said she want more, she said she want more
So I'ma get more, yeah, I'ma get more

I just poured a 8 in a liter
With a white bitch sniffin' on Bieber
Are you sure you want to party with the demons?
Bitch lookin' for a phone, I ain't seen it
Told Frost bring the water, no Fiji
Free Stix, I'm poured up and I'm leanin'
I got a couple pussy niggas in their feelings
'Cause their main bitch wanna come see me
She said she want more
Your girl is a ho, you need to let go
She fucked all my bros, she's snortin' the snow (That coca)
Now she's touchin' her toes
She got Anna Nicole all in her nose
If they kick down the door, we gon' get locked for sure
She said she want more
Fuck it, I'ma get more (I'ma get more)

Nightmare, high-life, sleepy, night-night (Yeah)
Flashes, spotlight, pull up, nice guy (Yeah, yeah)
Help it, peace, peace, peace to– (Yeah)
Bite me, ride me (Yeah)
Strike me, indict me (Yeah, yeah)
Snipe it, swipe it, rapper, trapper (Ooh, yeah)
I'm lit, light–(Yeah)—nin' (Yeah, bitch, yeah)
White, bitch (Bitch), she thick (Bitch)
Pulled out of the hood Toyota
Drove back to the hood, Lambo (Ooh)
Crushed Xans, crushed Xans in my soda
Ridin' around the city with my eyes closed (Yeah, yeah)
Crazy Girls got it poppin', AOD got it poppin' (Yeah, yeah)
Tryna text my accountant
Ain't no service in the mountains (Straight up)
Won't you come to the bottom?
Know you heard a lot about 'em (Yeah)
Heard they take that then they change like a mood ring (Yeah, yeah)
I watched 'em take that then they change like a mood ring
Pulled out of the hood Toyota
Drove back to the hood Lambo (Ooh)
Crushed Xans, crushed Xans in my soda
Ridin' around the city with my eyes closed (Ooh)

I just poured a 8 in a liter
Throw some Jolly Rancher in, make it sweeter
Versace my clothes, I'm with a white ho
And she snortin' three lines like Adidas
Got a black girl rollin' off Molly
Got a white bitch snortin' up snow
Say she want real niggas in the party
Parents gon' leave the keys to the condo

Bitch, close the door, there's shit on your nose (Ooh, that coca)
She said she want more, she said she want more (Ooh)
So I'ma get more (Ooh), yeah, I'ma get more (Ooh)
Bitch close the door, there's shit on your nose (Ooh)
She said she want more (Ooh), she said she want more (Ooh)
So I'ma get more, yeah, I'ma get more (Ooh)

Ooh
Ooh
Ooh
Ooh
Ooh-oh-ah
Ooh-oh-ah
Ooh-oh-oh
Ooh-oh-oh",https://genius.com/Travis-scott-beibs-in-the-trap-lyrics
STARGAZING,ASTROWORLD,2018.0,"Rollin', rollin', rollin', got me stargazin' (Yeah)
Sippin' on purp, feelin' like the Barre Baby (It's lit)
Whatever I downed, it got me goin' crazy (Yah)
Psychedelics got me goin' crazy (Alright)

I was hot as hell out in the heat (Yeah, yeah)
Then a storm came in and saved my life
Head up to the sky, down on my knees (Straight up)
Out of nowhere, you came here to save the night
In the nighttime (Woo, yeah)

Rollin', rollin', rollin', got me stargazin'  (Roll)
Psychedelics got me goin' crazy (Oh no)
Niggas femalin', they excellin' (Yeah)
Are they intellin'? (What you tellin'?)
We propellin', up top with Ellen, uh (With the choppers)
Kill the jealous with propane repellent
Got me goin' crazy (It's lit)
On tour, we'll tell 'em, we brought the section (Gang)
They keep on callin' up, it's getting hectic (Brrt)
Like we projected
So we cut the plug, he's interjected (Got me goin' crazy)

Rollin', rollin', rollin', got me stargazin' (Yeah)
Sippin' on purp, feelin' like the Barre Baby (It's lit)
Whatever I downed, it got me goin' crazy (Yah)
Psychedelics got me goin' crazy (Alright)

I was hot as hell out in the heat (Yeah, yeah)
Then the storm came in and saved my life
Head up to the sky, down on my knees (Straight up)
Out of nowhere, you came here to save the night
In the nighttime (Woo, yeah)

Got me goin' crazy


Okay, I been up for some days, I ain't got time to lay
Just to drown out all these thoughts, I tried all kind of things
If I take you to my past you will be traumatized
Got a thousand kids outside that's tryna come alive
'99, took AstroWorld, it had to relocate
Told the dawgs I'd bring it back, it was a seal of faith
Before no car notes, baby girl, she played the tourist guide
Got the keys into my city, now she know the rides
Got new money, got new problems, got new enemies
When you make it to the top, that's the amenities
Packin' out Toyota like I'm in the league
And it ain't a mosh pit if ain't no injuries
I got 'em stage divin' out the nosebleeds
(
Alright, alright, alright
)
And she hit that booger sugar 'til her nose bleed
(
Alright, alright, alright
)
Bounce that shit forever, she on both knees
She was talkin' 'bout forever, got a whole week
(
Alright, alright, alright
)
Plus she know my baby mama is a trophy
She be throwing up them B's, feel like we both bleed
She keep my dick jumpin' up, feel like I'm Moby
I'm way too gold for this beef, feel like I'm Kobe, yeah
This right here is astronomical
I see you picked up all my ways, I feel responsible
They tryna say that all my problems is improbable
They keep itching at my spirit, I'm diabolical
Ya feel me?",https://genius.com/Travis-scott-stargazing-lyrics
YOSEMITE,ASTROWORLD,2018.0,"[Chorus: Gunna & 
Travis Scott
]
Ice on my neck (Yeah), flawless baguettes
Hop off a jet, barely get rest
Cash through the month, I get a check (Check)
Yves Saint Laurent on my pants and my chest (Drip)
Chanel, her dress, clean up her mess
I eat her flesh, you know the rest
Count up a hun', cop a Rolex (Checks)
Shine like the sun, you truly blessed (Slime)
Two-tone Patek
 (
Mmm-mmm-mmm, ohh
)
In the Clearport like I Uber these jets (Jets)
VVS's on me got my Gucci shirt wet
Put an M in my bag (
Mmm
), gon' get used to these racks (M's)
I went to school where they teach you finesse (
Mmm
)
Five hundred shoes for the drip I invest ('vest, 
mmm
)
I'm the boss man, I keep cash in the desk (
Mmm-mmm-mmm
)
Know the coupe fast when it end with an S
(
Mmm-mmm-mmm, yeah
)

Now that I'm home, back off the road
We shut it down, where it ain't so
With checks in the streets, Jay number fours
Saint Laurent feet, put it on toes
Take it with me, double your dose
Covered with angels that's watchin' my soul
Jet got a bed, it's bigger windows
Said I'll be there in ten, but I got there in four

I feel like I'm chosen, I'm covered in gold
Mmm-hm-mmm-hm-mmm-hm-mmm
Mmm-hm-mmm-hm-mmm-hm-mmm
I left her wide open, no self control ('trol, 'trol, 'trol)
Mmm-hm-mmm-hm-mmm-hm-mmm
Mmm-hm-mmm-hm-mmm-hm-mmm
Took nothin' but five minutes, she hopped in it and drove
Mmm-hm-mmm-hm-mmm-hm-mmm
[Chorus: Gunna & 
Travis Scott
]
Ice on my neck, flawless baguettes
 (
Aw, yeah
)
Hop off a jet, barely get rest
Cash through the month, I get a check (Check)
Yves Saint Laurent on my pants and my chest (Drip)
Chanel, her dress, clean up her mess (Yeah)
I eat her flesh, you know the rest
Count up a hun', cop a Rolex (Checks)
Shine like the sun, you truly blessed (Shine, 
yeah
)
Two-tone Pateks
 (
Mmm
)
In the Clearport like I Uber the jets
VVS's on me got my Louis shirt wet
It's a M in my bag, I'ma get used to these racks
 (M's)
I went to school where they teach you finesse (
Mmm
)
Five hundred shoes for the drip I invest ('vest, 
mmm
)
I'm the boss man, I keep cash in the desk
Know the coupe fast when it end with a S
(
Mmm-mmm-mmm, yeah
)

La Flame on a island, me and Cash, Gunna hopped on a Learjet
Got Pradas every color, and I got CC's you ain't seen yet
Said I'd kick the cup, and now I'm askin', ""Where the codeine at?""
Thirty pointers and up, Eliantte drippin', my whole team wet",https://genius.com/Travis-scott-yosemite-lyrics
CAN’T SAY,ASTROWORLD,2018.0,"[Chorus: Travis Scott & 
Don Toliver
]
No, you can't say if I'm mad or not
Smokin' hella weed, I'm on that alcohol
Shawty lick me clean the way she suck me off
I keep two hoes in my bed, I got 'em turnin' out
What would you do if you heard I got it goin' on?
I had to burn, I left ""skrrt"" marks, I had to dip (
I had to
)
Gotta watch for 12 'round my town, you might get killed (
Better watch for 12
)
I'm out my mind, yeah, I'm high above the rim (
I'm out my mind
)
You cop it live, boy, I got it all on film

You gotta watch out where you rock 'cause shit get real
Drink too real, I can't be fake, don't know the feel
Gotta take a long drive up the hill
Gang too wavy, move like Navy Seals
I'm too wavy, think I need a Lyft
Chicago baby, she just wanna drill
The vibe's too wavy, it's too hard to kill
Gotta watch out where you go 'cause shit get real
[Interlude: Don Toliver & 
Fat Pat
]
Uh-huh, yeah
Swang, when I swang, when I swang to the left
Oh, yeah
Po—pop my trunk, dip—dip—dip—dip
Oh my

You can't say if I'm mad or nah
Smokin' hella weed, I'm on that alcohol
And shawty lick me clean the way she suck me off
I keep two hoes in my bed, I got 'em turnin' out
What would you do if you heard I got it burnin' out?
I let it burn, ""skrrt"" that mark, I had to dip (I had to)
Gotta watch for 12 'round my town, you might get killed (Gotta watch for 12)
I'm out my mind, yeah, I'm high above the rim (I'm out my mind)
You cop it live, boy, I got it all on film

You must be cautious, told the lil' hoes I'm all in
Play this ballers offense, I left ol' girl, she callin'
You know I hit in the mornin', oh, yeah, she yawnin'
I met you in the club, bitch, you know this shit mean nothin'
Oh, didn't I hit your cousin? Mmm, no, no discussion
Sippin' on lean, no Robitussin, oh, yeah, I know you love me
I beat it, ain't no cuddlin', you down bad, you sufferin'
I don't give a fuck how hard it get, that lil' bitch know I started this
Uh-huh, oh, yeah, get to the cash, no layup
Spend a big bag, Rodeo, some may ride for the fresh cut
Hoes come through just to touch us, I'ma tell the truth like Usher
You already know how I bust her, slang my chop from Russia

Swang, when I swang, when I swang to the left
Pop, pop my trunk, dip, dip, dip, dip
Swang—swang, when I swang, when I swang to the left
Pop, pop my trunk, dip

No, you can't say if I'm mad or not
Smokin' hella weed, I'm on that alcohol
Shawty lick me clean the way she suck me off
I keep two hoes in my bed, I got 'em turnin' out
What would you do if you heard I got it goin' on?
I had to burn, I left ""skrrt"" marks, I had to dip
Gotta watch for 12 'round my town, you might get killed
I'm out my mind, yeah, I'm high above the rim
You cop it live, boy, I got it all on film",https://genius.com/Travis-scott-cant-say-lyrics
90210,Rodeo (Expanded Edition),2015.0,"[Intro: Travis Scott, 
Kacy 
Hill
 & 
Chantel 
Jeffries
]
(Dean, what's poppin'? Yo, Travis)
Mhm, ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh
Mama's bailing down that road, craving 9021...
[Verse 1: Travis Scott & 
Chantel Jeffries
]
She a porn star girl, ah, from the valley
(
Honestly, God bless
)
Who left her hometown world all for that alley
Oh, created Lake Tahoe all from her panties
(
I hope it was wet like my jumper, though
)
Ooh, used to take the long way home
Long way home, all for that candy, mm
 
(
Hahaha
)

Baby's hooked on feeling low
Do, do, do
Do, doo

Jacques turned La Flame, now he rolling on an Addy
Fifty on a chain, 'nother fifty on a Caddy, oh
He might pop him a pill, pop him a seal, pop anyone
Pop anything, pop anything to find that alley
Hmm, yeah, to find that alley, mm

Baby's hooked on feeling low
Do, do, do
Do, doo
[Bridge: Travis Scott & 
Kacy Hill
]
In the 90210, 90210, looking for that alley
In the 90210, 90210, looking for that alley, ooh
It's the superstar girl, superstar girl, roaming in that alley
Baby's hooked on feeling low
In the 90210, 90210, somewhere in that alley


Ooh
Ooh-ooh-ooh-ooh

Yeah
My granny called, she said, ""Travie, you work too hard
I'm worried you forget about me""
I'm falling in and out of clouds, don't worry, I'ma get it, Granny, uh
What happened? Now my daddy happy
Mama called me up, that money coming and she love me
I done made it now, I done found life's meaning now
All them days her heart'd break, her heart not in pieces now
Friends turning into fraud niggas
Practicing half the passion, you niggas packaged different
All you niggas, you niggas want the swag, you can't have it
I'ma sell it, you niggas salad, we 'bout the cabbage
Youngest nigga out of Houston at the Grammys
Smiling at 'em laughing at me
I passed the rock to Ye, he pump faked then passed it back, bitch
All of this off of rapping, should've wrote this in Latin, yeah, yeah
Mmm, I know, I know, I know, I know, I know
I know, I know, I know, I know, I know
Cuzzo said we in the stu', yeah, we 'bout to drop a four
He passed the cigarette, I choke, woo
Told my auntie put them 'Ports down, them 'Ports down
Now you know you love your own now
Hit the stage, they got their hands up, don't put your nose down
I ain't knockin', nigga, I knocked the door down, for sure now
Whole crew, I swear they counting on me
Gold chains, gold rings, I got an island on me
Houses on me, he got them ounces on him
Holy Father, come save these niggas, I'm styling on 'em
Good Lord, I see my good fortune in all these horses
I'm driving too fast to stop, so all these signs, I ignore them
Distant sky, from north of the border, my chips is in order
My mom's biggest supporter so now a nigga support a nigga",https://genius.com/Travis-scott-90210-lyrics
