title,album,year,lyrics,urls
Nann Nigga,www.thug.com,1998.0,"Hell no I don't wanna holla at no motherfuckin Trick
He all over there smelling like boonk and Hennesey and shit
Hell no

I'm saying though
What you got a playa back there just trying to say what's up

Hell no
I don't wanna holla at him
That's alright

Hold up bitch
Hold up bitch
Hold up bitch
Hold up ho
Check it out

Ho you don't know nann nigga uh-uh
That'll represent like me
Who'll say some shit like me
One who'll lay the dick like me
Bitch you don't know nann nigga uh-uh
Who do the shit that I do
Run through yo whole lil' crew
Pay for it if I got to
Ho you don't know nann nigga uh-uh
That'll run off in yo house
Put the gun off in yo mouth
Blow yo motherfucking brains out
Bitch you don't know nann nigga uh-uh
Who'll fall off in the club
Free drinks for the show some love
Take the bar home for the thugs
Bitch you don't know nann nigga uh-uh
Who know mo' niggas than me
Who do mo' killings than me
And weigh mo' dope dealings than me
Bitch you don't know nann nigga uh-uh
Bitch you don't know nann nigga uh-uh
You don't know nann nigga
That dress fresher than me
And you don't know nann nigga that wear mo' Polo shit than me
Bitch you don't know nann nigga uh-uh
Who do mo' freaky stuff
Eat the coochie wit the legs up
Then I blow it all in yo butt
And I don't know nann ho uh-uh
Who liked the dick like you
Who'll bite the dick like you
Ol' lil dykin bitch like you
And I don't like a bitch like you
I'll fight a bitch like you
Ol' trifling bitch like you
Ain't no telling what you might do
Bitch you don't know nann nigga uh-uh
Ho you don't know nann nigga uh-uh

Uh-Uh-Uh
Hold up who the fuck this nigga think he is
I ain't ashamed of nothing I do
Hold up check this shit out

You don't know nann ho uh-uh
Don' been the places I been
Who can spend the grands that I spend
Fuck bout 5 or 6 best friends
And you don't know nann ho uh-uh
That's off the chain like me
That'll floss the thang like me
Ole' lil awful thang like me
You don't know nann ho uh-uh
That sell more ass than me
You know nann ho
That'll make you come like me
Nigga you don't know nann ho uh-uh
That don' tried all types of shit
Who quick to deep throat the dick
And let another bitch straight lick the clit
Now you don't know nann ho uh-uh
That'll keep it wet like me
Make it come back to back like me
Lick a nigga nut sack like me
Now you don't know nann ho uh-uh
That'll ride the dick on the dime
Who love to fuck all the time
One who's pussy fatter than mine
Bitch you don't know nann ho

Hold up baby hold up
What you said you'll do bitch

Nigga you heard what I motherfucking said

Well baby if you gon' be doin' all this
You need to be on my team
Cuz I'm the realest nigga you motherfucking know

Well if you want me you know how to find me
Taterhead got the number

Tater boy bet they help Tater boy
Ha ha ha hah",https://genius.com/Trick-daddy-nann-nigga-lyrics
Let’s Go,Thug Matrimony: Married to the Streets,2004.0,"Hahahahahahahaaaa
Yeah (yeaaaahhhh!)
There's a lot of fuck niggas in the club tonight (fuck 'em! fuck 'em! fuck 'em!)
Ay (ay-ay-ay-ay-ay-ay)
But its gonna be aight (yeah! yeah! yeah! yeah!)
Hahahahahahahaaaa
Cause me and my clique we don't give a fuck nigga
Ay (ay-ay-ay-ay-ay-ay)
Trick Daddy, Jim Johnson, Big D, Lil Jon

Let's go! (Let's go!)
If you want it you can get it, let me know (let me know)
I'm bout to fuck a nigga up
Let's go! (Let's go!)
If you want it you can get it let me know (let me know)
I'm bout to fuck a nigga up
Let's go! (Let's go!)

If you want some - come get some
Cause where I'm from we tote big guns
And everybody know somebody
That know somebody that know somethin' 'bout it
And I want answers now
Who, what, where, when and why?
See, a lot of dudes like to act a fool
And on get all loud but that ain't my style (what?!)
Now who he gon' get? And what he gon' do?
Run up on me if he want to
Out there impressin' his homies
But he stood up in front of his momma
I mop up the flo' with him
And I kick in the door and let the fo-fo hit him
I got fools that'll go get him
This for him, his crew and the dudes that run with him

Let's go! (Let's go!)
If you want it you can get it, let me know (let me know)
I'm bout to fuck a nigga up
Let's go! (Let's go!)
If you want it you can get it let me know (let me know)
I'm bout to fuck a nigga up
Let's go! (Let's go!)

Gotta spit it for the murderers and the killers and the thugsters
That be fuckin' up the ballers and the dealers and the hustlers
Got me comin' at you bogus in the V.I
While they bumpin' Lil Jon, I'mma rush ya
It's the psycho nigga Twista from Chicago
Rollin' with the Miami nigga, that'll crush ya
We already been lookin' for drama
If a nigga try to get into it, but what if, we still gotta get him
Feelin' fury from my tough shit that can't never be cute and no penicillin
I'm telling you Trick I'm finna steal 'em
Got me swingin' Crissy and Hennessey bottles in the club
And my homies goin' for ya scrilla
Don't get it twisted with that ""Overnight Celebrity""
You better be scared of me, and my city I'm a killer

Let's go! (Let's go!)
If you want it you can get it, let me know (let me know)
I'm bout to fuck a nigga up
Let's go! (Let's go!)
If you want it you can get it let me know (let me know)
I'm bout to fuck a nigga up
Let's go! (Let's go!)

I ain't that rapper type, alright?
And I that actor type, alright?
Bein' soft ain't in my script
I'm a playa, you, you just a square
See, once that Hennessy into me
The whole industry is my enemy (My enemy)
If you ain't no kin to me or friend to me
Bitch! Don't pretend to be
Yeah, I'm strictly for the thugs
I'm part of the streets and straight out the hood
M.O is ghetto (Ghetto)
And I don't even need the gat for you bougie cats
I'm straight out the county of Dade
3-0-5, nigga M-I-A
Never gone south of the border
America's most wanted, you gon' get slaughtered

Let's go! (Let's go!)
If you want it you can get it, let me know (let me know)
I'm bout to fuck a nigga up
Let's go! (Let's go!)
If you want it you can get it let me know (let me know)
I'm bout to fuck a nigga up
Let's go! (Let's go!)
Let's go! (Let's go!)
If you want it you can get it, let me know (let me know)
I'm bout to fuck a nigga up
Let's go! (Let's go!)
If you want it you can get it let me know (let me know)
I'm bout to fuck a nigga up
Let's go! (Let's go!)

The AK go chop! Chop! Chop! Chop!
The SK go fah! Fah! Fah Fah!
The AK go chop! Chop! Chop! Chop!
The SK go fah! Fah! Fah Fah!",https://genius.com/Trick-daddy-lets-go-lyrics
I’m a Thug,Thugs Are Us,2001.0,"Funk, hit me up with some of that thug
Yup, just like that, hit 'em in the chest with it
One time, one time again in the head
For Buddy Roe y'all, check it out

I don't know, what this world's gonna bring
But I know one thing, that this is the life for me
Baby cause I'm a thug
All day every day, baby cause I'm a thug
Wouldn't change for the world; uh uh, cause I'm a thug
That's right you heard, baby cause I'm a thug
Ah hah, oh yeah; check it out

Could it be my baggy jeans, or my gold teeth
That make me different from y'all
Ain't trippin' dog, but listen dog
I was raised a little different than y'all
I'm just doin' my thing, usin' my ghetto slang
And I'm representin' thug shit
Niggas who I roll with
Watch them niggas they're gon' love this
Niggas who - out on bond, on the run
And got ten years on parole
Since you can't say it dog, I'mma say it for y'all
Motherfuck the po-po's
Fuck the judge and C.O.'s, fuck the D.A. and P.O.'s
Fuck the family of the victim
Witness, and snitchin ass hoes - nigga

I don't know, what this world's gonna bring
But I know one thing, that this is the life for me
Baby cause I'm a thug
All day every day, baby cause I'm a thug
Wouldn't change for the world; uh uh, cause I'm a thug
That's right you heard, baby cause I'm a thug
Ah hah, oh yeah; check it out

See I'm so tight, niggas be like
That nigga got so many hoes
And I know he got clout, look at his mouth
That nigga got so many golds
Niggas be tellin' they hoes
There's some'n up with that nigga
Bitch I've been watchin' you watchin him
You must wanna fuck this nigga
My name alone, been known to break up happy homes
No disrespect dog
But you ain't have no business even answering her phone
(Hello, who is this)
If your ass was home, then
Me and her couldn'ta been gettin it on
And you couldn't have been hittin her right
Cause ever since that night she been hittin the phone
She want a thug

I don't know, what this world's gonna bring
But I know one thing, that this is the life for me
Baby cause I'm a thug
All day every day, baby cause I'm a thug
Wouldn't change for the world; uh uh, cause I'm a thug
That's right you heard, baby cause I'm a thug
Ah hah, oh yeah; check it out

Since y'all niggas wanna smoke the blunts, pump the guns
I'mma show you how to thug it dog, thug it dog
Give me half a pill, and some Zephyrhill
And I'm like fuck it dog, fuck it dog
Long as my ecstasy got the best of me, ec-stasy
Then none of you niggas ain't stressin' me
I got one request in this bitch
And you can have the rest of this shit, bitch
If a nigga drop some shit, it's wack as hell
And don't make no damn sense
Take it back, talk about it, and tell your dog
Don't even buy that shit
And I don't care who he is, or where he from
I represent thug shit
And you ain't gotta give me my props or nominate me
Cause dammit, I love this

I don't know, what this world's gonna bring
But I know one thing, that this is the life for me
Baby cause I'm a thug
All day every day, baby cause I'm a thug
Wouldn't change for the world; uh uh, cause I'm a thug
That's right you heard, baby cause I'm a thug
Ah hah, oh yeah; check it out",https://genius.com/Trick-daddy-im-a-thug-lyrics
Thug Holiday,Thug Holiday,2002.0,"Thug holiday, go ahead you can cry this up right baby
Everything gone be gravy later, that's right
This the time when we take time to remember
All the loved ones we lost in the struggle you know
I dedicate this to my brother Hollywood, Toby, Bam
My dog Itchy and Lil Trav, I dedicate this to the struggle
Everybody in the county jail, state penn, check it out

If it wasn't for bad luck, hell I guess that a nigga wouldn't have none
But when I think about it, what would I be without my gun
How could I, get away from the po-po's, if a, nigga couldn't run
And how was I given a daughter when I always prayed for a son
Life is crazy ain't it, sometimes I even think the same thing
I've been waiting on freeing the ring hell but ain't a thang changed
And I lost my brother in the struggle, Taterhead done lost his mother
And I'm thinking about it who's mine's who gone raise my brother
Not to be a thug, stay in school, don't use drugs
Who'll teach him right from wrong and show them boys, true love
So I pray for the better days, face the bomb had a run-a-ways
And, I put my guns away and I pray for peace on Sundays, it's crazy ain't it

Just like the soldiers, that ain't coming home this year
Just like the fellas, in prison, we miss you so much for real
What about the children, who ran away, that ain't coming home today
Well here's a message from coast to coast
Cause when them thugs really need it the most a thug holiday
Just like 'em, just like 'em, just like 'em, a thug holiday - 2x

Here go one for, all these killings and all these conflicts in religion
See the Muslims, Jews and Christians but know they are all God's children
There's only, one him, plus ain't none of y'all confronting him
So blind in our own minds we wouldn't even know God if we was in front of him
And, I read your books know all your remixes to the bible
What about a, verse for the thugs curled with drugs and survival
That's asking chapels naming Martin, Malcolm and Farrakhan
In all my history books, only one died was the Americans
And, that's point of my, who's responsible for Vietnam
And, hold on there's more, we had two World Wars
And, how come the judges make more than the teachers is making
When they the ones raising all the taxes and got us fighting for education
Life is crazy ain't it

So many tears, through out the years
Somebody tell me what's going on
And so many liiives, but only God knows
About the pain deep inside
It gets so hard, you got to keep your head up
I know you're fed up, but stay strong
Here's a message from coast to coast
Cause when them thugs really need it the most, thug holiday
Just like 'em, just like 'em, just like 'em, a thug holiday - 2x

This is for my people in the ghetto
I'm calling out, calling out
To all my thugs in the ghetto
Calling out, calling out
It gets hard sometimes, but you
Got to keep your head up, and be strong
Here's a message from coast to coast
Cause when them thugs really need it the most, a thug holiday
(*ad-libs*)",https://genius.com/Trick-daddy-thug-holiday-lyrics
In da Wind,Thug Holiday,2002.0,"Hah, haha
That's just the sound of the Hen'..
True Story.. Buddy Roe..
They say tell the truth, Shane and them (uh-huh)
Thank God for the thugs too...

Drop the top and let the sunshine in
With the woodgrain, let the twinkies spin
Get you a glass, mix the Coke and the Hen'
It's quite alright, with the 'dro in the wind
With the 'dro in the wind

I'm a ol' sneaky, ol' freaky, ol' geechy-ass nigga
Collard green, neckbone-eatin-ass nigga
Always wearin my jeans baggy saggy
You know Florida, Georgia, South Cakalaky
Growed up eatin spam sandwiches
Sugar water and mayonnaise sandwich
Share the room with bout four mo' brothers
But wasn't no mo' room and wattn't no mo' covers
A little bad motherfucker (ah-ha)
Always rude and always in trouble
None of my teachers ain't like me (uh-huh)
But make it so bad, Pearl had seven mo' like me
If you growed up the way I did
You gotsta understand, Trick love the kids
(Ooooooohh!) Trick love the kids

Drop the top and let the sunshine in
With the woodgrain, let the twinkies spin
Get you a glass, mix the Coke and the Hen'
It's quite alright, with the 'dro in the wind
With the 'dro in the wind

Cop me a seven-tres Chevy, put dubs on that bitch (uh-huh)
Candy-apple green, niggas lovin this shit (lovin this shit)
And when I'm in it, I'll act a fool
Ya don't like how I'm livin? Bitch fuck you (uh-huh)
That's right I'm a rude-ass nigga
Quick to do you, cut a fool-ass nigga
Weighin' in at bout a buck six-five
And a nigga can fuck, plus the boy gets live (that's right)
You know legs, wings, and short thighs (short thighs)
Eat 'em up, beat 'em up, then switch sides

Hot whore work her Sean John velour to the floor
He oughta enjoy, with the loaded four-four
Be sure and acquire more 'fore ya fuck with mine
Disrespect; I'll disconnect ya line
With a sick SWAT, when shit's hot, ya get shot
The fire, the fury, ya fuck with it not
Ya stoppin the grace, get out my space and my - face
Fore me and my ace-a lay down the whole place
Recognize, this is the verbalize
Surprise, fuckin with me wrong way to wise nigga
Hoes, clothes, shows, Vogues, golds
Big ol' bankrolls, that's all a nigga know
Throw yo' elbows, I'm sicker than I suppose
Hoes unchose, cuz my jewelry froze
You know how it goes, these young niggas don't want it like this
Go off and get yo' gat, to silence the chit-chat, blast!
So pass, outlast, bout cash
Mo' sicky, talk tricky to the trick like trash
Lo realer, a go-rilla, flow for mo' scrilla
Come clean, lookin mean, but you ain't no killa!
(Oooooooooh!) (Trick love the kids!)

Drop the top and let the sunshine in
With the woodgrain, let the twinkies spin
Get you a glass, mix the Coke and the Hen'
It's quite alright, with the 'dro in the wind
With the 'dro in the wind

Look now beyond the rims and all the 'dro
The 'dro and all the smoke, my throat, it makes me choke
Like a serial killer was squeezin on my throat box
In the clutches of danger but not a stranger on the block
Is it the cheeferry reefer be blowin my chest up
Be riding from the club trying my best not to mess up
A professor of this lyrical thang, I'll take the purist strain
Of this slang and inject it into your veins
Did your heart stop man? Drop-top fade
Aviator shades with a mirror front face
Movin through the dirty at a slow pimps pace
Kinda like the turtle and the rabbit in the race
To the finish line, I jumped a pair of Reeboks
So bright, so fresh, snow white but no socks
Then I slip on some of that O with the wings
I bust it straight out the pack like a three piece
Prophylactic, before you splack it
You gotta prepare it and mack it, wear your jacket or it's tragic
Not intended for any illegal purposes
It's like anthrax and small pox in surplus to murderous
(Ya gotsta understand Trick love the kids!)
(Trick love the kids!)

Drop the top and let the sunshine in
With the woodgrain, let the twinkies spin
Get you a glass, mix the Coke and the Hen'
It's quite alright, with the 'dro in the wind
With the 'dro in the wind",https://genius.com/Trick-daddy-in-da-wind-lyrics
Can’t Fuck With the South,Thugs Are Us,2001.0,"Anybody wanna motherfucking die, come see I
Who me? T-double D nigga
That's right that's motherfucking me nigga (huh)
And got damn it if I said it, I motherfuckin meant it
If it was fully I motherfucking spit it, fuck whoever I offended
Hold on!  Wait one motherfucking minute
Y'all ho's y'all know how the game go
Fuck everyday never hit the same ho
From M-I-A that's where I stay baby
Bout money and I don't even play baby
If a nigga ever was to go broke, click click
Y'all niggas seen this shit before
Real niggas know how to make a way
I make niggas who creep stay the fuck away
Hook: JV
You can't fuck with me or my dogs
Representing double S
Haters fuck y'all
I don't give a fuck who ya run with
Tote guns with
You don't run shit over here
Cause we can both die right now
I don't fuck with you
So don't fuck with me
I'm just trying to get my shit together
I'm making money with my click forever
We all fam and we stick together

Huh, see back in the days before niggas like me
There was niggas like you infuriating my crew
I got sick of this shit
Say one day here's what a nigga gon' do
Staking out in hummers we spittin on 'em
All hating ass niggas fuck it we'll kill 'em
I'm sick of 'em
And they can't do shit for 'em
(They wanna go to war)
Oh well I got big guns
Its T-double-D y'all
Okay my AK's on full y'all
This one here on me dog
But the next time no cameras no TV dog
If you a real nigga just like me dog
And you like living just like me dog
You know when you rap niggas blow up and don't show up
And that ain't even me dog
Hook 2x: JV
You can't fuck with me or my dogs
Representing double S
Haters fuck y'all
I don't give a fuck who ya run with
Tout guns with
You don't run shit over here
Cause we can both die right now
I don't fuck with you
So don't fuck with me
I'm just trying to get my shit together
I'm making money with my click forever
We all fam and we stick together

It's a whole lot of niggas out here
Don't wanna see me JV flowin, Hennesey pouring
Knowing where a nigga came from, where a nigga going
Take a look, I'm the best thing showing, blowing
Smoking on the best thing growing
Tighten up
You don't wanna be for a nigga like me
See that's where ya slip
Now I gotta slide in the clip
Flip, take another sip
Bust ya in ya lip with the gat
Man I don't play like that
We taking this shit back, right now
The game the same, the whole damn thing
Oh naw I ain't playin witcha man, I'll be there when I get there
Oh shit yeah
Ain't nothing else finna be the same nigga
Hook 2x: JV
You can't fuck with me or my dogs
Representing double S
Haters fuck y'all
I don't give a fuck who ya run with
Tout guns with
You don't run shit over here
Cause we can both die right now
I don't fuck with you
So don't fuck with me
I'm just trying to get my shit together
I'm making money with my click forever
We all fam and we stick together",https://genius.com/Trick-daddy-cant-fuck-with-the-south-lyrics
Shut Up,"Book of Thugs: Chapter A.K., Verse 47",1999.0,"We gon' let the band deal with this
M-I-A style, old school
Okay, shut up

Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up

Riding round in my brand new '99, fo'-do', Volvo
I got a pocket full of Bs, cocoa weed
And ain't got no place to go, though
But all my Boca Boys, they know dough, that's fosho doe
(Are those Bugle Boy jeans you're wearing?)
Hell nah, ho, you know they Polo
I been used again, accused again
This time, been wrong to chop something done by one of my union friends
Soon as they seen the Benz, hating season was in
Hell, cause they figured me for not understanding they reason being
Heh, but I'm the man for this
While y'all was doing fine, I was doing time, just praying for this
Locked up, making plans for this
Without all that fancy shit, way too advanced for this
Just Polo socks, tank tops, and drawers up under my pants and shit
Shut up

Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up

Okay, who's the baddest bitch?
I been real, been rich, been had this shit
Big Benz, big house and shit
That's right, okay, I been down with Trick
Okay, it make sense to me
Cause if your money ain't right, you speaking French to me
Miss Trina, don't play with me
Or you can say Miss Bigg, that's okay with me
You need a grand just to speak to me
Okay, are you sure you wanna sleep with me?
Okay, you better be fosho
Cause I done left niggas like you stuck befo'
Okay, you can ball with me
Since you got a hot knot, spend it all with me
Okay, y'all know what's up
Okay, uh huh, I ride, shut up

Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up

This goes out to my niggeroles
And them pretty ass jazzy hoes, bitch, what's up
C-O got a verse in the book of thugs
So when I come through, bitch, show me love
If you 'bout that flow, then raise it up
You got that funk, then blaze it up
I got two mos of them phat hoes
Late night and I'm ready to bust
Are you okay? Look like you got a lot to say
Okay, come widdit
Niggas, keep hiding your hoes, what you do that fo'
Me and Money Mark been done hit it
Been done split it, okay, playboy? Fuck you say, boy?
Don't even much bring your ho 'round C
Niggas, y'all better quit fucking with me
Shut up

Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up

Lay down, playboy, what's up
What about the slugs in your head and your gut
What's up with the keys to the truck
Your own nigga say you got Bs in the cut
What's up with the safe, what the combo
Open that shit, nigga, fuck all the convo-sation
What's up witcha Haitian
Probably got birds at the safehouse, waiting
What's up, where you store the D?
I ain't found shit but a quarter ki
Nigga, you better not be playing me
You gon' bleed to death, you understand me?
Wassup, are you ready to go?
You ready to tongue kiss with the blue fo'-fo'?
What's up, fuck nigga, say something
Set your crime, we ready to spray something
Gun play, how I got the stripes
2-4-K turned out the lights
Gun play, how I got the stripes
2-4-K turned out the lights

Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up
Ah hah, okay, wassup? Shut up",https://genius.com/Trick-daddy-shut-up-lyrics
Tonight,Back By Thug Demand,2006.0,"You lookin' real good baby
I just want you to know
I had a wonderful time this evening
But unfortunately
I guess this part of the story
Well we tell eachother goodnight
Nah how about this
How about I break all the rules
And tell you what I really been thinkin'

Girl you got the big ol ass, and bow legs
And fine hair
And all the shit that I want
Sexy motherfucker
You acting like you want it right now
Let a nigga know
Is we gun fuck tonight
My dick is gettin' rock hard
Oh my god
There's gonna be some fuckin' tonight
Take your panties off
Move your panties off to the side
And let a nigga know
Is we gun fuck tonight

See good pussy
Will bring the freak out ya
But if you eat it and don't get cheated
The first off I beat the breaks off her
No sense in half-steppin'
Get serious
Get the titties suckin' like
Clit rubbin' and ass grabbin'
I eat that pussy ass backwards
A few strokes of this long warm tongue
Should make the pussy cum
So much for round one
I spend a whole round two and back again
Stick in move
Stick in move


I need a real man
I'm sick of playin' with lil' boys
I'm tryin' to explore more like hot oils and sex toys
I can't keep fakin'
Man I'm so backed up and
I can't eat I can't sleep
My knees weak makin' me keep shakin'
I need a real nigga to come save me
One who pamper me and bathe me
And make me wanna swallow his baby
Talkin' thug shit like fuck me crazy
From the back or in the butt
I'm like fuck me baby fuck me baby


All the matter is
I can get you wet again
Suck you fuck you better than
Any other nigga can
I specialize in multi orgasms
Gettin' rid of back spasms
And do it all without viagra
I'll fuck you all night
Make you sleep all day
Treat you to beakfast then
Eat you for breakfast
I know baby
I'm so unselfish
But you're lovin' it besides
I'm a freak so I can't help it
All I need is old slow songs
One cold shot of patron
See you walkin' around me in a thong
And it'll be over before the chorus come back on
You'll be leavin and I'll be ab libin'
And we'll be singin' our damn song
It's like the first time we made eachother cum
We'll be suckin' and fuck eachother
Taste eachother cum
No soul alive can erase what we done
All our horny sticky memories you are stuck to me permanantly",https://genius.com/Trick-daddy-tonight-lyrics
Sugar (Gimme Some),Thug Matrimony: Married to the Streets,2004.0," Uh huh
 Yeah
 Aw man I got a sweet tooth, can you dig it
 After this one you gon need a root canal then
 I love sugar all of it
 This one for all the clean, decent women
 Lay it on me girl
 Pay Close Attention

She put that sugar on my tongue
Shes gonna
Gimme gimme some
She put it right there on my tongue (Sweet Sweet)
Right there on my tongue (She turns me on, like no other)

And gimme some of your butter pecan
Put it right there on tip of my tongue, hold it
Right jeeeah
Cuz baby, if I bite you
I bet you'll like it
French Vanilla's a hell of a flavor for me
With strawberries, two cherries and whipped cream
The best things are the wet dreams
And uh, the rest is just a flick without a sex scene
Orally, I speak the truth
Cuz the blacker the berry
The sweeter the juice
Cuz, Florida oranges and Georgia peaches
When they nice and ripe, they the best for eatin'
Southern boys we crave for old slice of pie after they main course
So if you game for it
I came for it
I got a thing for ya
That I can't ignore
 - 2X

She put that sugar on my tongue, tongue
Yippie Yippie, Yum Yum
Goodie goodie gum drop
Put me in a tongue lock
Did it till my body went numb, numb
Laid her on her back, back
Turned her round, gave her bottom a smack, smack
She's a woman from the block with the best of weave
But I won't stop till I'm pullin out tracks, tracks
It was lust at first sight
And she couldn't help sayin that she wanted to get with me
And my size was just right
Cuz she wanted a man with a little sec-ur-ity
Said I been around the world twice
And my name ring bells from Atlanta to Sic-i-ly
Said she wanted it all night
So put the bubbles in the tub and Luda-christen me
 - 2X
Yeah Yeah Yeah Yeeeah Yeeeah Yeah
Yeah Yeah

Sweetie you look so incredible
So delicious and so damn edible
All I need is some honey or syrup
With a lil' butter to rub down all your curves
And no need for the lemonade
Just a twist of lime and some grape Kool-Aid
Can I call you Caramel?
Cuz I'm bout to go coo-coo to taste your Coco Puffs
One bowl ought to fill me up
But that milk gotta be cold enough
So supper time that'll hold me up
I might choke myself if I don't slow it up, but
Honey, you look like a honeydew melon
Or strawberry with the whipped cream filling
Of the top part of the peach cobbler
But uh, the fruit platter ought to do me better
 - 2X",https://genius.com/Trick-daddy-sugar-gimme-some-lyrics
Take it to Da House,Thugs Are Us,2001.0,"(""Get down!"") Yessuh, (uh huh uh huh uh huh..)
Slip-N-Slide Records
Uhh, fin' to take it to da house
Just get on up and (""Get down!"")

Callin my peoples all across the world
This song goes out to all the boys and girls
You want them thugs to come and turn yo' party out
You better take it to da house, (c'mon) now (uh uh uh)
(uh.. yessuh!)

Slip-N-Slide get loose
Mo' punch than your bowl of juice
And ain't nobody mo' jiggier than us
Stuff so ruff it causes head rush like what?
Give it to me bring it here
Don't stop girl shake it here shake it there
Let Money Mark get off in yo' derriere
We off da chain fo' the whole year
So if you look good with a big ol' butt
Live in yo' own crib and make yo own bucks (yessuh!)
Hit me up, Tre+ dot com
And tell me where you from, uhh..

Smoke out, choke out, we get
Off da chain like we just broke out
You don't know bout me J. Dot
When I come though all the haters get hot
Cause I got mo' hoes, mo' dank
Mo' cheese in da bank, mo' rank
My dawgs on dubs, yours ain't
My dawgs do whatever, yours can't

Cause we them niggas that's gon' make you
Get up out yo seat and (""Get down!"")
..
We don't play we - take it to da house
M.I.A. - take it to da house
This the way we - take it to da house
Take it to da house - take it to da house
Three-oh-five - take it to da house
Boy we got dat fire - take it to da house
Slip-N-Slide - take it to da house
Take it to da house - take it to da house

Okay play with it yo ain't no stoppin it
S-N-S and we rock rock rockin it
We gon' lock it and do our thang
Cause my dream team takin all the rings
I got, Tre+ who beatin much guts
And uhh, Deuce Pop' pimpin news non-stop an'
Lost Tribe to my side just vibin
And J.V. gon' ball with me
T double D, he off in that Excursion
Swervin all on the curve with a virgin
And I'm Trina, you heard my name
I'm still ""Da Baddest"" ain't a damn thang changed

Now it's time to get down with yo boy C.O
It's me n Money Mark in the big freak show
Niggas recognize, hoes do too
When I creep through the room with the Slip-N-Slide crew
Gimme room cause I'm buckwild man
I'll get'cha krunk, get'cha loose in the stands
Tre+ and we're runnin it still
Funk Boogie, spin the wheel!

Cause we them niggas that's gon' make you
Get up out yo seat and (""Get down!"")
..
We don't play we - take it to da house
M.I.A. - take it to da house
This the way we - take it to da house
Take it to da house - take it to da house
Three-oh-five - take it to da house
Boy we got dat fire - take it to da house
Slip-N-Slide - take it to da house
Take it to da house - take it to da house

Well order two mo' bottles of Crissy Cris'
And get drunk pissy while you listen to this
All you rookie-ass niggas don't try the shit
Some busta-ass niggas can't buy a hit
Gimme a break, and a beat I can vibe with
A Nick Quest video and a fine bitch
'Bout fifty-five spins and a mic check
Ay yo, play my shit
I never had sex that costed
I fuck so much I'm exhausted
And this new shit I'm flossin
I got that cause I'm bettin' with the Dolphins, huh
Slip-N-Slide's fin' ta take it to da house
New hot shit, fo' you to ride out
And for the niggas that tried there's nuttin left
Yo' ho must think we somethin else
Fuck fame, we out to get paid
Born and raised in the County of Dade

Cause we them niggas that's gon' make you
Get up out yo seat and (""Get down!"")
..
We don't play we - take it to da house
M.I.A. - take it to da house
This the way we - take it to da house
Take it to da house - take it to da house
Three-oh-five - take it to da house
Boy we got dat fire - take it to da house
Slip-N-Slide - take it to da house
Take it to da house - take it to da house

Take it to da house
Take it to da house
Take it to da house
Take it to da (""Get down!"")
Take it to da house
Take it to da house
Take it to da house
Take it to da house - take it to da (""Get down!"")
Take it to da house
Take it to da house
Take it to da house
Take it to da (""Get down!"")
Take it to da house",https://genius.com/Trick-daddy-take-it-to-da-house-lyrics
