title,album,year,lyrics,urls
Fuck Boy,UnKnown,2015.0,"Six in the morning, nigga at my door
I'm tryna figure out what he out there for
Last time I seen him he was talking shit
Found out his new girl  can't suck no dick
Hit the intercom I ain't let him in
Pussy nigga lucky I ain't fuck his friends
Prolly thought at bitch, Would be down and out
Till he seen my riding round in that chromed out Benz
South Beach nigga you ain't bout that life
You cross that bridge they taking all the ice
You don't want no problems with them boys from the bottom
Strip your ass butt naked and hit the turn pike
You's a fuck boy, fuck boy
My bitch been said it
That's why I should've let your best friend get it
We went on trips you bought Chanel
But money ain't shit when you soft as hell
Cause you's a fuck boy, fuck boy
My momma even said it
Got a new nigga I ain't even gotta sweat it
You still gon talk and that's a got damn shame
But a hoe gon be a hoe and a lame gon be a lame FUCK BOY
You never heard me asking niggas for shit
You be on the gram asking niggas for pics
Can't believe I let you waste all my time
Now this fuck boy on my voicemail crying
Running round town with your bum ass hoe
But I'm the blueprint that's why you at my door
She my number one fan that's what makes it sweet
Bitch'll do anything for a fucking retweet
South Beach nigga you ain't bout that life
You cross that bridge they taking all that ice
You don't want no problems with the boys from the bottom
Strip your ass butt naked and hit the turn pike
You's a fuck boy, fuck boy
My bitch been said it
That's why I shoulda let your best friend get it
We went on trips you bought Chanel
But money ain't shit when you soft as hell
Cause you's a fuck boy, fuck boy
My momma even said it
Got a new nigga I ain't even gotta sweat it
You still gon talk and that's a got damn shame
But a hoe gon be a hoe and a lame gon be a lame FUCK BOY
South Beach nigga you ain't bout that life
You cross that bridge they taking all that ice
You don't want no problems with the boys from the bottom
Strip your ass butt naked and hit the turn pike
You's a fuck boy, fuck boy
My bitch been said it
That's why I shoulda let your best friend get it
We went on trips you bought Chanel
But money ain't shit when you soft as hell
Cause you's a fuck boy, fuck boy
My momma even said it
Got a new nigga I ain't even gotta sweat it
You still gon talk and that's a got damn shame
But a hoe gon be a hoe and a lame gon be a lame FUCK BOY",https://genius.com/Trina-fuck-boy-lyrics
Da Baddest Bitch,Da Baddest Bitch,1999.0,"Who's bad? Who's bad?
Who's bad? Who's, who's bad?
Who's bad? Who's bad?
(Wait, hold up)
Who's bad?

I'm representin' for the bitches
All eyes on your riches
No time for the little dicks
You see the bigger the dick
The bigger the bank, the bigger the Benz
The better the chance to get close to his rich friends
I'm going after the big man
My g-string make his dick stand
Make it quick, then slow head by the night stand
Like lightning, I wanna nigga with a wedding ring
Bank accounts in the Philippines
Blank note to take everything
See I fuck him in the living room
While his children ain't home
I make him eat it while my period on
A little nasty ho, red-bone but a classy ho
Young jazzy ho and don't be scared
If you're curious just ask me hoes
And yes dick sucking comes quite natural
Cause I'm da baddest bitch, what

Who's bad? Who's, who's bad?
Who's bad? Who's, who's bad?
(Shit, I'm the baddest bitch)
Who's bad? Who's, who's bad?
Who's bad? Who's, who's bad?

See I hate hoes who take their niggas on talk shows and fought hoes
(Y'all sold, fool)
See if I'm ever crossed or ever caught up in the cross
And if it's your fault ho, I'm going off ho
See I'm unemployed with no boss ho
While y'all sucking dick for free I'm broke off ho
See it pays to be the boss ho
Shit that's how you floss hoes
X-rated elevated, buck naked
And I'd probably fuck your daddy
If your mammie wasn't playa hatin'
Cause I'm da baddest bitch
I'm da baddest bitch, what

Who's bad? Who's, who's bad?
Who's bad? Who's, who's bad?
(Shit, I'm the baddest bitch)
Who's bad? Who's, who's bad?
Who's bad? Who's, who's bad?
(Shit, I'm the baddest bitch)
Who's bad? Who's, who's bad?
Who's bad? Who's, who's bad?

I got game for young hoes
Don't grow to be a dumb ho, that's a no-no
See if you off the chains
Stay ahead of the game, save up buy a condo
Sell the pussy by the grands
And in months you own a Benz
Another week a set of rims
See if I had the chance to be a virgin again
I'd be fucking by the time I'm ten
See off glass is my motto
Dick suckin' in the auto
Quick fuckin' 'bout to follow
On the back of the truck
Or when I'm dead ass drunk
But I don't get high though
I never took it up the ass
Often tried but I pass
And from what I heard it ain't bad
I'm a curious bitch who took off to get broke off
From the baby's dad
Cause I'm da baddest bitch

Who's bad? Who's, who's bad?
Who's bad? Who's, who's bad?
(Shit, I'm the baddest bitch)
Who's bad? Who's, who's bad?
Who's bad? Who's, who's bad?
(Shit, I'm the baddest bitch)
Who's bad? Who's, who's bad?
Who's bad? Who's, who's bad?
(Shit, I'm the baddest bitch)
Who's bad? Who's, who's bad?
Who's bad? Who's, who's bad?
(That's right, I'm the baddest bitch)
Who's bad?",https://genius.com/Trina-da-baddest-bitch-lyrics
Look Back at Me,Still Da Baddest,2008.0,"I got an ass so big like the sun
Hope you got a mile for a dick I wanna run
Slap it in my face, shove it down my throat
Nigga, where your blunt? I can make this pussy smoke
I know how to fuck, I know how to ride
I can spin around and keep the dick still inside
Now your mouth wide, you looking real scared
I'm a maneater, headhunter, I'm prepared

Yeah, you running now. You running. I'ma put this pussy on you just like this

Put this pussy in your jaws now, smack
Like it's Thanksgiving and it ain't coming back
Collard greens neckbones, nigga chew this ass
Both hold inspections don't stop till it pass
Licky licky licky licky licky for an hour
I'ma make it rain for you, here's a golden shower
Smell it like a flower, my pussy is a rose
Come a little closer, I wanna fuck your nose
]
If you want it, you can get it, if you with it I'ma hit it
Flip it, rub it up and smack it, look back at it, I'm a addict
 & 
Killer Mike
]
Look back at me, look back at me
Look back at me, look back at me, girl
Look back at me, look back at me
Look back at me, look back at me, girl
Look back at me, girl
Look back at me, girl
Look back at me, girl
This your boy Killer kid from the ville, man
]
If you want it, you can get it, if you with it I'ma hit it
Flip it, rub it up and smack it, look back at it, I'm a addict

Thoroughbred red broad in my bed
Up all night, took pipe, gave head
Ass like Trina, face like Mya
Shot it on her chest, she said ""Daddy aim higher""
Put jimmy on her titties and I bust off wicked
Gave her mayonaise on the face, pearl necklace
We turned the camera on and we did a sex scene
She call me R. Kelly and I call her...

That's my bitch right there, nigga

Hand full of ass and a fist full of weave
Ass in the air, face down on your knees
I'm a beast when I fuck I'ma put it on your gut
I'ma have you saying ""No, please let me get up""
I'ma make you say ""That's the spot, don't take it out""
I'm feeling like Akinyele, put it in your mouth
Kanye tell them gold digging hoes that we pimping in the South
And it ain't payday unless nuts in your mouth
]
If you want it, you can get it, if you with it I'ma hit it
Flip it, rub it up and smack it, look back at it, I'm a addict
 & 
Killer Mike
]
Look back at me, look back at me
Look back at me, look back at me, girl
Look back at me, look back at me
Look back at me, look back at me, girl
Look back at me, girl
Look back at me, girl
Look back at me, girl
]
Back it up, drop down to your knees
Bring it up real slow, make one cheek freeze
Back it up, drop down to your knees
Bring it up real slow, make one cheek freeze
]
If you want it, you can get it, if you with it I'ma hit it
Flip it, rub it up and smack it, look back at it, I'm a addict

Look look look look back at you for what?
I'm trying to concentrate on busting me a nut
I'm thinking about Trav, I'm thinking about Bo
Little dick nigga shit, hurry up I gotta go
Since they in prison pussy nigga make me know
That you ain't a virgin and you done this before
Fuck me till you can't breath, till you stomach scream help
It's your lucky day, all the lifeguards left

Little dick ass nigga. 
You better get your face down here. Eat this pussy

Dribble these titties on your lips
While you're doing that put your hand around my hips
Bounce me like a ball, slam me like K-ma
On and off the dick better known for breaking hearts
Nigga call a cab, I'm finna pack my shit and leave
Shouldn't have let you fuck, now that's some shit I can't believe
Wasting my time fucking all off beat
Pussy nigga next time when you see me don't speak
]
If you want it, you can get it, if you with it I'ma hit it
Flip it, rub it up and smack it, look back at it, I'm a addict
 & 
Killer Mike
]
Look back at me, look back at me
Look back at me, look back at me, girl
Look back at me, look back at me
Look back at me, look back at me, girl
Look back at me, girl
Look back at me, girl
Look back at me, girl
]
If you want it, you can get it, if you with it I'ma hit it
Flip it, rub it up and smack it, look back at it, I'm a addict",https://genius.com/Trina-look-back-at-me-lyrics
BAPS,The One,2019.0,"[Intro: Trina & 
Nicki Minaj
]
(
Audio
)
Ayo, Trina! You ready?
Ayy, Nic'! Let’s get 'em! Yeah
Light the blunt

This is for French Montana, Tory Lanez and friends
J. Harden, and you, too, Mr. Martin
I curved y'all boys (No disrespect to y’all boys)
Yeah, I curved y'all boys (No disrespect to y'all boys)
And to my niggas with bitches that like causin' drama
Me and my bad bitches, we like ""Fuck his baby mama""
He cop me them Chanel bags, them diamonds VVS
You see this 500 million dollar mansion that's wrapped 'round my neck

This is for the ones who happily always toppin' me sloppily
If your money Monopoly, I ain't fuckin’ you properly (No)
He been tryin’ the liquor, taste like a strawberry daiquiri
The interior chicken and the exterior broccoli
When I come through in that Range Rov', the Barbie chain glow
Keep a baddie with me and we curve ’em like a rainbow
Rockin' ice grills like some serious bitches (Let's go)
It's the Barbie and the baddest, Sagittarius bitches

Give me a project bitch
Give me a hood rat chick
One that don’t give a fuck
And say she took that dick
Give me a project chick
Give me a hood rat bitch
One that don't give a fuck
And say she took that dick

I know a dude named Wayne that I used to fuck
I slid on him, got a check, then I was off in that truck
Ferrari photo, hit the gas, left foot on the clutch
Countin' money bags, shit, I been bossin' up

I know this ball player that I been wantin' to fuck
I deal with rich niggas and all of them give it up (Uh-huh)
Project bitches, ass fatter than the rest of them (Yeah)
Bitches so bad, got him cuffin' and arrestin' 'em (Oop)
Yeah, he shoots dice (Okay), his coupes is nice (Uh-huh)
I be playin' with his balls (Why?), 'cause hoops is life (Okay)
Got a New York nigga, Miami nigga
Always yellin' ""gang gang"" with the hammer, nigga
I got a ass eatin' pro (Oh), he's suckin' my toes (Yeah)
Got a bitch bussin' off like calico (Haha)
I got a beggin'-ass dude, want me to ride his face
Got a young side-nigga, gotta hide my face (Rrr)

Give me a project bitch
Give me a hood rat chick
One that don't give a fuck
And say she took that dick
Give me a project chick
Give me a hood rat bitch
One that don't give a fuck
And say she took that dick

It's the two baddest bitches that they love to hate
We racin' yachts, it's a bad bitch holiday
It's Barbie and Cinderella in Gucci and Donatella
I got a young rich nigga with a trap in Alpharetta
I got a couple Haitian niggas who be swipin' them cards
Gettin' that income tax money, takin' trips with Minaj
I know some West Coast niggas wanna bang me out
I show you what a project chick is about, show us the money

Give me a project bitch
Give me a hood rat chick
One that don't give a fuck
And say she took that dick
Give me a project chick
Give me a hood rat bitch
One that don't give a fuck
And say she took that dick",https://genius.com/Trina-baps-lyrics
Fuck Love,UnKnown,2014.0,"Fuck love, what's that?
You fuckin' round, then coming back
No time for games, I've got a plane to catch
I don't want the ring if it ain't meant
I'm tryna make this love thing work
Next minute I'd be thinking you've got a curve
This nigga got nerve, tryna play me for a bird
I don't want this shit, you can keep that purse
You can keep that whip, you can have that bitch
You'll never find another 10-caramel skin with the right tan
I don't fuck with the hype man
So stop hyping shit like it's still the first night, damn
Being being that you hit it, 'bout 100 times
From the room to the kitchen like one more round
When I used to the dishes you was all up in it
Now you wanna act different

You're tryna give a nigga tough love
But shawty know I give enough love
So mama if you keep this up love
Then you gon' have me saying ""fuck love, fuck love""
Fuck love, fuck love, fuck love
Girl you have me saying ""fuck love""
Fuck love, fuck love
Girl you have me saying

Hold up! Hold up! Hold up!
All these rich niggas know me
I was in the benz, so drop drop
A hundred bands on a trophy
Talking 'bout who you want I'm in the new Leron
And this king size is where you belong
And we argued until you was wrong
And I fucked around and tried to lose it all
But I-I showed up right back here
Late night for the night cap here
Take flight for the night back here
Fuck around and get it right back here
No one calling up, no one calling up
Cause you gon' follow us
Cause when you fuck with me
You know what's all enough

You're tryna give a nigga tough love
But shawty know I give enough love
So mama if you keep this up love
Then you gon' have me saying ""fuck love, fuck love""
Fuck love, fuck love, fuck love
Girl you have me saying ""fuck love""
Fuck love, fuck love
Girl you have me saying

All that I want is you
Can't let you go, can't waste my time
Please don't you tease it
Cause all that I've got to tell you
Is that all I want is you",https://genius.com/Trina-fuck-love-lyrics
Real One,UnKnown,UnKnown,"All she ever wanted was a real one
But that's so hard to find
A big future, she just want to 
built
 one
But all she gets is wasted time
Cause she keep falling' for them flaw ass niggas
Cause she keep falling' for them flaw ass niggas
All she ever wanted was a REAL ONE
But that's so hard to find
Even though she's so fine

I keep yelling 'Fuck boy this' and 'Fuck boy that'
Should've never let the fuckboy tap
Gotta blame myself
I should've been gone
You's a new ass nigga
I been on, I been on, I been on
Should've never let you out the friends zone
Niggas like you make me so sick
I guess you got the lame nigga syndrome
Back to the money doe
I'm still talking big money ho!
I ain't about that flex, I'm about that check
That's for any nigga who wanna know
I throw the deuce up and cop Medusas
I pull the trucks out, I put the coupes up
I don't take no losses, I'm no loser
Big business, is what I'm used to

All she ever wanted was a real one
But that's so hard to find
A big future, she just want to built one
But all she gets is wasted time
Cause she keep falling' for them flaw ass niggas
Cause she keep falling' for them flaw ass niggas
All she ever wanted was a REAL ONE
But that's so hard to find
Even though she's so fine!

I shop myself, I cop myself
For myself, by myself
Got my health, got my wealth
Got my own, don't need no help
Know how to play with the cards I'm dealt
But it would be nice to have a REAL ONE
Picket fences and a lil one
Fly nigga with a bankroll
Educated, but still to know how to kill some
Is that too much to ask?
Do I want too much, too fast?
Do I drive these niggas mad
Soon as they touch the ass?
Can't teach these boys to be men though
Should've learned that from they kinfolk
And I should've known what I was in for
Soon as I gave the fuck nigga my info

All she ever wanted was a real one
But that's so hard to find
A big future, she just want to built one
But all she gets is wasted time
Cause she keep falling' for them flow ass niggas
Cause she keep falling' for them flow ass niggas
All she ever wanted was a REAL ONE
But that's so hard to find
Even though she's so fine

Oh, I hope that situation don't drive you out your mind
And I won't talk about no nigga
I'll only tell you what it would be like if I was, if I was your nigga
Let's let the old shit remain the old shit
Leave it in the past, and we'll remain focus
Say you got an ex, but I ain't even noticed
I ain't trippin' 'bout that nigga or my old bitch
I just know what I be on, got a California King to put your body on
Make a nigga mad when we put on that ass
But the Og got the shady form
All she ever wanted was a real one
But that's so hard to find
A big future, she just want to built one
But all she gets is wasted time
Cause she keep falling' for them flaw ass niggas
Cause she keep falling' for them flaw ass niggas
All she ever wanted was a REAL ONE
But that's so hard to find
Even though she's so fine!",https://genius.com/Trina-real-one-lyrics
Here We Go,Glamorest Life,2005.0,"Look, I ain't got nothin' to say to you
I can't even believe you
You know what? I'm too fly for this shit
You playin' yourself

Here we go, here we go again
Now you're tellin' me that she is just a friend
Then why she's callin' you at three o'clock in the mornin'?
I can't take this no more, no (No, no, no)
Here we go, here we go again
Now you're tellin' me that she is just a friend
Then why she's callin' you at three o'clock in the mornin'?
I ain't tryna hear it (Not this time)

Look, nigga, what you think this is?
You treat me like a random chick (Uh-huh)
You done forgot who introduced you to rocks
And poppin' all that Cris' an shit
Who let you hit it from the back any way that you like?
And any debts I can pay the price
I thought I was a chick you would make your wife (Damn)
And now a bitch can't even stay the night (You wack)
I can't even look in ya face without wantin' to slap you
Damn, I thank God I ain't get that tattoo
You better thank God I ain't have the strap, boo
You ain't even worth nann trick get at you
Matter fact, Trick, get at dude
I'm convinced I ain't got shit to ask you
And tell the triflin' bitch she can have you
I ain't lookin' at you no more, I'm lookin' past you

Here we go (Here we go), here we go again
Now you're tellin' me that she is just a friend
Then why she's callin' you at three o'clock in the mornin'?
I can't take this no more, no (No, no, no)
Here we go, here we go again
Now you're tellin' me that she is just a friend
Then why she's callin' you at three o'clock in the mornin'?
I ain't tryna hear it (Not this time)

When my girl came through with the news
All I did was think about me and you like, damn (Damn)
What a chick gotta do to get with a real nigga
That know how to stay true? Like, man (Man)
No more quarter to eights (Uh-huh), you better hop on a bus or a cab (That's right)
I shed so many tears, can't believe how many years
The baddest bitch put up witch yo' dusty ass (Yeah)
Now you know that I'm the queen of Miami (Uh-huh)
All that loud talkin', lyin', save that shit for ya mami (Haha)
Sounds like blah, blah, blah, blah, blah, blah, blah (Talk too much)
I'm like, uh-huh (Uh-huh), okay (Okay), wassup? (Wassup?) Shut up (Shut up)

Here we go (Here we go), here we go again
Now you're tellin' me that she is just a friend (Just a friend)
Then why she's callin' you at three o'clock in the mornin'?
I can't take this no more, no (No more, no more)
Here we go, here we go again
Now you're tellin' me that she is just a friend
Then why she's callin' you at three o'clock in the mornin'?
I ain't tryna hear it (No more, baby)

Now all my ladies say (Oh-oh-oh, oh-oh-oh)
And if you feel me, say (Ohh, ohh)
If you can't take no more, say
No, no, no (No, no, no), no, no, no

Here we go (Here we go), here we go again (Go again)
Now you're tellin' me (Yeah, yeah), that she is just a friend (That she's just a friend, ooh)
Then why she's callin' you at three o'clock in the mornin'?
I can't take this no more

That's why I'm packin' up my jewels, grabbin' up my furs
I'll be back for all my shoes and purses (Hey)
Watch me bounce in my seven-forty-five while I'm ridin' out (Ooh, watch me, babe)
'Cause I ain't tryna hear it (Watch me, baby), not this time",https://genius.com/Trina-here-we-go-lyrics
I Cheated,Back 2 Business,2012.0,"I'm cheating, and I'm in love with who I'm cheating with
And when I'm not cheating, everynight's an argument
I know that's something that I really shouldn't do
But I want my cake and wanna eat it too, we both cheating
I'm cheating, and I'm in love with who I'm cheating with
And when I'm not cheating, everynight's an argument
I know that's something that I really shouldn't do
But I want my cake and wanna eat it too, we both cheating

I cheated, I cheated, we played this game that we both needed
You were undefeated, walked around so conceited
Temporary love is what we pretended we needed
Or were we really pretending, cuz now I can't believe it
Look at how I fill this card up, we yelling that we leaving
Knowing it'd would never last, it's only for a season
That you go back to her, and I'll go back to him
When I think of how you do me, I start hating him (I hate you)
I don't know why I'm there, and you don't know either
Maybe just cuz it's convenient just to say that he's my nigga
Or is it just convenient just to say that she ya bitch
And when you doing her, you think of this (you think of this)

I'm cheating, and I'm in love with who I'm cheating with
And when I'm not cheating, everynight's an argument
I know that's something that I really shouldn't do
But I want my cake and wanna eat it too, we both cheating
I'm cheating, and I'm in love with who I'm cheating with
And when I'm not cheating, everynight's an argument
I know that's something that I really shouldn't do
But I want my cake and wanna eat it too, we both cheating

Every night is an argument when I'm not with you
I got a guilty conscious cuz I know my nigga see you
Late at night I'm not in the mood, I'm acting funny
Every conversation I'm talking rude, I'm acting funny
When he be touching on me, I swear it's not the same
I remember one time I called him your name
I played it off though, but who's to really blame?
We're playing a deck of cards, it's a dirty game
The sad part about it is he a good nigga
The temptation got me turnt up forreal nigga
I'm cheating, and I'm caught up in the mix
Tell me when you're with ya girl, do you think of this?

I'm cheating, and I'm in love with who I'm cheating with
And when I'm not cheating, everynight's an argument
I know that's something that I really shouldn't do
But I want my cake and wanna eat it too, we both cheating
I'm cheating, and I'm in love with who I'm cheating with
And when I'm not cheating, everynight's an argument
I know that's something that I really shouldn't do
But I want my cake and wanna eat it too, we both cheating

I know that I'm wrong
But this temptation is taking over me
I mean the way that it makes you feel
I feel defeat
He's a really good dude and
He doesn't deserve to be hurt...
But I can't help myself

I'm cheating, and I'm in love with who I'm cheating with
And when I'm not cheating, everynight's an argument
I know that's something that I really shouldn't do
But I want my cake and wanna eat it too, we both cheating",https://genius.com/Trina-i-cheated-lyrics
Ain’t Shit,Da Baddest Bitch,2000.0,"Niggas ain't shit, but hoes and tricks
Lick the pearl tongue, nigga, keep your dick
Get the fuck out after I cum
So I can hop in my Coup and make a quick run
Niggas ain't shit, but hoes and tricks
Lick the pearl tongue, nigga, keep your dick
Get the fuck out after I cum
So I can hop in my Coup and make a quick run

See, me and my boo's we got grands to use
With terrible attitudes nigga, who needs you?
Huh, you got your dirty ass feet on my couch
And smokin motherfuckin weed in my house
Is you sick yo?
I want YOU to get him and your dogs
To stop grabbin doornobs, and hustle and rob
Or job, get tha fuck out of dodge (you heard that?)
You eat me this evenin, you don't even deserve that
Cause I'm a bank roll havin bitch
Mercedes Benz 6- double o havin bitch, I'm fabulous
And immaculate with nice curves
I game hers for the furs, and the Iceberg
You got nerves, old broke ass, not havin no doe ass
Slow ass, sleeping on my floor(flow?) ass, no yayo ass nigga
You fake bitch, you make women hate dick, cuz you ain't shit

Niggas ain't shit, but hoes and tricks
Lick the pearl tongue, nigga, keep your dick
Get the fuck out after I cum
So I can hop in my Coup and make a quick run
Niggas ain't shit, but hoes and tricks
Lick the pearl tongue, nigga, keep your dick
Get the fuck out after I cum
So I can hop in my Coup and make a quick run

You that same old nigga
With tha same low figures
'cept the lies gettin bigga
And the sex lacks the vigor
Got used to the quickies, now your ass is just wack
Tryin to fuck my girl, behind my back, imagine that
I told her go ahead and try it just for the laughter
Now whe're feelin bad for all tha hoes you're goin after
Looks can be deceivin, and you're poppin much game
Crib in your moms name, claim of fortune and fame
Dressed in ICEBERG, senese still attached
Rockin a gator, fake rolly, hollow links to match
I sit back and watch, as you dig yourself deeper
Digits all in your beeper, you want her, better keep her
Last night you was all up in the club, slingin grips
Slippin DJ Roslay, givin dick tips away
Basically, you was holdin like you just went pro
But little did they know, you was flossin my doe
No, I got to go, before you cause a bitch to flick
From waistline to the bottom, you know niggas ain't shit

Niggas ain't shit, but hoes and tricks
Lick the pearl tongue, nigga, keep your dick
Get the fuck out after I cum
So I can hop in my Coup and make a quick run
Niggas ain't shit, but hoes and tricks
Lick the pearl tongue, nigga, keep your dick
Get the fuck out after I cum
So I can hop in my Coup and make a quick run

You ain't shit to me yo
I'm spendin grands down in Rio
Manaje` in trio, garage like it cee-lo
4-5-6, Range Rov, 4.6 I lay low
While ya'll hoes slob dick, you back in ballin ass
Niggas ain't shit, taste the clit
And y'all pussy lickin and shit
Wanna go low on me like a basement?
That's why I don't see none of y'all
You better recognize gang(game?) bitch, while I sit in front of y'all
I don't owe you shit, nigga you owe me
I'm bout to change the locks, nigga keep the gold key
You better get your shit, take it to your mamy house
I'm bout to show you what a bitch from Miami bout
You got me fucked up, nigga ain't no free nut
Unless you comin VVS marquis cut

Niggas ain't shit, but hoes and tricks
Lick the pearl tongue, nigga, keep your dick
Get the fuck out after I cum
So I can hop in my Coup and make a quick run
Niggas ain't shit, but hoes and tricks
Lick the pearl tongue, nigga, keep your dick
Get the fuck out after I cum
So I can hop in my Coup and make a quick run
Niggas ain't shit, but hoes and tricks
Lick the pearl tongue, nigga, keep your dick
Get the fuck out after I cum
So I can hop in my Coup and make a quick run
Niggas ain't shit, but hoes and tricks
Lick the pearl tongue, nigga, keep your dick
Get the fuck out after I cum
So I can hop in my Coup and make a quick run",https://genius.com/Trina-aint-shit-lyrics
Killing You Hoes,Still Da Baddest,2008.0,"Ah ah ah yep yep yep
The baddest bitch is back
I'm back part 2, part 2
I'm reloaded and I'm killin you hoes

You see dat outfit bitch
I'm killin you hoes
Cute face and ass swoll
I'm killin you hoes
I got the best pussy out
I'm killin you hoes
And ain't non you can do about
I'm killin you hoes
I don't care what a bitch think or how a hoe feel
Cause ain't nann one of you hoes payin my bills
And ain't nann one of you hoes fina buy me a crib
And ain't nann one of you hoes fina get me a whip
I know I must make a lot of ya'll hoes sick
And all I can tell you hoes, get used to it bitch!
Cause Ms. Trina the baddest as it fuckin get
And I don't sweat niggas and I don't fight over dick
So while you fuckin for free, I'm tryna get rich
And don't you cross that line cause I get hot quick
And if you do it's gonna be me & u up in this bitch
And I'm gonna show you why they call me the baddest bitch

You see dat outfit bitch (bitch)
And you know what it costs
Look at how my ass poke out when I walk
Cause your nigga wanna fuck me it ain't my fault
And my pussy sit up real nice in ma shorts
Hate or love it, cause you broke hoes gonna talk
And I can go in any club and shut that bitch down
And I can come to your city and make it my town
So when you see me hoe you better smile and don't frown
Cause I got a couple of my dawgs that ready to clamp
And you'd be best off sittin your tired ass down
And all you jealous ass hoes better move round
And ask these hoes in Dade how it gets down

The topic of discussion, I can fuck whoever I want
Look at me bitch I got everything you hoes want
I can fuck a nigga in the Bentley or a nigga in the dump
You get your money in pieces I get mines in a lump
You only ballin on weekends
I'm ballin the whole month
I'm just a hood bitch
Rich suburbia cash
A little fly ass chick who got alota class
I wanna spend your money nigga and put mine in a stash
You got me fucked up cause Trina gonna have the last laugh
Get your hustling hoe, look like your doin bad
You lost alota weight shit, you fallin off fast
I feel sorry for ya' might let you borrow some ass",https://genius.com/Trina-killing-you-hoes-lyrics
