title,album,year,lyrics,urls
"Roxanne, Roxanne",UTFO,1983.0,"[Kangol Kid & 
EMD
]
Yo EMD
Yeah, what's up man?
There goes that girl they call Roxanne, she's all stuck up
Why do you say that?
'Cause she wouldn't give a guy like me no rap

Man, she was walking down the street so I said ""Hello
I'm Kangol from UTFO."" And she said ""So?""
And I said ""So!? Baby don't you know?
I can sing, rap, and dance in just one show
'Cause I'm Kangol, Mr. Sophisticata
As far as I know ain't nobody greater
From beginning to end and to beginning
I never lose because I'm all about winning
But if I was to lose I wouldn't be upset
'Cause I'm not a gambler, I don't bet
I don't be in no casino, and baby while you knizzow
The izzi is the grizzeat Kizzangizzol.""
I thought she'd be impressed and give me devious rap
I thought I had her caught inside my sinister trap
I thought it'd be a piece of cake but it was nothing like that
I guess that's what I get for thinking, ain't that right, black?
Then crizzi to gizzone and seen number izzone
Crizzin ricking tizza of mizzac mic dizza
With the bang bang, brother I feel bad
But I ain't committing suicide for no crab
Calling her a crab is just a figure of speech
'Cause she's an apple, a pear, a plum, and a peach
I thought I had it in the palm of my hand
But man, oh man, if I was grand I'd bang Roxanne

Roxanne, Roxanne, can't you understand?
Roxanne, Roxanne, I wanna be your man

Yo Kangol, I don't think that you're dense
But you went about the matter with no experience
You should know, she doesn't need a guy like you
She needs a guy like me with a high IQ
And she'll take to my rap, 'cause my rap's the best
The Educated Rapper MD will never fess
So when I met her, I wasted no time
But stuck up Roxanne paid me no mind
She thought my name was Barry, I told her it was Gary
She said she didn't like it so she chose to call me Barry
She said she'd love to marry, my baby she would carry
And if we had a baby, we'd name the baby Harry
Her mother's name is Mary, which is really quite contrary
Her face is really hairy, and you can say it's scary
She lives in Mt. Airy, 
her father's a fairy
His wife's a secretary, his son's in military
They forced him to enlist, I guess it wasn't voluntary
His daughter's name is Sherry, 
his sons are Tom and Jerry
Jerry had the flu but it was only temporary
Back in January or was it February?
But every time I say this rhyme it makes me kinda weary
It's only customary to give this commentary
Some say it's bad, some say it's legendary
You search it all you want, try your local library
You'll never find a rhyme like this in any dictionary
But do you know, after all that
All I received was a pat on my back
That's what you get, it happened to me
Ain't that right Mixmaster I-C-E

Roxanne, Roxanne
Roxanne, Roxanne

You thought you had her roped, you thought you was Cupid
But EMD, your rap was plain stupid
I know you're educated, but when will you learn?
Not all girls want to be involved with bookworms
You gotta be strong in a way she can't resist
So Educated Rapper, huh, bust this
Since she's a new girl around the block
I had to let her know I was the debonair Doc
I said ""I'd like to speak with you if I can
And if I'm correct then your name is Roxanne.""
She said ""How'd you know my name?"" I said ""It's getting around
Right now baby you're the talk of the town
Please let me walk you to the corner, my rap will be brief.""
She said ""I've seen you before, you look like a thief.""
I said ""Me? The Doc? A hood, a rock?
Running 'round the street robbing people on the block?
Nah, that's not my style, to crime I'm not related
As far as I'm concerned I'm too sophisticated.""
Then it seemed I got through 'cause she cracked a smile
That let me know my rap was worth her while
She said ""You call yourself a doctor?"" I said ""This is true.""
She said ""Explain to me really what doctors must do.""
I said ""This is very rare 'cause I don't say this every day
There's a million medical skills a doctor displays
Dermatology is treatment of the skin
Infected and you'll see me and you'll know you're again
There's enthesiology, ophthalmology
Internal medicine and plastic surgery
Orthopedic surgery and pathology
A disease involves a change of your body.""
She said ""Ooooh, that's very unique.""
Gave me her number and kissed me on the cheek
She said she had to go but she'd be back by 8
Told me call her at 9 to arrange a date

Did you take her to the beach?

That's what we planned
But she stood me up, Roxanne, Roxanne

Roxanne, Roxanne, I wanna be your man
Roxanne, Roxanne, and here's our gameplan

The beat is here, so we will reveal it
And if you think it's soft, then Roxanne feel it!",https://genius.com/Utfo-roxanne-roxanne-lyrics
S.W.A.T. (Get Down),Lethal,UnKnown,"Get down, get down
Pull your panties down
All I wanna do
(Is put my) uh-uh-uh in you
(Come on girls and let's)
Get down, get down
Pull your panties down
Cause all I wanna do
Is get down

I got a filthy mouth I know, but I mean well and this I swear
I forgot to mention, it's good intention all inside of here
I see a future for the two of us, so let's not waste no time
If time is fit I get fire lit and I cold make you mine
And make ya
Get down, get down
Pull your panties down
All I wanna do
(Is put my) uh-uh-uh in you
(Come on girl and let's)
Get down, get down
Pull your panties down
Cause all I wanna do
Is get down

You the girls love to make us guys sweat and beggin, there's no doubt
You make life a bitch and I swear I wish you girls would cut it out
Some women are timid and some are hot
Some give it all up and some do not
Some give it at will and some we force
Employees, meet your new boss
Punch it and
Get down, get down
(Tonight!)
Pull your panties down
(Right!)
All I wanna do
(Is put my) uh-uh-uh in you
(Come on girl and let's)
Get down, get down
(Huh!)
Pull your panties down
(Aah!)
All I wanna do
Is get down
Soundin, soundin kinda funky
Soundin, soundin kinda funky
Soundin, soundin kinda funky
Soundin, soundin kinda funky
Yeah
Don't let no one tell me, tell me
That you ain't gettin down
Don't let no one tell me, tell me
You ain't gettin down
Girl like the man said, baby
Get down, get down
Pull your panties down
Cause all I wanna do
(Is put my) uh-uh-uh in you
(Now come on girls and let's)
Get down, get down
Pull your panties down
Cause all I wanna do
Is get down

Visa/Mastercard accepted, I will charge you but so much
I take IOU's, and that includes a head charge if you touch
You girls rub yourself all over me make me, rise in nature too
You say yes and no and then I go home with my balls all blue
Why didn't ya
Get down, get down
And pull your panties down
Cause all I wanna do
(Is put my) uh-uh-uh in you
(Come on girls and let's)
Get down, get down
And pull your panties down
Cause all I wanna do
Is get down",https://genius.com/Utfo-swat-get-down-lyrics
Diss,Lethal,UnKnown,"No one
Nowhere
Comes close
Suckers
Step off
From Brooklyn ?????
Suckers
Diss!

How dare you tell me in my face that I couldn't rock?
I make the healthiest woman on earth boy just stop
If you say another word to interrupt
I'll jump out these speakers, boy I could fuck you up!
But then again I really shouldn't get involved that deep
When you talk I smell your butt and you just put me to sleep
Thank God I'm only upset, cause if you made me mad
I'd hit you so hard you would have to call me dad
Right here on the spot, bustin you in the knot
Before you know it you'll be screamin, ""He rock''
Was I too fast for ya, wasn't it clear?
The party won't rock unless you get out of here
So take your rat-skin coat and step out the door
Tell your woman stop callin, I don't want her no more
For now slow down, shut up, and then I'll chill
But can't nobody say that I ain't that ill
I'm the rudest of the rude muthafuckas alive
There were six of us left and I shot five
To make a long story short and save my breath
I'm the only one left, and yo, ur def!
When it come to dissin I am the champ
I heard you tried to buy Adidas with your mother's food stamps
Don't know a thing about buyin clothes
Tried to buy Pro-Keds and you got Ked-Pros
Now let me get a little harder
Your mother's pregnant again and I'm the father
And if you think I'm lyin by just a notch
Ask your father, he sat and watched
Diss

Step off with that old riffin, stop playin me close
I'm not a sucker, I got heart and I'm from the East Coast
5'8"" with brown eyes, yo, the girls say I'm cute
But I strap the .45 and I ain't afraid to shoot
I came across brothers who ???bass wasn't blessed???
It phased me none cause I broke ribs and necks
Beat up Jamaicans, Jews, Haitians and Italians
Punched out they tooths and wore them as medaillons
Back in the days we called punks sundullah
When people see Doc, they all hail the ruler
Calvin is cool, but me, I'm much cooler
You riff, you wan get dissed with me, you're not medulla
Cause to be from Brooklyn, yo, that's mandatory
You're from the Island, so get off my territory
I wear black, I never wore purple
If I drew a line where I ruled, you'd walk in a circle
Don't try to play me out, maytag
You better hold my bow and follow my footsteps, fag
Cause this is the Doc with the surgical gas
Dislocate your mouth and you'll be talkin out yo ass
Cause that's what you talk is a bunch of bullshit
While I be cold chillin walkin round with a mitt
I told you when I met you, you know what you can get
Am I upset? Well, just a little bit
I told you before not to get me started
Cause Doctor Ice is gettin cold retarted
After the battle the undertaker will dress you
The good Lord will bless you and the graveyard will rest you
(Last night changed it all)

I'm as real as reality, not a Greek myth
It's time to let you know who you're fuckin with
My rap is magical, stronger than voodoo
Your style, it stinks, you know, like doodoo
You're shiverin and shakin in your Fruit of the Looms
Keep it simple, stupid, you'll be next to the tombs
Of the other victims, I keep their heads on my shelf
If they were resurrected, they'd kill themself
I'll never say excuse me, move out my way, sucker
You use 'mister', I use 'motherfucker'
You thought that E was more well-respected
Now you know, stupid, expect the unexpected
(Yeah)
(Ah hah)
We got the mouth to be the boss, the heart to back it up
Rhymes come naturally, no need to crack it up
But you inflate, make others sick
And my last and final words is: get off my dick!
Diss",https://genius.com/Utfo-diss-lyrics
The Real Roxanne,UTFO,1983,"Yo, Kangol
(Yeah what's up girl?)
I'm the real Roxanne and I'll rock your world
(But you're all stuck up)
Well, you say that
'Cause I wouldn't give guys like you no rap?
I was walking down the street in the afternoon
I gave you a smile so you assume
That if you said hello, I would be flattered
But I kept on walking and your ego was shattered
I'm Roxanne, the lady devastator
I'll make you feel hotter than it is in Grenada
The R-O-X-A-N-N-E
Roxanne is who I be
And Kangol Kid, ya might be cute
But you ain't gettin' this cause you're much too... ?
You wear that samurai sword on the side
I told all my friends and we all just died
I laughed so hard that my face turned blue
Why be a M. C.? You should learn kung fu
And by the way if I'm such a crab
Why all your girls look like scabs?
First you call me a peach
The Doctor wants to take me to the beach
I got a little rhyme for ya each
I've seen your girls, they both need a leash
Such bow wow babies I think they got rabies
You think you're touching me, boy, you must be crazy
You got your nerve to wanna be my man
They call me The Real...
Roxanne, Roxanne
Can't you understand?
Roxanne, Roxanne
I wanna be your man

Now Educated Rapper, Imma give you a fit
'Cause when you tried to talk to me, you was full of shit
You see the truth and the fact is that I don't need you
Your I.Q. Is really one point two
I don't like your rap cause your rap is dead
Educated Rapper no sense in your head
So when you met me I paid you no mind
Dictionary breath, you're one of a kind
You said your name was Gary
Didn't choose to call you Barry
Didn't care if your name was mother Mata Hari
I choose to call you sonny because you have a tummy
My fathers not a fairy, you're the one who walks so funny
You're nose is always runny
You look like Bugs Bunny
All your raps are old ancient as a mummy
Your house is so scummy
Your clothes are so bummy
But now with your hit record all I want is your money
Educated Rapper you ain't nothing but a dummy
You try to be chummy all you plays gin rummy
I bet makin' love to you must really be crummy
You say it's customary to give your commentary
I say it's crap you're full of strawberries
Your rap is so weak and your face is so scary
You always find a rap like yours in any cemetery
So do you know you didn't even pass
All you received was a kick in the ass
That's what you get 'cause I've had enough
Ain't that right Mix Master Ice cream puff
Roxanne, Roxanne
Roxanne, Roxanne

When I heard this record I said who's the producers?
A group named Full Force, a bunch of losers
They're a singin' group so how should they know?
Putting out records with UTFO
I'm what's happening I know that's a fact
So UTFO... Bust that!
Since I'm the new girl around the block
The Kangol Kid and especially Doc
Would like to sleep with me if he can
But you're just a boy you're not even a man
The girls know your name, it's getting around
Doctor Ice you're the laugh of the town
You tried to throw a game
But it wasn't working out
You lied about the beach
You took me to your house
I said me the Rox, give up the box
So you could brag about it for the next 6 blocks?
Shee you must be crazy, you're goin' too fast
Doctor I don't know where your hand's been last
You can't fool me 'cause down beneath
You're a hood, a crook, a liar, a thief
I know how you operate from the start
You like to breakdance and you like to break hearts
So listen up 'cause I don't say this everyday
Ho girl... ?
The only operating that you do
Is ripping off cars in a minute or two
You stole every last Cadillac
Sold it back and kept the hubcaps
You are the one you thought you had me roped
But you hung yourself with your own stethoscope
You said ""oooh"" now what the hell was that?
Your voice ran high now it sounds real wack
You call me at 9 to arrange a date
I said meet me at the beach and don't be late
(So did you meet him at the beach?)
Hells no, in the middle of December when it's 20 below
I'm the real...
Roxanne, Roxanne
I wanna be your man
Roxanne, Roxanne
And here's our game plan

Wheres the beat you guys can't deal it
I need a man who can make me feel it",https://genius.com/Utfo-the-real-roxanne-lyrics
Fairytale Lover,UTFO,1983,"They say if you believe in fairy tales
Your love will never fail
If this myth is true
Sweetheart, you know what we should do...
Be like Alice in Wonderland
Jack and Jill holdin' hands
And every afternoon
We can watch the cows jump over the moon
And if it happens to get cold
We can take a walk down the Yellow Brick Road
And if we run into Little Boo Peep
We can help her find the sheep...
A love that's full of fun and fantasy
The way our love will always be
This you won't regret
'Cause I'll be your Romeo
You'll be my Juliet
Alice in Wonderland
Jack and Jill holdin' hands
And every afternoon
We can watch the cow jump over the moon
And if it happens to get cold
We can take a walk down the Yellow Brick Road
No tellin' what we'll find
But I know, at the end of the line
You'll be my Fairy Tale Lover
Be my fairy Tale Lover
Be my fairy Tale Lover
Be my fairy Tale Lover
Love with me alone
In our fairy tale own town
We'll have a house built outta stone
And no wolf will blow it down
Rainbows in the sky
And our dreams will get us by
And our love would never die",https://genius.com/Utfo-fairytale-lover-lyrics
Ya Cold Wanna Be With Me,Lethal,UnKnown,"Ya cold wanna be with me

Hey girl, you wanna be with me?
Because I need someone to be with, someone to talk to
You cold wanna be with me
Because you need someone to be with, someone to talk to
You wanna be with me?
Because I need someone to be with, someone to talk to
You cold wanna be with me
Because you need someone to be with, someone to talk to

Because the way I live nowadays
People are different, they act real funny towards me
They say, I think, I'm nice
Why, because I'm makin records? But I'm still the same Doctor Ice

The same with me, they make me laugh
People gettin jealous (cause we be signin autographs)
I try to figure it out, no doubt
(But the way things are goin) I'm ready to jet out

Word, gettin a girl is hard, it ain't funny
Kangol don't know if she want me or my money
So I'm bein picky, cause I ain't sure
And I'm livin a life you might call insecure

I want a nice individualistic that's not materialistic
Not bein egotistic, ???I decide consentualistic???
The body artistic, a little bit of lipstick
Those the type of girls that make the Doc lovesick

Well, I'm definitely a lover, hard when I'm undercover
I'll do kinky things to you if you swear not to tell your mother
I'll push, but I won't shove ya, as long as I'm above ya
When I leave just promise me, ""Kangol ???? I love ya""

I want a girl with action, 
'control' like Janet Jackson
I hate the dark, I'm on the light so I can see reaction
Against all relaxin, prepare for steady waxin
When you leave you must pay E - for what? - satisfaction


Tired of these girls tryin to play the role
Everytime I see em, they're on a stroll
Teasin the fellas, wearin tight pants
Leadin us on after a slow dance
But in search of love that's how I'm livin
I want a girl to give me the same thing that I am givin
To her, from now till the day I depart
But she's got to be a redbone, a beautiful work of art
That is the way this pisces views
Like Gigi Williams on the Eye-Witness News
I hate a girl that knows every guy
Before you introduce, he already says hi
I feel like punchin her dead in the grill
But that's ill, so Doc just chills
Cause if it's meant to happen, that's how it'll be
Sooner or later you'll cold be with me

She wants to be with me and I know this for sure
I can tell as soon as she walks through the door
Swings and sways and shakes her stuff like Jello
Waitin for EMD to say hello
Skin-tight clothing with everything left hangin
And all the boys admit that she's well worth bangin
She only talks the talk, never walks the walk
She must be the most ???? up in all New York
Acts like an angel, pretends that she's a saint
A least that's the pretty picture she would love to paint
She's extraordinary, definitely rare
And anyway you want me, baby, I'll be there
I make you feel ??protect??, fill you with bliss
??Send a chill up?? your body with just one kiss
But if you don't show, I won't be stunned
Give your mother my number, I know she'll come


I want a girl that'll turn me on
When I say 'go', I wanna hear her say 'gone'
When I say 'leave', I wanna hear her say 'left'
And if I say 'was it good', she better say 'def'
Cause that's the kinda girl that I am lookin for
I really don't think there are anymore
But if one appears one day
I walk up to her and gently say

I've been starin at you a while
And everytime you see me starin you crack a smile
You cold wanna be with me, it's true
If you didn't, I wouldn't be next to you
So please stop perpetrating
Girl, I'm tired of waiting
For you to hurry up and make your so-called move
That you been talkin about makin, girl, show and prove
There's really no need to talk about it
You know what I want, so what about it?
We can either go fast or slow
Cause I'll be in and out before you know
You say you're resisting
But yet you're still kissing
Everybody know that I been wantin you to kiss
Hey girl, here's a spot you missed
So cold",https://genius.com/Utfo-ya-cold-wanna-be-with-me-lyrics
Burning Bed,Lethal,UnKnown,"(1 out of 12...
1 of 12 men is being burned to death)
( *sirens* )
(Now that's a fire!)

Treat your woman right
Or get that burning bed at night
You've got to treat her right
Treat her right - treat her right
(Willie!)

The women of today ain't with it
If you ain't gonna be loyal, forget it
I know the deal, so I admit it
Because I knew a brother that did it
He used to be a nice looking dude, the ladies' choice
He would charm them all with the sound of his voice
He's not a sucker, a bum, the boy ain't soft
He likes to be clean and dress his ass off
He was light-skinned with curly hair
He would make his girl think he was so sincere
Always said ""I'm cool,"" called himself an expert
Comin home every night with lipstick on his shirt
She took it like a champ and let him do it
Until one day he really blew it
Rappin to girls one day by the dozen
And one of those girls was his girlfriend's cousin
He was so blind cause he was on a roll
Comin home drunk one night singin James Brown's soul
""Get up-a!"" bangin on the door he said
""Get up-a!"" and banged once more
So she opened the door with a smile on her face
Brung him to the bed, untied his shoe lace
Took off all his clothes and then she said
""Good night sucker"" - and burned the bed
So

Treat your woman right
Or get that burning bed at night
You've got to treat her right
Treat her right - treat her right
Burn em up
She only burn you can see what's ugly, Willie
Now you look like Richard Fire
I mean Richard Pryor, Willie
Willie, jump in the pool
(Now that's a fire!)

So never in life think that you're too great
Cause it's very thin line between love and hate
You see, he wasn't just burned, the boy was torched
Burned from head to toe and then so-and-so was scorched
He's with the same girl, now he's sincerer
She ain't worried about a thing cause he ain't goin nowhere
When I see him now I say ""yo bro""
Cause he's the darkest brother that I now know
No more Casanova, that life is over
He used to drink heavy, now he stays sober
She burned him bad, now he stays alert
But I know when they make love, brother, it hurts
You wouldn't think the girl would hurt a fly
But she proved that to be a goddamn lie
From what I recall, he gives her much respect
Point blank, word, she got him in check
So

Treat your woman right
Or get that burning bed at night
You've got to treat her right
Treat her right - treat her right

See, you can hit em, beat em, call em a creep
But remember, homeboy, you've got to sleep
So chill, be nice or pay the price
Of bein burned, walk easy like Doctor Ice
Get out the house, Willie!
(Now that's a fire!)
(Fire)
Willie's on..
(Fire)
Get out the house, Willie
(Fire)
Damn, you shoulda seen this..
(Fire)
She burned him bad
Damn Willie
(Fire)
That mama ain't Willie
(Fire)
If his woman ain't Ms. Willhelmina
(Fire)
She burned him up
She burned him up
(Fire)
Don't get the burning bed, Willie
(Fire)
It's too late now
You're blacker than black
(Fire)
You used to be light-skinned, ain't no turnin back
(Fire)
You look like some left-over from a cook-out, Willie
Yo
I told you leave that bitch alone
I told ya, Willie
I told ya
(Aight, that's cool)",https://genius.com/Utfo-burning-bed-lyrics
Beats and Rhymes,UTFO,1983,"Fly girls feel the groove
Homeboys bust a move
Our beats and rhymes you can’t resist
Hm. Bust this
Beats and rhymes (x4)
If future rap is in effect, then clean up all the latest
We’re the best and you can bet that we are now the greatest
Do remember, don’t forget you love us, you don’t hate us
Stay on our side, don’t you betray us
When you meet us, treat us right, 'cause you need us
You need us tonight and you can’t defeat us
Music evolved, the problem was solved
Party people must get involved

So all you ladies in the place tonight
We got a rap we think will make you feel right
It ain’t no problem, baby, as you know
The curtain’s open so we’re gonna start the show
So girls don’t you worry
Don’t you think about the things you might have left behind
So girls won’t you hurry
'Cause UTFO emcees are full of beats and rhymes
The beat has gotta be, has gotta be fresh
Has gotta be fresh to impress the rest
Has gotta be bold, so you can all cajole
Your emotions and your feelings so you won’t grow old
Before your time, you’re pryin’, before you reach your prime
You’re begging in the street for a nickel and a dime
Wait on the corner or the welfare line
Got to be there at a quarter to nine
We’re not fiction, we’re fact with rhymes down pat
We express our feelings and we never hold back
Hey girls don’t deny it, don’t knock it ‘til you try it
You hear this record, I’d buy it, you should buy it
Don’t wait, don’t hesitate, 'cause if you do it might be too late
Keep it in mind and don’t waste no time
UTFO is full of beats and rhymes

This jam is workin’, we got the beats and rhymes
(Full Force get fresh!)
Don’t stop the beats, don’t stop the rhymes, don’t stop the music
Music’s one of a kind, we got fresh beats and rhymes
Give us a chance to blow your mind!
Yo, Doc, you think I should go now?
No! Kangol, let’s go!

Ya supersonic musi-izzo izza kizzay
Rizzay, hizzop, spit a gizzo his head
Wiz-a-kizz and dizzy wit adoos-a-zee
Izz-oc the izz-ice, kizz-ang izz-ol and EMD
Mizzay-bee (mizzay-bee!) mizzay-bee mizza
Kizz-om izzen trizzay, kizz-ibbid itchizza
Izzi-bizzu-bizzatoo, kizz-om izzen trizaay
Is the beat too rough, can the beat get by?
Are the rhymes on time, can the beat defy?
I think so, I think they’re fly!
Why? Why? Why, why simplify!

I’m Doc Ice the first, not the second or third
My zodiac is Pisces and that’s my word
Born on March 2nd, not the 3rd
And this little piece of rap must be heard
That I’m rich in rhymes, rich indeed
If you cut me with a knife, money I will bleed
But I’m not a millionaire and I ain’t cheap
I always give my love away, baby I don’t keep
My feelings inside, 'cause if I do I would burst
And if I had a problem, well baby you’d be the first
To know how I feel, 'cause my feeling is real
And I know that you know that I know the deal
That I’m a law-abiding citizen, I don’t break the law
And I will even get loose when I’m out on the floor
You’re well aware I’m debonair, 'cause I intend
To let you know that my rap is at its end

I’m not a senior or a minor, I wasn’t born in China
Spain, France or even South Carolina
I was born in England, not the USA
(Some people call him British), that’s OK
I’m not Jewish, Jamaican, but 
I’ll keep makin’
Fresh new lines that’ll keep you breakin’
I got a lotta pages of rhymes for different ages
Somehow I knew that I’d be standing on the stages
Performing and rhymin’ is better than crimin'
It’s simple like Simon, it just take some timin'
The fact that I’m a rapper doesn’t separate me
From the business and the doctors with a college degree
Motivation’s the key and if you don’t possess that
You’d better hang it up and give it up, I’m telling you flat
That you’d never make a living in the streets of New York
That’s the way that I think and that’s the way that I talk
Fly girls feel the groove
Homeboys bust a move
Our beats and rhymes you can’t resist
Hm. Bust this

So all you ladies in the place tonight
We got a rap we think will make you feel right
It ain’t no problem baby, as you know
The curtain’s open so we’re gonna start the show
So girls don’t you worry
Don’t you think about the things you might have left behind
So girls won’t you hurry
'Cause UTFO emcees are full of beats and rhymes
Our raps are sheer delight, some say it’s dynamite
I think that they’re all right, who am I to say they’re wrong?
We dress impressively, we do it knowingly
And if you want to be with me then come along

I’m a city slicker baby, not a country boy
And I like to drink milk with my Chips Ahoy!
I never lived on a farm, never milked a cow
And I never felt better than I do right now
I don’t believe in telling lies and this ain't no fib
I’m the one and only rapper called the Kangol Kid
Form my rhymes to my rhythm, my rhythms to my beat
I know it’s unique because you’re moving your feet
And all you ladies on the floor, short or tall
Ugly or pretty, long-haired or bald
I got a message to tell you all
I want y’all to dance 'til London Bridge falls
And just so you men can have a ball
Ladies, show us your underalls
And then hurry, hurry, come and see the show
Of the Educated Rapper, Doctor Ice and Kangol
If you thought that was fresh, huh! Bust this",https://genius.com/Utfo-beats-and-rhymes-lyrics
Let’s Get It On,Lethal,UnKnown,"Let's get it on
Let's get it on
Let's get it on
Skeezer
Let's get it on
Let's get it on

Let's get it on, what's the beef?
Is it my breath? No problem, I'll brush my teeth
There's really no reason why you should flake
Unless you got somethin' you think I'll take
Whatever you got, homegirl, keep it kept
In due respect Kangol will step
To another young lady that'll keep him warm
Hey, what would you say if I said

Let's get it on
Let's get it on
Let's get it on
Skeezer
Let's get it on
Let's get it on

Full-settin' introducin', you know the procedure
If you don't cooperate with me, I don't need ya
Cause if you ain't droppin', I'll stop clockin'
And all the pretty girls I don't know I be rockin'
British by birth and I'll well endowed
And frontin' on me is just not allowed
And if you don't give me what I'm askin' you for
You can meet my friend, the door

So long
She woulda got it on
You ugly skeezer
Let's get it on
Let's get it on
Let's get it on

Can I get a witness that this girl is fine?
I never seen her, I heard it through the grapevine
And I'm imaginin' how her body would be
Come, get to this, mercy, mercy me
You got to give it up, you need sexual healing
I'm not a troubled man, this is what I'm feeling
You were sanctified, lady, from the day you were born
Distant lover - what's goin on?

Let's get it on
Let's get it on
Let's get it on
I want you, skeezer
Let's get it on
Let's get it on

I used to think that you was treatin' me wrong
It took a while, I admit, but I caught on
Every day I kept my hands in my pocket
Wonderin' when was I gonna knock it
The more I think about it the more I sweat
The harder you make it the harder I get
If I didn't want you, baby, I wouldn't've wrote the song
How much I got to pay ya, girl, to make you say

Let's get it on
Let's get it on

I love it, girl, when you sit down with me
And if I'm too straight to the point, please, forgive me
I let my fingers do the walkin' too much
Come to think about it, hmm... that's really not such
A terrible gesture, I should test ya
Tried to get ya even though I just met ya
And if I'm lucky and my rap is strong
You might change your mind and say
Let's get it on
Yo Buckwheat
I'ma give you some light on this one
""Ooh, do that""

See, I'm a stubborn kind of fellow but I know I can bring
Happiness, 'cause ain't nothin' like the real thing
If this world were mine I'd be also true
'Cause I'd truly love do be loved by you
And ain't no mountain high enough to stop this wind
I'll cold hitch-hike, that's the way love is
No need to procrastinate all night long
What other than be me
Let's get it on

Aight baby, now why you flakin
Ah, you gon' flake
Then I'm just gon' diss you
Let's get it on
Your mother so dirty when she go take a bath
The water jump out and say 'I'll wait'
Your mother so skinny, she can hula-hoop in a Cheerio
Your mother hair is so short, she rose her hair with a 
Your mother's so stupid, she got hit by a parked car
Your mother's brain 
I heard your mother has three teeth
One in her mouth and two in her pockets
Yo, I hear your mother got a job at the airport sniffin' luggage
I heard your mother glasses are so thick, she can see the future
Your mother so stupid, she asked what army Colonel Abrams was in
Yo Doc, that skeezer lookin at you
Let's get it on
Let's hear she gon'
Let's see she gon' do the do
Let's get it on
Yo, Ed
Check out them skeezers
Let's get it on
I think they wanna get it on
Let's get it on",https://genius.com/Utfo-lets-get-it-on-lyrics
Leader of the Pack,UTFO,1983,"Mix Master!

Well all across the metropolitan U-S-A
Everybody with a mouth's talkin' about our DJ
(Mix Master!) DJ Ice
To be precise, the boy is nice
'Cause he can cut butter, cut records, cut a girl in two
And all you wack DJs, he'll cut the mess out of you
He'll cut paper, cut bread, cut down a tree
And make you wish you were dead
When you might as well be

As a matter of fact, to be exact
This is not fiction, this is all fact
The man in the back is dressed in black
He’s called what we call, the leader of the pack!

Mix Master!
Cuttin' up a storm
Goin' on strong, all night long, go on
He's down by law with the Force Crew
You can say I'm on his  'cause you are too
Some people say that we're the Village People of rhymes
'Cause we all have an image that we stand behind
Like I'm the Soldier of Love, Kangol, I never run
'Cause I possess the medals from the battles I won
And I'm Doctor Ice, so debonair
You can tell that I'm a doctor by the clothes that I wear
And I'm the world's most educated rapper, MD
And I'm causing much damage in the place to be

And as a matter of fact, to be exact
This is not fiction, this is all fact
The man in the back is dressed in black
He’s called what we call, the leader of the pack!

Yes he is above the average man
And he'll cut up any DJ he can
He started from the bottom and took the right route
Now he's scratchin' the break and that's without a doubt
The way I'm going out I think I passed my peak
With Kangol Kid and EMD, we'll never get weak
Rhymes are written everyday and never forgot
Sometimes it's hip-hop or it might have a pop
To write a demo record 
But the MC ain't fresh unless he's rockin' the beat
And the beat can't be beat, it's got to be tough
An original, that's when I say it's rough
From my point of view that's how I feel
And when I say  you know it's real
'Cause I'm the  the fare on the bus
And soon you'll be sayin' in Doc we trust

Well I'm not into surgery, I'm not into books
And I may not look the way you imagined I look
But I'm lookin' good baby and you best believe that
'Cause when they said Kangol, they meant the hat
Uh when they said the Kid they meant me of course
When they said UTFO they meant Untouchable Force
Let me skip that subject and go onto other things
I got a message and the message I bring is
I got the look you want to know better
I'm not Jordache but I consider myself
To never be a loser to none
'Cause I possess the medals from the battles I won
And the way I perform I oughta be sued
'Cause I specialize in bein' nothin' but rude
The leaders of the pack is the ones in command
Comprende, capiche, caput, understand?
Yo! (Bust this)
Yo! (Bust this)
Yo! (Bust this)
Yo! (Bust this)
Yo! (Bust this)
Bust this!

Beware, the fury of prodigious man
I'll discombobulate any rapper I can
My superior vernacular will keep me ahead
Most of you cogitating what I just said
But, that's just a morsel, I'm very discrete
And the formula for rap like this can't be beat
It's not the usual, it can't be condemned
And my preeminent thoughts will linger on to the end
'Cause I'm exemplary in grammar, I was always inclined
Intellected versers like this are hard to find
The elementary, I always obtain
Interesting lyrics are this cure for your brain
And if I was a Mexican, I'd wear a sombrero
If I was a soldier, I'd probably be a hero
But I'm not, I'm into rap
And I'm down with the Mixer, the leader of the pack!
Mix Master Ice!
Mix Master Ice!
Mix Master Ice!
Mix Master Ice!
Mix Master Ice!
Did you like that, huh? (Yeah!)
Huh? (Yeah!)
So if you're all excited and you like it like that
Don't tell me, tell the leader of the pack!

I'm sorry but your scratching is up. Please deposit another record or else your party will be terminated, thank you!",https://genius.com/Utfo-leader-of-the-pack-lyrics
