title,album,year,lyrics,urls
SAD!,? (Question Mark),2018,"Yeah

Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah

I gave her everything
She took my heart and left me lonely
I think broken heart's contagious
I won't fix, I'd rather weep
I'm lost then I'm found
But it's torture bein' in love
I love when you're around
But I fuckin' hate when you leave

Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah


Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah",https://genius.com/Xxxtentacion-sad-lyrics
Jocelyn Flores,17,2017,"I know you so well, so well
I mean, I can do anything that he can
I've been pretty
[Bridge: XXXTENTACION & 
Shiloh Dynasty
]
I know you're somewhere, somewhere
I've been trapped in my mind, girl, just holding on
I don't wanna pretend we're something, we're nothing
I've been stuck thinking 'bout her, I can't hold on (
I'll be feeling
)

I'm in pain, wanna put ten shots in my brain
I've been trippin' 'bout some things, can't change
Suicidal, same time I'm tame
Picture this, in bed, get a phone call
Girl that you fucked with killed herself
That was this summer when nobody helped
And ever since then, man, I hate myself
Wanna fuckin' end it, pessimistic
All wanna see me with no pot to piss in
But niggas been excited 'bout the grave I'm diggin'
Havin' conversations 'bout my haste decisions
Fuckin' sickenin'; at the same time
Memories surface through the grapevine
'Bout my uncle playin' with a slip knot
Post-traumatic stress got me fucked up
Been fucked up since the couple months they had a nigga locked up

I'll be feelin' pain, I'll be feelin' pain just to hold on
And I don't feel the same, I'm so numb
I'll be feelin' pain, I'll be feelin' pain just to hold on
And I don't feel the same, I'm so numb

I know you so well (I know you, girl)
I mean, I can do better than he can
I've been pretty
I know you so well",https://genius.com/Xxxtentacion-jocelyn-flores-lyrics
Look At Me!,Revenge,2015,"Ayy, I'm like, ""Bitch, who is your mans?"" (Ayy)
Can't keep my dick in my pants (Ayy)
My bitch don't love me no mo' (Ayy)
She kick me out, I'm like, ""Vro""

Damn, son, where'd you find this?
Yah, ayy
Yah, ayy, yah
Ayy, haha, yah, yah, yah
Ayy
Ayy, ayy, ayy

I'm like, ""Bitch, who is your mans?"" (Ayy)
Can't keep my dick in my pants (Ayy)
My bitch don't love me no mo' (Ayy)
She kick me out, I'm like, ""Vro"" (Ayy)
That bitch don't wanna be friends (Ayy)
I gave her dick, she amen (Ayy)
She put her tongue on my dick (Ayy)
Look at my wrist, about ten (Ayy)
Just got a pound of the boof (Ayy)
Brought that shit straight to the booth (Ayy)
Tommy my Hilfiger voots (Ayy)
She said, ""Wan' fuck?"" Bitch, I do (Ayy)
You put a gun on my mans (Ayy)
I put a hole in your parents (Ayy)
I just got lean on my Ksubis (Ayy)
I got a Uzi, no Uzi

Fuck on me, look at me, ayy
Fuck on me, yah, look at me, ayy
Look at me, look at me, yah
Fuck on me, yah, ayy
Look at me, yah, fuck on me
Look at me, fuck on me, yah
Look at me, fuck on me
Yah, ayy

Tell these fuck niggas, voot me up, pipe up
Ayy, shouts out Bans and them, ayy

I took a white bitch to Starbucks
That little bitch got her throat fucked
I like to rock out like I'm misfit
My emo bitch like her wrist slit
Curly hair bitch like I'm Corbin
Got like three bitches, I'm Mormon
Skeet on your main bitch's forehead
Don't want your pussy, just want head

Look at me, fuck on me
Look at me, fuck on me
Look at me, fuck on me
Look at me, yah, ayy!
Look at me, fuck on me
Look at me, fuck on me
Look at me, fuck on me
Look at me, yah!",https://genius.com/Xxxtentacion-look-at-me-lyrics
Fuck Love,17,2017,"Ooh, baby, I need you in my life, in my life
Please, bae, don't go switchin' sides, switchin' sides
I swear this is where you reside, you reside
Please, bae, don't go switchin' sides, switchin' sides
Yeah, yeah, yeah, yeah

Ooh-ooh, please don't throw your love away, huh
Please don't throw your love away, huh
Please don't throw your love away, huh
Yeah, yeah, yeah, ayy

I'm nauseous, I'm dyin'
(She ripped my heart right out)
Can't find her, someone to
(My eyes are all cried out)
Lost it, riots, gunfire inside my head, I've
Lost it, riots, gunfire inside my head

Baby, I need you in my life, in my life
Please, bae, don't go switchin' sides, switchin' sides
I swear this is where you reside, you reside
Please, bae, don't go switchin' sides, switchin' sides
Yeah, yeah, yeah, yeah

Ooh-ooh, please don't throw your love away, huh
Please don't throw your love away, huh
Please don't throw your love away, huh, yeah, yeah, yeah",https://genius.com/Xxxtentacion-fuck-love-lyrics
Revenge,17,2017,"I think I, I think I finally
Found a way to forgive myself
From mistakes I made in my past
I think that's the first step, right?
You agree?

I've dug two graves for us, my dear
Can't pretend that I was perfect, leavin' you in fear
Oh, man, what a world, the things I hear
If I could act on my revenge, then, oh, would I?
Some kill, some steal, some break your heart
And you thought that I would let it go and let you walk
Well broken hearts break bones, so break up fast
And I don't wanna let it go, so in my grave I'll rot
I've dug two graves for us, my dear
Can't pretend that I was perfect, leavin' you in fear
Oh, man, what a world, the things I hear
If I could act on my revenge, then, oh, would I?
Some kill, some steal, some break your heart
And you thought that I would let it go and let you walk
Broken hearts break bones, so break up fast
And I don't wanna let it go, so in my grave I'll rot

In my grave, I'll rot
In my grave, I'll rot
In my grave, I'll rot-ot-ot
In my grave, I'll rot
In my grave, I'll rot-ot-ot
In my grave, I'll rot

In my grave, I'll rot
I'll rot, I'll rot, I'll rot
Is my pain your freedom?
Is all of my pain your freedom?
Enjoy",https://genius.com/Xxxtentacion-revenge-lyrics
?changes,? (Question Mark),2018,"Mmm, baby, I don't understand this
You're changing, I can't stand it
My heart can't take this damage
And the way I feel, can't stand it
Mmm, baby, I don't understand this
You're changing, I can't stand it
My heart can't take this damage
And the way I feel, can't stand it
Mmm, baby, I don't understand it

Girl, you're makin' it hard for me
Girl, you're makin' it hard for me
Girl, you're makin' it hard for me
Mmm, ohh
Girl, you're makin' it hard for me
Girl, you're makin' it hard for me
Girl, you're makin' it hard for me

Mmm, baby, I don't understand this
You're changing, I can't stand it
My heart can't take this damage
And the way I feel, can't stand it
Mmm, baby, I don't understand this
You're changing, I can't stand it
My heart can't take this damage
And the way I feel, can't stand it
Mmm, baby, I don't understand this

You're changing, I can't stand it
My heart can't take this damage
And the way I feel, can't stand it
Mmm, baby, I don't understand it",https://genius.com/Xxxtentacion-changes-lyrics
Everybody Dies in Their Nightmares,17,2017,"Ooh, ahh, ahh, ahh
Don't go, don't go to sleep
Don't go, stay up and

Tired of feelin' like I'm trapped in my damn mind
Tired of feelin' like I'm wrapped in a damn lie
Tired of feelin' like my life is a damn game
Nigga really wanna die in the night time

Only time I feel pain, when I'm feelin' love
That's why it's tatted on my face that I'm damn numb
Only tell you 'bout my mind when I'm all alone
That's why I'm never really 'lone in the night time
Change hoes like clothes, I can't get attached
'Cause these hoes fire starters like lit matches
I've been feelin' really lost, duckin' all attachments
I don't really go outside 'cause I hate traffic
I don't wanna go outside, get caught in traffic, traffic

Ooh, ahh, ahh, ahh
Don't go, don't go to sleep
Don't go, stay up and

Tired of feelin' like I'm trapped in my damn mind
Tired of feelin' like I'm wrapped in a damn lie
Tired of feelin' like my life is a damn game
Nigga really wanna die in the night time
Tired of feelin' like I'm trapped in my damn mind
Tired of feelin' like I'm wrapped in a damn lie
Tired of feelin' like my life is a damn game
Nigga really wanna die in the night time
Tired of feelin' like I'm trapped in my damn mind
Tired of feelin' like I'm wrapped in a damn lie
Tired of feelin' like my life is a damn game
Nigga really wanna die in the night time
Nigga really wanna die in the night time
Nigga really wanna die in the night time
Nigga really wanna die in the night time, uh
Nigga really wanna die in the night time, uh
Nigga really wanna die in the night time

Don't go to sleep
Don't go, stay up with me
Don't go, don't go to sleep
Don't go, stay up and don't go to sleep
Ooooahahh
Don't go, don't go to sleep
Don't go, stay up and don't",https://genius.com/Xxxtentacion-everybody-dies-in-their-nightmares-lyrics
Moonlight,? (Question Mark),2018,"Yeah

Spotlight, uh, moonlight, uh
Nigga, why you trippin'? Get your mood right, uh
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, moonlight
Nigga, why you trippin'? Get your mood right
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, uh, moonlight
Nigga, why you trippin'? Get your mood right, uh
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, moonlight
Nigga, why you trippin'? Get your mood right
Shawty look good in the moonlight
All these pussy niggas so bad mind

Feel like I'm destined
I don't need no Smith & Wesson, no
Boy, who you testin'?
Fuck a Scantron, here's your lesson, oh
Knife in intestine
Takin' shots at all your brethren, no
Feel like I'm damaged
Girl I know you fucking planned this

All alone, call my phone, make me feel right
Girl you know when you call, make me feel right
All alone, call my phone, make me feel right
Girl you know when you call, make me feel right

Spotlight, uh, moonlight, uh
Nigga, why you trippin'? Get your mood right, uh
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, moonlight
Nigga, why you trippin'? Get your mood right
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, uh, moonlight
Nigga, why you trippin'? Get your mood right, uh
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, moonlight
Nigga, why you trippin'? Get your mood right
Shawty look good in the moonlight
All these pussy niggas so bad mind",https://genius.com/Xxxtentacion-moonlight-lyrics
"I spoke to the devil in miami, he said everything would be fine",ItWasntEnough,2016,"It will all be over soon

And I'm always where the
Sun don't shine
, 
the tears don't show
Won't hurt me now 'cause heart's been broke
I hate myself, but it won't show
I constantly lose all my remorse
And it's 10 for the wolf and three for the shepherd
And it's one for the sheep who led by your leopard
Often gave his perception as a handle of weapon
Took a bite of your apple, give me all you can offer
Now I'm trapped in a changing maze, setting my soul ablaze
Couldn't control the pace, where is this going?
Hey, heartless is recklessness
, 
it's word of a pacifist
To word of a masochist, I'm off of the map
My Lord, I spoke to a Baphomet, he said he would save me
If I gave him one thing he needed, ""What is this thing?"", I pleaded
Boy, it's the key to even
Yeah

And as I spoke, my fangs were shown
Taken aback, he smiles and tells me
""What you crave will soon be yours
But what I crave is already mine""
Anima vestra
Anima
Anima vestra
Anima",https://genius.com/Xxxtentacion-i-spoke-to-the-devil-in-miami-he-said-everything-would-be-fine-lyrics
Hope,? (Question Mark),2018,"Yeah
Rest in peace to all the kids that lost their lives in the Parkland shooting, this song is dedicated to you

Okay, she keep callin, she keep callin' every single night
Day and night, on my mind, please don't kill the vibe
All alone, swear to God, I be in my mind
Swear I wanna die, yeah, when you cross my
Said I wanna die, yuh, no, I'm not alright, yuh
I might start a riot, yuh, I'm so fuckin' tired,
 yuh
So what's up? What you say? Feelin' good, I'm feelin' great
Tired of the fuckin' hate, stackin' cheese all on my plate

So outside my misery, I think I'll find
A way of envisioning a better life
For the rest of us, the rest of us
There's hope for the rest of us, the rest of us

Okay, she keep callin', she keep callin' every single night
Day and night, on my mind, please don't kill the vibe
Oh no, I swear to God, I be in my mind
Swear I wanna die, yeah, when you cross my
Said I wanna die, yuh, no, I'm not alright, yuh
I might start a riot, yuh, I'm so fuckin' tired, yuh
So what's up? What you say? Feelin' good, I'm feelin' great
Tired of the fuckin' hate, stackin' cheese all on my plate",https://genius.com/Xxxtentacion-hope-lyrics
?the remedy for a broken heart (why am I so in love),? (Question Mark),2018,"Why am I so in love?
Why am I so in love?
Why am I so in love?
I don't know why

Steady tryin' to maintain
Same things that'll blow a bitch mind frame
My brain can't fathom what the hate say
He say, she say, how 'bout me say?
Get the Vis-a, headed to the islands A-S-A-P
What's that on my shawty wrist? That's a AP
I'm the type to save a bitch, C-A-P-E
Feelin' like ET, flyin' out of the Addy
Fuckin' on shawty, she baddie, casual convo then at it
I mean I'm better than better, maybe I'm lyin'
I'm sadder than most of y'all with the money and the freedom, nigga
What is money really worth if it ain't love?
I'ma find a perfect balance, it's gon' take time
I heard shawty still in love through the grapevine
Heard shawty still in love through the grapevine
Heard shawty in love through the grapevine

Mix a little bit of weed with a little bit of cash
With a little bit of this, with a little bit of that
We gon' be al-, we gon' be al- (right)
We gon' be al- (right) we gon' be al-
Mix a little bit of weed with a little bit of cash
With a little bit of this, with a little bit of that
We gon' be al-, we gon' be alright
We gon' be al- (right) we gon' be al-
Mix a little bit of weed with a little bit of cash
With a little bit of this, with a little bit of that
We gon' be al-, we gon' be al (right)
We gon' be alright, we gon' be al-
Mix a little bit of weed with a little bit of cash
With a little bit of this, with a little bit of that
We gon' be al- (right) we gon' be al-
We gon' be al- (right) we gon' be al-

Why am I so in love?
I don't know why
Why am I so in love?
I don't know why

She said I, oh, I, am fallin' for you, fallin' for you
I, oh, I, am fallin' for you, fallin' for you
I, oh, I, am fallin' for you, fallin' for you
I, oh, I, am fallin' for you, fallin' for you

Why am I so in love?
Why am I so in love?
Why am I so in love?
I don't know why
Why am I so in love?
Why am I so in love?
Why am I so in love?
I don't know why",https://genius.com/Xxxtentacion-the-remedy-for-a-broken-heart-why-am-i-so-in-love-lyrics
BAD!,SKINS,2018,"Yeah

Shawty, heard you bad... word? So profane
Somethin' like a bad, word, want your love
Call me when you can, girl
Goin' up, goin' down, in and out, turn around
Shawty, heard you bad... word? So profane
Somethin' like a bad, word, want your love
Call me when you can, girl
Goin' up, goin' down, in and out, turn around
Love you the way you movin' now

I might be insane, yeah
But I love the pain, yeah
Feel it in the brain, yeah-ahh
Realize she just want me hit it right
'Cause I get 'em goin' right

Shawty, heard you bad... word? So profane
Somethin' like a bad, word, want your love
Call me when you can, girl
Goin' up, goin' down, in and out, turn around
Shawty, heard you bad... word? So profane
Somethin' like a bad, word, want your love
Call me when you can, girl
Goin' up, goin' down, in and out, turn around
Love you the way you movin' now",https://genius.com/Xxxtentacion-bad-lyrics
