title,album,year,lyrics,urls
Wait (The Whisper Song),U.S.A. - United State of Atlanta,2005.0,"Hey how you doin' lil' mama let me whisper in ya ear
Tell ya somethin' that ya might like to hear
Got a sexy ass body and ya ass look soft
Mind if I touch it to see if it's soft
Nah, I’m just playin' ‘less you say I can
And I'm known to be a real nasty man
And they say a closed mouth don't get fed
So I don't mind askin' for head
You heard what I said, we need to make our way to the bed
You can start using your head
You like to fuck, have ya legs open all in the buck
Toot it up, slappin' ass, gurl the sex get rough
Switch position and let the dick get down to business
So you can see what you been missing
You might had some, but you never had none like this
Just wait til' you see my dick (Oooooooo!!!)

Ayy, bitch, wait til' you see my dick
Wait til' you see my dick
Ayy, bitch, wait til' you see my dick
I'ma beat that pussy up
Ayy, bitch, wait til' you see my dick
Wait til' you see my dick
Hey bitch, wait til' you see my dick
I'ma beat that pussy up
Like B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up (Oooooooo!!!)

You fine, but I ain't gon' sweat you
See, I wanna fuck, tell me what's up
Walk around the club with your thumb in your mouth
Put my dick in, take your thumb out
That might be a lil' kosher to deal wit
Wet fat hoes, they don't spill shit
I keep a ho hot when I'm puttin' in work
You wanna skeet-skeet, you 'bout to get your feelings hurt
'Cause I beat that cat with a dog
And knock the walls off a broad til' she squall
Like (Ooooooooo!!!) Yeah, it's on like that
But it depend on the swing of the baseball bat
Fuck the bitch on the counter and make the plates fall back
On the floor, she ain't stealing 'cause she nut so they crack
Crack, crack
Fuck that, bend over, I'ma give you a smack, bap
(Ooooooooo!!!)

Ayy, bitch, wait til' you see my dick
Wait til' you see my dick
Ayy, bitch, wait til' you see my dick
I'ma beat that pussy up
Ayy, bitch, wait til' you see my dick
Wait til' you see my dick
Hey bitch, wait til' you see my dick
I'ma beat that pussy up
Like B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up (Oooooooo!!!)",https://genius.com/Ying-yang-twins-wait-the-whisper-song-lyrics
Salt Shaker,Me and My Brother,2003.0,"Shawty crunk on the floor wide open
Skeet so much they call her Billy Ocean
Roll like an 18-wheeler
That ho fine, but this ho a killer
She's leaking! She's soaking wet
She leaking! Soaking wet
Shake it like a salt shaker (shake it like a salt shaker)
Shake it like a salt shaker (shake it like a salt shaker)

P-Popping till you percolate
First booty on duty, no time to wait
Make it work, with your wet t-shirt
Bitch you gotta shake it till your calf muscle hurt
Say the heels on your feet, strap around your ankles
Jegga jegga jegga
Call that bitch Bojangles
Juicy like fruit or douche like coup Deville
Lucy get loose on the goose for real
Five dollars get your ass a table dance
If you got 10 then bring a friend
Ho shake your ass till the song end
If you ain't wit' it, well go on, then!
We ain't no boys, we grown men
If you ain't gonna dance, well don't then!
Why you wanna waste a nigga's song, then?
Sittin' your ass down doing nothing?

Shawty crunk on the floor wide open
Skeet so much they call her Billy Ocean
Roll like an 18-wheeler
That ho fine, but this ho killer
She's leaking! She's soaking wet
She leaking! Soaking wet
Shake it like a salt shaker (shake it like a salt shaker)
Shake it like a salt shaker (shake it like a salt shaker)

Face the wall shawty, put your hands on it
Bounce that ass up & down; make a nigga want it
Face the wall shawty, put your hands on it
Bounce that ass up & down; make a nigga want it
Roll that ass round & round like a motherfucking wheel
Shake that shit, this ain't no motherfuckin drill!
Roll that ass round & round like a motherfucking wheel
Shake that shit this ain't no motherfucking drill!
Get crunk with, get loose with it
Like Short said: let Bruce Bruce hit it!
Get crunk with it, get loose with it
Like Short said: let Bruce Bruce hit it
Shake that ass real fast then stop
Shake that ass real fast then stop
Shake that ass real fast then drop
Shake that ass real fast then drop

Shawty crunk on the floor wide open
Skeet so much they call her Billy Ocean
Roll like an 18-wheeler
That ho fine, but this ho a killer
She's leaking! She's soaking wet
She leaking! Soaking wet
Shake it like a salt shaker (shake it like a salt shaker)
Shake it like a salt shaker (shake it like a salt shaker)

Shake it like a dollar, 5, or 10
But what would you do for a twenty twen?
Get on the stage shake that ass, then
Get on the pole do a backbend
I like that! Do it again!
Here's another 10 bitch, do it again
Work it like a game that you playing to win
Make that pussy fart for the Ying Yang Twins
16 bitches in thongs in 1 club
The home of the thick, redbones and big butts
Game spittin' bitches splitting all on the floor
Bonafide, can't deny it, certified pro
On the pole upside down (is she for real?)
69ed plenty of times to pay her bills
By day she's a clerk, by night she turn stripper
You're not even dating
You just trying so you can tip her!

Shawty crunk on the floor wide open
Skeet so much they call her Billy Ocean
Roll like an 18-wheeler
That ho fine, but this ho a killer
She's leaking! She's soaking wet
She leaking! Soaking wet
Shake it like a salt shaker (shake it like a salt shaker)
Shake it like a salt shaker (shake it like a salt shaker)",https://genius.com/Ying-yang-twins-salt-shaker-lyrics
Say I Yi Yi,Alley - The Return Of The Ying Yang Twins,2002.0,"She got her hands all on her knees, and then her bows on her thigh
She like to twerk and that's for certain 'cause I can tell she fi'e
She got me hype, I wanna bite it right now yi, yi
Say, I yi, yi, yi, yi
Oh

Look at shawty snap, make that ass clap
Niggas in the club spendin' dubs when it's phat
Thick and real fine, standin' five-nine
High heels on, right on time
Goddamn. look at shawty, she makin' that ass jiggle
I like the way it wobbledy, wobbledy when it wiggle
Anybody down for my nursery rhyme riddle?
Some of these hoes be for the creamin' in the middle

She shakin' ass and gettin' paid, because she makin' her cheese
She ain't scared to get on the floor to show her ass and titties
If she doin' it quite right, I might just give her fifty
I've be drinkin' Hennessy, so I'm damn near tipsy
I know them hoes in the club, they ain't twerkin' for free
If she dancin' like she should, she'll make her money
I like them freaky ass hoes, twitchin' asses for me
Ah shit, that's it, so I'm spendin' my cheese

She got her hands all on her knees, and then her bows on her thigh
She like to twerk and that's certain 'cause I can tell she fi'e
She got me hype, I wanna bite it right now yi, yi
Say, I yi, yi, yi, yi
She got her hands all on her knees, and then her bows on her thigh
She like to twerk and that's certain 'cause I can tell she fi'e
She got me hype, I wanna bite it right now yi, yi
Say, I yi, yi, yi, yi
Oh

Gentlemen club, let me see ya, I yi, yi
Blue Flame, let me see ya, I yi, yi
Magic City, let me see ya, I yi, yi
Body Tap, let me see ya, I yi, yi
Jazzy T's, let me see ya, I yi, yi
Club Pleasers, let me see ya I yi, yi
School hoes, let me see ya, I yi, yi
And if you ain't twerkin', bitch, bye yi yi

Shawty, let me see ya shake it on the floor, butt-naked
Show-stoppin', pussy-poppin', damn, I like the way you take it
Up and down, side to side, round and round, touch the ground
There you go, now you know, how you gotta make your cash flow
Put them poles, touch them toes, let me see that ass roll
All in the booty club, shawty shake it for the dub
High as a kite, so I might stick your ass a lil' somethin'
Make that pussy pull a blunt

She got her hands all on her knees, and then her bows on her thigh
She like to twerk and that's certain 'cause I can tell she fi'e
She got me hype, I wanna bite it right now yi, yi
Say, I yi, yi, yi, yi
She got her hands all on her knees, and then her bows on her thigh
She like to twerk and that's certain 'cause I can tell she fi'e
She got me hype, I wanna bite it right now yi, yi
Say, I yi, yi, yi, yi
Oh

Hoes shakin' ass like a real freak
Tryin' to get the motherfuckin' ends meat
Don't be tryin' to motherfuckin' tease me
'Cause I'm 'bout tipped on the Hennessy
But I still give you a dub, doe
But you gotta shake that ass, ho
Work real hard for the cash flow
Bring yo' ass to the dance flow

One time for them bitches at that gentlemen's club
Them bitches shakin', ain't no fakin', and they came for the dubs
Them niggas hatin' steady, waitin', so we can't come back
I'm on the track about to snap, while she work that cat
Pussy poppin', shawty droppin', say she gon' get low
She an average every day government cheese ho
Fuck them niggas, who dem niggas that be hatin' on the guys
They in the club with them thugs screamin', I yi, yi

She got her hands all on her knees, and then her bows on her thigh
She like to twerk and that's certain 'cause I can tell she fi'e
She got me hype, I wanna bite it right now yi, yi
Say, I yi, yi, yi, yi
She got her hands all on her knees, and then her bows on her thigh
She like to twerk and that's certain 'cause I can tell she fi'e
She got me hype, I wanna bite it right now yi, yi
Say, I yi, yi, yi, yi
She got her hands all on her knees, and then her bows on her thigh
She like to twerk and that's certain 'cause I can tell she fi'e
She got me hype, I wanna bite it right now yi, yi
Say, I yi, yi, yi, yi
Oh",https://genius.com/Ying-yang-twins-say-i-yi-yi-lyrics
Get low,Ying Yang Forever,UnKnown,"Lil Jon feat. Ying Yang Twins

(Ying Yang Twins: D-Roc and Kaine)
3, 6, 9 damn she fine hopin she can sock it to me one mo time
Get low, Get low 3X
To the window, to the wall (to dat wall)
Till the sweat drop down my balls (MY BALLS)
To all these bitches crawl (crawl)
To all skeet skeet motherfucker (motherfucker!) all skeet skeet got damn (Got damn)
To all skeet skeet motherfucker (motherfucker!) all skeet skeet got damn (Got damn)
(Kaine)
Shortie crunk so fresh so clean can she fuck that
Question been harassing me in the mind this bitch is fine
I done came to the club about 50 11 times now can I play with yo
Pantie line the club owner said I need to calm down security guard go to sweating
Me now nigga drunk then a motherfucker threaten me now
(D-Roc)
She getting crunk in the club I mean she work
Then I like to see the female twerking taking the clothes off BUCKEY naked
ATL. Hoe don't disrepect it
Pa pop yo pussy like this cause yin yang twins in this b i itch
Lil Jon and the Eastside boyz wit me and we all like to see Ass and tities
Now bring yo ass over here hoe and let me see you get low if you want this Thug
Now take it to the floor (to the floor) and if yo ass wanta act you can keep yo ass where you at

(Lil Jon & The East Side Boyz)
Let me see you get low you scared, you scared
Drop dat ass to the floor you scared, you scared
Let me see you get low you scared, you scared
Drop dat ass to the floor you scared, you scared
Drop dat ass ya shake it fast ya
Pop dat ass to the left and the right ya
Drop dat ass ya shake it fast ya
Pop dat ass to the left and the right ya
Now back back back it up
A back back back it up
A back back back it up
A back back back it up
Now stop (O) then wiggle wit it
Stop (O) then wiggle wit it yea
Stop (O) then wiggle wit it yea
Stop (O) then wiggle wit it wiggle wit it

(Ying Yang Twins: D-Roc and Kaine)
Now give me my doe back and go get ya friend
Stupid bitch standing there while I'm drinking my hen
Steady looking at me Still asking questions
Times up nigga pass me another contestant
Hoe move to the left if you ain't bout 50
Done talk through 3 or 4 songs already
Looking at a nigga with yo palm out bitch I ain't even seen you dance
Twerk something baby work something baby
Pop yo pussy on the pole do yo thang baby
Slide down dat bitch
A little bit then stop
Get back on the floor catch yo balance then drop
Now bring it back up clap yo ass like hands
I just wanna see yo ass dirty dance yin yang we did done again
And put it on the map like annnn

(Lil Jon & The East Side Boyz)
Got damn (Got damn) ya ya'll twerking a little bit ladies
But ya got to twerk a little bit harder then dat
Now right now I need all the ladies dat know they look good tonite
(where my sexy ladies) we want ya'll to do this shit like this
Bend over to the front touch toes back dat ass up and down and get low (get low)
Bend over to the front touch toes back dat ass up and down and get low (get low)",https://genius.com/Ying-yang-twins-get-low-lyrics
Pull My Hair,U.S.A. - United State of Atlanta,2005.0,"Hey you
You know you been talking a lot of shit
Whispering in my ear
Making me feel all, hot and bothered and shit
Making a mother fucker horny
You say you can fuck? Prove it

Look bitch
You done talked a whole lot of shit
But wait 'til you see my dick
I ain't really for the talking game
You done came in the room and started handling me things
First off with brain and I'm a beat the pussy up
Hit it from the back and beat the pussy up
Girl why you fronting
Doing all that running
Be your ass still
Long dick coming
Now ride on the dick like you were dancing in the club
You really love attention, so show them some love
Now come up slow and just ride the head
Now drop down fast, put it all in it
Now turn your ass around an let me hit it from behind ya
Put big dick inside ya
I'm a hit it from the back while I'm pulling your hair
You climbing up the wall while I'm pulling your hair
Getting freaky than a mother fucker sweating
I'm all on you
You all on me
Fucking like dogs
Me and shorty off of the walls
And I like it when she play with the balls
Shorty ain't holding nothing back at all
Ain't scared to put the mouth on the dick
She swallowed it!
And she like it when a nigga be pulling her hair
Talking nasty to her ass while I'm pulling her hair

Now that I got you in the bed, I'm gonna pull yo hair
Snatch yo ass up by the head, I'm gonna pull yo hair
Pull my hair (pull it hard) Pull my hair (pull it tight)
Pull my hair (come on baby) Pull my hair {*girl moans*}
Fuck me daddy, spank me daddy
Fuck me daddy, spank me daddy
Fuck me daddy, spank me daddy
Fuck me shit!

Mmmmm
You like this, You wanna see what I have?

Hey bitch, I'm talking to you
(So tell me what you want me to do)
{*clears throat*}
Look at here {*girl moans*} drop down on all fours like a dog
Now I'm looking at your ass 'fore I hit it
That pussy from the back I'm a get it
I'm walking over to ya with the rubber (oooh)
Your ass in trouble (Is it up high enough?)
I done caught your bluff
Fuck you until you cry {*girl moans*}
You said I beat that pussy from back so much that I hurt yo side
Yo ass should have been built for the war (yeah) Fuck it!
And if you don't want to wear your tail
You need to put it in your ass and tuck it
I whispered, just to get you in the bed
And now I'm fixing to pull your hair on your head (pull it)
Shouldn't've fucked with me, should you?
If your ass could've ran you would've
But you put that there a side
That's how my dick got between your thighs
Now that's all right
I got a ten foot pole
That'll go in your hole
Take yo soul
Make nut come out yo nose
Fall all on yo clothes",https://genius.com/Ying-yang-twins-pull-my-hair-lyrics
Bedroom Boom,U.S.A. - United State of Atlanta,2005.0,"Listen baby, sometimes I know I be playin
But set aside the bullshit, I'mma grown ass man
Whats to understand that I love to fuck
Can I hit it from the back or put ya ass in a buck?
Screamin Shawty what's up, are we fuckin' are what
We ain't got nothin to discuss I'm simply tryin to bust nuts
The temperatures risin', We reachin the bed
Ya eyes begin to roll in the back of ya head

Bangin' Headboards, The loud noise, The sound of you screamin
Turn me on cus it sound like you singin'
Sayin my name constantly, Sayin' daddy keep fuckin me
Get it how you want it long as you keep lovin' me
Put ya thing down
Boom the bedroom do it right
And it jus might be a long night, Alright
Now be Quiet you don't want them to hear us outside
Let me get on bottom while you ride

Bedroom Boom, (Thats whats goin down tonight)
Bedroom Boom, (Let me do ya body right)
My bed will be boomin' for you... (boom boom)
Bedroom boom, (All between the sheets baby)
Bedroom boom, (I wanna drive you crazy)
My bed will be boomin for you

It feels like heaven when were off in this room together
I Can hear the music playin, then I hear ya voice sayin
""Ohh daddy now jus give it to me right there.""
""Ohh baby, Take a handfull of my hair.""
Cus you like it rough (rough) can't get enough (nough)
Cus I'm the type of nigga thats gon fill you up, like a cup
And make this love thing overflow
I won't stop until ya body's tellin me so
Sheets gettin' sticky from the strawberries and whipped cream
If these walls could talk they would say this is one hell of a scene
Now you movin ya body jus like a gymnist
From the bed to the dresser, All type a' crazy shit
Case is tellin me stories, Body's hot and so horny
Hittin it from the rear, Wanna wisper somethin in yo ear
""I'm gonna love you all night... I promise.""

Bedroom boom, (Bedroom boom!!)
Bedroom boom, (I can hear it baby!)
My bed will be boomin' for you, (We'll be Fuckin all night, yes..)
Bedroom boom, (Hittin yo body!)
Bedroom boom, (Like boom boom boom!)
My bed will be boomin' for you
(My bed will be shakin' til' the screws come loose, while I'm off in it)

Boom goes the bedroom, Behind closed doors
And the bedroom depends on how far things go
You move slow or move fast when you off in that ass
But you hittin' that mothafucker like everytime yo last
Spread yo legs like a bald eagle, Work that back
Move like a snake when you do dat dat
Now be quiet, You don't want them to hear us outside
Let me get on bottom while you ride

You hotter then the eye on the stove
(Yea) Temptation got ya outta control
(Mmm Hmmm) You tremblin' like you out in the cold
You screamin' you can't take it no more
Beat the pussy so bad we done fell on the flo (Can you believe it?)
Throw our clothes in the kitchen and in the garage
All this love is waitin for you like I'm El DeBarge
See my dick stay hard. (Oh) And its gon stay cocked
(Yes) If a bitch fuck wit me she gettin her cherry popped

Bedroom boom, (This is serious business, Baby)
Bedroom boom, (What goes on in this room, So what baby..)
My bed will be boomin' for you, (Say Boom! boom!)
Bedroom boom, Bedroom boom, (And it feels amazing!)",https://genius.com/Ying-yang-twins-bedroom-boom-lyrics
Badd,U.S.A. - United State of Atlanta,2006.0,"Collipark
HAHN!
Chea! (Yo)
Mike Jones! Who? Mike Jones, Jones!
HANH!
Holla at cha boy, baby (Yeah)
You killed it on this one, man (Uh-huh)
Chea!
We got Ying Yang Twins and Mike Jones in the house tonight
Whoa, whoa
(All my dime pieces)
Collipark and Swishahouse in this bitch (That's right)
Check it out
Yo, yo, let's go

I'm lookin' for a dime, that's top of the line
Cute face, slim waist, with a big behind
I need a dime, that's top of the line
Cute face, slim waist, with a big behind (Hey shawty)
You want this money then you gotta be a badd bitch
Shake that ass for the tip if you a badd bitch
Drop it down to the floor if you a badd bitch
Aw nah, she ain't a ho, she just a badd bitch

I'm in the club, lookin' for a badd bitch
In the parking lot, lookin' for a badd bitch
Everywhere I go I'm tryin' to find that badd bitch
You know me, I gotta keep me a badd bitch
A freak in the mornin', freak in the evenin'
I'm looking for a freak when I'm done, block bleedin'
Now take me to a house, tease me, then please me
And tell all her friends how the dick made her sleepy
Believe me, when I'm up in it I'm beatin' it
Givin' y'all that Mike Jones treatment
I could tell by the way she walk that she got it
Body so deadly, you can tell when she drop it
I'm either gonna hit her or I'ma be assed out
I've seen her walk by me, damn near passed out
Then crept up behind her, told her it was time to
Let a playa like me get in that vagina

I'm lookin' for a dime, that's top of the line
Cute face, slim waist, with a big behind
I need a dime, that's top of the line
Cute face, slim waist, with a big behind (Hey shawty)
You want this money then you gotta be a badd bitch
Shake that ass for the tip if you a badd bitch
Drop it down to the floor if you a badd bitch
Aw nah, she ain't a ho, she just a badd bitch

She a ghetto ass bitch with some ghetto ass game
In the club where she work and she poppin' that thing
Said the bread keep her fed and the head at the bar
She could barely breathe on a nigga dick and make him cum
Come, one (Come one) Come all (Come all)
Where them hoes like to get bucket ball?
If they can't take off they drawers
Ain't stayin' in there, nigga, naw

I love the way she dance, she look like she fuckin' herself
Shawty do a number just touchin' herself
Freaky ways, she can shake ass for days
Getting kinky in 69 different ways
Jump on stage, she get paid, singled off
You got enough money, she taking her clothes off
Look at that: I tawt I taw a puttycat
I did, I did, I did taw a puttycat

I'm lookin' for a dime, that's top of the line
Cute face, slim waist, with a big behind
I need a dime, that's top of the line
Cute face, slim waist, with a big behind (Hey shawty)
You want this money then you gotta be a badd bitch
Shake that ass for the tip if you a badd bitch
Drop it down to the floor if you a badd bitch
Aw nah, she ain't a ho, she just a badd bitch

Bitch move, like you got somethin' to prove
Keep runnin' your dick-sucker, ho, you gon' lose
I don't wanna hear about your motherfuckin' blues
I'd rather see your ass clap-clap in them shoes
Like, bam, bam, bam, bam
Wham, wham (I tawt I taw a puttycat)

Shawty gettin' crunk, love gettin' low
Love it when she take it to the flo', make that booty roll
Take her clothes off for cheese, love smokin' weed
And she getting hella freaky on the Ecstasy
Do her dance for me, song after song
Shorty won't stop, she goes all night long
Now that's a girl who know what she want in life
She a schoolgirl by day and a stripper by night

I'm lookin' for a dime, that's top of the line
Cute face, slim waist, with a big behind
I need a dime, that's top of the line
Cute face, slim waist, with a big behind (Hey shawty)
You want this money then you gotta be a badd bitch
Shake that ass for the tip if you a badd bitch
Drop it down to the floor if you a badd bitch
Aw nah, she ain't a ho, she just a badd bitch",https://genius.com/Ying-yang-twins-badd-lyrics
Shake,U.S.A. - United State of Atlanta,2005.0,"Shake shake just shake shake
Just shake shake
Just shake chica shake shake
Shake shake just shake shake
Just shake shake
Just shake chica shake shake
Mentirosa
Mentirosa
Mentirosa
Mentirosa
Dale juevo
Dale juevo

Up in the club, fuck VIP
P to the I...I to the T
Ying to the Yang up in this thang
D to the roc, my nigga Kaine
Up in the cut, pouring it up
Rolling it up, holding it up
Ain't her ass swollen or what?
Yes sir, yes sir
Oh we gonna take it back like thieves and foes
Nasty as I wanna be
That makes me 2 live for your crew
Ho get down get low
I'm crossin these mammas like tic-tac-toe
Let's ride let's go
Get loose get crunk get drunk get blown
That's right, let's roll
MIA ATL
 fo' sho

Shake shake just shake shake
Just shake shake
Just shake chica shake shake
Shake shake just shake shake
Just shake shake
Just shake chica shake shake
Mentirosa
Mentirosa
Mentirosa
Mentirosa
Dale juevo
Dale juevo

That ho's fine but but but but this one's a killa
That ho's fine but but but but this one's a killa
That ho's fine but but but but this one's a killa
That ho's fine but but but but this one's a killa

All the lil mamas all around the world
Shake that ass if you a nasty girl
""Back That Azz Up,"" says Juvenile
Show a nigga some titties like girls gone wild
Take off, strip your clothes, I wanna see you in the nude
You can keep on your high heel shoes
So follow me down the yellow brick road
Where niggas go to see naked hoes
Shake that shit, bitch
And be off in the club with a hard ass dick
Then drop like this bitch
If you wanna make the money shawty work that shit
Put a hump in your back and lick it raw
To a 3 point stance, with yo flexible ass
You must be on that Kanye workout plan
Like head, shoulders, knees, hoes

Shake shake just shake shake
Just shake shake
Just shake chica shake shake
Shake shake just shake shake
Just shake shake
Just shake chica shake shake
Mentirosa
Mentirosa
Mentirosa
Mentirosa
Dale juevo
Dale juevo

That ho's fine but but but but this one's a killa
That ho's fine but but but but this one's a killa
That ho's fine but but but but this one's a killa
That ho's fine but but but but this one's a killa

Take 'em out in cruise
Take 'em out all dressed
Is the realest true niggas in the ATL
Yeah we break it down betta shake a booty ho
And them hoes and the girl with the real tight clothes
One time for the gang with the Ying Yang Twins
We already know we off the reel
Dont tolerate that talkin
Bitch you can get the walkin
Patrollers is where I'm groaking
The only way that we are talkin
If your breath smells like mine
Girl don't give a fuck cause you fine
I diss 'em fo I kiss 'em
I pack 'em fo I stack 'em
So while we in the club betta get these girls
Cause on the streets there ain't no action

Shake shake just shake shake
Just shake shake
Just shake chica shake shake
Shake shake just shake shake
Just shake shake
Just shake chica shake shake
Mentirosa
Mentirosa
Mentirosa
Mentirosa
Dale juevo
Dale juevo

That ho's fine but but but but this one's a killa
That ho's fine but but but but this one's a killa
That ho's fine but but but but this one's a killa
That ho's fine but but but but this one's a killa",https://genius.com/Ying-yang-twins-shake-lyrics
Halftime (Stand Up & Get Crunk),My Brother & Me,UnKnown,"Oh!
Okay, okay, okay, Ahhh!
Hey I'm trying to get crunk
See 'em

Tell 'em how we gonna come (CRUNK)
Tell 'em why they don't want none (CRUNK)
Tell 'em why they better run (CRUNK)
CRUNK CRUNK crunk
Stand up and get crunk (CRUNK)
Stand up and get crunk (CRUNK)

Here we come to get you (you better get crunk)
Here we come to get you (a little bit more crunk)
Here we come to get you (you better get crunk)
Here we come to get you (a little bit more crunk)

Crank it up, thats what we gonna do
Crank you up, me and my brother we came to get CRUNK
We won't stop (nope) we keep on coming cause
We won't quit, thats why we keep bringin hits

We droppin' everything you poppin'
From the Ying Yang Twins again
To make your adrenaline, pump right on through your skin
And make that crunk again (crunk)
In Two thou. they was'nt playin' our deal
But we came on back, cause we needed to win
We jumped out like a jack and a russel
Like I added with a fag doing sack in my sock



Okay Okay Okay Okay
Ladies and Gentlemen
If you haven't had enough
You better hide yo' lunch
Cause we bout to eat that ass up

CRUNK CRUNK CRUNK CRUNK
CRUNK CRUNK CRUNK CRUNK
Eat they ass up (Oh!) x8
Okay Okay Okay Okay
Stand up and get crunk
Stand up and get crunk


People all over the world jump
Everybody in the bleachers get crunk
Listen here buddy this ain't what you want
Blue fifty-two, break, duck
DY go left while I'm fakin' the K
When I'm done you gonna remember my name
It's H-O-M-E Bwoi
Look I'm Homebwoi
Now that I'm up in my zone boy
Pack up I'm sendin' you home boy
Take you up outta the dome boy
If you did'nt know you should of known boy
Should've thought about changin your tone boy
Better not let us catch you alone boy
Crack heads like we made of stone boy
When we come out you better be gone boy",https://genius.com/Ying-yang-twins-halftime-stand-up-and-get-crunk-lyrics
Naggin’,Me and My Brother,2003,"Women always talkin' about what men do
We don't never talk about what women do...at least 'til now
Come on

Every now and then you get mad (Huh)
Sometime I make you sad (Huh)
Make you want to say ""kiss my ass"" (Huh)
I'm tired of listenin' to you naggin'
""Wah-wah-wah-wah-wah""
She talking to me like I'm dumb
I should have known
I should have left that bitch alone
But now I'm stuck with
""Wah-wah-wah-wah-wah""
She talking to me like I'm dumb
I should have known (Should have known)
I should have left that bitch alone
But now I'm stuck with (NAGGIN)

This for my niggas who be fuckin' 'round with them feelings
And you get your heart caught up in a mess
'Cause you lust just to fuck what's up her dress
And never paid attention
'Cause you didn't think the girl would start trippin'
Shawty flip the script
Start saying all type of shit out of her lips
I'ma tell you what I can't stand
When a woman play the role of a man
Talkin' to a nigga like you got to hold his hand
Treat you like a spare, like you lack to understand
I know you know that I ain't gon' go for this jaw jackin' all the time
Talkin' to me out of line, broad, you done lost your mind
You gon' fuck round and get me some time

Every now and then you get mad (HUH)
Sometime I make you sad (HUH)
Make you want to say ""kiss my ass"" (HUH)
I'm tired of listenin' to you naggin'
""Wah-wah-wah-wah-wah""
She talking to me like I'm dumb
I should have known
I should have left that bitch alone
But now I'm stuck with
""Wah-wah-wah-wah-wah""
She talking to me like I'm dumb
I should have known (Should have known)
I should have left that bitch alone
But now I'm stuck with (NAGGIN)

I need a lil more grip a lil less lip
Before I pack my bag on you ass and dip
At the point of no return and you made it that way
By the shit that you say every motherfuckin' day
Hope you payin' attention, 'cause I gots to mention
Dissin' me in front of your friends
Tryin' to get a lil laugh in, joke crackin'
Then I wanna whoop his ass then
Hide behind your fake ass grin with your fake ass friend
Used to them fake ass men
Really ain't a man but you like how he pretend
I'm gonna keep sippin' my Henn and smokin' my herb
In my ear loud and clear with your naggin' words
The way you talk is absurd, gettin' on my nerves
All in my ear, got me 'bout to hit the curb
(SHUT UP!)

Every now and then you get mad (HUH)
Sometime I make you sad (HUH)
Make you want to say ""kiss my ass"" (HUH)
I'm tired of listenin' to you naggin'
""Wah-wah-wah-wah-wah""
She talking to me like I'm dumb
I should have known
I should have left that bitch alone
But now I'm stuck with
""Wah-wah-wah-wah-wah""
She talking to me like I'm dumb
I should have known (Should have known)
I should have left that bitch alone
But now I'm stuck with (NAGGIN)

One day I got shot by Cupid
In the midst of this, relationship went stupid
We went from talkin' on the phone too long
To nowadays your ass ain't home
You always call, tellin' me you out with your friends
But I find out later on you with your other men
Then, you ain't in it for the dividends
Say you suck and fuck and you ain't gettin' nothin'
That's a damn shame it ended like this
Now I ain't got love for ya, bitch
Shoo fly don't bother me
Will I get back with her? Probably
Then I thought about it, I won't
Do I really want you? I don't
The headache I really don't want
So I'ma leave her alone, 'cause I can do bad on my own
That's why she gone

Every now and then you get mad (Huh)
Sometime I make you sad (Huh)
Make you want to say ""kiss my ass"" (Huh)
I'm tired of listenin' to you naggin'
""Wah-wah-wah-wah-wah""
She talking to me like I'm dumb
I should have known
I should have left that bitch alone
But now I'm stuck with
""Wah-wah-wah-wah-wah""
She talking to me like I'm dumb
I should have known (Should have known)
I should have left that bitch alone
But now I'm stuck with (NAGGIN)

Now, this is not a song disrespecting women
This is a song that Ying Yang made for every man that ever walked God's green earth
'I don't do's' don't amount up to 'I do do's'
But your attitude stink sometimes
So sit on that...HANH!
NAGGIN!",https://genius.com/Ying-yang-twins-naggin-lyrics
