title,album,year,lyrics,urls
Put It In Your Mouth,Aktapuss,1996,"My baby left me
Left me sad and blue
I didn't know what to do...
Without my baby baby baby baby
And then I met his best friend
And he took me to his house
And I said... I said...
(what you said baby)
Here let me tell you what I said

Put it in my mouth
(She said put it in her mouth)
I said my motherfuckin' mouth
(I mean her motherfuckin' mouth)
Put it in my mouth
(She said put it in her mouth)
My motherfuckin mouth
(I mean her motherfuckin' mouth)
Put it in my mouth
(She said put it in her mouth)
My motherfuckin' mouth
(I mean her motherfuckin' mouth)

You wanna go down, why not?
I be like Herbie and Hand-you-a-Cock
And tell you that my name is Ak'
Get on your knees, make like the breeze begin to blow
But don't give me no Ralph Lauren grin
 
if you're not down to go low (deep in my mouth)
I'm all about mouth-fuckin
Only if you down for dick suckin
If not, B.J. and the Bear...keep truckin
And fuck chapsticks
I'm comin ashy as hell, wit chapped dicks
For your chapped ass lips (down in my mouth)
Creamin your teeth like dentists as I'm rubbin them
With an erection like injections, fuck it I be druggin them
Numbing up your tonsils, like Anbesol anesthetic
Cummin down your throat like chloraseptic (take it out my mouth)
No time for apologin.. girlfriend if you..
Swallowin', garglin'
I'm givin' bitches permanent beards
Put your lips here and catch these damn facial hairs
In your mouth

Put it in my mouth
(Put it in your mouth)
I said my motherfuckin' mouth
(I said your motherfuckin' mouth)
And you can just eat me out
(Or I can just eat you out)
You can eat me out
(Yeah, what's that all about)

Well, you can lick it, you can sip it, you can taste it
I'm talkin' every drip-drop, don't you waste it
Baby, slurp it up, it's enough to fill your cup
It's finger-lickin' good
, and I wish a nigga would
Go down kinda slow or even fast
I'm always sprung once I feel your tongue in the crack of my ass
Just eatin' me - nigga
Goin out like that boy you pack such a tasty treat
And you can eat me out

But put it in your mouth
(Put it in your mouth)
I said your motherfuckin' mouth
(I said your motherfuckin' mouth)
And you could just eat me out
You can eat me out

What do ya choose to lick
Pussy or dicks?
People throughout the world
Man it's your pick
What do ya choose to lick
Pussy or dicks?
People throughout the world
Yeah, it's your pick
What do you wanna lick
Pussy or dicks?
People throughout the world
It's your pick

Put it in your mouth
I said your motherfuckin' mouth
Put it in my mouth
Put it in my mouth
Put it in my mouth
I said my motherfuckin' mouth
Just put it in my mouth
My motherfuckin' mouth
And you can just eat me out
In my mouth, put it in my mouth
Baby baby in my mouth
Let me go down
All on yah
Ha ha ha ha ha ha ha",https://genius.com/Akinyele-put-it-in-your-mouth-lyrics
Pussy Makes the World Go Round,Aktapuss,1996,"(Akinyele) (2x)
It's just a typical Akinyele song (2x)
About love
(Akinyele) (3x) (Start of hook)
Pussy it makes the world go round (2x)
You could have a son or a daughter if you fuck me down
Cause pussy makes the world go round
(Akinyele) (4x)
Pussy makes the world go
Pussy makes the world go round round
(End of hook)
(Akinyele)
Ha ha
I know mad guys
Who in love with their wives
Call them pussy cats
Cause they survive getting stabbed
With about 9 lives
For all 9 wives
Went with 5 guys
Lying between your thighs
You realize
This motherfucker siamese
Squinting his when he talk as if he was Chinese
But then he started purring like the Guyanese
Until one day niggas around the way dissed his main squeeze
She came upstairs bitching
Who listen
Niggas infront there feeling was straight dissing
Throwing hints when I'm walking by blowing kisses
He was like what shit skip the ripping
Get the smith and weesun
Add the clip in
When I said started spitting
Even hitting
Motherfuckers who was down with him
Blood everywhere
Until the gay niggas on his team still compare
In the vaseline
Cause they put them in and dissapear
Yo buck buck buck
Pull his dirty ass up
Then seeing the police
Sir-reens flashed up
The adrenaline make them surrender start bagging them up
Bloody vision
Living in prison started grabbing his nuts
Told the cops it's his dick that hey all could suck
He started backing them up
Waving his gat
Like he clapping them up
That's when to g's
Came from behind trees
And robbed that
Instead he loaded and cocked back
He said fuck that
Turn his hat from his front to his back
Laid his index
Like windex and squeezed on the gat
Immediately he started stumbling back
Cause the SWAT team repeatedly laid his ass flat
As he laid on his back
Girl rushed to his side picked him up off the floor put him on her lap
Got blood on her dress
]From the open flesh
Of the bullet wounds left in his chest
Cardiac arrest
She said uh uh don't go
What about little Kada
As she stretched him out on the tar
Tried to give him mouth to mouth CPR
But he just lay there stiff
She grabbed his hand
And placed it about her heart on top of her breast
With blood this is for the love of her sex
This is all for the love of her sex(4x)",https://genius.com/Akinyele-pussy-makes-the-world-go-round-lyrics
Butt Naked,Aktapuss,1996,"(I got a lady that's with me
From Astoria Projects
Y'all must be crazy)

Alright, fuck it, I'm ready
Come on
(Come on)
Looking back in time
Through the corners of my mind
I see you standing there
(Standing theeere...)
Baby, how much I miss you
How much I want to kiss you
Run my fingers through your hair
(Yeah, yeeeah...)

Let's get butt naked and fuck
(What the hell y'all wanna do?)
Forget the party
Let's have a orgee
(What the hell y'all wanna do?) (2x)

I fiend to hear the fly lady singin my shit
My dream's like Martin Luther to be the King of this shit
Makin g's and parlay, plus goin on vacations
Overseas, like them dudes who play for the CBA
You can catch I, on the streets of N.Y
On some caterpillar shit, dressin butter, lookin fly
Money bulgin out my pocket, cause it just can't fit
Movin like outfielders, cause I'm carryin knits
Even with suits on, or boots on
Gees give me the pee for free like a Luke song
Akafella drop dead, holdin dough up in my paws
While y'all make a little bit of bread like croutons
It's on
Let's get butt naked and fuck
(What the hell y'all wanna do?)
Yo, forget the party
Let's have a orgee
(What the hell y'all wanna do?)
All the ladies sing along, sing

We don't have to get butt naked
(Just take it off, just take it off)
But if you wake it, I'mma let you taste it
(Just take it off, just take it off)
We'll never have to get butt naked
(Just take it off, just take it off)
But if you wake it, I'mma let you taste it
So what, so what, so what's the scenario?

As I combine all of my love in you girls
Heel up, wheel up, 
gobble my nuts like squirrels
Powerful impact - boom! - in the pussy
Grabbin, screamin, she starts to push me
But I just kept on lovin
All in a sudden I started comin
Oh my gosh! Oh my gosh!
This girl was hairy like that man Sasqwash
Ugh-ugh-ugh, that's all that we said
Man, ugh, pardon me, ugh - back on the bed
As I turned her over, I said ""I beg your pardon""
Tried to stick in in her butt, the girl kept on fartin
Pfrr-pf-pf-pfrr - like the human beatbox
Pumpin that ass up just like Reebocks
As I turned her over, I said ""I beg your pardon""
Try to put it in her mouth, but the girl kept on maulin
Rrraw, rrraw, like Captain Caveman
My dick on her breast, and her chest just caved in
Let's get butt naked and fuck
(What the hell y'all wanna do?)
Yo, forget the party
Let's have a orgee
(What the hell y'all wanna do?)

We don't have to get butt naked
(Just take it off, just take it off)
But if you wake it, I'mma let you taste it
(Just take it off, just take it off)
We'll never have to get butt naked
(Just take it off, just take it off)
But if you wake it, I'mma let you taste it
Let's get butt naked and fuck
(What the hell y'all wanna do?)
Yo, forget the party
Let's have a orgee
(What the hell y'all wanna do?)",https://genius.com/Akinyele-butt-naked-lyrics
Sex in the City,Aktapuss,1996,"(Akinyele)
It's another one
It'a another one
Hook - Akinyele (IN CAPS) & Christine McLean (lowercase)
I can't wait till one of us cums
TILL ONE US CUMS
Till one of us cums
TILL ONE US CUMS
Till one of us cums
TILL ONE OF US CUMS
(both)
Sex in the city me and you one on one
Let's see who be the first to make the other cum
Sex in the city me and you one on one
Let's see who be the first to make the other cum
(Christine McLean)
I know you like the way I'm workin my shit
I'll be that freak bitch puttin the mind on your dick
Lick a pussy push up I perfected my grip
Just watch me do tricks while you play with my clit
Wish I don't take my pillow
Hope you go down below
I know you like shit like this
(Akinyele)
Ha turn your ass around now
Look at the pillow and bow down
Keep your feet flat on the ground
Now don't make a sound
I swear it won't hurt a bit
Once I insert the dick
Cause it's all in the way we work this shit
It's your hair I pull
Giving you multiple or-gas-ums
Pass me some
Make you cum
More than one
Then I'm done
To my Haagendaas cock magnum
Start raising like rum
Son of a gun hun
There ain't a girl in this world I can't fuck for free
Ever since I dropped my last EP
Now my dick be
In the hole where she pee pee
I might get freaky
Open up my ass cheeks and let her eat me
Hook
(Christine McLean)
Better close your eyes or I'll make you come quick
I want some next shit when my friends take your dick
I could watch (?) make a lesson
Fuck me fuck the rest of them
Shook your leg while you sleep
(Akinyele)
Ha put them up in the anyl
I be liquiding like drano
Arch my back like a rainbow
She came fast I came slow
Lame ho
Same ho
Y'all know how the game go
Bitch talk shit till she get hit by man dingo
Every time I think I'm single
I go out and fuck and mingle
Push up on a girl like ringo
Get her open just like kingo's
I'm shooting the gift just like Kris Kringle
Refilling the penicyllin so when I pee it din't tingle
Ak-ne-zel go out in space fuck around
And make aliens give me head like Sam Cassell
Give a fuck
I could suck
Like vacuum cleaners
My nuts and penis
Make you come like Subpoenas
And ain't no nigga that could come between us
I'm like a A felon he just a misdemeanor
I got a oscar mayer he probably got a wiener
I got bad black bitches he got (?)
I give back shots while he take in like I'm a little wiener
Shit
Hook 3x",https://genius.com/Akinyele-sex-in-the-city-lyrics
Take a Lick,Aktapuss,1996,"* from the forthcoming ""Aktapuss""
Girl(intro):
Who Ak?
Akinyele?
Yeah, he came to London
I took him around and shit
He was nice
I was gonna fuck him, yeah I really was gonna fuck him
But I didn't
I went to fuck him though
I was gonna give him some of this pussy but he started talking some of this
Wild shit
He said...

Oh yes you will...Be lickin my dick toniiiite
:Oh no I motherfucking won't

I was layin in tha bed like 'gimme some head'
She said:'when it come to dat Ak, I'm on you dead'
'I don't suck dills'
I was lookin at that chick like 'bitch ill'
What the fuck's the deal
Do you really feel if you don't begin to kneel you have sex appeal
Well I feel:
Oh yes you will...be lickin my dick toniiiite

My zipper went zip
I put my pants to my hips
She put her thumbs up like the father said ---
I was like 'shit, i dislike her'
She got her thumbs in the air like a hitch hiker
Ready to fight her
But instead I chill
I looked her in tha grill and said
Oh yes you will...be lickin my dick toniiiite 
Oh no I motherfucking won't

Ha, yo
I picked my ?condesending? booker
I put my nuts by your chin so when you look up
I'll be on top of you doin Bobby Brown push-ups
When you give me head lift your toosh up
When I said what I said 'you should have seen when her whole face pushed up'
She said 'huh,what,ill'
Oh yes you will...be lickin my dick toniiiite

No I won't 
Yes I don't 
No I won't 
Yes I don't 
Oh yes you will...be lickin my dick toniiiite


I no I motherfucking won't

You would swear that she want it from the way she kiss my stomach 
I couldn't wait to start cummin from it
Imagine if she doin it like she gettin blunted
You know, French kissin, puttin her tongue on it
And then she stopped
And I was like 'doggone it'
Stop actin scared like my house haunted
Oh yes you will...be lickin my dick toniiiite

I said 'boo, do me and I do you'
She said 'OK, go first, then I do you'
Well I do

And you do

 If this is true 
Oh yes you will...be lickin my dick toniiiite
Oh no I motherfucking won't
Lickin a dick or lickin a clit
If we do it together, we on some 69 shit
Lickin a dick or lickin a clit
I know mad chicks who ACT like they don't lick DICK
Lickin a dick or lickin a clit 
If I had to pick
Oh yes you will...be lickin my dick toniiiite
No I won't 
Yes I don't 
No I won't 
Yes I don't 
No I won't 
Yes I don't 
Oh yes you will...be lickin my dick toniiiite
Oh no I motherfucking won't
Ha
To all my dick suckers in the house..What up?
And all my clit lickers in the house..What up?
To all my dick suckers in the house..What up?
And all my clit lickers in the house..What up?
You know, this is straight up cunalingish type shit 
Oh yes you will...be lickin my dick toniiiite
HaHa",https://genius.com/Akinyele-take-a-lick-lyrics
"Sister, Sister",Aktapuss,1996,"I'll be your friend
Though I love you like my brother
There'll never be another, baby
Hook: , (Tanya Howard)
Sister, Sister (You're like a brother to me)
Sister, Sister (We go back like family)
Sister, Sister (Nigga, I knew you ever since day one)
Sister, Sister (Man, me and you be having mad fun)
(Akinyele)
Yo girls be acting like they my sister
What the fuck
You mess around and get your sister ass
Inscessed up
Talking about you can't buy them like your brother and shit
But we don't got the same father never suck on the same mother's tits
So how you come to this?
Putting lego sticks
On my dick
Cause you cock blockin' and shit
Hook
(Akinyele)
We used to conversate and shit
For a little bit
You told me about the guys you hit
You said I probably lied about the girls
In the world that I said I done hit
But I let it pass
With a simple laugh
Cause it was the beginning
So I stay smiling and grinning
Even when you joke and said my wrinkled sweater reminded you of
Fucking crushed linen (yo, your shirt is wrinkled like crushed linen Ha ha)
Anyway, ha ha ha ha ha
Hard to find that funny
So I said yo bitch would you fuck me for money
Na na na I ain't said that I ain't said that chill chill
This is what I said
Hey listen yo
Every time I try to set it off
You be like no
Quick and call the kid up every time you broke
Talking about some nigga played you out
Slapped you in your mouth
And if I see him you want me to react like pulling on
Risking mafia as I watch some kid's blood spill
Why you run around town talking about (yo nigga I get you killed)
Girl don't get me wrong
I'm not no duck and shit
Before I make moves like I got to at least fuck and shit
Bust a nut and shit
In your gut and shit
Fuck you down
Turn you around
In your butt and shit
Hook
(Akinyele)
This right here
Is for everyone who got an artificial sister
This is just being sung for
This is just being sung for
This is just being sung for
(Tonya Howard & Niguay Fa)
I'll be your friend
Though I love you like my brother
I can never be your lover
(Akinyele)
Yo this song right here is dedicated to
All the girls who want to be some dude's sister
So she can get all the priviliges of being the dudes girl
Without fucking that mother fucker
Know what I'm saying
Hook",https://genius.com/Akinyele-sister-sister-lyrics
Coochie,Aktapuss,1996,"Chorus (4x)
My coochie is soo juuicy, yeah
This right here is for all the girls
Who I used to talk to who didn't amount to be shit in life
You know what im sayin? All the girls who used to call
Their man on me when I was in front of the building
Just tryin' to get their numbers
Try'na put my seed up in 'em, you know..
All the girls who gave me a wrong number
When I just asked them for their fuckin' phone number
Tryin' to call 'em and hook up for a date and all that shit...
All the girls who left me in restaurants eatin'...
Talkin 'bout they gonna use the phone
And left me with the fuckin bill....
HA! It was all a dream, I used to read Playboy magazine
Niggas gettin' their dick licked with whipped cream
Women from all places, no matter what their race is
Mami wanna put punani where your face is
I said ""Ha, Whut?"" Put my face by her trap
Smoke weed, bamboo, lick her in her private spot
Way back before niggas even started smokin' crack
They used to act, proooo black
Remember Brand Nubian, 'One for all'?
Who ever thought Akinyele would get paid for grabbin' his balls
Now I'm in the strip bar, big rap star
Time to get laid, which one of y'all girls wanna get paid?
The lieu..tenant, sit behind windows tinted
Remember when I used to push cars that was rented
Now I cop the drop top, made thier hearts stop
Drive another block , they be like ""yo, that was Ak!""
Huah! I stay away from the A-I-D
Pack condoms like guns cuz thats the way I be
One love to the late great Eazy-E
Larry Flynt, Hugh Heffner, and Ron Jeremy
Huah! I get pussy you know how I do
Call the crib last four numbers, ten-eighty-two
What the fuck??
My coochie is soo juuiicy, yeah (4x)
I can take the girl from the local streets
And take her to Cancun and fuck her on the beach
And Im far from cheap, I make sure all my niggas get laid
Open your legs girl, make some way, Hey-ay!
Around the way they used to diss me, girls never kiss me
Now they writing letters how they miss me
I never thought that hard work could pay off and shit
I was too used to jerkin' off and shit
Now the hunnies play me close, like the butter play the toast
When I'm grabbin 'em, I'll be baggin' them like a Coach
Condos in Queens, head blown for weeks
Feelin' up the cheeks of the 'put it in ya mouth' freaks
Raw sex is what I fear, so I pack condoms when it comes to this here
I hump bitch! A bunch of bitchs grabbed the family jewels
Considered a fool cuz I get more ass than a mule
Stereotype of a perverted nigga misunderstood....and its still all good
Chorus (9x)
Yea this for all the girls when I used to call they house
They see my number on the caller ID
And they never pick up the phone..fuck you...
This for all the girls when I call 'em
They answer their phone like ""Hello"" and when I say
""Its Ak"" they act like their fuckin 'sleep..
Yeah fuck you...
This is dedicated to the Notorious B.I.G
Oh my-my coochie oh its so fuckin' juicy
Talkin bout my coochie oh its fuckin' juicy(8x)",https://genius.com/Akinyele-coochie-lyrics
How Do You Feel,Aktapuss,1996,"Hook - (Christine McLean)
How do you feel now taht you know you cheated on me
Was she as good goody goody good as can be
How do you feel knowing that I know
And how do you feel cause I'm out the door
And how do you feel knowing that I cheated on you to
(Christine McLean)
And did she get you open with a 69
Doggystyle that's from the back and from behind
Now did she do you well
Did she go down low
Did she take it fast or did she take it slow
See my guy he did me and he did me well
He kissed my lips
He touched my tits and then my panties fell
With some cherry jello and the cool whip cream
I feel man dick go up inside of me
Hook
(Christine McLean)
Now did she get you open with a second round
On the bed the chair or maybe on the ground
Was it as good as good as you though it'd be
Did the skinny amateur even compare to me
When my guy got finished with his love and flow
He showed me many many things that you didn't know
And by the time we reached found 44
It took his time laid me down and we made love some more
Hook
(Akinyele)
Ha now I didn't even mean to cheat on your pussy
I found another lady who said she'd fuck me for free
And I didn't even like have to eat her out
The first thing she put this dick up in her mouth
Now I'm not saying that I was loving the chick
I was a little astonished from the way she ws sucking the dick
Do get me wrong later on I'll probably be fucking the chick
Get on some Donald shit
Then start ducking the chick
Now the motherfucking moral of the story is
You cheat on me I'll cheat on you that's just how it is
My new sweetie she know I don't come speedy
Before she give me long head like Nefertiti
Now what we do with me and you don't go tell he or she
Keep it to yourself like Monica Lewinsky
So we don't blow trial
Or get caught up
When we cheating in the night cause we get hard up
Keep the guards up
When you creeping through
Cause all the bitches that cheat this song's for you
And all the niggas that cheat this song's for you
And everybody that cheat's this song's for you
It goes
Hook
(Both) 4x
Don't trust no nigga or bitch that calls you the word boo
Cause they might be cheating on you",https://genius.com/Akinyele-how-do-you-feel-lyrics
Sha La La,Aktapuss,1996,"(Akinyele)
You can't
You won't
Ak-nel
You can't
You won't
(Curly) Refrain
Something is what you meet standing up on the corner
Lay out
And when you think of my spliff
You think something has comeover
Lay out
I say
Here I am what I'm going to do
Yes I've got these dreams to come true
And the way you embrace me
It makes me want to crossover
Lay out
(Curly) 2x
Sha La La La (la la la)
La la la (la la la)
La la la (la la la)
(Akinyele)
Ha it's the hardcoe rhymers
Straightening niggas out like recliners
You dicks get sprayedlike stun
I use your blood to paint the walls like period vagina
Remind us
Of signers
When we busting you up
Bullets like allergies
Straight stuffinf you up
Can I touch any he or she that try to diss this
Once I clutch the grammy in my hand like stick shift
Or professor
I'm putting niggas in a stretcher
Tell your crew
I play them boys ou like fucking Hugh Hefner
It ain't nothing
My guns part authority
Cause they be busting
I could feel or catch a wreck like your part buttons
(Curly) Hook
(2x)
Cause were rough
Were rough
Tough
Were tough
We are danger (danger straight dangerous)
(2x)
Sha la la la (la la la )
La la la (la la la)
La la la (la la la)
(Akinyele)
When it's dark
It's the (?) parts
That I be walking in
Be clocking you and dropping you
Like dr. Kevorkian
My hobby is to hit you
With guns in the hand
In my left
Putting bullets in your chest
Like Bobby Fisher
I wish a
Nigga
Want to contest this
Wet you up like star water
You fellas is fish
Trying to go up again
To fall from an intense nigga
To stab you with a dagger
Reagardless if you stagger
I still going to jab you with the marvelous (?)
Like Agler
Making your ass fall like Niagara
My trigger finger that damage
Advantaged niggas
Like Abracadabra
What
The AK
The Glock nine
Making niggas slow down and what not
Similar to stop signs
Money and crimes
On my mind
I murder silly jokes
For they choke
And all you ever find
Is their body outlined
In white lines
Hook
Refrain
Hook",https://genius.com/Akinyele-sha-la-la-lyrics
Rather Fuck You,Aktapuss,1996,"(Akinyele)
Is the Bronx up in here
Is Queens up in here
Is Brooklyn up in here
Staten Island
(Curly) Hook 2x
I'd rather fuck you girl
(??????????)
Spread out spread out spread out
(Complexion)(during hook)
Woman when it come to other gee's
We tell them bitches to flee
(Complexion)
Now we could start this shit up on the living room couch
At your mother's house
As I push push
Up in your bush
Like a fucking deush
I think of different ways
That we could lay
Before we foreplay
So we could fuck fuck all through the night
And through the day
Hook 2x
(Complexion)
I say fuck them bitches
That I used to mess with
They knew I should of knew when it comes to handling real dick
I like when it's mushy
And the sex is wet and gushy
I love it when you push me
When I'm humping up in your pussy
Hook 7x
(Akinyele)
Hey yo this is Ak-nel
With my man complexion
And curly from the Rasta block
We do it like this on funkmaster flex tape
So we give you the real 60 minutes of fuck",https://genius.com/Akinyele-rather-fuck-you-lyrics
