title,album,year,lyrics,urls
Butt Booty Naked,Ballin’ Outta Control,1995," {x2}
I wanna get ya butt booty naked can I wreck it baby?
(HEY!)
I wanna see your big booty naked can I wreck it baby?
(HEY!)

Well I'm a big booty sticker
Honey dip licker
Baby you can try me if you want to trick a
I'ma do her from the backside and drive ya nuts
Spank you on the fanny while I'm digging out ya guts

They call me Mo Bee I bend ya over if ya lonely
I'm AMG and I'll be ya homie if ya bone me
I'm an expert
I'll make your body jerk
And if ya wanna flirt
I'll put that ass to work

I'ma lay you on a mattress like a bedspread
And if it's that time of the month, baby use your head
A touchdown, a home run, another point scored
You might need some Tylenol from your head hitting the headboard

I'ma hit the hootie mack and hit the bootie crack
And if you want the big bootie smack, grab my nut sack

Yelling out ""Flexzure"", now you got the feeling
Yo G this is Soul Train, I'm Don you Cornelius


I'm the big ding dong
King Kong
If you wanna bring your friend along, baby it's on
We can have a three company and while you're humping me
I'm a lone licker like porno flick

Well I'm Flexzure I wanna sex y'all
Bump, hit the skins step back and let the coochie jump
Like a gang of brew when I'm like banging you
Have you screaming silly sounds and saying ""oooooh""

If it's tight I'm right, if it ain't I can't
I'ma go up in ya till faint
Or until my nuts ache
Your legs in the air, booty everywhere
Call me Mr. Dairy Air cause right now I'm in there

I be the pop wow, yippy I aye
With the rudest set, honey dip crack your legs
And be ready for the big backstroke
When the big jim pokes, wicked on the bed Pee ain't no joke


I'm the freaky
Deaky
Brother when you see me
Be ready to drop your drawers baby when you meet me
Wreck the panty poom poom
We gonna use the whole room
Pee Wee Flex  makes the booty poom

And all I wanna do is zomma zoom zoom zoom
And get ya butt naked in a hotel room
I like ya style
I'm making money by the pile
I make ya smile
I can stay a little while

Baby you and I can catch a thrill
From the man with the big diznill
""Poon"" is my nickname, game for a dame
I'm a freak in the sheets, Flexzure has no shame

Now in the bubble bath I make ya laugh
Baby with the champagne I got booty on the brain
So catch me like a lover not another
I lick ya from ya toes to ya dome
Daddy's home",https://genius.com/Amg-butt-booty-naked-lyrics
Around the World,Ballin’ Outta Control,1995,"Hi daddy, it's Nicole
When are you coming home?
I miss you baby
I hope you're havin some nice fun

I been around the world (what?) and it's A Million Girls (true)
I been around the world (what?) and it's A Million Girls (true)
I been around the world (what?) and it's A Million Girls (true)
I been around the world (what?) and it's A Million Girls
A Million Girls

Yo it's funny, hoes wanna give you they heart
When your jam's at the top of the charts
But you can't play me like a game of spades
Cause the A.M. is afraid of babes
I seen many come and I seen 'em go
I came with a few and released my flow
I'm back, but without the booties I'm chillin
I used to get that feelin I'm stackin A Million
Now baby, I'm used to the hoes and tramps
Livin in the home of the one night stand
Jump in the ride, then I'm dickin you down
You couldn't tell me nothin, I was more than a hound
Redbones and jiggable pies, big booties in the thighs
Long haired freaks with pretty eyes
I was on the road, ballin' outta control
Pockets on swoll, then I lost my soul
Now give me that joint to hit
Every girl was a bitch and a bitch ain't shit
The world was a pussy and it's all for my dick
I had it goin on, then I started to slip, why?


It used to be a three-oh-fo' thing, a big ol' hoe thing
State to state, fly hoes to mate
Up under the covers, lover lovers with rubbers
If they knew my name, then they knew my fame
And the game was tough, didn't know who to trust
Love wasn't a must, just a cutie to bust
And it got kinda lonely, cause they really didn't know me
But they knew I was the one and only, and
What goes up, must come down
And when it came down, nobody was around
The freaks and the fleas and the G's was gone
No crew, no boo, so I sing this song and uh
I gotta get back on track
Cause a nigga didn't know how to act
Livin in the fastlane makes you go a little
Insane in the brain, but it's all the same


Nowadays, I'm lookin for the one love shot
Not with me cause of what I got, or what they think I got
Cause some ladies wanna choose and abuse
But I ain't gettin used, like them other fools
Buyin cars and, treat 'em like movie stars
Baby do you even know who you are?
You can't step to the A.M., and think you gon' play him
I ain't sayin no names, but I probably should say 'em
And a lot of y'all probably can't handle this
Cause you don't think y'all act scandalous
And you never been checked like this
So when I'm gone, baby you can reminisce
But really though, you're just a silly hoe
And you gots no shame, and you to blame
But you're young, and you're full of cum
And they say, ""Go on girl""
But bitch I been around the world
I been around the world..
I been around the world..

I been around the world..",https://genius.com/Amg-around-the-world-lyrics
Sucka For Luv,Ballin’ Outta Control,1995,"Nigga youse a..

Uh uhh!  Yeah, uhh
Uh, uhh, uhh
One time for you mind
Uh, uhh, uhh
Youse a.. sucka..
Yeah, yes
I once met a nigga who was cool and shit
So what?  So I let him hang with my click
Said he pimped hoes, and he knew how to make ends
Said he even had a Benz
And a house in Atlanta, G-A, and in L.A
And he fucked different hoes every day-ah
I said, ""Nigga since we all in the same game
Might as well let our motherfuckin nuts hang""
But shit got funny when it came down to makin money
Found out he was a dummy
And the pussy made him sway
And it wasn't no different hoe each and every day
But trip, that ain't it, he went out like a bitch
Sayin my shit was his shit (nah)
Now he's on the way to player's court
Gettin charged for fakin the funk
You little punk, youse a sucka

Nigga, youse a sucka for love
Nigga youse a sucka for love (nigga youse a sucka)
Nigga, youse a sucka for love
Nigga youse a sucka for love (punk youse a sucka)
Nigga, youse a sucka for love
Nigga youse a sucka for love (check this out)
Nigga, youse a sucka for love
Nigga youse a sucka for love..

I got a homey who calls me a captain
Cause I get a lot of hoes from the rappin
But I ain't no trick, I'm into hoe hoppin
But guess who I see in the mall shoppin?
Diggin way down deep in them Kani sweats
Spendin dough on a hoe that he ain't bumped yet
And he don't wanna see me, but I make it known
Cause the hoe that he with I already boned
And the bitch actin like she don't know a brother
And this nigga holdin on to her like he love her
I looked him dead in the face and said, ""Whassup Trace?
(Nigga) Ask you girl how my dick taste""
And he wanted to fight, talkin bout I ain't right
(Nigga please) Nigga flyin like a kite
Now he got two babies by her and he still
Callin me a liar, she's his wife and he's a sucka for life

Nigga, youse a sucka for love
Nigga youse a sucka for love (nigga youse a sucka for life)
Nigga, youse a sucka for love
Nigga youse a sucka for love (sucka youse a sucka for life)
Nigga, youse a sucka for love (for life)
Nigga youse a sucka for love .. (for life)
Nigga, youse a sucka for love (and y'all hoes out there..)
Nigga youse a sucka for love..

Now in ninety-fo', hoes gettin lucky
Like a four leaf clover, but I'm still a Rover (woof)
And it's kinda strange, when you see 'em rollin in the Range
With a coach bag full of cash
Wearin Donna Karan but I ain't sharin my money witcha freak
You can call me cheap
Or you can call me crazy, whatcha gonna do
When your ass get fat and lazy, house full of babies
And don't blame it on your baby's daddy (uh uhh)
Cause you let him buy ya, then you let him try ya
And when he left you was broker than a joke (uh uhh)
Lookin for another, so you can pucker
Up your lips, and kiss him on the thang thang
Whip it on him real good, and it's the same game
So who you tryin to fool and clown
I'ma hound from my head to the ground
Beitch, so bitch get a sucka

Nigga, youse a sucka for love
Nigga youse a sucka for love (you better get a sucka)
Nigga, youse a sucka for love (hoe)
Nigga youse a sucka for love (bitch get a sucka)
Bitch, youse a sucka for love
Bitch youse a sucka for love (uhh)
Nigga, youse a sucka for love
Bitch youse a sucka for love..

Aoww, niggas out there, playin trick or treat
And hoes out there
Tryin to rob a nigga for his ends
Eat a dick up..
Yeah, cause nigga youse a sucka for love
If you're fallin for that
Yeah..
Yeah, welcome to the A.M. y'all
Uhh..
And no can do hoe
Bitch, get a sucka for love",https://genius.com/Amg-sucka-for-luv-lyrics
Leather and Wood,Ballin’ Outta Control,1995,"Yeah
Somethin for ya to.. ride to
So uhh, let it bump in the trunk cause

It's all to the good
When you're bumpin in the leather and wood
It's all to the good
When you're bumpin in the leather and wood

I jumps in the Lex-o, on the way to L.A
Had a payday, now I need a boo-tay
Too many freaks rollin with they top down
I'm a hound, so I clown and turn up my sound
Light a beadie up, see a hoe I wanna know
So I speed it up, hope she eat it up
Too quick on my dick, then she jumped in
Star struck little hooker with a rump
Lookin like a melon
She knows I get paid for sellin my spellin
I'm tellin ya, 17 was the age of the P-Y-T
Hey you need to ride with me
She said as my head shook no
Park the bucket you tramp and don't slam my do'
As she got in, all I had to say was
Damn Cube, today +was+ a good day


Had a early booty call about 10:30
Got the eight-five-oh, cause the Lex' is dirty
Had to go and get the hooker from the Wood
No drama, cause it used to be my hood
Hit the horn for the hoodrat to come out (c'mon)
Long hair, redboned booty no doubt
She's the freak of the week, that's what my homies say
Thinkin I'm a trick and a treat, like a holiday
But I gots better plans for mine (what?)
I ain't even tryin to pass the time
Took the hoe to the beach y'know
Got her high off the bomb ass indo
And the bitch got naked in the B-M
Then I rocked that ass, like a coliseum
And that's how it goes you know
When you fuck with the three to the oh and fo'
Cause it's


Check this out, yeah
Feelin grand in the blue Cherokee
Sippin on a little Coke and Hennessey
Pager blowin up and lookin like the voicemail
Tenderoni wanna meet me at the hotel
On the way to the spot, I see Poppa LQ
And Girbaud, with a car full of hoes
And they want me to stop, but I cain't cause
I'm on my way to see E, to get the bombudd
Get the smoke then I'm headed down Pico
Bust a right on the way, to the Nico
Lookin fly in Kani walkin through the lobby
Bout to go to the suite and hit my favorite hobby
As I walked in the door to get the booty Hobbes
She fell down to her knees and gave me props
And she's lookin like a queen to me
Got a number two fiend for the jeep to creep
Cause it's",https://genius.com/Amg-leather-and-wood-lyrics
304 Thang,Ballin’ Outta Control,1995,"It's a 304 thing
Let me see your body swing... swaaaang
Let me see your body move
Don't just sit there get your groove on
It's a 304 thing

Pagenet Nationwide on my side
Never miss a beep from a freak with a big behind
Who wanna bump and grind with the bigga nigga?
I need a hooker who's quick to lick a dicka
Take a sip of liquor, Hennessy and Dom Pérignon
Gettin' high with the bone
Lookin' for the late night hype
Player haters huggin' on they hoes so tight
Trick of the Month, trickin' on a stunt
Thinkin' you's the mack 'cause your pockets on fat
I'm the reel-to-reel, got the steel to deal
And, put my fist to your grill and will (damn!)
Take your hoe to the honeycomb hideout
Give her this mighty love, then I slide out
I'm the wham-bam thank ya m'am king of the underground swing
Baby it's a 304 thing

It's a 304 thing
Let me see your body swing... swaaaang
Let me see your body move
Don't just sit there get your groove on
It's a 304 thing

I'm just a nigga from the motherfuckin' what?
Used to make ends with the birds and the bud
Before I made a demo, before I rode a limo
They used to call me Spend, paper to the pen
Beats to the tape, sittin' in the studio
Niggas try to act it, but they never knew me though
Just me and mo' doe, never in a four-do'
He me low keyin', Cherokee'n
Now it's '94 and, A-M' is the name
Fuckin' up the game, steppin' on the lames
Niggas wanna gangbang but I wanna make ends
Fuck a '6-4 put me in a Benz
With a redbone bad mamma jamma
With the thumps and the bump like my nigga Hammer
And it's real good, comin' with the California feel good slang
Cause nigga it's a 304 thing

It's a 304 thing
Let me see your body swing... swaaaang
Let me see your body move
Don't just sit there get your groove on
It's a 304 thing

Nigga who is you? Guess ya don't know about my crew
Will put you in a twist and they don't miss
Too many to name, but they don't want fame
Just a piece of the game
And some wanna get high but I gets fly
From the Coast with the most to the best thigh
And I can't forget Chicago and Frisco
Houston where the Geto Boys is thick yo
Atlanta, GA where the players play now
One more gen for my niggas that locked down
And all the rap superstars and they crews
You better get yours, before they get you
And to the ladies, I don't hate ya but I love ya
But a few of y'all, oh yes I'm through with y'all
So if ya like what ya hear let me here ya say HO!
Cause baby it's a 304 thing

It's a 304 thing
Let me see your body swing... swaaaang
Let me see your body move
Don't just sit there get your groove on
It's a 304 thing",https://genius.com/Amg-304-thang-lyrics
Pimp of the Century,Ballin’ Outta Control,1995,"With the mad funk..

AMG, on the go
Back on the motherfuckin microphone
It's the pimp of the century
So bitch pour the Hennessey!

(Aowwww) I got a new bone to pick
And hoes, I got a big bone to lick
And niggas been ridin my dick, like an Amtrak
Niggas thought I fell the fuck off, but the G's back
The dog from around the way
Uhh (L.A., Cal-i-for-ni-a)
And baby I bust 'em in
Hoodrats hoes can't even just ride the dick
And niggas been houndin me
I'll be out, they surroundin me
But never is they clownin me
And this ain't ""Bangin on Wax""
But let me get straight to the facts
I ain't no blood or crip
But I got a Glock 23 with a couple of clips
And gold diggin hoes get the 22
(Buzzin) buzzin and you bug my crew


(Aowwww) I used to drink Olde E, now I sip Moet
Hangin with the jet set
And the hoes know my records sell (records sell)
So they all eat a dick up well
From state to state, they can't wait
For me to rock a show, then I'ma knock your hoe
Countin dates in my gated estate
(Ya fool) I got your girl naked in the pool
(Aowwww, hittin that indo) What?
(She just called her friends so)
So we can have a big Three's Company
Two big booties in front of me
Put my rubber on, before we get to humpin
Hit it from the back, like she stole somethin
Bust a big nut, then I'm snorin
Cause when the hoes get to talkin, they borin
And it's a shame, niggas fallin for the okeydoke
The whip appeal is a joke
And like I said, I'll be your personal 304
When I'm done, hit the do'


(Aowwww) I'm just a player on the run, havin fun
In the California sun, hit me one
And the leather and wood, I got my boys in the hood
And they ain't slippin while they grip trippin
Bumpin hoes and, baby if you're fly you're gettin chosen
I scoop a freak like you're frozen
And I like 'em when they got a little game
No drama, just a fly little hot momma
Ready and willin, big booty for the killin
(What what?) But don't be catchin no feelings
Cause a hoe is still a hoe, and I can't be witcha
If 20 niggas done hit ya, bitch
I got the 4-1-1, on your hoochie cootchie
Just a groupie, thinkin you can soup me
But you gotta be more than a trick tramp big booty hoe
To fade this nigga though",https://genius.com/Amg-pimp-of-the-century-lyrics
Bitch Betta Have My Money,Bitch Betta Have My Money,1991,"Bitch betta have my money
Ahhhhhhhhhhh shit, here we go on the one ya'll with nothing to clown

It ain't nothing like black pussy on my dick
Word to the motherfucking DJ Quik
I play hoes like dominoes, slapping bones;
AMG's on the motherfucking microphone
I slang dick, bitch, nothing more and nothing less;
You got a C-note, ho, you can take the test
And bring big fat titties and lots of back
You got the woody, and I got the axe
I'm no joke when I stroke for a client;
Bitches need dick, so they buying it
G with the high-top fade;
Open up your Coach bag, bitch, so I can get paid
And take off your G-string drawers
Bitch eat your Wheaties, cause I don't pause
What are you laughing at? Ain't a damn thing funny
(Bitch betta have my money)
I don't charge by the inch, I charge by the foot
Think I'm lyin', bitch? Here, take a look
100% USDA grade A beef — here's my card, call me
You look like you ain't been pumped in a while
Pick up the motherfucking phone and dial
And have your money in a big ass stack
I'm swingin' this dick like a newjack (Bitch) so
Chours:
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money

Choose the position pronto, you're on the clock
You can suck the diggity-dick, but I'mma charge you a knot
Bend your ass on over and touch your toes;
Hold your breath cause I'mma hold my nose
This dick of mine ain't friendly, baby;
Will it hurt you? Yeah maybe
Probably, because I'm 19 years old;
I fuck hot pussy until it's cold
I ain't a prostitute, but I'll knock the boots;
Women love me, they say I'm so cute
Girls wanna get with me, I'm tender;
A big old butt, and a smile and I'm wit'em
Pussy ain't nothing but a game to me;
Pockets on fat cause I played the freak
So when a ho when a wanna fuck to the pro of a teenage pimp
I wanna see that grip, so ...
Chorus:
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money

Motherfuckers out there can't fade me
And bitches out there don't faze me
I take it blow for blow, a ho is a ho;
A bitch is a bitch is a (bitch), so
Fuck all the rigamarole, I clock the dough
While I slang the blow
G's gonna do it to you slow while you sing along, ho ...
(Bitch betta have my money)
Chorus:
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
(Bitch) Bitch betta have my money
.......Bitch",https://genius.com/Amg-bitch-betta-have-my-money-lyrics
Once a Dawg (Janine 2),Bitch Betta Have My Money,1991,"Once a dawg, always a dawg
Once a dawg, always a dawg
Once a dawg, always a dawg
Once a dawg, always a dawg
Once a dawg, always a dawg
Once a dawg, always a dawg
Once a dawg, always a dawg
Once a dawg, always a dawg

Licking my dick, this time you stunts
AMG, I'm back with the big butts
I clock dough when I rock shows
I don't pack fros, yo, I pimp hoes
State to state, ocean to ocean
Bustin my nuts why the tour bus keeps coastin
Bitches pay me, niggas play me
In the Jeeps or the fly Mercedes
I love ladies, but this one
Packs 'em out like a shotgun
Licks my johnson, so much satisfaction
She gives me tonsil action
Without asssskin, she does what others won't do
Yo, she keeps the residue
And if I ask her to do it again she says ""when?""
With goo gums and nut drippin down her chin
Baby baby come and suck it up (Ahhh shit)
AMG giving you big nuts (Ultra-nuts)
So buck up hoe, and give it a go
And just let it flow and open ya throat
Yes shes back lookin for a brand new dick to snack
You can never catch her on her back
Chorus: 2X 
It's Janine, Janine, Janine's a dick fiend
You know its Janine, you know its Janine
It's Janine, Janine, Janine's a dick fiend

Since you don't fuck I'ma see
Crack a forty O-Z of the O-E
Got a little tipsy, feelin kinda hiiiiggghhh
Dick on boner, starin at her thighs
Approach the hoe, 'cuz were still friends
Then I seen her motherfuckin lip twitch again
I thought it was me, like BBD
I counted to three, then the bitch freaked
Was I to... A, run
B, stay and trip
C, smoke a philly
Or D, shoot the bitch
Gat was in place, finger was inching
Fully loaded, dick was still twitching
Wanted to run, so I dropped my gun
AMG, yes I'm almost gone
Back with the hoe you know
Suckin dicks ga'lo
That come ??? with the open throa'
Chorus
Peace, going out to 304
Peace, going out to Boss
Peace, going out to Mo' Dough
Peace, going out to EPMD
Peace, going out to Trouble Rock
Peace, going out to Gangstarr
Peace, going out to 2nd to None, High-C, and DJ Quik",https://genius.com/Amg-once-a-dawg-janine-2-lyrics
Jiggable Pie,Bitch Betta Have My Money,1991,"This is dedicated to the pretty black young women, from AMG...
Fee-fi-fo-fum, I'll spread the jam for the ho-hums
Gimme some baby or maybe
Would you let me smack it up and flip it and run it down, to the bone
Call me when your momma ain't home
AMG, a 69 king, I lick 'em low
And take my pick like if I had a 'fro
I get a lot of play because I get a lot
And I can get a girly kinda hot when I hit the spot
Supernatural, very irresistible
And if you take a bite, its very nutritional
Its called jiggable pie for the dumb dumbs
You can nibble on it if you want some, my my my
Chorus:
My my my, my jiggable pie (Uh)
My my my, my jiggable pie (Yeah)
Oh how I loves my jiggable pie (Uh)
Oh how I loves my jiggable pie (My my my)
My my my, my jiggable pie (Ahh baby)
My my my, my jiggable pie (Uh)
Oh how I loves my jiggable pie (For you, for you)
Oh how I loves my jiggable pie

Crack kills, but not this kind
I try to get ahead when I get behind
I wish I was a pair of panties full grown
So when you put them on, I could be home sweet home
And if you got a weave it don't matter, dump the chitter-chatter
I wanna get it on, you know like give a dog a bone and I'm the K-9
A big black rin-tin-tin with a grin
So let me get a sip of this night train
So we can do the right thing
It be just like redhead, pump it honey
Well let me feel your body, for the jiggable pie
Chorus:
My my my, my jiggable pie (Uh)
My my my, my jiggable pie (Yeah)
Oh how I loves my jiggable pie (Go back to the bedroom)
Oh how I loves my jiggable pie (Squeeze the juice)
My my my, my jiggable pie (I got jiggable pies)
My my my, my jiggable pie (All over the nation)
Oh how I loves my jiggable pie (Station to station)
Oh how I loves my jiggable pie

Back to the backs, lets get cheek to cheek
I tend to be a big butt freak
But on this level, I'm a chocolate rebel
Hersheys I might squirt when I insert
Skin to skin, booty I'm all in
And you're all that with your feminine fat
Redbones don't fret I ain't done with you yet
I'm tryin' to get all that I can get
Chorus:
My my my, my jiggable pie (Yeah)
My my my, my jiggable pie (So remember)
Oh how I loves my jiggable pie (It ain't about the color)
Oh how I loves my jiggable pie (It's about the lover, peace)
My my my, my jiggable pie (East Bay)
My my my, my jiggable pie (Uh)
Oh how I loves my jiggable pie (Shouts shouts shouts)
Oh how I loves my jiggable pie (Going out to)

My man Maddball
Tony D, he loves the jiggable pie
Trace loves the jiggable pie
K.K. loves the jiggable pie (What about Quik?)
I think D do, do he do he? (What about Quik?)
Hi-C do, don't he don't he? (What about?)
You know AMG do, yeah (You know you do nigga)
Cut me a slice, uh, ahhh baby, uh, yeah
Out out out",https://genius.com/Amg-jiggable-pie-lyrics
The Vertical Joyride,Bitch Betta Have My Money,1991,"Hit it, don’t babysit it
Hit it, don’t babysit it
Hit it, don’t babysit it
Hit it, don’t babysit it
Hit it, don’t babysit it
Hit it, don’t babysit it

Uh, oh yes, call it cess, L.A.’s best
Am I next to put smoke in my chest?
But this is the new, improved shit
A big fat Phillie for the ’92 zip
And when I’m rollin’ in my ride kinda high
Females be on my tail because I’m so fly
Eyes are open, checking the scenery
When on Cloud 9, no one can get with me
I can go 10 different places at one time
I can jump in my ear and walk through my mind
Psychedelic P-Funk for the buddha heads
Light it up, little nigga, go ahead
And if you see a big gat, pick it up
Tits draggin’ ass O.G., stick ‘em up
And if you have a vertical joyride within reach
Do the right thing, eat the peach
So hit the thai, stick and listen to this
It’ll have you buggin’ like you wish you wasn’t
I’m AMG, the host of the most if you’re high
I’ll be your tour guide on this vertical joyride

(DJ Quik “Tha Bombudd” playing in background)
Yeah, got a big ass sack, sounds bumpin’, coolin’ out
Check this

Now hoes, I love you without your clothes
When you’re puttin’ ‘em on, I wanna see you gone
Because my dick don’t eyes, I know you’re mesmerized by the size
So eat ‘em up like a burger and fries
‘Cause you’re a hoe, a tramp, a slut, and you suck dick
Giving up the lips in between your hips
You want me? A nigga with dick for days
Cash that pays, and hoes with big ass that sways
And I’m looking for a new Janine
To be my one and only dick fiend
PHAT—Pussy, Hips, Ass, and Titties
And I’ve got much big dick for the nitty gritty
I may swing and sing, jam like Teddy does
Some say you was a sucka nigga—no, never was
AMG, inhale deep so you can get a little high
On the Vertical Joyride

(DJ Quik “Tha Bombudd” playing in background)
Yeah, shit is fuckin’ me up

(I’m outta here, peace)
Hit it, don’t babysit it
(Outta here)
Hit it, don’t babysit it
(Gone)
Hit it, don’t babysit it
(Yep yep)
Hit it, don’t babysit it
Hit it, don’t babysit it
Hit it, don’t babysit it
Hit it…",https://genius.com/Amg-the-vertical-joyride-lyrics
