title,album,year,lyrics,urls
Who Got da Props?,Enta da Stage,1992,"Put up, what up, BO BO BO!
Suckers want to flow but they got no show
So I'mma grab the mic, flip a script, and leave ya stunned
Buckshot's the one that gets the job done
Mic check, I get paid to wreck your set
Get ready and jet, cause I'm a threat to your fret
No holds barred, and complete move fakers
Best to play the back and watch your girl, I might take her
If she's a crab I'mma diss her then slide
If she try to riff I got my Smith on my side
Word to God, here I come so make way
Rugged and raw, killing your set every day
Microphone check 1, 2, here we go
And I'mma let you know, who got the flow
Spitting my verbs like an automatic weapon
Suckers keep stepping, cause I'mma let you know

Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)

One Mississippi, two Mississippi
Sucker tried to diss me so I played him like a hippie
From the 60's, but I'mma get paid from the 90's
Quick to play you Little Rascals out like Stymie
Kicking flavor, with my Life Saver techniques
Guaranteed to move feets and I go on for weeks
Maybe years if my peers give me ears to fill
Lick off a shot and act ill, parlay then chill
See I paid my dues, now you can't tell me nothing
This is dedicated to the ones who kept fronting
The ones who tried to diss and pose high? Oh no
Just cause you had 'lo, see now I got dough
And I'm paid out my rectum, meaning my backbone
Grab the mic, flip a mad script to your dome
Suckers, I kick 'em like tae kwon do
Guess and 'Lo, from head to toe to let you know

Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)

I'm the rugged operator like Arnold Schwarzenegger
Buckshot quick to play your nigga like Sega
Smooth trigger-happy snappy, keep my hair nappy
When I swing an ep girls call me ""big pappy""
I used to play a game called ""Ring Around the Rosey""
But now I play the mic, that's why the whole world knows me
I'm sort of like a Chevy, heavy when I bumrush
You'd better bring your whole damn crew or get your head crushed
Sucker - cause I'mma set it off with one shot
One trigger, one nigga, 'nuff heads drop
Don't even try to play me out cause static
Buckshot Shorty, he sounds like an automatic
Rip the set, my friend's mad tight
Cause I rocks the mic and keeps the crowd hype
Straight from Bumrush, I crush and cause chaos
Yo, and I'mma let you know

Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)

One, two, melody shows
And before I flip a script you know I must keep you dozing
Into the stage of the Buckshot Shorty
Son pass the boom, keep the top on the 40
Never ever ever get played: KILL THAT
Bust a mad cap in your back cause I'm all that
Straight from Crooklyn, better known as Brooklyn
E loop the hook and, your whole beat's tooken'
Must take charge, bomb guard, I'm the man
Bust my plan, it feeds back on my fam
Once I cruise, pay dues, I never lose
When I break on fools, wake up, you don't snooze
Bust a move, I get smooth like Roadie
Kick it like the Four Horsemen, yeah you know me
Booming like a speaker with my 100 dollar sneakers
Baggy black jeans, knapsack, and my beeper
Keep a fresh cut, never see me with a busted 'fro
And I'mma let you know...

Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
Who got the props? (come on!)
Who got the props? (come on!)
5ft, Evil Dee, and Buckshot! (come on!)
(Outro)
We Just Let your all got the Props! Yeah! Yeah! check This Out!
Chuck chillout (Yes, we got the props!)
Red Alert (Yes, we got the props!)
Kid Capri (Yes, we got the props!)
Awesome two (Yes, we got the props!)
Bobbito (Yes, we got the props!)
Stretch Armstrong (Yes, we got the props!)
B-Minus (Yes, we got the props!)
The Whole Clan! (Yes, we got the props!)
Yeah!
(Shouting)",https://genius.com/Black-moon-who-got-da-props-lyrics
I Got Cha Opin,Enta da Stage,1993,"When I get 
bent
 I must represent, no question
Get up a dime spot and then I'm off to the dread section
Roots hit me off lovely
Coming out the spot I had to duck because a nigga tried to buck me
I'm easing on the Glock like, ""What up, hop""
Buck's pulling out on cops cause I want free Glocks
What the fuck, bring your bitch-ass type brigade
Hitting them all, hand guns and hand grenades
I resemble the man that's wanted for murder
Got your block locked down, so don't come any further
In my clip is a .22 dum-dum
Oh yeah, I seen your moms, I hit her off with a jum
You know what I'm saying? Fret it or forget it
I'm like the short and fly so I'mma still get paid, I don't sweat it
I'm every MC's nightmare manifesting
A little shorty pushing the fact that I'm best in
This shit called hip-hop, raise the throne
Kid, don't front, I got you open in your dome

Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid

Rest in peace to my niggas in the East
And all the real niggas that was shot by beast
Around the way all we do is spark mad ism
Ladies be like, ""Yo, he's Buckshot right there, that is him""
But let's get with the cipher, kid, pass the eight
So I can wet my lungs and blow smoke in your face
Word to Jah
, niggas can't touch me, kid
Cause I'm too nice to do bids or ever hit skid
Fronts in the bottom of my teeth like whatever shit
On the real, gettin played, what, I never did
Cause on the mic I gotta represent the real niggas
The field niggas get the muthafuckin ill triggers
Word to Herb, lick shot with my verb
And keep my hand on my grip when I play the curb
I never got caught by a undercover DT
Nah chill E T&T can't see me
You grab mics from the ones I left broken
Kid, don't front, you know I got you open

Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid

Late at night, I catch a buzz, then I write
The type of ill shit to make the mind feel tight
And be wanting to battle like every five minutes
But I'm in this like Guinness so that ass get finished
Straight from the floors of hell, feel the flame
You faggot ass, I heard your nickname's Blaine
I hit your brain and you felt the pain, maintain
When it comes to a battle you know the Buck reigns
I overthrow the flow, niggas be like, ""Yo, how'd you do that?""
Bitches be like ""Yo who that, you're all that, yo, true that""
Never forget that I'm the one you thought wouldn't make it
I used to make money, now I just take it
I do what I gotta do to bring you to the concrete
Bucking niggas down cause they think shit is sweet
I keep a Tec whenever I'm in the projects
Ease out, then flex, in effect like Wreckx
Buck to your head, now die is my slogan
Don't front, you know I got you open

Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid
Don't front, you know I got you open, kid",https://genius.com/Black-moon-i-got-cha-opin-lyrics
Buck Em Down,Enta da Stage,1993,"Buck em down, Buck em down
Buck em down, Buck em down
Buck em down, Buck em down
Buck em down, Buck em down

To the weak, what we do, buck em down, word life
Each and every nigga whenever I'm in the sight
Let my nigga Dru peep your style for your card
Then I kick a verse and take a look at the God
God hit them niggas with a verse real quick
C'mon God niggas is all on your dick
You know what they say about niggas who ride dicks
Upstate niggas become chicks, word life
I ain't bullshittin, ask my nigga Buff
On the streets he was tough locked up he was sweet stuff
Shit is hot, word to Ma Duke
And get the loot from the man kick his ass with my Timberland
Shorty with the Shots that I Buck with fuck with
Gang hanger with the double-edged banger
And I got niggas clingin my drawers
Niggas fake I'mma bust a cap fuck that I'm breakin jaws
I'mma bring it to your chest like, wind
Fill your fuckin lungs up with all the bullshit from within
But I'mma put it back so parlay
To the weak in Bucktown all we do everyday

Buck em down, Buck em down
Buck em down, Buck em down
Buck em down, Buck em down
Buck em down, Buck em down

Niggas tell me chill when I kick it
Although my shit is wicked, 
it's all about the blunts and how I lick it
Or how I shot a nigga in the mug
With the slug leavin 
white chalk all on a pitch black rug
You couldn't tell me other word to mother
When I was 15 runnin around I was the real street lover
On the corner out shootin the dice
Layin up, gettin nice, talkin bout a heist
GQ headin up to one-two-five
Push up on a shorty lookin live on the prize
I couldn't get the time of day when I was Little K
Now you call me Buck so your lips wanna puck?
Fuck that bitch, I know your X amount of thoughts
But they call me Buckshot Shorty cause I take no shorts
Word to the shell around my chest
Big up to all de massive rudebwoy pon deck
So if you see a weak nigga speak to that bastard
Or I'mma hit his ass with the motherfuckin plastic
Word life, I ain't bullshittin

Buck em down, Buck em down
Buck em down, Buck em down
Buck em down, Buck em down
Buck em down, Buck em down

When I was in school I was a mack
Shorty was strapped with ill lyrical contact
Knapsack, filled with the shit that I G'd
And a nickel bag of weed, yes indeed
A mad little nigga runnin up on em all
Fly as hell, hit the park play the wall
And all the older people sayin Shorty's a bad-ass
But youse a smart little nigga so you gonna last
They knew the time and they knew the rhyme woulda
Hit you in at least four years, so I came to split ya
In the nine-three it's all about me
Ninety-four ninety-five that's my years fuck it I'm takin over
In nineteen-ninety-eight I couldn't wait
To get all my niggas and do shows from state to state
Now I'm the motherfucker that's givin instructions
Fuckin with them niggas Beatminerz on productions
Welcome to Bucktown, U.S.A
Where the weak niggas get this shit everyday

Buck em down, Buck em down
Buck em down, Buck em down
Buck em down, Buck em down
Buck em down, Buck em down

Aiyyo, this is goin out to all the real niggas
Who buck down the bullshit, you know what I'm sayin?
On the real, rest in peace to my nigga Butta
In Coney Island, shit is mad real out there
You know what I'm sayin?
 
Buckshot Shorty
Five F-T, my DJ Evil Dee
Mr. Walt
, 
all my niggas in the motherfucker
You know what I'm sayin? Smokin mad blunts
And just chillin. So buck down the bullshit in ninety-three
Ninety-four, ninety-five, shit is ours
Black Moon, we out",https://genius.com/Black-moon-buck-em-down-lyrics
U da Man,Enta da Stage,1993,"What, here comes the muthafuckin' 5
Pass the Crooked I, comin' straight out of Bed-Stuy
9-19, I believe
When I wanna puff a mad L I got the dutch hidden in my sleeve
Then I call my man Reels
Then we start the El Dorados and pick us up a fat bag of drills
Always keep the nine cocked
Just in case a nigga feels an appetite for some nice lead lock
Caught a nigga from a chin
Now his ass is in, hit the preach 'cause he said it was a sin
[
Verse 2: Big Dru Ha
]
Well, it's the ill Caucasian
, check the invasion
Bushwick to White Plains,
 the world in seven days and back
I'm down with the Black Smif-N-Wessun persuasion
Wanna flex next, swing one, that's all she wrote
Get the point to the joint, now you're bendin' for the soap
Like my bitch, fuck a bitch real quick, then I vanish
I always get the pussy 'cause I tell 'em that I'm Spanish
Chill, lay low, I'm throwin' headcracks in cec-lo
Niggas losin' dough so now they gots to bet a kilo
Mines for the takin', never fakin' when I kick it
Girls be on my jock, they want a taste so they lick it
Rip it from the back, bust a nut in her crack
Big Dru Ha puffin lye and I'm out, black

Now you the man, now you the man, now you the man
Now you the man, now you the muthafuckin' man

Niggas regret it when they get wetted with the automatic weapons
When I walk the streets I pack a 
Tec
 for protection
You know the deal, nowadays shit is real
Kid, I had it up to here, muthafuckas better chill
'Cause on the block, yes kid, we get busy
Front on my crew and get bust open like a fuckin' Phillie
Punk muthafuckers on the mic get violated
A rhyme ain't a rhyme if it ain't crime-related
I'm bustin' raps like a nigga bustin' caps
I grab the mic, cock it back and kick the fuckin' facts
Stompin' niggas out with my black Timbs
Leavin' niggas crippled with artificial limbs
A slug in the brain 'cause you tried to sham
You thought you was the man, you fuckin' coward

I'm with my ill niggas troopin' down Atlantic Ave
Three blunts still plus there's weed in the stash
Timb boots flop as the L gets sparked
Play the shouts from the street, it's flames movin' in the dark
I've had it up to here with y'all weak-ass rappers
Bucktown, home of the Originoo Gunn Clappaz
The name's Smif-N-Wessun
 and we're representin' lovely
Smif draws the 4-5th if you punks try to rub me
And I got his back, leave your body lyin' flat
It's time to knuckle up, guard your grill, fuck that
Timberlands bootin' up the ass of A&R's
You gettin' surgery tryin' to cover up the scars
You pussy old bwoy, bett'r watch where ya stand
Smif-N-Wessun comin', lettin' you know who's the man

Now you the man, now you the man, now you the man
Now you the man, now you the muthafuckin' man

These niggas is crazy, but I get real rough, no question
Runnin' with Black Moon, representin' Smif-N-Wessun
The boy's crazy, boys roll Mobb Deep
Bringin' Havoc
, so get dramatic and get splattered in a heartbeat
Bits and pieces when I release the boom
These type of tunes kept me consumed in a rubber room
Now I rock with Buckshot, what the fuck, ock
I got 'nuff props so you can get the fat cock

I've got 1, 2, 3, let me know if you're ready for me
Lawd, you must throw your hands upon the mic and let 'em know
About the flow when you rip and stick it 'cause you must get wicked
Never hesitate to big up a lyrical gangster, not lyrical prankster, see
Straight from the head of Buckshot hittin' 'em real irie
Mi never come fi short, mi a-fi shoot upon di mic
You gwan fall like di Babylon on sight
Taught by my nigga Screwface tie your shoe-lace
Let my nigga Bass tell me who take who place
Side up and up, side up and up, black
Yo chill, parlay, god, they ain't ready for that
They ain't ready for that
Everybody wan fly and get high but nobody wan die, why
Hey yo word up, kid
That's not that bullshit
Word, hahaha

Now you the man, now you the man, now you the man
Now you the man, now you the muthafuckin' man",https://genius.com/Black-moon-u-da-man-lyrics
Black Smif-N-Wessun,Enta da Stage,1993," (x8)
Anyting test man, mi clean fi mi gun

Here we go, break of day, with a mad lye session
Down in Bucktown it's Black Moon, and Smif-N-Wessun
Pick up the pace cause we're right behind ya black
The punk got X-amount of shots, take one to your back
BOO-YAA-KAA!!! Mr. Ripper did the shooting
Cops heard the shots, shit's hot cause they're pursuing
But it's my stomping ground where herds get blown down
Think I'm getting caught by beasts you's a damn clown
Check the drums of death as I break what's left
Of your face, cuz you're sellin out the rap race
Your family cried as your body lies in its casket
I keep a black Smith-and-Wessun in my polo jacket
Sixteen shots, for all you hardrocks
And if your bitch is a dime she can get the cock
Straight up and down, we two terrible toughies
The Vickster hit your pockets then I made your eyes puffy
What pussy? Better drop your mic and get to steppin
Before you're face to face with a black Smith-and-Wessun

Load the clip, bust lead to the head
The nappy head dread, Buckshot and Baldhead

Real niggas represent and don't die
Never dead like I said all we fuckin do is multiply
I puff a mad bag of buddha
Niggas be like ""Yo who the shorty?""
I'm bustin niggas with my six-shooter
I get so much pussy my dick be in stitches
Red-boned or even fucked-up black Zulu bitches
What? This lil nigga is a mad stalker
Brooklyn, New York will grab the leash around your neck and then I walk ya
If youse a bigger nigga bigger niggas get bucked
Cuz I'm the Buck and I don't give a fuck my dick you can suck
Buck is a killer, thrill a nigga like Manilla
I'm small but I'm strong like ten fucking gorillas
A crazy-ass nigga puttin Brooklyn on the map
I never gave a fuck, I never give a fuck, cuz I'm all that
I take no shit see, givin the Buck fifty
I even blew your bitch cuz your man tried to stick me


Ahh shit, a personality split
And I'm bout to flip with my nigga pull the trigger let the Glock spit
A little bad-ass shorty with no remorse
I kill forties and quarts remains on stage so who the boss?
Another boom blew up the scene
Throughout the planet, get green, now I got sticky mean with my tag team
G want a clip thinkin I'm takin this the underground moves
There ain't no more fakin if you're fakin I'm bakin it
Straight up and down, nuff respect to Bucktown
Home of the chrome, where I roam, not givin a FUCK now
Damn, just when you thought it was safe
To come out, with a rhyme, I got the nine to your face
Boom, hooked up with Black Moon, now it's on for real
So I pack more steel lookin for the kill
Hope you're not the picture on my scope, cuz the dread'll
Pump lead, from the black Smith-and-Wessun, nuff said",https://genius.com/Black-moon-black-smif-n-wessun-lyrics
Ack Like U Want It,Enta da Stage,1993,"Boo-Ya-Kaa, check my file and my style
Never on the Isle, Buckshot was a juvenile
A little freestyle fanatic, I shot the rap addict
With an automatic, now I got static
See back in the days, I was a stone cold hood
And now I'm just a paid hood, still up to no good
With my crew from the Heights and the Island
Still flippin' niggas, and we still be buckwildin'
I never changed, never rearranged my finesse
Buck one time to your chest, through your vest
F.A.P.: Franklin Avenue Posse
You can't stop me, cause my shits never sloppy
I'm always on point, I pack, a joint and a burner
Flip a scene, coming from a Teen like Turner
Take it from another brother coming from the ghetto
Once I get my ride ain't no need for the metro
I get paid to rip, step aside I'mma blow you
Don't try to shake my hand money grip, I don't know you
I'm just a hardcore, raw, straight from the ave
Leave another question and you might get blast

Act like you want it!
Act like you want it!
What! Bring the drama
Act like you want it!

I bursted in a rage, catching wreck on stage
Blowing up the spot, I leave my name engraved
You frail ass niggas want a piece of the 5, but
You can’t fuck around with the nigga that’s live
Here catching wreck, with the Buckshot Shorty
Spark up that L, cause it's time to get naughty
Then he looked at me as if I was insane
I'm just a real nigga with a lot on my brain
The pressure starts to build, when I grab the steel
Giving niggas the raw deal, with the mad appeal
This time around, I flex the Tec with ease
And if you really want it, I give an extra squeeze cause I’ll
Carve out your heart, and leave it pumping in my hand
Spit on your grave, and let you know who's the man
There's nowhere to run, there's nowhere to hide
Cause, the 5 Ft. Accelerator, is at your every side
One time for your motherfucking mind...

Act like you want it!
Act like you want it!
What! Bring the drama
Act like you want it!

I ran to the boom spot, and shot the dread
He finished my nickel bag of skunk weed, now he dead but
Bust lead to the head, never did like a Fed
Rule with the mad tool, fool check what I said
I'm taking you down, I'm breaking you down, I'm real
Wiz, Tek and Steele, niggas, you know the deal
I’m for real no joke, soke on the gun smoke
Provoke, your dusty style, makes me choke
Never bite, but I write, when I grab mics
Boot your pretty bitch ass boy, and take flight
With my razor, the infra-red laser, blaze ya
Like cane, I raise your little shortie's bad behavior
Niggas better know when I flow, that 
I'm strictly business
And I’m in there when I flaunt it
Act like you want it!

Act like you want it!
Act like you want it!
What! Bring the drama
Act like you want it!

From the town where niggas always get bucked down
Kicked in the door, keep my finger on the pound
Word is around, that you're looking for the 5
Surprise, real niggas always survive
Don't be amazed, I'm alive from the flames
No need to scream now you're calling out my name
You little bitch ass nigga, you tried to take my life
Now I'm taking all you own, plus I'm fucking your wife
After that I'll have my man go and hit your only daughter
And leave her body floating in some bloody bath water
Just like a snake I hiss-s-slither on the ground
Nobody hears me move or even know that I'm around
You acting like you want it, now you're gonna have to get it
As I grab you by your throat, feel the heat as I just split it

Act like you want it!
Act like you want it!
What! Bring the drama
Act like you want it!",https://genius.com/Black-moon-ack-like-u-want-it-lyrics
Niguz Talk Shit,Enta da Stage,1993,"Somebody call the morgue, I just caught a DOA
Two to the head, I shot the bitch in broad day
No joke, I smoke gunshots you heard from blocks and blocks
I bust Mac-10s, oo-wops and Glocks
Shit, killing every nigga in sight
Bust a cap and crack a joke over your grave like Dolemite
Cause I'm a sick-ass nigga with no brains
Burst in flames, turn the mic into blood stains
Any thought I think, you blink and drink death
So I rip the mic and pat my nigga to the left
5ft. Accelerator, greater than your crew
Bring in your whole mob, motherfucker, you're still through
Yo nigga, where's my four-fifth?
I got more riff for any pussy niggas to forfeit
Bring it on, what, I got no shame
Buckshot's in the house and you know my name

Niggas talk shit but that ain't my steel'
Niggas talk shit but that ain't my steel'
Niggas talk shit but that ain't my steel'
I'm the type of nigga to put lead in your grill
(x2)

Slow it down one pitch for that ho with the lick
Pass the automatic, I'm about to flip
And spray niggas with my vocal loco B comes express
Lead to the chest penetrate through the vest
And when I roll mad deep niggas back off
Fucking with Buckshot it's blood you cough
I don't laugh or joke, I never choke on a blunt
But I choke a stunt if it's beef she want
So bring the motherfucking arrow and I play Rambo
When I shoot the crossbow inside the ho
And her nigga, triggers I'm addicted to
Like angel dust I bust holes in your crew
You're wack, face the fact, you're all on my jock
To the um tic-toc, I don't pop
So yo make way so I can make my debut
I'm funky but you're Pepe Le Pew


Watch your mouth, nigga, I heard you're talking mad shit
If you're really on my dick, bend, take a lick
Here's your choice cause my voice'll break backbones and necks
Who's next to flex and feel the wrath of my Tec
I spray, no delay, more jabs than Sugar Ray
I murder then I drop dead bodies in the bay
Beats with mad funk, pop the trunk
Play my tape while you lay back, puff the skunk
I'm no joke, I flip the script like De Niro
I'm a four course meal, you're a one dollar Hero
I'm sorta like the mob when I get the job done
Contracts and all that, guns, guns
So stay the fuck back or feel the heat from my gat
Buckshot Shorty, see I always stay strapped
With the nickel nine on my motherfucking waistline
Bitch, you know my name, bring it in",https://genius.com/Black-moon-niguz-talk-shit-lyrics
Powaful Impak!,Enta da Stage,1993,"Ayo this is straight for all them niggas out there
Who frontin' on some bullshit in the beginning
Fuck that

Blaaaww! Here comes the Buckshot Shorty
I kill at will, so guard your grill like naughty
Niggas call me Jeffrey Dahmer, why
I'm quick to bomb a crew
So fuck your armor, cause I cause mad trauma
No comma, straight through your mama like acid
I fucked her, then I jetted, that's why you's a little bastard
You talk mad shit with no back up, what's up, act up
You punk niggas get smacked up, word life
You fuckin' with the wrong nigga
I fuck too many on the mic, they call me daddy long trigger
Mister Buckshot, makin' the gun hot
From niggas who fiend to see my little ass rot
Peep my style, check my level
I'm so hot, I shot a fuckin' fair one with the devil
Booyakya!, watch your back, grab your fuckin' gat
Here come brothers who lyrically act
Hook: 
 4x
Boom!! 
(Repeat)

Some pack a mac, I choose to pack a black 22
By my waistline, buckin' your whole crew
I step through, and represent Black Moon
First, before I kick a verse, I puff a bag of boom
Lyrically I freak your funk you never heard
My shit is so fly, when I kick it, it's absurd
Damn, how I wrecked your life with one record
Made your crew break up and your girl get naked
Respected, because I work hard for my cash
Shakin' more flavor then Mrs. Dash
Look out below, my flow will hit your brain
I got dough, but I still hop the train
I'm bustin' niggas open, Attica style
Yo, straight to the jugular, brother you're mad foul
Gimme dap, because I rock with the best
Yo, peace to the hardcore niggas, fuck the rest


Fee, to the Fi, to the Fo, to the Funk
I pop junk and keep the pump in the trunk
Puff the skunk and get high, Oh lord
Get on my skateboard and do a motherfuckin' driveby
You little crab ass flea
Biting my style, you know the original rudeboy is me
Buckshot, no joke, smoke a nigga like buddha
Who the fuck you think you playin' wit
Yeah, I'm sayin' it
Cause I want beef, for you can hang here right
Yo, sometimes I wonder how the fuck you get a mic
But I don't sweat that, cause I 'm still paid
Niggas get bucked down, bitches get sprayed
I do what I must, just so I can make loot
If it's illegal, pack the gat son
You know how we do, true",https://genius.com/Black-moon-powaful-impak-lyrics
Slave,Enta da Stage,1993,"I'm gettin the ahh, I'm gettin the ahh from the
Weak shit that I hear no lyrical styles come near
To the one who boasts like Buck
On the mic truck, cuz I never gave a fuck
I hate the weak shit, man it be fuckin with my soul
I peeped how radio be trying to take control
Tellin me to get a little lighter on my lyrics
But if it ain't real on the mic I can't feel it
Straight from my bloodstream, I pump finesse
Nevertheless, hold it in your chest like stress
Rhythm and blues style is not in my environment
And when I ""slowww dowwwn"" it's time to take a hit
But until I fall off, call off your set
And if you never knew me, then you never knew wreck
Look inside of the mind and see
Cause you might be trapped with a nigga like me
I feel like I'm trapped in the motherfuckin cave
To the rhythm I'm a slave, lookin in my grave
Jugular vein bustin out my neck, you see the rage
I move when I groove cuz I'm into, the stage
Of the Buckshot, black, I'm bringin it back
To the roots, like Timberland boots, home on my rack
And I don't give a FUCK what you say
Commercial rap, get the gun clap, day after day
Niggas don't play on the d low, kid you know my steelo
I roll on more niggas than cee-lo
We might just bumrush your set
Me AND my niggas on the real mic check
Like my nigga Smif gettin swift on the gift
Then I toss another lesson to my nigga Wessun
And my nigga Five from the tribe of Moon
Pass the Crooked I, bitch yo pass the boom
Whenever you're ready I'mma take you into the stage
Deep in the mind of a slave",https://genius.com/Black-moon-slave-lyrics
Shit Iz Real,Enta da Stage,1993,"Check how I kick it, 
when I was wicked, around the way
Hold my Tec
, 
cuz my niggas pump by day
Drugs and thieves hit the eve of the night
Niggas who fake real, come on a real flight
Six feet deep in the creep
Mic technique got a nigga locked down for a week
Word is bond, shit is on like this
Gotta move, cuz I'm on a nigga hit list
You know the kid with the rock from up the block
Hit him up with the Glock now his pops on my rooftop
Ridiculous to think you're hittin me
You're not hittin' me you're gettin' me upset with the threat
But I'm a little nigga from the heart of Bucktown
My stomping ground is Brooklyn bound
Fuck what you heard, it's about what you hit
And if that's your girl, then your bitch ain't shit
Fuckin' all my niggas cuz they know Black Moon
Shit iz real yo, pass that boom
Ayo, I gotta dime bag, kid, word up
{Fuck that} Yeah, yeah, yeah that's that
{Fuckin' cravin' for it man}
Smif-N-Wessun
Take two and pass, muthafucka!
USA
Slobbin' ass nigga
{Pass the weed, kid}

Never parlay without a L
Inhale the first hit for all my niggas locked in jail
Then go for dolo on a cool André
Shoot the wack in the back and I'm aiight all day
It's hot, shit is on, ask the cop
Tell the dreadlock that I rule the block
Ease back, nuff man ah die like that
An yah pussyhole ex-man shot in your back
Word to my hard rocks on Franklin Ave
Feel the bloodbath of the aftermath
The wrath of Duck Down, Bucktown is real
Word to my nigga Five Ft, hold the steel
On a nigga who faked the jack, yo lift it back
Fuck where you're from, it's about where you're at
Where your gat? Whenever you're in Bucktown
Shit iz real, all you hear is the sound
Word is bond {yeah, yeah word}
Y'knaamsayin?
Whole muthafuckin' Bed-Stuy frontin'
{Yeah kid}
Knaamsayin?
Dis lil Hav' {yeah, yeah, yeah}
Y'knaamsayin?
Mobb Deep in the house
And my man Buckshot
{Yeah, yeah, yeah}
Shit iz real, kid
T's in the house
{Shit iz definitely real, kid}

I'm real, shit iz real, fuck the raw deal
Pick up the bitch in the back by the field
On the word, shit is heard in two-third
Pump herb to my niggas from a nickel bag of absurd
On-The-Real is locked down, what?
Beast can't step one foot in Bucktown
Mr. Ripper; hit your back up with holes
All my niggas orgy mad loads
Knows, all about the breaker of the cash
Nigga nasty-ass, sittin' all on my Bill Blass
I got a vibe in site, hmmm
Maybe cuz I had to get it on last night
With a nigga from up the block, who walked the rock, realer
But in a knuckle game; I'mma head swell 'im
And when it comes to loading clips
Niggas talk shit get hit with the Tec and the hip
Straight from Bucktown, U.S.A
All my niggas must represent e'ryday
On the steel, shit iz real word to feel
Shit iz real, yo shit iz mad real
Shit iz mad real {What, what!}
Back up, we gon' flow
Muthafucka!!!
{Moon, Moon! What, what!}
Fuck you!
What, I'll punch you in your muthafuckin' face, what!
All you bitch-ass niggas
You wanna jam with me?
{What, what!}
We don't need that here
We don't need that here
{All you bitch-ass niggas!}
{All you bitch-ass niggas, what!}
{What, what!}
Wut the deal?
Wut the deal?
Bucktown",https://genius.com/Black-moon-shit-iz-real-lyrics
