title,album,year,lyrics,urls
Whoa,Life Story,2000,"[
Intro
]
I'm getting ready to put y'all up on something, man
Yo, when you see something ill, know what I mean?
That shit is whoa,
 anything ill you see is whoa
Nigga, have a big 6 at the curb, that's whoa
Especially if he got the 
fully equipped kit on it,
 it's whoa
Like you know what I mean?
 Like, yo

I had this bad bitch Uptown, she was whoa
Had me fucked up in the head, I mean whoa
Bought the bitch diamonds and pearls,
 
I mean whoa
Shoulda seen them shits shining on her wrist,
 whoa
Now money ain't a problem, see my dough is like whoa
Pulled out my bankroll on y'all niggas like whoa
Floss the blue shrimp from two-tenth like whoa
Faggot wanna peep my blueprints, I'm like whoa
Had to hit the brakes on y'all niggas like whoa
Niggas getting pulled on my block
 like whoa
Coming home within a half an hour like whoa
Fronting like they had the manpower
 like whoa
More or less,
 Moreso

I'll rip your torso, I live the fast life
Come through in the Porsche slow like whoa
My niggas, like dough, light 'dro
Nitro, might flow, nice clothes like whoa

Ease pain with cocaine like 
whoa
Now I'm 
Doc Strange
 in the Range like whoa
Hundred miles an hour, switching lanes like whoa
Plus I'm getting brain from this chick like whoa
Finger near a nigga asshole like whoa
Scene floss riches and bitches like whoa
99 Jag Benz Coupe
 like whoa
Keep them cheese lines on your blocks like whoa
Grenade through your window bitch, like whoa
Love to see me do this shit, like whoa
Niggas put me through this shit, like whoa
So I'mma go toe-to-toe, blow-for-blow like whoa

I'll rip your torso, I live the fast life
Come through in the Porsche slow like whoa
My niggas, like dough, light 'dro
Nitro, might flow, nice clothes like whoa

We bag it, then flip it like whoa
Cars we jack it then strip it like whoa
Fully equip it, front to back, like whoa
Spitting on fiends that come for crack like whoa
Asking for shorts and shit, nigga like whoa
Half on his crunk, now nigga, that's whoa
Flow so properly you'll see I'm whoa
Ain't no stopping me, 
I'm deep like whoa
Guns be popping, B, we creep like whoa
Hear my name in these streets, it's like whoa
Must I pound the concrete
 like whoa
Fill his bitch ass, head to feet like whoa
Your man ain't whoa, the judge ain't whoa
C.O's ain't whoa, P.O's ain't whoa
Play y'all self, I get the G.I. Joe
D-I-C, K riders ain't whoa

I'll rip your torso, I live the fast life
Come through in the Porsche slow like whoa
My niggas, like dough, light 'dro
Nitro, might flow, nice clothes like whoa

Niggas getting money in VA is whoa
Honies looking right in ATL is whoa
Niggas pimping hoes in Chi-Town is whoa
Bitches taking paper in L.A. is whoa
Niggas stacking dough in D.C. is whoa
P.R. D.R. hold me down like whoa
Ballers in Detroit hold me down like whoa
Niggas in New Orleans getting money is whoa
Boston and Jersey, mothafuckas is whoa
Florida niggas and Philly niggas is whoa
Tampa and Texas, Cleveland is whoa
Memphis and Lil' Rock, my niggas is whoa
Panama niggas they hold me down like whoa
My New York peoples they hold me down like whoa
Bad Boy nigga, word is bond, we whoa
Alumni bitches, word is bond, we whoa
N.C, S.C., mothafuckas is whoa
My nigga Buckwild, word is bond he whoa

And that's just how the story go
And whoever I forgot on this shit is, whoa
8th Street, 
Life Story,
 
Petey P, that nigga
The beat I got from big Buckwild is whoa
That nigga Black Rob on the mic is whoa
My whole fucking flow on the mic is whoa",https://genius.com/Black-rob-whoa-lyrics
Life Story,Life Story,2000,"The world ain't no different now
The world ain't no different now

Never had a dime, my life a crime
Had to be when I was nine, Moms drunk off wine
Running with all kinds her mind stayed in the stupor
'til the point she paid no mind to the super
Stay mad but stay fronting with smiles
Stayed on the growl and eating once and a while
First day of school never had nothing too style
Mister Colondre stressing, I ain't coming in a while
It was a bummer, rocking the shit I rocked all summer
On the first day, I was feeling some kind of way
And she wasn't trying to do nothing, you would think
For the sake of the kids, she'd enroll in school or something
Now I know then was even harder
'specially for a single mother raising me with no father
Shit living up in this tenement, eating stale Entenmann's
Talking wild shit to Spanish immigrants
I speak in codes, man tú sabe
Always! Cállate! Bendición to my madre
Even though she never did nothing for me
Acknowledge me as I run down my life story

You don’t know, how crazy it is outside
I’ve died inside so many times
Oh, I’ve cried, oh, I’ve cried

Check the skit, nobody never gave me shit
If anything a nigga framed me and made me get
3 to 6 my first bid, no doubt up in Spofford
Had to be 12 son, trying to make a profit
Remembering robbed my Moms with no guilt
Eating pork and beans, old corn flakes with no milk
Bitter, in school I smacked cats in a hurry
Moms ain't care she busy getting drunk with Mrs. Berry
On the first floor, I used to thirst for greenery
Picking pockets with Seth and Jay from 106th Street
Yo, fuck home, I'm tired of getting punched in my dome
Tired of hearing this faggot-ass nigga moan, I started roaming
My hustle game is deep, cats ya heard
From San Fran back to Manhattan to Newburg
Notorious tell your friends to spread the word
Glorious, my life story is absurd

You don’t know, how crazy it is outside
I’ve died inside so many times
Oh, I’ve cried, oh, I’ve cried
I know I haven’t been the best
I’ve shown you things you shouldn’t have seen
Can you forgive me? Can you forgive me? Oh, my baby

Home from Elmira, got a little brighter
I'mma keep it real still a schemer and conniver
Recognize the struggle, living like a thug do
Hatred in my heart but inside I love you
See no matter what I will extend my arms to hug you
Knowing that I'm just like you, I am like the double
All I wanna know is how you pound me down
Yo, this shit is real and you really jerked me around
But any way I am getting paid with Puff now
'Bout to cop you a house I can send you some stuff now
So many levels jail take you
I appreciate jail 'cause it made me appreciate you
I've been through fire and brimstone
Used to be diplomas in jail, now I cop the gem stone
I remembered when you rushed me
The time you said you should of flushed me, I forgive you ma trust me

You don’t know, how crazy it is outside
I’ve died inside so many times
Oh, I’ve cried, oh, I’ve cried
I know I haven’t been the best
I’ve shown you things you shouldn’t have seen
Can you forgive me? Can you forgive me? Oh, my baby",https://genius.com/Black-rob-life-story-lyrics
Espacio,Life Story,2000,"Dangerous niggas
Uhh Black Rob shit
Y'all don't know?
Uhh Uhh
Danegerous niggas
Lil Kim and Black Rob yelowman
P Diddy , the moment you all been waitin for
Murder yeah , ha ha yeah

What y'all riffin about, hang em like they did in the South
Dead wit ya dick in ya mouth
Now what this shit is about, niggas sleepin
Like I won't slip in ya house, and put my dick in your spouse
Till you get home, I'm lamped like a part of ya couch
Then sit on me, that's what I'mma spit filthy
Pretty swiftly, til them coppers come and get me
Tried to tell his coward ass it's real
Actin like I can't get through that Slomen Shield
I'm a veteran, I'll take leathers and furs in front of him
Safe cracker, moved from New York to Jers
Still sending ?kites with birds?
Nothin's heard, feds wanna tap my word
Take vehicles off curbs, tools off herbs, jewels off of all you nerds
You swerve, I splurge with all yall riches
Comin to joke and blind all yall bitches
Give respect where respect is due
Keep frontin, and I'mma put the tech to you
Coward
CHORUS: Lil Kim and Black Rob
Dame espacio
Man back up off me
Dame espacio
Can I get a minute to breathe?
Dame espacio
That means give me space
Dame espacio
Damn back up off me

Like I'm just talking like I never did these things
Snatch chains and rings, teddy bears from siblings
I did things some of yall cowards might not imagine
Like run in the stores, gun drawn, spasm
Press the button bitch I'm not havin
Or it'll your super employee leave in a bag and
Black wagon, bait boy I'm not braggin
It's a promise, I'll take em to school like Nastradamus
It's my thing do what I do best
Want the treasure chest, and that dough in your girl breasts
How dare you try to stash yours in your drawls
What's mines is mines, what's yours ain't yours
Get his whip, watch how quickly I paint yours
Watch poppi and them, hit it up with the paintballs
Coward niggas, got the gall, thinkin I won't lamp in the hall
Like New Year's and drop the ball, bitches!
CHORUS

Where I come from, we all got guns
Be a hundred of yall and we still won't run
Call the cops, they still won't come
We bang on niggas like we playin the drums
These cats think they know me Black
Well I hit em over the head and say ""Homey don't play that""
Listen to they rhymes and say didn't I say that?
Damn, I'm the shit, it's like I'mma nigga they be bitin my dick
Get on some old school shit, bitch run your kicks
Go on y'all can have my flow
I extort y'all hoes for all yall dough
And by now I think all yall know
Who's the winner, still champ by 
T.K.O.
 WHAT
CHORUS",https://genius.com/Black-rob-espacio-lyrics
I Dare You,Life Story,2000,"I dare you
(Uh, Harlem Underworld)
To come against me
(Harlem Underworld)
I dare you
(Black Rob)
To defeat me
(Watch the whole thing unfold)
I dare you
(From 100th street)
To come for me
(To 200th)
You won't win
(Manhattan)

Nigga's got me sittin' on the roof
Eye trained, on scope, blessin' 100 proof
Hand on toast, 'bout to roast
Some kids who flash like they assassins
Picked up my dough and b-ked this honey passin'
Got the spot on lock
Taking flicks around the corner
She made it where the spot ain't hot
Like a potato, she got five-oh on the payroll
They sniffin' yayo, I don't know what to say, yo
There they go in front of the store
Dressed in black shit
Some like theys are meaner
If they be hustlin' backwards—fuck 'em
Can't even do one thing, assassinate 'em
That's it, that's all, solo
Single, no more, no less, shots rang, yo
Money caught one in his Kangol
D.O.A. as his man made his run for the door
Caught 'em in the 'gaitor shoes his girl probably bought him
Too bad, Black ain't get the chance to extort him
Cuz niggas like that don't deserve to live
Word the myth
And we ain't got no love to give
For these drop shots who wanna be down
Wanna be clowns, the fail ones
I like how all that good shit sounds
And I dare one

I dare you
To come against me
I dare you
To defeat me
I dare you
To conquer me
You won't win

Nigga, I slay, you pray, kill that ass uptown
Dump yo' bitch ass back around your way
When I'm in one of those moods I can give a fuck
I mean cool, run and bungie jump off the fuckin' roof
I hear voices calling me, givin' me fits
Singing tonight's the night Black Rob, let's write these hits
In the halls of death, you get left, I'm in the top 10
Even Rocky trainer and his wife said you can't win
Scream battle, but you never fought
That's like me sayin' I got five, never ran a full court
Stab the devil in his belly, took his Pelle Pelle
Blew the spot down and slid straight to the tele
I see envious eyes, envious guys, different states
Mad we seein', different cake
Rob me, tear that asshole out of place
’Cause in the end, I'm the head case you gotta face
And I dare one


It feels good not to be dealin' with petty cash
Me and D-Dot all we seein' now is ready cash
And ready ass, splash in the Jacuzzi
Honey from the movies, south notch cutie
Used to go to Howard with D at the homecomin'
On my way from Kakalak
Me and Merse was gun running
Musta done something all conspicuous
Eye of the tiger, I know these cats are sick of this
Ridiculous sayin' these cats don't love Black
This is Bad Boy, I put it where it 'posed to be at
Lemme know where to put your rosary at
My enemies, I let 'em get a load of me gat
Fine, you don't believe Black real official
Playa way, get your mom's cake, and kiss you
You leavin', wasn't part of this plan
Understand it's all about the Bengi's man
And I dare one",https://genius.com/Black-rob-i-dare-you-lyrics
Jasmine,Life Story,2000,"(Verse One)
Yo had me in the LQ
Yo shit was mad bumpin
Rappers on the mic was like settin off somethin
Now parties like this yo god
I like lougin observin everything inside my surrounding
Jasmine dancin wit this non-descrip sucka
Okay cool as long as the sucka don't touch her
Ya know
Get the urge and can't control his hand
Get a body bag cause ""mauh"" he's a dead man
She was coolin sportin my cable
When the dance was done she like walked back to money's table
I sat there like shit I can't believe this
I wish you was there big fella so you could see this bitch
Sittin there boo legs wide open laughin gigglin smilin and jokin wit homes
Like they use to hang out real real tough
He musta had a strong rap cause Jasmine looked gased up
Sittin there played the role of a slouch
Just watchin to see how Jasmine played herself out
They sat there just talkin to each other
I thought this kid was alone he had five more brothas wit him
Wit out girl's now ain't this some shit
If she don't recognize the game they can kiss this shit
They introduced theyselves one at a time
Saw 'em say how you doin so Jasmine say ""fine""
I was laughin but there was more in store
I saw her get up start walkin towards the front door
I rolls too god and walked right behind em
So where ever they go it won't be hard to find em
I keep a guard you now I thought I better
Plus I keep the stash deep inside the 8 pound leather
Open doors vale was on the ready
At the end Jasmine's gonna wish she never met me
We're off two cars speedin deep in the night
I'm doin 30 on the straight away 60 on the turnpike
For Jasmine
(Chorus)
Playa freeze while I pull out my nine
Know that i've got Jasmine on my mind
Ohhhhh
Playa freeze while I pull out my nine
Know that i've got Jasmine on my mind
Ohhhhh
(Verse Two)
Word up ain't nothin changed but the weather
Still chasin them suckas in the '86 Jetta
Thinkin different thoughts still not understandin
How 7 people got in that fuckin Volkswagen
Enough of that god yo back to the chase
Yo man you should've seen the ruckus look on my face
Slowin down cruisin on the cool out mode
Then parked in front of his house on Gunhill road
Man I started to get out
Grabbed the rope and try to hang her
Before I let this posse drop shots gang bang her
They went inside man but I kept goin
Parked across the street wit out them even knowin
Got out the car I'm still schemin the house
Tip toed around the back quiet like a church mouse
If the neighbors looked out the window
They would surely get leerly and scream like ""BAHANDO""
Police they would hold my fate
But they didn't so I creeped up the fire escape
I saw shadow's inside a bright lit room
Which appear to be two bodies dancin to a slow tune nigga
I got closer decided I should check it
I saw Jasmine and one of them kids dancin buck naked
So I got the gat so I have no interference
When I make my grand appearance
For Jasmine
(Chorus)
(Verse Three)
I seen a red dot tryna lock on me
I can't believe these niggas tryna pull a pac on me
I admit they had the drop on me
Probably turned the burner around 20 degrees
So I could see
Who rushed me
Who knocked me out
Who tried to choke
Who tied the rope
Who left me this bitch ass note
I'm disgusted the murder she wrote
Money she oaked all of my coke all of dope
Up in smoke
Made you follow me probably so mad you wanna hollow me
But you won't be so lucky today so swallow me
Got your GS4 and your Bently rose took all of your clothes
And 99 bottles of Mo's
What she didn't know is about the dynamite in the rose
And if I get close I'll blow it cause I got the controls
At the toll on the phone wit this bitch Nicole
Said she left you in some hotel out in the road
Room 112 penthouse sweet alumni
On the 12th floor in front of her door was one guy
On some Brandon Lee shit he wasn't handin me shit
Understand me he flipped bust the 9 and he split
Had my heat cocked busted right through the sheet rock
How'd he drop he ain't the nigga I just shot
What's goin on all of a sudden it was nothin no jokin son
Jasmine holdin the smokin gun
By the time I realized I caught two in the chest had the vest
As I fell I'm not thinkin of death
Still fallin to a place remote conscience though
Long enough to see her aim and put one in her throat
So I got up all shot up grabbed the Prada
Faggots probably towed my truck
You know how my luck
Hoped in bleedin to death turned left
Thought of Jasmine and how she went out to the death
For Jasmine
(Chorus)",https://genius.com/Black-rob-jasmine-lyrics
B.R.,Life Story,2000,"Black rob, BR
Black rob, BR
'Bout to set the record straight, man (the world's famous)
It's '99 man, time to let them know man

Yo aiyo yo yo
It's kill or be killed
My skillz leavin' them chilled on ice
Like Vince Price when I flash my steel
They can't touch
Won't touch
Never touch
Drivin' around with the toast in they whip, never bust
Puffin dust like fiends
I mean, I want green ya shifty
Cop the big eight fifty, with the gleam
My team
Full of cut throats, with enough notes to write a fuckin' book
Take a good fuckin' look at these bad guys
Stay mad fly, mad high
In the Ford Expedi' and I don't expect to die
On some humble shit
I am on some rumble shit
When it's on you should see the shit I come through with
If you scared by a dog release the four by fours
I heard when faggot ass Don died he shit in his draws
On the streets black good like allstate, ya all fake
Just got paid but, fuck it I want some more cake
Y'all faith, in my hand
Now ya nervous man and drive my brains quick fast, at ya service
My brother Curtis, squeeze gats to celliums
I make it where you can't escape the parra, bedlums
I tell some, live yo life like Puff did
I did enough biz, ask anybody I'm rough kid

Black Rob, We Are
Black Rob, uh-uh
Black Rob, We Are
Black Rob, uh-uh
Black Rob, We Are
Black Rob, uh-uh
Black Rob, We Are
Black Rob

Yo, yo
I put a finger in the air
For the hearin' impaired
If you're hearin' this fair
Then you're hearin' it clear
Man I fuck with Rob, got put on the job
Don't question it to stars, I'mma put 'em in saw
Straight cake
I suggest you vacate
When I shake, they feel earthquakes in eight states
Oh trait, off the Richter, drunk
Off the liquor
Shot towards you mister
Off course it hit you, hard
It gets hard, I pick the card
Any card, any problem I'mma hit your squad
Eyes on the shapar when I twisted god
You think you got it all together
Get it ripped apart
Man you can't stand the heat
Stay up outta the street
Nigga turnt po-lice 'cause they shot at his jeep
I subtract like mad
Don't make me blast
I want it all, fuck half
Don't make me laugh
By all means
Get this money, it's all green
It's all good
And I wished that y'all would
Man fuck that, security told ya to tuck that
Now up that, now do you see where your luck's at?
I got the game by the balls
And I get all calls
So if you play too much I put the shit on pause
Blackout

Black Rob, We Are
Black Rob, uh-uh
Black Rob, We Are
Black Rob, uh-uh
Black Rob, We Are
Black Rob, uh-uh
Black Rob, We Are
Black Rob

BR
BR
Bad Boy Nigga
Harlem Underworld
Alumni
The one guy
The gun die
Day one
Life Stories
Black '99
Life Stories
I'm here 1999 baby it's on
I think I'm about to feel something here
We here baby
Bad Boy
Bad Boy",https://genius.com/Black-rob-br-lyrics
Muscle Game,Life Story,2000,"Yeah, ah
Ah-oh, startin' to feel this
Ah, yeah, startin' to feel it (nigga, this crazy)
Yo, who these cats think they is
Takin' they business 'round here?
Yo, dawg, don't even go there
This is ours, we built this from the ground on up
Now it's flowers, I think you best to round on up
Your entourage, slim chance of y'all gettin' large
It's non-cipher, that's because B R's in charge of the set here
Cats is known for gettin' wet here, and left here
Till the cops come pick us up

Steppin' in territory that's corrupt
Pushin' your luck
Intrudin' where shit's already sewed up, nigga fold up
You and your two amigos'll get slain
This ain't the place to try to gain fame from
You gets burnt in the streets a nigga worked hard to make
And I'll be damned if I let another brother take it alive for his own sake
They better vacate promptly
Before they get they ass stomped
Listen, take heed to what we sayin' niggas

It's all in the muscle (muscle game)
It's all in the muscle (muscle game)
If you don't have the muscle (muscle game)
And you gotta have muscle (muscle game) (We lay down the muscle game)
You see, in this game, only the strong will survive, and the weak shall pass
See, a lot of cats think with they brawn, not with they brain. Ha
C'mon, man. Fuck with me, I'll drop a million dollars on your head
Erase you and your whole family. Beeyatch. Come on. Now that's muscle

We won't lie, sometimes we stick 'em up
Last time it wasn't us, though, word
Like some hoes did 'em up
And nine Glocks hit 'em up
How I know it was your dough?
Cuz I was right there when they split it up
See I could tell you where to find the corpse
But that cheddar, I'm afraid, dawg, that's gone forever

Greed for wealth got us stingy
We got a spot that's hot, niggas envy
The fact we clock mad dough
They wanna see us shut down, but no
I don't think so, the crew is still rakin' in the cash flow
For every dimebag sold on this block, we want in
One slung behind the back, it's under the skin
When niggas try to step to the block and bogard
We can't see it happenin', warned them first, ""Get the fuck out of Dodge""
Better believe that, test it, and see if we don't put you on your back, niggas

It's all in the muscle (muscle game)
And you gotta have muscle (muscle game)
If you don't have the muscle (muscle game)
And you gotta have muscle (It's all in the muscle game. We lay down the muscle game)
See, talk is cheap, but Bad Boys move in silence. You ain't even gon' hear me comin'. Ha ha. You just gonna wake up with a bunch of angels flyin' around your head. You feel me? You're dealin' with another type of muscle

Now bein' that it's all out war
I'm bringin more than that 4-4 (Come on, take that, take that, take that, take that)
Watch me dispose of all y'all
Y'all fraud-ass niggas, tape-made-me-bored-ass niggas
Gun-bigger-than-sword-ass niggas
Now enter in the ring, gun drawn, makin' moves like pawns
Two at a time, comin' for mine like it's on, nigga, CBS
He can't be serious, Finesse
He don't believe I keep a gun under the vest

You think you can destroy this empire we built from scratch, you're stupid
I wouldn't care how ruthless your crew is
We got defense for this area
Try to attack, mad niggas on the barriers
Just dyin' to blast back, bitch
There'll be no givin' and no takin', definitely no breakin'
Laws we lay down, here's the situation:
Severe torture is what those who offend us face
I show no love for a punk-ass nigga we hate
Tryin' to pay me no brow and then come up missin'?
Happens to hardheaded niggas when they don't listen
I gave you fair warnin' bout the danger you're messin' with
A stranger invadin' a street corner is a goner
Try me if you think it's a lie, the attitude many niggas have
But in the process many die
Thinkin' they can step to the block and bogard
I couldn't see it happenin', warned 'em first, ""Get the fuck outta Dodge""
(""Get the fuck outta Dodge"")

And you gotta have muscle
And you gotta have muscle (it's all in the muscle game)
If you don't have the muscle
And you gotta have muscle (it's all in the muscle game)
This is our game right here. We ain't playin' with you weak niggas. Come on, now. I been doin' this for too long, man. If you ain't got the muscle, better have that hustle. It's 1999. No more mister nice guy. I've been nice too long. I'm just gon' start makin' y'all niggas disappear, man. First, I'm gonna take your records off the radio, then I'm gon' motherfuckin' erase your social security number, you know, take your birth certificate out of the file. I'm gonna do that to your whole fucking family, I ain't gonna have no mercy for you. You understand? Come on, mister nice guy. If you ain't got the muscle, you'd better have the hustle, or keep your motherfuckin' mouth shut, beeyatch
If you don't have the muscle
And you gotta have muscle",https://genius.com/Black-rob-muscle-game-lyrics
Spanish Fly,Life Story,2000,"Yo look clown I come through bully down
Keep thinkin that you hard take a look around
I got soldiers stationed up to bring pain
And when it go down my hoes do the same thing
We all in the same game, we all willin to bang
Ain't nobody going against the grain, so take aim
B.R.'s evasive, cut all the faces, catch all the cases, this real
You rather bet'cha life than face me
I mean I got this rap game locked with more cake than Tastee
Black the feindest, this title I hold I won't relinquish
And this type shit you shouldn't sting wish
And one phone call and I'll extinquish, I mean this you seen this
Blue steel fo-fo the caliber, Excalibur, Im'a destroy my next challenger
B. Rob high post MC, 
quick to spray Raid on the roach MC
So don't be apporachin me without the cross and rosary
Who this nigga 'pose to be, I blast him in the open beef
Damn Black, how you do that der?
'Cuz we..dont..care, I'll take 'em there
Chorus: Jennifer Lopez
Last night, I dreamed of some more dough
Some crystal, sixty thousand, and ten dimes of 'dro (I'll take 'em there)
Last night I realized I'm dreaming
Too late now, guess I'll finish what I started baby

Y'all niggas heard the first verse no doubt shit bangin
Verse two make sure none of y'all left hangin
Got honies lovin this shit too, one wit'choo
Long as you know my pants don't fit'choo
Money good look, understand why he shook
Shit I'm rich, face all up in the Guiness Book
Check, all the records I set, its major
Check, that the sets I wreck with flavor
Fuck that cajun, guns stay bond cock
?Boiler on lock? hold shit down like Fort Knox
Man, knock the rhyme unorthadox
What'cha barely understand, shit I deal with the L.O.X
Give me the props, Im tryin set a mark this year
And bring the equipment out to the parks this year
So y'all could see how it used to be
I'm lookin towards the future see
Black here to stay, its time y'all got used to me
Puff said Black ain't tryin to fit in
Up and down the coast can't count the spots I've been in
Put'cha bid in
Chours

I hit a ??? if my name was Teddy Bender
Hot beats and hot rhymes tossed in a blenda'
I want ch'all to feel hardcore, nothin tenda'
Blessed this mic for as long as I remember
Y'all can't see the Rob, uh-uhh, y'all must be stupid
If I owe Shawn Combs any money then I recouped it
I looped it, this fly shit from ?Nebogada?
Me and Yogi and Hard Pierre from You Dont Know Me
I dare you to come against me
, run against me
Use your gun against me, you finito, finished
I've seen wild cats diminished, foldin for, Bad Boy's known to ball
Internationally, I'm sayin actually
I have to be the next cat to go and sell a million records casually
So, prepare yourself for the storm, Nineteen-nine-nine its on
And I'm just gettin warm
Chorus",https://genius.com/Black-rob-spanish-fly-lyrics
You Don’t Know Me,Life Story,2000,"1- 
You have never seen my face before
You don't know me
Oh, no
You will never see my face again
You don't know me
Oh, no

You've never seen the gloves of an Uptown thug
You say I move drugs, cuz my shit is unplugged
Everywhere I go, results hound our love
Black gon' bless them like the heavens up above
Catch me in the new wave cab with ten bags of that Dro'
The shit you grow in H20
Got beef so I'm taking it slow, making it grow
Right now my main concern is making it blow
Guns and ammo, man, yo, you gots to understand, yo
I'm not the one that hit them with the banjo
Here y'all is, bringing my fingerprints
Up in them cameras and shit like I fucked a singing bitch out
Ask her if she seen my face
Right: Look- I was out of town getting cake with Moore and Little Shake
Wasn't even out here in New York State
Trying to play me like a goat, like my name was Scape
Now you mad, son
Repeat 1
Called a nigga sleepin', outside creepin'
We out in Mexico, for a fun-filled weekend
At least I thought I was, they had the whole place bugged
Still thinkin' I sold drugs, ice 'em up
Kick the door in, I fire escape 'em
From up top, bullets soaring, but I fake 'em
I'm hard to hit, Spanish speaking chick that constantly
And Mafia connections, chopping niggas, it's hard to get
Hit me with the 411, and a gun
Envelope, and transfered funds from Big Pun
Conversation, job well done
This shit is lifestyle now, shit, I do it all for fun
Rippin' the frames, got at least 20 different names
Know at least 20 different games with different lames
Not to mention liftin' Lane's credit cards and passports
Slayin' and flat on asphalt, still
Y'all don't know
Repeat 1
Repeat 1
I'm in the cell now, it's hell now, all stuffy
Seven numbers, told Harve to call Puffy
Say they got his man locked down in sick town
Gotta get him out, not now but right now
Catch him when they shift him when they open the yard
Hurry up, before these six rounds smokin' the guard
On the humble, I'mma just lay up for y'all to come through
Create a diversion; me, I start a rumble
Holdin' me, they ain't even take my flick
Got on Simmy's, they ain't even take my shit
Got my jewels, blended right in with these fools
On the sneak out, the peek out, had two left shoes
I'mma freak 'em, through the front gate, on administrations
All they felt was a gust of wind, still no facin'
Standing by the Crystal Lake, like I'm Jason
All they felt was a gust of wind, still no facin'
You late
Repeat 1 to fade",https://genius.com/Black-rob-you-dont-know-me-lyrics
Thug Story,Life Story,2000,"Heeeeeeerrrreeee we go...
Once upon a time not long ago
When I was outta town movin work with Zo
I used to bring my nigga B.R
And niggas with the burna's holdin' down B-R
There lived a jealous kid that was mislead
By anotha jealous kid who wanted me dead
(He said) Me and you are gonna push this rock
Once we kill Rob we takin over the block
They did the job, but didn't suceed
When I got up off the ground niggas couldn't believe
They started bustin and'a bustin filled my ribs like crusting
Had the vest on so it didn't mean nothin
One kid grabbed a tech and started sprayin erratic
But he fell, two slugs from my semi-automatic
Ran two blocks there was cops all over
Then I dipped into the building ???
Banged on the door of apartment 83
Some lady start screamin like she was afraid of me
Ran to the roof like ""Fuck that sista""
Ask an old man ""Can you help me mista?""
Got to the roof clutchin my four-four
Open up the door, yo guess who I saw (Who?)
Black and ?Deaf? now, ain't this proper
Guns drawn full of ??? toward the helicopter
Escaped alive but my ribs was shattered
Body all battered, and clothes all tattered
Deep in my heart I wanted revenge
But I let the shit slide til I saw 'em again
Pulled out my guns and released a clip (And)
Thats the way I gotta end this shit
He was only one fiend, tryin to live a thugs dream
Slugs to the chest, shoulda heard him scream
Now this ain't funny so don't you dare laugh
'Cuz anyone of us could catch the blood bath
Straight an' narrow is how niggas should live...live
Good night...good night
Knock 'em out the box Black

I just woke up in pain, my ribs broke up
Wifey on the side like Justin, shes kept the hope up
All thats on my mind is revenge revenge
Just then a few dogs kicked the door off the hinge
Go with the drawers on, man its cold as shit
Had the mag by the table, nigga hold this shit
He was one stupid nigga tryin roll for 'Delph
Not knowin that he might get killed himself
Now wifey being trained by the F.O.I
It was horrible, stabbed the otha cat in his eye
He was screamin tryin grab her actin like he had to have her
Swept him off his feet but got sliced with the dagger
Well in these times, well atleast to me
No true niggas rollin come in sets of three
And they won't stop rollin til you let them see
All the permanent scars that the tech nine leaves
Barely out the crib caught one in the leg
Couldn't even get my ??? had to leave 'em for dead (Damn)
That's cold, yeah I know, but the cold in the streets
The one who escaped is the one holdin the heat
Before I breeze grab coke out the freeze
By the time y'all hear this I'll be somewhere in Belize
With some bad asian chick layin between my knees
While I'm blowin off some trees, pumpin B.I.G.'s
Greastest hits, this was my latest shit
Watch how niggas act when they play this shit
This a lesson, shits for real no dressing
No ?lip? infestin, crab cats I'm addressin
Bad Boy, the 44 Mag, fresh off the rack
All you cowards and nasty ass hoes step the fuck back
This ain't funny so don't you dare laugh
'Cuz anyone of us could catch the blood bath
Straight an' narrow is how niggas should live...live
Good night...good night
Knock 'em out the box Black
Thats right
Black Rob, the craziest presentation
All you bitches
Bad Boy, Life stories
Alumni
Crumbs, crumbs",https://genius.com/Black-rob-thug-story-lyrics
