title,album,year,lyrics,urls
Mad Izm,Station Identification,1994,"Uhh! Yeahhh
I know you're diggin' this type of shit right here
We about to spark it on the mic, yeahhh
Come on!

All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm

The episode starts when I walk down the block, kid
Reach in my pocket, yo where's my knot, it
Follows me into the spot, compellin'
Go check the dread and yes he's herb sellin'
A punani gate, I'm a potential felon
Izm is smellin', like I ain't even tellin'
Channel one two, I'm smashin' the law
Channel three, I make a run to the store
Channel four leave the store with the Phillie 'cause I...
Spark the izm, I'm off to Channel Live

Wake up in the mornin' got the yearnin' for herb
Which loosens up the nouns, metaphors, and verbs
And adjectives, ain't it magic kid what I'm kickin'
Multi-flavored bags of sess, for the pickin'
So listen to the izm as it talks non-stop
Hawaiian when I'm rhymin' but so is the chocolate Thai
Now the high, starts to settle
Kickin' fat lyrics that rocks, like heavy metal

I'm comin' out to dance with da spliff of sensei 
When I speak, big up Mack, L.O., and Malik
Like John Lennon, yes I'm I-Z-M'n
I start grinnin', and syllables start bendin'
My style is intangible, like a wild animal
Check the label as it goes round it's on Capitol
That's what I'm smackin' you with cause it's easy
Like Lionel Richie, your whole style is bitchy
Switch me, mix me, somebody get me
Don't let me rip out my clothes like Bill Bixby
Rippin' the microphone 'til I'm motherfuckin' sixty
Smokin' the indo, by the window, it's sticky

Come spark the izm, my expertism, is lyricism
My flow will take you over, like I was hypnotism
So where's the lighter? To decipher, the skills that I'm bringin'
Hyper than a little kid on ginseng roots
And culture, my intellect will insult ya
Finish off your dead mind like a vulture
I gotta get mine, get a grip
Cause there's all these weak rappers steady makin' hits, FUCK THAT!
But '94, I bring the skills back
So listen now I'm doin' what I want to do and sparkin' mad izm

All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm

I come with notions, deeper than the ocean
Check out my potion, mad rhythm in the motion
The izm, brings the wisdom, when I kick it on the rhythm
Check it how I rock it in a cipher
Desire, takes you higher, lyrical messiah
(Yo yo yo yo-yo, pass that lighter)
Counterclockwise, I rise like the sun
Now feel the heat from the rays of the gun
Shootin' out the mental mist
How you gonna know the real shit when your style's counterfeit?

His shit is counterfeit cause he's motherfuckin' phony
Come into the jam, try to front like he know me
Hah! Listen to this new type of somethin'
Bumpin', '94 ain't for no frontin'
New type of lingo, catchy like a jingle
Roughneck hip-hop is drippin' from the single
Now, let me introduce you to the one
The Channel Live indo this loosens you up
Goin' through the channels of the remote control
Flickin' through the frequencies of your soul

Then roll the izm, the inflater, I'm weeded
Like wearing a sweater, at the equator, I'm heated
But I flip a style like I flip a channel
Step up and test the skills, you can get my tes-ticules
Cause hip-hop's been running through my veins ever since
So it wasn't hard for me to grab the mic and represent
Representing tormenting MC's craniums
Till they can't flow. Why? Cause I'm drainin' em
Don't mean to be blunt but don't front
I'm doing it for the love so now I'm doin' what I want
To do with my Channel Live crew so just listen
Dissin' wack MC's and sparking up mad izm

All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm
Mad izm
All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm
Mad izm
All we do is spark mad izm
All we do is spark mad izm
All we do is spark mad izm
Mad izm...",https://genius.com/Channel-live-mad-izm-lyrics
Sex For The Sport,Station Identification,1995,"Sex for the sport, the metaphor I kick is rhythmic
So listen, no competition, my love's Olympic
The pace that I set beats the mind until it scores
Waiting for the games to begin with my torch comes the javelin
The distance it can't be measured
The pleasure too deep, infinity marks the record
She's begging for my tongue to cease, so I halted
She wrestled me on the mat then up my pole she vaulted
Gymnastic flips and other tricks is how my game is
I'm live when I dive into sex like Greg Louganis
I don't come quick, sprints is not my meet
Sex for the sport a gold medal athlete

Can we sex for the sport of it, the sport of it?
Can we sex for the sport?
Can we sex for the sport of it, the sport of it?
Sisters bring your game to my court

Introducing, yes gives it to me and don't stop
My three forwards for boot knock
My main man Johnson jams hoops from the center position
To break her backboard's his mission
A guard name Jim Hats with mad control
His points to guard my brown balls to the hole
Or hoops no crap shoots, he plays close with Johnson
Johnson lost sense, caught a permanent bench
Don't stop
Bricks up my rock, rebound
Yes gives it to me
I stroke for the three
A trey was fouled for the four play
Back and forth, in and out my big brown balls sway
Then it drops
I got mad arch in my down stroke child
No referees so nothing's foul
We can get wild like the west
A full court press on ya chest with no twenty second rest
More plans than plants I don't miss backward tricks
Came out to see my Johnson slam out of flip
So don't trip
No need to bust your vocal cords
Crash, I shattered her hoop and her backboard


Stepping to my plate what's my fate
When I am swinging on a date I never rape
Just like I'm never singing
I'm wrapping when I'm batting
Louisville is hanging phat and fit the kitten like a mitten
Check my balls to see what's happening
I'm coming when I'm running to the 2's and to the 1's
Bases on your faces I hit the home runs
I'm not selling out
So I'm never popping flies
I'm going for the triple while I rose between your thighs
Forget the hi 5's
I'm collecting bucks
Wanna block me like a catcher but I'm coming like a trucker
I wear my hats when I bat
Correction say protection
Honey choke her for my wood cause I got the fat erection

So flip the quarter here's the order
I'm the giver you receive lay back
I've been in more sacks than quarterbacks
Let's kick off, this ain't golf
No little white balls to split ya up rights
I've been between more legs than Hudson Heights
She's on the rag, yellow flag, game delay
Won't touch her down for my brown balls it's out of bounds
I'm throwing hard balls and spirals, not Nerfs
No pushing up on breast implants, that's artificial turf
Like Buffalo I got Bills for Bears I Jets
I'm bucking hearing Redskins like a Raider when I sex
The Chief Stealer of a virgin of Saints I hit plenty
The flavor is 49er plus 20
{Whispering} {x2}
Sex, sex, sex, sex, sex, sex, sex, sex for the sport of it",https://genius.com/Channel-live-sex-for-the-sport-lyrics
Station Identification,Station Identification,1995,"What's your station identification
I spark a mental cypher lasting down through revelations
Take a trip into my mental cypher, I get hyper
Sniping-ass MC's, seem to get me higher
Like the buddah, bless the sess when I'm smoking
Hawaiian when I'm rhymin cuz there ain't no time for joking
Just lyrical bliss from the depths of the abyss
Rotating lyrical rhythms like the motions of the wrist
On a fag, I rag, wack MC's like Maxi
Pads, you can't see me
Intellectually, you shallow, mentally, you're just starving
I'm rollin on em like Calvin Butts up in Harlem
Wit metaphors, fuck a nine and clip
I make a rapper trip like white chicks in horror flicks
Identify your station or ?adjustment?
I'm transmitting, I'm giving MC's division, through diction
Cut em half, check the math, like magician
Conflicting pain on membranes
I'm running shit and killing flows like sewer drains
I maintain, no static feedback when I attack
Like Shaquille, oh so neal down as I appeal to the masses
I slash kids to ashes and dust, get strucked
As I construct skills that build, I don't be giving a fuck
Like chastity, my compacity's unlimited
Wit no gimmick, kids can't figure my structure like pyramids
I'm spirited like psychic and dead men resurrected
My wisdon's like prisms when light gets reflected, check it
My lyrical missiles, like heat suckers seeking
Never weakening, feeding off wack rhymers give me strength
Then I lengthen, wit no measure
Cuz I'm the ruler of styles, I rocket, the unidentified flowing object
Time for a station, identification
Wack rappers, open up your eyes, time for lyrical elevation
But you can't handle when I channel
Entering through mental panels, melting membranes like candles
Disintegrating mental matter, into ashes
Steppin up to rappers, just like the Titan Clashes
Bash an eyelash, my lyrical energy travels fastest
When propel by the leaves of Hawaii
Hardcore raps is about skills, so why do gangstas keep trying
I'm breakin on these muthafuckas like beat, street
I beat other rappers like Sega meets beats, the beat meets
Vocal technique like Panasonic
My rhythm moves in motion cuz my skills is like bionic
Identification, station switches wit my lyrical hydraulics
I'm cosmic, the unidentified flowing object
I find that you can't defined this, other rappers are blind to this
I'm seeing, you're bleeding from your sinuses
Cuz I'm on a higher plane, I'll be frying brains
I crack heads like cocaine addicts, automatic
Dramatic, I break backs, I'm chiropractic
I got mad, drastic tactics and static
Gymnastic styles it seems
Cuz I be flippin and balancing beams
Of radiation, devastation, you're facing, no tracing
You can't sketch a figure, abstract, no pullin' gats
If you're wack, my rhymes are triggered, you're dying quicker
I jack, cuz I rip a weak-ass rapper, I shatter
Cross em, toss em, the more erratic, flow patterns them in the war zone
Females, you need braille, you can't see what I'm speaking
In fact, your delinquency can't see my frequency
I speak to thee in tongues like the exorcist
You can't test this, I resurrect wit correctness
I'm defying like death is
Open up your eyes and, open up your ears and
Check your station, check your station (3x)
Open up your eyes and, open up your ears and
Check your station, identification
Open up your eyes and, open up your ears and
Check your station, yo, it's time to come real, now yo
Open up your eyes and, open up your ears and
Check your station identification, where you at in '94",https://genius.com/Channel-live-station-identification-lyrics
Reprogram,Station Identification,1995,"{*scratched: ""Reprogram"" - 2X*}

Internalize, externalize, check the exercise
Kick the lyricals, the buddha smoke, help me reach my high
My eyes bloodshot, buckshot, for the props
Say what you didn't know tell me why'd you sleep on Hak'
I'm not Sealy Posturepedic, the +Boom Bap+, I need it
To get this shit correct my style comes orthopedic
Get off my dick fucker, don't play me for no sucker
Herb
 I'm not a nerd 
I smoke blunts and kick verbs
When I serve ya like Agassi, pure agony of terror
Try to catch the beam of light reflected in the mirror
Never basic shit is dope cause I laced it with the flow
Ignorance is a sin when in my cyper so you know
Infinite potential, residental is the ol'
Illtown New Jersey
 if you heard me Glock the bow
One two three BDP troops hard
Any questions I was blessed with lessons from God
{*scratched: ""Reprogram"" - 4X*}

Three, six, oh is the flow
I got so many styles I come full circle
I treat you like a jock strap, cause it's my dick you jock
I got more props than Hollywood backdrops
I swing your head like back and forth like tennis
You got no lifestyle cause your style don't exist
I got the code for the green flow and yellow hits
I treat MC's like red lights, cause I be runnin shit
Causin drama, repents crazy like J. Dahmer
I'm hot like a puff goose bomber
And spittin on your crews, and re-fuse to lose
And get bruised rap's got breaded, I pay dues
I am me, don't try me G
I rip the beef off your back
You fuckin with the lion in me
I got troops, for soups or groups
They wanna stoop they get SLOWED DOWN like parachutes
Rippin ship my flavor kicks, like Ken-Bo kicks
So hold on, you never ever fuckin get it
{*scratched: ""Reprogram"" - 4X*}

Pass the +Boom Bap+ for the rap intoxicated
Pass the +Boom Bap+ to get my head elevated
Your man hesitated got done with the quickness
Cause the BDP crew, always rolls with the thickness
I'm soakin up your flow, on your neck I got the bounty
I heard you're hot and wearin a Jheri Curl in Compton County
It's Channel Live, I'm touchin on your brain like that
With the flavor for the roughneck that thinks abstract
When the chronic hits, I throw fits like epileptics
If you can't understand it, motherfucker just respect it
Rethink, replan, refine - react and redefine
Rewind this ridiculous rhythm and recline
Realize, as I reword, restructure
The rap game, you can't resist or recover brother
I'm like no other, I smother
From the sub-level thoughts, +Deeper+ than the movie +Cover+
But I'm not like Larry Fishburne, the mic burns
I rap with no delay, I turn-more-styles than the subway
{*scratched: ""Reprogram"" - 4X*}",https://genius.com/Channel-live-reprogram-lyrics
Homicide Ride,Station Identification,1995,"If Hip-Hop was a bid, kid I'd be a lifer
No jokin', bloodshot eyes in the cipher
My third eye's always scopin'
To leave a head wide the fuck open
Like a sniper armed with ballistics, sub-control thoughts
Simplistic flows, cerebral assaults
Weak MCs get me pissed like a urinal
One slept, stepped straight into his funeral
Put this flat-line fake rhyme
Too disgracing with my mind
Point blank up to his face and ""booyah""
The mental damnation
Gotta start tracing into a
New round, a journey to the other side
With me at the helm, he couldn't burn me
The results of the autopsy
Caught by verbal lead he couldn't lyrically stop me
Tight flows made MCs schizo, phrenic
Your * cisco's ? * caught in this rap epidemic
Cause I wet it, sucka MCs will regret it

You're ready for the homicide through your mind
You gonna die, you gonna die, gonna die

Here's the physician
Time to kick the lyrical analysis
I'm tappin' on your spinal cord until I reach paralysis
Now just sit still, this won't hurt a * taste ? *
Fuck the physical I lay your mind to waste
Rhyme like an anaesthetic breathe deep into your nose
Feel the pleasure move, now watch your eyes start to close

Intellect injected on the track like a vein
Trailin' up the arteries I'm comin' for your brain
Skull division, the incision rips the cerebellum
Brain membrane starts to burst cause I swell 'em
I make your skill come back from the gravel I unravel
As words, penetrate fucking up your mental state
More anaesthesia, your body catches amnesia
Lost control of how to eat, shit, piss and breathe
Ah his heart beat quickens, seconds keep tickin'
Time eternally I keep that asshole shittin' from the words
Projected out in cryptic it's the mystic
Was it really suicide, insanity was inflicted


I'm on a homicide ride through your mind
I focus on your eye's eruption, they shatter
And pieces scatter on the pavement
Insane bloody thoughts gush from your conscience
As I launch this attack through your eye cracks
* ? This verb will enter ? *
My structure turns to a blood cell yeah
Other cells ignite to make your diaphragm yell
Speaking in tongues like a demon, while I'm schemin'
How to turn this homicide of your mind to a suicide
It's do or die, I'm a goner
Got me trapped into a corner of your mind
But I metamorphosize
Bending like vision, multiplying
Now I'm a hundred deep in your head
And your brain cells are crying
Blood pressure’s rising, from confusion
It's your mind you're losing, now
I hold your thoughts hostage, with my intrusion
Jumped off your instincts, then go make a purchase
I convinced yourself to take his life, it's worthless
Ropes, chains, anti-freeze and the forty four
Flex still I relax there's ain't no pressure, no more
Wait, who's that, a second thought try to catch wreck
He didn't know I had all your reflexes by the neck",https://genius.com/Channel-live-homicide-ride-lyrics
Down Goes A Devil,Station Identification,1995,"Booyaka! Down goes the other man
I stand with bloody ass hands like Redman
Cause I just choked another
Called me in, provoked a brother
So I flipped the script like Danny Glover
The other day, chilling on the lines of unemployment
I feel like flipping and killing devils for enjoyment
My madness, started at the age of 12
When devil's burned down my house like we was living in Hell
It Ain't Hard To Tell like Nas, I'm in a rage
This planet is a cage, I'ma bust like a 12 gauge
From pressure and stress isn't something that can't be forgiven
Is it a dream or a dream that we be living?
 {x2}
Booyaka! Booyaka!
Down goes the devil
Down goes the devil
Down down goes the devil

Putting my head to bed, better yet I rest my dreads
Thinking about these devils and how they got me fed
Up, it's time to gun buck with my shots
Any questions for my attitude I just say, ""Why not?""
They've been fucking us
And they've been crushing us
Who stole 200 million from accounting, it wasn't us
400 years of murdering and pillage
Is why you get my middle finger walking through the village
Why increase the peace while beast increase the pressure?
I'm tired of the lecture, the speech is getting trifle
Brothers killing brothers, time to redirect the rifle
To the one who was born in the mountain of the Caucus
Now you're starting us
Walk us in the mall of , devil's trickery
Fuck the bickery with the west
The devil's got the hollow points pointed for my chest


I walk around maintaining not to be a rebel
But everywhere I look I go there's another devil
He plays a roll like ya down, faker than an actor
Before he gets to me, I'm tracking down a damn cracker
I got mad stress I can't take it no more
Day after day devil's follow me through the stores
Like my pores is sweating me and upsetting me
I don't steal but I wet ya G just for testing me
I always be looking in the mirror of my Land Rover seat ah
The overseer, pulls me over
Just cause I got a Jeep with a phat system
Put down your gun we can toe to toe mister
He thought he was slick like breeze the devil pulled his piece
You figure, he didn't know I was quicker
Non stop shots for Rodney King that's a given
Is it a dream or a dream we be living?",https://genius.com/Channel-live-down-goes-a-devil-lyrics
Build & Destroy,Station Identification,1995,"Yo Kris.. yo, where that shit at yo?
That ol' ill shit

I'm buildin foundations like a mason, I rock
The texture of my architecture connects the dots
It's the blueprints of sense, {?} submit
Rough and rugged so yo fuck it, my armor can't get dent
But technical, yo, I got mad precision
I'm wired like 'lectricians, got wind like air conditioners
My position is the foreman, I got more in store man
I know you dig this shit so stop frontin like the doorman
Now back to the schematic, get dramatic with the scene
Hittin nails on the head, like a carpenter with beams
Yo this ain't no dream, so don't sleep or slumber
I make the fluid flow like a motherfuckin plumber
Other rappers just get dumber, I just get smarter
She rock from the start, to make my lyrics harder
I reveal the deal so I'm somethin like a revelator
If it's over your head get your ass on the elevator

I build constructions of skills for destruction
Breakin through walls like wreckin balls
Demolition is the mission, you're facin
Whack motherfuckers need renovation - so face facts
I'm harder than hardhats, I jack like a forklift brain
I'm penetratin brainframes, with the truth as my jackhammer
Check the grammar, collapse ya structure
Surroundin and blockin off suckers
Like barricades, I'm blowin up like the World Trade
My center, it reads danger, don't enter
Down with {?} like a build and destructin
You're crumblin, while you're mumblin, sayin nothin
A structure's only strong as the frame
My knowledge is light, so I build to maintain
The levels of my impact smothers your conciousness
I wreck buildings cause I'm lyrically EXPLOSIVE
{""Hip Hop, Hip Hop!"" ""Everybody, run the town""} - repeat 8X",https://genius.com/Channel-live-build-and-destroy-lyrics
Lock it Up,Station Identification,1995,"My shit is thick like a wooly headed black Jesus
I was born to win skills like my nappy stuff
But when I gots my nappy stuff I got a flake or two
These irritatin flakes, I wipe them out the whole crew
Shinin through like the coconut, all on my scalp
Hey these irritatin flakes act like locks cause they dread
When I flex my nappy stuff, there's no whack jheri curl juice
In other words, a weak raps I never can produce
So cut them jheri curl raps, and try again naps
In skilled hard work, professor needs wax
Cause I got as many locks as the skins I busted
Extensions get dissed cause they can't be trusted
But I love it when they blow it feels good to my head
It's about the same length but two inches thicker
Like a dread from my bobbin head I swing back and forth
Suckers on me like my locks, they stuck to what sauce?

MC's dread my skills (but I got 'em locked up)
MC's dread my skills (but I got 'em locked up)
MC's dread my skills (but I got 'em locked up)
Locked what? (Lock lock it up now)
MC's dread my skills (but I got 'em locked up)
MC's dread my skills (but I got 'em locked up)
MC's dread my skills (but I got 'em locked up)
Locked what? (Lock lock it up now)

As my dreadlock twist like a fist I got the punch
Givin knots like my locks, I roll 'em up like blunts
Twirled in the riddle, just bring the comprehension
I kick that real shit, not the whack extensions
Pay attention did I mention, descended from Egyptian
Relaxed her then I waxed her, gave the girl kiniption
Fits, misfit, when you use that curly shit
I'm connected to the source, so I can make the hits
Like fuck it, I'm gettin, the ducats by the buckets
My naps are God given, so yo I can't destruct 'em
With the lye, no lie, so I bust the hemp
If Jheri wanna step, I slam him like Kemp
With the supersonic boom, we got the dreads in the room
With the actual, the factual, the self-manufactural
Diggin up the whack synthetic, pathetic
Hardcore to the roots, so I keep my nappy dreadded

MC's dread my skills (but I got 'em locked up)
MC's dread my skills (but I got 'em locked up)
MC's dread my skills (but I got 'em locked up)
Locked what? (Lock lock it up now)
MC's dread my skills (but I got 'em locked up)
MC's dread my skills (but I got 'em locked up)
MC's dread my skills (but I got 'em locked up)
Locked what? (Lock lock it up now)

I shoot them rocks like locks, I got you dreadded plus beheaded
Every verse disperse this metaphor that be embedded
In your cranium, MC's I'm slayin
They get licked and clipped like barbershops so just be fadin
Now barby master, rhyme styles get boasted
Hesitation, just wait a second, for those rappers
Who couldn't guess my combination, cause I got 'em locked
Hooked cause I twist metaphors in knots and kinks
You're not seein what you think, it's actual
Just like my nappy skull, my skills are nat-u-ral
For me to lose you with the style I kick
I got these suckers locked up (locked what?) ON MY DICK!

(Lock it up now!)
(Lock it up now!)
Lock what? (Lock it up now!)
Lock what? (Lock lock it up now!)
Lock what? (Lock it up now!)
Lock what? (Lock it up now!)
Lock what? (Lock it up now!)
Lock what? (Lock it up now!)
Lock what?!",https://genius.com/Channel-live-lock-it-up-lyrics
What! (Cause and Effect),Station Identification,1995,"Comin live and direct..
What! What! What! What! What! What! What! What!
What! What! What! What! What! What! What! What!

Some rappers, would they be without the use of the word nigga?
Time to make the switch, from the word bitch
Here's the message, catch it, no more Steppen Fetchit
(Rounds about clowns, here comes the verbal Hessian)
Modern day slaves, niggas'll trade for the riches
Our brothers ain't niggas and our sisters ain't bitches
Mental psychosis, negative osmosis
There will be a pimp, with some new type ho shit (yeahh)
Self-esteem knockin, yo I ain't your nucca
You call my moms a bitch, here comes the fist so buck up
Nigga means less than countin three-fifths
Conciousness seperates a woman from a bitch
If you visualize your woman as a bitch you'll treat her thus
If your woman is a bitch, then your daughter is a puppy
Raised her as a slut, dog scratch the itch
Up, Sugarwater taught her how to be a bitch
Skip past the bitch, and treat her like a woman
Your brother is your brother, not a nigga, fully human
So yo bust the track, this is how we act
If nigga/bitch is on the verbal it's time to counteract
What! What! What! What! What! What! What! What!
What! What! What! What! What! What! What! What!
(Yo!  I don't understand this shit man!
Sisters walkin around got it twisted
Brothers rollin around like they holdin
The shit is out of control, it's out of control!)

Cause and effects, effect equals the cause
Must be a jig-saw puzzle
Brother love the pieces put together
Illfully clever misfits, bitches to bitches
Bitch-made sister, made ho by the mister
Broke by my fist-a, I'm fed up, head up with conclusions
Mass confusion from the words we be usin, or choosin
A lingo, hatches, matches like bingo, nigga
Nigga makes a nigga pull the trigger on another
Yo brother equals brother
Nigga pulls bitch so deep in the ditch of degradation
But little is my civil-, this my -lization
Makes nation, station, vary like a letter
The header from my dick, N.W.A. fits
Like a dog to a bitch, nigga equals hypocrite
No portion of the foots, the foot don't fit
In the shoe and I choose to be effects of the cause
Applause because the black's breakin bitch-nigga laws
Laws of the tracks, niggas to blacks
So stop the nigga/bitch, yo what's up with that diss?
What! What! What! What! What! What! What! What!
What! What! What! What! What! What! What! What!
(Yo yo!  Hold up hold up, all this tits and ass
Sisters showin all they glands
Yo, act like the queens that you supposed to be)
What! What! What! What! What! What! What! What!
What! What! What! What! What! What! What! What!
(Brothers, yo, you better recognize
Cause right now we gotta start this shit up man
Yo, this shit is out of control, it's out of control!)",https://genius.com/Channel-live-what-cause-and-effect-lyrics
Who U Represent,Station Identification,1995,"Freestyle phonetic, check out the way I set it
Sharp like an ax get waxed or get beheaded
Metaphysical, lyricals, I slay ya with my syllables
I gotta hold the Planet so you know my raps are Digable
Praises to the DJ came correct when I was tested
Potentials infinite, Development's never Arrested
Contested, never pull the lever like a slot
Wanna pass through the gears I beam ya up like I was Scott
Tearing shit is glaring while ya staring at the test
Steal the ride while I vibe with my Tribe on a Quest
To the Pharcyde
Props to my Maestro man, DJ catched it while I flex it
Now pass to MC Kam
Back on a path now I Trailblaze another verse
Like Portland I got Heavy D but never need to curse
Ladies be chasing like I was Mr. Softee
My flavor is the Grand Puba Maxwell House Coffee
 (x2)
(Who ya represent?!) We represent hip hop
Kicking mad metaphors that just can't stop
(Who ya represent?!) We represent hip hop
Kicking mad metaphors I just can't stop

For Pete Sake let me Rock, spark this
I see/C an L gives me Smooth flow
Yo, yo take this metaphor slow
Cause it's gradual, lay back it's Casual
I Channel Live and if you can't catch it I'm dragging you
Through my Organized sights of Konfusion still exists
Get Funkee like Del, tattooing MC's like Hieroglyphics
I kick the real to the Public so I'm an Enemy
I Souljah Sister/since the scene get respect like the queen
I give it to 'em then I'm Swayze
A Hoodlum that's Intelligent for the Books
To keep from going Krazy like Drayz
A Poor but Righteous Teacher for the dead
The diabolical from the Soul, De La Soul however said
Now press the QB, you can't brand me with an X
Cause my Clan rolls thick to light MC's quick
Like a Flash I'm Kool like Hercules
So I'm Black like Africa so I Bam on the boom bap
 (x2)
(Who ya represent?!) We represent hip hop
Kicking mad metaphors that just can't stop
(Who ya represent?!) We represent hip hop
Kicking mad metaphors I just can't stop

Yeah, this the way we rolling in '94, you know what I'm saying?
Straight lyrical concept, going out to all those who understand
You can't disrespect and get with it you know what I'm saying?
Going out to my man TJ,  Noe,  and Disco, Feeds the Music
A Noisy Neighbors, rocking like that
Going out to my man Salaam, uh-huh and all those  Buckshot, Buckshot
(Peace, yo-yo, peace to the original freestyle heads, my man Louie Lou in Memphis, , Joey Ski, the Large Ski
All original heads...",https://genius.com/Channel-live-who-u-represent-lyrics
