title,album,year,lyrics,urls
Ya Bad Chubbs,And the Winner is...,1989,"This is an introduction
To music that just be pumpin'
While hits just be dippin'
The intention is for humpin' the floor
Shinin' the wood with our jeans
If it's denim don't worry
It's hip hop don't hem 'em
Money earnin' concernin'
I'll be teachin' and learnin'
Gettin' hot from my rhymes and my looks
Not from bourbon
No solution no remedy
No cure like a deodorant
Yo you have to be sure
That if you talk up or walk up into myface
That wouldn't become a big public disgrace
Cause I'll ban you, burn you up, and tan you
Treat you like the elephant
And man you will be hocked and locked in a jar with a lid
Hangin' on a wall in Michael Jackson's crib
Cause I'm bad, in fact I'm a thriller
I drink milk, that's why I'm a top biller
Like a funeral home, I'll make a killing
I'm not Giz even though I'm still chillin'
Guys say that I'm scary, girls say that I'm cuddly
Rough like bark but dark and lovely
This ain't no game and I'm no toy
And like Anita Baker, I'll bring you joy
With my word when I open my mouth
Ask Oliver North to go and break south
A homo is a no-no but you know I'll smack a faggot
Boy, you got to see me, I'm rich like Jimmy Swaggart
I'm a loon and ya know, comin' soon
A rhyme kicked to this Popeye tune
This is hip hop with a little be-bop
And I won't flop cause I can't stop
I will mop up the slop and then go to the top
I am not Robocop, I'm Chubb Rock

I'm Chubb Rock risin' and I'll break your leg
And I'm more than a forty ounce, I'm more like a keg
And I'm the big dipper, rippin' like Jack the Ripper
And if you want the proof, the proof is in my liquor
So you knew it and you blew it, let's get to it
Gonna run you over with a rhyme that's like a big Buick
And since you think you're slender, I'll slap you with a fender
And bind you up, wind you up, and grind you up in a blender
And then I'll serve you with coffee and cake
Oh damn, I should've had a V-8, oh well
I'll put you on a plate so it looks a little neater
You're a tramp, so I'll sprinkle salt and pepper
And paprika on your face, like mace
So you can taste immediately
Just like the base that went up your nose previously
So it seems you're too zooed to battle
What up chump, acne bump, skidaddle
You're a nine, I'm a ten
Victory is mine again, this Bud's for me
So here, take a Heineken
With your self-esteem, you will never redeem
Like Martin Luther King, you have a dream
That maybe you will beat me, maybe defeat me
But you're too illiterate, so I won't consider it
Weak is the word and the rhyme is identical
This is not the late show
And I'm not Arsenio Hall
But quite tall with the gall
And I have magic and I can play ball
And guys won't boo this, girls will jsut screw this
It's ludicrous but we can do this
Cause you're new to this, Brutus
I'm so smooth that I'm the smoothest
I'm not handsome but I am the cutest you ever had
That's why I'm so glad that I'm so good I'm bad",https://genius.com/Chubb-rock-ya-bad-chubbs-lyrics
Bonus Beat,And the Winner is...,1989,"Back in the days we wished to be a star
Rap in the street, bang the beat on a car
Swany D banged the hood so hard it would dent
While Dave and Rob just invents
A style so smooth and unique
But then Rob went to school, Dave's on Wall Street
With a suit and a tie, Rob has a book bag
But deep in their hearts I knew they wished they had
A chance to rap on the record heard on the radio
I was making my second album and said, ""Yo""
No time to rehearse
Yo, Rob, you're first
To kick your text
Homeboy, you're next

This is Rob, first to rock the microphone
To see all the chromosomes
The DNA structure
Will make you pucker
Up your lips
And say, ""Boy, he's a trip""
To Africa
People want to go and laugh at ya
Up you mighty race, you can accomplish what you will
Cause I will kill
The beat not the person, cause I don't ill like that
I just rap and attack
It ain't wack
I love being black
But you're scared cause society went boo
Don't judge me as one of the many, but one of few
That will do
Anything I have to do
To open your mind because you're numb
This is serious, but I won't extract the fun
So when I kick it like karate
Bite you like arare
If you kiss your teeth
There's beef
I have a shotty
That's home waiting
There's no escaping
Bum, don't you know the sum of the parts is equal to whole
And if you've got heart
Check out the roughest part
It's part two
Dave it's on you
To kick the text
Homeboy, you're next

My rap is synonymous with perfection
Suckers try to play me then they run for protection
Think about it when it comes to the rhyming
Originality, that with all the great timing
Cause rapping with authority is the style that I am using
So when you're at a party and you get to choosing
The best
I mean compared to the rest
For style and class there is no contest
I'm not offended
Or pretending
I'm just lending
A bit of my rhyme and then I am sending
A musical note to whom it may concern
You wanna battle me, then you'll have to get burned
Cause I'll meet you
Beat you
Over again
Send you to the bar for a Heineken
And then you'll come back for a rematch
Or some haps until we kick it
I'll say a fresh rhyme
Of course you'll vick it
Then I'll have to just beat you again
I'll have to slay you
Burn, broil, fry, and saute you
Cause taking out a punk like you is pure fun
I'll stick you with a fork when I think you're done
So savor
Cause I will not do you any favors
And all these suckers out there just Flava Flav imitators

Yeah y'all
No time to fall
I'm gonna go to the top
But I won't crawl
Gonna jump and leap
Not walk I'm gonna run
My pops is forty-five and I'm a son of a gun
It's Chubb Rock
If you was wondering who
It's a collaboration merely of the two
With Rob and Dave
They both had a page
We was all down back in the days
Doug, Martin, Gary, Johnny, Stan
Jamey, Danny, Tony, Ezra, and
Derrick, Joe, Russell, Kurt, Louis Roddle
Gene, Malcolm, Sean Fisher, and Donald
And the others that lived on Troy
This record goes out to my homeboy...
Donny Battle",https://genius.com/Chubb-rock-bonus-beat-lyrics
DJ Innovator,Chubb Rock Featuring Hitman Howie Tee,1988,"The tune is very slow, potent and sleazy
Guys  like Jamaicans (Just easy)
And my DJ is very scary
He has a multitude of cuts and he's also very
I learn to model the things that I knew
Containing a meaning, a moral or what have you
I rap hard, sing like Rigoletto
And we shall acclaim fame right in the ghetto
And Howie can anyone take you? (Nah)
I thought you might have lost it (Moi?)
Well I'm a DJ innovator
Well now I should think you might remember the faces
I'm Chubb Rock and behind me ten paces
Is a, individual who's happy and gallant
A remarkable producer who's showing his talent
Playing synthesizers, making musical chords
We'll be sitting next to Janet at the Grammy awards
And all the stars will never figure out why
A rapper like me is feeling up Janet's thigh
And I will be rubbing elbows with Frank Sinatra
Cause when I perform, I gotcha
Well I'm a DJ innovator
The records sounds hard, as Gibraltar
And when he does a scratch, he can alter
The pitch, the style and go berserk and wild
It will linger cuz of the secrets all in his finger
He had to show his talent sooner or later
He's Howie Tee the Hitman, a DJ innovator
Well I'm a DJ innovator
Just easy
Many major record labels made offers, to steal us
And even Soul Train, huh, Don Cornelius
Had to come on over with my pen and pad
All the way to California, he'll pay for the cab
And the gesture is quite understood
He knows talent when he sees it cause he's on my wood
For being an artist and a good producer
They want me to do a duet with Luther
But it's okay cause I like the brother
That Kentucky Fried Chicken mother-to compete with
Me, he has to eat more solids
I'll do the rap and he'll do the ballads
But without Howie Tee it can't go for
Yo Howie you're def! 
Well I'm a DJ innovator
Just easy",https://genius.com/Chubb-rock-dj-innovator-lyrics
Yabadabadoo,I Gotta Get Mine Yo!,1992,"Diggity da-di-la-di-da-di, baby, there's a party
But you can't have a party without a large Bacardi
You got to keep the hottie moving like a Maserati
A hundred million women wanna tone up their body
And I can never pass up a chance to romance them
Don't call me soft just because I'm handsome
So money take a tip if you flip and you slip
You'll be using all your teeth for poker chips
So wiggedy word wiggedy word I don't smoke the herb
And if my hottie smokes the shit I'll kick her to the curb
Every morning breakfast in bed is served
Cause on women I have an affect like a quadra verb
So can I whip yes what yes like buddha sess yes
Shot em all dead when they try to test
So keep me in like Flynn this year I'm gonna win
If my balls are on your chin then you got the D.I.Y.M
So can I get a shout
Peace to Chubb Rock, TrakMasters, the Gigalos and I'm out
Yabadabadoo

Wow look at the size of his chest
Never the less I jump upon ET list and then phone my home
Before the little kitten throws a stone
The holder of the Rock, one two and ya don't stop
Rhythm to the dism while the ism forms a prism
Suck the dism stand like a Chisolm dimension prison and is he
The One, The One, he says he's the one, the only one
Take the two subtract the one and uh-hhuh
He's handsome ya see, big strong and sturdy
Watch the birdy
 I'm 
nerdy on the IQ set
Caught nuff wreck
The grim reapear what said Charlier Brown's damn teacher
Wa wah wah wa wa wah, damn
I cram to understand the plan ma'am
I mean I've been hitting the books for a long time now
Real long time now, look at the furrowed brow
Drink Slim Faster, delete the chow
For a strong sequel word up to the people
The people; you mean power to them
While Eastwood Clint plays misty for the buddha
He's buzzing, cummin at cha
And you know we had to watcha, time for some lyrics
While I kick it and you hear it
Even Helen Keller word up can hear it
From the rustler lyrical hustler
The fat lady sand I crusher her, word up the Chubbster
Yabadabadoo

Rob Swinga loves jazz so I'ma swing this like a cool cat
Down with A.T.E.E.M., Trakmasterz got a dope rap
Humongous vocals; I'm quick to flick a jab
I'm not Michael Jackson or the Chubbs but I'm bad
Chew up a sucker like a stick of gum
And then I spit out the bum once the flavor's done
I'm nifty powerful like an M-60
And I'll pop your girl like Jiffy popped Dippy
Well I swing a lyric like a swinga would
And I swing a ho in bed like a swinga should
When it comes to getting hoes I'm rated quadruple X
Just like Dr. Ruth my mind is strictly on the sex
And style or position is my selection
But I won't play without my contraception
Like Ramsey's or Trojan's, oh, yes, that's chill
If worse comes to worse then I use no frills
So check it, check it, check it, check it, check it, one, two
Yabadabadoo",https://genius.com/Chubb-rock-yabadabadoo-lyrics
Don’t Drink the Milk,I Gotta Get Mine Yo!,1992,"Intro: MC Nasal (Chubb Rock)
Word up it's the Nasal on the scene one mo' time!
With my man Kirk Gowdy on the mix
And my man Funky Owl in the mix
And my man Frank Nitti on the mix
While the Chubbster in the mix, I'ma kick it like, thissssss
Check it out
Verse One: MC Nasal (Chubb Rock)
Don't drink the milk cause it's spoiled form the racists
If you look up all the judicial cases
You see the niggas yo, dead in the woodwork
Cause of these KKK jerks
And I'm vexed, real vexed, let me tell y'all
While I kick it from the cellular
Well I'm the Nasal on the scene and fuck it
I hate cream in my coffee, so take your fuckin redneck off me
Concerning that Mississippi, stop that fuckin Burning
While I'm over here chillin, ready steady learning
Every racist summer, kill a large number
Of you son of bitch, who switch to Archie Bunker
Ignorant, accurate, coagulate, you imagine it
Hate the nigga boy, and stabbing it
All over, the odor makes you wish he was down with the Force
So you can mess around like Yoda
But no-no, and also, you knew so, the nigga grew so
Advances like Caruso... Robinson, Jackie, smooth and jazzy has he
Been respected, for the past three
Decades finds his baseball cards
Niggas have them then discard, and I'm vexed
Should I flex my pecks on the set?
And watch those Bill Cosby niggas just plex?
And his kids buy a white school kit, ana
And you know he talks, bullshit, ana
Throw your hands in the air
And look at that nappiness of your hair
And if you're proud of your peas, nigga say please
And niggas out there say YEAHHH!
*crickets chirping*
I guess there no niggas out there
Here comes the chorus for the year
Because, the Nasal... will eat shrimp and basil
Remaining head to toe on the foes
And he says he will
Flip on the brothers if they don't pump their fists and
Get busy, yell and scream like this
Chorus:
Don't drink the milk! (Why?) It's spoiled
Don't drink the milk! (Why?) It's spoiled
Don't drink the milk! (But why?) It's spoiled
(Hey daddy tell him why) The milk is spoiled!!
Verse Two: Kirk Gowdy
Every night (night), youth get tested (ested)
Mr. Establishment himself is well rested (ested)
Miss Sectretary, holds his message (message)
I would not make it selling drugs in Texas (Texas)
Which way would you look, or was you lookin? (lookin)
Every day, a nigga life is being tooken (tooken)
Vietnam, synonym Brooklyn (Brooklyn)
If ain't a nigga, it's a pussy I'm juckin (juckin)
Alex Haley, Rasta roots soil (soil)
The beginning, and it's over (over)
It wouldn't make sense if things wasn't so tense (tense)
Snatching purses, jumpin over fence (fence)
It seems so negative (egative)
They even got you robbin your own relatives (relatives)
Daily adventure, extravaganza (ganza)
No time to watch an episode of Casablanca
Bonanza, Highway to Heaven
Stray bullet, down goes a kid, who was eleven
Community sucks (sucks), no such unity
Kids die before they reach puberty stages (stages)
Look at the ages (ages), the parent wages (wages)
The reason was in school they never turned pages (pages)
You get vexed (vexed), and temperature boils
It must be the brat and not the milk that's spoiled (spoiled)
Chorus:
Don't drink the milk! (Why?) It's spoiled
Don't drink the milk! (Why?) It's spoiled
Don't drink the milk! (Will you tell me why...) It's spoiled
(Yo punk tell him why...) The milk is spoiled!!
Verse Three: Poke
Well I'm the Spanky of the crew and I'll Alfalfa you
And if you step to the Poke I kick nothing but jokes
One of the Masterz of the Trak, stick it groovy
Man I got more fuckin Juice than the movie
Lights cameras actions, I'm on a fuckin mission
Hissin, white boy fishin
Z-28, Camaro, Buick Regal
The will of these automobiles don't appeal to
The better half, and don't interview my staff
For four hundred years you stole, sold my craft
Now my ignorant dome is hard boiled
I won't drink the motherfucking mic, I mean the milk
It's spoiled!!",https://genius.com/Chubb-rock-dont-drink-the-milk-lyrics
I’m Too Much,I Gotta Get Mine Yo!,1992,"I'm coming around the mountain when I'm coming
I'm coming around the mountain when I'm coming
Because I came around the town
And everybody knows my sound is profound
And I'm worth every pound
The fourth LP and consumers don't sweat or fret
Just go purchase the cassette
The album comes on wax and on CD
And hits hard from Ft. Greene to Chelsea
Walk through The Color Purple, then through the Black Rain
Always succeed cause I always use my brain
Married my one and only fly cutie
And always keep my same booking agent Rudy
My pal partner Sal and my main man Al B. Sure!
I'm sure the friendship is secure
Your advice about the miec is always in me
And B Sure!  Peace to little Quincy
And the Miss give a kiss and insist the Miss pump her fist
And catch the gist of this *singing*
I'm Mr. Chubb Rocker... I'm Mr. Fun
I'm Mr. Smooth Rapper... I'm Mr. Number One
Friends call me the Chubbster, any mic that I touch
Seems to melt in my clutch... I'm too much
Because I take a snake and shake and bake the flake
Until I say for goodness drake
Don't make no more damn mistakes
And then I dunk a skunk, hunk, a punk who drunk some junk
And sunk into the soup of life mixed with conch
But I don't know what to do or what to say to him
If he wants to h it me, let him destroy his kidney
I don't care, no te ars for fears, give the kid another beer
Let him lose another year
How can you do that, he knew that brew that, pursue that
Walk down the street I'll just say ""Who dat?""
Walk the other way, looking at him makes me say
Had a good complexion, now he looks gray
I can't leave him alone because I'm civilized
I don't want him drinking no more St. Ide's
So my man, I got the plan
You see the cyst growing on your wrist
Connected to your fist, feel the gist of this
And while you feel the gist of t his
Go to the party and pump ya fist because *singing*
I'm Mr. Chubb Rocker... I'm Mr. Care
I'm Mr. Good Rapper... I'm Mr. Brand New year
Friends call me the Chubbster, any person I touch
Seems to change in my clutch... I'm too much",https://genius.com/Chubb-rock-im-too-much-lyrics
Lost in the Storm,I Gotta Get Mine Yo!,1992,"I walk down the street, yo pick any one
I see a little ruffneck kid with a gun
I said, ""Little homeboy what's up with the Glock 19?""
He said a damn crack fiend just went and took his mama's life
And now the kid's over there smoking the pipe
I said, ""Guilt will let him know what he did
And you don't need to go to jail, you're just a kid
Give me the gun little G, just cool it down
You've got a lot to live for you're college bound.""
And so he screams and cries, we start huggin
On the corner in Ft. Greene, we're buggin
Tears drip as we walk to the crib
And I'mma try to be there to comfort the kid
I woke up it's a brand new day
Little man blew himself away
And I'm scorned, an emotional thorn
And I'm lost in the storm
Well back in the hood, understood, I mean understand
The conspiracy upon the first man
Death to the Klan pump the fists that's connected
To the elbow joined by cartilage to the dark hand
And the plan to conserve this confused violent land
Different races, faces share the same spaces
Sewed by arrogant laces
Taste this peach its real, real sweet
Extra reasoning seasoning to the weak
Will be done before the sun starts to nova
Or we'll be over
Reveal the passion button now hit it
Cause no one is born a bigot
Delete what you have engraved in your mind
And throw up the peace sign
And maybe be reborn or be lost in the storm
Well it's ninety-two we will make it to ninety-three
With no P-E, A-C-E
It won't happen so stop your damn finger tappin
Find the music of peace and start rappin
The answer lies in your hearts then your minds
And maybe then we can save human kind
Put away the guns and have fun was a strong motto in ninety-one
But a Woodstock ninety-two the many join the few to delete the racist crew
Without death cause that will be illogical
Peace will cover every newspaper article
So now then, where do we start
Everybody knows they have to play a part
Open your minds and clear your minds
And throw up the peace signs
Cause to scorn, be reborn, everybody let's be reborn
Or be lost in the storm",https://genius.com/Chubb-rock-lost-in-the-storm-lyrics
The Arrival,I Gotta Get Mine Yo!,1992,"Artist: Chubb Rock
Album:  I Gotta Get Mine Yo!
Song:   The Arrival
The birth 1986 Brooklyn USA -- just signed the contracts today
Happy but later on came dismay -- Yo, where is my pay
Just wrote the lyrics to DJ Innovator
We throw the record out now and then you pay later
OK naive me -- the first plot for the Rock
Billboard spot achieved without a bullet so what now
I wanna stimulate the crowd but how?
Should I just sample James Brown
And then I'll just have the same sound
I did it anyway and yo it came off
The beat was abrupt word caught up
Part 2 only a chosen few knew
That it was hot so Chubb Rock was on his way
To express his many views
What record comes next do you haev a clue
The brain waves steady on impulse power
A song it never took an hour
You make an ass out of you and me if you assume
The popeye tune didn't boom didn't create a hip-hop recital
The focal point for the first arrival
Yes like in yes y'all land
Chubb Rock don't you hear success calling
So I pick up the phone then answer
Make it uptempo for the dancers
Floors exploding, club heads voguing
Journalists looking at the Billboard slogan
Number one rap records of the year ""Treat 'em""
From Jack the Rapper to the South of Medem
Reign on the charts like a thunderstorm
Verbal lightning cause I sound exciting
Minstrel shows never ever done 'em
Find the Uncle Tom who did it, gun 'em then we sun 'em
Play a cannonball and like Hannibal Lect it
Silence up the Lambs cause they're screaming like some next shit
Flow like the Nile, I'll smile at the file pile
Dial for the sure best guess test West, Kyle
Scandal and controversy
I'll throw Joan in the River if she hurts me
Sasparillar Diller Phyllis, bill us or kill us, Willis Bruce
Die Hard this album is the damn proof
Coming stronger and stronger hard like Long Donga Silver
For crews who will pilfer
The big man, the biggest of the large man clan
Ku klux that's for red neck fucks
I'm sorry cause I'm not about profanity
But racism let's me lose my sanity
It's a sin it's a sin that's born within
I know it's wack they're trying to kill the black
So every single and album I hit the problem
And all the copyright thieves I got 'em
Respect The Chubbster it's written in the bible word up
And credit The Arrival",https://genius.com/Chubb-rock-the-arrival-lyrics
I’m the Man,I Gotta Get Mine Yo!,1992,"Well real smooth connected to the deep end bass groove
I set the precedent for emcees to lose
More than a spelling B it's compelling me
To let the I come before the E except after C to the H
To the U to the double-B, we respect that name cause the rock just G'd
All over the commercial hard like Herschel
The verse will insult but don't take it personal
Everybody knows that I'm the man and
Always got a positive plan for the fans
First concerns as the world turns
To expose the racists like Howard Sterns
George Burns, oh my God, takes a black comedian and he learns
Make more greens than ferns
Horticulture is not my main subject
The subject is microphone check one two
And you don't stop the royalty fees
The Chubbster you know he's
""Gonna get the night on fire...""
Anyway you put it when you see me you know that I'm the man
Hypothetically speaking who's speaking at the function
Well it's some genius who lives by the Junction
He's coming from a Harvard socialite luncheon
Yo -- I hear his jeep clunking
A jeep -- doesn't he make enough ends?
A genius like him should drive a Benz
Well he believes clothes don't make the man or a car
And the man still makes five hundred grand
Every six months yo the kid is no dunce
And he doesn't drink and refuses to smoke blunts
Cause the black must clear the smoke and grab the throttle
And stop livin in a bottle
The Constitution starts tearin
I hope you hear what Gil Scott was Heron/hearin
The destruction of the pirates will calm the seas
The brilliant man you know he's
""Gonna set the night on fire...""
Any female structure?  Biologically I'm the man",https://genius.com/Chubb-rock-im-the-man-lyrics
3 Men at Chung King,I Gotta Get Mine Yo!,1992,"Check it out...
Verse One: Red Hot Lover Tone
The pen hits the paper, ink spills and fills, the lines
With lyrics that thrills like my dillz
Take it on the Grilled Cheese tour, then I drop it
Don't care about the niggas cause the girls are gonna jock it
Take her to my hotel, no speaking, just freaking
Leave my door open so the niggas can come peak in
Rip the nappy dug out niggas bug out with the hopes
They can get theirs, but in the meantime they takin notes
Here comes my kid, here comes my kid (ahhhhh)
But I caught him in the rubber lid, huh
Chitty chitty bang bang, gotta go gotta go
The ho is in a coma so I tippy tippy toe
Walkin in the dark (tripped) slipped on my shoe
(Arrrrgh!! Ohh shit!!) 
Damn, more fornication
Puba take the mic cuz I'm here for the duration
Verse Two: Grand Puba
Before I get this wreck I usually start with a 40
But forties are no more cuz now I'm drinkin 64's
Call on Grand Puba, Chubb Rock if you want it done
Hon spread the 411 as if her name was Kaity Chung
Into devil bashing, always stay in fashion
Love maxing and relaxing, hittin skins with a passion
As a shorty I kept some dice I banked on seven or eleven
’Cause my pops had it hard, similar to James Evans
Now shit flipped, I'm on the hip-hop
To the beat you don't stop, rock on!
I kick the new type of lingo, hit the spot that'll tingle
Make the girls wanna jingle, so they run and get the single
My simple task is to make you shake that ass
On the quick fast, and to make it last
It's just three men at Chung King getting busy
We've come a long way since Kunta Kintizzy
And you don't stop, rock on
Chubb Rock flip the script cuz I'm gone
Verse Three: Chubb Rock
Yippi-yi-yeah, stay, hooray, yo, hurrah
I jumped up upon the mic with the Chubbster, Tone, plus the Pu-ba
Intricately go far
Chillin in the mansion, nuff fashion (ahhh)
Relax, and dig into the track and react
I want a Martin Luther riff cuz I don't like to pack my iron
Watchin kids on the corner buyin, gettin zooted then lyin
Test and I commence, to firing
One two three shots and then I tune the black watch
Reclean my cylinder and then I grab my crotch
And squeeze, the testes and then I grab my wood and cup it
Oh there goes the nut I just busted
Get myself together, cuz I'm the man
I knew it, I wanted to do a duet with the Grand
Mystic ruler took the 40 out of the cooler
Now we're rippin the track, we shoulda did one sooner
And then we roll up on the groove field assist the team
And now I'm straighter than 9:15
Get a little dough for this three man skit
I'll end the jam with a curse
Uhh, umm fuck?
Or is it damn?  Or what?
SHIT.  And slide out of the vocal booth and get a dollar Chung King soda
Grand Puba, Tone, plus now we're over and we're out",https://genius.com/Chubb-rock-3-men-at-chung-king-lyrics
