title,album,year,lyrics,urls
Cinderfella Dana Dane,Dana Dane With Fame,1987.0,"Once upon a time, Brooklyn was the scene
In the project that they called Fort Greene
There lived a young man, Cinderfella's his name
To make it interesting it's me, Dana Dane
I lived in a house with my cruel step-dad
And two step-brothers who treated me bad
I cooked, I cleaned, I scrubbed the floors
And I was like an errand boy runnin' to the store
My brothers, they used to boast and brag:
""We've got fresh gear and you've got rags!""
Even worse than that, to make me feel low
They gave me a straw hat, while they had Kangols
Girls used to say, ""Dane, you're so cute
But you gets no rap with them polyester suits""
Well, one day, up the avenue
There was a man surrounded by the Fort Greene crew
He said, ""Hear ye! Hear ye! Come one, come all!
The princess is having a royal ball
If you can rap, also dress fresh
You might win a date with the sweet princess""
Well I, um, ran home when I heard the newsflash
I bust through the door, straight to my step-dad
I said ""Step-dad, may I?""
And before I could finish, ""Hell no!"", he replied
My brothers were goin', they were geared down
Even Pops was goin' for a piece of the crown
They flaunted, they haunted, they knew what I wanted
""We can and you can't"" is what they taunted
They all stood there laughing in my face
And as they walked out they said, ""Clean up this place!""

(Cinderfella Dana Dane!)
But I'm the rapper Dana Dane with fame
(Cinderfella Dana Dane!)
Yes, I'm the rapper Dana Dane with fame

Well I shrugged, I hissed, ""They're all tryna diss
I'd get them back if I had one wish""
Before I could make my thought a phrase
There appeared a man from a puff of haze
He said, ""What's up, Dane? My name is Herb
I'm your fairy godfather, you know it, word!
Now I've came here with the main purpose
Of granting you your fondest wish""
I said, ""Herb, my man, just make me fresh
And I'm sure that I can handle all the rest""
With a snap of his fingers sparks began to shoot
And I was tough and on my body: a slick silk suit
On my feet there was argyle socks
And a fresh pair of Ballys from the Bally shop
I showed him my hat and don't you know
With a snap the hat became a Kangol
Once again his hands began to flow
Then he changed my skateboard into a Volvo
He checked me over, passed me the keys
And said, ""One more thing before you leave...
You must return before the stroke of twelve
Or you'll turn back into your old self""

(Cinderfella Dana Dane!)
But I'm the rapper Dana Dane with fame
(Cinderfella Dana Dane!)
Yes, I'm the rapper Dana Dane with fame

I jumped in the Volvo, went on my way
I got to the party 'bout ten, I'd say
It was after eleven when I rocked the mic
And by the time I left the stage the people were hyped
The princess was staring in disbelief
Reflected from her eyes were my gold teeth
She waved her hands like 'Hello! Hi!'
Then gave another gesture like 'Come here, guy'
I left the stage, girls came in flocks
Fists were swingin' from the hard rocks
I heard a sound, not a tick nor tock
Gong! First bell before twelve o'clock
No time to waste, I broke out in haste
The princess followed in a futile chase
A quick steady pace is what I kept
Lost one of my Ballys on one of those steps
For the Volvo I continued my stride
About this time I heard gong five
I was down the block when I heard gong eight
And the princess scream out, ""Wait! Wait! Wait! Wait!""

(Cinderfella Dana Dane!)
But I'm the rapper Dana Dane with fame
(Cinderfella Dana Dane!)
Yes, I'm the rapper Dana Dane with fame

I was almost home when my luck ran out
And there went my suit, my Kangol and clout
My fresh Volvo also went too
And there was no denyin' that my night was through
The one Bally shoe the freshest thing I sported
Jumped on my board, for home I skateboarded
Made it to my pad, no time at all
Went to my room, or better yet, the far wall
Hid the shoe away still feelin' pleased
Then jumped in my cot to catch some Z's
Early the next morning when I awoke
I threw on me old slippers and me old housecoat
Went into the front, my family stared at me
Sayin' ""Wasn't that you?! Nah, it couldn't be""
They kept askin' me as I did my chores
My butt was saved by a knock on the door
""Who is it?"", that's what my brothers barked
""The princess"", this sweet voice remarked
She said she was lookin' for a certain man
Who could bring her the shoe like the one in her hand
The family ran around with their heads in the air
Bringin' on shoes from everywhere
She just shook her head, a nod of relief
Sayin' ""No, that's not the one that I'm lookin' for, chief""
I ran in the room and got my shoe
And said, ""Is this the one you're referring to?""
Well she said, ""Yes, and you're so cute
But where's your Kangol and slick silk suit?""
I put on the shoe, there came a flash of light
And I was tough in the gear from just last night
Looked out the window, saw the Volvo
Said to my family, ""I've got to go""
We drove up the avenue, the princess and I
And in back of me I heard my family cry...

(Cinderfella Dana Dane!)
But I'm the rapper Dana Dane with fame
(Cinderfella Dana Dane!)
Yes, I'm the rapper Dana Dane with fame
(Cinderfella!)
Yes, I'm the rapper Dana Dane with fame
(Cinderfella!)",https://genius.com/Dana-dane-cinderfella-dana-dane-lyrics
Nightmares,Dana Dane With Fame,1986.0,"Hello, I'd like to see Dr. Slumber, please
Ah - do you have an appointment, sir?
No, I don't
But tell the Doctor it's urgent that I see her
Well - just one moment
Dr. Slumber?
Dr. Slumber, there's a young man out here named -
Excuse me, what is your name?
Oh, tell her it's Dana Dane
Hhhh... D-D-Dana D-D-DANE?!
OH NO!
OH, YOU CAN COME RIGHT IN!
COME RIGHT IN, RIGHT NOW!
COME ON IN...!
Thank you, thank you
Well, I walked into the office, what did I see?
A well-shaped body with the back to me
Sittin in her chair with an all-white gown
Said said (Dana Dane, won't you please lay down?)
She said that she wouldn't reveal her face
Till my hour was up and I was on my way
Now we got to the matter of why I came there
I said, ""Doc, I keep havin these crazy nightmares""
Nightmares of the night (nightmares)
Nightmares, they're alright (nightmares)
'Cause they just show imagination of reality (nightmares)
Just keep telling yourself that they're make-believe (nightmares)
She said, ""Relax yourself, won't you tell me one
So I can diagnose and see what must be done""
I laid back my head, start to inhale
Caught my breath, and then I said, ""Well -
Bright one morning I was late for class
Had a fresh pair of frames with Gucci on the glass
Girls they was hawking, dudes they was talkin'
Saw the doggy-dogg female, I kept on walkin'
She was on it hard, there was no denyin'
Shoulda seen what this female was tryin'
Grabbin on my shirt, tuggin' on my slacks
Pullin' on my zipper board, I had to hold her back
Word up, Doc, on the ultimate
Now if I never saw a creature, this girl was it
I kept on walkin', had to leave this place
But she was all up on me, breathin' in my face
You may think I'm lyin though it's just a dream
This girl had the baddest breath I'd ever seen
I couldn't think straight, thought I was doomed
Heard a bling-bling-bling, it was time for homeroom
I stepped real quick, she tried to play it sassy
She almost ran me down, this nasty fatnastee
Dipped to the stairs, running blind
Get to my homeroom, ran through my mind
Got to the 4th floor, standin in the door
Girlies watchin' me walk down the corridor
The guys they were jealous and gettin mad
And all the girlies wishin' they had the class I had
Got to my classroom, expect to see the teacher
Who did I see? That ugly black creature
Paused for a minute standin' in the door
Then I broke out when the girlie went raw
Word em up, Doc, couldn't stand the smell
Heard of 3D? Well, she was fat as hell
I ran out the school, I didn't look back
I tell you, Dr. Slumber, this girl was wack
And that's about the time when I awoke
And I smelled that awful breath that almost made me choke
Now tell me, Dr. Slumber, how can it be?
That this dream somehow became reality?
I can't go to sleep, cause I'm so damn scared
'Cause I keep havin these crazy nightmares""
Nightmares of the night (nightmares)
Nightmares, they're alright (nightmares)
'Cause they just show imagination of reality (nightmares)
Just keep telling yourself that they're make-believe (nightmares)
(Nightmares)
She said, ""Listen, Dana Dane, I think I have the cure
But I have to hear one more before I'll be sure""
I laid back my head, tried to concentrate
Then I told her the nightmare 'bout the blind date
Had a blind date with this girl named Anita
The Fever's the place I'm supposed to meet her
Saw the def body with the vicious butt
How did I know she was a marvelous mutt
This lady I met was as ugly as hell
Couldn't go in the jam with this female
I was coughin hard, she started to braggin'
Couldn't let them know I was here with this dragon
Grabbed her hand, dipped to Harlem World
But I left this ugly lady for another girl
Now this other female, her name was Denise
Couldn't get no rapture, there followed the beast
Everywhere I turn, everywhere I look
There was Anita the beast, she could not be shook
I dipped, I dived, I ran, I thrived
But there was no place that I could hide
'Cause she was sniffin me out like a hungry blood hound
Her tail in the air, her nose to the ground
Only thing left for me to do
Was to set her up with this other dude
Now this other dude, he was real upset
'Cause this ugly female he didn't wanna check
He started actin wild, even called me a faggot
What could I do, he had a .22 automatic
I dipped into the crowd, made my way to the door
Bumped into this object and I hit the floor
When I looked up, what did I see?
I saw Anita the Beast lookin down at me
I couldn't try to play it, couldn't try to pretend
Like the ASPCA I had to take the dog in
Nightmares of the night (nightmares)
Nightmares, they're alright (nightmares)
Cause they just show imagination of reality (nightmares)
Just keep telling yourself that they're make-believe (nightmares)
(Nightmares)
Now I pleaded, ""Dr. Slumber, I just can't bare
To have another one of these crazy nightmares""
Then all of a sudden she turned around
And starin at me with that all-white gown
With a Catholic smile, showin all her teeth
Was that ugly female, Anita the Beast...

Dana?
Dana, honey, wake up!
What's wrong?
Wake up, honey
You are just... HAVING A NIGHTMARE!
A-ha-ha-ha-ha-ha-ha!
A-ha-ha-ha-ha-ha-ha!",https://genius.com/Dana-dane-nightmares-lyrics
Chester,Rollin’ Wit Dana Dane,1995,"Alan Morton for Lifestyle News
Out top story for tonight is child abuse
And the effects it has on the family structure
Film at 11

Damn, every time I turn on the news
Somewhere, somehow another child is being abused
I’m confused
What kind of people do we live among?
They must be sick doing the things that’s being done
(See what I’m saying y’all)
Young children being raped and battered
Or they’re falling victim to the ratta-tat-tatter
Who protects them? Who respects them?
When their own family neglect them
It’s time we check them
(yo, check these mothers)
And let them know that we can’t have this
Type of madness
Scaring our kids for life and putting others in their casket
It’s time we made a change today
So there won’t be no more mothers to hear their child say

Mommy, mommy, please don’t leave
‘Cause Chester’s got something up his sleeve
And if you leave then I can’t sleep
‘Cause Chester’s gonna put his hands on me
Mommy, mommy, please don’t leave
‘Cause Chester’s got something up his sleeve
And if you leave then I can’t sleep
‘Cause Chester’s gonna put his hands on me

Now, A mother cries, slumped over a dead body
A teenage girl in the corner screams
“I’m sorry mommy”
Her mother wants to know one thing, Why?
Here’s the words of a girl too scared to lie
She said, “It happened to me first when I was nine
He burst in my room and told me I was fine
He sat me on his knee and said that he loved me
And in his dirty strange ways, he touched me
That night you worked late at Macy’s
Mom I prayed that you would come home and save me
Cause he did these things, these nasty things to me, Ma
These things, these nasty things
And I thought I would die from the pain
It was crazy”, the young girl explained
“When he was through with me he looked down and said
You tell anyone, your mom and you, you’re dead”
She feared for their lives so she stayed quiet
Five years of being raped and being silent
1,825 days she suffered
From a man who says I do this because I love ya
Now she’s 14 and can’t take no more
And she knew he kept a gun in his dresser drawer
So she got it, she saw him, she cocked it
She said I hate you Uncle Chester, that’s why I got to stop it

Who protects our children
From the grownups touchy feeling?
Now what kind of world do we live in
When you abuse our children?
Mommy, mommy, please don’t leave
‘Cause Chester’s got something up his sleeve
And if you leave then I can’t sleep
‘Cause Chester’s gonna put his hands on me
Mommy, mommy, please don’t leave
‘Cause Chester’s got something up his sleeve
And if you leave then I can’t sleep
‘Cause Chester’s gonna put his hands on me

Now, who protects our children
From the grownups and their touchy feeling?
Do we let our kids kill or someone kill them?
Parents don’t be blind to a developing young mind
Guiding starts at home and I’m going teach mine
Hey young world, I know it’s crazy out there
I know they’re bigger and stronger and they get you really scared
But you have to find someone that you can trust
So they can help you put an end to this madness
You are not alone no matter what people have told ya
Many have been abused from the unknown to Oprah
Now what I’m saying is let’s make a change today
So you won’t be the next to hear your child say
 
God bless our children",https://genius.com/Dana-dane-chester-lyrics
Love At First Sight,Dana Dane With Fame,1987.0,"Love at first sight
Is it forever or fly by night?
Love at first sight
Who's to say it's wrong or right?


Hello?  Yes, this is Dana.  Who's speaking?
Oh, Jackie!  How you doing?
It's been a long time hasn't it?
Nah, there'll be none of that babe
My plan leaves in about an hour
I don't think so
My tour starts when I get back
But, um... thanks for calling anyway
It's been nice knowing you, well it was nice knowing you
You take care of yourself
Oh, and don't give out my number
Thanks

Now I can still remember when we first met
It was one day that I would never forget
Six o'clock the approximate hour
Not really cloudy, expecting sun showers
I was taking a stroll halfway cross town
Then like expected the rain came down
I picked up my pace
For home base I raced
Ran into a soft object in my haste
On the ground we faced
Her in silk and lace
And with my eyes, her body I slowly cased
The pouring rain had drenched her dress
But I loved the way the cloth had clinged and caressed
""Excuse me"", that was my first words spoke
Stood her up on her feet and gave her my trench coat
Somehow it happened while I covered her back
When her eyes and mine first made contact
The looks we gave changed the way we were
Now it was us and not me and her
Well, you wouldn't understand, well maybe you might
I guess you would call it love at first sight


Now even the rain pour was easy to ignore
Only this young lady is what I saw
She was a sweet female, tender not frail
Other words beautiful, no need for details
I introduced myself, ""Hi, my name is Dane
Can I get you out of this pouring rain?""
""Sure,"" she said.  ""By the way, I'm Jackie.""
Staring at me as I hailed down the taxi
We jumped in. The cab slowly moved off
She was holding my hand and it felt so soft
Now on my ear she gently chewed
And I knew it was more than just gratitude
I took it upon myself to take her to my house
I guess she didn't mind because her clothes were doused
Paid the cab his fee
Took out my house keys
Opened up the door, said ""Enter please""
Took her to the bathroom, said ""Hang your clothes on the line""
And gave her one of my shirts from Calvin Klein
Went to my room took off my wet wardrobe
I freshened up a bit and put on my silk robe
We met in the front near the roaring flames
Where we sat quietly sipping on champagne
Her eyes said ""Thanks"" beyond the use of words
And the crackling flame was all I heard
It felt as though we were on our honeymoon
As we moved from the front into the bedroom
We made passion love the night we met
And by the time we fell asleep there were no regrets
Well, you wouldn't understand, well maybe you might
I guess you would call it love at first sight


I woke up the next morning.  She was not there
Maybe she's fixing breakfast or doing her hair
I got out of my bed, threw on me house coat
When I noticed on the mirror she'd left a note
Saying, ""Sorry Dane, I could not stay
Please meet me 1 o'clock where we met yesterday.""
Well, I had time.  Two hours and a half
So I laid out my clothes and took a bath
I ate a good breakfast, had time to spare
So then I got dressed and I dally over there
I reached my destination not a cloud in sight
It was cool, kinda windy, but the sun was bright
Now I was on time, but she didn't show
And that was about twenty minutes ago
I stayed a little longer, about a half an hour
Felt a raindrop, maybe it's a sun shower
I was soon to see that my thoughts were wrong
Because the raindrop became an all-out storm
And there I was standing in the rain
And the lady that I looked for never came
Well, I was hurt and it showed in my face
As I tracked in the rain backed to my place
Slowly I walked hoping to bump into her
Me be in love? Nah, I barely knew her
I got home angry and depressed
And my Bally shoes were a total mess
But that was the last thing on my mind
As I sat on the couch staring into time
Well, I had her number and she had mine
But if she really wanted me she would have dropped me a line
But day after day and weeks went by
But she didn't call even to say, ""Hi""
I would have called her first, but I've got my pride
""And I really don't care"", to myself I lied
Now, there was no reason for me to be sad
Just remember that good time that we had
'Cause I learned a little something that you should know
To keep some things you got to let them go
Well, you wouldn't understand, well maybe you might
I guess you would call it love at first sight


... Well it was nice knowing you
You take care of yourself
Oh, and don't give out my number
Thanks",https://genius.com/Dana-dane-love-at-first-sight-lyrics
Delancey Street,Dana Dane With Fame,1987,"Next stop: Delancey Street
Step lively, and ah - watch the closing doors

I can't express it any plainer
That I'm a entertainer
People call me Dane, but my real name is Dana
I came here just to put you on
Cause I'm taking the rapping world by storm
In the rap I've made a change
A change that no other out there can claim
Now what I've done will make you laugh
So don't you ever be offended by the words I pass
I'll make you tickle, make your butt wiggle
You'll tell your friends, and they'll chuckle and giggle
Now this little story's called Delancey Street
It's the place where clothes are bought and people meet
Each city has a place that's quite the same
Even though it might go by a different name
Delancey Street
Delancey Stree-eet
Delancey Street
This story can't be beat

Well, I (um) went to Delancey Street to buy some wears
Even though I already had on fresh gear
Go into the store to buy a Kangol
I took out my wallet and my fat money roll
When three females walked up to me
There was a white, a black, the other Chinese
The white girl said, ""My name is Dawn
And I love your gear by Louis Vuitton""
The black girl said, ""My name is Jane""
And she couldn't keep her hands off the fresh gold chains
The Chinese girl, her name Suchi
She was foggin up the '86 Guccis
I thought they wanted to conversate
Then they all pulled out a six-shooter trey-eight
Three fresh females, who would have thought
Cause they tried to rob me, I almost got caught
I stood there for a minute, tried to concentrate
I tried to think of a way for me to escape
No one in sight, one thing to do
(You mean you ran, Dana Dane?) Damn right I flew
Up the block and through an alley
Yo, I cold dogged my fresh new Bally's
I ran through some water and some dog -
But I don't give a damn, I wouldn't be their vic'
Oh no, not me, not while I had feet
So then I dipped over to Orchard Street
Around the corner, past the brick house
And right in back of me, droolin from the mouth
Yes, them three females in hot pursuit
Then all of a sudden they began to shoot
I flundered, blundred, all the shots thundered
(Where did you run?) That's what I wondered
So confused, my head still in the wind
A sign up the street that read (dead end)

Now here they came, just as plain as day
Runnin down the street like _Three The Hard Way_
I approached the stop, the temper grew
And then the girl screams out: (Yo, damn it, don't move!)
They continued strong like the quiet storm
""Lover boy, run everything that you've got on""
""Run your Gucci, your Louis and your fresh gold chains
And your Bally shoes, we want it all from you""
Now max this move, what could I do?
Nowhere to run, no one to run to
The girls just didn't know who I am
But I knew a way to get out this jam
I stood in their face, took on the loud racket
Opened up my ??? jacket
Printed on my shirt, yes, there's bold and plain
'I'm not the one, the Rapper Dana Dane'
Well, the girls caught the message, it was plain to see
They might as well have said (Dana Dane, you're free)
Cause Jane came by, she winked her eye
And Dawn came over, grabbed me at my fly
And that's about the time when Suchi came near
She kissed me on my cheek and blew in my ear
Each one of them tryin to grab my hand
Screamin ""Leave him!,"" to the other (Dana Dane's my man)
I knew it: they'd blew it
Punches were thrown, they got into it
They rumbled, battled, wrestled like cattle
""She made me do it!"", they began to tattle
Swollen eyes and busted lips
Cause I think all of them got pistol-whipped
But I don't care, do you hear what I say?
I just wiped off my Bally's, went on my way
And they're still not friends 'til this very day",https://genius.com/Dana-dane-delancey-street-lyrics
Dana Dane With Fame,Dana Dane With Fame,1987.0,"Dana Dane with fame
Dana Dane with fame
I'm Dana Dane with fame
Here to entertain
By the time I'm through you'll remember my name
Dana Dane with fame
Dana Dane with fame

Now you probably don't know it
Because I don't show it
But I'm Dana Dane, that natural born poet
The girlies adore it
The guys try to stall it
But each one of them knows I'm not going for it
They're ultra defeated
And so damn conceited
I know how females want to be treated
Their butts you massage
Their chest you caress it
Then you make love when they kiss and suggest it
It's not how you play it
Cause no words can say it
It's how you approach it, yo how you convey it
It's now how you rub it
It's just how you love it
There is no rush, don't push or shove it
You know when you've got it
When you have ??? rocked it
The girl screams out, ""Loverboy don't stop it""
Now that I've said it
You all can fret it
Dana Dane told you this and don't you forget it
Dana Dane with fame
Dana Dane with fame

More than a many people I did astound
With a master rap and a different sound
Now I am established and world renowned
And no one out there can put me down
Sucker MCs they're on an ego trip
They're blabbing off with their mouths
They're running off with their lips
But they all are bound to take a fall
And all of them can kiss my ...
: You Dana, cool out man
: Okay, I'll behave
But only this time y'all have been saved
Cause I came here just as simple and plain
To get on the mic and to entertain
For a few minutes I was thrown off track
But I've regained my composer and now I'm back
To give all you party people what you're waiting for
To see what def rap I have in store
Dana Dane with fame
Dana Dane with fame
Dana Dane with fame
Dana Dane with fame

I'm the rapper Dana Dane, an all time great
And I'mma give a little story just to illustrate
See I was in my house and I was all alone
I head a ""brrring, brrring"" on my telephone
Answered the phone, guess who was on it?
This girl they call miss 
She said ""Hello is this the Casanova?""
I said, ""Yeah baby doll"", said, ""won't you come on over?""
She said, ""Not right now, I just got out the shower""
""Let me check you out another half an hour""
Time flew fast and I was feeling bored
I head a ""knock, knock, knock"" on my front door
Opened up the door guess who was there
A lighted skinned girlie with jet black hair
I said, ""Hey baby doll you're right on time""
""Come on in and have a glass of wine""
I sat her on my couch, she started to chuckle
Talking about she want to wear my 
I rocked it once, she said, ""Dana please!""
I rocked it once again, she started talking Japanese
(vocalizing)
I'm Dana Dane. I'm doing my own thing
I'm Dana Dane. Yes, I'm doing my own thing
Rocking the house
Now as she walked out the door
There's one more thing
She looking me in my face and began to sing
Dana Dane with fame
Dana Dane with fame
I'm Dana Dane with fame
Here to entertain
By the time I'm through you'll remember my name
Dana Dane with fame
Dana Dane with fame",https://genius.com/Dana-dane-dana-dane-with-fame-lyrics
Dana Dane Is Coming To Town,Christmas Rap,UnKnown,"That's right party people, Dana Dane is back!
Hurby behind the board of the twenty-fo' track machine
Making sure the beats come out clean
As I tell you this tale of a Christmas scene
It all began in a far off land
Do you know the Drummer Boy? Well, I'm the Rapper Man
I wandered and wandered with no main course
Drawn to a campsite by some strange force
Now, in this camp lived three wise men
They said, ""Dana Dane, where have you been?""
They said that they had been expecting me
Told me to kick off my sandals and relax my feet
We started to talk, a lot of time was spent
Tale of how emcees wouldn't be content
'Til the Christmas spirit was gone and demolished
And I was the only one who could abolish their plan
So I took a stand!
But they said I must journey across the land
I said, ""Listen my friend, I'll be glad to go
But the sand out there is worse than snow""
The first wise man said, ""Yes, that's true""
To protect my feet, gave me Bally shoes
The second wise man said, ""Yes, you're right""
And gave me a Kangol to shade my eyes
The third wise man, leaning on a cane
Said ""Take this mic, rapper Dana Dane!""
He said that the mic would help my words
Of Christmas cheer be clearly heard

Well I started my journey at the first light
I travelled the desert for a fortnight
I sighed, I tried, the North Star my guide
Pulled my Kangol over my eyes
Took off my Ballys, dumped the sand on the side
Put my Ballys back on and continued my stride
Off I went through the sand and mist
Taking all types of chances and all kinds of risks
It was Christmas Eve, time was growing short
Then I came upon the place that I had sought
Went up to the door, straight in the palace
Faces were filled with contempt and malice
Up on the stage, what did I see?
That's right, party people -- a sucker emcee
Went up on the stage, plugged in my mic
To the sucker emcee I said ""Good night!""
Off he went, he was steaming mad
Talk about relief! The crowd was glad
I said, ""Have no fear, cause I am here
To wish a Merry Christmas and a Happy New Year""
I continued on, they began to believe
And the Christmas spirit was soon retrieved
The fingers were popping, the house cold rocking
Talk about staring -- girls were cold clocking
Mission complete, I was on my way
Girls in back of me screaming, ""Dane, please stay!""
But I couldn't cause I had done my thing
And as I walked out the door I heard them all sing

Sucker emcees, you better watch out!
All emcees, you gotta watch out!
Dana Dane is coming to town
Dana Dane is coming
Dana Dane is coming
Yes, Dana Dane is coming
To town",https://genius.com/Dana-dane-dana-dane-is-coming-to-town-lyrics
This Be The Def Beat,Dana Dane With Fame,1987.0,"The sounds you're about the hear coming through your speaker
Will blow you over and fry your tweeter
Get up out your seat
Give your feet a treat
And you'll understand why this be the def beat


Listen up patriarchs of the rapping sphere
The rapper entertainer Dana Dane is here
Now I came here just to have fun
So guys get loose and girls shake those buns
A lot of you girls what I would love to meet
And I'll check you later when my job's complete
Cause as for now I am only around
To make you party people just get on down
Cause the rhymes I write
Are fresh and ripe
And guaranteed to be just your type
Cause you the public knows who we're rhyming for
And for my rhymes I'd like than you all
Cause I've worked hard for days and nights
Just to make sure the rhymes came out right
Now that I did, you must admit
That the rhymes I wrote were the ultimate
But nevertheless I'd like to exclaim
""This Be The Def Beat"" is this jam's name
Now do me a favor for me and my team
When I say ""scream"" would you please scream?
Scream!
(Crowed screams)
Yes, something like that, yes, yes


The beat is bad, getting badder
On the way up the ladder
""The Beat Is Dope"" is the neighborhood chatter
You might think the record would be hard core
But I'm here to tell you it's much much more
A combination of rap, rhythm and blues
And a swinging beat that you can't refuse
Some call it slick, others say it's jammin
Clark heard the beat and said, ""Yo, it's slammin!""
Crashing through your speakers like a wild stampede
With enough base to make your eardrums bleed
And just when you thought it's just a beat
The music line come in for a extra treat
It  on point smooth but also crisp
The producer Hurby just has that gift
Now on the microphone a voice that you can trust
Yes me, Dane, kicking it from dawn to dusk
Simply conveyed
Are the words I say
Don't ask me why, I just rhyme that way
But let's get back to the rhythm at hand
""This Be The Def Beat"" is the name of this jam",https://genius.com/Dana-dane-this-be-the-def-beat-lyrics
We Wanna Party,Dana Dane With Fame,1987.0,"Dane: Hey yo, Hurb what's up?
Hurby: Dana, where you been?
Dane: Yo, the limo came late man.  I just stepped in
Hurby: Well, let's start the show.  The peoples getting upset.  Tell them what this be
Dane: Okay, Hurb, bet

Let this be the reason for all mankind
You're taste buds will just love a well seasoned rhyme
That I recite on the mic
Making you get hyper
Than (You've ever been)
Cause I'm Dane.  I'm on the mic again
Rapping up a storm (Oh, come on)
Yo, Hurb! (Huh?)
Tell them what what's going on

Now what we have here's
The best jam of the year
Top security for your assurity
I swear
Me and Dana is maxin hard
(Cold chilling)
If you want to flirt, flygirls
(We're willing)
Who, me?  I'm Hurby Luv Bug, word see
I've been rapping for years
But no one's heard me rhyme
Because I spend most of my time
Producing other groups, but now I'm going for mine

Now you'll dance (You'll glide)
You'll move with pride
And you don't stop moving even though you try
You won't (you can't)
You'll huff (and pant)
And ""we want more"" (Will be your chant)
So you wait, you hope
Wide eyed, you scope
Praying for another rhyme that's just as dope
But you're tired (waxed)
But here is the facts
Just like sex you want your climax
As sure as I'm Dana Dane With Fame
When it comes you'll know it came
Cause a sigh of satisfaction will be exhaled
And all at once you all will yell

Dana: ""We want to party, we want to party!""
Crowd: ""We want to party, we want to party!""
Dana: ""I said, we want to party, we want to party!""
Crowd: ""We want to party, we want to party!""
Aaaaaah, yeah
Haha
That's right.  Get down
So let's party

Yes, we're going to party if you like it or not
I don't care if you're tired or burning hot
Dana Dane and I came here to drop
(Dope, def)  rhymes on the spot
(In effect)
You can bet
Two great poets
And my man, Clark Kent on the D.J. set

Yes, we're going to party until you're out of breath
And the drum seems like it's going to beat you to death
Have you scream and holler throughout the show
(Yo, are we going to party?)
Now Hurb, you know
We'll make them dance until their legs get weak
But they'll still refuse to go grab a seat
""Party Hard"" (G)
And that we will
And there'll be no reason for you to get ill
Cold drinks at the bar
Sounds up to par
And for your entertainment, we are your stars
Now I'd like to send out a call
And I want a little feedback from you all

Dana: ""Say, we want to party, we want to party!""
Crowd: ""We want to party, we want to party!""
Dana: ""I said, we want to party, we want to party!""
Crowd: ""We want to party, we want to party!""

Ooh, ooh, ooh ooh, Baby, please
Do it, do it, do it, do it
Do it to me like that
(do it, do it)
Let's party
Let's party
Yo, the party's at our hotel girls
That's right and I got the lambskins, so trust me
Cases of em
Ah, yes.  Ah, yes.  We are ready for tonight
But if you're coming with your boyfriends, we suggest you don't
That's right, leave your man home
This is a girls party",https://genius.com/Dana-dane-we-wanna-party-lyrics
Keep The Groove,Dana Dane With Fame,1987.0,"Keep the groove so we can dance 
Keep, Keep, Keep, Keep 
Keep the groove
Keep, Keep, Keep the groove
Keep the groove so we can dance
Dance
Dance
Dance
Dance

Well I am here to show
And to let you know
How to get you party people out there on the go
See my potential is great
Soon I will own a estate
And drive a fresh Volvo with my name on the plate
Now with the rhymes I create
I guess it would be my fate
To be considered as the best at the present date
See I am only a man
Giving you what you demand
It's time to make you party people cold clap your hands
'Cause I created this flow
To make go, ""Ho""
And one more thing that I think you should know
I'm hear to entrance
Also enhance
Your feeling for the art of rap so you'd want to dance
The bass drum and snare
Vibrating through the air
Has been conceived to make your party spirits flair
The music line is smooth
And guaranteed to sooth
And it's moving at a speed that we call The Groove

Keep the groove
Keep, Keep, Keep the groove
Keep the groove so we can dance
Dance
Dance

Now I walk
I don't be-bop
Here to make your finger pop
Soon enough I am bound to reach to very top
Call me King
Nah, that ain't my thing
I just hope you enjoy the rap songs I sing
But what I try to maintain
As said in my name
To be the rapper entertainer Dana Dane With Fame
I execute my rhyme
Moving oh so fine
And all you need do is listen to the line
'Cause the rhymes are rough
Even call them tough
To hear them one time wouldn't be enough
'Cause the words I say
Will make you sway
And for years to come this record will play
'Cause the jam is hot
Sure to hit the spot
And to make you all groove is the only plot
So won't you bust a move
I'm sure that you will approve
And it's moving at a speed that we call The Groove


Now be free at heart
Come on and do your part
I'm sure others will follow if you just start
I'm not hear to cause trouble
Or burst your bubble
I just want the party rocking right now on the double
Not trying to sound rude
Fierce or crude
Just trying to get your bodies into mood
'Cause we created this thump
To make the house jump
And with he help of the scratch it's sure to pump
So won't you do like me
Let your body be free
And I'm sure in a moment you will agree
That in conclusion
It was amusin'
And also had your bodies groovin'",https://genius.com/Dana-dane-keep-the-groove-lyrics
