title,album,year,lyrics,urls
Rebirth of Slick (Cool Like Dat),Reachin’ (A New Refutation of Time and Space),1993.0,"We like the breeze flow straight out of our lids
Them they got moved by these hard-rock Brooklyn kids
Us floor rush when the DJ's booming classics
You, dig the crew on the fattest hip-hop records
He touch the kinks and sinks into the sounds
She frequents the fattest joints caught underground
Our funk zooms like you hit the Mary Jane
They flock to booms man boogie had to change
Who freaks the clips with mad amount percussion
Where kinky hair goes to unthought-of dimensions
Why's it so fly cause hip-hop kept some drama
When Butterfly rocked his light blue-suede Pumas
What by the cut we push it off the corner
How was the buzz entire hip hop era
Was fresh and fat since they started saying outtie
Cause funks made fat from right beneath my hoodie
The poobah of the styles like Miles and shit
Like sixties funky worms with 
waves and perms
Just sendin' junky rhythms right down ya block
We be to rap what key be to lock
But
I'm cool like dat
I'm cool like dat
I'm cool like dat
I'm cool like dat
I'm cool like dat
I'm cool like dat
I'm cool like dat
I'm cool

We be the chocolates taps on my raps
She innovates at the sweeter cat naps
He at the funk club with the vibrate
Them they be crazy down with the five Nat'
It can kick a plan then a crowd burst
Me I be digging it with a bump verse
Us we be freaking til dawn blinks an eye
He gives the strangest smile so I say hi (wassup)
Who understood, yeah understood the plans
Him heard a beat and put it to his hands
What I just flip let borders get loose
How to consume or they'll be just like juice
If it's the shit we'll lift it off the plastic
The babes'll go spastic
, 
Hip hop gains a classic
Pimp playing shock it don't matter I'm fatter
Ask Butta how I zone (man, Cleopatra Jones)
And
I'm chill like dat
I'm chill like dat
I'm chill like dat
I'm chill like dat
I'm chill like dat
I'm chill like dat
I'm chill like dat
I'm chill

Blink..blink..blink..blink..blink..blink..blink....
Think..think..think..think..think..think..think...

We getcha free cause the clips be fat boss
Them they're the jams and commence to going off
She sweats the beat and ask me cause she puffed it
Me I got crew kids 
seven and a crescent
Us cause a buzz when the nickel bags are dealt
Him, that's my man with the asteroid belt
They catch a fizz from the Mr. Doodle-big
He rocks a tee from the Crooklyn nine-pigs
The rebirth of slick like my gangsta stroll
The lyrics just like loot come in stacks and rolls
You used to find a Bug in a box with fade
Now he boogies up your stage plaits twist or braids
And
I'm peace like dat
I'm peace like dat
I'm peace like dat
I'm peace like dat
I'm peace like dat
I'm peace like dat
I'm peace like dat
I'm peace

Check it out man I groove like dat
I'm smooth like dat
I jive like dat
I roll like dat

Yeah I'm thick like dat
I stack like dat
I'm down like dat
I'm black like dat

Well yo I funk like dat
I'm phat like dat
I'm in like dat
Cause I swing like dat

We jazz like dat
We freak like dat
We zoom like dat
We out, we out...",https://genius.com/Digable-planets-rebirth-of-slick-cool-like-dat-lyrics
Where I’m From,Reachin’ (A New Refutation of Time and Space),1993,"Peace, peace, peace y'all
Strange
Real strange, real strange
An overdose, a nickel bag of funk
Now move on, move on yeah
Hey man are you ready to go

Boogie jive and rap is life where I'm from
Where I'm from, Ahmed play with Izzy where I'm from
Where I'm from, it be like run your coat black
Jupiter, keeps her fat beats by the pack
Where I'm from, nappy hair is life
We be reading Marx where I'm from
The kids be rocking Clarks where I'm from
You turn around your cap, you talk over a beat
And dig some sounds booming out a jeep
Where I'm from, cocoons hide the youth, swoon units hundred proof
You want some beef, they will cut you some where I'm from
The beats is infinite where I'm from
Voodoo, ashubani, gangsta lean where I'm from
I'm interplanetary, my insect movements vary
It's kinky if it's hair, G where I'm from
The fire hoses blow
It's purple when it snow
I do a hit and go, split
It's hip, what's hip
When hip is just the norm
Cause Planets pledge allegiance to the funk in all its forms
The kinks, the dance, the prints in all the shirts
My grandmother told my Mama that it's Africa at work
On vibes, we freak, them universal beats
You find it at the spot you hit at ends of every week
We twist, exist, to spin the maddest hits
Up here funk is our neighbour so we paid her a visit
The lip we sip can't house the nine zips
For rock we can't do nothing, for this we come equipped
Off disc, off tape, rap blasting til from eight
The really truly fat the fly on the flip
Cocoa gotta know, how Planets gotta roll
Speak the mega cool, get funky as a goal
It's calm, relax, we're only some new jacks
That acts from the funk but don't play the role
Where you from

Weekend Dig Plans got T's where I'm from
Where I'm from, it's Clarence 13 where I'm from
Where I'm from, brothers took the beats and got fly
(Why?) That's most asked by 85, where I'm from
Faking the funk you get did
Projects, tenements, pyramids where I'm from
We living off the boom boom crack
It's that hip-hop rockers, jazz when I max
Peace be the greeting of the insect tribe
Pestilent forces can't catch the vibe
We live to love and we love to rock mics
We speak in ghetto tongue cause ghetto's the life
Food for thought so get a buffet plate
The lyrics are so fat you might gain weight
So just watch me step alone, into the sunset
Left foot right foot 1-2 mic check
Brewing funk inside my soul kitchen
So pull up a chair, here's a bib, have a listen
Of hardhead intervene, damn I know you're fluent
Yeah, cause Doodle ain't having it and Butterfly knew it
Where you from

Venus acts a fool at the square right, yeah
Doctors engineer in a pair right, yeah
Hip-hop made a point last year right, yeah
But Planets is the joint this year right, yeah
Planets got the dubs and live to grass-hop
Duck out from the fuzz, that sweat the hip-hop
Rising like we foam, get it from the dome
I'm from where the fat beats stretch for mad blocks
We can get a kit, without no thread
Feeling funky beats go straight to the head
Fall into a club, dig on what we love
It be past six before we reach bed
Butter freaks on relics we say those are fat
Doodle, Mecc, and Silk, the quad where it's at
We need to stack a sack, for rap to take us dap
So we treat our clips, just like busting caps
Rip it till dawn, kick it till dawn
Hip-Hop is the fix or else we be gone
People thought they canned it
Rap is not by bandits
Digable Planets got it going on

Everywhere, every everywhere, everywhere
Everywhere, every everywhere, yeah
Everywhere, every everywhere, yeah
Everywhere, every everywhere, yeah
Everywhere, every everywhere, yeah
Everywhere, every everywhere, everywhere
Everywhere, every everywhere, yeah
Everywhere, every everywhere, yeah",https://genius.com/Digable-planets-where-im-from-lyrics
La Femme Fetal,Reachin’ (A New Refutation of Time and Space),1993,"It was 8:49 on a beautiful 9th day of July
There was not a cloud to speak of, so the orange sun hung
Lonely in the sky
I lay prone in my cavi home
Thinking of fine nappy Jackie and his jazzcat's horn
Sliding in a tape of Bird on Verve, when suddenly rang my phone
""Hey, Butterfly,"" the voice said
""Slip on some duds, comb out your fro and slide on down to my pad
The vibe here is very pleasant, and I truly request your presence
A problem of great magnitude has arose
And as we speak it grows""
""Damn, what could it be?"" I thought
A juice I bought and rolled on down to her spot
Seeing bros I know, slapping fives I arrived and pressed G-5
And there was Nikki
Lookin' some kind of sad with tears fallin' from her eyes
She sat me down, and dug my frown and began to run it down
""You remember my boyfriend Sid, that fly kid who I love?
Well, our love was often a verb and spontaneity has brought a third
But due to our youth and economic state, we wish to terminate
About this we don't feel great, but baby, that's how it is
But the feds have dissed me
They ignored and dismissed me
The pro-lifers harass me outside the clinic
And call me a murderer, now that's hate
So needless to say, we're in a mental state of debate""
""Hey, beautiful bird"", I said, digging her somber mood
""The fascists are some heavy dudes
They don't really give a damn about life
They just don't want a woman to control her body
Or have the right to choose
But baby that ain't nothin'
They just want a male finger on the button
Because if you say war, they will send them to die by the score
Aborting mission should be your volition
But if Souter and Thomas have their way
You'll be standing in line unable to get Welfare while they'll be out
Hunting and fishing
It has always been around, it will always have a niche
But they'll make it a privilege, not a right
Accessible only to the rich
Hey, pro-lifers need to dig themselves
Because life doesn't stop after birth
And for a child born to the unprepared
It might even just get worse
The situation would surely change, if they were to find themselves in it
Supporters of the H-Bomb, and fire-bombing clinics
What type of shit is that? Orwellian, in fact
If Roe v. Wade was overturned, would not the desire remain intact
Leaving young girls to risk their healths
And doctors to botch, and watch as they kill themselves
Now, I hate to sound macabre
But hey, isn't it my job
To lay it on the masses and get them off their asses
To fight against these fascists
So, whatever you decide, make that move with pride
Sid will be there and so will I
An insect 'til I die
Rhythms and sounds
Spinning around
Confrontations
Across the nation
Your block
My block
Dreadlocks
What a shock
Land of the free
But not me, not me

Not me, not me, not me, not me, not me, not me, not me, not me
Hey, what's happening?
Insects causing fun?
93 million miles away from the Sun
New grooves, show improve
It's the moves (The moves)
Funky songs, but maybe not for long
So, check it out",https://genius.com/Digable-planets-la-femme-fetal-lyrics
9th Wonder (Blackitolism),Blowout Comb,1994.0,"Ah yea
Whole world
MCs
Whose slick?
We lounge stay phat notice our G limp
A natural flair with our fresh-ass hair
Style baggy out, clout, slick
Creamy and fresh East Coast to West
Brooklyn, making money
Uptown, making money
To the Universal fam, making money
Old school MCs, making money

I'm slicker this year, I'm slicker this year
Myrtle Ave, A-train,
 
got the pick in my hair
And what sixteen joints later still lounge
Fresh from Flatbush in my baggy booster Guess
Style is type ease, busted cami fatigues
50,000 leagues of Black, so what's up
Can we avenue slide player style ghetto walk
To the East son, wild Crooklyn, New York
Creamy kids yell Smith and Wesson when I'm blessing
The angular slang blow spots, bang—eleven
Hanging like bats cause the twelve-inch wax
Say ""Scorpio""
And my hair say 'fro
And my blood say 'bro
My clique say, ""a-yo""
Make sparks from the barrel mental pistol
To the depths I dive seems lunar like aqua
The cool blast mega we black we wildflowers
Scott La Rock had 'em all
I gots to ball, and roll with little Panthers through these project halls
The three-color flag can't hold my baggy sag
7-1-8 to Omega
Black motion is ocean style
Slick in my ways since days of deep classics
Now glamor boys want to be triple phatted
But I'm slicker this year
I'm slicker this year

East born
Beats Tannoys on
Lovely, all over the city
In your tape deck blasting
7R's and the phat fly sneakers
And the camouflage

To the hip-hop nation, making money
To the mixtape crew, making money
To the West Coast, making money
To the Boogie Down Bronx, making money

I was raised in the ways of the Manchu Clan
And five elements posture, take a B-boy stance
With the gold front shining, baggy pants sagging
This Brooklyn styling got the fly girls smiling
But I'm climbing, finding new ways of rhyming
Not living like a star, it's strictly bout surviving
Diving, deep into the grooves of the ghetto
This downtown flavor shines from many angles
Yes the notorious, with rhymes so glorious
The Manchu Monkey over flunkies is victorious
Rappers be boring us with rhymes so conventional
Dazed and amazed when they hear the three dimensional
Lyrical skills of the insect in motion
Coasting down Fulton with a bag of magic potion
Now I'm rolling with the seven and the crescents
Puffing some expression
Manifesting today's lessons
Stressing the fact that I'm solar guaranteed to go far
Cause the mind is interstellar
Still peace like that, so have no fear
But I'm slicker this year
I'm slicker this year

To the queens everywhere, making money
To the whole S.I, making money
To the 
lumpen mass
, making money
Don't forget about your peeps when ya, making money

Now you see that I'm 68 inches above sea level
93 million miles above these devils
Play me in the winter
Play me in the summer
Play me in the autumn
Any order
You want em I got em, dripping like water
Catch me at a hot spot with the 
dusk daughters
We bouncing, moving within the true circles
We played you, made you change, straight New Yorked you
We stratify our wealth from my Luchi in the bank
There's love amongst the ranks
Now I'm about to beep my homegirl
Cause we be alike
A-alike, C-alike, yes G-alike
Jazzy Joyce, on the wheels
Jazzy Joyce, no one smoother
Jazzy Joyce
, 
phatter than a '94 Land Cruiser
Where you from
The Bronx representing like whatever, pa
Cool, are you slicker this year
Yeah, watch",https://genius.com/Digable-planets-9th-wonder-blackitolism-lyrics
Pacifics (Sdtrk ”N.Y. is Red Hot”),Reachin’ (A New Refutation of Time and Space),1993.0,"Butterfly searching for a relax
Pulling from the jazz stacks cause it's Sunday
On the air is incense, sounds to the ceiling
Tried to get this feeling since Monday
Looking out the window watching all the people go
Bugging off a funny vibe cause now it seems they're equal
Wonder what would Trane say wonder what my pop say
Bugging off the calmness in the Apple
Who me I'm cooling in New York
I'm chilling in New York
The hoods is on my block and the brother's at the court
The baseball hats is on and the projects is calm
Dreamtime's extended and highly recommended
But early birds like me's up checking out the scene
The early worms jog, forget about your job
Just come dig the essence while the decadence is hidden
When people act like people, the theory is in pigeon
If you know the norm it's like Hades transformed
On Sunday's early hours the city sprouts its flowers
So get with the rhythms while you getting with the Planets
Vibe off the jams but don't take em for granted, just chill

New York is red hot, New York is red hot
New York is red hot, New York is red hot

(We venture through the streets in search of funky beats)
Doodlebug: Extensive is the travels and it's heavy on the sneaks
L: Yeah it's kicking out the speakers of the Sunday morning jeepers
(My man do Planets do it lovely?)
Doodlebug: Am I my brother's keeper?
(We foot it to the park where the swoon units walk)
Ladybug: And sit with the phoenicians digging on musicians
Doodlebug: Hanging with the rebels sipping on a Snapple
(Bugging with my crew just tripping in the Apple)
Ladybug: You be thinking peace when you're vibing with your flock
Doodlebug: But you be thinking damn everybody got a Glock
(If you got some beef please express that in silence
Or else... violence)
Ladybug: But right here is the life, it's the children of the concrete
(Living off the fruits and the functions of the fat beats)
Doodlebug: Hip-hop's all around, the members is growing
(Please dig on the sounds cause the good vibes they snowing, so chill)

New York is red hot, New York is red hot
New York is red hot, New York is red hot
New York is red hot, New York is red hot
New York is red hot, New York is red hot

Wake up, praying that the game's on
Maybe it's the Runnin' Rebs, maybe it's the Knicks
Maybe it's a rerun of an old TV show
Like Hawaii 5-0
 or karate flicks
Maybe if the phone rings Butterfly will take wings
Speaking on some cool things fronting like I cope
Born unto flat ground now I'm chilling shaky ground
Reaching for Pacific Heights Sunday is my rope, dig it
Sunday's to relax
Sunday's to relax
Some Sunday morning drama is calling up my Mama
The hot line is in I guess the silvers knew the deal
Vibing off the jams of the crews on Sugarhill
Lay around and think ain't nothing to do
Checking out some Fromm, some Sartre, Camus
Mingus' Ah Um, damn Roach can drum
The DP's are life, there they go, here they come
It's time to grab some loot, put on the Timber boots
Checking out some dollies like Tasha and Kamali
New York is a museum with its posters and graffiti
If you're in the city on Sunday
Come check me, get with me

New York is red hot, New York is red hot
New York is red hot, New York is red hot
New York is red hot, New York is red hot
New York is red hot, New York is red hot
New York is red hot, New York is red hot
New York is red hot, New York is red hot
New York is red hot, New York is red hot",https://genius.com/Digable-planets-pacifics-sdtrk-ny-is-red-hot-lyrics
Black Ego,Blowout Comb,1994.0,"Alright, boy

Ah, man

Give you your rights

Here we go again

You have the right to remain silent

Hey Ish, what's goin on?

Chill, chill it's cool

Give up the right to remain silent, anything you say can and will be used against you

Whatever man, whatever

Do you understand each of these rights I've explained to you?

Oh, like I ever had rights, kid?

Do you wish to give up the right to remain silent?

Hell yeah

So now lets let into, in my pocket pack
Pummel and I epic, black ethic lack
I walk again, you were shade gray, come display
Mazes in black, fire in the west
Shit is shakin', it's fly
I'm in lookies when I'm pushing vinyl time
Up the Fort, where I'm caught
And my thought to shakin' up a few loose
Now I let my cause shoot, KRS One
Cause we fade in and out, are you swinging or coming?
I'm solid on this thought, this ain't living
It's heavy every setback, even when I was a shorty
Now we catch you in your four, thrice
Check me in another place, space, and joy
Nothing you could serve could ever
Ace me boy
Fat laces, I'm out, fat and no babies
""That's right baby""

That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right

I got Harlem on my mind, Devil on my back
Brooklyn in my blood and Butter's on the track
I got insect thoughts, catch the cool ways
Clouds of purple haze keep me in a daze
The jazz, the jive, the poetry
The style, the lingo, the bags of equality
Many different things try to get to me
But in a world of hard rock, I keep my humility
The funkanaut from the kingdom of not
With galactic sure shot, they can't won't don't stop
Flock to the rhythm I bring
Sing songs call survival on the Mingus revival
Scored the bass hit, with my bugged out clique
It's Doodlebug, give me love for a visual script
Sip the groove juice, it's kind of rough
Sevens never bluff, I had enough, eleven

That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right

In the east I rose
Froze in the pose
Of a land diseased
Flows that cooler summer breeze
Nikki did Kevin's braids, we got four in the 'Lac
As we swoop at warp seven, holler don't crowd cats
Cause look, corpie is the color and Butter he do it low
All you hear is poppers and rubber I'm saying oh
Man, we keep it popping on hot days
Shit, I got the fish eggs dropping any block you dip
And I dazzle that mood with the cool out, fool
Easing semi-swerve to the curb like the do
I'm fro, blow, got that right
Groove with soul and I'm still spinnin'
Cross 110 and indicate them something else
Blackest space, deepest sea
(Scoff) My shit's, a natural high, the man can't put no thing on me
Now catch me when my mind stretch out, it's astro black
Time reaching into end, nappy afro blue
We Sw-ing, fightin' out the corners
Do my tha-a-ang like Huey with it, nigga

That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right
That's right, sho you right",https://genius.com/Digable-planets-black-ego-lyrics
It’s Good to be Here,Reachin’ (A New Refutation of Time and Space),1993.0,"The ticky ticky buzz the sun wakes the sky
I fumble through my fuzz and buzz Mr. I
Tell him scoop the beats in the flying saucer kit
Meet me at the port with the nickel bags and shit
Tell my pops I'm out earthbound with the crew
He said, ""Butterfly may the boogie be with you""
Left my mom's a note with these quotes on a trunk
It says ""I split to Earth to resurrect the funk""
A dozen Snapple pops and a little box of beats
Travellin' through space with the funky funky beats
Stopped at Pluto to cop some petrol
Met some Klingons and got our things on
Cruisin' warp 6 with Mr. Wiggles in the mix
Hendrix passin' peas, star child get the fix
The saucer shook the heavens with the blooms and the blams
Because when we hit New York - shazam
We droppin' like a comet and this Vulcan tried to Spock it
These martians tried to do it, but knew they couldn't cop it
The others from our brother planet lands in the flesh
From up in sector 6 yes y'all

And it's good to be here
When we landed up on lex
Stirrin' up the ground with the sound of Doug E. Fresh
And the hard rockin' kids that did it for the black
With the Pumas on their feet and the bombers on their back
We learned it and we earned it so you know you got to hand it
We planned it when we left how to freak it and to slam it
Add a Ladybug transformation is complete
For the metamorphosis from the box to the Jeep

And it's good to be here
Gettin' fly with the raps
We love it where we from but we kick it where we at
Bumpin' out with somethin' that pops and transcends
Dps baby it's slim but not thin
In amongst the pebbles we rocks on your blocks
Soakin' in the ghetto for kids that have not
Slappin' on some skin when we slam check the cheers
So we greet their virgin ears with a kiss
It's so good to be here

We jazz up the streets to prove we have beats
Fat jazz fat style and the sound so sweet
And there ain't no doubt that you got to check
Doodle, Silk, Butter, Mecc
It's so good to be here

Yeah baby that's the style
The jazz can fill a club or papers by the pile
Just ask toy soldier, toy soldier could of told you
At the boomin' funk hut it was the Afro with the butt
So to the flam lovers that crowd in dark spots
So see 'em kick the lingo and grip that little crotch
Now we have arrived with crazy boogie sounds
Get yourself a mate today's to boogie down
This is all we know, we feel it when we slams
You could hear the love, it comes out in our jams
The hip-hop diggin' cats just deliverin' the words
From the ghetto-dwellin youth to the bourgies in the burbs
And it's good to be here",https://genius.com/Digable-planets-its-good-to-be-here-lyrics
Dog It,Blowout Comb,1994.0,"DPS forever hit ya' with the live stuff
Suliman the Bronx Ripper on the live puff
V Love, that's my money like dominoes
Brooklyn do keep it rocking till the sun shows
I pop my junk my junk, I pop my junk my junk
I pop my junk my junk, Pop my junk my junk
I pop my junk my junk, like what you want you want
Pop my junk my junk, I pop my junk
The noise that we made is blue, in color sound
Toys who played my crew couldn't walk the new ground
Or chalk the new sound
A bop like Teddy Charles was burning
When I excurse on excursions
Arriving at the doors of mind shores of seas
Burnt you with degrees solarly
Plus my leather jacket go acid disappear in the wisp
In the mist, with a fist
Proletariat, Cad-i-lac steering it
Fro soul gold Panther crew grab our poppers
Now, I'm making bacon
Still saying wa ah salaam ah lakum
Fresh joints we make 'em like water
Butter rap treasures at my leisure whatever whatever
So I gave my mind a pound cause y'all we had it down
We symbolize the blessed and represent the rest
Grabs in my pockets I release my hot rockets
K.B. said ""What you give 'em?"" I was like ""Mad rhythm.""
That's my junk

Eric Dolphy always hits me with the live stuff
Bahamadia back the sounds with the love love
T.J. and Lisa real peoples 89 and still
In Fort Green on diamond back is where I'm at
Feelin' da funk da funk that's in the trunk the trunk
I feel the funk da funk, feelin' the funk da funk
I'm feelin' funk da funk I'm in the trunk da trunk
Feelin' da funk da funk, I am the funk
I raise everyday for the mass
Tote my fist right up right against the fascist
Descend to my borough fix my diction
It's way on time
Fossil watch fifth line still shining
I'm left this year I'm not a player
In my vein lives bell hooks Derrick Bell, Reggie Butler
See Marvin knew it, and Sly knew it
Cube know it and now we do it outta Brooklyn
Outta sight brown sandals handlin' M.C.s with angles
Commit to street corners where players be jayin
I'm saying a Digable swinger
Word to mouth brought the clout 'specially in the summer
We vanish like vapor
Burn paper
We deal real-real so chill
We linger in the funk

Yes Yes, bus stop what's (Watts) up
On the script side
Low down the whole mix and flips I 63
Jay B and M.C. baby blue great
Do it fluent keep it real and straight

We make it bump de bump, we make it bump se bump
We make it pump se pump, we make it bump

Save your corny missions for the tracks you lying on
We got ammunition for the streets we dying on

Stones, rocks, subways, blocks, chill mode

Loot fold
Rebel wit no pause down to die for cause be-cause
Denia gotta see a fatter day

It's Saturday I'm looking at the streets as my Nikes
Cover asphalt
Day gives way to night

My weight crush trash broken glass
Play the wall with one foot up
""Yo What up Ish?"", ""What's up.""

The flyer we get the higher we get
Good try-ers

Is good die-ers that it so I move
We showed and we prove

It's groove food

What's going on
You want to see knowledge born, see C Knowledge Born
Before we fall victim we lick 'em
I ain't playin'

Meet me at the corner of Myrtle and Adelphi
I bless you with some joints, the mental hollow points
We do it in the park, we do it in the park

That's right, that's right
We do it in the park, we do it in the park

I'm fluent after dark, in any sit-e-ation (situation)

My tools, jewels, the nation

That's how we bump",https://genius.com/Digable-planets-dog-it-lyrics
Nickel Bags,Reachin’ (A New Refutation of Time and Space),1993,"The Bloom, the Swoon, the Sugars on your block
The Planets land in flesh in the corners of New York
The ghetto, the meadow, the Mr. Butter flew
The Honeybugs dug and licked the honey dew
The sun, the kiss, the funk for a bliss
The lips with the soul and some jazz for ya hips
The puff, the buzz, the lids be heavy slick
The Mecca get a rush when the beats be very thick
The hands, the feet, the brown baby treat
The femmes fumble loose and drink the doodlejuice
The steps, the flams, the Planets goddamn
The peoples get a grip with a tape from a jam

(Ladybug Mecca)
A nickel bag of funk
A nickel bag of funk
(Butterfly)
A nickel bag of funk
A nickel bag of funk
(Ladybug Mecca)
A nickel bag of funk
A nickel bag of funk
(Butterfly)
A nickel bag of funk
A nickel bag of funk

The big, the fat, the cool cool cats
The psychedelic soul puts the Planets on the map
The chic, the love, the far out name
The lack of the funk's the main why we came
The boogie gets done, the colors won't run
The funk hits the square, the kids gotta come
The pizza with the pop, 
the west 4th stop
The crew after crew that do the grasshop
The true cool is black
, the new school is fat
The beats by the ounce, the funk by the pack
The groove is the fix, the jitterbugs fix
The hanging off the butts with the fat sole kicks

(Butterfly)
That's my nickle bag of funk
My nickle bag of funk
(Doodlebag)
A nickle bag of funk
A nickle bag of funk
(Butterfly)
Check me up
A nickle bag of funk
A nickle bag of funk
(Doodlebag)
Oh damn
A nickle bag of funk
A nickle bag of funk

The wide, the hip, dig it it's the trip
The loops, the scene and the funkifying it
The sounds, the pounds, the stacks, the flair
The baggy baggy jeans, the knotty knotty hair
The twinkle in the eye, the kids that livin' fly
The crew from the sky
, the stuff that gets you high
The action, the work from the rhyme
We goes the whole nine
The papers won't rot, the vapors get got
The streets give the buzz the funk up your block
The opium groove, the smacked out soul
The kickin' it live the fat gotta roll

With my nickel bag of funk
My nickel bag of funk
(Everyone)
A nickle bag of funk
A nickle bag of funk
(Doodlebug)
Yeah it's a nickle bag of funk
A nick bag of funk
(Everyone)
A nickle bag of funk
A nickle bag of funk
A nickel bag, a nickel bag Ladybug'll hit ya with a nickel bag
A nickel bag, a nickel bag Butterfly'll hit ya with a nickel bag
A nickel bag, a nickel bag Doodlebug'll hit ya with his nickel bag
A nickel bag, a nickel bag DPs always hit you with they nickel bag",https://genius.com/Digable-planets-nickel-bags-lyrics
Jimmi Diggin’ Cats,Reachin’ (A New Refutation of Time and Space),1993.0,"Yo, everybody's goin retro, right
And I was thinking
If the 60's and 70's were now
Isaac Hayes would have his own 900 number

I know, and 
MC Hammer woulda been a pimp
, right

Word, and 
Jimmi woulda dug us right

Word

Get yours, float up to the stars
Planets hits a spot bout six blocks east of Mars
Air soul kicks and crushed velvet hats
Hanging off the ave with the beautifulest naps
Ride in the crest with the blessed, give a yes
Planets kinda funky, as if you hadn't guessed
Placebos getting blocked, funky joints get rocked
Jive is not found
We fly from the flesh
Whether Jeep or Lac
Peak you as you been there and float to them raps
Butterfly's planets for the jam 8 Tracks
From the 90-tops with the twists and plaits
Look beneath my hat
Find the braids that hit ya, metro quite equipped
Knows of all the funk that was laid in seven zips
Funk is phat, homey homey don't you know me
Cool is back, give some skin, lay it on me
Groovy you could call it
Hip, yeah you could call we
Fikky sticky fingers stuck us, loot junkies
If you digging rhyme, then you digging rap
Jimmi's digging this and we be digging that
Yeah

The song is by some groovy cats
If you can dig
The cats, you can dig the song

Yo 
the black panthers
 
woulda had their own cartoon right

I know and 8-track Walkmans, right

True, The Jackson Five would've had
 
dreads

Word 
my man Tito
 would look fly right

Word and Jimmi would've dug Dig Planets for real, word

Planets busting out of this L-7 square
Check out the wares, check out the hairs
Sweetback chills with Shaft
, on the ave
Jimmi's digging cats and that's just the half
Where'd they find the stuff to freak it like a wizard
Slick just like a lizard
Really weird, or is it
It's just the logic, from how we rocks it
Pop shock picks it up and drops its
We, the synthesis of then and now melts
Channeled to the masses by a DJ and some felts
Long haired hippies, Afro blacks
All get together across the tracks
Because when we shows up, rhythm rolls up
Funk cannot be measured while the pleasure grows up
Life ain't what it seems, life is but a dream
Planets wreaking havoc is as constant as the rain
Yeah

The song is by some groovy cats
If you can dig
The cats, you can dig the song
Yeah, I can really dig how these cats get down with the
Sound as it is today
The way they're bringing it all
Together, they're cool
Brothas are doin it right. And
They're paying good respect to the masters
I can dig it
Exactly the way it should be",https://genius.com/Digable-planets-jimmi-diggin-cats-lyrics
